   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   "avidyāpratyayāḥ saṃskārāḥ saṃskārapratyayaṃ vijñānaṃ yāvajjātipratyayā	"avidyA pratyayAH saMskArAH saMskAra pratyayam vijQAnam yAvat jAti pratyayA
   jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ sambhavantītyanulomam /	jarA maraNa Soka parideva duHKa dOrmanasya upAyAsAH samBavanti iti anulomam /
   avidyānirodhātsaṃskāranirodhaḥ / saṃskāranirodhādvijñānanirodho	avidyA niroDAt saMskAra niroDaH / saMskAra niroDAt vijQAna niroDaH 
   yāvajjātinirodhājjarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsā	yAvat jAti niroDAt jarA maraNa Soka parideva duHKa dOrmanasya upAyAsA
   nirudhyante" iti pratilomam /	niruDyante" iti pratilomam /
   tatra siṃhavijṛmbhitaḥ samādhiḥ / tadyathā  "prathamaṃ dhyānaṃ samāpadyate	tatra siMha vijRmBitaH samADiH / tat yaTA "praTamam DyAnam samApadyate
   / dvitīyaṃ tṛtīyaṃ caturtham / ākāśānantyāyatanaṃ vijñānānantyāyatanaṃ	/ dvitIyam tRtIyam caturTam / AkASAnantya Ayatanam vijQAna Ananti Ayatanam
   ākiñcanyāyatanaṃ naivasaṃjñānāsaṃjñāyatanaṃ nirodhasamāpattiṃ ca	AkiQcani Ayatanam na eva saMjQAna asaMjQA yatanam niroDa samApattim ca
   samāpadyate / nirodhasamāpattervyutthito naivasaṃjñānasaṃjñāyatanaṃ	samApadyate / niroDa samApatteH vyutTitaH na eva saMjQAna saMjQA Ayatanam
   samāpadyate / tata ākiñcanyāyatanaṃ vijñānānantyāyatanaṃ	samApadyate / tatas AkiQcani Ayatanam vijQAna Ananti Ayatanam
   ākāśānantyāyatanaṃ caturthaṃ dhyānaṃ tṛtīyaṃ dvitīyaṃ prathamaṃ dhyānaṃ	AkASAnantya Ayatanam caturTam DyAnam tRtIyam dvitIyam praTamam DyAnam
   samāpadyata" iti /	samApadyata" iti /
   avaskandakasamādhiḥ / tadyathā  "prathamaṃ dhyānaṃ samāpadyate dvitīyaṃ	avaskandaka samADiH / tat yaTA "praTamam DyAnam samApadyate dvitIyam
   tṛtīyaṃ caturtham / ākāśānantyāyatanaṃ vijñānānantyāyatanaṃ	tRtIyam caturTam / AkASAnantya Ayatanam vijQAna Ananti Ayatanam
   ākiñcanyāyatanaṃ naivasaṃjñānāsaṃjñāyatanaṃ (RSt_153) nirodhasamāpattiṃ ca	AkiQcani Ayatanam na eva saMjQAna asaMjQA yatanam (RSt _153) niroDa samApattim ca
   / tato vyutthāya prathamaṃ dhyānam / tato nirodham / tato dvitiyaṃ dhyānam	/ tatas vyutTAya praTamam DyAnam / tatas niroDam / tatas dvitiyam DyAnam
   / tato nirodham / tatastṛtīyaṃ dhyānam / tato nirodham / tataścaturtha	/ tatas niroDam / tatas tRtIyam DyAnam / tatas niroDam / tatas caturTa
   dhyānam / tato nirodham / tata ākāśānantyāyatanam / tato nirodham / tato	DyAnam / tatas niroDam / tatas AkASAnantya Ayatanam / tatas niroDam / tatas 
   vijñānānantyāyatanam / tato nirodham / tata ākiñcanyāyatanam / tato	vijQAna Ananti Ayatanam / tatas niroDam / tatas AkiQcani Ayatanam / tatas 
   nirodham / naivasaṃjñānāsaṃjñāyatanam / tato nirodham / tato	niroDam / na eva saMjQAna asaMjQA yatanam / tatas niroDam / tatas 
   'samāhitacitte patati / tato nirodhaṃ samāpadyate / tato 'samāhite citte	asamAhita citte patati / tatas niroDam samApadyate / tatas asamAhite citte
   tiṣṭhati / tato naivasaṃjñānāsaṃjñāyatanam / tato 'samāhite / tata	tizWati / tatas na eva saMjQAna asaMjQA yatanam / tatas asamAhite / tata
   ākiñcanyāyatanam / tato 'samāhite / tato vijñānānantyāyatanam / tato	AkiQcani Ayatanam / tatas asamAhite / tatas vijQAna Ananti Ayatanam / tatas 
   'samāhite / tata ākāśānantyāyatanam / tato 'samāhite / tataścaturthaṃ	asamAhite / tatas AkASAnantya Ayatanam / tatas asamAhite / tatas caturTam
   dhyānam / tato 'samāhite / tatastṛtīyam / tato 'samāhite / tato dvitīyam /	DyAnam / tatas asamAhite / tatas tRtIyam / tatas asamAhite / tatas dvitIyam /
   tato 'samāhite / tataḥ prathamam / tato 'samāhite citte tiṣṭhati" iti /	tatas asamAhite / tatas praTamam / tatas asamAhite citte tizWati" iti /
   tatra prathamāyāṃ gatau nava sthānāni / dvitīyāyāṃ saptadaśa / āgamane	tatra praTamAyAm gatO nava sTAnAni / dvitIyAyAm saptadaSa / Agamane
   'ṣṭādaśa / atra śāstram 	azwAdaSa / atra SAstram 
   [148] samādhiṃ [sa] samāpadyaḥ tataḥ siṃhavijṛmbhitam /	[148] samADim [sa] samApadyaH tatas siMha vijRmBitam /
   anulomaṃ vilomaṃ ca pratītyotpādamīkṣate // 5 23 //	anulomam vilomam ca pratItya utpAdam Ikzate // 5 23 //
   [149] kāmāptamavadhīkṛtya vijñānamasamāhitam /	[149] kAma Aptam avaDIkRtya vijQAnam asamAhitam /
   sanirodhāḥ samāpattīrgatvāgamya na va dvidhā // 5 24 //	sa niroDAH samApattIH gatvA Agamya na va dviDA // 5 24 //
   [150] ekadvitricatuṣpañcapaṭsaptāṣṭavyatikramāt /	[150] eka dvi tri catuzpaQca pawsapta azwa vyatikramAt /
   avaskandasamāpattirānirodhamatulyagā // 5 25 //	avaskanda samApattiH AniroDam atulya gAH // 5 25 //
   siṃhavijṛmbhito yathā sūtrameva / avaskandastu gahanam / tena tasya	siMha vijRmBitaH yaTA sUtram eva / avaskandaH tu gahanam / tena tasya
   lakṣaṇamāha / 'avaskandasamāpattiḥ' bhavati / kathamityāha / 'nava	lakzaNam Aha / aavaskanda samApattiH a Bavati / kaTam iti Aha / anava
   samāpattīrdvidhā gatvā' paścād 'āgamya' / ādau kathaṃ gatvetyata āha	samApattIH dviDA gatvA a paScAt aAgamya a / AdO kaTam gatvA iti atas Aha
   'ānirodham' iti / nirodhasamāpattimante kṛtvā / itarā aṣṭau krameṇa	aAniroDam a iti / niroDa samApattimante kRtvA / itarAH azwO krameNa
   prāgityarthaḥ / punaḥ kathaṃ gatvetyata āha	prAk iti arTaH / punar kaTam gatvA iti atas Aha
   'ekadvitricatuṣpañcaṣaṭsaptāṣṭavyatikramāt' / 'sanirodhāḥ' kṛtvā / kāḥ?	aeka dvi tri catuzpaQca zaz sapta azwa vyatikramAt a / asaniroDAH a kRtvA / kAH?
   itarā aṣṭau 'samāpattīḥ' / kāmāvacaraṃ ca 'asamāhitaṃ' cittaṃ	itarAH azwO asamApattIH a / kAma avacaram ca aasamAhitama cittam
   'avadhīkṛtya' / ante gantavyaṃ kṛtvetyarthaḥ / paścāt kathamāgatyetyata	aavaDIkRtya a / ante gantavyam kRtvA iti arTaH / paScAt kaTam Agatya ityata
   āha 'atulyagā' iti / atulyagā satī / asamāhitādasamāhitaḥ / samāhitācca	Aha aatulya gA a iti / atulya gA satI / asamAhitAt asamAhitaH / samAhitAt ca
   samāhitamagacchantītyarthaḥ / ihāpi 'kāmāptamavadhīkṛtya	samAhitam agacCanti iti arTaH / iha api akAma Aptam avaDIkRtya
   vijñānamasamāhitaṃ' iti sambadhyate / (RSt_154)	vijQAnam asamAhitama iti sambaDyate / (RSt _154)
   teneyasamāhitāccittātprabhṛtyāgacchati / antepyasamāhita eva citte gatvā	tena iya samAhitAt cittAt praBRti AgacCati / antepya samAhitaH eva citte gatvA
   tiṣṭhati / iti mūrdhābhisamaye bhāvanāmārgaḥ //	tizWati / iti mUrDABisamaye BAvanA mArgaH //
   sarvāṇi copāyakauśalyāni paripūriṃ gacchantītyuktam / kathaṃ ca teṣāṃ	sarvANi ca upAya kOSalyAni paripUrim gacCanti iti uktam / kaTam ca tezAm
   bhāvanāparipūribhavet / yadi bhāvanāheyāścatvāro vikalpanavakāḥ kṣīyeran /	BAvanA paripUriBavet / yadi BAvanA AheyAH catvAraH vikalpa navakAH kzIyeran /
   teṣāṃ ca pratipakṣā eva mahatyorbhagavatyoḥ paṭhyante / te tu	tezAm ca pratipakzAH eva mahatyoH BagavatyoH paWyante / te tu
   sāmarthyādgamyante / vayamapi tameva pāṭhamabhisaṃkṣipya tān vakṣyāmaḥ /	sAmarTyAt gamyante / vayam api tam eva pAWam aBisaMkzipya tAn vakzyAmaH /
   tatrādyaṃ vikalpanavakamadhikṛtya śāstram 	tatra Adyam vikalpa navakam aDikRtya SAstram 
   [151] saṃkṣepe vistare buddhaiḥ sānāthyenāparigrahe /	[151] saMkzepe vistare budDEH sAnATyena aparigrahe /
   traikālike guṇābhāve śreyasastrividhe pathi // 5 26 //	trEkAlike guNa aBAve SreyasaH triviDe paTi // 5 26 //
   [152] eko grāhyavikalpo 'yaṃ prayogākāragocaraḥ /	[152] ekaH grAhya vikalpaH ayam prayoga AkAra gocaraH /
   'ekaḥ' iti prathamaḥ / 'prayogākāragocaraḥ' iti	aekaH a iti praTamaH / aprayoga AkAra gocaraH a iti
   prajñāpāramitāprayogaviśeṣaḥ viṣayaḥ / 'vistare ' 'saṃkṣepe ' ceti	prajQApAramitA prayoga viSezaH vizayaH / avistare a asaMkzepe a ca iti
   paṭhitavyam / vṛttānurodhāt tvanyathā paṭhitam / vistare sammoho	paWitavyam / vRtta anuroDAt tu anyaTA paWitam / vistare sammohaH 
   vistaravikalpaḥ / tasya pratipakṣaḥ / bahuṣu sthāneṣu bodhisattvena	vistara vikalpaH / tasya pratipakzaH / bahuzu sTAnezu boDisattvena
   śikṣitavyaṃ dānādiṣu yāvadvaleṣu vaiśāradyeṣviti //	Sikzitavyam dAna Adizu yAvat valezu vESAradyezu iti //
   saṃkṣepe sammohaḥ saṃkṣepavikalpaḥ / tasya pratipakṣaḥ na ca kvacan	saMkzepe sammohaH saMkzepa vikalpaH / tasya pratipakzaH na ca kvacan
   śikṣitavyamiti / bahunāmapi teṣāṃ na ca kvacaneti śūnyataikarasatvāt /	Sikzitavyam iti / bahunAm api tezAm na ca kvacana iti SUnyatA eka rasa tvAt /
   sambuddhaiḥ'sānāthyena' yaḥ parigrahaḥ / tadabhāve vikalpaḥ kalpanā /	sambudDEH asAnATyena a yaH parigrahaH / tad aBAve vikalpaH kalpanA /
   tasya pratipakṣaḥ / yaḥ prajñāpāramitāyāṃ śikṣitvā dānapāramitāṃ	tasya pratipakzaH / yaH prajQApAramitAyAm SikzitvA dAna pAramitAm
   yāvatsarvākārajñatāmanuprāpsyati / tenaivaṃ jñātavyaṃ 	yAvat sarva AkAra jQa tAm anuprApsyati / tena evam jQAtavyaM 
   daśadiksarvabuddhaiḥ sānāthyenāhaṃ parigṛhītaḥ svasyāṃ mātari teṣāṃ	daSa diS sarva budDEH sAnATyena aham parigRhItaH svasyAm mAtari tezAm
   kṛtajñatayeti //	kRtajQa tayA iti //
   'guṇābhāvo ' 'nuśaṃsābhāvaḥ / prayogadarśanabhāvānākālabhāvitatvāt	aguNa aBAvaH a anuSaMsA BAvaH / prayoga darSana BAvAnAkAla BAvita tvAt
   'traikālikaḥ' / tasmiṃstrayo vikalpāstrisraḥ kalpanāḥ / teṣāṃ pratipakṣāḥ	atra ekAlikaH a / tasmin= trayaH vikalpAH trisraH kalpanAH / tezAm pratipakzAH
   / anuśaṃsān vistareṇoktvā yathāha  'itīme 'nuśaṃsāḥ prajñāpāramitāyāṃ	/ anuSaMsAn vistareNa uktvA yaTA aha aiti ime anuSaMsAH prajQApAramitAyAm
   carataḥ prajñāpāramitāmabhinirharataḥ prajñāpāramitāṃ bhāvayataḥ /" iti	carataH prajQApAramitAm aBinirharataH prajQApAramitAm BAvayataH /" iti
   yathākramaṃ prayogadarśanabhāvanāmārgakālikaguṇābhāve trayo vikalpāḥ /	yaTAkramam prayoga darSana BAvanA mArga kAlika guNa aBAve trayaH vikalpAH /
   'śreyasaḥ pathi' iti nirvāṇamārge / prayogādibhedāt trividhā sammohāstrayo	aSreyasaH paTia iti nirvANa mArge / prayoga Adi BedAt triviDA sammoha astrayo
   vikalpāḥ / teṣāṃ pratipakṣā yathākramaṃ  "rūpavedanādīnāṃ	vikalpAH / tezAm pratipakzAH yaTAkraman "rUpa vedanA AdInAm
   śāntavaśikatucchāsārakatayā tasyāṃ caritavyam / (RSt_155)	SAnta vaSika tucCAsAraka tayA tasyAm caritavyam / (RSt _155)
   ākāśaśūnyatābhinirhāratayābhinirhartavyā / ākāśaśūnyatā bhāvanayeyaṃ	AkASa SUnyatA aBinirhAra tayA aBinirhartavyA / AkASa SUnyatA BAvanayA iyam
   bhāvayitavyā" iti / iti trayaḥ prayogādibodhimārgasaṃmohavikalpāḥ //	BAvayitavyA" iti / iti trayaH prayoga Adi boDi mArga saMmoha vikalpAH //
   ityukto navavidhaḥ prathamo grāhyavikalpaḥ //	iti uktaH navaviDaH praTamaH grAhya vikalpaH //
   dvitīyaṃ vikalpanavakamadhikṛtya śāstram 	dvitIyam vikalpa navakam aDikRtya SAstram 
   dvitīyaścittacaittānāṃ pravṛttiviṣayo mataḥ // 5 27 //	dvitIyaH citta cEttAnAm pravRtti vizayaH mataH // 5 27 //
   [153] anutpādastu cittasya bodhimaṇḍāmanaskriyā /	[153] anutpAdaH tu cittasya boDimaNxAmanaskriyA /
   hīnayānamanaskārau sambodheramanaskṛtiḥ // 5 28 //	hIna yAna manaskArO samboDera manaskRtiH // 5 28 //
   [154] bhāvane 'bhāvane caiva tadviparyaya eva ca /	[154] BAvane aBAvane ca eva tad viparyayaH eva ca /
   ayathārthaśca vijñeyo vikalpo bhāvanāpathe // 5 29 //	ayaTArTaH ca vijQeyaH vikalpaH BAvanA paTe // 5 29 //
   dvitīyo grāhyavikalpaścittacaittānāṃ yā pravṛttistadviṣayaḥ / kiyacciraṃ	dvitIyaH grAhya vikalpaH citta cEttAnAm yA pravRttiH tad vizayaH / kiyat ciram
   carannasyāṃ cīrṇo bhavatīti praśnaḥ / uttaram /	caran= asyAm cIrNaH Bavati iti praSnaH / uttaram /
   prathamacittotpādamupādāyeti cittotpādavikalpaḥ //	praTama citta utpAdam upAdAya iti citta utpAda vikalpaH //
   yāvabdodhimaṇḍala manasikaroti / kathamiyaṃ caritavyābhinirhartavyā	yOvabdoDi maNxala manasikaroti / kaTam iyam caritavyABinirhartavyA
   bhāvayitavyeti / ābodhimaṇḍā manasikāravikalpaḥ //	BAvayitavyA iti / AboDimaNxA manasikAra vikalpaH //
   hīnayānamanasikārāṇāṃ cāvakāśaṃ na dadātīti hīnayānayormanasikāravikalpau	hIna yAna manasikArANAm ca avakASam na dadAti iti hIna yAnayoH manasikAra vikalpO
   sarvākārajñatā mānasikārāvipraṇāśa eva cāsyāṃ caryā / tathā caritavyaṃ	sarva AkAra jQa tA mAnasikAra avi praNASaH eva ca asyAm caryA / taTA caritavyam
   yathā cittacaitasikā na pravartanta iti saṃbodhyamanasikāravikalpaḥ //	yaTA citta cEtasikAH na pravartante iti saMboDya manasikAra vikalpaH //
   kiṃ bhāvayan sarvākārajñatāmanuprāpsyati neti bhāvanāvikalpaḥ //	kim BAvayan sarva AkAra jQa tAm anuprApsyati na iti BAvanA vikalpaH //
   abhāvayaṃstāmanuprāpsyati neti [a]bhāvanāvikalpaḥ //	aBAvayan= tAm anuprApsyati na iti [a]BAvanA vikalpaH //
   neti bhāvayannābhāvayannanuprāpsyati / neti naiva bhāvanānābhāvanāvikalpaḥ	na iti BAvayat nABAvayan= anuprApsyati / na iti na eva BAvanA nABAvanA vikalpaH
   tatkathaṃ tāmanuprāpsyati yathā tathatā	tat kaTam tAm anuprApsyati yaTA taTatA
   bhūtakoṭīrdharmadhāturityayathātvavikalpaḥ //	BUtakowIH DarmaDAtuH iti ayaTAtva vikalpaH //
   iti dvitīyo grāhyavikalpaḥ //	iti dvitIyaH grAhya vikalpaH //
   tṛtīyaṃ vikalpanavakamadhikṛtya śāstram 	tRtIyam vikalpa navakam aDikRtya SAstram 
   [155] grāhakaḥ prathamo jñeyaḥ sattvaprajñaptigocaraḥ /	[155] grAhakaH praTamaH jQeyaH sattva prajQapti gocaraH /
   dharmaprajñaptyaśūnyatve śaktipravicayātmakaḥ // 5 30 //	Darma prajQapti aSUnya tve Sakti pravicaya AtmakaH // 5 30 //
   (RSt_156)	(RSt _156)
   [156] kṛtena vastuno yānatritaye ca sa kīrtitaḥ /	[156] kRtena vastunaH yAna tritaye ca sa kIrtitaH /
   dakṣiṇāyā aśuddhau ca caryāyāśca vikopane // 5 31 //	dakziNAyAH aSudDO ca caryAyAH ca vikopane // 5 31 //
   aprajñapanīyāḥ sattvāḥ anupalambhāditi sattvaprajñaptivikalpaḥ //	aprajQapanIyAH sattvAH anupalamBAt iti sattva prajQapti vikalpaH //
   aprajñapanīyāḥ sarvadharmā iti dharmaprajñaptivikalpaḥ //	aprajQapanIyAH sarva DarmAH iti Darma prajQapti vikalpaH //
   alakṣaṇaśūnyān sarvadharmān paśyatītyaśūnyatvavikalpaḥ //	alakzaNa SUnyAn sarva DarmAn paSyati iti aSUnyatva vikalpaH //
   dharmāśca dharmānupalambhaśca yaścābhyāṃ carati sopi nopalabhyata iti	DarmAH ca Darma anupalamBaH ca yaH ca AByAm carati sA upi na upalaByate iti
   śaktivikalpaḥ //	Sakti vikalpaH //
   dharmāṇāṃ pravicayaḥ kartavyaḥ / sa cānupalambhayogeneti pravicayātmako	DarmANAm pravicayaH kartavyaH / sa ca anupalamBa yogena iti pravicaya AtmakaH 
   vikalpaḥ //	vikalpaH //
   na ca vastunaḥ kṛte so 'syāṃ carati / yato 'kṛtāvikṛtānabhisaṃskṛtā	na ca vastunaH kRte saH asyAm carati / yatas akRta avikRtAnaBisaMskRtA
   sarvadharmā iti vastūddeśavikalpaḥ //	sarva DarmAH iti vastu uddeSa vikalpaH //
   yadyapyakṛtāvikṛtānabhisaṃskṛtāḥ sarvadharmāstathāpi yathā	yadi api akRta avikRtAn aBisaMskRtAH sarva DarmAH taTA api yaTA
   kaścittathāgatanirmito 'bhisaṃbudhya dharmacakraṃ pravartya tribhiryānaiḥ	kaScid taTAgata nirmitaH aBisaMbuDya Darma cakram pravartya triBiH yAnEH
   sattvān parimocayati lokavyavahāreṇa na paramārthena tathaiva ca	sattvAn parimocayati loka vyavahAreNa na parama arTena taTA eva ca
   tathāgatopīti yānatrayavikalpaḥ //	taTAgatopIti yAna traya vikalpaH //
   yadyapi tathāgato nirmitānna viśiṣyate tathāpi dakṣiṇāpariśuddhiḥ / yathā	yadi api taTAgataH nirmitAn na viSizyate taTA api dakziNA pariSudDiH / yaTA
   hi tathāgate pratiṣṭhāpitā dakṣiṇā ānirupadhiśeṣānnirvāṇānna kṣīyate	hi taTAgate pratizWApitA dakziNA AnirupaDi SezAt nirvANAn na kzIyate
   tathāḥ nirmitepi / tathā tathāgatāyākāśe puṣpāṇi kṣipatastathā namo	taTAH nirmitepi / taTA taTAgatAya AkASe puzpANi kzipataH taTA namaH 
   buddhāyeti bruvato manasi kurvato vā saṃjñāṃ ca pramāṇīkṛtya yā hi	budDAya iti bruvataH manasi kurvataH vA saMjQAm ca pramANIkRtya yA hi
   dharmatā tathāgatasya saiva vinirmitasyāpīti dakṣiṇāpariśuddhivikalpaḥ //	DarmatA taTAgatasya sA eva vinirmitasya api iti dakziNA pariSudDi vikalpaH //
   caryā pāramitādiḥ / tasyā vikopanaṃ bhedanam / kutaḥ? dharmatātaḥ /	caryA pAramitA AdiH / tasyAH vikopanam Bedanam / kutas ? Darma tAtaH /
   dānapāramitāyā yāvat prajñāpāramitāyā vā / evaṃ yāvatsarvadharmāṇāṃ	dAna pAramitAyAH yAvat prajQApAramitAyAH vA / evam yAvat sarva DarmANAm
   dharmateti / kathaṃ tarhi bhagavatā dharmā vikopitāḥ? nāmanirmitā hi te	Darma tA iti / kaTam tarhi BagavatA DarmAH vikopitAH? nAma nirmitAH hi te
   dharmā nirdiṣṭā dharmāṇāṃ sūcanāya / kathaṃ paro 'vatarediti / na tu	DarmAH nirdizwAH DarmANAm sUcanAya / kaTam paraH avataret iti / na tu
   dharmāṇāṃ dharmatā vikopiteti caryāvikopanavikalpaḥ //	DarmANAm DarmatA vikopitA iti caryA vikopana vikalpaH //
   caturthaṃ vikalpanavakamadhikṛtya śāstram	caturTam vikalpa navakam aDikRtya SAstram
   [157] sattvaprajñaptitaddhetuviṣayo navadhāparaḥ /	[157] sattva prajQapti tad hetu vizayaH navaDA paraH /
   bhāvanāmārgasambaddho vipakṣastadvighātataḥ // 5 32 //	BAvanA mArga sambadDaH vipakzaH tad viGAtataH // 5 32 //
   [158] sarvajñatānāṃ tisṛṇāṃ yathāsvaṃ trividhābṛttau /	[158] sarvajQa tAnAm tisRNAm yaTAsvam triviDa AbRttO /
   śāntimārge tathatādisamprayogaviyogayoḥ // 5 33 //	SAnti mArge taTatA Adi samprayoga viyogayoH // 5 33 //
   (RSt_157)	(RSt _157)
   [159] asamatve ca duḥkhādau kleśānāṃ prakṛtāvapi /	[159] asamatve ca duHKa AdO kleSAnAm prakRtO= api /
   dvayābhāve ca sammohe vikalpaḥ paścimo mataḥ // 5 34 //	dvaya aBAve ca sammohe vikalpaH paScimaH mataH // 5 34 //
   yairākārairliṅgairnimittairdharmāḥ sūcyante tāni tathāgatenānubuddhāni /	yEH AkArEH liFgEH nimittEH DarmAH sUcyante tAni taTAgatena anubudDAni /
   tenocyate tathāgatasya sarvākārajñateti sarvākārajñatāsammohavikalpaḥ //	tena ucyate taTAgatasya sarva AkAra jQa tA iti sarva AkAra jQa tA sammoha vikalpaH //
   yau ca śrāvakapratyekabuddhamārgau ye ca bodhimārgāste sarve bodhisattvena	yO ca SrAvaka pratyekabudDa mArgO ye ca boDi mArgAH te sarve boDisattvena
   paripūrayitavyāḥ / taiśca mārgakaraṇīyaṃ kartavyam / na ca bhūtakoṭiḥ	paripUrayitavyAH / tEH ca mArga karaNIyam kartavyam / na ca BUtakowiH
   sākṣātkartavyāparipūrya praṇidhānamaparimucya sattvānapariśodhya	sAkzAtkartavyA aparipUrya praNiDAnam aparimucya sattvAn apariSoDya
   buddhakṣetraṃ tenocyate bodhisattvasya mārgajñateti	budDa kzetram tena ucyate boDisattvasya mArga jQa tA iti
   mārgajñatāsammohavikalpaḥ //	mArga jQa tA sammoha vikalpaH //
   etāvadeva sarvaṃ yadādhyātmikabāhyā dharmāḥ / te ca	etAvat eva sarvam yat ADyAtmika bAhyAH DarmAH / te ca
   śrāvakapratyekabuddhānāṃ sarvajñateti sarvajñatāsammohavikalpaḥ //	SrAvaka pratyekabudDAnAm sarvajQa tA iti sarvajQa tA sammoha vikalpaH //
   sarvadharmāṇāṃ pāraṃ nirvāṇaṃ gatā sarvārthā vā gatānayeti prajñāpāramitā	sarva DarmANAm pAram nirvANam gatA sarva arTA vA gatAnayA iti prajQApAramitA
   / sarvadharmāṇāṃ vā pāraṃ paramo 'rtho 'bhinnaṃ tattvaṃ so 'syāṃ	/ sarva DarmANAm vA pAram paramaH arTaH aBinnam tattvam saH asyAm
   tathāgatairduṣṭaḥ / api cāsyāṃ tathatā	taTAgatEH duzwaH / api ca asyAm taTatA
   bhūtakoṭirdharmadhāturantargatastenocyate prajñāpāramiteti	BUtakowiH DarmaDAtuH antargataH tena ucyate prajQApAramitA iti
   śāntimārgasammohavikalpaḥ //	SAnti mArga sammoha vikalpaH //
   neyaṃ tathatādibhiḥ saṃyuktā na visaṃyuktā /	na iyam taTatA AdiBiH saMyuktA na visaMyuktAH /
   tathāhīyamarūpānidarśanāpratighā, ekalakṣaṇā yadutālakṣaṇātvāditi	taTA ahIyam arUpA nidarSana apratiGA, eka lakzaNA yat uta ala kzaNAtvAt iti
   tathatādisaṃyogaviyogavikalpaḥ //	taTatA Adi saMyoga viyoga vikalpaH //
   neyaṃ kaiścidācchettuṃ(?) śakyate / tasmādasādhāraṇīkṛtya	na iyam kEScid A acCettuM(?) Sakyate / tasmAt asADAraNIkRtya
   samatvasammohavikalpaḥ //	sama tva sammoha vikalpaH //
   asyāṃ caratā duḥkhasamudayanirodhamārgādyartheṣu caritavyamiti	asyAm caratA duHKa samudaya niroDa mArga Adi arTezu caritavyam iti
   duḥkhādisammohavikalpaḥ //	duHKa Adi sammoha vikalpaH //
   rāgādayo nārtho nānartha iti prakṛtisammohavikalpaḥ //	rAga AdayaH na arTaH na anarTaH iti prakRti sammoha vikalpaH //
   yathā na dvayo nādvayo dharma upalabhyate tathā nadvayaṃ nādvayaṃ	yaTA na dvayaH na advayaH DarmaH upalaByate taTA na dvayam na advayam
   dharmamanuprāpnotīti dvayābhāvasammohavikalpaḥ //	Darmam anuprApnoti iti dvaya aBAva sammoha vikalpaH //
   ityuktāḥ ṣaṭtriṃśabhdāvanāheyāḥ vikalpāḥ //	iti uktAH zawtriMSaBdOvanAheyAH vikalpAH //
   evaṃ tāvabhdavatu doṣāṇāṃ kṣayo guṇānāṃ punaḥ kathamudaya ityata āha 	evam tO= aBdavatu dozANAm kzayaH guNAnAm punar kaTam udayaH iti atas Aha 
   [160] āsāṃ kṣaye satītīnāṃ cirāyocchvasitā iva /	[160] AsAm kzaye satItInAm cirAya ucCvasitAH iva /
   sarvākārajagatsaukhyasādhanā guṇasampadaḥ // 5 35 //	sarva AkAra jagat sOKya sADanAH guNa sampadaH // 5 35 //
   [161] sarvāḥ sarvābhisāreṇa nikāmaphalaśālinam /	[161] sarvAH sarva aBisAreNa nikAma Pala SAlinam /
   bhajante taṃ mahāsattvaṃ mahodadhimivāpagāḥ // 5 36 //	Bajante tam mahAsattvam mahA udaDim iva ApagAH // 5 36 //
   (RSt_158)	(RSt _158)
   prakṛtisiddhā guṇāḥ kevalamākrāntā [a]guṇairāśān cireṇa / doṣakṣayāt	prakRti sidDAH guNAH kevalam AkrAntAH [a]guNEH ASAn cireNa / doza kzayAt 
   praśatā (? prakaṭā?) i(e)va taṃ bodhisattvaṃ bhajante	praSatA (? prakawA?) i(e)va tam boDisattvam Bajante
   sarvadoṣaprahāṇaśālinam / 'abhisāraḥ' saṃdohaḥ / śeṣaṃ gatārtham //	sarva doza prahANa SAlinam / aaBisAraH a saMdohaH / Sezam gata arTam //
   tasyetyādi vivarjayiṣyatīni yāvat / iti bhāvanāmārgasyānuśaṃsaḥ //	tasya ityAdi vivarjayizyatIni yAvat / iti BAvanA mArgasya anuSaMsaH //
   ānantaryasamādhirvaktavyaḥ / tamadhikṛtya śāstram 	Anantarya samADiH vaktavyaH / tam aDikRtya SAstram 
   [162] trisāhasrajanaṃ śiṣyakhaḍgādhigasampadi /	[162] tri sAhasra janam Sizya Kaxga aDiga sampadi /
   bodhisattvasya ca nyāme pratiṣṭhāpya śubhopamāḥ // 5 37 //	boDisattvasya ca nyAme pratizWApya SuBa upamAH // 5 37 //
   [163] kṛtvā puṇyabahutvena buddhatvāpteranantaraḥ /	[163] kRtvA puNya bahu tvena budDa tva ApteH anantaraH /
   ānantaryasamādhiḥ sa sarvākārajñatā ca tat // 5 38 //	Anantarya samADiH sa sarva AkAra jQa tA ca tat // 5 38 //
   antarayituṃ śakto 'ntaryaḥ / na tathā anantaryaḥ svārtha'ṇ / ānantaryaḥ	antarayitum SaktaH antaryaH / na taTA anantaryaH sva arTa aN / AnantaryaH
   samādhiḥ sa uktaḥ sūtre / kathamānantaryaḥ? yathā 'buddhatvāpteranantaraḥ'	samADiH saH uktaH sUtre / kaTam AnantaryaH? yaTA abudDa tva ApteH anantaraH a
   / avyavahitau hetuḥ kathamuktaḥ? 'puṇyabahutvena' / tadapi kathamuktam?	/ avyavahitO hetuH kaTam uktaH? apuNya bahu tvena a / tat api kaTam uktam?
