   Adhyaya 2, Pada 1	ADyayaH 2, Pada 1
   tanmata jainadarśane /	tat mata jEna darSane /
   aṅgīkṛteti śeṣaḥ /	aFgIkRtA iti SezaH /
   tato 'pi kimityata āha  taditi //	tatas api kim iti atas Aha tat iti //
   ... tadanityatvaṃ ... // MAnuv_2,2.242c //	... tad anitya tvam ... // Ma anuv_2,2.242t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yata evaṃ vyāptiryataścānyathābhāvitvamaṅgīkṛtaṃ tat tasmādātmano	yatas evam vyAptiH yatas ca anyaTA BAvi tvam aFgIkRtam tat tasmAt AtmanaH 
   'nityatvamāpatatīti śeṣaḥ /	anitya tvam Apatati iti SezaH /
   atra dṛṣṭāntaḥ  pudgaleti //	atra dRzwAntaH pudgala iti //
   ... pudgalasyānivāritam // MAnuv_2,2.242d //	... pudgalasya anivAritam // Ma anuv_2,2.242d //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   ivaśabdo 'dhyāhāryaḥ /	iva SabdaH aDyAhAryaH /
   pudgalasya dehasyeveti /	pudgalasya dehasya iva iti /
   yadvā pudgalaśabdo jarajjainairātmavācitvena svīkṛta ityatrātmavācī /	yat vA pudgala SabdaH jarat jA enEH Atma vAci tvena svIkRtaH iti atra Atma vAcI /
   (yadvā) yadi vā svamatenāyamātmani prayuktaḥ /	(ya dvA) yadi vA sva matena ayam Atmani prayuktaH /
   yathā'huḥ /	yaTA ahuH /
   "pudgalo nirayayaṃ giran'; iti /	"pudgalaH nirayayam giran a; iti /
   nanvavasthāparyāyarūpeṇā(pyā)tmano 'pyanityatvamaṅgīkriyata eva /	nanu avasTA paryAya rUpeNa a(pi A)tmanaH api anitya tvam aFgIkriyate eva /
   tatkathamanityatvāpādanamityato vā pudgalasya dehasyevetyuktam /	tat kaTam anitya tva ApAdanam iti atas vA pudgalasya dehasya iva iti uktam /
   yathā dehasya dehākāranāmaparityāgena bhasmībhāvalakṣaṇānityatvaṃ	yaTA dehasya deha AkAra nAma parityAgena BasmIBAva lakzaNa anitya tvam
   tathāvidhamātamno 'pyāpādyata iti /	taTAviDa mAtamnaH api ApAdyate iti /
   nanu anyathābhāvasyaivaṃ vidhānityatvena vyāptirnāsti paramāṇvādau	nanu anyaTA BAvasya evam viDa anitya tvena vyAptiH na asti paramANu AdO
   vyabhicārāt /	vyaBicArAt /
   tatkathamāpādanam /	tat kaTam ApAdanam /
   maivam /	mA evam /
   parimāṇavyatyayalakṣaṇasyānyathābhāvasyaivaṃvidhānityatvavyāptatvena	parimANa vyatyaya lakzaNasya anyaTA BAvasya evaMviDA anitya tva vyApta tvena
   dehādau dṛṣṭatayā tadvato 'pyātmanastathāvidhānityatvasya	deha AdO dRzwa tayA tadvataH api AtmanaH taTAviDa anitya tvasya
   nivārayitumaśakyatvāt /	nivArayitum aSakyatvAt /
   tadidamuktam  anivāritamiti //	tat idam uktam anivAritam iti //
   nanvasmanmatavadbhavanmate 'pyātmano 'nyathābhāvo 'styeva	nanu asmad mata vat Bavat mate api AtmanaH anyaTA aBAvaH asti eva
   sukhaduḥkhābhyāmuccanīcatvābhyupagamāt /	suKa duHKAByAm ucca nIca tva aByupagamAt /
   anyathābhāvinaśca dehāderanityatopalabdhā /	anyaTA BAvinaH ca deha AdeH anityatA upalabDA /
   tasmādbhavanmate 'pyātmano 'nityatā durvāretyata āha  neti //	tasmAt Bavat mate api AtmanaH anitya tA durvAra iti atas Aha na iti //
   nānityatāsmatpakṣe tu caitanyāderviśeṣiṇaḥ /	na anitya tA asmad pakze tu cEtanya AdeH viSeziNaH /
   lakṣaṇasya nivṛttau tu syānna taccetane kvacit // MAnuv_2,2.243 //	lakzaNasya nivRttO tu syAt na tad cetane kvacid // Ma anuv_2,2.243 //
   *8,378f.*	*8,378f.*
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   anyathābhāvavato 'pyātmanaḥ prasajyata iti śeṣaḥ /	anyaTA aBAvavataH api AtmanaH prasajyate iti SezaH /
   tatkathamityata āha  caitanyāderiti //	tat kaTam iti atas Aha cEtanya AdeH iti //
   asmanmata iti vartate /	asmat mataH iti vartate /
   anityateti ca /	anitya tA iti ca /
   tuśabdo 'vadhāraṇe /	tuSabdaH avaDAraNe /
   asmanmate caitanyāderlakṣaṇasya nivṛttāveva viśeṣiṇo lakṣaṇavato	asmad mate cEtanya AdeH lakzaNasya nivRttO= eva viSeziNaH lakzaNavataH 
   'rthasyānityatā syāt /	arTasya anitya tA syAt /
   natu jainānāmivānyathābhāvamātreṇa /	na tu jEnAnAm iva anyaTA BAva mAtreNa /
   etaduktaṃ bhavati /	etat uktam Bavati /
   yasya vastuno yallakṣaṇaṃ tannivṛttirūpo 'nyathābhāva eva	yasya vastunaH yat lakzaNam tat nivRtti rUpaH anyaTA BAvaH eva
   tadanityatānibandhanaṃ nānyathābhāvamātramiti /	tad anitya tA nibanDanam na anyaTABAva mAtram iti /
   evaṃ tarhi śabdādilakṣaṇābhāvādgaganādīnāṃ mahāpralaye vināśaḥ syāt /	evam tarhi Sabda Adi lakzaNa aBAvAt gagana AdInAm mahApralaye vinASaH syAt /
   ceṣyāśrayatvābhāvāccharīrasya suptyādau vilayo bhavedityata uktam 	cezi ASraya tva aBAvAt SarIrasya supti AdO vilayaH Bavet iti atas uktam 
   viśeṣiṇo lakṣaṇasyeti //	viSeziNaH lakzaNasya iti //
   viśeṣavato lakṣaṇasya na tu lakṣaṇamātrasyetyarthaḥ /	viSezavataH lakzaNasya na tu lakzaNa mAtrasya iti arTaH /
   kimato yadyevamityata āha  neti //	kim atas yadi evam iti atas Aha na iti //
   taditi sāmānyena vākyārthaṃ parāmṛśati /	tat iti sAmAnyena vAkya arTam parAmRSati /
   anityatvakāraṇatvenoktaṃ viśeṣiṇo lakṣaṇasya nivartanaṃ cetane kvacidapi	anitya tva kAraNa tvena uktam viSeziNaH lakzaNasya nivartanam cetane kvacid api
   na syāt /	na syAt /
   atastasyānityatāpi na syāt /	atas tasya anityatA api na syAt /
   yadvā taditi lakṣaṇaparāmaśarḥ /	yat vA tat iti lakzaNa parAma SarH /
   cetane vartamānaṃ kvacinna nivartata iti śeṣaḥ /	cetane vartamAnam kvacid na nivartate iti SezaH /
   viśeṣiṇo lakṣaṇasya nivṛttau lakṣasyānityatā syādityuktam /	viSeziNaH lakzaNasya nivRttO lakzasya anitya tA syAt iti uktam /
   tadviśadayati  oteti //	tad viSat ayati otA iti //
   otaprotātmakatvaṃ tu paṭe dehe 'ṅgasaṃsthitiḥ /	ota prota Atmaka tvam tu pawe dehe aFga saMsTitiH /
   ityādilakṣaṇasyaiva nivṛttau syādanityatā // MAnuv_2,2.244 //	ityAdi lakzaNasya eva nivRttO syAt anitya tA // Ma anuv_2,2.244 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   otaprotātmakatvaṃ nāma tantūnāṃ saṃyogaviśeṣaḥ paṭe lakṣaṇamiti śeṣaḥ /	ota prota Atmaka tvam nAma tantUnAm saMyoga viSezaH pawe lakzaNam iti SezaH /
   aṅgasaṃsthitiḥ karacaraṇādyaṅgānāṃ sanniveśaviśeṣaḥ /	aFga saMsTitiH kara caraNa Adi aFgAnAm sanniveSa viSezaH /
   ādiśabdaḥ prakāravacanaḥ /	Adi SabdaH prakAra vacanaH /
   anityatā lakṣyasyeti śeṣaḥ /	anitya tA lakzyasya iti SezaH /
   yāvallakṣyabhāvināṃ lakṣaṇānāṃ nivṛttireva lakṣyānityatvanimittam /	yAvat lakzya BAvinAm lakzaNAnAm nivRttiH eva lakzya anitya tva nimittam /
   tādṛśaṃ cātmanaścaitanyam /	tAdRSam ca AtmanaH cEtanyam /
   tacca kadāpi na nivartate iti kathaṃ tasya vināśaprasaṅga iti /	tat ca kadApi na nivartate iti kaTam tasya vinASa prasaFgaH iti /
   yaduktamātmā svaprabha iti tadapyasat /	yat uktam AtmA sva praBaH iti tat api asat /
   svaprabhāvataḥ pradīpāderiva rūpasparśāpatteḥ /	sva praBAvataH pradIpa AdeH iva rUpa sparSa ApatteH /
   rūpādimatvācca vināśitvāpatteḥ /	rUpa Adima tvAt ca vinASi tvA ApatteH /
   yadrūpādimattadanityatvamiti pareṇaiva vyāpteraṅgīkṛtatvāt iti /	yat rUpa Adimattada nitya tvam iti pareNa eva vyApteH aFgIkRta tvAt iti /
   nanu siddhānte 'pyātmano rūpādimattvamaṅgīkriyata eva /	nanu sidDAnte api AtmanaH rUpa Adimat tvam aFgIkriyate eva /
   rūpādimato 'nityatvamiti vyāptiśca /	rUpa AdimataH anitya tvam iti vyAptiH ca /
   "rūpādimattvācca viparyayo darśanāt'; ityuktatvāt /	"rUpa Adimat tvAt ca viparyayaH darSanAt a; iti ukta tvAt /
   tatkathamanityatvaparihāra ityata āha  bhautikaṃ tviti //	tat kaTam anitya tva parihAraH iti atas Aha BOtikam tu iti //
   bhautikaṃ tveva rūpādi vyāptaṃ nāśena no mate // MAnuv_2,2.245ab //	BOtikam tu eva rUpa Adi vyAptam nASena naH mate // Ma anuv_2,2.245aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tuśabdo viśeṣārthaḥ /	tuSabdaH viSeza arTaH /
   sa eva bhautikamiti vivṛtaḥ /	saH eva BOtikam iti vivRtaH /
   na rūpādimātramityevārthaḥ /	na rUpa Adi mAtram iti eva arTaH /
   naca bhautikaṃ rūpādikamātmanyasti /	na ca BOtikam rUpa Adikam Atmani asti /
   tasmānnānityatāprasaṅga iti bhāvaḥ /	tasmAt na anitya tA prasaFgaH iti BAvaH /
   yathā bhavadbhiranyathābhāvo viśeṣyate /	yaTA BavadBiH anyaTA BAvaH viSezyate /
   yāvallakṣyabhāvi(viśeṣa)lakṣaṇavyāvṛttirūpo 'nyathābhāvo 'nityatvavyāpta	yAvat lakzya BAvi( viSeza) lakzaNa vyAvRtti rUpaH anyaTA aBAvaH anitya tva vyApta
   iti /	iti /
   rūpādimattvaṃ ca bhautikatvena /	rUpa Adimat tvam ca BOtika tvena /
   tathāsmanmate 'pi viśeṣaṇaprakṣepe noktadoṣa ityata āha  naivamiti //	taTA asmad mate api viSezaNa prakzepe na ukta dozaH iti atas Aha na evam iti //
   naivaṃ tasya ... // MAnuv_2,2.245c //	na evam tasya ... // Ma anuv_2,2.245t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tasya kṣapaṇakasya mate naivamanyathābhāvo rūpādimattvaṃ ca viśeṣyate /	tasya kzapaNakasya mate na evam anyaTA BAvaH rUpa Adimat tvam ca viSezyate /
   kintu sāmānyamevānityatvavyāptatayāṅgīkriyate tato noktadoṣaparihāra	kintu sAmAnyam eva anitya tva vyApta tayA aFgIkriyate tatas na ukta doza parihAra
   ityarthaḥ /	iti arTaH /
   tatkathamityata āha  anyatheti //	tat kaTam iti atas Aha anyaTA iti //
   ... anyathābhāvo yasyānityatvamīritam // MAnuv_2,2.245cd //	... anyaTA BAvaH yasya anitya tvam Iritam // Ma anuv_2,2.245cd //
   rūpādiyuktasya tathā jagannāśitvasiddhaye // MAnuv_2,2.246ab //	rUpa Adi yuktasya taTA jagat nASi tva sidDaye // Ma anuv_2,2.246aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   bhūbhūdharādejargato nāśitvasiddhaye yasyānyathābhāvastasyānityatvamīritaṃ	BU BUDarA dejargataH nASi tva sidDaye yasya anyaTA BAvaH tasya anitya tvam Iritam
   kṣapaṇakena /	kzapaNakena /
   tathāśabdaḥ samuccaye /	taTA SabdaH samuccaye /
   rūpādiyuktasyāpyanityatvamīritamiti /	rUpa Adi yuktasya api anitya tvam Iritam iti /
   yadvā yat rūpādiyu(ktaṃ tatta)k tattathānityamīritamita yojanā /	yat vA yat rUpa Adi yu(ktam tat ta)j tat taTA anityam Iritam ita yojanAH /
   tasyetyata yasyetyanenānvayaḥ /	tasya iti atas yasya iti anena anvayaH /
   anyathā tu yacchabdaśravaṇāttacchabdādhyāhāraḥ /	anyaTA tu yat Sabda SravaNAt tat Sabda aDyAhAraH /
   pūrvavākyāttasyetyanuvartate vā /	pUrvavAkyAt tasya iti anuvartate vA /
   etaccopapādayiṣyate /	etat ca upapAdayizyate /
   uktamupasaṃharati  vyāptyeti //	uktam upasaMharati vyAptyA iti //
   vyāptyā tayānyathābhāvādātmano 'nityatā bhavet // MAnuv_2,2.246cd //	vyAptyA tayA anyaTA BAvAt AtmanaH anitya tA Bavet // MA anuv_2,2.246cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yadanyathābhāvi tadanityaṃ yacca rūpādimattadanityamiti vyāptyā /	yat anyaTA BAvi tat anityam yat ca rUpa Adimattada nityam iti vyAptyA /
   anyathābhāvādityupalakṣaṇam /	anyaTA aBAvAt iti upalakzaNam /
   rūpādimattvāccetyapi draṣṭavyam /	rUpa Adimat tvAt ca iti api drazwavyam /
   syādetat /	syAt etat /
   sampratipannavyāptikavyāpyāropo(ṇa) aniṣyavyāpakāro(paḥ)paṇaṃ tarkaḥ /	sampratipanna vyAptika vyA api a Aropo(Na) anizya vyApakAraH (paH)paNam tarkaH /
   atra ca na cedvayāptiḥ sammatā kathaṃ tarhi tarkatvam /	atra ca na ced vaya AptiH sammatA kaTam tarhi tarka tvam /
   maivam /	mA evam /
   vyāpyavadvayāpterapi parābhyupagatatve 'pi tarkatvāvirodhāt /	vyApya vadvaya ApteH api para aByupagata tve api tarkatva aviroDAt /
   evameva kvacidāśrayasyobhayāsammatāvapi na doṣaḥ /	evam eva kvacid ASrayasya uBaya asammatO= api na dozaH /
   vakṣyati caitat"paranyāyaistu dūṣaṇam'; iti /	vakzyati ca etat"para nyAyEH tu dUzaNam a; iti /
   kṣapaṇoktaṃ prameyāntaraṃ nirākartuṃ sūtram oṃ	kzapaNa uktam prameya antaram nirAkartum sUtram om
   antyāvasthiteścobhayanityatvādaviśeṣāt oṃ //	antya avasTiteH ca uBaya nitya tvAt aviSezAt om //
   iti /	iti /
   tatrāntyāvasthiteścetyetāvattāvadvayākhyāti  nityeti //	tatra antya avasTiteH ca iti etAvat tAvadvaya AKyAti nitya iti //
   antyāvasthiteś cobhayanityatvād aviśeṣaḥ | BBs_2,2.36 |	antya avasTiteH ca uBaya nitya tvAt aviSezaH | BBH _2,2.36 |
   nityordhvagatirapyeṣā yā muktiriti kathyate /	nitya UrDva gatiH api ezA yA muktiH iti kaTyate /
   alokākāśamāptasya kathaṃ na vikṛtiśca sā // MAnuv_2,2.247 //	aloka AkASam Aptasya kaTam na vikRtiH ca sA // Ma anuv_2,2.247 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   apiśabdaḥ prameyāntaranirākaraṇasamuccayārthaḥ /	api SabdaH prameya antara nirAkaraNa samuccaya arTaH /
   caśabdaḥ parimāṇaparyāyeṇa saha samuccaye /	caSabdaH parimANa paryAyeNa saha samuccaye /
   yā eṣā nityordhvagatirmuktiriti jainaiḥ kathyate sā ca kathamātmano	yA ezA nitya UrDva gatiH muktiH iti jEnEH kaTyate sA ca kaTam AtmanaH 
   vikṛtirno bhavet /	vikRtiH naH Bavet /
   bhevedeva /	Bevet eva /
   tatkatham /	tat kaTam /
   alokākāśamāptasya /	aloka AkASam Aptasya /
   prāk lokākāśastho hyayamātmā nirantarordhvagatyālokākāśamāpnoti /	prAk loka AkASa sTaH hi ayam AtmA nirantara UrDva gati Aloka AkASam Apnoti /
   tathācānyathābhāvādātmano 'nityatvāpattiriti bhāvaḥ /	taTA ca anyaTA BAvAt AtmanaH anitya tva ApattiH iti BAvaH /
   anenāntyā (yā)avasthitiḥ santatordhvagatilakṣaṇā /	anena antyA (yA)avasTitiH santata UrDva gati lakzaNA /
   tataścātmano 'nityatvāpattiriti sūtrakhaṇḍasyārtha ukto bhavati /	tatas ca AtmanaH anitya tva ApattiH iti sUtra KaNxasya arTaH uktaH Bavati /
   nanvanyathābhāvamātramanityatvasya prayojakamiti na tāvadbhavadīyaḥ pakṣa	nanu anyaTA BAva mAtram anitya tvasya prayojakam iti na tAvat BavadIyaH pakza
   ityuktam /	iti uktam /
   nāpi madīyaḥ pakṣaḥ /	na api madIyaH pakzaH /
   tatkathaṃ pradeśaviśeṣasaṃyogamātrarūpānyathātvena muktātmano	tat kaTam pradeSa viSeza saMyoga mAtra rUpAnyaTAtvena mukta AtmanaH 
   'nityatvaprasañjanamityato jainapakṣo 'yamiti samarthayituṃ tāvatpṛcchati 	anitya tva prasaQjanam iti atas jEnapakzaH ayam iti samarTayitum tAvat pRcCati 
   kīdṛśaśceti //	kIdRSaH ca iti //
   kīdṛśaścānyathābhāvo nāśahetutayeṣyate // MAnuv_2,2.248ab //	kIdRSaH ca anyaTABAvaH nASa hetutayA izyate // Ma anuv_2,2.248aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   kṣapaṇakena hi kṣityādeḥ sarvasya nityatvādyanekāntaṃ samarthayamānena	kzapaNakena hi kziti AdeH sarvasya nitya tva Adi anekAntam samarTayamAnena
   dravyaparyāyābhyāṃ nityatvamanityatvaṃ cetyuktam /	dravya paryAyAByAm nitya tvam anitya tvam ca iti uktam /
   dravyākārasya kadāpyanapāyānnityatvam /	dravya AkArasya kadA api anapAyAt nitya tvam /
   paryāyo 'nyathābhāvaḥ tasmādanityatvamiti /	paryAyaH anyaTA BAvaH tasmAt anitya tvam iti /
   tatra vaktavyam /	tatra vaktavyam /
   kīdṛśo 'trānyathābhāvo nāśaṃ prati hetutayeṣyate /	kIdRSaH atra anyaTA BAvaH nASam prati hetutayA izyate /
   kiṃ saṃsthānādilakṣaṇāpagamarūpo vā, sadhāraṇo veti bhāvaḥ /	kim saMsTAna Adi lakzaNa apagama rUpaH vA, sa DAraNaH vA iti BAvaH /
   ādyaṃ śaṅkate  saṃsthāneti //	Adyam SaFkate saMsTAna iti //
   saṃsthānāpagamaścet ... // MAnuv_2,2.248c //	saMsTAna apagamaH ced ... // Ma anuv_2,2.248t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   saṃsthānagrahaṇaṃ lakṣaṇopalakṣaṇam /	saMsTAna grahaNam lakzaNa upalakzaNam /
   nāśahetutayeṣyata iti sambandhaḥ /	nASa hetutayA izyatas iti sambanDaH /
   pratiṣedhati  sa neti //	pratizeDati sa na iti //
   ... sa nahi bhūsāgarādiṣu // MAnuv_2,2.248d //	... sa na hi BU sAgara Adizu // MA anuv_2,2.248d //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   vaktuṃ śakyata iti śeṣaḥ /	vaktum Sakyate iti SezaH /
   kuto netyata āha  sa na hīti //	kutas na iti atas Aha sa na hi iti //
   yāvallakṣyabhāvilakṣaṇāpagamalakṣaṇo 'nyathābhāvo bhūsāgarādiṣu	yAvat lakzya BAvi lakzaNa apagama lakzaNaH anyaTA BAvaH BU sAgara Adizu
   pakṣaikadeśabhūteṣu na hīdānīṃ pramitastato hetoḥ sandigdhāsiddhatvaṃ	pakza eka deSa BUtezu na hi idAnIm pramitaH tatas hetoH sandigDa asidDa tvam
   syādityarthaḥ /	syAt iti arTaH /
   pramitatve tu tasyānityatve 'pi saṃśayo nāstītyanumānaṃ vyarthamāpadyate /	pramita tve tu tasya anitya tve api saMSayaH na asti iti anumAnam vyarTam Apadyate /
   tarhi dvitīyo 'stviti śaṅkate  yaḥ kaściditi //	tarhi dvitIyaH astu iti SaFkate yaH kaScid iti //
   yaḥ kaścidanyathābhāvo yadi ... // MAnuv_2,2.249ab //	yaH kaScid anyaTA BAvaH yadi ... // Ma anuv_2,2.249aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   pūrvavadeva sambandhaḥ /	pUrvavat eva sambanDaH /
   avivakṣitaviśeṣa ityarthaḥ /	avivakzita viSezaH iti arTaH /
   evaṃ tarhi muktātmano 'pyanityatvāpādanaṃ susthitamiti bhāvenāha 	evam tarhi mukta AtmanaH api anitya tva ApAdanam susTitam iti BAvena Aha 
   muktiśceti //	muktiH ca iti //
   ... muktiśca tādṛśī // MAnuv_2,2.249b //	... muktiH ca tAdRSI // Ma anuv_2,2.249B //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tādṛśī anyathābhāvasvarūpā /	tAdRSI anyaTA aBAva svarUpAH /
   evamapyātmano nityatve bhūbhūdharādīnāmapi nityatvaṃ syāt /	evam api AtmanaH nitya tve BU BUDara AdInAm api nitya tvam syAt /
   anyathā hetoranaikāntyāt /	anyaTA hetoH anEkAntyAt /
   tadidamuktaṃ sūtrakṛtā /	tat idam uktam sUtra kRtA /
   "ubhayanityatvāt'; iti /	"u Baya nitya tvAt a; iti /
   avayavopacayāpacayalakṣaṇo 'nyathābhāvo 'nityatve heturiti cet (na) /	avayava upacaya apacaya lakzaNaH anyaTA aBAvaH anitya tve hetuH iti ced (na) /
   sphaṭikādau pakṣaikadeśe sandigdhatvāt /	sPawika AdO pakza eka deSe sandigDa tvAt /
   rūpādimattvaṃ saviśeṣaṇamupādīyate cetko doṣa iti cenna /	rUpa Adimat tvam sa viSezaNam upAdIyate ced kaH dozaH iti ced na /
   parasya vaiyarthyaprasaṅgāt /	parasya vEyarTya prasaFgAt /
   nahi paro rūpādimatkiñcinnityamabhyupaiti /	na hi paraH rUpa Adimat kiQcit nityam aByupEti /
   ātmanastu prabhayā rūpādimattvamāpāditameva /	AtmanaH tu praBayA rUpa Adimat tvam ApAditam eva /
   yadvā ātmano rūpādimattvaṃ svasiddhānta eva /	yat vA AtmanaH rUpa Adimat tvam sva sidDAntaH eva /
   rūpādimato 'nityatvamiti vyāptyaṅgīkāre pūrvoktānityatvaprasaṅgo	rUpa AdimataH anitya tvam iti vyApti aFgIkAre pUrva ukta anitya tva prasaFgaH 
   vyākhyātavyaḥ /	vyAKyAtavyaH /
   kṣapaṇakoktamarthāntaraṃ dūṣayitumanuvadati  deheti //	kzapaNaka uktam arTa antaram dUzayitum anuvadati deha iti //
   dehamāne vikāraḥ syāditi sthāsnūnanātmanaḥ // MAnuv_2,2.249cd //	deha mAne vikAraH syAt iti sTAsnUnana AtmanaH // Ma anuv_2,2.249cd //
   āha ... // MAnuv_2,2.250a //	Aha ... // Ma anuv_2,2.250aH //
   *8,391f.*	*8,391f.*
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   dehamāne dehamānatve /	deha mAne deha mAna tve /
   pramite (satī)ti śeṣaḥ /	pramite (satI)ti SezaH /
   vikāraḥ syāt sthāvarāṇāṃ sātmakatvāṅgīkṛtāvātmana iti śeṣaḥ /	vikAraH syAt sTAvarANAm sa Atmaka tva aFgIkRtO= AtmanaH iti SezaH /
   iti sa mā bhūdityevamartham /	iti sa mA BUt iti evam arTam /
   sthāsnūn vṛkṣādīn /	sTAsnUn vRkza AdIn /
   anātmanaḥ ātmānadhiṣṭhitān /	anAtmanaH Atma an aDizWitAn /
   āha kṣapaṇakaḥ /	Aha kzapaNakaH /
   atra kṣapaṇakaḥ sthāvarānanātmana āhetyetāvatyeva vaktavye yadātmano	atra kzapaNakaH sTAvarAnanAtmanaH Aha iti etAvati eva vaktavye yadA AtmanaH 
   dehaparimāṇatvasya pramitatvāt vṛkṣādīnāmapi sātmakatve	deha parimANa tvasya pramita tvAt vRkza AdInAm api sa Atmaka tve
   tatparimāṇatvāpattāvaṅkurāvasthāyāmaṇumātrasya mahāvṛkṣāvasthāyāṃ ca	tad parimANa tva ApattO= aFkura avasTAyAm aNu mAtrasya mahA vRkza avasTAyAm ca
   mahato vikāritvaṃ vikāritvādanityatvaṃ ca prasajyeta /	mahataH vikAri tvam vikAri tvAt anitya tvam ca prasajyeta /
   tanmā prāsāṅkṣīdityetada(prasañjītyevamar)thati hetukathanaṃ,	tat mA prAsAFkzIt iti etat a(prasaQjI iti evam ar)Tati hetu kaTa naM,
   tatpūrvoktaprameyadṛḍhīkaraṇārtham /	tad pUrva ukta prameya dRXIkaraNa arTam /
   yadi vikāritvamātramanityatve prayojakaṃ jaino nābhyupeyāt /	yadi vikAri tva mAtram anitya tve prayojakam jEnaH na aByupeyAt /
   tadā vikāritvenānityatvaprasaṅgādbibhyatā sthāvarāṇāmanātmatvaṃ	tadA vikAri tvena anitya tva prasaFgAt biByatA sTAvarANAm anAtma tvam
   yattenābhyupagataṃ tadanupapannaṃ syāt /	yat tena aByupagatam tad anupapannam syAt /
   nahi sthāvarāṇāṃ sātmakatāyāmātmano lakṣaṇāpagamo bhavati /	na hi sTAvarANAm sa Atmaka tAyAm AtmanaH lakzaNa apagamaH Bavati /
   kintvanyathābhāvamātramiti /	kintu anyaTA BAva mAtram iti /
   yadvā dūṣaṇasaukaryārthaṃ hetvanuvādaḥ /	yat vA dUzaNa sOkarya arTam hetu anuvAdaH /
   tadidaṃ vikāritvāpattibhayātsthāvarāṇāmanātmatvāṅgīkaraṇamayuktam /	tat idam vikAritvA Apatti BayAt sTAvarANAm anAtma tva aFgIkaraNam ayuktam /
   tathā sati hastyādiśarīrāṇāmapyanātmatvasyāṅgīkāyartvaprasaṅgāt /	taTA sati hasti Adi SarIrANAm api anAtma tvasya aFgI kAya Rtva prasaFgAt /
   tatkathamityata āha  hastyādīti //	tat kaTam iti atas Aha hasti Adi iti //
   ... hastyādideheṣu hyapi syādanyathābhāvaḥ // MAnuv_2,2.250ab //	... hasti Adi dehezu hi api syAt anyaTA BAvaH // Ma anuv_2,2.250aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   pipīlikādidehasthasya tatparimāṇasya hastyādideheṣu prāpteṣvanyathābhāvaḥ	pipIlika Adi deha sTasya tad parimANasya hasti Adi dehezu prAptezu anyaTA BAvaH
   syāt hi tasmāt iti /	syAt hi tasmAt iti /
   athavā śarīramātrasyānātma(ka)tvamāpādya tadupapādanamidaṃ kriyate /	aTavA SarIra mAtrasya anAtma(ka)tvam ApAdya tad upapAdanam idam kriyate /
   hastyādisarvadeheṣvapi ātmano 'nyathābhāvaḥ syāt /	hasti Adi sarva dehezu api AtmanaH anyaTA BAvaH syAt /
   utpattisamaye	utpatti samaye
   dehānāṃ hastavita(styādimā)stimātraparimāṇatvāt yauvane	dehAnAm hasta vita(sti Adi mA)sti mAtra parimANa tvAt yOvane
   tūtkṛṣṭaparimāṇatvāditi /	tu utkRzwa parimANa tvAt iti /
   anenāviśeṣāditi sūtrakhaṇḍasyārtha ukto bhavati /	anena aviSezAt iti sUtra KaNxasya arTaH uktaH Bavati /
   nanu ca viṣamo 'yamupanyāsaḥ /	nanu ca vizamaH ayam upanyAsaH /
   alpaiva hi hastyādideheṣvātmano vikṛtiḥ /	alpA eva hi hasti Adi dehezu AtmanaH vikRtiH /
   vṛkṣādau tu mahatī /	vRkza AdO tu mahatI /
   tato vṛkṣādīnāmanātmatve hastyādīnāmapi ta(dupa)dāpādanamanucitamityata	tatas vRkza AdInAm anAtma tve hasti AdInAm api ta(t upa)da ApAdanam anucitam iti ata
   āha  aṇudehasyeti //	Aha aNu dehasya iti //
   aṇudehasya jīvasya gajatve vikṛtirhi yā /	aNu dehasya jIvasya gaja tve vikRtiH hi yA /
   dehavyāptyai viśeṣaḥ kastasyāḥ sthāsnutanau ca nuḥ // MAnuv_2,2.250c f //	deha vyAptyE viSezaH kaH tasyAH sTAsnu tanO ca nuH // Ma anuv_2,2.250c f //
   *8,394f.*	*8,394f.*
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   aṇudehasya pipīlikādidehasya jīvasya gajatve prāpte /	aNu dehasya pipIlika Adi dehasya jIvasya gaja tve prApte /
   yadvotpattisamaye aṇudehasya hastavitastyādiparimitadehasya, mahāgajatve	yat vA utpatti samaye aNu dehasya hasta vitasti Adi parimita dehasya, mahA gaja tve
