   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   praṇipatya praṇidhānaṃ kartum ārabdho 'nena ahaṃ bhagavan kuśalamūlena	praNipatya praNiDAnam kartum ArabDaH anena aham Bagavan kuSala-mUlena
   deyadharmaparityāgena ita eva janma prabhṛti mā kadācid ekadivasam api	deya-Darma-parityAgena itas eva janma praBRti mA kadAcid eka-divasam api
   daridraḥ syāṃ | āḍhyataraḥ syāṃ | paripūrṇajīvitopakaraṇaḥ | samanantaram	daridraH syAm | AXyataraH syAm | paripUrNa-jIvita-upakaraNaH | samanantaram
   eva karṇasya sārthavāhasya sahasaiva vipaśyinaḥ samyaksambuddhasya pādayo	eva karNasya sArTavAhasya sahasA-eva vipaSyinaH samyaksambudDasya pAdayo
   nipatata mātrasyaiva yā 'tiparamavirūpā kṣāmatā sāntarhitā saiva pūrvakā	nipatata mAtrasya-eva yA ati-parama-virUpA kzAma-tA sA-antarhitA sA-eva pUrvakA
   varṇanibhābhinivṛttā |	varNa-niBa-aBinivRttAH |
   Sva Roy 270,5 - 272,273	Svas Roy 270,5  272,273
   [100] atha karṇaḥ sārthavāhaḥ prāṇidhānaṃ kṛtvotthito vipaśyī	[100] aTa karNaH sArTavAhaH prANiDAnam kRtvA-utTitaH vipaSyI
   samyaksambuddhas tata eva pratinivṛtya bandhumatīyaṃ dāvaṃ gato 'tha	samyaksambudDaH tatas eva pratinivRtya banDumatI-iyam dAvam gataH aTa
   karṇaḥ sārthavāhas tair bandhumatīyakaiḥ śreṣṭhibhiḥ sārthavāhaiś ca	karNaH sArTavAhaH tEH banDumatIyakEH SrezWiBiH sArTavAhEH ca
   pratyabhijñātas tatraikaḥ sārthavāhas tān paurikān idam avocat | na vayaṃ	pratyaBijQAtaH tatra-ekaH sArTavAhaH tAn pOrikAn idam avocat | na vayam
   bhavantaḥ karṇaṃ sārthavāham avasīdantam apy upekṣāmahe paṭañ ca	BavantaH karNam sArTavAham avasIdantam api upekzAmahe pawan ca
   prasāryāha || bhavantaḥ śakyaṃ bahubhir ekaḥ samuddhatuṃ na tv ekena	prasArya-Aha || BavantaH Sakyam bahuBiH ekaH samudDatum na tu ekena
   bahavas tad yena vātra yat parityaktavyaṃ tad asmin paṭe 'nupradīyatām ity	bahavaH tat yena vA-atra yat parityaktavyam tat asmin pawe anupradIyatAm iti-
   ukte harṣakaṭakakeyūrāṅgadakuṇḍalahārārddhahārāṅgulīyakāny	ukte harza-kawaka-keyUra-aFgada-kuNxala-hAra-ardDa-hAra-aFgulIyakAni-
   anekālaṅkāraśatasahasrāṇy anupradattāni | anekāni ca	aneka-alaFkAra-Sata-sahasrANi anupradattAni | anekAni ca
   kāśidukūlakoṭāmbakauśeyāparāntakaśūkṣmātimahārhavicitravastrayugalaśatāny	kASi-dukUla-kowa-Amba-kOSeya-aparAntaka-SUkzma-ati-mahArha-vicitra-vastra-yugala-SatAni-
   anekāni tasya tasminn eva kṣaṇe vastrāṇām alaṅkārāṇāñ cātimahān rāśiḥ	anekAni tasya tasmin eva kzaNe vastrANAm alaFkArANAn ca-ati-mahAn rASiH
   samvṛttaḥ | tataḥ karṇaḥ sārthavāhas tāṃ vibhūtim avalokya patnyāḥ	samvRttaH | tatas karNaH sArTavAhaH tAm viBUtim avalokya patnyAH
   kathayati | bhadre paśya sukṣetredānavījasyāṅkuraḥ prādurbhūta iti | sāpi	kaTayati | Badre paSya su-kzetredAnavIjasya-aFkuraH prAdurBUtaH iti | sA-api
   prītiprāmodyajātā vipaśyinaṃ samyaksambuddhaṃ namasyantī tāni vastrāṇi	prIti-prAmodya-jAtA vipaSyinam samyaksambudDam namasyantI tAni vastrANi
   alaṅkārāṇi cāvavarakaṃ praveśayitum ārabdhā |	alaFkArANi ca-avavarakam praveSayitum ArabDAH |
   Sva Roy 273,1 - 274,2	Svas Roy 273,1  274,2
   [101] virūpo 'pi dārakas tat paitṛkam udyānaṃ praviśya	[101] virUpaH api dArakaH tat pEtRkam udyAnam praviSya
   kṣusdduḥkhopataptamānasas tām ātmīyāṃ paramavirūpatām eva punaḥ punaḥ	kzust-duHKa-upatapta-mAnasaH tAm AtmIyAm parama-virUpa-tAm eva punar punar-
   saṃśocayan saṃlakṣayati | kim mayā pāpakarmakāriṇā paramaduḥkhabhāginā	saMSocayan saMlakzayati | kim mayA pApa-karma-kAriNA parama-duHKa-BAginA
   'tivirūpeṇādhanyadarśanena jīvitā prayojanaṃ sarvathā praghātayāmy ātmānam	ati-virUpeNa-aDanya-darSanena jIvitA prayojanam sarvaTA praGAtayAmi AtmAnam
   ity udvignamanaḥ sahasaiva pāṭalāvṛkṣasyāgraśākhām āruḍho vṛkṣaśākhā ca	iti udvigna-manaH sahasA-eva pAwalA-vRkzasya-agra-SAKAm AruXaH vRkza-SAKA ca
   bhagnā sahasaiva sārddhaṃ vṛkṣaśākhayā patito vedanārttaś cāvatiṣṭhate |	BagnA sahasA-eva sArdDam vRkza-SAKayA patitaH vedanA-ArttaH ca-avatizWate |
   Sva Roy 274,2 - 278,3	Svas Roy 274,2  278,3
   [102] atra cāntare nāsti kiñcidbuddhānāṃ bhagavatām ajñātam adṛṣṭam |	[102] atra ca-antare na-asti kiQcid-budDAnAm BagavatAm ajQAtam adRzwam |
   aviditam avajñātam adrākṣīd vipaśyī samyaksambuddho divyena buddhacakṣuṣā	aviditam avajQAtam adrAkzIt vipaSyI samyaksambudDaH divyena budDacakzuzA
   viśuddhenātikrāntā mānuṣyakena virūpadārakaṃ tathā duḥkhitaṃ dṛṣṭvā ca	viSudDena-atikrAntA mAnuzyakena virUpa-dArakam taTA duHKitam dRzwvA ca
   punar mahākaranīyo sañcodyamāno ṛddhayā tat sthānaṃ gatvā svaśarīraprabhām	punar mahAkaranIyaH saQcodyamAnaH RdDayA tat sTAnam gatvA sva-SarIra-praBAm
   utsṛṣṭavān | kalpaśatasambhṛtāś ca bhagavato maitryāṃśava utsṛṣṭāḥ || yaiḥ	utsRzwavAn | kalpa-Sata-samBRtAH ca BagavataH mEtryAMSavaH utsRzwAH || yEH
   spṛṣṭamātrasyaiva virūpasya yā śarīre duḥkhavedanā sā prativigatā tac ca	spRzwa-mAtrasya-eva virUpasya yA SarIre duHKa-vedanA sA prativigatA tat ca
   kṣuttṛṣaduḥkhaṃ pratiprasrabdhaṃ | sahasaivotthitaḥ paśyati vipaśyinaṃ	kzuD-tRza-duHKam pratiprasrabDam | sahasA-eva-utTitaH paSyati vipaSyinam
   samyaksambuddhaṃ kalpakoṭiniyutaśatasahasradurlabhadarśanam uttaptam	samyaksambudDam kalpa-kowi-niyuta-Sata-sahasra-durlaBa-darSanam uttaptam
   dvātriṅśanmahāpuruṣalakṣaṇadyotitavigrahaṃ saha darśanāc cāsya bhagavato	dvAtriFSat-mahApuruza-lakzaNa-dyotita-vigraham saha darSanAt ca-asya BagavataH-
   vipaśyinaḥ samyaksambuddhasyopari prasādo jātaḥ | tena ca haridrāraktakaṃ	vipaSyinaH samyaksambudDasya-upari prasAdaH jAtaH | tena ca haridrA-raktakam
   hastamātraṃ vastrakhaṇḍaṃ prāvṛtam āsīt tena tatprasādāviṣṭena śarīrād	hasta-mAtram vastra-KaNxam prAvRtam AsIt tena tad-prasAda-Avizwena SarIrAt-
   avatārya mahatā prasādavegena sahasaiva vipaśyinaḥ śāstur upari nikṣiptam	avatArya mahatA prasAda-vegena sahasA-eva vipaSyinaH SAstuH upari nikziptam
   ekañ ca karṇikārakusuman tac ca bhagavatā vipaśyinā tathāgatenārhatā	ekan ca karNikAra-kusuman tat ca BagavatA vipaSyinA taTAgatena-arhatA
   samyaksambuddhena tathādhiṣṭhitaṃ yathā tad vastrakhaṇḍakaṃ tathāgatasya	samyaksambudDena taTA-aDizWitam yaTA tat vastra-KaNxakam taTAgatasya
   kāyapramāṇikaṃ bhūtvā kāyaṃ praticchāditavān | karṇikārakusumañ	kAya-pramANikam BUtvA kAyam praticCAditavAn | karNikAra-kusumaQ
   copaviśakaṭacakramātraṃ bhūtvā cchattravad avasthitaṃ | tac ca dṛṣṭvā	ca-upaviSakawa-cakra-mAtram BUtvA cCattra-vat avasTitam | tat ca dRzwvA
   virūpasya dārakasyātimahān prasādo jātaḥ | sa mahatā praśādavegena	virUpasya dArakasya-ati-mahAn prasAdaH jAtaH | sa mahatA praSAda-vegena
   vipaśyinaḥ samyaksambuddhasya pādayor nipatya mahatā svareṇa praṇidhānaṃ	vipaSyinaH samyaksambudDasya pAdayoH nipatya mahatA svareNa praNiDAnam
   kartum ārabdhaḥ |	kartum ArabDaH |
   anena dvipadāṃ śreṣṭha dāneneha virūpatāṃ |	anena dvipadAm SrezWa dAnena-iha virUpa-tAm |
   adya prabhṛti saṃtyajya labheyāhaṃ surūpatāṃ |1|	adya praBRti saMtyajya laBeya-aham surUpa-tAm |1|
   suvarṇavarṇavāso 'ti haimavarṇair viguṇṭhitaḥ |	suvarNa-varNa-vAsaH ati hEma-varNEH viguNWitaH |
   candanotpalagandhaś ca kāyād vaktrāc ca me bhavet |2|	candana-utpala-ganDaH ca kAyAt vaktrAt ca me Bavet |2|
   suvarṇavarṇasaṃkālaḥ sarvalokamanoharaḥ |	suvarNa-varNa-saMkAlaH sarva-loka-manoharaH |
   sarvāmayavi nirmuktaḥ sarvaśāstrārthapāragaḥ |3|	sarva-Amayavi nirmuktaH sarva-SAstra-arTa-pAragaH |3|
   sarvavācāthasaṃyuktaḥ sarvānarthavivarjitaḥ |	sarva-vAcATa-saMyuktaH sarva-an-arTa-vivarjitaH |
   sarvottamaḥ sarvadarśī sarvākāravibhūṣitaḥ |4|	sarva-uttamaH sarva-darSI sarva-AkAra-viBUzitaH |4|
   sarvārthasiddhaḥ sambuddho bhaveyaṃ sattvavatsalaḥ |	sarva-arTa-sidDaH sambudDaH Baveyam sattva-vatsalaH |
   sarvāmalaguṇaḥ śrīmān sarvadravyānvitaḥ sukhī |5|	sarva-amala-guNaH SrImAn sarva-dravya-anvitaH suKI |5|
   Sva Roy 278,3 - 280,2	Svas Roy 278,3  280,2
   [103] athaitat prāṇidhānakaraṇasamakālam eva virūpasya dārakasya sahasaiva	[103] aTa-etat prANi-DAna-karaNa-sama-kAlam eva virUpasya dArakasya sahasA-eva
   sā virūpatāntarhitā surūpaḥ samvṛtto darśanīyaḥ prāsādikaḥ	sA virUpatA-antarhitA surUpaH samvRttaH darSanIyaH prAsAdikaH
   suvarṇavarṇagātracchaviḥ sahasaiva cāsyākasmād ā kāśād āgatya	suvarNa-varNa-gAtra=-CaviH sahasA-eva ca-asya-akasmAt A kASAt Agatya
   suvarṇavarṇair vastraiḥ śarīrām ācchāditaṃ | mahārhaiś	suvarNa-varNEH vastrEH SarIrAm AcCAditam | mahArhEH-
   cāṅgadakuṇḍalādibhir alaṅkāraviśeṣair | devatābhiś ca	ca-aFgada-kuNxala-AdiBiH alaFkAra-viSezEH | devatABiH ca
   karṇikārotpalacampakapadmakumudamāndārakādikam mahat kusumavarṣaṃ pātitaṃ	karNikAra-utpala-campaka-padma-kumuda-mAndAraka-Adikam mahat kusuma-varzam pAtitam
   | divyañ candanāgurukuṅkumatamālapatracūrṇavarṣaṃ pramuktam evañ	| divyan candana-aguru-kuFkuma-tamAla-patra-cUrNa-varzam pramuktam evan-
   codghuṣṭam aho tathāgatāvaropitasya dānabījasy_iṣṭho viśiṣṭhaś cāṅkuraḥ	ca-udGuzwam aho taTAgata-avaropitasya dAna-bIjasi-_izWaH viSizWaH ca-aFkuraH
   samutpanna iti | tena ca divyena puṣpacūrṇavarṣeṇa sarvan tad udyānaṃ	samutpannaH iti | tena ca divyena puzpa-cUrNa-varzeNa sarvan tat udyAnam
   jānumātreṇaughenāvasthitam atha bhagavān vipaśyī samyaksambuddhas tasmād	jAnu-mAtreNa-oGena-avasTitam aTa BagavAn vipaSyI samyaksambudDaH tasmAt-
   udyānān niṣkramya bandhumatīyakaṃ dāvaṅ gataḥ |	udyAnAt nizkramya banDumatIyakam dAvaF gataH |
   Sva Roy 280,2 - 283,2	Svas Roy 280,2  283,2
   [104] karṇo 'pi sārthavāho bhāryām uvāca | bhadre so 'smākaṃ putraḥ kva	[104] karNaH api sArTavAhaH BAryAm uvAca | Badre saH asmAkam putraH kva
   gato yam āgamyāsmākam īdṛśī vipattir abhūd iti | sā kathayaty udyānaṃ	gataH yam Agamya-asmAkam IdRSI vipattiH aBUt iti | sA kaTayati udyAnam
   gacchāmīti tena samākhyātaṃ | tad gaccha śīghraṃ mā sa tatrodvignamanā	gacCAmi-iti tena samAKyAtam | tat gacCa SIGram mA sa tatra-udvigna-manA
   ātmānaṃ praghātayiṣyatīti | karṇaḥ sārthavāhaḥ kathayati | kin nāmāsāv	AtmAnam praGAtayizyati-iti | karNaH sArTavAhaH kaTayati | kid nAma-asO=-
   asmākaṃ putraḥ kīdṛśo veti | sā kathayaty āryaputra paramavirūpadarśano	asmAkam putraH kIdRSaH vA-iti | sA kaTayati Arya-putra parama-virUpa-darSanaH-
   virūpākhyaś ceti || tataḥ sārthavāhas tvaritagatipracāratayā tad udyānaṃ	virUpa-AKyaH ca-iti || tatas sArTavAhaH tvarita-gati-pracAra-tayA tat udyAnam
   gataḥ paśyati ca virūpakumāraṃ suvarṇavarṇakāyam	gataH paSyati ca virUpa-kumAram suvarNa-varNa-kAyam
   atimahārhasūkṣmasuvarṇapītavastrācchāditaśarīraṃ sarvālaṅkāravibhūṣitam	ati-mahArha-sUkzma-suvarNa-pIta-vastra-AcCAdita-SarIram sarva-alaFkAra-viBUzitam
   atimanoharaṃ darśanadevakumāram iva paramayāśriyā dedīpyamānaṃ dṛṣṭvā ca	ati-manoharam darSana-deva-kumAram iva paramayA-aSriyA dedIpyamAnam dRzwvA ca
   punar aho dhanyaḥ saḥ puruṣo yasyāyaṃ putraḥ ity evam uktvā taṃ kumāram	punar aho DanyaH saH puruzaH yasya-ayam putraH iti evam uktvA tam kumAram
   uvāca || dāraka kasya tvaṃ putra iti | sa kathayati karṇo nāma	uvAca || dAraka kasya tvam putraH iti | sa kaTayati karNaH nAma
   sārthavāhastasyāhaṃ putra iti | karṇaḥ sārthavāhaḥ saṃlakṣayati |	sArTavAhaH-tasya-aham putraH iti | karNaH sArTavAhaH saMlakzayati |
   viheṭhito 'ham anena kumāreeti vicintya samabhivṛddhakutūhalo 'nimiṣam	viheWitaH aham anena kumArea-iti vicintya samaBivRdDa-kutUhalaH animizam
   abhivīkṣyamāṇaḥ punas taṃ kumāram uvāca | bhoḥ kumāraḥ satyaṃ kathaya	aBivIkzyamANaH punar tam kumAram uvAca | BoH kumAraH satyam kaTaya
   kasya tvaṃ putra iti virūpaḥ kathayati kim atra vicāryate | satyam evāhaṃ	kasya tvam putraH iti virUpaH kaTayati kim atra vicAryate | satyam eva-aham
   karṇasya sārthavāhasya putra iti | sa kathayaty aho 'ham anena kumāreṇa	karNasya sArTavAhasya putraH iti | sa kaTayati aho aham anena kumAreNa
   suviḍambitaḥ kṛta iti | matvā kathayati | kumāra śrutam mayātivirūpa sa	su-vixambitaH kRtaH iti | matvA kaTayati | kumAra Srutam mayA-ativirUpa sa
   iti tvaṃ cābhirūpaḥ | tata kenopāyenābhirūpatā tavābhinivṛtteti ||	iti tvam ca-aBirUpaH | tata kena-upAyena-aBirUpa-tA tava-aBinivRttA-iti ||
   Sva Roy 283,2 - 287,3	Svas Roy 283,2  287,3
   [105] virūpaḥ kumāraḥ prītivikasitākṣo mahatā svareṇovāca |	[105] virUpaH kumAraH prIti-vikasita-akzaH mahatA svareNa-uvAca |
   adya dāridraduḥkhāgniparitāpitacetasā |	adya dAridra-duHKa-agni-paritApita-cetasA |
   vṛkṣaśākhām āruhya mayā hy ātmā nipātitaḥ |1|	vRkza-SAKAm Aruhya mayA hi AtmA nipAtitaH |1|
   patitaś cāṅgabhaṅgārto mūrchām aham upāgataḥ |	patitaH ca-aFga-BaFga-ArtaH mUrCAm aham upAgataH |
   niśceṣṭo 'haṃ nirucchvāsaḥ kṣaṇamātram avasthitaḥ |2|	niScezwaH aham nirucCvAsaH kzaNa-mAtram avasTitaH |2|
   tato vipaśyī samyaksambuddhaḥ satvānāṃ hy anukampakaḥ |	tatas vipaSyI samyaksambudDaH satvAnAm hi anukampakaH |
   mamānukampayā nātha udyānam idam āgataḥ |3|	mama-anukampayA nATaH udyAnam idam AgataH |3|
   dvātriṃśallakṣaṇadharaḥ sūttaptakanakacchaviḥ |	dvAtriMSat-lakzaNa-DaraH su-uttapta-kanaka=-CaviH |
   vilīnakanakābhābhiḥ pūrayan diśo daśā |4|	vilIna-kanaka-ABABiH pUrayan diSaH daSA |4|
   prabhayā tasya gātram me spṛṣṭamātraṃ suśītayā |	praBayA tasya gAtram me spRzwa-mAtram su-SItayA |
   prahlāditam idaṃ sarvamatulāmṛtadhārayā |5|	prahlAditam idam sarvam-atula-amRta-DArayA |5|
   kṣuttṛṣṇāpātaduḥkhañ ca niḥśeṣam aśivam mama |	kzut-tRzNA-pAta-duHKan ca niHSezam aSivam mama |
   tatkṣaṇaṃ praśamaṃ yātaṃ cetanāñ cāptavān ahaṃ |6|	tad-kzaNam praSamam yAtam cetanAn ca-AptavAn aham |6|
   kim etad iti sotsāham utthito 'haṃ munin tadā |	kim etat iti sa-utsAham utTitaH aham munin tadA |
   paśyāmi kāntam atyantaṃ janalakṣmīniketana |7|	paSyAmi kAntam atyantam jana-lakzmI-niketanaH |7|
   dṛṣṭvā draṣṭavyaratnam me tan nāthaṃ parayā śriyā	dRzwvA drazwavya-ratnam me tat nATam parayA SriyA
   vidyotantaṃ diśaḥ kṛtsnāḥ prasādo hy abhavat pūrā |8|	vidyotantam diSaH kRtsnAH prasAdaH hi aBavat pUrAH |8|
   tataḥ prahṛṣṭacittena vastrakhaṇḍalakam mayā	tatas prahRzwa-cittena vastra-KaNxalakam mayA
   hāridrāraktakaṃ kṣiptaṃ tasyaiva parayā mudā |9|	hAridrA-raktakam kziptam tasya-eva parayA mudA |9|
   karṇikārasya me puṣpam kaṃ tasyaiva sadyateḥ |	karNikArasya me puzpam kam tasya-eva sat-yateH |
   kṣiptaṃ tac copari muneḥ chattravat samavasthitaṃ |10|	kziptam tat ca-upari muneH Cattra-vat samavasTitam |10|
   tatrāpi hṛṣṭacittena praṇipatya ca pādayoḥ |	tatra-api hRzwa-cittena praNipatya ca pAdayoH |
   mayā prasādajātena praṇidhānam idaṃ kṛtaṃ |11|	mayA prasAda-jAtena praNiDAnam idam kRtam |11|
   anena nātha dānena adyaivāham virūpatāṃ |	anena nATa dAnena adya-eva-aham virUpa-tAm |
   parityajya surūpaś ca bhaveyaṃ hi bhavārṇave |12|	parityajya surUpaH ca Baveyam hi Bava-arNave |12|
   suvarṇavarṇair vastraiś ca hemapītair viguṇṭhitaḥ |	suvarNa-varNEH vastrEH ca hema-pItEH viguNWitaH |
   candanotpalagandhaś ca kāyād vaktrāc ca me bhavet |13|	candana-utpala-ganDaH ca kAyAt vaktrAt ca me Bavet |13|
   ity etat praṇidhānañ ca mayā kṛtam idañ ca me |	iti etat praNiDAnan ca mayA kRtam idan ca me |
   rūpam evamvidhaṃ varṇaṃ prādurbhūtan manoramaṃ |14|	rUpam evamviDam varNam prAdurBUtat manoramam |14|
   mahārhāṇi ca vastrāṇi pītāny atimṛdūni ca |	mahArhANi ca vastrANi pItAni ati-mRdUni ca |
   sahasaivādya kāye me prādurbhūtāni tatkṣaṇāt |15|	sahasA-eva-adya kAye me prAdurBUtAni tad-kzaNAt |15|
   devatābhir idaṃ muktaṃ puṣpavarṣan nabhastalāt |	devatABiH idam muktam puzpa-varzan naBastalAt |
   candanāgurucūrṇañ ca tamālatagarādikaṃ |16|	candana-aguru-cUrNan ca tamAla-tagara-Adikam |16|
   hāhākāro mahāṃś caiva dundhubhiś ca manoharaḥ |	hAhAkAraH mahAn ca-eva dunDuBiH ca manoharaH |
   namas te bhagavan buddha iti ghoṣa udīritaḥ |17|	namaH te Bagavan budDaH iti GozaH udIritaH |17|
   etat kṛtvādya kuśalaṃ mamedaṃ rūpam īdṛśaṃ |	etat kRtvA-adya kuSalam mama-idam rUpam IdRSam |
   prādurbhūtam manāpañ ca varṇaṃ kāñcanasannibhaṃ |18|	prAdurBUtam manApan ca varNam kAQcana-sanniBam |18|
   ity	iti-
   Sva Roy 287,3 - 288,3	Svas Roy 287,3  288,3
   [106] athaitad upaśrutya karṇaḥ sārthavāhaḥ sahasaiva sahasraiḥ	[106] aTa-etat upaSrutya karNaH sArTavAhaH sahasA-eva sahasrEH
   prasādakaṇṭakitasarvaromakūpaḥ kṛtāñjalir vipaśyinaṃ tathāgataṃ muhur	prasAda-kaNwakita-sarva-romakUpaH kRtAQjaliH vipaSyinam taTAgatam muhur-
   muhur namasyamānaḥ paramaprītisaumanasya jātaḥ surūpaṃ putram animiṣam	muhur namasyamAnaH parama-prIti-sOmanasya jAtaH surUpam putram animizam
   abhivīkṣya prāha | putra āgaccha gacchāva ity atha surūpaḥ kumāraḥ pitāyaṃ	aBivIkzya prAha | putraH AgacCa gacCAvaH iti aTa surUpaH kumAraH pitA-ayam
   mamety utpannabahumānaḥ pituḥ pādābhivandanaṃ kṛtvā svāgataṃ tātety uktvā	mama-iti utpanna-bahu-mAnaH pituH pAda-aBivandanam kRtvA svAgatam tAta-iti uktvA
   pitrā sārddhaṃ gantuṃ saṃprasthitaḥ |	pitrA sArdDam gantum saMprasTitaH |
   Sva Roy 288,3 - 290,291	Svas Roy 288,3  290,291
   [107] śakrasya devānām indrasyādhastāj jñānadarśanaṃ pravartate |	[107] Sakrasya devAnAm indrasya-aDastAt jQAna-darSanam pravartate |
   tasyaitad abhavat ayaṃ karṇaḥ sārthavāho bhagavati buddhe kṛtādhikāraḥ tan	tasya-etat aBavat ayam karNaH sArTavAhaH Bagavati budDe kRta-aDikAraH tan
   nāyam arhati tṛṇāgāre vastum iti viditvā viśvakarmāṇaṃ devaputram	na-ayam arhati tRNAgAre vastum iti viditvA viSvakarmANam deva-putram
   āmantrayate | gaccha viśvakarman karṇasya sārthavāhasya catūratnamayañ	Amantrayate | gacCa viSvakarman karNasya sArTavAhasya catU-ratna-m-ayan-
   caturdvāram ardhāṣṭamatalakaṃ gṛham abhinirmimīṣveti | tato viśvakarmaṇā	catur-dvAram arDa-azwama-talakam gRham aBinirmimIzva-iti | tatas viSvakarmaNA
   śakrasya devendrasya pratiśrutya tatkṣaṇād eva bandhumatīrājadhānīm āgatya	Sakrasya deva-indrasya pratiSrutya tad-kzaNAt eva banDumatI-rAjaDAnIm Agatya
   catūratnamayeṣṭakastambhasañcitam uttuṅgarucirāṭṭālakaṃ	catUratna-maya-izwaka-stamBa-saQcitam uttuFga-rucira-awwAlakam
   gavākṣaniryūhakapotamālāsuvinyastāṅgāphalakanāgadantakam	gavAkza-niryUha-kapota-mAlA-su-vinyasta-aFgA-Palaka-nAgadantakam
   atyuccārddhāṣṭamatalakam atiramaṇīyatoraṇopaśobhitadvāraṃ	ati-ucca-ardDA-azwama-talakam ati-ramaNIya-toraNa-upaSoBita-dvAram
   śarajaladharābhrakūṭahimanikararāśiśikaramṛṇālāvadātocchritacchatradhvajapatākam	Sara-jala-Dara-aBra-kUwa-hima-nikara-rASi-Sikara-mRNAla-avadAta-ucCrita=-Catra-Dvaja-patAkam
   āmuktapaṭudāmakalāpaṃ sakalapuravaropaśobhāniketabhūtam	Amukta-pawu-dAma-kalApam sakala-pura-vara-upaSoBA-niketa-BUtam
   atirucirakanakamayābhinavaviniḥsṛtatāmracūtapallavopaśobhitamukham	ati-rucira-kanaka-maya-aBinava-viniHsRta-tAmra-cUta-pallava-upaSoBita-muKam
   aṣṭāṅgaśītalāmbuparipūrṇakumbhopaśobhitadvāram	azwAFgaSItala-ambu-paripUrNa-kumBa-upaSoBita-dvAram
   aparimitarajatavaidūryasphaṭikamusāragalvendranīlamahānīlādiratnaparipūrṇānekanidhisahasrāpūryamāṇaṃ	aparimita-rajata-vEdUrya-sPawika-musAra-galva-indranIla-mahAnIlA-Adi-ratna-paripUrNa-aneka-niDi-sahasra-ApUryamANam
   śeṣānardhadravyopakaraṇaparipūrṇaṃ gṛhavaram abhinirmitaṃ ||	SezAn-arDa-dravya-upakaraNa-paripUrNam gRha-varam aBinirmitam ||
   Sva Roy 291,1 - 298,2	Svas Roy 291,1  298,2
   [108] atha karṇaḥ sārthavāho gṛham āgato bhāryayā cāsya	[108] aTa karNaH sArTavAhaH gRham AgataH BAryayA ca-asya
   hṛṣṭatuṣṭapramuditayā sauvarṇena bhṛṅgāreṇārgham anupradattaṃ | uktaś	hRzwa-tuzwa-pramuditayA sOvarNena BRFgAreNa-arGam anupradattam | ukta-S
   cāryaputra tvatpuṇyānubhāvād īdṛśaḥ kenāpi bhavanavaram abhinirmitam ity	ca-Arya-putra tvad-puNya-anuBAvAt IdRSaH kena-api Bavana-varam aBinirmitam iti-
   atha karṇaḥ sārthavāhas taṃ bhavanavaram abhivīkṣya paramaprītisaumanasya	aTa karNaH sArTavAhaH tam Bavana-varam aBivIkzya parama-prIti-sOmanasya
   jātaḥ sutarāṃ buddhe bhagavati utpannaprasādopajanitaromāñcaḥ śirasi	jAtaH sutarAm budDe Bagavati utpanna-prasAda-upajanita-romAQcaH Sirasi
   kṛtakarapuṭāñjalir namas tasmai bhagavate tathāgatāyārhate	kRta-kara-puwa-aQjaliH namaH tasmE Bagavate taTAgatAya-arhate
   samyaksambuddhāyācintyācintāmaṇaye 'nuttarāya puṇyakṣetrāyety uktvā	samyaksambudDAya-acintya-AcintAmaNaye anuttarAya puNya-kzetrAya-iti uktvA
   praharṣapūrṇavadanakamalaḥ prāha ||	praharza-pUrNa-vadana-kamalaH prAha ||
   aho guṇamayaṃ kṣetraṃ sarvadoṣavivarjitaṃ |	aho guNa-mayam kzetram sarva-doza-vivarjitam |
   yatra nyastaṃ mayā bījamadyaiva phaladāyakaṃ |1|	yatra nyastam mayA bIjam-adya-eva Pala-dAyakam |1|
   kva tat parīttaṃ dānaṃ me sarvasaṃskāvavarjitaṃ |	kva tat parIttam dAnam me sarva-saMskAva-varjitam |
   kva cedaṃ ramyam uttuṅgaṃ hemaratnamayaṃ gṛhaṃ |2|	kva ca-idam ramyam uttuFgam hema-ratna-mayam gRham |2|
   kva tat kuḍyāvaśeṣan me gṛhaṃ śokavivardhanaṃ |	kva tat kuxya-avaSezan me gRham Soka-vivarDanam |
   kva cedam abhranirmuktaśaśāṅkarapāṇḍuraṃ |3|	kva ca-idam aBra-nirmukta-SaSAFkara-pANxuram |3|
   kva ca tan mūṣikākīṭacchidravātāyanaṃ gṛhaṃ ||	kva ca tat mUzikA-kIwa=-Cidra-vAtAyanam gRham ||
   kva cedaṃ pravarānekaratnavātāyanaṃ gṛhaṃ |4|	kva ca-idam pravara-aneka-ratna-vAtAyanam gRham |4|
   kva tat kruddhaiḥ śvabhir vyāptaṃ kaṇṭakāmedhyasaṃkulaṃ |	kva tat krudDEH SvaBiH vyAptam kaNwaka-ameDya-saMkulam |
   gṛham etat purā citraṃ kva cedaṃ ratnasañcitaṃ |5|	gRham etat purA citram kva ca-idam ratna-saQcitam |5|
   kva tad bhujaṅganirmokapralambāmbarasaṃkulaṃ |	kva tat BujaFga-nirmoka-pralamba-ambara-saMkulam |
   kva cedaṃ sūkṣavastraśrīcitracāmaralambitaṃ |6|	kva ca-idam sUkza-vastra-SrI-citra-cAmara-lambitam |6|
   kva tac chvabhir upanītaṃ sitāsthiprakaraṃ gṛhaṃ ||	kva tat SvaBiH upanItam sita-asTi-prakaram gRham ||
   kvedaṃ surabhisatpuṣpāmuktaprakaraśobhitaṃ |7|	kva-idam suraBi-sat-puzpa-amukta-prakara-SoBitam |7|
