   (Msa 1)	(MsaH 1)
   bodhisatvānām asamaṃ tadanyaiḥ kauśalyam ity ayaṃ prabhedaḥ |	boDisatvAnAm asamam tad anyEH kOSalyam iti ayam praBedaH |
   sarvasvaparārthasādhanaṃ karma | dhāraṇīvibhāge trayaḥ ślokāḥ |	sarva sva para arTa sADanam karma | DAraNI viBAge trayaH SlokAH |
   vipākena śrutābhyāsāt dhāraṇy api samādhinā |	vipAkena Sruta aByAsAt DAraNi api samADinA |
   parīttā mahatī sā ca mahatī trividhā punaḥ || AMsa_18.71 ||	parIttA mahatI sA ca mahatI triviDA punar || AMsaH _18.71 ||
   apraviṣṭapraviṣṭānāṃ dhīmatāṃ mṛdumadhyamā |	apravizwa pravizwAnAm DImatAm mRdu maDyamA |
   aśuddhabhūmikānāṃ hi mahatī śuddhabhūmikā || AMsa_18.72 ||	aSudDa BUmikAnAm hi mahatI SudDa BUmikA || AMsaH _18.72 ||
   dhāraṇītāṃ samāśritya bodhisatvā punaḥ punaḥ |	DAraNItAm samASritya boDisatvA punar punar |
   prakāśayanti saddharmaṃ nityaṃ saṃdhārayanti ca || AMsa_18.73 ||	prakASayanti sadDarmam nityam saMDArayanti ca || AMsaH _18.73 ||
   atrāpi prabhedaḥ karma ca dhāraṇyāḥ darśitaṃ | tatra trividhā dhāraṇī |	atra api praBedaH karma ca DAraNyAH darSitam | tatra triviDA DAraNI |
   pūrvakarmavipākena | śrutābhyāsena | dṛṣṭadharmabāhuśrutyena	pUrva karma vipAkena | Sruta aByAsena | dRzwa Darma bAhu Srutyena
   grahaṇadhāraṇasāmarthyaviśeṣaṇāt | samādhisaṃniśrityena ca | sā punar	grahaNa DAraNa sAmarTya viSezaNAt | samADi saMniSrityena ca | sA punar 
   vipākaśrutābhyāsābhyāṃ parīttā veditavyā | samādhinā mahatī sāpi mahatī	vipAka Sruta aByAsAByAm parIttA veditavyA | samADinA mahatI sA api mahatI
   punas trividhā | abhūmipraviṣṭānāṃ mṛdvī bhūmipraviṣṭānāṃ	punar triviDA | aBUmi pravizwAnAm mRdvI BUmi pravizwAnAm
   akuśalabhūmikānāṃ madhyā saptasu bhūmiṣu | pariśuddhabhūmikā tv adhimātrā	akuSala BUmikAnAm maDyA saptasu BUmizu | pariSudDa BUmikA tu aDimAtrA
   śeṣāsu bhūmiṣu ity ayaṃ prabhedo dhāraṇyāḥ | saddharmasya prakāśanaṃ	SezAsu BUmizu iti ayam praBedaH DAraNyAH | sadDarmasya prakASanam
   dhāraṇaṃ ca karma | praṇidhānavibhāge trayaḥ ślokāḥ |	DAraNam ca karma | praNiDAna viBAge trayaH SlokAH |
   cetanā chandasahitā jñānena preritā ca tat |	cetanA Canda sahitAH jQAnena preritA ca tat |
   praṇidhānaṃ hi dhīrāṇām asamaṃ sarvabhūmiṣu || AMsa_18.74 ||	praNiDAnam hi DIrANAm asamam sarva BUmizu || AMsaH _18.74 ||
   hetubhūtaṃ ca vijñeyaṃ cittāt sadyaḥ phalaṃ ca tat |	hetu BUtam ca vijQeyam cittAt sadyas Palam ca tat |
   āyatyām arthasiddhyarthaṃ cittamātrāt samṛddhitaḥ || AMsa_18.75 ||	AyatyAm arTa sidDi arTam cittamAtrAt samRdDitaH || AMsaH _18.75 ||
   citraṃ mahadviśuddhaṃ ca uttarottarabhūmiṣu |	citram mahat viSudDam ca uttarottara BUmizu |
   ā bodher bodhisatvānāṃ svaparārthaprasādhakaṃ || AMsa_18.76 ||	A boDeH boDisatvAnAm sva para arTa prasADakam || AMsaH _18.76 ||
   (Msa 148)	(MsaH 148)
   atra praṇidhānaṃ svabhāvato nidānato bhūmitaḥ prabhedataḥ karmataś ca	atra praNiDAnam svaBAvataH nidAnataH BUmitaH praBedataH karmataH ca
   paridīpitaṃ | cetanā chandasaṃprayuktā svabhāvaḥ | jñānaṃ nidānaṃ |	paridIpitam | cetanA Canda saMprayuktA svaBAvaH | jQAnam nidAnam |
   sarvabhūmiṣv iti bhūmiḥ | tac ca praṇidhānaṃ hetubhūtaṃ | cittād eva	sarva BUmizu iti BUmiH | tat ca praNiDAnam hetu BUtam | cittAt eva
   sadyaḥ phalatvāt | āyatyāṃ vābhipretārthasiddhyarthaṃ cittāt punaḥ	sadyas Pala tvAt | AyatyAm vA aBipreta arTa sidDi arTam cittAt punar 
   sadyaḥphalaṃ cittamātrāt yathārthasamṛddhitā vedutavyā | yena praṇihānena	sadyaHPalam cittamAtrAt yaTA arTa samRdDi tAH vedutavyAH | yena praNihAnena
   balikā bohisatvā vikrīḍanti | yasya na sukarā saṃkhyā kartuṃ kāyasya veti	balikA bohisatvA vikrIxanti | yasya na sukarA saMKyA kartum kAyasya vA iti
   vistaraḥ | citram adhimukticaryābhūmāv evaṃ ca syām iti |	vistaraH | citram aDimukti caryA BUmO evam ca syAm iti |
   mahadbhūmipraviṣṭasya daśa mahāpraṇidhānāni | viśuddhaṃ uttarottarāsu	mahat BUmi pravizwasya daSa mahA praNiDAnAni | viSudDam uttarottarAsu
   bhūmiṣu viśuddhiviśeṣād ā bodher ity eṣa prabhedataḥ |	BUmizu viSudDi viSezAt A boDeH iti eza praBedataH |
   svaparārthaprasādhanaṃ karma | samādhitrayavibhāge trayaḥ ślokāḥ |	sva para arTa prasADanam karma | samADi trayaviBAge trayaH SlokAH |
   nairātmyaṃ dvividhaṃ jñeyo hy ātmagrāhasya cāśrayaḥ |	nErAtmyam dviviDam jQeyaH hi Atma grAhasya ca ASrayaH |
   tasya copaśamo nityaṃ samādhitrayagocaraḥ || AMsa_18.77 ||	tasya ca upaSamaH nityam samADi traya gocaraH || AMsaH _18.77 ||
   trayāṇāṃ samādhīnāṃ trividho gocaro jñeyaḥ | pudgalanairātmyaṃ	trayANAm samADInAm triviDaH gocaraH jQeyaH | pudgala nErAtmyam
   śūnyatāsamādheḥ | tadubhayātmagrāhasyāśrayaḥ pañcopadānaskandhā	SUnyatA samADeH | tad uBaya Atma grAhasya ASrayaH paQca upadAna skanDA
   apraṇihitasamādheḥ | tasyāśrayasyātyanatopaśama ānimittasamādheḥ | sa eva	apraNihita samADeH | tasya ASrayasya atyanata upaSamaH Animitta samADeH | saH eva
   samādhis trividho jñeyo grāhyagrāhakabhāvataḥ |	samADiH triviDaH jQeyaH grAhya grAhaka BAvataH |
   trividhasya grāhasya gocarasya grāhakā ye samādhayaḥ | te	triviDasya grAhasya gocarasya grAhakAH ye samADayaH | te
   śūnyatādisamādhayaḥ iti grāhyagrāhakabhāvena trayaḥ samādhayo jñātavyāḥ |	SUnyatA Adi samADayaH iti grAhya grAhaka BAvena trayaH samADayaH jQAtavyAH |
   te punar yathākramaṃ |	te punar yaTAkramam |
   nirvikalpo 'pi vimukho ratiyuktaś ca sarvadā || AMsa_18.78 ||	nirvikalpaH api vimuKaH rati yuktaH ca sarvadA || AMsaH _18.78 ||
   śūnyatāsamādhir nirvikalpaḥ | pudgaladharmātmanor avikalpanāt | apraṇihito	SUnyatA samADiH nirvikalpaH | pudgala Darma AtmanoH avikalpanAt | apraNihitaH 
   vimukhas tasmād ātmagrāhāśrayāt | ānimitto ratisamprayuktaḥ sarvakālaṃ	vimuKaH tasmAt Atma grAha ASrayAt | AnimittaH rati samprayuktaH sarvakAlam
   tasmiṃs tadāśrayopaśame |	tasmin tad ASraya upaSame |
   parijñāyai prahāṇāya punaḥ sākṣātkriyāya ca |	parijQAyE prahANAya punar sAkzAt kriyAya ca |
   śūnyatādisamādhīnāṃ tridhārthaḥ parikīrtitaḥ || AMsa_18.79 ||	SUnyatA Adi samADInAm triDA arTaH parikIrtitaH || AMsaH _18.79 ||
   pudgalanairātmyayayoḥ parijñārthaṃ śūnyatā | tad ātmagrāhāśrayasya	pudgala nErAtmyayayoH parijQA arTam SUnyatA | tat Atma grAha ASrayasya
   prahāṇārtham apraṇihitaḥ | tadupśamasya sākṣātkriyārtham ānimittaḥ	prahANa arTam apraNihitaH | tad upSamasya sAkzAtkriyA arTam AnimittaH
   samādhiḥ | dharmoddānavibhāge ślokau |	samADiH | Darma uddAna viBAge SlokO |
   samādhyupaniṣattvena dharmoddānacatuṣṭayaṃ |	samADi upanizad tvena Darma uddAna catuzwayam |
   deśitaṃ bodhisatvebhyaḥ satvānāṃ hitakāmyayā || AMsa_18.80 ||	deSitam boDisatveByaH satvAnAm hita kAmyayA || AMsaH _18.80 ||
   (Msa 149)	(MsaH 149)
   tatra saṃskārā anityāḥ sarvasaṃskārā duḥkhāḥ ity apraṇihitasya	tatra saMskArAH anityAH sarva saMskArAH duHKAH iti apraNihitasya
   samādhyupaniṣatbhāvena deśitaṃ | sarvadhamrā anātmāna ity śūnyatāyāḥ |	samADi upanizad BAvena deSitam | sarva DamrAH anAtmAnaH iti SUnyatAyAH |
   śāntaṃ nirvāṇam iti ānimittasya samādheḥ | kaḥ punar anityārtho yāvac	SAntam nirvANam iti Animittasya samADeH | kaH punar anitya arTaH yA avat 
   chāntārthaḥ ity āha |	CAnta arTaH iti Aha |
   asadartho 'vikalpārthaḥ parikalpārtha eva ca |	asat arTaH avikalpa arTaH parikalpa arTaH eva ca |
   vikalpopaśamārthaś ca dhīmatāṃ tac catuṣṭayam || AMsa_18.81 ||	vikalpa upaSama arTaH ca DImatAm tat catuzwayam || AMsaH _18.81 ||
   bodhisatvānām asadartho 'nityārthaḥ | yan nityaṃ nāsti tad anityaṃ teṣāṃ	boDisatvAnAm asat arTaH anitya arTaH | yat nityam na asti tat anityam tezAm
   yat parikalpitalakṣaṇaṃ | abhūtavikalpārtho duḥkhārtho yat	yat parikalpita lakzaNam | aBUta vikalpa arTaH duHKa arTaH yat 
   paratantralakṣaṇaṃ | parikalpamātrārtho 'nātmārthaḥ | evaśabdenāvadhāraṇaṃ	paratantra lakzaNam | parikalpa mAtra arTaH anAtma arTaH | eva Sabdena avaDAraNam
   parikalpata ātmā nāsti parikalpamātraṃ tv astīti	parikalpataH AtmA na asti parikalpa mAtram tu asti iti
   parikalpitalakṣaṇasyābhāvārtho 'nātmārtha ity uktaṃ bhavati |	parikalpita lakzaNasya aBAva arTaH anAtma arTaH iti uktam Bavati |
   vikalpopaśamārthaḥ pariniṣpannalakṣaṇaṃ nirvāṇaṃ | kṣaṇabhaṅgārtho 'py	vikalpa upaSama arTaH parinizpanna lakzaNam nirvANam | kzaNa BaFga arTaH api 
   anityārtho veditavyaḥ paratantralakṣaṇasya | atas tatsādhanārthaṃ	anitya arTaH veditavyaH paratantra lakzaNasya | atas tad sADana arTam
   kṣaṇikatvavibhāge daśa ślokāḥ |	kzaNika tva viBAge daSa SlokAH |
   ayogād dhetuto 'tpatter virodhāt svayam asthiteḥ |	ayogAt DetutaH atpatteH viroDAt svayam asTiteH |
   abhāvāl lakṣaṇaikāntyād anuvṛtter nirodhataḥ || AMsa_18.82 ||	aBAvAt lakzaNa EkAntyAt anuvRtteH niroDataH || AMsaH _18.82 ||
   pariṇāmopalabdheś ca taddhetutvaphalatvataḥ |	pariNAma upalabDeH ca tad hetu tva PalatvataH |
   upāttatvādhipatvāc ca śuddhasatvānuvṛttitaḥ || AMsa_18.83 ||	upAttatva aDipatvAt ca SudDa satva anuvRttitaH || AMsaH _18.83 ||
   tatra kṣaṇikaṃ sarvaṃ saṃskāram iti paścād vacanād iyaṃ pratijñā veditavyā	tatra kzaNikam sarvam saMskAram iti paScAt vacanAt iyam pratijQA veditavyA
   | tat punaḥ kathaṃ sidhyati | kṣaṇikatvam antareṇa saṃskārāṇāṃ pravṛtter	| tat punar kaTam siDyati | kzaNika tvam antareNa saMskArANAm pravRtteH 
   ayogāt | prabandhena hi vṛttiḥ pravṛttiḥ | sā cāntareṇa pratikṣaṇam	ayogAt | prabanDena hi vRttiH pravRttiH | sA ca antareNa pratikzaNam
   utpādanirodhau na yujyate | atha kālāntaraṃ sthitvā	utpAda niroDO na yujyate | aTa kAla antaram sTitvA
   pūrvottaranirodhotpādataḥ prabandheneṣyate vṛttiḥ | tadanantaraṃ pravṛttir	pUrva uttara niroDa utpAdataH prabanDena izyate vRttiH | tad anantaram pravRttiH 
   na syāt prabandhābhāvāt naiva cotpannasya vinā prabandhena kālāntaraṃ	na syAt prabanDa aBAvAt na eva ca utpannasya vinA prabanDena kAla antaram
   bhāvo yujyate | kiṃ kāraṇaṃ hetuta utpattiḥ | hetuto hi sarvaṃ saṃskṛtam	BAvaH yujyate | kim kAraNam hetutaH utpattiH | hetutaH hi sarvam saMskRtam
   utpadyate bhavatīty arthaḥ | tad yadi bhūtvā punar uttarakālaṃ bhavati	utpadyate Bavati iti arTaH | tat yadi BUtvA punar uttara kAlam Bavati
   tasyāvaśyaṃ hetunā bhavitavyaṃ | vināhetunā ādita ivābhāvāt | na ca tat	tasya avaSyam hetunA Bavitavyam | vinA hetunA Aditas iva aBAvAt | na ca tat 
   tenaiva hetunā bhavitum arhati tasyopayuktahetukatvāt | na cānyo hetur	tena eva hetunA Bavitum arhati tasya upayukta hetuka tvAt | na ca anyaH hetuH 
   uplabhyate | tasmāt pratikṣaṇam avaśyaṃ pūrvahetukam anyad bhavatīti	uplaByate | tasmAt pratikzaNam avaSyam pUrva hetukam anyat Bavati iti
   veditavyaṃ | evaṃ vinā prabandhenotpannasya kālāntaraṃ bhāvo no yujyate |	veditavyam | evam vinA prabanDena utpannasya kAla antaram BAvaH naH yujyate |
   atha apy evam iṣyata notpannaṃ punar utpadyate yad arthaṃ hetunā	aTa api evam izyata na utpannam punar utpadyate yat arTam hetunA
   bhavitavyaṃ syād utapannaṃ tu kālāntareṇa paścān nirudhyate notpannamātram	Bavitavyam syAt utapannam tu kAla antareNa paScAt niruDyate na utpanna mAtram
   eveti | tatpaścāt kena nirudhyate | yad utpādahetunaiva tad ayuktaṃ | kiṃ	eva iti | tad paScAt kena niruDyate | yat utpAda hetunA eva tat ayuktam | kim
   kāraṇaṃ | utpādnirodhayor virodhāt | na hi virodhayos tulyo hetur	kAraNam | utpAdniroDayoH viroDAt | na hi viroDayoH tulyaH hetuH 
   upalabhyate | tad yathā chāyātapayoḥ śītoṣṇayoś ca |	upalaByate | tat yaTA CAyA AtapayoH SIta uzNayoH ca |
   kālāntaranirodhasyaiva (Msa 150) ca virodhāt | kena virodhāt | āgamena ca	kAla antara niroDasya eva (MsaH 150) ca viroDAt | kena viroDAt | Agamena ca
   | yad uktaṃ bhagavatā | māyopamās te bhikṣo saṃskārā āpāyikās tāvat kālikā	| yat uktam BagavatA | mAyA upamAH te Bikzo saMskArAH ApAyikAH tAvat kAlikA
   itvarapratyupasthāyina iti | manaskāreṇa ca yogināṃ | te hi saṃskārāṇām	itvara pratyupasTAyinaH iti | manaskAreNa ca yoginAm | te hi saMskArANAm
   udayavyayau manasikurvantaḥ pratikṣaṇaṃ teṣāṃ nirodhaṃ paśyanti | anyathā	udaya vyayO manasikurvantaH pratikzaNam tezAm niroDam paSyanti | anyaTA
   hi teṣām api nirvidvirāgavimuktayo na syur yathānyeṣāṃ maraṇakālādiṣu	hi tezAm api nirvidvirAga vimuktayaH na syuH yaTA anyezAm maraNa kAla Adizu
   nirodhaṃ paśyantāṃ | yadi cotpannaḥ saṃskāraḥ kālāntaraṃ tiṣṭhet sa svayam	niroDam paSyantAm | yadi ca utpannaH saMskAraH kAla antaram tizWet sa svayam
   eva vā tiṣṭhet svayam eva sthātuṃ samarthaḥ | sthitikāraṇena vā kenacit |	eva vA tizWet svayam eva sTAtum samarTaH | sTiti kAraNena vA kenacid |
   svayaṃ tāvad avasthānam ayuktaṃ | kiṃ kāraṇaṃ | paścāt svayam asthiteḥ |	svayam tAvat avasTAnam ayuktam | kim kAraNam | paScAt svayam asTiteH |
   kkena vā so 'nte punaḥ sthātuṃ na samarthaḥ | sthitikāraṇenāpi na yuktaṃ	kkena vA saH ante punar sTAtum na samarTaH | sTiti kAraNena api na yuktam
   tasyābhāvāt | na hi tat kiṃcid upalabhyate | athāpi syād vināpi	tasya aBAvAt | na hi tat kiMcid upalaByate | aTa api syAt vinA api
   sthitikāraṇena vināśakāraṇābhāvāt avatiṣṭhate | labdhe tu vināśakāraṇe	sTiti kAraNena vinASa kAraNa aBAvAt avatizWate | labDe tu vinASa kAraNe
   paścād vināśayati agnineva śyāmateti | tad ayuktaṃ tasyābhāvāt | na hi	paScAt vinASayati agninA iva SyAma tA iti | tat ayuktam tasya aBAvAt | na hi
   vināśakāraṇaṃ paścād api kiṃcid asti | agnināpi śyāmatā vināśayatīti	vinASa kAraNam paScAt api kiMcid asti | agninA api SyAma tA vinASayati iti
   suprasiddhaṃ | visadṛśotpattau tu tasya sāmārthyaṃ prasiddhaṃ | tathā hi	su prasidDam | visadRSa utpattO tu tasya sAmArTyam prasidDam | taTA hi
   tatsaṃbandhāt śyāmatāyāḥ saṃtatir visadṛśī gṛhyate ma tu	tad saMbanDAt SyAma tAyAH saMtatiH visadRSI gRhyate me tu
   sarvathaivāpravṛttiḥ | apām api kvathyamānānām agnisaṃbandhād	sarvaTA eva apravRttiH | apAm api kvaTyamAnAnAm agni saMbanDAt 
   alpataratamotpattito 'timandyād ante punar anutpattir gṛhyate |	alpataratama utpattitaH ati mandyAt ante punar anutpattiH gRhyate |
   lakṣaṇaikāntyāt | ekāntikaṃ hy saṃskṛtalakṣaṇam uktaṃ bhagavatā yad uta	lakzaNa ekAntyAt | ekAntikam hi saMskRta lakzaNam uktam BagavatA yat uta
   saṃskṛtasyānityatā | tad yadi notpannamātraṃ vinaśyet | kaṃcit kālam	saMskRtasya anitya tA | tat yadi na utpanna mAtram vinaSyet | kaMcid kAlam
   asyānityatā na syād iti anaikāntikam anityatālakṣaṇaṃ prasahyate | athāpi	asya anitya tA na syAt iti anEkAntikam anitya tA lakzaNam prasahyate | aTa api
   syāt pratikṣaṇam apūrvotpattau tad evedam iti pratyabhijñānaṃ na syād iti	syAt pratikzaNam apUrva utpattO tat eva idam iti pratyaBijQAnam na syAt iti
   | tad bhavaty eva sādṛśasya anuvṛtter māyākārapalakavat | sādṛśyāt	| tat Bavati eva sAdRSasya anuvRtteH mAyA kAra palaka vat | sAdRSyAt 
   tatbuddhir na tadbhāvād iti | kathaṃ gamyate | nirodhataḥ | na hi	tad budDiH na tad BAvAt iti | kaTam gamyate | niroDataH | na hi
   tathaivāvasthitasyānte nirodhaḥ syād ādilakṣaṇanirviśiṣṭatvāt | tasmān na	taTA eva avasTitasya ante niroDaH syAt Adi lakzaNa nirviSizwa tvAt | tasmAt na
   tat tad evety avadhāryate ante pariṇāmopalabdheś ca | pariṇāmo hi	tat tat eva iti avaDAryate ante pariNAma upalabDeH ca | pariNAmaH hi
   nāmānyathātvaṃ | tad yadi nādita evārabdhaṃ bhaved ādhyātmikabāhyānāṃ	nAma anyaTAtvam | tat yadi nAditaH eva ArabDam Bavet ADyAtmika bAhyAnAm
   bhāvānām ante pariṇāmo nopalabhyeta | tasmād ādita evānyathātvam ārabdhaṃ	BAvAnAm ante pariNAmaH na upalaByeta | tasmAt Aditas eva anyaTAtvam ArabDam
   yat krameṇābhivardhamānam ante vyaktim āpadyante kṣīrasyeva	yat krameNa aBivarDamAnam ante vyaktim Apadyante kzIrasya iva
   dadhyavasthāyāṃ | yāvat tu tad anyathātvaṃ sūkṣmatvān na paricchidyate |	daDi avasTAyAm | yAvat tu tat anyaTAtvam sUkzma tvAt na paricCidyate |
   tāvat sādṛśyānuvṛttes tad evedam imi jñāyata iti siddhaṃ | tataś ca	tAvat sAdRSya anuvRtteH tat eva idam imi jQAyate iti sidDam | tatas ca
   pratikṣaṇam anyathātvāt | kṣaṇikatvaṃ prasiddhaṃ | kutaś ca prasiddhaṃ |	pratikzaNam anyaTAtvAt | kzaNika tvam prasidDam | kutas ca prasidDam |
   taddhetutvaphalatvataḥ | kṣaṇikahetutvāt | kṣaṇikaphalatvāc cety arthaḥ |	tad hetu tva PalatvataH | kzaNika hetu tvAt | kzaNika Pala tvAt ca iti arTaH |
   (Msa 151) kṣaṇikaṃ hi cittaṃ prasiddhaṃ tasya cānye saṃskārāś	(MsaH 151) kzaNikam hi cittam prasidDam tasya ca anye saMskAra aS
   cakṣūrūpādayo hetutaḥ | tasmāt te 'pi kṣaṇikā iti siddhaṃ | na tv	cakzU rUpa AdayaH hetutaH | tasmAt te api kzaNikAH iti sidDam | na tu 
   akṣaṇikāt kṣaṇikaṃ bhavitum arhati yathā nityād anytyatam iti | cittsya	akzaNikAt kzaNikam Bavitum arhati yaTA nityAt anytyatam iti | cittsya
   khalv api sarve saṃskārāḥ phalaṃ | katham idaṃ gamyate | upāttatvād	Kalu api sarve saMskArAH Palam | kaTam idam gamyate | upAtta tvAt 
   ādhipatyāc chuddhasatvānuvṛttitaś ca | cittena hi sarve saṃskārāś	ADipatyAt SudDa satva anuvRttitaH ca | cittena hi sarve saMskAra aS
   cakṣurādayaḥ sādhiṣṭhānā upāttāḥ sahasaṃmūrchnāḥ tadanugrahānuvṛttitaḥ |	cakzuH AdayaH sADizWAnAH upAttAH saha saMmUrCnAH tad anugraha anuvRttitaH |
   tasmāt te cittasya phalaṃ cittasya cādhipatyaṃ saṃskāreṣu | yathoktaṃ	tasmAt te cittasya Palam cittasya ca ADipatyam saMskArezu | yaTA uktam
   bhagavatā | cittenāyaṃ loko nīyate cittena parikṛṣyate	BagavatA | cittena ayam lokaH nIyate cittena parikRzyate
   cittasyotpannasyotpannasya vaśe vartate iti | tathā viñānapratyayaṃ nāma	cittasya utpannasya utpannasya vaSe vartate iti | taTA viQAna pratyayam nAma
   rūpam ity uktaṃ | tasmāc cittasya phalaṃ | śuddhacittānuvṛttitaś ca |	rUpam iti uktam | tasmAt cittasya Palam | SudDa citta anuvRttitaH ca |
   śuddhaṃ hi yogināṃ cittaṃ saṃskārā anuvartante | yathoktaṃ | dhyāyī	SudDam hi yoginAm cittam saMskArAH anuvartante | yaTA uktam | DyAyI
   bhikṣuḥ ṛddhimāṃś cittavaśe prāpta imaṃ dāruskandhaṃ sacet suvarṇam	BikzuH RdDimAn citta vaSe prAptaH imam dAru skanDam saced suvarNam
   adhimucyate tad apy asya tahaiva syād iti | tasmād api cittaphalaṃ	aDimucyate tat api asya tahA eva syAt iti | tasmAt api citta Palam
   saṃskārāḥ | satvānuvṛttitaś ca | tathā hi pāpakāreṣu satveṣu bāhyā bhāvā	saMskArAH | satva anuvRttitaH ca | taTA hi pApa kArezu satvezu bAhyA BAvA
   hīnā bhavanti | puṇyakāreṣu ca praṇītāḥ | atas taccittānuvartanāt	hInAH Bavanti | puNyakArezu ca praNItAH | atas tad citta anuvartanAt
   cittaphalatvaṃ saṃskārāṇāṃ siddhaṃ | tataś ca teṣāṃ kṣaṇikatvaṃ | na hi	citta Pala tvam saMskArANAm sidDam | tatas ca tezAm kzaNika tvam | na hi
   kṣaṇikasyākṣaṇikaṃ phalaṃ yujyate tadanuvidhāyitvāt | evaṃ tāvad aviśeṣeṇa	kzaNikasya akzaNikam Palam yujyate tad anuviDAyi tvAt | evam tAvat aviSezeNa
   saṃskārāṇāṃ kṣaṇikatvaṃ dvābhyāṃ ślokābhyāṃ sādhitaṃ |	saMskArANAm kzaNika tvam dvAByAm SlokAByAm sADitam |
   ādhyātmikānāṃ punaḥ sādhanārthaṃ pañca ślokā veditavyāḥ |	ADyAtmikAnAm punar sADana arTam paQca SlokAH veditavyAH |
   ādyas taratamenāpi cayenāśrayabhāvataḥ |	AdyaH taratamena api cayena ASraya BAvataH |
   vikāraparipākābhyāṃ tathā hīnaviśiṣṭataḥ || AMsa_18.84 ||	vikAra paripAkAByAm taTA hIna viSizwataH || AMsaH _18.84 ||
   bhāsvarābhāsvaratvena deśāntaragamena ca |	BAsvara ABAsvara tvena deSa antara gamena ca |
   sabījābījabhāvena pratibimbena codayaḥ || AMsa_18.85 ||	sa bIjA bIja BAvena pratibimbena ca udayaH || AMsaH _18.85 ||
   caturdaśavidhotpattau hetumān aviśeṣataḥ |	caturdaSaviDa utpattO hetumAn aviSezatas |
   cayāyāpārthād ayogāc ca āśrayatva asaṃbhavāt || AMsa_18.86 ||	cayAya apArTAt ayogAt ca ASraya tva asaMBavAt || AMsaH _18.86 ||
   sthitasyāsaṃbhavād ante ādyanāśāvikārataḥ |	sTitasya asaMBavAt ante Adya nASa avikArataH |
   tathā hīnaviśiṣṭatve bhāsvarābhāsvare 'pi ca || AMsa_18.87 ||	taTA hIna viSizwa tve BAsvara ABAsvare api ca || AMsaH _18.87 ||
   gatyabhāvāt sthitāyogāc caramatva asaṃbhavāt |	gati aBAvAt sTita ayogAt caramatva asaMBavAt |
   anuvṛtteś ca cittasya kṣaṇikaṃ sarvasaṃskṛtam || AMsa_18.88 ||	anuvRtteH ca cittasya kzaNikam sarva saMskRtam || AMsaH _18.88 ||
   ādyas taratamenāpi yāvat kṣaṇikaṃ sarvasaṃskṛtam iti | katham eṣām ebhiḥ	AdyaH taratamena api yAvat kzaNikam sarva saMskRtam iti | kaTam ezAm eBiH
   kṣaṇikatvaṃ sidhyati | ādyātmikānāṃ hi saṃskārāṇāṃ caturdaśavidha utpādaḥ	kzaNika tvam siDyati | Adya AtmikAnAm hi saMskArANAm caturdaSaviDaH utpAdaH
   | ādya utpādo yāvat prathamata ātmabhāvābhinirvṛttiḥ | taratamena yaḥ	| AdyaH utpAdaH yAvat praTamatas Atma BAva aBinirvRttiH | taratamena yaH
   prathamajanma lakṣaṇād ūrdhvaṃ | cayena ya āhārasvapnabrahmacaryāsamāpatty	praTama janma lakzaNAt UrDvam | cayena yaH AhAra svapna brahmacarya asamApatti 
   upacayena | āśrayabhāvataḥ yaś cakṣurvijknānādīnāṃ cakṣurādibhir āśrayaiḥ	upacayena | ASraya BAvataH yaH cakzuH vijknAna AdInAm cakzuH AdiBiH ASrayEH
   | vikāreṇa yo rāgādibhir varṇādivipariṇāmataḥ | paripākena yo	| vikAreNa yaH rAga AdiBiH varNa Adi vipariNAmataH | paripAkena yaH 
   garbhabālakumārayuvamadhyamavṛddhāvastāsu | hīnatvena (Msa 152)	garBa bAla kumAra yuva maDyama vRdDA= astAsu | hIna tvena (MsaH 152)
   viśiṣṭatvena ca yo durgatau cotpadyamānānāṃ yathākramaṃ | bhāsvaratvena yo	viSizwa tvena ca yaH durgatO ca utpadyamAnAnAm yaTAkramam | BAsvara tvena yaH 
   nirmitakāmeṣu parinirmitakāmeṣu rūpārūpyeṣu copapannānāṃ |	nirmita kAmezu parinirmita kAmezu rUpa ArUpyezu ca upapannAnAm |
   cittamātrādīnatvāt | ābhāsvaratvena yas tad anyatropapannānāṃ |	cittamAtra AdIna tvAt | ABAsvara tvena yaH tat anyatra upapannAnAm |
   deśāntaragamanena yo 'nyadeśotpādanirodhe 'nyadeśotpādaḥ | sabījatvena yo	deSa antara gamanena yaH anya deSa utpAda niroDe anya deSa utpAdaH | sa bIja tvena yaH 
   'rhataś caramān skandhān varjayitvā | abījatvena yas teṣām evārhataś caram	arhataH caramAn skanDAn varjayitvA | abIja tvena yaH tezAm eva arhataH caram
   eṣāṃ | pratibimbatvena | yo aṣṭavimokṣadhyāyināṃ samādhivaśena	ezAm | pratibimba tvena | yaH azwa vimokza DyAyinAm samADi vaSena
   pratibimbānāṃ saṃskārāṇāṃ utpādaḥ | etasyāṃ caturdaśavidhāyām utpattāv	pratibimbAnAm saMskArANAm utpAdaH | etasyAm caturdaSaviDAyAm utpattO= 
   ādhyātmikānāṃ saṃskārāṇāṃ kṣaṇikatvaṃ hetumān aviśeṣādibhiḥ kāraṇair	ADyAtmikAnAm saMskArANAm kzaNika tvam hetumAn aviSeza AdiBiH kAraNEH 
   veditavyaṃ | ādyotpāde tāvat hetuviśeṣāt | yadi hi tasya hetutvena viśeṣo	veditavyam | Adya utpAde tAvat hetu viSezAt | yadi hi tasya hetu tvena viSezaH 
