   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   sandeśa-praveśāya bhavad āyātaṃ jātam?	sandeSa--praveSAya Bavat AyAtam jAtam?
   [36] akrūraḥ sa-lajjam uvāca-nahi nahi | kintu kaṃsasya tau khalu	[36] akrUraH sa-lajjam uvAca--nahi na-hi | kintu kaMsasya tO Kalu
   nija-yātanām api sahete | na khalu bhavac chravasi ca tat-pātanām, kintu	nija--yAtanAm api sahete | na Kalu Bavat Sravasi ca tat-pAta-nAm, kintu
   tad idam aham eva nivedayāmi-	tat idam aham eva nivedayAmi-
   bhavadbhyāṃ yadi jātābhyāṃ gatābhyāṃ yogyatām api |	BavadByAm yadi jAtAByAm gatAByAm yogyatAm api |
   pitrārtir na nivarteta putrīyā kutra vartatām ||GC_2,2.25|| iti |	pitR-ArtiH na nivarteta putrIyA kutra vartatAm ||GC_2,2.25|| iti |
   [37] śrī-kṛṣṇas tu tatrodvegaṃ hṛdi nigūhya sāvajñam uvāca-kaṃsaḥ kiṃ nāma	[37] SrI--kRzNaH tu tatra-udvegam hRdi nigUhya sa-avajQam uvAca--kaMsaH kim nAma
   śaśaṃsa ?	SaSaMsa ?
   [38] akrūra uvāca-śaṃsanaṃ tasya kati pratiśaṃsāni | tātparyaṃ tu paryag	[38] akrUraH uvAca-SaMsanam tasya kati pratiSaMsAni | tAtparyam tu paryag
   idam eva paryavasīyatām-bhūta-rāja-dhanur-maha-vyājataḥ sva-samājaṃ	idam eva paryavasIyatAm--BUta-rAja--DanuH--maha--vyAjataH sva--samAjam
   sāhāyyam ānāyya durmantraṇayāsmān pratārya tat-kutūhala-kalanāya	sAhAyyam AnAyya durmantraNaya-asmAn pratArya tat-kutUhala--kalanAya
   prajāntaravad bhavantāv api nija-vrajavantāv asmad-dvāraivājuhāva	prajA-antara-vat BavantO api nija-vrajavantO asmad-dvAra-eva-AjuhAva
   yad-arthaṃ tad eva iti |	yat--arTam tat eva iti |
   [39] rāmaḥ sa-sahāsam āha sma-bṛṃhita-kṣudhi siṃhe	[39] rAmaH sa--sahAsam Aha sma-bRMhita--kzuDi siMhe
   matta-mataṅgaja-bṛṃhitaṃ	matta-mataFga-ja--bRMhitam
   khalv idam |	Kalu idam |
   [40] śrī-kṛṣṇa uvāca-bhavatu, vayam api samāgamya tam api valim arpayitvā	[40] SrI--kRzNaH uvAca--Bavatu, vayam api samAgamya tam api valim arpayitvA
   bhūteśaṃ tarpayiṣyāmaḥ | kintu, tad bhūta-rāja-sabhā-janaṃ kadā ?	BUteSam tarpayizyAmaH | kintu, tat BUta-rAja--saBA-janam kadA ?
   [41] akrūra uvāca-caturdaśyām iti |	[41] akrUraH uvAca--caturdaSyAm iti |
   [42] tad evaṃ śeṣaṃ viśeṣam api pṛṣṭa-veṣaṃ vidhāya śrī-kṛṣṇaḥ	[42] tat evam Sezam viSezam api pRzwa-vezam viDAya SrI--kRzNaH
   prāha-vicārād asmākaṃ parama-maṅgalam eva yasmād idaṃ tasmāc	prAha-vicArAt asmAkam parama--maFgalam eva yasmAt idam tasmAc
   chrīmat-pitṛ-caraṇeṣu gocaram ācarāma |	CrImat--pitR--caraNezu gocaram AcarAma |
   [43] tad evam uktvā taṃ tasminn eva muktvā sa rāmas tata utthāya	[43] tat evam uktvA tam tasmin eva muktvA sa rAmaH tatas utTAya
   pitṛ-parisaram ājagāma | atha tad-ādeśād upaveśanānantaraṃ tena	pitR-parisaram AjagAma | aTa tad--AdeSAt upaveSana-anantaram tena
   vīkṣita-mukha-kañjaḥ samañjad añjali vacasā tad idaṃ vyañjayāmāsa-tāta!	vIkzita-muKa--kaQjaH samaQjat aQjali vacasA tat idam vyaQjayAmAsa-tAta!
   maṅgala-vṛttaṃ kim api vṛttam asti, kintu yugapad eva parveva sarvebhyaḥ	maFgala-vRttam kim api vRttam asti, kintu yugapad eva parvA-iva sarveByaH
   śrāvayitavyam |	SrAvayitavyam |
   [44] atha vraja-rājaḥ sandeha-mandehatayā sānandam ivopanandādīnān	[44] aTa vraja-rAjaH sandeha--mandeha-tayA sa-Anandam iva-upananda-AdInAn
   āyayāmāsa | yatra	AyayAmAsa | yatra
   ca kiñcid api vihitāpidhāna-vidhānāḥ śrī-vrajeśvarī-pradhānā	ca kiQcid api vihita-apiDAna--viDAnAH SrI--vraja-ISvarI--praDAnA
   labdhānusandhānā	labDa-anusanDAnA
   jātāḥ | tataḥ sukham upaviṣṭeṣu teṣu śiṣṭeṣu śrī-viṣṭara-śravāḥ kiñcid	jAtAH | tatas suKam upavizwezu tezu Sizwezu SrI-vizwara--SravAH kiQcid-
   vihasann ivācaṣṭa-asmān prati samprati bhoja-kṣiti-bhṛd-iṣṭa sandiṣṭavān	vihasan iva-Acazwa-asmAn prati samprati Boja-kziti-BRt--izwa sandizwavAn
   asti | yat prajā-nibhāḥ prajā yūyam iha maheśa-dhanur mahāmahe saheśāḥ	asti | yat prajA--niBAH prajAH yUyam iha maheSa--DanuH mahAmahe saha-ISAH
   saha-śāvakāḥ sāvakāśam āgacchata | viśeṣatas tu nija-vīryataḥ	sa-ha-SAvakAH sa-avakASam AgacCata | viSezataH tu nija--vIryataH
   samīryamāṇa-nija-darśana-tṛṣṇau rāma-kṛṣṇau	samIryamANa-nija--darSana-tRzNO rAma--kRzNO
   ca iti |	ca iti |
   [45] vraja-rāja uvāca-bhavan mana idaṃ kiṃ manute; yad bhavati vasudevād	[45] vraja-rAjaH uvAca--Bavat manaH idam kim manute; yat Bavati vasudevAt-
   bhavati cāsmiṃs tasya prītir bhavati iti |	Bavati ca-asmin tasya prItiH Bavati iti |
   [46] śrī-kṛṣṇaḥ sa-smitam uvāca-yady anyathā syāt tathāpi vṛthā-patha eva	[46] SrI--kRzNaH sa--smitam uvAca--yadi anyaTA syAt taTA-api vRTA-a-paTaH eva
   tan manorathaḥ | yad bhavat-prabhāva-bala-saṃhitasya mama kaḥ khalv ahitam	tat manoraTaH | yat Bavat--praBAva--bala--saMhitasya mama kaH Kalu ahitam
   āhitaṃ kurvīta | [47] yata eva khalv ābalya-valyamāne bālye'pi mama	Ahitam kurvIta | [47] yatas eva Kalu Abalya-valyamAne bAlye-api mama
   pūtanādayas te dhūtatām āpannāḥ | kim uta tad-valataḥ eva valitāṃ	pUtanA-AdayaH te DUta-tAm ApannAH | kim uta tad--valataH eva valitAm
   valamānābhyāṃ baka-vatsaka-mukhānāṃ sukhād eva pratiritsanaṃ jātam iti |	valamAnAByAm baka--vatsaka-muKAnAm suKAt eva pratiritsanam jAtam iti |
   tatra ca-	tatra ca-
   baka ekaṅgilas tāvad aghaḥ sarvaṅgilaḥ sthitaḥ |	bakaH ekaFgilaH tAvat aGaH sarvaFgilaH sTitaH |
   indraḥ sarvaṅkaṣas teṣu kaṃsakaḥ kaṃ samīyati ? ||GC_2,2.26||	indraH sarvaFkazaH tezu kaMsakaH kam samIyati ? ||GC_2,2.26||
   [48] tad etan niśamya mitho niśāmya ca samyag-pratipatti-parāhateṣu teṣu	[48] tat etat niSamya miTas niSAmya ca samyak--pratipatti-parAhatezu tezu
   mātrādiṣu ca kṛta-yātrā-bhaṅga-prāṇāliṣu punar uvāca-go-koṭibhir	mAtrA-Adizu ca kRta-yAtrA--BaFga--prANAlizu punar uvAca--go--kowiBiH-
   ghaṭita-koṭīnām asmākam anyasmin naṭitum api ghaṭanā na dṛśyate | rājñām	Gawita-kowInAm asmAkam anyasmin nawitum api GawanA na dRSyate | rAjQAm
   ājñām atikramyāpayāne ca tad-āgamana-mayaṃ bhayaṃ bhavaty eva; kim uta	AjQAm atikramya-apayAne ca tat--a-Agamana-mayam Bayam Bavati eva; kim uta
   sthāne | tataḥ saṅkocaṃ vinā tatrāsmad gamanam eva tasya śamanam	sTAne | tatas saFkocam vinA tatra-asmat gamanam eva tasya Samanam
   upalabhāmahe |	upalaBAmahe |
   tad etad ākarṇya sa-vaivarṇyam upanandaṃ prati śrīmān nandaḥ prāha sma-kiṃ	tat etat AkarNya sa-vEvarNyam upanandam prati SrImAn nandaH prAha sma-kim
   kartavyam ? iti |	kartavyam ? iti |
   [49] sa covāca-tatra gamyam iti samyag evāha vatsaḥ | agatir nāma kāmaṃ	[49] sa ca-uvAca--tatra gamyam iti samyak eva-Aha vatsaH | agatiH nAma kAmam
   tasya krodham asya ca bhayaṃ bodhayati | gatis tu taṃ tad apy apagamayati	tasya kroDam asya ca Bayam boDayati | gatiH tu tam tat api apagamayati
   | kiṃ ca, yad-apūrvam apūrvaṃ pūrvam api rakṣāṃ kurvad āsīt tad eva sarvam	| kim ca, yat--apUrvam apUrvam pUrvam api rakzAm kurvat AsIt tat eva sarvam
   arvāñcam apy āpa dvāraṃ tārayiṣyati |	arvAQcam api Apa dvAram tArayizyati |
   [50] atha tad evaṃ yuktiṃ valayati gopāla-valaye	[50] aTa tat evam yuktim valayati gopAla-valaye
   prabhāva-bhāva-pūrṇa-pūrṇimā ca tūrṇam eva tatrāgatā |	praBAva--BAva--pUrNa-pUrNimA ca tUrNam eva tatra-AgatA |
   [51] tataś ca vraja-rājena kṛte praśne sā sa-sneham	[51] tatas ca vraja-rAjena kRte praSne sA sa-sneham
   uvāca-bhavan-nandanasya mathurā-prayāṇe sarvānanda eva syāt | kaṃsādayaḥ	uvAca--Bavan--nandanasya maTurA--prayANe sarva-AnandaH eva syAt | kaMsa-AdayaH
   sarva eva nṛśaṃsā dhvaṃsāya sampatsyante, kintu vrajāgatāv asya	sarve eva nRSaMsAH DvaMsAya sampatsyante, kintu vraja-AgatO asya
   vilamba-saṃvalanaṃ paśyāma iti yathā-yuktam adhyavasyantu |	vilamba--saMvalanam paSyAmaH iti yaTA-a-yuktam aDyavasyantu |
   [52] upananda uvāca-avilambāgamanam api śreya eva vairi-śamanaṃ tu yadi	[52] upanandaH uvAca--avilamba-Agamanam api SreyaH eva vEri-Samanam tu yadi
   syād iti gamanam eva varaṃ ramaṇīyam | tataḥ sarve'pi gaty-antaram	syAt iti gamanam eva varam ramaNIyam | tatas sarve-api gati--antaram
   asaṅgatya saṅgatam idam ucyata iti procya kiñcid apy ananuśocya śrīman	asaFgatya saFgatam idam ucyate iti procya kiQcid api ananuSocya SrIman
   mukhaṃ vilocya śrī-kṛṣṇaṃ praśna-viṣayaṃ kṛtavantaḥ | tatra gantavyatā	muKam vilocya SrI--kRzNam praSna--vizayam kRtavantaH | tatra gantavya-tA
   kadā mantavyā ?	kadA mantavyAH ?
   [53] śrī-kṛṣṇa uvāca-gatiṃ ca prātas trayodaśyāṃ yukti-vaśyāṃ paśyāmaḥ,	[53] SrI--kRzNaH uvAca--gatim ca prAtar trayodaSyAm yukti--vaSyAm paSyAmaH,
   caturdaśyāṃ khalu mahas tan-mahanīyatām āpsyati |	caturdaSyAm Kalu mahaH tan-mahanIya-tAm Apsyati |
   [54] tad evaṃ svāntaḥ-paridevane'ham eva iha paśyati vraja-naradeve	[54] tat evam sva-antaH--paridevane-aham eva iha paSyati vraja--naradeve
   sarve'py ūcuḥ-sarvaṃ ghoṣam anughoṣanā sadya evāsādyatām, yathā prātar eva	sarve-api UcuH--sarvam Gozam anuGozanA sadyas eva-AsAdya-tAm, yaTA prAtar eva
   gopāḥ sopāyanā rāja-sabhām abhiyānti iti |	gopAH sa-upAyanAH rAja--saBAm aBiyAnti iti |
   [55] atha śrīman-nandarājaś ca samājaṃ vyājahāra-bhagavatyā sanmate	[55] aTa SrIman-nanda-rAjaH ca samAjam vyAjahAra--BagavatyA sanmate
   bhavatāṃ mate sarvam eva maṅgalam saṅgaṃsyat iti bhadram ādiśyantām, diśyā	BavatAm mate sarvam eva maFgalam saFgaMsyat iti Badram AdiSyantAm, diSyA
   diśyā gopāḥ prābhṛta-prabhṛti-kṛte |	diSyAH gopAH prABRta--praBRti-kRte |
   [56] tad evaṃ labdhānumatir vṛndāvana-patir nija-paricārakān	[56] tat evam labDa-anumatiH vRndAvana-patiH nija--paricArakAn
   ādideśa-kathyatām idam uttāraṃ kṣttāraṃ prati iti |	AdideSa--kaTyatAm idam uttAram kzttAram prati iti |
   [57] tad evaṃ vijñāya vraja-rājñī tu mohenājñībhavantī na kiñcid api	[57] tat evam vijQAya vraja-rAjQI tu mohena-ajQIBavantI na kiQcid api
   vaktuṃ vyaktuṃ vā śaśāka iti vadan madhukaṇṭhaś ca niruddha-kaṇṭhas tadvad	vaktum vyaktum vA SaSAkaH iti vadan maDukaNWaH ca nirudDa-kaNWaH tadvat-
   eva āsīt |	eva AsIt |
   [58] atha kathāyāḥ sabhāyām api tadvad eva mohaṃ gacchati sa-samāje	[58] aTa kaTAyAH saBAyAm api tadvat eva moham gacCati sa--samAje
   vraja-rāje tasya caraṇa-rājīva-yugaṃ yugapad gṛhnan vraja-yuvarājaḥ punas	vraja--rAje tasya caraNa--rAjIva--yugam yugapad gRhnan vraja--yuvarAjaH punar-
   tam ājīvayann uvāca-tāta ! kathaṃ kātarāyase ? yathā-pūrvaṃ kathā-mātraṃ	tam AjIvayan uvAca-tAta ! kaTam kAtarAyase ? yaTA--pUrvam kaTA--mAtram
   khalv idam, so'yam ahaṃ punar bhavad-anudhyāna-ramyatayā kaṃsaṃ nirdamya	Kalu idam, saH-ayam aham punar Bavat--anuDyAna---ramya-tayA kaMsam nirdamya
   cirāt purāgamya bhavad-dṛṣṭi-pathānuvartī-bhavann evāsmīti |	cirAt purA-Agamya Bavat--dRzwi-paTA-anuvartI--Bavan eva-asmi-iti |
   [59] tataḥ sa-pulaka-pālitam aṅkaṃ pālayati vraja-bhūpāle sarva evākharvam	[59] tatas sa--pulaka--pAlitam aFkam pAlayati vraja--BUpAle sarve eva-aKarvam
   ānanda-garvam uvāheti kathāyāṃ śānta-prathāyāṃ madhukaṇṭha uvāca-	Ananda--garvam uvAha-iti kaTAyAm SAnta--praTAyAm maDu-kaNWaH uvAca-
   kutra vā ramatāṃ putras tavānyatra vrajādhipa |	kutra vA ramatAm putraH tava-anyatra vraja-aDipa |
   bhaktānukampā-sampātī paśya te vaśya eva saḥ ||GC_2,2.27||	Bakta-anukampA--sampAtI paSya te vaSyaH eva saH ||GC_2,2.27||
   [60] atha śrī-kṛṣṇa-kṛta-mahasi rādhā-sadasi ca rātri-kathāyāṃ	[60] aTa SrI--kRzNa-kRta-mahasi rADA--sadasi ca rAtri--kaTAyAm
   madhukaṇṭhaḥ sa-gadgadam uvāca-ayi samprati śrī-mādhavena	maDukaNWaH sa-gadgadam uvAca-ayi samprati SrI--mADavena
   hṛta-viraha-bādhe ! śrī-rādhe ! purā vṛttam avadhīyatām-	hRta-viraha-bADe ! SrI-rADe ! purA vRttam avaDIyatAm-
   sphūrjathu-pratimam ūrjitaṃ tadā	sPUrjaTu-pratimam Urjitam tadA
   ghoṣaṇaṃ sapadi ghoṣam anvabhūt	GozaNam sapadi Gozam anvaBUt-
   yad babhūvur aparāḥ parāhatā	yat baBUvuH aparAH parAhatA
   hā hatā iva ca rādhikādikāḥ ||GC_2,2.28||	hA hatAH iva ca rADikA-AdikAH ||GC_2,2.28||
   [61] tathā sati-	[61] taTA sati-
   kāścin mlānānanās tac-chravaṇa-dahanaja-jvālayā kāścanāsan	kAScid mlAna-AnanAH tac--SravaNa--dahana-ja-jvAlayA kAScana-Asan
   kṣīṇāṅga-srasta-veṣā jaḍa-nibha-vapuṣaḥ kāś ca kāścid vicittāḥ |	kzINa-aFga-srasta-vezAH jaxa-niBa-vapuzaH kAH ca kAScid vicittAH |
   tā etāḥ kena varṇyāḥ ya iha nija-hṛdi spṛṣṭa-tad-bhāva-kaṣṭaḥ	tAH etAH kena varNyAH yaH iha nija--hRdi spRzwa--tad-BAva--kazwaH
   kiṃ vā tat-spṛṣṭi-śūnyaḥ sa ca sa ca yad alaṃ jāḍyam eva prayāti	kim vA tat--spRzwi--SUnyaH sa ca sa ca yat alam jAxyam eva prayAti
   ||GC_2,2.29||	||GC_2,2.29||
   atha niśi ramaṇīnāṃ mūrcchanaṃ nirmame yā	aTa niSi ramaNInAm mUrcCanam nirmame yA
   cid-udayam api kalye ghoṣaṇā saiva cakre |	cit--u-dayam api kalye GozaNA sA-eva cakre |
   vapuṣi dahana-tapte bheṣajaṃ tena taptir	vapuzi dahana--tapte Bezajam tena taptiH-
   viṣam api viṣa-duṣṭe śreṣṭham iṣṭaṃ bhiṣagbhiḥ ||GC_2,2.30||	vizam api viza-duzwe SrezWam izwam BizagBiH ||GC_2,2.30||
   [62] labdha-cetanānaṃ cāsāṃ kaṃsād aśaṅkāyām api prastutātaṅkāyāṃ	[62] labDa--cetanAnam ca-AsAm kaMsAt aSaFkAyAm api prastuta-AtaFkAyAm
   devatā-kalitam iva rakṣaṇāya phalitaṃ kiñcid anyad	devatA-kalitam iva rakzaNAya Palitam kiQcid anyat-
   idaṃ-bhāva-prabhāva-cetitaṃ paurṇamāsyā ca purato niścitīkṛtaṃ cetasi	idaM-BAva--praBAva--cetitam pOrNamAsyA ca puratas niScitIkRtam cetasi
   sphurati sma |	sPurati sma |
   yasminn aghaḥ kāliya-kādraveyaḥ	yasmin aGaH kAliya-ka-adraveyaH
   keśī tathāriṣṭa-vṛṣaś ca naṣṭaḥ |	keSI taTA-arizwa-vRzaH ca nazwaH |
   kaṃsaś ca tasmin mṛta eva sa syān	kaMsaH ca tasmin mRtaH eva sa syAt-
   na tatra śaṅkā-lavako'pi bhāti ||GC_2,2.31|| iti |	na tatra SaFkA-a-lavakaH-api BAti ||GC_2,2.31|| iti |
   [63] tad evaṃ viśvasya saṃmataṃ viśvasya punaś cintayati sma-	[63] tat evam viSvasya saMmatam viSvasya punar cintayati sma-
   bakī-ripoḥ kaṃsa-jaye'pi siddhe	bakI-ripoH kaMsa--jaye-api sidDe
   śaṅkemahi svārtha-vinaṣṭim etām |	SaFkemahi sva-arTa--vinazwim etAm |
   bhaved asau yādava-rājadhānyāṃ	Bavet asO yAdava--rAjaDAnyAm
   rājeti goṣṭhe katham atra tiṣṭhet ? ||GC_2,2.32||	rAjA-iti gozWe kaTam atra tizWet ? ||GC_2,2.32||
   grāmīṇā vayam iha gopa-varga-kanyā	grAmINAH vayam iha gopa-varga-kanyA
   nāgaryaḥ puram anu santi rāja-putryaḥ	nAgaryaH puram anu santi rAja--putryaH
   kṛṣṇas tu grahila-manā guṇeṣu tasmād	kRzNaH tu grahila-manAH guNezu tasmAt-
   asyāntaḥ katham iva naḥ pratismṛtiḥ syāt ? ||GC_2,2.33||	asya-antar kaTam iva naH pratismRtiH syAt ? ||GC_2,2.33||
   nimeṣaḥ kalpaḥ syād yad apakalane yasya vipine	nimezaH kalpaH syAt yat apakalane yasya vipine
   gatau yat kṛcchraṃ tat kalayati na ātmā na tu paraḥ |	gatO yat kRcCram tat kalayati naH AtmA na tu paraH |
   madhoḥ pūryāṃ tasya vrajanam atha rājyāya yad idaṃ	maDoH pUryAm tasya vrajanam aTa rAjyAya yat idam
   kathaṃ tad vāsmākaṃ bata kim api dhairyaṃ kalayatu ? ||GC_2,2.34||	kaTam tat vA-asmAkam bata kim api DEryam kalayatu ? ||GC_2,2.34||
   asmākaṃ rāga-jātir vata laṣati na naḥ śarma tasyāpi rājyaṃ	asmAkam rAga--jAtiH vata lazati na naH Sarma tasya-api rAjyam
   kintv ekānta-stham icchaty anulavam api taṃ sevituṃ prāṇa-kāntam	kintu ekAnta-sTam icCati anulavam api tam sevitum prANa-kAntam
   ātmāpy antardhiyā tad-dṛg-amṛta-virahaṃ mīnavac chaṅkamānas	AtmA-api antarDiyA tad--dRS--amRta-viraham mIna-vat SaFkamAnas
   tat prāg evāti śuṣyan gaṇayati na paraṃ nāparaṃ kiñcanātra ||GC_2,2.35||	tat prAk eva-ati Suzyan gaNayati na param na-aparam kiQcana-atra ||GC_2,2.35||
   hā tasya smita-cāru-vaktra-valayaṃ khelāñci-netrāñcalaṃ	hA tasya smita--cAru--vaktra--valayam Kela-aQci--netrAn-calam
   cittānanda-vidhāyi-gīr-vilasitaṃ līlākulaṃ lokanam |	citta-Ananda--viDAyi--gIr--vilasitam lIlA-Akulam lokanam |
   sākṣāt-kṛtya na jātu tat tad upamāṃ cāsoḍha yā vighna-dhīs	sAkzAt-kRtya na jAtu tat tat upamAm ca-asoXa yA viGna--DI-s
   tyāgārtiṃ yadi sā saheta garalaṃ tatrāmṛtaṃ vetti na ||GC_2,2.36||	tyAga-Artim yadi sA saheta garalam tatra-amRtam vetti na ||GC_2,2.36||
   [64] tad evaṃ cintāturāḥ pūrāya kṛta-yātrṃ śyāma-gātraṃ vilokayituṃ	[64] tat evam cintA-AturAH pUrAya kRta-yAtrm SyAma--gAtram vilokayitum
   niṣkalaṅkāśaṅkāḥ sarva evābhidravanti sma | yātrā-vidhānaṃ tu prātar	nizkalaFka-ASaFkAH sarve eva-aBidravanti sma | yAtrA--viDAnam tu prAtar
   abhidhānaṃ yāsyati |	aBiDAnam yAsyati |
   [65] tad etad abhidhāya madhukaṇṭhaḥ pratipatti-vipattitaḥ stabdhatāṃ	[65] tat etat aBiDAya maDukaNWaH pratipatti-vipattitaH stabDa-tAm
   labdhavati mādhave rādhāṃ tu samudyan mūrcchā-bādhāṃ nirīkṣya maṅkṣu punar	labDavati mADave rADAm tu samudyan mUrcCA-a-bADAm nirIkzya maFkzu punar-
   āha sma-	Aha sma-
   rādhe pūrva-kathā seyaṃ na tu sāmpratikī sthitiḥ |	rADe pUrva-kaTA sA-iyam na tu sAmpratikI sTitiH |
   paśya tvad-vacanaṃ mlānaṃ paśyan mlāyati so'py asau ||GC_2,2.37||	paSya tvad--vacanam mlAnam paSyan mlAyati saH-api asO ||GC_2,2.37||
   [66] tad evaṃ kṣudhi bhojanam iva tad ante saṃyoga-rasam eva pariveṣya	[66] tat evam kzuDi Bojanam iva tat ante saMyoga--rasam eva parivezya
   sarvān api sukhena viśeṣya kathaka-yugalaṃ nijāvāsaṃ samāsasāda |	sarvAn api suKena viSezya kaTaka-yugalam nija-AvAsam samAsasAda |
   śrī-rādhā-mādhavau ca nija-mohana-mandiram iti |	SrI--rADA--mADavO ca nija--mohana--mandiram iti |
   iti śrī-śrīmad uttara-gopāla-campūm anu	iti SrI--SrImat uttara--gopAla-campUm anu
   akrūra-krūratā-pūraṇaṃ nāma	akrUra--krUra-tA-pUraNam nAma
   dvitīyaṃ pūraṇam	dvitIyam pUraNam
   atha tṛtīyaṃ pūraṇam	aTa tRtIyam pUraNam
   śrī-mathurā-pura-prasthānam	SrI-maTurA--pura--prasTAnam
   [1] atha śrī-kṛṣṇa-kṛtam ahasi śrī-vraja-rāja-sadasi prātaḥ-kathāyāṃ	[1] aTa SrI--kRzNa-kRtam ahasi SrI-vraja--rAja--sadasi prAtaH--kaTAyAm
   snigdhakaṇṭha uvāca- ayi! śrī-vraja-rāja!	snigDa-kaNWaH uvAca ayi! SrI-vraja-rAja!
   rājamāna-śrī-hari-mukha-ruci-virājamāna! punar imam itihāsam avabhāsayāmaḥ	rAjamAna--SrI--hari--muKa--ruci-virAjamAna! punar imam itihAsam avaBAsayAmaH
   [2] atha rātrāv avaśiṣṭa-svalpa-mātrāyāṃ yātrā-mātrāyām api	[2] aTa rAtrO avaSizwa-su-alpa--mAtrAyAm yAtrA-mAtrAyAm api
   pātrācita-gātrāyāṃ rāma-bhrātrā racitena pūtanādi-vadhācaritena sambaddhā	pAtra-Acita--gAtrAyAm rAma--BrAtrA racitena pUtanA-Adi-vaDa-Acaritena sambadDA
   virudāvalyaḥ prābalyataḥ stutikṛtdbhiḥ prastutim āpitāḥ sarvān eva garvād	virudAvalyaH prAbalyataH stuti-kRtdBiH prastutim ApitAH sarvAn eva garvAd
   utsāhayāmāsuḥ | vartatāṃ tāvad anyeṣāṃ vārtā, yatra tat-pitarau ca	utsAhayAmAsuH | vartatAm tAvat anyezAm vArtA, yatra tat--pitarO ca
   kaṃsa-dhvaṃsanam api siddham iti matvā nanditarau vandibhyaḥ	kaMsa--DvaMsanam api sidDam iti matvA nanditarO vandiByaH
   kṛta-bahu-dhana-vitarau	kRta-bahu--Dana-vitarO
   babhūvatuḥ |	baBUvatuH |
   śrī-vrajeśa-gṛhiṇī-gatiṃ gatā	SrI-vraja-ISa--gRhiNI--gatim gatA
   rohiṇī na pṛthag atra varṇyate |	rohiNI na pRTak atra varNyate |
   pratibimba-ruci-varṇanaṃ punar	pratibimba--ruci-varNanam punar-
   jalpatāṃ bhajati bimba-varṇane ||GC_2,3.1||	jalpatAm Bajati bimba-varNane ||GC_2,3.1||
   [3] atha prasthāna-stha-maṅgala-velāyām ārabdha-melāyāṃ punas	[3] aTa prasTAna--sTa--maFgala-velAyAm ArabDa--melAyAm punar-
   tan-mantraṇāyā yantraṇāya labdha-vaiyagryāveśayor vrajeśayor	tan--mantraNAyAH yantraNAya labDa--vEyagrya-AveSayoH vraja-ISayoH-
   jyotir-nipuṇāḥ śakuna-jñāna-sad-guṇāś ca dvāri saṅgamya ramya-jana-dvārā	jyotiH--nipuNAH Sakuna--jQAna--sat--guNAH ca dvAri saFgamya ramya-jana-dvArA
   tāv ātma-gamanam adhigamayāmāsuḥ |	tO Atma-gamanam aDigamayAmAsuH |
   [4] anantaram antaḥpura eva tān anantaritān vidhāya tadānīm	[4] anantaram antaHpure eva tAn anantaritAn viDAya tadAnIm
   ucita-dānīya-nidhāna-pātra-pāṇī śapathaṃ samprathayya tau pracchannaṃ	ucita-dAnIya--niDAna--pAtra--pANI SapaTam sampraTayya tO pracCannam
   papracchatuḥ- sarvam anubhavadbhir bhavadbhiḥ kim avadhīyate? iti |	papracCatuH sarvam anuBavadBiH BavadBiH kim avaDIyate? iti |
   [5] te procuḥ- katham ayaṃ nitānta-sukha-vṛttānta ekāntatayā pṛcchyate?	[5] te procuH kaTam ayam nitAnta--suKa--vRttAntaH ekAnta-tayA pRcCyate?
   sarveṣāṃ purata eva so'yaṃ puraskartavyaḥ | tathā hi-	sarvezAm puratas eva saH-ayam puraskartavyaH | taTA hi-
   bhītiṃ mā kurutaṃ vraja-kṣiti-patī yuṣmat-tanūjaḥ sphuṭaṃ	BItim mA kurutam vraja-kziti-patI yuzmat-tanUjaH sPuwam
   kaṃsaṃ dhvaṃsa-gataṃ vidhāya bhavitā trailokya-lakṣmī-patiḥ |	kaMsam DvaMsa--gatam viDAya BavitA trElokya--lakzmI--patiH |
   yad vāṃ kīrti-kalāpa-nartita-mukhī śaśvat trilokī bhaved	yat vAm kIrti-kalA-apa-nartita-muKI SaSvat trilokI Bavet-
   vedaḥ pañcama-veda-tantra-sahitaḥ sākṣitvam atrāpsyati ||GC_2,3.2||	vedaH paQcama--veda--tantra--sahitaH sAkzi-tvam atra-Apsyati ||GC_2,3.2||
   [6] atha tebhyaś ca bahvīm aṃhati-saṃhatiṃ vidhāya hṛdi sukhaṃ nidhāya	[6] aTa teByaH ca bahvIm aMhati--saMhatim viDAya hRdi suKam niDAya
   śaraṇatayā dhyāta-nārayaṇa-caraṇayor anayoḥ parivārita-bhṛtyau	SaraNa-tayA DyAta-nArayaNa--caraNayoH anayoH parivArita-BRtyO
   kṛta-prātaḥ-kṛtyau tāv etau sakhi-sametau nikāma-bhīṣi tad-anujau	kRta--prAtaH--kRtyO tO etO saKi--sametO nikAma--BIzi tad--anujO
   rāma-rāmānujau samājam ājagmatuḥ |	rAma--rAma-anujO samAjam AjagmatuH |
   [7] samāgamya ca tayoḥ rohiṇī-sahitayoḥ padāravindāni vanditvā	[7] samAgamya ca tayoH rohiNI--sahitayoH pada-aravindAni vanditvA
   tad-aṅka-pāli-saṅga-śālitayā ciraṃ nayanayoḥ syanditvā sthitayor etayor	tad--aFka-pAli--saFga--SAli-tayA ciram nayanayoH syanditvA sTitayoH etayoH-
