   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   Ragh(K)_3.55 //	RaG(K)_3.55 //
   jahāra cānyena mayūralāñchanaṃ śareṇa śakrasya mahāśanidhvajam /	jahAra ca-anyena mayUra-lAQCanam SareNa Sakrasya mahA-aSani-Dvajam /
   cukopa tasmai sa bhṛśaṃ suraśriyaḥ prasahya keśavyaparopaṇādiva //	cukopa tasmE sa BRSam sura-SriyaH prasahya keSavya-paropaNAt-iva //
   Ragh(K)_3.56 //	RaG(K)_3.56 //
   tayorupāntasthitasiddhasainikaṃ garutmadāśīviṣabhīmadarśanaiḥ /	tayoH-upAnta-sTita-sidDa-sEnikam garutmad-ASIviza-BIma-darSanEH /
   babhūva yuddhaṃ tumulaṃ jayaiṣiṇoradhomukhairūrdhvamukhaiśca pattribhiḥ //	baBUva yudDam tumulam jaya-eziNoH-aDomuKEH-UrDva-muKEH-ca pattriBiH //
   Ragh(K)_3.57 //	RaG(K)_3.57 //
   atiprabandhaprahitāstravṛṣṭibhistamāśrayaṃ duṣprasahasya tejasaḥ /	atiprabanDa-prahita-astra-vRzwiBiH-tam-ASrayam duzprasahasya tejasaH /
   śaśāka nirvāpayituṃ na vāsavaḥ svataścyutaṃ vahnimivādbhirambudaḥ //	SaSAka nirvApayitum na vAsavaH svatas-cyutam vahnim-iva-adBiH-ambudaH //
   Ragh(K)_3.58 //	RaG(K)_3.58 //
   tataḥ prakoṣṭhāddharicandanāṅkitāt pramathyamānārṇavadhīranādinīm /	tatas prakozWAt-hari-candana-aFkitAt pramaTyamAna-arNava-DIra-nAdinIm /
   raghuḥ śaśāṅkārdhamukhena pattriṇā śarāsanajyāmalunādbiḍaujasaḥ //	raGuH SaSAFka-arDa-muKena pattriNA SarAsana-jyA-malunAt-bixa-ojasaH //
   Ragh(K)_3.59 //	RaG(K)_3.59 //
   sa cāpamutsṛjya vivṛddhamatsaraḥ pravāsanāya prabalasya vidviṣaḥ /	sa cApam-utsRjya vivRdDa-matsaraH pravAsanAya prabalasya vidvizaH /
   mahīdhrapakṣavyaparopaṇoddhataṃ sphuratprabhāmaṇḍalamastramādade //	mahIDra-pakza-vyapara-upaNa-udDatam sPurat-praBA-maNxalam-astram-Adade //
   Ragh(K)_3.60 //	RaG(K)_3.60 //
   raghurbhṛśaṃ vakṣasi tena tāḍitaḥ papāta bhūmau saha sainikāsrubhiḥ /	raGuH-BRSam vakzasi tena tAxitaH papAta BUmO saha sEnika-asruBiH /
   nimeṣamātrādavadhūya ca vyathāṃ sahotthitaḥ sainikaharṣaniḥsvanaiḥ //	nimeza-mAtrAt-avaDUya ca vyaTAm saha-utTitaH sEnika-harza-niHsvanEH //
   Ragh(K)_3.61 //	RaG(K)_3.61 //
   tathāpi śastravyavahāraniṣṭhure vipakṣabhāve sthiramasya tasthuṣaḥ /	taTA-api Sastra-vyavahAra-nizWure vipakza-BAve sTiram-asya tasTuzaH /
   tutoṣa vīryātiśayena vṛtrahā padaṃ hi sarvatra guṇairvidhīyate //	tutoza vIrya-atiSayena vRtrahA padam hi sarvatra guNEH-viDIyate //
   Ragh(K)_3.62 //	RaG(K)_3.62 //
   asaṅgamadriṣvapi sāravattayā na me tvadanyena visoḍhamāyudham /	asaFgam-adrizu-api sAravat-tayA na me tvad-anyena visoXam-AyuDam /
   avaihi māṃ prītamṛte turaṅgamādvaraṃ vṛṇīṣveti tamāha vṛtrahā //	avEhi mAm prIta-m-Rte turaFgamAt-varam vRNIzva-iti tam-Aha vRtrahA //
   Ragh(K)_3.63 //	RaG(K)_3.63 //
   tato niṣaṅgādasamagramuddhṛtaṃ suvarṇapuṅkhadyutirañjitāṅgulim /	tatas nizaFgAt-asamagram-udDRtam suvarNa-puFKa-dyuti-raQjita-aFgulim /
   dilīpasūnuḥ pratisaṃharanniṣuṃ priyaṃ vadaḥ pratyavadatsureśvaram //	dilIpa-sUnuH pratisaMharan=-izum priyam vadaH pratyavadat-sureSvaram //
   Ragh(K)_3.64 //	RaG(K)_3.64 //
   amocyamaśvaṃ yadi manyate prabhustataḥ samāpte vidhineva karmaṇi /	amocyam-aSvam yadi manyate praBuH-tatas samApte viDinA-iva karmaNi /
   ajasradīkṣātanuradya me guruḥ kratoraśeṣeṇa phalena yujyatām //	ajasra-dIkzA-tanuH-adya me guruH kratoH-aSezeNa Palena yujyatAm //
   Ragh(K)_3.65 //	RaG(K)_3.65 //
   yathā ca vṛttāntamimaṃ sadogatastrilocanaikāṃśatayā durāsadaḥ /	yaTA ca vRttAntam-imam sadaH-gataH-trilocana-eka-aMSa-tayA durAsadaH /
   tavaiva sandeśaharādviśāṃpatiḥ śṛṇoti nākeśa tathā vidhīyatām //	tava-eva sandeSa-harAt-viSAMpatiH SRNoti na-AkeSa taTA viDIyatAm //
   Ragh(K)_3.66 //	RaG(K)_3.66 //
   tatheti kāmaṃ pratiśuśruvānraghoryathāgataṃ mātalisārathiryayau /	taTA-iti kAmam pratiSuSruvAn-raGoH-yaTAgatam mAtali-sAraTiH-yayO /
   nṛpasya nātipramanāḥ sadogṛhaṃ sudakṣiṇāsūnurapi nyavartata //	nRpasya na-ati-pramanAH sadaH-gRham sudakziNA-sUnuH-api nyavartate //
   Ragh(K)_3.67 //	RaG(K)_3.67 //
   tamabhyanandatprathamaprabodhitaḥ prajeśvaraḥ śāsanahāriṇā hareḥ /	tam-aByanandat-praTama-praboDitaH prajA-ISvaraH SAsana-hAriNA hareH /
   parāmṛśanharṣacalena pāṇinā tadīyamaṅgaṃ kuliśavraṇāṅkitam // Ragh(K)_3.68	parAmRSan-harza-calena pANinA tadIyam-aFgam kuliSa-vraNa-aFkitam // RaG(K)_3.68
   iti kṣitīśo navatiṃ navādhikāṃ mahākratūnāṃ mahanīyaśāsanaḥ /	iti kzitISaH navatim nava-aDikAm mahA-kratUnAm mahanIya-SAsanaH /
   samārurukṣurdivamāyuṣaḥ kṣaye tatāna sopānaparamparāmiva // Ragh(K)_3.69	samArurukzuH-divam-AyuzaH kzaye tatAna sopAna-paramparAm-iva // RaG(K)_3.69
   atha sa viṣayavyāvṛttātmā yathāvidhi sūnave nṛpatikakudaṃ dattvā yūne	aTa sa vizaya-vyAvRtta-AtmA yaTAviDi sUnave nRpati-kakudam dattvA yUne
   sitātapavāraṇam /	sita-Atapa-vAraNam /
   munivanatarucchāyāṃ devyā tayā saha śiśriye galitavayasāmikṣvākūṇāmidaṃ hi	muni-vana-taru=-CAyAm devyA tayA saha SiSriye galita-vayasAm-ikzvAkUNAm-idam hi
   kulavratam // Ragh(K)_3.70 //	kula-vratam // RaG(K)_3.70 //
   || iti raghuvaṃśe mahākāvye tṛtīyaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye tRtIyaH sargaH ||
   sa rājyaṃ guruṇā dattaṃ pratipadyādhikaṃ babhau /	sa rAjyam guruNA dattam pratipadya-aDikam baBO /
   dinānte nihitaṃ tejaḥ savitreva hutāśanaḥ // Ragh(K)_4.1 //	dina-ante nihitam tejaH savitreva hutASanaH // RaG(K)_4.1 //
   nyastaśastraṃ dilīpaṃ ca taṃ ca śuśruvuṣāṃ prabhum /	nyasta-Sastram dilIpam ca tam ca SuSruvuzAm praBum /
   rājñāmuddhṛtanārāce hṛdi śūlamivārpitam // Ragh(K)_4.2 //	rAjQAm-udDRta-nArAce hRdi SUlam-iva-arpitam // RaG(K)_4.2 //
   puruhūtadhvajasyeva tasyonnayanapaṅktayaḥ /	puruhUta-Dvajasya-iva tasya-unnayana-paFktayaH /
   navābhyutthānadarśinyo nananduḥ saprajāḥ prajāḥ // Ragh(K)_4.3 //	nava-aByutTAna-darSinyaH nananduH sa-prajAH prajAH // RaG(K)_4.3 //
   samameva samākrāntaṃ dvayaṃ dviradagāminā /	samam-eva samAkrAntam dvayam dvirada-gAminA /
   tena siṃhāsanaṃ pitryamakhilaṃ cārimaṇḍalam // Ragh(K)_4.4 //	tena siMhAsanam pitryam-aKilam cAri-maNxalam // RaG(K)_4.4 //
   chāyāmaṇḍalalakṣyeṇa tamadṛśyā kila svayam /	CAyA-maNxala-lakzyeNa tam-adRSyA kila svayam /
   padmā padmātapatreṇa bheje sāmrājyadīkṣitam // Ragh(K)_4.5 //	padmA padma-AtapatreNa Beje sAmrAjya-dIkzitam // RaG(K)_4.5 //
   parikalpitasānnidhyā kāle kāle ca vandiṣu /	parikalpita-sAnniDyA kAle kAle ca vandizu /
   stutyaṃ stutibhirarthyābhirupatasthe sarasvatī // Ragh(K)_4.6 //	stutyam stutiBiH-arTya-aBiH-upatasTe sarasvatI // RaG(K)_4.6 //
   manuprabhṛtibhirmānyairbhuktā yadyapi rājabhiḥ /	manu-praBRtiBiH-mAnyEH-BuktA yadi-api rAjaBiH /
   tathāpyananyapūrveva tasminnāsīdvasundharā // Ragh(K)_4.7 //	taTA-api-ananya-pUrvA-iva tasmin=-AsIt-vasunDarA // RaG(K)_4.7 //
   sa hi sarvasya lokasya yuktadaṇḍatayā manaḥ /	sa hi sarvasya lokasya yukta-daNxa-tayA manaH /
   ādade nātiśītoṣṇo nabhasvāniva dakṣiṇaḥ // Ragh(K)_4.8 //	Adade na-ati-SIta-uzNaH naBasvAn-iva dakziNaH // RaG(K)_4.8 //
   kāmaṃ kamalapattrāṇāṃ netre tasyānukāriṇī /	kAmam kamala-pattrANAm netre tasya-anukAriNI /
   cakṣuṣmattā tu śāstreṇa sūkṣmakāryārthadarśinā // Ragh(K)_4.9 //	cakzuzmat-tA tu SAstreNa sUkzma-kArya-arTa-darSinA // RaG(K)_4.9 //
   yathā prahlādanāccandraḥ pratāpāttapano yathā /	yaTA prahlAdanAt-candraH pratApAt-tapanaH yaTA /
   tathaiva so 'bhūdanvartho rājā prakṛtirañjanāt // Ragh(K)_4.10 //	taTA-eva saH aBUt-anvarTaH rAjA prakRti-raQjanAt // RaG(K)_4.10 //
   nayavidbhirnave rājñi sadasaccopadarśitam /	naya-vidBiH-nave rAjQi sat-asat-ca-upadarSitam /
   pūrva evābhavatpakṣastasminnābhavaduttaraḥ // Ragh(K)_4.11 //	pUrvaH eva-aBavat-pakzaH-tasmin-=-ABavat-uttaraH // RaG(K)_4.11 //
   mandotkaṇṭhāḥ kṛtāstena guṇādhikatayā gurau /	manda-utkaNWAH kRtAH-tena guNa-aDika-tayA gurO /
   phalena sahakārasya puṣpodgama iva prajāḥ // Ragh(K)_4.12 //	Palena sahakArasya puzpa-udgamaH iva prajAH // RaG(K)_4.12 //
   pañcānāmapi bhūtānāmutkarṣaṃ pupuṣurguṇāḥ /	paQcAnAm-api BUtAnAm-utkarzam pupuzuH-guNAH /
   nave tasminmahīpāle sarvaṃ navamivābhavat // Ragh(K)_4.13 //	nave tasmin-mahIpAle sarvam navam-iva-aBavat // RaG(K)_4.13 //
   labdhapraśamanasvasthamathainaṃ samupasthitā /	labDa-praSamana-svasTam-aTa-enam samupasTitA /
   pārthivaśrīrdvitīyeva śaratpaṅkajalakṣaṇā // Ragh(K)_4.14//	pArTiva-SrIH-dvitIyA-iva Sarad-paFkaja-lakzaNAH // RaG(K)_4.14//
   nirvṛṣṭalaghubhirmeghaiḥ savitustasya cobhayoḥ /	nirvRzwa-laGuBiH-meGEH savituH-tasya ca-uBayoH /
   vardhiṣṇavo diśāṃ bhāgāḥ pratāpāyeva recitāḥ // Ragh(K)_4.15 //	varDizNavaH diSAm BAgAH pratApAya-iva recitAH // RaG(K)_4.15 //
   adhijyamāyudhaṃ kartuṃ samayo 'yaṃ raghoriti /	aDijyam-AyuDam kartum samayaH ayam raGoH-iti /
   svaṃ dhanuḥ śaṅkiteneva saṃjahre śatamanyunā // Ragh(K)_4.16 //	svam DanuH SaFkitena-iva saMjahre Sata-manyunA // RaG(K)_4.16 //
   puṇḍarīkātapatrastaṃ vikasatkāśacāmaraḥ /	puNxarIka-Atapa-traH-tam vikasat-kASa-cAmaraH /
   ṛturviḍambayāmāsa na punaḥ prāpa tacchriyam // Ragh(K)_4.17 //	RtuH-vixambayAmAsa na punar prApa tat-Sriyam // RaG(K)_4.17 //
   prasādasumukhe tasmiṃścandre ca viṣadaprabhe /	prasAda-su-muKe tasmin=-candre ca vizada-praBe /
   tadā cakṣuṣmatāṃ prītirāsītsamarasā dvayoḥ // Ragh(K)_4.18 //	tadA cakzuzmatAm prItiH-AsIt-samarasA dvayoH // RaG(K)_4.18 //
   haṃsaśreṇiṣu tārāsu kumudvatsu ca vāriṣu /	haMsa-SreNizu tArAsu kumudvatsu ca vArizu /
   vibhūtayastadīyānāṃ paryastā yaśasāmiva // Ragh(K)_4.19 //	viBUtayaH-tadIyAnAm paryastAH yaSasAm-iva // RaG(K)_4.19 //
   ikṣucchāyāniṣādinyastasya gopturguṇodayam /	ikzu=-CAyA-nizAdi-nyaH-tasya goptuH-guNa-udayam /
   ākumārakathodghātaṃ śāligopyo jaguryaśaḥ // Ragh(K)_4.20 //	AkumAra-kaTA-udGAtam SAli-gopyaH jaguH-yaSaH // RaG(K)_4.20 //
   prasasādodayādambhaḥ kumbhayonermahaujasaḥ /	prasasAda-udayAt-amBaH kumBayoneH-mahA-ojasaH /
   raghostvabhibhavāśaṅki cukṣubhe dviṣatāṃ manaḥ // Ragh(K)_4.21 //	raGoH-tu-aBiBava-ASaFki cukzuBe dvizatAm manaH // RaG(K)_4.21 //
   madodagrāḥ kakudmantaḥ saritāṃ kūlamudrujāḥ /	mada-udagrAH kakudmantaH saritAm kUlam-udrujAH /
   līlākhelamanuprāpurmahokṣāstasya vikramam // Ragh(K)_4.22 //	lIlA-Kelam-anuprApuH-mahA-ukzAH-tasya vikramam // RaG(K)_4.22 //
   prasavaiḥ saptaparṇānāṃ madagandhibhirāhatāḥ /	prasavEH saptaparNAnAm mada-ganDiBiH-AhatAH /
   asūyayeva tannāgāḥ saptadhaiva prasusruvuḥ // Ragh(K)_4.23 //	asUyayA-iva tad-nAgAH saptaDA-eva prasusruvuH // RaG(K)_4.23 //
   saritaḥ kurvatī gādhāḥ pathaścāśyānakardamān /	saritaH kurvatI gADAH paTaH-ca-aSyAna-kardamAn /
   yātrāyai codayāmāsa taṃ śakteḥ prathamaṃ śarat // Ragh(K)_4.24 //	yAtrAyE codayAmAsa tam SakteH praTamam Sarad // RaG(K)_4.24 //
   tasmai samyagghuto vahnirvājinīrājanāvidhau /	tasmE samyak-hutaH vahniH-vAjinI-rAjanA-viDO /
   pradakṣiṇārcirvyājena hasteneva jayaṃ dadau // Ragh(K)_4.25 //	pradakziNa-arciH-vyAjena hastena-iva jayam dadO // RaG(K)_4.25 //
   sa guptamūlapratyantaḥ śuddhapārṣṇirayānvitaḥ /	sa gupta-mUla-pratyantaH SudDa-pArzNiH-aya-anvitaH /
   ṣaḍvidhaṃ balamādāya pratasthe digjigīṣayā // Ragh(K)_4.26 //	zaxviDam balam-AdAya pratasTe digjigIzayA // RaG(K)_4.26 //
   avākiranvayovṛddhāstaṃ lājaiḥ paurayoṣitaḥ /	avAkiH-anvayaH-vRdDAH-tam lAjEH pOra-yozitaH /
   pṛṣatairmandaroddhūtaiḥ kṣīrormaya ivācyutam // Ragh(K)_4.27 //	pRzatEH-mandara-udDUtEH kzIra-UrmayaH iva-acyutam // RaG(K)_4.27 //
   sa yayau prathamaṃ prācīṃ tulyaḥ prācīnabarhiṣā /	sa yayO praTamam prAcIm tulyaH prAcInabarhizA /
   ahitānaniloddhūtaistarjayanniva ketubhiḥ // Ragh(K)_4.28 //	ahita-an-anila-udDUtEH-tarjayan=-iva ketuBiH // RaG(K)_4.28 //
   rajobhiḥ syandanoddhūtairgajaiśca ghanasannibhaiḥ /	rajoBiH syandana-udDUtEH-gajEH-ca Gana-sanniBEH /
   bhuvastalamiva vyoma kurvanvyomeva bhūtalam // Ragh(K)_4.29 //	BuvaH-talam-iva vyoma kurvan-vyomA-iva BU-talam // RaG(K)_4.29 //
   pratāpo 'gre tataḥ śabdaḥ purogāstadanantaram /	pratApaH agre tatas SabdaH purogAH-tad-anantaram /
   yayau paścādgajānīkaṃ catuḥskandheva sā camūḥ // Ragh(K)_4.30 //	yayO paScAt-gaja-anIkam catur-skanDA-iva sA camUH // RaG(K)_4.30 //
   purogaiḥ kaluṣāstasya sahaprasthāyibhiḥ kṛśāḥ /	purogEH kaluzAH-tasya saha-prasTAyiBiH kRSAH /
   paścātprayāyibhiḥ paṅkaṃ cakrire mārganimnagāḥ // Ragh(K)_4.31 //	paScAt-prayAyiBiH paFkam cakrire mArga-nimnagAH // RaG(K)_4.31 //
   marupṛṣṭhānyudambhāṃsi nāvyāḥ supratarā nadīḥ /	maru-pRzWAni-udamBAMsi nAvyAH su-pratarAH nadIH /
   vipināni prakāśāni śaktimattvāccakāra saḥ // Ragh(K)_4.32 //	vipinAni prakASAni Saktimat-tvAt-cakAra saH // RaG(K)_4.32 //
   sa senāṃ mahatīṃ karṣanpūrvasāgaragāminīm /	sa senAm mahatIm karzan-pUrva-sAgara-gAminIm /
   babhau harajaṭābhraṣṭāṃ gaṅgāmiva bhagīrathaḥ // Ragh(K)_4.33 //	baBO hara-jawA-BrazwAm gaFgAm-iva BagIraTaH // RaG(K)_4.33 //
   tyājitaiḥ phalamutkhātairbhagnaiśca bahudhā nṛpaiḥ /	tyAjitEH Palam-utKAtEH-BagnEH-ca bahuDA nRpEH /
   tasyāsīdulbaṇo mārgaḥ pādapairiva dantinaḥ // Ragh(K)_4.34 //	tasya-AsIt-ulbaNaH mArgaH pAdapEH-iva dantinaH // RaG(K)_4.34 //
   paurastyānevamākrāmaṃstāṃstāñjanapadāñjitī /	pOrastyAn-evam-AkrAman=-tAn=-tAn-janapadAn-jitI /
   prāpa tālīvanaśyāmamupakaṇṭhaṃ mahodadheḥ // Ragh(K)_4.35 //	prApa tAlI-vana-SyAmam-upakaNWam mahA-udaDeH // RaG(K)_4.35 //
   anamrāṇāṃ samuddhartustasmātsindhurayādiva /	anamrANAm samudDartuH-tasmAt-sinDuH-ayAt-iva /
   ātmā saṃrakṣitaḥ suhmairvṛttimāśritya vaitasīm // Ragh(K)_4.36 //	AtmA saMrakzitaH suhmEH-vRttim-ASritya vEtasIm // RaG(K)_4.36 //
   vaṅgānutkhāya tarasā netā nausādhanoddhatān /	vaFga-anutKAya tarasA netA nOsADana-udDatAn /
   nicakhāna jayastambhāngaṅgāsrotontareṣu saḥ // Ragh(K)_4.37 //	nicaKAna jaya-stamBAn-gaFgA-srotaH-ntarezu saH // RaG(K)_4.37 //
   āpādapadmapraṇatāḥ kalamā iva te raghum /	ApAda-padma-praNatAH kalamAH iva te raGum /
   phalaiḥ saṃvardhayāmāsurutkhātapratiropitāḥ // Ragh(K)_4.38 //	PalEH saMvarDayAmAsuH-utKAta-pratiropitAH // RaG(K)_4.38 //
   sa tīrtvā kayimāṃ sainyairbaddhadviradasetubhiḥ /	sa tIrtvA kayimAm sEnyEH-badDa-dvirada-setuBiH /
   utkalādeśitapathaḥ kaliṅgābhimukho yayau // Ragh(K)_4.39 //	utkalA-deSita-paTaH kaliFga-aBimuKaH yayO // RaG(K)_4.39 //
   sa pratāpaṃ mahendrasya mūrdhni tīkṣṇaṃ nyaveśayat /	sa pratApam mahA-indrasya mUrDni tIkzNam nyaveSayat /
   aṅkuśaṃ dviradasyeva yantā gambhīravedinaḥ // Ragh(K)_4.40 //	aFkuSam dviradasya-iva yantA gamBIra-vedinaH // RaG(K)_4.40 //
   pratijagrāha kāliṅgastamastrairgajasādhanaḥ /	pratijagrAha kAliFgaH-tamastrEH-gaja-sADanaH /
   pakṣacchedodyataṃ śakraṃ śilāvarṣīva parvataḥ // Ragh(K)_4.41 //	pakza=-Ceda-udyatam Sakram SilA-varzI-iva parvataH // RaG(K)_4.41 //
   dviṣāṃ viṣahya kākutsthastatra nārācadurdinam /	dvizAm vizahya kAkutsTaH-tatra nArAca-durdinam /
   sanmaṅgalasnāta iva pratipede jayaśriyam // Ragh(K)_4.42 //	sat-maFgala-snAtaH iva pratipede jaya-Sriyam // RaG(K)_4.42 //
   vāyavyāstravinirdhūtātpakṣāviddhādivodadheḥ /	vAyavya-astra-vinirDUtAt-pakza-AvidDAdivodaDeH /
   gajānīkātsa kāliṅgaṃ tārkṣyaḥ sarpamivādade // Ragh(K)_4.43 //	gaja-anIkAt-sa kAliFgam tArkzyaH sarpam-iva-Adade // RaG(K)_4.43 //
   tāmbūlīnāṃ dalaistasya racitāpānabhūmayaḥ /	tAmbUlInAm dalEH-tasya racita-apAna-BUmayaH /
   nārikelāsavaṃ yodhāḥ śātravaṃ ca yaśaḥ papuḥ // Ragh(K)_4.44 //	nArikela-Asavam yoDAH SAtravam ca yaSaH papuH // RaG(K)_4.44 //
   gṛhītapratimuktasya sa dharmavijayī nṛpaḥ /	gRhIta-pratimuktasya sa Darma-vijayI nRpaH /
   hriyaṃ mahendranāthasya jahāra na tu medinīm // Ragh(K)_4.45 //	hriyam mahA-indra-nATasya jahAra na tu medinIm // RaG(K)_4.45 //
   tato velātaṭenaiva phalavatpūgamālinā /	tatas velA-tawena-eva Palavat-pUga-mAlinA /
   agastyacaritāmāśāmanāśāsyajayo yayau // Ragh(K)_4.46 //	agastya-caritAm-ASAm-a-nASAsya-jayaH yayO // RaG(K)_4.46 //
   sa sainyaparibhogena gajadānasugandhinā /	sa sEnya-pariBogena gaja-dAna-suganDinA /
   kāverīṃ saritāṃ patyuḥ śaṅkanīyāmivākarot // Ragh(K)_4.47 //	kAverIm saritAm patyuH SaFkanIyAm-iva-akarot // RaG(K)_4.47 //
   bhayotsṛṣṭavibhūṣāṇāṃ tena keralayoṣitām /	Baya-utsRzwa-viBUzANAm tena kerala-yozitAm /
   alakeṣu camūreṇuścūrṇapratinidhīkṛtaḥ // Ragh(K)_4.48 //	alakezu cam-UreNuH-cUrNa-pratiniDIkRtaH // RaG(K)_4.48 //
   balairadhyuṣitāstasya vijigīṣorgatādhvanaḥ /	balEH-aDyuzitAH-tasya vijigIzoH-gata-aDvanaH /
   hārītocchiṣṭamaricā malayādrerupatyakāḥ // Ragh(K)_4.49 //	hArIta-ucCizwa-maricAH malayAdreH-upatyakAH // RaG(K)_4.49 //
   ājāneyakhurakṣuṇṇapakvailākṣetrasambhavam /	AjAneya-Kura-kzuNNa-pakva-elA-kzetra-samBavam /
   vyānaśe sapadi vyoma kīṭakośābilaṃ rajaḥ // Ragh(K)_4.50 //	vyAnaSe sapadi vyoma kIwa-koSa-abilam rajaH // RaG(K)_4.50 //
   bhogiveṣṭanamārgeṣu candanānāṃ samarpitam /	Bogi-vezwana-mArgezu candanAnAm samarpitam /
   nāsraṃsatkariṇāṃ graivaṃ tripadīchedināmapi // Ragh(K)_4.51 //	na-asraMsat-kariNAm grEvam tripadI-CedinAm-api // RaG(K)_4.51 //
   diśi mandāyate tejo dakṣiṇasyāṃ raverapi /	diSi mandAyate tejaH dakziNasyAm raveH-api /
   tasyāmeva raghoḥ pāṇḍyāḥ pratāpaṃ na viṣehire // Ragh(K)_4.52 //	tasyAm-eva raGoH pANxyAH pratApam na vizehire // RaG(K)_4.52 //
   tāmraparṇīsametasya muktāsāraṃ mahodadheḥ /	tAmraparNI-sametasya muktA-sAram mahA-udaDeH /
   te nipatya dadustasmai yaśaḥ svamiva sañcitam // Ragh(K)_4.53 //	te nipatya daduH-tasmE yaSaH svam-iva saQcitam // RaG(K)_4.53 //
   sa nirviśya yathākāmaṃ taṭasvādhīnacandanau /	sa nirviSya yaTAkAmam tawasva-aDIna-candanO /
   stanāviva diśastasyāḥ śailau malayadurdurau // Ragh(K)_4.54 //	stanO=-iva diSaH-tasyAH SElO malaya-durdurO // RaG(K)_4.54 //
   asahyavikramaḥ sahyaṃ dūramuktamudanvatā /	asahya-vikramaH sahyam dUra-muktam-udanvatA /
   nitambamiva medinyāḥ srastāṃśukamalaṅghayat // Ragh(K)_4.55 //	nitambam-iva medinyAH srasta-aMSukam-alaFGayat // RaG(K)_4.55 //
   tasyānīkairvisarpadbhiraparāntajayodyataiḥ /	tasya-anIkEH-visarpadBiH-aparAnta-jaya-udyatEH /
   rāmeṣūtsārito 'pyāsītsahyalagna ivārṇavaḥ // Ragh(K)_4.56 //	rAmezu-utsAritaH api-AsIt-sahya-lagnaH iva-arNavaH // RaG(K)_4.56 //
   puro yanmārutoddhūtamagamatkaitakaṃ rajaḥ /	puras yat-mAruta-udDUtam-agamat-kEtakam rajaH /
   tadyodhavāravāṇānāmayatnapaṭavāsatām // Ragh(K)_4.57 //	tad-yoDa-vAravANAnAm-ayatna-pawa-vAsa-tAm // RaG(K)_4.57 //
   abhyabhūyata vāhānāṃ rathānāṃ cāsya śiñjitaiḥ /	aByaBUyata vAhAnAm raTAnAm ca-asya SiQjitEH /
   marmaraḥ pavanoddhūtarājatālīvanadhvaniḥ // Ragh(K)_4.58 //	marmaraH pavana-udDUta-rAja-tAlI-vana-DvaniH // RaG(K)_4.58 //
   kharjūrīskandhanaddhānāṃ madodgārasugandhiṣu /	KarjUrI-skanDa-nadDAnAm mada-udgAra-suganDizu /
   kaṭeṣu kariṇāṃ petuḥ punnāgebhyaḥ śilīmukhāḥ // Ragh(K)_4.59 //	kawezu kariNAm petuH punnAgeByaH SilImuKAH // RaG(K)_4.59 //
   avakāśaṃ kilodanvānrāmāyābhyarthito dadau /	avakASam kila-udanvAn-rAmAya-aByarTitaH dadO /
   aparāntamahīpālavyājena raghave karam // Ragh(K)_4.60 //	apara-anta-mahIpAla-vyAjena raGave karam // RaG(K)_4.60 //
   mahebharadanotkīrṇavyaktavikramalakṣaṇam /	maheBa-radana-utkIrNa-vyakta-vikrama-lakzaNam /
   trikūṭameva tatroccairjayastambhaṃ cakāra saḥ // Ragh(K)_4.61 //	trikUwam-eva tatra-uccEs-jaya-stamBam cakAra saH // RaG(K)_4.61 //
   pārasīkāṃstato jetuṃ pratasthe sthalavartmanā /	pArasIkAn=-tatas jetum pratasTe sTala-vartmanA /
   indriyākhyāniva ripūṃstattvajñānena saṃyamī // Ragh(K)_4.62 //	indriya-AKyAn-iva ripUn=-tattva-jQAnena saMyamI // RaG(K)_4.62 //
   yavanīmukhapadmānāṃ sehe madhumadaṃ na saḥ /	yavanI-muKa-padmAnAm sehe maDu-madam na saH /
   bālātapamivābjānāmakālajaladodayaḥ // Ragh(K)_4.63 //	bAla-Atapam-iva-abjAnAm-akAla-jalada-udayaH // RaG(K)_4.63 //
   saṅgrāmastumulastasya pārasīkāśvasādhanaiḥ /	saFgrAmaH-tumulaH-tasya pArasIka-aSva-sADanEH /
   śārṅgakūjitavijñeyapratiyodho rajasyabhūt // Ragh(K)_4.64 //	SArFga-kUjita-vijQeya-pratiyoDaH rajasi-aBUt // RaG(K)_4.64 //
   bhallāpavarjitaisteṣāṃ śirobhiḥ śmaśrulairmahīm /	BallApa-varjitEH-tezAm SiroBiH SmaSrulEH-mahIm /
   tastāra saraghāvyāptaiḥ sa kṣaudrapaṭalairiva // Ragh(K)_4.65 //	tastAra saraGa-avyAptEH sa kzOdra-pawalEH-iva // RaG(K)_4.65 //
   apanītaśirastrāṇāḥ śeṣāstaṃ śaraṇaṃ yayuḥ /	apanIta-SirastrANAH SezAH-tam SaraNam yayuH /
   praṇipātapratīkāraḥ saṃrambho hi mahātmanām // Ragh(K)_4.66 //	praNipAta-pratIkAraH saMramBaH hi mahAtmanAm // RaG(K)_4.66 //
   vinayante sma tadyodhā madhubhirvijayaśramam /	vinayante sma tad-yoDAH maDuBiH-vijaya-Sramam /
   āstīrṇājinaratnāsu drākṣāvalayabhūmiṣu // Ragh(K)_4.67 //	AstIrNa-ajina-ratnAsu drAkzA-valaya-BUmizu // RaG(K)_4.67 //
   tataḥ pratasthe kauberīṃ bhāsvāniva raghurdiśam /	tatas pratasTe kOberIm BAsvAn-iva raGuH-diSam /
