   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   puṇyamevāmumāpānoti na devān pāpamāpnuyāt /	puNyam-eva-amum-ApAnoti na devAn pApam-ApnuyAt /
   ityādiśrutayo mānamukte 'rthe yuktayo 'parāḥ // MAnuv_3,4.238 //	ityAdi-SrutayaH mAnam-ukte arTe yuktayaH aparAH // Ma-anuv_3,4.238 //
   upāsanādharmaphalaṃ yato dehāntare sthitiḥ /	upAsana-aDarma-Palam yatas deha-antare sTitiH /
   vāsudevājñayā caiva pūrvakarmānusārataḥ // MAnuv_3,4.239 //	vAsudeva-AjQayA ca-eva pUrva-karma-anusArataH // Ma-anuv_3,4.239 //
   prerayanti hi te jīvān puṇyapāpeṣu nityaśaḥ /	prerayanti hi te jIvAn puNya-pApezu nityaSas /
   arāgadveṣataścaiva kathaṃ doṣānavāpnuyuḥ // MAnuv_3,4.240 //	arAga-dvezataH-ca-eva kaTam dozAn-avApnuyuH // Ma-anuv_3,4.240 //
   haryājñākaraṇādeva puṇyamebhiravāpyate /	haryAjQA-karaNAt-eva puNyam-eBiH-avApyate /
   haripūjeti coddeśāt kathaṃ na śubhamāpnuyuḥ // MAnuv_3,4.241 //	hari-pUjA-iti ca-uddeSAt kaTam na SuBam-ApnuyuH // Ma-anuv_3,4.241 //
   ato yathākramaṃ dharmajñānayoḥ phalamañjasā /	atas yaTAkramam Darma-jQAnayoH Palam-aQjasA /
   sarvaprāṇigataṃ devāḥ prāpnuvantyā viriñcataḥ // MAnuv_3,4.242 //	sarva-prANi-gatam devAH prApnuvantyA viriQcataH // Ma-anuv_3,4.242 //
   devā eva hi devānāṃ viśiṣṭā viniyāmakāḥ /	devAH eva hi devAnAm viSizwAH viniyAmakAH /
   brahmā tvakhiladevānāṃ narāṇāṃ ca niyāmakaḥ /	brahmA tu-aKila-devAnAm narANAm ca niyAmakaH /
   ataḥ sarvaguṇāneṣa prāpanotyadhikamanyataḥ // MAnuv_3,4.243 //	atas sarva-guNAn-eza prApanoti-aDikam-anyatas // Ma-anuv_3,4.243 //
   dravyasvātantryavijñānaprayatnairadhikaṃ phalam /	dravya-svAtantrya-vijQAna-prayatnEH-aDikam Palam /
   devānāmanyagaṃ cāpi teṣu yad brahmaṇo hi tat // MAnuv_3,4.244 //	devAnAm-anya-gam ca-api tezu yat brahmaNaH hi tat // Ma-anuv_3,4.244 //
   bṛhattantroditaṃ vākyaṃ hariṇā phalanirṇaye /	bRhat-tantra-uditam vAkyam hariNA Pala-nirNaye /
   loke 'pyetādṛśaguṇaiḥ phalādhikyaṃ hi dṛśyate // MAnuv_3,4.245 //	loke api-etAdRSa-guNEH Pala-ADikyam hi dRSyate // Ma-anuv_3,4.245 //
   evañca kalipūrvāṇāmasurāṇāṃ mahat phalam /	evaQca kali-pUrvANAm-asurANAm mahat Palam /
   aśubheṣu sadaiva syānmithyājñānādikeṣu hi // MAnuv_3,4.246 //	aSuBezu sadA-eva syAt-miTyA-jQAna-Adikezu hi // Ma-anuv_3,4.246 //
   śubhāśubhaphalaṃ devā asurāśca samāpnuyuḥ /	SuBa-aSuBa-Palam devAH asurAH-ca samApnuyuH /
   krameṇaiva yathāśakti yathā ye ye prayojakāḥ // MAnuv_3,4.247 //	krameNa-eva yaTASakti yaTA ye ye prayojakAH // Ma-anuv_3,4.247 //
   prerakā api pāpānāṃ na devāḥ pāpamāpnuyuḥ /	prerakAH api pApAnAm na devAH pApam-ApnuyuH /
   iti prakāśikāyāṃ hi provāca harirañjasā // MAnuv_3,4.248 //	iti prakASikAyAm hi provAca hariH-aQjasA // Ma-anuv_3,4.248 //
   yadyapyevaṃ surāṇāṃ ca daityānāṃ ca mahat phalam /	yadi-api-evam surANAm ca dEtyAnAm ca mahat Palam /
   śubhāśubhebhya evañca kartuśca syād yathoditam // MAnuv_3,4.249 //	SuBa-aSuBeByaH evaQca kartuH-ca syAt yaTA-uditam // Ma-anuv_3,4.249 //
   tasmānnirayamānuṣyasvargamuktyupabhoginaḥ /	tasmAt-niraya-mAnuzya-svarga-mukti-upaBoginaH /
   mānuṣottamamārabhya devāstu nirayaṃ vinā // MAnuv_3,4.250 //	mAnuza-uttamam-AraBya devAH-tu nirayam vinA // Ma-anuv_3,4.250 //
   asurāstu vinā muktiṃ tamo 'ndhamapi cāpnuyuḥ /	asurAH-tu vinA muktim tamaH anDam-api ca-ApnuyuH /
   iti tattvavivekoktaṃ svayaṃ bhagavatā vacaḥ // MAnuv_3,4.251 //	iti tattva-viveka-uktam svayam BagavatA vacaH // Ma-anuv_3,4.251 //
   jñānadā apicācāryā viśeṣāt phalamāpnuyuḥ /	jQAna-dA apica-AcAryAH viSezAt Palam-ApnuyuH /
   muktāvaṣṭaguṇaṃ śiṣyād gururāpanoti śobhanam // MAnuv_3,4.252 //	muktO=-azwaguNam SizyAt guruH-Apanoti SoBanam // Ma-anuv_3,4.252 //
   tadgururdviguṇaṃ tasmāt sārdhaṃ tāvat tato 'pare /	tad-guruH-dviguNam tasmAt sArDam tAvat tatas apare /
   devāḥ sahasraguṇitaṃ kramāt tasmād yathottaram // MAnuv_3,4.253 //	devAH sahasra-guNitam kramAt tasmAt yaTottaram // Ma-anuv_3,4.253 //
   brahmā mahaughaguṇitamevaṃ phalavinirṇayaḥ /	brahmA mahA-oGa-guNitam-evam Pala-vinirNayaH /
   ityāha bhagavāñchāstre guruvṛttābhidhe svayam /	iti-Aha BagavAn-SAstre guru-vRtta-aBiDe svayam /
   yuktaṃ ca tanna godātā gomātraphalamāpnuyāt // MAnuv_3,4.254 //	yuktam ca tat-na godAtA go-mAtra-Palam-ApnuyAt // Ma-anuv_3,4.254 //
   ya imaṃ paramaṃ guhyaṃ madbhakteṣvabhidhāsyati /	yaH imam paramam guhyam mad-Baktezu-aBiDAsyati /
   bhaktiṃ mayi parāṃ kṛtvā māmevaiṣyatyasaṃśayaḥ // MAnuv_3,4.255 //	Baktim mayi parAm kRtvA mAm-eva-ezyati-asaMSayaH // Ma-anuv_3,4.255 //
   na ca tasmānmanuṣyeṣu kaścinme priyakṛttamaḥ /	na ca tasmAt-manuzyezu kaScid-me priya-kRttamaH /
   bhavitā na ca me tasmādanyaḥ priyataro bhuvi /	BavitA na ca me tasmAt-anyaH priyataraH Buvi /
   ityāha bhagavānevamapi pātramapekṣyate // MAnuv_3,4.256 //	iti-Aha BagavAn-evam-api pAtram-apekzyate // Ma-anuv_3,4.256 //
   evamevāvirodhena prārabdhasyaiva karmaṇaḥ /	evam-eva-aviroDena prArabDasya-eva karmaNaH /
   jñānaṃ dṛṣṭaphalaṃ proktaṃ muktiścehaiva labhyate // MAnuv_3,4.257 //	jQAnam dRzwa-Palam proktam muktiH-ca-iha-eva laByate // Ma-anuv_3,4.257 //
   || iti śrīmadānandatīrthabhagavatpādācāryaviracite	|| iti SrImat-Ananda-tIrTa-Bagavat-pAda-AcArya-viracite
   śrīmadbrahmasūtrānuvyākhyāne tṛtīyo 'dhyāyaḥ ||	SrImat-brahmasUtra-anuvyAKyAne tRtIyaH aDyAyaH ||
   samanvayāvirodhābhyāṃ siddhe vastuni sādhane /	samanvaya-aviroDAByAm sidDe vastuni sADane /
   vicāriteṣvaśeṣeṣu sādhaneṣu viśeṣataḥ // MAnuv_4,1.1 //	vicAritezu-aSezezu sADanezu viSezataH // Ma-anuv_4,1.1 //
   nityaśaḥ kāryamatyantamavaśyaṃ bhāvi sādhanam /	nityaSas kAryam-atyantam-avaSyam BAvi sADanam /
   cintyate prathamaṃ tatra śravaṇādisakṛtkriyā // MAnuv_4,1.2 //	cintyate praTamam tatra SravaNa-Adi-sakRt-kriyA // Ma-anuv_4,1.2 //
   āvṛttirveti sandehe kartavyā'vṛttireva hi /	AvRttiH-vA-iti sandehe kartavyA-avRttiH-eva hi /
   upadeśo 'tat tvamasītyādirhyasakṛdeva yat // MAnuv_4,1.3 //	upadeSaH atat tvam-asi-iti-AdiH-hi-asakRt-eva yat // Ma-anuv_4,1.3 //
   liṅgāllātavyataḥ pūrvamṛjobarrahmatvataḥ śatāt /	liFgAt-lAtavyataH pUrva-mRjobarrahma-tvataH SatAt /
   śuśrāvogratapā nāma yogyo rudrapadasya yaḥ // MAnuv_4,1.4 //	SuSrAva-ugratapAH nAma yogyaH rudra-padasya yaH // Ma-anuv_4,1.4 //
   sārddhaṃ parārddhaṃ viṣṇostu guṇān bhaktayā sadodyataḥ /	sArdDam parArdDam vizNoH-tu guNAn BaktayA sadA-udyataH /
   tattribhāgamupāsāṃ ca cakre sambhṛtamānasaḥ // MAnuv_4,1.5 //	tad-tri-BAgam-upAsAm ca cakre samBRta-mAnasaH // Ma-anuv_4,1.5 //
   daśamanvantaraṃ śakrapadayogyo garutmataḥ /	daSa-manvantaram Sakra-pada-yogyaH garutmataH /
   padayogyāt sumanasaḥ sunando nāma cāśṛṇot /	pada-yogyAt sumanasaH sunandaH nAma ca-aSRNot /
   upāsāṃ cakra udyukto manvantaracatuṣyayam // MAnuv_4,1.6 //	upAsAm cakraH udyuktaH manvantara-catuzI-ayam // Ma-anuv_4,1.6 //
   sūryācandramasoścaiva padayogyau sutejasau /	sUryAcandramasoH-ca-eva pada-yogyO su-tejasO /
   surūpaḥ śāntarūpaśca manvantaracatuṣyayam /	surUpaH SAnta-rUpaH-ca manvantara-catuzI-ayam /
   aśṛṇvatāṃ sumanaso manvantaramupāsatām // MAnuv_4,1.7 //	aSRNvatAm sumanasaH manvantaram-upAsatAm // Ma-anuv_4,1.7 //
   tataḥ proktāstu te sarve bhaktayogratapaādayaḥ /	tatas proktAH-tu te sarve BaktayaH-gratapaa-AdayaH /
   apaśyan paramaṃ viṣṇuṃ tatprasādedhitāḥ sadā /	apaSyan paramam vizNum tad-prasAdeDitAH sadA /
   ityuktaṃ viṣṇunā sākṣād granthe sattatvasañjñite // MAnuv_4,1.8 //	iti-uktam vizNunA sAkzAt granTe sattatva-saQjQite // Ma-anuv_4,1.8 //
   ātmeti nāma kathitaṃ sākṣānnārāyaṇasya hi /	AtmA-iti nAma kaTitam sAkzAt-nArAyaNasya hi /
   ātmā brahma mahāṃstāraḥ parameśaḥ śuciśravāḥ // MAnuv_4,1.9 //	AtmA brahma mahAn=-tAraH parameSaH SuciSravAH // Ma-anuv_4,1.9 //
   viṣṇurnārāyaṇo 'nanta iti śrīpatirīryate /	vizNuH-nArAyaNaH anantaH iti SrIpatiH-Iryate /
   iti piṅgaśrutiścaiva tathaiva paramaśrutiḥ // MAnuv_4,1.10 //	iti piFgaSrutiH-ca-eva taTA-eva parama-SrutiH // Ma-anuv_4,1.10 //
   omātmā bhagavān viṣṇurātmānando 'kṣaraḥ svarāṭ /	oma-AtmA BagavAn vizNuH-Atma-AnandaH akzaraH svarAj /
   viśvatrātā nṛsiṃho 'jo nārāyaṇa urukramaḥ // MAnuv_4,1.11 //	viSva-trAtA nRsiMhaH ajaH nArAyaNaH urukramaH // Ma-anuv_4,1.11 //
   anasūyā tathaivātrerjajñe putrānakalmaṣān /	anasUyA taTA-eva-atreH-jajQe putrAn-akalmazAn /
   dattaṃ durvāsasaṃ somamātmeśabrahmasambhavān // MAnuv_4,1.12 //	dattam durvAsasam somam-Atma-ISa-brahma-samBavAn // Ma-anuv_4,1.12 //
   iti bhāgavate caiva tasmādātmā janārdanaḥ /	iti BAgavate ca-eva tasmAt-AtmA janArdanaH /
   tasmādupāsyo viṣṇuriti jñātavyaḥ sajjanaiḥ sadā // MAnuv_4,1.13 //	tasmAt-upAsyaH vizNuH-iti jQAtavyaH sat-janEH sadA // Ma-anuv_4,1.13 //
   tathaivopāsate santastathaivopadiśanti ca /	taTA-eva-upAsate santaH-taTA-eva-upadiSanti ca /
   ādānārthatvataścāyamātmaśabdaḥ patiṃ vadet /	AdAna-arTa-tvataH-ca-ayam-Atma-SabdaH patim vadet /
   svāmī me viṣṇurityeva nityadopāsyamañjasā // MAnuv_4,1.14 //	svAmI me vizNuH-iti-eva nityadA-upAsyam-aQjasA // Ma-anuv_4,1.14 //
   svāmī viṣṇuriti dhyānaṃ viśeṣaṇaviśeṣyataḥ /	svAmI vizNuH-iti DyAnam viSezaNa-viSezyataH /
   kartavyaṃ sarvathaivaitanna kathañcana vismaret // MAnuv_4,1.15 //	kartavyam sarvaTA-eva-etat-na kaTaQcana vismaret // Ma-anuv_4,1.15 //
   iti sattattvavacanaṃ ṣāḍguṇyavacanaṃ param /	iti sat-tattva-vacanam zAxguNya-vacanam param /
   mama svāmī harirnityaṃ sarvasya patireva ca /	mama svAmI hariH-nityam sarvasya patiH-eva ca /
   iti dhyeyaḥ sarvadaiva bhagavān viṣṇuravyayaḥ // MAnuv_4,1.16 //	iti DyeyaH sarvadA-eva BagavAn vizNuH-avyayaH // Ma-anuv_4,1.16 //
   pratīkaviṣayatvena na kāryā viṣṇubhāvanā /	pratIka-vizaya-tvena na kAryA vizNu-BAvanA /
   pratīkaṃ naiva viṣṇuryanmithyopāsā hyanathardā // MAnuv_4,1.17 //	pratIkam na-eva vizNuH-yat-miTyA-upAsAH hi-anaTardAH // Ma-anuv_4,1.17 //
   yo 'nyathā santamātmeśamanyathā pratipadyate /	yaH anyaTA santam-Atma-ISam-anyaTA pratipadyate /
   kiṃ tena na kṛtaṃ pāpaṃ coreṇātmāpahāriṇā // MAnuv_4,1.18 //	kim tena na kRtam pApam coreNa-Atma-apahAriNA // Ma-anuv_4,1.18 //
   yo 'nyathā santamātmānamanyathā pratipadyate /	yaH anyaTA santam-AtmAnam-anyaTA pratipadyate /
   kiṃ tena na kṛtaṃ pāpaṃ coreṇeśāpahāriṇā // MAnuv_4,1.19 //	kim tena na kRtam pApam coreNa-ISa-apa-hAriNA // Ma-anuv_4,1.19 //
   yo 'nyathaiva sthitaṃ viṣṇumanyathā pratipadyate /	yaH anyaTA-eva sTitam vizNum-anyaTA pratipadyate /
   kiṃ tena na kṛtaṃ pāpaṃ coreṇa brahmacāriṇā // MAnuv_4,1.20 //	kim tena na kRtam pApam coreNa brahmacAriNA // Ma-anuv_4,1.20 //
   svātmānaṃ pratimāṃ vāpi devatāntarameva vā /	sva-AtmAnam pratimAm vA-api devatA-antaram-eva vA /
   cetanācetanaṃ vānyad dhyāyed yaḥ keśavastviti /	cetana-acetanam vA-anyat DyAyet yaH keSavaH-tu-iti /
   kiṃ tena na kṛtaṃ pāpaṃ cāreṇeśāpahāriṇā // MAnuv_4,1.21 //	kim tena na kRtam pApam cAreNa-ISa-apa-hAriNA // Ma-anuv_4,1.21 //
   yo 'nyad viṣṇuriti dhyāyejjānīyād vā hariṃ tathā /	yaH anyat vizNuH-iti DyAyet-jAnIyAt vA harim taTA /
   andhe tamasi majjet sa yatra naivotthitiḥ kvacit // MAnuv_4,1.22 //	anDe tamasi majjet sa yatra na-eva-utTitiH kvacid // Ma-anuv_4,1.22 //
   yo 'nyad viṣṇuriti dhyāyed viṣṇuranyaditi sma vā /	yaH anyat vizNuH-iti DyAyet vizNuH-anyat-iti sma vA /
   anyathā dhyānadoṣeṇa mahātamasi majjati // MAnuv_4,1.23 //	anyaTA DyAna-dozeNa mahAtamasi majjati // Ma-anuv_4,1.23 //
   yo 'nyad viṣṇuriti dhyāyed viṣṇuranyaditi sma vā /	yaH anyat vizNuH-iti DyAyet vizNuH-anyat-iti sma vA /
   mahātamasi magnasya tasya naivotthitiḥ kvacit // MAnuv_4,1.24 //	mahAtamasi magnasya tasya na-eva-utTitiH kvacid // Ma-anuv_4,1.24 //
   yatkiñcidanyathā saṃsthamanyathā dhyātamañjasā /	yat-kiQcid-anyaTA saMsTam-anyaTA DyAtam-aQjasA /
   dhyāturmahādoṣakaraṃ kimu sarveśvaro hariḥ // MAnuv_4,1.25 //	DyAtuH-mahA-doza-karam kimu sarva-ISvaraH hariH // Ma-anuv_4,1.25 //
   yatkiñcidanyathā saṃsthamanyathā jñātamañjasā /	yat-kiQcid-anyaTA saMsTam-anyaTA jQAtam-aQjasA /
   mahādoṣakaraṃ viṣṇuḥ kimu sarveśvareśvaraḥ // MAnuv_4,1.26 //	mahA-doza-karam vizNuH kimu sarva-ISvara-ISvaraH // Ma-anuv_4,1.26 //
   yatkiñcidanyathā saṃsthamanyathā jñātamañjasā /	yat-kiQcid-anyaTA saMsTam-anyaTA jQAtam-aQjasA /
   anarthakāraṇaṃ loke kimu sarveśvareśvaraḥ // MAnuv_4,1.27 //	anarTa-kAraNam loke kimu sarva-ISvara-ISvaraH // Ma-anuv_4,1.27 //
   na kiñcidanyathā jñeyaṃ dhyeyaṃ vā tena kutracit /	na kiQcid-anyaTA jQeyam Dyeyam vA tena kutracid /
   kimu sarvottamo viṣṇurjñeyo nīcatayā kvacit // MAnuv_4,1.28 //	kimu sarva-uttamaH vizNuH-jQeyaH nIca-tayA kvacid // Ma-anuv_4,1.28 //
   tasmād vastu yathārūpaṃ jñeyaṃ dhyeyaṃ ca sarvadā /	tasmAt vastu yaTArUpam jQeyam Dyeyam ca sarvadA /
   kāraṇaṃ puruṣārthasya nānyathā bhavati kvacit // MAnuv_4,1.29 //	kAraNam puruza-arTasya na-anyaTA Bavati kvacid // Ma-anuv_4,1.29 //
   iti śrutipurāṇoktibalato na pratīkatā /	iti Sruti-purANa-ukti-balataH na pratIkatA /
   dhyeyā viṣṇoḥ kvacid yasmānmithyājñānamanarthadam // MAnuv_4,1.30 //	DyeyAH vizNoH kvacid yasmAt-miTyAjQAnam-anarTa-dam // Ma-anuv_4,1.30 //
   ityabhipretya na hi sa ityāha bhagavān prabhuḥ /	iti-aBipretya na hi saH iti-Aha BagavAn praBuH /
   pratīkasaṃsthitatvena dhyeyo viṣṇurnacānyathā // MAnuv_4,1.31 //	pratIka-saMsTita-tvena DyeyaH vizNuH-naca-anyaTA // Ma-anuv_4,1.31 //
   brahmeti ca sadā dhyeyo bhagavān viṣṇurañjasā /	brahma-iti ca sadA DyeyaH BagavAn vizNuH-aQjasA /
   utkṛṣṭo brahmaśabdārthaḥ pūrṇatvaṃ brahmatā yataḥ // MAnuv_4,1.32 //	utkRzwaH brahma-Sabda-arTaH pUrNa-tvam brahma-tA yatas // Ma-anuv_4,1.32 //
   ādhivyādhinimittena vikṣiptamanaso 'pi tu /	ADi-vyADi-nimittena vikzipta-manasaH api tu /
   dhyeyaiva brahmatā nityaṃ viṣṇorbhaktayā nirantaram /	DyeyA-eva brahma-tA nityam vizNoH-BaktayA nirantaram /
   iti prakāśikāyāṃ ca vacanaṃ viṣṇuneritam // MAnuv_4,1.33 //	iti prakASikAyAm ca vacanam vizNunA-Iritam // Ma-anuv_4,1.33 //
   nātmeti sūtramīśasya jīvatvapratipādakam /	na-AtmA-iti sUtram-ISasya jIva-tvapratipAdakam /
   ātmaśabdaṃ yato hetuṃ kṛtvā jīvaṃ nyavārayat /	Atma-Sabdam yatas hetum kRtvA jIvam nyavArayat /
   svaśabdāt prāṇabhṛccaiva nokta ityeva vedarāṭ // MAnuv_4,1.34 //	sva-SabdAt prANaBRt-ca-eva na-uktaH iti-eva veda-rAj // Ma-anuv_4,1.34 //
   yadyātmaśabdo jīve 'pi kathaṃ sa vinivārayet /	yadi-Atma-SabdaH jIve api kaTam sa vinivArayet /
   ātmaśabdoditastasmād viṣṇureva nacāparaḥ // MAnuv_4,1.35 //	Atma-Sabda-uditaH-tasmAt vizNuH-eva naca-aparaH // Ma-anuv_4,1.35 //
   ātmabrahmādayaḥ śabdāstamṛte viṣṇumavyayam /	Atma-brahma-AdayaH Sabda-astam-Rte vizNum-avyayam /
   na vadanti yato nāptā kvāpi tairguṇapūrṇatā /	na vadanti yatas na-AptA kvApi tEH-guNa-pUrNa-tA /
   nārāyaṇādhyātmagatamiti yad vaiṣṇavaṃ vacaḥ // MAnuv_4,1.36 //	nArAyaNa-aDyAtma-gatam-iti yat vEzNavam vacaH // Ma-anuv_4,1.36 //
   yadi jīveśayorvedapatiraikyaṃ ca manyate /	yadi jIveSayoH-veda-patiH-Ekyam ca manyate /
   ātmaśabdaṃ kathaṃ tasmānnivārayati yuktitaḥ // MAnuv_4,1.37 //	Atma-Sabdam kaTam tasmAt-nivArayati yuktitaH // Ma-anuv_4,1.37 //
   bhedasya vyapadeśaṃ ca sthitiṃ cādanameva ca /	Bedasya vyapadeSam ca sTitim ca-adanam-eva ca /
   bhedadārḍhye hetumāha satātparyaṃ jagatpatiḥ // MAnuv_4,1.38 //	Beda-dArXye hetum-Aha satAtparyam jagatpatiH // Ma-anuv_4,1.38 //
   vyāvahārikabhedaścet kvāsāvavyāvahārikaḥ /	vyAvahArika-BedaH-ced kva-asO=-avyAvahArikaH /
   vyāvahārikamityeva vacanaṃ vyāvahārikam // MAnuv_4,1.39 //	vyAvahArikam-iti-eva vacanam vyAvahArikam // Ma-anuv_4,1.39 //
   uta neti vikalpe tu yadi syād vyāvahārikam /	uta na-iti vikalpe tu yadi syAt vyAvahArikam /
   tasyāpi bādhyatā cet syād bhedaḥ syāt pāramārthikaḥ // MAnuv_4,1.40 //	tasya-api bADya-tA ced syAt BedaH syAt pAramArTikaH // Ma-anuv_4,1.40 //
   avyāvahārikatvaṃ ced bhedo 'yaṃ satyatāṃ gataḥ /	avyAvahArika-tvam ced BedaH ayam satya-tAm gataH /
   ekasyāsatyatāyāṃ hi dvayoreva viruddhayoḥ /	ekasya-asatya-tAyAm hi dvayoH-eva virudDayoH /
   anyasya satyataiva syāditi kena nivāryate // MAnuv_4,1.41 //	anyasya satyatA-eva syAt-iti kena nivAryate // Ma-anuv_4,1.41 //
   asatyaṃ noktamityukte satyamuktamiti prajāḥ /	asatyam na-uktam-iti-ukte satyam-uktam-iti prajAH /
   jānantyuktaṃ tu no satyamityukte 'satyatāmapi // MAnuv_4,1.42 //	jAnanti-uktam tu no satyam-iti-ukte asatya-tAm-api // Ma-anuv_4,1.42 //
   na svapne 'pi dvayaṃ mithyā tatraikaṃ satyameva hi /	na svapne api dvayam miTyA tatra-ekam satyam-eva hi /
   bhāvābhāvāvubhau tatra kathaṃ mithyā bhaviṣyataḥ // MAnuv_4,1.43 //	BAva-aBAvO=-uBO tatra kaTam miTyA BavizyataH // Ma-anuv_4,1.43 //
   bhāvasya hi niṣedhe tu nābhāvasya niṣedhanam /	BAvasya hi nizeDe tu na-aBAvasya nizeDanam /
   svavāco 'satyatā cet syāt tasmād bhedasya satyatā // MAnuv_4,1.44 //	sva-vAcaH asatya-tA ced syAt tasmAt Bedasya satya-tA // Ma-anuv_4,1.44 //
   tasmājjīveśayorbheda uktanyāyena gamyate /	tasmAt-jIveSayoH-BedaH ukta-nyAyena gamyate /
   etasmādātmaśabdo 'yaṃ paramātmābhidhā bhavet // MAnuv_4,1.45 //	etasmAt-Atma-SabdaH ayam paramAtmA-aBiDA Bavet // Ma-anuv_4,1.45 //
   pratīkaviṣayatvena viṣṇudṛṣṭirna tad bhavet /	pratIka-vizaya-tvena vizNu-dRzwiH-na tat Bavet /
   pratīke viṣṇurityeva tasmāt kāryā hyupāsanā // MAnuv_4,1.46 //	pratIke vizNuH-iti-eva tasmAt kAryA hi-upAsanAH // Ma-anuv_4,1.46 //
   na ca viṣṇuḥ pratīkaṃ yat tasmānnātmetyupāsanā /	na ca vizNuH pratIkam yat tasmAt-na-AtmA-iti-upAsanAH /
   iti pakṣo yadā brahmadṛṣṭiścātra viruddhayate /	iti pakzaH yadA brahma-dRzwiH-ca-atra virudDayate /
   sa neti yuktistatrāpi sametyuktaviruddhatā // MAnuv_4,1.47 //	sa na-iti yuktiH-tatra-api sameti-ukta-virudDa-tA // Ma-anuv_4,1.47 //
   yadyapyutkarṣamātreṇa hyatadbhave 'pyupāsanā /	yadi-api-utkarza-mAtreNa hi-atad-Bave api-upAsanAH /
   utkarṣa ātmano 'pi syāccetanatvādacetanāt /	utkarzaH AtmanaH api syAt-cetana-tvAt-acetanAt /
   tasamādatattvaṃ nopāsyamiti vedavido matam // MAnuv_4,1.48 //	tasamAda-tattvam na-upAsyam-iti veda-vidaH matam // Ma-anuv_4,1.48 //
   utkarṣād brahmatādhyāne yadi syāt phalamañjasā /	utkarzAt brahma-tA-DyAne yadi syAt Palam-aQjasA /
   brahmaṇo nīcatādhyānādanarthaḥ kiṃ na jāyate // MAnuv_4,1.49 //	brahmaNaH nIca-tA-DyAnAt-anarTaH kim na jAyate // Ma-anuv_4,1.49 //
   acetanasya brahmatvadhyāne tuṣyirnahi kvacit /	acetanasya brahma-tva-DyAne tuzyiH-nahi kvacid /
   nīcasya svātmatādhyāne kupyati brahma lokavat // MAnuv_4,1.50 //	nIcasya sva-Atma-tA-DyAne kupyati brahma loka-vat // Ma-anuv_4,1.50 //
   caṇḍālo nṛpa ityukte nṛpaścaṇḍāla ityapi /	caNxAlaH nRpaH iti-ukte nRpaH-caNxAle iti-api /
   ko viśeṣaḥ parijñāte nṛpeṇa syāt kathañcana // MAnuv_4,1.51 //	kaH viSezaH parijQAte nRpeNa syAt kaTaQcana // Ma-anuv_4,1.51 //
   purato naradevasya caṇḍālo yadi pūjyate /	puratas naradevasya caNxAlaH yadi pUjyate /
   rājavat kiṃ na kopaḥ syād rājño loke hi paśyati // MAnuv_4,1.52 //	rAja-vat kim na kopaH syAt rAjQaH loke hi paSyati // Ma-anuv_4,1.52 //
   rājñastu purataḥ prokte caṇḍālaṃ nṛpa ityapi /	rAjQaH-tu puratas prokte caNxAlam nRpaH iti-api /
   ātmānaṃ sa iti proktamitivaddhayeva kupyati // MAnuv_4,1.53 //	AtmAnam saH iti proktam-itivat-DayA-iva kupyati // Ma-anuv_4,1.53 //
   abhede naitayordhyāne ko viśeṣo vacasyapi /	aBede na-etayoH-DyAne kaH viSezaH vacasi-api /
   ayaṃ rājā tvamityukte caṇḍāle 'tha nṛpe 'pi ca /	ayam rAjA tvam-iti-ukte caNxAle aTa nRpe api ca /
   caṇḍāla iti tu prokte samameva hi dūṣaṇam // MAnuv_4,1.54 //	caNxAlaH iti tu prokte samam-eva hi dUzaNam // Ma-anuv_4,1.54 //
   dhyāte tvekasya tadbhāve tadbhāvo 'nyasya kiṃ na tat /	DyAte tu-ekasya tad-BAve tad-BAvaH anyasya kim na tat /
   nacaiva tadavijñātaṃ sarvajñabrahmaṇā kvacit // MAnuv_4,1.55 //	naca-eva tad-avijQAtam sarvajQa-brahmaNA kvacid // Ma-anuv_4,1.55 //
   tasmādapeśalaṃ sarvamanyasya brahmatāvacaḥ /	tasmAt-apeSalam sarvam-anyasya brahma-tA-vacaH /
   tasmād yathoktamārgeṇa brahmopāsyaṃ mumukṣubhiḥ // MAnuv_4,1.56 //	tasmAt yaTA-ukta-mArgeNa brahma-upAsyam mumukzuBiH // Ma-anuv_4,1.56 //
   tathopāsyāñjasā dṛṣṭaṃ brahma pāpaṃ ca bhasmasāt /	taTA-upAsya-aQjasA dRzwam brahma pApam ca BasmasAt /
   karoti nikhilaṃ pūrvaṃ pāścāttyasyāpyasaṅgatām /	karoti niKilam pUrvam pAScAttyasya-api-asaFga-tAm /
   karoti taddviṣaścaivaṃ puṇyanāśo 'pyasaṅgatā // MAnuv_4,1.57 //	karoti tat-dvizaH-ca-evam puNya-nASaH api-asaFga-tA // Ma-anuv_4,1.57 //
   yadeva vidyayetyatra pūrvoktāddhi viśiṣṭate /	yat-eva vidyayA-iti-atra pUrva-uktAt-hi viSizwate /
   pūrvaṃ svargādilabdhyarthaṃ vīryavattvena coditam /	pUrvam svarga-Adi-labDi-arTam vIryavat-tvena coditam /
   karma vidyāyutaṃ paścānmokṣe vīryapradaṃ tviti // MAnuv_4,1.58 //	karma vidyA-yutam paScAt-mokze vIrya-pradam tu-iti // Ma-anuv_4,1.58 //
   tato bhogena puṇyaṃ ca kṣapayitvetarat tathā /	tatas Bogena puNyam ca kzapayitvA-itarat taTA /
