   YRps, Adhyāya 1	YRps, ADyAyaH 1
   <yantrāṇi>	<yantrANi>
   dolā palabhalīyantram ūrdhvapātanakaṃ ca yat /	dolA palaBalIyantram UrDvapAtanakam ca yat /
   adhaḥpātanakaṃ cāpi tiryakpātanakaṃ tathā // YRps_10.2 //	aDaHpAtanakam ca-api tiryakpAtanakam taTA // YRpH-_10.2 //
   ghaṭīyantraṃ garbhayantram iṣṭikā jalayantrakam /	GawIyantram garBayantram izwikA jalayantrakam /
   khalvaṃ ḍamarukākhyaṃ ca cipiṭākhyaṃ tulābhidham // YRps_10.3 //	Kalvam xamaruka-AKyam ca cipiwa-AKyam tulA-aBiDam // YRpH-_10.3 //
   lavaṇaṃ koṣṭhikāsaṃjñam antarālikasaṃjñitam /	lavaNam kozWikA-saMjQam antarAlika-saMjQitam /
   dhūpayantraṃ nābhiyantraṃ grastayantraṃ tathaiva ca // YRps_10.4 //	DUpayantram nABiyantram grastayantram taTA-eva ca // YRpH-_10.4 //
   vidyādharaṃ kuṇḍakaṃ ca ḍhekīsaṃjñam udāhṛtam /	vidyADaram kuNxakam ca XekI-saMjQam udAhRtam /
   somānalaṃ ca nigaḍaṃ kiṃnaraṃ bhairavābhidham // YRps_10.5 //	somAnalam ca nigaxam kiMnaram BErava-aBiDam // YRpH-_10.5 //
   vālukānāmakaṃ cāpi pātālaṃ bhūdharābhidham /	vAlukA-nAmakam ca-api pAtAlam BUDara-aBiDam /
   sāraṇāyantrakaṃ guhyaṃ gandhapiṣṭakayantrakam // YRps_10.6 //	sAraNAyantrakam guhyam ganDa-pizwaka-yantrakam // YRpH-_10.6 //
   kūpīyantraṃ pālikākhyaṃ dīpikāyantrakaṃ tathā /	kUpIyantram pAlikA-AKyam dIpikAyantrakam taTA /
   sthālīyantraṃ bhasmayaṃtraṃ degayantramudīritam // YRps_10.7 //	sTAlIyantram BasmayaMtram degayantram-udIritam // YRpH-_10.7 //
   ghāṇikāyantramuddiṣṭaṃ haṃsapākābhidhaṃ tathā /	GANikAyantram-uddizwam haMsapAka-aBiDam taTA /
   ūnacatvāriṃśadatra yantrāṇyuktāni nāmataḥ // YRps_10.8 //	UnacatvAriMSat-atra yantrANi-uktAni nAmataH // YRpH-_10.8 //
   <mūṣāḥ>	<mUzAH>
   atha mūṣāśca kathyante mṛttikābhedataḥ kramāt /	aTa mUzAH-ca kaTyante mRttikA-BedataH kramAt /
   <crucible:: synonyms>	<crucible:: synA-unyms>
   mūṣā kumudikā proktā kovikā karahāṭikā // YRps_10.9 //	mUzA kumudikA proktA kovikA karahAwikAH // YRpH-_10.9 //
   pātinī kathyate saiva vahnimitrā prakīrtitā /	pAtinI kaTyate sA-eva vahnimitrA prakIrtitA /
   <yogamūṣā>	<yoga-mUzA>
   tuṣabhasmayutā mṛtsnā vālmikī biḍasaṃyutā // YRps_10.10 //	tuza-Basma-yutA mRtsnA vAlmikI bixa-saMyutAH // YRpH-_10.10 //
   tayā yā racitā mūṣā yogamūṣeti kathyate /	tayA yA racitA mUzA yogamUzA-iti kaTyate /
   <gāramūṣā>	<gAra-mUzA>
   gārabhūnāgasatvābhyāṃ śaṇairdagdhatuṣaistathā // YRps_10.11 //	gAra-BUnAga-satvAByAm SaNEH-dagDa-tuzEH-taTA // YRpH-_10.11 //
   marditā mahiṣīkṣīre mṛttikā pakṣamātrakam /	marditA mahizI-kzIre mRttikA pakza-mAtrakam /
   tanmṛdā racitā mūṣā gāramūṣeti kathyate // YRps_10.12 //	tad-mRdA racitA mUzA gAramUzA-iti kaTyate // YRpH-_10.12 //
   <varamūṣā>	<varamUzA>
   vastrāṃgāratuṣās tulyās taccaturguṇamṛttikā /	vastra-aMgAra-tuzAH tulyAH tad-caturguNa-mRttikA /
   bhūnāgamṛttikā tulyā sarvairebhirvimarditā /	BUnAga-mRttikA tulyA sarvEH-eBiH-vimarditA /
   kathitā varamūṣā sā yāmaṃ vahniṃ saheta vai // YRps_10.13 //	kaTitA varamUzA sA yAmam vahnim saheta vE // YRpH-_10.13 //
   <varṇamūṣā>	<varNamUzA>
   pūrvoktā mṛttikā yā tu raktavargāṃbubhāvitā /	pUrva-uktA mRttikA yA tu raktavarga-aMbu-BAvitAH /
   raktavargayutā mṛtsnā- kāritā mūṣikā śubhā // YRps_10.14 //	raktavarga-yutA mRtsnA kAritA mUzikA SuBA // YRpH-_10.14 //
   turīpuṣpakasīsābhyāṃ lepitā sā ca mūṣikā /	turIpuzpa-kasIsAByAm lepitA sA ca mUzikA /
   varṇotkarṣe prayoktavyā varṇamūṣeti kathyate // YRps_10.15 //	varNa-utkarze prayoktavyA varNamUzA-iti kaTyate // YRpH-_10.15 //
   <rūpyamūṣā>	<rUpya-mUzA>
   śvetavargeṇa vai liptā rūpyamūṣā prakīrtitā // YRps_10.16 //	SvetavargeNa vE liptA rUpya-mUzA prakIrtitAH // YRpH-_10.16 //
   <viḍamūṣā>	<vixamUzA>
   viḍena racitā yā tu viḍenaiva pralepitā /	vixena racitA yA tu vixena-eva pralepitA /
   dehalohārthasiddhyarthaṃ viḍamūṣetyudāhṛtā // YRps_10.17 //	deha-loha-arTa-sidDi-arTam vixamUzA-iti-udAhRtA // YRpH-_10.17 //
   <vajramūṣā>	<vajramUzA>
   gārabhūnāgasattvābhyāṃ tuṣamiśrā śaṇena ca /	gAra-BUnAga-sattvAByAm tuza-miSrA SaNena ca /
   mṛtsamā mahiṣīkṣīrair divasatrayamarditā // YRps_10.18 //	mRd-samA mahizI-kzIrEH divasa-traya-marditAH // YRpH-_10.18 //
   saṃsthitā pakṣamātraṃ hi paścānmūṣā kṛtā tayā /	saMsTitA pakza-mAtram hi paScAt-mUzA kRtA tayA /
   lepitā matkuṇasyātha śoṇitena balārasaiḥ // YRps_10.19 //	lepitA matkuNasya-aTa SoNitena balA-rasEH // YRpH-_10.19 //
   caturyāmaṃ dhmāpitā hi dravate naiva vahninā /	catur-yAmam DmApitA hi dravate na-eva vahninA /
   vajramūṣeti kathitā vajradrāvaṇahetave // YRps_10.20 //	vajramUzA-iti kaTitAH vajra-drAvaNa-hetave // YRpH-_10.20 //
   <vṛntākamūṣā>	<vRntAka-mUzA>
   vṛntākākāramūṣāyāṃ nālaṃ kṛtvā daśāṃgulam /	vRntAka-AkAra-mUzAyAm nAlam kRtvA daSa-aMgulam /
   dhattūrapuṣpavaddīrghaṃ sudṛḍhaṃ caiva kārayet // YRps_10.21 //	DattUra-puzpa-vat-dIrGam su-dRXam ca-eva kArayet // YRpH-_10.21 //
   aṣṭāṃgulaṃ ca sacchidraṃ bhaved vṛntākamūṣikā /	azwa-aMgulam ca sa=-Cidram Bavet vRntAkamUzikA /
   anayā kharparādīnāṃ mṛdūnāṃ sattvam āharet // YRps_10.22 //	anayA Karpara-AdInAm mRdUnAm sattvam Aharet // YRpH-_10.22 //
   <gostanamūṣā>	<gostana-mUzA>
   gostanākāramūṣā yā mukhopari vimudritā /	gostana-AkAra-mUzA yA muKa-upari vimudritA /
   satvānāṃ drāvaṇe śuddhau mūṣā sā gostanī bhavet // YRps_10.23 //	satvAnAm drAvaNe SudDO mUzA sA gostanI Bavet // YRpH-_10.23 //
   <mallamūṣā>	<mallamUzA>
   nirdiṣṭā mallamūṣā yā malladvitayasaṃpuṭāt /	nirdizwA mallamUzA yA malla-dvitaya-saMpuwAt /
   rasaparpaṭikādīnāṃ svedanāya prakīrtitā // YRps_10.24 //	rasa-parpawikA-AdInAm svedanAya prakIrtitAH // YRpH-_10.24 //
   <pakvamūṣā>	<pakvamUzA>
   pakvamūṣā kulālabhāṇḍarūpā yā dṛḍhā ca paripācitā /	pakvamUzA kulAla-BANxa-rUpA yA dRXA ca paripAcitA /
   pakvamūṣeti sā proktā satvaradravyaśodhinī // YRps_10.25 //	pakvamUzA-iti sA proktA satvara-dravya-SoDinI // YRpH-_10.25 //
   <mahāmūṣā>	<mahAmUzA>
   atisthūlātidīrghā ca mukhe kiṃcicca vistṛtā /	atisTUla-ati-dIrGA ca muKe kiMcid-ca vistRtA /
   mahāmūṣeti sā proktā satvaradravyaśodhinī // YRps_10.26 //	mahAmUzA-iti sA proktA satvara-dravya-SoDinI // YRpH-_10.26 //
   <mañjūṣamūṣā>	<maQjUza-mUzA>
   ṣaḍaṃgulonnatā dīrghā caturasrā ca nimnakā /	zaz-aMgula-unnatA dIrGA catur-asrA ca nimnakAH /
   mañjūṣākāramūṣā sā kathitā rasamāraṇe // YRps_10.27 //	maQjUzA-AkAra-mUzA sA kaTitAH rasa-mAraNe // YRpH-_10.27 //
   <garbhamūṣā>	<garBamUzA>
   bhūmau nikhanyamānāṃ hi mūṣāmācchādya vālukaiḥ /	BUmO niKanyamAnAm hi mUzAm-AcCAdya vAlukEH /
   garbhamūṣā tu sā jñeyā pāradasya nibandhinī // YRps_10.28 //	garBamUzA tu sA jQeyA pAradasya nibanDinI // YRpH-_10.28 //
   <muśalamūṣā>	<muSalamUzA>
   mūṣā yā cipiṭā mūle vartulāṣṭāṃgulocchrayā /	mUzA yA cipiwA mUle vartula-azwa-aMgula-ucCrayA /
   mūṣā sā musalākhyā syāc cakrībaddharase hitā // YRps_10.29 //	mUzA sA musala-AKyA syAt cakrIbadDa-rase hitAH // YRpH-_10.29 //
   <koṣṭḥyaḥ, aṅgārakoṣṭhī>	<kozwHyaH, aFgArakozWI>
   aṃgārakoṣṭhikā nāma rājahastapramāṇakā /	aMgArakozWikA nAma rAjahasta-pramANakAH /
   dvādaśāṃgulavistārā caturasrā prakīrtitā // YRps_10.30 //	dvAdaSa-aMgula-vistArA catur-asrA prakIrtitAH // YRpH-_10.30 //
   veṣṭitā mṛṇmayenātha ekabhittau ca gartakam /	vezwitA mRNmayena-aTa eka-BittO ca gartakam /
   vitastimātraṃ dvāraṃ ca sārdhavaitastikaṃ dṛḍham // YRps_10.31 //	vitasti-mAtram dvAram ca sArDa-vEtastikam dRXam // YRpH-_10.31 //
   adhobhāge vidhātavyā dehalī dhamanāya vai /	aDoBAge viDAtavyA dehalI DamanAya vE /
   prādeśamātrā bhittiḥ syād uttaraṅgasya cordhvataḥ // YRps_10.32 //	prAdeSa-mAtrA BittiH syAt uttaraFgasya ca-UrDvatas // YRpH-_10.32 //
   prādeśamātraṃ kartavyaṃ dvāraṃ tasyopari dhruvam /	prAdeSa-mAtram kartavyam dvAram tasya-upari Druvam /
   dvāraṃ ceṣṭikayā ruddhvā saṃdhirodhaṃ ca kārayet // YRps_10.33 //	dvAram ca-izwikayA rudDvA saMDi-roDam ca kArayet // YRpH-_10.33 //
   pūrayetkokilaistāṃ tu bhastrikāṃ pradhametkhalu /	pUrayet-kokilEH-tAm tu BastrikAm praDamet-Kalu /
   kokilādhamanadravyam ūrdhvadvāre vinikṣipet // YRps_10.34 //	kokilA-Damana-dravyam UrDva-dvAre vinikzipet // YRpH-_10.34 //
   eṣā cāṃgārakoṣṭhī ca kharāṇāṃ sattvapātanī // YRps_10.35 //	ezA ca-aMgArakozWI ca KarANAm sattva-pAtanI // YRpH-_10.35 //
   <pātālakoṣṭhī>	<pAtAlakozWI>
   gartaṃ khaned dṛḍhaṃ bhūmau dvādaśāṃgulamātrakam /	gartam Kanet dRXam BUmO dvAdaSa-aMgula-mAtrakam /
   tanmadhye vartulaṃ gartaṃ caturaṅgulakaṃ dṛḍham // YRps_10.36 //	tad-maDye vartulam gartam catur-aFgulakam dRXam // YRpH-_10.36 //
   kharparaṃ sthāpayettatra madhyagartopari dṛḍham /	Karparam sTApayet-tatra maDya-garta-upari dRXam /
   āpūrya kokilair gartaṃ pradhamedekabhastrayā /	ApUrya kokilEH gartam praDamet-eka-BastrayA /
   pātālakoṣṭhikā sā tu mṛdusattvasya pātanī // YRps_10.37 //	pAtAlakozWikA sA tu mRdu-sattvasya pAtanI // YRpH-_10.37 //
   <gārakoṣṭhī>	<gArakozWI>
   vitastipramitā nimnā prādeśapramitā tathā /	vitasti-pramitA nimnA prAdeSa-pramitA taTA /
   upariṣṭāt pidhānaṃ tu bhūricchidrasamanvitam // YRps_10.38 //	uparizwAt piDAnam tu BUri=-Cidra-samanvitam // YRpH-_10.38 //
   gartamāpūrya cāṃgāraiḥ pradhamedvaṃkanālataḥ /	gartam-ApUrya ca-aMgArEH praDamet-vaMkanAlataH /
   gāragoṣṭhī samuddiṣṭā satvapātanahetave // YRps_10.39 //	gAragozWI samuddizwA satva-pAtana-hetave // YRpH-_10.39 //
   <tiryakpradhamanakoṣṭhī>	<tiryak-praDamana-kozWI>
   vitastipramitotsedhā sā budhne caturaṃgulā /	vitasti-pramita-utseDA sA buDne catur-aMgulA /
   tiryakpradhamanākhyā ca mṛdusatvasya pātanī // YRps_10.40 //	tiryakpraDamana-AKyA ca mRdu-satvasya pAtanI // YRpH-_10.40 //
   <mahāpuṭa>	<mahApuwa>
   bhūmyāṃ vai khanayedgartaṃ dvihastaṃ caturasrakam /	BUmyAm vE Kanayet-gartam dvi-hastam caturasrakam /
   chagaṇānāṃ sahasreṇa pūrayettamanantaram // YRps_10.41 //	CagaNAnAm sahasreNa pUrayet-tam-anantaram // YRpH-_10.41 //
   auṣadhaṃ dhārayenmadhye tamācchādya vanotpalaiḥ /	OzaDam DArayet-maDye tam-AcCAdya vanotpalEH /
   sahasrārdhaiśca vai samyag- vahniṃ prajvālayettataḥ // YRps_10.42 //	sahasra-arDEH-ca vE samyag vahnim prajvAlayet-tatas // YRpH-_10.42 //
   mahāpuṭamidaṃ proktaṃ granthakāreṇa nirmitam // YRps_10.43 //	mahApuwam-idam proktam granTakAreNa nirmitam // YRpH-_10.43 //
   <gajapuṭa>	<gajapuwa>
   rājahastapramāṇaṃ hi caturasraṃ hi gartakam /	rAjahasta-pramANam hi catur-asram hi gartakam /
   vanotpalasahasreṇa gartamadhyaṃ ca pūritam // YRps_10.44 //	vanotpala-sahasreNa garta-maDyam ca pUritam // YRpH-_10.44 //
   mūṣikāṃ cauṣadhenātha pūritāṃ tāṃ tu mudrayet /	mUzikAm ca-OzaDena-aTa pUritAm tAm tu mudrayet /
   gartamadhye nidhāyātha giriṇḍāni ca nikṣipet /	garta-maDye niDAya-aTa giriNxAni ca nikzipet /
   adho'gniṃ jvālayetsamyak evaṃ gajapuṭo bhavet // YRps_10.45 //	aDas-agnim jvAlayet-samyak evam gajapuwaH Bavet // YRpH-_10.45 //
   <vārāhapuṭa>	<vArAha-puwa>
   aratnimātre kuṇḍe ca vārāhapuṭamucyate /	aratni-mAtre kuNxe ca vArAhapuwam-ucyate /
   <kukkuṭapuṭa>	<kukkuwa-puwa>
   vitastidvayamānena gartaṃ ceccaturasrakam /	vitasti-dvaya-mAnena gartam ced-caturasrakam /
   kukkuṭākhyaṃ puṭaṃ vidyād auṣadhānāṃ ca sādhanam // YRps_10.46 //	kukkuwa-AKyam puwam vidyAt OzaDAnAm ca sADanam // YRpH-_10.46 //
   <kapotapuṭa>	<kapota-puwa>
   chagaṇairaṣṭabhiḥ samyak kapotapuṭamucyate // YRps_10.47 //	CagaNEH-azwaBiH samyak kapotapuwam-ucyate // YRpH-_10.47 //
   <govarapuṭa>	<govara-puwa>
   tuṣairvā gomayairvāpi rasabhasmaprasādhanam /	tuzEH-vA gomayEH-vA-api rasa-Basma-prasADanam /
   māṇikādvayamānena govaraṃ puṭamucyate // YRps_10.48 //	mANikA-dvaya-mAnena govaram puwam-ucyate // YRpH-_10.48 //
   <mṛdbhāṇḍapuṭa>	<mRd-BANxa-puwa>
   mṛdā bhāṇḍaṃ prapūryaiva madhye dravyaṃ tu vinyaset /	mRdA BANxam prapUrya-eva maDye dravyam tu vinyaset /
   adhastājjvālayedagniṃ mṛdbhāṇḍapuṭamucyate // YRps_10.49 //	aDastAt-jvAlayet-agnim mRd-BANxapuwam-ucyate // YRpH-_10.49 //
   <vālukāpuṭa>	<vAlukA-puwa>
   garte tu vālukāpūrṇe madhye dravyaṃ tu vinyaset /	garte tu vAlukA-pUrNe maDye dravyam tu vinyaset /
   upariṣṭādadhastācca vahniṃ kuryātprayatnataḥ /	uparizwAt-aDastAt-ca vahnim kuryAt-prayatnataH /
   tadvālukāpuṭaṃ samyag ucyate śāstrakovidaiḥ // YRps_10.50 //	tad-vAlukApuwam samyak ucyate SAstra-kovidEH // YRpH-_10.50 //
   <bhūdharapuṭa>	<BUDara-puwa>
   mūṣikāṃ bhūmimadhye tu sthāpitāṃ dvyaṃgulād adhaḥ /	mUzikAm BUmi-maDye tu sTApitAm dvi-aMgulAt aDas /
   upariṣṭātpuṭaṃ dadyāt tatpuṭaṃ bhūdharāhvayam // YRps_10.51 //	uparizwAt-puwam dadyAt tat-puwam BUDara-Ahvayam // YRpH-_10.51 //
   <lāvakapuṭa>	<lAvaka-puwa>
   govarairvā tuṣairvāpi karṣamātramitaiḥ puṭam /	govarEH-vA tuzEH-vA-api karza-mAtra-mitEH puwam /
   yatra tallāvakākhyaṃ syān mṛdudravyasya sādhane // YRps_10.52 //	yatra tat-lAvaka-AKyam syAt mRdu-dravyasya sADane // YRpH-_10.52 //
   <dried cowdung>	<driet ca-uwdung>
   utpalaṃ piṣṭakaṃ chāṇam upalaṃ ca gariṇḍakam /	utpalam pizwakam CANam upalam ca gariNxakam /
   chagaṇopalasārī ca navāri chagaṇābhidhāḥ // YRps_10.53 //	CagaNa-upala-sArI ca navAri CagaNa-aBiDAH // YRpH-_10.53 //
   YRps, Adhyāya 11	YRps, ADyAyaH 11
   athātaḥ sampravakṣyāmi dhātūnāṃ kautukaṃ paraṃ /	aTa-atas sampravakzyAmi DAtUnAm kOtukam param /
   svānubhūtaṃ mayā kiṃcit śrutaṃ vā śāstrataḥ khalu /	sva-anuBUtam mayA kiMcid Srutam vA SAstrataH Kalu /
   tadahaṃ sampravakṣyāmi yatkṛtvā nā sukhī bhavet // YRps_11.1 //	tat-aham sampravakzyAmi yat-kRtvA nA suKI Bavet // YRpH-_11.1 //
   <hemakaraṇavidhiḥ (1)>	<hema-karaNa-viDiH (1)>
   rasakaṃ daradaṃ tāpyaṃ gaganaṃ kunaṭī samam /	rasakam daradam tApyam gaganam kunawI samam /
   raktasnuhīpayobhiśca mardayeddinasaptakam // YRps_11.2 //	rakta-snuhI-payoBiH-ca mardayet-dina-saptakam // YRpH-_11.2 //
   jalayaṃtreṇa vai pācyaṃ caturviṃśatiyāmakam /	jalayaMtreNa vE pAcyam caturviMSati-yAmakam /
   tena vedhyaṃ drutaṃ tāmraṃ tāraṃ vā nāgameva vā // YRps_11.3 //	tena veDyam drutam tAmram tAram vA nAgam-eva vA // YRpH-_11.3 //
   sahasravedhī tatkalko jāyate nātra saṃśayaḥ // YRps_11.4 //	sahasra-veDI tad-kalkaH jAyate na-atra saMSayaH // YRpH-_11.4 //
   <hemakaraṇavidhiḥ (2)>	<hema-karaNa-viDiH (2)>
   ekabhāgastathā sūto vajravallyātha marditaḥ /	eka-BAgaH-taTA sUtaH vajravallya-aTa marditaH /
   khalve trinemyāḥ svarase pañcabhāgasamanvite // YRps_11.5 //	Kalve trinemyAH svarase paQca-BAga-samanvite // YRpH-_11.5 //
   vetrayaṣṭyā ca rāgiṇyā pītakalkaṃ prajāyate /	vetra-yazwyA ca rAgiNyA pIta-kalkam prajAyate /
   ṣoḍaśāṃśena dātavyaṃ drute tāmraṃ suśodhite // YRps_11.6 //	zoxaSa-aMSena dAtavyam drute tAmram su-SoDite // YRpH-_11.6 //
   jāyate pravaraṃ hema śuddhaṃ varṇacaturdaśam // YRps_11.7 //	jAyate pravaram hema SudDam varNa-caturdaSam // YRpH-_11.7 //
   <hemakaraṇavidhiḥ (3)>	<hema-karaNa-viDiH (3)>
   suvarṇamākṣikaṃ svedyaṃ kāṃjike divasatrayam /	suvarNamAkzikam svedyam kAMjike divasa-trayam /
   carmaraṅgyā rasenaiva mardayeddinasaptakam /	carmaraFgyAH rasena-eva mardayet-dina-saptakam /
   jalena dhautaṃ tāvacca yāvaddhemanibhaṃ bhavet // YRps_11.8 //	jalena DOtam tAvat-ca yAvat-hema-niBam Bavet // YRpH-_11.8 //
   <hemakaraṇavidhiḥ (4)>	<hema-karaNa-viDiH (4)>
   daradaṃ romadeśīyaṃ gomūtreṇaiva svedayet /	daradam roma-deSIyam go-mUtreNa-eva svedayet /
   dolāyaṃtre caturyāmaṃ paścācchuddhatamo bhavet // YRps_11.9 //	dolAyaMtre catur-yAmam paScAt-SudDatamaH Bavet // YRpH-_11.9 //
   manaḥśilā padmanibhā raktā caiva suśobhanā /	manaHSilA padma-niBA raktA ca-eva su-SoBanA /
   sveditā munipuṣpasya rasenaiva tu dolayā // YRps_11.10 //	sveditAH muni-puzpasya rasena-eva tu dolayA // YRpH-_11.10 //
   yāmamardhamitaṃ śuddhā sarvakāryeṣu yojayet /	yAmam-arDa-mitam SudDA sarva-kAryezu yojayet /
   navasārastathā sūtaḥ śodhito'gnisahaḥ khalu // YRps_11.11 //	navasAraH-taTA sUtaH SoDitaH-agni-sahaH Kalu // YRpH-_11.11 //
   samabhāgāni sarvāṇi mardayennimbukai rasaiḥ /	sama-BAgAni sarvANi mardayet-nimbukEH rasEH /
   mātaluṃgarasenaiva kumārīsvarasena ca // YRps_11.12 //	mAtaluMga-rasena-eva kumArI-svarasena ca // YRpH-_11.12 //
   sūryātape vimardyo'sau pācito jalayantrake /	sUrya-Atape vimardyaH-asO pAcitaH jalayantrake /
   dināni trīṇi tīvrāgnau tatastadavatārayet // YRps_11.13 //	dinAni trINi tIvra-agnO tatas-tat-avatArayet // YRpH-_11.13 //
   śatāṃśaṃ vedhayettāraṃ śuddhaṃ hema prajāyate /	Sata-aMSam veDayet-tAram SudDam hema prajAyate /
   jalabhedo yadā na syān nātra kāryā vicāraṇā // YRps_11.14 //	jala-BedaH yadA na syAt na-atra kAryA vicAraNAH // YRpH-_11.14 //
   <hemakaraṇavidhiḥ (5)>	<hema-karaNa-viDiH (5)>
   śilayā māritaṃ nāgaṃ kumāryāḥ svarasena ca /	SilayA mAritam nAgam kumAryAH svarasena ca /
   puṭadvādaśayogena nāgabhasma prajāyate // YRps_11.15 //	puwa-dvAdaSa-yogena nAga-Basma prajAyate // YRpH-_11.15 //
   śatasaṃkhyāni vai kuryāt puṭānyevaṃ śarāvake /	Sata-saMKyAni vE kuryAt puwAni-evam SarAvake /
   kumāryāḥ svarasenaiva bhāvayeddinasaptakam // YRps_11.16 //	kumAryAH svarasena-eva BAvayet-dina-saptakam // YRpH-_11.16 //
   pūrvavatpuṭanaṃ kāryaṃ śatasaṅkhyāmitaṃ tathā /	pUrvavat-puwanam kAryam Sata-saFKyAmitam taTA /
   sūtabhasma śilā tāla- samaṃ cennāgabhasmakam // YRps_11.17 //	sUta-Basma SilA tAla samam ced-nAga-Basmakam // YRpH-_11.17 //
   triṃśadvanopalairdadyāt puṭaṃ vārāhasaṃjñitam /	triMSat-vanopalEH-dadyAt puwam vArAha-saMjQitam /
   anena vidhinā samyak śatasaṃkhyāni dāpayet // YRps_11.18 //	anena viDinA samyak Sata-saMKyAni dApayet // YRpH-_11.18 //
   puṭānyevaṃ kṛte trīṇi śatāni dvādaśādhikam /	puwAni-evam kRte trINi SatAni dvAdaSa-aDikam /
   paścād dṛḍhe kācamaye kūpe dvātriṃśayāmakam // YRps_11.19 //	paScAt dRXe kAca-maye kUpe dvAtriMSa-yAmakam // YRpH-_11.19 //
   vālukāgniṃ pradadyācca svāṃgaśītaṃ samuddharet /	vAlukA-agnim pradadyAt-ca svAMgaSItam samudDaret /
   talabhasma gṛhītavyaṃ vedhayecchulbatārake // YRps_11.20 //	tala-Basma gRhItavyam veDayet-Sulba-tArake // YRpH-_11.20 //
   śuddhahema bhavettena nātra kāryā vicāraṇā /	SudDa-hema Bavet-tena na-atra kAryA vicAraNA /
   dṛṣṭapratyayayogo'yaṃ kathito nātra saṃśayaḥ // YRps_11.21 //	dRzwa-pratyaya-yogaH-ayam kaTitaH na-atra saMSayaH // YRpH-_11.21 //
   <hemakaraṇavidhiḥ (6)>	<hema-karaNa-viDiH (6)>
   gomūtre kāñjike cātha kulatthe vāsaratrayam /	go-mUtre kAQjike ca-aTa kulatTe vAsara-trayam /
   tāpyakaṃ svedayetpaścāl lohapātre pramardayet // YRps_11.22 //	tApyakam svedayet-paScAt loha-pAtre pramardayet // YRpH-_11.22 //
   taptakhalvena saṃmardya secayennimbujadravaiḥ /	taptaKalvena saMmardya secayet-nimbu-ja-dravEH /
   saindhavaṃ dāpayetpaścāc caturthāṃśaṃ viśeṣataḥ // YRps_11.23 //	sEnDavam dApayet-paScAt caturTa-aMSam viSezataH // YRpH-_11.23 //
   bhāgaikaṃ tāpyakaṃ sūtād bhāgāṃstrīneva kārayet /	BAga-ekam tApyakam sUtAt BAgAn=-trIn-eva kArayet /
   mardayennimbunīreṇa śuddhavastreṇa gālayet // YRps_11.24 //	mardayet-nimbu-nIreNa SudDa-vastreNa gAlayet // YRpH-_11.24 //
   vastre lagnā tu yā piṣṭī grāhayettāṃ bhiṣagvaraḥ /	vastre lagnA tu yA pizwI grAhayet-tAm Bizaj-varaH /
   evaṃ kṛte dvistrivāraṃ tāpyasatvaṃ grasedrasaḥ // YRps_11.25 //	evam kRte dvis-tri-vAram tApya-satvam graset-rasaH // YRpH-_11.25 //
   piṣṭyā golastu kartavyo mūṣāyāṃ dhmāpayetsudhīḥ /	pizwyA golaH-tu kartavyaH mUzAyAm DmApayet-suDIH /
   indragopanibhaṃ grāhyaṃ tāpyasatvaṃ suśobhanam // YRps_11.26 //	indragopa-niBam grAhyam tApya-satvam su-SoBanam // YRpH-_11.26 //
   hīnavarṇasuvarṇe'pi gadyāṇe vallamātrakam /	hIna-varNa-suvarNe-api gadyANe valla-mAtrakam /
   tutthakaṃ vallamātraṃ ca dattvā hema pragālayet // YRps_11.27 //	tutTakam valla-mAtram ca dattvA hema pragAlayet // YRpH-_11.27 //
   tatsuvarṇasya patrāṇi kāryāṇyevaṃ pralepayet /	tad-suvarNasya patrANi kAryANi-evam pralepayet /
   tutthakaṃ bījapūrasya rasenāpi pramardayet // YRps_11.28 //	tutTakam bIjapUrasya rasena-api pramardayet // YRpH-_11.28 //
   gairikeṇa samaṃ kṛtvā hemapatrāṇi lepayet /	gErikeNa samam kRtvA hema-patrANi lepayet /
   mandavahnau ca prapuṭet dvitrivāraṃ prayatnataḥ // YRps_11.29 //	manda-vahnO ca prapuwet dvi-tri-vAram prayatnataH // YRpH-_11.29 //
   kuṅkumābhaṃ suvarṇaṃ hi jāyate nātra saṃśayaḥ /	kuFkuma-ABam suvarNam hi jAyate na-atra saMSayaH /
   vārtikendrāḥ kurudhvaṃ hi satyaṃ guruvaco yathā // YRps_11.30 //	vArtika-indrAH kuruDvam hi satyam guru-vacaH yaTA // YRpH-_11.30 //
   dvau varṇau vardhate samyak nātra kāryā vicāraṇā // YRps_11.31 //	dvO varNO varDate samyak na-atra kAryA vicAraNAH // YRpH-_11.31 //
   <hemakaraṇavidhiḥ (7)>	<hema-karaNa-viDiH (7)>
   śuddhaṃ tāmraṃ tāpyacūrṇena tulyaṃ drāvyaṃ paścāḍ ḍhālayellākuce hi /	SudDam tAmram tApya-cUrNena tulyam drAvyam paScAj XAlayet-lAkuce hi /
   gandhāccūrṇaṃ tāpyatāmrāvaśeṣaṃ kṛtvā dadyādvallakaṃ hīnavaye /	ganDAt-cUrNam tApya-tAmra-avaSezam kRtvA dadyAt-vallakam hIna-vaye /
   varṇotkarṣo jāyate tena samyak satyaṃ proktaṃ nandinā kautukāya //	varNa-utkarzaH jAyate tena samyak satyam proktam nandinA kOtukAya //
   YRps_11.32 //	YRpH-_11.32 //
   <hemakaraṇavidhiḥ (8)>	<hema-karaNa-viDiH (8)>
