   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   kecitgurvīmetya saṃyanniṣadyāṃ krīṇanti sma prāṇamūlyairyaśāṃsi  //	kecid gurvIm etya saMyannizadyAm krINanti sma prANa mUlyEH yaSAMsi  //
   MSpv_18.15 //	MSpu _18.15 //
   vīryotsāhaślāghi kṛtvāvadānaṃ saṅgrāmāgre mānināṃ lajjitānām  /	vIrya utsAha SlAGi kRtvA avadAnam saFgrAma agre mAninAm lajjitAnAm  /
   ajñātānāṃ śatrubhiryuktamuccaiḥ śrīmannāma śrāvayanti sma nagnāḥ  //	ajQAtAnAm SatruBiH yuktam uccEs SrImat nAma SrAvayanti sma nagnAH  //
   MSpv_18.16 //	MSpu _18.16 //
   ādhāvantaḥ sammukhaṃ dhāritānāmanyairanye tīkṣṇakaukṣeyakāṇām  /	ADAvantaH sammuKam DAritAnAm anyEH anye tIkzNa kOkzeyakANAm  /
   vakṣaḥpīṭhairātsarorātmanaiva krodhenāndhāḥ praviśanpuṣkarāṇi  //	vakzaH pIWErAtsaroH AtmanA eva kroDena anDAH praviSan puzkarANi  //
   MSpv_18.17 //	MSpu _18.17 //
   miśrībhūte tatra sainyadvaye 'pi prāyeṇāyaṃ vyaktamāsīdviśeṣaḥ  /	miSrIBUte tatra sEnya dvaye api prAyeNa ayam vyaktam AsIt viSezaH  /
   ātmīyāste ye parāñcaḥ purastādabhyāvartī saṃmukho yaḥ paro 'sau  //	AtmIyAH te ye parAQcaH purastAt aByAvartI saMmuKaH yaH paraH asO  //
   MSpv_18.18 //	MSpu _18.18 //
   sadvaṃśatvādaṅgasaṃsaṅginītvaṃ nītvā kāmaṃ gauraveṇābababddhā  /	sat vaMSa tvAt aFga saMsaFginI tvam nItvA kAmam gOraveNa AbababdDA  /
   nītā hastaṃ vañcayitvā pareṇa drohaṃ cakre kasyacitsvā kṛpāṇī  //	nItA hastam vaQcayitvA pareNa droham cakre kasyacid svA kRpANI  //
   MSpv_18.19 //	MSpu _18.19 //
   nīte bhedaṃ dhautadhārābhighātādambhodābhe śātraveṇāparasya  /	nIte Bedam DOta DArA aBiGAtAt amBoda ABe SAtraveNa aparasya  /
   sāsṛgrājistīkṣṇamārgasya mārgo vidyuddīptaḥ kaṅkaṭe lakṣyate sma  //	sa asRk rAjiH tIkzNa mArgasya mArgaH vidyut dIptaH kaFkawe lakzyate sma  //
   MSpv_18.20 //	MSpu _18.20 //
   āmūlāntātsāyakenāyatena syūte bāhau maṇḍukaśliṣṭamuṣṭeḥ  /	AmUla antAt sAyakena Ayatena syUte bAhO maNxuka Slizwa muzweH  /
   prapyāsahyāṃ vedanāmastadhairyādapyabhraśyaccarma nānyasya pāṇeḥ  //	prapyAsahyAm vedanA masta DEryAt api aBraSyat carma na anyasya pANeH  //
   MSpv_18.21 //	MSpu _18.21 //
   bhitvā ghoṇāmāyasenādhivakṣaḥ sthūrīpṛṣṭho gārdhrapakṣeṇa viddhaḥ  /	BitvA GoNAm Ayasena aDivakzaH sTUrI pRzWaH gArDra pakzeNa vidDaH  /
   śikṣāhetorgāḍharajjveva baddho hartuṃ vaktraṃ nāśakaddurmukho 'pi  //	SikzA hetoH gAXa rajju eva badDaH hartum vaktram na aSakat durmuKaH api  //
   MSpv_18.22 //	MSpu _18.22 //
   kuntenoccaiḥ sādinā hantumiṣṭānnājāneyo dantinastrasyati sma  /	kuntena uccEs sAdinA hantum izwAnna ajAneyaH dantinastrasyati sma  /
   karmodāraṃ kīrtaye kartukāmānkiṃvā jātyāḥ svāminohrepayanti  // MSpv_18.23	karma udAram kIrtaye kartu kAmAn kiMvA jAtyAH svAminA uhrepayanti  // MSpu _18.23
   jetuṃ jaitrāḥ śekire nārisainyaiḥ paśyanto 'dho lokamasteṣujālāḥ  /	jetum jEtrAH Sekire nAri sEnyEH paSyantaH aDas lokam asta izu jAlAH  /
   nāgārūḍhāḥ pārvatāni śrayanto durgāṇīva trāsahīnāstrasāni  // MSpv_18.24	nAga ArUXAH pArvatAni SrayantaH durgANi iva trAsa hIna aH trasAni  // MSpu _18.24
   viṣvadrīcīrvikṣapansainyavīcīrājāvantaḥ kvāpi dūraṃ prayātam  /	vizvadrIcIH vikza pan sEnya vIcI rAjA= antar kvApi dUram prayAtam  /
   babhrāmaikobandhumiṣṭaṃ didṛkṣuḥ sindhau vādyo maṇḍalaṃ gorvarāhaḥ  //	baBrAma ekaH banDum izwam didRkzuH sinDO vAdyaH maNxalam gorvarAhaH  //
   MSpv_18.25 //	MSpu _18.25 //
   yāvaccakre nāñjanaṃ bodhanāya vyutthānajño hasticārī madasya  /	yAvat cakre na aQjanam boDanAya vyutTAna jQaH hasti cArI madasya  /
   senāsvānāddantināmātmanaiva sthūlāstāvatprāvahandānakulyāḥ  // MSpv_18.26	senA svAnAt dantinAm AtmanA eva sTUlAH tAvat prAvahandA nakulyAH  // MSpu _18.26
   krudhyan gandhādanyanāgāya dūrādāroḍhāraṃ dhūtamūrdhāvamatya  /	kruDyan ganDAt anya nAgAya dUrAt AroXAram DUta mUrDA avamatya  /
   ghorārāvadhvanitāśeṣadikke viṣke nāgaḥ paryāṇaṃsītsva eva  // MSpv_18.27	Gora ArAva DvanitA Seza dikke vizke nAgaH paryANaMsIt svaH eva  // MSpu _18.27
   pratyāsanne dantini prātipakṣe yantrā nāgaḥ prāstavaktracchado 'pi  /	pratyAsanne dantini prAtipakze yantrAH nAgaH prAsta vaktra= CadaH api  /
   krodhākrāntaḥ krūranirdāritākṣaḥ prekṣāṃcakre naiva kiñcinmadāndhaḥ  //	kroDa AkrAntaH krUra nirdArita akzaH prekzAMcakre na eva kiQcid mada anDaH  //
   MSpv_18.28 //	MSpu _18.28 //
   tūrṇaṃ yāvannāpaninye niṣādī vāsaścakṣurvāraṇaṃ vāraṇasya  /	tUrNam yAvat na apaninye nizAdI vAsaH cakzuH vAraNam vAraNasya  /
   tāvatpūgairanyanāgādhirūḍhaḥ kādambānāmekapātairasīvyat  // MSpv_18.29 //	tAvat pUgEH anya nAga aDirUXaH kAdambAnAm eka pAtEH asIvyat  // MSpu _18.29 //
   āsthaddṛṣṭerācchadaṃ ca pramatto yantā yātuḥ pratyarībhaṃ dvipasya  /	AsTat dRzweH AcCadam ca pramattaH yantA yAtuH pratyarIBam dvipasya  /
   bhagnasyoccairbarhabhāreṇa śaṅkoravavrāte vīkṣaṇe ca kṣaṇena  //	Bagnasya uccEs barha BAreNa SaFkorava vrAte vIkzaNe ca kzaNena  //
   MSpv_18.30 //	MSpu _18.30 //
   yatnādrakṣansusthitatvādanāśaṃ niścatyanyaścetasā bhāvitena  /	yatnAt rakzan susTita tvAt anASam niScati anyaH cetasA BAvitena  /
   antyāvasthākālayogyopayogaṃ dadhre 'bhīṣṭaṃ rāgamāpaddhanaṃ vā  //	antya avasTA kAla yogya upayogam daDre aBIzwam rAgam Apad Danam vA  //
   MSpv_18.31 //	MSpu _18.31 //
   anyonyeṣāṃ puṣkarairāmṛśanto dānodbhedānuccakaibhugnavālāḥ  /	anyonyezAm puzkarErAmRSantaH dAna udBedAn ucca kEBugna vAlAH  /
   unmūrdhānaḥ sannipatyaparāntaiḥ prāyudhyanta spaṣṭadantadhvanībhāḥ  //	unmUrDAnaH sannipatya parAntEH prAyuDyanta spazwa danta DvanIBAH  //
   MSpv_18.32 //	MSpu _18.32 //
   drādhīyāṃsa saṃhatāḥ sthemabhājaścārūdagrāstīkṣṇatāmatyajantaḥ  /	drADIyAMsa saMhatAH sTema BAjaH ca arUt agrAH tIkzNa tAm atyajantaH  /
   dantā dantairāhatāḥ sāmajānāṃ bhaṅgaṃ jagmurna svayaṃ sāmajātāḥ  //	dantAH dantEH AhatAH sAma jAnAm BaFgam jagmuH na svayam sAma jAtAH  //
   MSpv_18.33 //	MSpu _18.33 //
   mātaṅgānāṃ dantasaṃghaṭṭajanmā hemacchedachchāyācañcacchikhāgraḥ  /	mAtaFgAnAm danta saMGawwa janmA hema= CedaCCAyA caQcat SiKA agraH  /
   lagno 'pyagniścāmareṣu prakāmaṃ māñjiṣṭheṣu vyajyate na sma sainyaiḥ  //	lagnaH api agniH ca amarezu prakAmam mAQjizWezu vyajyate na sma sEnyEH  //
   MSpv_18.34 //	MSpu _18.34 //
   oṣāmāse matsarotpātavātāśliṣyaddantakṣmāruhāṃ gharṣaṇotthaiḥ  /	ozA mAse mad sara utpAta vAta ASlizyat danta kzmAruhAm GarzaNa utTEH  /
   yogāntairvā vahnibhirvāraṇānāmuccairmūrdhavyomni nakṣatramālā  //	yoga antEH vA vahniBiH vAraNAnAm uccEs mUrDa vyomni nakzatra mAlA  //
   MSpv_18.35 //	MSpu _18.35 //
   sāndrāṇbhodaśyāmale sāmajānāṃ vṛnde nītāḥ śoṇitaiḥ śoṇimānam  /	sAndra aNBoda SyAmale sAma jAnAm vRnde nItAH SoNitEH SoNimAnam  /
   dantāḥ śobhāmāpurambhonidhīnāṃ kandodbhedā vaidrumā vāriṇīva  //	dantAH SoBA AmA puramBoniDInAm kandodBedAH vEdrumAH vAriNI iva  //
   MSpv_18.36 //	MSpu _18.36 //
   ākampāgraiḥ ketubhiḥ sannipātaṃ tārodīrṇagraivanādaṃ vrajantaḥ   /	Akampa agrEH ketuBiH sannipAtam tAra udIrNa grEva nAdam vrajantaH   /
   magnānaṅge gāḍhamanyadvipānāṃ dantānduḥkhāduttkhananti sma nāgāḥ  //	magna an aFge gAXam anya dvipAnAm dantAn duHKAt uttKananti sma nAgAH  //
   MSpv_18.37 //	MSpu _18.37 //
   utkṣapyoccaiḥ prasphurantaṃ radābhyāmīṣādantaḥ kuñjaraṃ śātravīyam  /	utkzapya uccEs prasPurantam radAByAm IzA t antaH kuQjaram SAtravIyam  /
   śṛṅgaprotaprāvṛṣeṇyāmbudasya spaṣṭaṃ prāpatsāmyamurvīdharasya  //	SRFga prota prAvRzeNya ambudasya spazwam prApatsAmyam urvIDarasya  //
   MSpv_18.38 //	MSpu _18.38 //
   bhagne 'pībhe sve parāvartya dehaṃ yoddhrā sārdhaṃ vrīḍayā muñcateṣūn  /	Bagne api iBe sve parAvartya deham yodDrA sArDam vrIxayA muQcata izUn  /
   sākaṃ yantuḥ saṃmadenānubandhī dūno 'bhīkṣṇaṃ vāraṇaḥ pratyarodhi  //	sAkam yantuH saMmadena anubanDI dUnaH aBIkzNam vAraNaH pratyaroDi  //
   MSpv_18.39 //	MSpu _18.39 //
   vyāptaṃ lokairduḥkhalabhyāpasāraṃ saṃraṃbhitvādetya dhīro mahīyaḥ  /	vyAptam lokEH duHKa laBya apasAram saMraMBi tvAt etya DIraH mahIyaH  /
   senāmadhyaṃ gāhate vāraṇaḥ sma brahmaiva prāgādidevodarāntaḥ  //	senA maDyam gAhate vAraNaH sma brahma eva prAc Adideva udara antaH  //
   MSpv_18.40 //	MSpu _18.40 //
   bhṛṅgaśreṇīśyāmabhāsāṃ samūhairnārācānāṃ viddhanīrandhradehaḥ  /	BRFga SreNI SyAma BAsAm samUhEH nArAcAnAm vidDa nIranDra dehaH  /
   nirbhīkatvādāhavenāhateccho hṛṣyanhastī hṛṣṭaromeva reje  // MSpv_18.41 //	nirBIka tvAt Ahavena Ahata icCaH hRzyan hastI hRzwa rom eva reje  // MSpu _18.41 //
   ātāmrābhā roṣabhājaḥ kaṭāntādāśūtkhāte mārgaṇe dhūrgatena  /	AtAmra ABAH roza BAjaH kawAntAt ASu ut KAte mArgaNe DUrgatena  /
   niścyotantī nāgarājasya jajñe dānasyāho lohitasyeva dhārā  // MSpv_18.42	niScyotantI nAga rAjasya jajQe dAnasya aho lohitasya iva DArA  // MSpu _18.42
   krāmandantau dantinaḥ sāhasikyādīṣādaṇḍau mṛtyuśayyātalasya  /	krAman dantO dantinaH sAhasikyAdIzA daNxO mRtyu SayyA talasya  /
   sainyairanyastatkṣaṇādāśaśaṅke svargasyoccairardhamārgādhirūḍhaḥ  //	sEnyEH anyaH tad kzaNAt ASa SaFke svargasya uccEs arDa mArga aDirUXaH  //
   MSpv_18.43 //	MSpu _18.43 //
   kurvañjyotsnāvipruṣāṃ tulyarūpastārastārājālasārāmiva dyām  /	kurvan jyotsnA vipruzAm tulya rUpaH tAraH tArA jAla sArAm iva dyAm  /
   khaḍgāghātairdāritāddantikumbhādābhāti sma procchalanmauktikaughaḥ  //	Kaxga AGAtEH dAritAt danti kumBAt ABAti sma procCalat mOktika oGaH  //
   MSpv_18.44 //	MSpu _18.44 //
   dūrotkṣiptakṣipracakreṇa kṛttaṃ matto hastaṃ hastirājaḥ svameva  /	dUra utkzipta kzipra cakreNa kRttam mattaH hastam hasti rAjaH svam eva  /
   bhīmaṃ bhūmau lolamānaṃ saroṣaḥ pādenāsṛkpaṅkapeṣaṃ pipeṣa  // MSpv_18.45	BImam BUmO lolamAnam sa rozaH pAdena asRk paFka pezam pipeza  // MSpu _18.45
   āpaskārāllūnagātrasya bhūmiṃ niḥsādhāraṃ gacchatopāṅmukhasya  /	ApaskArAt lUna gAtrasya BUmim niHsADAram gacCatA upAFmuKasya  /
   labdhāyāmaṃ dantayoryugmameva svaṃ nāgasya prāpaduttambhanatvam  //	labDa AyAmam dantayoH yugmam eva svam nAgasya prApat uttamBana tvam  //
   MSpv_18.46 //	MSpu _18.46 //
   labdhasparśaṃ bhūvyadhādavyathena sthitvā kiṃciddantayorantarāle  /	labDa sparSam BU vyaDAt avyaTena sTitvA kiMcid dantayoH antarAle  /
   ūrdhvārdhāsicchinnadantapraveṣṭaṃ jitvottasthe nāgamanyena sadyaḥ  //	UrDva arDa asi= Cinna danta pravezwam jitvA uttasTe na Agam anyena sadyas  //
   MSpv_18.47 //	MSpu _18.47 //
   hastenāgre vītabhītiṃ gṛhītvā kañcidvyālaḥ kṣiptavānūrdhvamuccaiḥ  /	hastena agre vIta BItim gRhItvA kaQcid vyAlaH kziptavAn UrDvam uccEs  /
   āsīnānāṃ vyomni tasyaiva hetoḥ svargastrīṇāmarpayāmāsa nūnam  //	AsInAnAm vyomni tasya eva hetoH svarga strINAm arpayAmAsa nUnam  //
   MSpv_18.48 //	MSpu _18.48 //
   kaṃciddūrādāyatena draḍhīyaḥprāsaprotasrotasāntaḥkṣatena  /	kaMcid dUrAt Ayatena draXIyaH prAsa prota srota sa antar kzatena  /
   hastāgreṇa prāptamapyagrato 'bhūdānaiśvaryaṃ vāraṇasya grahītum  //	hasta agreNa prAptam api agratas aBUt Ana ESvaryam vAraNasya grahItum  //
   MSpv_18.49 //	MSpu _18.49 //
   tanvāḥ puṃso nanda gopātmajāyāḥ kaṃseneva sphoṭitāyāḥ gajena  /	tanvAH puMsaH nanda gopa AtmajAyAH kaMsena iva sPowitAyAH gajena  /
   divyā mūrtirvyomagairutpatantī vīkṣāmāse vismitaiścaṇḍikeva  // MSpv_18.50	divyA mUrtiH vyoma gEH utpatantI vIkzA mAse vismitEH caNxikA iva  // MSpu _18.50
   ākramyaikāmagrapādena jaṅghāmanyāmuccairādadānaḥ kareṇa  /	Akramya ekAm agra pAdena jaFGAm anyAm uccEs AdadAnaH kareNa  /
   saṃsthitasvānaṃ dāruvaddāruṇātmā kañcinmadhyātpāṭayāmāsa dantī  //	saMsTita svAnam dAru vat dAruNa AtmA kaQcid maDyAt pAwayAmAsa dantI  //
   MSpv_18.51 //	MSpu _18.51 //
   śocitvāgre bhṛtyayormṛtyubhājoraryaḥ premṇā no tathā vallabhasya  /	Socitva agre BRtyayoH mRtyu BAjoH aryaH premNA no taTA vallaBasya  /
   pūrvaṃ kṛtvā netarasya prasādaṃ paścāttāpādāpa dāhaṃ yathāntaḥ  //	pUrvam kRtvA na itarasya prasAdam paScAt tApAt Apa dAham yaTA antar  //
   MSpv_18.52 //	MSpu _18.52 //
   utplutyārādardhacandreṇa lūne vaktre 'nyasya krodhadaṣṭoṣṭhadante  /	utplutya ArAt arDacandreNa lUne vaktre anyasya kroDa dazwa uzWa dante  /
   sainyaiḥ kaṇṭhacchedalīne kabandhādbhūyo bibhye valgataḥ sāsipāṇeḥ  //	sEnyEH kaNWa= Ceda lIne kabanDAt BUyas biBye valgataH sa asi pANeH  //
   MSpv_18.53 //	MSpu _18.53 //
   tūryārāvairāhitottālatālairgāyantībhiḥ kāhalaṃ kāhalābhiḥ   /	tUrya ArAvEH Ahita uttAla tAlEH gAyantIBiH kAhalam kAhalABiH   /
   nṛtte cakṣuḥśūnyahastaprayogaṃ kāye kūjankamburuccairjahāsa  // MSpv_18.54	nRtte cakzuH SUnya hasta prayogam kAye kUjan kambuH uccEs jahAsa  // MSpu _18.54
   pratyāvṛttaṃ bhaṅgabhāji svasainye tulyaṃ muktairākiranti sma kaścit  /	pratyAvRttam BaFga BAji sva sEnye tulyam muktEH Akiranti sma kaScid  /
   ekaughena svarṇapuṅkhairdviṣantaḥ siddhāḥ mālyaiḥ sādhuvādairdvaye 'pi  //	eka oGena svarNa puFKEH dvizantaH sidDAH mAlyEH sADu vAdEH dvaye api  //
   MSpv_18.55 //	MSpu _18.55 //
   bāṇākṣiptārohaśūnyāsanānāṃ prakrāntānāmanyasainyaigrahītum  /	bANa Akzipta Aroha SUnya AsanAnAm prakrAntAnAm anya sEnya egrahItum  /
   saṃrabdhānāṃ bhrāmyatāmājibhūmau vārī vāraiḥ sasmare vāraṇānām  //	saMrabDAnAm BrAmyatAm Aji BUmO vArI vArEH sasmare vAraNAnAm  //
   MSpv_18.56 //	MSpu _18.56 //
   paunaḥ punyādasragandhena matto mṛdgankopāllokamāyodhanorvyāṃ  /	pOnaH punyAt asraganDena mattaH mRd gan kopAt lokam AyoDana urvyAm  /
   pāde lagnamatra mālāmibhendraḥ pāśīkalpāmāyatāmācakarṣa  // MSpv_18.57 //	pAde lagnam atra mAlAm iBa indraH pASI kalpAmAyatAm Acakarza  // MSpu _18.57 //
   kaścinmūrcchāmetya gāḍhaprahāraḥ siktaḥ śītaiḥ śīkarairvāraṇasya  /	kaScid mUrcCAm etya gAXa prahAraH siktaH SItEH SIkarEH vAraNasya  /
   ucchvāsa prasthitā taṃ jighṛkṣurvyarthākūtā nākanārī mumūrccha  //	ucCvAsa prasTitA tam jiGRkzuH vyarTa AkUtA nAka nArI mumUrcCa  //
   MSpv_18.58 //	MSpu _18.58 //
   lūnagrīvātsāyakenāparasya dyāmatyuccairānanādutpatiṣṇoḥ  /	lUnagrIvAt sAyakena aparasya dyAmati uccEs AnanAt utpatizNoH  /
   trese mugdhaiḥ saiṃhikeyānukārādraudrākārādapsarovaktracandraiḥ  //	trese mugDEH sEMhikeya anukArAt rOdra AkArAt apsaraH vaktra candrEH  //
   MSpv_18.59 //	MSpu _18.59 //
   vṛttaṃ yuddhe śūramāśliṣya kācidrantuṃ tūrṇaṃ merukuñjaṃ jagāma  /	vRttam yudDe SUram ASlizya kAcid rantum tUrNam meru kuQjam jagAma  /
   tyaktvā nāgnau dehameti sma yāvatpatnī sadyastadviyogāsamarthā  //	tyaktvA na agnO deham eti sma yAvat patnI sadyas tad viyoga asamarTA  //
   MSpv_18.60 //	MSpu _18.60 //
   tyaktaprāṇaṃ saṃyuge hastinīsthā vīkṣya premṇā tatkṣaṇādudgatāsu  /	tyakta prANam saMyuge hastinI sTA vIkzya premNA tad kzaNAt udgatAsu  /
   prāpyākhaṇḍaṃ devabhūyaṃ satītvādāśiśleṣa svaiva kañcitpurandhrī  //	prApya aKaNxam deva BUyam satI tvAt ASiSleza svA eva kaQcid puranDrI  //
   MSpv_18.61 //	MSpu _18.61 //
   svargevāsaṃ kārayantyā cirāya pratyagratvaṃ pratyahaṃ dhārayantyā  /	svargevAsam kArayantyA cirAya pratyagra tvam pratyaham DArayantyA  /
   kaścidbheje divyanāryā parasmiṃlloke lokaṃ prīṇayantyeha kīrtyā  //	kaScid Beje divya nAryA parasmin= loke lokam prINayantyA iha kIrtyA  //
   MSpv_18.62 //	MSpu _18.62 //
   gatvā nūnaṃ vaibudhaṃ sadma ramyaṃ mūcchābhājāmājagāmāntarātmā  /	gatvA nUnam vEbuDam sadma ramyam mUcCA BAjAm AjagAma antarAtmA  /
   bhūyo dṛṣṭapratyayāḥ prāptasaṃjñāḥ sādhīyaste yadraṇāyādriyante  //	BUyas dRzwa pratyayAH prApta saMjQAH sADIyaH te yat raNAya Adriyante  //
   MSpv_18.63 //	MSpu _18.63 //
   kaścicchstrāpātamūḍho 'pavoḍhurlabdhvā bhūyaścetanāmāhavāya  /	kaScid SstrApAta mUXaH apavoXuH labDvA BUyas cetanAm AhavAya  /
   vyāvartiṣṭa krośataḥ sakhyuruccaistyaktaścātmā kā ca lokānuvṛttiḥ  //	vyAvartizwa kroSataH saKyuH uccEs tyaktaH ca AtmA kA ca loka anuvRttiH  //
   MSpv_18.64 //	MSpu _18.64 //
   bhinnoraskauśatruṇākṛṣya dūrādāsannatvātkaucidekeṣeṇaiva  /	Binna uraskOSatruNA AkRzya dUrAt Asanna tvAt kOcid ekezeNa eva  /
   anyo 'nyāvaṣṭambhasāmarthyayogārdhvāveva svargatāvapyabhūtām  //	anyaH anya avazwamBa sAmarTya yogArDvO= eva svar gatO= api aBUtAm  //
   MSpv_18.65 //	MSpu _18.65 //
   bhinnānastrairmohabhājo 'bhijātānhantuṃ lolaṃ vārayantaḥ svavargam  /	BinnAn astrEH moha BAjaH aBijAtAn hantum lolam vArayantaH sva vargam  /
   jīvagrāhaṃ grāhayāmāsuranye yogyenārthāḥ kasya na syājjanena  //	jIva grAham grAhayAmAsuH anye yogyena arTAH kasya na syAt janena  //
   MSpv_18.66 //	MSpu _18.66 //
   bhagnairdaṇḍairātapatrāṇi bhūmau paryastāni prauḍhacandradyutīni  /	BagnEH daNxEH AtapatrANi BUmO paryastAni prOXa candra dyutIni  /
   āhārāya pretarājasya raupyasthālānīva sthāpitāni sma bhānti  // MSpv_18.67	AhArAya pretarAjasya rOpya sTAlAni iva sTApitAni sma BAnti  // MSpu _18.67
   rejurbhraṣṭā vakṣasaḥ kuṅkumāṅkā muktāhārāḥ pārthivānāṃ vyasūnām  /	rejuH BrazwAH vakzasaH kuFkuma aFkAH muktA hArAH pArTivAnAm vyasUnAm  /
   hāsāllakṣyāḥ pūrṇakāmasya manye mṛtyordantāḥ pītaraktāsavasya  //	hAsAt lakzyAH pUrNa kAmasya manye mRtyoH dantAH pIta rakta Asavasya  //
   MSpv_18.68 //	MSpu _18.68 //
   nimneṣvodhībhūtamastrakṣatānāmasraṃ bhūmau yaccakāsāñcakāra  /	nimnezu oDIBUtam astra kzatAnAm asram BUmO yat ca kAsa aQcakAra  /
   rāgārthaṃ tatkiṃ nu kausumbhamambhaḥ saṃvyānānāmantakāntaḥ purasya  //	rAga arTam tat kim nu kOsumBam amBaH saMvyAnAnAm antakAntaH purasya  //
   MSpv_18.69 //	MSpu _18.69 //
   rāmeṇa triḥsaptakṛtvo hradānāṃ citraṃ cakre pañcakaṃ kṣatriyāstraiḥ  /	rAmeNa tris sapta kRtvas hradAnAm citram cakre paQcakam kzatriya astrEH  /
   raktāmbhobhiḥstatkṣaṇādeva tasminsaṃkhye 'saṃkhyāḥ pravahandvīpavatyaḥ  //	rakta amBoBiHH tad kzaNAt eva tasmin saMKye asaMKyAH pravahan dvIpavatyaH  //
   MSpv_18.70 //	MSpu _18.70 //
   saṃdānāntādastribhiḥ śikṣitāstrairaviśyādhaḥ śātaśastrāvalūnāḥ  /	saMdAna anta AdaH triBiH Sikzita astrEH aviSya aDas SAta Sastra avalUnAH  /
   kūrmaupamyaṃ vktamantarnadīnāmaibhāḥ prāpannaṅghrayo 'sṛṅmayīnām  //	kUrma Opamyam vktam antar nadI nAm a eBAH prApan= aFGrayaH asRk mayInAm  //
   MSpv_18.71 //	MSpu _18.71 //
   padmākārairyodhavaktrairibhānāṃ karṇabhraṣṭaiścāmaraireva haṃsaiḥ  /	padma AkArEH yoDa vaktrEH iBAnAm karNa BrazwEH cAmarEH eva haMsEH  /
   sopaskārāḥ prāvahannasratoyāḥ srotasvinyo vīciṣuccaistaradbhiḥ  //	sa upaskArAH prAvahan= asra toyAH srotasvinyaH vIci zuccEH taradBiH  //
   MSpv_18.72 //	MSpu _18.72 //
   utkrāntānāmāmiṣāyopariṣṭādadhyākāśaṃ babhrumuḥ patravāhāḥ  /	utkrAntAnAm AmizAya uparizwAt aDi AkASam baBrumuH patra vAhAH  /
   mūrtāḥ prāṇāḥ nūnamadyāpyavekṣāmāsuḥ kāyaṃ tyajitāḥ dāruṇāstraiḥ  //	mUrtAH prANAH nUnam adya api avekzAmAsuH kAyam tyajitAH dAruNa astrEH  //
   MSpv_18.73 //	MSpu _18.73 //
   ātanvadbhirdikṣu patrāgranādaṃ prāptaidūrādāśu tīkṣṇairmukhāgraiḥ  /	AtanvadBiH dikzu patra agra nAdam prApta EdUrAt ASu tIkzNEH muKa agrEH  /
   ādau raktaṃ sainikānāmajīvairjīvaiḥ paścātpatripūgairapāyi  // MSpv_18.74	AdO raktam sEnikAnAm ajIvEH jIvEH paScAt patripUgEH apAyi  // MSpu _18.74
   ojobhājāṃ yadraṇe saṃsthitānāmādattīvraṃ sārdhamaṅgena nūnam  /	ojaH BAjAm yad raNe saMsTitAnAm AdattIvram sArDam aFgena nUnam  /
   jvālāvyājādudvamantī tadantastejastāraṃ dīptajihvā vavāśe  // MSpv_18.75	jvAlA vyAjAt udvamantI tad antar tejaH tAram dIpta jihvA vavASe  // MSpu _18.75
   nairantaryacchinnadehāntarālaṃ durbhakṣasya jvālinā vāśitena  /	nErantaryat Cinna deha antarAlam durBakzasya jvAlinA vASitena  /
   yoddhurbāṇaprotamādīpya māṃsaṃ pākāpūrvasvādamāde śivābhiḥ  // MSpv_18.76	yodDuH bANa protam AdIpya mAMsam pAka apUrva svAdam Ade SivABiH  // MSpu _18.76
   glānicchedi kṣutprabodhāya pītvā raktāriṣṭaṃ śoṣitājīrṇaśeṣam  /	glAni= Cedi kzuD praboDAya pItvA rakta arizwam Sozita ajIrNa Sezam  /
   svāduṃkāraṃ kālakhaṇḍopadaṃśaṃ kroṣṭā ḍimbaṃ vyaṣvaṇadvyasvanañca  //	svAduMkAram kAla KaNxa upadaMSam krozwA ximbam vyazvaNa dvyasu anaQca  //
   MSpv_18.77 //	MSpu _18.77 //
   kravyātpūgaiḥ puṣkarāṇyanakānāṃ pratyāśābhirmedaso dāritāni  /	kravyAd pUgEH puzkarANi anakAnAm pratyASABiH medasaH dAritAni  /
   ābhīlāni prāṇinaḥ pratyavasyankālo nūnaṃ vyadadāvānanāni  // MSpv_18.78 //	ABIlAni prANinaH pratyavasyan kAlaH nUnam vyadada avAnanAni  // MSpu _18.78 //
   kīrṇā reje sājibhūmiḥ samantādaprāṇadbhiḥ prāṇabhājāṃ pratīkaiḥ  /	kIrNA reje sAji BUmiH samantAt aprANadBiH prANa BAjAm pratIkEH  /
   bahvārambhairardhasaṃyojitairvā rūpaiḥ sraṣṭuḥ sṛṣṭikarmāntaśālā  //	bahu AramBEH arDa saMyojitEH vA rUpEH srazwuH sRzwi karmAnta SAlA  //
   MSpv_18.79 //	MSpu _18.79 //
   āyantīnāmaviratarayaṃrājakānīkinīnām itthaṃ sainyaiḥ samamalughubhiḥ	AyantI nAm aviratarayaMrAjakAnIkinInAm itTam sEnyEH samam aluGuBiH
   śrīpaterūrmimadbhiḥ  /	SrIpateH UrmimadBiH  /
   āsīdoghairmuhuriva mahadvāridherāpagānāṃ dolāyuddhaṃ	AsIt oGEH muhur iva mahat vAri DeH ApagAnAm dolA yudDam
   kṛtagurutaradhvānamauddhatyabhājām  // MSpv_18.80 //	kRta gurutara DvAnam OdDatyaBAjAm  // MSpu _18.80 //
   athottasthe raṇāṭavyāmasuhṛdveṇudāriṇā  /	aTa uttasTe raNAwa vyAm a suhRd veNu dAriNA  /
