   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   gaṇastatra tathā nāgaiḥ sārdhaṃ vasati sāṃganāḥ // BndP_3,33.37 //	gaNaH tatra taTA nAgEH sArDam vasati sAMganAH // Bndu _3,33.37 //
   lalitāmantra japtāro lalitāśāstradīkṣitāḥ /	lalita Amantra japtAraH lalitA SAstra dIkzitAH /
   lalitāpūjakā nityaṃ vasantyasurabhoginaḥ // BndP_3,33.38 //	lalitA pUjakAH nityam vasanti asura BoginaH // Bndu _3,33.38 //
   tatra vaidūryakakṣāyāṃ nadyaḥ śiśirapāthasaḥ /	tatra vEdUrya kakzAyAm nadyaH SiSira pATasaH /
   sarāṃsivimalāṃbhāṃsi sārasālaṅkṛtāni ca // BndP_3,33.39 //	sarAMsi vimala aMBAMsi sArasa alaFkRtAni ca // Bndu _3,33.39 //
   bhavanāni tu divyāni vaidūryamaṇimanti ca /	BavanAni tu divyAni vEdUrya maNimanti ca /
   teṣu krīḍanti te nāgā asurāśca sahāṅganāḥ // BndP_3,33.40 //	tezu krIxanti te nAgAH asurAH ca saha aFganAH // Bndu _3,33.40 //
   vaidūryākhyamahāśālāntare mārutayojane /	vEdUrya AKya mahA SAla antare mAruta yojane /
   indranīlamayaḥ śālaścakravāla ivāparaḥ // BndP_3,33.41 //	indranIla mayaH SAlaH cakravAlaH iva aparaH // Bndu _3,33.41 //
   tanmadhyakakṣābhūmiśca nīlaratnamayī mune /	tad maDya kakzA BUmiH ca nIla ratna mayI mune /
   tatra nadyaśca madhurāḥ sarāṃsi śiśirāṇi ca /	tatra nadyaH ca maDurAH sarAMsi SiSirANi ca /
   nānāvidhāni bhogyāni vastūni sarasānyapi // BndP_3,33.42 //	nAnAviDAni BogyAni vastUni sarasAni api // Bndu _3,33.42 //
   ye bhūlokagatā martyā lalitāmantrasādhakāḥ /	ye BU loka gatAH martyAH lalitA mantra sADakAH /
   te dehānte śakranīlakakṣyāṃ prāpya vasaṃti vai // BndP_3,33.43 //	te dehAnte SakranIla kakzyAm prApya vasaMti vE // Bndu _3,33.43 //
   tatra divyāni vastūni bhuñjānā vanitāsakhāḥ /	tatra divyAni vastUni BuQjAnAH vanitA saKAH /
   pibanto madhuraṃ madyaṃ nṛtyanto bhaktinirbharāḥ // BndP_3,33.44 //	pibantaH maDuram madyam nRtyantaH Bakti nirBarAH // Bndu _3,33.44 //
   sarassu teṣu siṃdhūnāṃ kuleṣu kalaśodbhava /	sarassu tezu siMDUnAm kulezu kalaSa udBavaH /
   latāgṛheṣu ramyeṣu mandireṣu maharddhiṣu // BndP_3,33.45 //	latA gRhezu ramyezu mandirezu mahA RdDizu // Bndu _3,33.45 //
   sadā japantaḥ śrīdevī paṭhantaścāpi tadguṇān /	sadA japantaH SrI devI paWantaH ca api tad guNAn /
   nivasaṃti mahābhāgā nārībhiḥ pariveṣṭitāḥ // BndP_3,33.46 //	nivasaMti mahABAgAH nArIBiH parivezwitAH // Bndu _3,33.46 //
   karmakṣaye punaryānti bhūloke mānuṣīṃ tanum /	karma kzaye punar yAnti BU loke mAnuzIm tanum /
   pūrvavāsanayā yuktāḥ punararcanti cakriṇīm /	pUrva vAsanayA yuktAH punar arcanti cakriNIm /
   punaryānti śrīnagare śakranīlamahāsthalīm // BndP_3,33.47 //	punar yAnti SrI nagare SakranIla mahA sTalIm // Bndu _3,33.47 //
   tatsthalasyaiva saṃparkādrāgadveṣasamudbhavaiḥ /	tad sTalasya eva saMparkAt rAga dveza samudBavEH /
   nīlairbhāvaiḥ sadā yuktā vartante manujā mune // BndP_3,33.48 //	nIlEH BAvEH sadA yuktAH vartante manujAH mune // Bndu _3,33.48 //
   ye punarjñānino martyā nirdvandvā niyatendriyāḥ /	ye punar jQAninaH martyAH nirdvandvAH niyata indriyAH /
   te mune vismayāviṣṭāḥ saṃviśanti maheśvarīm // BndP_3,33.49 //	te mune vismaya AvizwAH saMviSanti maheSvarIm // Bndu _3,33.49 //
   indranīlākhyaśālasyāntare mārutayojane /	indranIla AKya SAlasya antare mAruta yojane /
   muktāphalamayaḥśālaḥ pūrvavadgopurānvitaḥ // BndP_3,33.50 //	muktAPala mayaH SAlaH pUrvavat gopura anvitaH // Bndu _3,33.50 //
   atyantabhāsvarā svacchā tayormadhye sthalī mune /	atyanta BAsvarA svacCA tayoH maDye sTalI mune /
   sarvāpi muktākhacitāḥ śiśirātimanoharāḥ // BndP_3,33.51 //	sarvA api muktA KacitAH SiSira ati manoharAH // Bndu _3,33.51 //
   tāmraparṇī mahāparṇī sadā muktāphalodakā /	tAmraparNI mahAparNI sadA muktAPala udakA /
   evamādyā mahānadyaḥ pravaranti mahāsthale // BndP_3,33.52 //	evamAdyAH mahA nadyaH pravaranti mahA sTale // Bndu _3,33.52 //
   tāsāṃ tīreṣu sarve 'pi devalokanivāsinaḥ /	tAsAm tIrezu sarve api deva loka nivAsinaH /
   vasaṃti pūrvajanuṣi śrīdevīmantrasādhakāḥ // BndP_3,33.53 //	vasaMti pUrva januzi SrI devI mantra sADakAH // Bndu _3,33.53 //
   pūrvādyaṣṭasu bhāgeṣu lokāḥ śakrādigocarāḥ /	pUrva Adi azwasu BAgezu lokAH Sakra Adi gocarAH /
   muktāśālasya paritaḥ saṃyujya dvāradeśakān // BndP_3,33.54 //	muktA SAlasya paritas saMyujya dvAra deSakAn // Bndu _3,33.54 //
   muktāśālasya nīlasya dvārayormadhyadeśataḥ /	muktA SAlasya nIlasya dvArayoH maDyadeSataH /
   pūrvabhāge śakralokastatkoṇe vahnilokabhūḥ // BndP_3,33.55 //	pUrva BAge Sakra lokaH tad koNe vahni loka BUH // Bndu _3,33.55 //
   yāmyabhāge yamapuraṃ tatra daṇḍadharaḥ prabhuḥ /	yAmya BAge yama puram tatra daNxa DaraH praBuH /
   sarvatra lalitāmantrajāpī tīvrasvabhāvavān // BndP_3,33.56 //	sarvatra lalitA mantra jApI tIvra svaBAvavAn // Bndu _3,33.56 //
   ājñādharo yamabhaṭaiścitraguptapurogamaiḥ /	AjQA DaraH yama BawEH citragupta purogamEH /
   sārdhaṃ niyamayatyeva śrīdevīsamayaṃ guhaḥ // BndP_3,33.57 //	sArDam niyamayati eva SrI devI samayam guhaH // Bndu _3,33.57 //
   guhaśaptāndurācārāllaṃlitādveṣakāriṇaḥ /	guha SaptAn duH AcArAt laMlitA dveza kAriNaH /
   kūḍabhaktiparānmūrkhāṃstabdhānatyantadarpitān // BndP_3,33.58 //	kUxa Bakti parAn mUrKAn= tabDAn atyanta darpitAn // Bndu _3,33.58 //
   mantracorānkumantrāṃśca kuvidyānaghasaṃśrayān /	mantra corAn kumantrAn= ca kuvidya anaGa saMSrayAn /
   nāstikānpāpaśīlāṃśca vṛthaiva prāṇihiṃsakān // BndP_3,33.59 //	nAstikAn pApa SIlAn= ca vRTA eva prANi hiMsakAn // Bndu _3,33.59 //
   strīdviṣṭāṃllokavidviṣṭānpāṣaṇḍānāṃ hi pālinaḥ /	strI dvizwAn= loka vidvizwAn pAzaNxAnAm hi pAlinaH /
   kālasūtre raurave ca kumbhīpāke ca kumbhaja // BndP_3,33.60 //	kAlasUtre rOrave ca kumBIpAke ca kumBajaH // Bndu _3,33.60 //
   asipatravane ghore kṛmibhakṣe pratāpane /	asipatravane Gore kRmi Bakze pratApane /
   lālākṣepe sūcivedhe tathaivāṅgārapātane // BndP_3,33.61 //	lAlA kzepe sUci veDe taTA eva aFgAra pAtane // Bndu _3,33.61 //
   evamādiṣu kaṣṭeṣu narakeṣu ghaṭodbhava /	evamAdizu kazwezu narakezu Gawa udBavaH /
   pātayatyājñayā tasyāḥ śrīdevyāḥ sa mahaujasaḥ // BndP_3,33.62 //	pAtayati AjQayA tasyAH SrI devyAH sa mahA ojasaH // Bndu _3,33.62 //
   tasyaiva paścime bhāge nirṛtiḥ khaḍgadhārakaḥ /	tasya eva paScime BAge nirRtiH Kaxga DArakaH /
   rākṣasaṃ lokamāśritya vartate lalitārcakaḥ // BndP_3,33.63 //	rAkzasam lokam ASritya vartate lalita arcakaH // Bndu _3,33.63 //
   tasya cottarabhāge tu dvārayorantasyale /	tasya ca uttara BAge tu dvArayoH antasyale /
   vāruṇaṃ lokamāśritya varuṇe vartate sadā // BndP_3,33.64 //	vAruNam lokam ASritya varuNe vartate sadA // Bndu _3,33.64 //
   vāruṇyāsvādanonmattaḥ śubhrāṅgo jhaṣavāhanaḥ /	vAruNI AsvAdana unmattaH SuBra aFgaH Jaza vAhanaH /
   sadā śrīdevatāmaṃ trajāpī śrīkramasādhakaḥ // BndP_3,33.65 //	sadA SrI devatAmam trajApI SrI krama sADakaH // Bndu _3,33.65 //
   śrīdevatādarśanasya dveṣiṇaḥ pāśabandhanaiḥ /	SrI devatA darSanasya dveziNaH pASa banDanEH /
   baddhvā nayatyadhomārgaṃ bhaktānāṃ bandhamocakaḥ // BndP_3,33.66 //	badDvA nayati aDas mArgam BaktAnAm banDa mocakaH // Bndu _3,33.66 //
   tasya cottarakoṇeṣu vāyuloko mahādyutiḥ /	tasya ca uttara koNezu vAyu lokaH mahA dyutiH /
   tatra vāyuśarīrāśca sadānandamahodayāḥ // BndP_3,33.67 //	tatra vAyu SarIrAH ca sat Ananda mahA udayAH // Bndu _3,33.67 //
   siddhā divyarṣayaścaiva pavanābhyāsino 'pare /	sidDAH divya RzayaH ca eva pavana aByAsinaH apare /
   gorakṣapramukhāścānye yogino yogatatparāḥ // BndP_3,33.68 //	gorakza pramuKAH ca anye yoginaH yoga tatparAH // Bndu _3,33.68 //
   etaiḥ saha mahāsattvaktatra śrīmāruteśvaraḥ /	etEH saha mahAsattvac tatra SrI mAruta ISvaraH /
   sarvathā bhinnamūrtiśca vartate kumbhasambhava // BndP_3,33.69 //	sarvaTA Binna mUrtiH ca vartate kumBasamBava // Bndu _3,33.69 //
   iḍā ca piṅgalā caiva suṣumṇā tasya śaktayaḥ /	ixA ca piFgalA ca eva suzumNA tasya SaktayaH /
   tisro mārutanāthasya sadā madhumadālasāḥ // BndP_3,33.70 //	tisraH mAruta nATasya sadA maDu mada alasAH // Bndu _3,33.70 //
   dhvajahasto mṛgavare vāhane mahati sthitaḥ /	Dvaja hastaH mRga vare vAhane mahati sTitaH /
   lalitāyajanadhyānakramapūjanatatparaḥ // BndP_3,33.71 //	lalitA yajana DyAna krama pUjana tatparaH // Bndu _3,33.71 //
   ānandapūritāṅgībhiranyābhiḥ śaktibhirvṛtaḥ /	Ananda pUrita aFgIBiH anyABiH SaktiBiH vRtaH /
   sa māruteśvaraḥ śrīmānsadā japati cakriṇīm // BndP_3,33.72 //	sa mAruta ISvaraH SrImAn sadA japati cakriNIm // Bndu _3,33.72 //
   tena sattvena kalpānte trailokyaṃ sacarācaram /	tena sattvena kalpa ante trElokyam sa carAcaram /
   parāgamayatāṃ nītvā vinodayati tatkṣaṇāt // BndP_3,33.73 //	parAgamayatAm nItvA vinodayati tad kzaNAt // Bndu _3,33.73 //
   tasya sattvasya siddhyarthaṃ tāmeva laliteśvarīm /	tasya sattvasya sidDi arTam tAm eva laliteSvarIm /
   pūjayanbhāvayannāste sarvābharaṇabhūṣitaḥ // BndP_3,33.74 //	pUjayan BAvayan= Aste sarva ABaraNa BUzitaH // Bndu _3,33.74 //
   tallokapūrvabhāgasthe yakṣaloke mahādyutiḥ /	tad loka pUrva BAga sTe yakza loke mahA dyutiH /
   yakṣendro vasati śrīmāṃstaddvāradvandvamadhyagaḥ // BndP_3,33.75 //	yakza indraH vasati SrImAn= tad dvAra dvandva maDya gaH // Bndu _3,33.75 //
   nidhibhiśca navākārairṛddhivṛddhyādiśaktibhiḥ /	niDiBiH ca nava AkArEH RdDi vRdDi Adi SaktiBiH /
   sahito lalitābhaktānpūrayandhanasampadā // BndP_3,33.76 //	sahitaH lalita aBaktAn pUrayan Dana sampadA // Bndu _3,33.76 //
   yakṣībhiśca manojñābhiranukūlapravṛttibhiḥ /	yakzIBiH ca manojQABiH anukUla pravRttiBiH /
   vividhairmadhubhedaiśca sampūjayati cakriṇīm // BndP_3,33.77 //	viviDEH maDu BedEH ca sampUjayati cakriNIm // Bndu _3,33.77 //
   maṇibhadraḥ pūrṇabhadro maṇimānmāṇikandharaḥ /	maNiBadraH pUrNaBadraH maNimAn mANi kanDaraH /
   ityevamādayo yakṣasenānyastatra saṃti vai // BndP_3,33.78 //	iti evamAdayaH yakza senA anyaH tatra saMti vE // Bndu _3,33.78 //
   tallokapūrvabhāge tu rudraloko mahodayaḥ /	tad loka pUrva BAge tu rudra lokaH mahA udayaH /
   anardhyaratnakhacitastatra rudro 'dhidevatā // BndP_3,33.79 //	anarDya ratna KacitaH tatra rudraH aDidevatA // Bndu _3,33.79 //
   sadaiva manyunā dīptaḥ sadā baddhamaheṣudhiḥ /	sadA eva manyunA dIptaH sadA badDa mahA izuDiH /
   svasamānairmahāsattvailoṅkanirvāhadakṣiṇaiḥ // BndP_3,33.80 //	sva samAnEH mahAsattva ela uFka nirvAha dakziNEH // Bndu _3,33.80 //
   adhijyakārmukairdakṣaiḥ ṣoḍaśāvaraṇasthitaiḥ /	aDijya kArmukEH dakzEH zoxaSa AvaraNa sTitEH /
   āvṛtaḥ satataṃ vaktrairjapañchīdevatāmanum // BndP_3,33.81 //	AvRtaH satatam vaktrEH japan SIdevatA manum // Bndu _3,33.81 //
   śrīdevīdhyānasampannaḥ śrīdevīpūjanotsukaḥ /	SrI devI DyAna sampannaH SrI devI pUjana utsukaH /
   anekakoṭirudrāṇīgaṇamaṇḍitapārśvabhūḥ // BndP_3,33.82 //	aneka kowi rudrANI gaNa maNxita pArSva BUH // Bndu _3,33.82 //
   tāśca sarvāḥ pradīptāṅgyo navayauvanagarvitāḥ /	tAH ca sarvAH pradIpta aFgyaH nava yOvana garvitAH /
   lalitādhyānaniranāḥ sadāsavamadālasāḥ // BndP_3,33.83 //	lalita aDyAna niranAH sat A Asava mada alasAH // Bndu _3,33.83 //
   tābhiśca sākaṃ sa śrīmānmahārudrastriśūlabhṛt /	tABiH ca sAkam sa SrImAn mahA rudraH triSUlaBRt /
   hiraṇyabāhupramuśai rudrairanyairniṣevitaḥ // BndP_3,33.84 //	hiraNya bAhu pramuSEH rudrEH anyEH nizevitaH // Bndu _3,33.84 //
   lalitādarśanabhraṣṭānuddhatāngurudhikkṛtān /	lalita adarSana Brazwa anudDatAn guru DikkRtAn /
   śūlakoṭyā vinirbhidya netrotthaiḥ kaṭupāvakaiḥ // BndP_3,33.85 //	SUla kowyA vinirBidya netra utTEH kawu pAvakEH // Bndu _3,33.85 //
   dahaṃsteṣā vadhūbhṛtyānprajāścaiva vināśayan /	dahan= tezA vaDU BRtyAn prajAH ca eva vinASayan /
   ājñādharo mahāvīro lalitājñāprapālakaḥ // BndP_3,33.86 //	AjQADaraH mahAvIraH lalita AjQA prapAlakaH // Bndu _3,33.86 //
   rudraloke 'tirucire vartate kumbhasambhava /	rudra loke ati rucire vartate kumBasamBava /
   mahārudrasya tasyarṣe parivārāḥ pramāthinaḥ // BndP_3,33.87 //	mahA rudrasya tasya Rze parivArAH pramATinaH // Bndu _3,33.87 //
   ye rudrāstānasaṃkhyātānko vā vaktuṃ paṭurbhavet /	ye rudra AstAna saMKyAtAn kaH vA vaktum pawuH Bavet /
   ye rudrā adhibhūmyāṃ tu sahasrāṇāṃ sahasraśaḥ // BndP_3,33.88 //	ye rudrAH aDiBUmyAm tu sahasrANAm sahasraSas // Bndu _3,33.88 //
   diviye 'pi ca vartante sahasrāṇāṃ sahasraśaḥ /	diviye api ca vartante sahasrANAm sahasraSas /
   yeṣāmannamiṣaścava yeṣāṃ vātāstatheṣavaḥ // BndP_3,33.89 //	yezAm annamizaH cava yezAm vAtAH taTA izavaH // Bndu _3,33.89 //
   yeṣāṃ ca varṣamiṣavaḥ pradīptāḥ piṅgalekṣaṇāḥ /	yezAm ca varzam izavaH pradIptAH piFgala IkzaNAH /
   arṇave cāntarikṣe ca vartamānā mahaujasaḥ // BndP_3,33.90 //	arNave ca antarikze ca vartamAnAH mahA ojasaH // Bndu _3,33.90 //
   jaṭāvanto madhuṣmanto nīlagrīvā vilohitāḥ /	jawAvantaH maDuzmantaH nIlagrIvAH vilohitAH /
   ye bhūtānāmadhibhuvo viśikhāsaḥ kapardinaḥ // BndP_3,33.91 //	ye BUtAnAm aDiBuvaH viSiKAsaH kapardinaH // Bndu _3,33.91 //
   ye anneṣu vividhyanti pātreṣu pibato janān /	ye annezu viviDyanti pAtrezu pibataH janAn /
   ye pathāṃ rathakā rudrā ye ca tīrthanivāsinaḥ // BndP_3,33.92 //	ye paTAm raTakAH rudrAH ye ca tIrTa nivAsinaH // Bndu _3,33.92 //
   sahasrasaṃkhyā ye cānye sṛkāvanto niṣaṅgiṇaḥ /	sahasra saMKyAH ye ca anye sRkAvantaH nizaFgiNaH /
   lalitājñāpraṇetāro diśo rudrā vitasthire // BndP_3,33.93 //	lalita AjQA praNetAraH diSaH rudrAH vitasTire // Bndu _3,33.93 //
   te sarve sumahātmānaḥ kṣaṇādviśvatrayīvahāḥ /	te sarve su mahAtmAnaH kzaNAt viSva trayI vahAH /
   śrīdevyā dhyānaniṣaṇātāñchrīdevīmantrajāpinaḥ // BndP_3,33.94 //	SrI devyAH DyAna nizaNAtAn SrI devI mantra jApinaH // Bndu _3,33.94 //
   śrīdevatāyāṃ bhaktāśca pālayanti kṛpālavaḥ /	SrI devatAyAm BaktAH ca pAlayanti kRpAlavaH /
   ṣoḍaśāvaraṇaṃ cakraṃ muktāprākāramaṇḍale // BndP_3,33.95 //	zoxaSa AvaraNam cakram muktA prAkAra maNxale // Bndu _3,33.95 //
   āśritya rudrāste sarve mahārudraṃ mahodayam /	ASritya rudrAH te sarve mahA rudram mahA udayam /
   hiraṇyabāhupramukhā jvalanmanyumupāsate // BndP_3,33.96 //	hiraNya bAhu pramuKAH jvalat manyum upAsate // Bndu _3,33.96 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastyasaṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA agastya saMvAde
   lalitopākhyāne puṣparāgaprakārādibhuktākarāntasaptakakṣāntarakathanaṃ nāma	lalita upAKyAne puzparAga prakAra Adi Bukta Akara anta saptakakza antarakaTanam nAma
   trayastriṃśo 'dhyāyaḥ	trayastriMSaH aDyAyaH
   agastya uvāca	agastyaH uvAca
   ṣoḍaśāvaraṇaṃ cakraṃ kiṃ tadrudrādhidaivatam /	zoxaSa AvaraNam cakram kim tad rudra aDidEvatam /
   tatra sthitāśca rudrāḥ ke kena nāmnā prakīrtitāḥ // BndP_3,34.1 //	tatra sTitAH ca rudrAH ke kena nAmnA prakIrtitAH // Bndu _3,34.1 //
   keṣvāvaraṇabiṃbeṣu kinnāmāno vasaṃti te /	kezu AvaraNa biMbezu kinnAmAnaH vasaMti te /
   yaugikaṃ rauḍhikaṃ nāma teṣāṃ brūhi kṛpānidhe // BndP_3,34.2 //	yOgikam rOXikam nAma tezAm brUhi kRpA niDe // Bndu _3,34.2 //
   hayagrīva uvāca	hayagrIvaH uvAca
   tatra rudrā layaḥ prokto muktājālakanirmitaḥ /	tatra rudrAH layaH proktaH muktA jAlaka nirmitaH /
   pañcayojanavistārastatsaṃkhyāyāmaśobhitaḥ // BndP_3,34.3 //	paQca yojana vistAraH tad saMKyAyAm a SoBitaH // Bndu _3,34.3 //
   ṣoḍaśāvaraṇairyukto madhyapīṭhamanoharaḥ /	zoxaSa AvaraNEH yuktaH maDya pIWa manoharaH /
   madhyapīṭhe mahārudro jvalanmanyustrilocanaḥ // BndP_3,34.4 //	maDya pIWe mahA rudraH jvalat manyuH trilocanaH // Bndu _3,34.4 //
   saccakārmukahastaśca sarvadā vartate mune /	sat cakArmuka hastaH ca sarvadA vartate mune /
   trikoṇe kathitā rudrāstraya eva ghaṭodbhava // BndP_3,34.5 //	trikoNe kaTitAH rudrAH trayaH eva Gawa udBava // Bndu _3,34.5 //
   hiraṇya bāhuḥ senānīrdiśāṃpatirathāparaḥ // BndP_3,34.6 //	hiraNya bAhuH senAnIH diSAMpatiH aTa aparaH // Bndu _3,34.6 //
   vṛkṣāśca harikeśāśca tathā paśupatiḥ paraḥ /	vRkzAH ca harikeSAH ca taTA paSupatiH paraH /
   śaṣpiñjarastviṣīmāṃśca pathīnāṃ patireva ca // BndP_3,34.7 //	SazpiQjaraH tu izi imAn= ca paTInAm patiH eva ca // Bndu _3,34.7 //
   ete ṣaṭkoṇagāḥ kiṃ ca babhruśāstvaṣṭakoṇake /	ete zaz koNa gAH kim ca baBruSAstu azwa koNake /
   vivyādhyannapatiścaiva harikeśopavītinau // BndP_3,34.8 //	vivyADi anna patiH ca eva hari keSa upavItinO // Bndu _3,34.8 //
   puṣṭānāṃ patirapyanyo bhavo hetistathaiva ca /	puzwAnAm patiH api anyaH BavaH hetiH taTA eva ca /
   daśāpatre tvāvaraṇe prathamo jagatāṃ patiḥ // BndP_3,34.9 //	daSA patre tu AvaraNe praTamaH jagatAm patiH // Bndu _3,34.9 //
   rudrātatāvinau kṣetrapatiḥ sūtastathāparaḥ /	rudra AtatAvinO kzetra patiH sUtaH taTA aparaH /
   ahaṃ tvanyo vanapatī rohitaḥ sthapatistathā // BndP_3,34.10 //	aham tu anyaH vanapatiH rohitaH sTapatiH taTA // Bndu _3,34.10 //
   vṛkṣāṇāṃ patirapyanyaścaite sajjaśarāsanāḥ /	vRkzANAm patiH api anyaH ca ete sajja SarAsanAH /
   mantrī ca vāṇijaścaiva tathā kakṣapatiḥ paraḥ // BndP_3,34.11 //	mantrI ca vANijaH ca eva taTA kakza patiH paraH // Bndu _3,34.11 //
   bhavantistu caturthaḥ syātpañcamo vārivastataḥ /	BavantiH tu caturTaH syAt paQcamaH vArivaH tatas /
   oṣadhīnāṃ patiścaiva ṣaṣṭhaḥ kalaśasaṃbhava // BndP_3,34.12 //	ozaDInAm patiH ca eva zazWaH kalaSa saMBava // Bndu _3,34.12 //
   uccairghoṣākrandayantau patīnāṃ ca patistathā /	uccErGozA krandayantO patInAm ca patiH taTA /
   kṛtsnavītaśca dhāvaṃśca sattvānāṃ patireva ca // BndP_3,34.13 //	kRtsna vItaH ca DAvan= ca sattvAnAm patiH eva ca // Bndu _3,34.13 //
   ete dvādaśa patrasthāḥ pañcamāvaraṇasthitāḥ /	ete dvAdaSa patra sTAH paQcama AvaraNa sTitAH /
   sahamānaśca nirvyādhiravyādhīnāṃ patistathā // BndP_3,34.14 //	sahamAnaH ca nirvyADiH avyADInAm patiH taTA // Bndu _3,34.14 //
   kakubhaśca niṣaṅgī ca stenānāṃ ca patistathā /	kakuBaH ca nizaFgI ca stenAnAm ca patiH taTA /
   niceruśceti vijñeyāḥ ṣaṣṭhāvaraṇadevatāḥ // BndP_3,34.15 //	niceruH ca iti vijQeyAH zazWa AvaraNa devatAH // Bndu _3,34.15 //
   adhaḥ paricaro 'raṇyaḥ patiḥ kiṃ ca sṛkāviṣaḥ /	aDas paricaraH araNyaH patiH kim ca sRkA vizaH /
   jighāṃsaṃto muṣṇatāṃ ca patayaḥ kuṃbhasaṃbhava // BndP_3,34.16 //	jiGAMsaMtaH muzNatAm ca patayaH kuMBa saMBava // Bndu _3,34.16 //
   asīmantaśca suprājñastathā naktañcaro mune /	asImantaH ca suprAjQaH taTA naktaQcaraH mune /
   prakṛtīnāṃ patiścaiva uṣṇīṣī ca gireścaraḥ // BndP_3,34.17 //	prakRtInAm patiH ca eva uzNIzI ca gireH caraH // Bndu _3,34.17 //
   kuluñcānāṃ patiścaiveṣumantaḥ kalaśodbhava /	kuluQcAnAm patiH ca eva izumantaH kalaSa udBavaH /
   dhanvāvidaścātanvānapratipūrvadadhānakāḥ // BndP_3,34.18 //	Danva avidaSca atanvAnapratipUrva daDAnakAH // Bndu _3,34.18 //
   āyacchataḥ ṣoḍaśaite ṣoḍaśāranivāsinaḥ /	AyacCataH zoxaSA ete zoxaSAra nivAsinaH /
   visṛjantastathāsyanto vidhyantaścāpi siṃdhupa // BndP_3,34.19 //	visRjantaH taTA asyantaH viDyantaH ca api siMDupa // Bndu _3,34.19 //
   āsīnāśca śayānāśca yanto jāgrata eva ca /	AsInAH ca SayAnAH ca yantaH jAgrataH eva ca /
   tiṣṭhantaścaiva dhāvantaḥ sabhyāścaiva samādhipāḥ // BndP_3,34.20 //	tizWantaH ca eva DAvantaH saByAH ca eva samADipAH // Bndu _3,34.20 //
   aśvāścaivāśvapataya avyādhinyastathaiva ca /	aSvAH ca eva aSva pataya avyADinyaH taTA eva ca /
   vividhyanto gaṇādhyakṣā bṛhanto vindhyamarddana // BndP_3,34.21 //	viviDyantaH gaNADyakzAH bRhantaH vinDya marddana // Bndu _3,34.21 //
   gṛtsaścāṣṭādaśavidhā devatā aṣṭamāvṛtau /	gRtsaH ca azwAdaSaviDAH devatAH azwama AvRtO /
   atha gṛtsādhipatayo vrātā vrātādhipāstathā // BndP_3,34.22 //	aTa gRtsa aDipatayaH vrAtAH vrAta aDipAH taTA // Bndu _3,34.22 //
   gaṇāśca gaṇapāścaiva viśvarupā virūpakāḥ /	gaNAH ca gaNapAH ca eva viSvarupAH virUpakAH /
   mahāntaḥ kṣullakāścaiva rathinaścārathāḥ pare // BndP_3,34.23 //	mahAntaH kzullakAH ca eva raTinaH ca araTAH pare // Bndu _3,34.23 //
   rathāśca rathapattyākhyāḥ senāḥ senānya eva ca /	raTAH ca raTa patti AKyAH senAH senA anyaH eva ca /
   kṣattāraḥ saṃgrahī tārastakṣāṇo rathakārakāḥ // BndP_3,34.24 //	kzattAraH saMgrahI tAraH takzANaH raTa kArakAH // Bndu _3,34.24 //
   kulālaśceti rudrāste navamāvṛtidevatāḥ /	kulAlaH ca iti rudrAH te navam AvRti devatAH /
   karmārāścaiva puñjiṣṭhā niṣādāśceṣukṛdgaṇāḥ // BndP_3,34.25 //	karmArAH ca eva puQjizWAH nizAdAH ca izu kRt gaNAH // Bndu _3,34.25 //
   dhanvakārā mṛgayavaḥ śvanayaḥ śvāna eva ca /	DanvakArAH mRgayavaH SvanayaH SvAnaH eva ca /
   aśvāścaivaśvapatayo bhavo rudro ghaṭodbhava // BndP_3,34.26 //	aSvAH ca evaSvapatayaH BavaH rudraH Gawa udBava // Bndu _3,34.26 //
   śarvaḥ paśupatirnīlagrīvaśca śitikaṇṭhakaḥ /	SarvaH paSupatiH nIlagrIvaH ca SitikaNWakaH /
   kapardī vyuptakeśaśca sahasrakṣastathāparaḥ // BndP_3,34.27 //	kapardI vyupta keSaH ca sahasrakzaH taTA aparaH // Bndu _3,34.27 //
   śatadhanvā ca giriśaḥ śipiviṣṭaśca kuṃbhaja /	SataDanvA ca giriSaH SipivizwaH ca kuMBaja /
   mīḍhuṣṭama iti proktā rudrā daśamaśālagāḥ // BndP_3,34.28 //	mIXuzwamaH iti proktAH rudrAH daSama SAla gAH // Bndu _3,34.28 //
   athaikādaśacakrasthā iṣumaddhrasvavāmanāḥ /	aTa ekAdaSa cakra sTAH izumadDra sva vAmanAH /
   bṛhaṃśca varṣīyāṃ ścaiva vṛddhaḥ samṛddhinā saha // BndP_3,34.29 //	bRhan= ca varzIyAm Sca eva vRdDaH samRdDinA saha // Bndu _3,34.29 //
   agryaḥ prathama āśuścājironyaḥ śīghraśibhyakau /	agryaH praTamaH ASuH ca ajironyaH SIGra SiByakO /
   urmyāvasvanyarudrau ca srotasyo divya eva ca // BndP_3,34.30 //	urmyA avasu anya rudrO ca srotasyaH divyaH eva ca // Bndu _3,34.30 //
   jyeṣṭhaścaiva kaniṣṭhaśca pūrvajāvarajau tathā /	jyezWaH ca eva kanizWaH ca pUrva jAvarajO taTA /
