   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   yattu priyādisaṃsūcitasya saṃsāriṇa evātmano vedyatayānukarṣaṇam	yat tu priya Adi saMsUcitasya saMsAriNaH eva AtmanaH vedya tayA anukarzaNam
   'ātmanastu kāmāya sarvaṃ priyaṃ bhavati /	aAtmanaH tu kAmAya sarvam priyam Bavati /
   ātmā vā are draṣṭavyaḥ' (bṛ. 2.4.5) 'yaḥ prāṇena prāṇiti sa ta ātmā	AtmA vE are drazwavyaH a (bR. 2.4.5) ayaH prANena prANiti sa te AtmA
   sarvāntaraḥ' (bṛ. 3.4.1) 'ya eṣo 'kṣīṇi puruṣo dṛśyate' (chā. 8.7.4)	sarva antaraH a (bR. 3.4.1) ayaH ezaH akzINi puruzaH dRSyate a (CA. 8.7.4)
   ityupakramya 'etaṃ tveva te bhūyo 'nuvyākhyasyāmi' (chā. 8.9.3) iti	iti upakramya aetam tu eva te BUyas anuvyAKyasyAmi a (CA. 8.9.3) iti
   caivamādi tadapi 'asya mahato bhūtasya niḥśvasitametadyadṛgvedaḥ' (bṛ.	ca evamAdi tat api aasya mahataH BUtasya niHSvasitam etat yat RgvedaH a (bR.
   2.4.10) 'yo 'śanāyāpipāse śokaṃ mohaṃ jarāṃ mṛtyumatyeti' (bṛ. 3.5.1)	2.4.10) ayaH aSanAyA pipAse Sokam moham jarAm mRtyum atyeti a (bR. 3.5.1)
   'paraṃ jyotirupasaṃpadya svenarūpeṇābhiniṣpadyate sa uttamaḥ puruṣaḥ'	aparam jyotiH upasaMpadya svena rUpeNa aBinizpadyate saH uttamaH puruzaH a
   (chā. 8.12.3) ityevamādibhirvākyaśeṣaiḥ	(CA. 8.12.3) iti evamAdiBiH vAkya SezEH
   satyāmevādhikopadidikṣāyāmatyantābhedābhiprāyamityavirodhaḥ /	satyAm eva aDika upadidikzAyAm atyantA Beda aBiprAyam iti aviroDaH /
   pārameśvarameva hi śārīrasya pāramārthikaṃ svarūpam /	pArameSvaram eva hi SArIrasya pAramArTikam svarUpam /
   upādhikṛtaṃ tu śārīratvam 'tatvamasi' (chā. 6.8.7) 'nānyodato 'sti draṣṭṛ'	upADikRtam tu SArIra tvam ata tvamasi a (CA. 6.8.7) anAnya udataH asti drazwR a
   (bṛ. 3.8.11) ityādiśrutibhyaḥ /	(bR. 3.8.11) ityAdi SrutiByaH /
   sarvaṃ cātadvistareṇāsmābhiḥ purastāttatra tatra varṇitam // 8 //	sarvam ca Atad vistareNa asmABiH purastAt tatra tatra varNitam // 8 //
   tulyaṃ tu darśanam | BBs_3,4.9 |	tulyam tu darSanam | BBH _3,4.9 |
   yattūktamācāradarśanātkarmaśeṣo vidyeti /	yat tu uktam AcAra darSanAt karma SezaH vidyA iti /
   atra brūmaḥ   tulyāmācāradarśanamakmaśeṣitve 'pi vidyāyāḥ /	atra brUmaH  tulyAm AcAra darSanam akma Sezi tve api vidyAyAH /
   tathāhi śrutirbhavati   'etadvā sma vai tadvidvāṃsa āhurṛṣayaḥ kāvaṣeyāḥ	taTA hi SrutiH Bavati  aetat vA sma vE tad vidvAMsaH AhuH RzayaH kAvazeyAH
   kimarthā vayamadhyeṣyāmahe kimarthāvayaṃ yakṣyāmahe /	kimarTAH vayam aDyezyAmahe kim arTa A= ayam yakzyAmahe /
   etaddha sma vai tatpūrve vidvāṃso 'gnihotraṃ na juhavāñcakrire' 'etaṃ vai	etat ha sma vE tat pUrve vidvAMsaH agnihotram na juhavAQcakrire a aetam vE
   tamātmānaṃ viditvā brāhmaṇāḥ putraiṣaṇāyāśca vittaiṣaṇayāśca	tam AtmAnam viditvA brAhmaNAH putra ezaNAyAH ca vitta ezaNayAH ca
   lokaiṣaṇāyāśca vyutthāyātha bhikṣācaryaṃ caranti' (bṛ. 3.5.1)	loka ezaNAyAH ca vyutTAya aTa BikzA caryam caranti a (bR. 3.5.1)
   ityevajātīyakā /	iti eva jAtIyakAH /
   yājñavalkyādīnāmapi brahmavidāmarmaniṣṭhatvaṃ dṛśyate   'etāvadare	yAjQavalkya AdInAm api brahma vidA marma nizWa tvam dRSyate  aeta avadare
   khalvamṛtatvamiti hoktvā yājñavalkyo vijahāra' (bṛ. 4.5.15)	Kalu amRta tvam iti ha uktvA yAjQavalkyaH vijahAra a (bR. 4.5.15)
   ityādiśrutibhyaḥ /	ityAdi SrutiByaH /
   apica yakṣyamāṇo vai bhagavanto 'hamasami (chā. 5.11.5)	api ca yakzyamANaH vE BagavantaH aham asami (CA. 5.11.5)
   ityetalliṅgadarśanaṃ vaiśvānaravidyāviṣayam /	iti etat liFga darSanam vESvAnara vidyA vizayam /
   saṃbhavati ca sopādhikāyāṃ brahmavidyāyāṃ karmasāhityadarśanam /	saMBavati ca sa upADikAyAm brahma vidyAyAm karma sAhitya darSanam /
   natvatrāpi karmāṅgatvamasti /	na tu atra api karma aFga tvam asti /
   prakaraṇādyabhāvāt // 9 //	prakaraNa Adi aBAvAt // 9 //
   yatpunaruktam   'tacchruteḥ' (bra.sū. 3.4.4) iti atra brūmaḥ  	yat punaruktam  atad SruteH a (bra.sU. 3.4.4) iti atra brUmaH  
   asārvatrikī | BBs_3,4.10 |	asArvatrikI | BBH _3,4.10 |
   'yadeva vidyayā karoti' (chā. 1.1.10) ityeṣā śrutirna sarvavidyāviṣayā /	ayat eva vidyayA karoti a (CA. 1.1.10) iti ezA SrutiH na sarva vidyA vizayA /
   prakṛtavidyābhisaṃbandhāt /	prakRta vidyA aBisaMbanDAt /
   prakṛtā codgīthavidyā 'omityetadakṣaramudgīthamupāsīta' (chā. 1.1.1)	prakRtA ca udgITa vidyA aom iti etat akzara mudgITam upAsIta a (CA. 1.1.1)
   ityatra // 10 //	iti atra // 10 //
   vibhāgaḥ śatavat | BBs_3,4.11 |	viBAgaH Sata vat | BBH _3,4.11 |
   yadapyuktam   'taṃ vidyākarmaṇī samanvārabhete' (bṛ. 4.4.2)	yat api uktam  atam vidyA karmaNI samanvAraBete a (bR. 4.4.2)
   ityetatsamānvārambhavacanamasvatantrye vidyāyā liṅgamiti tatpratyucyate /	iti etat samA anvAramBa vacanam asvatantrye vidyAyAH liFgam iti tat pratyucyate /
   vibhāgo 'tra draṣṭavyo vidyānyaṃ puruṣamanvārabhate karmānyamiti /	viBAgaH atra drazwavyaH vidyA anyam puruzam anvAraBate karma anyam iti /
   śatavat /	Sata vat /
   yathā śatamābhyāṃ dīyatāmityukte vibhajya dīyate pañcāśadekasmai	yaTA SatamAByAm dIyatAm iti ukte viBajya dIyate paQcASat ekasmE
   pañcāśadaparasmai tadvat /	paQcASat aparasmE tadvat /
   nacedaṃ samanvāramabhavacanaṃ mumukṣuviṣayam 'iti nu kāmayamānaḥ' (bṛ.	naca idam samanvAram aBavacanam mumukzu vizayam aiti nu kAmayamAnaH a (bR.
   4.4.6) iti saṃsāriviṣayatvopasaṃhārāt /	4.4.6) iti saMsAri vizaya tva upasaMhArAt /
   'athākāmayamānaḥ' (bṛ. 4.4.6) iti ca mumukṣoḥ pṛthagupakramāt /	aaTa akAmayamAnaH a (bR. 4.4.6) iti ca mumukzoH pRTak upakramAt /
   tatra saṃsāriviṣaye vidyā vihitā pratiṣiddhā ca parigṛhyate viśeṣābhāvāt /	tatra saMsAri vizaye vidyA vihitA pratizidDA ca parigRhyate viSeza aBAvAt /
   karamāpi vihitaṃ pratiṣiddhaṃ ca yathāprāptānuvāditvāt /	karama api vihitam pratizidDam ca yaTAprApta anuvAdi tvAt /
   evaṃ satyavibhāgenāpīdaṃ samanvārambhavacanamavakalpate // 11 //	evam satya viBAgena api idam samanvAramBa vacanam avakalpate // 11 //
   yaccaitat 'tadvato vidhānāt' (bra. sū. 3.4.6) ityata uttaraṃ paṭhati  	yat ca etat atadvataH viDAnAt a (bra. sU. 3.4.6) iti atas uttaram paWati  
   adhyayanamātravataḥ | BBs_3,4.12 |	aDyayana mAtravataH | BBH _3,4.12 |
   'ācāryakulādvedamadhītya' (chā. 8.15.1) ityadhyayanamātrasya	aAcArya kulAt vedam aDItya a (CA. 8.15.1) iti aDyayana mAtrasya
   śravaṇādadhyayanamātravata eva karmavidhirityadhyavasyāmaḥ /	SravaNAt aDyayana mAtravataH eva karma viDiH iti aDyavasyAmaH /
   nanvevaṃ satyāvidyatvānadhikāraḥ karmasu prajyeta /	nanu evam satya avidya tvAn aDikAraH karmasu prajyeta /
   naiṣa doṣaḥ /	na eza dozaH /
   na vayamadhyayanaprabhavaṃ karmāvabodhanamadhikārakāraṇaṃ vārayāmaḥ kiṃ	na vayam aDyayana praBavam karma avaboDanam aDikAra kAraNam vArayAmaH kim
   tarhyeniṣadamātmajñānaṃ svātantryeṇaiva prayojanavatpratīyamānaṃ na	tarhi enizadam Atma jQAnam svAtantryeNa eva prayojana vat pratIyamAnam na
   karmādhikārakāraṇatāṃ pratipadyata ityetāvatpratipādayāmaḥ /	karma aDikAra kAraNa tAm pratipadyate iti etAvat pratipAdayAmaH /
   yathāca na kratvantarajñānaṃ kratvantarādhikāreṇāpekṣyata evametadapi	yaTA ca na kratu antara jQAnam kratu antara aDikAreNa apekzyate evam etat api
   draṣṭavyamiti // 12 //	drazwavyam iti // 12 //
   yadapyuktaṃ niyamacca (bra. sū. 3.4.7) ityatrābhidhīyate  	yat api uktam niyamat ca (bra. sU. 3.4.7) iti atra aBiDIyate  
   nāviśeṣāt | BBs_3,4.13 |	na aviSezAt | BBH _3,4.13 |
   'kurvanneveha karmāṇi jijīviṣet' (īśā. 2) ityelamādiṣu niyamaśravaṇeṣu na	akurvan= eva iha karmANi jijIvizet a (ISA. 2) iti elam Adizu niyama SravaNezu na
   viduṣa iti viśeṣo 'sti /	viduzaH iti viSezaH asti /
   aviśeṣeṇa niyamavidhānāt // 13 //	aviSezeNa niyama viDAnAt // 13 //
   stutaye 'numatirvā | BBs_3,4.14 |	stutaye anumatiH vA | BBH _3,4.14 |
   'kurvanneveha karmāṇi' (īśā. 2) ityatrāparo viśeṣa ākhyāyate yadyapyatra	akurvan= eva iha karmANi a (ISA. 2) iti atra aparaH viSezaH AKyAyate yadi api atra
   prakaraṇasāmarthyādvidvāneva kurvanniti saṃbadhyate tathāpi vidyāstutaye	prakaraNa sAmarTyAt vidvAn eva kurvan= iti saMbaDyate taTA api vidyA stutaye
   karmānujñānametaddraṣṭavyam /	karma anujQAnam etat drazwavyam /
   'na karma lipyate nare' (īśā. 2) iti hi vakṣyati /	ana karma lipyate nare a (ISA. 2) iti hi vakzyati /
   etaduktaṃ bhavati /	etat uktam Bavati /
   yāvajjīvaṃ karma kurvatyapi viduṣi puruṣe hi vakṣyati /	yAvajjIvam karma kurvati api viduzi puruze hi vakzyati /
   etaduktaṃ bhavati /	etat uktam Bavati /
   yāvajjīvaṃ karma kurvatyapi viduṣupuruṣe na karma lepāya bhavati	yAvajjIvam karma kurvati api viduzu puruze na karma lepAya Bavati
   vidyāsāmarthyāditi tadevaṃ vidyā stūyate // 14 //	vidyA sAmarTyAt iti tat evam vidyA stUyate // 14 //
   kāmakāreṇa caike | BBs_3,4.15 |	kAmakAreNa ca eke | BBH _3,4.15 |
   apicaike vidvāṃsaḥ pratyakṣīkṛtavidyāphalāḥ	api ca eke vidvAMsaH pratyakzIkRta vidyA PalAH
   santastadavaṣṭabhyātphalāntarasādhaneṣu prajādiṣu prayojanābhāvaṃ	santaH tad avazwaByAt Pala antara sADanezu prajA Adizu prayojana aBAvam
   parāmṛśanti /	parAmRSanti /
   kāmakāreṇeti śrutirbhavati vājasaneyinām 'etaddha sma vai tatpūrve	kAmakAreNa iti SrutiH Bavati vAjasaneyinAm aetat ha sma vE tat pUrve
   vidvāṃsaḥ prajāṃ na kāmayante kiṃ prajayā kariṣyāmo yeṣāṃ no 'yamātmāyaṃ	vidvAMsaH prajAm na kAmayante kim prajayA karizyAmaH yezAm naH ayam AtmAyam
   lokaḥ' (bṛ. 4.4.22) iti anubhavārūḍhameva ca vidyāphalaṃ na	lokaH a (bR. 4.4.22) iti anuBava ArUXam eva ca vidyA Palam na
   kriyāphalavatkālāntarabhāvītyasakṛdavocāma /	kriyA Pala vat kAla antara BAvi iti asakRt avocAma /
   ato 'pi na vidyāyāḥ karmaśeṣatvaṃ nāpi tadviṣayāyāḥ	atas api na vidyAyAH karma Seza tvam na api tad vizayAyAH
   phalaśruterayathārthatvaṃ śakyamāśrayitum // 15 //	Pala SruteH ayaTArTa tvam Sakyam ASrayitum // 15 //
   upamardaṃ ca | BBs_3,4.16 |	upamardam ca | BBH _3,4.16 |
   apica karmākārahetoḥ kriyākārakaphalalakṣaṇasya samastasya	api ca karma AkAra hetoH kriyA kAraka Pala lakzaNasya samastasya
   prapañcasyāvidyākṛtasya vidyāsāmarthyātsvarūpopamardamāmananti   'yatra vā	prapaQcasya avidyA kRtasya vidyA sAmarTyAt svarUpa upamardam Amananti  ayatra vA
   asya sarvamātmatmaivābhūttatkena kaṃ paśyettatkena kaṃ jighret' (bṛ.	asya sarvam Atma tmA eva aBUt tat kena kam paSyet tat kena kam jiGret a (bR.
   2.4.14) ityādinā /	2.4.14) ityAdinA /
   vedāntoditātmajñānapūrvikāṃ tu karmādhikārasiddhiṃ pratyāśāsanasya	vedAnta udita Atma jQAna pUrvikAm tu karma aDikAra sidDim pratyASAsanasya
   karmādhikārocchittireva prasajyeta /	karma aDikAra ucCittiH eva prasajyeta /
   tasmādapi svātantryaṃ vidyāyāḥ // 16 //	tasmAt api svAtantryam vidyAyAH // 16 //
   ūrdhvaretassu ca śabde hi | BBs_3,4.17 |	UrDvaretassu ca Sabde hi | BBH _3,4.17 |
   ūrdhvaretaḥsu cāśrameṣu vidyā śrūyate /	UrDvaretaHsu ca ASramezu vidyA SrUyate /
   naca tatra karmāṅgatvaṃ vidyāyā upapadyate /	na ca tatra karma aFga tvam vidyAyAH upapadyate /
   karmābhāvāt /	karma aBAvAt /
   nahyagnihotrādīni vaidikāni karmāṇi teṣāṃ santi /	nahi agnihotra AdIni vEdikAni karmANi tezAm santi /
   syādetat /	syAt etat /
   ūrdhvaretasa āśramā na śrūyante veda iti tadapi nāsti /	UrDvaretasaH ASramAH na SrUyante vedaH iti tat api na asti /
   te 'pi hi vaidikeṣu śabdeṣvavagamyante 'trayo dharmaskandhāḥ' (chā.	te api hi vEdikezu Sabdezu avagamyante atrayaH Darma skanDAH a (CA.
   2.23.1) 'ye ceme 'raṇye śraddhā tapa ityupāsate' (chā. 5.10.1)	2.23.1) aye ca ime araNye SradDA tapaH iti upAsate a (CA. 5.10.1)
   'tapaḥśraddhe yo hyupavasantyaraṇye' (mu. 1.2.11) 'etameva pravājino	atapaH SradDe yaH hi upavasanti araNye a (mu. 1.2.11) aetam eva pravAjinaH 
   lokamicchantaḥ pravajanti' (bṛ. 4.4.22) 'brahmacaryādeva pravrajet' (jā.	lokam icCantaH pravajanti a (bR. 4.4.22) abrahmacaryAt eva pravrajet a (jA.
   4) ityevamādiṣu /	4) iti evamAdizu /
   pratipannāpratipannagārhasthyānāmapākṛtānāpākṛtarṇatrayāṇāṃ	pratipanna apratipanna gArhasTyAnAm apAkRta anApAkRta RNa trayANAm
   cordhvaretastvaṃ śrutismṛtiprasiddham /	ca UrDvaretaH tvam Sruti smRti prasidDam /
   tasmādapi svātantryaṃ vidyāyāḥ // 17 //	tasmAt api svAtantryam vidyAyAH // 17 //
   2 parāmarśādhikaraṇam / sū. 18 20	2 parAmarSa aDikaraNam / sU. 18 20
   parāmarśaṃ jaiminiracodanāccāpavadati hi | BBs_3,4.18 |	parAmarSam jEminiracodanAt ca apavat ati hi | BBH _3,4.18 |
   'trayo dharmaskandhāḥ' (chā. 2.2.3.1) ityādayo ye śabdā	atrayaH Darma skanDAH a (CA. 2.2.3.1) ityAdayaH ye SabdA
   ūrdhvaretasāmāśramāṇāṃ sadbhāvāyodāhṛtā na te tatpratipādanāya prabhavanti	UrDvaretasAm ASramANAm sadBAvAya udAhRtAH na te tad pratipAdanAya praBavanti
   yataḥ parāmarśameṣu śabdeṣvāśramāntarāṇāṃ jaiminirācāryo manyate na vidim	yatas parAmarSamezu Sabdezu ASrama antarANAm jEminiH AcAryaH manyate na vidim
   kutaḥ   nahyatra liṅgādīnāmanyatamaścodanāśabdo 'sti /	kutas  na hi atra liFga AdInAm anyatamaH codanA SabdaH asti /
   arthāntaraparatvaṃ caiṣu pratyekamupalabhyate /	arTa antara para tvam ca ezu pratyekam upalaByate /
   trayo dharmaskandhā ityatra tāvadyajño 'dhyayanaṃ dānamiti prathamastapa	trayaH Darma skanDAH iti atra tAvat yajQaH aDyayanam dAnam iti praTamaH tapa
   eva dvitīyo brahmacāryācāryakulavāsī tṛtīyo 'tyantamātmānamācāryakule	eva dvitIyaH brahmacArI AcArya kula vAsI tRtIyaH atyantam AtmAnam AcArya kule
   'vasādayansarva ete puṇyalokā bhavantīti	avasAdayan sarve ete puNya lokAH Bavanti iti
   parāmarśapūrvakamāśramāṇāmanātyantikaphalatvaṃ saṃkīrtyātyantikaphalatayā	parAmarSa pUrvakam ASramANAm anAtyantika Pala tvam saMkIrti Atyantika Pala tayA
   brahmasaṃsthatā stūyate   'brahmasaṃstho 'mṛtatvameti' (chā. 2.23.1) iti /	brahma saMsTatA stUyate  abrahma saMsTaH amRta tvam eti a (CA. 2.23.1) iti /
   nanu parāmarśe 'pyāśramā gamyanta eva /	nanu parAmarSe api ASramAH gamyante eva /
   satyaṃ gamyante /	satyam gamyante /
   smṛtyācārābhyāṃ tu teṣāṃ prasiddhirna pratyakṣaśruteḥ /	smRti AcArAByAm tu tezAm prasidDiH na pratyakza SruteH /
   ataśca pratyakṣaśrutivirodhe satyanādaraṇīyāste bhaviṣyanti /	atas ca pratyakza Sruti viroDe satyanAda raNIyAH te Bavizyanti /
   anadhikṛtaviṣayā vā /	anaDikRta vizayAH vA /
   nanu gārhasthyamapi sahaivordhvaretobhiḥ parāmṛṣṭaṃ yajño 'dhyayanaṃ	nanu gArhasTyam api saha eva UrDvaretoBiH parAmRzwam yajQaH aDyayanam
   dānamiti prathama iti /	dAnam iti praTamaH iti /
   satyamevaṃ tathāpi tu gṛhasthaṃ pratyevāgnihotrādīnāṃ karmaṇāṃ	satyam evam taTA api tu gRhasTam pratyeva agnihotra AdInAm karmaNAm
   vidhānācchrutiprasiddhameva hi tadastitvam /	viDAnAt Sruti prasidDam eva hi tat astitvam /
   tasmātstutyartha evāyaṃ paramarśo na codanārthaḥ /	tasmAt stuti arTaH eva ayam paramarSaH na codana arTaH /
   apicāpavadati hi pratyakṣā śrutirāśramāntar 'vīrahā vā eṣa devānāṃ yo	api cA apavat ati hi pratyakzA SrutiH ASrama antar avIra hA vE eza devAnAm yaH 
   'gnimudvāsayate', 'ācāryāya priyaṃ dhanamāhṛtya prajātantuṃ mā	agnim udvAsayate a, aAcAryAya priyam Danam AhRtya prajA tantum mA
   vyavacchetsīḥ' (tai. 1.11.1) 'nāputrasya loko 'stīti tatsarve paśavo	vyavacCet sIH a (tE. 1.11.1) anAputrasya lokaH asti iti tat sarve paSavaH 
   viduḥ' ityevamādyā /	viduH a iti evamAdyA /
   tathā 'ye cemeraṇye śraddhā tapa ityupāsate' (chā. 5.10.1) 'tapaḥśraddhe	taTA aye cema iraNye SradDA tapaH iti upAsate a (CA. 5.10.1) atapaH SradDe
   ye hyupāsantyaraṇye' (muṇḍa. 1.2.11) iti ca devayānopadeśo	ye hi upAsanti araNye a (muNxa. 1.2.11) iti ca deva yAna upadeSaH 
   nāśramāntaropadeśaḥ /	na ASrama antara upadeSaH /
   saṃdigdhaṃ cāśramāntarābhidhānam 'tapa eva dvitīyaḥ' (chā. 2.2.3.1)	saMdigDam ca ASrama antara aBiDAnam atapaH eva dvitIyaH a (CA. 2.2.3.1)
   ityevamādiṣu /	iti evamAdizu /
   tathā etameva pravrājino lokamicchantaḥ pravrajanti' (bṛ. 4.4.22) iti	taTA etam eva pravrAjinaH lokam icCantaH pravrajanti a (bR. 4.4.22) iti
   lokasaṃstavo 'yaṃ na pārivrājyavidhiḥ /	loka saMstavaH ayam na pArivrAjya viDiH /
   nanu brahmacaryādeva pravrajeditivispaṣṭamidaṃ pratyakṣaṃ	nanu brahmacaryAt eva pravrajet iti vispazwam idam pratyakzam
   privrājyavidhānaṃ jābālānām /	privrAjya viDAnam jAbAlAnAm /
   satyametat /	satyam etat /
   anapekṣya tvetāṃ śrutimayaṃ vicāra iti draṣṭavyam // 18 //	anapekzya tu etAm Sruti mayam vicAraH iti drazwavyam // 18 //
   anuṣṭheyaṃ bādarāyaṇaḥ sāmyaśruteḥ | BBs_3,4.19 |	anuzWeyam bAdarAyaNaH sAmya SruteH | BBH _3,4.19 |
   anuṣṭheyamāśramāntaraṃ bādarāyaṇa ācāryo manyate /	anuzWeyam ASrama antaram bAdarAyaNaH AcAryaH manyate /
   vede śravaṇāt /	vede SravaNAt /
   agnihotrādīnāṃ	agnihotra AdInAm
   cāvaśyānuṣṭhoyatvāttadvirodhādanadhikṛtānuṣṭheyamāśramāntaramitihīmāṃ	ca avaSya anuzWoya tvAt tad viroDAt anaDikRta anuzWeyam ASrama antaram itihi imAm
   matiṃ nirākaroti gārhasthyavadevāśramāntaramapyanicchatā pratipattavyamiti	matim nirAkaroti gArhasTyavat eva ASrama antaram api anicCatA pratipattavyam iti
   manyamānaḥ /	manyamAnaH /
   kutaḥ sāmyaśruteḥ /	kutas sAmya SruteH /
   samā hi gārhastyenāśramāntarasya parāmarśaśrutirdṛśyate 'trayo	samAH hi gArhastyena ASrama antarasya parAmarSa SrutiH dRSyate atrayo
   dharmaskandhāḥ' (chā. 2.2.3.1)ityādyā /	Darma skanDAH a (CA. 2.2.3.1)itI AdyAH /
   yatheha śrutyantaravihitameva gārhastyaṃ parāmṛṣṭamevāśramāntaramapīti	yaTA iha Sruti antara vihitam eva gArhastyam parAmRzwam eva ASrama antaram api iti
   pratipattavyam /	pratipattavyam /
   yathāca śāstrāntaraprāptayoreva nivītaprācīnavītayoḥ parāmarśa	yaTA ca SAstra antara prAptayoH eva nivIta prAcInavItayoH parAmarSa
   upavītavidhipare vākye /	upavIta viDi pare vAkye /
   tasmāttulyamanuṣṭheyatvaṃ gārhasthyenāśramāntarasya /	tasmAt tulyam anuzWeya tvam gArhasTyena ASrama antarasya /
   tathā 'etameva pravrājino lokamicchantaḥ pravrajanti' (bṛ. 4.4.22) ityasya	taTA aetam eva pravrAjinaH lokam icCantaH pravrajanti a (bR. 4.4.22) iti asya
   vedānuvacanādibhiḥ samabhivyāhāraḥ /	veda anuvacana AdiBiH samaBivyAhAraH /
   'ye ceme 'ramye śraddā tapa ityupāsate' (chā. 5.101) ityasya ca	aye ca ime aramye SraddA tapaH iti upAsate a (CA. 5.101) iti asya ca
   pañcāgnividyayā /	paQca agni vidyayA /
   yattūktam 'tapa eva dvitīyaḥ (chā. 2.2.3.1) ityādiṣvāśramāntarābhidhānaṃ	yat tu uktam atapaH eva dvitIyaH (CA. 2.2.3.1) iti Adizu ASrama antara aBiDAnam
   saṃdigdhamiti /	saMdigDam iti /
   naiṣa doṣaḥ /	na eza dozaH /
   niścayakāraṇasadbhāvāt /	niScaya kAraNa sadBAvAt /
   'trayo dharmaskandhāḥ' (chā. 2.23.1) iti hi dharmaskandhatritvaṃ	atrayaH Darma skanDAH a (CA. 2.23.1) iti hi Darma skanDa tri tvam
   pratijñātam /	pratijQAtam /
   naca yajñādayo bhūyāṃso dharmā utpattibhinnāḥ santo	na ca yajQa AdayaH BUyAMsaH DarmAH utpatti BinnAH santaH 
   'nyatrāśramasaṃbandhātritve 'ntarbhāvayituṃ śakyante /	anyatra ASrama saMbanDa atri tve antar BAvayitum Sakyante /
   tatra yajñādiliṅgo gṛhāśrama eko dharmaskandho nirdiṣṭo brahmacārīti ca	tatra yajQa Adi liFgaH gRhASramaH ekaH Darma skanDaH nirdizwaH brahmacArI iti ca
   spaṣṭa āśramanirdeśastapaityapi ko 'nyastapaḥpradhānādāśramāddharmaskandho	spazwaH ASrama nirdeSaH tapEti api kaH anyaH tapaH praDAnAt ASramAt Darma skanDaH 
   'bhyupagamyeta /	aByupagamyeta /
   'ye ceme 'raṇye' (chā. 5.10.1) iti	aye ca ime araNye a (CA. 5.10.1) iti
   cāraṇyaliṅgācchraddhātapobhyāmāśramagṛhītiḥ /	ca araNya liFgAt SradDA tapoByAm ASrama gRhItiH /
   tasmātparāmarśe 'pyanuṣṭheyamāśramāntaram // 19 //	tasmAt parAmarSe api anuzWeyam ASrama antaram // 19 //
   vidhir vā dhāraṇavat | BBs_3,4.20 |	viDiH vA DAraNa vat | BBH _3,4.20 |
   vidhirivāyamāśramāntarasya na parāmarśamātram /	viDiH iva ayam ASrama antarasya na parAmarSa mAtram /
   nanu vidhitvābhyupagama ekavākyatāpratītiruparudhyeta pratīyate	nanu viDi tvA aByupagamaH eka vAkyatA pratItiH uparuDyeta pratIyate
   cātraikavākyatā puṇyalokaphalāstrayo dharmaskandhā brahmasaṃsthātā	ca atra eka vAkya tA puNya loka PalAH trayaH Darma skanDA brahma saMsTAtA
   tvamṛtatvaphaleti /	tu amRta tva Pala iti /
   satyametat /	satyam etat /
   satīmapi tvekavākyatāpratītiṃ parityajya vidhirevābhyupagantavyo	satIm api tu eka vAkyatA pratItim parityajya viDiH eva aByupagantavyaH 
   'pūrvatvāt /	apUrva tvAt /
   vidhyantarasyādarśanāt /	viDi antarasya adarSanAt /
   vispaṣṭāccāśramāntarapratyayādguṇavādakalpanayaikavākyatvāyojanānupapatteḥ	vispazwAt ca ASrama antara pratyayAt guNavAda kalpa naya eka vAkya tva ayojana anupapatteH
   dhāraṇavat /	DAraNa vat /
   yathā 'adhastatsamidhaṃ dhārayannanudravedupari hi devebhyo dhārayati'	yaTA aaDas tat samiDam DArayan= anudravet upari hi deveByaH DArayati a
   ityatra satyāmapyavirodhodhāraṇainaikavākyatāpratītau vidhīyata	iti atra satyAm api aviroDaH DAraNA ena eka vAkyatA pratItO viDIyata
   evoparidhāraṇamapūrvatvāt /	eva upari DAraNam apUrva tvAt /
   tathācoktaṃ śeṣalakṣaṇe   'vidhistu dhāraṇe 'pūrvatvāt' iti /	taTA ca uktam Seza lakzaNe  aviDiH tu DAraNe apUrva tvAt a iti /
   tadvadihāpyāśramaparāmarśaśrutirvidhiriveti kalpyate /	tadvat iha api ASrama parAmarSa SrutiH viDiH iva iti kalpyate /
   yadāpi parāmarśa evāyamāśramāntarāṇāṃ tadapi brahmasaṃsthatā	yadA api parAmarSaH eva ayam ASrama antarANAm tat api brahma saMsTatA
   tāvatsaṃstavasāmarthyādavaśyaṃ vidheyābhyupagantavyā /	tAvat saMstava sAmarTyAt avaSyam viDeya aByupagantavyA /
   sā ca kiṃ caturṣvāśrameṣu yasya kasyacidāhosvitparivrājakasyaiveti	sA ca kim caturzu ASramezu yasya kasyacid Aha usvit parivrAjakasya eva iti
   vivektavyam /	vivektavyam /
   yadi ca brahmācāryanteṣvāśrameṣu parāmṛśyamāneṣu parivrājako 'pi	yadi ca brahmAcArI antezu ASramezu parAmRSyamAnezu parivrAjakaH api
   parāmṛṣṭastaścaturṇāmapyāśramāṇāṃ	parAmRzwaH taH caturNAm api ASramANAm
   parāmṛṣṭatvāviśeṣādanāśramitvānupapatteśca yaḥ kaściccaturṣvāśrameṣu	parAmRzwa tva aviSezAt anASramitva anupapatteH ca yaH kaScid caturzu ASramezu
   brahmasaṃstho bhaviṣyati /	brahma saMsTaH Bavizyati /
   atha na parāmṛṣṭastataḥ pariśiṣyamāṇaḥ parivrāḍeva brahmasaṃstha iti	aTa na parAmRzwaH tatas pariSizyamANaH parivrAj A iva brahma saMsTaH iti
   saṃtsyati /	saMtsyati /
