   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   paryāyoktaṃ yadanyena Bh_3.8a	paryAya-uktam yat-anyena Bh_3.8a
   paryāyoktaṃ samāhitam Bh_3.1b	paryAya-uktam samAhitam Bh_3.1b
   paśyatīva vibhāvasuḥ Bh_2.92d	paSyati-iva viBAvasuH Bh_2.92d
   pātāṃ vaḥ śambhuśarvāṇyāv Bh_4.27c	pAtAm vaH SamBu-SarvANyO Bh_4.27c
   pātāṃ vaḥ śambhuśārṅgiṇau Bh_4.21d	pAtAm vaH SamBu-SArFgiNO Bh_4.21d
   pātitaśca nabhasvatā Bh_2.80d	pAtitaH-ca naBasvatA Bh_2.80d
   pādābhyāsaṃ tathāvalī Bh_2.9b	pAda-aByAsam taTA-AvalI Bh_2.9b
   pādo jayati siddhastrī- Bh_3.36c	pAdaH jayati sidDa-strI Bh_3.36c
   pārāyaṇarasātalam Bh_6.1b	pArAyaNa-rasAtalam Bh_6.1b
   pārthāya punarāgataḥ Bh_3.7b	pArTAya punar-AgataH Bh_3.7b
   pāsyāmyasyāsṛgāhave Bh_5.39b	pAsyAmi-asya-asRk-Ahave Bh_5.39b
   pituḥ priyāya yāṃ bhīṣmaś Bh_5.43c	pituH priyAya yAm BIzmaH Bh_5.43c
   pitṛkramādhyāsitatādṛśāsanāḥ Bh_2.15d	pitR-krama-aDyAsita-tAdRSa-AsanAH Bh_2.15d
   pibanti kaṭu bheṣajam Bh_5.3d	pibanti kawu Bezajam Bh_5.3d
   puñjībhūtamiva dhvāntam Bh_2.51a	puQjIBUtam-iva DvAntam Bh_2.51a
   puṇḍarīkāsitotpale Bh_2.76d	puNxarIka-asita-utpale Bh_2.76d
   punaruktamidaṃ prāhur Bh_4.12c	punaruktam-idam prAhuH Bh_4.12c
   punaruktaṃ na tadviduḥ Bh_4.14d	punaruktam na tat-viduH Bh_4.14d
   purā gauriti vijñānaṃ Bh_6.19a	purA gOH-iti vijQAnam Bh_6.19a
   puruhūtasabhaṃ yathā Bh_6.38d	puruhUta-saBam yaTA Bh_6.38d
   puro 'dṛśyata nāradaḥ Bh_3.10d	puras adRSyata nAradaH Bh_3.10d
   puṣṇāti nitarāṃ śriyam Bh_6.30d	puzNAti nitarAm Sriyam Bh_6.30d
   puṃsāmātmaiva śaṃsati Bh_2.72d	puMsAm-AtmA-eva SaMsati Bh_2.72d
   puṃsi striyāṃ ca kvasvantam Bh_6.42a	puMsi striyAm ca kvasvantam Bh_6.42a
   puṃskokilakalāpinaḥ Bh_2.90b	puMskokila-kalApinaH Bh_2.90b
   pūrvāparārthavyāghātāt Bh_4.9c	pUrva-apara-arTa-vyAGAtAt Bh_4.9c
   pūrvārthānugato yathā Bh_2.71d	pUrva-arTa-anugataH yaTA Bh_2.71d
   pūrve kṛtayuge yathā Bh_5.57d	pUrve kRta-yuge yaTA Bh_5.57d
   pelavopasthitāṇḍajāḥ Bh_1.49b	pelava-upasTita-aNxajAH Bh_1.49b
   prakāreṇābhidhīyate Bh_3.8b	prakAreNa-aBiDIyate Bh_3.8b
   prakṛtyaiva manoharā Bh_6.30b	prakRtyA-eva manoharA Bh_6.30b
   pracāradharṣitodgāra- Bh_1.48c	pracAra-Darzita-udgAra Bh_1.48c
   prajājanaśreṣṭhavariṣṭhabhūbhṛc- Bh_5.63a	prajAjana-SrezWa-varizWa-BUBRc Bh_5.63a
   praṇamya sārvaṃ sarvajñaṃ Bh_1.1a	praNamya sArvam sarvajQam Bh_1.1a
   praṇālīmukhapātinām Bh_4.16d	praNAlI-muKa-pAtinAm Bh_4.16d
   pratijñāya pituryathā Bh_5.36d	pratijQAya pituH-yaTA Bh_5.36d
   pratijñāya yathā bhīmas Bh_5.39c	pratijQAya yaTA BImaH Bh_5.39c
   pratijñāya suyodhanaḥ Bh_5.41b	pratijQAya suyoDanaH Bh_5.41b
   pratijñāhetudṛṣṭānta- Bh_4.2c	pratijQA-hetu-dRzwAnta Bh_4.2c
   pratijñāṃ pratijānate Bh_5.35d	pratijQAm pratijAnate Bh_5.35d
   pratijñetyabhidhīyate Bh_5.12d	pratijQA-iti-aBiDIyate Bh_5.12d
   pratidiṅmukhamadhvanaḥ Bh_4.37d	pratidiFmuKam-aDvanaH Bh_4.37d
   pratibimbanidarśanam Bh_5.55b	pratibimba-nidarSanam Bh_5.55b
   prativastūpamocyate Bh_2.34b	prativastUpamA-ucyate Bh_2.34b
   pratiṣedha iveṣṭasya Bh_2.68a	pratizeDaH iva-izwasya Bh_2.68a
   pratītaśabdamojasvi Bh_2.18a	pratIta-Sabdam-ojasvi Bh_2.18a
   pratītārthaṃ prasādavat Bh_2.3d	pratIta-arTam prasAda-vat Bh_2.3d
   pratītirartheṣu yatas Bh_6.7a	pratItiH-arTezu yatas Bh_6.7a
   pratyakṣabādhinī tena Bh_5.20a	pratyakza-bADinI tena Bh_5.20a
   pratyakṣamanumā ca te Bh_5.5b	pratyakzam-anumA ca te Bh_5.5b
   pratyakṣamanumānaṃ vā Bh_6.11c	pratyakzam-anumAnam vA Bh_6.11c
   pratyakṣaṃ kalpanāpoḍhaṃ Bh_5.6a	pratyakzam kalpanA-apoXam Bh_5.6a
   pratyakṣaṃ tattvavṛtti hi Bh_5.8d	pratyakzam tattva-vRtti hi Bh_5.8d
   pratyakṣā iva dṛśyante Bh_3.53c	pratyakzAH iva dRSyante Bh_3.53c
   pratyekamasamarthānāṃ Bh_6.9a	pratyekam-asamarTAnAm Bh_6.9a
   prathanāduktasiddhaye Bh_2.73b	praTanAt-ukta-sidDaye Bh_2.73b
   prathamālīḍhamadhavaḥ Bh_5.3c	praTama-AlIXa-maDavaH Bh_5.3c
   prathitavacasaḥ santo 'bhijñāḥ pramāṇamihāpare Bh_5.69c	praTita-vacasaH santaH aBijQAH pramANam-iha-apare Bh_5.69c
   pradāya vittamarthibhyaḥ Bh_3.42a	pradAya vittam-arTiByaH Bh_3.42a
   pradeśasyānumāmiva Bh_5.49d	pradeSasya-anumAm-iva Bh_5.49d
   prabandhaviṣayaṃ guṇam Bh_3.53b	prabanDa-vizayam guNam Bh_3.53b
   pramāṇaviṣayau yathā Bh_6.55b	pramANa-vizayO yaTA Bh_6.55b
   pramāṇaṃ ye 'sya niścitau Bh_6.15d	pramANam ye asya niScitO Bh_6.15d
   pramāṇāni na santi vā Bh_5.18d	pramANAni na santi vA Bh_5.18d
   pramāṇenaiva bādhyate Bh_5.20b	pramANena-eva bADyate Bh_5.20b
   prayuñjīta dviguṃ striyām Bh_6.38b	prayuQjIta dvigum striyAm Bh_6.38b
   prayuñjītāvyayībhāvam Bh_6.34a	prayuQjIta-avyayIBAvam Bh_6.34a
   prayoktuṃ ye na yuktāśca Bh_6.23c	prayoktum ye na yuktAH-ca Bh_6.23c
   prayogaṃ prati sādhavaḥ Bh_6.23b	prayogam prati sADavaH Bh_6.23b
   prayogādyo 'nyathā bhavet Bh_4.22b	prayoga-AdyaH anyaTA Bavet Bh_4.22b
   prayogo na kathaṃ cana Bh_5.40b	prayogaH na kaTam cana Bh_5.40b
   prayogo 'syāśca tadyathā Bh_3.55d	prayogaH asyAH-ca tat-yaTA Bh_3.55d
   pravāsināṃ ca cetāṃsi Bh_2.29c	pravAsinAm ca cetAMsi Bh_2.29c
   pravṛttadānārdrakaṭā mataṅgajāḥ Bh_2.63b	pravRtta-dAna-Ardra-kawAH mataFga-jAH Bh_2.63b
   pravṛtto gauriti dhvaniḥ Bh_6.19d	pravRttaH gOH-iti DvaniH Bh_6.19d
   prasannamṛju komalam Bh_1.34b	prasannam-Rju komalam Bh_1.34b
   prasādaṃ ca sumedhasaḥ Bh_2.1b	prasAdam ca sumeDasaH Bh_2.1b
   prasādi svabhidhānaṃ ca Bh_2.18c	prasAdi su-aBiDAnam ca Bh_2.18c
   prasiddhadharmā pratyakṣa- Bh_5.13c	prasidDa-DarmA pratyakza Bh_5.13c
   prasiddhadharmeti matā Bh_5.19c	prasidDa-DarmA-iti matA Bh_5.19c
   prasiddhe dharmiṇi dhvanau Bh_5.16b	prasidDe DarmiNi DvanO Bh_5.16b
   prahelikā sā hyuditā Bh_2.19c	prahelikA sA hi-uditA Bh_2.19c
   prāgitthaṃ samayaḥ kṛtaḥ Bh_6.13d	prAk-itTam samayaH kRtaH Bh_6.13d
   prāyeṇa durbodhatayā Bh_5.2a	prAyeNa durboDa-tayA Bh_5.2a
   prāyopaveśāya yathā Bh_5.41a	prAyopaveSAya yaTA Bh_5.41a
   prāvartata nadī ghorā Bh_4.36c	prAvartata nadI GorA Bh_4.36c
   prāvṛṣeṇyān nabhasvataḥ Bh_4.31b	prAvRzeNyAt naBasvataH Bh_4.31b
   priyāmimāmutsukayanti yanti ca Bh_2.14d	priyAm-imAm-utsukayanti yanti ca Bh_2.14d
   priyonmanāyate sā te Bh_6.39c	priyA-unmanAyate sA te Bh_6.39c
   prīṇitapraṇayi svādu Bh_3.30a	prINita-praNayi svAdu Bh_3.30a
   prītiṃ karoti kīrtiṃ ca Bh_1.2c	prItim karoti kIrtim ca Bh_1.2c
   prema ghnanti na hi striyaḥ Bh_4.10d	prema Gnanti na hi striyaH Bh_4.10d
   preyo gṛhāgataṃ kṛṣṇam Bh_3.5a	preyaH gRha-Agatam kRzNam Bh_3.5a
   preyo rasavadūrjasvi Bh_3.1a	preyaH rasavat-Urjasvi Bh_3.1a
   phalanimnaiśca śākhibhiḥ Bh_5.64b	Pala-nimnEH-ca SAKiBiH Bh_5.64b
   phalabhedādayaṃ dvidhā Bh_5.22d	Pala-BedAt-ayam dviDA Bh_5.22d
   phalaṃ paśyata śākhinām Bh_3.30d	Palam paSyata SAKinAm Bh_3.30d
   phalino barhiṇo yathā Bh_6.56d	PalinaH barhiNaH yaTA Bh_6.56d
   phale caikasya vaḥ katham Bh_6.18d	Pale ca-ekasya vaH kaTam Bh_6.18d
   phullāḥ surabhayantīme Bh_4.31c	PullAH suraBayanti-ime Bh_4.31c
   phullaiśca kusumairanye Bh_5.64c	PullEH-ca kusumEH-anye Bh_5.64c
   phenavāri mukhāccyutam Bh_4.37b	Pena-vAri muKAt-cyutam Bh_4.37b
   babhurdivīvāmalavigrahā grahāḥ Bh_2.63d	baBuH-divI-iva-amala-vigrahAH grahAH Bh_2.63d
   balākāmālabhāriṇām Bh_2.24b	balAkA-mAla-BAriNAm Bh_2.24b
   balākāḥ paśya suśreṇi Bh_6.44c	balAkAH paSya suSreNi Bh_6.44c
   bahukusumavibhūṣite sa tasthau Bh_5.65c	bahu-kusuma-viBUzite sa tasTO Bh_5.65c
   bahupūraṇamākulam Bh_5.67b	bahu-pUraNam-Akulam Bh_5.67b
   bahuvidhakṛtīrdṛṣṭvānyeṣāṃ svayaṃ paritarkya ca Bh_5.69b	bahuviDa-kRtIH-dRzwvA-anyezAm svayam paritarkya ca Bh_5.69b
   bahusattvāśrayatvācca Bh_3.20c	bahu-sattva-ASraya-tvAt-ca Bh_3.20c
   bahvalaṅkārayogataḥ Bh_3.49b	bahu-alaFkAra-yogataH Bh_3.49b
   bādhinī ceti duṣyati Bh_5.13d	bADinI ca-iti duzyati Bh_5.13d
   bāhyamācakṣate pare Bh_1.14b	bAhyam-Acakzate pare Bh_1.14b
   bibharti praṇayāgatān Bh_2.74d	biBarti praNaya-AgatAn Bh_2.74d
   bibhratsalīlaṃ śaśibhāsamabjam Bh_2.41b	biBrat-sa-lIlam SaSi-BAsam-abjam Bh_2.41b
   buddhau tu sambhavatyetad Bh_4.5c	budDO tu samBavati-etat Bh_4.5c
   bruvate tāṃ yathoditam Bh_3.37d	bruvate tAm yaTA-uditam Bh_3.37d
   brūyānnānyatra paddhateḥ Bh_6.61d	brUyAt-na-anyatra padDateH Bh_6.61d
   bhaktirvā nāsti bhartari Bh_4.41d	BaktiH-vA na-asti Bartari Bh_4.41d
   bhayamāśu pramādinām Bh_4.19d	Bayam-ASu pramAdinAm Bh_4.19d
   bhayaśokābhyasūyāsu Bh_4.14a	Baya-Soka-aByasUyAsu Bh_4.14a
   bharatastvaṃ dilīpastvaṃ Bh_5.59a	BarataH-tvam dilIpaH-tvam Bh_5.59a
   bhartuśchandānuvarttinyaḥ Bh_4.10c	BartuH-Canda-anuvarttinyaH Bh_4.10c
   bhavau śarvau mṛḍāviti Bh_6.32d	BavO SarvO mRxO=-iti Bh_6.32d
   bhāti ṇijvihito yathā Bh_6.44b	BAti NijvihitaH yaTA Bh_6.44b
   bhāmahena krameṇa vaḥ Bh_6.66d	BAmahena krameNa vaH Bh_6.66d
   bhāvikatvamiti prāhuḥ Bh_3.53a	BAvika-tvam-iti prAhuH Bh_3.53a
   bhāvikatvaṃ ca nijagur Bh_3.4c	BAvika-tvam ca nijaguH Bh_3.4c
   bhāsā bimbaphalena ca Bh_2.56d	BAsA bimba-Palena ca Bh_2.56d
   bhinnavṛttamidaṃ yathā Bh_4.25d	Binna-vRttam-idam yaTA Bh_4.25d
   bhinnavṛttaṃ visandhi ca Bh_4.1d	Binna-vRttam visanDi ca Bh_4.1d
   bhinnaṃ geyamivedaṃ tu Bh_1.34c	Binnam geyam-iva-idam tu Bh_1.34c
   bhīmāmbhasaśca jaladheriti vismayo 'sau Bh_6.62d	BIma-amBasaH-ca jalaDeH-iti vismayaH asO Bh_6.62d
   bhuñjmahe yadadhītinaḥ Bh_3.9b	BuQjmahe yat-aDItinaH Bh_3.9b
   bhūtārthāpahnavādasyāḥ Bh_3.21c	BUta-arTa-apahnavAt-asyAH Bh_3.21c
   bhūdharāṇāmupatyakāḥ Bh_2.28d	BUDarANAm-upatyakAH Bh_2.28d
   bhūbhṛtāṃ pītasomānāṃ Bh_4.48a	BUBRtAm pIta-somAnAm Bh_4.48a
   bhūyasāmupadiṣṭānām Bh_2.89a	BUyasAm-upadizwAnAm Bh_2.89a
   bhūyasārthopadeśakṛt Bh_1.21b	BUyasA-arTa-upadeSa-kRt Bh_1.21b
   bhūyastvādiha noditaḥ Bh_5.29d	BUyastvAt-iha na-uditaH Bh_5.29d
   bhūṣaṇopavanasrajaḥ Bh_5.66b	BUzaNa-upavana-srajaH Bh_5.66b
   bhedaṃ ca vadataḥ punaḥ Bh_3.43b	Bedam ca vadataH punar Bh_3.43b
   bhedāt te ca caturvidhāḥ Bh_6.21b	BedAt te ca caturviDAH Bh_6.21b
   bhedādatrābhidhīyate Bh_2.37d	BedAt-atra-aBiDIyate Bh_2.37d
   bhedādiṣṭaṃ dvayaṃ tu naḥ Bh_1.15d	Beda-Adizwam dvayam tu naH Bh_1.15d
   bhedenānena vartmanā Bh_5.32b	Bedena-anena vartmanA Bh_5.32b
   bhedaiḥ śliṣṭamapi tribhiḥ Bh_3.1d	BedEH Slizwam-api triBiH Bh_3.1d
   bhramati bhramaramālā kānaneṣūnmadāsau Bh_4.26/a	Bramati Bramara-mAlA kAnanezu-unmada-asO Bh_4.26/a
   bhrāturbhrātṛvyamunmathya Bh_5.39a	BrAtuH-BrAtRvyam-unmaTya Bh_5.39a
   matupprakaraṇe jyotsnā- Bh_6.56a	matupprakaraNe jyotsnA Bh_6.56a
   madaklinnakapolānāṃ Bh_1.58a	mada-klinna-kapolAnAm Bh_1.58a
   madāndhamātaṅgavibhinnasālā Bh_3.57a	mada-anDa-mAtaFga-viBinna-sAlAH Bh_3.57a
   madirāmadapāṭalam Bh_3.38b	madirA-mada-pAwalam Bh_3.38b
   madena mukharā muhuḥ Bh_3.22b	madena muKarAH muhur Bh_3.22b
   mado janayati prītiṃ Bh_2.27a	madaH janayati prItim Bh_2.27a
   madhyame pīḍitarṣabhaḥ Bh_4.33d	maDyame pIxita-RzaBaH Bh_4.33d
   manojñabhīmaṃ vapurāpa kṛṣṇaḥ Bh_2.58b	manojQa-BImam vapuH-Apa kRzNaH Bh_2.58b
   manovākkāyakarmabhiḥ Bh_1.1b	manaH-vAc-kAya-karmaBiH Bh_1.1b
   mantavyāḥ kāvyahetavaḥ Bh_1.9d	mantavyAH kAvya-hetavaH Bh_1.9d
   mantradūtaprayāṇāji- Bh_1.20a	mantra-dUta-prayANa-aji Bh_1.20a
   mandāḥ sāṅketikānarthān Bh_6.14c	mandAH sa-aFketikAn-arTAn Bh_6.14c
   manyante 'tiśayoktiṃ tām Bh_2.81c	manyante atiSaya-uktim tAm Bh_2.81c
   manyante pāramārthikān Bh_6.14d	manyante pAramArTikAn Bh_6.14d
   manyante sudhiyo 'pare Bh_1.31b	manyante suDiyaH apare Bh_1.31b
   manyante sudhiyo 'pare Bh_2.6b	manyante suDiyaH apare Bh_2.6b
   manyumadbhirarātibhiḥ Bh_4.42b	manyumadBiH-arAtiBiH Bh_4.42b
   mama putraḥ pitā mama Bh_4.43b	mama putraH pitA mama Bh_4.43b
   mayā prakḷptā khalu vāgalaṅkṛtiḥ Bh_2.96b	mayA prak?ptA Kalu vAc-alaFkRtiH Bh_2.96b
   marmāṇi parihṛtyāsya Bh_4.42c	marmANi parihRtya-asya Bh_4.42c
   malaye kandaropānta- Bh_4.29a	malaye kandara-upAnta Bh_4.29a
   malīmasamivāñjanam Bh_1.55d	malImasam-iva-aQjanam Bh_1.55d
   maskariṇyatirohitā Bh_3.6d	maskariNI-ati-rohitA Bh_3.6d
   mahatāṃ ca mahacca yat Bh_1.19b	mahatAm ca mahat-ca yat Bh_1.19b
   mahāntaḥ prājyavarṣiṇaḥ Bh_3.19b	mahAntaH prAjya-varziNaH Bh_3.19b
   mahānto guravaḥ sthirāḥ Bh_3.28b	mahAntaH guravaH sTirAH Bh_3.28b
   mahāsenātmajāmiti Bh_5.38b	mahAsena-AtmajAm-iti Bh_5.38b
   mātulo bhāgineyaśca Bh_4.43c	mAtulaH BAgineyaH-ca Bh_4.43c
   mādhuryamabhivāñchantaḥ Bh_2.1a	mADuryam-aBivAQCantaH Bh_2.1a
   mādhyasthyādbhavati na kasyacitpramāṇam Bh_6.63d	mADyasTyAt-Bavati na kasyacid-pramANam Bh_6.63d
   mānadaṇḍo rathāṅginaḥ Bh_3.36b	mAna-daNxaH raTAFginaH Bh_3.36b
   māyānāṃ sutarāṃ matau Bh_6.57d	mAyAnAm sutarAm matO Bh_6.57d
   māyeva bhadreti yathā Bh_1.39a	mAyA-iva BadrA-iti yaTA Bh_1.39a
   mārgadrumā mahāntaśca Bh_3.18c	mArga-drumAH mahAntaH-ca Bh_3.18c
   mārjantyadhararāgaṃ te Bh_6.31c	mArjanti-aDara-rAgam te Bh_6.31c
   mālākāro racayati yathā sādhu vijñāya mālāṃ Bh_1.59c	mAlAkAraH racayati yaTA sADu vijQAya mAlAm Bh_1.59c
   mālinīraṃśukabhṛtaḥ Bh_2.28a	mAlinIH-aMSuka-BRtaH Bh_2.28a
   mālopamādiḥ sarvo 'pi Bh_2.38c	mAlA-upama-AdiH sarvaH api Bh_2.38c
   muktākarpūracakrāgarukamanaśilāsthāsakavyāptatīraḥ Bh_5.68b	muktA-karpUra-cakra-agaru-kamana-SilA-sTAsa-ka-vyApta-tIraH Bh_5.68b
   mukhaṃ padmamivetyatra Bh_5.56c	muKam padmam-iva-iti-atra Bh_5.56c
   mukhendunavadarpaṇaḥ Bh_3.36d	muKa-indu-navat-arpaNaH Bh_3.36d
   mukhyastāvadayaṃ nyāyo Bh_6.6a	muKyaH-tAvat-ayam nyAyaH Bh_6.6a
   mudhādau grahaṇastavau Bh_1.23d	muDA-AdO grahaNa-stavO Bh_1.23d
   munivadvacanāditi Bh_5.43b	muni-vat-vacanAt-iti Bh_5.43b
   munīnapi harantyete Bh_2.13c	munIn-api haranti-ete Bh_2.13c
   mṛgyatāmaparo dhvaniḥ Bh_6.17d	mRgyatAm-aparaH DvaniH Bh_6.17d
   mṛtimāhurmanīṣiṇaḥ Bh_1.12d	mRtim-AhuH-manIziNaH Bh_1.12d
   yatirmama pitā bālyāt Bh_5.14c	yatiH-mama pitA bAlyAt Bh_5.14c
   yatiśchando 'dhirūḍhānāṃ Bh_4.24a	yatiH-CandaH aDirUXAnAm Bh_4.24a
   yatkiṃcitkāntisāmānyāc Bh_2.44c	yat-kiMcid-kAnti-sAmAnyAt Bh_2.44c
   yatno viditavedyena Bh_1.8c	yatnaH vidita-vedyena Bh_1.8c
   yatno 'syāṃ kavinā kāryaḥ Bh_2.85c	yatnaH asyAm kavinA kAryaH Bh_2.85c
   yatra tatparamārthataḥ Bh_6.11d	yatra tad-paramArTataH Bh_6.11d
   yatra tenaiva tasya syād Bh_3.45a	yatra tena-eva tasya syAt Bh_3.45a
   yatra dṛṣṭāntamātreṇa Bh_5.58a	yatra dRzwAnta-mAtreNa Bh_5.58a
   yatra paryāyato bhavet Bh_3.37b	yatra paryAyataH Bavet Bh_3.37b
   yatrārthā bhūtabhāvinaḥ Bh_3.53d	yatra-arTAH BUta-BAvinaH Bh_3.53d
   yatrokte gamyate 'nyo 'rthas Bh_2.79a	yatra-ukte gamyate anyaH arTaH Bh_2.79a
   yatrokte jāyate matiḥ Bh_1.50b	yatra-ukte jAyate matiH Bh_1.50b
   yat svaśaktyā pravartate Bh_6.6b	yat sva-SaktyA pravartate Bh_6.6b
   yathā.ajihladadityādi Bh_1.53a	yaTA.ajihladat-ityAdi Bh_1.53a
   yathā kamalapatrākṣī Bh_2.32c	yaTA kamala-patra-akzI Bh_2.32c
   yathā kṣatriyayoṣitām Bh_3.10b	yaTA kzatriya-yozitAm Bh_3.10b
   yathā tadvadasādhīyaḥ Bh_1.58c	yaTA tadvat-asADIyaH Bh_1.58c
   yathā na vyeti cārutā Bh_6.42d	yaTA na vyeti cAru-tA Bh_6.42d
   yathā paṭayatītyādi Bh_6.33a	yaTA pawayati-ityAdi Bh_6.33a
   yathāprakṛtamucyate Bh_4.7d	yaTAprakRtam-ucyate Bh_4.7d
   yathābuddhi vidhāsyate Bh_1.1d	yaTAbudDi viDAsyate Bh_1.1d
   yathābhito vanābhogam Bh_5.48c	yaTA-aBitas vana-ABogam Bh_5.48c
   yathā mandārakusuma- Bh_2.2c	yaTA mandAra-kusuma Bh_2.2c
   yathā vanamupāgatam Bh_3.11d	yaTA vanam-upAgatam Bh_3.11d
   yathā viklinnagaṇḍānāṃ Bh_1.57c	yaTA viklinna-gaNxAnAm Bh_1.57c
   yathā vidvānadhīte 'sau Bh_6.35c	yaTA vidvAn-aDIte asO Bh_6.35c
   yathā śīto 'nalo nāsti Bh_5.20c	yaTA SItaH analaH na-asti Bh_5.20c
   yathā śucistanustrīṇi Bh_5.18c	yaTA SuciH-tanuH-trINi Bh_5.18c
   yathāsaṃkhyamathotprekṣām Bh_2.88a	yaTAsaMKyam-aTa-utprekzAm Bh_2.88a
   yathāsaṃkhyaṃ taducyate Bh_2.89d	yaTAsaMKyam tat-ucyate Bh_2.89d
   yathāha gaccha gaccheti Bh_4.14c	yaTA-Aha gacCa gacCa-iti Bh_4.14c
   yathāha varuṇāvindrau Bh_6.32c	yaTA-Aha varuNO=-indrO Bh_6.32c
   yatheyaṃ bhūḥ kumudvatī Bh_6.52b	yaTA-iyam BUH kumudvatI Bh_6.52b
   yathevavatibhirvinā Bh_3.33d	yaTA-iva-vatiBiH-vinA Bh_3.33d
   yathevaśabdau sādṛśyam Bh_2.31a	yaTA-iva-SabdO sAdRSyam Bh_2.31a
   yathevānabhidhāne 'pi Bh_2.34c	yaTeva-anaBiDAne api Bh_2.34c
   yathaitacchyāmamābhāti Bh_6.60c	yaTA-etat-SyAmam-ABAti Bh_6.60c
   yathocyate 'mbhasā bhāsā Bh_6.41c	yaTA-ucyate amBasA BAsA Bh_6.41c
   yathoditaṃ balabhidā Bh_6.40c	yaTA-uditam balaBidA Bh_6.40c
   yathopadeśaṃ kramaśo Bh_4.20a	yaTopadeSam kramaSas Bh_4.20a
   yathopapatti kṛtibhir Bh_2.43c	yaTopapatti kRtiBiH Bh_2.43c
   yadaniṣṭaṃ prakalpate Bh_1.52b	yat-anizwam prakalpate Bh_1.52b
   yadabhinnārthamanyonyaṃ Bh_4.12a	yat-aBinna-arTam-anyonyam Bh_4.12a
   yadarthasyoditādṛte Bh_2.71b	yad-arTasya-uditAt-Rte Bh_2.71b
   yadalaṅghitamaryādāś Bh_3.28c	yad-alaFGita-maryAdAH Bh_3.28c
   yadi kāvyaśarīrasya Bh_1.23a	yadi kAvya-SarIrasya Bh_1.23a
   yadi gaurityayaṃ śabdaḥ Bh_6.17a	yadi gOH-iti-ayam SabdaH Bh_6.17a
   yadi cotkaṇṭhayā yattad Bh_1.44a	yadi ca-utkaNWayA yat-tat Bh_1.44a
   yadi vopekṣitaṃ tasya Bh_4.41a	yadi vA-upekzitam tasya Bh_4.41a
   yadi sādṛśyamucyate Bh_2.64b	yadi sAdRSyam-ucyate Bh_2.64b
   yaduktaṃ triprakāratvaṃ Bh_2.37a	yat-uktam tri-prakAra-tvam Bh_2.37a
   yadupravīraḥ pragṛhītaśārṅgaḥ Bh_2.41c	yadu-pravIraH pragRhIta-SArFgaH Bh_2.41c
   yadṛcchāśabdamapyanye Bh_6.21c	yadRcCA-Sabdam-api-anye Bh_6.21c
   yadviśeṣanidarśanam Bh_2.75b	yad-viSeza-nidarSanam Bh_2.75b
   yamakavyapadeśinī Bh_2.19b	yamaka-vyapadeSinI Bh_2.19b
   yamakaṃ kṛtināṃ matam Bh_2.18d	yamakam kRtinAm matam Bh_2.18d
   yamakaṃ tannigadyate Bh_2.17d	yamakam tat-nigadyate Bh_2.17d
   yaśasāmambhasāmiti Bh_6.41d	yaSasAm-amBasAm-iti Bh_6.41d
   yasyātiśayavānarthaḥ Bh_2.50a	yasya-atiSayavAn-arTaH Bh_2.50a
   yasyārthaḥ kṛtibhirbalāt Bh_1.38b	yasya-arTaH kRtiBiH-balAt Bh_1.38b
   yā guṇāntarasaṃsthitiḥ Bh_3.23b	yA guNa-antara-saMsTitiH Bh_3.23b
   yā deśe dravyasambhūtir Bh_4.28a	yA deSe dravya-samBUtiH Bh_4.28a
   yānti vāsāya pakṣiṇaḥ Bh_2.87b	yAnti vAsAya pakziNaH Bh_2.87b
   yāvatkīrtiranaśvarī Bh_1.7b	yAvat-kIrtiH-anaSvarI Bh_1.7b
   yā viśeṣābhidhānāya Bh_3.25c	yA viSeza-aBiDAnAya Bh_3.25c
   yāṃ vadatyupamāmetad Bh_3.35c	yAm vadati-upamAm-etat Bh_3.35c
   yuktaṃ lokasvabhāvena Bh_1.21c	yuktam loka-svaBAvena Bh_1.21c
   yuktaṃ vakrasvabhāvoktyā Bh_1.30c	yuktam vakra-svaBAva-uktyA Bh_1.30c
   yuktā nocchāsavatyapi Bh_1.28b	yuktA na-ucCAsavatI-api Bh_1.28b
   yuktyānayā madhyamayā Bh_2.7c	yuktyA-anayA maDyamayA Bh_2.7c
   yugādau bhagavān brahmā Bh_2.55c	yuga-AdO BagavAn brahmA Bh_2.55c
   yuckurajvarajiṣṇucaḥ Bh_6.48d	yuckura-jvara-jizNu-caH Bh_6.48d
   yuvayoḥ prājyaratnayoḥ Bh_3.50b	yuvayoH prAjya-ratnayoH Bh_3.50b
   yenāgopratiṣedhāya Bh_6.19c	yena-ago-pratizeDAya Bh_6.19c
   ye 'bhiprāyaṃ kaverimam Bh_4.45b	ye aBiprAyam kaveH-imam Bh_4.45b
   yojanāṃ pratijānate Bh_5.6d	yojanAm pratijAnate Bh_5.6d
   yojyaṃ kāvyeṣvavahitadhiyā tadvadevābhidhānam Bh_1.59d	yojyam kAvyezu-avahita-DiyA tadvat-eva-aBiDAnam Bh_1.59d
   yo viśeṣābhidhitsayā Bh_2.68b	yaH viSeza-aBiDitsayA Bh_2.68b
   yo 'sthāne racanāvidhiḥ Bh_4.25b	yaH asTAne racanA-viDiH Bh_4.25b
   racitā ratnamāleva Bh_3.49c	racitAH ratna-mAlA-iva Bh_3.49c
