   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   yad asau codanāphalam HSvs_[10.1]594b	yat asO codanA-Palam HSvH-_[10.1]594b
   yadi jñāne 'pi bhedaḥ syāt HSvs_[4.4]322c	yadi jQAne api BedaH syAt HSvH-_[4.4]322c
   yadi tenaiva vijñānaṃ HSvs_[4.4]317a	yadi tena-eva vijQAnam HSvH-_[4.4]317a
   yadi nāma kvacid dṛṣṭaḥ HSvs_[2.1]116a	yadi nAma kvacid dRzwaH HSvH-_[2.1]116a
   yadi nāma na gṛhyate HSvs_[5.1]383b	yadi nAma na gRhyate HSvH-_[5.1]383b
   yadi nityaṃ tadātmaiva HSvs_[1.4]89a	yadi nityam tad-AtmA-eva HSvH-_[1.4]89a
   yadi samyak pravartate HSvs_[11.2]683b	yadi samyak pravartate HSvH-_[11.2]683b
   yadi samyag nirūpyate HSvs_[1.1]17b	yadi samyak nirUpyate HSvH-_[1.1]17b
   yadi samyag nirūpyate HSvs_[1.1]27b	yadi samyak nirUpyate HSvH-_[1.1]27b
   yadi sāmarthyam iṣyate HSvs_[4.4]304b	yadi sAmarTyam izyate HSvH-_[4.4]304b
   yadīyaṃ bhūtadharmaḥ syāt HSvs_[1.2]32a	yadi-iyam BUta-DarmaH syAt HSvH-_[1.2]32a
   yad uktaṃ tan nirākṛtam HSvs_[7.1]501b	yat uktam tat nirAkRtam HSvH-_[7.1]501b
   yad uktaṃ nyāyamāninā HSvs_[4.2]269b	yat uktam nyAya-mAninA HSvH-_[4.2]269b
   yad uktaṃ pūrvasūribhiḥ HSvs_[7.1]519b	yat uktam pUrva-sUriBiH HSvH-_[7.1]519b
   yad uktaṃ sūkṣmabuddhinā HSvs_[4.3]296b	yat uktam sUkzma-budDinA HSvH-_[4.3]296b
   yad ekāntanibandhanaḥ HSvs_[7.1]496d	yat ekAnta-nibanDanaH HSvH-_[7.1]496d
   yad dṛṣṭaṃ gorasānvitam HSvs_[6.3]448b	yat dRzwam gorasa-anvitam HSvH-_[6.3]448b
   yad yadaiva yato yāvat HSvs_[2.2]174a	yat yadA-eva yatas yAvat HSvH-_[2.2]174a
   yady ahetuka eva saḥ HSvs_[1.1]24d	yadi ahetukaH eva saH HSvH-_[1.1]24d
   yady etad upapadyate HSvs_[5.1]395d	yadi etat upapadyate HSvH-_[5.1]395d
   yadrūpādi tatas tatra HSvs_[4.7]370c	yad-rUpa-Adi tatas tatra HSvH-_[4.7]370c
   yadvadekāntabhedādau HSvs_[7.1]511c	yadvat-ekAnta-Beda-AdO HSvH-_[7.1]511c
   yad vā tad deśanārhataḥ HSvs_[6.5]465d	yat vA tat deSanA-arhataH HSvH-_[6.5]465d
   yad vaitad api sāmpratam HSvs_[1.4]95b	yat vA-etat api sAmpratam HSvH-_[1.4]95b
   yad hetuhetumadbhāvas HSvs_[4.4]323c	yat hetu-hetum-at-BAvaH HSvH-_[4.4]323c
   yannivṛttau na yasyeha HSvs_[7.1]521a	yat-nivRttO na yasya-iha HSvH-_[7.1]521a
   yamādi tadabhāve ca HSvs_[3.2]226c	yama-Adi tad-aBAve ca HSvH-_[3.2]226c
   yas tathāvidhakāryakṛt HSvs_[6.1]417d	yaH taTAviDa-kArya-kRt HSvH-_[6.1]417d
   yas tarkeṇānusaṃdhatte HSvs_[3.1]210c	yaH tarkeNa-anusaMDatte HSvH-_[3.1]210c
   yasti kiñcid alaukikam HSvs_[10.1]602b	yasti kiQcid alOkikam HSvH-_[10.1]602b
   yasmāt kāraṇakāraṇam HSvs_[4.6]337b	yasmAt kAraNa-kAraNam HSvH-_[4.6]337b
   yasmāt tasyāpy adas tulyaṃ HSvs_[6.1]423a	yasmAt tasya-api adaH tulyam HSvH-_[6.1]423a
   yasminn eva tu saṃtāne HSvs_[4.1]246a	yasmin eva tu saMtAne HSvH-_[4.1]246a
   yaṃ buddhaṃ bodhayantaḥ śikhijalamarutas tuṣṭuvur lokavṛttyai	yam budDam boDayantaH SiKi-jala-marutaH tuzwuvuH loka-vRttyE
   HSvs_[11.4]701a	HSvH-_[11.4]701a
   yaṃ śrutvā sarvaśāstreṣu HSvs_[1.1]2a	yam SrutvA sarva-SAstrezu HSvH-_[1.1]2a
   yaḥ kartā karmabhedānāṃ HSvs_[1.4]90a	yaH kartA karma-BedAnAm HSvH-_[1.4]90a
   yaḥ kevalānalagrāhi- HSvs_[4.6]338a	yaH kevala-anala-grAhi HSvH-_[4.6]338a
   yā kriyā sā kriyocyate HSvs_[11.2]686b	yA kriyA sA kriyA-ucyate HSvH-_[11.2]686b
   yā ca lūnapunarjāta- HSvs_[7.1]540a	yA ca lUna-punar-jAta HSvH-_[7.1]540a
   yā tvadbuddhir ihedṛśī HSvs_[2.1]128b	yA tvad-budDiH iha-IdRSI HSvH-_[2.1]128b
   yāpi rūpādisāmagrī HSvs_[4.4]303a	yA-api rUpa-Adi-sAmagrI HSvH-_[4.4]303a
   yāvatām asti tanmānaṃ HSvs_[6.6]475a	yAvatAm asti tat-mAnam HSvH-_[6.6]475a
   yāvad evaṃvidhaṃ naivaṃ HSvs_[2.1]147a	yAvat evaMviDam na-evam HSvH-_[2.1]147a
   yuktaṃ śāstrakṛtaśramāḥ HSvs_[7.1]477d	yuktam SAstra-kRta-SramAH HSvH-_[7.1]477d
   yuktaḥ samyag vicintyatām HSvs_[1.2]60d	yuktaH samyak vicintyatAm HSvH-_[1.2]60d
   -yuktābhyupagamakṣateḥ HSvs_[4.4]321d	-yukta-aByupagama-kzateH HSvH-_[4.4]321d
   yuktā hy uktasvabhāvatā HSvs_[4.4]311b	yuktA hi ukta-svaBAva-tA HSvH-_[4.4]311b
   yuktimārgakṛtaśramāḥ HSvs_[11.1]644b	yukti-mArga-kRta-SramAH HSvH-_[11.1]644b
   yuktimārgānusāribhiḥ HSvs_[1.2]78d	yukti-mArga-anusAriBiH HSvH-_[1.2]78d
   yuktiyuktā vyavasthitiḥ HSvs_[5.1]399b	yukti-yuktA vyavasTitiH HSvH-_[5.1]399b
   yuktyayogāś ca yo 'rthasya HSvs_[5.1]390a	yukti-ayogAH ca yaH arTasya HSvH-_[5.1]390a
   yuktyā tu bādhyate yasmāt HSvs_[3.2]215a	yuktyA tu bADyate yasmAt HSvH-_[3.2]215a
   yuktyā yukto na jātucit HSvs_[11.1]661b	yuktyA yuktaH na jAtucit HSvH-_[11.1]661b
   yuktyā vicāryamāṇeha HSvs_[4.4]315c	yuktyA vicAryamANA-iha HSvH-_[4.4]315c
   yuktyā hetvantaraṃ vinā HSvs_[1.4]92d	yuktyA hetu-antaram vinA HSvH-_[1.4]92d
   yugapad viśvasaṃbhavaḥ HSvs_[2.2]187b	yugapad viSva-saMBavaH HSvH-_[2.2]187b
   yujyate tat kathaṃcana HSvs_[1.2]74b	yujyate tat kaTaMcanaH HSvH-_[1.2]74b
   yujyate na kadācana HSvs_[6.4]451d	yujyate na kadAcana HSvH-_[6.4]451d
   yujyate na hy anīdṛśaḥ HSvs_[4.6]346b	yujyate na hi anIdRSaH HSvH-_[4.6]346b
   yujyate nānyataḥ kvacit HSvs_[10.1]626d	yujyate na-anyatas kvacid HSvH-_[10.1]626d
   yujyate niścayaḥ kvacit HSvs_[7.1]483b	yujyate niScayaH kvacid HSvH-_[7.1]483b
   yujyate niścayaḥ paraḥ HSvs_[7.1]500d	yujyate niScayaH paraH HSvH-_[7.1]500d
   yujyate mukhyavṛttitaḥ HSvs_[7.1]535d	yujyate muKya-vRttitaH HSvH-_[7.1]535d
   yujyate 'syā vicitratā HSvs_[2.2]182b	yujyate asyAH vicitra-tA HSvH-_[2.2]182b
   yujyate hy etad apy asya HSvs_[4.2]250c	yujyate hi etat api asya HSvH-_[4.2]250c
   yuvā na lajjate cānyas HSvs_[7.1]505c	yuvA na lajjate ca-anyaH HSvH-_[7.1]505c
   yuvaiva na ca vṛddho 'pi HSvs_[7.1]506a	yuvA-eva na ca vRdDaH api HSvH-_[7.1]506a
   yena kena prakāreṇa HSvs_[4.6]352c	yena kena prakAreNa HSvH-_[4.6]352c
   yenākāreṇa bhedaḥ kiṃ HSvs_[7.1]516a	yena-AkAreNa BedaH kim HSvH-_[7.1]516a
   yogād veti na tatphalam HSvs_[4.3]300d	yogAt vA-iti na tad-Palam HSvH-_[4.3]300d
   yogināṃ tu na vidyate HSvs_[11.1]663d	yoginAm tu na vidyate HSvH-_[11.1]663d
   yogipratyayatadbhāve HSvs_[7.1]538c	yogi-pratyaya-tad-BAve HSvH-_[7.1]538c
   yogivyaktaṃ sa āgamaḥ HSvs_[10.2]641d	yogi-vyaktam saH AgamaH HSvH-_[10.2]641d
   yogyatām adhikṛtyātha HSvs_[5.1]380a	yogyatAm aDikRtya-aTa HSvH-_[5.1]380a
   yo 'nyatrāpi pravartate HSvs_[11.2]688b	yaH anyatra-api pravartate HSvH-_[11.2]688b
   yo 'py ekasyānyato bhāvaḥ HSvs_[4.3]295a	yaH api ekasya-anyatas BAvaH HSvH-_[4.3]295a
   ramate na bhavodadhau HSvs_[9.1]560d	ramate na BavodaDO HSvH-_[9.1]560d
   rasavīryavipākādi- HSvs_[1.2]57c	rasa-vIrya-vipAka-Adi HSvH-_[1.2]57c
   rāgādikleśavargo yan HSvs_[5.2]405a	rAga-Adi-kleSa-vargaH yat HSvH-_[5.2]405a
   rāgādikleśavāsitam HSvs_[5.2]404b	rAga-Adi-kleSa-vAsitam HSvH-_[5.2]404b
   rājan na śraddadhāmy aham HSvs_[11.2]691d	rAjan na SraddaDAmi aham HSvH-_[11.2]691d
   rāmādīnāṃ yathaiva hi HSvs_[11.1]659b	rAma-AdInAm yaTA-eva hi HSvH-_[11.1]659b
   rāhuṇā janmapīḍanāt HSvs_[4.3]292d	rAhuNA janma-pIxanAt HSvH-_[4.3]292d
   rūpakṣaṇo hy abuddhitvāt HSvs_[4.4]318c	rUpakzaNaH hi abudDi-tvAt HSvH-_[4.4]318c
   rūpaṃ naṣṭākṣirogavat HSvs_[9.1]561d	rUpam nazwa-akzi-roga-vat HSvH-_[9.1]561d
   rūpaṃ yena svabhāvena HSvs_[4.4]316a	rUpam yena svaBAvena HSvH-_[4.4]316a
   rūpādijanako nanu HSvs_[4.4]319b	rUpa-Adi-janakaH nanu HSvH-_[4.4]319b
   rūpādīnāṃ tataḥ kārya- HSvs_[4.4]304c	rUpa-AdInAm tatas kArya HSvH-_[4.4]304c
   rūpādīnāṃ prakalpyate HSvs_[4.4]313b	rUpa-AdInAm prakalpyate HSvH-_[4.4]313b
   rūpādau tadanantaram HSvs_[4.7]370b	rUpa-AdO tad-anantaram HSvH-_[4.7]370b
   rūpālokādikaṃ kāryam HSvs_[4.4]305a	rUpa-Aloka-Adikam kAryam HSvH-_[4.4]305a
   rūpe 'ndhasy eva sarvathā HSvs_[10.1]625d	rUpe anDasi eva sarvaTA HSvH-_[10.1]625d
   rūpopādānakāraṇam HSvs_[4.4]316b	rUpa-upAdAna-kAraNam HSvH-_[4.4]316b
   -retaragrahaṇātmakaḥ HSvs_[4.6]334b	-retara-grahaNa-AtmakaH HSvH-_[4.6]334b
   rogaśokādyupadrutaḥ HSvs_[9.1]563b	roga-Soka-Adi-upadrutaH HSvH-_[9.1]563b
   lakṣyate tattvavedinā HSvs_[6.6]476d	lakzyate tattva-vedinA HSvH-_[6.6]476d
   lajjate bālyacaritair HSvs_[7.1]505a	lajjate bAlya-caritEH HSvH-_[7.1]505a
   lambanaṃ na tad iṣyate HSvs_[5.1]376b	lambanam na tat izyate HSvH-_[5.1]376b
   liṅgadharmātipātāc ca HSvs_[6.4]461c	liFga-Darma-atipAtAt ca HSvH-_[6.4]461c
   liṅgam apy avinābhāvi HSvs_[10.1]581c	liFgam api avinABAvi HSvH-_[10.1]581c
   leśam āsvādayan buddhaḥ HSvs_[9.1]570b	leSam AsvAdayan budDaH HSvH-_[9.1]570b
   lokasiddhāśraye tv ātmā HSvs_[1.2]39c	loka-sidDa-ASraye tu AtmA HSvH-_[1.2]39c
   lokasiddheti siddhaiva HSvs_[1.2]62c	loka-sidDa-iti sidDA-eva HSvH-_[1.2]62c
   lokāyatamataṃ prājñair HSvs_[1.5]110a	lokAyata-matam prAjQEH HSvH-_[1.5]110a
   loke kvacid akarmakam HSvs_[5.1]401b	loke kvacid akarmakam HSvH-_[5.1]401b
   loke guṇādivijñānaṃ HSvs_[10.2]629c	loke guNa-Adi-vijQAnam HSvH-_[10.2]629c
   loke 'pi naikataḥ sthānād HSvs_[1.2]41a	loke api na-ekatas sTAnAt HSvH-_[1.2]41a
   vaktṛvyāpārabhāveti HSvs_[10.1]615a	vaktRvyApAra-BAva-iti HSvH-_[10.1]615a
   vaktṛvyāpāravaikalye HSvs_[10.1]614c	vaktR-vyApAra-vEkalye HSvH-_[10.1]614c
   vaktyavarṇaṃ na buddhānāṃ HSvs_[11.1]661c	vakti-avarNam na budDAnAm HSvH-_[11.1]661c
   vakṣyāmi hitakāmyayā HSvs_[1.1]1b	vakzyAmi hita-kAmyayA HSvH-_[1.1]1b
   vacanāntarabādhanāt HSvs_[2.1]157d	vacana-antara-bADanAt HSvH-_[2.1]157d
   vacanenāpareṇa vaḥ HSvs_[10.1]612d	vacanena-apareNa vaH HSvH-_[10.1]612d
   vacas tuccham idaṃ nanu HSvs_[6.4]456b	vacaH tucCam idam nanu HSvH-_[6.4]456b
   vaco dravyavyapekṣayā HSvs_[10.1]615d	vacaH dravya-vyapekzayA HSvH-_[10.1]615d
   vandhyetarādiko bhedo HSvs_[11.1]659a	vanDyetara-AdikaH BedaH HSvH-_[11.1]659a
   varjyaṃ nāstikadarśanam HSvs_[1.5]112d	varjyam nAstika-darSanam HSvH-_[1.5]112d
   varṇāśramavyavasthāpi HSvs_[10.1]590a	varNa-ASrama-vyavasTA-api HSvH-_[10.1]590a
   varttante 'tha nivarttante HSvs_[2.2]170c	varttante aTa nivarttante HSvH-_[2.2]170c
   vastunas tatsvabhāvatvāt HSvs_[7.1]530c	vastunaH tad-svaBAva-tvAt HSvH-_[7.1]530c
   vastunaḥ kalpyamāno 'pi HSvs_[2.1]125c	vastunaH kalpyamAnaH api HSvH-_[2.1]125c
   vastuno 'nantaraṃ sattā HSvs_[4.3]297a	vastunaH anantaram sattA HSvH-_[4.3]297a
   vastuno 'nantaraṃ sattā HSvs_[4.3]300a	vastunaH anantaram sattA HSvH-_[4.3]300a
   vastubhāvādṛte na yat HSvs_[4.3]291b	vastu-BAvAt-Rte na yat HSvH-_[4.3]291b
   vastu yuktyopapadyate HSvs_[6.6]467d	vastu yuktyA-upapadyate HSvH-_[6.6]467d
   vastusthityā tathā tadyat HSvs_[4.3]280a	vastu-sTityA taTA tat-yat HSvH-_[4.3]280a
   vastusthityā tayos tattve HSvs_[4.6]333a	vastu-sTityA tayoH tattve HSvH-_[4.6]333a
   vastusthityāpi tattathā HSvs_[4.3]281d	vastu-sTityA-api tat-taTA HSvH-_[4.3]281d
   vastusthityāpi tat tādṛg HSvs_[10.2]637a	vastu-sTityA-api tat tAdRS HSvH-_[10.2]637a
   vastusthityeha vidyate HSvs_[11.1]644d	vastu-sTityA-iha vidyate HSvH-_[11.1]644d
   vahneḥ śītatvam asty eva HSvs_[2.1]126a	vahneH SIta-tvam asti eva HSvH-_[2.1]126a
   vahnyādeḥ śītatādivat HSvs_[2.1]125d	vahni-AdeH SIta-tA-Adi-vat HSvH-_[2.1]125d
   vahnyādeḥ śītatā na kim HSvs_[2.1]127d	vahni-AdeH SIta-tA na kim HSvH-_[2.1]127d
   vākyādes tulyatādinā HSvs_[2.1]117b	vAkya-AdeH tulya-tA-AdinA HSvH-_[2.1]117b
   vācaḥ kasyāścid ity eṣā HSvs_[11.1]648c	vAcaH kasyAScid iti ezA HSvH-_[11.1]648c
   vācya ittham apohas tu HSvs_[11.1]649a	vAcyaH itTam apohaH tu HSvH-_[11.1]649a
   vācyavācakalakṣaṇaḥ HSvs_[11.1]652b	vAcya-vAcaka-lakzaNaH HSvH-_[11.1]652b
   vācyasya ca tathānyatra HSvs_[11.1]664c	vAcyasya ca taTA-anyatra HSvH-_[11.1]664c
   vācyo na sarva eveti HSvs_[11.1]665c	vAcyaH na sarve eva-iti HSvH-_[11.1]665c
   vācyo 'sau na ca dāhakṛt HSvs_[11.1]668b	vAcyaH asO na ca dAha-kRt HSvH-_[11.1]668b
   vādo 'yaṃ yujyate param HSvs_[3.1]203b	vAdaH ayam yujyate param HSvH-_[3.1]203b
   vāpīkūpataṅāgāni HSvs_[10.1]588a	vApI-kUpa-taFAgAni HSvH-_[10.1]588a
   vāyusāmānyasaṃsiddhes HSvs_[1.2]70a	vAyu-sAmAnya-saMsidDeH HSvH-_[1.2]70a
   vāsakaṃ kiñcid iṣyatām HSvs_[1.4]103b	vAsakam kiQcid izyatAm HSvH-_[1.4]103b
   vāsakād vāsanā bhinnā HSvs_[4.5]326a	vAsakAt vAsanAH BinnAH HSvH-_[4.5]326a
   vāsanāpy anyasaṃbandhaṃ HSvs_[1.4]102a	vAsanA-api anya-saMbanDam HSvH-_[1.4]102a
   vāsanāhetukaṃ matam HSvs_[7.1]482d	vAsanA-hetukam matam HSvH-_[7.1]482d
   vāsanāhetukaṃ yac ca HSvs_[7.1]494a	vAsanA-hetukam yat ca HSvH-_[7.1]494a
   vāsayaty eva ced asau HSvs_[4.5]328b	vAsayati eva ced asO HSvH-_[4.5]328b
   vāsyavāsakabhāvaś ca HSvs_[4.5]329a	vAsya-vAsaka-BAvaH ca HSvH-_[4.5]329a
   vāsyavāsakabhāvāc cen HSvs_[4.5]325a	vAsya-vAsaka-BAvAt ced HSvH-_[4.5]325a
   vāsye satyāṃ ca saṃsiddhir HSvs_[4.5]327c	vAsye satyAm ca saMsidDiH HSvH-_[4.5]327c
   vikalpasya tato hi yat HSvs_[11.1]654b	vikalpasya tatas hi yat HSvH-_[11.1]654b
   vikalpasyāpi kasyacit HSvs_[4.6]352b	vikalpasya-api kasyacid HSvH-_[4.6]352b
   vikalpānupapattitaḥ HSvs_[4.5]325d	vikalpa-anupapattitaH HSvH-_[4.5]325d
   vikalpo na virudhyate HSvs_[4.2]273d	vikalpaH na viruDyate HSvH-_[4.2]273d
   vikalpo 'pi tathā nyāyād HSvs_[4.6]346a	vikalpaH api taTA nyAyAt HSvH-_[4.6]346a
   vicitraphaladaṃ matam HSvs_[1.4]96d	vicitra-Pala-dam matam HSvH-_[1.4]96d
   vicitraphaladāyinā HSvs_[1.4]108d	vicitra-Pala-dAyinA HSvH-_[1.4]108d
   vijānāti na vijñānam HSvs_[4.6]332c	vijAnAti na vijQAnam HSvH-_[4.6]332c
   vijñānamātram apy evaṃ HSvs_[6.5]465a	vijQAna-mAtram api evam HSvH-_[6.5]465a
   vijñānamātravādo 'pi HSvs_[5.1]375a	vijQAna-mAtra-vAdaH api HSvH-_[5.1]375a
   vijñānamātravādo yat HSvs_[5.2]413a	vijQAna-mAtra-vAdaH yat HSvH-_[5.2]413a
   vijñānaṃ kṣaṇikaṃ yataḥ HSvs_[6.4]462d	vijQAnam kzaNikam yatas HSvH-_[6.4]462d
   vijñānaṃ tattvato matam HSvs_[5.1]393b	vijQAnam tattvataH matam HSvH-_[5.1]393b
   vijñānaṃ yat svasaṃvedyaṃ HSvs_[5.1]384a	vijQAnam yat sva-saMvedyam HSvH-_[5.1]384a
   vijñeyaṃ karmadoṣataḥ HSvs_[1.3]86d	vijQeyam karma-dozataH HSvH-_[1.3]86d
   vijñeyaṃ tadayuktimat HSvs_[6.2]437d	vijQeyam tat-ayuktimat HSvH-_[6.2]437d
   vijñeyaṃ tad vicakṣaṇaiḥ HSvs_[2.2]190d	vijQeyam tat vicakzaNEH HSvH-_[2.2]190d
   vijñeyaḥ satya eva hi HSvs_[3.2]237b	vijQeyaH satyaH eva hi HSvH-_[3.2]237b
   vijñeyā nyāyavādibhiḥ HSvs_[2.2]191d	vijQeyAH nyAya-vAdiBiH HSvH-_[2.2]191d
   viduṣo na nivartate HSvs_[10.1]602d	viduzaH na nivartate HSvH-_[10.1]602d
   vidyate darśanādikaḥ HSvs_[9.1]556b	vidyate darSana-AdikaH HSvH-_[9.1]556b
   vidyate yasya kāraṇam HSvs_[4.3]277b	vidyate yasya kAraNam HSvH-_[4.3]277b
   vidyāvidyādibhedāc ca HSvs_[8.1]549a	vidyA-vidyA-Adi-BedAt ca HSvH-_[8.1]549a
   vidhinā tena tena yat HSvs_[2.2]178b	viDinA tena tena yat HSvH-_[2.2]178b
   vidher vastvanurodhataḥ HSvs_[4.2]270b	viDeH vastu-anuroDataH HSvH-_[4.2]270b
   vidhyādipratipādakaḥ HSvs_[10.1]582b	viDi-Adi-pratipAdakaH HSvH-_[10.1]582b
   vinā karma sa eva hi HSvs_[5.1]394b	vinA karma saH eva hi HSvH-_[5.1]394b
   vinātīndriyavedinam HSvs_[10.1]603b	vinA-ati-indriya-vedinam HSvH-_[10.1]603b
   vinā naivopapadyate HSvs_[1.4]102b	vinA na-eva-upapadyate HSvH-_[1.4]102b
   vinābhāvagrahaṃ vinā HSvs_[4.6]335b	vinA-aBAva-graham vinA HSvH-_[4.6]335b
   vinā yad upapadyate HSvs_[7.1]528b	vinA yat upapadyate HSvH-_[7.1]528b
   vināśas tadviparyayaḥ HSvs_[7.1]481b	vinASaH tad-viparyayaH HSvH-_[7.1]481b
   vināśas tadviparyayaḥ HSvs_[7.1]488d	vinASaH tad-viparyayaH HSvH-_[7.1]488d
   vineyān kāṃścid āśritya HSvs_[6.5]465c	vineyAn kAMScid ASritya HSvH-_[6.5]465c
   viparītaprakāśaś ca HSvs_[10.1]607a	viparIta-prakASaH ca HSvH-_[10.1]607a
   viparītāstu dharmasya HSvs_[1.1]5a	viparItAH-tu Darmasya HSvH-_[1.1]5a
   vipaścitsvāmino 'naghāḥ HSvs_[11.2]680d	vipaScit-svAminaH anaGAH HSvH-_[11.2]680d
   vipralambhād yathoditam HSvs_[6.4]452d	vipralamBAt yaTA-uditam HSvH-_[6.4]452d
   vibhaktedṛkpariṇatau HSvs_[3.2]222a	viBaktA-IdRS-pariNatO HSvH-_[3.2]222a
   vibhinnakāryajanana- HSvs_[4.4]322a	viBinna-kArya-janana HSvH-_[4.4]322a
   vibhos tu tatsvabhāvatve HSvs_[3.1]202c	viBoH tu tad-svaBAva-tve HSvH-_[3.1]202c
   viyatpātād vicitratā HSvs_[2.2]183b	viyat-pAtAt vicitra-tA HSvH-_[2.2]183b
   viralāḥ śubhakāriṇaḥ HSvs_[2.1]132d	viralAH SuBa-kAriNaH HSvH-_[2.1]132d
   viruddhamiva lakṣyate HSvs_[4.2]274b	virudDam-iva lakzyate HSvH-_[4.2]274b
   viruddhaṃ hanta kiṃcānyad HSvs_[6.3]447c	virudDam hanta kiMca-anyat HSvH-_[6.3]447c
   viruddhaṃ hi mithastrayam HSvs_[7.1]480b	virudDam hi miTas-trayam HSvH-_[7.1]480b
   virodhād iti cintyatām HSvs_[6.2]442d	viroDAt iti cintyatAm HSvH-_[6.2]442d
   virodhān nobhayākāram HSvs_[5.1]392a	viroDAn na-uBaya-AkAram HSvH-_[5.1]392a
   virodhāpādanaṃ cāsya HSvs_[4.7]360c	viroDa-ApAdanam ca-asya HSvH-_[4.7]360c
   virodhāsaṃbhavāditaḥ HSvs_[6.1]434b	viroDa-asaMBava-AditaH HSvH-_[6.1]434b
   virodhodbhāvanaṃ nṛṇām HSvs_[7.1]510b	viroDa-udBAvanam nRNAm HSvH-_[7.1]510b
   viśiṣṭapariṇāmabhā- HSvs_[1.2]37a	viSizwa-pariNAma-BA HSvH-_[1.2]37a
   viśiṣṭapratyayodbhavā HSvs_[4.4]303b	viSizwa-pratyaya-udBavA HSvH-_[4.4]303b
   viśiṣṭaphalayogena HSvs_[11.2]676c	viSizwa-Pala-yogena HSvH-_[11.2]676c
   viśiṣṭaphalasādhakam HSvs_[6.1]423b	viSizwa-Pala-sADakam HSvH-_[6.1]423b
   viśiṣṭaphalasādhakaḥ HSvs_[6.1]416d	viSizwa-Pala-sADakaH HSvH-_[6.1]416d
   viśiṣṭaśaktimat tac ca HSvs_[4.3]277c	viSizwa-Saktimat tat ca HSvH-_[4.3]277c
   viśiṣṭaśaktimattvaṃ hi HSvs_[4.3]278c	viSizwa-Saktimat-tvam hi HSvH-_[4.3]278c
   viśiṣṭaṃ vāsanājanma HSvs_[11.1]655a	viSizwam vAsanA-janma HSvH-_[11.1]655a
   viśiṣṭāvidhinā vinā HSvs_[4.3]281b	viSizwa-aviDinA vinA HSvH-_[4.3]281b
   viśuddhabhāvanābhyāsāt HSvs_[2.1]146c	viSudDa-BAvanA-aByAsAt HSvH-_[2.1]146c
   viśuddhātmā yathāgamam HSvs_[9.1]566d	viSudDa-AtmA yaTAgamam HSvH-_[9.1]566d
   viśuddhātmā sthirāśayaḥ HSvs_[1.1]10b	viSudDa-AtmA sTira-ASayaH HSvH-_[1.1]10b
   viśuddho bhāvanāvidhiḥ HSvs_[10.2]641b	viSudDaH BAvanA-viDiH HSvH-_[10.2]641b
   viśuddho muktaye sarvaṃ HSvs_[1.1]11c	viSudDaH muktaye sarvam HSvH-_[1.1]11c
   viśeṣajñānam apy evaṃ HSvs_[10.2]630c	viSeza-jQAnam api evam HSvH-_[10.2]630c
   viśeṣaṇaṃ vinā yasmān HSvs_[1.2]54c	viSezaNam vinA yasmAt HSvH-_[1.2]54c
   viśeṣaprabhavasya cet HSvs_[6.1]426b	viSeza-praBavasya ced HSvH-_[6.1]426b
   viśeṣo nāsti yady api HSvs_[6.1]420b	viSezaH na-asti yadi api HSvH-_[6.1]420b
   viśeṣo 'nyasya no yataḥ HSvs_[11.1]655d	viSezaH anyasya naH yatas HSvH-_[11.1]655d
   viśeṣo vidyate kaścit HSvs_[5.2]403c	viSezaH vidyate kaScid HSvH-_[5.2]403c
   viśvasya viśvakāryatvaṃ HSvs_[4.3]293c	viSvasya viSva-kArya-tvam HSvH-_[4.3]293c
   viśvahetuḥ sa cen nanu HSvs_[2.2]188b	viSva-hetuH sa ced nanu HSvH-_[2.2]188b
   visabhāgakṣaṇasyātha HSvs_[6.1]428a	visaBA-gakzaNasya-aTa HSvH-_[6.1]428a
   vihāya gamyate samyak HSvs_[10.1]598c	vihAya gamyate samyak HSvH-_[10.1]598c
   vihāyānubhavaṃ mohāj HSvs_[7.1]519c	vihAya-anuBavam mohAt HSvH-_[7.1]519c
   vihitāsūpapattiṣu HSvs_[2.1]123b	vihita-Asu-upapattizu HSvH-_[2.1]123b
   vītarāgasya bhāvataḥ HSvs_[3.1]197b	vIta-rAgasya BAvataH HSvH-_[3.1]197b
   vetti vedasya nānyataḥ HSvs_[10.1]604b	vetti vedasya na-anyatas HSvH-_[10.1]604b
   vedaśāstrāvirodhinā HSvs_[3.1]210b	veda-SAstra-aviroDinA HSvH-_[3.1]210b
   vedākhyād āgamāt kila HSvs_[10.1]584b	veda-AKyAt AgamAt kila HSvH-_[10.1]584b
   vedād dharmādisaṃsthāpi HSvs_[10.1]598a	vedAt Darma-Adi-saMsTA-api HSvH-_[10.1]598a
   vedārthasya gatiḥ kutaḥ HSvs_[10.1]604d	veda-arTasya gatiH kutas HSvH-_[10.1]604d
   vede 'pi paṭhyate hy eṣa HSvs_[10.1]624a	vede api paWyate hi ezaH HSvH-_[10.1]624a
   ve 'pi hy atrāvṛtir na vai HSvs_[1.2]37b	ve api hi atra-AvRtiH na vE HSvH-_[1.2]37b
   vaicitryaṃ tasya yadvaśāt HSvs_[1.4]91b	vEcitryam tasya yad-vaSAt HSvH-_[1.4]91b
   vaicitryaṃ nopapadyate HSvs_[2.2]186d	vEcitryam na-upapadyate HSvH-_[2.2]186d
