   prathamaḥ paricchedaḥ	praTamaH paricCedaH
        indumatīpātaḥ kāraṇaṃ narādhipapātaḥ kāryyaṃ, tayoḥ	indumatIpAtaH kAraNam narADipa pAtaH kAryyaM, tayoH
   samakālatvakathanarūpaḥ paurvāparyaviparyayaḥ /	sama kAla tva kaTana rUpaH pOrvAparya viparyayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iyaṃ ca mālayāpi saṃbhavati /	iyam ca mAlayA api saMBavati /
   yathodāhṛte "saha kumudakadambaiḥ  " ityādau /	yaTA udAhRte "saha kumuda kadambEH  " ityAdO /
   "lakṣmaṇena samaṃ rāmaḥ kānanaṃ gahanaṃ yayau" /	"lakzmaNena samam rAmaH kAnanam gahanam yayO" /
   ityādau cātiśayoktimūlābhāvānnāyamalaṅkāraḥ /	iti AdO ca atiSaya ukti mUla aBAvAt na ayam alaFkAraH /
   vinoktiryadvinānyena nāsādhvanyadasādhu vā // VisSd_10.55 //	vinA uktiH yat vinA anyena na asADu anyat asADu vA // VisSd _10.55 //
   nāsādhu aśobhanaṃ na bhavati /	na asADu aSoBanam na Bavati /
   evaṃ ca yadyapi śobhanatva eva paryavasānaṃ tathāpyaśobhanatvābhāvamukhena	evam ca yadi api SoBana tvaH eva paryavasAnam taTA api aSoBana tva aBAva muKena
   śobhanavacanasyāyamabhiprāyo yatkasyacidvarṇanīyasyāśobhanatvaṃ	SoBana vacanasya ayam aBiprAyaH yat kasyacid varNanIyasya aSoBana tvam
   tatparasannidhereva doṣaḥ /	tad para sanniDeH eva dozaH /
   tasyā punaḥ svabhāvataḥ śobhanatvameveti /	tasyAH punar svaBAvataH SoBana tvam eva iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) vinoktyalaṅkāramāha   vinoktiriti /	(vi, Ga) vinA ukti alaFkAram Aha   vinA uktiH iti /
        vyācaṣṭe   nāsādhviti /	vyAcazwe   nA asA Du iti /
        nañdvayamukhenokte bhāvārthaṃ vaktumāha   evaṃ ceti /	nan dvaya muKena ukte BAva arTam vaktum Aha   evam ca iti /
        parasannidhereva doṣa iti /	para sanniDeH eva dozaH iti /
        parasannidheryo doṣastadevāśobhanatvamityarthaḥ /	para sanniDeH yaH dozaH tat eva aSoBana tvam iti arTaH /
        Locanā:	LocanA:
        (lo, a) śobhana eva paryavasānam "abhāvasya tu yo 'bhāvo bhāva	(lo, a) SoBanaH eva paryavasAnam "aBAvasya tu yaH aBAvaH BAva
   evāvaśiṣyate'; iti nyāyādityarthaḥ /	eva avaSizyate a; iti nyAyAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "vinā jaladakālena candro nistandratāṃ gataḥ /	"vinA jalada kAlena candraH nistandra tAm gataH /
   vinā grīṣmoṣmaṇā mañjurvanarājirajāyata" //	vinA grIzma UzmaNA maQjurvana rAjiH ajAyata" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) vinā jaladakāleneti /	(vi, Fa) vinA jalada kAlena iti /
        nistandratāṃ nirmalatām /	nistandra tAm nirmala tAm /
        atra jaladakālādeva candro malino grīṣmarttau ca vanarājiramañjuriti	atra jalada kAlAt eva candraH malinaH grIzma RttO ca vana rAjiH amaQjuH iti
   pratīteḥ /	pratIteH /
        Locanā:	LocanA:
        (lo, ā) nistandratāṃ nirmalatām /	(lo, A) nistandra tAm nirmala tAm /
        atra candravanarājyoranirmalatvāmañjulatve	atra candra vana rAjyoH anirmala tvA maQjula tve
   jaladakālagrīṣmakālahetuke, nirmalatvamañjulatve punaḥ	jalada kAla grIzma kAla hetuke, nirmala tva maQjula tve punar 
   sahajadharmādityāśayaḥ /	sahaja DarmAt iti a ASayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "asādhvaśobhanaṃ yathā  	"asADva SoBanam yaTA  
   "anuyāntyā janātītaṃ kāntaṃ sādhu tvayā kṛtam /	"anuyAntyA jana atItam kAntam sADu tvayA kRtam /
   kā dinaśrīrvinārkeṇa kā niśā śaśinā vinā" //	kA dina SrIH vinA arkeNa kA niSA SaSinA vinA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) anuyāntyeti /	(vi, ca) anuyAntyA iti /
        sītāṃ prati anasūyāvākyamidam /	sItAm prati anasUyA vAkyam idam /
        janānītaṃ parijanarahitam /	jana AnItam parijana rahitam /
        Locanā:	LocanA:
        (lo, i) janātītaṃ lokāntikānnirjanasthānaṃ gatamiti yāvat /	(lo, i) jana atItam loka antikAt nirjana sTAnam gatam iti yAvat /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "nirarthakaṃ janma gataṃ nalinyā yayā na dṛṣṭaṃ tuhināṃśubimbam /	"nirarTakam janma gatam nalinyA yayA na dRzwam tuhinAMSu bimbam /
   utpattirindorapi niṣphalaiva dṛṣṭā vinidrā nalinī na yena" //	utpattiH indoH api nizPalA eva dRzwA vinidrA nalinI na yena" //
   Locanā:	LocanA:
   (lo, ī) vibhātā vikasitā /	(lo, I) viBAtA  vikasitA /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra parasparāvinoktibhaṅgyā cakatkārātiśayaḥ /	atra parasparAvinA ukti BaFgyA cakatkAra atiSayaH /
   vināśabdaprayogābhāve 'pi vinārthavivakṣāyaṃ vinoktireveyam /	vinA Sabda prayoga aBAve api vinA arTa vivakzAyam vinA uktiH eva iyam /
   evaṃ sahoktirapi sahaśabdaprayogābhāve 'pi sahārthavivakṣāyāṃ bhavatīti	evam sahoktiH api saha Sabda prayoga aBAve api saha arTa vivakzAyAm Bavati iti
   bodhyam /	boDyam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) vināśabdābhāve 'pi tadarthaparyavasāne 'pyayamalaṅkāra	(vi, Ca) vinA Sabda aBAve api tad arTa paryavasAne api ayam alaFkAra
   ityāha   nirarthakamiti /	iti Aha    nirarTakam iti /
        atreti /	atra iti /
        parasparādarśanādeva parasparavinoktibhaṅgilābha ityarthaḥ /	paraspara adarSanAt eva paraspara vinA ukti BaFgila ABaH iti arTaH /
        evaṃ sahoktirapīti /	evam saha uktiH api iti /
        tṛtīyāmātrabalādityarthaḥ /	tRtIyA mAtra balAt iti arTaH /
        Locanā:	LocanA:
        (lo, u) vināśabdābhāvādatra kathaṃ vinoktirityāśaṅkyāha   vināśabdeti	(lo, u) vinA Sabda aBAvAt atra kaTam vinA uktiH iti ASaFkya aha   vinA SabdA iti
        sahaśabdābhāve sahārthavivakṣā, yathā "tato	saha Sabda aBAve saha arTa vivakzA, yaTA "tatas 
   bhārgavaprauḍhāhaḍkṛtikandalena sahasā tadbhagnamaiśaṃ dhanu'riti /	BArgava prOXA haxkRti kandalena sahasA tad Bagnam ESam Danu ariti /
        "vanaśriyaṃ vasantena jyotstrayā tuhinadyutim /	"vana Sriyam vasantena jyotstrayA tuhina dyutim /
        kāntayā śūnyamālokya kasya ceto na dūyate" //	kAntayA SUnyam Alokya kasya cetaH na dUyate" //
        ityatra na dūyata ityanenāsādhutvamuktaprāyamiti vinokireva /	iti atra na dUyate iti anena asADu tva m ukta prAyam iti vinokiH eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   samāsoktiḥ samairyatra kāryaliṅgaviśeṣaṇaiḥ /	samAsa uktiH samEH yatra kArya liFga viSezaNEH /
   vyavahārasamāropaḥ prastute 'nyasya vastunaḥ // VisSd_10.56 //	vyavahAra samAropaH prastute anyasya vastunaH // VisSd _10.56 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) samāsoktyalaṅkāramāha   samāsoktiriti /	(vi, ja) samAsa ukti alaFkAram Aha   samAsoktiH iti /
        anyasya aprastutasya vastuno vyavahārasya arthād vyaṅgyasya prastute	anyasya aprastutasya vastunaH vyavahArasya arTAt vyaFgyasya prastute
   vastuni samāropa ityarthaḥ /	vastuni samAropaH iti arTaH /
        tad vyañjanaṃ ca samaiḥ prastutāprastutasamānaiḥ	tat vyaQjanam ca samEH prastuta aprastuta samAnEH
   kāryaliṅgaviśeṣaṇairityarthaḥ /	kArya liFga viSezaNEH iti arTaH /
        Locanā:	LocanA:
        (lo, ū) samāsoktiriti /	(lo, U) samAsoktiH iti /
        samaistulyairvyavahārasya kṛtasya na tu rūpakavat svātmanaḥ /	samEH tulyEH vyavahArasya kRtasya na tu rUpaka vat sva AtmanaH /
        anyasyāprastutasya /	anyasya aprastutasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra samena kāryeṇa prastute 'prastutavyavahārasamāropaḥ /	atra samena kAryeNa prastute aprastuta vyavahAra samAropaH /
   yathā  	yaTA  
   "vyādhūya yadvasanamambujalocanāyā vakṣojayoḥ kanakakumbhavilāsabhājoḥ /	"vyADUya yat vasanam ambuja locanAyAH vakzaH jayoH kanaka kumBa vilAsa BAjoH /
   āliṅgasi prasabhamaṅgamaśeṣamasyā dhanyastvameva malayācalagandhavāha !"	AliFgasi prasaBam aFgam aSezam asyAH DanyaH tvam eva malaya acala ganDavAha !"
   atra gandhavāhe haṭhakāmukavyavahārasamāropaḥ /	atra ganDa vAhe haWa kAmuka vyavahAra samAropaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) vyādhūyeti /	(vi, Ja) vyADUya iti /
        vakṣojayorvasanaṃ vyādhūya dūrīkṛtyetyarthaḥ /	vakzaH jayoH vasanam vyADUya dUrIkRtya iti arTaH /
        atrāliṅganaṃ kāryam /	atra AliFganam kAryam /
        sambodhyatvena malayānilaḥ prakṛtaḥ /	samboDya tvena malaya anilaH prakRtaH /
        yathā vā mama   "ullāsya lāsyanilayaṃ vipuloruyugmaṃ protkṣipya	yaTA vA mama   "ulla asya lAsya nilayam vipula Uru yugmam protkzipya
   bāhulatikāmatikāntagātryaḥ /	bAhu latikAm ati kAnta gAtryaH /
        yaṃ sābhilāṣamanasaḥ pramadā bhajante puṇyātmane śiśirapāvana te namo	yam sa aBilAza manasaH pramadAH Bajante puNya Atmane SiSira pAvana te namaH 
   'stu //	astu //
        "atra nāyikāvyavahārāropabhajanaṃ kāryyaṃ sambodhyatvena pāvanaḥ	"atra nAyikA vyavahAra AropaBajanam kAryyam samboDya tvena pAvanaH
   prakṛtaḥ /	prakRtaH /
        Locanā:	LocanA:
        (lo, ṛ) vyādhūyetyatra gandhavāhe haṭhakāmukavyavahārasamārope	(lo, R) vyADUya iti atra ganDa vAhe haWa kAmuka vyavahAra samArope
   liṅgasāmyasyāpi prayojakatve	liFga sAmyasya api prayojaka tve
   vasanavyādhūnanādikāryasāmyaprādhānyādanyodāharaṇam /	vasana vyADUnana Adi kArya sAmya prADAnyAt anya udAharaNam /
        evamanyeṣvapi samāsoktyudāharaṇeṣu /	evam anyezu api samAsokti udAharaNezu /
        kāryyaliṅgaviśeṣaṇānāṃ kvacid dvayoḥ kvacitttrayāṇāṃ vā samāveśe 'pi	kAryya liFga viSezaNAnAm kvacid dvayoH kvacitttrayANAm vA samAveSe api
   bodhyam /	boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   liṅgasāmyena yathā  	liFga sAmyena yaTA  
   "asamāptajigīṣasya strīcintā kā manasvinaḥ /	"a samApta jigIzasya strI cintA kA manasvinaH /
   anākramya jagatkṛtsnaṃ no sandhyāṃ bhajate raviḥ" //	anAkramya jagat kRtsnam no sanDyAm Bajate raviH" //
   atra puṃstrīliṅgamātreṇa ravisandhyayornāyakanāyikāvyavahāraḥ /	atra puMstrI liFga mAtreNa ravi sanDyayoH nAyaka nAyikA vyavahAraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) asamāpteti /	(vi, Qa) asamAptA iti /
        spaṣṭārthaḥ /	spazwa arTaH /
        parārddhe dṛṣṭāntaḥ /	parArdDe dRzwAntaH /
        sandhyāṃ sāyaṃsandhyām /	sanDyAm sAyaMsanDyAm /
        nāyakavyavahāra ityatraikaśeṣaḥ /	nAyaka vyavahAraH iti atra eka SezaH /
        yadyapyatra jigīṣureva prakṛtatayopameyabhūto raviraprakṛtaḥ, tathāpi	yadi api atra jigIzuH eva prakRta tayA upameya BUtaH raviH aprakRtaH, taTA api
   vyaṅgyanāyikāpekṣayā vācyo ravirāpekṣikaḥ prakṛtaḥ /	vyaFgya nAyikA apekzayA vAcyaH raviH ApekzikaH prakRtaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   viśeṣaṇasāmyaṃ tu śliṣṭatayā, sādhāraṇyena, aupamyagarbhatvena ca tridhā /	viSezaNa sAmyam tu SlizwatayA, sADAraNyena, Opamya garBa tvena ca triDA /
   śliṣṭatayā yathā mama  	Slizwa tayA yaTA mama  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) śliṣṭatayeti /	(vi, wa) SlizwatayA iti /
        śliṣṭaśabdasyaivobhayaviśeṣaṇatvena ityarthaḥ /	Slizwa Sabdasya eva uBaya viSezaNa tvena iti arTaH /
        sādhāraṇyeneti /	sADAraNyena iti /
        ārthorūpaviśeṣaṇasyobhayasādhāraṇyenetyarthaḥ /	ArTaH rUpa viSezaNasya uBaya sADAraNyena iti arTaH /
        aupamyagarbhatvamaupamyapratītyanantaramapyaprastutatvavyavahārāropaḥ	Opamya garBa tvam Opamya prati iti anantaram api aprastuta tva vyavahAra AropaH
        tasya ca tridhātvaṃ vakṣyate /	tasya ca triDA tvam vakzyate /
        Locanā:	LocanA:
        (lo, ṝ) puṃstrīliṅgatvamātreṇeti /	(lo, L) puMstrI liFga tva mAtreNa iti /
        prādhānyato hetubhūtenetyarthaḥ /	prADAnyataH hetu BUtena iti arTaH /
        śleṣṭatayā vdyarthatayā /	Slezwa tayA vdi arTa tayA /
        sādhāraṇyena sambandhabhedabhinaikadharmavattvena /	sADAraNyena sambanDa Beda Bina eka Darmavat tvena /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "vikasitamukhīṃ rāgāsaṅgādralattimirāvṛtiṃ dinakarakaraspṛṣṭāmaindrīṃ	"vikasita muKIm rAga AsaFgAt ralat timira AvRtim dinakara kara spRzwAm EndrIm
   nirīkṣya diśaṃ puraḥ /	nirIkzya diSam puras /
   jaraṭhalavalīpāṇḍucchāyo bhṛśaṃ kaluṣāntaraḥ śrayati haritaṃ hanta !	jaraWa lavalI pANxu= CAyaH BRSam kaluza antaraH Srayati haritam hanta !
   prācetasīṃ tuhinadyutiḥ" //	prAcetasIm tuhina dyutiH" //
   atra mukharāgādiśabdānāṃ śliṣṭatā /	atra muKa rAga Adi SabdAnAm Slizwa tA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) vikasitamukhīmiti /	(vi, Wa) vikasita muKIm iti /
        prabhātavarṇanamidam /	praBAta varNanam idam /
        hanta khede /	hanta Kede /
        aindrīṃ diśaṃ dinakarakaraspṛṣṭāṃ puraḥ sammukhe nirīkṣya jaraṭhasya	EndrIm diSam dinakara kara spRzwAm puras sammuKe nirIkzya jaraWasya
   kaṭhinasya lavalīphalasyeva pāṇḍucchāyaḥ san tuhinadyutiḥ kaluṣāntaraḥ	kaWinasya lavalI Palasya iva pANxu= CAyaH san tuhina dyutiH kaluza antaraH
   kalaṅkamalināntaraḥ prāyetasīṃ pratīcīṃ haritaṃ śrayati /	kalaFka malina antaraH prAyetasIm pratIcIm haritam Srayati /
        lavalīphalasya paktatve sati kāṭhinyaṃ pāṇḍuratvaṃ ca /	lavalI Palasya paktatve sati kAWinyam pANxura tvam ca /
        śaśinaḥ pāṇḍuratvadarśanāt /	SaSinaH pANxura tva darSanAt /
        aindrīṃ kīdṛśīṃ vikasitamukhīṃ, prāptaprakāśasammukhīm /	EndrIm kIdRSIm vikasita muKIM, prApta prakASa sammuKIm /
        rāgāsaṅgāt, kiraṇaraktimāhasaṅgād galattimirarūpāvaraṇām /	rAgAsaFgAt, kiraNa rakti mAhasaFgAt galat timira rUpa AvaraNAm /
        hantetyanena khedaprakāśanam /	hanta iti anena Keda prakASanam /
        svākrāntāṃ diśaṃ virodhinā'krāntāṃ dṛṣṭvā duḥ khena pāṇḍuraḥsan	sva AkrAntAm diSam viroDinA akrAntAm dRzwvA duH Kena pANxuraH san
   digantaramāśrayatīti vākyārthabhiprāyaḥ /	digantaram ASrayati iti vAkya arTa BiprAyaH /
        aprastutasya vyañjanayā ravicandrayoraindrīprācetasīdiśoścāropaḥ /	aprastutasya vyaQjanayA ravi candrayoH EndrI prAcetasI diSoH ca AropaH /
        tathā hi   svanāyikāṃ smeramukhīm anurāgeṇa galitāṅgāvaraṇāṃ kareṇa	taTA hi    sva nAyikAm smera muKIm anurAgeNa galita aFga AvaraNAm kareNa
   spṛśantaṃ paranāyakaṃ dṛṣṭvā duḥ khāt pāṇḍuracchāyo nāyakastāṃ tyaktvā	spRSantam para nAyakam dRzwvA duH KAt pANxura= CAyaH nAyakaH tAm tyaktvA
   nāyikāntaramāśrayatītyevaṃ vyavahārasya prācīravyoḥ	nAyikA antaram ASrayati iti evam vyavahArasya prAcIravyoH
   pratīcīcandrayoścāropaḥ /	pratIcIcandrayoH ca AropaH /
        tatra ca sammukhamukhobhayāśliṣṭamukhapadarāgakarapadānāṃ	tatra ca sammuKa muKa uBaya ASlizwa muKa pada rAga kara padAnAm
   śliṣṭatetyāha atra mukheti /	Slizwa tA iti Aha atra muKa iti /
        Locanā:	LocanA:
        (lo, ḷ) vikasiteti /	(lo, ?) vikasitA iti /
        mukhamārambho vadanaṃ ca /	muKam AramBaH vadanam ca /
        rāgo lauhityamāsaktiśca /	rAgaH lOhityam AsaktiH ca /
        karaḥ kiraṇo hastaśca /	karaH kiraNaH hastaH ca /
        śliṣṭatetyayamāśayaḥ śleṣāccātiśayoktiprayojane nāyakavyavahāre bījam	SlizwatA iti ayam ASayaH SlezAt ca atiSaya ukti prayojane nAyaka vyavahAre bIjam
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atraiva hi "timirāvṛtim" ityatra "timirāśukam" iti pāṭhe etadeśasya rūpaṇe	atra eva hi "timira AvRtim" iti atra "timira ASukam" iti pAWe etadA ISasya rUpaNe
   'pi samāsoktireva, na tvekadeśavivarti rūpakam, tatra hi timirāṃśukayo	api samAsoktiH eva, na tu eka deSa vivarti rUpa kam, tatra hi timira aMSuka yo
   rūpyarūpakabhāvo dvayorāvarakatvena sphuṭasādṛśyatayā	rUpya rUpaka BAvaH dvayoH Avaraka tvena sPuwa sAdRSya tayA
   parasācivyamanapekṣyāpi svamātraviśrānta iti na samāsoktibuddhiṃ	parasAcivyam anapekzya api sva mAtra viSrAntaH iti na samAsa ukti budDim
   vyāhantumīśaḥ /	vyAhantum ISaH /
   Locanā:	LocanA:
   (lo, e) sphuṭasādṛśyatayā mukhacandrayorivetyarthaḥ /	(lo, e) sPuwa sAdRSya tayA muKa candrayoH iva iti arTaH /
   parasācivyaṃ, parasya śabdārthasya vā ropaṇasya sācivyaṃ sāhāyyam /	para sAcivyan, parasya Sabda arTasya vA ropaNasya sAcivyam sAhAyyam /
   svamātre natu śabdānyāpekṣī /	sva mAtre na tu SabdAni ApekzI /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yatra tu rūpyarūpakayoḥ sādṛśyamasphuṭaṃ tatraikadeśāntararūpaṇaṃ vinā	yatra tu rUpya rUpakayoH sAdRSyam asPuwam tatra eka deSa antara rUpaNam vinA
   tadasaṅgataṃ syādityaśābdamapyekadeśāntararūpaṇamārthamapekṣata eveti	tad asaFgatam syAt iti aSAbdam api eka deSa antara rUpaNama arTam apekzate eva iti
   tatraikadeśavivartirūpakameva /	tatra eka deSa vivarti rUpakam eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) na tvekadeśavivarttirūpakamiti /	(vi, xa) na tu eka deSa vivartti rUpakam iti /
        aindrīpradhānanāyikānirūpaṇaṃ vyaṅgyam /	EndrI praDAna nAyikA nirUpaNam vyaFgyam /
        taddharmarūpasyāṃśukarūpasyaikadeśasya timirarūpasya vācyatvena	tad Darma rUpasya aMSuka rUpasya eka deSasya timira rUpasya vAcya tvena
   vācyatvena tatprasaktirbodhyā /	vAcya tvena tad prasaktiH boDyA /
        tadbhāve hetumāha   atra hīti /	tad BAve hetum Aha    atra hi iti /
        rūpakāntarasyā'kṣepe eva yatra vācyo rūpyarūpakabhāvo, na tu svasya	rUpaka antarasyA akzepe eva yatra vAcyaH rUpya rUpaka BAvaH , na tu svasya
   sphuṭasādṛśyāttatraiva vācyarūpakāntarasya ākṣepatvena	sPuwa sAdRSyAt tatra eva vAcya rUpaka antarasya Akzepa tvena
   ekadeśavivarttirūpakam /	eka deSa vivartti rUpakam /
        tadudāharaṇaṃ ca "jassa raṇante" iti darśayiṣyate /	tad udAharaNam ca "jassa raNante" iti darSayizyate /
        prakṛte tu aṃśukatimirayoḥ sphuṭasādṛśyādārtharūpakanirapekṣaḥ svato	prakRte tu aMSuka timirayoH sPuwa sAdRSya At ArTa rUpaka nirapekzaH svatas 
   rūpyarūpakābhāva ityato naikadeśavivarttitetyarthaḥ /	rUpya rUpaka aBAvaH iti atas na eka deSa vivarttitA iti arTaH /
        svamātraviśrāntaḥ svatantraḥ /	sva mAtra viSrAntaH svatantraH /
        ekadeśavivarttino viṣayaṃ darśayati /	eka deSa vivarttinaH vizayam darSayati /
        aśābdamityasya vivaraṇasya vyaṅgyamityarthaḥ /	aSAbdam iti asya vivaraNasya vyaFgyam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "jassa raṇanteurae kare kuṇantassa maṇḍalaggalaaṃ /	"jassa raNanteurae kare kuNantassa maNxalaggalaam /
   ragasaṃmuhī vi sahasā parammuhī hoi riuseṇā" //	raga saMmuhI vi sahasA parammuhI hoi riuseNA" //
   atra raṇāntaḥ purayoḥ sādṛśyamasphuṭameva /	atra raNa antaH purayoH sAdRSyam asPuwam eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍha) jassa raṇante iti /	(vi, Xa) jassa raNante iti /
        "yasya raṇāntaḥ pure kare kurvato maṇḍalāgralatām /	"yasya raNa antar pure kare kurvataH maNxala agra latAm /
        rasasammukhyapi sahasā parāṅmukhī bhavati ripusenā" //	rasa sammuKI api sahasA parAFmuKI Bavati ripu senA" //
        iti saṃ dṛ /	iti sam dR /
        maṇḍalāgralatāṃ khaḍgalatām /	maNxala agra latAm Kaxga latAm /
        raso yuddharasa eva /	rasaH yudDa rasaH eva /
        vyaṅgyapratināyikāpakṣe śṛṅgārarasaḥ /	vyaFgya pratinAyikA pakze SRFgAra rasaH /
        bhītyaḥ parāṅmukhī, tayaiva lajjayā parāṅmukhatā mukhasya	BItyaH parAFmuKI, tayA eva lajjayA parAFmuKa tA muKasya
   parāśrayatvena /	para ASraya tvena /
        raṇa eva antaḥ puraṃ tatra strīliṅgaśabdārthatvena maṇḍalāgralatayā	raNaH eva antar puram tatra strI liFga Sabda arTa tvena maNxala agra latayA
   rūpyamāṇanāyikāvyañjanāt /	rUpyamANa nAyikA vyaQjanAt /
        svakarekurvato rājño 'pi nāyakatvaṃ vyaṅgyam /	sva karekurvataH rAjQaH api nAyaka tvam vyaFgyam /
        tadbhraṣṭāyāṃ ripusenāyāmapi strīliṅgaśabdārthatvena rūpyamāṇa	tat BrazwAyAm ripu senAyAm api strI liFga Sabda arTa tvena rUpyamANa 
   pratināyikā vyaṅgyā atra raṇe 'ntaḥ  purarūpaṇamekadeśavivartti /	pratinAyikA vyaFgyAH atra raNe antaH  pura rUpaNam eka deSa vivartti /
        Locanā:	LocanA:
        (lo, ai) tarhi kaḥ punarekadeśavivarttirūpakasya viṣaya	(lo, E) tarhi kaH punar eka deSa vivartti rUpakasya vizaya
   ityāśaṅkyāha   tatra tviti /	iti ASaFkya aha    tatra tu iti /
        "jassa raṇantaura'; ityādau raṇāntaḥ purādikayo	"jassa raNantOra a; ityAdO raNa antaH pura Adikayo
   rūpyarūpakayorekadeśāntararūpaṇaṃ maṇḍalāgralatādiṣu rājanāyikātvādyāropaṃ	rUpya rUpakayoH eka deSa antara rUpaNam maNxala agra latA Adizu rAja nAyikA tva Adi Aropam
   vināsphuṭameva /	vinA asPuwam eva /
        jasseti /	jassA iti /
        "yasya raṇāntaḥ pure kare kurvato maṇḍalāgralatām /	"yasya raNa antar pure kare kurvataH maNxala agra latAm /
        rasasammukhyapi sahasā parāṅmukhī bhavati ripusenā" //	rasa sammuKI api sahasA parAFmuKI Bavati ripu senA" //
        rasā utsāho 'nurāgaśca /	rasAH utsAhaH anurAgaH ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kvacicca yatra sphuṭasādṛśyānāmapi bahūnāṃ rūpaṇaṃ śābdamekadeśasya	kvacid ca yatra sPuwa sAdRSyAnAm api bahUnAm rUpaNam SAbdam eka deSasya
   cārthaṃ tatraikadeśavivarti rūpakameva /	ca arTam tatra eka deSa vivarti rUpakam eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) nanvevamasphuṭasādṛśyasattva eva ekadeśavivarttitvaṃ,	(vi, Na) nanu evam asPuwa sAdRSya sattvaH eva eka deSa vivartti tvaM,
   tatkatham "lāvaṇyamadhubhiḥ pūrṇamāsyamasyā vikasvaram /	tat kaTam "lAvaNya maDuBiH pUrNam Asyam asyAH vikasvaram /
        lokalocanarolambakadambaiḥ kairna pīyate //	loka locana rolamba kadambEH kEH na pIyate //
        "ityekadeśavivarttyudāharaṇaṃ dattam /	"iti eka deSa vivartti udAharaNam dattam /
        tatra lāvaṇyamadhuno mādhuryasya upādeyatvaparyyavasannasya	tatra lAvaNyamaDunaH mADuryasya upAdeya tva paryyavasannasya
   sādṛśyasya locanabhramarayośca cāñcalyarūpasādṛśyasya sphuṭatvādityata	sAdRSyasya locana BramarayoH ca cAQcalya rUpa sAdRSyasya sPuwa tvAt ityata
   āha   yatreti /	Aha   yatra iti /
        Locanā:	LocanA:
        (lo, o) kvacillāvaṇyamadhubhiḥ pūrṇāmityādau /	(lo, o) kvacid lAvaNya maDuBiH pUrNAm iti AdO /
        karamudayamahīdhara ityādau /	karam udaya mahIDaraH ityAdO /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rūpakapratīter vyāpitayā samāsoktipratītitirodhāyakatvāt /	rUpaka pratIteH vyApitayA samAsa ukti pratItitiroDAyaka tvAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) nanu sphuṭasādṛśyādīnāṃ vahutve ekadeśavivarttitvamityatra	(vi, ta) nanu sPuwa sAdRSya AdInAm vahu tve eka deSa vivartti tvam iti atra
   kā yuktirityatra āha   rūpakapratīteriti /	kA yuktiH iti atra Aha    rUpaka pratIteH iti /
        vyāpitayā bahutvena tasyāśca bahutvavaśāt prathamotpannatvo	vyApitayA bahu tvena tasyAH ca bahu tva vaSAt praTama utpannatvaH 
   samāsoktivirodhakatvam /	samAsa ukti viroDaka tvam /
        Locanā:	LocanA:
