   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.23.025/2 sarvātmanā patiṃ bheje yajñeśaṃ śrīr vadhūr iva	Bhu-_04.23.025/2 sarva-AtmanA patim Beje yajQeSam SrIH vaDUH iva
   BhP_04.23.026/1 saiṣā nūnaṃ vrajaty ūrdhvam anu vainyaṃ patiṃ satī	Bhu-_04.23.026/1 sA-ezA nUnam vrajati UrDvam anu vEnyam patim satI
   BhP_04.23.026/2 paśyatāsmān atītyārcir durvibhāvyena karmaṇā	Bhu-_04.23.026/2 paSyatA-asmAn atItya-arciH durviBAvyena karmaNA
   BhP_04.23.027/1 teṣāṃ durāpaṃ kiṃ tv anyan martyānāṃ bhagavat-padam	Bhu-_04.23.027/1 tezAm durApam kim tu anyat martyAnAm Bagavat--padam
   BhP_04.23.027/2 bhuvi lolāyuṣo ye vai naiṣkarmyaṃ sādhayanty uta	Bhu-_04.23.027/2 Buvi lola-AyuzaH ye vE nEzkarmyam sADayanti uta
   BhP_04.23.028/1 sa vañcito batātma-dhruk kṛcchreṇa mahatā bhuvi	Bhu-_04.23.028/1 sa vaQcitaH bata-Atma--Druj kRcCreNa mahatA Buvi
   BhP_04.23.028/2 labdhvāpavargyaṃ mānuṣyaṃ viṣayeṣu viṣajjate	Bhu-_04.23.028/2 labDvA-apavargyam mAnuzyam vizayezu vizajjate
   BhP_04.23.029/0 maitreya uvāca	Bhu-_04.23.029/0 mEtreyaH uvAca
   BhP_04.23.029/1 stuvatīṣv amara-strīṣu pati-lokaṃ gatā vadhūḥ	Bhu-_04.23.029/1 stuvatIzu amara--strIzu pati--lokam gatA vaDUH
   BhP_04.23.029/2 yaṃ vā ātma-vidāṃ dhuryo vainyaḥ prāpācyutāśrayaḥ	Bhu-_04.23.029/2 yam vA Atma--vidAm DuryaH vEnyaH prApa-acyuta-ASrayaH
   BhP_04.23.030/1 ittham-bhūtānubhāvo 'sau pṛthuḥ sa bhagavattamaḥ	Bhu-_04.23.030/1 itTam--BUta-anuBAvaH asO pRTuH sa BagavattamaH
   BhP_04.23.030/2 kīrtitaṃ tasya caritam uddāma-caritasya te	Bhu-_04.23.030/2 kIrtitam tasya caritam uddAma--caritasya te
   BhP_04.23.031/1 ya idaṃ sumahat puṇyaṃ śraddhayāvahitaḥ paṭhet	Bhu-_04.23.031/1 yaH idam su-mahat puNyam SradDayA-avahitaH paWet-
   BhP_04.23.031/2 śrāvayec chṛṇuyād vāpi sa pṛthoḥ padavīm iyāt	Bhu-_04.23.031/2 SrAvayet SRNuyAt vA-api sa pRToH padavIm iyAt-
   BhP_04.23.032/1 brāhmaṇo brahma-varcasvī rājanyo jagatī-patiḥ	Bhu-_04.23.032/1 brAhmaNaH brahma-varcasvI rAjanyaH jagatI--patiH
   BhP_04.23.032/2 vaiśyaḥ paṭhan viṭ-patiḥ syāc chūdraḥ sattamatām iyāt	Bhu-_04.23.032/2 vESyaH paWan viw-patiH syAt SUdraH sattama-tAm iyAt-
   BhP_04.23.033/1 triḥ kṛtva idam ākarṇya naro nāry athavādṛtā	Bhu-_04.23.033/1 tris kRtvaH idam AkarNya naraH nArI aTavA-AdRtA
   BhP_04.23.033/2 aprajaḥ suprajatamo nirdhano dhanavattamaḥ	Bhu-_04.23.033/2 aprajaH su-prajatamaH nirDanaH DanavattamaH
   BhP_04.23.034/1 aspaṣṭa-kīrtiḥ suyaśā mūrkho bhavati paṇḍitaḥ	Bhu-_04.23.034/1 aspazwa--kIrtiH suyaSA mUrKaH Bavati paNxitaH
   BhP_04.23.034/2 idaṃ svasty-ayanaṃ puṃsām amaṅgalya-nivāraṇam	Bhu-_04.23.034/2 idam svasti--ayanam puMsAm amaFgalya--nivAraNam
   BhP_04.23.035/1 dhanyaṃ yaśasyam āyuṣyaṃ svargyaṃ kali-malāpaham	Bhu-_04.23.035/1 Danyam yaSasyam Ayuzyam svargyam kali-mala-apaham
   BhP_04.23.035/2 dharmārtha-kāma-mokṣāṇāṃ samyak siddhim abhīpsubhiḥ	Bhu-_04.23.035/2 Darma-arTa-kAma-mokzANAm samyak sidDim aBIpsuBiH
   BhP_04.23.035/3 śraddhayaitad anuśrāvyaṃ caturṇāṃ kāraṇaṃ param	Bhu-_04.23.035/3 SradDayA-etat anuSrAvyam caturNAm kAraNam param
   BhP_04.23.036/1 vijayābhimukho rājā śrutvaitad abhiyāti yān	Bhu-_04.23.036/1 vijaya-aBimuKaH rAjA SrutvA-etat aBiyAti yAn
   BhP_04.23.036/2 baliṃ tasmai haranty agre rājānaḥ pṛthave yathā	Bhu-_04.23.036/2 balim tasmE haranti agre rAjAnaH pRTave yaTA
   BhP_04.23.037/1 muktānya-saṅgo bhagavaty amalāṃ bhaktim udvahan	Bhu-_04.23.037/1 muktA-anya-saFgaH Bagavati amalAm Baktim udvahan
   BhP_04.23.037/2 vainyasya caritaṃ puṇyaṃ śṛṇuyāc chrāvayet paṭhet	Bhu-_04.23.037/2 vEnyasya caritam puNyam SRNuyAt SrAvayet paWet-
   BhP_04.23.038/1 vaicitravīryābhihitaṃ mahan-māhātmya-sūcakam	Bhu-_04.23.038/1 vEcitravIrya-aBihitam mahan-mAhAtmya--sUcakam
   BhP_04.23.038/2 asmin kṛtam atimartyaṃ pārthavīṃ gatim āpnuyāt	Bhu-_04.23.038/2 asmin kRtam ati-martyam pArTavIm gatim ApnuyAt-
   BhP_04.23.039/1 anudinam idam ādareṇa śṛṇvan pṛthu-caritaṃ prathayan	Bhu-_04.23.039/1 anudinam idam AdareNa SRNvan pRTu--caritam praTayan
   vimukta-saṅgaḥ	vimukta-saFgaH
   BhP_04.23.039/2 bhagavati bhava-sindhu-pota-pāde sa ca nipuṇāṃ labhate	Bhu-_04.23.039/2 Bagavati Bava--sinDu-pota--pAde sa ca nipuNAm laBate
   ratiṃ manuṣyaḥ	ratim manuzyaH
   BhP_04.24.001/0 maitreya uvāca	Bhu-_04.24.001/0 mEtreyaH uvAca
   BhP_04.24.001/1 vijitāśvo 'dhirājāsīt pṛthu-putraḥ pṛthu-śravāḥ	Bhu-_04.24.001/1 vijita-aSvaH aDirAja-AsIt pRTu-putraH pRTu-SravAH
   BhP_04.24.001/2 yavīyobhyo 'dadāt kāṣṭhā bhrātṛbhyo bhrātṛ-vatsalaḥ	Bhu-_04.24.001/2 yavIyoByaH adadAt kAzWA BrAtRByaH BrAtR-vatsalaH
   BhP_04.24.002/1 haryakṣāyādiśat prācīṃ dhūmrakeśāya dakṣiṇām	Bhu-_04.24.002/1 haryakzAya-AdiSat prAcIm DUmrakeSAya dakziNAm
   BhP_04.24.002/2 pratīcīṃ vṛka-saṃjñāya turyāṃ draviṇase vibhuḥ	Bhu-_04.24.002/2 pratIcIm vRka-saMjQAya turyAm draviNase viBuH
   BhP_04.24.003/1 antardhāna-gatiṃ śakrāl labdhvāntardhāna-saṃjñitaḥ	Bhu-_04.24.003/1 antarDAna--gatim SakrAt labDvA-antarDAna--saMjQitaH
   BhP_04.24.003/2 apatya-trayam ādhatta śikhaṇḍinyāṃ susammatam	Bhu-_04.24.003/2 apatya--trayam ADatta SiKaNxinyAm su-sammatam
   BhP_04.24.004/1 pāvakaḥ pavamānaś ca śucir ity agnayaḥ purā	BhP_04.24.004/1 pAvakaH pavamAnaH ca SuciH iti agnayaH purA
   BhP_04.24.004/2 vasiṣṭha-śāpād utpannāḥ punar yoga-gatiṃ gatāḥ	Bhu-_04.24.004/2 vasizWa--SApAt utpannAH punar yoga--gatim gatAH
   BhP_04.24.005/1 antardhāno nabhasvatyāṃ havirdhānam avindata	Bhu-_04.24.005/1 antarDAnaH naBasvatyAm havirDAnam avindata
   BhP_04.24.005/2 ya indram aśva-hartāraṃ vidvān api na jaghnivān	Bhu-_04.24.005/2 yaH indram aSva-hartAram vidvAn api na jaGnivAn
   BhP_04.24.006/1 rājñāṃ vṛttiṃ karādāna- daṇḍa-śulkādi-dāruṇām	Bhu-_04.24.006/1 rAjQAm vRttim kara-AdAna daNxa--Sulka-Adi-dAruNAm
   BhP_04.24.006/2 manyamāno dīrgha-sattra- vyājena visasarja ha	Bhu-_04.24.006/2 manyamAnaH dIrGa-sattra vyAjena visasarja ha
   BhP_04.24.007/1 tatrāpi haṃsaṃ puruṣaṃ paramātmānam ātma-dṛk	Bhu-_04.24.007/1 tatra-api haMsam puruzam paramAtmAnam Atma--dRS-
   BhP_04.24.007/2 yajaṃs tal-lokatām āpa kuśalena samādhinā	Bhu-_04.24.007/2 yajan tal-lokatAm Apa kuSalena samADinA
   BhP_04.24.008/1 havirdhānād dhavirdhānī vidurāsūta ṣaṭ sutān	Bhu-_04.24.008/1 havirDAnAt DavirDAnI vidurA-asUta zaw sutAn
   BhP_04.24.008/2 barhiṣadaṃ gayaṃ śuklaṃ kṛṣṇaṃ satyaṃ jitavratam	Bhu-_04.24.008/2 barhizadam gayam Suklam kRzNam satyam jita-vratam
   BhP_04.24.009/1 barhiṣat sumahā-bhāgo hāvirdhāniḥ prajāpatiḥ	Bhu-_04.24.009/1 barhizat su-mahA-BAgaH hAvirDAniH prajApatiH
   BhP_04.24.009/2 kriyā-kāṇḍeṣu niṣṇāto yogeṣu ca kurūdvaha	Bhu-_04.24.009/2 kriyA--kANxezu nizNAtaH yogezu ca kuru-udvaha
   BhP_04.24.010/1 yasyedaṃ deva-yajanam anuyajñaṃ vitanvataḥ	Bhu-_04.24.010/1 yasya-idam deva--yajanam anuyajQam vitanvataH
   BhP_04.24.010/2 prācīnāgraiḥ kuśair āsīd āstṛtaṃ vasudhā-talam	BhP_04.24.010/2 prAcIna-agrEH kuSEH AsIt AstRtam vasuDA-talam
   BhP_04.24.011/1 sāmudrīṃ devadevoktām upayeme śatadrutim	Bhu-_04.24.011/1 sAmudrIm devadeva-uktAm upayeme Sata-drutim
   BhP_04.24.011/2 yāṃ vīkṣya cāru-sarvāṅgīṃ kiśorīṃ suṣṭhv-alaṅkṛtām	Bhu-_04.24.011/2 yAm vIkzya cAru--sarva-aFgIm kiSorIm suzWu--alaFkRtAm
   BhP_04.24.011/3 parikramantīm udvāhe cakame 'gniḥ śukīm iva	Bhu-_04.24.011/3 parikramantIm udvAhe cakame agniH SukIm iva
   BhP_04.24.012/1 vibudhāsura-gandharva- muni-siddha-naroragāḥ	Bhu-_04.24.012/1 vibuDa-asura--ganDarva muni-sidDa-nara-uragAH
   BhP_04.24.012/2 vijitāḥ sūryayā dikṣu kvaṇayantyaiva nūpuraiḥ	Bhu-_04.24.012/2 vijitAH sUryayA dikzu kvaNayantyA-eva nUpurEH
   BhP_04.24.013/1 prācīnabarhiṣaḥ putrāḥ śatadrutyāṃ daśābhavan	Bhu-_04.24.013/1 prAcInabarhizaH putrAH SatadrutyAm daSa-aBavan
   BhP_04.24.013/2 tulya-nāma-vratāḥ sarve dharma-snātāḥ pracetasaḥ	Bhu-_04.24.013/2 tulya--nAma-vratAH sarve Darma--snAtAH pracetasaH
   BhP_04.24.014/1 pitrādiṣṭāḥ prajā-sarge tapase 'rṇavam āviśan	Bhu-_04.24.014/1 pitR-AdizwAH prajA-a--sarge tapase arNavam AviSan
   BhP_04.24.014/2 daśa-varṣa-sahasrāṇi tapasārcaṃs tapas-patim	Bhu-_04.24.014/2 daSa--varza--sahasrANi tapasA-arcan tapas--patim
   BhP_04.24.015/1 yad uktaṃ pathi dṛṣṭena giriśena prasīdatā	Bhu-_04.24.015/1 yat uktam paTi dRzwena giriSena prasIdatA
   BhP_04.24.015/2 tad dhyāyanto japantaś ca pūjayantaś ca saṃyatāḥ	Bhu-_04.24.015/2 tat DyAyantaH japantaH ca pUjayantaH ca saMyatAH
   BhP_04.24.016/0 vidura uvāca	Bhu-_04.24.016/0 viduraH uvAca
   BhP_04.24.016/1 pracetasāṃ giritreṇa yathāsīt pathi saṅgamaḥ	Bhu-_04.24.016/1 pracetasAm giritreNa yaTA-AsIt paTi saFgamaH
   BhP_04.24.016/2 yad utāha haraḥ prītas tan no brahman vadārthavat	Bhu-_04.24.016/2 yat uta-Aha haraH prItaH tat naH brahman vada-arTavat
   BhP_04.24.017/1 saṅgamaḥ khalu viprarṣe śiveneha śarīriṇām	BhP_04.24.017/1 saFgamaH Kalu vipra-Rze Sivena-iha SarIriNAm
   BhP_04.24.017/2 durlabho munayo dadhyur asaṅgād yam abhīpsitam	Bhu-_04.24.017/2 durlaBaH munayaH daDyuH asaFgAt yam aBIpsitam
   BhP_04.24.018/1 ātmārāmo 'pi yas tv asya loka-kalpasya rādhase	Bhu-_04.24.018/1 Atma-ArAmaH api yaH tu asya loka-kalpasya rADase
   BhP_04.24.018/2 śaktyā yukto vicarati ghorayā bhagavān bhavaḥ	Bhu-_04.24.018/2 SaktyA yuktaH vicarati GorayA BagavAn BavaH
   BhP_04.24.019/0 maitreya uvāca	Bhu-_04.24.019/0 mEtreyaH uvAca
   BhP_04.24.019/1 pracetasaḥ pitur vākyaṃ śirasādāya sādhavaḥ	Bhu-_04.24.019/1 pracetasaH pituH vAkyam SirasA-AdAya sADavaH
   BhP_04.24.019/2 diśaṃ pratīcīṃ prayayus tapasy ādṛta-cetasaḥ	Bhu-_04.24.019/2 diSam pratIcIm prayayuH tapasi AdRta--cetasaH
   BhP_04.24.020/1 sa-samudram upa vistīrṇam apaśyan sumahat saraḥ	Bhu-_04.24.020/1 sa--samudram upa vistIrNam apaSyan su-mahat saraH
   BhP_04.24.020/2 mahan-mana iva svacchaṃ prasanna-salilāśayam	Bhu-_04.24.020/2 mahan-manaH iva svacCam prasanna--salila-ASayam
   BhP_04.24.021/1 nīla-raktotpalāmbhoja- kahlārendīvarākaram	BhP_04.24.021/1 nIla-rakta-utpala-amBoja kahlAra-indIvara-Akaram
   BhP_04.24.021/2 haṃsa-sārasa-cakrāhva- kāraṇḍava-nikūjitam	Bhu-_04.24.021/2 haMsa--sArasa--cakra-Ahva kAraNxa-va--nikUjitam
   BhP_04.24.022/1 matta-bhramara-sausvarya- hṛṣṭa-roma-latāṅghripam	Bhu-_04.24.022/1 matta-Bramara--sOsvarya hRzwa--roma--latA-aFGripam
   BhP_04.24.022/2 padma-kośa-rajo dikṣu vikṣipat-pavanotsavam	Bhu-_04.24.022/2 padma-koSa--rajaH dikzu vikzipat--pavana-utsavam
   BhP_04.24.023/1 tatra gāndharvam ākarṇya divya-mārga-manoharam	Bhu-_04.24.023/1 tatra gAnDarvam AkarNya divya--mArga--manoharam
   BhP_04.24.023/2 visismyū rāja-putrās te mṛdaṅga-paṇavādy anu	Bhu-_04.24.023/2 visismyuH rAja--putrAH te mRdaFga--paNava-Adi anu
   BhP_04.24.024/1 tarhy eva sarasas tasmān niṣkrāmantaṃ sahānugam	Bhu-_04.24.024/1 tarhi eva sarasaH tasmAt nizkrAmantam saha-anugam
   BhP_04.24.024/2 upagīyamānam amara- pravaraṃ vibudhānugaiḥ	Bhu-_04.24.024/2 upagIyamAnam amara pravaram vibuDa-anugEH
   BhP_04.24.025/1 tapta-hema-nikāyābhaṃ śiti-kaṇṭhaṃ tri-locanam	Bhu-_04.24.025/1 tapta--hema-nikAya-ABam Siti-kaNWam tri-locanam
   BhP_04.24.025/2 prasāda-sumukhaṃ vīkṣya praṇemur jāta-kautukāḥ	Bhu-_04.24.025/2 prasAda--su-muKam vIkzya praNemuH jAta--kOtukAH
   BhP_04.24.026/1 sa tān prapannārti-haro bhagavān dharma-vatsalaḥ	Bhu-_04.24.026/1 sa tAn prapanna-Arti-haraH BagavAn Darma-vatsalaH
   BhP_04.24.026/2 dharma-jñān śīla-sampannān prītaḥ prītān uvāca ha	Bhu-_04.24.026/2 Darma--jQAn SIla--sampannAn prItaH prItAn uvAca ha
   BhP_04.24.027/0 śrī-rudra uvāca	BhP_04.24.027/0 SrI-rudraH uvAca
   BhP_04.24.027/1 yūyaṃ vediṣadaḥ putrā viditaṃ vaś cikīrṣitam	Bhu-_04.24.027/1 yUyam vedizadaH putrAH viditam vaH cikIrzitam
   BhP_04.24.027/2 anugrahāya bhadraṃ va evaṃ me darśanaṃ kṛtam	Bhu-_04.24.027/2 anugrahAya Badram vaH evam me darSanam kRtam
   BhP_04.24.028/1 yaḥ paraṃ raṃhasaḥ sākṣāt tri-guṇāj jīva-saṃjñitāt	Bhu-_04.24.028/1 yaH param raMhasaH sAkzAt tri-guNAt jIva--saMjQitAt-
   BhP_04.24.028/2 bhagavantaṃ vāsudevaṃ prapannaḥ sa priyo hi me	Bhu-_04.24.028/2 Bagavantam vAsudevam prapannaH sa priyaH hi me
   BhP_04.24.029/1 sva-dharma-niṣṭhaḥ śata-janmabhiḥ pumān viriñcatām eti	Bhu-_04.24.029/1 sva-Darma--nizWaH Sata--janmaBiH pumAn viriQcatAm eti
   tataḥ paraṃ hi mām	tatas param hi mAm
   BhP_04.24.029/2 avyākṛtaṃ bhāgavato 'tha vaiṣṇavaṃ padaṃ yathāhaṃ vibudhāḥ	Bhu-_04.24.029/2 avyAkRtam BAgavataH aTa vEzNavam padam yaTA-aham vibuDAH
   kalātyaye	kalA-atyaye
   BhP_04.24.030/1 atha bhāgavatā yūyaṃ priyāḥ stha bhagavān yathā	Bhu-_04.24.030/1 aTa BAgavatAH yUyam priyAH sTa BagavAn yaTA
   BhP_04.24.030/2 na mad bhāgavatānāṃ ca preyān anyo 'sti karhicit	Bhu-_04.24.030/2 na mat BAgavatAnAm ca preyAn anyaH asti karhicit-
   BhP_04.24.031/1 idaṃ viviktaṃ japtavyaṃ pavitraṃ maṅgalaṃ param	Bhu-_04.24.031/1 idam viviktam japtavyam pavitram maFgalam param
   BhP_04.24.031/2 niḥśreyasa-karaṃ cāpi śrūyatāṃ tad vadāmi vaḥ	Bhu-_04.24.031/2 niHSreyasa-karam ca-api SrUyatAm tat vadAmi vaH
   BhP_04.24.032/0 maitreya uvāca	Bhu-_04.24.032/0 mEtreyaH uvAca
   BhP_04.24.032/1 ity anukrośa-hṛdayo bhagavān āha tāñ chivaḥ	Bhu-_04.24.032/1 iti anukroSa--hRdayaH BagavAn Aha tAn SivaH
   BhP_04.24.032/2 baddhāñjalīn rāja-putrān nārāyaṇa-paro vacaḥ	Bhu-_04.24.032/2 badDAQjalIn rAja--putrAn nArAyaNa--paraH vacaH
   BhP_04.24.033/0 śrī-rudra uvāca	BhP_04.24.033/0 SrI-rudraH uvAca
   BhP_04.24.033/1 jitaṃ ta ātma-vid-varya- svastaye svastir astu me	Bhu-_04.24.033/1 jitam te Atma--vid--varya svastaye svastiH astu me
   BhP_04.24.033/2 bhavatārādhasā rāddhaṃ sarvasmā ātmane namaḥ	Bhu-_04.24.033/2 BavatA-arADasAH rAdDam sarvasmE Atmane namaH
   BhP_04.24.034/1 namaḥ paṅkaja-nābhāya bhūta-sūkṣmendriyātmane	BhP_04.24.034/1 namaH paFkaja--nABAya BUta--sUkzma-indriya-Atmane
   BhP_04.24.034/2 vāsudevāya śāntāya kūṭa-sthāya sva-rociṣe	Bhu-_04.24.034/2 vAsudevAya SAntAya kUwa-sTAya sva--rocize
   BhP_04.24.035/1 saṅkarṣaṇāya sūkṣmāya durantāyāntakāya ca	Bhu-_04.24.035/1 saFkarzaNAya sUkzmAya durantAya-antakAya ca
   BhP_04.24.035/2 namo viśva-prabodhāya pradyumnāyāntar-ātmane	Bhu-_04.24.035/2 namaH viSva-praboDAya pradyumnAya-antar-Atmane
   BhP_04.24.036/1 namo namo 'niruddhāya hṛṣīkeśendriyātmane	Bhu-_04.24.036/1 namaH namaH anirudDAya hRzIkeSa-indriya-Atmane
   BhP_04.24.036/2 namaḥ paramahaṃsāya pūrṇāya nibhṛtātmane	Bhu-_04.24.036/2 namaH paramahaMsAya pUrNAya niBRta-Atmane
   BhP_04.24.037/1 svargāpavarga-dvārāya nityaṃ śuci-ṣade namaḥ	BhP-_04.24.037/1 svarga-apavarga-dvArAya nityam Suci--zade namaH
   BhP_04.24.037/2 namo hiraṇya-vīryāya cātur-hotrāya tantave	Bhu-_04.24.037/2 namaH hiraNya-vIryAya cAtur-hotrAya tantave
   BhP_04.24.038/1 nama ūrja iṣe trayyāḥ pataye yajña-retase	Bhu-_04.24.038/1 namaH Urje ize trayyAH pataye yajQa-retase
   BhP_04.24.038/2 tṛpti-dāya ca jīvānāṃ namaḥ sarva-rasātmane	Bhu-_04.24.038/2 tRpti-dAya ca jIvAnAm namaH sarva-rasa-Atmane
   BhP_04.24.039/1 sarva-sattvātma-dehāya viśeṣāya sthavīyase	Bhu-_04.24.039/1 sarva--sattva-Atma--dehAya viSezAya sTavIyase
   BhP_04.24.039/2 namas trailokya-pālāya saha ojo-balāya ca	Bhu-_04.24.039/2 namaH trElokya-pAlAya saha ojaH--balAya ca
   BhP_04.24.040/1 artha-liṅgāya nabhase namo 'ntar-bahir-ātmane	Bhu-_04.24.040/1 arTa--liFgAya naBase namaH antar-bahis--Atmane
   BhP_04.24.040/2 namaḥ puṇyāya lokāya amuṣmai bhūri-varcase	Bhu-_04.24.040/2 namaH puNyAya lokAya amuzmE BUri-varcase
   BhP_04.24.041/1 pravṛttāya nivṛttāya pitṛ-devāya karmaṇe	Bhu-_04.24.041/1 pravRttAya nivRttAya pitR-devAya karmaNe
   BhP_04.24.041/2 namo 'dharma-vipākāya mṛtyave duḥkha-dāya ca	Bhu-_04.24.041/2 namaH aDarma--vipAkAya mRtyave duHKa--dAya ca
   BhP_04.24.042/1 namas ta āśiṣām īśa manave kāraṇātmane	Bhu-_04.24.042/1 namaH te ASizAm ISa manave kAraNa-Atmane
   BhP_04.24.042/2 namo dharmāya bṛhate kṛṣṇāyākuṇṭha-medhase	Bhu-_04.24.042/2 namaH DarmAya bRhate kRzNAya-akuNWa--meDase
   BhP_04.24.042/3 puruṣāya purāṇāya sāṅkhya-yogeśvarāya ca	Bhu-_04.24.042/3 puruzAya purANAya sAFKya--yoga-ISvarAya ca
   BhP_04.24.043/1 śakti-traya-sametāya mīḍhuṣe 'haṅkṛtātmane	BhP_04.24.043/1 Sakti-traya--sametAya mIXuze ahaFkRta-Atmane
   BhP_04.24.043/2 ceta-ākūti-rūpāya namo vāco vibhūtaye	Bhu-_04.24.043/2 ceta-A-AkUti--rUpAya namaH vAcaH viBUtaye
   BhP_04.24.044/1 darśanaṃ no didṛkṣūṇāṃ dehi bhāgavatārcitam	Bhu-_04.24.044/1 darSanam naH didRkzUNAm dehi BAgavata-arcitam
   BhP_04.24.044/2 rūpaṃ priyatamaṃ svānāṃ sarvendriya-guṇāñjanam	Bhu-_04.24.044/2 rUpam priyatamam svAnAm sarva-indriya--guNa-aQjanam
   BhP_04.24.045/1 snigdha-prāvṛḍ-ghana-śyāmaṃ sarva-saundarya-saṅgraham	BhP_04.24.045/1 snigDa--prAvRz--Gana-SyAmam sarva-sOndarya--saFgraham
   BhP_04.24.045/2 cārv-āyata-catur-bāhu sujāta-rucirānanam	Bhu-_04.24.045/2 cAru--Ayata--catur-bAhu su-jAta--rucira-Ananam
   BhP_04.24.046/1 padma-kośa-palāśākṣaṃ sundara-bhru sunāsikam	Bhu-_04.24.046/1 padma-koSa--palASa-akzam sundara-Bru su-nAsikam
   BhP_04.24.046/2 sudvijaṃ sukapolāsyaṃ sama-karṇa-vibhūṣaṇam	Bhu-_04.24.046/2 su-dvijam su-kapola-Asyam sama-karNa--viBUzaNam
   BhP_04.24.047/1 prīti-prahasitāpāṅgam alakai rūpa-śobhitam	BhP_04.24.047/1 prIti-prahasita-apAFgam alakEH rUpa--SoBitam
   BhP_04.24.047/2 lasat-paṅkaja-kiñjalka- dukūlaṃ mṛṣṭa-kuṇḍalam	Bhu-_04.24.047/2 lasat--paFkaja--kiQjalka dukUlam mRzwa--kuNxalam
   BhP_04.24.048/1 sphurat-kirīṭa-valaya- hāra-nūpura-mekhalam	Bhu-_04.24.048/1 sPurat--kirIwa--valaya hAra-nUpura--meKalam
   BhP_04.24.048/2 śaṅkha-cakra-gadā-padma- mālā-maṇy-uttamarddhimat	BhP_04.24.048/2 SaFKa--cakra--gadA--padma mAlA-a-maNI--uttama-RdDimat-
   BhP_04.24.049/1 siṃha-skandha-tviṣo bibhrat saubhaga-grīva-kaustubham	Bhu-_04.24.049/1 siMha-skanDa--tvizaH biBrat sOBaga-grIva--kOstuBam
   BhP_04.24.049/2 śriyānapāyinyā kṣipta- nikaṣāśmorasollasat	Bhu-_04.24.049/2 SriyA-anapAyinyA kzipta nikaza-aSma-urasA-ullasat-
   BhP_04.24.050/1 pūra-recaka-saṃvigna- vali-valgu-dalodaram	Bhu-_04.24.050/1 pUra-recaka--saMvigna vali-valgu--dala-udaram
   BhP_04.24.050/2 pratisaṅkrāmayad viśvaṃ nābhyāvarta-gabhīrayā	Bhu-_04.24.050/2 pratisaFkrAmayat viSvam nABi-Avarta-gaBIrayA
   BhP_04.24.051/1 śyāma-śroṇy-adhi-rociṣṇu- dukūla-svarṇa-mekhalam	Bhu-_04.24.051/1 SyAma--SroNi--aDi-rocizNu dukUla-svarNa--meKalam
   BhP_04.24.051/2 sama-cārv-aṅghri-jaṅghoru- nimna-jānu-sudarśanam	BhP_04.24.051/2 sama-cArv-aFGri-jaFGA-Uru nimna-ja-anu--sudarSanam
   BhP_04.24.052/1 padā śarat-padma-palāśa-rociṣā nakha-dyubhir no	Bhu-_04.24.052/1 padA Sarat--padma--palASa--rocizA naKa-dyuBiH no
   'ntar-aghaṃ vidhunvatā	antar--aGam viDunvatA
   BhP_04.24.052/2 pradarśaya svīyam apāsta-sādhvasaṃ padaṃ guro mārga-gurus	Bhu-_04.24.052/2 pradarSaya svIyam apAsta--sADvasam padam guro mArga-guru-s
   tamo-juṣām	tamaH--juzAm
   BhP_04.24.053/1 etad rūpam anudhyeyam ātma-śuddhim abhīpsatām	Bhu-_04.24.053/1 etat rUpam anuDyeyam Atma--SudDim aBIpsatAm
   BhP_04.24.053/2 yad-bhakti-yogo 'bhayadaḥ sva-dharmam anutiṣṭhatām	Bhu-_04.24.053/2 yat--Bakti-yogaH aBaya-daH sva--Darmam anutizWatAm
   BhP_04.24.054/1 bhavān bhaktimatā labhyo durlabhaḥ sarva-dehinām	Bhu-_04.24.054/1 BavAn BaktimatA laByaH durlaBaH sarva-dehinAm
   BhP_04.24.054/2 svārājyasyāpy abhimata ekāntenātma-vid-gatiḥ	Bhu-_04.24.054/2 svArAjyasya-api aBimataH ekAntena-Atma-vid-gatiH
   BhP_04.24.055/1 taṃ durārādhyam ārādhya satām api durāpayā	Bhu-_04.24.055/1 tam durArADyam ArADya satAm api durApayA
   BhP_04.24.055/2 ekānta-bhaktyā ko vāñchet pāda-mūlaṃ vinā bahiḥ	Bhu-_04.24.055/2 ekAnta--BaktyA kaH vAQCet pAda--mUlam vinA bahis-
   BhP_04.24.056/1 yatra nirviṣṭam araṇaṃ kṛtānto nābhimanyate	Bhu-_04.24.056/1 yatra nirvizwam araNam kRtAntaH na-aBimanyate
   BhP_04.24.056/2 viśvaṃ vidhvaṃsayan vīrya- śaurya-visphūrjita-bhruvā	BhP_04.24.056/2 viSvam viDvaMsayan vIrya SOrya-visPUrjita-BruvA
   BhP_04.24.057/1 kṣaṇārdhenāpi tulaye na svargaṃ nāpunar-bhavam	Bhu-_04.24.057/1 kzaNa-arDena-api tulaye na svargam na-apunar-Bavam
   BhP_04.24.057/2 bhagavat-saṅgi-saṅgasya martyānāṃ kim utāśiṣaḥ	Bhu-_04.24.057/2 Bagavat--saFgi-saFgasya martyAnAm kim uta-ASizaH
   BhP_04.24.058/1 athānaghāṅghres tava kīrti-tīrthayor	Bhu-_04.24.058/1 aTa-anaGa-aFGreH tava kIrti-tIrTayoH-
   antar-bahiḥ-snāna-vidhūta-pāpmanām	antar-bahis--snAna--viDUta--pApmanAm
