   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   TiUdgh11.28ab: lādevihāray...&..kṣa kathaṃ bhavet	Tiu-udG11.28ab: lAdevihAra-y...&..kza kaTam Bavet-
   TiUdgh11.28cd: rāgadveṣa-ahaṅkāre & dviye dviṣanti parasparau	Tiu-udG11.28cd: rAga-dveza--ahaFkAre & dviye dvizanti parasparO
   TiUdgh11.29ab: kaulikajñānasadbhāvaṃ & kutaḥ teṣāṃ varānane	Tiu-udG11.29ab: kOlika-jQAna-sadBAvam & kutas tezAm varAnane
   TiUdgh11.29cd: a.... <...> aśaktan[n/t][a]pare yuktā %meter?	Tiu-udG11.29cd: a.... <...> aSaktan[n/t][a]pare yuktAH %meteH-?
   TiUdgh11.30ab: kule na yuktaṃ jātiṣu & kathyante mokṣadā bhavet	Tiu-udG11.30ab: kule na yuktam jAtizu & kaTyante mokza-dA Bavet-
   TiUdgh11.30cd: kaulikena vinā devi & divyacakṣu na jā...[\fol 40v]	Tiu-udG11.30cd: kOlikena vinA devi & divya-cakzu na jA...[\fot 40v]
   TiUdgh11.31ab: ...teṣā<ṃ> & kaulapatimahad bhavet	Tiu-udG11.31ab: ...tezA<M> & kOlapati-mahat Bavet-
   TiUdgh11.31cd: aśaktā yogapaṭhe ca & yoginī ca gaveśayet	Tiu-udG11.31cd: aSaktA yoga-paWe ca & yoginI ca gaveSayet-
   TiUdgh11.32ab: ....ñca & tāv amokṣo na vidyate	Tiu-udG11.32ab: ....Qca & tO amokzaH na vidyate
   TiUdgh11.32cd: .......tā & yukto yoge tu kaulikaṃ	Tiu-udG11.32cd: .......tA & yuktaH yoge tu kOlikam
   TiUdgh11.33ab: jātādhika tathā yoga & sarvaiśvaryaguṇādhikam	Tiu-udG11.33ab: jAta-aDika taTA yogaH & sarva-ESvarya-guNa-aDikam
   iti timirodghāṭane ekādaśamaḥ	iti timira-udGAwane ekAdaSamaH
   devy uvāca	devI uvAca
   TiUdgh12.1ab: atra yogāvatāre tu & **yogā kramāgatā	Tiu-udG12.1ab: atra yoga-avatAre tu & **yogA krama-AgatA
   TiUdgh12.1cd: liṅgapūjā kathan teṣāṃ & mantratantrākṣarādiṣu	Tiu-udG12.1cd: liFga-pUjA kaTan tezAm & mantra-tantra-akzara-Adizu
   bairava u	bEravaH u
   TiUdgh12.2ab: susaṃskṛtya guruṃ siṣya & kathayet sakalaṃ parā	Tiu-udG12.2ab: susaMskRtya gurum sizya & kaTayet sakalam parA
   TiUdgh12.2cd: sūkṣmā caiva param paścā & samvedya ya*sambhave	Tiu-udG12.2cd: sUkzmA ca-eva param paScA & samvedya ya*samBave
   TiUdgh12.3ab: sthūlan tu tadbhāva proktaṃ & ........	Tiu-udG12.3ab: sTUlan tu tad-BAva proktam & ........
   TiUdgh12.3cd: paraṃ mokṣapadaṃ jñeyaṃ & divyaṃ [bh]avyaṃ tu putrakai<ḥ>	Tiu-udG12.3cd: param mokza-padam jQeyam & divyam [B]avyam tu putrakE<H>
   TiUdgh12.4ab: na teṣāṃ mṛnmayaṃ liṅgaṃ & na [śailaṃ] rūpyakāñcanam	Tiu-udG12.4ab: na tezAm mRd-mayam liFgam & na [SElaM] rUpya-kAQcanam
   TiUdgh12.4cd: na citrasa[**liṅga] & [svadeh ... m]	Tiu-udG12.4cd: na citra-sa[**liFga] & [svadeh ... m]
   TiUdgh12.5ab: liṅga<ṃ> svadehe{ṣu} saṃpūjyaṃ & dharmapuṇyamahā[spadam?]	Tiu-udG12.5ab: liFga<M> sva-dehe{zu} saMpUjyam & Darma-puNya-mahA[spadam?]
   TiUdgh12.5cd: yo... & ukto bhogan tu mokṣa*ṃ [\fol 41r]	Tiu-udG12.5cd: yaH-... & uktaH Bogan tu mokza*m [\fot 41r]
   TiUdgh12.6ab: ... & ... yoginaḥ	Tiu-udG12.6ab: ... & ... yoginaH
   TiUdgh12.6cd: tasya pūjyam adhordvena & ...	Tiu-udG12.6cd: tasya pUjyam aDoH-dvena & ...
   TiUdgh12.7ab: ....	Tiu-udG12.7ab: ....
   TiUdgh12.7cd: ...gamokṣan tu & icchāsiddhi karoti iti	Tiu-udG12.7cd: ...gamokzan tu & icCA-sidDi karoti iti
   TiUdgh12.8ab: yogeśvaro yathepsayā & ........	Tiu-udG12.8ab: yogeSvaraH yaTA-IpsayA & ........
   TiUdgh12.8cd: ..pi bhavate mokṣa& ........	Tiu-udG12.8cd: ..pi Bavate mokza& ........
   TiUdgh12.9ab: nānyatra gamanaṃ tasya & iti loka niścaya{ṃ}<ḥ>	Tiu-udG12.9ab: na-anyatra gamanam tasya & iti loka niScaya-{M}<H>
   TiUdgh12.9cd: evaṃ brahmāṇḍodarasthaṃ & sarvva ...raṃ	Tiu-udG12.9cd: evam brahmANxa-udara-sTam & sarvva ...ram
   TiUdgh12.10ab: kurute tu pa ...& ....niṣkalam	Tiu-udG12.10ab: kurute tu paH ...& ....nizkalam
   TiUdgh12.10cd: sar**ṃ yoginaṃ liṅgaṃ & parāśaktir adhiṣṭhitam	Tiu-udG12.10cd: sar**m yoginam liFgam & parASaktiH aDizWitam
   TiUdgh12.11ab: ātma saṃvetti pratya[kṣaṃ] & sakalaniṣkalāśritaṃ	Tiu-udG12.11ab: Atma saMvetti pratya[kzan] & sakala-nizkala-ASritam
   TiUdgh12.11cd: ...& sarvadevata-m-āśritā	Tiu-udG12.11cd: ...& sarva-devata-m-a-ASritA
   TiUdgh12.12ab: sarvvātriṅśasamāpannaṃ & sarvapratyakṣapratyayam	Tiu-udG12.12ab: sarvvAtriFSa-samApannam & sarva-pratyakza-pratyayam
   TiUdgh12.12cd: divya paśyati yo deva & antarikṣe [bh/ti]pratya...	Tiu-udG12.12cd: divya paSyati yaH deva & antarikze [B/ti]pratya...
   TiUdgh12.13ab: ...mṛtkāṣṭhe & liṅga<ṃ> pratimam eva ca	Tiu-udG12.13ab: ...mRd-kAzWe & liFga<M> pratimam eva ca
   TiUdgh12.13cd: manuṣyayoginā tais tu & yasya pudgalaliṅgākṛti%hyperm.	Tiu-udG12.13cd: manuzya-yoginA tEH tu & yasya pudgala-liFga-AkRti%hi-perm.
   TiUdgh12.14ab: divyacakṣusthito yogī & paśyanti ..... [\fol 41v]	Tiu-udG12.14ab: divya-cakzu-sTitaH yogI & paSyanti ..... [\fot 41v]
   TiUdgh12.14cd: kiṃ tasya pratimārūpaiḥ & yasya divyāgatisthitā	Tiu-udG12.14cd: kim tasya pratimA-rUpEH & yasya divya-agati-sTitA
   TiUdgh12.15ab: paśyanti divyaliṅgāni & trailokyajñānam uttamam	Tiu-udG12.15ab: paSyanti divya-liFgAni & trElokya-jQAnam uttamam
   TiUdgh12.15cd: kiṃ karoti -m- iti liṅga & yasya ....tā	Tiu-udG12.15cd: kim karoti -m iti liFga & yasya ....tA
   TiUdgh12.16ab: brāhmāṇḍa vetti dehasthā & trailokyodarasambhavam	Tiu-udG12.16ab: brAhmANxa vetti deha-sTAH & trElokya-udara-samBavam
   TiUdgh12.16cd: etal liṅgamahātmānaṃ & yogendra pūjayet sadā	Tiu-udG12.16cd: etat liFga-mahAtmAnam & yoga-indra pUjayet sadA
   pratibimbañ ca [t/bh]e... & ...s tu	pratibimban ca [t/B]e... & ...H tu
   ...pratyakṣaṃ na*e & kāṣṭhayogottarottaraḥ	...pratyakzam na*e & kAzWayoga-uttarottaraH
   amrtena vinā devi & yogendro *mate**ṃ	amrtena vinA devi & yoga-indraH *mate**m
   gatalajjā iv{ā} nārī &*i......	gata-lajjA iv{A} nArI &*i......
   vijane kānte gupte vā & ramate tu yathepsayā	vijane kAnte gupte vA & ramate tu yaTA-IpsayA
   aṅganā-m iva nāṅgāni & ....tilālasā	aFganA-m iva na-aFgAni & ....ti-lAlasA
   rama... & ...	rama... & ...
   ..raktānuraktasya & ratyānandakarī priyā	..rakta-anuraktasya & rati-Ananda-karI priyA
   <...> vairāgya<ṃ> [caiva] gacchati	<...> vErAgya<M> [ca-eva] gacCati
   ....&...dhikaulakī hye...	....&...Di-kOlakI hi-e...
   ...sadyapratyayakārakaṃ	...sadya-pratyaya-kArakam
   ...sarva [\fol 42r]	...sarvaH [\fot 42r]
   satya satya punaḥ ....	satya satya punar ....
   iti timirodghāṭane dvādaśaḥ paṭalaḥ samāptaḥ \orn	iti timira-udGAwane dvAdaSaH pawalaH samAptaH \oH-n
   %Jñānaśula	%JQAna-Sula
   puprakīrtitā	puprakIrtitA
   kriyāśaktisthito viṣṇuḥ & umāsoma prakīrtitaḥ	kriyA-Sakti-sTitaH vizNuH & umAsoma prakIrtitaH
   icchā<śaktithit>....śaktiśiva....	icCA<-SaktiTit>....Sakti-Siva-....
   ..nāḍī & [vāmā]śāktiprakīrttitā	..nAxI & [vAmA]SAkti-prakIrttitA
   brāhmī caiva suṣumnā & jyeṣṭhāśakti prakīrtitā	brAhmI ca-eva suzumnA & jyezWA-Sakti prakIrtitA
   [madhya]sthā piṅgalā jñeyā & ........	[maDya]sTA piFgalA jQeyA & ........
   jñānaśūlam idaṃ proktaṃ & śaktitrayasamanvitam	jQAna-SUlam idam proktam & Sakti-traya-samanvitam
   bhittvā somañ ca sūryañ ca & tṛtīyāvahnimaṇḍalam	BittvA soman ca sUryan ca & tRtIyOvahni-maNxalam
   rekhatraya ta.... vyavasthitā	reKa-traya ta.... vyavasTitA
   bhasme vā salile vātha & jñānaśūlena vinyaset	Basme vA salile vA-aTa & jQAna-SUlena vinyaset-
   agnimadhye yajed yas tu & svāyambhubhuvaneśvaram	agni-maDye yajet yaH tu & svAyamBu-Buvana-ISvaram
   yū...[\fol 42v] & trailokya[ṃ] sacarācaraṃ	yU...[\fot 42v] & trElokya[M] sacarAcaram
   <...> & yātā labhanti tatphalaṃ	<...> & yAtAH laBanti tad-Palam
   somatīrthe yajed yas tu & svayambhukāyapālanam	somatIrTe yajet yaH tu & svayamBu-kAya-pAlanam
   pūjitan tena sarvasyā & niṣkala...	pUjitan tena sarvasyAH & nizkala...
   pātālañ ca mahīcārddha&madhyāhne candram ucchrayam	pAtAlan ca mahI-ca-ardDa&maDyAhne candram ucCrayam
   ratnānāṃ pūrṇṇa yo dadyā & yoginā śaṃsitavratam	ratnAnAm pUrNNa yaH dadyA & yoginA SaMsita-vratam
   svadehe puṣpam eke. & ..labhanti tatphalaṃ	sva-dehe puzpam eke. & ..laBanti tad-Palam
   viśuddhe samvidhasyā* & prajā tribhuvaneśvaram	viSudDe samviDasyA* & prajA triBuvana-ISvaram
   abhāvepraji....vairāgyasadato*i...	aBAvepraji....vErAgya-sat-ato*i...
   ..ryantaṃ	..ryantam
   stuti kṛtvā ca ratnānāṃ	stuti kRtvA ca ratnAnAm
   pūrṇṇa yo dadyā ācārya	pUrNNa yaH dadyAH AcArya
   koṭikoṭiji*... dehe śivapuṣpe ca	kowi-kowiji*... dehe Siva-puzpe ca
   dviguṇaṃ [gandha]saṃyuktaṃ & dhūpenaiva caturguṇam	dviguNam [ganDa]-saMyuktam & DUpena-eva caturguNam
   gandha[uṣpamalābhena **i	ganDa-[uzpama-lABena **i
   nyo hṛdaya / māṃ	nyaH hRdaya / mAm
   [\fol 43r]	[\fot 43r]
   ṣṭhi ...pivamantrapadecchayā ... sa	zWi ...piva-mantra-pada-icCayA ... sa
   taṃ sunirmalaṃ	tam su-nirmalam
   yojayet tatra -m- ātmānaṃ & tantunā saha yogavit	yojayet tatra -m AtmAnam & tantunA saha yoga-vid-
   ...lam pibet ...	...lam pibet ...
   ...mantra /	...mantra /
   prāṇā[pt?]ikeṣu nādāśati /	prANA[pt?]ikezu na-adASati /
   brahmahatyāsahasrāṇi & hayamedhaśatāni ca	brahmahatyA-sahasrANi & hayameDa-SatAni ca
   ...pāpenanyāsakṛ...	...pApena-nyAsa-kR...
   ātmānaṃ *i* saṃyojya & tula brahmā ṇivadanti //\orn//	AtmAnam *i* saMyojya & tula brahmA Nivadanti //\oH-n//
   \orn oṃ namaḥ śivāya //	\orn om namaH SivAya //
   devyovāca	devyA-uvAca
   yad eta niṣkala... &...tanaṃ	yat eta nizkala... &...tanam
   niṣkalaṃ nirmalaṃ śāntaṃ & niṣprapañcam alakṣaṇam	nizkalam nirmalam SAntam & nizprapaQcam alakzaNam
   apratarkyam avijnneyam & vināśotpattivarjitam	apratarkyam avijnneyam & vinASa-utpatti-varjitam
   kaivalyaṃ kevalaṃ śāntaṃ & śuddham...	kEvalyam kevalam SAntam & SudDam...
   karaṇam yoganirmuktaṃ & hetusādhanavarjitaṃ	karaNam yoga-nirmuktam & hetu-sADana-varjitam
   tat kṣaṇād eva mucyante & taṃ jñānam brūhi śaṅkara	tat kzaNAt eva mucyante & tam jQAnam brUhi SaFkara
   yatra śakti tadākāśaṃ & dehasthaṃ dehavarjita[ṃ]	yatra Sakti tad-AkASam & deha-sTam deha-varjita-[M]
   [\fol 43v] ..kathaṃ deh[e?] kathaṃ dehavarjitaṃ	[\fot 43v] ..-kaTam deh[e?] kaTam deha-varjitam
   kathaṃ jīvo sthito dehe & jīva jīva prakīrttitam	kaTam jIvaH sTitaH dehe & jIva jIva prakIrttitam
   kena jīvaty asau jīva & kena mārgeṇa saṃcare	kena jIvati asO jIva & kena mArgeNa saMcare
   sakalas tu kathaṃ jīvo & niṣka bhavet	sakalaH tu kaTam jIvaH & nizka Bavet-
   kathaṃ paśyaty asau jīvo & ki* jīvasya bhojanam	kaTam paSyati asO jIvaH & ki* jIvasya Bojanam
   kutra vā līyate jīvo & jāyate ko tra -m- eva hi	kutra vA lIyate jIvaH & jAyate kaH tra -m eva hi
   kiṃvarṇṇe kimpramaṇan tu & jīvasya .....	kiMvarNNe kimpramaNan tu & jIvasya .....
   sarvam etan mayākhyāhi & devadeva maheśvara	sarvam etat mayA-AKyAhi & devadeva maheSvara
   bhavasāgarabandhāt tu & ādimokṣadaviprabho	Bava-sAgara-banDAt tu & Adi-mokza-davi-praBo
   īśvara uvāca //	ISvaraH uvAca //
   vāyus tejas tadā... saṃjñitaṃ	vAyuH tejaH tadA-a... saMjQitam
   jīva prāṇam ity uktam vā & vālāgraśatakalpitam	jIva prANam iti uktam vA & vAla-agra-Sata-kalpitam
   jīva śuklas tu vijñeyaṃ & yāva sa[ttve]na saṃyutaṃ	jIva SuklaH tu vijQeyam & yAva sa[ttve]na saMyutam
   rajena...&...prakīrttitaṃ	rajena-...&...-prakIrttitam
   tamena tu samāyuktaṃ & jīva kṛṣṇo bhave dhruvam	tamena tu samAyuktam & jIva kRzNaH Bave Druvam
   jīvaṃ sattvasamāyukto & ....te	jIvam sattva-samAyuktaH & ....te
   rajena tu sa[māyu]...&...bhuḥ	rajena tu sa[m-Ayu]...&...BuH
   tamena [tu samā]yukto & tadā pāpe pravarttate	tamena [tu samA]-yuktaH & tadA pApe pravarttate
   nāsā[gra]ṇai....	nAsA[gra-]NE....
   [\fol 44r]	[\fot 44r]
   *tu /	*tu /
   hṛtpadman tu ***tu & adhaś cordhvañ ca dhā	hRd-padman tu ***tu & aDas ca-UrDvan ca DA
   ...dharm...	...Darm...
   ..prāṇaś ca vijñeyaṃ & nāsāgraṃ yāva saṃsthitam	..prANaH ca vijQeyam & nAsA-agram yAva saMsTitam
   tatrastho niṣkalaḥ proktaḥ & [yāvano]śvāsa[te punaḥ]	tatrasTaH nizkalaH proktaH & [yAvano]SvAsa[te punar-]
   [śva]sanasahasrayukto * & hṛday...	[Sva]sana-sahasra-yuktaH * & hRday...
   tasthavyomnī tadā līna & tāva niṣkalatāṅ gataḥ	tasTa-vyomnI tadA lInaH & tAva nizkala-tAF gataH
   punaḥ śvāsatṛtīyaṃ tu & jīvasya parikīrtitam	punar SvAsa-tRtIyam tu & jIvasya parikIrtitam
   hṛtpadmasuśureṇaiva & adho... taṃ	hRd-padma-suSureNa-eva & aDas-... tam
   jīva[me?]vaśam ityuktaṃ & śivena paramātmanā	jIva[me?]-vaSam iti-uktam & Sivena paramAtmanA
   yāva na nośvāsa devī & tāva niṣkalam ucyate %em: nocchvasanaṃ... devi	yAva na na-uSvAsa devI & tAva nizkalam ucyate %em: na-ucCvasanaM... devi
   nāsthito niṣkalo jñā[tvā] & va[r/n/t?]ma....	na-AsTitaH nizkalaH jQA[tvA] & va[r/n/t?]ma....
   nābhisthaṃ sarvvakāryeṣu & hṛdisthaṃ kāryavarjitaṃ	nABi-sTam sarvu-akAryezu & hRdisTam kArya-varjitam
   vaktranāsāpuṭāntastho & bhuñjate viṣayān prabhuḥ	vaktra-nAsA-puwa-anta-sTaH & BuQjate vizayAn praBuH
   dehastham paśyate jīvo & jighrate ca śṛṇot...	deha-sTam paSyate jIvaH & jiGrate ca SRNot...
   bhukte śubhāśubhaṃ jīvo & dehe dehe vyavasthitaḥ	Bukte SuBa-aSuBam jIvaH & dehe dehe vyavasTitaH
   dehaṃ tyaktvā yadā jīvo & bahirākāśam āśritaḥ	deham tyaktvA yadA jIvaH & bahis-AkASam ASritaH
   tadā nirviṣayo jīvo & bhavate .....	tadA nirvizayaH jIvaH & Bavate .....
   [\fol 44v]	[\fot 44v]
   tad eva nirbhayaṃ brahmā & taṃ dhyātvā sa sadāśivaḥ	tat eva nirBayam brahmA & tam DyAtvA sa sadASivaH
   dhyātvā śivam ajam nityaṃ & mucyate pāpapañjaraṃ %em:-pañjarāt	DyAtvA Sivam ajam nityam & mucyate pApa-paQjaram %em:--paQjarAt-
   ananto sarvvadehasthā & nāsāgravasthitaṃ śivam	anantaH sarvu-adeha-sTA & nAsA-agravasTitam Sivam
   ...sarvabhūtānāṃ & dṛśyante na calatk[ṛ?]te	...-sarva-BUtAnAm & dRSyante na calat-k[R?]te
   nābhimadhyasthitaṃ devī & siddhitattvasunirmalam	nABi-maDya-sTitam devI & sidDi-tattva-su-nirmalam
   ādityam iva dīpyattarasthibhiḥ prajvalanti ca...	Adityam iva dIpyattara-sTiBiH prajvalanti ca...
   ...cāṣṭamam bījaṃ & jīvākhyaṃ dehasaṃsthitam	...ca-azwamam bIjam & jIva-AKyam deha-saMsTitam
   tenedaṃ vyāpya malinaṃ & kṣīravan **i...	tena-idam vyApya malinam & kzIra-van **i...
   ...karaṇerātmakai gṛhya & prāṇaprāṇasadaṅgakaiḥ %em: prāṇāpāna-?	...karaNeH-AtmakEH gRhya & prANa-prANa-sadaFgakEH %em: prANa-apAna-?
   śvāsaniśvāsayogena & adhaś cordhvañ ca līyate	SvAsa-niSvAsa-yogena & aDas ca-UrDvan ca lIyate
   śuṣkapatraṃ tu vātena & ...yathā /	Suzka-patram tu vAtena & ...yaTA /
   tathā bhrāmyati jīvākhyā & prāṇāprāṇākhyānokaje	taTA BrAmyati jIva-AKyA & prANa-aprANa-AKya-anoka-je
   prāṇāprāṇasamāyukto & jīvo py eva hṛdi sthitaḥ	prANa-aprANa-samAyuktaH & jIvaH pi eva hRdi sTitaH
   śvāsani<śvās...> ... & puṇyapāpai samāyutaṃ	SvAsa-ni<SvAs...> ... & puNya-pApEH samAyutam
   antaryāmī śaktyā[-tā-nā-da-re-cā-ne-ca dṛ-śya-te] %bottoms missing	antaryAmI Sakti-A[-tA--nA--da-re--ca-a-net-ca dR-Sya-te] %bottomH mis-sing
   [\fol 45r]	[\fot 45r]
   ...nirgataṃ /	...-nirgatam /
   siddhakaulaṃ ca vikhyātaṃ & adha<ḥ>saṃcāravarjitam	sidDa-kOlam ca viKyAtam & aDa<H>-saMcAra-varjitam
   sva...	sva...
   ..natāñ caiva & pa[n?/t]itāś ca viśeṣataḥ	..natAn ca-eva & pa[n?/t]itAH ca viSezataH
   ajarāmarapadaṃ vyāptaṃ & labhate cakram āgataṃ	ajara-amara-padam vyAptam & laBate cakram Agatam
   natī...	natI...
   ...maṇḍalādhikāraṃ & akulaṃ yogam āśṛtāḥ	...-maNxala-aDikAram & akulam yogam ASRtAH
   <...> ekapādukam eva ca /	<...> eka-pAdukam eva ca /
   tathaiva pūjaye nityaṃ & ātmānas tu vicakṣaṇaḥ	taTA-eva pUjaye nityam & AtmAnaH tu vicakzaNaH
   yena kaulārṇṇavaṃ proktaṃ & samsaṃsārasyā...mokṣadā	yena kOla-arNNavam proktam & samsaMsArasya-a...mokza-dA
   cāturyugī prati nātha & kaliyugā[tkṣa]yantakaḥ	cAturyugI prati nATa & kali-yugA[t-kza]I-antakaH
   tasya kaulam idaṃ divyaṃ & nirnnāśaṃ tu kadā cana{ḥ}	tasya kOlam idam divyam & nirnnASam tu kadA cana{H}
   yena vyāpta sadā sarvva....	yena vyApta sadA sarvu-a....
   ekam eva tu mūlasyā & śākhā tasya -m- anekadhā	ekam eva tu mUlasyA & SAKA tasya -m anekaDA
   tasya mūlaprabhāvena & prarohaṃ sacarācaram	tasya mUla-praBAvena & praroham sa-carAcaram
   ekabījan tu tattvasthaṃ & ekākārasamāsthitam	eka-bIjan tu tattva-sTam & eka-AkAra-samAsTitam
   vyāpakaṃ vyoma.peṇa & anantam vimala prabhuḥ	vyApakam vyoma.peNa & anantam vimala praBuH
   kāraṇan nirmmalasyānte & śāśvataṃ rūpa -niścalaḥ	kAraNan nirmmalasya-ante & SASvatam rUpaH -niScalaH
   nirātmeti nānākāśaṃ & nirācārasvabhāvataḥ	nirAtmA-iti nAnA-AkASam & nirAcAra-svaBAvataH
   ṣaḍvarṇṇarahitaṃ tatvanirāla[\fol 45v]mbitolambakaḥ	zaz-varNNa-rahitam tatu-a-nirAla[\fot 45v]mbitolambakaH
   svabhāve varttanirūpaṃ & svabhāve piṇḍamadhyamaḥ	svaBAve vartta-nirUpam & svaBAve piNxa-maDyamaH
   nitya[bha]vya sadā yogī & sādhaye piṇḍam uttamam	nitya[Ba]vya sadA yogI & sADaye piNxam uttamam
   ekāśramasamāyuktaṃ & ekasthānanivāsinī	eka-ASrama-samAyuktam & eka-sTAna-nivAsinI
   na pīṭhagamanañ caiva & na balikṣetram eva ca	na pIWa-gamanan ca-eva & na bali-kzetram eva ca
   dehasthaṃ pīṭhakṣetre tu & nānyakṣetraṃ paryaṭate	deha-sTam pIWa-kzetre tu & na-anya-kzetram paryawate
   balivahniparaṃ yatra & tatrāsau kula{sa}mudbhavam	bali-vahni-param yatra & tatra-asO kula{sa-}mudBavam
   kulādhāraṅ kulam pīṭha & akulaṃ kṣetrapālakaṃ	kula-ADAraF kulam pIWa & akulam kzetrapAlakam
   na yoginīmelakañ caiva & na tu caryāvidhikramā	na yoginI-melakan ca-eva & na tu caryA-viDi-kramA
   śivaśaktimahāmelā & divyamelā sa ucyate	Siva-Sakti-mahAm-elA & divyam-elA saH ucyate
   na [dhyā]nayogapaṭṭāsaṃ & na yogadaṇḍadhāraṇam	na [DyA]na-yoga-pawwAsam & na yoga-daNxa-DAraNam
   na keśavañcanañ caiva & muñjamekhalādikaṃ	na keSavaQcanan ca-eva & muQja-meKala-Adikam
   na kaupīnaṃ vrataṃ caiva & avyaktaliṅgavarjitaṃ	na kOpInam vratam ca-eva & avyakta-liFga-varjitam
   na saṃdhyā agnikāryañ ca & na dravyaṃ homakādikaṃ	na saMDyA agnikAryan ca & na dravyam homaka-Adikam
   dehasthan tu mahākuṇḍaṃ & jvalantattajamaṇḍalaṃ	deha-sTan tu mahA-kuNxam & jvalan-tattaja-maNxalam
   kālānalapratīkāśaṃ & vidyutkāntisamaprabhaḥ	kAla-anala-pratIkASam & vidyut-kAnti-sama-praBaH
   samaya[śatayogīśi... ]jagasāśayaḥ	samaya[-Sata-yogISi... ]jagasa-ASayaH
   anādhikramasamprāptaṃ & kulabhedena nir**	anADikrama-samprAptam & kula-Bedena nir**
   ki.......siddhānta...bhairava[p/v]rat...	ki.......sidDAnta...BErava[p/v]rat...
   [\fol 47r]	[\fot 47r]
   varjanā vā prayatnena & ekākārapadāsthitam	varjanAH vA prayatnena & eka-AkAra-pada-AsTitam
   sarveṣāṃ ta...	sarvezAm ta...
   ...samudre..	...-samudre..
   ...te yadvat /	...te yadvat /
   mahāmārga yadā dṛṣṭvā & sarvatattva na saṃśayaḥ	mahAmArga yadA dRzwvA & sarva-tattva na saMSayaH
   ekākārasthitaṃ tattvaṃ & vyāpti[vyāpa]kasaṃthitam	eka-AkAra-sTitam tattvam & vyApti[-vyApa]ka-saMTitam
   etat kaulam idaṃ divyaṃ & śivaśaktisamanvitam	etat kOlam idam divyam & Siva-Sakti-samanvitam
   siddhāś ca yoginī caiva & sarvapīṭhasamāśṛtāḥ	sidDAH ca yoginI ca-eva & sarva-pIWa-samASRtAH
   pūjayet kulamārgeṇa & vyomasthitayena vyāptaṃ	pUjayet kula-mArgeNa & vyoma-sTitayena vyAptam
   samanuprāptam idaṃ divyaṃ & yat kulaṃ pīṭham uttamam	samanuprAptam idam divyam & yat kulam pIWam uttamam
   na tasya yantramantrāṇi & nakṣatramantrasādhane	na tasya yantra-mantrANi & nakzatra-mantra-sADane
   sa paśyate samarasaṃ & vāṅmayaṃ sacarācaram	sa paSyate sama-rasam & vAc-mayam sa-carAcaram
   samatvā vītarāgan tu & udāsī śāntacetasā %	samatvA vIta-rAgan tu & udAsI SAnta-cetasA %
   tathā vaktravinirmuktaṃ & gurubhakti samāhitaṃ	taTA vaktra-vinirmuktam & guru-Bakti samAhitam
   samaya pālayen nityaṃ & ekākārapadāsthitaṃ	samaya pAlayet nityam & eka-AkAra-pada-AsTitam
   tadātmakaulam āyānti & nirvāṇaṃ padavāpnuyāt %em: nirvāṇaṃ padam āpnuyāt	tad-Atma-kOlam AyAnti & nirvANam padavApnuyAt %em: nirvANam padam ApnuyAt-
   tāñ ca acchayā yogī & nirācārapade sthitaṃ	tAn ca acCayA yogI & nirAcAra-pade sTitam
   sa mukti sarvatattveṣu & mukti saṃsārabandhanāt	sa mukti sarva-tattvezu & mukti saMsAra-banDanAt-
   ajarāmarapadaṃ vyāptaṃ & tadā mukti na saṃśayaḥ	ajara-amara-padam vyAptam & tadA mukti na saMSayaH
   divya[pi]<ṇḍo>[\fol 47v] bhaved yogī & valīpālitavarjitaḥ	divya[pi]<Nxo>[\fot 47v] Bavet yogI & valI-pAlita-varjitaH
   paryaṣṭanti gaganābhogā & sadevāsuramānuṣāṃ % em: paryaṭati	paryazwanti gagana-ABogAH & sa-deva-asura-mAnuzAm % em: paryawati
   na punaḥ badhyate teṣām & padmapatram ivāmbhasā	na punar baDyate tezAm & padma-patram iva-amBasA
   etan tu vimalan divyam & paśūnān timirāpahaṃ	etat tu vimalan divyam & paSUnAn timira-apaham
   jñātavyaṃ siddhakaulaṃ tu & siddhanāthena bhāṣitam	jQAtavyam sidDa-kOlam tu & sidDanATena BAzitam
   na candraravimadhyasthaṃ & na vahnipavanaṃ tathā	na candra-ravi-maDya-sTam & na vahni-pavanam taTA
   upadeśena taṃ gamya & guruvaktre vyavasthitaṃ	upadeSena tam gamya & guru-vaktre vyavasTitam
   avikalpaṃ na gṛhīta & śrīmukhena vinirggataḥ	avikalpam na gRhIta & SrImuKena vinirggataH
   ananta<ṃ> vimala<ṃ> śānta<ṃ> & hetulakṣaṇavarjitaḥ	ananta<M> vimala<M> SAnta<M> & hetu-lakzaNa-varjitaH
   kathitaṃ mīnanāthena & etad yoga<ṃ> sudurlabham	kaTitam mIna-nATena & etat yoga<M> su-durlaBam
   ete yogasadbhāva<ḥ> samāptaḥ //	ete yoga-sadBAva<H> samAptaH //
   bhairava uvāca	BEravaH uvAca
   na nābhihṛdaye caiva & na kaṇṭhenaiva tāluke	na nABi-hRdaye ca-eva & na kaNWena-eva tAluke
   nan lalāṭe varārohe & ghaṇṭikāgre na vidyate	nan lalAwe varArohe & GaNwikA-agre na vidyate
   brahmarandhrapravāhena & na mokṣ naiva sādhane	brahmaranDra-pravAhena & na mokH na-eva sADane
