   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   taddvāreṇa samākhyāta- svabhāvo jñātatanmanāḥ /	tad-dvAreNa samAKyAta svaBAvaH jQAta-tanmanAH /
   upacāraiḥ parair lekhaiḥ sādhayet tām atandritaḥ // ST_2.25 //	upacArEH parEH leKEH sADayet tAm atandritaH // ST_2.25 //
   tato dṛṣṭvā vivikte tām indrajālakalādibhiḥ /	tatas dRzwvA vivikte tAm indrajAla-kalA-AdiBiH /
   prayogair lalitaiḥ svairaṃ vismayaṃ paramaṃ nayet // ST_2.26 //	prayogEH lalitEH svEram vismayam paramam nayet // ST_2.26 //
   dhātrīsakhīveśmani rātricāre	DAtrI-saKI-veSmani rAtri-cAre
   mahotsave tīvratame bhaye ca /	mahA-utsave tIvratame Baye ca /
   nimantreṇa vyādhimiṣeṇa śūnye	nimantreNa vyADi-mizeNa SUnye
   gehe tayor nūtanasaṅgamaḥ syāt // ST_2.27 //	gehe tayoH nUtana-saFgamaH syAt // ST_2.27 //
   yadā rāgo guruḥ sā ca labhyate naiva yācitā /	yadA rAgaH guruH sA ca laByate na-eva yAcitA /
   kṣīṇopāyas tadā kanyāṃ nāyakaḥ sādhayed iti // ST_2.28 //	kzINa-upAyaH tadA kanyAm nAyakaH sADayet iti // ST_2.28 //
   parastrīgamanopāyaḥ kavibhir nopadiśyate /	para-strI-gamana-upAyaH kaviBiH na-upadiSyate /
   sundaraṃ kintu kāvyāṅgam etat tena nidarśyate // ST_2.29 //	sundaram kintu kAvya-aFgam etat tena nidarSyate // ST_2.29 //
   vāmatā durlabhatvaṃ ca strīṇāṃ yā ca nivāraṇā /	vAma-tA durlaBa-tvam ca strINAm yA ca nivAraNAH /
   tad eva pañcabāṇasya manye paramam āyudham // ST_2.30 //	tat eva paQcabANasya manye paramam AyuDam // ST_2.30 //
   bahumānād bhayād vāpi nṛṇām anyatra yoṣiti /	bahu-mAnAt BayAt vA-api nRNAm anyatra yoziti /
   pracchannakāmitaṃ ramyaṃ satām api bhaved yathā // ST_2.31 //	pracCanna-kAmitam ramyam satAm api Bavet yaTA // ST_2.31 //
   jīrṇaṃ tārṇakuṭīrakaṃ nivasanaṃ talpīkṛtaṃ sthaṇḍile	jIrNam tArNa-kuwIrakam nivasanam talpIkRtam sTaNxile
   nīrandhraṃ timiraṃ kiranti salilaṃ garjanta ete ghanāḥ /	nIranDram timiram kiranti salilam garjante ete GanAH /
   gacchāmīti vadaty asāv api muhuḥ śaṅkākulā kevalaṃ	gacCAmi-iti vadati asO api muhur SaFkA-AkulA kevalam
   cetaś citram aho tathāpi ramate saṃketake kāminām // ST_2.31a //	cetaH citram aho taTA-api ramate saMketake kAminAm // ST_2.31aH //
   sa māno nāyikā yasminn īrṣyayā nāyakaṃ prati /	sa mAnaH nAyikA yasmin IrzyayA nAyakam prati /
   dhatte vikāram anyastrī- saṅgadoṣavaśād yathā // ST_2.32 //	Datte vikAram anya-strI saFga-doza-vaSAt yaTA // ST_2.32 //
   kiṃcid bāṣpajalāvalepalalite netre samākuñcite	kiMcid bAzpa-jala-avalepa-lalite netre samAkuQcite
   rāgo visphuraṇānubandharuciraḥ saṃdarśito gaṇḍayoḥ /	rAgaH visPuraNa-anubanDa-ruciraH saMdarSitaH gaNxayoH /
   kampaś cādharapallave viracitaḥ kāmaṃ kuraṅgīdṛśā	kampaH ca-aDara-pallave viracitaH kAmam kuraFgI-dRSA
   no jāne kim ayaṃ priye prakaṭitaḥ kopo'bhilāṣo'thavā // ST_2.32a //	naH jAne kim ayam priye prakawitaH kopaH-aBilAzaH-aTavA // ST_2.32aH //
   sa prāyaśo bhaved tredhā kāminīnāṃ priyaṃ prati /	sa prAyaSas Bavet treDA kAminInAm priyam prati /
   avekṣya doṣam etasya garīyān madhyamo laghuḥ // ST_2.33 //	avekzya dozam etasya garIyAn maDyamaH laGuH // ST_2.33 //
   partināryāṃ gate kānte svayaṃ dṛṣṭe nakhāṅkite /	partinAryAm gate kAnte svayam dRzwe naKa-aFkite /
   tadvāsodarśane gotra- skhalite ca gurur yathā // ST_2.34 //	tad-vAsaH-darSane gotra sKalite ca guruH yaTA // ST_2.34 //
   bimboṣṭhaḥ sphurati prayāti paṭutāṃ gaṇḍasthale śoṇimā	bimbozWaH sPurati prayAti pawu-tAm gaNxa-sTale SoNimA
   yātas tiryag amū dṛśau ca balavad bhrūyugmaam udbhrāmyati /	yAtaH tiryak amU dRSO ca balavat BrU-yugmaam udBrAmyati /
   itthaṃ caṇḍi tathā tavaiṣa ruciraḥ kopakramo jṛmbhate	itTam caNxi taTA tava-eza ruciraH kopa-kramaH jRmBate
   jāto'yaṃ praṇatīr apāsya sutarām etaddidṛkṣur yathā // ST_2.34a //	jAtaH-ayam praNatIH apAsya sutarAm etat-didRkzuH yaTA // ST_2.34aH //
   dṛṣṭe priyatame rāgād anyayā saha jalpati /	dRzwe priyatame rAgAt anyayA saha jalpati /
   sakhyākhyāte'thavā doṣe māno'yaṃ madhyamo yathā // ST_2.35 //	saKi-AKyAte-aTavA doze mAnaH-ayam maDyamaH yaTA // ST_2.35 //
   vāco vāgmini kiṃ tavādya paruṣāḥ subhru bhruvor vibhramai	vAcaH vAgmini kim tava-adya paruzAH suBru BruvoH viBramE
   rviśrāntaṃ kuta eva lolanayane kiṃ lohite locane /	rviSrAntam kutas eva lola-nayane kim lohite locane /
   svedaḥ kiṃ nu ghanastani stanataṭe muktāphalānāṃ tulāṃ	svedaH kim nu Ganastani stana-tawe muktAPalAnAm tulAm
   dhatte muñca ruṣaṃ mamātra dayite leśo'pi nāsty āgasaḥ // ST_2.35a // (Skm	Datte muQca ruzam mama-atra dayite leSaH-api na-asti AgasaH // ST_2.35aH // (Skm
   savilāsaṃ sphuraccakṣuḥ vīkṣamāṇe parāṃ priye /	sa-vilAsam sPurat-cakzuH vIkzamANe parAm priye /
   kiṃcid anyamanaskena jāyate sa laghur yathā // ST_2.36 //	kiMcid anya-manaskena jAyate sa laGuH yaTA // ST_2.36 //
   mām eva tāḍaya nitambini yady akasmāt	mAm eva tAxaya nitambini yadi akasmAt-
   kopo bhavet tava mukhaṃ tu nijaṃ kim etat /	kopaH Bavet tava muKam tu nijam kim etat /
   ānīyate śaśadharānukṛtiṃ kapola	AnIyate SaSaDara-anukRtim kapola
   pālīplutena ghanakajjalanetravārā // ST_2.36a //	pAlI-plutena Gana-kajjala-netra-vArAH // ST_2.36aH //
   deśakālabalāt kopaḥ prāyaśaḥ sarvayoṣitām /	deSa-kAla-balAt kopaH prAyaSas sarva-yozitAm /
   jāyate sukhasādhyo'yaṃ kṛcchrasādhyaś ca kāmibhiḥ // ST_2.37 //	jAyate suKa-sADyaH-ayam kRcCra-sADyaH ca kAmiBiH // ST_2.37 //
   prajvalitojjvaladīpaṃ ratigṛham indūjjvalaṃ ca saudhatalam /	prajvalita-ujjvala-dIpam rati-gRham indu-ujjvalam ca sODa-talam /
   madhuvidhurīkṛtamadhukaramadhuradhvanibodhitaṃ ca kamalavanam // ST_2.38	maDu-viDurIkRta-maDukara-maDura-Dvani-boDitam ca kamala-vanam // ST_2.38
   ityādiṣu pradeśeṣu māninīnāmasaṃśayam /	ityAdizu pradeSezu mAninInAm-asaMSayam /
   manyur gurutaro 'py āśu sukhasādhyo bhaved yathā // ST_2.39 //	manyuH gurutaraH api ASu suKa-sADyaH Bavet yaTA // ST_2.39 //
   madhusamayaśaśadharodayakandarpamadādhikeṣu kāleṣu /	maDu-samaya-SaSa-Dara-udaya-kandarpa-mada-aDikezu kAlezu /
   māno manasvinīnām atisukhasādhyo bhaved bhūmnā // ST_2.40 //@	mAnaH manasvinInAm ati-suKa-sADyaH Bavet BUmnA // ST_2.40 //@
   dūtījanasya parato laghur api doṣo gurūyate prāyaḥ /	dUtI-janasya paratas laGuH api dozaH gurUyate prAyas /
   abhinavadoṣāvasāre tathaiva vanitājanasya yathā // ST_2.41 //	aBinava-doza-avasAre taTA-eva vanitA-janasya yaTA // ST_2.41 //
   sāma dānaṃ ca bhedaḥ syād upekṣā praṇatis tathā /	sAma dAnam ca BedaH syAt upekzA praNatiH taTA /
   tathā prasaṅgavidhvaṃso daṇḍaḥ śṛṅgārahānaye // ST_2.42 //	taTA prasaFga-viDvaMsaH daNxaH SRFgArahAnaye // ST_2.42 //
   tasyāḥ prasādane sadbhir upāyāḥ ṣaṭ prakīrtitāḥ /	tasyAH prasAdane sadBiH upAyAH zaw prakIrtitAH /
   sundarās te nidarśyante sahodāhṛtibhir yathā // ST_2.43 //	sundarAH te nidarSyante saha-udAhRtiBiH yaTA // ST_2.43 //
   avinīto 'pi pālyo 'haṃ tvayā subhru kṣamābhṛtā /	avinItaH api pAlyaH aham tvayA suBru kzamA-BRtA /
   iti vāṇī bhaved yatra tatsāmeti nigadyate // ST_2.44 //	iti vANI Bavet yatra tad-sAma-iti nigadyate // ST_2.44 //
   alaṃkārādikaṃ dadyān nāyako yatra tuṣṭaye /	alaMkAra-Adikam dadyAt nAyakaH yatra tuzwaye /
   uddiśya kāraṇaṃ kiṃcid dānaṃ lubdhāsu tad yathā // ST_2.45 //	uddiSya kAraNam kiMcid dAnam lubDAsu tat yaTA // ST_2.45 //
   yasmin parijanaṃ tasyāḥ samāvarjya prasādataḥ /	yasmin parijanam tasyAH samAvarjya prasAdataH /
   tenaiva labhate kāntāṃ kāntābhedaḥ sa ucyate // ST_2.46 //	tena-eva laBate kAntAm kAntA-BedaH saH ucyate // ST_2.46 //
   prasādanavidhiṃ tyaktvā vākyair anyārthasūcakaiḥ /	prasAdana-viDim tyaktvA vAkyEH anya-arTa-sUcakEH /
   yasmin prasādyate yoṣid upekṣā sā matā yathā // ST_2.47 //	yasmin prasAdyate yozit upekzA sA matAH yaTA // ST_2.47 //
   etat kiṃ nanu karṇabhūṣaṇamayaṃ hāraḥ sukāñcī navā	etat kim nanu karNa-BUzaNa-mayam hAraH sukAQcI navA
   baddhā kācid iyaṃ tvayādya tilakaḥ ślāghyaḥ priye kalpitaḥ /	badDA kAcid iyam tvayA-adya tilakaH SlAGyaH priye kalpitaH /
   pratyaṅgaṃ spṛśateti tatkṣaṇabhavadromāñcamālāñcitā	pratyaFgam spRSata-iti tad-kzaNa-Bavat-romAQcamAla-AQcitA
   tanvī mānam upekṣayaiva śanakair dhūrtena saṃmocitā // ST_2.47a //	tanvI mAnam upekzayA-eva SanakEs DUrtena saMmocitAH // ST_2.47aH //
   kevalaṃ dainyam ālambya pādapātānnatir matā /	kevalam dEnyam Alambya pAda-pAta-at-natiH matA /
   abhīṣṭā sā bhṛśaṃ strīṇāṃ lalitā ca bhaved yathā // ST_2.48 //	aBIzwA sA BRSam strINAm lalitA ca Bavet yaTA // ST_2.48 //
   akasmāj jāyate yatra bhayaharṣādibhāvanā /	akasmAt jAyate yatra Baya-harza-Adi-BAvanA /
   so'yaṃ prasaṅgavidhvaṃsaḥ kopabhraṃśātmako yathā // ST_2.49 //	saH-ayam prasaFga-viDvaMsaH kopa-BraMSa-AtmakaH yaTA // ST_2.49 //
   kathaṃ mamorasi kṛtapakṣaniḥsvanaḥ	kaTam mama-urasi kRta-pakza-niHsvanaH
   śilīmukho'patad iti jalpati priye /	SilImuKaH-apatat iti jalpati priye /
   nivṛtya kiṃ kim idam iti bruvāṇayā	nivRtya kim kim idam iti bruvANayA
   sasādhvasaṃ kupitam aloki kāntayā // ST_2.49a //	sa-sADvasam kupitam aloki kAntayA // ST_2.49aH //
   yathottaraṃ valīyāṃsa ity upāyāḥ prasādane /	yaTottaram valIyAMsaH iti upAyAH prasAdane /
   ādyās trayo ghanaṃ kāryā vidagdhaiḥ paścimāḥ kvacit // ST_2.50 //	AdyAH trayaH Ganam kAryAH vidagDEH paScimAH kvacid // ST_2.50 //
   nātikhedayitavyo'yaṃ priyaḥ pramadayā kvacit /	na-ati-KedayitavyaH-ayam priyaH pramadayA kvacid /
   mānaś ca viralaḥ kāryaḥ praṇāmotsavasiddhaye // ST_2.51 //	mAnaH ca viralaH kAryaH praNAma-utsava-sidDaye // ST_2.51 //
   ity upāyān prayuñjīta nāyikāpi priyaṃ prati /	iti upAyAn prayuQjIta nAyikA-api priyam prati /
   kulajā nerṣyate kiṃ tu tatrānyatkāraṇaṃ bhavet // ST_2.52 //	kula-jA na-Irzyate kim tu tatra-anyat-kAraNam Bavet // ST_2.52 //
   snehaṃ vinā bhayaṃ na syān nerṣyā ca praṇayaṃ vinā /	sneham vinA Bayam na syAt na-IrzyA ca praNayam vinA /
   tasmān mānaprakāro'yaṃ dvayoḥ premaprakāśakaḥ // ST_2.53 //	tasmAt mAna-prakAraH-ayam dvayoH prema-prakASakaH // ST_2.53 //
   priyasubhagadayitavallabhanāthasvāmīśakāntacandramukhāḥ /	priya-suBaga-dayita-vallaBa-nATa-svAm-ISa-kAnta-candra-muKAH /
   dayita manorama ramaṇījīvita ity ādi nāma syāt // ST_2.54 //	dayita manorama ramaNI-jIvitaH iti Adi nAma syAt // ST_2.54 //
   prītau bhartari sudṛśām aprītau punar amūni śaṭhadhṛṣṭau /	prItO Bartari su-dRSAm aprItO punar amUni SaWa-DRzwO /
   nirlajjadurācārau niṣṭhuraduḥśīlavānādi // ST_2.55 //	nirlajja-durAcArO nizWura-duHSIlavAn-Adi // ST_2.55 //
   garvād vyasanatyāgād vipriyakaraṇāc ca niṣṭhurālāpāt /	garvAt vyasana-tyAgAt vipriya-karaNAt ca nizWura-AlApAt /
   lobhād atipravāsāt strīṇāṃ dveṣyaḥ priyo bhavati // ST_2.56 //	loBAt ati-pravAsAt strINAm dvezyaH priyaH Bavati // ST_2.56 //
   paradeśaṃ vrajed yasmin kutaścit kāraṇāt priyaḥ /	para-deSam vrajet yasmin kutaScid kAraNAt priyaH /
   sa pravāsa iti khyātaḥ kaṣṭāvastho dvayor api // ST_2.57 //	sa pravAsaH iti KyAtaH kazwa-avasTaH dvayoH api // ST_2.57 //
   dṛṣṭaṃ ketakadhūlidhūsaram idaṃ vyoma kramād vīkṣitāḥ	dRzwam ketaka-DUli-DUsaram idam vyoma kramAt vIkzitAH
   kaccāntāś ca śilīndhrakandalabhṛtaḥ soḍhāḥ kadambānilāḥ /	kacca-antAH ca SilInDra-kandala-BRtaH soXAH kadamba-anilAH /
   sakhyaḥ saṃvṛṇutāśru muñcata bhayaṃ kasmān mudevākulā	saKyaH saMvRNuta-aSru muQcata Bayam kasmAt mudA-iva-AkulA
   etān apy adhunāsmi vajraghaṭitā nūnaṃ sahiṣye dhanān // ST_2.57a // (Skm	etAn api aDunA-asmi vajra-GawitAH nUnam sahizye DanAn // ST_2.57aH // (Skm
   kāmaṃ karṇakaṭuḥ kuto'timadhuraḥ kekāravaḥ kekināṃ	kAmam karNa-kawuH kutas-ati-maDuraH kekAravaH kekinAm
   meghāś cāmṛtadhāriṇo'pi vihitāḥ prāyo viṣasyandinaḥ /	meGAH ca-amRta-DAriNaH-api vihitAH prAyas viza-syandinaH /
   unmīlannavakandalāvalir asau sahyāpy asahyāyate	unmIlat-=-ava-kandala-AvaliH asO sahyA-api asahyAyate
   tat kiṃ yad viparītam atra na kṛtaṃ tasyā viyogena me // ST_2.57b //	tat kim yat viparItam atra na kRtam tasyAH viyogena me // ST_2.57B //
   kārśyajāgaramālinya- cintādyaṃ yatra jāyate /	kArSya-jAgara-mAlinya cintA-Adyam yatra jAyate /
   avasthā vividhāḥ strīṇāṃ mṛtyuś ced avadheḥ paraḥ // ST_2.58 //	avasTAH viviDAH strINAm mRtyuH ced avaDeH paraH // ST_2.58 //
   adyaiva yat pratipadudgatacandralekhā	adya-eva yat pratipad-udgata-candra-leKA
   sakhyaṃ tvayā vapur idaṃ gamitaṃ varākyāḥ /	saKyam tvayA vapuH idam gamitam varAkyAH /
   kṛṣṇe gate kusumasāyaka tat prabhāte	kRzNe gate kusuma-sAyaka tat praBAte
   bāṇāvaliṃ kathaya kutra vimokṣyasi tvam // ST_2.58a //	bANa-Avalim kaTaya kutra vimokzyasi tvam // ST_2.58aH //
   niḥśvāsaiḥ saha sāmprataṃ sakhi gatā vṛddhiṃ dhruvaṃ rātrayaḥ	niHSvAsEH saha sAmpratam saKi gatAH vRdDim Druvam rAtrayaH
   sārdhaṃ locanavāriṇā vigalitaṃ yat prāktanaṃ me sukham /	sArDam locana-vAriNA vigalitam yat prAktanam me suKam /
   prāṇāśā tanutām upaiti ca muhur nūnaṃ tanuspardhayā	prANa-ASA tanu-tAm upEti ca muhur nUnam tanu-sparDayA
   kandarpaḥ param eka eva vijayī yāte'pi kānte sthitaḥ // ST_2.58b //	kandarpaH param ekaH eva vijayI yAte-api kAnte sTitaH // ST_2.58B //
   nīrāgo'dharapallavo'timalinā veṇī dṛśau nāñjite	nIrAgaH-aDara-pallavaH-ati-malinA veNI dRSO na-aQjite
   mlāyadbālamṛṇālikādhavalatām ālambate'ṅgacchaviḥ /	mlAyat-bAla-mRNAlikA-Dava-latAm Alambate-aFga=-CaviH /
   itthaṃ subhru visaṃsthulāpi virahavyāpād vimardād iyaṃ	itTam suBru visaMsTulA-api viraha-vyApAt vimardAt iyam
   sakhyeva sthiraśobhayā dṛḍhataraṃ pratyaṅgam āliṅgitā // ST_2.58c //	saKi-A-iva sTira-SoBayA dRXataram pratyaFgam AliFgitAH // ST_2.58t //
   kiṃ tatra nāsti rajanī kiṃ vā candro na suṣṭhuruciḥ /	kim tatra na-asti rajanI kim vA candraH na suzWuruciH /
   yena sakhi vallabhām api na smarati sa māṃ videśaruciḥ // ST_2.58d //	yena saKi vallaBAm api na smarati sa mAm videSa-ruciH // ST_2.58d //
   prasara śiśirāmodaṃ kaundaṃ samīra samīraya	prasara SiSira-Amodam kOndam samIra samIraya
   prakaṭaya śaśinn āśāḥ kāmaṃ manoja samullasa /	prakawaya SaSin ASAH kAmam manoja samullasa /
   avadhidivasaḥ pūrṇaḥ sakhyo vimuñcata tatkathāṃ	avaDi-divasaH pUrNaH saKyaH vimuQcata tad-kaTAm
   hṛdayam adhunā kiñcit kartuṃ mamānyad ihecchati // ST_2.58e // (Skm 750)	hRdayam aDunA kiQcid kartum mama-anyat iha-icCati // ST_2.58e // (Skm 750)
   ity ādivirahāvasthāḥ puṃso'pi hi bhavanti tāḥ /	iti Adi-viraha-avasTAH puMsaH-api hi Bavanti tAH /
   kandarpaśarapātādyā mā bhūvan vairiṇām api // ST_2.59 //	kandarpa-Sara-pAta-AdyAH mA BUvan vEriNAm api // ST_2.59 //
   yatraikasmin vipanne'nyo mṛtakalpo'pi tadgatam /	yatra-ekasmin vipanne-anyaH mRta-kalpaH-api tad-gatam /
   nāyakaḥ pralapet premṇā karuṇo'asau smṛto yathā // ST_2.60 //	nAyakaH pralapet premNA karuNaH-aasO smRtaH yaTA // ST_2.60 //
   dagdhā snigdhavadhūvilāsakadalī vīṇā samunmūlitā	dagDA snigDa-vaDU-vilAsa-kadalI vINA samunmUlitA
   pītā pañcamakākalīkavalitā śītadyūteḥ kaumudī /	pItA paQcamakAkalI-kavalitA SIta-dyUteH kOmudI /
   pluṣṭāḥ spaṣṭmanekaratnanivahā nālaṃ rateḥ kevalaṃ	pluzwAH spazwm-aneka-ratna-nivahAH na-alam rateH kevalam
   kandarpaṃ haratā hareṇa bhuvanaṃ niḥsāram etat kṛtam // ST_2.60a // (Skm	kandarpam haratA hareNa Buvanam niHsAram etat kRtam // ST_2.60aH // (Skm
   vaktraṃ candramasā dṛśau mṛgagaṇaiḥ keśāḥ kalāpivrajair	vaktram candramasA dRSO mRga-gaNEH keSAH kalA-pi-vrajEH-
   mātaṅgaiḥ stanamaṇḍalaṃ bhujayugollāso mṛṇālair api /	mAtaFgEH stana-maNxalam Buja-yuga-ullAsaH mRNAlEH api /
   saugandhyaṃ malayānilena balinā tanvī vibhajyeti sā	sOganDyam malaya-anilena balinA tanvI viBajya-iti sA
   sarvair niṣkaruṇair hṛtā dhruvam aho daivena kiṃcin na me // ST_2.60b //	sarvEH nizkaruNEH hRtA Druvam aho dEvena kiMcid na me // ST_2.60B //
   iyatīṃ subhagāvasthāṃ gato'si yasyāḥ kṛte smarātaṅkāt /	iyatIm suBaga-avasTAm gataH-asi yasyAH kRte smara-AtaFkAt /
   mūrcchāṃ harāmi sā tava gatapuṇyā nayanasalilena // ST_2.60c //	mUrcCAm harAmi sA tava gata-puNyAH nayana-salilena // ST_2.60t //
   pāśo vipāśita upāhita eṣa sāndraḥ	pASaH vipASitaH upAhitaH eza sAndraH
   karpūrareṇur upagūḍham uro natāṅgi /	karpUra-reNuH upagUXam uraH nata-aFgi /
   pāpena yena gamiteti daśām amuṣmin	pApena yena gamitA-iti daSAm amuzmin
   mūrchāvirāmalalitaṃ mayi dhehi cakṣuḥ // ST_2.60d //	mUrCA-virAma-lalitam mayi Dehi cakzuH // ST_2.60d //
   glāno muktāśrur udvignaḥ srastāṅgo muktacetanaḥ /	glAnaH mukta-aSruH udvignaH srasta-aFgaH mukta-cetanaH /
   sacinto dainyabhāg asminn evaṃ prāyo jano bhavet // ST_2.61 //	sa-cintaH dEnya-BAj asmin evam prAyas janaH Bavet // ST_2.61 //
   keṣāṃcit karuṇabhrāntiḥ kāruṇyād atra jāyate /	kezAMcid karuNa-BrAntiH kAruNyAt atra jAyate /
   etasya mithunāvasthāṃ vismṛtya ratimūlajām // ST_2.62 //	etasya miTuna-avasTAm vismRtya rati-mUla-jAm // ST_2.62 //
   strīpuṃsayor bhaved eṣa sāpekṣaḥ saṃgame punaḥ /	strIpuMsayoH Bavet eza sa-apekzaH saMgame punar /
   śṛṅgāravacanaprāyaḥ karuṇaḥ syāt sa cānyathā // ST_2.63 //	SRFgAra-vacana-prAyaH karuNaH syAt sa ca-anyaTA // ST_2.63 //
   tasmāc chṛṅgāra evāyaṃ karuṇenānumoditaḥ /	tasmAt SRFgAraH eva-ayam karuNena-anumoditaH /
   saundaryaṃ sutarāṃ dhatte nibaddho viralaṃ budhaiḥ // ST_2.64 //	sOndaryam sutarAm Datte nibadDaH viralam buDEH // ST_2.64 //
   kārur dāsī naṭī dhātrī prātiveśyā ca śilpinī /	kAruH dAsI nawI DAtrI prAtiveSyA ca SilpinI /
   bālā pravrajitā ceti strīnāṃ jñeyaḥ sakhījanaḥ // ST_2.65 //	bAlA pravrajitA ca-iti strInAm jQeyaH saKI-janaH // ST_2.65 //
   kalākauśalam utsāho bhaktiś cittajñatā smṛtiḥ /	kalA-kOSalam utsAhaH BaktiH citta-jQa-tA smRtiH /
   mādhuryaṃ narmavijñānaṃ vāgmitā ceti tadguṇāḥ // ST_2.66 //	mADuryam narma-vijQAnam vA-agmitA ca-iti tad-guNAH // ST_2.66 //
   vinodo maṇḍanaṃ śikṣo- [u]pālambho'tha prasādanam /	vinodaH maNxanam Sikzo [u]pAlamBaH-aTa prasAdanam /
   saṅgamo virahāśvāsaḥ sakhīkarmeti tad yathā // ST_2.67 //	saFgamaH viraha-ASvAsaH saKI-karma-iti tat yaTA // ST_2.67 //
   mayā ko'yaṃ mugdhe kathaya likhitaḥ satvarasakhī	mayA kaH-ayam mugDe kaTaya liKitaH satva-rasaKI
   vacaḥ śrutvety uccair vinihitadṛśā citraphalake /	vacaH SrutvA-iti uccEs vinihita-dRSA citraPalake /
   na vaktuṃ tanvaṅgyā śakitam atha coddāmavidalat	na vaktum tanu-aFgyA Sakitam aTa ca-uddAma-vidalat-
   kadambākāreṇa priya iti samākhyāyi vapuṣā // ST_2.67a //	kadamba-AkAreNa priyaH iti samAKyAyi vapuzA // ST_2.67aH //
   pratyaṅgaṃ prati karma narmaparayā kṛtvādhirūḍhaṃ smarā	pratyaFgam prati karma narma-parayA kRtvA-aDirUXam smarA
   dautsukyaṃ pravilokya mohanavidhau cāturyam ālokya ca /	dOtsukyam pravilokya mohana-viDO cAturyam Alokya ca /
   sadyo yāvakamaṇḍanaṃ na racitaṃ pāde kuraṅgīdṛśā	sadyas yAvaka-maNxanam na racitam pAde kuraFgI-dRSA
   smerāntā viśadacchade ca śayane dṛṣṭiḥ samāropitā // ST_2.67b // (Skm	smera-antAH viSada=-Cade ca Sayane dRzwiH samAropitAH // ST_2.67B // (Skm
   nīrandhraṃ parirabhyate priyatamo bhūyastarāṃ cumbyate	nIranDram pariraByate priyatamaH BUyastarAm cumbyate
   tad bāḍhaṃ kriyate yad asya rucitaṃ cāṭūccakais tanyate /	tat bAXam kriyate yat asya rucitam cAwu-uccakEH tanyate /
   sakhyā mugdhavadhūr iyaṃ ratividhau yatnena saṃśikṣitā	saKyA mugDa-vaDUH iyam rati-viDO yatnena saMSikzitA
   nribhrāntaṃ guruṇā punaḥ śataguṇaṃ puṣpeṣuṇā kāritā // ST_2.67c //	nriBrAntam guruNA punar SataguNam puzpa-izuNA kAritAH // ST_2.67t //
   subhaga bhagavatā hṛdye tasyā jvalatsmarapāvake'py	suBaga BagavatA hRdye tasyAH jvalat-smara-pAvake-api-
   abhiniveśatā premādhikyaṃ cirāt prakaṭīkṛtam /	aBiniveSa-tA prema-ADikyam cirAt prakawIkRtam /
   tava tu hṛdaye śīte'py evaṃ sadaiva sukhāptaye	tava tu hRdaye SIte-api evam sadA-eva suKa-Aptaye
   mama sahacarī sā niḥsnehā manāg api na sthitā // ST_2.67d //	mama sahacarI sA niHsnehA manAk api na sTitAH // ST_2.67d //
   ko'yaṃ vimuñca kuru nātha vaco madīyam	kaH-ayam vimuQca kuru nATa vacaH madIyam
   āśvāsaya smarakṛśānukṛśāṃ kṛśāṅgīm /	ASvAsaya smara-kRSa-anu-kRSAm kRSa-aFgIm /
   ekākinī kaṭhinatārakarājakāntyā	ekAkinI kaWina-tAraka-rAja-kAntyA
   pañcatvam āśu nanu yāsyati sā varākī // ST_2.67e //	paQcatvam ASu nanu yAsyati sA varAkI // ST_2.67e //
   amuṃ dadhe'ṃśukam aham atra pādape	amum daDe-aMSukam aham atra pAdape
   yuvām alaṃ nibhṛtam ihaiva tiṣṭhatām /	yuvAm alam niBRtam iha-eva tizWatAm /
   rahaḥsthayor idam abhidhāya kāminoḥ	rahaH-sTayoH idam aBiDAya kAminoH
   svayaṃ yayau nipuṇasakhī latāntaram // ST_2.67f //	svayam yayO nipuNa-saKI latA-antaram // ST_2.67f //
   sphurati yad idam uccair locanaṃ tanvi vāmaṃ	sPurati yat idam uccEs locanam tanvi vAmam
   stanataṭam api dhatte cāruromāñcamālām /	stana-tawam api Datte cAru-romAQca-mAlAm /
   kalayati ca yadantaḥkampatāmūrukāṇḍaṃ	kalayati ca yat-antar-kampatAm-Uru-kANxam
   nanu vadati tad adya preyasā saṃgamaṃ te // ST_2.67g //	nanu vadati tat adya preyasA saMgamam te // ST_2.67k //
   ity ādi vividhaṃ sakhyo vyāpāraṃ kurvate sadā /	iti Adi viviDam saKyaH vyApAram kurvate sadA /
   yoṣitāṃ mantrasarvasva- nidhānakalaśopamāḥ // ST_2.68 //	yozitAm mantra-sarvasva niDAna-kalaSa-upamAH // ST_2.68 //
   itthaṃ viracanīyo'yaṃ śṛṅgāraḥ kavibhiḥ sadā /	itTam viracanIyaH-ayam SRFgAraH kaviBiH sadA /
   anena rahitaṃ kāvyaṃ prāyo nīrasam ucyate // ST_2.69 //	anena rahitam kAvyam prAyas nIrasam ucyate // ST_2.69 //
   itthaṃ vicārya pracuraprayogā	itTam vicArya pracura-prayogA
   nyo'muṃ nibadhnāti rasaṃ rasajñaḥ /	nyaH-amum nibaDnAti rasam rasa-jQaH /
   tatkāvyam āropya padaṃ vidagdha	tat-kAvyam Aropya padam vidagDa
   vaktreṣu viśvaṃ paribambhramīti // ST_2.70 //	vaktrezu viSvam paribamBrami-iti // ST_2.70 //
