   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   samyak ca nirvedamupaiti paśyan nandīkṣayācca kṣayameti rāgaḥ //	samyak ca nirvedam-upEti paSyan nandI-kzayAt-ca kzayam-eti rAgaH //
   Saund_16.44 //	SOnd-_16.44 //
   tayośca nandīrajasoḥ kṣayeṇa samyagvimuktaṃ pravadāmi cetaḥ /	tayoH-ca nandI-rajasoH kzayeNa samyak-vimuktam pravadAmi cetaH /
   samyagvimuktirmanasaśca tābhyāṃ na cāsya bhūyaḥ karaṇīyamasti //	samyak-vimuktiH-manasaH-ca tAByAm na ca-asya BUyas karaNIyam-asti //
   Saund_16.45 //	SOnd-_16.45 //
   yathāsvabhāvena hi nāmarūpaṃ taddhetumevāstagamaṃ ca tasya /	yaTA-svaBAvena hi nAma-rUpam tat-hetum-eva-asta-gamam ca tasya /
   vijānataḥ pasyata eva cāhaṃ bravīmi samyak kṣayamāsravāṇām // Saund_16.46	vijAnataH pasyate eva ca-aham bravImi samyak kzayam-AsravANAm // SOnd-_16.46
   tasmāt paraṃ saumya vidhāya vīryaṃ śīghraṃ ghaṭasvāstravasaṃkṣayāya /	tasmAt param sOmya viDAya vIryam SIGram Gawasva-astra-vasaMkzayAya /
   duḥkhānanityāṃśca nirātmakāṃśca dhātūn viśeṣeṇa parīkṣamāṇaḥ //	duHKAn-anityAn=-ca nirAtmakAn=-ca DAtUn viSezeNa parIkzamANaH //
   Saund_16.47 //	SOnd-_16.47 //
   dhātūn hi ṣaḍ bhūsalilānalādīn sāmānyataḥ svena ca lakṣaṇena /	DAtUn hi zaw BU-salila-anala-AdIn sAmAnyatas svena ca lakzaNena /
   avaiti yo nānyamavaiti tebhyaḥ so 'tyantikaṃ mokṣamavaiti tebhyaḥ //	avEti yaH na-anyam-avEti teByaH saH atyantikam mokzam-avEti teByaH //
   Saund_16.48 //	SOnd-_16.48 //
   kleśaprahāṇāya ca niścitena kālo 'bhyupāyasśca parīkṣitavyaḥ /	kleSa-prahANAya ca niScitena kAlaH aByupAyasH-ca parIkzitavyaH /
   yogo 'pyakāle hyanupāyataśca bhavatyanarthāya na tadguṇāya // Saund_16.49	yogaH api-akAle hi-anupAyataH-ca Bavati-anarTAya na tad-guNAya // SOnd-_16.49
   ajātavatsāṃ yadi gāṃ duhīta naivāpnuyāt kṣīramakāladohī /	ajAta-vatsAm yadi gAm duhIta na-eva-ApnuyAt kzIram-akAla-dohI /
   kāle 'pi vā syānna payo labheta mohena śṛṅgād yadi gāṃ duhīta //	kAle api vA syAt-na payaH laBeta mohena SRFgAt yadi gAm duhItaH //
   Saund_16.50 //	SOnd-_16.50 //
   ārdrācca kāṣṭhājjvalanābhikāmo naiva prayatnādapi vahnimṛcchet /	ArdrAt-ca kAzWAt-jvalana-aBikAmaH na-eva prayatnAt-api vahnim-RcCet /
   kāṣṭhācca śuṣkādapi pātanena naivāgnimāpnotyanupāyapūrvam // Saund_16.51	kAzWAt-ca SuzkAt-api pAtanena na-eva-agnim-Apnoti-anupAya-pUrvam // SOnd_16.51
   taddeśakālau vidhivat parīkṣya yogasya mātrāmapi cābhyupāyam /	tad-deSa-kAlO viDivat parIkzya yogasya mAtrAm-api ca-aByupAyam /
   balābale cātmani saṃpradhārya kāryaḥ prayatno na tu tadviruddhaḥ //	bala-abale ca-Atmani saMpraDArya kAryaH prayatnaH na tu tad-virudDaH //
   Saund_16.52 //	SOnd-_16.52 //
   pragrāhakaṃ yattu nimittamuktamuddhanyamāne hṛdi tanna sevyam /	pragrAhakam yat-tu nimittam-uktam-udDanyamAne hRdi tat-na sevyam /
   evaṃ hi cittaṃ praśama na yāti pravāyunā vahniriveryamāṇaḥ // Saund_16.53	evam hi cittam praSama na yAti pravAyunA vahniH-iva-IryamANaH // SOnd-_16.53
   śamāya yat syānniyataṃ nimittaṃ jātoddhave cetasi tasya kālaḥ /	SamAya yat syAt-niyatam nimittam jAta-udDave cetasi tasya kAlaH /
   evaṃ hi cittaṃ praśamaṃ niyacchet pradīpyamāno 'gnirivodakena //	evam hi cittam praSamam niyacCet pradIpyamAnaH agniH-iva-udakena //
   Saund_16.54 //	SOnd-_16.54 //
   śamāvahaṃ yanniyataṃ nimittaṃ sevyaṃ na taccetasi līyamāne /	Sama-Avaham yat-niyatam nimittam sevyam na tad-cetasi lIyamAne /
   evaṃ hi bhūyo layameti cittamanīryamāṇo 'gnirivālpasāraḥ // Saund_16.55 //	evam hi BUyas layam-eti cittam-anIryamANaH agniH-iva-alpa-sAraH // SOnd-_16.55 //
   pragrāhakaṃ yanniyataṃ nimittaṃ layaṃ gate cetasi tasya kālaḥ /	pragrAhakam yat-niyatam nimittam layam gate cetasi tasya kAlaH /
   kriyāsamarthaṃ hi manastathā syānmandāyamāno 'gnirivendhanena //	kriyA-samarTam hi manaH-taTA syAt-mandAyamAnaH agniH-iva-inDanena //
   Saund_16.56 //	SOnd-_16.56 //
   aupekṣikaṃ nāpi nimittamiṣṭaṃ layaṃ gate cetasi soddhave vā /	Opekzikam na-api nimittam-izwam layam gate cetasi sa-udDave vA /
   evaṃ hi tīvraṃ janayedanarthamupekṣito vyādhirivāturasya // Saund_16.57 //	evam hi tIvram janayet-anarTam-upekzitaH vyADiH-iva-Aturasya // SOnd-_16.57 //
   yatsyādupekṣāniyataṃ nimittaṃ sāmyaṃ gate cetasi tasya kālaḥ /	yat-syAt-upekzA-niyatam nimittam sAmyam gate cetasi tasya kAlaH /
   evaṃ hi kṛtyāya bhavetprayogo ratho vidheyāśva iva prayātaḥ // Saund_16.58	evam hi kRtyAya Bavet-prayogaH raTaH viDeya-aSvaH iva prayAtaH // SOnd-_16.58
   rāgoddhavavyākulite 'pi citte maitropasaṃhāravidhirna kāryaḥ /	rAga-udDava-vyAkulite api citte mEtra-upasaMhAra-viDiH-na kAryaH /
   rāgātmako muhyati maitrayā hi snehaṃ kaphakṣobha ivopayujya // Saund_16.59	rAga-AtmakaH muhyati mEtrayA hi sneham kaPa-kzoBaH iva-upayujya // SOnd-_16.59
   rāgoddhate cetasi dhairyametya niṣevitavyaṃ tvaśubhaṃ nimittam /	rAga-udDate cetasi DEryam-etya nizevitavyam tu-aSuBam nimittam /
   rāgātmako hyevamupaiti śarma kaphātmako rūkṣamivopayujya // Saund_16.60 //	rAga-AtmakaH hi-evam-upEti Sarma kaPa-AtmakaH rUkzam-iva-upayujya // SOnd-_16.60 //
   vyāpādadoṣeṇa manasyudīrṇe na sevitavyaṃ tvaśubhaṃ nimittam /	vyApAda-dozeNa manasi-udIrNe na sevitavyam tu-aSuBam nimittam /
   dveṣātmakasya hyaśubhā vadhāya pittātmanastīkṣṇa ivopacāraḥ // Saund_16.61	dveza-Atmakasya hi-aSuBA vaDAya pitta-AtmanaH-tIkzNaH iva-upacAraH // SOnd-_16.61
   vyāpādadoṣakṣubhite tu citte sevyā svapakṣopanayena maitrī /	vyApAda-doza-kzuBite tu citte sevyA sva-pakza-upanayena mEtrI /
   dveṣātmano hi praśamāya maitrī pittātmanaḥ śīta ivopacāraḥ // Saund_16.62	dveza-AtmanaH hi praSamAya mEtrI pitta-AtmanaH SItaH iva-upacAraH // SOnd-_16.62
   mohānubaddhe manasaḥ pracāre maitrāśubhā vaiva bhavatyayogaḥ /	moha-anubadDe manasaH pracAre mEtra-aSuBA vA-eva Bavati-ayogaH /
   tābhyāṃ hi saṃmohamupaiti bhūyo vāyvātmako rūkṣamivopanīya // Saund_16.63	tAByAm hi saMmoham-upEti BUyas vAyu-AtmakaH rUkzam-iva-upanIya // SOnd-_16.63
   mohātmikāyāṃ manasaḥ pravṛttau sevyastvidampratyayatāvihāraḥ /	moha-AtmikAyAm manasaH pravRttO sevyaH-tu-idam-pratyaya-tA-vihAraH /
   mūḍhe manasyeṣa hi śāntimārgo vāyvātmake snigdha ivopacāraḥ // Saund_16.64	mUXe manasi-eza hi SAnti-mArgaH vAyu-Atmake snigDaH iva-upacAraH // SOnd-_16.64
   ulkāmukhasthaṃ hi yathā suvarṇaṃ suvarṇakāro dhamatīha kāle /	ulkA-muKa-sTam hi yaTA suvarNam suvarNakAraH Damati-iha kAle /
   kāle pariprokṣayate jalena krameṇa kāle samupekṣate ca // Saund_16.65 //	kAle pariprokzayate jalena krameNa kAle samupekzate ca // SOnd-_16.65 //
   dahet suvarṇaṃ hi dhamannakāle jale kṣipan saṃśameyedakāle /	dahet suvarNam hi Daman=-akAle jale kzipan saMSameyet-akAle /
   na cāpi samyak paripākamenaṃ nayedakāle samupekṣamāṇaḥ // Saund_16.66 //	na ca-api samyak paripAkam-enam nayet-akAle samupekzamANaH // SOnd-_16.66 //
   saṃpragrahasya praśamasya caiva tathaiva kāle samupekṣaṇasya /	saMpragrahasya praSamasya ca-eva taTA-eva kAle samupekzaNasya /
   samyaṅ nimittaṃ manasā tvavekṣyaṃ nāśo hi yatno 'pyanupāyapūrvaḥ //	samyak nimittam manasA tu-avekzyam nASaH hi yatnaH api-anupAya-pUrvaH //
   Saund_16.67 //	SOnd-_16.67 //
   ityevamanyāyanivartanaṃ ca nyāyaṃ ca tasmai sugato babhāṣe /	iti-evam-anyAya-nivartanam ca nyAyam ca tasmE sugataH baBAze /
   bhūyaśca tattaccaritaṃ viditvā vitarkahānāya viodhīnuvāca // Saund_16.68	BUyas-ca tat-tad-caritam viditvA vitarkahAnAya vioDIn-uvAca // SOnd-_16.68
   yathā bhiṣak pittakaphānilānāṃ ya eva kopaṃ samupaiti doṣaḥ /	yaTA Bizaj pitta-kaPa-anilAnAm yaH eva kopam samupEti dozaH /
   śamāya tasyaiva vidhiṃ vidhatte vyadhatta doṣeṣu tathaiva buddhaḥ //	SamAya tasya-eva viDim viDatte vyaDatta dozezu taTA-eva budDaH //
   Saund_16.69 //	SOnd-_16.69 //
   ekena kalpena sacenna hanyāt svabhyastabhāvādasubhān vitarkān /	ekena kalpena saced-na hanyAt su-aByasta-BAvAt-asuBAn vitarkAn /
   tato dvitīyaṃ kramāmarabheta na tveva heyo guṇavān prayogaḥ // Saund_16.70	tatas dvitIyam kramAm-araBeta na tu-eva heyaH guNavAn prayogaH // SOnd-_16.70
   anādikālopacitātmakatvād balīyasaḥ kleśagaṇasya caiva /	anAdi-kAla-upacita-Atmaka-tvAt balIyasaH kleSa-gaNasya ca-eva /
   samyak prayogasya ca duṣkaratvācchettuṃ na śakyāḥ sahasā hi doṣāḥ //	samyak prayogasya ca duzkara-tvAt-Cettum na SakyAH sahasA hi dozAH //
   Saund_16.71 //	SOnd-_16.71 //
   aṇvyā yathāṇyā vipulāṇiranyā nirvāhyate tadviduṣā nareṇa /	aNvyAH yaTA-aNyA vipulANiH-anyA nirvAhyate tad-viduzA nareNa /
   tadvattadevākuśalaṃ nimittaṃ kṣipennimittāntarasevanena // Saund_16.72 //	tadvat-tat-eva-akuSalam nimittam kzipet-nimitta-antara-sevanena // SOnd-_16.72 //
   tathāpyathādhyātmanavagrahatvānnaivopaśāmyedaśubho vitarkaḥ /	taTA-api-aTa-aDyAtma-nava-graha-tvAt-na-eva-upaSAmyet-aSuBaH vitarkaH /
   heyaḥ sa taddoṣaparīkṣaṇena saśvāpado mārga ivādhvagena // Saund_16.73 //	heyaH sa tad-doza-parIkzaNena sa-SvApadaH mArgaH iva-aDvagena // SOnd-_16.73 //
   yathā kṣudhārto 'pi viśeṣa pṛktaṃ jijīviṣurnecchati bhoktumannam /	yaTA kzuDA-ArtaH api viSeza pRktam jijIvizuH-na-icCati Boktum-annam /
   tathaiva doṣāvahamityavetya jahāti vidvānaśubhaṃ nimittam // Saund_16.74	taTA-eva doza-Avaham-iti-avetya jahAti vidvAn-aSuBam nimittam // SOnd_16.74
   na doṣataḥ paśyati yo hi doṣaṃ kastaṃ tato vārayituṃ samarthaḥ /	na dozataH paSyati yaH hi dozam kaH-tam tatas vArayitum samarTaH /
   guṇaṃ guṇe paśyati yaśca yatra sa vāryamāṇo 'pi tataḥ prayāti //	guNam guNe paSyati yaH-ca yatra sa vAryamANaH api tatas prayAti //
   Saund_16.75 //	SOnd-_16.75 //
   vyapatrapante hi kulaprasūtā manaḥpracārairaśubhaiḥ pravṛtaiḥ /	vyapatrapante hi kula-prasUtAH manaH-pracArEH-aSuBEH pravRtEH /
   kaṇṭhe manasvīva yuvā vapuṣmānacākṣuṣairaprayatairviṣaktaiḥ // Saund_16.76	kaNWe manasvI-iva yuvA vapuzmAn-acAkzuzEH-aprayatEH-vizaktEH // SOnd-_16.76
   nirdhūyamānāstvatha leśato 'pi tiṣṭheyurevākuśalā vitarkāḥ /	nirDUyamAnAH-tu-aTa leSataH api tizWeyuH-eva-akuSalAH vitarkAH /
   kāryāntarairadhyayanakriyādyaiḥ sevyo vidhirvismaraṇāya teṣām //	kArya-antarEH-aDyayana-kriyA-AdyEH sevyaH viDiH-vismaraNAya tezAm //
   Saund_16.77 //	SOnd-_16.77 //
   svaptavyamapyeva vicakṣaṇena kāyaklamo vāpi niṣevitavyaḥ /	svaptavyam-api-eva vicakzaNena kAya-klamaH vA-api nizevitavyaH /
   na tveva saṃcintyamasannimittaṃ yatrāvasaktasya bhavedanarthaḥ //	na tu-eva saMcintyam-asat-nimittam yatra-avasaktasya Bavet-anarTaH //
   Saund_16.78 //	SOnd-_16.78 //
   yathā hi bhīto niśi taskarebhyo dvāraṃ priyebhyo 'pi na dātumicchet /	yaTA hi BItaH niSi taskareByaH dvAram priyeByaH api na dAtum-icCet /
   prājñastathā saṃharati prayogaṃ samaṃ śubhasyāpyaśubhasya doṣaiḥ //	prAjQaH-taTA saMharati prayogam samam SuBasya-api-aSuBasya dozEH //
   Saund_16.79 //	SOnd-_16.79 //
   evaṃ prakārairapi yadyupāyairnivāryamāṇā na parāṅmukhāḥ syuḥ /	evam prakArEH-api yadi-upAyEH-nivAryamANAH na parAFmuKAH syuH /
   tato yathāśthūlanivarhaṇena suvarṇadoṣā iva te praheyāḥ // Saund_16.80 //	tatas yaTA-aSTUla-nivarhaNena suvarNa-dozAH iva te praheyAH // SOnd-_16.80 //
   drutaprayāṇaprabhṛtīṃśca tīkṣṇāt kāmaprayogāt parikhidyamānaḥ /	druta-prayANa-praBRtIn=-ca tIkzNAt kAma-prayogAt pariKidyamAnaH /
   yathā naraḥ saṃśrayate tathaiva prājñena doṣeṣvapi vartitavyam //	yaTA naraH saMSrayate taTA-eva prAjQena dozezu-api vartitavyam //
   Saund_16.81 //	SOnd-_16.81 //
   te cedalabdhapratipakṣabhāvā naivopaśāmyeyurasadvitarkāḥ /	te ced-alabDa-pratipakza-BAvAH na-eva-upaSAmyeyuH-asat-vitarkAH /
   muhūrtamapyaprativadhyamānā gṛhe bhujaṃgā iva nādhivāsyāḥ // Saund_16.82	muhUrtam-api-aprativaDyamAnAH gRhe BujaMgAH iva na-aDivAsyAH // SOnd-_16.82
   dante 'pi dantaṃ praṇidhāya kāmaṃ tālvagramutpīḍya ca jivhayāpi /	dante api dantam praNiDAya kAmam tAlu-agram-utpIxya ca jivhayA-api /
   cittena cittaṃ parigṛhya cāpi kāryaḥ prayatno na tu te 'nuvṛttāḥ //	cittena cittam parigRhya ca-api kAryaH prayatnaH na tu te anuvRttAH //
   Saund_16.83 //	SOnd-_16.83 //
   kimatra citraṃ yadi vītamoho vanaṃ gataḥ svasthamanā na muhyet /	kim-atra citram yadi vIta-mohaH vanam gataH svasTa-manAH na muhyet /
   ākṣipyamāṇo hṛdi tannimittairna kṣobhyate yaḥ sa kṛtī sa dhīraḥ //	AkzipyamANaH hRdi tad-nimittEH-na kzoByate yaH sa kRtI sa DIraH //
   Saund_16.84 //	SOnd-_16.84 //
   tadāryasatyādhigamāya pūrvaṃ viṃśodhayānena nayena mārgam /	tad-A-Arya-satya-aDigamAya pUrvam viMSoDaya-anena nayena mArgam /
   yātrāgataḥ śatruvinigrahārthaṃ rājeva lakṣmīmajitāṃ jigīṣan // Saund_16.85	yAtrA-gataH Satru-vinigraha-arTam rAjA-iva lakzmIm-ajitAm jigIzan // SOnd-_16.85
   etānyaraṇyānyabhitaḥ śivāni yogānukūlānyajaneritāni /	etAni-araNyAni-aBitas SivAni yoga-anukUlAni-ajana-IritAni /
   kāyasya kṛtvā pravivekamātraṃ kleśaprahāṇāya bhajasva mārgam //	kAyasya kRtvA praviveka-mAtram kleSa-prahANAya Bajasva mArgam //
   Saund_16.86 //	SOnd-_16.86 //
   kauṇḍinyanandakṛmilāniruddhāstiṣyopasenau vimalo 'tha rādhaḥ /	kONxinya-nanda-kRmila-anirudDAH-tizya-upasenO vimalaH aTa rADaH /
   bāṣpottarau dhautakimoharājau kātyāyanadravyapilindavatsāḥ // Saund_16.87	bAzpa-uttarO DOtaki-moha-rAjO kAtyAyana-dravya-pilinda-vatsAH // SOnd-_16.87
   bhaddālibhadrāyaṇasarpadāsasubhūtigodattasujātavatsāḥ /	BaddAli-BadrAyaNa-sarpa-dAsa-suBUti-godatta-sujAta-vatsAH /
   saṃgrāmajid bhadrajidaśvajicca śroṇaśca śoṇaśca ca koṭikarṇaḥ //	saMgrAma-jit Badrajit-aSva-jit-ca SroNaH-ca SoNaH-ca ca kowikarNaH //
   Saund_16.88 //	SOnd-_16.88 //
   kṣemājito nandakanandamātāvupālivāgīśayaśoyaśodāḥ /	kzema-ajitaH nandaka-nanda-mAtO=-upAli-vAgISa-yaSaH-ya-SodAH /
   mahāvhayo valkalirāṣṭrapālau sudarśanasvāgatamedhikāśca // Saund_16.89 //	mahA-vhayaH valkali-rAzwrapAlO sudarSana-svAgata-meDikAH-ca // SOnd-_16.89 //
   sa kapphinaḥ kāśyapa auruvilvo mahāmahākāśyapatiṣyanandāḥ /	sa kapPinaH kASyapaH OruvilvaH mahA-mahAkASyapa-tizya-nandAH /
   pūrṇaśca pūrṇaśca sa pūrṇakaśca śonāparāntaśca sa pūrṇa eva // Saund_16.90	pUrNaH-ca pUrNaH-ca sa pUrNakaH-ca Sona-aparAntaH-ca sa pUrNaH eva // SOnd-_16.90
   śāradvatīputrasubāhucundāḥ kondeyakāpyabhṛgukuṇṭhadhānāḥ /	SAradvatI-putra-subAhu-cundAH kondeya-kApya-BRgu-kuNWaDAnAH /
   saśaivalau revatakauṣṭhilau ca maudgalyagotraśca gavāṃpatiśca //	sa-SEvalO revata-kOzWilO ca mOdgalya-gotraH-ca gavAMpatiH-ca //
   Saund_16.91 //	SOnd-_16.91 //
   yaṃ vikramaṃ yogavidhāvakurvaṃstameva śīghraṃ vidhivat kuruṣva /	yam vikramam yoga-viDO=-akurvan=-tam-eva SIGram viDivat kuruzva /
   tataḥ padaṃ prāpsyasi tairavāptaṃ sukhāvṛtaistvaṃ niyataṃ yaśaśca //	tatas padam prApsyasi tEH-avAptam suKa-AvRtEH-tvam niyatam yaSaH-ca //
   Saund_16.92 //	SOnd-_16.92 //
   dravyaṃ yathā syat kaṭukaṃ rasena taccopayuktaṃ madhuraṃ vipāke /	dravyam yaTA syat kawukam rasena tat-ca-upayuktam maDuram vipAke /
   tathaiva vīryaṃ kaṭukaṃ śrameṇa tasyārtha siddhyai madhuro vipākaḥ //	taTA-eva vIryam kawukam SrameNa tasya-arTa sidDyE maDuraH vipAkaH //
   Saund_16.93 //	SOnd-_16.93 //
   vīryaṃ paraṃ kāryakṛtau hi mūlaṃ vīryādṛte kācana nāsti siddhiḥ /	vIryam param kArya-kRtO hi mUlam vIryAt-Rte kAcana na-asti sidDiH /
   udeti vīryādiha sarvasaṃpannirvīryatā cet sakalaśca pāpmā // Saund_16.94	udeti vIryAt-iha sarva-saMpad-nirvIrya-tA ced sakalaH-ca pApmA // SOnd-_16.94
   alabdhasyālābho niyatamupalabdhasya vigamas	alabDasya-alABaH niyatam-upalabDasya vigamas
   tathaivātmāvajñā kṛpaṇamadhikebhyaḥ paribhavaḥ /	taTA-eva-Atma-avajQA kRpaNam-aDikeByaH pariBavaH /
   tamo nistejastvaṃ śrutiniyamatuṣṭivyuparamo	tamaH nistejaH-tvam Sruti-niyama-tuzwi-vyuparamaH-
   nṛṇāṃ nirvīryāṇāṃ bhavati vinipātaśca bhavati // Saund_16.95 //	nRNAm nirvIryANAm Bavati vinipAtaH-ca Bavati // SOnd-_16.95 //
   nayaṃ śrutvā śakto yadayamabhivṛddhiṃ na labhate	nayam SrutvA SaktaH yat-ayam-aBivRdDim na laBate
   paraṃ dharmaṃ jñātvā yadupari nivāsaṃ na labhate /	param Darmam jQAtvA yad-upari nivAsam na laBate /
   gṛhaṃ tyaktvā muktau yadayamupaśāntiṃ na labhate /	gRham tyaktvA muktO yat-ayam-upaSAntim na laBate /
   nimittaṃ kausīdyaṃ bhavati puruṣasyātra na ripuḥ // Saund_16.96 //	nimittam kOsIdyam Bavati puruzasya-atra na ripuH // SOnd-_16.96 //
   anikṣiptotsāho yadi khanati gāṃ vāri labhate /	anikzipta-utsAhaH yadi Kanati gAm vAri laBate /
   prasaktaṃ vyāmathnan jvalanamaraṇibhyāṃ janayati /	prasaktam vyAmaTnan jvalanam-araNiByAm janayati /
   prayuktā yoge tu dhruvamupalabhante śramaphalaṃ	prayuktAH yoge tu Druvam-upalaBante Srama-Palam
   drutaṃ nityaṃ yāntyo girimapi hi bhindanti saritaḥ // Saund_16.97 //	drutam nityam yAntyaH girim-api hi Bindanti saritaH // SOnd-_16.97 //
   kṛṣṭvā gāṃ paripālya ca śramaśatairaśnoti sasyaśriyaṃ	kRzwvA gAm paripAlya ca Srama-SatEH-aSnoti sasya-Sriyam
   yatnena pravigāhya sāgarajalaṃ ratnaśriyā krīḍati /	yatnena pravigAhya sAgara-jalam ratna-SriyA krIxati /
   śatrūṇāmavadhūya vīryamiṣubhirbhuṅkte narendraśriyaṃ	SatrUNAm-avaDUya vIryam-izuBiH-BuFkte narendra-Sriyam
   tadvīryaṃ kuru śāntaye viniyataṃ vīrye hi sarvarddhayaḥ // Saund_16.98 //	tad-vIryam kuru SAntaye viniyatam vIrye hi sarva-RdDayaH // SOnd-_16.98 //
   saundarananda mahākāvye "āryasatya" nāma ṣoḍaśa sarga samāpta /	sOndara-nanda mahAkAvye "ArI-asatya" nAma zoxaSa sarga samApta /
   saptadaśaḥ sargaḥ	saptadaSaH sargaH
   amṛtaprāpti	amRta-prApti
   athaivamādeśitatattvamārgo nandastadā prāptavimokṣamārgaḥ /	aTa-evam-AdeSita-tattva-mArgaH nandaH-tadA prApta-vimokza-mArgaH /
   sarveṇa bhāvena gurau praṇamya kleśaprahāṇāya vanaṃ jagāma // Saund_17.1	sarveNa BAvena gurO praNamya kleSa-prahANAya vanam jagAma // SOnd_17.1
   tatrāvakāśaṃ mṛdunīlaśaṣpaṃ dadarśa śāntaṃ taruṣaṇḍavantam /	tatra-avakASam mRdu-nIla-Sazpam dadarSa SAntam taru-zaNxavantam /
   niḥśabdayā nimnagayopagūḍhaṃ vaiḍūryanīlodakayā vahantyā // Saund_17.2 //	niHSabdayA nimna-gayA-upagUXam vExUrya-nIla-udakayA vahantyAH // SOnd-_17.2 //
   sa pādayostatra vidhāya śaucaṃ śucau śive śrīmati vṛkṣamūle /	sa pAdayoH-tatra viDAya SOcam SucO Sive SrImati vRkza-mUle /
   mokṣāya baddhvā vyavasāyakakṣāṃ paryaṅkamaṅkāvahitaṃ babandha //	mokzAya badDvA vyavasAya-kakzAm paryaFkam-aFka-avahitam babanDaH //
   Saund_17.3 //	SOnd-_17.3 //
   ṛjuṃ samagraṃ praṇidhāya kāyaṃ kāye smṛtiṃ cābhimukhīṃ vidhāya /	Rjum samagram praNiDAya kAyam kAye smRtim ca-aBimuKIm viDAya /
   sarvendriyāṇyātmani saṃnidhāya sa tatra yogaṃ prayataḥ prapede //	sarva-indriyANi-Atmani saMniDAya sa tatra yogam prayataH prapede //
   Saund_17.4 //	SOnd-_17.4 //
   tataḥ sa tattvaṃ nikhilaṃ cikīrṣurmokṣānukūlāṃśca vidhīṃścikīrṣan /	tatas sa tattvam niKilam cikIrzuH-mokza-anukUlAn=-ca viDIn=-cikIrzan /
   jñānena śīlena śamena caiva cacāra cetaḥ parikarmabhūmau // Saund_17.5 //	jQAnena SIlena Samena ca-eva cacAra cetaH parikarma-BUmO // SOnd-_17.5 //
   saṃdhāya dhairyaṃ praṇidhāya vīryaṃ vyapohya saktiṃ parigṛhya śaktim /	saMDAya DEryam praNiDAya vIryam vyapohya saktim parigRhya Saktim /
   praśāntacetā niyamasthacetāḥ svasthastatobhūd viṣayeṣvanāsthaḥ //	praSAnta-cetAH niyama-sTa-cetAH svasTaH-tatas-BUt vizayezu-anAsTaH //
   Saund_17.6 //	SOnd-_17.6 //
   ātaptabuddheḥ prahitātmano 'pi svabhyastabhāvādatha kāmasaṃjñā /	Atapta-budDeH prahita-AtmanaH api su-aByasta-BAvAt-aTa kAma-saMjQA /
   paryākulaṃ tasya manaścakāra prāvṛṭsu vidyujjalamāgateva // Saund_17.7 //	paryAkulam tasya manaH-cakAra prAvRwsu vidyut-jalam-AgatA-iva // SOnd-_17.7 //
   sa paryavasthānamavetya sadyaścikṣepa tāṃ dharmavighātakartrīm /	sa paryavasTAnam-avetya sadyas-cikzepa tAm Darma-viGAta-kartrIm /
   priyāmapi krodhaparītacetā nārīmivodvṛttaguṇāṃ manasvī // Saund_17.8 //	priyAm-api kroDa-parIta-cetAH nArIm-iva-udvRtta-guNAm manasvI // SOnd-_17.8 //
   ārabdhavīryasya manaḥśamāya bhūyastu tasyākuśalo vitarkaḥ /	ArabDa-vIryasya manaH-SamAya BUyas-tu tasya-akuSalaH vitarkaH /
   vyādhipraṇāśāya niviṣṭavuddherupadravo ghora ivājagāma // Saund_17.9 //	vyADi-praNASAya nivizwa-vudDeH-upadravaH GoraH iva-AjagAma // SOnd-_17.9 //
   sa tadvighātāya nimittamanyad yogānukūlaṃ kuśalaṃ prapede /	sa tad-viGAtAya nimittam-anyat yoga-anukUlam kuSalam prapede /
   ārtāyanaṃ kṣīṇabalo balasthaṃ nirasyamāno balināriṇeva // Saund_17.10 //	ArtAyanam kzINa-balaH bala-sTam nirasyamAnaH balinA-ariNA-iva // SOnd-_17.10 //
   puraṃ vidhāyānuvidhāya daṇḍaṃ mitrāṇi saṃgṛhya ripūn vigṛhya /	puram viDAya-anuviDAya daNxam mitrANi saMgRhya ripUn vigRhya /
   rājā yathāpnoti hi gāmapūrvāṃ nītirmumukṣorapi saiva yoge // Saund_17.11	rAjA yaTA-Apnoti hi gAm-apUrvAm nItiH-mumukzoH-api sA-eva yoge // SOnd-_17.11
   vimokṣakāmasya hi yogino 'pi manaḥ puraṃ jñānavidhiśca daṇḍaḥ /	vimokza-kAmasya hi yoginaH api manaH puram jQAna-viDiH-ca daNxaH /
   guṇāśca mitrāṇyarayaśca doṣā bhūmirvimuktiryatate yadartham // Saund_17.12	guNAH-ca mitrANi-arayaH-ca dozAH BUmiH-vimuktiH-yatate yad-arTam // SOnd-_17.12
   sa duḥkhajālānmahato mumukṣurvimokṣamārgādhigame vivikṣuḥ /	sa duHKa-jAlAn-mahataH mumukzuH-vimokza-mArga-aDigame vivikzuH /
   panthānmāryaṃ paramaṃ didṛkṣuḥ śamaṃ yayau kiṃcidupāttacakṣuḥ //	panTAt-mAryam paramam didRkzuH Samam yayO kiMcid-upAtta-cakzuH //
   Saund_17.13 //	SOnd-_17.13 //
   yaḥ syānniketastamaso 'niketaḥ śrutvāpi tattvaṃ sa bhavet pramattaḥ /	yaH syAt-niketaH-tamasaH aniketaH SrutvA-api tattvam sa Bavet pramattaH /
   yasmāttu mokṣāya sa pātrabhūtastasmānmanaḥ svātmani saṃjahāra //	yasmAt-tu mokzAya sa pAtra-BUtaH-tasmAt-manaH sva-Atmani saMjahAraH //
   Saund_17.14 //	SOnd-_17.14 //
