   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   niṣadya bhikṣūnāmantrayate sma / icchatha yūyaṃ bhikṣavo duṣkarakārikāṇāṃ	nizadya BikzUn-Amantrayate sma / icCaTa yUyam BikzavaH duzkara-kArikANAm
   bodhisattvānāṃ śarīrāṇi draṣṭum //	boDisattvAnAm SarIrANi drazwum //
   evamukte bhikṣavo bhagavantametadavocan /	evam-ukte BikzavaH Bagavantam-etat-avocan /
   ayamṛṣivarakālaprāpta sattvārthasāramadvayanīratasya draṣṭum /	ayam-Rzi-vara-kAla-prApta sattva-arTa-sAram-advayanI-ratasya drazwum /
   asmābhirasthīṇyaparimita guṇaśritasya tatsādhu ghāṭaya // Suv_19.1 //	asmABiH-asTINi-aparimita guNa-Sritasya tat-sADu GAwayaH // Suu-_19.1 //
   atha bhagavānsahasrāracakracaraṇavilikhitatalena	aTa BagavAn-sahasra-Ara-cakra-caraNa-viliKita-talena
   sthūlitanavakamalakomalena pāṇinā dharaṇītalaṃ jaghāna vyāhatamātreṇa	sTUlita-nava-kamala-komalena pANinA DaraNI-talam jaGAna vyAhata-mAtreNa
   ṣaḍvikāraṃ pṛthivī cacāla / maṇikena karajātavikṛtaṃ ca stūpaṃ tato	zaz-vikAram pRTivI cacAla / maNikena kara-jAta-vikRtam ca stUpam tatas-
   'bhyujjagāma / atha bhagavānāyuṣmantamānandamāmantrayate sma /	aByujjagAma / aTa BagavAn-Ayuzmantam-Anandam-Amantrayate sma /
   vighāṭayānandemaṃ stūpam / athāyuṣmānānando bhagavate pratikṣutya stūpaṃ	viGAwaya-Ananda-imam stUpam / aTa-AyuzmAn-AnandaH Bagavate pratikzutya stUpam
   vighaṭayāmāsa / sa tatra dadarśa kanakavisṛtamuktāsaṃchāditaṃ hiraṇyamayaṃ	viGawayAmAsa / sa tatra dadarSa kanaka-visRta-muktA-saMCAditam hiraNya-mayam
   samudrakam / dṛṣṭvā ca bhagavantametadavocat / hiraṇyamayaṃ	samudrakam / dRzwvA ca Bagavantam-etat-avocat / hiraNya-mayam
   bhagavansamudrakaḥ samuddhṛtaḥ / bhagavānuvāca / saptaite samudrakānsarva	Bagavan-samudrakaH samudDRtaH / BagavAn-uvAca / saptA-ete samudrakAn-sarva
   uddhāṭanīyāḥ / tadoddhāṭayāmāsa / sa tatra dadarśa	udDAwanIyAH / tadA-udDAwayAmAsa / sa tatra dadarSa
   himakumudasadṛśānyasthīni / dṛṣṭvā ca bhagavantametadavocat /	hima-kumuda-sadRSAni-asTIni / dRzwvA ca Bagavantam-etat-avocat /
   bhagavannasthīnyupalakṣyante / bhagavānāha / ānīyatāmānanda	Bagavan=-asTIni-upalakzyante / BagavAn-Aha / AnIyatAm-Ananda
   mahāpuruṣasyāsthīni //	mahApuruzasya-asTIni //
   (Bagchi 107)	(Baj-Ci 107)
   athāyuṣmānānandastānyasthīnyādāya bhagavate buddhāyopanāmayāmāsa /	aTa-AyuzmAn-AnandaH-tAni-asTIni-AdAya Bagavate budDAya-upanAmayAmAsa /
   bhagavāṃścāsthīni gṛhītvā saṃghasya purataḥ saṃsthāpyovāca / imānyasthīni	BagavAn=-ca-asTIni gRhItvA saMGasya puratas saMsTApya-uvAca / imAni-asTIni
   mahāpravaraguṇāmuktasya	mahA-pravara-guNa-amuktasya
   samantadamadhyānakṣāntipravaradṛḍhotsāhayaśaḥsaṃskṛto bhūyaḥ satatasamitaṃ	samantada-maDya-Ana-kzAnti-pravara-dRXa-utsAha-yaSaH-saMskRtaH BUyas satata-samitam
   bodhau matimato dṛḍhotsāhino dhṛtimataḥ sadādānaniratasya / tato	boDO matimataH dRXotsAhinaH DRtimataH sat-AdAna-niratasya / tatas-
   bhagavānbhikṣūnāmantrayāmāsa / vadanta bhikṣavo bodhisattvaśarīrāṇi	BagavAn-BikzUn-AmantrayAmAsa / vadanta BikzavaH boDisattva-SarIrANi
   śīlaguṇavāsitāni paramadurlabhadarśanāni puṇyakṣetrabhūtāni / tataste	SIla-guNa-vAsitAni parama-durlaBa-darSanAni puNya-kzetra-BUtAni / tatas-te
   bhikṣavaḥ kṛtakarapuṭā āvarjitamanasastāni śarīrāṇi mūrdhnā vandante sma	BikzavaH kRta-kara-puwAH Avarjita-manasaH-tAni SarIrANi mUrDnA vandante sma
   athāyuṣmānānandaḥ kṛtakarapuṭo bhagavantametadavocat /	aTa-AyuzmAn-AnandaH kRta-kara-puwaH Bagavantam-etat-avocat /
   bhagavānatītānāgatapratyutpannasarvalokābhyudbhataḥ	BagavAn-atIta-anAgata-pratyutpanna-sarva-loka-aByudBataH
   sarvasattvairnamaskṛtaḥ tatkathaṃ tathāgata evaitānyasthīni namasyate /	sarva-sattvEH-namaskRtaH tat-kaTam taTAgataH eva-etAni-asTIni namasyate /
   atha bhagavānāyuṣmantamānandametadavocat / vandanīyānīmānyasthīnyānanda /	aTa BagavAn-Ayuzmantam-Anandam-etat-avocat / vandanIyAni-imAni-asTIni-Ananda /
   tatkasya hetoḥ / ebhirānandāsthibhirmayaivaṃ kṣipramanuttarā	tat-kasya hetoH / eBiH-Ananda-asTiBiH-mayA-evam kzipram-anuttarA
   samyaksaṃbodhirabhisaṃbuddheti / bhūtapūrvamānandātīte	samyaksaMboDiH-aBisaMbudDA-iti / BUta-pUrvam-Ananda-atIte
   'dhvanyanekadhanadhānyavāhanabalopapanno 'pratihatabalaparākramo mahāratho	aDvani-aneka-Dana-DAnya-vAhana-bala-upapannaH apratihata-bala-parAkramaH mahA-raTaH-
   nāma rājābhūt / tasya devakumārasadṛśāstrayaḥ putrā babhūvaḥ / mahāpraṇādo	nAma rAjA-aBUt / tasya deva-kumAra-sadRSAH-trayaH putrAH baBUvaH / mahApraNAdaH-
   mahādevo mahāsattvāśceti / atha rājā krīḍanārthamudyānamabhiniṣkramate sma	mahAdevaH mahAsattvAH-ca-iti / aTa rAjA krIxana-arTam-udyAnam-aBinizkramate sma
   / te ca kumārāstasyodyānasya guṇānurādhitayā kusumalolayā cetastato	/ te ca kumArAH-tasya-udyAnasya guNa-anurADitayA kusuma-lolayA cetaH-tatas-
   'nuvicaramānā mahādvādaśavanagulmaṃ praviviśuḥ / teṣu prasṛteṣu	anuvicaramAnAH mahA-dvAdaSa-vana-gulmam praviviSuH / tezu prasRtezu
   kumāropasthāyakā anyonyaprasṛtā babhūvuḥ / rājakumārotsṛṣṭā	kumAra-upasTAyakAH anyonya-prasRtAH baBUvuH / rAja-kumAra-utsRzwA
   udyānamahatyāmalakṣitāyāṃ taṃ dvādaśavanagulmaṃ praviviśuḥ / atha	udyAna-mahatyAm-alakzitAyAm tam dvAdaSa-vana-gulmam praviviSuH / aTa
   mahāpraṇādo bhrātṛdvayamuvāca / bhīrme hṛdayamāviśate / āgacchata mā vayaṃ	mahApraNAdaH BrAtR-dvayam-uvAca / BIrme hRdayam-AviSate / AgacCata mA vayam
   śvāpade vināśamāpadyema / mahādeva uvāca / na me bhayamastyapi	SvApade vinASam-Apadyema / mahAdevaH uvAca / na me Bayam-asti-api
   tviṣṭajanaviyogāddhi me hṛdaye pravartate / mahāsattva uvāca //	tu-izwa-jana-viyogAt-hi me hRdaye pravartate / mahAsattvaH uvAca //
   na ca mama bhayamihāsti nāpi śoko vanavare munijanasaṃstute vivikte /	na ca mama Bayam-iha-asti na-api SokaH vana-vare muni-jana-saMstute vivikte /
   paramasuvipulamahārthatā lābhā hṛdayamidaṃ mama saṃprapuṣpati ca //	parama-su-vipula-mahArTa-tA lABAH hRdayam-idam mama saMprapuzpati ca //
   Suv_19.2 //	Suv_19.2 //
   (Bagchi 108)	(Baj-Ci 108)
   atha te rājakumārāstad dvādaśavanagulmavivaraṃ cañcūryamāṇā ekāṃ vyāghrīṃ	aTa te rAja-kumArAH-tat dvAdaSa-vana-gulma-vivaram caQcUryamANA ekAm vyAGrIm
   dadṛśuḥ saptāhaprasutāṃ pañcasutaparivṛtāṃ kṣuttṛṣaparikarṣitāṃ	dadRSuH sapta-aha-prasutAm paQca-suta-parivRtAm kzut-tRza-parikarzitAm
   paramadurbalaśarīrāṃ dṛṣṭā mahāpraṇādo 'bravīt / bho kaṣṭamiyaṃ tapasvinī	parama-durbala-SarIrAm dRzwA mahApraNAdaH abravIt / Bo kazwam-iyam tapasvinI
   ṣaḍahaprasutā vā saptāhaprasutā vā bhaviṣyati / idānīṃ bhojanamalabhamānā	zaz-aha-prasutA vA sapta-aha-prasutA vA Bavizyati / idAnIm Bojanam-alaBamAnA
   svasutāni bhakṣayiṣyati jighatsayā vā kālaṃ kariṣyati / mahāsattva uvāca /	sva-sutAni Bakzayizyati jiGatsayA vA kAlam karizyati / mahAsattvaH uvAca /
   kimasyāstapasvinyā bhojanam / mahāpraṇāda uvāca /	kim-asyAH-tapasvinyAH Bojanam / mahApraNAdaH uvAca /
   māṃsoṣṇāni rūdhirāṇi rasasaṃkāśaṃ bhavedyadiha /	mAMsa-uzNAni rUDirANi rasa-saMkASam Bavet-yat-iha /
   etadbhojanamuktaṃ vyāghratarakṣvṛkṣasiṃhānām // Suv_19.3 //	etat-Bojanam-uktam vyAGra-tarakzu-Rkza-siMhAnAm // Suu-_19.3 //
   mahādeva uvāca / ihaiṣā tapasvīnī kṣuttuṣaparītaśarīrā alaṃ prāṇāvaśeṣā	mahAdevaH uvAca / iha-ezA tapasvInI kzuD-tuza-parIta-SarIrAH alam prANa-avaSezA
   paramadurbalā na śakyamanyasthāne bhojanamanveṣṭum / ko 'syāḥ	parama-durbalAH na Sakyam-anya-sTAne Bojanam-anvezwum / kaH asyAH
   prāṇaparirakṣaṇārthamātmaparityāgaṃ kuryāditi / mahāpraṇāda uvāca / bho	prANa-parirakzaNa-arTam-Atma-parityAgam kuryAt-iti / mahApraNAdaH uvAca / Bo
   duṣkara ātmaparityāgaḥ / mahāsattva uvāca /	duzkaraH Atma-parityAgaH / mahAsattvaH uvAca /
   asmadvidhān duṣkara śarīra abhiyuktānāṃ eṣa nayaḥ /	asmadviDAn duzkara SarIra aBiyuktAnAm eza nayaH /
   anyeṣāṃ parahitābhiyuktānāṃ satpuruṣāṇa na duṣkaraḥ // Suv_19.4 //	anyezAm para-hita-aBiyuktAnAm sat-puruzANa na duzkaraH // Suu-_19.4 //
   api ca /	api ca /
   kṛpākaruṇamamavatāriya sattvo divi ceha labhyate saḥ /	kRpA-karuNam-amavatAriya sattvaH divi ca-iha laByate saH /
   svadeha śataśa iha kṛtva muditamanāḥ parajīvaśarīre // Suv_19.5 //	sva-deha SataSas iha kRtva mudita-manAH para-jIva-SarIre // Suu-_19.5 //
   atha te rājakumārāḥ paramasaṃdīptā eṣā vyāghrīti	aTa te rAja-kumArAH parama-saMdIptA ezA vyAGrI-iti
   drutamanimiṣimanunirīkṣantaḥ pracaṅkramustato mahāsattvasyaitadabhūt /	drutam-animizim-anunirIkzantaH pracaFkramuH-tatas mahAsattvasya-etat-aBUt /
   ayamidānīmātmaparityāgasya kālaḥ / kutaḥ -	ayam-idAnIm-Atma-parityAgasya kAlaH / kutas -
   suciramapi ṛto 'yaṃ pūtikāyo mahāhaiḥ śayanavasanānnairbhojanairvāhanaiśca	su-ciram-api RtaH ayam pUtikAyaH mahA-ahEH Sayana-vasanA-annEH-BojanEH-vAhanEH-ca
   (Bagchi 109)	(Baj-Ci 109)
   śtanayakṛtadharmābhaidanāntairanantaṃ na vijahati anupūrvaṃ svasvabhāvaṃ	Stanaya-kRta-Darma-ABEdana-antEH-anantam na vijahati anupUrvam sva-svaBAvam
   kṛtaghnuḥ // Suv_19.6 //	kRtaGnuH // Suu-_19.6 //
   api ca /	api ca /
   nāstī tasyopajīvyaṃ sarvatu madhye bhutatvāttaṃ niyojya /	na-astI tasya-upajIvyam sarvatu maDye Buta-tvAt-tam niyojya /
   tasmai jarāmaraṇasya samudra-uttaraṇapotabhūtu bhavissam // Suv_19.7 //	tasmE jarA-maraNasya samudra--uttaraNa-pota-BUtu Bavissam // Suu-_19.7 //
   api ca /	api ca /
   tyaktvāhaṃ puṇḍrabhūtaṃ bhavaśatabharitaṃ viṣṭāntaḥ pūrṇam /	tyaktvA-aham puNxra-BUtam Bava-Sata-Baritam vizwa-antaH pUrNam /
   niḥsāraphenakalpaṃ kṛmiśatabharitaṃ kāryakṛtyaṃ tanu hi // Suv_19.8 //	niHsAra-Pena-kalpam kRmi-Sata-Baritam kArya-kRtyam tanu hi // Suu-_19.8 //
   niḥśoka nirvikāraṃ nirupadhimamalaṃ dhyānaprajñādiguṇaiḥ /	niHSoka nirvikAram nirupaDim-amalam DyAna-prajQA-Adi-guNEH /
   saṃpūrṇaṃ dharmakāya guṇaśatabharitaṃ prāpsyeva suśuddham // Suv_19.9 //	saMpUrNam DarmakAya guNa-Sata-Baritam prApsya-iva su-SudDam // Suu-_19.9 //
   sa khalvevaṃ kṛtavyavasāyaḥ paramakaruṇoparigatahṛdayaḥ tayorvikṣepaṃ	sa Kalu-evam kRta-vyavasAyaH parama-karuNA-upari-gata-hRdayaH tayoH-vikzepam
   cakāra / gacchetāṃ tāvadbhavantau svakāryeṇāhaṃ dvādaśavanagulmaṃ	cakAra / gacCetAm tAvat-BavantO sva-kAryeNa-aham dvAdaSa-vana-gulmam
   pravekṣyāmīti //	pravekzyAmi-iti //
   atha sa mahāsattvo rājakumāraḥ tasmādupavanātpratinivṛtya vyāghryā	aTa sa mahAsattvaH rAja-kumAraH tasmAt-upavanAt-pratinivRtya vyAGryA
   ālayamupagamya vanalatāyāṃ prāvaraṇamṛtsṛjya praṇidhānaṃ cakāra / eṣo 'haṃ	Alayam-upagamya vana-latAyAm prAvaraNa-mRtsRjya praNiDAnam cakAra / ezaH aham
   jagato hitārthamanuttarāṃ bodhiṃ vibudhya śivāṃ kāruṇyātpradadāmi	jagataH hita-arTam-anuttarAm boDim vibuDya SivAm kAruNyAt-pradadAmi
   niścalamatirdehaṃ parairdustyajam / tanme bodhiranāmayā yā	niScala-matiH-deham parEH-dustyajam / tat-me boDiH-anAmayA yA
   jinasutairabhyarcitā nirjvalā trailikyaṃ	jinasutEH-aByarcitA nirjvalA trElikyam
   bhavasāgarātpratibhayāduttārayeyānmām / ityatha vyāghryā abhimukhaṃ	Bava-sAgarAt-pratiBayAt-uttArayeyAn-mAm / iti-aTa vyAGryAH aBimuKam
   mahāsattvaḥ prapatitaḥ / tato vyāghrī maitrīvato bodhisattvasya na	mahAsattvaH prapatitaH / tatas vyAGrI mEtrIvataH boDisattvasya na
   kiñciccakre / tato bodhisattvo durbalāvarto 'yamathetyutthāya śastraṃ	kiQcid-cakre / tatas boDisattvaH durbala-AvartaH ayam-aTa-iti-utTAya Sastram
   paryeṣate sma / kṛpāmatirna kvacicchastramalabhat / so 'tibalāṃ	paryezate sma / kRpA-matiH-na kvacid-Sastram-alaBat / saH ati-balAm
   varṣaśatikāṃ vaṃśalatāṃ (Bagchi 110) gṛhītvā tayā svabālamutkṣepya	varza-SatikAm vaMSala-tAm (Baj-Ci 110) gRhItvA tayA sva-bAlam-utkzepya
   vyāghrīsamīpe papāta / prapatitamātre ca bodhisattve bhūmiriyaṃ	vyAGrI-samIpe papAta / prapatita-mAtre ca boDisattve BUmiH-iyam
   pracaravihīneva nauḥ salilamadhye gatā ṣaḍvikāraṃ pracacāla / rāhugrasta	pracara-vihInA-iva nOH salila-maDye gatA zaz-vikAram pracacAla / rAhu-grasta
   iva dinakarakiraṇo na babhrāje / divyagandhacūrṇasaṃniśritaṃ ca	iva dinakara-kiraNaH na baBrAje / divya-ganDa-cUrNa-saMniSritam ca
   kusumavarṣaṃ papāta / athānyatarā vismayā varjitamanasā devatā	kusuma-varzam papAta / aTa-anyatarA vismayA varjita-manasA devatA
   bodhisattvaṃ tuṣṭāva //	boDisattvam tuzwAva //
   yathā kāruṇyaṃ te visṛtamiha sattveṣu sumate	yaTA kAruNyam te visRtam-iha sattvezu sumate
   yathā vai taddehaṃ tyajasi naravīra pramuditaḥ /	yaTA vE tat-deham tyajasi nara-vIra pramuditaH /
   śivaṃ śreṣṭhaṃ sthānaṃ jananamaraṇārthe virahitaṃ	Sivam SrezWam sTAnam janana-maraNa-arTe virahitam
   nirāyāsaṃ śāntaṃ tvamiha na cirātprāpsyasi śubham // Suv_19.10 //	nirAyAsam SAntam tvam-iha na cirAt-prApsyasi SuBam // Suu-_19.10 //
   atha khalu sā vyāghrī rudhiramrakṣitaśarīraṃ bodhisattvamavekṣya	aTa Kalu sA vyAGrI ruDiram-rakzita-SarIram boDisattvam-avekzya
   muhūrtamātreṇa nirmāṃsarudhiramasthyavaśeṣaṃ cakāra //	muhUrta-mAtreNa nirmAMsa-ruDiram-asTi-avaSezam cakAra //
   atha mahāpraṇādastaṃ bhūmikampamanuniśamya mahādevametadavocat //	aTa mahApraNAdaH-tam BUmikampam-anuniSamya mahAdevam-etat-avocat //
   pracalita sasamudrā sāgarā vasumatidaśadikṣū suptaraśmiśca sūryaḥ /	pracalita sa-samudrA sAgarA vasum-ati-daSa-dikzU supta-raSmiH-ca sUryaH /
   patati kusumavarṣaṃ vyākulaṃ vā mano me svatanuriha visṛṣṭaḥ sāṃprataṃ	patati kusuma-varzam vyAkulam vA manaH me sva-tanuH-iha visRzwaH sAMpratam
   bhrātṛṇā me // Suv_19.11//	BrAtRNA me // Suu-_19.11//
   mahādeva uvāca /	mahAdevaH uvAca /
   yathā ca so karuṇavaco hyavocata samīkṣya tāṃ svatanāyabhakṣaṇodyatāṃ /	yaTA ca saH karuNa-vacaH hi-avocata samIkzya tAm svatanAya-BakzaNa-udyatAm /
   kṣudhānvitāṃ vyaśanaśataiḥ samanvitāṃ sudurbalā matiriha saṃśayā tu me //	kzuDA-anvitAm vyaSana-SatEH samanvitAm su-durbalA matiH-iha saMSayA tu me //
   Suv_19.12 //	Suu-_19.12 //
   atha tau rājakumārau paramaśokābhibhūtau vāṣpapariplutākṣau tamenaṃ	aTa tO rAja-kumArO parama-Soka-aBiBUtO vA-azpa-paripluta-akzO tam-enam
   panthānaṃ pratinivṛtya gacchantau vyāghrīsamīpamevābhijagmatuḥ / taṃ	panTAnam pratinivRtya gacCantO vyAGrI-samIpam-eva-aBijagmatuH / tam
   dadṛśtuḥ śataṃ vaṃśalatāsamāyuktaṃ prāvaraṇaṃ kṛṣṇavikṛṣṇāni (Bagchi 111)	dadRStuH Satam vaMSa-latA-samAyuktam prAvaraNam kRzNa-vikRzNAni (Baj-Ci 111)
   cāsthīni rudhirakardamāni / nānādigvidikṣu keśānvistīrṇāndṛṣṭvā ca	ca-asTIni ruDira-kardamAni / nAnA-diS-vidikzu keSAn-vistIrNAn-dRzwvA ca
   samūrcchannau bhūmau nipetatuḥ / sacirātsaṃjñāmupalabhyotthāyocceyabāhū	sa-mUrcCannO BUmO nipetatuH / sacirAt-saMjQAm-upalaBya-utTAya-ucceya-bAhU
   ārtasvaraṃ mumucatuḥ /	Arta-svaram mumucatuH /
   aho priyabhrātṛka pārthivāyaṃ tathā jananī sutavatsalā yā	aho priya-BrAtRka pArTiva-ayam taTA jananI suta-vatsalA yA
   pṛcchiṣyate sā jananī tṛtīyaḥ kva vā yuvābhyāṃ kamalāyatekṣṇaḥ //	pRcCizyate sA jananI tRtIyaH kva vA yuvAByAm kamala-Ayata-IkzNaH //
   Suv_19.13 //	Suu-_19.13 //
   aho hi asmākamihaiva śobhitaṃ nanū pradeśe maraṇaṃ na jīvitam /	aho hi asmAkam-iha-eva SoBitam nanU pradeSe maraNam na jIvitam /
   kathaṃ mahāsattvavivarjitā vayaṃ dāsyāmahe darśanamambatātayoḥ //	kaTam mahAsattva-vivarjitAH vayam dAsyAmahe darSanam-amba-tAtayoH //
   Suv_19.14 //	Suu-_19.14 //
   atha tau rājakumārau bahuvividhakaruṇaṃ vilāpya pracakramatuḥ / tatra	aTa tO rAja-kumArO bahu-viviDa-karuNam vilApya pracakramatuH / tatra
   kumārasyopasthāyakā diśi vidiśi pradhāvantaḥ kumārānveṣaṇāḥ parasparaṃ	kumArasya-upasTAyakAH diSi vidiSi praDAvantaH kumAra-anvezaNAH parasparam
   dṛṣṭvā ca papracchuḥ kva kumāraḥ kva kumāra iti / tasmiṃśca samaye devī	dRzwvA ca papracCuH kva kumAraH kva kumAraH iti / tasmin=-ca samaye devI
   śayanatalagatā priyaviprayogasūcakaṃ svapnaṃ dadarśa / tadyathā stanau	Sayana-tala-gatA priya-viprayoga-sUcakam svapnam dadarSa / tat-yaTA stanO
   chidyamānau dantotpātanaṃ ca kriyamāṇaṃ trayaḥ kapotaśāvakāḥ	CidyamAnO danta-utpAtanam ca kriyamANam trayaH kapota-SAvakAH
   pratilambhamānāste bhītā eva śyenenācchidyamānāḥ / atha devī	pratilamBamAnAH-te BItAH eva Syenena-AcCidyamAnAH / aTa devI
   bhūmikāmpādutrastahṛdayā sahasā prativibudhya cintāparā babhūva // kimeṣā	BUmikA-ampAdu-trasta-hRdayA sahasA prativibuDya cintA-parA baBUva // kim-ezA
   bhūtadhātrī jalanidhivasanā kampati bhṛśaṃ sūryaḥ śūlī na raśmirmama ca	BUtaDAtrI jalaniDi-vasanA kampati BRSam sUryaH SUlI na raSmiH-mama ca
   kica bhūbhajaṃ vayati vā /	kica BUBajam vayati vA /
   duḥkhaṃ kurvati me gātraṃ calati ca nayanaṃ svastanaṃ chidyatī ca /	duHKam kurvati me gAtram calati ca nayanam sva-stanam CidyatI ca /
   svasti me syātsutānāṃ vanavivaramidaṃ krīḍanārthaṃ gatānām // Suv_19.15 //	svasti me syAt-sutAnAm vana-vivaram-idam krIxana-arTam gatAnAm // Suu-_19.15 //
   athaivaṃ cintayantyāśceṭī ca saṃtrastahṛdayā praviśya devyā nivedayāmāsa /	aTa-evam cintayantyAH-cewI ca saMtrasta-hRdayA praviSya devyA nivedayAmAsa /
   devi kumāraparicārakāḥ kumāramanveṣante naṣṭaḥ śrūyate / tatra	devi kumAra-paricArakAH kumAram-anvezante nazwaH SrUyate / tatra
   putrahataśravaṇācca devī saṃkampitāhṛdayā vāṣpākulanayanavadanā (Bagchi	putra-hata-SravaNAt-ca devI saMkampita-ahRdayAH vAzpa-Akula-nayana-vadanAH (Baj-Ci
   112) rājānamabhigamyovāca / deva naṣṭo me priyasutaḥ śrūyate / rājāpi	112) rAjAnam-aBigamya-uvAca / deva nazwaH me priya-sutaH SrUyate / rAjA-api
   saṃkampitahṛdayaḥ paramasaṃtrāsamāpede / hā kaṣṭaṃ viyukto 'smi	saMkampita-hRdayaH parama-saMtrAsam-Apede / hA kazwam viyuktaH asmi
   priyasutena / atha rājā devīmāśvāsayāmāsa / mā bhīrdevi putrārthaṃ vayaṃ	priya-sutena / aTa rAjA devIm-ASvAsayAmAsa / mA BIH-devi putra-arTam vayam
   kumārānveṣaṇopalabhantaḥ / tatra pravṛtte kumārānveṣaṇābhidrute janakāya	kumAra-anvezaNa-upalaBantaH / tatra pravRtte kumAra-anvezaNa-aBidrute janakAya
   athācirādeva rājā dadarśa dūrata evāgacchantau rājakumārau / dṛṣṭvā	aTa-acirAt-eva rAjA dadarSa dUratas eva-AgacCantO rAja-kumArO / dRzwvA
   rājābravīt / etāvālabhantau kumārau na tu sarve / hā kaṣṭaṃ sutaviyogo	rAjA-abravIt / etO=-Ala-BantO kumArO na tu sarve / hA kazwam suta-viyogaH-
   nāma /	nAma /
   na bhavati nirupalambhe na prītirevaṃ narāṇāṃ bhavati sutaviyogādyādṛśaṃ	na Bavati nirupalamBe na prItiH-evam narANAm Bavati suta-viyogAt-yAdRSam
   daurmanasyam /	dOrmanasyam /
   nanu varasukhinaste yena puṃsābhiyogā maraṇamupagatā vā ye na jīvanti	nanu vara-suKinaH-te yena puMsA-aBiyogAH maraNam-upagatAH vA ye na jIvanti
   putrāḥ // Suv_19.16 //	putrAH // Suu-_19.16 //
   atha devī paramaśokābhibhūtā marmahanteva kalabhī ārtasvaramuvāca //	aTa devI parama-Soka-aBiBUtAH marma-hantA-iva kalaBiH Arta-svaram-uvAca //
   yadi tanayāstrayasya bhṛtyavargā vanavare kusumākule praviṣṭāḥ /	yadi tanayAH-trayasya BRtya-vargAH vana-vare kusuma-Akule pravizwAH /
   kva sa hṛdayasamo samastṛtīyaḥ sutamanayāpadavaiti kanīyasametat //	kva sa hRdaya-samaH samaH-tRtIyaH sutam-anayA-ApadavEti kanIya-sam-etat //
   Suv_19.17 //	Suu-_19.17 //
   tayorāgatayo rājā putrāvetatparyapṛcchatotsukaḥ kumārau paripṛcchati sma /	tayoH-AgatayaH rAjA putrO=-etat-paryapRcCata-utsukaH kumArO paripRcCati sma /
   kva dārakaḥ kanīyasa iti / tataḥ śokārtāvaśrudrutanayanau	kva dArakaH kanIyasaH iti / tatas Soka-ArtO=-aSru-druta-nayanO
   pariśuṣkatālvoṣṭhadaśanavadanau na kiñcidūcatuḥ // devyuvāca //	pariSuzka-tAlu-ozWa-daSana-vadanO na kiQcid-UcatuH // devI-uvAca //
   kathayatāṃ laghu vimuhyati smṛtiśca paramabhṛśaṃ paripīḍyate ca dehaḥ /	kaTayatAm laGu vimuhyati smRtiH-ca parama-BRSam paripIxyate ca dehaH /
   kva sa mama putrastṛtīya hṛdayaṃ idaṃ sphuṭitaṃ tu saṃmūrcchati vā //	kva sa mama putraH-tRtIya hRdayam idam sPuwitam tu saMmUrcCati vA //
   Suv_19.18 //	Suu-_19.18 //
   atha tau kumārau vistareṇa taṃ vṛttāntaṃ nivedayāmāsa / sahaśravaṇena rājā	aTa tO kumArO vistareNa tam vRttAntam nivedayAmAsa / saha-SravaNena rAjA
   devī parijanāśca mohamupagatāḥ / mohapratyāgatāśca karuṇārtasvaraṃ	devI parijanAH-ca moham-upagatAH / moha-pratyAgatAH-ca karuNA-Arta-svaram
   rodamānāstaṃ deśamabhijagmuḥ / atha rājā devī ca	rodamAnAH-tam deSam-aBijagmuH / aTa rAjA devI ca
   taṇyasthīnyapagatarudhiramāṃsāni vāyunā diśo vidiśaśca keśavikīrṇā dṛṣṭvā	taNi-asTIni-apagata-ruDira-mAMsAni vAyunA diSaH vidiSaH-ca keSa-vikIrNA dRzwvA
   (Bagchi 113) cāhata iva drumo bhūmau nipatitau / tataḥ purohitaḥ suciraṃ	(Baj-Ci 113) ca-AhataH iva drumaH BUmO nipatitO / tatas purohitaH su-ciram
   tāmavasthāṃ dṛṣṭvā salilamalayacandanapaṅkai rājño devyāśca śarīraṃ	tAm-avasTAm dRzwvA salila-malaya-candana-paFkEH rAjQaH devyAH-ca SarIram
   prahlādayāmāsa / atha sucirātsaṃjñāmupalabhya rājotthāya karuṇakaruṇaṃ	prahlAdayAmAsa / aTa sucirAt-saMjQAm-upalaBya rAja-utTAya karuNa-karuNam
   vilalāpa //	vilalApa //
   hā kaṣṭaṃ putra kva manorasa darśanīya mṛtyorvaśaṃ śīghramupagatāsi /	hA kazwam putra kva manorasa darSanIya mRtyoH-vaSam SIGram-upagatA-asi /
   mṛtyoḥ praśmameva hi cāgato vinā te paraṃ mama bhaviṣyati duḥkhamanyat //	mRtyoH praSmam-eva hi ca-AgataH vinA te param mama Bavizyati duHKam-anyat //
   Suv_19.19 //	Suu-_19.19 //
   devī ca mohātyāgatā prakīrṇakeśī bāhubhyāmurastāḍayantī sthānyāṃ pluta iva	devI ca moha-atyAgatA prakIrNa-keSI bAhuByAm-uraH-tAxayantI sTAnyAm plutaH iva
   matsyā dharaṇyāstale parivartamānā mahiṣīva naṣṭavatsā kalabhīva	matsyAH DaraNyAH-tale parivartamAnA mahizI-iva nazwa-vatsA kalaBI-iva
   naṣṭaśāvakā karuṇakaruṇaṃ roditi //	nazwa-SAvakA karuNa-karuNam roditi //
