   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.17: na, vinaṣṭebhyo 'niṣpatteḥ	4.1.17: na, vinazweByaH anizpatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.18: kramanirdeśādapratiṣedhaḥ	4.1.18: krama-nirdeSAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [īśvaropādānātāprakaraṇam(19-21)]	[ISvara-upAdAnAtA-prakaraNam-(19-21)]
   4.1.19: īśvaraḥ kāraṇam, puruṣakarmāphalyadarśanāt	4.1.19: ISvaraH kAraNam, puruza-karma-aPalya-darSanAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.20: na, puruṣakarmābhāve phlāniṣpatteḥ	4.1.20: na, puruza-karma-aBAve PlAnizpatteH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.21: tatkāritatvād ahetuḥ	4.1.21: tad-kArita-tvAt ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [ākasmikatvanirākaraṇaprakaraṇam(22-24)]	[Akasmika-tva-nirAkaraNa-prakaraNam-(22-24)]
   4.1.22: animittato bhāvotpattiḥ, kaṇṭakataikṣṇyādidarśanāt	4.1.22: animittataH BAva-utpattiH, kaNwaka-tEkzNya-Adi-darSanAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.23: animittanimittatvānnanimittataḥ	4.1.23: animitta-nimitta-tva-anna-nimittataH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.24: nimittanimittayorarthāntarabhāvādapratiṣedhaḥ	4.1.24: nimitta-nimittayoH-arTa-antara-BAvAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [sarvānityatvanirākaraṇaprakaraṇam(25-28)]	[sarva-anitya-tva-nirAkaraNa-prakaraNam-(25-28)]
   4.1.25: sarvam anityam, utpattivināśadharmakatvāt	4.1.25: sarvam anityam, utpatti-vinASa-Darmaka-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.26: na, anityatānityatvāt	4.1.26: na, anitya-tA-nitya-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.27: tadanityatvamagnerdāhyaṃ vināśyānuvināśavat	4.1.27: tad-anitya-tvam-agneH-dAhyam vinASya-anuvinASa-vat
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.28: nityasyāpratyākhyānam, yathopalabdhi vyavasthānāt	4.1.28: nityasya-apratyAKyAnam, yaTA-upalabDi vyavasTAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [sarvanityatvanirākaraṇam(29-33)]	[sarva-nitya-tva-nirAkaraNam-(29-33)]
   4.1.29: sarvaṃ nityam, pañcabhūtanityatvāt	4.1.29: sarvam nityam, paQca-BUta-nitya-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.30: na, utpattivināśakāraṇopalabdheḥ	4.1.30: na, utpatti-vinASa-kAraNa-upalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.31: tallakṣaṇāvarodhādapratiṣedhaḥ	4.1.31: tad-lakzaNa-avaroDAt-apratizeDaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.32: na, utpattitatkāraṇopalabdheḥ	4.1.32: na, utpatti-tad-kAraNa-upalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.33: na, vyavasthānupapatteḥ	4.1.33: na, vyavasTA-anupapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [sarvapṛthaktvanirākaraṇaprakaraṇam(34-36)]	[sarva-pRTaktu-a-nirAkaraNa-prakaraNam-(34-36)]
   4.1.34: sarvaṃ pṛthag, bhāvalakṣaṇapṛthaktvāt	4.1.34: sarvam pRTag, BAva-lakzaNa-pRTaktvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.35: na, anekalakṣaṇairekabhāvaniṣpatteḥ	4.1.35: na, aneka-lakzaNEH-eka-BAva-nizpatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.36: lakṣaṇavyavasthānādevāpratiṣedhaḥ	4.1.36: lakzaNa-vyavasTAnAt-eva-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [sarvaśūnyatānirākaraṇaprakaraṇam(37-40)]	[sarva-SUnyatA-nirAkaraNa-prakaraNam-(37-40)]
   4.1.37: sarvam abhāvo bhāveṣvitaretarābhāvasiddheḥ	4.1.37: sarvam aBAvaH BAvezu-itaretarABAva-sidDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.38: na, svabhāvasiddherbhāvānām	4.1.38: na, svaBAva-sidDeH-BAvAnAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.39: na svabhāvasiddhiḥ, āpekṣikatvāt	4.1.39: na svaBAva-sidDiH, Apekzika-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.40: vyāhatatvādayuktam	4.1.40: vyAhata-tvAt-ayuktam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [saṃkhyaikāntavādaprakaraṇam(41-43)]	[saMKyA-ekAnta-vAda-prakaraNam-(41-43)]
   4.1.41: saṃkhyaikāntāsiddhiḥ, kāraṇānupapattyupapattibhyām	4.1.41: saMKyA-ekAntA-sidDiH, kAraNa-anupapatti-upapattiByAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.42: na, kāraṇavayavābhāvāt	4.1.42: na, kAraNa-vayava-aBAvAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.43: niravayavatvādahetuḥ	4.1.43: niravayava-tvAt-ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [phalaparīkṣāprakaraṇam(44-54)]	[Pala-parIkzA-prakaraNam-(44-54)]
   4.1.44: sadyaḥ kālāntare ca phalaniṣpatteḥ saṃśayaḥ	4.1.44: sadyas kAla-antare ca Pala-nizpatteH saMSayaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.45: na sadyaḥ, kālāntaropabhogyatvāt	4.1.45: na sadyas-, kAla-antara-upaBogya-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.46: kālāntareṇāniṣpattiheturvināśāt	4.1.46: kAla-antareNa-anizpatti-hetuH-vinASAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.47: prāṅniṣpattervṛkṣaphalavat tatsyāt	4.1.47: prAk-nizpatteH-vRkza-Pala-vat tat-syAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.48: nāsanna sanna sadasat, sadasatorvaidharmayāt	4.1.48: na-asat-na sat-na sat-asat, sat-asatoH-vEDarmayAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.49: utpādavyayadarśanāt	4.1.49: utpAda-vyaya-darSanAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.50: buddhisiddhaṃ tu tadasat	4.1.50: budDi-sidDam tu tat-asat-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.51: āśrayavyatirekād vṛkṣaphalotpattivad ityahetuḥ	4.1.51: ASraya-vyatirekAt vRkza-Pala-utpatti-vat iti-ahetuH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.52: prīterātmāśrayatvādapratiṣedhaḥ	4.1.52: prIteH-Atma-ASraya-tvAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.53: na putrapaśustrīparicchedahiraṇyānnādiphalanirddeśāt	4.1.53: na putra-paSu-strI-paricCeda-hiraNya-anna-Adi-Pala-nirddeSAt
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.54: tatsambandhāt phalaniṣpattesteṣu phalavadupacāraḥ	4.1.54: tad-sambanDAt Pala-nizpatteH-tezu Palavat-upacAraH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [duḥkhaparīkṣāprakaraṇam(55-58)]	[duHKa-parIkzA-prakaraNam-(55-58)]
   4.1.55: vividhavādhanāyogād duḥkhameva janmotpattiḥ	4.1.55: viviDa-vADana-ayogAt duHKam-eva janma-utpattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.56: na, sukhasyāpyantarālaniṣpatteḥ	4.1.56: na, suKasya-api-antarAla-nizpatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.57: bhādhanānivṛttervedayataḥ pryeṣaṇadoṣādapratiṣedhaḥ	4.1.57: BADana-anivRtteH-vedayataH pryezaNa-dozAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.58: duḥkhavikalpe sukhābhimānācca	4.1.58: duHKa-vikalpe suKa-aBimAnAt-ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [apavargaparīkṣāprakaraṇam(59-68)]	[apavarga-parIkzA-prakaraNam-(59-68)]
   4.1.59: ṛṇakleśapravṛttyanubndhādapavargābhāvaḥ	4.1.59: RNa-kleSa-pravRtti-anubnDAt-apavarga-aBAvaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.60: pradhānaśabdānupapatterguṇaśabdenānuvādo nindāpraśaṃsopapatteḥ	4.1.60: praDAna-Sabda-anupapatteH-guNa-Sabdena-anuvAdaH nindA-praSaMsA-upapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.61: samāropaṇādātmanyapratiṣedhaḥ	4.1.61: samAropaNAt-Atmani-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.62: pātracayāntānupapatteśca phalābhāvaḥ	4.1.62: pAtra-caya-anta-anupapatteH-ca Pala-aBAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.63: suṣuptasya svapnādarśane kleśābhāvādapavargaḥ	4.1.63: suzuptasya svapna-adarSane kleSa-aBAvAt-apavargaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.64: na pravṛttiḥ pratisandhānāya hīnakleśasya	4.1.64: na pravRttiH pratisanDAnAya hIna-kleSasya
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.65: na, kleśasantateḥ svābhāvikatvāt	4.1.65: na, kleSa-santateH svABAvika-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.66: prāgutpatterabhāvānityatvavat svābhāvike 'pyanityatvam	4.1.66: prAk-utpatteH-aBAva-anitya-tva-vat svABAvike api-anitya-tvam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.67: aṇuśyāmatānityatvavad vā	4.1.67: aNu-SyAma-tA-anitya-tva-vat vA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.68: na, saṅkalpanimittatvācca rāgādīnām	4.1.68: na, saFkalpa-nimitta-tvAt-ca rAga-AdInAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre caturthādhyāyasya prathamam āhnikam)	(iti nyAya-sUtre caturTa-aDyAyasya praTamam Ahnikam-)
   (dvitīyam āhnikam)	(dvitIyam Ahnikam-)
   [tattvajñānotpattiprakaraṇam(1-3)]	[tattva-jQAna-utpatti-prakaraNam-(1-3)]
   4.2.1: doṣanimittānāṃ tattvajñānādahaṅkāranivṛttiḥ	4.2.1: doza-nimittAnAm tattva-jQAnAt-ahaFkAra-nivRttiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.2: doṣanimittaṃ rūpādayo viṣayaḥ saṅkalpakṛtāḥ	4.2.2: doza-nimittam rUpa-AdayaH vizayaH saFkalpa-kRtAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.3: tannimittaṃ tvavayavyabhimānaḥ	4.2.3: tad-nimittam tu-avayavi-aBimAnaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prāsaṅgikam avayaviprakaraṇam(4-17)]	[prAsaFgikam avayavi-prakaraNam-(4-17)]
   4.2.4: vidyāvidyādvaividhyāt saṃśayaḥ	4.2.4: vidyA-avidyA-dvEviDyAt saMSayaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.5: tadasaṃśayaḥ, pūrvahetuprasiddhatvāt	4.2.5: tad-asaMSayaH, pUrva-hetu-prasidDa-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.6: vṛttyanupapatterapi tarhi na saṃśayaḥ	4.2.6: vRtti-anupapatteH-api tarhi na saMSayaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.7: kṛtsnaikadeśāvṛttitvādavayavānāmavayavyabhāvaḥ	4.2.7: kRtsna-eka-deSa-avRtti-tvAt-avayavAnAm-avayavi-aBAvaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.8: teṣu cāvṛtteravayavyabhāvaḥ	4.2.8: tezu ca-avRtteH-avayavi-aBAvaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.9: pṛthak cāvayavebhyo 'vṛtteḥ	4.2.9: pRTak ca-avayaveByaH avRtteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.10: na cāvayavyavayavāḥ	4.2.10: na ca-avayavi-avayavAH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.11: ekasmin bhedābhāvād bhedaśabdaprayogānupapatterapraśnaḥ	4.2.11: ekasmin Beda-aBAvAt Beda-Sabda-prayoga-anupapatteH-apraSnaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.12: avayavāntarabhāve 'pyavṛtterahetuḥ	4.2.12: avayava-antara-BAve api-avRtteH-ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.13: keśasamūhe taimirikopalabdhivat tadupalabdhiḥ	4.2.13: keSa-samUhe tEmirika-upalabDi-vat tad-upalabDiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.14: svaviṣayānatikrameṇendriyasya paṭumandabhāvādviṣayagrahaṇasya	4.2.14: sva-vizaya-anatikrameNa-indriyasya pawu-manda-BAvAt-vizaya-grahaNasya
   tathābhābo nāviṣaye pravṛttiḥ	taTA-aBAbaH na-avizaye pravRttiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.15: avayavāvayaviprasaṅgaścaivamāpralayāt	4.2.15: avayava-avayavi-prasaFgaH-ca-evam-ApralayAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.16: na pralayo 'ṇusadbhāvāt	4.2.16: na pralayaH aNu-sadBAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.17: paraṃ vā truṭeḥ	4.2.17: param vA truweH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [aupodghātikaṃ niravayavaprakaraṇam(18-25)]	[OpodGAtikam niravayava-prakaraNam-(18-25)]
   4.2.18: ākāśavyatibhedāt tadanupapattiḥ	4.2.18: AkASa-vyatiBedAt tad-anupapattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.19: ākāśāsarvagatatvaṃ vā	4.2.19: AkASa-asarva-gata-tvam vA
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.20: antarbahiśca kāryadravyasya kāraṇāntaravacanādakārye tadabhāvaḥ	4.2.20: antar-bahis-ca kArya-dravyasya kAraNa-antara-vacanAt-akArye tad-aBAvaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.21: śabdasaṃyogavibhāvācca sarvagatam	4.2.21: Sabda-saMyoga-viBAvAt-ca sarva-gatam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.22: avyūhāviṣṭambhavibhutvāni cākāśadharmāḥ	4.2.22: avyUha-avizwamBa-viBu-tvAni ca-AkASa-DarmAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.23: mūrtimatāṃ ca saṃsthānopapatteravayavasadbhāvaḥ	4.2.23: mUrtimatAm ca saMsTAna-upapatteH-avayava-sadBAvaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.24: saṃyogopapatteśca	4.2.24: saMyoga-upapatteH-ca
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.25: anavasthākāritvādanavasthānupapatteścāpratiṣedhaḥ	4.2.25: anavasTA-kAri-tvAt-anavasTA-anupapatteH-ca-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [bāhyārthabhaṅganirākaraṇaprakaraṇam(26-37)]	[bAhya-arTa-BaFga-nirAkaraNa-prakaraNam-(26-37)]
   4.2.26: buddhyā vivecanāttu bhāvānāṃ yāthātmyānupalabdhistantvapakarṣaṇe	4.2.26: budDyA vivecanAt-tu BAvAnAm yATAtmya-anupalabDiH-tantu-apakarzaNe
   paṭasadbhāvānupalabdhivat tadanupalabdhiḥ	pawa-sadBAva-anupalabDi-vat tad-anupalabDiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.27: vyāhatatvādahetuḥ	4.2.27: vyAhata-tvAt-ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.28: tadāśrayatvādapṛthaggrahaṇam	4.2.28: tad-ASraya-tvAt-apRTak-grahaNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.29: pramāṇataścārthapratipatteḥ	4.2.29: pramANataH-ca-arTa-pratipatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.30: pramāṇānupapattyupapattibhyām	4.2.30: pramANa-anupapatti-upapattiByAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.31: svapnaviṣayābhimānavadayaṃ pramāṇaprameyābhimānaḥ	4.2.31: svapna-vizaya-aBimAna-vat-ayam pramANa-prameya-aBimAnaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.32: māyāgandharvanagaramṛgatṛṣṇikāvadvā	4.2.32: mAyA-ganDarvanagara-mRgatRzNikA-vat-vA
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.33: hetvabhāvādasiddhiḥ	4.2.33: hetu-aBAvAt-asidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.34: smṛtisaṃkalpavacca svapnaviṣayābhimānaḥ	4.2.34: smRti-saMkalpavat-ca svapna-vizaya-aBimAnaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.35: mithyopalabdhervināśastattvajñānātsvapnaviṣayābhimānapraṇāśavat	4.2.35: miTyA-upalabDeH-vinASaH-tattva-jQAnAt-svapna-vizaya-aBimAna-praNASa-vat
   pratibodhe	pratiboDe
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.36: buddheścaivaṃ nimittasadbhāvopalambhāt	4.2.36: budDeH-ca-evam nimitta-sadBAva-upalamBAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.37: tattvapradhānabhedācca mithyābuddherdvaividhyopapattiḥ	4.2.37: tattva-praDAna-BedAt-ca miTyA-budDeH-dvEviDya-upapattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [tattvajñānavivṛddhiprakaraṇam(38-49)]	[tattva-jQAna-vivRdDi-prakaraNam-(38-49)]
   4.2.38: samādhiviśeṣābhyāsāt	4.2.38: samADi-viSeza-aByAsAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.39: na, arthaviśeṣaprāvalyāt	4.2.39: na, arTa-viSeza-prAvalyAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.40: kṣudādibhiḥ pravartanācca	4.2.40: kzuD-AdiBiH pravartanAt-ca
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.41: pūrvakṛtaphalānubandhāt tadutpattiḥ	4.2.41: pUrva-kRta-Pala-anubanDAt tad-utpattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.42: araṇyaguhāpulinādiṣu yogābhyāsopadeśaḥ	4.2.42: araNya-guhA-pulina-Adizu yoga-aByAsa-upadeSaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.43: apavarge 'pyevaṃ prasaṅgaḥ	4.2.43: apavarge api-evam prasaFgaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.2.44: na, niṣpannāvaśyambhāvitvāt	4.2.44: na, nizpanna-avaSyamBAvi-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.45: tadabhāvaścāpavarge	4.2.45: tad-aBAvaH-ca-apavarge
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.46: tadarthaṃ yamaniyamābhyāsātmasaṃskāro yogāccādhyātmavidhyupāyaiḥ	4.2.46: tad-arTam yama-niyama-aByAsa-Atma-saMskAraH yogAt-ca-aDyAtma-viDi-upAyEH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.47: jñānagrahaṇābhyāsastadvidyaiśca saha saṃvādaḥ	4.2.47: jQAna-grahaNa-aByAsaH-tad-vidyEH-ca saha saMvAdaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.48: taṃ śiṣyagurusabrahmacāriviśiṣṭaśreyo	4.2.48: tam Sizya-guru-sabrahmacAri-viSizwa-SreyaH-
   'rthibhiranasūyibhirabhyupeyāt	arTiBiH-anasUyiBiH-aByupeyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.49: pratipakṣahīnam api vā prayojanārthamarthitve	4.2.49: pratipakza-hInam api vA prayojana-arTam-arTi-tve
   [tattvajñānaparipālanaprakaraṇam(50-51)]	[tattva-jQAna-paripAlana-prakaraNam-(50-51)]
   4.2.50: tattvādhyavasāyasaṃrakṣaṇārthaṃ jalpavitaṇḍe,	4.2.50: tattva-aDyavasAya-saMrakzaNa-arTam jalpa-vitaNxe,
   bījaprarohasaṃrakṣṇārthaṃ kaṇṭakaśākhāvaraṇavat	bIja-praroha-saMrakzNa-arTam kaNwaka-SAKA-AvaraNa-vat
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.2.51: tābhyāṃ vigṛhyakathanam	4.2.51: tAByAm vigRhya-kaTanam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre caturthādhyāyasya dvitīyam āhnikam)	(iti nyAya-sUtre caturTa-aDyAyasya dvitIyam Ahnikam-)
   (samāptaśca caturthaḥ adhyāyaḥ)	(samAptaH-ca caturTaH aDyAyaH)
   (atha pañcamaḥ adhyāyaḥ)	(aTa paQcamaH aDyAyaH)
   (prathamam āhnikam)	(praTamam Ahnikam-)
   [satpratipakṣadeśanābhāsaprakarṇam(1-3)]	[sat-pratipakza-deSana-ABAsa-prakarNam-(1-3)]
   5.1.1: sādharmyavaidharmyotkarṣāpakarṣavarṇyāvarṇyavikalpasādhyaprāpty	5.1.1: sADarmya-vEDarmya-utkarza-apakarza-varNya-avarNya-vikalpa-sADya-prApti-
   aprāptipraṣaṅgapratidṛṛṣṭāntānutpattisaṃśayaprakaraṇahetvarthā	aprApti-prazaFga-pratidRRzwAnta-an-utpatti-saMSaya-prakaraNa-hetu-arTA
   pattyaviśeṣopapattyupalabdhyanupalabdhinityānityakaāryasamāḥ	patti-aviSeza-upapatti-upalabDi-anupalabDi-nitya-anityaka-Arya-samAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.2: sādharmyavaidharmyābhyāmupasaṃhāre taddharmaviparyayopapatteḥ	5.1.2: sADarmya-vEDarmyAByAm-upasaMhAre tad-Darma-viparyaya-upapatteH
   sādharmyavaidharmyasamau	sADarmya-vEDarmya-samO
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.3: gotvād gosiddhivat tatsiddhiḥ	5.1.3: go-tvAt go-sidDi-vat tad-sidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   utkarṣasamādijātiṣaṭkaprakaraṇam(4-6)ṭa	utkarza-sama-Adi-jAti-zawka-prakaraNam-(4-6)wa
   5.1.4: sādhyadṛṣṭāntayordharmavikalpādubhayasādhyatvāccotkarṣāpakarṣa	5.1.4: sADya-dRzwAntayoH-Darma-vikalpAt-uBaya-sADya-tvAt-ca-utkarza-apakarza
   varṇyavikalpasādhyasamāḥ	varNya-vikalpa-sADya-samAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.5: kiñcitsādharmyādupasaṃhārasiddhervaidharmyādapratiṣedhaḥ	5.1.5: kiQcid-sADarmyAt-upasaMhAra-sidDeH-vEDarmyAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.6: sādhyātideśācca dṛṣṭāntopaptteḥ	5.1.6: sADya-atideSAt-ca dRzwAnta-upaptteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prāptyaprāptisamajātidvayaprakaraṇam(7-8)]	[prAptyaprApti-sama-jAti-dvaya-prakaraNam-(7-8)]
   5.1.7: prāpya sādhyamaprāpya vā hetoḥ prāptyāviśiṣṭatvādaprāptyāsādhāka	5.1.7: prApya sADyam-aprApya vA hetoH prAptyA-viSizwa-tvAt-aprAptyA-asADAka
   tvācca prāptyaprāptisamau	tvAt-ca prApti-aprApti-samO
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.8: ghaṭādiniṣpattidarśanāt pīḍane cābhicārādapratiṣedhaḥ	5.1.8: Gawa-Adi-nizpatti-darSanAt pIxane ca-aBicArAt-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [prasaṅgapratidṛṣṭāntasamaprakaraṇam(9-11)]	[prasaFga-pratidRzwAnta-sama-prakaraNam-(9-11)]
   5.1.9: dṛṣṭāntasya kāraṇānapadeśāt pratyavasthānācca pratidṛṣṭāntena	5.1.9: dRzwAntasya kAraNa-anapadeSAt pratyavasTAnAt-ca pratidRzwAntena
   prasaṅgapratidṛṣṭāntasamau	prasaFga-pratidRzwAnta-samO
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.10: pradīpopādānaprasaṅganivṛttivat tadvinivṛttiḥ	5.1.10: pradIpa-upAdAna-prasaFga-nivRtti-vat tad-vinivRttiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.11: pratidṛṣṭāntahetutve ca nāheturdṛṣṭāntaḥ	5.1.11: pratidRzwAnta-hetu-tve ca na-ahetuH-dRzwAntaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [anutpattisamaprakaraṇam(12-13)]	[anutpatti-sama-prakaraNam-(12-13)]
   5.1.12: prāgutpatteḥ kāraṇābhāvādanutpattisamaḥ	5.1.12: prAk-utpatteH kAraNa-aBAvAt-anutpatti-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   5.1.13: tathābhāvādutpannasya kāraṇopapatterna kāraṇapratiṣedhaḥ	5.1.13: taTA-aBAvAt-utpannasya kAraNa-upapatteH-na kAraNa-pratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [saṃśayasamaprakaraṇam(14-15)]	[saMSaya-sama-prakaraNam-(14-15)]
   5.1.14: sāmānyadṛṣṭāntayoraindriyakatve samāne nityānityasādharmyāt	5.1.14: sAmAnya-dRzwAntayoH-Endriyaka-tve samAne nitya-anitya-sADarmyAt
   saṃśayasamaḥ	saMSaya-samaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
