   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
   [106.11]     tathā cakrādinā dagdhāḥ sarvakarmasv anarhatām // [PadmaP ]	[106.11]     taTA cakra-AdinA dagDAH sarva-karmasu anarhatAm // [Pat-maP ]
   [106.12]     dagdhārdhakāyo yatrāsti grāme janapade 'pi vā /	[106.12]     dagDa-arDa-kAyaH yatra-asti grAme janapade api vA /
   [106.13]     śmaśānaṃ tad dhi vijñeyaṃ vāsānarhaṃ dvijanmanām //" [PadmaP	[106.13]     SmaSAnam tat Di vijQeyam vAsa-anarham dvijanmanAm //" [PadmaP
   [106.14-16]     ityādinā dūṣaṇam uktam. etāni taptacakrāṅkanavidhāyakāni	[106.14-16]     ityAdinA dUzaNam uktam. etAni tapta-cakra-aFkana-viDAyakAni
   vacanāni "viṣṇvāgamāditantreṣu dīkṣitānām" ity uktatvāt	vacanAni "vizNu-Agama-Adi-tantrezu dIkzitAnAm" iti ukta-tvAt-
   ekajātiviṣayatvenoktatvāt "nānyadehinām" ityuktatvāc ca	eka-jAti-vizaya-tvena-ukta-tvAt "nA-anya-dehi-nAm" iti-ukta-tvAt ca
   tāntrikāgamoktaprakāreṇa dīkṣitaviṣayāṇīty avagamyate.	tAntrika-Agama-ukta-prakAreNa dIkzita-vizayANi-iti avagamyate.
   [106.17-19]     yadvā vidhiniṣedhavacanānāṃ vaiyarthyaparihārāya	[106.17-19]     yat-vA viDi-nizeDa-vacanAnAm vEyarTya-parihArAya
   "vapāśrapaṇībhyām anvārabhate tannaivānvārabdhaṃ naivānanvārabdhaṃ"	"vapASrapaNIByAm anvAraBate tat-na-eva-anvArabDam na-eva-ananvArabDaM"
   "avaghreyam eva tat naiva prāśitaṃ naivāprāśitam" ityādi śrutinyāyena	"avaGreyam eva tat na-eva prASitam na-eva-aprASitam" ityAdi Sruti-nyAyena
   samantrakatvena bhāvanārūpeṇa śrīvaikhānasaśāstre pratipāditam.. yathā:	sa-mantraka-tvena BAvanA-rUpeNa SrI-vEKAnasa-SAstre pratipAditam.. yaTA:
   [106.20]     "sudarśanam abhīty uktvā dakṣiṇe tu sudarśanam /	[106.20]     "sudarSanam aBi-iti uktvA dakziNe tu sudarSanam /
   [106.21]     ravipām iti vāme ca śaṅkhañ ca bibhṛyāt kare //" iti	[106.21]     ravipAm iti vAme ca SaFKan ca biBRyAt kare //" iti
   [106.22]     mahopaniṣadi - brahmasūkte:	[106.22]     mahA-upanizadi  brahmasUkte:
   [106.23]     "dakṣiṇe tu bhuje vipro bibhṛyād vai sudarśanam /	[106.23]     "dakziNe tu Buje vipraH biBRyAt vE sudarSanam /
   [106.24]     savye tu śaṅkhaṃ bibhṛyād iti vedavido viduḥ //" iti.	[106.24]     savye tu SaFKam biBRyAt iti veda-vidaH viduH //" iti.
        [pāñcarātroktataptacakradhāraṇasya sarvādhikārikatvābhāvaḥ]	[pAQcarAtra-ukta-tapta-cakra-DAraNasya sarva-aDikArika-tva-aBAvaH]
        [pāñcarātrādīnāṃ mohanaśāstratvam]	[pAQcarAtra-AdInAm mohana-SAstra-tvam]
   [107.1]     mohaśāstratvāt śaptaviṣayatvāc ca pañcarātre tāpavidhānaṃ	[107.1]     moha-SAstra-tvAt Sapta-vizaya-tvAt ca paQca-rAtre tApa-viDAnam
   uktam iti kecit vadanti.	uktam iti kecid vadanti.
   [107.2]     padmapurāṇe gautama: "yan mayi brāhmaṇābhāsāḥ ṛjau kaitavam	[107.2]     padmapurANe gOtama: "yan mayi brAhmaNa-ABAsAH RjO kEtavam
   īdṛśam /	IdRSam /
   [107.3]     anuṣṭhitaṃ tato vedamārgabhraṣṭhāś ca pāpinaḥ // [Padma.P ]	[107.3]     anuzWitam tatas veda-mArga-BrazWAH ca pApinaH // [Pat-ma.j ]
   [107.4]     kālamukhe pāñcarātre kālapāle śāmbhave 'pi ca /	[107.4]     kAla-muKe pAQcarAtre kAlapAle SAmBave api ca /
   [107.5]     śākte ca dīkṣitā yūyaṃ bhavata brāhmaṇādhamāḥ //" iti [PadmaP	[107.5]     SAkte ca dIkzitAH yUyam Bavata brAhmaNa-aDamAH //" iti [PadmaP
   [107.6]     brahmā: "bauddhe bhāgavate tantre tṛtīye pāñcarātrake /	[107.6]     brahmA: "bOdDe BAgavate tantre tRtIye pAQcarAtrake /
   [107.7]     dīkṣitāś ca dvijā nityaṃ bhaveyur nirbhayā hare // [PadmaP ]	[107.7]     dIkzitAH ca dvijAH nityam BaveyuH nirBayAH hare // [Pat-maP ]
   [107.8]     śrautasmārtasamācāre sadyomuktikare śubhe /	[107.8]     SrOta-smArta-samAcAre sadyas-mukti-kare SuBe /
   [107.9]     tvadbhaktivimukhā nityaṃ bhaveyuḥ parimohitāḥ // [Padma.P ]	[107.9]     tvad-Bakti-vimuKAH nityam BaveyuH parimohitAH // [Pat-ma.j ]
   [107.10]     śaṅkhvaikhanacakragadāpūrvavajrapāśāṅkuśādibhiḥ /	[107.10]     SaFKvEKana-cakra-gadA-pUrva-vajra-pASa-aFkuSa-AdiBiH /
   [107.11]     aṅkitāḥ śraddhayā yūyaṃ bhavata brāhmaṇādhamāḥ //" iti	[107.11]     aFkitAH SradDayA yUyam Bavata brAhmaNa-aDamAH //" iti
   [PadmaP ]	[PadmaP ]
   [107.12]     skānde - "sūtasaṃhitāyām sarasvatīṃ prati rudraḥ:	[107.12]     skAnde  "sUta-saMhitAyAm sarasvatIm prati rudraH:
   [107.13]     "śrutir balīyasīty uktā pramāṇānāṃ sulocane" ity ārabhya	[107.13]     "SrutiH balIyasi-iti uktA pramANAnAm su-locane" iti AraBya
   [SkandaP ]	[SkandaP ]
   [107.14]     "pāñcarātrādimārgāṇāṃ vedamūlatvamāstike /	[107.14]     "pAQcarAtra-Adi-mArgANAm veda-mUla-tvam-Astike /
   [107.15]     na hi svatantratas tena bhrāntimūlāni rūpiṇi // [SkandaP ]	[107.15]     na hi svatantrataH tena BrAnti-mUlAni rUpiNi // [SkandaP ]
   [107.16]     tathāpi yo 'ṃśo mārgeṇa vaidikenāviruddhyate /	[107.16]     taTA-api yaH aMSaH mArgeNa vEdikena-avirudDyate /
   [107.17]     so 'ṃśaḥ pramāṇam ity uktaṃ keṣāñcid adhikāriṇām // [SkandaP	[107.17]     saH aMSaH pramANam iti uktam kezAQcid aDikAriNAm // [Skanda-P
   [107.18]     atyantas khalitānān tu prāṇiṇāṃ vedamārgataḥ /	[107.18]     atyantaH KalitAnAn tu prANiNAm veda-mArgataH /
   [107.19]     pāñcarātrādayo mārgāḥ kālenaivopakārakāḥ /	[107.19]     pAQcarAtra-AdayaH mArgAH kAlena-eva-upakArakAH /
   [107.20]     tāntrikāṇāṃ mahādevi na labhyo 'vyavadhānataḥ //" iti	[107.20]     tAntrikANAm mahAdevi na laByaH avyavaDAnataH //" iti
   pratipāditam. [SkandaP ]	pratipAditam. [SkandaP ]
   [107.21]     kaurme: "purā dāruvane puṇye munayo gṛhamedhinaḥ //" [KūrmaP	[107.21]     kOrme: "purA dAru-vane puNye munayaH gRhameDinaH //" [KUrmaP
   16.97ab]	16.97ab]
   [107.22]     ity ārabhya māyayā gokalpanādi śāpaprāptiparyantam uktvā:	[107.22]     iti AraBya mAyayA gokalpanA-Adi SApa-prApti-paryantam uktvA:
   [107.23]     "kā no vṛttir mahādeva śāpānnaḥ trātum arhasi / [KūrmaP	[107.23]     "kA naH vRttiH mahAdeva SApAt-naH trAtum arhasi / [KUrmaP
   16.112cd]	16.112cd]
   [107.24]     tathā pārśvasthitaṃ viṣṇuṃ samprekṣya vṛṣabhadhvajaḥ /	[107.24]     taTA pArSva-sTitam vizNum samprekzya vRzaBaDvajaH /
        [pāñcarātrasya vedabhraṣṭānuddiśya pravṛttatvam]	[pAQcarAtrasya veda-BrazwAn-uddiSya pravRtta-tvam]
   [108.1]     kim eteṣāṃ bhavet kāryaṃ prāha puṇyaiṣiṇām iti // [Kūrma.P	[108.1]     kim etezAm Bavet kAryam prAha puNya-eziNAm iti // [KUH-ma.P
   [108.2]     tatas sa bhagavān viṣṇuḥ śaraṇyo bhaktavatsalaḥ /	[108.2]     tatas sa BagavAn vizNuH SaraNyaH Bakta-vatsalaH /
   [108.3]     gopatiṃ prāha viprendrān ālokya praṇatān hariḥ // [KūrmaP	[108.3]     gopatim prAha vipra-indrAn Alokya praNatAn hariH // [KUrmaP
   [108.4]     na vedabāhye śāstre ca puṇyaleśo 'pi śaṅkara /	[108.4]     na veda-bAhye SAstre ca puNya-leSaH api SaFkara /
   [108.5]     saṅgacchate yato dharmo vedād eva hi nirbabhau // [KūrmaP	[108.5]     saFgacCate yatas DarmaH vedAt eva hi nirbaBO // [KUrmaP
   [108.6]     tathāpi bhaktavātsalyāt rakṣaṇīyā maheśvara /	[108.6]     taTA-api Bakta-vAtsalyAt rakzaNIyAH maheSvaraH /
   [108.7]     āvābhyāṃ sarva evaite viprā vai nātrasaṃśayaḥ // [KūrmaP	[108.7]     AvAByAm sarve eva-ete viprAH vE na-atra-saMSayaH // [KUrmaP
   [108.8]     tasmād vai vedabāhyānāṃ rakṣaṇārthañ ca pāpinām /	[108.8]     tasmAt vE veda-bAhyAnAm rakzaNa-arTan ca pApinAm /
   [108.9]     vimohanāya śāstrāṇi kariṣyāmi vṛṣadhvaja // [KūrmaP 16.117]	[108.9]     vimohanAya SAstrANi karizyAmi vRzaDvajaH // [KUrmaP 16.117]
   [108.10]     evaṃ sañcodito rudro mādhavenāsurāriṇā /	[108.10]     evam saQcoditaH rudraH mADavena-asurAriNA /
   [108.11]     cakāra mohaśāstrāṇi keśavo 'pi śiveritaḥ // [KūrmaP 16.118]	[108.11]     cakAra moha-SAstrANi keSavaH api Siva-IritaH // [KUH-maP 16.118]
   [108.12]     kāpālaṃ yāmalaṃ vāmaṃ bhairavaṃ pūrvapaścimam /	[108.12]     kApAlam yAmalam vAmam BEravam pUrva-paScimam /
   [108.13]     pāñcarātraṃ pāśupataṃ tathānyāni sahasraśaḥ // [KūrmaP	[108.13]     pAQcarAtram pASupatam taTA-anyAni sahasraSas // [KUrmaP
   [108.14]     kṛtvā cārcya ca tad devān kurvāṇās tatra coditam /	[108.14]     kRtvA ca-arcya ca tat devAn kurvANAH tatra coditam /
   [108.15]     patanti narake ghore bahūn kalpān punaḥ punaḥ //" ityādi	[108.15]     patanti narake Gore bahUn kalpAn punar punar //" ityAdi
   coktam [KūrmaP 16.120]	ca-uktam [KUH-maP 16.120]
   [108.16]     skānde śaṅkarasaṃhitāyām	[108.16]     skAnde SaFkara-saMhitAyAm
   [108.17]     "nekṣeta pūjāvelāyāṃ naraṃ vatsa bahiṣkṛtam /	[108.17]     "nekzeta pUjA-velAyAm naram vatsa bahizkRtam /
   [108.18]     dadhīcinā gautamena ye śaptā brāhmaṇādhamāḥ // [SkandaP ]	[108.18]     daDIcinA gOtamena ye SaptAH brAhmaNa-aDamAH // [SkandaP ]
   [108.19]     kalāv avatariṣyanti ninditās te bahiṣkṛtāḥ //" iti [SkandaP ]	[108.19]     kalO avatarizyanti ninditAH te bahizkRtAH //" iti [SkandaP ]
   [108.20]     sāmbapurāṇe: "śrutibhraṣṭaḥ smṛtiprokta prāyaścitte bhayaṃ	[108.20]     sa-ambapurANe: "Sruti-BrazwaH smRti-prokta prAyaScitte Bayam
   gataḥ /	gataH /
   [108.21]     krameṇa śrutisiddhyarthaṃ manuṣyas tantram āśrayet //	[108.21]     krameNa Sruti-sidDi-arTam manuzyaH tantram ASrayet //
   [SāmbaP]	[SAmbaP]
   [108.22]     dharmaśāstre purāṇe ca proktaṃ hi maraṇāntikam /	[108.22]     Darma-SAstre purANe ca proktam hi maraNa-antikam /
   [108.23]     prāyaścittaṃ manuṣyāṇāṃ pāpiṣṭhānāṃ sudāruṇam // [SāmbaP]	[108.23]     prAyaScittam manuzyANAm pApizWAnAm su-dAruNam // [SAmbaP]
        [pāñcarātramārgānusāriṇāṃ śrautasmārtabāhyatvam]	[pAQcarAtra-mArga-anusAriNAm SrOta-smArta-bAhya-tvam]
   [109.1]     bhayaṃ durbalacittānāṃ maraṇe jāyate bhṛśam /	[109.1]     Bayam durbala-cittAnAm maraNe jAyate BRSam /
   [109.2]     teṣām evābhirakṣārthaṃ tad ahaṃ tantram uktavān // [SāmbaP]	[109.2]     tezAm eva-aBirakzA-arTam tat aham tantram uktavAn // [SAmbaP]
   [109.3]     pāñcarātraṃ bhāgavataṃ tantraṃ sāttvatanāmakam /	[109.3]     pAQcarAtram BAgavatam tantram sAttvata-nAmakam /
   [109.4]     vedabhraṣṭān samuddiśya kamalāpatir abravīt //" iti [SāmbaP]	[109.4]     veda-BrazwAn samuddiSya kamalA-patiH abravIt //" iti [SAmbaP]
   [109.5]     anyatra: "athāṃśoḥ sāttvato nāma viṣṇubhaktaḥ pratāpavān /	[109.5]     anyatra: "aTa-aMSoH sAttvataH nAma vizNu-BaktaH pratApavAn /
   [109.6]     mahātmā dānanirato dhanurvedavidāṃ varaḥ //	[109.6]     mahAtmA dAna-nirataH Danurveda-vidAm varaH //
   [109.7]     sa nāradasya vacanād vāsudevārcane rataḥ /	[109.7]     sa nAradasya vacanAt vAsudeva-arcane rataH /
   [109.8]     śāstraṃ pravartayāmāsa kuṇḍagolādibhiḥ śritam //	[109.8]     SAstram pravartayAmAsa kuNxa-gola-AdiBiH Sritam //
   [109.9]     tasya nāmnā tu vikhyātaṃ sāttvataṃ nāma śobhanam /	[109.9]     tasya nAmnA tu viKyAtam sAttvatam nAma SoBanam /
   [109.10]     pravartate mahacchāstraṃ kuṇḍādīnāṃ hitāvaham //" iti	[109.10]     pravartate mahat-SAstram kuNxa-AdInAm hita-Avaham //" iti
   [109.11]     vāsiṣṭhe: "bṛddhaśāvaka nirgandhāḥ pāñcarātravido janāḥ /	[109.11]     vAsizWe: "bRdDa-SAvaka nirganDAH pAQcarAtra-vidaH janAH /
   [109.12]     kāpālikāḥ pāśupatāḥ pāṣaṇḍā ye ca tadvidhāḥ // [VāsiṣṭhaDhŚ ]	[109.12]     kApAlikAH pASupatAH pAzaNxAH ye ca tadviDAH // [VAsizWaDhŚ ]
   [109.13]     yasyāśnanti havīṃśy ete durātmānas tu tāmasāḥ /	[109.13]     yasya-aSnanti havIMSi ete durAtmAnaH tu tAmasAH /
   [109.14]     na tasya tad bhavec chāstraṃ pretyeha ca na tatphalam //"	[109.14]     na tasya tat Bavet SAstram pretya-iha ca na tad-Palam //"
   iti. [VāsiṣṭhaDhŚ ]	iti. [VAsizWaDhŚ ]
   [109.15]     laiṅge - navamādhyāye yugadharme	[109.15]     lEFge  navamADyAye yuga-Darme
   [109.16]     "aṅkitāś ca bhaviṣyanti devatāyudhalāñchanaiḥ /	[109.16]     "aFkitAH ca Bavizyanti devatA-AyuDa-lAQCanEH /
   [109.17]     nārāyaṇam aśṛṇvanti yugānte samupasthite // [LiṅgaP]	[109.17]     nArAyaNam aSRNvanti yuga-ante samupasTite // [LiFga-P]
   [109.18]     anyāni yāni karmāṇi śrautāni munisattama /	[109.18]     anyAni yAni karmANi SrOtAni muni-sattamaH /
   [109.19]     smārtāni nācariṣyanti kalau brahman narās sadā // [LiṅgaP]	[109.19]     smArtAni na-Acarizyanti kalO brahman narAH sadA // [LiFga-P]
   [109.20]     āmnāyaṃ dharmaśāstrañ ca purāṇaṃ bhārataṃ mune /	[109.20]     AmnA-ayam Darma-SAstran ca purANam BAratam mune /
   [109.21]     alpamātram iti brahman vadiṣyanti kalau yuge // [LiṅgaP]	[109.21]     alpa-mAtram iti brahman vadizyanti kalO yuge // [LiFga-P]
   [109.22]     na kuryuḥ śrautakarmāṇi śraddhayā munisattama /	[109.22]     na kuryuH SrOta-karmANi SradDayA muni-sattamaH /
   [109.23]     svadharme rucitā nāsti brāhmaṇānāṃ kalau yuge // [LiṅgaP]	[109.23]     svaDarme rucitA na-asti brAhmaNAnAm kalO yuge // [LiFga-P]
   [109.24]     pāñcarātraṃ praśaṃsanti kecid bhāgavataṃ mune /	[109.24]     pAQcarAtram praSaMsanti kecid BAgavatam mune /
   [109.25]     kecit kāpālam icchanti kecit pāśupataṃ mune // [LiṅgaP]	[109.25]     kecid kApAlam icCanti kecid pASupatam mune // [LiFga-P]
        [cakrāṅkanasya bhāvanārūpeṇaiva kartavyatā]	[cakra-aFkanasya BAvanA-rUpeNa-eva kartavyatA]
   [110.1]     kecid bauddhaṃ praśaṃsanti kecid daigambaraṃ tathā /	[110.1]     kecid bOdDam praSaMsanti kecid dEgambaram taTA /
   [110.2]     kecil lokāyataṃ brahman kecit saumaṃ mahāmune // [LiṅgaP]	[110.2]     kecid lokAyatam brahman kecid sOmam mahA-mune // [LiFga-P]
   [110.3]     lākulaṃ kecid icchanti tathā kecit tu bhairavam /	[110.3]     lAkulam kecid icCanti taTA kecid tu BEravam /
   [110.4]     kecid vāmaṃ praśaṃsanti kecic chāktaṃ tathaiva ca // [LiṅgaP]	[110.4]     kecid vAmam praSaMsanti kecid SAktam taTA-eva ca // [LiFga-P]
   [110.5]     śāmbhavaṃ kecid icchanti yāmalaṃ bhuvi kecana /	[110.5]     SAmBavam kecid icCanti yAmalam Buvi kecana /
   [110.6]     anyāni yāni śāstrāṇi viruddhāni mahāmune // [LiṅgaP]	[110.6]     anyAni yAni SAstrANi virudDAni mahA-mune // [LiFga-P]
   [110.7]     tīrthavikrayiṇaḥ kecid devavikrayiṇaḥ pare /	[110.7]     tIrTa-vikrayiNaH kecid deva-vikrayiNaH pare /
   [110.8]     kṣīravikrayiṇaḥ kecid ājyavikrayiṇaḥ pare // [LiṅgaP]	[110.8]     kzIra-vikrayiNaH kecid Ajya-vikrayiNaH pare // [LiFga-P]
   [110.9]     māṃsavikrayiṇaḥ kecit surāvikrayiṇaḥ pare /	[110.9]     mAMsa-vikrayiNaH kecid surA-vikrayiNaH pare /
   [110.10]     putravikrayiṇaḥ kecid dāravikrayiṇaḥ pare // [LiṅgaP]	[110.10]     putra-vikrayiNaH kecid dAra-vikrayiNaH pare // [LiFga-P]
   [110.11]     bhartṛvikrayiṇaḥ kecid bhaviṣyanti kalau narāḥ //" iti	[110.11]     BartR-vikrayiNaH kecid Bavizyanti kalO narAH //" iti
   [LiṅgaP]	[LiFga-P]
   [110.12]     ataḥ pāñcarātoktaṃ taptacakradhāraṇaṃ sarvasādhāraṇaṃ na	[110.12]     atas pAQcarAta-uktam tapta-cakra-DAraNam sarva-sADAraNam na
   bhavantīti siddham.	Bavanti-iti sidDam.
   [110.13-16]     atha yad uktaṃ sarvasādhāraṇaṃ na bhavatīti tan	[110.13-16]     aTa yat uktam sarva-sADAraNam na Bavati-iti tat-
   nopapadyate - ātharvaṇe "cakraṃ bibharti vapuṣābhitaptaṃ balaṃ	na-upapadyate  ATarvaNe "cakram biBarti vapuzA-aBitaptam balam
   devānāmamitasya viṣṇoḥ. sa eti nākaṃ duritā vidhūya prayānti yadyatayo	devAnAm-amitasya vizNoH. saH eti nAkam duritAH viDUya prayAnti yat-yatayaH-
   vītarāgāḥ, "caraṇaṃ pavitraṃ vitataṃ purāṇaṃ" ityādi śrutibhiḥ	vIta-rAgAH, "caraNam pavitram vitatam purANan" ityAdi SrutiBiH
   sarvasādhāraṇatvena śrūyamāṇatvāt iti cet - na.	sarva-sADAraNa-tvena SrUyamANa-tvAt iti ced  na.
   [110.17-20]     taptacakradhāraṇe prāyaścittavidhānāt. ataḥ	[110.17-20]     tapta-cakra-DAraNe prAyaScitta-viDAnAt. atas-
   yathoktamārgeṇa bhāvanārūpeṇaiva cakrāṅkanaṃ na tu taptarūpeṇa.	yaTA-ukta-mArgeNa BAvanA-rUpeNa-eva cakra-aFkanam na tu tapta-rUpeNa.
   sarvasādhāraṇaśrutis tu vaikhānasetaraviṣayā. "yasya me śriyam" ityādi	sarva-sADAraNa-SrutiH tu vEKAnasa-itara-vizayA. "yasya me Sriyam" ityAdi
   śrutyavirodhena arthavyavasthāyāḥ kāryatvāt. ataḥ taptacakrāṅkanaṃ	Sruti-aviroDena arTa-vyavasTAyAH kArya-tva-at. atas tapta-cakra-aFkanam
   sarvasādhāraṇaṃ na bhavati.	sarva-sADAraNam na Bavati.
   [110.21]     kiñ ca: "yatra śāstragatir bhinnā sarvakarmasu bhārata /	[110.21]     kiQ ca: "yatra SAstra-gatiH BinnA sarva-karmasu BArata /
   [110.22]     udite 'nudite caiva homabhede yathā bhavet /	[110.22]     udite anudite ca-eva homa-Bede yaTA Bavet /
   [110.23]     sa garīyān mahābāho sarvaśāstroditād api //"	[110.23]     sa garIyAn mahA-bAho sarva-SAstra-uditAt api //"
   [110.24]     iti sumantusmaraṇāc ca vyavasthitavikalpotra vaktavyaḥ.	[110.24]     iti sumantu-smaraNAt ca vyavasTita-vikalpotra vaktavyaH.
        [viṣṇor eva saṃhārakartṛtvam]	[vizNoH eva saMhAra-kartR-tvam]
   [111.1-2]     kiñca brahmarudrādīnām api saṃhārakartā harir eveti śrūyate.	[111.1-2]     kiQca brahma-rudra-AdInAm api saMhAra-kartA hariH eva-iti SrUyate.
   yajuṣi - hariṃ harantam anuyanti devāḥ viśvasyeśānaṃ vṛṣabhaṃ matīnām"	yajuzi  harim harantam anuyanti devAH viSvasya-ISAnam vRzaBam matInAm-"
   iti.ab hier Telugu überprüfen	iti.ab hieH Telugu übeH-prüfet-
        [viṣṇukartṛkarudropāsanasya kāraṇam]	[vizNu-kartRka-rudra-upAsanasya kAraNam]
   [111.3]     brahmapurāṇe: "brahmāṇam indraṃ rudrañ ca yamaṃ varuṇam eva ca	[111.3]     brahma-purANe: "brahmANam indram rudran ca yamam varuNam eva ca
   [111.4]     nigṛhyāharate yasmāt tasmād dharir ihocyate // [Brahma.P ]	[111.4]     nigRhya-Aharate yasmAt tasmAt DariH iha-ucyate // [Brahma.j ]
   [111.5]     brahmā śambhus tathaivārkaś candramāś ca śatakratuḥ /	[111.5]     brahmA SamBuH taTA-eva-arkaH candramAH ca SatakratuH /
   [111.6]     evam ādyās tathaivānye yuktā vaiṣṇavatejasā // [Brahma.P ]	[111.6]     evam AdyAH taTA-eva-anye yuktAH vEzNava-tejasA // [Brahma.j ]
   [111.7]     jagatkāryāvasāne tu viyujyante ca tejasā /	[111.7]     jagat-kArya-avasAne tu viyujyante ca tejasA /
   [111.8]     tejasaś caiva te sarve pañcatvam upayānti ca//" iti [BrahmaP ]	[111.8]     tejasaH ca-eva te sarve paQcatvam upayAnti ca//" iti [BrahmaP ]
   [111.9-14]     nanu - "hariṃ harantaṃ" iti pūrvopāttayajuṣi	[111.9-14]     nanu  "harim harantaM" iti pUrva-upAttaya-juzi
   īśānaśabdaśravaṇāt rudra eva saṃhārakarteti śrūyate iti cet - tad asat.	ISAna-Sabda-SravaNAt rudraH eva saMhAra-kartA-iti SrUyate iti ced  tat asat.
   tatra "viśvasyeśāna," iti jaganniyāmakatvam ucyate. bis hier telugu noch	tatra "viSvasya-ISAna," iti jagat-niyAmaka-tvam ucyate. biH hieH telugu na-uC
   überprüfentathā ca "patiṃ viśrasyātmeśvara," itivat nārāyaṇa eva atra	überprüfet-taTA ca "patim viSrasya-Atma-ISvara," iti-vat nArAyaNaH eva atra
   pratipādyaḥ. "asyeśānā jagato viṣṇupatnī" sa hariḥ suvittamaḥ, "perur	pratipAdyaH. "asya-ISAnA jagataH vizNu-patnI" sa hariH su-vittamaH, "peruH-
   indrāya pinvata" "virāḍ asi", "bṛhatī śravasīndrapatnī dharmapatnī", "sa	indrAya pinvata" "virAj asi", "bRhatI Sravasi-indra-patnI Darma-patnI", "sa
   brahmā sa śivas sendraḥ", ityādi śrutayotra vibhāvanīyāḥ.	brahmA sa SivaH sa-indraH", ityAdi Srutayotra viBAvanIyAH.
   [111.15]     nanu kaurme aṣṭamādhyāye - rāmāyaṇasaṃkṣepe:	[111.15]     nanu kOrme azwama-aDyAye  rAmAyaNa-saMkzepe:
   [111.16]     "sa kṛtvā vānaraśataiḥ laṅkādvāraṃ mahodadhau // [KūrmaP	[111.16]     "sa kRtvA vAnara-SatEH laFkA-dvAram mahA-udaDO // [KUrmaP
   21.44cd]	21.44cd]
   [111.17]     setuṃ paramadharmātmā rāvaṇaṃ hatavān prabhuḥ //" [KūrmaP	[111.17]     setum parama-Darma-AtmA rAvaNam hatavAn praBuH //" [KUrmaP
   21.45ab]	21.45ab]
   [111.18]     iti rāvaṇavadhādikaṃ pratipādya:	[111.18]     iti rAvaNa-vaDa-Adikam pratipAdya:
   [111.19]     "setumadhye mahādevam īśānaṃ kṛttivāsasam // [KūrmaP 21.46cd]	[111.19]     "setu-maDye mahAdevam ISAnam kRttivAsasam // [KUH-maP 21.46cd]
   [111.20]     sthāpayāmāsa liṅgasthaṃ pūjayāmāsa rāghavaḥ /	[111.20]     sTApayAmAsa liFga-sTam pUjayAmAsa rAGavaH /
   [111.21]     tasya devo mahādevaḥ pārvatyā saha śaṅkaraḥ // [KūrmaP 21.47]	[111.21]     tasya devaH mahAdevaH pArvatyA saha SaFkaraH // [KUrmaP 21.47]
   [111.22]     pratyakṣam eva bhagavān dattavān varam uttamam /" [KūrmaP	[111.22]     pratyakzam eva BagavAn dattavAn varam uttamam /" [KUrmaP
   21.48ab]	21.48ab]
        [rudrasya varadātṛtvaṃ viṣṇuprasādalabdham]	[rudrasya vara-dAtR-tvam vizNu-prasAda-labDam]
   [112.1-2]     iti bhagavate rudropāsanam ucyate iti cet - satyam. rudrasya	[112.1-2]     iti Bagavate rudra-upAsanam ucyate iti ced  satyam. rudrasya
   tad api bhagavadvaraprasādalabdham. evaṃ hi vārāhe prāgitihāse rudragītāsu	tat api Bagavat-vara-prasAda-labDam. evam hi vArAhe prAk-itihAse rudragItAsu
   ucyate, yathā -	ucyate, yaTA -
   [112.3]     agastyaṃ prati rudraḥ:	[112.3]     agastyam prati rudraH:
   [112.4]     "brahmaṇāhaṃ purā sṛṣṭaḥ proktaḥ sṛja iti prajāḥ /	[112.4]     "brahmaNA-aham purA sRzwaH proktaH sRjaH iti prajAH /
   [112.5]     avijñātāsamartho 'haṃ nimagnassalile dvija //" ity ārabhya	[112.5]     avijQAtA-samarTaH aham nimagna-H-salile dvijaH //" iti AraBya
   [VarāhaP]	[VarAha-P]
   [112.6-7]     jalamadhye kālamedhasaṅkāśaḥ atiśobhanaḥ puṇḍarīkākṣaḥ	[112.6-7]     jala-maDye kAla-meDa-saFkASaH ati-SoBanaH puNxarIkAkzaH
   kaścit puruṣo rudreṇa dṛṣṭaḥ kastvam iti rudreṇa pṛṣṭasya tasya	kaScid puruzaH rudreNa dRzwaH kaH-tvam iti rudreNa pRzwasya tasya
   prativacanam:	prativacanam:
   [112.8]     "ahaṃ nārāyaṇo devo jalaśāyī sanātanaḥ /	[112.8]     "aham nArAyaNaH devaH jalaSAyI sanAtanaH /
   [112.9]     divyaṃ cakṣur bhavatu te tena māṃ paśya yatnataḥ //" iti	[112.9]     divyam cakzuH Bavatu te tena mAm paSya yatnataH //" iti
   pratipādya [VarāhaP]	pratipAdya [VarAha-P]
   [112.10]     "evam uktas tadā tena yāvat paśyāmm ahaṃ tanum /	[112.10]     "evam uktaH tadA tena yAvat paSyAmm aham tanum /
   [112.11]     tāvad aṅguṣṭhamātran tu jvaladbhāskaratejasam // [VarāhaP]	[112.11]     tAvat aFguzWa-mAtran tu jvalat-BAskara-tejasam // [VarAha-P]
   [112.12]     tam evāhaṃ prapaśyāmi tasya nābhau tu paṅkajam /	[112.12]     tam eva-aham prapaSyAmi tasya nABO tu paFkajam /
   [112.13]     brahmāṇaṃ tatra paśyāmi hy ātmānañ ca tadaṅkataḥ // [VarāhaP]	[112.13]     brahmANam tatra paSyAmi hi AtmAnan ca tad-aFkataH // [VarAha-P]
