   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   iśirāntalabdhasamuccayarūpatayā vismaya vibhāvanāprāptipuraskāreṇa	iSira anta labDa samuccaya rUpa tayA vismaya viBAvanA prApti puraskAreNa
   vyaṅgyārthopaskṛtasya tathā vicitrasyaiva	vyaFgya arTa upaskRtasya taTA vicitrasya eva
   vācyarūponmajjanenābhilāṣādivibhāvatvāt /	vAcya rUpa unmajjanena aBilAza Adi viBAva tvAt /
   bālapriyā andheti /	bAla priyA anDA iti /
   niḥśvāsāndha ivādarśa ityatrāndhaśabdavyākhāyane ya ukto	niHSvAsa anDaH iva AdarSaH iti atra anDa Sabda vyAKAyane yaH uktaH 
   nyāyastenetyarthaḥ /	nyAyaH tena iti arTaH /
   pratīyamāno 'pītyapiśabdena svataḥ prāptapradhānabhāvasya vaiparītyena	pratIyamAnaH api iti api Sabdena svatas prApta praDAna BAvasya vEparItyena
   guṇībāvāpattirviruddheti darśayati /	guNIbO= ApattiH virudDA iti darSayati /
   so 'rthaviśeṣaḥ vyākhyātavyaṅgyārthajātam /	saH arTa viSezaH vyAKyAta vyaFgyA arTa jAtam /
   aparaivetyādi /	apara eva ityAdi /
   aparaiva hīti keyamiti coktibhyāṃ sāmānyātmanākroḍīkṛta ityarthaḥ /	aparA eva hi iti kA iyam iti ca uktiByAm sAmAnya AtmanA AkroxIkRtaH iti arTaH /
   vācyeṃ'śe sindhūtpalādiśabdavācyanadīnīlābjādighaṭitavākyārthe /	vAcyeM aSe sinDUtpala Adi Sabda vAcya nadI nIla abja Adi Gawita vAkya arTe /
   cārutvacchāyāṃ kāvyacārutvapratītihetubhūtāṃ śobhām /	cAru tva= CAyAm kAvya cAru tva pratIti hetu BUtAm SoBAm /
   vidhatte karoti /	viDatte karoti /
   anena vyaṅgyasya guṇībhāvaḥ pradarśitaḥ /	anena vyaFgyasya guNIBAvaH pradarSitaH /
   atra sahṛdayānubhavameva pramāṇayati   vācasyaivetyādi /	atra sahRdaya anuBavam eva pramANayati   vAcasya eva ityAdi /
   vācyasyaiva sundaratvenāvabhāsanāditi sambandhaḥ /	vAcyasya eva sundara tvena avaBAsanAt iti sambanDaH /
   atra hetugarbhe viśeṣaṇe darśayati  svātmetyādi /	atra hetu garBe viSezaNe darSayati  sva AtmA ityAdi /
   svasya vācyasya ya ātmā svarūpantasya	svasya vAcyasya yaH AtmA svarUpantasya
   yadunmajjanamuddhurakandharatayāvasthānaṃ tayā upalakṣitasya /	yat unmajjanam udDura kanDaratayA avasTAnam tayA upalakzitasya /
   tathā nimajjinaṃ vyaṅgyajātaṃ pūrvoktaṃ yena tasya /	taTA nimajjinam vyaFgya jAtam pUrva uktam yena tasya /
   vyaṅgyajātasya nimajjanaṃ vācyamukhaprekṣitayā nīcairavasthānam /	vyaFgya jAtasya nimajjanam vAcya muKa prekzitayA nIcEs avasTAnam /
   kathaṃ punastādṛśasya vācyasya sundaratvamityata āha  sundaratvañcetyādi /	kaTam punar tAdRSasya vAcyasya sundara tvam iti atas Aha  sundara tvaQca ityAdi /
   asya vācyasya /	asya vAcyasya /
   śloke 'sminnadau vācyasya vismayavibhāvatāprāyeṇāha  asambhāvyetyādi /	Sloke asmin= adO vAcyasya vismaya viBAvatA prAyeNa aha  a samBAvya ityAdi /
   asambhāvyamānassambhāvayitumapyaśakyatāṃ pratipadyamānassamāgamoyeṣāṃ te /	asamBAvyamAna ssamBAvayitum api aSakyatAm pratipadyamAnassamAgamaH yezAm te /
   tathā sakalalokasārabhūtāśca ye kuvalayādayo bhāvāḥ padārthasteṣāṃ	taTA sakala loka sAra BUtAH ca ye kuvalaya AdayaH BAvAH padArTaH tezAm
   vargasya /	vargasya /
   atisumagaṃ yadekādhikaraṇaṃ nāyikārūpaṃ tatra yā viśrāntiḥ	ati sumagam yat eka aDikaraNam nAyikA rUpam tatra yA viSrAntiH
   saṃśliṣyāvasthitistāyā labdhaṃ samuccarūpaṃ saṅghātarūpatvaṃ yena tasya	saMSlizya avasTitiH tAyAH labDam samucca rUpam saFGAta rUpa tvam yena tasya
   bhāvastattā tayā hetunā /	BAvaH tat tA tayA hetunA /
   yā vismayavibhāvatāprāptistasyāḥ puraskāreṇa purassarīkāreṇeti ca pāṭhaḥ /	yA vismaya viBAvatA prAptiH tasyAH puraskAreNa purassarIkAreNa iti ca pAWaH /
   abhilāṣādivibhāvatāprāptau hetumāha  vyaṅgyetyādi /	aBilAza Adi viBAvatA prAptO hetum Aha   vyaFgyA ityAdi /
   vyaṅgyārthopaskṛtasya kaṭākṣavadanādyuktavyaṅgyārthajātenopaskṛtasya /	vyaFgya arTa upaskRtasya kawAkza vadana Adi ukta vyaFgyA arTa jAtena upaskRtasya /
   tathāvicitrasya vyaṅgyārthopaskāreṇa vaicitryaṃ viśeṣaṃ prāptasya /	taTA avicitrasya vyaFgya arTa upaskAreNa vEcitryam viSezam prAptasya /
   nanu yadi vyaṅgyārthopaskṛtasyaivābhilāṣādivibhāvatvaṃ na svarūpataḥ,	nanu yadi vyaFgya arTa upaskRtasya eva aBilAza Adi viBAva tvam na svarUpataH,
   tarhi vyaṅgyasya prādhānyamāpatitaṃ tasyaiva vibhāvatāprāptau	tarhi vyaFgyasya prADAnyam Apatitam tasya eva viBAvata aprAptO
   prayojakatvādityata āha  vācyarūponmajjaneneti /	prayojaka tvAt iti atas Aha  vAcya rUpa unmajjanena iti /
   kuvalayacandrādivācyārthasvarūponmajjanena hetunetyarthaḥ /	kuvalaya candra Adi vAcya arTa svarUpa unmajjanena hetunA iti arTaH /
   kāvyacārutvāpekṣayā guṇībhāve sati guṇībhūtavyaṅgyatā,	kAvya cArutvA apekzayA guNIBAve sati guNIBUta vyaFgyatA,
   yathodāhṛtam  'anurāgavatī sandhyā' ityevamādi /	yaTA udAhRtam   aanurAgavatI sanDyA a iti evamAdi /
   tasyaiva svayamuktyā prakāśīkṛtatvena guṇībhāvaḥ,	tasya eva svayamuktyA prakASIkRta tvena guNIBAvaH,
   yathohāhṛtam   'saṅketakālamanasam' locanam ata eveyati yadyapi vācyasya	yaToha AhRtam     asaFketa kAla manasam a locanam atas eva iyati yadi api vAcyasya
   prādhānyaṃ , tathāpi rasadhvanau tasyāpi guṇateti sarvasya	prADAnyam , taTA api rasa DvanO tasya api guNatA iti sarvasya
   guṇībhūtavyaṅgyasya prākare mantavyam /	guNIBUta vyaFgyasya prAkare mantavyam /
   ata eva dhvanerevātmatvamityuktacaraṃ bahuśaḥ /	atas eva DvaneH eva Atma tvam iti ukta caram bahuSas /
   anye tu	anye tu
   jalakrīḍāvatīrṇataruṇījanalāvaṇyadravasundarīkṛtanadīviṣayeyamuktiriti	jala krIxA avatIrNa taruNI jana lAvaNya drava sundarI kRta nadI vizayeya muktiH iti
   sahṛdayāḥ, tatrāpi coktaprakāreṇaiva yojanā /	sahRdayAH, tatra api ca ukta prakAreNa eva yojanA /
   yadi vā nadīsannidhau snānāvatīrṇayuvativiṣayā /	yadi vA nadI sanniDO snAna avatIrNa yuvati vizayA /
   sarvathā tāvadvismayamukheneyati vyāpārādguṇatāvyaṅgyasya /	sarvaTA tAvat vismaya muKena iyati vyApArAt guNa tA vyaFgyasya /
   udāhṛtamiti /	udAhRtam iti /
   bālapriyā vyaṅgyasya kaṭākṣavadanādervācyakuvalayacandrādirūpatvena	bAla priyA vyaFgyasya kawAkza vadana AdeH vAcya kuvalaya candra Adi rUpa tvena
   darśanaṃ hyabhilāṣādijanane nimittamiti bhāvaḥ /	darSanam hi aBilAza Adi janane nimittam iti BAvaH /
   ata eveti /	atas eva iti /
   uktarītyā vyaṅgyasya guṇībhāvādevetyarthaḥ /	ukta rItyA vyaFgyasya guNIBAvAt eva iti arTaH /
   iyatīti vismathavibhāvatāprāptipūrvakābhilāṣādivibhāvatāprāptiparyante	iyati iti vismaTa viBAvatA prApti pUrvaka aBilAza Adi viBAvatA prApti paryante
   'rtha ityarthaḥ /	arTaH iti arTaH /
   anantarantu tasyā guṇībhāva evetyāha  tathāpītyādi /	anantarantu tasyAH guNIBAvaH eva iti Aha   taTA api ityAdi /
   rasadhvanau śṛṅgārādidhvanau /	rasa DvanO SRFgAra Adi DvanO /
   tasyāpi vācyasyāpi /	tasya api vAcyasya api /
   na kevalamatraivetyāha  iti sarvasyetyādi /	na kevalam atra eva iti Aha   iti sarvasya ityAdi /
   atropaṣṭambhakamāha  ata evetyādi /	atra upazwamBakam Aha  ataH eva ityAdi /
   yadi guṇībhūtavyaṅgyaprabhede vācyārthasyaiva prādhānyaṃ syāttdā dhvaniḥ	yadi guNIBUta vyaFgya praBede vAcya arTasya eva prADAnyam syAt tdAH DvaniH
   kāvyasyātmeti tatra tatroddhoṣyamāṇamasaṅgataṃ syāditi bhāvaḥ /	kAvyasya AtmA iti tatra tatra udDozyamANam asaFgatam syAt iti BAvaH /
   śokasyāsya kvacitprabandhe 'nupalambhānmuktakasyaucityānusāreṇa	Sokasya asya kvacid prabanDe anupalamBAt muktakasya Ocitya anusAreNa
   varṇyaviśeṣanirvarṇanāvidheyeti darśayan pakṣāntaramāha  anye tvityādi /	varNya viSeza nirvarNanA viDeya iti darSayan pakza antaram Aha  anye tu ityAdi /
   lāvaṇyadravasundarīkṛtanadīviṣayetyanena lāvaṇyasindhurityetadvivṛtaṃ	lAvaNya drava sundarIkRta nadI vizaya iti anena lAvaNya sinDuH iti etat vivRtam
   lāvaṇyamayī lāvaṇyasundarīkṛtā vā sindhuriti vigrahaḥ, sindhuśabdo na	lAvaNya mayI lAvaNya sundarIkRtA vA sinDuH iti vigrahaH, sinDu SabdaH na
   tiraskṛtavācyo vyañjaka iti ca bhāvaḥ /	tiraskRta vAcyaH vyaQjakaH iti ca BAvaH /
   utpalādiśabdānāntu prāguktaiva vyañjanaparipāṭītyāha  tatrāpi cetyādi /	utpala Adi SabdAnAntu prAk uktA eva vyaQjana paripAwI iti Aha   tatra api ca ityAdi /
   asmin pakṣe kuvalayādīnāmatisubhagaikādhikaraṇasamāveśakṛtasaubhāgyalābho	asmin pakze kuvalaya AdInAm ati suBaga eka aDikaraNa samAveSa kRta sOBAgya lABaH 
   na sāmañjasyena bhavatītyasvarasamanya ityanena sūcayan	na sAmaQjasyena Bavati iti asvara samanyaH iti anena sUcayan
   pakṣāntaramāha  yadi vetyādi /	pakza antaram Aha  yadi vA ityAdi /
   nadīsannidhāviti /	nadI sanniDO= iti /
   yuvatigataniratiśayalāvaṇyapūravyāptatvāllāvaṇyamayī	yuvati gata niratiSaya lAvaNya pUra vyApta tvAt lAvaNya mayI
   sindhuryasāyassetyarthātsandhuśabdo 'trāpi pakṣe mukhyārthaka eva, na ca	sinDuH yasA ayassA iti arTAt sanDu SabdaH atra api pakze muKya arTakaH eva, na ca
   prāguktadoṣastaruṇyā eva varṇanīyatvāditi bhāvaḥ /	prAc ukta dozaH taruNyAH eva varNanIya tvAt iti BAvaH /
   pakṣatraye 'pi vivakṣitaguṇībhūtavyaṅgyaprabhedatvaṃ	pakza traye api vivakzita guNIBUta vyaFgya praBeda tvam
   nirbhādhamityāha  sarvarthetyādi /	nirBADam iti Aha   sarva rTa ityAdi /
   nirūpitamiti /	nirUpitam iti /
   yathātra vyaṅgyasya nāyakavṛttāntasya guṇībhāvastathā darśitamityarthaḥ /	yaTA atra vyaFgyasya nAyaka vRttAntasya guNIBAvaH taTA darSitam iti arTaH /
   nanu sandhyādiśabdānāmatiraskṛtavācyānāmena nāyikādyarthapratyāyakatve	nanu sanDyAdi SabdAnAm atiraskRta vAcyA nAm ena nAyikA Adi arTa pratyAyaka tve
   'pyanurāgaśabdasya premavācakatvenaiva prasiddhasya raktimarūpaprakṛtārthe	api anurAga Sabdasya prema vAcaka tvena eva prasidDasya raktima rUpa prakRta arTe
   jahatsvārthalakṣaṇāyā eva vaktavyatayā kathamatiraskṛtavācyatvamiti śaṅkāṃ	jahatsva arTa lakzaNAyAH eva vaktavyatayA kaTam atiraskRta vAcya tvam iti SaFkAm
   parijihīrṣuḥ pratyuta tatpadasya yogarūḍhyā raktimavācakatvameva,	parijihIrzuH pratyuta tad padasya yoga rUXyA raktim avAcaka tvam eva,
   premarūpārthe ityādi /	prema rUpa arTe ityAdi /
   rasādirūpavyaṅgyasya guṇībhāvo rasavadalaṅkāre darśitaḥ; tatra ca	rasa Adi rUpa vyaFgyasya guNIBAvaH rasavat alaFkAre darSitaH; tatra ca
   teṣāmādhikārikavākyāpekṣayā guṇībhāvo vivahanapravṛttabhṛtyānuyāyirājavat	tezAm ADi kArika vAkya apekzayA guNIBAvaH vivahana pravRtta BRtya anuyAyi rAja vat
   vyaṅgyālaṅkārasya guṇībhāve dīvakādiviṣayaḥ /	vyaFgya alaFkArasya guNIBAve dIvaka Adi vizayaH /
   locanam etacca prathamoddyota eva nirūpitam anurāgaśabdasya cābhilāṣe	locanam etat ca praTama uddyotaH eva nirUpitam anurAga Sabdasya ca aBilAze
   taduparaktatvalakṣaṇayā	tad uparaktatva lakzaNayA
   lāvaṇyaśabdavatpravṛttirityabhiprāyeṇātiraskṛtavācyatvamuktam /	lAvaNya Sabda vat pravRttiH iti aBiprAyeNa atiraskRta vAcya tvam uktam /
   tasyaiveti /	tasya eva iti /
   vastumātrasya /	vastu mAtrasya /
   rasādīti /	rasa Adi iti /
   ādiśabdena bhāvādayaḥ rasavacchabdena preyasviprabhṛtayo 'laṅkārā	Adi Sabdena BAva AdayaH rasavat Sabdena preya svi praBRtayaH alaFkArA
   upalakṣitāḥ /	upalakzitAH /
   nanvatyarthaṃ pradhānabhūtasya rāsadeḥ kathaṃ guṇībhāvaḥ, guṇībhāve vā	nanu atyarTam praDAna BUtasya rAsadeH kaTam guNIBAvaH, guNIBAve vA
   kathamacārutvaṃ na syādityāśaṅkya pratyuta sundaratā bhavatīti	kaTam acAru tvam na syAt iti ASaFkya pratyuta sundara tA Bavati iti
   prasiddhadṛṣṭāntamukhena darśayati   tatra ceti /	prasidDa dRzwAnta muKena darSayati   tatra ca iti /
   rasavadādyalaṅkāraviṣaye /	rasavat Adi alaFkAra vizaye /
   evaṃ vastuno rasādeśca guṇībhāvaṃ pradarśyālaṅkārātmano 'pi tṛtīyasya	evam vastunaH rasa AdeH ca guNIBAvam pradarSya alaFkAra AtmanaH api tRtIyasya
   vyaṅgyaprakārasya taṃ darśayati   vyaṅgyālaṅkārasyeti /	vyaFgya prakArasya tam darSayati   vyaFgya alaFkArasya iti /
   upamādeḥ // 3.4 //	upama AdeH // 3.4 //
   evaṃ prakāratrayasyāpi guṇabhāvaṃ pradarśya bahutaralakṣyavyāpakatāsyeti	evam prakAra trayasya api guNa BAvam pradarSya bahutara lakzya vyApaka tA asya iti
   darśayitumāha   tatheti /	darSayitum Aha   taTA iti /
   bālapriyā tu nirūḍhalakṣaṇetyatiraskṛtāvācyatvasupapannameveti	bAlapriyA tu nirUXa lakzaNa iti atiraskRta avAcya tvasupapannam eva iti
   darśayati  anurāgaśabdasyetyādi /	darSayati  anurAga Sabdasya ityAdi /
   abhilāṣe premṇi /	aBilAze premNi /
   taditi /	tat iti /
   tatpadārthastadvastu taduparaktaṃ yena tattvaṃ vastūparañjakatvaṃ tena	tad padArTaH tat vastu tad uparaktam yena tattvam vastu uparaQjaka tvam tena
   nimittena lakṣaṇayetyarthaḥ /	nimittena lakzaNayA iti arTaH /
   lāvaṇyaśabdavaditi /	lAvaNya Sabda vat iti /
   suṣamāviśeṣe lāvaṇyaśabdasyevetyarthaḥ /	suzamA viSeze lAvaNya Sabdasya iva iti arTaH /
   premarūpārtho vyaṅgya eveti bodhyam /	prema rUpa arTaH vyaFgyaH eva iti boDyam /
   rasavacchabdeneti /	rasavat Sabdena iti /
   rasavadalaṅkāre darśita ityatratyarasavacchabdenetyarthaḥ /	rasavat alaFkAre darSitaH iti atratya rasa vat Sabdena iti arTaH /
   rasavadalaṅkāraviṣayaḥ prākdarśita iti ca vṛttau pāṭhaḥ /	rasavat alaFkAra vizayaH prAc darSitaH iti ca vRttO pAWaH /
   dṛṣṭāntapradarśanapūrvakaṃ rasāderguṇībhāvapradarśanasya phalaṃ	dRzwAnta pradarSana pUrvakam rasa AdeH guNIBAva pradarSanasya Palam
   tadasambhavaśaṅkānivṛttirityāśayena śaṅkāmāha  nanvatyarthamityādi /	tad asamBava SaFkA nivRttiH iti ASayena SaFkAm Aha  nanvatyarTam ityAdi /
   vācyasyāpyāpekṣikaṃ prādhānyamastītyato 'tyarthamityuktam /	vAcyasya api Apekzikam prADAnyam asti iti atas atyarTam iti uktam /
   kathamiti /	kaTam iti /
   prādhānyaguṇībhāvayorekatra samāveśo viruddha eveti bhāvaḥ /	prADAnya guNIBAvayoH ekatra samAveSaH virudDaH eva iti BAvaH /
   nanu pradhānasyāpi sato rasādeḥ kavivivakṣāvaśādguṇībhāvaḥ kinna	nanu praDAnasya api sataH rasa AdeH kavi vivakzA vaSAt guNIBAvaH kinna
   syādityata āha  guṇībhāve veti /	syAt iti atas Aha   guNIBAve vA iti /
   prasiddhadṛṣṭānteti /	prasidDa dRzwAnta iti /
   sundaratvena prasiddhadṛṣṭāntetyarthaḥ /	sundara tvena prasidDa dRzwAnta iti arTaH /
   na hi rājño vivāhapravṛttamṛtyānuyāyitvamasundaraṃ bhāti, pratyuta	na hi rAjQaH vivAha pravRtta mRtyA anuyAyi tvam asundaram BAti, pratyuta
   bhṛtyotkarṣaviśeṣo 'pi rājotkarṣātiśayāyaiva kalpiṣyata iti cārutvameva	BRtya utkarza viSezaH api rAja utkarza atiSayAya eva kalpizyate iti cAru tvam eva
   puṣṇātīti bhāvaḥ // 3.4 //	puzNAti iti BAvaH // 3.4 //
   asyeti /	asya iti /
   guṇībhūtavyaṅgyasyetyarthaḥ /	guNIBUta vyaFgyasya iti arTaH /
   prasādaguṇayogātprasannāni vyaṅgyārthākṣepakatvādgambhīrāṇi ceti	prasAda guNa yogAt prasannAni vyaFgya arTa Akzepaka tvAt gamBIrANi ca iti
   sambandhaḥ /	sambanDaH /
   sukhāvahā ityanena teṣu prakāro 'yameva yojya tathā   	suKa AvahAH iti anena tezu prakAraH ayam eva yojya taTA   
   prasanna gambhīra padāḥ kāvya bandhāḥ sukhāvahāḥ /	prasanna  gamBIra padAH kAvya banDAH suKa AvahAH /
   ye ca teṣu prakāro 'yam eva yojyāḥ sumedhasā // DhvK_3.35 //	ye ca tezu prakAraH ayam eva yojyAH sumeDasA // DhvK_3.35 //
   prasannagambhīrapadāḥ kāvyabanadhāḥ sukhāvahāḥ /	prasanna gamBIra padAH kAvya banaDAH suKa AvahAH /
   ye ca teṣu prakāro 'yameva yojyaḥ sumedhasā // 35 //	ye ca tezu prakAraH ayam eva yojyaH sumeDasA // 35 //
   ye caite 'parimitasvarūpā api prakāśamānāstathāvidhārtharamaṇīyāḥ santo	ye ca ete aparimita svarUpAH api prakASamAnAH taTAviDa arTa ramaNIyAH santaH 
   vivekināṃ sukhāvahāḥ, kāvyabandhāsteṣu sarveṣvevāyaṃ prakāro	vivekinAm suKa AvahAH, kAvya banDAH tezu sarvezu eva ayam prakAraH 
   guṇībhūtavyaṅgyo nāma yojanīyaḥ /	guNIBUta vyaFgyaH nAma yojanIyaH /
   yathāḥ   	yaTAH   
   lacchī duhidā jāmāuo harī taṃsa dhariṇiā gaṅgā /	lacCI duhidA jAmAuaH harI taMsa DariNiA gaFgA /
   locanam prasannāni prasādaguṇayogādgabhīrāṇi ca	locanam prasannAni prasAda guNa yogAt gaBIrANi ca
   vyaṅgyārthakṣepakatvātpadāni yeṣu /	vyaFgya arTa kzepaka tvAt padAni yezu /
   sukhāvahā iti cārutvahetuḥ /	suKa AvahAH iti cAru tva hetuH /
   tatrāyameva prakāra iti bhāvaḥ /	tatra ayam eva prakAraH iti BAvaH /
   sumedhaseti /	sumeDasA iti /
   yastvetaṃ prakāraṃ tatra yojayituṃ na śaktaḥ sa	yaH tu etam prakAram tatra yojayitum na SaktaH sa
   paramalīkasahṛdayabhāvanāmukulitalocanoktyopahasanīyaḥ syāditi bhāvaḥ /	paramalIka sahRdaya BAvanA mukulita locana uktyA upahasanIyaH syAt iti BAvaH /
   lakṣmīḥ sakalajanābhilāṣabhūmirduhitā /	lakzmIH sakala jana aBilAza BUmiH duhitA /
   jamātā hariḥ yaḥ samastabhogāpavargadānasatatodyamī /	jamAtA hariH yaH samasta Boga apavarga dAna satata udyamI /
   tathā gṛhiṇī gaṅgā yasyāḥ samabhilaṣaṇīye sarvasminvastunyapahata	taTA gRhiNI gaFgA yasyAH samaBilazaNIye sarvasmin vastuni apahata
   upāyabhāvaḥ /	upAya BAvaH /
   amṛtamṛgāṅkau ca sutau, amṛtamiha vāruṇī /	amRta mRga aFkO ca sutO, amRtam iha vAruNI /
   tena gaṅgāsnānaharicaraṇārādhanādyupāyaśatalabdhāyā	tena gaFgA snAna hari caraNa ArADana Adi upAya Sata labDAyAH 
   lakṣmyāścandrodayapānagoṣṭhyupabhogalakṣaṇaṃ mukhyeṃ phalamiti	lakzmyAH candra udaya pAna gozWI upaBoga lakzaNam muKyem Palam iti
   trailokyasārabhūtatā bālapriyā ityatra tatprakārasya cārutvehetutvaṃ	trElokya sAra BUta tA bAla priyA iti atra tad prakArasya cAru tvehetu tvam
   darśitamityāśayenāha  cārutvaheturityādi /	darSitam iti ASayena aha   cAru tva hetuH ityAdi /
   tatra tathāvidhe kāvyabandhe /	tatra taTAviDe kAvya banDe /
   sahṛdayatvapratiṣṭālābhaścaitatprakārayojanakauśalaśālitānibandhana eveti	sahRdaya tva pratizwAla ABaH ca etad prakAra yojana kOSala SAlitA nibanDanaH eva iti
   tadarthibhistadviṣaye mahāprayatna ādheya iti darśayituṃ	tad arTiBiH tad vizaye mahA prayatnaH ADeyaH iti darSayitum
   sumedhasetyuktamityāha  yastvetamityādi /	sumeDasA iti uktam iti Aha  yaH tu etam ityAdi /
   alīketi /	alIka iti /
   ayaṃ na sahṛdayaḥ kintvalīkasahṛdayabhāvanayā asatyasya sahṛdayatvastha	ayam na sahRdayaH kintu alIka sahRdaya BAvanayA asatyasya sahRdaya tva sTa
   bhāvanayā rasāsvādavaivaśyaṃ manasaḥ prakaṭayituṃ mukulitalocana āste,	BAvanayA rasa AsvAda vEvaSyam manasaH prakawayitum mukulita locanaH Aste,
   paśyatāsya vipralambhakabhāvamiti sahṛdayagoṣṭhīṣuparihāsapātraṃ	paSyata asya vipralamBaka BAvam iti sahRdaya gozWIzu parihAsa pAtram
   syādityarthaḥ /	syAt iti arTaH /
   lakṣmīrduhitā jāmātā haristasya hiṇī gaṅgā /	lakzmIH duhitA jAmAtA hariH tasya hiNI gaFgA /
   amṛtamṛgāṅkau ca sutāvaho kuṭumbaṃ mahodadhaḥ //	amRta mRga aFkO ca suta AvahaH kuwumbam mahA udaDaH //
   iti chāyā /	iti CAyA /
   padānāmetadgatānāṃ vyaṅgyamarthajātandarśayanyojanāmāha  lakṣamīrityādi /	padAnAm etat gatAnAm vyaFgyam arTa jAtandarSayan yojanAmAha   lakzamIH iti Adi /
   sakaletyādi /	sakala ityAdi /
   samastetyādi /	samasta ityAdi /
   yasyā ityādi ca tattatpadavyaṅgyārthakathanam /	yasyAH ityAdi ca tad tad pada vyaFgyA arTa kaTanam /
   amṛtamiti /	amRtam iti /
   amṛtapadārthaṃ ityarthaḥ /	amRta padArTam iti arTaH /
   vāruṇīti /	vAruNI iti /
   na pīyūṣaṃ tasya candrodayavadakhilajanasādhāraṇyābhāvāditi bhāvaḥ /	na pIyUzam tasya candra udaya vat aKila jana sADAraNya aBAvAt iti BAvaH /
   teneti /	tena iti /
   uktenārthajātenetyarthaḥ /	uktena arTa jAtena iti arTaH /
   gaṅgāsnānetyādiguṇībhāvamanubhavatītyantasyāyamarthaḥ /	gaFgA snAnA ityAdi guNIBAvam anuBavati iti antasya ayam arTaH /
   yasyāṃ snānādyadārādhanāditaśca yā labhyate sā gaṅgāsya gṛhiṇyeva, sa	yasyAm snAnAt yat ArADana AditaH ca yA laByate sA gaFgA asya gRhiNi eva, sa
   harirasya jāmātaiva, sā lakṣmīrasyātmajaiva, labdhāyā āmiamiaṅkā a suā aho	hariH asya jAmAtA eva, sA lakzmIH asya AtmajA eva, labDAyAH Amiam iaFkA a suAH aho
   kuḍumbaṃ mahoahiṇo //	kuxumbam mahoahiNaH //
   vācyālaṅkāra vargo 'yaṃ vyaṅgyāṃśānugame sati /	vAcya alaFkAra  vargaH ayam vyaFgya aMSa anugame sati /
   prāyeṇaiva parāṃ chāyāṃ bibhral lakṣye nirīkṣyate // DhvK_3.36 //	prAyeNa eva parAm CAyAm biBrat lakzye nirIkzyate // DhvK_3.36 //
   vācyālaṅkāravargo 'yaṃ vyaṅgyāṃśānugame sata /	vAcya alaFkAra vargaH ayam vyaFgya aMSa anugame sataH /
   prāyeṇaiva parāṃ chāyāṃ bibhrallakṣye nirīkṣyate // 36 //	prAyeNa eva parAm CAyAm biBrat lakzye nirIkzyate // 36 //
   vācyālaṅkāravargo 'yaṃ vyaṅgyāṃśasyālaṅkārasya vastumātrasya vā	vAcya alaFkAra vargaH ayam vyaFgya aMSasya alaFkArasya vastu mAtrasya vA
   yathoyogamanugame sati cchāyātiśayaṃ vibhrallakṣaṇakārairekadeśena	yaToyogam anugame sati cCAyA atiSayam viBrad lakzaNa kArEH eka deSena
   darśitaḥ /	darSitaH /
   sa tu tathārūpaḥ prāyeṇa sarva eva parīkṣyamāṇo lakṣye nirīkṣyate /	sa tu taTArUpaH prAyeNa sarve eva parIkzyamANaH lakzye nirIkzyate /
   tathā hi  dīpakasamāsoktyādivadanye 'pyalaṅkārāḥ prāyeṇa	taTA hi  dIpaka samAsa ukti Adi vat anye api alaFkArAH prAyeNa
   vyaṅgyālaṅkārāntaravastvantarasaṃsparśino dṛśyante /	vyaFgya alaFkAra antara vastu antara saMsparSinaH dRSyante /
   locanam pratīyamānā satī aho kuṭumbaṃ mahodadherityahośabdācca	locanam pratIyamAnA satI aho kuwumbam mahA udaDeH iti ahoSabdAt ca
   guṇībhāvamanubhavati // 3.5 //	guNIBAvam anuBavati // 3.5 //
   evaṃ niralaṅkāreṣūttānatāyāṃ tucchatayaiva bhāsamānamamunāntaḥsāreṇa	evam niralaFkArezu uttAnatAyAm tucCatayA eva BAsamAnam amunA antar sAreNa
   kāvyaṃ pavitrīkṛtamityuktvālaṅkārasyāpyanenaiva ramyataratvamiti	kAvyam pavitrIkRtam iti uktvA alaFkArasya api anena eva ramyatara tvam iti
   darśayati  vācyeti /	darSayati  vAcyA iti /
   aṃśatvaṃ guṇamātratvam /	aMSa tvam guNa mAtra tvam /
   ekadeśeneti /	eka deSena iti /
   ekadeśavivartirūpakamanena darśitam /	eka deSa vivarti rUpa kam anena darSitam /
   bālapriyā lakṣmyāssampadrūpāyā upabhogābhāve	bAla priyA lakzmI Assampad rUpAyAH upaBoga aBAve
   cālabdhakalpatvāccandrodayakāle vāruṇyupabhogo hi mukhyaṃ phalaṃ, sa	ca alabDa kalpa tvAt candra udaya kAle vAruNI upaBogaH hi muKyam PalaM, sa
   candrassā vāruṇī cāsya putrabhāvameva bhajata iti mahodadhireva	candrassA vAruNI ca asya putra BAvam eva Bajate iti mahA udaDiH eva
   trailokyasāra itīyānartho 'tra dhvananavyāpārādavagamyate /	trElokya sAraH itIya anarTaH atra Dvanana vyApArAt avagamyate /
   sa cāvagatassannaho kuṭumbamiti śabdaspṛṣṭatayā guṇībhāvamavalambate	sa ca avagatassanna ho kuwumbam iti Sabda spRzwa tayA guNIBAvam avalambate
   yataḥ, tadvyaṅgyārthajātopaskṛta eva vācyārtho vismayavibhāvatāṃ prāpnoti	yatas , tad vyaFgya arTa jAta upaskRtaH eva vAcya arTaH vismaya viBAvatAm prApnoti
