   śrīḥ /	SrIH /
   sphuṭapratibhānāditibhāvaḥ /	sPuwa-pratiBAnAt-iti-BAvaH /
   ekamekāvidyākalpitaikajīvavāde dūṣaṇāni prapañcitāni // 155 //	ekam-eka-avidyA-kalpita-eka-jIva-vAde dUzaNAni prapaQcitAni // 155 //
   na ca prātisvikāvidyākalpitasvasvadṛśyakaiḥ /	na ca prAtisvika-avidyA-kalpita-sva-sva-dRSyakEH /
   jīvairanekairapyeṣā lokayātropapadyate // 156 //	jIvEH-anekEH-api-ezA lokayAtrA-upapadyate // 156 //
   paravārtānabhijñāste svasvasvapnekadarśinaḥ /	para-vArtA-anaBijQAH-te sva-sva-svapneka-darSinaH /
   kathaṃ pravartayeyustāṃ saṅgādyekanibandhanām // 157 //	kaTam pravartayeyuH-tAm saFga-Adi-eka-nibanDanAm // 157 //
   nānāvidyākalpitanānājīvavādamapi dūṣayatina ceti /	nAnA-vidyA-kalpita-nAnA-jIva-vAdam-api dUza-yatina ca-iti /
   avidyākalpitāścito nānājīṃvabhedāḥ /	avidyA-kalpitAH-citaH nAnA-jIMva-BedAH /
   te ca svasvāvidyākalpitaṃ padārthajātaṃ paśyanti pṛthak pṛthak svapna iva	te ca sva-sva-avidyA-kalpitam padArTa-jAtam paSyanti pRTak pRTak svapnaH iva
   vyāvahārikā anye jīvā anyena na jñāyante /	vyAvahArikAH anye jIvAH anyena na jQAyante /
   svena dṛśyā jīvāstu svāpnavatprātibhāsikā evetyetatpakṣasāraḥ /	svena dRSyA jIvAH-tu svApna-vat-prAtiBAsikAH eva-iti-etat-pakza-sAraH /
   atra cānyaṃ jīvaṃ tadguṇadoṣādi vā vyāvahārikamanyo jīvastathābhūto na	atra ca-anyam jIvam tad-guNa-doza-Adi vA vyAvahArikam-anyaH jIvaH-taTABUtaH na
   jānāti cettarhi tatsamāgamādiprasaṅgābhāvāt sahānubhūtayaikasādhyo	jAnAti ced-tarhi tad-samAgama-Adi-prasaFga-aBAvAt saha-anuBUtayA-eka-sADyaH-
   'nuvṛtto lokavyavahāraḥ kathaṃ nirvartyetetyarthaḥ /	anuvRttaH loka-vyavahAraH kaTam nirvartyeta-iti-arTaH /
   svāvidyākalpitameva paśyantītyuktyā	svAvidyA-kalpitam-eva paSyanti-iti-uktyA
   paravārtānabhijñatvaṃ-vyāvahārikajīvāntaravṛttānabhijñatvaṃ sidhyati /	para-vArtA-anaBijQa-tvaM--vyAvahArika-jIva-antara-vRtta-anaBijQa-tvam siDyati /
   na hi te jīvāntarāvidyākalpitāḥ /	na hi te jIva-antara-avidyA-kalpitAH /
   kintu mūlāvidyākalpitā eva /	kintu mUla-avidyA-kalpitAH eva /
   lokavyavahāro 'pi prātibhāsika eveti cettarhi ekajīvavādonmeṣaḥ /	loka-vyavahAraH api prAtiBAsikaH eva-iti ced-tarhi eka-jIva-vAda-unmezaH /
   tatra ca doṣa ukta eveti hārdam // 156 //157 //	tatra ca dozaH uktaH eva-iti hArdam // 156 //157 //
   kiñca svayaṃprakāśatvavibhutvaikatvanityatāḥ /	kiQca svayaMprakASa-tva-viBu-tva-eka-tva-nitya-tAH /
   tvadabhyupetā bādheran saṃvidaste 'dvitīyatām // 158 //	tvad-aByupetAH bADeran saMvid-aH-te advitIyatAm // 158 //
   saṃvinmātre 'vidyākalpito meyamātṛbheda iti paramataṃ vistareṇa	saMvid-mAtre avidyA-kalpitaH meya-mAtR-BedaH iti para-matam vistareNa
   pratikṣiptametāvatā /	pratikziptam-etAvatA /
   atha saṃvidi parābhimataṃ nirviśeṣatvaṃ pratikṣipatikiñcetyādinā /	aTa saMvidi para-aBimatam nirviSeza-tvam pratikzipatikiQca-ityAdinA /
   te ityasyāgre matāmiti śeṣaḥ /	te iti-asya-agre matAm-iti SezaH /
   bhavadabhimataireva dharmaiḥ saviśeṣatvaṃ saṃvidaḥ prasajyata iti bhāvaḥ	Bavat-aBimatEH-eva DarmEH sa-viSeza-tvam saMvidaH prasajyate iti BAvaH
   saṃvideva na te dharmāḥ, siddhāyāmapi saṃvidi /	saMvid-eva na te DarmAH, sidDAyAm-api saMvidi /
   vivādadarśanātteṣu ; tadrūpāṇāṃ ca bhedataḥ // 159 //	vivAda-darSanAt-tezu ; tad-rUpANAm ca BedataH // 159 //
   svarūpābhedātteṣāṃ na saṃvidaḥ sadharmatvamiti śaṅkāmanūdya	svarUpa-aBedAt-tezAm na saMvidaH saDarma-tvam-iti SaFkAmanUdya
   nirācaṣṭesaṃvideveti /	nirAcazwesaMvid-eva-iti /
   sampratipanne 'pi saṃvitsvarūpe tannityatvavibhutvaikatvasvaprakāśatvādau	sampratipanne api saMvid-svarUpe tad-nitya-tva-viBu-tva-ekatva-sva-prakASa-tva-AdO
   bauddhanaiyāyikamīmāṃsakādīnāṃ vivādāt svarūpabhedācca teṣāṃ dharmāṇāṃ	bOdDa-nEyAyika-mImAMsaka-AdInAm vivAdAt svarUpa-BedAt-ca tezAm DarmANAm
   saṃvitto na saṃpratipannasaṃvidabhinnatvaṃ teṣāṃ yujyata ityarthaḥ /	saMvittaH na saMpratipanna-saMvid-aBinna-tvam tezAm yujyate iti-arTaH /
   svarūpabhedaścātmasiddhau nirūpito 'nusandheyaḥ // 159 //	svarUpa-BedaH-ca-Atma-sidDO nirUpitaH anusanDeyaH // 159 //
   na ca te bhrāntisiddhāste yenādvaitāvirodhinaḥ /	na ca te BrAnti-sidDAH-te yena-advEta-aviroDinaH /
   tattvāvedakavedāntavākyasiddhā hi te guṇāḥ // 160 //	tattva-Avedaka-vedAnta-vAkya-sidDAH hi te guNAH // 160 //
   nanvevamapi teṣāmaparamārthatvātparamārthadvitīyarāhityaṃ surakṣitameveti	nanu-evam-api tezAm-aparama-arTa-tvAt-parama-arTa-dvitIya-rAhityam su-rakzitam-eva-iti
   cettatrāhana ca te iti /	ced-tatra-ahana ca te iti /
   tavāpi tattvedamparaśrutyantasiddhāste dharmāssaṃvido nityatvādaya ityeva	tava-api tattvedamparaSruti-anta-sidDAH-te Darma-AssaMvidaH nitya-tva-AdayaH iti-eva
   matam /	matam /
   tattaiḥ saviśeṣatvaṃ durvāram /	tad-tEH sa-viSeza-tvam durvAram /
   teṣāṃ bādhe tulyanayena saṃvido 'pi bādhaḥ syāditi dyotyate	tezAm bADe tulya-nayena saMvidaH api bADaH syAt-iti dyotyate
   tattvāvedaketyādinā // 160 //	tattva-Avedaka-ityAdinA // 160 //
   ānandasvaprakāśatvanityatvamahimādyatha /	Ananda-sva-prakASa-tva-nitya-tva-mahima-Adi-aTa /
   brahmasvarūpameveṣṭaṃ, tatrāpīdaṃ vivicyatām // 161 //	brahma-svarUpam-eva-izwan, tatra-api-idam vivicyatAm // 161 //
   brahmasvarūpābhedasyaiva taddharmeṣu parābhimatatvāttatra prākārāntareṇāpi	brahma-svarUpa-aBedasya-eva tad-Darmezu para-aBimata-tvAt-tatra prAkAra-antareNa-api
   dūṣaṇamāhaānandeti /	dUzaNam-AhaAnanda-iti /
   ānandaśabdo bhāvapradhānaḥ /	Ananda-SabdaH BAva-praDAnaH /
   mahimā-vibhutvam /	mahimA--viBu-tvam /
   ādipadādekatvādi grāhyam /	Adi-padAt-eka-tva-Adi grAhyam /
   atheti yadyarthakam /	aTa-iti yadi-arTakam /
   avyayānāmanekārthatvāt // 161 //	avyayAnAm-aneka-arTa-tvAt // 161 //
   brahmeti yāvannirdiṣṭaṃ tanmātraṃ kiṃ sukhādayaḥ /	brahma-iti yAvat-nirdizwam tanmAtram kim suKa-AdayaH /
   athavā tasya te, yadvā ta eva brahmasaṃjñinaḥ // 162 //	aTavA tasya te, yat-vA te eva brahma-saMjQinaH // 162 //
   vikalpayati paramataṃbrahmetīti /	vikalpayati parama-taMbrahma-iti-iti /
   kimānandatvādayo brahmasvarūpamātram , uta tanniṣṭhā dharmāḥ,	kim-Ananda-tva-AdayaH brahma-svarUpa-mAtram , uta tad-nizWAH DarmAH,
   āhosvitteṣāmeva pratyekaṃ brahmasaṃjñā, samuditānāṃ veti vikalpaḥ // 162	Ahosvit-tezAm-eva pratyekam brahma-saMjQA, samuditAnAm vA-iti vikalpaH // 162
   ādye tattatpadāmnānavaiyarthyaṃ vedalokayoḥ /	Adye tad-tad-padAmnAna-vEyarTyam veda-lokayoH /
   pūrvoktanītyābhedaśca, jagajjanmādikāraṇam // 163 //	pUrva-ukta-nItyA-BedaH-ca, jagat-janma-Adi-kAraNam // 163 //
   abhyupetyaiva hi brahma vivādāsteṣu vādinām /	aByupetya-eva hi brahma vivAdAH-tezu vAdinAm /
   dvitīye saiva taireva brahmaṇaḥ sadvitīyatā // 164 //	dvitIye sA-eva tEH-eva brahmaNaH sa-dvitIya-tA // 164 //
   ādye iti /	Adye iti /
   atyantābhede 'natiriktārthakatvātānando brahma satyaṃ jñānamanantaṃ	atyanta-aBede anatirikta-arTaka-tvAtAnandaH brahma satyam jQAnam-anantam
   brahmetyādau sahapāṭhasyānarthakyaṃ prasajyate /	brahma-ityAdO saha-pAWasya-AnarTakyam prasajyate /
   na hi ghaṭaḥ kalaśa iti sahapāṭhaḥ /	na hi GawaH kalaSaH iti saha-pAWaH /
   brahmasvarūpaikyāsambhavaṃ ca teṣu dharmeṣu smārayatipūrvokteti /	brahma-svarUpa-EkyA-samBavam ca tezu Darmezu smArayati-pUrva-uktA-iti /
   dvitīye kalpe tu brahmaṇaḥ saviśeṣatvaprasaṅga ityāhadvitīyaiti /	dvitIye kalpe tu brahmaNaH sa-viSeza-tva-prasaFgaH iti-Aha-dvitIya-eti /
   saiva-bhavadabhimataviruddhaiva // 163 //164 //	sA-eva--Bavat-aBimata-virudDA-eva // 163 //164 //
   tṛtīye brahma bhidyeta tanmātratvātpade pade /	tRtIye brahma Bidyeta tanmAtra-tvAt-pade pade /
   tatsamūho 'thavā brahma taruvṛndavanādivat // 165 //	tad-samUhaH aTavA brahma taru-vRnda-vana-Adi-vat // 165 //
   tṛtīye pratyekasamudāyakoṭyoḥ pratyekakoṭiṃ dūṣayatitṛtīye iti /	tRtIye pratyeka-samudAya-kowyoH pratyeka-kowim dUza-yati-tRtIye iti /
   pratyekaśo brahmatvamityatra nānā brahma prasajyate satyaṃ brahma, jñānaṃ	pratyekaSaH brahma-tvam-iti-atra nAnA brahma prasajyate satyam brahma, jQAnam
   brahma, anantaṃ brahma, ānando brahmeti ; khaṇḍo muṇḍaḥ	brahma, anantam brahma, AnandaH brahma-iti ; KaNxaH muNxaH
   pūrṇaśṛṅgogaurityatrevetyarthaḥ /	pUrNa-SRFgaH-gOH-iti-atra-iva-iti-arTaH /
   tanmātratvāt-tattanmātrasvarūpatvādbrahmaṇaḥ /	tanmAtra-tvAt--tad-tanmAtra-svarUpa-tvAt-brahmaNaH /
   satyatvādisamudāyo brahmetyatra doṣamāhatatsamūhaiti /	satya-tva-Adi-samudAyaH brahma-iti-atra dozam-Ahatat-samUhA-eti /
   vināśavaditi mudritaḥ pāṭho 'śuddhaḥ /	vinASa-vat-iti mudritaH pAWaH aSudDaH /
   taruvṛndasya vanatvavatsatyādisamudāyasya brahmatve, samudāyasya	taru-vRndasya vanatva-vat-satya-Adi-samudAyasya brahma-tve, samudAyasya
   samudāyyananyatve pratyekapakṣoktadūṣaṇānativṛttiḥ, atiriktatve sāṃśatvaṃ	samudAyi-ananya-tve pratyeka-pakza-ukta-dUzaNa-anativRttiH, atirikta-tve sa-aMSa-tvam
   guṇatvaṃ ca prasajyate brahmaṇa iti bhāvaḥ // 165 //	guNa-tvam ca prasajyate brahmaNaH iti BAvaH // 165 //
   prakarṣaśca prakāśaśca bhinnāvevārkavartinau /	prakarzaH-ca prakASaH-ca BinnO=-eva-arka-vartinO /
   tena na kvāpi vākyārtho vibhāgo 'sti nidarśanam // 166 //	tena na kvApi vAkya-arTaH viBAgaH asti nidarSanam // 166 //
   nanu satyādivākyamakhaṇḍārthaparaṃ svarūpalakṣaṇavākyatvāt , divā divi	nanu satya-Adi-vAkyam-aKaNxa-arTa-param svarUpa-lakzaNa-vAkya-tvAt , divA divi
   prakṛṣṭaprakāśaḥ sūryaḥ, niśi ca tathābhūtaścandra itivaditi	prakRzwa-prakASaH sUryaH, niSi ca taTABUtaH-candraH itivat-iti
   nirviśeṣabrahmasiddhirityatrāhaprakarṣaśceti /	nirviSeza-brahma-sidDiH-iti-atra-aha-prakarzaH-ca-iti /
   dṛṣṭānto 'pi na kevalaravyādisvarūpamātraparaḥ, kintu	dRzwAntaH api na kevala-ravya-Adi-svarUpa-mAtra-paraH, kintu
   ravyādivyapadeśagocarārthasyāsādhāraṇākārapradarśanapara iti	ravya-Adi-vyapadeSa-gocara-arTasya-asADAraNa-AkAra-pradarSana-paraH iti
   nirviśeṣādvaitarūpo 'khaṇḍaḥ samānādhikaraṇavākyārtho nidarśanabhūto	nirviSezAt-vEta-rUpaH aKaNxaH samAna-aDikaraNa-vAkya-arTaH nidarSana-BUtaH-
   naivāstītibhāvaḥ /	na-eva-asti-iti-BAvaH /
   kvāpi-kvacidapi samānādhikaraṇavākye /	kvApi-kvacid-api samAna-aDikaraNa-vAkye /
   avibhāgaḥ-akhaṇḍaḥ // 166 //	aviBAgaH-aKaNxaH // 166 //
   jāḍyaduḥkhādyapohena yadyekatraiva vartitā /	jAxya-duHKa-Adi-apohena yadi-ekatra-eva vartitA /
   jñānānandādiśabdānāṃ na satassadvitīyatā // 167 //	jQAna-Ananda-Adi-SabdAnAm na satassa-dvitIya-tA // 167 //
   atra śaṅkate paraḥjāḍyeti /	atra SaFkate paraHjAxya-iti /
   jñānādipadaṃ na jñānatvādiviśeṣaṃ pratipādayati /	jQAna-Adi-padam na jQAna-tva-Adi-viSezam pratipAdayati /
   kintu jaḍatvādyapohameva /	kintu jaxa-tva-Adi-apoham-eva /
   apohastu vyāvṛttirabhāvo 'dhikaraṇasvarūpameveti na brahmaṇaḥ	apohaH-tu vyAvRttiH-aBAvaH aDikaraNa-svarUpam-eva-iti na brahmaNaH
   saviśeṣatvaprasaṅgaḥ /	sa-viSeza-tva-prasaFgaH /
   jaḍāditattatpadārthapratiyogikavyāvṛttisvarūpatvabodhanena cārthavattā	jaxa-Adi-tad-tad-padArTa-pratiyogi-ka-vyAvRtti-svarUpa-tva-boDanena ca-arTavat-tA
   padānāmiti śaṅkiturāśayaḥ /	padAnAm-iti SaFkituH-ASayaH /
   netyataḥ pūrvamataśceti yojyam /	na-iti-atas pUrvam-atas-ca-iti yojyam /
   parapakṣānuvādakaḥ śloko 'yam // 167 //	para-pakza-anuvAdakaH SlokaH ayam // 167 //
   apohāḥ kiṃ na santyeva, santo vā, nobhaye 'pi vā /	apohAH kim na santi-eva, santaH vA, na-uBaye api vA /
   sattve satsadvitīyaṃ syāt jaḍādyātmakatetare (tā pare) // 168 //	sattve sat-sa-dvitIyam syAt jaxa-Adi-Atmaka-tA-itare (tA pare) // 168 //
   atra vikalpya doṣamāhaapohā iti /	atra vikalpya doza-m-AhaapohAH iti /
   nobhaye-na santo nāpyasantaḥ, sadasadvilakṣaṇā iti yāvat /	na-uBaye-na santaH na-api-asantaH, sat-asat-vilakzaNAH iti yAvat /
   apohānāṃ sattve doṣamāhasattve iti /	apohAnAm sattve doza-mAhasattve iti /
   apohānāṃ sattve taiḥ sataḥ sadvitīyatā syādityarthaḥ /	apohAnAm sattve tEH sataH sa-dvitIya-tA syAt-iti-arTaH /
   asattve dūṣaṇaṃñjaḍādyātmaketi /	asattve dUzaNaMQjaxa-Adi-Atmaka-iti /
   jāḍyādyapohānāmabhāve jāḍyādiprasaṅga iti yāvat /	jAxya-Adi-apohAnAm-aBAve jAxya-Adi-prasaFgaH iti yAvat /
   sattvasatsadvitīyaḥ svājjaḍādyātmakatetareiti /	sattva-satsa-dvitIyaH svAt-jaxa-Adi-Atmaka-tA-itarA-iiti /
   mudritapāṭho 'śuddhaḥ // 168 //	mudrita-pAWaH aSudDaH // 168 //
   sadasadvyatirekoktiḥ pūrvameva parākṛtā /	sat-asat-vyatireka-uktiH pUrvam-eva parAkRtAH /
   tathātve ca ghaṭādibhyo brahmāpi na viśiṣyate // 169 //	taTA-tve ca Gawa-AdiByaH brahmA-api na viSizyate // 169 //
   tṛtīyaṃ pratikṣipatisadasaditi /	tRtIyam pratikzipati-sat-asat-iti /
   sadvyatireke 'sattvam , asadvyatireke ca sattvaṃ vyavasthitamiti	sat-vyatireke asattvam , asat-vyatireke ca sattvam vyavasTitam-iti
   sadasadbhinnatvaṃ kasyāpi na sambhavatīti pūrvamevoktamityarthaḥ /	sat-asat-Binna-tvam kasya-api na samBavati-iti pUrvam-eva-uktam-iti-arTaH /
   dūṣaṇāntaramāhatathātva iti /	dUzaNa-antaram-AhataTAtvaH iti /
   apohānāṃ brahmasvarūpatve sadasadvilakṣaṇatve ca brahmaṇaḥ	apohAnAm brahma-svarUpa-tve sat-asat-vilakzaNa-tve ca brahmaNaH
   sadasadvilakṣaṇatvaṃ prasajyate prapañcasyeveti bhāvaḥ // 169 //	sat-asat-vilakzaNa-tvam prasajyate prapaQcasya-iva-iti BAvaH // 169 //
   kiñcāpohyajaḍatvādiviruddhārthāsamarpaṇe /	kiQca-apohya-jaxa-tva-Adi-virudDa-arTa-asamarpaNe /
   naiva tattadapohyeta tadekārthaiḥ padairiva // 170 //	na-eva tat-tat-apohyeta tad-eka-arTEH padEH-iva // 170 //
   dūṣaṇāntaramāhakiñceti /	dUzaNa-antaram-AhakiQca-iti /
   jaḍādivyāvartakadharmabodhanamantarā jaḍādivyāvṛttirna pratipādayituṃ	jaxa-Adi-vyAvartaka-Darma-boDanam-antarA jaxa-Adi-vyAvRttiH-na pratipAdayitum
   śakyate satyādipadairjaḍādiparyāyapadairiveti	Sakyate satya-Adi-padEH-jaxa-Adi-paryAya-padEH-iva-iti
   vyāvartakadharmabodhakatvamavarjanīyam /	vyAvartaka-Darma-boDaka-tvam-avarjanIyam /
   tathāca tairdharmaiḥ saviśeṣatvaṃ brahmaṇo durvāramityarthaḥ /	taTA-ca tEH-DarmEH sa-viSeza-tvam brahmaNaH durvAram-iti-arTaH /
   tattat-jaḍatvādi, apohyeta-vyāvartyeta // 170 //	tad-tat-jaxa-tva-Adi, apohyeta--vyAvartyeta // 170 //
   pratiyogini dṛśye tu yā bhāvāntaramātradhīḥ /	pratiyogini dRSye tu yAH BAva-antara-mAtra-DIH /
   saivābhāva itīhāpi sadbhiste sadvitīyatā // 171 //	sA-eva-aBAvaH iti-iha-api sadBiH-te sa-dvitIya-tA // 171 //
   ( iti saviśeṣatvopapādanena saṃvido nirviśeṣatvanirasanam ) nanu	( iti sa-viSeza-tva-upapAdanena saMvidaH nirviSeza-tva-nirasanam ) nanu
   vyāvartakadharmavattvaṃ na bodhyate /	vyAvartaka-Darmavat-tvam na boDyate /
   kintu jaḍādivyāvṛttirūpatvameva bodhyate jñānādipadairbrahmaṇaḥ /	kintu jaxa-Adi-vyAvRtti-rUpa-tvam-eva boDyate jQAna-Adi-padEH-brahmaNaH /
   tanna jaḍatvādiprasaṅga iti cettatrāhapratiyoginīti /	tat-na jaxa-tva-Adi-prasaFgaH iti ced-tatrAha-pratiyoginI-iti /
   yogye pratiyoginyanupalabhyamāne 'dhikaraṇamātrajñānameva tadabhāva iti	yogye pratiyoginI-anupalaByamAne aDikaraNa-mAtra-jQAnam-eva tad-aBAvaH iti
   jñānaviśeṣarūpatvādabhāvasya jñānaviśeṣarūpaiḥ	jQAna-viSeza-rUpa-tvAt-aBAvasya jQAna-viSeza-rUpEH
   satyādipadalakṣyārthairabhāvairbhāvarūpaiḥ saviśeṣatā brahmaṇaḥ prasajyata	satya-Adi-pada-lakzya-arTEH-aBAvEH-BAva-rUpEH sa-viSeza-tA brahmaNaH prasajyata
   ityarthaḥ /	iti-arTaH /
   abhāvasya jñānaviśeṣarūpatvamiti mataviśeṣeṇedam /	aBAvasya jQAna-viSeza-rUpa-tvam-iti mata-viSezeNa-idam /
   yadvā bhāvāntaramātradhīriti upalabhyamānaṃ bhāvāntaramityarthe	yat-vA BAva-antara-mAtra-DIH-iti upalaByamAnam BAva-antaram-iti-arTe
   paryavasannam /	paryavasannam /
   yogye pratiyoginyanupalabhyamāne tatrādhikaraṇe yadbhāvāntaramupalabhyate	yogye pratiyogini-anupalaByamAne tatra-aDikaraNe yat-BAva-antaram-upalaByate
   tadeva pratiyogivyapekṣayābhāvavyapadeśabhāgiti	tat-eva pratiyogi-vyapekzayA-aBAva-vyapadeSa-BAj-iti
   adhikaraṇavṛttidharmāntararūpatvādabhāvānāṃ taiḥ saviśeṣatvaṃ prasajyata	aDikaraNa-vRtti-Darma-antara-rUpa-tvAt-aBAvAnAm tEH sa-viSeza-tvam prasajyata
   iti bhāvaḥ /	iti BAvaH /
   dvavye 'bhāvo dharmarūpaḥ /	dvavye aBAvaH Darma-rUpaH /
   dharmasya tu svaparanirvāhakatvena svarūpamevābhāvaḥ, sati sambhave	Darmasya tu sva-para-nirvAhaka-tvena svarUpam-eva-aBAvaH, sati samBave
   dharmāntaraṃ veti yathopalambhaṃ vyavasthā /	Darma-antaram vA-iti yaTA-upalamBam vyavasTA /
   yasmin pratīyamāne itarāropo na ghaṭate, tasyaiva tadabhāvarūpatvam /	yasmin pratIyamAne itara-AropaH na Gawate, tasya-eva tad-aBAva-rUpa-tvam /
   satsvarūpe pratīyamāna eva bhedānāmadhyāsācca tatra tasyaiva	sat-svarUpe pratIyamAnaH eva BedAnAm-aDyAsAt-ca tatra tasya-eva
   netarābhāvarūpatvaṃ sambhavi /	na-itara-aBAva-rUpa-tvam samBavi /
   na cāvidyayāviśadaṃ bhāsamāne sati bhedabhramaḥ /	na ca-avidyayA-viSadam BAsamAne sati Beda-BramaH /
   avidyānivṛtau viśadaṃ bhāsamāne tu na sa iti viśadasvarūpasyābhāvarūpatvaṃ	avidyA-nivRtO viSadam BAsamAne tu na saH iti viSada-svarUpasya-aBAva-rUpa-tvam
   sambhavatīti vācyam /	samBavati-iti vAcyam /
   vaiśadyasya svarūpatve pūrvamapyavidyādibhedāropāyogāt /	vESadyasya svarUpa-tve pUrvam-api-avidyA-Adi-Beda-AropAyogAt /
   svarūpātiriktatve tu tasyaivābhāvarūpatvaṃ na svarūpasyeti prasaṅgāt /	svarUpa-atirikta-tve tu tasya-eva-aBAva-rUpa-tvam na svarUpasya-iti prasaFgAt /
   kiñca nirviśeṣe svaprakāśe vastuni viśādāviśadabhānameva durvacam /	kiQca nirviSeze sva-prakASe vastuni viSAda-aviSadaBAnam-eva durvacam /
   saviśeṣe tu katipayākāreṇa bhānamaviśadam , sarvākārabhānaṃ viśadamiti	sa-viSeze tu katipaya-AkAreNa BAnam-aviSadam , sarva-AkAra-BAnam viSadam-iti
   viśeṣaḥ /	viSezaH /
   kiñca brahmaṇo dravyatve sadharmakatvam , adravyatve tu	kiQca brahmaNaH dravya-tve sa-Darmaka-tvam , adravya-tve tu
   kasyaciddharmarūpatvaṃ prasajyate /	kasyacid-Darma-rUpa-tvam prasajyate /
   dravyādravyavilakṣaṇatvaṃ tu na sambhavītyādikamanusandheyamatra /	dravya-adravya-vilakzaNa-tvam tu na samBavi-iti-Adikam-anusanDA-iyam-atra /
   ihāpītyapinā satyādipadānāmapohalakṣaṇāyāmapi na nirviśeṣatvasiddhiḥ /	iha-api-iti-apinA satya-Adi-padAnAm-apoha-lakzaNAyAm-api na nirviSeza-tva-sidDiH /
   lakṣaṇākalpanāyāsa eva viśiṣyaca iti dyotyate /	lakzaNa-AkalpanAyAsaH eva viSizya-caH iti dyotyate /
   evamapoharūpāṇāmapi satyatvādīnāṃ sadasadanirvacanīyatvaṃ nirastam // 171	evam-apoha-rUpANAm-api satya-tva-AdInAm sat-asat-anirvacanIya-tvam nirastam // 171
   bhūtabhautikabhedānāṃ sadasadvyatirekitā /	BUta-BOtika-BedAnAm sat-asat-vyatirekitAH /
   kuto 'vasīyate kiṃ nu pratyakṣāderutāgamāt // 172 //	kutas avasIyate kim nu pratyakza-aderuta-AgamAt // 172 //
   pratyakṣādīni mānāni svasvamarthaṃ yathāyatham /	pratyakza-AdIni mAnAni sva-svam-arTam yaTAyaTam /
   vyavacchindanti jāyanta iti yā (tā) vat svasākṣikam // 173 //	vyavacCindanti jAyante iti yA (tA) vat sva-sAkzikam // 173 //
   atha prapañcasyāpi prasaṅgātsadasadanirvacanīyatvaṃ paramataṃ nirasyati	aTa prapaQcasya-api prasaFgAt-sat-asat-anirvacanIya-tvam para-matam nirasyati
   bhūte tyādinā /	BUte tyAdinA /
   pratyakṣādīnī ti /	pratyakza-AdInI ti /
   svasvaprameyaṃ yathāyathaṃ tattadasādhāraṇākārato	sva-sva-prameyam yaTAyaTam tad-tad-asADAraNa-AkArataH-
   vijātīyasajātīyāntaravyattamavagamayanti pratyakṣādīnīti prasiddham /	vijAtIyasa-jAtIya-antara-vyattam-avagamayanti pratyakza-AdIni-iti prasidDam /
   tadasādhāraṇākāreṇa sadbhāva eva vastūnāṃ pramāṇānitāni , na tu	tat-asADAraNa-AkAreNa sadBAvaH eva vastUnAm pramANa-anitAni , na tu
   sadasadanirvacanīyatva iti bhāvaḥ // 172 // 173 //	sat-asat-anirvacanIya-tvaH iti BAvaH // 172 // 173 //
   yathāgrataḥ sthite nīle nīlimānyakathā na, dhīḥ /	yaTA-agratas sTite nIle nIlimAnya-kaTA na, DIH /
   ekākārā , na hi tathā sphaṭike dhavake matiḥ // 174 //	eka-AkArA , na hi taTA sPawike Davake matiH // 174 //
   kṣīre madhuradhīryādṛk naiva nibhbakaṣāyadhīḥ /	kzIre maDura-DIryAdRS na-eva niBba-kazAya-DIH /
   vyāvahārāśca niyatāḥ sarve laukikavaidikāḥ // 175 //	vyAvahArAH-ca niyatAH sarve lOkika-vEdikAH // 175 //
   etadevopapādayati yatheti /	etat-eva-upapAdayati yaTA-iti /
   nīle nīlamatiḥ , sphaṭike dhavalamatiśca naikaviṣayā , kintu	nIle nIla-matiH , sPawike Davala-matiH-ca na-eka-vizayAH , kintu
   parasparavyāvṛttaguṇaviṣayaiva ; tathā kṣīre madhuradhīḥ , nimbe	paraspara-vyAvRtta-guNa-vizaya-eva ; taTA kzIre maDura-DIH , nimbe
   kaṣāyadhīśca /	kazAya-DIH-ca /
   tathā cārthabhedālambanatvaṃ jñānānāṃ sthitamiti bhāvaḥ /	taTA ca-arTa-Beda-Alambana-tvam jQAnAnAm sTitam-iti BAvaH /
   nīle nīlabuddhirekākārā ekaviṣayā /	nIle nIla-budDiH-eka-AkArAH eka-vizayAH /
   tatra nīle na nīlānyaguṇaprasaṅgaḥ /	tatra nIle na nIla-ani-aguNa-prasaFgaH /
   dhavalamatistu tato bhidyate bhinnākāretyarthaḥ /	Davala-matiH-tu tatas Bidyate Binna-AkAra-iti-arTaH /
   naivetyasyāgre tādṛgiti ākṣipyate /	na-eva-iti-asya-agre tAdRS-iti Akzipyate /
   naivamiti vā pāṭhaḥ syāt /	na-evam-iti vA pAWaH syAt /
   tattadvastvasādhāraṇākārabhede 'bādhitapratītimuktvā vyavahāramapi	tad-tad-vastu-asA-DAraNa-AkAra-Bede abADita-pratItim-uktvA vyavahAram-api
   tādṛśamupanyasyati pramāṇatayā vyavahārā iti /	tAdRSam-upanyasyati pramANa-tayA vyavahArAH iti /
   abādhitapratyakṣādipramāṇatanmūlavyavahārabalādvastūnāṃ	abADita-pratyakza-Adi-pramANa-tad-mUla-vyavahAra-balAt-vastUnAm
   tattadasādhāraṇākāreṇa sattvamevopeyamiti bhāvaḥ // 174 // 175 //	tad-tad-asADAraNa-AkAreNa sattvam-eva-upeyam-iti BAvaH // 174 // 175 //
   satyaṃ pratītirastyasyā mūlaṃ nāstīti cenna tat /	satyam pratItiH-asti-asyAH mUlam na-asti-iti ced-na tat /
