   devadeva uvāca	devadevaH uvAca
   pāṃśavo 'pi kurukṣetre vāyunā samudīritāḥ /	pAMSavaH api kurukzetre vAyunA samudIritAH /
   mahāduṣkṛtakarmāṇaṃ prayānti paramaṃ padam // VamPSm_24.23 //	mahA-duzkRta-karmANam prayAnti paramam padam // VamPSm_24.23 //
   ajñānājjñānato vāpi striyo vā puruṣasya vā /	ajQAnAt-jQAnataH vA-api striyaH vA puruzasya vA /
   naśyate duṣkṛtaṃ sarvaṃ sthāṇutīrthaprabhāvataḥ // VamPSm_24.24 //	naSyate duzkRtam sarvam sTANutIrTa-praBAvataH // VamPSm_24.24 //
   liṅgasya darśanānmuktiḥ sparśanācca vaṭasya ca /	liFgasya darSanAt-muktiH sparSanAt-ca vawasya ca /
   tatsaṃnidhau jale snātvā prāpnotyabhimataṃ phalam // VamPSm_24.25 //	tad-saMniDO jale snAtvA prApnoti-aBimatam Palam // VamPSm_24.25 //
   pitṛṇāṃ tarpaṇaṃ yastu jale tasmin kariṣyati /	pitRNAm tarpaNam yaH-tu jale tasmin karizyati /
   bindo bindau tu toyasya anantaphalabhāgbhavet // VamPSm_24.26 //	bindaH bindO tu toyasya ananta-Pala-BAj-Bavet // VamPSm_24.26 //
   yastu kṛṣṇatilaiḥ sārddha liṅgasya paścime sthitaḥ /	yaH-tu kRzNa-tilEH sArdDa liFgasya paScime sTitaH /
   tarpayecchraddhayā yuktaḥ sa prīṇāti yugatrayam // VamPSm_24.27 //	tarpayet-SradDayA yuktaH sa prINAti yuga-trayam // VamPSm_24.27 //
   yāvanmanvantaraṃ proktaṃ yāvalliṅgasya saṃsthitiḥ /	yAvat-manvantaram proktam yAvat-liFgasya saMsTitiH /
   tāpatprītāśca pitaraḥ pibanti jalamuttamam // VamPSm_24.28 //	tApat-prItAH-ca pitaraH pibanti jalam-uttamam // VamPSm_24.28 //
   kṛte yuge sānnihatyaṃ tretāyāṃ vāyusaṃjñitam /	kRte yuge sAnnihatyam tretAyAm vAyu-saMjQitam /
   kalidvāparayormadhye kūpaṃ rudrahradaṃ smṛtam // VamPSm_24.29 //	kali-dvAparayoH-maDye kUpam rudra-hradam smRtam // VamPSm_24.29 //
   caitrasya kṛṣṇapakṣe ca caturdaśyāṃ narottamaḥ /	cEtrasya kRzNa-pakze ca caturdaSyAm nara-uttamaH /
   snātvā rudrahrade tīrthe paraṃ padamavāpnuyāt // VamPSm_24.30 //	snAtvA rudra-hrade tIrTe param padam-avApnuyAt // VamPSm_24.30 //
   yastu vaṭe sthito rātriṃ dhyāyate parameśvaram /	yaH-tu vawe sTitaH rAtrim DyAyate parameSvaram /
   sthāṇorvaṭaprasādena manasā cintitaṃ phalam // VamPSm_24.31 //	sTANoH-vawa-prasAdena manasA cintitam Palam // VamPSm_24.31 //
   iti śrīvāmanapurāṇe saromāhātmye caturviṃśo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye caturviMSaH aDyAyaH
   sanatkumāra uvāca	sanatkumAraH uvAca
   sthāṇorvaṭasyottarataḥ sukratīrthaṃ prakīrtitam /	sTANoH-vawasya-uttaratas sukratIrTam prakIrtitam /
   sthāṇorvaṭasya pūrveṇa somatīrthaṃ dvijottama // VamPSm_25.1 //	sTANoH-vawasya pUrveNa somatIrTam dvijottamaH // VamPSm_25.1 //
   sthāṇorvaṭaṃ dakṣiṇato dakṣatīrthamudāhṛtam /	sTANoH-vawam dakziNatas dakzatIrTam-udAhRtam /
   sthāṇorvaṭāt paścimataḥ skandatīrthaṃ pratiṣṭhitam // VamPSm_25.2 //	sTANoH-vawAt paScimatas skandatIrTam pratizWitam // VamPSm_25.2 //
   etāni puṇyatīrtāni madhye sthāṇuriti smṛtaḥ /	etAni puNya-tIrtAni maDye sTANuH-iti smRtaH /
   tasya darśanamātreṇa prāpnoti paramaṃ padam // VamPSm_25.3 //	tasya darSana-mAtreNa prApnoti paramam padam // VamPSm_25.3 //
   aṣṭamyāṃ ca caturdaśyāṃ yastvetāni parikramet /	azwamyAm ca caturdaSyAm yaH-tu-etAni parikramet /
   pade pade yajñaphalaṃ sa prāpnoti na śaṃśayaḥ // VamPSm_25.4 //	pade pade yajQa-Palam sa prApnoti na SaMSayaH // VamPSm_25.4 //
   etāni munibhiḥ sādhyairādityairvasubhistadā /	etAni muniBiH sADyEH-AdityEH-vasuBiH-tadA /
   marudbhirvahnibhiścaiva sevitāni prayatnataḥ // VamPSm_25.5 //	marudBiH-vahniBiH-ca-eva sevitAni prayatnataH // VamPSm_25.5 //
   anye ye prāṇinaḥ kecit praviṣṭāḥ sthāṇumuttamam /	anye ye prANinaH kecid pravizwAH sTANum-uttamam /
   sarvapāpavinirmuktāḥ prayānti paramāṃ gatim // VamPSm_25.6 //	sarva-pApa-vinirmuktAH prayAnti paramAm gatim // VamPSm_25.6 //
   asti tatsaṃnidhau liṅgaṃ devadevasya śūlinaḥ /	asti tad-saMniDO liFgam devadevasya SUlinaH /
   umā ca liṅgarūpeṇa harapārśvaṃ na muñcati // VamPSm_25.7 //	umA ca liFga-rUpeNa hara-pArSvam na muQcati // VamPSm_25.7 //
   tasya darśanamātreṇa siddhiṃ prāpnoti mānavaḥ /	tasya darSana-mAtreNa sidDim prApnoti mAnavaH /
   vaṭasya uttare pārśve takṣakeṇa mahātmanā // VamPSm_25.8 //	vawasya uttare pArSve takzakeNa mahAtmanA // VamPSm_25.8 //
   pratiṣṭhitaṃ mahāliṅgaṃ sarvakāmapradāyakam /	pratizWitam mahA-liFgam sarva-kAma-pradAyakam /
   vaṭasya pūrvadigbhāge viśvakarmakṛtaṃ mahat // VamPSm_25.9 //	vawasya pUrva-diS-BAge viSvakarma-kRtam mahat // VamPSm_25.9 //
   liṅgaṃ pratyaṅmukhaṃ dṛṣṭvā siddhimāpnoti mānavaḥ /	liFgam pratyaFmuKam dRzwvA sidDim-Apnoti mAnavaH /
   tatraiva liṅgarūpeṇa sthitā devī sarasvatī // VamPSm_25.10 //	tatra-eva liFga-rUpeNa sTitA devI sarasvatI // VamPSm_25.10 //
   praṇamya tāṃ prayatnena buddhiṃ medhāṃ ca vindati /	praNamya tAm prayatnena budDim meDAm ca vindati /
   vaṭapārśve sthitaṃ liṅgaṃ brahmaṇā tat pratiṣṭhitam // VamPSm_25.11 //	vawa-pArSve sTitam liFgam brahmaNA tat pratizWitam // VamPSm_25.11 //
   dṛṣṭvā vaṭeśvaraṃ devaṃ prayāti paramaṃ padam /	dRzwvA vaweSvaram devam prayAti paramam padam /
   tataḥ sthāṇuvaṭaṃ dṛṣṭvā kṛtvā cāpi pradakṣiṇam // VamPSm_25.12 //	tatas sTANu-vawam dRzwvA kRtvA ca-api pradakziNam // VamPSm_25.12 //
   pradikṣiṇīkṛtā tena saptadvīpā vasuṃdharā /	pradikziNIkRtA tena sapta-dvIpA vasuMDarA /
   sthāṇoḥ paścimadigbāge nakulīśo gaṇaḥ smṛtaḥ // VamPSm_25.13 //	sTANoH paScima-digbAge nakulISaH gaNaH smRtaH // VamPSm_25.13 //
   tamabhyarcya prayatnena sarvapāpaiḥ pramucyate /	tam-aByarcya prayatnena sarva-pApEH pramucyate /
   tasya dakṣiṇadigbhāge tīrthaṃ rudrakaraṃ smṛtam // VamPSm_25.14 //	tasya dakziNa-digBAge tIrTam rudra-karam smRtam // VamPSm_25.14 //
   tasmin snātaḥ sarvatīrthe snāto bhavati mānavaḥ /	tasmin snAtaH sarva-tIrTe snAtaH Bavati mAnavaH /
   tasya cottaradigbhāge rāvaṇena mahātmanā // VamPSm_25.15 //	tasya ca-uttara-diS-BAge rAvaNena mahAtmanA // VamPSm_25.15 //
   pratiṣṭhitaṃ mahāliṅgaṃ gokarṇaṃ nāma nāmataḥ /	pratizWitam mahA-liFgam gokarNam nAma nAmataH /
   āṣāḍhamāse yā kṛṣṇā bhaviṣyati caturdaśī /	AzAXa-mAse yA kRzNA Bavizyati caturdaSI /
   tasyāṃ yor'cati gokarṇaṃ tasya puṇyaphalaṃ śṛṇu // VamPSm_25.16 //	tasyAm yor-acati gokarNam tasya puNya-Palam SRNu // VamPSm_25.16 //
   kāmato 'kāmato vāpi yat pāpaṃ tena saṃcitam /	kAmataH akAmatas vA-api yat pApam tena saMcitam /
   tasmād vimucyate pāpāt pūjayitvā haraṃ śuciḥ // VamPSm_25.17 //	tasmAt vimucyate pApAt pUjayitvA haram SuciH // VamPSm_25.17 //
   kaumārabrahmacaryeṇa yatpuṇyaṃ prāpyate naraiḥ /	kOmAra-brahmacaryeNa yat-puNyam prApyate narEH /
   tatpuṇyaṃ sakalaṃ tasya aṣṭamyāṃ yor'cayecchivam // VamPSm_25.18 //	tat-puNyam sakalam tasya azwamyAm yor-acayet-Sivam // VamPSm_25.18 //
   yadīcchet paramaṃ rūpaṃ saubhāgyaṃ dhanasaṃpadaḥ /	yadi-icCet paramam rUpam sOBAgyam Dana-saMpadaH /
   kumāreśvaramāhātmyāt siddhyate nātra saṃśayaḥ / /	kumAreSvara-mAhAtmyAt sidDyate na-atra saMSayaH / /
   25.19 tasya cottaradigbāge liṅgaṃ pūjya vibhīṣaṇaḥ /	25.19 tasya ca-uttara-digbAge liFgam pUjya viBIzaNaH /
   ajaraścāmaraścaiva kalpayitvā babhūva ha // VamPSm_25.20 //	ajaraH-ca-amaraH-ca-eva kalpayitvA baBUva ha // VamPSm_25.20 //
   āṣāḍhasya tu māsasya śuklā yā cāṣṭamī bhavet /	AzAXasya tu mAsasya SuklA yA ca-azwamI Bavet /
   tasyāṃ pūjya sopavāso hyamṛtatvamavāpnuyāt // VamPSm_25.21 //	tasyAm pUjya sa-upavAsaH hi-amRta-tvam-avApnuyAt // VamPSm_25.21 //
   khareṇa pūjitaṃ liṅgaṃ tasmin sthāne dvijottama /	KareNa pUjitam liFgam tasmin sTAne dvijottamaH /
   taṃ pūjayitvā yatnena sarvakāmānavāpnuyāt // VamPSm_25.22 //	tam pUjayitvA yatnena sarva-kAmAn-avApnuyAt // VamPSm_25.22 //
   dūṣaṇastriśirāścaiva tatra pūjya maheśvaram /	dUzaNaH-triSirAH-ca-eva tatra pUjya maheSvaram /
   yathābhilaṣitān kāmānāpatustau mudānvitau // VamPSm_25.23 //	yaTA-aBilazitAn kAmAn-ApatuH-tO mudA-anvitO // VamPSm_25.23 //
   caitramāse site pakṣe yo narastatra pūjayet /	cEtra-mAse site pakze yaH naraH-tatra pUjayet /
   tasya tau varadau devau prayacchete 'bhivāñchitam // VamPSm_25.24 //	tasya tO vara-dO devO prayacCete aBivAQCitam // VamPSm_25.24 //
   sthāṇorvaṭasya pūrvoṇa hastipādeśvaraḥ śivaḥ /	sTANoH-vawasya pUrvoNa hasti-pAda-ISvaraH SivaH /
   taṃ dṛṣṭvā mucyate pāpairanyajanmani saṃbhavaiḥ // VamPSm_25.25 //	tam dRzwvA mucyate pApEH-anya-janmani saMBavEH // VamPSm_25.25 //
   tasya dakṣiṇato liṅgaṃ hārītasya ṛṣeḥ sthitam /	tasya dakziNatas liFgam hArItasya RzeH sTitam /
   yat praṇaṇya prayatnena siddhiṃ prāpnoti mānavaḥ // VamPSm_25.26 //	yat praNaNya prayatnena sidDim prApnoti mAnavaH // VamPSm_25.26 //
   tasya dakṣiṇapārśve tu vāpītasya mahātmanaḥ /	tasya dakziNa-pArSve tu vA-apItasya mahAtmanaH /
   lihgaṃ trailokyavikhyātaṃ sarvapāpaharaṃ śivam // VamPSm_25.27 //	lihgam trElokya-viKyAtam sarva-pApa-haram Sivam // VamPSm_25.27 //
   kaṅgālarūpiṇā cāpi rudreṇa sumahātmanā /	kaFgAla-rUpiNA ca-api rudreNa su-mahAtmanA /
   pratiṣṭhitaṃ mahāliṅgaṃ sarvapāpapraṇaśanam // VamPSm_25.28 //	pratizWitam mahA-liFgam sarva-pApa-praNaSanam // VamPSm_25.28 //
   bhuktidaṃ muktidaṃ proktaṃ sarvakilbiṣanāśanam /	Bukti-dam mukti-dam proktam sarva-kilbiza-nASanam /
   liṅgasya darśanāccaiva agniṣṭomaphalaṃ labhet // VamPSm_25.29 //	liFgasya darSanAt-ca-eva agnizwoma-Palam laBet // VamPSm_25.29 //
   tasya paścimadigbhāge liṅgaṃ siddhapratiṣṭhitam /	tasya paScima-digBAge liFgam sidDa-pratizWitam /
   siddheśvaraṃ tu vikhyātaṃ sarvasiddhipradāyakam // VamPSm_25.30 //	sidDeSvaram tu viKyAtam sarva-sidDi-pradAyakam // VamPSm_25.30 //
   tasya dakṣiṇadigbāge mṛkaṇḍena mahātmanā /	tasya dakziNa-digbAge mRkaNxena mahAtmanA /
   tatra pratiṣṭhitaṃ liṅgaṃ darśanāt siddhidāyakam // VamPSm_25.31 //	tatra pratizWitam liFgam darSanAt sidDi-dAyakam // VamPSm_25.31 //
   tasya pūrve ca digbhāge ādityena mahātmanā /	tasya pUrve ca digBAge Adityena mahAtmanA /
   pratiṣṭhitaṃ liṅgavaraṃ sarvakilbiṣanāśanam // VamPSm_25.32 //	pratizWitam liFga-varam sarva-kilbiza-nASanam // VamPSm_25.32 //
   citrāṅgadastu gandharvo rambhā cāpsarasāṃ varā /	citrAFgadaH-tu ganDarvaH ramBA ca-apsarasAm varAH /
   parasparaṃ sānurāgau sthāṇudarśanakāṅkṣiṇau // VamPSm_25.33 //	parasparam sa-anurAgO sTANu-darSana-kAFkziNO // VamPSm_25.33 //
   dṛṣṭvā sthāṇuṃ pūjayitvā sānurāgau parasparam /	dRzwvA sTANum pUjayitvA sa-anurAgO parasparam /
   ārādhya varadaṃ devaṃ pratiṣṭhāpya maheśvaram // VamPSm_25.34 //	ArADya vara-dam devam pratizWApya maheSvaram // VamPSm_25.34 //
   citrāṅgadeśvaraṃ dṛṣṭvā tathā rambheśvaraṃ dvija /	citrAFgadeSvaram dRzwvA taTA ramBeSvaram dvija /
   subhago darśanīyaśca kule janma samāpnuyāt // VamPSm_25.35 //	suBagaH darSanIyaH-ca kule janma samApnuyAt // VamPSm_25.35 //
   tasya dabhiṇato liṅgaṃ vajriṇā sthāpitaṃ purā /	tasya daBiNatas liFgam vajriNA sTApitam purA /
   tasya prasādāt prāpnoti manasā cintitaṃ phalam // VamPSm_25.36 //	tasya prasAdAt prApnoti manasA cintitam Palam // VamPSm_25.36 //
   parāśareṇa muninā tataivārādhya śaṅkaram /	parASareNa muninA tatA-eva-ArADya SaFkaram /
   prāptaṃ kavitvaṃ paramaṃ darśanācchaṅkarasya ca // VamPSm_25.37 //	prAptam kavi-tvam paramam darSanAt-SaFkarasya ca // VamPSm_25.37 //
   vedavyāsena muninā ārādhya parameśvaram /	vedavyAsena muninA ArADya parameSvaram /
   sarvajñatvaṃ brahmajñānaṃ prāptaṃ devaprasādataḥ // VamPSm_25.38 //	sarvajQa-tvam brahma-jQAnam prAptam deva-prasAdataH // VamPSm_25.38 //
   sthāṇoḥ paścimadigbhāge vāyunā jagadāyunā /	sTANoH paScima-digBAge vAyunA jagat-AyunA /
   pratiṣṭhitaṃ mahāliṅgaṃ darśanāt pāpanāśanam // VamPSm_25.39 //	pratizWitam mahA-liFgam darSanAt pApa-nASanam // VamPSm_25.39 //
   tasyāpi dakṣiṇe bhāge liṅgaṃ himavateśvaram /	tasya-api dakziNe BAge liFgam himavateSvaram /
   pratiṣṭhitaṃ puṇyakṛtāṃ darśanāt siddhikārakam // VamPSm_25.40 //	pratizWitam puNya-kRtAm darSanAt sidDi-kArakam // VamPSm_25.40 //
   tasyāpi paścime bhāge kārtavīryeṇa sthāpitam /	tasya-api paScime BAge kArtavIryeNa sTApitam /
   liṅgaṃ pāpaharaṃ sadyo kārtanāt puṇyamāpnuyāt // VamPSm_25.41 //	liFgam pApa-haram sadyas kArtanAt puNyam-ApnuyAt // VamPSm_25.41 //
   tasyāpyuttaradigbhāgo supārśve sthāpitaṃ punaḥ /	tasya-api-uttara-diS-BAgaH supArSve sTApitam punar /
   ārādhya hanumāṃścāpa siddhiṃ devaprasādataḥ // VamPSm_25.42 //	ArADya hanumAn=-ca-apa sidDim deva-prasAdataH // VamPSm_25.42 //
   tasyaiva pūrvadigbhāge viṣṇunā prabhaviṣṇunā /	tasya-eva pUrva-diS-BAge vizNunA praBavizNunA /
   ārādhya varadaṃ devaṃ cakraṃ labdhaṃ sudarśanam // VamPSm_25.43 //	ArADya vara-dam devam cakram labDam sudarSanam // VamPSm_25.43 //
   tasyāpi pūrvādighbhāge mitreṇa varuṇena ca /	tasya-api pUrva-Adi-GBAge mitreNa varuNena ca /
   pratiṣṭhitau liṅgavarau sarvakāmapradāyakau // VamPSm_25.44 //	pratizWitO liFga-varO sarva-kAma-pradAyakO // VamPSm_25.44 //
   etāni munibhiḥ sādhyairādityairvasubhistathā /	etAni muniBiH sADyEH-AdityEH-vasuBiH-taTA /
   sevitāni prayatnena sarvapāpaharāṇi vai // VamPSm_25.45 //	sevitAni prayatnena sarva-pApa-harANi vE // VamPSm_25.45 //
   kharṇaliṅgasya paścāttu ṛṣibhistattvadarśibhiḥ /	KarNa-liFgasya paScAt-tu RziBiH-tattva-darSiBiH /
   pratiṣṭhitāni liṅgāni yeṣāṃ saṃkhyā na vidyate // VamPSm_25.46 //	pratizWitAni liFgAni yezAm saMKyA na vidyate // VamPSm_25.46 //
   tathā hyuttaratastasya yāvadoghavatī nadī /	taTA hi-uttaratas-tasya yAvat-oGavatI nadI /
   sahasramekaṃ liṅgānāṃ devapaścimataḥ sthitam // VamPSm_25.47 //	sahasram-ekam liFgAnAm deva-paScimataH sTitam // VamPSm_25.47 //
   tasyāpi pūrvadigbhāge bālakhilyairmahātmabhiḥ /	tasya-api pUrva-diS-BAge bAlaKilyEH-mahAtmaBiH /
   pratiṣṭhitā rudrakoṭiryāvatsaṃnihitaṃ saraḥ // VamPSm_25.48 //	pratizWitAH rudra-kowiH-yAvat-saMnihitam saraH // VamPSm_25.48 //
   dakṣiṇena tu devasya gandharvairyakṣakinnaraiḥ /	dakziNena tu devasya ganDarvEH-yakza-kinnarEH /
   pratiṣṭhitāni liṅgāni yeṣāṃ saṃkhyā na vidyate // VamPSm_25.49 //	pratizWitAni liFgAni yezAm saMKyA na vidyate // VamPSm_25.49 //
   tisraḥ koṭyor'dhakoṭī ca liṅgānāṃ vāyurabravīt /	tisraH kowyoH-aDakowI ca liFgAnAm vAyuH-abravIt /
   asaṃkhyātāḥ sahasrāṇi ye rudrāḥ sthāṇumāśritāḥ // VamPSm_25.50 //	asaMKyAtAH sahasrANi ye rudrAH sTANum-ASritAH // VamPSm_25.50 //
   etajjñātvā śraddadhānaḥ sthāṇuliṅgaṃ samāśrayet /	etat-jQAtvA SraddaDAnaH sTANu-liFgam samASrayet /
   yasya prasādāt prāpnoti manasā cintitaṃ phalam // VamPSm_25.51 //	yasya prasAdAt prApnoti manasA cintitam Palam // VamPSm_25.51 //
   akāmo vā sakāmo vā praviṣṭaḥ sthāṇumandiram /	akAmaH vA sa-kAmaH vA pravizwaH sTANu-mandiram /
   vimuktaḥ pātakairghoraiḥ prāpnoti paramaṃ padam // VamPSm_25.52 //	vimuktaH pAtakEH-GorEH prApnoti paramam padam // VamPSm_25.52 //
   caitre māse trayodaśyāṃ divyanakṣatrayogataḥ /	cEtre mAse trayodaSyAm divya-nakzatra-yogataH /
   śukrārkacandrasaṃyoge dine puṇyatame śubhe // VamPSm_25.53 //	Sukra-arka-candra-saMyoge dine puNyatame SuBe // VamPSm_25.53 //
   pratiṣṭhitaṃ sthāṇuliṅgaṃ brahmaṇā lokadhāriṇā /	pratizWitam sTANu-liFgam brahmaNA loka-DAriNA /
   ṛṣibhirdevasaṃghaiśca pūjitaṃ śāśvatīḥ samāḥ // VamPSm_25.54 //	RziBiH-deva-saMGEH-ca pUjitam SASvatIH samAH // VamPSm_25.54 //
   tasmin kāle nirāhārā mānavāḥ śraddhayānvitāḥ /	tasmin kAle nirAhArAH mAnavAH SradDayA-anvitAH /
   pūjayanti śivaṃ ye vai te yānti paramaṃ padam // VamPSm_25.55 //	pUjayanti Sivam ye vE te yAnti paramam padam // VamPSm_25.55 //
   tadārūḍhamidaṃ jñātvā ye kurvanti pradakṣiṇam /	tad-ArUXam-idam jQAtvA ye kurvanti pradakziNam /
   pradakṣiṇīkṛtā taistu saptadvīpā vasuṃdharā // VamPSm_25.56 //	pradakziNIkRtA tEH-tu sapta-dvIpA vasuMDarAH // VamPSm_25.56 //
   iti śrīvāmanapurāṇe saromāhātmye pañcaviśo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye paQcaviSaH aDyAyaH
   mārkaṇḍeya uvāca	mArkaNxeyaH uvAca
   sthāṇutīrthaprabhāvaṃ tu śrotumicchāmyahaṃ mune /	sTANutIrTa-praBAvam tu Srotum-icCAmi-aham mune /
   kena siddhiratha prāptā sarvapāpabhayāpahā // VamPSm_26.1 //	kena sidDiH-aTa prAptA sarva-pApa-Baya-apahAH // VamPSm_26.1 //
   sanatkumāra uvāca/	sanatkumAraH uvAca/
   śṛṇu sarvamaśeṣeṇa sthāṇumāhātmyamuttamam /	SRNu sarvam-aSezeNa sTANu-mAhAtmyam-uttamam /
   yacchrutvā sarvapāpebhyo mukto bhavati mānavaḥ // VamPSm_26.2 //	yat-SrutvA sarva-pApeByaH muktaH Bavati mAnavaH // VamPSm_26.2 //
   ekārṇave jagatyasmin naṣṭe sthāvarajaṅgame /	ekArNave jagati-asmin nazwe sTAvara-jaFgame /
   viṣṇornābhisamudbhūtaṃ padmamavyaktajanmanaḥ /	vizNoH-na-aBi-samudBUtam padmam-avyakta-janmanaH /
   tasmin brahma samudbhūtaṃ sarvalokapitāmahaḥ // VamPSm_26.3 //	tasmin brahma samudBUtam sarva-loka-pitAmahaH // VamPSm_26.3 //
   tasmānmarīcirabhavanmarīceḥ kaśyapaḥ sutaḥ /	tasmAt-marIciH-aBavat-marIceH kaSyapaH sutaH /
   kaśyapādabhavad bhāsvāṃstamānmanurajāyata // VamPSm_26.4 //	kaSyapAt-aBavat BAsvAn=-tamAt-manurajAyata // VamPSm_26.4 //
   manostu kṣuvataḥ putra utpanno mukhasaṃbhavaḥ /	manoH-tu kzuvataH putraH utpannaH muKa-saMBavaH /
   pṛthivyāṃ caturantāyāṃ rājāsīd dharmarakṣitā // VamPSm_26.5 //	pRTivyAm catur-antAyAm rAjA-AsIt Darma-rakzitAH // VamPSm_26.5 //
   tasya patnī babhūvātha bhayā nāma bhayāvahā /	tasya patnI baBUva-aTa BayAH nAma Baya-AvahA /
   mṛtyoḥ sakāśādutpannā kālasya duhitā tadā // VamPSm_26.6 //	mRtyoH sakASAt-utpannA kAlasya duhitA tadA // VamPSm_26.6 //
   tasyāṃ samabhavad veno durātmā vedanindakaḥ /	tasyAm samaBavat venaH durAtmA veda-nindakaH /
   sa dṛṣṭvā putravadanaṃ kruddho rājā vanaṃ yayau // VamPSm_26.7 //	sa dRzwvA putra-vadanam krudDaH rAjA vanam yayO // VamPSm_26.7 //
   tatra kṛtvā tapo ghoraṃ dharmeṇāvṛtya rodasī /	tatra kRtvA tapaH Goram DarmeNa-AvRtya rodasI /
   prāptavān brahmasadanaṃ puranāvṛttidurvabham // VamPSm_26.8 //	prAptavAn brahma-sadanam puranAvRtti-durvaBam // VamPSm_26.8 //
   veno rājā samabhavat samaste kṣitimaṇḍale /	venaH rAjA samaBavat samaste kziti-maNxale /
   sa mātāmahadoṣeṇa tena kālātmajātmajaḥ // VamPSm_26.9 //	sa mAtAmaha-dozeNa tena kAla-Atmaja-AtmajaH // VamPSm_26.9 //
   ghoṣayāmasa nagare durātmā vedanindakaḥ /	GozayAmasa nagare durAtmA veda-nindakaH /
   na dātavyaṃ na yaṣṭavyaṃ na hotavyaṃ kadācana // VamPSm_26.10 //	na dAtavyam na yazwavyam na hotavyam kadAcana // VamPSm_26.10 //
   ahameko 'tra vai vandyaḥ pūjyo 'haṃ bhavatāṃ sadā /	aham-ekaH atra vE vandyaH pUjyaH aham BavatAm sadA /
   mayā hi pālitā yūyaṃ nivasadhvaṃ yathāsukham // VamPSm_26.11 //	mayA hi pAlitAH yUyam nivasaDvam yaTAsuKam // VamPSm_26.11 //
   tanmatto 'nyo na devo 'sti yuṣmākaṃ yaḥ parāyaṇam /	tad-mattaH anyaH na devaH asti yuzmAkam yaH parAyaNam /
   etacchratvā tu vacanamṛṣayaḥ sarva eva te // VamPSm_26.12 //	etat-SratvA tu vacanam-RzayaH sarve eva te // VamPSm_26.12 //
   parasparaṃ samāgamya rājānaṃ vākyamabravan /	parasparam samAgamya rAjAnam vAkyam-abravan /
   śrutiḥ pramāṇaṃ dharmasya tato yajñaḥ pratiṣṭhitaḥ // VamPSm_26.13 //	SrutiH pramANam Darmasya tatas yajQaH pratizWitaH // VamPSm_26.13 //
   yajñairvinā no prīyante devāḥ svarganivāsinaḥ /	yajQEH-vinA no prIyante devAH svarga-nivAsinaH /
   aprītā na prayacchanti vṛṣṭiṃ sasyasya vṛddhaye // VamPSm_26.14 //	aprItAH na prayacCanti vRzwim sasyasya vRdDaye // VamPSm_26.14 //
   tasmād yajñaiśca devaiśca dhāryate sacarācaram /	tasmAt yajQEH-ca devEH-ca DAryate sacarAcaram /
   etacchrutvā krodhadṛṣṭirvenaḥ prāha punaḥ punaḥ // VamPSm_26.15 //	etat-SrutvA kroDa-dRzwiH-venaH prAha punar punar // VamPSm_26.15 //
   na yaṣṭavyaṃ na dātavyamityāha krodhamūrcchitaḥ /	na yazwavyam na dAtavyam-iti-Aha kroDa-mUrcCitaH /
   tataḥ krodhasamāviṣṭā ṛṣayaḥ sarva eva te // VamPSm_26.16 //	tatas kroDa-samAvizwAH RzayaH sarve eva te // VamPSm_26.16 //
   nijaghnurmantrapūtaiste kuśairvajrasamanvitaiḥ /	nijaGnuH-mantra-pUtEH-te kuSEH-vajra-samanvitEH /
   tatastvarājake loke tamasā saṃvṛte tadā // VamPSm_26.17 //	tatas-tu-arAjake loke tamasA saMvRte tadA // VamPSm_26.17 //
   dasyubhiḥ pīḍyamānāstān ṛṣīṃste śaraṇaṃ yayuḥ /	dasyuBiH pIxyamAnAH-tAn RzIn=-te SaraNam yayuH /
   tataste ṛṣayaḥ sarve mamanthustasya vai karam // VamPSm_26.18 //	tatas-te RzayaH sarve mamanTuH-tasya vE karam // VamPSm_26.18 //
   savyaṃ tasmāt samuttasthau puruṣo hrasvadarśanaḥ /	savyam tasmAt samuttasTO puruzaH hrasva-darSanaH /
   tamūcurṛṣayaḥ sarve niṣīdatu bhavāniti // VamPSm_26.19 //	tam-UcuH-RzayaH sarve nizIdatu BavAn-iti // VamPSm_26.19 //
   tasmānniṣādā utpannā venakalmaṣasaṃbhavāḥ /	tasmAt-nizAdAH utpannAH vena-kalmaza-saMBavAH /
   tataste ṛṣayaḥ sarve manmathurdakṣiṇaṃ karam // VamPSm_26.20 //	tatas-te RzayaH sarve mad-maTuH-dakziNam karam // VamPSm_26.20 //
   mathyamāne kare tasmin utpannaḥ puruṣo 'paraḥ /	maTyamAne kare tasmin utpannaH puruzaH aparaH /
   bṛhatsālapratīkāśo divyalakṣaṇalakṣitaḥ // VamPSm_26.21 //	bRhatsAla-pratIkASaH divya-lakzaNa-lakzitaH // VamPSm_26.21 //
   dhanurbāṇāṅkitakaraścaścakradhvasamanvitaḥ /	DanuH-bANa-aFkita-karaH-caH-cakra-Dvasam-anvitaH /
   tamutpannaṃ tadā dṛṣṭvā sarve devāḥ savāsavāḥ // VamPSm_26.22 //	tam-utpannam tadA dRzwvA sarve devAH sa-vAsavAH // VamPSm_26.22 //
   abhyaṣiñcan pṛthivyāṃ taṃ rājānaṃ bhūmipālakam /	aByaziQcan pRTivyAm tam rAjAnam BUmipAlakam /
