   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   nīrapūrṇamukho dhauti bṛhanmānena yo 'kṣiṇī /	nIra pUrNa muKaH DOti bRhat mAnena yaH akziNI /
   prabhāte netrarogaiśca nityaṃ sarvaiḥ pramucyate // GarP_1,177.15 //	praBAte netra rogEH ca nityam sarvEH pramucyate // GarP_1,177.15 //
   śuklairaṇḍasya mūlena patreṇāpi prasādhitam /	Sukla eraNxasya mUlena patreNa api prasADitam /
   chagadagdhasekamauṣṇyāccakṣuṣorvātaśalanat // GarP_1,177.16 //	Caga dagDa sekam OzNyAt cakzuzoH vAta Salanat // GarP_1,177.16 //
   candanaṃ saindhavaṃ vṛddhapālāśaśca harītakī /	candanam sEnDavam vRdDa pAlASaH ca harItakI /
   paṭalaṃ kusumaṃ nīlī ca (va) krikāṃ harate 'ñjanam // GarP_1,177.17 //	pawalam kusumam nIlI ca (va) krikAm harate aQjanam // GarP_1,177.17 //
   guñjāmūlaṃ chāgamūtre ghṛṣṭaṃ timiranucca tat raupyatāmrasuvarṇānāṃ	guQjA mUlam CAga mUtre GRzwam timira nud ca tat rOpya tAmra suvarNAnAm
   hastaghṛṣṭaśalākayā // GarP_1,177.18 //	hasta GRzwa SalAkayA // GarP_1,177.18 //
   ghṛṣṭamudvartanaṃ rudra kāmalāvyādhināśanam /	GRzwam udvartanam rudra kAmalA vyADi nASanam /
   ghoṣāphalamapāghrātaṃ pītakāmalanāśanam // GarP_1,177.19 //	GozA Palam apAGrAtam pItakAmala nASanam // GarP_1,177.19 //
   dūrvādāḍimapuṣpaṃ tu alaktakaharītakī /	dUrvA dAxima puzpam tu alaktaka harItakI /
   nāsārśavātaraktanunnasyādvai svarasena hi // GarP_1,177.20 //	nAsArSa vAta rakta nunnasyAt vE svarasena hi // GarP_1,177.20 //
   āpiṣṭvā jāṅgalī mū (tū) laṃ tadrasena vṛṣadhvaja /	ApizwvA jAFgalI mU (tU) lam tad rasena vRzaDvaja /
   nasyādārādvinaśyeta nāśārśo nīlalohita // GarP_1,177.21 //	nasya AdArAt vinaSyeta nASArSaH nIlalohitaH // GarP_1,177.21 //
   gavyaṃ ghṛtaṃ sarjarasaṃ rudra dhanyākasaindhavam /	gavyam GRtam sarjarasam rudra DanyAka sEnDavam /
   dhuttūrakaṃ gairikaṃ ca etaiḥ sādhitasikthakam // GarP_1,177.22 //	DuttUrakam gErikam ca etEH sADita sikTakam // GarP_1,177.22 //
   satailaṃ vraṇanutsyācca sphuṭitoddhaṭitādhare /	sa tElam vraNa nud syAt ca sPuwita udDawita aDare /
   jātīpatraṃ ca carvitvā vidhṛtaṃ mukharoganut // GarP_1,177.23 //	jAtI patram ca carvitvA viDRtam muKa roga nud // GarP_1,177.23 //
   bhakṣātkesarabījasya dantāḥ syuścalitāḥsthirāḥ /	BakzAt kesara bIjasya dantAH syuH calitAH sTirAH /
   muṣṭakaṃ kuṣṭhamelā ca yaṣṭikaṃ madhuvālakam // GarP_1,177.24 //	muzwakam kuzWam elA ca yazwikam maDuvAlakam // GarP_1,177.24 //
   dhanyākametadadanānmukhadurgandhanuddhara /	DanyAkam etadadanAt muKa durganDa nud Dara /
   kaṣāyaṃ kaṭukaṃ vāpi tiktaśākasya bhakṣaṇāt // GarP_1,177.25 //	kazAyam kawukam vA api tiktaSAkasya BakzaNAt // GarP_1,177.25 //
   talayuktasya nityaṃ syānmukhadurgandhatākṣayaḥ /	tala yuktasya nityam syAt muKa durganDa tA kzayaH /
   dantavraṇāni sarvāṇi kṣayaṃ gacchantyanena tu // GarP_1,177.26 //	danta vraNAni sarvANi kzayam gacCanti anena tu // GarP_1,177.26 //
   kāñjikasya satailasya gaṇḍūṣakavalāsthitiḥ /	kAQjikasya sa tElasya gaNxUza kavala AsTitiH /
   tāmbūlacūrṇadagdhasya mukhasya vyādhinucchiva ! // GarP_1,177.27 //	tAmbUla cUrNa dagDasya muKasya vyADinucCiva ! // GarP_1,177.27 //
   parityaktaśleṣmaṇaśca śuṇṭhīcarvaṇato yathā /	parityakta SlezmaNaH ca SuNWI carvaNataH yaTA /
   mātuluṅgadalānyelā yaṣṭī madhu ca pippalī // GarP_1,177.28 //	mAtuluFga dalAni elA yazwI maDu ca pippalI // GarP_1,177.28 //
   jātīpatramathaiṣāṃ ca cūrṇaṃ līḍhvā tathā kṛtam /	jAtI patram aTa ezAm ca cUrNam lIXvA taTA kRtam /
   śephālikajaṭāyāśca carvaṇaṃ galaśuṇṭhinut // GarP_1,177.29 //	SePAlika jawAyAH ca carvaNam gala SuNWi nud // GarP_1,177.29 //
   nāsāśirāraktakarṣānnaśyecchaṃśakara jihvikā /	nAsA SirA rakta karzAt naSyet SaMSa kara jihvikA /
   rasaḥ śirīṣabījānāṃ haridrāyāścaturguṇaḥ // GarP_1,177.30 //	rasaH SirIza bIjAnAm haridrAyAH caturguNaH // GarP_1,177.30 //
   tena pakvena bhūteśa nasyaṃ mastakaroganut /	tena pakvena BUteSa nasyam mastaka roga nud /
   galarogā vinaśyanti nasyamātreṇa tatkṣaṇāt // GarP_1,177.31 //	gala rogAH vinaSyanti nasya mAtreNa tad kzaNAt // GarP_1,177.31 //
   dantakīṭavināśaḥ myādguñjāmūlasya carvaṇāt /	dantakIwa vinASaH myAdguQjA mUlasya carvaNAt /
   kākajaṅghāsnuhīnīlīkavāyo madhumojitaḥ // GarP_1,177.32 //	kAkajaFGA snuhI nIlIkavAyaH maDumojitaH // GarP_1,177.32 //
   dantākrāntāndantajāṃśca kṛmīnnāśayate śiva /	danta AkrAntAn danta jAn= ca kRmIt nASayate Siva /
   ghataṃ karkaṭapādena dugdhonmiśreṇa sādhitam // GarP_1,177.33 //	Gatam karkawa pAdena dugDa unmiSreNa sADitam // GarP_1,177.33 //
   tena cāmyaṅgitādantāḥ kuryuḥ kaṭakaṭānna hi /	tena ca ami aFgitA dantAH kuryuH kawakawAn na hi /
   liptvā karkaṭapādena kevalenāthavāśiva // GarP_1,177.34 //	liptvA karkawa pAdena kevalena aTavA aSiva // GarP_1,177.34 //
   trisaptāhaṃ vāḥ piṣṭāni jyotiṣmatyāḥ phalāni hi /	tri sapta aham vAH pizwAni jyotizmatyAH PalAni hi /
   śuklābhayāmajjalepāddantasyāṅkakalaṅkanut // GarP_1,177.35 //	Sukla aBayA majja lepAt dantasya aFka kalaFka nud // GarP_1,177.35 //
   lodhrakuṅkumamañjiṣṭhālohakā leyakāni ca /	loDra kuFkuma maQjizWA lohakAH leyakAni ca /
   yavataṇḍulametaiśca yaṣṭī madhusamanvitaiḥ // GarP_1,177.36 //	yava taNxulam etEH ca yazwI maDu samanvitEH // GarP_1,177.36 //
   vāripiṣṭairvaktralepaḥ strīṇāṃ śobhanavaktrakṛt /	vAri pizwEH vaktra lepaH strINAm SoBana vaktra kRt /
   dvibhāgaṃ chāgadugdhena tailaprasthaṃ tu sādhitam // GarP_1,177.37 //	dvi BAgam CAga dugDena tEla prasTam tu sADitam // GarP_1,177.37 //
   raktavandanamañjiṣṭhālakṣāṇāṃ karṣakeṇa vā /	rakta vandana maQjizWA lakzANAm karzakeNa vA /
   yaṣṭīmadhukuṅkumābhyāṃ saptāhānmukhakāntikṛt // GarP_1,177.38 //	yazwImaDu kuFkumAByAm sapta ahAt muKa kAnti kRt // GarP_1,177.38 //
   śuṇṭhīpippalicūrṇaṃ tu guḍūcī kaṇṭakārikā /	SuNWI pippali cUrNam tu guxUcI kaNwakArikAH /
   ebhiśca kvathitaṃ vāri pītaṃ cāgniṃ karoti vai // GarP_1,177.39 //	eBiH ca kvaTitam vAri pItam ca agnim karoti vE // GarP_1,177.39 //
   vātaśūlakṣayaṃ caiva kageti prathameśvara /	vAta SUla kzayam ca eva kaga iti praTameSvara /
   karañjaparpaṭośīraṃ bahatī kaṭurohiṇī // GarP_1,177.40 //	karaQja parpawa uSIram bahatI kawurohiNI // GarP_1,177.40 //
   gokṣuraṃ kvathitaṃ tvabhirvāri pītaṃ śramāpahan /	gokzuram kvaTitam tu aBiH vAri pItam Srama apahan /
   dāhaṃ pittaṃ jvaraṃ śoṣaṃ mūrchāṃ caiva kṣayaṃ nayet // GarP_1,177.41 //	dAham pittam jvaram Sozam mUrCAm ca eva kzayam nayet // GarP_1,177.41 //
   madhvājyapippalīcūrṇaṃ kvathitaṃ kṣīrasaṃyutam /	maDu Ajya pippalI cUrNam kvaTitam kzIra saMyutam /
   pītaṃ hṛdrogakāsasya viṣamajvaranudbhavet // GarP_1,177.42 //	pItam hRd roga kAsasya vizamajvara nud Bavet // GarP_1,177.42 //
   kvāthaupadhīnāṃ sarvāsāṃ karṣārdhaṃ grāhyameva ca /	kvATa OpaDInAm sarvAsAm karza arDam grAhyam eva ca /
   vayo 'nurūyato jñeyo viśeṣo vṛṣabhadhvaja // GarP_1,177.43 //	vayaH anurUyataH jQeyaH viSezaH vRzaBaDvaja // GarP_1,177.43 //
   dugdhaṃ pītaṃ tu saṃyuktaṃ gopurīṣarasena ca /	dugDam pItam tu saMyuktam go purIza rasena ca /
   viṣamajvaranutsyācca kākajandhārasastathā // GarP_1,177.44 //	vizamajvara nutsyAt ca kAkajanDA rasaH taTA // GarP_1,177.44 //
   maśuṇṭhi kvathitaṃ kṣīgmajāyā jvaranudbhavet /	maSuNWi kvaTitam kzIgmajAyAH jvara nud Bavet /
   yaṣṭīmadhukamustaṃ ca saindhavaṃ bṛhatīphalam // GarP_1,177.45 //	yazwImaDuka mustam ca sEnDavam bRhatI Palam // GarP_1,177.45 //
   etairnasvapridānācca nidrā syātpurupasya ca /	etEH nasva pridAnAt ca nidrA syAt purupasya ca /
   marīcapradhvaśvalālānasyānnidrā bhavecchiva // GarP_1,177.46 //	marIca praDva Svala AlAnasya annidrA Bavet Siva // GarP_1,177.46 //
   mūlaṃ tu kākajaṅghāyā nidrākṛtsyācchirasthitam /	mUlam tu kAkajaFGAyAH nidrA kRt syAt Sira sTitam /
   siddhaṃ tailaṃ kāñjikena tathā sarjarasena ca // GarP_1,177.47 //	sidDam tElam kAQjikena taTA sarjarasena ca // GarP_1,177.47 //
   śītodakasamāyuktaṃ lepātsantāpanāśanam /	SIta udaka samAyuktam lepAt santApa nASanam /
   śoṇitajvaradāhebhyo jātasantāpanuttathā // GarP_1,177.48 //	SoNita jvara dAheByaH jAta santApa nud taTA // GarP_1,177.48 //
   śṛkaśaivālamanthaśca śuṇṭhīpāpāṇabhedakam /	SRka SEvAla manTaH ca SuNWI pApANa Bedakam /
   śauvāñjanaṃ gokṣuraṃ vā varuṇacchannameva ca // GarP_1,177.49 //	SOva aQjanam gokzuram vA varuNa= Cannam eva ca // GarP_1,177.49 //
   saubhāñjanasya mūlaṃ ca etaiḥ kvathitavāri ca /	sOBAQjanasya mUlam ca etEH kvaTita vAri ca /
   dattvā hiṅguyavakṣāraṃ pītaṃ vātavināśanam // GarP_1,177.50 //	dattvA hiFgu yavakzAram pItam vAta vinASanam // GarP_1,177.50 //
   pippalī pippalīmūlaṃ tathā bhallātakaṃ śiva /	pippalI pippalI mUlam taTA BallAtakam Siva /
   vāryetaiḥ kvathitaṃ pītaṃ varaśūlāpahārakṛt // GarP_1,177.51 //	vAri etEH kvaTitam pItam vara SUla apahAra kRt // GarP_1,177.51 //
   aśvagandhāmūlakābhyāṃ siddhā valmīkamṛttikā /	aSvaganDA mUlakAByAm sidDA valmIka mRttikA /
   etayā mardanādrudra ūrustambhaḥ praśāmyati // GarP_1,177.52 //	etayA mardanAt rudraH UrustamBaH praSAmyati // GarP_1,177.52 //
   bṛhatīkasya vai mūlaṃ saṃpiṣṭamudakena ca /	bRhatIkasya vE mUlam saMpizwam udakena ca /
   pītaṃ saṃghātavātasya vipāṭanakṛdeva ca // GarP_1,177.53 //	pItam saMGAta vAtasya vipAwa na kRt eva ca // GarP_1,177.53 //
   pītaṃ takreṇa mūlaṃ ca ārdrasya tagarasya ca /	pItam takreNa mUlam ca Ardrasya tagarasya ca /
   haret jhiñjinīvātaṃ?vai vṛkṣamindrāśaniryathā // GarP_1,177.54 //	haret JiQjinI vAtaM?vE vRkzam indra aSaniH yaTA // GarP_1,177.54 //
   asthisaṃhāramekena bhaktena saha vāditam /	asTi saMhAram ekena Baktena saha vAditam /
   patiṃ māṃsarasenāpi vātanuccāsthibhaṅganut // GarP_1,177.55 //	patim mAMsa rasena api vAta nud ca asTi BaFga nud // GarP_1,177.55 //
   ghṛtaliptaṃ saśuṣkaṃ ca chāgīkṣīreṇa saṃyutam /	GRta liptam sa Suzkam ca CAgI kzIreNa saMyutam /
   tallopātpādayārnaṃśyetsakṣepye cātra saṃśayaḥ // GarP_1,177.56 //	tad lopAt pAdayArnaMSyet sa kzepye ca atra saMSayaH // GarP_1,177.56 //
   madhvājyasaindhavaṃ sikthaṃ guḍakairikaguggulaiḥ /	maDu Ajya sEnDavam sikTam guxakErika guggulEH /
   sasarjarasasphuṭitaḥ klomaśuddhiśca lepanāt // GarP_1,177.57 //	sa sarjarasa sPuwitaH kloma SudDiH ca lepanAt // GarP_1,177.57 //
   kaṭutailena lipto vai vidhūmāgnau pratāpitaḥ /	kawutElena liptaH vE viDUma agnO pratApitaH /
   mṛttikārakhāditaḥ pādaḥ samaḥ syādvṛṣabhadhvaja // GarP_1,177.58 //	mRttikAra KAditaH pAdaH samaH syAt vRzaBaDvaja // GarP_1,177.58 //
   sarjarasāḥ sikthakaṃ ca jīrakaṃ ca harītakī /	sarjarasAH sikTakam ca jIrakam ca harItakI /
   utsādhitaghṛtābhyaṅgo hyagnidagdhavyathāpanut // GarP_1,177.59 //	utsADita GRta aByaFgaH hi agni dagDa vyaTA apanud // GarP_1,177.59 //
   tilatailaṃ cāgnidagdhaṃ yavabhasmasamanvitam /	tila tElam ca agni dagDam yava Basma samanvitam /
   agnidagdhavraṇaṃ naśyedbrahuśaḥ kṛtalepataḥ // GarP_1,177.60 //	agni dagDa vraNam naSyet brahuSas kRta lepataH // GarP_1,177.60 //
   navanītaṃ māhiṣaṃ ca dagdhapiṣṭatilāni ca /	navanItam mAhizam ca dagDa pizwa tilAni ca /
   sabhallākaṃ vraṇaṃ naśyeddhṛcchūlaṃ nasyalepanāt // GarP_1,177.61 //	sa BallAkam vraNam naSyet hRd SUlam nasya lepanAt // GarP_1,177.61 //
   karpūragavyasarpirbhyāṃ prahāraḥ pūrito hara /	karpUra gavya sarpirByAm prahAraH pUritaH hara /
   śastrodbhavaḥ sabaddhaśca śuklavarṇena śaṅkara ! /	Sastra udBavaH sa badDaH ca Sukla varNena SaFkara ! /
   pākaṃ ca vedanāṃ caiva saṃspṛśedvṛṣabhadhvaja // GarP_1,177.62 //	pAkam ca vedanAm ca eva saMspRSet vRzaBaDvaja // GarP_1,177.62 //
   āmra (tasya) mūlarasenaiva śastraghātaḥ prapūritaḥ /	AmraH (tasya) mUla rasena eva Sastra GAtaH prapUritaH /
   ḍhaukate śastraghātābhyāṃ nirvraṇo ghṛpūritaḥ // GarP_1,177.63 //	XOkate Sastra GAtAByAm nirvraNaH GRpUritaH // GarP_1,177.63 //
   śarapuṅkhā lajjālukā pāṭhā caiṣāṃ tu mūlakam /	SarapuFKA lajjAlukA pAWA ca ezAm tu mUlakam /
   jalapiṣṭaṃ tasya lepācchastraghātaḥ praśāmyati // GarP_1,177.64 //	jala pizwam tasya lepAt Sastra GAtaH praSAmyati // GarP_1,177.64 //
   mūlaṃ ca kākajaṅghāyāstrirātreṇaiva śoṣitaḥ /	mUlam ca kAkajaFGAyAH tri rAtreNa eva SozitaH /
   pākapūtiṃ vedanāṃ ca hanti vai rohito vraṇe // GarP_1,177.65 //	pAkapUtim vedanAm ca hanti vE rohitaH vraNe // GarP_1,177.65 //
   sajalaṃ tilatailaṃ ca apāmārgasya mūlakam /	sa jalam tila tElam ca apAmArgasya mUlakam /
   tatsekadānānnaśyecca prahārodbhavavedanā // GarP_1,177.66 //	tad seka dAnAt naSyet ca prahAra udBava vedanAH // GarP_1,177.66 //
   abhayāṃ saindhavaṃ śuṇṭhīmetatpiṣṭvodakena tu /	aBayAm sEnDavam SuNWIm etat pizwvA udakena tu /
   bhakṣayitvā hyajīrṇasya nāśo bhavati śaṅkara ! // GarP_1,177.67 //	BakzayitvA hi ajIrNasya nASaH Bavati SaFkara ! // GarP_1,177.67 //
   kaṭibaddhaṃ nimbamūlamakṣisūlaharaṃ bhavet /	kawi badDam nimba mUlam akzi sUla haram Bavet /
   śaṇamūlaṃ satāmbūlaṃ dagdhamindriyakasya (lpa) hṛt // GarP_1,177.68 //	SaNa mUlam sa tAmbUlam dagDam indriyakasya (lpa) hRd // GarP_1,177.68 //
   annasvinnaharidrā ca śvetasarṣapamūlakam /	anna svinna haridrA ca Sveta sarzapa mUlakam /
   bījāni mātuluṅgasya eṣāmudvartanaṃ samam /	bIjAni mAtuluFgasya ezAm udvartanam samam /
   saptarātraprayogeṇa śubhadehakaraṃ bhavet // GarP_1,177.69 //	sapta rAtra prayogeNa SuBa deha karam Bavet // GarP_1,177.69 //
   śvetāparājitāpatraṃ nimbapatrarasena tu /	Sveta aparAjitA patram nimba patra rasena tu /
   nasyadānāḍḍākinīnāṃ mātṝṇāṃ brahmarakṣasām /	nasya dAnAxxAkinInAm mAtLNAm brahma rakzasAm /
   mokṣaḥ syānmadhusāreṇa nasyācca vṛṣabhadhvaja // GarP_1,177.70 //	mokzaH syAt maDu sAreNa nasyAt ca vRzaBaDvaja // GarP_1,177.70 //
   mūlaṃ śvetajayantyāśca puṣyarkṣe tu samāhṛtam /	mUlam Sveta jayantyAH ca puzya Rkze tu samAhRtam /
   śvetāparājitārkasya citrakasya ca mūlakam /	Sveta aparAjita arkasya citrakasya ca mUlakam /
   kṛtvā tu vaṭikāṃ nārī tilakena vaśī bhavet // GarP_1,177.71 //	kRtvA tu vawikAm nArI tilakena vaSI Bavet // GarP_1,177.71 //
   pippalīlohacūrṇaṃ tu śuṇṭhīścāmalakāni ca /	pippalI loha cUrNam tu SuNWIH ca AmalakAni ca /
   samāni rudra jānīyātsaindhavaṃ madhuśarkarā // GarP_1,177.72 //	samAni rudra jAnIyAt sEnDavam maDu SarkarA // GarP_1,177.72 //
   udumbarapramāṇena saptāhaṃ bhakṣaṇātsamam /	udumbara pramANena sapta aham BakzaNAt samam /
   pumāṃśca balavānsa syājjīvedvarṣaśatadvayam /	pumAn= ca balavAn sa syAt jIvet varza Sata dvayam /
   oṃ ṭha ṭha ṭha iti sarvavaśyaprayogeṣu prayuktaḥ sarvakāmakṛt //	om Wa Wa WaH iti sarva vaSya prayogezu prayuktaH sarva kAma kRt //
   GarP_1,177.73 //	GarP_1,177.73 //
   saṃgṛhya vidvānkākasya nilayaṃ pradahecca tat /	saMgRhya vidvAn kAkasya nilayam pradahet ca tat /
   citāgnau bhasma tacchatrordattaṃ śirasi śaṅkara // GarP_1,177.74 //	citA agnO Basma tat SatroH dattam Sirasi SaFkara // GarP_1,177.74 //
   tamuccāṭayate rudra śṛṇu tadyogamuttamam /	tam uccAwayate rudra SRNu tad yogam uttamam /
   niḥ kṣiptaṃ ca purīṣaṃ vai vanamūṣikacarmaṇi // GarP_1,177.75 //	niH kziptam ca purIzam vE vanamUzika carmaNi // GarP_1,177.75 //
   kaṭitantunibaddhaṃ vai kuryānmalanirodhanam /	kawi tantu nibadDam vE kuryAt mala niroDanam /
   kṛṣṇakākasya raktena yasya nāma pralipya ca // GarP_1,177.76 //	kRzNa kAkasya raktena yasya nAma pralipya ca // GarP_1,177.76 //
   cyutadale madhyamadhye tato niḥ kṣipyate hara ! /	cyuta dale maDya maDye tatas niH kzipyate hara ! /
   sa khādyate kākavṛndairnārī puruṣa eva ca // GarP_1,177.77 //	sa KAdyate kAka vRndEH nArI puruzaH eva ca // GarP_1,177.77 //
   śarkarāmadhvajākṣīraṃ tilagokṣurakaṃ samam /	SarkarAm aDvajA kzIram tila gokzurakam samam /
   sa śatruṃ nāśayedrudra ! uccāṭitamidaṃ hara ! // GarP_1,177.78 //	sa Satrum nASayet rudra ! uccAwitam idam hara ! // GarP_1,177.78 //
   ulūkakṛṣṇakākasya bilvasyātha samicchatam /	ulUka kRzNa kAkasya bilvasya aTa samicCatam /
   rudhireṇa samāyuktaṃ yayornāmnā tu hūyate /	ruDireNa samAyuktam yayoH nAmnA tu hUyate /
   tayormadhye mahāvairaṃ bhavennāstyatra saṃśayaḥ // GarP_1,177.79 //	tayoH maDye mahA vEram Bavet na asti atra saMSayaH // GarP_1,177.79 //
   bhāvitaṃ ṛkṣadugdhena matsyasya rohitasya ca /	BAvitam Rkza dugDena matsyasya rohitasya ca /
   māṃsaṃ tatsādhitaṃ tailaṃ tadabhyaṅgācca roganut /	mAMsam tat sADitam tElam tad aByaFgAt ca roga nud /
   candanodakanasyāttu romotthānaṃ bhavetpunaḥ // GarP_1,177.80 //	candana udaka nasyAt tu roma utTAnam Bavet punar // GarP_1,177.80 //
   haste lāṅgalikākandaṃ gṛhītaṃ tena lepitam /	haste lAFgalikA kandam gRhItam tena lepitam /
   śarīraṃ yena sa pumānvṛddherdarpaṃ vyapohati // GarP_1,177.81 //	SarIram yena sa pumAn vRdDeH darpam vyapohati // GarP_1,177.81 //
   mayūrarudhireṇaiva jīvaṃ saṃharate śiva /	mayUra ruDireNa eva jIvam saMharate Siva /
   jvalatāṃ tu bhujaṅgānāṃ bilasthānāmapīśvara // GarP_1,177.82 //	jvalatAm tu BujaFgAnAm bila sTAnAm api ISvara // GarP_1,177.82 //
   dehaścitāgnau dagdhaśca sarpasyājagarasya hi /	dehaH citA agnO dagDaH ca sarpasya ajagarasya hi /
   tadbhasma saṃmukhe kṣiptaṃ śatraṇāṃ bhaṅgakṛdbhavet // GarP_1,177.83 //	tat Basma saMmuKe kziptam SatraNAm BaFga kRt Bavet // GarP_1,177.83 //
   mantreṇānena tatkṣiptaṃ mahābhaṅgakaraṃ ripoḥ /	mantreNa anena tat kziptam mahA BaFga karam ripoH /
   oṃ ṭha ṭha ṭha cāhīhicāhīhi svāhā /	om Wa Wa Wa ca ahIhicAhi ihi svAhA /
   oṃ udaraṃ pāhihi pāhihisvāhā // GarP_1,177.84 //	om udaram pAhihi pAhi hi svAhAH // GarP_1,177.84 //
   sudarśanāyā malaṃ tu puṣyarkṣe tu samāhṛtam /	sudarSanAyAH malam tu puzya Rkze tu samAhRtam /
   niḥ kṣiptaṃ gṛhamadhye tu bhujaṅgā varjayanti tat // GarP_1,177.85 //	niH kziptam gRha maDye tu BujaFgAH varjayanti tat // GarP_1,177.85 //
   arkamūlena raviṇā arkāgnijvalitā śiva /	arka mUlena raviNA arka agni jvalitA SivaH /
   yuktā siddhārthatailena vartirmārgāhināśinī // GarP_1,177.86 //	yuktA sidDArTa tElena vartiH mArga ahi nASinI // GarP_1,177.86 //
   mārjārapalalaṃ viṣṭhā haritālaṃ ca bhāvitam /	mArjAra palalam vizWA haritAlam ca BAvitam /
   chāga mūtreṇa tallipto mūṣiko mūṣikānharet // GarP_1,177.87 //	CAga mUtreNa tad liptaH mUzikaH mUzikAn haret // GarP_1,177.87 //
   mukto hi mandire rudra nātra kāryā vicāraṇā /	muktaH hi mandire rudra na atra kAryA vicAraNA /
   viphalārjunapuṣpāṇi bhallātakaśirīṣakam // GarP_1,177.88 //	viPala arjuna puzpANi BallAtaka SirIzakam // GarP_1,177.88 //
   lākṣā sarjarasaścaiva viḍaṅgaścaiva gugguluḥ /	lAkzA sarjarasaH ca eva vixaFgaH ca eva gugguluH /
   etairdhūpo makṣikāṇāṃ maśakāṇāṃ vināśanaḥ // GarP_1,177.89 //	etEH DUpaH makzikANAm maSakANAm vinASanaH // GarP_1,177.89 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   netrāñjanādinirūpaṇaṃ nāma saptasaptatyuttaraśatatamo 'dhyāyaḥ	netrAQjanAdinirUpaNam nAma saptasaptatyuttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  178	SrI garuxa mahApurANam 178
   hariruvāca /	hariH uvAca /
   brahmadaṇḍīvacākuṣṭhaṃ priyaṅgarnāgakeśaram /	brahmadaNxI vacA kuzWam priyaFgarnAga keSaram /
   dadyāttāmbūlasaṃyuktaṃ strīṇāṃ mantreṇa tadvaśam /	dadyAt tAmbUla saMyuktam strINAm mantreNa tad vaSam /
   oṃ nārāyaṇyai svāhā // GarP_1,178.1 //	om nArAyaNyE svAhA // GarP_1,178.1 //
   tāmbūlaṃ yasya dīyeta sa vaśī syātsumantrataḥ /	tAmbUlam yasya dIyeta sa vaSI syAt sumantrataH /
   oṃ hariḥ hariḥ svāhā // GarP_1,178.2 //	om hariH hariH svAhA // GarP_1,178.2 //
   godantaṃ haritālañca saṃyuktaṃ kākajihvayā /	godantam haritAlaQca saMyuktam kAka jihvayA /
   cūrṇokṛtya yasya śire dīyate sa vaśī bhavet /	cUrNokRtya yasya Sire dIyate sa vaSI Bavet /
   śvetasarṣapanirmālyaṃ yadgṛhe tadvināśakṛt // GarP_1,178.3 //	Sveta sarzapa nirmAlyam yat gRhe tad vinASa kRt // GarP_1,178.3 //
   vaibhī takaṃ śākhoṭakaṃ mūlaṃ patreṇa saṃyutam /	vEBI takam SAKowakam mUlam patreNa saMyutam /
   sthāpyate yadgṛhadvāre tatra vai kalaho bhavet // GarP_1,178.4 //	sTApyate yat gRha dvAre tatra vE kalahaH Bavet // GarP_1,178.4 //
   khañjarīṭasya māṃsaṃ tu madhunā saha peṣayet /	KaQjarIwasya mAMsam tu maDunA saha pezayet /
   ṛtukāleyonilepātpuruṣo dāsatāmiyāt // GarP_1,178.5 //	Rtu kAleyaH nilepAt puruzaH dAsa tAm iyAt // GarP_1,178.5 //
   aguruṃ gugguluṃ caiva nīlotpalasamanvitam /	agurum guggulum ca eva nIlotpala samanvitam /
   guḍena dhūpayitvā tu rājadvāre priyo bhavet // GarP_1,178.6 //	guxena DUpayitvA tu rAja dvAre priyaH Bavet // GarP_1,178.6 //
   śvetāpa rājitāmūlaṃ piṣṭaṃ rocanayā yutam /	SvetApa rAjitA mUlam pizwam rocanayA yutam /
   yaṃ paśyettilakenaiva vaśī karyānnṛpālaye // GarP_1,178.7 //	yam paSyet tilakena eva vaSI karyAt nRpa Alaye // GarP_1,178.7 //
   kākajaṅghā vacā kuṣṭhaṃ nimbapatraṃ sukuṅkumam /	kAkajaFGA vacA kuzWam nimba patram su kuFkumam /
   ātmaraktasamāyuktaṃ vaśī bhavati mānavaḥ // GarP_1,178.8 //	Atma rakta samAyuktam vaSI Bavati mAnavaH // GarP_1,178.8 //
   āraṇyasya biḍālasya gṛhitvā rudhiraṃ śubham /	AraNyasya bixAlasya gRhitvA ruDiram SuBam /
   karañjataile tadbhāvyaṃ rudrāgnau kajjalaṃ tataḥ /	karaQja tEle tat BAvyam rudra agnO kajjalam tatas /
   pātayetpadmapatreṇa hādṛśyaḥ syāttadañjanāt // GarP_1,178.9 //	pAtayet padma patreNa hAdRSyaH syAt tad aQjanAt // GarP_1,178.9 //
   oṃ namaḥ khaḍgavajrapāṇaye mahāyakṣasenāpataye svāhā /	om namaH Kaxga vajrapANaye mahA yakza senApataye svAhA /
   oṃ rudraṃ hrāṃ hrīṃ varaśaktā tvaritāvidyā /	om rudram hrAm hrIm vara SaktA tvarita avidyA /
   oṃ mātaraḥ stambhayasvāhā /	om mAtaraH stamBayasvAhAH /
   sahasraṃ parijapyāttu vidyeyaṃ cauravāriṇī /	sahasram parijapyAt tu vidyA iyam cOra vAriNI /
