   Kāvyaprakāśaḥ	KAvya prakASaH
   tāvanta eva / evaṃ dvādaśa // ete śleṣe 'pi bhavantīti caturviśatirbhedāḥ	tAvantaH eva / evam dvAdaSa // ete Sleze api Bavanti iti catur viSatiH BedAH
   / krameṇodāharaṇam     	/ krameNa udAharaNam     
        {asimātrasahāyasya prabhūtāriparābhave /	{asi mAtra sahAyasya praBUta ari parABave /
        anyatucchajanasyeva na smayo 'sya mahādhṛteḥ //463//}	anya tucCa janasya iva na smayaH asya mahA DRteH //463//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atraiva tuccheti mahādhṛterityanayoḥ paryāyeṇa yugapadvānapādānenyat	atra eva tucCA iti mahADRteH iti anayoH paryAyeNa yugapad vAnapAdAnenyat
   bhedatrayam / evamanyeṣvapi draṣṭavyam / atra ivaśabdasya	Beda trayam / evam anyezu api drazwavyam / atra iva Sabdasya
   sadbhāvācchābdamaupamyam /	sadBAva acSAbdam Opamyam /
        {asimātrasahāyo 'pi prabhūtāriparābhave /	{asi mAtra sahAyaH api praBUta ari parABave /
        naivānyatucchajanavatsagarvo 'yaṃ mahādhṛtiḥ //464//}	na eva anya tucCa jana vat sagarvaH ayam mahADRtiH //464//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atr trulyārthe vatirityārthamaupamyam /	atr trulya arTe vatiritya arTam Opamyam /
        {iyaṃ sunayanā dāsīkṛtatāmarasaśriyā /	{iyam su nayanA dAsIkRta tAmarasa SriyA /
        ānanenākalaṅkena jayatīnduṃ kalaṅkinam //465//}	Ananena akalaFkena jayati indum kalaFkinam //465//}
                       (Udbhaṭa's Kāvyālaṅkārasārasaṅgraha)	(u udBawa as KAvya alaFkAra sAra saFgraha)
   atrevāditulyādipadaviraheṇa ākṣiptaivopamā /	atra iva Adi tulya Adi pada viraheNa AkziptA eva upamA /
        {jitendriyatayā samyagvidyāvṛddhaniṣeviṇaḥ /	{jita indriya tayA samyak vidyA vRdDa nizeviNaH /
        atigāḍhaguṇasyāsya nābjavadbhaṅgurā guṇāḥ //466//}	ati gAXa guNasya asya na abja vat BaFgurAH guNAH //466//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrevārthe vatiḥ / guṇaśabdaḥ śliṣṭaḥ / śābdamaupamyam //	atra iva arTe vatiH / guNa SabdaH SlizwaH / SAbdam Opamyam //
        {akhaṇḍamaṇḍalaḥ śrīmān paśyaiṣa pṛthivīpatiḥ /	{a KaNxa maNxalaH SrImAn paSya eza pRTivIpatiH /
        na niśākaravajjātu kalāvaikalyamāgataḥ //467//}	na niSAkara vat jAtu kalA vEkalyam AgataH //467//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra tulyārthe vatiḥ / kalāśabdaḥ śliṣṭaḥ /	atra tulya arTe vatiH / kalA SabdaH SlizwaH /
   mālāprativastūpamāvat mālāvyatireko 'pi saṃbhavati / tasyāpi bhedā	mAlA prativastu upamA vat mAlA vI atiH ekaH api saMBavati / tasya api BedA
   evamūhyāḥ / diṅmātramudāhriyate / yathā	evam UhyAH / diS mAtram udAhriyate / yaTA
        {haravanna viṣamadṛṣṭirharivanna vibho vidhūtavitatavṛṣaḥ /	{hara vat na vizama dRzwiH hari vat na viBo viDUta vitata vRzaH /
        rativanna cātiduḥsahakaratāpitabhūḥ kadācidasi //468//}	rati vat na ca ati duHsaha kara tApita BUH kadAcid asi //468//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 256)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 256)
   atra tulyārthe vatiḥ / viṣamādayaśca śabdāḥ śliṣṭāḥ /	atra tulya arTe vatiH / vizama AdayaH ca SabdAH SlizwAH /
        {nityoditapratāpena triyāmāmīlitaorabhaḥ /	{nitya udita pratApena triyAma AmIlita oraBaH /
        bhāsvatānena bhūpena bhāsvāneṣa vinirjitaḥ //469//}	BAsvatA anena BUpena BAsvAn eza vinirjitaH //469//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra hyākṣiptaivopamā bhāsvatetiśliṣṭaḥ / yathā vā	atra hi AkziptA eva upamA BAsvata iti SlizwaH / yaTA vA
        {svacchātmatāguṇasamullasitendubimbaṃ	{svacCa Atma tA guNa samullasita indu bimbam
             bimbaprabhādharamakṛtrimahṛdyagandham /	bimba praBA Daram akRtrima hRdyaganDam /
        yūnāmatīva pibatāṃ rajanīṣu yatra	yUnAm atIva pibatAm rajanIzu yatra
             tṛṣṇāṃ jahāra madhu nānanamaṅganānām //470//}	tRzNAm jahAra maDu na Ananam aFganAnAm //470//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrevādīnāṃ tulyādīnāṃ ca padānāmabhāve 'pi śliṣṭaviśeṣaṇairākṣiptaivopamā	atra iva AdInAm tulya AdInAm ca padAnAm aBAve api Slizwa viSezaNEH AkziptA eva upamA
   pratīyate / evañjātīyakāḥ śliṣṭoktiyogyasya padasya pṛthagpādāne 'nyepi	pratIyate / evan jAtIyakAH Slizwa ukti yogyasya padasya pRTak pAdAne anyepi
   bhedāḥ saṃbhavanti / te 'pi anayaiva diśā draṣṭavyāḥ //	BedAH saMBavanti / te api anayA eva diSAH drazwavyAH //
   niṣedho vaktumiṣṭasya yo viśeṣābhidhitsayā // MKpr K_106 //	nizeDaH vaktum izwasya yaH viSeza aBiDitsayA // MKpr K_106 //
   vakṣyamāṇoktaviṣayaḥ sa ākṣepo dvidhā mataḥ /	vakzyamANa ukta vizayaH saH AkzepaH dviDA mataH /
   vivakṣitasya prākaraṇikatvādanupasarjanīkāryasya aśakyavaktavyatvam	vivakzitasya prAkaraNika tvAt anupasarjanI kAryasya aSakya vaktavya tvam
   atiprasiddhatvaṃ vā viśeṣaṃ vaktuṃ niṣedho niṣedha iva yaḥ sa	ati prasidDa tvam vA viSezam vaktum nizeDaH nizeDaH iva yaH sa
   vakṣyamāṇaviṣaya uktaviṣayaśceti dvidhā ākṣepaḥ /	vakzyamANa vizayaH ukta vizayaH ca iti dviDA AkzepaH /
   krameṇodāharaṇam     	krameNa udAharaNam     
        {e ehi kiṃapi kīevi a_eṇa ṇikkiva bhaṇāmi alamaha vā /	{e ehi kiMapi kIevi a_eNa Nikkiva BaNAmi alam aha vA /
        aviāri_akajjārambha_āriṇī marau ṇa bhaṇissaṃ //471//}	aviAri_akajja AramBaH _AriNI marO Na BaNiH sam //471//}
        [e ehi kimapi kasyā api kṛte niṣkṛpa bhaṇāmi alamatha vā /	[e ehi kim api kasyAH api kRte nizkRpa BaNAmi alam aTa vA /
        avicāritakāryārambhakāriṇī mriyatāṃ na bhaniṣyāmi //]	avicArita kArya AramBa kAriNI mriyatAm na BanizyAmi //]
                       (Hāla's Gāthāsaptaśatī 7.2)	(HAla as GATA saptaSatI 7.2)
        {jyotsnā mauktikadāma candanarasaḥ śītāṃśukāntadravaḥ	{jyotsnA mOktika dAma candana rasaH SItAMSu kAnta dravaH
             karpūraṃ kadalī mṛṇālavalayānyambhojinīpallavāḥ /	karpUram kadalI mRNAla valayAni amBojinI pallavAH /
        antarmānasamāstvayā prabhavatā tasyāḥ sphuliṅgotkara 	antar mAna samAH tvayA praBavatA tasyAH sPuliFga utkara 
             vyāpārāya bhavanti hanta kimanenoktena na brūmahe //472//}	vyApArAya Bavanti hanta kim anena uktena na brUmahe //472//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   kriyāyāḥ pratiṣedhe 'pi phalavyaktirvibhāvanā // MKpr K_107 //	kriyAyAH pratizeDe api Pala vyaktiH viBAvanA // MKpr K_107 //
   heturūpakriyāyāḥ niṣedhe 'pi tatphalaprakāśanaṃ vibhāvanā / yathā	hetu rUpa kriyAyAH nizeDe api tad Pala prakASanam viBAvanA / yaTA
        {kusumitalatābhirahatāpyadhatta rujamalikulairadaṣṭāpi /	{kusumita latABiH ahatA api aDatta rujam ali kulEH adazwA api /
        parivartate sma nalinīlaharībhiralolitāpyaghūrṇata sā //473//}	parivartate sma nalinIla harIBiH alolitA api aGUrNata sA //473//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā)	(Śrivatsa lAQCana AcArya as KAvya parIkzA)
   viśeṣoktirakhaṇḍeṣu kāraṇeṣu phalāvacaḥ /	viSeza uktiH aKaNxezu kAraNezu Pala avacaH /
   militeṣvapi kāraṇeṣu kāryasyākathanaṃ viśeṣoktiḥ / anuktanimittā	militezu api kAraNezu kAryasya akaTanam viSeza uktiH / anukta nimittA
   uktanimittā acintyanimittā ca / krameṇodāharaṇam     	ukta nimittA acintya nimittA ca / krameNa udAharaNam     
        {nidrānivṛttāvudite dyuratne sakhījane dvārapadaṃ parāpte /	{nidrA nivRttO= udite dyuratne saKI jane dvAra padam para Apte /
        ślathīkṛtāśleṣarase bhujaṅge cacāla nāliṅganatoṅganā sā //474//}	SlaTIkRta ASleza rase BujaFge cacAla na AliFganatoFganA sA //474//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {karpūra iva dagdho 'pi śaktimān yo jane jane /	{karpUraH iva dagDaH api SaktimAn yaH jane jane /
        namo 'stvavāryavīryāya tasmai makaraketave //475//}	namaH astu avArya vIryAya tasmE makara ketave //475//}
                       (Rājaśekhara's Bālarāmāyaṇa 3.11)	(RA aja SeKara as BAla rAmAyaNa 3.11)
        {sa ekastrīṇi jayati jaganti kusumāyudhaḥ /	{saH ekaH trINi jayati jaganti kusumAyuDaH /
        haratāpi tanuṃ yasya śambhunā na balaṃ hṛtam //476//}	haratA api tanum yasya SamBunA na balam hRtam //476//}
                       (Bhāmaha's Kāvyālaṅkāra 3.24)	(BhAmaha as KAvyAlaFkAraH 3.24)
   yathāsaṃkhyaṃ krameṇaiva kramikāṇāṃ samanvayaḥ // MKpr K_108 //	yaTAsaMKyam krameNa eva kramikANAm samanvayaH // MKpr K_108 //
   yathā	yaTA
        {ekastridhā vasasi cetasi citramatra	{ekaH triDA vasasi cetasi citram atra
             deva dviṣāṃ ca viduṣāṃ ca mṛgīdṛśāṃ ca /	deva dvizAm ca viduzAm ca mRgI dRSAm ca /
        tāpaṃ ca saṃmadarasaṃ ca ratiṃ ca puṣṇan	tApam ca saMmada rasam ca ratim ca puzNan
             śauryoṣmaṇā ca vinayena ca līlayā ca //477//}	SOrya UzmaNA ca vinayena ca lIlayA ca //477//}
                       (Subhāṣitaratnākara 1438)	(SuBAzita ratna AkaraH 1438)
   sāmānyaṃ vā viśeṣo vā tadanyena samarthyate /	sAmAnyam vA viSezaH vA tad anyena samarTyate /
   yattu so 'rthāntaranyāsaḥ sādharmyeṇetareṇa vā // MKpr K_109 //	yat tu saH arTa antaranyAsaH sADarmyeNa itareNa vA // MKpr K_109 //
   sādharmyeṇa vaidharmyeṇa vā sāmānyaṃ viśeṣeṇa yat samarthyate viśeṣo vā	sADarmyeNa vEDarmyeNa vA sAmAnyam viSezeNa yat samarTyate viSezaH vA
   sāmānyena so 'rthāntaranyāsaḥ / krameṇodāharaṇam     	sAmAnyena saH arTa antaranyAsaH / krameNa udAharaNam     
        {nijadoṣāvṛtamanasāmatisundarameva bhāti viparītam /	{nija doza AvRta manasAm ati sundaram eva BAti viparItam /
        paśyati pittopahataḥ śaśiśubhraṃ śaṅkhamapi pītam //478//}	paSyati pitta upahataH SaSi SuBram SaFKam api pItam //478//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 265)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 265)
        {susitavasanālaṅkārāyāṃ kadācana kaumudī 	{susita vasana alaFkArAyAm kadAcana kOmudI 
             mahasi sudṛśi svairaṃ yāntyāṃ gato 'stamabhūdvidhuḥ /	mahasi su dRSi svEram yAntyAm gataH astam aBUt viDuH /
        tadanu bhavataḥ kīrtiḥ kenāpyagīyata yena sā	tadanu BavataH kIrtiH kena api agIyata yena sA
             priyagṛhamagānmuktāśaṅkā kva nāsi śubhapradaḥ //479[=266]//}	priya gRham agAt muktA SaFkA kva na asi SuBa pradaH //479[=266]//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 121)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 121)
        {guṇānāmeva daurātmyād dhuri dhuryo niyujyate /	{guNAnAm eva dOrAtmyAt Duri DuryaH niyujyate /
        asaṃjātakiṇaskandhaḥ sukhaṃ svapiti gaurgaliḥ //480//}	asaMjAta kiNa skanDaH suKam svapiti gOH galiH //480//}
                       (Bhoja's Sarasvatīkāṇṭhābharaṇa 4.125)	(Bhoja as Sara svatI kANWa ABaraNaH 4.125)
        {aho hi me bahvaparāddhamāyuṣā yadapriyaṃ vācyamidaṃ mayedṛśam /	{aho hi me bahu aparAdDam AyuzA yat apriyam vAcyam idam mayA IdRSam /
        ta eva dhanyāḥ suhṛdaḥ parābhavaṃ jagatyadṛṣṭvaiva hi ye kṣayaṃ gatāḥ	te eva DanyAH suhRdaH parABavam jagati adRzwvA eva hi ye kzayam gatAH
                       (Ruyyaka's Alaṅkārasarvasva)	(Ruyyaka as AlaFkAra sarvasva)
   virodhaḥ sovirodhe 'pi viruddhatvena yadvacaḥ /	viroDaH saH viroDe api virudDa tvena yat vacaH /
   vastuvṛttenāvirodhe 'pi viruddhayoriva yadabhidhānaṃ sa virodhaḥ /	vastu vRttena aviroDe api virudDayoH iva yat aBiDAnam sa viroDaH /
   jātiścaturbhijātyādyairviruddhā syādguṇaistribhiḥ // MKpr K_110 //	jAtiH catur BijAti AdyEH virudDA syAt guNEH triBiH // MKpr K_110 //
   kriyā dvābhyāmapi dravyaṃ dravyeṇaiveti te daśa /	kriyA dvAByAm api dravyam dravyeNa eva iti te daSa /
   krameṇodāharaṇam     	krameNa udAharaNam     
        {abhinavanalinīkisalayamṛṇālavalayādi davadahanarāśiḥ /	{aBinava nalinI kisalaya mRNAla valaya Adi dava dahana rASiH /
        subhaga kuraṅgadṛśosyā vidhivaśatastvadviyogapavipāte //482//}	suBaga kuraFga dRSosyAH viDivaSataH tvad viyogapavipAte //482//}
                       (Govindaṭhakkura's Kāvyapradīpa 267)	(GA UvindaWak kura as KAvya pradIpaH 267)
        {girayo 'pyanunnatiyujo marudapyacalobdhayo 'pyagambhīrāḥ /	{girayaH api anunnati yujaH marut api acalobDayaH api agamBIrAH /
        viśvaṃbharāpyatilaghurnaranātha tavāntike niyatam //483//}	viSvaMBara api ati laGurnara nATa tava antike niyatam //483//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {yeṣāṃ kaṇṭhaparigrahapraṇayitāṃ saṃprāpya dhārādharas	{yezAm kaNWa parigraha praNayitAm saMprApya DArADaras
             tīkṣṇaḥ so 'pyanurajyate ca kamapi snehaṃ parāpnoti ca /	tIkzNaH saH api anurajyate ca kam api sneham parApnoti ca /
        teṣāṃ saṃgarasaṅgasaktamanasāṃ rājñāṃ tvayā bhūpate	tezAm saMgara saFga sakta manasAm rAjQAm tvayA BUpate
             pāṃsūnāṃ paṭalaiḥ prasādhanavidhirnirvartyate kautukam //484//}	pAMsUnAm pawalEH prasADana viDiH nirvartyate kOtukam //484//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {sṛjati ca jagadidamavati ca saṃharati ca helayaiva yo niyatam /	{sRjati ca jagat idam avati ca saMharati ca helayA eva yaH niyatam /
        avasaravaśataḥ śapharo janārdanaḥ so 'pi citramidam //485//}	avasara vaSataH SaParaH janArdanaH saH api citram idam //485//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {satataṃ musalāsaktā bahutaragṛhakarmaghaṭanayā nṛpate /	{satatam musala AsaktAH bahutara gRha karma GawanayA nRpate /
        dvijapatnīnāṃ kaṭhināḥ sati bhavati karāḥ sarojasukumārāḥ //486//}	dvija patnInAm kaWinAH sati Bavati karAH saroja sukumArAH //486//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {peśalamapi khalavacanaṃ dahatitarāṃ mānasaṃ sattattvavidām /	{peSalam api Kala vacanam dahatitarAm mAnasam sat tattva vidAm /
        paruṣamapi sujanavākyaṃ malayajarasavat pramodayati //487//}	paruzam api su jana vAkyam malayaja rasa vat pramodayati //487//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {kauñcādriruddāmadṛṣaddṛḍhosau yanmārgaṇānargalaśātapāte /	{kOQca adriH uddAma dRzad dRXa UsO yat mArgaNAnargala SAta pAte /
        abhūnnavāmbhojadalābhijātaḥ sa bhārgavaḥ satyamapūrvasargaḥ //488//}	aBUt nava amBoja dala aBijAtaH sa BArgavaH satyam apUrva sargaH //488//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {paricchedātītaḥ sakalavacanānāmaviṣayaḥ	{paricCeda atItaH sakala vacanAnAm avizayaH
             punarjanmanyasminnanubhavapathaṃ yo na gatavān /	punarjanmani asmin= anuBava paTam yaH na gatavAn /
        vivekapradhvaṃsādupacitamahāmohagahano	viveka praDvaMsAt upacita mahA moha gahanaH 
             vikāraḥ ko 'pyantarjaḍayati ca tāpaṃ ca kurute //489//}	vikAraH kaH api antar jaxayati ca tApam ca kurute //489//}
                       (Bhavabhūti's Mālatīmādhava 1.30)	(Bhava BUti as MAlati imADava 1.30)
        {ayaṃ vārāmeko nilaya ita ratnākara iti	{ayam vArAm ekaH nilayaH ita ratnAkaraH iti
             śritosmābhistṛṣṇātaralitamanobhirjalanidhiḥ /	SritosmABiH tRzNA taralita manoBiH jalaniDiH /
        ka evaṃ jānīte nijakarapuṭīkoṭaragataṃ	kaH evam jAnIte nija kara puwI kowara gatam
             kṣaṇādenaṃ tāmyattimimakaramāpāsyati muniḥ //490//}	kzaNAt enam tAmyat timimakaram ApAsyati muniH //490//}
                       (Bhallaṭaśataka 108)	(Bhat lawa SatakaH 108)
        {samadamataṅgajamadajalanisyandataraṅgiṇīpariṣvaṅgāt /	{samada mataFga ja mada jala nisyanda taraFgiNI parizvaFgAt /
        kṣititilaka tvayi taṭajuṣi śaṅkaracūḍāpagāpi kālindī //491//}	kzititilaka tvayi tawa juzi SaFkara cUxA ApagA api kAlindI //491//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   svabhāvoktistu ḍimbhādeḥ svakriyārūpavarṇanam // MKpr K_111 //	svaBAvoktiH tu ximBa AdeH sva kriyA rUpa varNanam // MKpr K_111 //
   svayostadekāśrayoḥ / rūpaṃ varṇaḥ saṃsthānaṃ ca / udāharaṇam     	svayoH tad eka ASrayoH / rUpam varNaH saMsTAnam ca / udAharaNam     
        {paścādaṅghrī prasārya trikanativitataṃ drāghayitvāṅgamuccair	{paScAt aFGrI prasArya tri kanati vitatam drAGayitvA aFgam uccEs 
             āsajyābhugnakaṇṭho mukhamurasi saṭāṃ dhūlidhūbhrāṃ vidhūya /	Asajya ABugna kaNWaH muKam urasi sawAm DUli DUBrAm viDUya /
        ghāsagrāsābhilāṣādanavaratacalatprothatuṇḍasturaṅgo	GAsa grAsa aBilAzAdana varata calat proTa tuNxaH turaFgaH 
             mandaṃ śabdāyamāno vilikhati śayanādutthitaḥ kṣmāṃ khureṇa	mandam SabdAyamAnaH viliKati SayanAt utTitaH kzmAm KureNa
                       (Bāṇa's Harṣacarita 3.5)	(BANa as Harza caritaH 3.5)
   vyājastutirmukhe nindā stutirvā rūḍhiranyathā /	vyAja stutiH muKe nindA stutiH vA rUXiH anyaTA /
   vyājarūpā vyājena vā stutiḥ / krameṇodāharaṇam     	vyAja rUpA vyAjena vA stutiH / krameNa udAharaNam     
        {hitvā tvāmuparodhabandhyamanasāṃ manye na mauliḥ paro	{hitvA tvAm uparoDa banDya manasAm manye na mOliH paraH 
             lajjāvarjanamantareṇa na ramāmanyatra saṃdṛśyate /	lajjA varjanam antareNa na ramAm anyatra saMdRSyate /
        yastyāgaṃ tanutetarāṃ mukhaśatairetyāśritāyāḥ śriyaḥ	yaH tyAgam tanu tetarAm muKa SatEH etyASritAyAH SriyaH
             prāpya tyāgakṛtāvamānanamapi tvayyeva yasyāḥ sthitiḥ //493//}	prApya tyAga kRta avamAnanam api tvayi eva yasyAH sTitiH //493//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {he helājitabodhisattva vacasāṃ kiṃ vistaraistoyadhe	{he helA ajita boDisattva vacasAm kim vistarEH toyaDe
             nāsti tvatsadṛśaḥ paraḥ parahitādhāne gṛhītavrataḥ /	na asti tvad sadRSaH paraH para hita ADAne gRhIta vrataH /
        tṛṣyatpānthajanopakāraghaṭanāvaimukhyalabdhāyaśo 	tRzyat pAnTa jana upakAra GawanA vEmuKya labDa ayaSo 
             bhāraprodvahane karoṣi kṛpayā sāhāyakaṃ yanmaroḥ //494//}	BAra prodvahane karozi kRpayA sAhAyakam yat maroH //494//}
                       (Kuntaka's Vakroktijīvita 1.90; Puñjarāja,	(Kuntaka as Vakrokti jIvitaH 1.90; PuQja rAja,
   Vākyapadīyaṭīkā 2.249)	VAkyapadIyawIkAH 2.249)
   sā sahoktiḥ sahārthasya balādekaṃ dvivācakam // MKpr K_112 //	sA saha uktiH saha arTasya balAt ekam dvi vAcakam // MKpr K_112 //
   ekārthābhidhāyakamapi sahārthabalāt yat ubhayasyāpyavagamakaṃ sā sahoktiḥ	eka arTa aBiDAyakam api saha arTa balAt yat uBayasya api avagamakam sA sahoktiH
   / yathā	/ yaTA
        {saha diahaṇisāṃhi dīharā sāsadaṇḍā	{saha diahaNi sAMhi dIharA sAsadaNxA
             saha maṇivalayeṃhi bāhadhārā galanti /	saha maNi valayeMhi bAhaDArAH galanti /
        tuha suhaa vioe tīa ubbiggirīe	tuha suhaa vioe tIaH ubbiggirIe
             saha a taṇuladāe dubbalā jīvidāsā //495//}	saha a taNu ladAe dubbalA jIvi dAsAH //495//}
        [saha divasaniśābhirdīrghāḥ śvāsadaṇḍāḥ	[saha divasa niSABiH dIrGAH SvAsa daNxAH
             saha maṇibalayairvāṣpadhārā galanti /	saha maNi balayEH vA azpa DArAH galanti /
        tava subhaga viyoge tasyā udvignāyāḥ	tava suBaga viyoge tasyAH udvignAyAH
             saha ca tanulatayā durbalā jīvitāśā //]	saha ca tanulatayA durbalA jIvita ASA //]
                       (Rājaśekhara's Karpūramañjarī 2.9)	(RA aja SeKara as KarpUramaQjarI 2.9)
   śvāsadaṇḍādigataṃ dīrghatvādi śābdam divasaniśādigataṃ tu	SvAsa daNxa Adi gatam dIrGa tva Adi SAbdam divasa niSAdi gatam tu
   sahārthasāmarthyātpratipadyate //112//	saha arTa sAmarTyAt pratipadyate //112//
   vinoktiḥ sā vinānyena yatrānyaḥ sanna netaraḥ /	vinA uktiH sA vinA anyena yatra anyaH sat na na itaraH /
   kvacidaśobhanaḥ kvacicchobhanaḥ / krameṇodāharaṇam     	kvacid aSoBanaH kvacid SoBanaH / krameNa udAharaNam     
        {arucirniśayā vinā śaśī śaśinā sāpi vinā mahattamaḥ /	{aruciH niSayA vinA SaSI SaSinA sA api vinA mahattamaH /
        ubhayena vinā manobhavasphuritaṃ naiva cakāsti kāminoḥ //496//}	uBayena vinA manoBava sPuritam na eva cakAsti kAminoH //496//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
        {mṛgalocanayā vinā vicitracvyavahārapratibhāprabhāpragalbhaḥ /	{mRga locanayA vinA vicitra cvyavahAra pratiBA praBA pragalBaH /
        amṛtadyutisundarāśayo 'yaṃ suhṛdā tena vinā narendrasūnuḥ //497//}	amRta dyuti sundara ASayaH ayam suhRdA tena vinA narendra sUnuH //497//}
                       (Ruyyaka's Alaṅkārasarvasva 50)	(Ruyyaka as AlaFkAra sarvasva 50)
   parivṛttirvinimayo yo 'rthānāṃ syātsamāsamaiḥ // MKpr K_113 //	parivRttiH vinimayaH yaH arTAnAm syAt samA samEH // MKpr K_113 //
   parivṛttiralaṅkāraḥ / udāharaṇam     	parivRttiH alaFkAraH / udAharaNam     
        {latānāmetāsāmuditakusumānāṃ marudayaṃ	{latAnAm etAsAm udita kusumAnAm marudayam
             mataṃ lāsyaṃ dattvā śrayati bhṛśamāmodamasamam /	matam lAsyam dattvA Srayati BRSam Amodam asamam /
        latāstvadhvanyānāmahaha dṛśamādaya sahasā	latAH tu aDvanyAnAm ahaha dRSam Adaya sahasA
             dadatyādhivyādhibhramiruditamohavyatikaram //498//}	dadati ADivyADi Brami H udita moha vyatikaram //498//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra prathamerghe samena samasya dvitīye uttamene nyūnasya /	atra praTamerGe samena samasya dvitIye uttamene nyUnasya /
        {nānāvidhapraharaṇairnṛpa saṃprahāre	{nAnAviDa praharaNEH nRpa saMprahAre
             svīkṛtya dāruṇaninādavataḥ prahārān /	svIkRtya dAruNa ninAdavataH prahArAn /
        dṛptārivīravisareṇa vasuṃdhareyaṃ	dRpta ari vIra visareNa vasuMDarA iyam
             nirvipralambhaparirambhavidhirvitīrṇā //499//}	nirvipralamBa pariramBa viDiH vitIrNA //499//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra nyūnenottamasya //113//	atra nyUnena uttamasya //113//
   pratyakṣā iva yadbhāvāḥ kriyante bhūtabhāvinaḥ /	pratyakzAH iva yad BAvAH kriyante BUta BAvinaH /
   tadbhāvikaṃ ...	tad BAvikam ...
   bhūtāśca bhāvinaśceti dvandvaḥ / bhāvaḥ kaverabhiprāyo 'trāstīti bhāvikam	BUtAH ca BAvinaH ca iti dvandvaH / BAvaH kaveH aBiprAyaH atra asti iti BAvikam
   / udāharaṇam     	/ udAharaNam     
        {āsīdañjanamatreti paśyāmi tava locane /	{A AsIt aQjanam atra iti paSyAmi tava locane /
        bhāvibhūṣaṇasaṃbhārāṃ sākṣātkurve tavākṛtim //500//}	BAvi BUzaNa saMBArAm sAkzAt kurve tava AkRtim //500//}
                       (Bhallaṭaśataka 69)	(Bhat lawa SatakaH 69)
   ādye bhūtasya dvitīye bhāvino darśanam //	Adye BUtasya dvitIye BAvinaH darSanam //
   ... kāvyaliṅgaṃ hetorvākyapadārthatā // MKpr K_114 //	... kAvya liFgam hetoH vAkya padArTa tA // MKpr K_114 //
   vākyārthatā yathā	vAkya arTa tA yaTA
        {vapuḥprādurbhāvādanumitamidaṃ janmani purā	{vapuH prAdurBAvAt anumitam idam janmani purA
             purāre na prāyaḥ kvacidapi bhavantaṃ praṇatavān /	purAre na prAyas kvacid api Bavantam praNatavAn /
        naman muktaḥ saṃpratyahamatanuragre 'pyanatibhāṅ	naman muktaH saMprati aham atanuH agre api anatiBAj 
             maheśa kṣantavyaṃ tadidamaparādhadvayamapi //501//}	maheSa kzantavyam tat idam aparADa dvayam api //501//}
                       (Subhāṣitaratnākara 36)	(SuBAzita ratna AkaraH 36)
   anekapadārthatā yathā	aneka padArTa tA yaTA
        {praṇayisakhī salīlaparihāsarasādhigatair	{praNayi saKI sa lIla parihAsa rasa aDigatEH 
             lalitaśirīṣapuṣpahananairapi tāmyati yat /	lalita SirIza puzpa hananEH api tAmyati yat /
        vapuṣi vadhāya tatra tava śastramupakṣipataḥ	vapuzi vaDAya tatra tava Sastram upakzipataH
