   athaikonatriṃśaṃ pūraṇam	aTa-ekonatriMSam pUraNam
   nityaṃ sannihitas tatra bhagavān madhusūdanaḥ || (11.31.23-24)	nityam sannihitaH tatra BagavAn maDusUdanaH || (11.31.23-24)
   [115] atra viṣṇu-purāṇīyaṃ tu kiṃcid viśiṣṭam api-yadu-deva-gṛhaṃ tv ekaṃ	[115] atra vizNu-purANIyam tu kiMcid viSizwam api-yat-u-deva--gRham tu ekam
   nāplāvayat iti | viṣṇu-krīḍānvitaṃ sthānam iti ca |	na-aplAvayat iti | vizNu--krIxA-anvitam sTAnam iti ca |
   [116] pūrṇimā prāha-tad idaṃ vṛndāvana-nitya-vihārasya dṛṣṭāntatayāpi	[116] pUrNimA prAha-tat idam vRndAvana-nitya--vihArasya dRzwAnta-tayA-api
   ghaṭitam |	Gawitam |
   [117] atha vṛndā śrī-bhāgavatīyaṃ (10.14.35) padyaṃ punaḥ papāṭha, yathā-	[117] aTa vRndA SrI--BAgavatI-iyam (10.14.35) padyam punar papAWa, yaTA-
   eṣāṃ ghoṣa-nivāsinām uta bhavān kiṃ deva rāteti naś	ezAm Goza--nivAsinAm uta BavAn kim deva rAtA-iti naH-
   ceto viśva-phalāt phalaṃ tvad-aparaṃ kutrāpy ayan muhyati |	cetaH viSva--PalAt Palam tvad--aparam kutra-api ayat muhyati |
   sad-veṣād api pūtanāpi sakulā tvām eva devāpitā	sat--vezAt api pUtanA-api sakulA tvAm eva devApitA
   yad dhāmārtha-suhṛt-priyātma-tanaya-prāṇāśayās tvat-kṛte || iti |	yat DAma-arTa--suhRt--priya-Atma--tanaya--prANa-ASayAH tu-at-kRte || iti |
   [118] pūrṇimā pūrṇam idam uvāca-tad etat kaimutya-vidhinā prastutya	[118] pUrNimA pUrNam idam uvAca--tat etat kEm-uti-a-viDinA prastutya
   vraja-vāsināṃ tena saṃvāsaṃ satya-loka-parivṛḍhaḥ parama-dṛḍhaṃ cakāreti	vraja--vAsinAm tena saMvAsam satya--loka--parivRXaH parama-dRXam cakAra-iti
   sarvaṃ śāntam |	sarvam SAntam |
   [119] punaḥ pūrṇimā prāha-kim apy anyad vacanam asti ?	[119] punar pUrNimA prAha-kim api anyat vacanam asti ?
   [120] vṛndāha-tad api śrūyatām-	[120] vRndAha-tat api SrUyatAm-
   tad bhūri-bhāgyam iha janma kim apy aṭavyāṃ	tat BUri-BAgyam iha janma kim api awavyAm
   yad gokule'pi katamāṅghri-rajo'bhiṣekam |	yat go-kule-api katamAFGri-rajaH-aBizekam |
   yaj jīvitaṃ tu nikhilaṃ bhagavān mukundas	yat jIvitam tu niKilam BagavAn mukundas
   tv adyāpi yat-pada-rajaḥ śruti-mṛgyam eva || (10.14.34)	tu adya-api yat-pada--rajaH Sruti--mRgyam eva || (10.14.34)
   [121] pūrṇimā saharṣam āha-pūrva-nirṇayād eva tad idaṃ brahmā	[121] pUrNimA sa-harzam Aha-pUrva--nirNayAt eva tat idam brahmA
   sva-puruṣārthatayā varṇayāmāsa | punar dṛśyatām-	sva-puruza-arTa-tayA varNayAmAsa | punar dRSyatAm-
   aho bhāgyam aho bhāgyaṃ nanda-gopa-vrajaukasām |	aho BAgyam aho BAgyam nanda-gopa--vraja-okasAm |
   yan-mitraṃ paramānandaṃ pūrṇaṃ brahma sanātanam || (10.14.32)	yan-mitram parama-Anandam pUrNam brahma sanAtanam || (10.14.32)
   [122] vṛndā sānandam āha [BhP 10.26.25]-	[122] vRndA sa-Anandam Aha [Bhj 10.26.25]-
   deve varṣati yajña-viplava-ruṣā vajrāśma-varṣānilaiḥ	deve varzati yajQa--vipla-va-ruzA vajra-aSma--varza-anilEH
   sīdat-pāla-paśu-striy ātma-śaraṇaṃ dṛṣṭvānukampy utsmayan |	sIdat-pAla--paSu--striy Atma--SaraNam dRzwvA-anukampi utsmayan |
   utpāṭyaika-kareṇa śailam abalo līlocchilīndhraṃ yathā	utpAwya-eka-kareNa SElam abalaH lIlA-ucCilInDram yaTA
   bibhrad goṣṭham apān mahendra-mada-bhit prīyān na indro gavām ||	biBrat gozWam apAt mahA-indra--mada-Bid prIyAt naH indraH gavAm ||
   [123] atha pūrṇimā varṇayāmāsa-tad evaṃ śrī-bādarāyaṇir api tasya	[123] aTa pUrNimA varNayAmAsa--tat evam SrI-bAda-rAyaNiH api tasya
   gavendratāṃ nijāśrayatayā śrāvayāmāsa | so'yaṃ yatra gopālādīnāṃ	gavA-indra-tAm nija-ASraya-tayA SrAvayAmAsa | saH-ayam yatra gopAla-AdInAm
   tenāparityājyatāṃ vyañjayāmāsa | tathaiva hi tatra	tena-aparityAjyatAm vyaQjayAmAsa | taTA-eva hi tatra
   śrī-gavendrasyāntaḥ-pratijñā tasmān mac-charaṇaṃ goṣṭham ity ādi |	SrI---gava-indrasya-antaH-pratijQA tasmAt mac--SaraNam gozWam iti Adi |
   [124] atha punar vācyatām |	[124] aTa punar vAcya-tAm |
   [125] vṛndā tāṃ vandamānā prāha-granthanā pūrṇatayā mayā pūrṇīkṛtāsmīti	[125] vRndA tAm vandamAnA prAha-granTanA pUrNa-tayA mayA pUrNIkRtA-asmi-iti
   kiṃvānyad vācyatā yācyatām āsīdatu ? kintu samājñāpayantu tatrabhavatyas	kiMvA-anyat vAcya-tA yAcyatAm AsIdatu ? kintu samAjQApayantu tatraBavati-as
   tad idaṃ pustakaṃ nāyakam iva hāra-vinyastaṃ karomi iti |	tat idam pustakam nAyakam iva hAra--vinyastam karomi iti |
   [126] pūrṇimāha-sāmpratam |	[126] pUrNimAha--sAmpratam |
   [127] atha vṛndā ca tathā kṛtavatī |	[127] aTa vRndA ca taTA kRtavatI |
   iti śrī-śrīmaduttara-gopāla-campūmanu	iti SrI--SrImat-uttara--gopAla--campUmanu
   bhāvi-kathā-pramāṇa-prathanaṃ nāma	BAvi-kaTA-pramANa-praTanam nAma
   ekonatriṃśaṃ pūraṇam	ekonatriMSam pUraNam
