   Viṣṇu_1	VizNu_1
   Viṣṇu 81.02 na padā spṛśet\ //	VizNu 81.02 na padA spRSet\ //
   Viṣṇu 81.03 na^avakṣutaṃ kuryāt\ //	VizNu 81.03 na^avakzutam kuryAt\ //
   Viṣṇu 81.04 tilaiḥ sarṣapair vā yātu-dhānān visarjayet\ //	VizNu 81.04 tilEH sarzapEH vA yAtu-DAnAn visarjayet\ //
   Viṣṇu 81.05 saṃvṛte ca śrāddhaṃ kuryāt\ //	VizNu 81.05 saMvRte ca SrAdDam kuryAt\ //
   Viṣṇu 81.06 na rajasvalāṃ paśyet\ //	VizNu 81.06 na rajasvalAm paSyet\ //
   Viṣṇu 81.07 na śvānam //	VizNu 81.07 na SvAnam //
   Viṣṇu 81.08 na viḍ-varāham //	VizNu 81.08 na viz--varAham //
   Viṣṇu 81.09 na grāma-kukkuṭam //	VizNu 81.09 na grAma-kukkuwam //
   Viṣṇu 81.10 prayatnāt śrāddham ajasya darśayet\ //	VizNu 81.10 prayatnAt SrAdDam ajasya darSayet\ //
   Viṣṇu 81.11 aśnīyur\ brāhmaṇāś ca vāg-yatāḥ //	VizNu 81.11 aSnIyur\ brAhmaNAH ca vAc--yatAH //
   Viṣṇu 81.12 na veṣṭita-śirasaḥ //	VizNu 81.12 na vezwita--SirasaH //
   Viṣṇu 81.13 na sopānatkāḥ //	VizNu 81.13 na sa-upAnatkAH //
   Viṣṇu 81.14 na pīṭha-upahita-pādāḥ //	VizNu 81.14 na pIWa--upahita--pAdAH //
   Viṣṇu 81.15 na hīna-aṅgā adhika-aṅgāḥ śrāddhaṃ paśyeyuḥ\ //	VizNu 81.15 na hIna--aFgAH aDika--aFgAH SrAdDam paSyeyuH\ //
   Viṣṇu 81.16 na śūdrāḥ //	VizNu 81.16 na SUdrAH //
   Viṣṇu 81.17 na patitāḥ //	VizNu 81.17 na patitAH //
   Viṣṇu 81.18 na mahā-rogiṇaḥ //	VizNu 81.18 na mahA--rogiNaH //
   Viṣṇu 81.19 tat-kālaṃ brāhmaṇaṃ brāhmaṇa-anumatena bhikṣukaṃ vā pūjayet\	VizNu 81.19 tat-kAlam brAhmaNam brAhmaNa--anumatena Bikzukam vA pUjayet-\
   Viṣṇu 81.20 havir guṇān na brāhmaṇā brūyur\ dātrā pṛṣṭāḥ //	VizNu 81.20 haviH guNAn na brAhmaNAH brUyuH-\ dAtrA pRzwAH //
   Viṣṇu 81.21a/ yāvad ūṣmā bhavaty\ anne yāvad aśnanti\ vāg-yatāḥ /	VizNu 81.21a/ yAvat UzmA Bavaty\ anne yAvat aSnanti\ vAc--yatAH /
   Viṣṇu 81.21c/ tāvad aśnanti\ pitaro yāvan na^uktā havir guṇāḥ //	VizNu 81.21c/ tAvat aSnanti\ pitaraH yAvat na^uktAH haviH guNAH //
   Viṣṇu 81.22a/ sārva-varṇikam anna-ādyaṃ saṃnīya\^āplāvya\ vāriṇā /	VizNu 81.22a/ sArva-varNikam anna-Adyam saMnIya\^AplAvya\ vAriNA /
   Viṣṇu 81.22c/ samutsṛjed\ bhuktavatām agrato vikiran bhuvi //	VizNu 81.22c/ samutsRjet-\ BuktavatAm agratas vikiran Buvi //
   Viṣṇu 81.23a/ a-saṃskṛta-pramītānāṃ tyāgināṃ kula-yoṣitām /	VizNu 81.23a/ a-saMskRta--pramItAnAm tyAginAm kula-yozitAm /
   Viṣṇu 81.23c/ ucchiṣṭaṃ bhāga-dheyaṃ syād\ darbheṣu vikiraś ca yaḥ //	VizNu 81.23c/ ucCizwam BAga-Deyam syAd\ darBezu vikiraH ca yaH //
   Viṣṇu 81.24a/ uccheṣaṇaṃ bhūmi-gatam a-jihmasya^a-śaṭhasya ca /	VizNu 81.24a/ ucCezaNam BUmi--gatam a-jihmasya^a-SaWasya ca /
   Viṣṇu 81.24c/ dāsa-vargasya tat pitrye bhāga-dheyaṃ pracakṣate\ //	VizNu 81.24c/ dAsa-vargasya tat pitrye BAga-Deyam pracakzate\ //
   Viṣṇu_82	VizNu_82
   Viṣṇu 82.01 daive karmaṇi brāhmaṇaṃ na parīkṣeta\ //	VizNu 82.01 dEve karmaNi brAhmaNam na parIkzeta\ //
   Viṣṇu 82.02 prayatnāt pitrye parīkṣeta\ //	VizNu 82.02 prayatnAt pitrye parIkzeta\ //
   Viṣṇu 82.03 hīna-adhika-aṅgān vivarjayet\ //	VizNu 82.03 hIna--aDika--aFgAn vivarjayet\ //
   Viṣṇu 82.04 vikarma-sthāṃś ca //	VizNu 82.04 vikarma--sTAn ca //
   Viṣṇu 82.05 baiḍāla-vratikān //	VizNu 82.05 bExAla-vratikAn //
   Viṣṇu 82.06 vṛthā-liṅginaḥ //	VizNu 82.06 vRTA-a-liFginaH //
   Viṣṇu 82.07 nakṣatra-jīvinaḥ //	VizNu 82.07 nakzatra--jIvinaH //
   Viṣṇu 82.08 devalakāṃś ca //	VizNu 82.08 devalakAn ca //
   Viṣṇu 82.09 cikitsakān //	VizNu 82.09 cikitsakAn //
   Viṣṇu 82.10 an-ūḍhā-putrān //	VizNu 82.10 an-UXA--putrAn //
   Viṣṇu 82.11 tat-putrān //	VizNu 82.11 tat-putrAn //
   Viṣṇu 82.12 bahu-yājinaḥ //	VizNu 82.12 bahu-yAjinaH //
   Viṣṇu 82.13 grāma-yājinaḥ //	VizNu 82.13 grAma-yAjinaH //
   Viṣṇu 82.14 śūdra-yājinaḥ //	VizNu 82.14 SUdra-yAjinaH //
   Viṣṇu 82.15 a-yājya-yājinaḥ //	VizNu 82.15 a-yAjya--yAjinaH //
   Viṣṇu 82.16 vrātyān //	VizNu 82.16 vrAtyAn //
   Viṣṇu 82.17 tad-yājinaḥ //	VizNu 82.17 tad--yAjinaH //
   Viṣṇu 82.18 parva-kārān //	VizNu 82.18 parva-kArAn //
   Viṣṇu 82.19 sūcakān //	VizNu 82.19 sUcakAn //
   Viṣṇu 82.20 bhṛtaka-adhyāpakān //	VizNu 82.20 BRtaka--aDyApakAn //
   Viṣṇu 82.21 bhṛtaka-adhyāpitān //	VizNu 82.21 BRta-ka-a-DyApitAn //
   Viṣṇu 82.22 śūdra-anna-puṣṭān //	VizNu 82.22 SUdra--anna--puzwAn //
   Viṣṇu 82.23 patita-saṃsargān //	VizNu 82.23 patita--saMsargAn //
   Viṣṇu 82.24 an-adhīyānān //	VizNu 82.24 an-aDIyAnAn //
   Viṣṇu 82.25 saṃdhyā-upāsana-bhraṣṭān //	VizNu 82.25 saMDyA--upAsana--BrazwAn //
   Viṣṇu 82.26 rāja-sevakān //	VizNu 82.26 rAja--sevakAn //
   Viṣṇu 82.27 nagnān //	VizNu 82.27 nagnAn //
   Viṣṇu 82.28 pitrā vivadamānān //	VizNu 82.28 pitrA vivadamAnAn //
   Viṣṇu 82.29 pitṛ-mātṛ-gurv-agni-sva-adhyāya-tyāginaś ca //	VizNu 82.29 pitR-mAtR-guru--agni--sva--aDyAya--tyAginaH ca //
   Viṣṇu 82.30a/ brāhmaṇa-apaśadā hy ete kathitāḥ paṅkti-dūṣakāḥ /	VizNu 82.30a/ brAhmaNa--a-paSadAH hi ete kaTitAH paFkti-dUzakAH /
   Viṣṇu 82.30c/ etān vivarjayed\ yatnāc^śrāddha-karmaṇi paṇḍitaḥ //	VizNu 82.30c/ etAn vivarjayed\ yatnAt-^SrAdDa-karmaNi paNxitaH //
   Viṣṇu_83	VizNu_83
   Viṣṇu 83.01 atha paṅkti-pāvanāḥ //	VizNu 83.01 aTa paFkti--pAvanAH //
   Viṣṇu 83.02 triṇāciketaḥ //	VizNu 83.02 triNAciketaH //
   Viṣṇu 83.03 pañca-agniḥ //	VizNu 83.03 paQca-agniH //
   Viṣṇu 83.04 jyeṣṭha-sāma-gaḥ //	VizNu 83.04 jyezWa--sAma-gaH //
   Viṣṇu 83.05 veda-pāra-gaḥ //	VizNu 83.05 veda--pAra--gaH //
   Viṣṇu 83.06 veda-aṅgasya^apy ekasya pāra-gaḥ //	VizNu 83.06 veda--aFgasya^api ekasya pAra-gaH //
   Viṣṇu 83.07 purāṇa-itihāsa-vyākaraṇa-pāra-gaḥ //	VizNu 83.07 purANa--itihAsa--vyAkaraNa--pAra--gaH //
   Viṣṇu 83.08 dharma-śāstrasya^apy ekasya pāra-gaḥ //	VizNu 83.08 Darma-SAstrasya^api ekasya pAra-gaH //
   Viṣṇu 83.09 tīrtha-pūtaḥ //	VizNu 83.09 tIrTa-pUtaH //
   Viṣṇu 83.10 yajña-pūtaḥ //	VizNu 83.10 yajQa-pUtaH //
   Viṣṇu 83.11 tapaḥ-pūtaḥ //	VizNu 83.11 tapaH--pUtaH //
   Viṣṇu 83.12 satya-pūtaḥ //	VizNu 83.12 satya-pUtaH //
   Viṣṇu 83.13 mantra-pūtaḥ //	VizNu 83.13 mantra-pUtaH //
   Viṣṇu 83.14 gāyatrī-japa-nirataḥ //	VizNu 83.14 gAyatrI--japa--nirataH //
   Viṣṇu 83.15 brahma-deya-anusaṃtānaḥ //	VizNu 83.15 brahma-deya--anusaMtAnaH //
   Viṣṇu 83.16 trisuparṇaḥ //	VizNu 83.16 trisuparNaH //
   Viṣṇu 83.17 jāmātā //	VizNu 83.17 jAmAtA //
   Viṣṇu 83.18 dauhitraś ca^iti pātram //	VizNu 83.18 dOhitraH ca^iti pAtram //
   Viṣṇu 83.19 viśeṣeṇa ca yoginaḥ //	VizNu 83.19 viSezeNa ca yoginaH //
   Viṣṇu 83.20 atra pitṛ-gītā gāthā bhavati\ //	VizNu 83.20 atra pitR-gItA gATA Bavati\ //
   Viṣṇu 83.21a/ api sa syāt\ kule^asmākaṃ bhojayed\ yas tu yoginam /	VizNu 83.21a/ api sa syAt\ kule^asmAkam Bojayed\ yaH tu yoginam /
   Viṣṇu 83.21c/ vipraṃ śrāddhe prayatnena yena tṛpyāmahe\ vayam //	VizNu 83.21c/ vipram SrAdDe prayatnena yena tRpyAmahe\ vayam //
   Viṣṇu_84	VizNu_84
   Viṣṇu 84.01 na mleccha-viṣaye śrāddhaṃ kuryāt\ //	VizNu 84.01 na mlecCa--vizaye SrAdDam kuryAt\ //
   Viṣṇu 84.02 na gacchen\ mleccha-viṣayam //	VizNu 84.02 na gacCen\ mlecCa--vizayam //
   Viṣṇu 84.03 para-nipāneṣv apaḥ pītvā\ tat-sāmyam upagacchati\^iti //	VizNu 84.03 para-nipAnezu apaH pItvA\ tat-sAmyam upagacCati\^iti //
   Viṣṇu 84.04a/ cātur-varṇya-vyavasthānaṃ yasmin deśe na vidyate\ /	VizNu 84.04a/ cAtur-varNya--vyavasTAnam yasmin deSe na vidyate\ /
   Viṣṇu 84.04c/ sa mleccha-deśo jijñeya āryāvartas tataḥ paraḥ //	VizNu 84.04c/ sa mlecCa-deSaH jijQeyaH AryAvartaH tatas paraH //
   Viṣṇu_85	VizNu_85
   Viṣṇu 85.01 atha puṣkareṣv a-kṣayaṃ śrāddham //	VizNu 85.01 aTa puzkarezu a-kzayam SrAdDam //
   Viṣṇu 85.02 japya-homa-tapāṃsi ca //	VizNu 85.02 japya--homa--tapAMsi ca //
   Viṣṇu 85.03 puṣkare snāna-mātrāt sarva-pāpebhyaḥ pūto bhavati\ //	VizNu 85.03 puzkare snAna--mAtrAt sarva-pApeByaH pUtaH Bavati\ //
   Viṣṇu 85.04 evam eva gayāśīrṣe //	VizNu 85.04 evam eva gayASIrze //
   Viṣṇu 85.05 vaṭe //	VizNu 85.05 vawe //
   Viṣṇu 85.06 amarakaṇṭaka-parvate //	VizNu 85.06 amarakaNwaka--parvate //
   Viṣṇu 85.07 varāha-parvate //	VizNu 85.07 varAha-parvate //
   Viṣṇu 85.08 yatra kva-cana narmadā-tīre //	VizNu 85.08 yatra kva-cana narmadA--tIre //
   Viṣṇu 85.09 yamunā-tīre //	VizNu 85.09 yamunA--tIre //
   Viṣṇu 85.10 gaṅgāyāṃ viśeṣataḥ //	VizNu 85.10 gaFgAyAm viSezataH //
   Viṣṇu 85.11 kuśāvarte //	VizNu 85.11 kuSAvarte //
   Viṣṇu 85.12 binduke //	VizNu 85.12 binduke //
   Viṣṇu 85.13 nīla-parvate //	VizNu 85.13 nIla-parvate //
   Viṣṇu 85.14 kanakhale //	VizNu 85.14 kanaKale //
   Viṣṇu 85.15 kubjāmre //	VizNu 85.15 kubjAmre //
   Viṣṇu 85.16 bhṛgutuṅge //	VizNu 85.16 BRgutuFge //
   Viṣṇu 85.17 kedāre //	VizNu 85.17 kedAre //
   Viṣṇu 85.18 mahālaye //	VizNu 85.18 mahAlaye //
   Viṣṇu 85.19 naḍantikāyām //	VizNu 85.19 naxantikAyAm //
   Viṣṇu 85.20 sugandhāyām //	VizNu 85.20 suganDAyAm //
   Viṣṇu 85.21 śākaṃbharyām //	VizNu 85.21 SAkaMBaryAm //
   Viṣṇu 85.22 phalgutīrthe //	VizNu 85.22 PalgutIrTe //
   Viṣṇu 85.23 mahāgaṅgāyām //	VizNu 85.23 mahAgaFgAyAm //
   Viṣṇu 85.24 trihalikāgrāme //	VizNu 85.24 tri-halikA-grAme //
   Viṣṇu 85.25 kumāradhārāyām //	VizNu 85.25 kumAraDArAyAm //
   Viṣṇu 85.26 prabhāse //	VizNu 85.26 praBAse //
   Viṣṇu 85.27 yatra kva-cana sarasvatyāṃ viśeṣataḥ //	VizNu 85.27 yatra kva-cana sarasvatyAm viSezataH //
   Viṣṇu 85.28 gaṅgādvāre //	VizNu 85.28 gaFgAdvAre //
   Viṣṇu 85.29 prayāge ca //	VizNu 85.29 prayAge ca //
   Viṣṇu 85.30 gaṅgā-sāgara-saṃgame //	VizNu 85.30 gaFgA-sAgara--saMgame //
   Viṣṇu 85.31 satataṃ naimiṣa-araṇye //	VizNu 85.31 satatam nEmiza-araNye //
   Viṣṇu 85.32 vārāṇasyāṃ viśeṣataḥ //	VizNu 85.32 vArANasyAm viSezataH //
   Viṣṇu 85.33 agastya-āśrame //	VizNu 85.33 agastya-ASrame //
   Viṣṇu 85.34 kaṇVa-āśrame //	VizNu 85.34 kaNVa-a-ASrame //
   Viṣṇu 85.35 kauśikyām //	VizNu 85.35 kOSikyAm //
   Viṣṇu 85.36 sarayū-tīre //	VizNu 85.36 sarayU--tIre //
   Viṣṇu 85.37 śoṇasya jyotiṣāyāś ca saṃgame //	VizNu 85.37 SoNasya jyotizAyAH ca saMgame //
   Viṣṇu 85.38 śrīparvate //	VizNu 85.38 SrIparvate //
   Viṣṇu 85.39 kālodake //	VizNu 85.39 kAla-udake //
   Viṣṇu 85.40 uttaramānase //	VizNu 85.40 uttara-mAnase //
   Viṣṇu 85.41 baḍabāyām //	VizNu 85.41 baxabAyAm //
   Viṣṇu 85.42 mataṅgavāpyām //	VizNu 85.42 mataFga-vApyAm //
   Viṣṇu 85.43 saptārṣe //	VizNu 85.43 sapta-Arze //
   Viṣṇu 85.44 viṣṇupade //	VizNu 85.44 vizNupade //
   Viṣṇu 85.45 svargamārgapade //	VizNu 85.45 svarga-mArga-pade //
   Viṣṇu 85.46 godāvaryām //	VizNu 85.46 godAvaryAm //
   Viṣṇu 85.47 gomatyām //	VizNu 85.47 gomatyAm //
   Viṣṇu 85.48 vetravatyām //	VizNu 85.48 vetravatyAm //
   Viṣṇu 85.49 vipāśāyām //	VizNu 85.49 vipASAyAm //
   Viṣṇu 85.50 vitastāyām //	VizNu 85.50 vitastAyAm //
   Viṣṇu 85.51 śatadrū-tīre //	VizNu 85.51 SatadrU--tIre //
   Viṣṇu 85.52 candrabhāgāyām //	VizNu 85.52 candraBAgAyAm //
   Viṣṇu 85.53 irāvatyām //	VizNu 85.53 irAvatyAm //
   Viṣṇu 85.54 sindhos tīre //	VizNu 85.54 sinDoH tIre //
   Viṣṇu 85.55 dakṣiṇe pañcanade //	VizNu 85.55 dakziNe paQcanade //
   Viṣṇu 85.56 ausaje //	VizNu 85.56 Osaje //
   Viṣṇu 85.57 evam-ādiṣv atha^anyeṣu tīrtheṣu //	VizNu 85.57 evam-Adizu aTa^anyezu tIrTezu //
   Viṣṇu 85.58 sarid-varāsu //	VizNu 85.58 sarit--varAsu //
   Viṣṇu 85.59 sarveṣv api sva-bhāveṣu //	VizNu 85.59 sarvezu api sva-BAvezu //
   Viṣṇu 85.60 pulineṣu //	VizNu 85.60 pulinezu //
   Viṣṇu 85.61 prasravaṇeṣu //	VizNu 85.61 prasravaNezu //
   Viṣṇu 85.62 parvateṣu //	VizNu 85.62 parvatezu //
   Viṣṇu 85.63 nikuñjeṣu //	VizNu 85.63 nikuQjezu //
   Viṣṇu 85.64 vaneṣu //	VizNu 85.64 vanezu //
   Viṣṇu 85.65 upavaneṣu //	VizNu 85.65 upavanezu //
   Viṣṇu 85.66 gomayena^upalipteṣu gṛheṣu //	VizNu 85.66 gomayena^upaliptezu gRhezu //
   Viṣṇu 85.67 manojñeṣu //	VizNu 85.67 manojQezu //
   Viṣṇu 85.68 atra ca pitṛ-gītā gāthā bhavanti\ //	VizNu 85.68 atra ca pitR--gItAH gATAH Bavanti\ //
   Viṣṇu 85.69a/ kule^asmākaṃ sa jantuḥ syād\ yo no dadyāj\ jala-añjalīn /	VizNu 85.69a/ kule^asmAkam sa jantuH syAd\ yaH naH dadyAj\ jala-aQjalIn /
   Viṣṇu 85.69c/ nadīṣu bahu-toyāsu śītalāsu viśeṣataḥ //	VizNu 85.69c/ nadIzu bahu--toyAsu SItalAsu viSezataH //
   Viṣṇu 85.70a/ api jāyeta\ so^asmākaṃ kule kaś-cin nara-uttamaḥ /	VizNu 85.70a/ api jAyeta\ saH-^asmAkam kule kaS-cid nara-uttamaH /
   Viṣṇu 85.70c/ gayāśīrṣe vaṭe śrāddhaṃ yo naḥ kuryāt\ samāhitaḥ //	VizNu 85.70c/ gayASIrze vawe SrAdDam yaH naH kuryAt\ samAhitaH //
   Viṣṇu 85.71a/ eṣṭavyā bahavaḥ putrā yady eko^api gayāṃ vrajet\ /	VizNu 85.71a/ ezwavyAH bahavaH putrAH yadi ekaH-^api gayAm vrajet\ /
   Viṣṇu 85.71c/ yajeta\ vā^aśvamedhena nīlaṃ vā vṛṣam utsṛjet\ //	VizNu 85.71c/ yajeta\ vE-^aSvameDena nIlam vA vRzam utsRjet\ //
   Viṣṇu_86	VizNu_86
   Viṣṇu 86.01 atha vṛṣa-utsargaḥ //	VizNu 86.01 aTa vRza-utsargaH //
   Viṣṇu 86.02 kārttikyām āśvayujyāṃ vā //	VizNu 86.02 kArttikyAm ASvayujyAm vA //
   Viṣṇu 86.03 tatra^ādāv eva vṛṣabhaṃ parīkṣeta\ //	VizNu 86.03 tatra^AdO eva vRzaBam parIkzeta\ //
   Viṣṇu 86.04 jīvad-vatsāyāḥ payasvinyāḥ putram //	VizNu 86.04 jIvat--vatsAyAH payasvinyAH putram //
   Viṣṇu 86.05 sarva-lakṣaṇa-upetam //	VizNu 86.05 sarva--lakzaNa--upetam //
   Viṣṇu 86.06 nīlam //	VizNu 86.06 nIlam //
   Viṣṇu 86.07 lohitaṃ vā mukha-puccha-pāda-śṛṅga-śuklam //	VizNu 86.07 lohitam vA muKa-pucCa--pAda--SRFga--Suklam //
   Viṣṇu 86.08 yūthasya^ācchādakam //	VizNu 86.08 yUTasya^AcCAdakam //
   Viṣṇu 86.09 tato gavāṃ madhye su-samiddham agniṃ paristīrya\ pauṣṇaṃ caruṃ	VizNu 86.09 tatas gavAm maDye su--samidDam agnim paristIrya\ pOzNam carum
   payasā śrapayitvā\ pūṣā gā anvetu\ na iha ratir iti ca hutvā\ vṛṣam	payasA SrapayitvA\ pUzA gAH anvetu\ na iha ratiH iti ca hutvA\ vRzam
   ayas-kāras tv aṅkayet\ //	ayas-kAraH tu aFkayet\ //
   Viṣṇu 86.10 ekasmin pārśve cakreṇa^aparasmin pārśve śūlena //	VizNu 86.10 ekasmin pArSve cakreNa^aparasmin pArSve SUlena //
   Viṣṇu 86.11 aṅkitaṃ ca hiraṇya-varṇā^iti catasṛbhiḥ śaṃ no devīr iti ca	VizNu 86.11 aFkitam ca hiraNya--varNAH-^iti catasRBiH Sam naH devIH iti ca
   snāpayet\ //	snApayet\ //
   Viṣṇu 86.12 snātam alaṃkṛtaṃ snāta-alaṃkṛtābhiś catasṛbhir vatsatarībhiḥ	VizNu 86.12 snAtam alaMkRtam snAta-alaMkRtABiH catasRBiH vatsatarIBiH
   sārdham ānīya\ rudrān puruṣa-sūktaṃ kūśmāṇḍīś ca japet\ //	sArDam AnIya\ rudrAn puruza-su-uktam kUSmANxIH ca japet\ //
   Viṣṇu 86.13 pitā vatsānām iti vṛṣabhasya dakṣiṇe karṇe paṭhet\ //	VizNu 86.13 pitA vatsAnAm iti vRzaBasya dakziNe karNe paWet\ //
   Viṣṇu 86.14 imaṃ ca //	VizNu 86.14 imam ca //
   Viṣṇu 86.15a/ vṛṣo hi bhagavān dharmaś catuṣ-pādaḥ prakīrtitaḥ /	VizNu 86.15a/ vRzaH hi BagavAn DarmaH catuz-pAdaH prakIrtitaH /
   Viṣṇu 86.15c/ vṛṇomi\ tam ahaṃ bhaktyā sa me rakṣatu\ sarvataḥ //	VizNu 86.15c/ vRNomi\ tam aham BaktyA sa me rakzatu\ sarvatas //
   Viṣṇu 86.16a/ etaṃ yuvānaṃ patiṃ vo dadāmy\ anena krīḍantīś carata\	VizNu 86.16a/ etam yuvAnam patim vaH dadAmy\ anena krIxantIH carata\
   priyeṇa /	priyeNa /
   Viṣṇu 86.16c/ mā hāsmahi\ prajayā mā tanūbhir mā radhāma\ dviṣate soma	VizNu 86.16c/ mA hAsmahi\ prajayA mA tanUBiH mA raDAma\ dvizate soma
   rājan //	rAjan //
   Viṣṇu 86.17a/ vṛṣaṃ vatsatarī-yuktam aiśānyāṃ kārayed\ diśi /	VizNu 86.17a/ vRzam vatsatarI--yuktam ESAnyAm kArayet-\ diSi /
   Viṣṇu 86.17c/ hotur vastra-yugaṃ dadyāt\ suvarṇaṃ kāṃsyam eva ca //	VizNu 86.17c/ hotuH vastra--yugam dadyAt\ suvarNam kAMsyam eva ca //
   Viṣṇu 86.18a/ ayas-kārasya dātavyaṃ vetanaṃ manasā^īpsitam /	VizNu 86.18a/ ayas-kArasya dAtavyam vetanam manasA^Ipsitam /
   Viṣṇu 86.18c/ bhojanaṃ bahu-sarpiṣkaṃ brāhmaṇāṃś ca^atra bhojayet\ //	VizNu 86.18c/ Bojanam bahu--sarpizkam brAhmaNAn ca^atra Bojayet\ //
   Viṣṇu 86.19a/ utsṛṣṭo vṛṣabho yasmin pibaty\ atha jala-āśaye /	VizNu 86.19a/ utsRzwaH vRzaBaH yasmin pibaty\ aTa jala-ASaye /
   Viṣṇu 86.19c/ jala-āśayaṃ tat sakalaṃ pitṛṛṃs tasya^upatisṭhati\ //	VizNu 86.19c/ jala-ASayam tat sakalam pitRRM tasya^upatisWati\ //
   Viṣṇu 86.20a/ śṛṅgeṇa^ullikhate\ bhūmiṃ yatra kva-cana darpitaḥ /	VizNu 86.20a/ SRFgeNa^ulliKate\ BUmim yatra kva-cana darpitaH /
   Viṣṇu 86.20c/ pitṛṛṇām anna-pānaṃ tat prabhūtam upatiṣṭhati\ //	VizNu 86.20c/ pitRRNAm anna-pAnam tat praBUtam upatizWati\ //
   Viṣṇu_87	VizNu_87
   Viṣṇu 87.01 atha vaiśākhyāṃ paurṇamāsyāṃ kṛṣṇa-ajinaṃ sa-khuraṃ sa-śṛṅgaṃ	VizNu 87.01 aTa vESAKyAm pOrNamAsyAm kRzNa--ajinam sa-Kuram sa-SRFgam
   suvarṇa-śṛṅgaṃ raupya-khuraṃ mauktika-lāṅgūla-bhūṣitaṃ kṛtvā\^āvike ca	suvarNa--SRFgam rOpya-Kuram mOktika-lAFgUla-BUzitam kRtvA\^Avike ca
   vastre prasārayet\ //	vastre prasArayet\ //
   Viṣṇu 87.02 tatas tilaiḥ pracchādayet\ //	VizNu 87.02 tatas tilEH pracCAdayet\ //
   Viṣṇu 87.03 suvarṇa-nābhiṃ ca kuryāt\ //	VizNu 87.03 suvarNa-nABim ca kuryAt\ //
   Viṣṇu 87.04 ahatena vāso-yugena pracchādayet\ //	VizNu 87.04 ahatena vAso-yugena pracCAdayet\ //
   Viṣṇu 87.05 sarva-gandha-ratnaiś ca^alaṃkṛtaṃ kuryāt\ //	VizNu 87.05 sarva-ganDa--ratnEH ca^alaMkRtam kuryAt\ //
   Viṣṇu 87.06 catasṛṣu dikṣu catvāri taijasāni pātrāṇi	VizNu 87.06 catasRzu dikzu catvAri tEjasAni pAtrANi
   kṣīra-dadhi-madhu-ghṛta-pūrṇāni nidhyāya\^āhita-agnaye	kzIra-daDi--maDu--GRta--pUrNAni niDyAya\^Ahita--agnaye
   brāhmaṇāya^alaṃkṛtāya vāso-yugena pracchāditāya dadyāt\ //	brAhmaNAya^alaMkRtAya vAso-yugena pracCAditAya dadyAt\ //
   Viṣṇu 87.07 atra ca gāthā bhavanti\ //	VizNu 87.07 atra ca gATAH Bavanti\ //
   Viṣṇu 87.08a/ yas tu kṛṣṇa-ajinaṃ dadyāt\ sa-khuraṃ śṛṅga-saṃyutam /	VizNu 87.08a/ yaH tu kRzNa--ajinam dadyAt\ sa-Kuram SRFga--saMyutam /
   Viṣṇu 87.08c/ tilaiḥ pracchādya\ vāsobhiḥ sarva-ratnair alaṃkṛtam //	VizNu 87.08c/ tilEH pracCAdya\ vAsoBiH sarva-ratnEH alaMkRtam //
   Viṣṇu 87.09a/ sa-samudra-guhā tena sa-śaila-vana-kānanā /	VizNu 87.09a/ sa--samudra--guhA tena sa-SEla-vana--kAnanAH /
   Viṣṇu 87.09c/ caturantā bhaved\ dattā pṛthivī na^atra saṃśayaḥ //	VizNu 87.09c/ catur-antA Bavet-\ dattA pRTivI na^atra saMSayaH //
   Viṣṇu 87.10a/ kṛṣṇa-ajine tilān kṛtvā\ hiraṇyaṃ madhu-sarpiṣī /	VizNu 87.10a/ kRzNa--ajine tilAn kRtvA\ hiraNyam maDu--sarpizI /
   Viṣṇu 87.10c/ dadāti\ yas tu viprāya sarvaṃ tarati\ duṣ-kṛtam //	VizNu 87.10c/ dadAti\ yaH tu viprAya sarvam tarati\ duz-kRtam //
   Viṣṇu_88	VizNu_88
   Viṣṇu 88.01 atha prasūyamānā gauḥ pṛthivī bhavati\ //	VizNu 88.01 aTa prasUyamAnA gOH pRTivI Bavati\ //
   Viṣṇu 88.02 tām alaṃkṛtāṃ brāhmaṇāya dattvā\ pṛthivī-dāna-phalam āpnoti\	VizNu 88.02 tAm alaMkRtAm brAhmaNAya dattvA\ pRTivI-dAna--Palam Apnoti\
   Viṣṇu 88.03 atra gāthā bhavati\ //	VizNu 88.03 atra gATA Bavati\ //
   Viṣṇu 88.04a/ sa-vatsā-roma-tulyāni yugāny ubhayato-mukhīm /	VizNu 88.04a/ sa-vat-sA--roma--tulyAni yugAni uBayato-muKIm /
   Viṣṇu 88.04c/ dattvā\ svargam avāpnoti\ śraddadhānaḥ samāhitaḥ //	VizNu 88.04c/ dattvA\ svargam avApnoti\ SraddaDAnaH samAhitaH //
   Viṣṇu_89	VizNu_89
   Viṣṇu 89.01 māsaḥ kārttiko^agni-daivatyaḥ //	VizNu 89.01 mAsaH kArttikaH-^agni-dEvatyaH //
   Viṣṇu 89.02 agniś ca sarva-devānāṃ mukham //	VizNu 89.02 agniH ca sarva-devAnAm muKam //
   Viṣṇu 89.03 tasmāt tu kārttikaṃ māsaṃ bahiḥ-snāyī gāyatrī-japa-nirataḥ	VizNu 89.03 tasmAt tu kArttikam mAsam bahis--snAyI gAyatrI--japa--nirataH
   sakṛd eva haviṣya-āśī saṃvatsara-kṛtāt pāpāt pūto bhavati\ //	sakRt eva havizya-ASI saMvatsara-kRtAt pApAt pUtaH Bavati\ //
