   ṛṣaya ūcuḥ	RzayaH UcuH
   gopīgṛhāṅgaṇaratirbhadraḥ suślokamaṅgalaḥ // NarP_1,82.48 //	gopI gRha aFgaNa ratiH BadraH su Sloka maFgalaH // NA rP_1,82.48 //
   navanītaharo bālo navanītapriyāśanaḥ /	navanIta haraH bAlaH navanIta priyASanaH /
   bālavṛndī markavṛndī cakitākṣaḥ palāyitaḥ // NarP_1,82.49 //	bAlavRndI marka vRndI cakita akzaH palAyitaH // NA rP_1,82.49 //
   yaśodātarjitaḥ kaṃpī māyāruditaśobhanaḥ /	yaSodA tarjitaH kaMpI mAyA rudita SoBanaH /
   dāmodaro 'prameyātmā dayālurbhaktavatsalaḥ // NarP_1,82.50 //	dAmodaraH aprameya AtmA dayAluH Bakta vatsalaH // NA rP_1,82.50 //
   subaddholūkhale namraśirā gopīkadarthitaḥ /	su badDa ulUKale namraSirAH gopIka darTitaH /
   vṛkṣabhaṅgī śokabhaṅgī dhanadātmajamokṣaṇaḥ // NarP_1,82.51 //	vRkza BaFgI Soka BaFgI Danada Atmaja mokzaNaH // NA rP_1,82.51 //
   devarṣivacanaślāghī bhaktavātsalyasāgaraḥ /	deva Rzi vacana SlAGI Bakta vAtsalya sAgaraH /
   vrajakolāhalakaro vrajānadavivarddhanaḥ // NarP_1,82.52 //	vraja kolAhala karaH vrajAnada vivardDanaH // NA rP_1,82.52 //
   gopātmā prerakaḥ sākṣī vṛndāvananivāsakṛt /	gopa AtmA prerakaH sAkzI vRndAvana nivAsa kRt /
   vatsapālo vatsapatirgopadārakamaṇḍanaḥ // NarP_1,82.53 //	vatsapAlaH vatsapatiH gopa dAraka maNxanaH // NA rP_1,82.53 //
   bālakrīḍo bālaratirbālakaḥ kanakāṅgadī /	bAlakrIxaH bAlaratiH bAlakaH kanaka aFgadI /
   pītāmbaro hemamālī maṇimuktāvibhūṣaṇaḥ // NarP_1,82.54 //	pIta ambaraH hema mAlI maNi muktA viBUzaNaH // NA rP_1,82.54 //
   kiṅkiṇīkaṭakī sūtrī nūpurī mudri kānvitaḥ /	kiFkiNI kawakI sUtrI nUpurI mudri kA anvitaH /
   vatsāsurapatidhvaṃsī bakāsuravināśanaḥ // NarP_1,82.55 //	vatsa asura pati DvaMsI baka asura vinASanaH // NA rP_1,82.55 //
   aghāsuravināśī ca vinidrīkṛtabālakaḥ /	aGa asura vinASI ca vinidrIkRta bAlakaH /
   ādya ātmapradaḥ saṃgī yamunātīrabhojanaḥ // NarP_1,82.56 //	AdyaH Atma pradaH saMgI yamunA tIra BojanaH // NA rP_1,82.56 //
   gopālamaṇḍalīmadhyaḥ sarvagopālabhūṣaṇaḥ /	gopAla maNxalI maDyaH sarva gopAla BUzaNaH /
   kṛtahastatalagrāso vyañjanāśritaśākhikaḥ // NarP_1,82.57 //	kRta hasta tala grAsaH vyaQjana ASrita SAKikaH // NA rP_1,82.57 //
   kṛtabāhuśṛṅgayaṣṭiguñjālaṅkṛtakaṇṭhakaḥ /	kRta bAhu SRFga yazwi guQjA alaFkRta kaNWakaH /
   mayūrapicchamukuṭo vanamālāvibhūṣitaḥ // NarP_1,82.58 //	mayUra picCa mukuwaH vanamAlA viBUzitaH // NA rP_1,82.58 //
   gairikācitritavapurnavameghavapuḥ smaraḥ /	gErikA citrita vapuH nava meGa vapuH smaraH /
   koṭikandarpalāvaṇyo lasanmakarakuṇḍalaḥ // NarP_1,82.59 //	kowi kandarpa lAvaNyaH lasat makara kuNxalaH // NA rP_1,82.59 //
   ājānubāhurbhagavānnidrārahitalocanaḥ /	AjAnu bAhuH BagavAn nidrA rahita locanaH /
   koṭisāgaragābhīryaḥ kālakālaḥ sadāśivaḥ // NarP_1,82.60 //	kowi sAgara gABIryaH kAla kAlaH sadASivaH // NA rP_1,82.60 //
   virañcimohanavapurgopavatsavapurddharaḥ /	viraQci moha nava purgopa vat sava purdDaraH /
   brahmāṇḍakoṭijanako brahmamohavināśakaḥ // NarP_1,82.61 //	brahmANxa kowi janakaH brahma moha vinASakaH // NA rP_1,82.61 //
   brahmā brahmeḍitaḥ svāmī śakradarpādināśanaḥ /	brahmA brahmexitaH svAmI Sakra darpa Adi nASanaH /
   giripūjopadeṣṭā ca dhṛtagovarddhanācalaḥ // NarP_1,82.62 //	giri pUjA upadezwA ca DRta go vardDana acalaH // NA rP_1,82.62 //
   purandareḍitaḥ pūjyaḥ kāmadhenuprapūjitaḥ /	purandarexitaH pUjyaH kAmaDenu prapUjitaH /
   sarvatīrthābhiṣiktaśca govindo goparakṣakaḥ // NarP_1,82.63 //	sarva tIrTa aBiziktaH ca govindaH goparakzakaH // NA rP_1,82.63 //
   kāliyārtikaraḥ krūro nāgapatnīḍito virāṭ /	kAliya Arti karaH krUraH nAga patnIxitaH virAj /
   dhenukāriḥ pralaṃbārirvṛṣāsuravimardanaḥ // NarP_1,82.64 //	DenukAriH pralaMbAriH vRza asura vimardanaH // NA rP_1,82.64 //
   māyāsurātmajadhvaṃsī keśikaṇṭhavidārakaḥ /	mAyA asura Atmaja DvaMsI keSikaNWa vidArakaH /
   gopagoptā dhenugoptā dāvāgnipariśoṣakaḥ // NarP_1,82.65 //	gopa goptA Denu goptA dAva agni pariSozakaH // NA rP_1,82.65 //
   gopakanyāvastrahārī gopakanyāvarapradaḥ /	gopa kanyA vastra hArI gopa kanyA vara pradaH /
   yajñapatnyannabhojī ca munimānāpahārakaḥ // NarP_1,82.66 //	yajQa patnI anna BojI ca muni mAna apahArakaH // NA rP_1,82.66 //
   jaleśamānamathano nandagopālajīvanaḥ /	jaleSa mAna maTanaH nanda gopAla jIvanaH /
   gandharvaśāpamoktā ca śaṅkhacūḍaśiroharaḥ // NarP_1,82.67 //	ganDarva SApama uktA ca SaFKacUxa SiraH haraH // NA rP_1,82.67 //
   vaṃśī vaṭī veṇuvādī gopīcintāpahārakaḥ /	vaMSI vawI veNu vAdI gopI cintA apahArakaH /
   sarvagoptā samāhvānaḥ sarvagopīmanorathaḥ // NarP_1,82.68 //	sarva goptA samAhvAnaH sarva gopI manoraTaH // NA rP_1,82.68 //
   vyaṅgadharmapravaktā ca gopīmaṇḍalamohanaḥ /	vyaFga Darma pravaktA ca gopI maNxala mohanaH /
   rāsakrīḍārasāsvādī rasiko rādhikādhavaḥ // NarP_1,82.69 //	rAsa krIxA rasa AsvAdI rasikaH rADikA DavaH // NA rP_1,82.69 //
   kiśorīprāṇanāthaśca vṛṣabhānasutāpriyaḥ /	kiSorI prANanATaH ca vRzaBAna suta apriyaH /
   sarvagopījanānandī gopījanavimohanaḥ // NarP_1,82.70 //	sarva gopI jana AnandI gopI jana vimohanaH // NA rP_1,82.70 //
   gopikāgītacarito gopīnartanalālasaḥ /	gopikA gIta caritaH gopInartana lAlasaH /
   gopīskandhāśritakaro gopikācuṃbanapriyaḥ // NarP_1,82.71 //	gopIskanDa ASrita karaH gopikA cuMbana priyaH // NA rP_1,82.71 //
   gopikāmārjitamukho gopīvyañjanavījitaḥ /	gopi kAma arjita muKaH gopI vyaQjana vIjitaH /
   gopikākeśasaṃskārī gopikāpuṣpasaṃstaraḥ // NarP_1,82.72 //	gopikA keSa saMskArI gopikA puzpa saMstaraH // NA rP_1,82.72 //
   gopikāhṛdayālaṃbī gopīvahanatatparaḥ /	gopikA hRdaya AlaMbI gopI vahana tatparaH /
   gopikāmadahārī ca gopikāparamārjitaḥ // NarP_1,82.73 //	gopi kAmada hArI ca gopika aparama arjitaH // NA rP_1,82.73 //
   gopikākṛtasaṃnīlo gopikāsaṃsmṛtapriyaḥ /	gopikA kRta saMnIlaH gopikA saMsmRta priyaH /
   gopikāvanditapado gopikāvaśavartanaḥ // NarP_1,82.74 //	gopikA vandita padaH gopikA vaSa vartanaH // NA rP_1,82.74 //
   rādhā parājitaḥ śrīmānnikuñjesuvihāravān /	rADA parAjitaH SrImAn nikuQjesu vihAravAn /
   kuñjapriyaḥ kuñjavāsī vṛndāvanavikāsanaḥ // NarP_1,82.75 //	kuQja priyaH kuQja vAsI vRndAvana vikAsanaH // NA rP_1,82.75 //
   yamunājalasiktāṅgo yamunāsaukhyadāyakaḥ /	yamunA jala sikta aFgaH yamunA sOKya dAyakaH /
   śaśisaṃstaṃbhanaḥ śūraḥ kāmī kāmavimohanaḥ // NarP_1,82.76 //	SaSi saMstaMBanaH SUraH kAmI kAma vimohanaH // NA rP_1,82.76 //
   kāmādyāḥ kāmanāthaśca kāmamānasabhedanaḥ /	kAma AdyAH kAmanATaH ca kAma mAnasa BedanaH /
   kāmadaḥ kāmarūpaśca kāminīkāmasaṃcayaḥ // NarP_1,82.77 //	kAma daH kAmarUpaH ca kAminI kAma saMcayaH // NA rP_1,82.77 //
   nityakrīḍo mahālīlaḥ sarvaḥ sarvagatastathā /	nitya krIxaH mahA lIlaH sarvaH sarva gataH taTA /
   paramātmā parādhīśaḥ sarvakāraṇakāraṇaḥ (m) // NarP_1,82.78 //	paramAtmA parADISaH sarva kAraNa kAraNaH (m) // NA rP_1,82.78 //
   gṛhītanāradavacā hyakrūraparicintitaḥ /	gRhIta nArada vacAH hi akrUra paricintitaH /
   akrūravanditapado gopikātoṣakārakaḥ // NarP_1,82.79 //	akrUra vandita padaH gopikA toza kArakaH // NA rP_1,82.79 //
   akrūravākyasaṃgrāhī mathurāvāsakāraṇaḥ (m) /	akrUra vAkya saMgrAhI maTurA vAsa kAraNaH (m) /
   akrūratāpaśamano rajakāyuḥpraṇāśanaḥ // NarP_1,82.80 //	akrUra tApa SamanaH rajaka AyuH praNASanaH // NA rP_1,82.80 //
   mathurānandadāyī ca kaṃsavastraviluṇṭhanaḥ /	maTurA Ananda dAyI ca kaMsa vastra viluNWanaH /
   kaṃsavastraparīdhāno gopavastrapradāyakaḥ // NarP_1,82.81 //	kaMsa vastra parIDAnaH gopa vastra pradAyakaH // NA rP_1,82.81 //
   sudāmagṛhagāmī ca sudāmaparipūjitaḥ /	sudAma gRha gAmI ca sudAma paripUjitaH /
   tantuvāya kasaṃprītaḥ kubjācandanalepanaḥ // NarP_1,82.82 //	tantuvAya ka saMprItaH kubjAcandana lepanaH // NA rP_1,82.82 //
   kubjārūpaprado vijño mukundo viṣṭaraśravāḥ /	kubjA rUpa pradaH vijQaH mukundaH vizwaraSravAH /
   sarvajño mathurālokī sarvalokābhinandanaḥ // NarP_1,82.83 //	sarvajQaH maTurA lokI sarva loka aBinandanaH // NA rP_1,82.83 //
   kṛpākaṭākṣadarśī ca daityārirdevapālakaḥ /	kRpA kawAkza darSI ca dEtyAriH devapAlakaH /
   sarvaduḥkhapraśamano dhanubharṅgī mahotsavaḥ // NarP_1,82.84 //	sarva duHKa praSamanaH Danu BarFgI mahA utsavaH // NA rP_1,82.84 //
   kuvalayāpīḍahṝntā dantaskandhabalāgraṇīḥ /	kuvalaya ApIxa hLntAH danta skanDa bala agraNIH /
   kalparūpadharodhīro divyavastrānulepanaḥ // NarP_1,82.85 //	kalpa rUpa Dara uDIraH divya vastra anulepanaH // NA rP_1,82.85 //
   mallarūpo mahākālaḥ kāmarūpī balānvitaḥ /	malla rUpaH mahAkAlaH kAmarUpI bala anvitaH /
   kaṃsatrāsakaro bhīmo muṣṭikāntaśca kaṃsahā // NarP_1,82.86 //	kaMsa trAsa karaH BImaH muzwikAntaH ca kaMsa hA // NA rP_1,82.86 //
   cāṇūraghno bhayaharaḥ śalāristośalāntakaḥ /	cANUra GnaH Baya haraH SalAriH toSala antakaH /
   vaikuṇṭhavāsī kaṃsāriḥ sarvaduṣṭaniṣūdanaḥ // NarP_1,82.87 //	vEkuNWa vAsI kaMsAriH sarva duzwa nizUdanaH // NA rP_1,82.87 //
   devadundubhinirghoṣī pitṛśokanivāraṇaḥ /	deva dunduBi nirGozI pitR Soka nivAraNaH /
   yādavendraḥ satāṃnātho yādavāripramarddanaḥ // NarP_1,82.88 //	yAdava indraH satAMnATaH yAdavAri pramarddanaH // NA rP_1,82.88 //
   śauriśokavināśī ca devakītāpanāśanaḥ /	SOri Soka vinASI ca devakI tApa nASanaH /
   ugrasenaparitrātā ugrasenābhipūjitaḥ // NarP_1,82.89 //	ugrasena paritrAtA ugrasena aBipUjitaH // NA rP_1,82.89 //
   ugrasenābhiṣekī ca ugrasenadayā paraḥ /	ugrasena aBizekI ca ugrasena dayA paraH /
   sarvasātvatasākṣī ca yadūnāmabhinandanaḥ // NarP_1,82.90 //	sarva sAtvata sAkzI ca yadUnAm aBinandanaH // NA rP_1,82.90 //
   sarvamāthurasaṃsevyaḥ karuṇo bhaktabāndhavaḥ /	sarva mATura saMsevyaH karuNaH Bakta bAnDavaH /
   sarvagopāladhanado gopīgopālalālasaḥ // NarP_1,82.91 //	sarva gopAla DanadaH gopI gopAla lAlasaH // NA rP_1,82.91 //
   śauridattopavītī ca ugrasenadayākaraḥ /	SOridattA upavItI ca ugrasena dayAkaraH /
   gurubhakto brahmacārī nigamādhyayane rataḥ // NarP_1,82.92 //	guru BaktaH brahmacArI nigama aDyayane rataH // NA rP_1,82.92 //
   saṃkarṣaṇasahādhyāyī sudāmasuhṛdeva ca /	saMkarzaNa saha aDyAyI sudAma suhRd eva ca /
   vidyānidhiḥ kalākośo mṛtaputradastathā // NarP_1,82.93 //	vidyA niDiH kalA koSaH mRta putra daH taTA // NA rP_1,82.93 //
   cakrī pāñcajanī caiva sarvanārakimocanaḥ /	cakrI pAQcajanI ca eva sarva nAraki mocanaH /
   yamārcitaḥ paro devo nāmoccāravaso (śo)'cyutaḥ // NarP_1,82.94 //	yama arcitaH paraH devaH nAma uccAra vasaH (So) acyutaH // NA rP_1,82.94 //
   kubjā vilāsī subhago dīnabandhuranūpamaḥ /	kubjA vilAsI suBagaH dIna banDuranUpamaH /
   akrūragṛhagoptā ca pratijñāpālakaḥ śubhaḥ // NarP_1,82.95 //	akrUra gRha goptA ca pratijQA pAlakaH SuBaH // NA rP_1,82.95 //
   jarāsaṃdhajayī vidvān yavanānto dvijāśrayaḥ /	jarAsaMDa jayI vidvAn yavana antaH dvija ASrayaH /
   mucukundapriyakarojarāsaṃdhapalāyitaḥ // NarP_1,82.96 //	mucukunda priya karaH jarAsaMDapalAyitaH // NA rP_1,82.96 //
   dvārakājanako gūḍho brahmaṇyaḥ satyasaṃgaraḥ /	dvArakA janakaH gUXaH brahmaNyaH satya saMgaraH /
   līlādharaḥ priyakaro viśvakarmā yaśaḥpradaḥ // NarP_1,82.97 //	lIlA DaraH priya karaH viSvakarmA yaSaH pradaH // NA rP_1,82.97 //
   rukmiṇīpriyasaṃdeśo rukmaśokavivarddhanaḥ /	rukmiNI priya saMdeSaH rukma Soka vivardDanaH /
   caidyaśokālayaḥ śreṣṭho duṣṭarājanyanāśanaḥ // NarP_1,82.98 //	cEdya Soka AlayaH SrezWaH duzwa rAjanya nASanaH // NA rP_1,82.98 //
   rukmivairūpyakaraṇo rukmiṇīvacane rataḥ /	rukmi vErUpya karaNaH rukmiNI vacane rataH /
   balabhadravacogrāhī muktarukmī janārdanaḥ // NarP_1,82.99 //	balaBadra vacaH grAhI mukta rukmI janArdanaH // NA rP_1,82.99 //
   rukmiṇīprāṇanāthaśca satyabhāmāpatiḥ svayam /	rukmiNI prANa nATaH ca satyaBAmA patiH svayam /
   bhaktapakṣī bhaktivaśyo hyakrūramaṇidāyakaḥ // NarP_1,82.100 //	Bakta pakzI Bakti vaSyaH hi akrUra maNi dAyakaH // NA rP_1,82.100 //
   śatadhanvāprāṇahārī ṛkṣarājasutāpriyaḥ /	SataDanvA prANa hArI Rkza rAja sutA priyaH /
   satrājittanayākānto mitravindāpahārakaḥ // NarP_1,82.101 //	satrAjit tanayA kAntaH mitravinda apahArakaH // NA rP_1,82.101 //
   satyāpatirlakṣmaṇājitpūjyo bhadrāpriyaṅkaraḥ /	satyA patiH lakzmaNA jit pUjyaH BadrA priyaFkaraH /
   narakā suraghātīṃ ca līlākanyāharo jayī // NarP_1,82.102 //	narakA sura GAtIm ca lIlA kanyA haraH jayI // NA rP_1,82.102 //
   murārirmadaneśo 'pi dharitrīduḥkhanāśanaḥ /	murAriH mada na ISaH api DaritrI duHKa nASanaH /
   vainateyī svargagāmī aditya kuṇḍalapradaḥ // NarP_1,82.103 //	vEnateyI svarga gAmI aditya kuNxala pradaH // NA rP_1,82.103 //
   indrārcito ramākānto vajribhāryāprapūjitaḥ /	indra arcitaH ramA kAntaH vajri BAryA prapUjitaH /
   pārijātāpahārī ca śakramānāpahārakaḥ // NarP_1,82.104 //	pArijAta apahArI ca SakramAna apahArakaH // NA rP_1,82.104 //
   pradyumnajanakaḥ sāṃbatāto bahusuto vidhuḥ /	pradyumna janakaH sAMbata atas bahu sutaH viDuH /
   gargācāryaḥ satyagatirdharmādhāro dhāradharaḥ // NarP_1,82.105 //	garga AcAryaH satya gatiH Darma ADAraH DAraDaraH // NA rP_1,82.105 //
   dvārakāmaṇḍanaḥ ślokyaḥ suśloko nigamālayaḥ /	dvArakA maNxanaH SlokyaH suSlokaH nigama AlayaH /
   paiṇḍrakaprāṇahārī ca kāśīrājaśiroharaḥ // NarP_1,82.106 //	pENxraka prANa hArI ca kASI rAja SiraH haraH // NA rP_1,82.106 //
   avaiṣṇavavipradāhī sudakṣiṇabhayābahaḥ /	avEzNava vipradAhI su dakziNa Baya AbahaH /
   jarāsaṃdhavidārīṃ ca dharmanandanayajñakṛt // NarP_1,82.107 //	jarAsaMDa vidArIm ca Darmanandana yajQa kRt // NA rP_1,82.107 //
   śiśupālaśiraraścedī dantavakravināśanaḥ /	SiSupAla SiraraH cedI dantavakra vinASanaH /
   vidūrathāṃsakaḥ śrīśaḥ śrīdo dvividanāśanaḥ // NarP_1,82.108 //	vidUraTa aMsakaH SrISas SrIdaH dvividana aSanaH // NA rP_1,82.108 //
   rukmiṇīmānahārī ca rukmiṇīmānavarddhanaḥ /	rukmiNI mAna hArI ca rukmiNI mAna vardDanaH /
   devarṣiśāpahartā ca draupadīvākyapālakaḥ // NarP_1,82.109 //	deva Rzi SA apa hartA ca drOpadI vAkya pAlakaH // NA rP_1,82.109 //
   durvāso bhayahāti va pāñcālīsmaraṇāgataḥ /	durvAsaH Baya hAti va pAQcAlI smaraNa AgataH /
   pārthadūtaḥ pārthamantrī pārthaduḥkhaudhanāśanaḥ // NarP_1,82.110 //	pArTa dUtaH pArTa mantrI pArTa duHKa ODana aSanaH // NA rP_1,82.110 //
   pārthamānāpahārī ca pārthajīvanadāyakaḥ /	pArTamAna apahArI ca pArTa jIvana dAyakaH /
   pāñcālī vastradātā ca viśvapālakapālakaḥ // NarP_1,82.111 //	pAQcAlI vastra dAtA ca viSvapAla kapAlakaH // NA rP_1,82.111 //
   śvetāśvasārathiḥ satyaḥ satyasādhyo bhayāpahaḥ /	Sveta aSva sAraTiH satyaH satya sADyaH Baya apahaH /
   satyasaṃdhaḥ satyaratiḥ satyapriya udāradhīḥ // NarP_1,82.112 //	satya saMDaH satya ratiH satya priyaH udAra DIH // NA rP_1,82.112 //
   mahāsenajayī caiva śivasainyavināśananaḥ /	mahAsena jayI ca eva Siva sEnya vinASananaH /
   bāṇāsurabhujacchettā bāṇabāhuvarapradaḥ // NarP_1,82.113 //	bANa asura Buja= CettA bANa bAhu vara pradaH // NA rP_1,82.113 //
   tārkṣyamānāpahārī ca tārkṣyatejovivarddhanaḥ /	tArkzyamAna apahArI ca tArkzya tejaH vivardDanaH /
   rāmasvarūpadhārī ca satyabhāmāmudāvahaḥ // NarP_1,82.114 //	rAma svarUpa DArI ca satyaBAmAm udAvahaH // NA rP_1,82.114 //
   ratnākarajalakrīḍo vrajalīlāpradarśakaḥ /	ratna Akara jala krIxaH vraja lIlA pradarSakaH /
   svapratijñāparidhvaṃsī bhīṣmājñāparipālakaḥ // NarP_1,82.115 //	sva pratijQA pariDvaMsI BIzma AjQA paripAlakaH // NA rP_1,82.115 //
   vīrāyudhaharaḥ kālaḥ kālikeśo mahābalaḥ /	vIra AyuDa haraH kAlaH kAlikeSaH mahA balaH /
   varvarīṣaśirohārī varvarīṣaśiraḥpradaḥ // NarP_1,82.116 //	varvarIza SiraH hArI varvarIza SiraH pradaH // NA rP_1,82.116 //
   dharmaputrajayī śūraduryodhanamadāntakaḥ /	Darmaputra jayI SUra duryoDana madAntakaH /
   gopikāprītinirbandhanityakrīḍo vrajeśvaraḥ // NarP_1,82.117 //	gopikA prIti nirbanDa nitya krIxaH vrajeSvaraH // NA rP_1,82.117 //
   rādhākuṇḍaratirdhanyaḥ sadāndolasamāśritaḥ /	rADA kuNxa ratiH DanyaH sa dAndola samASritaH /
   sadāmadhuvanānandī sadāvṛndāvanapriyaḥ // NarP_1,82.118 //	sadAmaDuvana AnandI sadA vRndAvana priyaH // NA rP_1,82.118 //
   aśokavanasannaddhaḥ sadātilakasaṃgataḥ /	aSoka vana sannadDaH sadAtilaka saMgataH /
   sadāgovarddhanaratiḥ sadā gokulavallabhaḥ // NarP_1,82.119 //	sadAgo vardDana ratiH sadA gokula vallaBaH // NA rP_1,82.119 //
   bhāṇḍīravaṭasaṃvāsī nityaṃ vaṃśīvaṭasthitaḥ /	BANxIra vawa saMvAsI nityam vaMSI vawa sTitaH /
   nandagrāmakṛtāvāso vṛṣabhānugrahapriyaḥ // NarP_1,82.120 //	nanda grAma kRta AvAsaH vRzaBa anugraha priyaH // NA rP_1,82.120 //
   gṛhītakāminīrūpo nityaṃ rāsivilāsakṛt /	gRhIta kAminI rUpaH nityam rAsi vilAsa kRt /
   vallavījanasaṃgoptā vallavījanavallabhaḥ // NarP_1,82.121 //	vallavI jana saMgoptA vallavI jana vallaBaH // NA rP_1,82.121 //
   devaśarmakṛpākartā kalpapādapasaṃsthitaḥ /	deva Sarma kRpA kartA kalpa pAdapa saMsTitaH /
   śilānugandhanilayaḥ pādacārī ghanacchaviḥ // NarP_1,82.122 //	SilA anuganDa nilayaH pAda cArI Gana= CaviH // NA rP_1,82.122 //
   atasīkusumaprakhyaḥ sadā lakṣmīkṛpākaraḥ /	atasI kusuma praKyaH sadA lakzmIkRpa AkaraH /
   tripurāripriyakaro hyugradhanvāparājitaḥ // NarP_1,82.123 //	tripurAri priya karaH hi ugra DanvA aparAjitaH // NA rP_1,82.123 //
   ṣaḍdhuradhvaṃsakartā ca nikuṃbhaprāṇahārakaḥ /	zaz Dura DvaMsa kartA ca nikuMBa prANa hArakaH /
   vajranābhapuradhvaṃsī paiṇḍrakaprāṇahārakaḥ // NarP_1,82.124 //	vajra nABa pura DvaMsI pENxraka prANa hArakaH // NA rP_1,82.124 //
   bahulāśvaprītikartā dvijavaryapriyaṅkaraḥ /	bahula aSva prIti kartA dvija varya priyaFkaraH /
   śivasaṃkaṭahārī ca vṛkāsuravināśanaḥ // NarP_1,82.125 //	Siva saMkawa hArI ca vRka asura vinASanaH // NA rP_1,82.125 //
   bhṛgusatkārakārī ca śivasāttvikatāpradaḥ /	BRgu satkAra kArI ca Siva sAttvika tA pradaH /
   gokarṇapūjakaḥ sāṃbakuṣṭhavidhvaṃsakāraṇaḥ // NarP_1,82.126 //	gokarNa pUjakaH sa aMba kuzWa viDvaMsa kAraNaH // NA rP_1,82.126 //
   vedastuto vedavettā yaduvaṃśavivarddhanaḥ /	veda stutaH veda vettA yadu vaMSa vivardDanaH /
   yaduvaṃśavināśī ca uddhavoddhārakārakaḥ // NarP_1,82.127 //	yadu vaMSa vinASI ca udDava udDAra kArakaH // NA rP_1,82.127 //
   rādhā ca rādhikā caiva ānandā vṛṣabhānujā /	rADA ca rADikA ca eva AnandA vRzaBa anujAH /
   vṛndāvaneśvarī puṇyā kṛṣṇamānasahāriṇī // NarP_1,82.128 //	vRndAvaneSvarI puNyA kRzNa mAnasa hAriNI // NA rP_1,82.128 //
   pragalbhā caturā kāmā kāminī harimohinī /	pragalBA caturA kAmA kAminI harimohinI /
   lalitā madhurā mādhvī kiśorī kanakaprabhā // NarP_1,82.129 //	lalitA maDurA mADvI kiSorI kanaka praBA // NA rP_1,82.129 //
   jitacandrā jitamṛgā jitasiṃhā jitadvipā /	jita candrA jita mRgAH jita siMhAH jita dvipAH /
   jitaraṃbhā jitapikā govindahṛdayodbhavā // NarP_1,82.130 //	jita raMBA jitapikA govinda hRdaya udBavAH // NA rP_1,82.130 //
   jitabiṃbā jitaśukā jitapadmā kumārikā /	jita biMbA jita SukA jita padmA kumArikAH /
   śrīkṛṣṇākarṣaṇā devī nityaṃ yugmasvarūpiṇī // NarP_1,82.131 //	SrI kRzNa AkarzaNA devI nityam yugma svarUpiNI // NA rP_1,82.131 //
   nityaṃ vihāriṇī kāntā rasikā kṛṣṇavallabhā /	nityam vihAriNI kAntA rasikA kRzNavallaBA /
   āmodinī modavatī nandanandanabhūṣitā // NarP_1,82.132 //	AmodinI modavatI nanda nandana BUzitAH // NA rP_1,82.132 //
   divyāṃbarā divyahārā muktāmaṇivibhūṣitā /	divya aMbarA divya hArA muktA maNi viBUzitA /
   kuñjapriyā kuñjavāsā kuñjanāyakanāyikā // NarP_1,82.133 //	kuQja priyA kuQja vAsA kuQja nAyaka nAyikAH // NA rP_1,82.133 //
   cārurūpā cāruvaktrā cāruhemāṅgadā śubhā /	cAru rUpA cAru vaktrA cAru hema aFgadA SuBA /
   śrīkṛṣṇaveṇusaṃgītā muralīhāriṇī śivā // NarP_1,82.134 //	SrI kRzNa veNu saMgItA muralI hAriNI SivAH // NA rP_1,82.134 //
   bhadrā bhagavatī śāntā kumudā sundarī priyā /	BadrA BagavatI SAntA kumudA sundarI priyA /
   kṛṣṇaratiḥ śrīkṛṣṇasahacāriṇī // NarP_1,82.135 //	kRzNa ratiH SrI kRzNa sahacAriNI // NA rP_1,82.135 //
   vaṃśīvaṭapriyasthānā yugmāyugmasvarūpiṇī /	vaMSI vawa priya sTAnA yugma ayugma svarUpiNI /
   bhāṇḍīravāsinī śubhrā gopīnāthapriyā sakhī // NarP_1,82.136 //	BANxIra vAsinI SuBrA gopInATa priyA saKI // NA rP_1,82.136 //
   śrutiniḥśvasitā divyā govindarasadāyinī /	Sruti niHSvasitA divyA govinda rasa dAyinI /
   śrīkṛṣṇaprārthanīśānā mahānandapradāyinī // NarP_1,82.137 //	SrI kRzNa prArTanISAnA mahAnanda pradAyinI // NA rP_1,82.137 //
   vaikuṇṭhajanasaṃsevyā koṭilakṣmī sukhāvahā /	vEkuNWa jana saMsevyA kowi lakzmI suKa AvahAH /
   koṭikandarpalāvaṇyā ratikoṭiratipradā // NarP_1,82.138 //	kowi kandarpala AvaNyAH rati kowiH ati pradA // NA rP_1,82.138 //
   bhaktigrāhyā bhaktirūpā lāvaṇyasarasī umā /	Bakti grAhyA Bakti rUpA lAvaNya sarasI umA /
   brahmarudrādisaṃrādhyā nityaṃ kautūhalānvitā // NarP_1,82.139 //	brahma rudra Adi saMrADyAH nityam kOtUhala anvitAH // NA rP_1,82.139 //
   nityalīlā nityakāmā nityaśṛṅgārabhūṣitā /	nitya lIlA nitya kAmAH nitya SRFgAra BUzitA /
   nityavṛndāvanarasā nandanandanasaṃyutā // NarP_1,82.140 //	nitya vRndAvana rasAH nanda nandana saMyutAH // NA rP_1,82.140 //
   gopagikāmaṇḍalīyuktā nityaṃ gopālasaṃgatā /	gopagikA maNxalI yuktA nityam gopAla saMgatAH /
   gorasakṣepaṇī śūrā sānandānandadāyinī // NarP_1,82.141 //	gorasa kzepaNI SUrA sa Ananda Ananda dAyinI // NA rP_1,82.141 //
   mahālīlā prakṛṣṭā ca nāgarī nagacāriṇī /	mahAlIlA prakRzwA ca nAgarI naga cAriNI /
   nityamāghūrṇitā pūrṇā kastūrītilakānvitā // NarP_1,82.142 //	nityam AGUrNitA pUrNA kastUrI tilaka anvitA // NA rP_1,82.142 //
