   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   bodhicittaṃ mā vilamba / dehi me varam / śaṃkhini svāhā /	boDi-cittam mA vilamba / dehi me varam / SaMKini svAhA /
   imairmantrapadaiḥ sa bhagavan kāyagatairyaśovṛddhimanuprāpsyati /	imEH-mantra-padEH sa Bagavan kAya-gatEH-yaSaH-vRdDim-anuprApsyati /
   tejovṛddhiṃ bhogavṛddhim aiśvaryavṛddhiṃ dīrghāyuṣkatāṃ	tejaH-vRdDim Boga-vRdDim ESvarya-vRdDim dIrGa-Ayuzka-tAm
   śatruvaśīkaraṇavṛddhimanuprāpsyati / aṣṭaśatajaptena yathālābhena baliṃ	Satru-vaSIkaraNa-vRdDim-anuprApsyati / azwa-Sata-japtena yaTAlABena balim
   dattvā caturdiśe dhūpaṃ kundurukaṃ tathāgatasyodāratarapūjā kartavyā /	dattvA caturdiSe DUpam kundurukam taTAgatasya-udAratara-pUjA kartavyA /
   dīpo (Dutt 75) dātavyaḥ / ekaviṃśatidivasāni maitravihāriṇā niyamasthena	dIpaH (Dutt 75) dAtavyaH / ekaviMSati-divasAni mEtra-vihAriNA niyama-sTena
   bhavitavyam / tataḥ sarvābhiprāyaṃ paripūrayiṣyāmi saddharmapratikṣepakaṃ	Bavitavyam / tatas sarva-aBiprAyam paripUrayizyAmi sadDarma-pratikzepakam
   sthāpya / śucau pradeśe kartavyaṃ devāyatane vā / atha bhagavān sā ca	sTApya / SucO pradeSe kartavyam devAyatane vA / aTa BagavAn sA ca
   yathāsamāgatā parṣa sādhukāramadāt / sādhu sādhu bhagini / subhāṣitamidam	yaTA-samAgatA parza sADukAram-adAt / sADu sADu Bagini / suBAzitam-idam
   / pratijñā bahuguṇasamanvāgatā / evameva tvamapi karaṇīyamanāgate 'dhvani	/ pratijQA bahu-guNa-samanvAgatA / evam-eva tvam-api karaNIyam-anAgate aDvani
   VI	VI
   atha khalu bhīmā mahādevī suvarṇapuṣpairbhagavantamabhyarcya	aTa Kalu BImA mahAdevI suvarNa-puzpEH-Bagavantam-aByarcya
   bhagavataścaraṇayornipatya bhagavantametadavocat / ahamapi bhagavaṃsteṣāṃ	BagavataH-caraNayoH-nipatya Bagavantam-etat-avocat / aham-api Bagavan=-tezAm
   dharmabhāṇakānāṃ dharmaśrāvaṇikānāṃ teṣāṃ ca lekhakānāṃ teṣāṃ ca	Darma-BANakAnAm Darma-SrAvaNikAnAm tezAm ca leKakAnAm tezAm ca
   dhārakāṇāṃ vācakānāṃ pūjakānāmarthāya sarvāśāparipūrakarāṇi	DArakANAm vAcakAnAm pUjakAnAm-arTAya sarva-ASA-paripUra-karANi
   hiraṇyamaṇimuktā bhogaiśvaryarājatvadīrghāyuṣkarāṇi śatruvaśīkaraṇāni	hiraNya-maNi-muktA Boga-ESvarya-rAja-tva-dIrGa-AyuzkarANi Satru-vaSIkaraNAni
   mantrapadāni dāsyāmi / yaḥ kaści rājā vā rājñī vā	mantra-padAni dAsyAmi / yaH kaSci rAjA vA rAjQI vA
   bhikṣubhikṣuṇyupāsakopāsikā vā dhārayiṣyanti satkariṣyanti likhiṣyanti	Bikzu-BikzuNI-upAsa-ka-upAsikAH vA DArayizyanti satkarizyanti liKizyanti
   likhāpayiṣyanti tathāgatagurugauraveṇa pratiprattyā yathopadiṣṭāḥ	liKApayizyanti taTAgata-guru-gOraveNa pratiprattyAH yaTA-upadizwAH
   pratipatsyante tasyāhaṃ bhagavan rakṣiṣyāmi paripālanaṃ kariṣyāmi	pratipatsyante tasya-aham Bagavan rakzizyAmi paripAlanam karizyAmi
   yathocitaṃ varaṃ dāsyāmi bhogaiśvaryairavaikalyaṃ kariṣyāmi	yaTocitam varam dAsyAmi Boga-ESvaryEH-avEkalyam karizyAmi
   vivādayuddhaḍimbaḍamare jayaṃ kariṣyāmi / āyuḥsaṃpadamupasaṃhariṣyāmi /	vivAda-yudDaximba-xamare jayam karizyAmi / AyuH-saMpadam-upasaMharizyAmi /
   (Dutt 76) tasya ca viṣayasya nagarasya paripālanaṃ kariṣyāmi / tanme	(Dutt 76) tasya ca vizayasya nagarasya paripAlanam karizyAmi / tat-me
   bhagavānanujānātu /	BagavAn-anujAnAtu /
   namaḥ sarvatathāgatānāṃ sarvabodhisattvānām	namaH sarva-taTAgatAnAm sarva-boDisattvAnAm
   āryāvalokiteśvaravajrapāṇiprabhṛtīnām /	Arya-avalokita-ISvara-vajrapANi-praBRtInAm /
   om mahādevi bhīme bhīmamate / jaye jayāvahe / yaśajave tejajave /	om mahAdevi BIme BIma-mate / jaye jayAvahe / yaSa-jave teja-jave /
   vyākaraṇaprāpte sarvasattvāvalokane kṛpatejabahule tathāgatānujñātaṃ	vyAkaraNa-prApte sarva-sattva-avalokane kRpa-teja-bahule taTAgata-anujQAtam
   pālaya / smara pratijñām / buddhādhiṣṭhānena dehi me varam / siddhiṃ kuru	pAlaya / smara pratijQAm / budDa-aDizWAnena dehi me varam / sidDim kuru
   / devi mahādevi satyavacanadevi bhīme satyavacanapratiṣṭhite guhyanivāsini	/ devi mahAdevi satya-vacana-devi BIme satya-vacana-pratizWite guhya-nivAsini
   svāhā /	svAhA /
   imāni tāni bhagavan mantrapadāni tathāgatādhiṣṭhitāni tathāgatānujñātāni	imAni tAni Bagavat mantra-padAni taTAgata-aDizWitAni taTAgata-anujQAtAni
   mayā bhāṣitāni sattvānāmarthāya / yaṃ yameva kāmaṃ manasikṛtvā japiṣyate	mayA BAzitAni sattvAnAm-arTAya / yam yam-eva kAmam manasikRtvA japizyate
   tathāgatasya purataḥ puṣpadhūpagandhadīpaiḥ pūjāṃ kṛtvā pāyasarasabaliṃ	taTAgatasya puratas puzpa-DUpa-ganDa-dIpEH pUjAm kRtvA pAyasa-rasa-balim
   caturdiśe dattvā taṃ tameva aṣṭaśatajāpena sarvāśāṃ paripūrayiṣyāmi / yaḥ	catur-diSe dattvA tam tam-eva azwa-Sata-jApena sarva-ASAm paripUrayizyAmi / yaH
   kaści māṃ svarūpeṇābhikāṃkṣī bhave tena acchinnadaśe keśāpagate	kaSci mAm sva-rUpeNa-aBikAMkzI Bave tena acCinna-daSe keSa-apagate
   aśleṣairaṅgairnavabhājanasthairaṣṭasyām āryāṣṭāṃgaparigṛhītena citrakareṇa	aSlezEH-aFgEH-nava-BAjana-sTEH-azwasyAm Arya-azwa-aMga-parigRhItena citrakareNa
   citrāpayitavyā śarakāṇḍagaurī sarvālaṃkāravibhūṣitāṃgī śvetavastrā madhye	citrApayitavyA SarakANxa-gOrI sarva-alaMkAra-viBUzita-aMgI Sveta-vastrA maDye
   tathāgatapratimā dha[rma deśa]yamānā dakṣiṇenāryāvalokiteśvaraḥ sāṃkathyaṃ	taTAgata-pratimA Da[rma deSa]yamAnAH dakziNena-Arya-avalokita-ISvaraH sAMkaTyam
   kurvan vāmapārśve bhīmā mahādevī (Dutt 77) kuṇḍiganetṛkaparigṛhītā	kurvan vAma-pArSve BImA mahAdevI (Dutt 77) kuNxi-ganetRka-parigRhItA
   samāśvāsayantī / tato 'ṣṭamyāṃ pūrvasecaṃ kṛtvā	samASvAsayantI / tatas azwamyAm pUrva-secam kRtvA
   puṣpadhūpagandhamālyavilepanaiḥ sadhātuke caityasthāne	puzpa-DUpa-ganDa-mAlya-vilepanEH sa-DAtuke cEtya-sTAne
   balipāyasadadhyodanaṃ caturdiśe yāvat pūrṇapañcadarśīṃ śūcinā vidyādhareṇa	bali-pAyasat-aDi-odanam caturdiSe yAvat pUrNa-paQcadarSIm SUcinA vidyADareNa
   udāratarāṃ puṣpadhūpagandhadīpaiḥ pūjāṃ kṛtva baliṃ dattvā	udAratarAm puzpa-DUpa-ganDa-dIpEH pUjAm kRtva balim dattvA
   nānārasairanyāni ca yathālābhena śuklabaliṃ dattvā sarvasattvānāṃ	nAnA-rasEH-anyAni ca yaTAlABena Sukla-balim dattvA sarva-sattvAnAm
   maitracittena dayācittena bhūtvā jātīpuṣpā[ṇāma]ṣṭabhiḥ śataiḥ sā pratimā	mEtra-cittena dayA-cittena BUtvA jAtI-puzpA[NAm-a]zwaBiH SatEH sA pratimA
   āhartavyā / ekaikaṃ japya tatrāhaṃ svarūpeṇopatiṣṭhiṣyāmi yathepsitaṃ	AhartavyA / ekEkam japya tatra-aham sva-rUpeNa-upatizWizyAmi yaTA-Ipsitam
   varaṃ dāsyāmi rājyaiśvaryam ākāśagamanaṃ nidhivādaṃ dhātuvādaṃ	varam dAsyAmi rAjya-ESvaryam AkASa-gamanam niDi-vAdam DAtuvAdam
   vidyādharatvam anyāni ca yathepsitāni karmāṇi kariṣyāmi	vidyADara-tvam anyAni ca yaTA-IpsitAni karmANi karizyAmi
   akālamṛtyupratiṣedhanaṃ sarvarogapraśamanaṃ paracakrapramardanaṃ	akAla-mRtyu-pratizeDanam sarva-roga-praSamanam para-cakra-pramardanam
   putralambham arthāgamanaṃ prītiṃ sarvasattveṣu / yadi cāhaṃ bhagavan	putra-lamBam arTa-Agamanam prItim sarva-sattvezu / yadi ca-aham Bagavan
   pañcānantaryaṃ kariṣyāmi na sarvāśāṃ paripūrayeyaṃ mā cāhaṃ	paQca-anantaryam karizyAmi na sarva-ASAm paripUrayeyam mA ca-aham
   bhagavannanuttarāṃ samyaksaṃbodhimabhisaṃbudhyeyaṃ saddharmapratikṣepakaṃ	Bagavan=-anuttarAm samyaksaMboDim-aBisaMbuDyeyam sat-Darma-pratikzepakam
   sthāpya yaśca vicikitsāprāpto buddhadharmasaṃghe / bhagavānāha / sādhu	sTApya yaH-ca vicikitsA-prAptaH budDa-Darma-saMGe / BagavAn-Aha / sADu
   sādhu bhagini sādhu khalu punastvaṃ bhagini yattvaṃ sarvasattvānāṃ hitāya	sADu Bagini sADu Kalu punar-tvam Bagini yat-tvam sarva-sattvAnAm hitAya
   sukhāya pratipannā asyaiva ca dharmaparyāyasya cirasthityarthaṃ (Dutt 78)	suKAya pratipannAH asya-eva ca Darma-paryAyasya cira-sTiti-arTam (Dutt 78)
   pratipannā / tena hi bhagini nityameva imāḥ pratijñāstvayā nityameva	pratipannAH / tena hi Bagini nityam-eva imAH pratijQAH-tvayA nityam-eva
   samanvāhartavyāḥ / atheyaṃ mahāpṛthivī tasmin samaye pracacāla divyañca	samanvAhartavyAH / aTa-iyam mahA-pRTivI tasmin samaye pracacAla divyaQca
   kusumavarṣamabhiprāvarṣat / sā ca sarvāvatī parṣat sādhukāramadāt / sādhu	kusuma-varzam-aBiprAvarzat / sA ca sarvAvatI parzad sADukAram-adAt / sADu
   sādhu subhāṣitamidam / pratijñā sarvasattvānāṃ sarvāśāparipūrikā	sADu suBAzitam-idam / pratijQA sarva-sattvAnAm sarva-ASAparipUrikA
   bhaviṣyati /	Bavizyati /
   VII	VII
   athāryāvalokiteśvaro bodhisattvo mahāsattvaḥ punarbhagavantametadavocat	aTa-Arya-avalokita-ISvaraH boDisattvaH mahAsattvaH punar-Bagavantam-etat-avocat-
   kiṃ punarbhagavan sa kulaputro vā kuladuhitā vā	kim punar-Bagavan sa kula-putraH vA kula-duhitA vA
   likhanavācanalikhāpanasaṃprakāśanapaṭhanasvādhyayanapūjanasaṃprakāśanayā	liKana-vAcana-liKApana-saMprakASana-paWana-sva-aDyayana-pUjana-saMprakASanayA
   puṇyamanuprāpsyati imasya dharmaparyāyasya / bhagavānāha / tena hi	puNyam-anuprApsyati imasya Darma-paryAyasya / BagavAn-Aha / tena hi
   tvāmevāryāvalokiteśvara pariprakṣyāmi yathe te kṣamaṃ tathā vyākuru /	tvAm-eva-Arya-avalokita-ISvara pariprakzyAmi yaTe te kzamam taTA vyAkuru /
   avalokiteśvara āha / bhagavāneva vyākurutāṃ nāsti tathāgatasya adṛṣṭaṃ vā	avalokita-ISvaraH Aha / BagavAn-eva vyAkurutAm na-asti taTAgatasya adRzwam vA
   aśrutaṃ vā avijñātaṃ vā / bhagavānāha / yaśca kulaputra asya	aSrutam vA avijQAtam vA / BagavAn-Aha / yaH-ca kula-putra asya
   dharmaparyāyasya	Darma-paryAyasya
   likhanalikhāpanavācanapūjanasaṃprakāśanapaṭhanasvādhyayanāt	liKana-liKA-apana-vAcana-pUjana-saMprakASana-paWana-sva-aDyayanAt
   puṇyamanuprāpsyati sa upamenāpi na śakyaṃ varṇayitum / tat kasya hetoḥ /	puNyam-anuprApsyati saH upamena-api na Sakyam varNayitum / tat kasya hetoH /
   sarvasattvānāṃ yathābhiprāyaparipūrakam / dānaṃ dattvā te sattvā	sarva-sattvAnAm yaTA-aBiprAya-paripUrakam / dAnam dattvA te sattvA
   aparimuktā eva bhavanti	aparimuktAH eva Bavanti
   jarāvyādhimaraṇaśokaparidevaduḥkhadauramanasyopāyāsebhyaḥ /	jarA-vyADi-maraNa-Soka-parideva-duHKa-dOramanasya-upAyAseByaH /
   varṣatasahasraṃ pañcabhiḥ kāmaguṇaiḥ kriḍāpayitvā aparimuktā eva te sattvā	varzata-sahasram paQcaBiH kAma-guNEH krixA-payitvA aparimuktAH eva te sattvA
   bhavanti narakatiryagyoniyamalokapretaviṣayeṣu punarapi	Bavanti naraka-tiryagyoni-yama-loka-preta-vizayezu punar-api
   duḥkhānyanubhavanti / asya dharmaparyāyasya śravaṇaṃ sattvebhyaḥ kṛtvā	duHKAni-anuBavanti / asya Darma-paryAyasya SravaNam sattveByaH kRtvA
   pūjanaṃ saṃprakāśanaṃ[ca]kṛtvā arthaṃ cāsyāvaśrutya (Dutt 79) pratipattyā	pUjanam saMprakASanaM[ca]kRtvA arTam ca-asya-avaSrutya (Dutd 79) pratipattyA
   pratipadya parimuktā eva bhavanti	pratipadya parimuktAH eva Bavanti
   jātijarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsebhya	jAti-jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAseBya
   sarvanarakatiryagyoniyamalokebhyaḥ / tasmāt tathāgata ayaṃ puṇyaskandha	sarva-naraka-tiryagyoni-yama-lokeByaH / tasmAt taTAgataH ayam puNya-skanDa
   upamenāpi pramāṇaṃ na kurvanti / yaśca kulaputra asya ca	upamena-api pramANam na kurvanti / yaH-ca kula-putra asya ca
   dharmaparyāyasyoddiśya sarṣapaphalamātrakaṃ ca hiraṇyasya ekapuṣpaṃ vā	Darma-paryAyasya-uddiSya sarzapa-Pala-mAtrakam ca hiraNyasya eka-puzpam vA
   ekaphalaṃ vā ekapatākāṃ vā vādyaṃ vā gandhaṃ vā vastraṃ vā āsanaṃ vā	eka-Palam vE eka-patAkAm vA vAdyam vA ganDam vA vastram vA Asanam vA
   ābharaṇaṃ vā parityaje likhe likhāpaye dhāraye vācaye pūjaye satkare	ABaraNam vA parityaje liKe liKA-paye DAraye vAcaye pUjaye satkare
   parebhyaśca viastareṇa saṃprakāśaye taṃ ca dharmabhāṇakaṃ vācaye pūjaye	pareByaH-ca viastareNa saMprakASaye tam ca Darma-BANakam vAcaye pUjaye
   yaśca tiṣṭhate tathāgate saṃmukhapūjayā saparṣa pūjaye mānaye	yaH-ca tizWate taTAgate saMmuKa-pUjayA sa-parza pUjaye mAnaye
   sarvasukhopadhānena varṣaśatasahasramupatiṣṭhe	sarva-suKa-upaDAnena varza-Sata-sahasram-upatizWe
   gandhamālyavilepanairdhvajapatākābhirvihāracaṃkramodyānaṃ kārāpaye	ganDa-mAlya-vilepanEH-Dvaja-patAkABiH-vihAra-caMkrama-udyAnam kArApaye
   ardhayojanocchritaṃ saptaratnamayaṃ stūpaṃ kāraye śataṃ vā sahasraṃ vā	arDa-yojana-ucCritam sapta-ratna-mayam stUpam kAraye Satam vA sahasram vA
   tathāgata[muddiśya]tāṃśca divyapūjayā pūjaye varṣaśatasahasram ayaṃ ca	taTAgata[m-uddiSya]tAn=-ca divya-pUjayA pUjaye varza-Sata-sahasram ayam ca
   tato bahutarapuṇyasaṃskāraṃ syā / asya dharmaparyāyasya	tatas bahutara-puNya-saMskAram syAH / asya Darma-paryAyasya
   likhanalikhāpanadhāraṇapaṭhanapūjanasaṃprakāśanayā na imāṃ	liKana-liKA-apana-DAraNa-paWana-pUjana-saMprakASanayA na imAm
   tathāgatasaṃmukhapūjāṃ na tveva sattvebhyo dānaṃ dattvā pañcabhiḥ	taTAgata-saMmuKa-pUjAm na tu-eva sattveByaH dAnam dattvA paQcaBiH
   kāmaguṇaḥ krīḍāpayitvā / tasmāttarhi taiśca kulaputraiḥ kuladuhitṛbhirvā	kAma-guNaH krIxA-payitvA / tasmAt-tarhi tEH-ca kula-putrEH kula-duhitRBiH-vA
   rājarājaputramahāmātrāmātyairvā satatasmitamayaṃ dharmaparyāyaḥ	rAja-rAja-putra-mahAmAtra-amAtyEH-vA satata-smita-mayam Darma-paryAyaH
   pūjayitavyaḥ / tathāgatasaṃjñā evotpādayitavyā / teṣāṃ kalyāṇamitrāṇāṃ ya	pUjayitavyaH / taTAgata-saMjQAH eva-utpAdayitavyA / tezAm kalyANa-mitrANAm ya
   imaṃ dharmaparyāyaṃ śrāvayati kathayati arthaṃ cāsyopasaṃharati taḥ	imam Darma-paryAyam SrAvayati kaTayati arTam ca-asya-upasaMharati taH
   satkṛtya ayaṃ dharmaparyāyaḥ śrotavya udagrahītavyo dhārayitavyo	satkRtya ayam Darma-paryAyaH SrotavyaH udagrahItavyaH DArayitavyaH-
   vācayitavyo manasi kartavyaḥ / evaṃ cittamutpādayitavyam / (Dutt 80) lābhā	vAcayitavyaH manasi kartavyaH / evam cittam-utpAdayitavyam / (Dutt 80) lABA
   asmābhiḥ sulabdhāḥ / yo 'smābhiḥ śrutam apathagāmināṃ pathamupadarśayati	asmABiH su-labDAH / yaH asmABiH Srutam apaTa-gAminAm paTam-upadarSayati
   anarthe arthasaṃjñinām anitye nityasaṃjñinām asukhe sukhasaṃjñināṃ	anarTe arTa-saMjQinAm anitye nitya-saMjQinAm asuKe suKa-saMjQinAm
   yadasmābhirnarakatiryogyoniyamalokaparimokṣaṇārthaṃ tathāgatakṛtyaṃ kṛtam	yat-asmABiH-naraka-tiH-yogyoniyama-loka-parimokzaNa-arTam taTAgata-kRtyam kRtam
   / avalokiteśvara āha / mahākṛtyena tathāgatakṛtyena imaṃ dharmaparyāyaṃ	/ avalokita-ISvaraH Aha / mahA-kRtyena taTAgata-kRtyena imam Darma-paryAyam
   sarvasattvānāṃ prakāśitam /	sarva-sattvAnAm prakASitam /
   bhagavānāha / ayaṃ ca kulaputra dharmaparyāyaḥ paścime kāle paścime samaye	BagavAn-Aha / ayam ca kula-putra Darma-paryAyaH paScime kAle paScime samaye
   dakṣiṇāpathe pracariṣyati tatrāpi	dakziNApaTe pracarizyati tatra-api
   bhikṣubhikṣuṇyupāsakopāsikārājarājaputramahāmātrāmātyā bhājanībhūtāḥ	Bikzu-Bi-kzuNI-upAsa-ka-upAsikA-rAja-rAja-putra-mahAmAtra-amAtyAH BAjanIBUtAH
   pūjakā dhārakā vācakā bhaviṣyanti śraddhāsyanti pattīṣyanti / sa ce	pUjakAH DArakAH vAcakAH Bavizyanti SradDAsyanti pattIzyanti / sa ce
   uttarapūrvapaścimāyāṃ pracare tat parakarmābhiyuktāste sattvā bhaviṣyanti	uttara-pUrva-paScimAyAm pracare tat para-karma-aBiyuktAH-te sattvAH Bavizyanti
   na śroṣyanti śraddhāsyanti na pattīṣyanti na pūjayiṣyanti	na Srozyanti SradDAsyanti na pattIzyanti na pUjayizyanti
   hīnavīryanaṣṭasmṛtayo	hIna-vIrya-nazwa-smRtayo
   nānāvyākṣepakuṭambadāsadāsībhogaiśvaryahāsyalāsyanāṭyanṛtyagīterṣyāmātsaryasmṛtayo	nAnA-vyAkzepa-kuwamba-dAsa-dAsI-Boga-ESvarya-hAsya-lAsya-nAwya-nRtya-gIta-IrzyA-mAtsarya-smRtayo
   na śroṣyanti na pattīṣyanti napūjayiṣyanti te aparimuktā eva	na Srozyanti na pattIzyanti na-pUjayizyanti te aparimuktAH eva
   jarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsebhya	jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAseBya
   pretayamalokaviṣayebhyo bhaviṣyanti / tasmāttarhi taiḥ kulaputraiḥ	preta-yama-loka-vizayeByaH Bavizyanti / tasmAt-tarhi tEH kula-putrEH
   kuladuhitṛbhirvā sarvāpāyairātmānaṃ parimoktukāmena satkṛtya ayaṃ	kula-duhitRBiH-vA sarva-apAyEH-AtmAnam parimoktu-kAmena satkRtya ayam
   dharmaparyāyaḥ pūjayitavyo dhārayitavyaḥ satkartavyaḥ parebhyaḥ	Darma-paryAyaH pUjayitavyaH DArayitavyaH satkartavyaH pareByaH
   saṃprakāśatitavyo manasā dhārayitavyaḥ / ḍimbaḍumaraduḥsvapnadurnimitteṣu	saMprakASatitavyaH manasA DArayitavyaH / ximba-xumara-duH-svapna-durnimittezu
   akālamṛtyugomarapaśumaramānuṣamarebhyo nānāvyādhibhayopadravebhya imaṃ	akAla-mRtyu-gomara-paSu-maramAnuzamareByaH nAnA-vyADi-Baya-upadraveByaH imam
   dharmaparyāyaṃ pūjayitvā vācayitavyaḥ dhvaje vā ucchrapitaṃ kṛtvā	Darma-paryAyam pUjayitvA vAcayitavyaH Dvaje vE ucCrapitam kRtvA
   pūjayitvā nānāgandhapuṣpadhūpavādyaiḥ praceṣṭavyaḥ / caturdiśe baliṃ	pUjayitvA nAnA-ganDa-puzpa-DUpa-vAdyEH pracezwavyaH / catur-diSe balim
   īttvābhinamaskṛtya puṣpadhūpagandhaiḥ sarva ityupadravāḥ praśamaṃ yāsyanti	IttvA-aBinamaskRtya puzpa-DUpa-ganDEH sarve iti-upadravAH praSamam yAsyanti
   (Dutt 81)	(Dutt 81)
   atha bhagavān tasyāṃ velāyāmimā gāthā abhāṣata /	aTa BagavAn tasyAm velAyAm-imAH gATAH aBAzata /
   [sarvasya sattvasya anugrahārthaṃ] yā bhāṣitā pūrvabhaveṣu nāyakaiḥ /	[sarvasya sattvasya anugraha-arTaM] yA BAzitA pUrva-Bavezu nAyakEH /
   [ahaṃ tathā tvāmapi deśayiṣye] gṛṇhāhi ānanda imaṃ samādhim // Stav_1 //	[aham taTA tvAm-api deSayizye] gRNhAhi AnandaH imam samADim // Stau-_1 //
   yaścaiva traidhātukadānu dadyā saptāna ratnāna ca pūrayitvā /	yaH-ca-eva trEDAtuka-dAnu dadyA saptAna ratnAna ca pUrayitvA /
   (Dutt 82)	(Dutt 82)
   buddheṣu dharmeṣu sadāpramattaḥ upamāpi tasya na sa bhonti dānam // Stav_2	budDezu Darmezu sadA-apramattaH upamA-api tasya na sa Bonti dAnam // Stau-_2
   yaścaiva buddheṣvabhiśraddadhitvā vihārakārāpayi caityakāni /	yaH-ca-eva budDezu-aBiSraddaDitvA vihAra-kArApayi cEtyakAni /
   yaścaiva sūtraṃ[ca] dhareti kaści ayaṃ tato bahutaru puṇyu bheṣyate //	yaH-ca-eva sUtraM[ca] DarA-iti kaSci ayam tatas bahu-taru puNyu Bezyate //
   Stav_3 //	Stau-_3 //
   yaścāpi ekaṃ kṣipayeta puṣpaṃ vastraṃ ca mālyaṃ ca vilepanaṃ tathā /	yaH-ca-api ekam kzipayeta puzpam vastram ca mAlyam ca vilepanam taTA /
   imaṃ samādhiṃ ca[ya] satkareta nāyaṃ tato bahutaru puṇyu bhoti // Stav_4	imam samADim ca[ya] satkareta na-ayam tatas bahu-taru puNyu Boti // Stau-_4
   (Dutt 83)	(Dutt 83)
   yaścāpi kārṣāpaṇu dānu dadyā imasya sūtrasya ca pūjanārtham /	yaH-ca-api kArzApaNu dAnu dadyAH imasya sUtrasya ca pUjana-arTam /
   janitvā bodhāya ca maitracitte ayaṃ tato bahutaru puṇyu prāpnuyā // Stav_5	janitvA boDAya ca mEtra-citte ayam tatas bahu-taru puNyu prApnuyAH // Stau-_5
   yaścāpi sattveṣu imaṃ samādhiṃ prakāśaye deśayi bodhisattvaḥ /	yaH-ca-api sattvezu imam samADim prakASaye deSayi boDisattvaH /
   pratipādaye bodhimanuttare tathā upamāpi puṇyaṃpi na tasya bhoti // Stav_6	pratipAdaye boDim-anuttare taTA upamA-api puNyaMpi na tasya Boti // Stau-_6
   imaṃ ca śrutvā tatha ānuśaṃsāḥ kṛtvā ca maitraṃ tatha sarvasattvaiḥ /	imam ca SrutvA taTaH AnuSaMsAH kRtvA ca mEtram taTa sarva-sattvEH /
   (Dutt 84)	(Dutt 84)
   tasmāpi sūtram imu dhārayeta likheta vāceta tathā prakāśaye // Stav_7 //	tasma-api sUtram imu DArayeta liKeta vAceta taTA prakASaye // Stau-_7 //
   jarāvyādhimṛtyu[bhistathātitīvraiḥ śataiścaduḥkhaiḥ] paripīḍitāśca /	jarA-vyADi-mRtyu[BiH-taTA-ati-tIvrEH SatEH-ca-duHKEH] paripIxitAH-ca /
   upapadyamānā narakeṣu pretayo mā paścakāle parītāpyu bheṣyatha // Stav_8	upapadyamAnAH narakezu pretayaH mA paSca-kAle parIta-apyu BezyaTa // Stau-_8
   sa mṛtyukāle bhayabhītamānasaḥ abhīkṣṇamucchvāsanamucchvasantaḥ /	sa mRtyu-kAle Baya-BIta-mAnasaH aBIkzNam-ucCvAsanam-ucCvasantaH /
   kosmābhi trāṇaṃ bhavate parāyaṇaṃ mukhe mukhaṃ prekṣati bālabuddhiḥ //	kosma-aBi trANam Bavate parAyaNam muKe muKam prekzati bAla-budDiH //
   Stav_9 //	Stau-_9 //
   (Dutt 85)	(Dutt 85)
   [yasmā tathāgatamabhipūjayitvā] bauddhaṃ ca dharmaṃ tatha sāṃghikañca /	[yasmE taTAgatam-aBipUjayitvA] bOdDam ca Darmam taTa sAMGi-kaQca /
   hariṣya neṣye yamaloki dāruṇe na tasya trāṇaṃ sada kaści bheṣyati //	harizya nezye yama-loki dAruNe na tasya trANam sada kaSci Bezyati //
   Stav_10 //	Stau-_10 //
   na putradāraṃ na ca mitrabāndhavān na cāpi rāṣṭraṃ na ca hāsyalāsyam /	na putra-dAram na ca mitra-bAnDavAn na ca-api rAzwram na ca hAsya-lAsyam /
   dhanaṃ na dhānyaṃ na ca vastrabhūṣaṇaṃ sarvaṃ jahitvā puna duḥkhadāruṇam	Danam na DAnyam na ca vastra-BUzaNam sarvam jahitvA puna duHKa-dAruNam
   // Stav_11 //	// Stau-_11 //
   imaṃ samādhiṃ na ca śraddadhitvā tathā[ca duḥkhaṃ]dāruṇaṃ vedayate /	imam samADim na ca SraddaDitvA taTA[ca duHKaM]da-aruNam vedayate /
   (Dutt 86)	(Dutt 86)
   ima duḥkhu śrutvā imu ānuśaṃsāḥ ko bālabuddhirna jane prasādam // Stav_12	ima duHKu SrutvA imu AnuSaMsAH kaH bAla-budDiH-na jane prasAdam // Stau-_12
   tasmācca tairhi sada bhikṣubhikṣuṇī upāsakopāsikarājabhiḥ sadā /	tasmAt-ca tEH-hi sada Bikzu-BikzuNI upAsa-kopAsika-rAjaBiH sadA /
   imaṃ ca sūtraṃ sada dhārayitvā satkāru nityaṃ ca kartavyadhārake //	imam ca sUtram sadaH DArayitvA satkAru nityam ca kartavya-DArake //
   Stav_13 //	Stau-_13 //
   athāyuṣmānānando bhagavantametadavocat / udgṛhītaṃ mayā bhagavan imaṃ	aTa-AyuzmAn-AnandaH Bagavantam-etat-avocat / udgRhItam mayA Bagavan imam
   dharmaparyāyaṃ śāstṛsaṃjñayā dhārayiṣyāmi pūjayiṣyāmi sarvasattvebhyaḥ	Darma-paryAyam SAstR-saMjQayA DArayizyAmi pUjayizyAmi sarva-sattveByaH
