   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   Vkn .9.15 atha te bodhisatvā vimalakīrtiṃ licchavim etad avocan: iha punar	Vk .9.15 aTa te boDisatvAH vimala-kIrtim licCavim etat avocan: iha punar-
   bhagavāñ śākyamuniḥ kīdṛśīṃ dharmadeśanāṃ prakāśayati /	BagavAn SAkya-muniH kIdRSIm Darma-deSanAm prakASayati /
   āha: durdamāḥ satpuruṣāḥ ime satvāḥ / teṣāṃ durdamānāṃ satvānāṃ	Aha: durdamAH sat-puruzAH ime satvAH / tezAm durdamAnAm satvAnAm
   khaṭuṅkadurdamadamathakathām eva prakāśayati / katamaḥ punaḥ	KawuFka-durdama-damaTa-kaTAm eva prakASayati / katamaH punar-
   khaṭuṅkadurdamānāṃ damathaḥ, katamā ca khaṭuṅkadurdamadamathakathā /	KawuFka-durdamAnAm damaTaH, katamA ca KawuFka-durdama-damaTa-kaTA /
   tadyatheme nirayāḥ, iyaṃ tiryagyoniḥ, ayaṃ yamalokaḥ, ime 'kṣaṇāḥ, iyaṃ	tat-yaTA-ime nirayAH, iyam tiryagyoniH, ayam yama-lokaH, ime akzaNAH, iyam
   hīnendriyopapartiḥ, idaṃ kāyaduścaritam, ayaṃ kāyaduścaritasya vipākaḥ,	hIna-indriya-upapartiH, idam kAya-duScaritam, ayam kAya-duScaritasya vipAkaH,
   idaṃ vāgduścaritam, ayaṃ vāgduścaritasya vipākaḥ, idaṃ manoduścaritam,	idam vAc-duScaritam, ayam vAc-duScaritasya vipAkaH, idam manaH-duScaritam,
   ayaṃ manoduścaritasya vipākaḥ, ayaṃ prāṇātipātaḥ, idam adattādānam, ayaṃ	ayam manaH-duScaritasya vipAkaH, ayam prANa-atipAtaH, idam adatta-AdAnam, ayam
   kāmamithyācāraḥ, ayaṃ mṛṣāvādaḥ, iyaṃ piśunā vāk / iyaṃ paruṣā vācā, ayaṃ	kAma-miTyA-AcAraH, ayam mRzAvAdaH, iyam piSunA vAc / iyam paruzAH vAcA, ayam
   saṃbhinnapralāpaḥ, iyam abhidhyā, ayaṃ vyāpādaḥ, iyaṃ mithyādṛṣṭiḥ, ayam	saMBinna-pralApaH, iyam aBiDyA, ayam vyApAdaH, iyam miTyA-dRzwiH, ayam
   eṣām eṣa vipākaḥ, idaṃ mātsaryam, idaṃ dauḥśīlyam, ayaṃ krodhaḥ, idaṃ	ezAm eza vipAkaH, idam mAtsaryam, idam dOHSIlyam, ayam kroDaH, idam
   kauśīdyam, ayaṃ vikṣepaḥ, idaṃ dauḥprajñyam, idaṃ dauḥprajñyasya phalam /	kOSIdyam, ayam vikzepaH, idam dOHprajQyam, idam dOHprajQyasya Palam /
   ayaṃ prātimokṣaśikṣāvyatikramaḥ, ayaṃ prātimokṣaḥ, idaṃ karaṇīyam, idam	ayam prAtimokza-SikzA-vyatikramaH, ayam prAtimokzaH, idam karaNIyam, idam
   akaraṇīyam, ayaṃ yogaḥ / idaṃ pradhānam, idam āvaraṇam, idam anāvaraṇam,	akaraNIyam, ayam yogaH / idam praDAnam, idam AvaraNam, idam anAvaraNam,
   iyam āpattiḥ, iyam anāpattiḥ, idam āpattivyutthānam, ayaṃ mārgaḥ / ayaṃ	iyam ApattiH, iyam anApattiH, idam Apatti-vyutTAnam, ayam mArgaH / ayam
   kumārgaḥ, idaṃ kuśalam, idam akuśalam, idaṃ sāvadyam, idam anavadyam, idaṃ	kumArgaH, idam kuSalam, idam akuSalam, idam sAvadyam, idam anavadyam, idam
   sāsravam, idam anāsravam, idaṃ laukikam, idaṃ lokottaram, idaṃ saṃskṛtam,	sa-Asravam, idam anAsravam, idam lOkikam, idam lokottaram, idam saMskRtam,
   idam asaṃskṛtam, ayaṃ saṃkleśaḥ, idaṃ vyavadānam, ayaṃ saṃsāraḥ, idaṃ	idam asaMskRtam, ayam saMkleSaH, idam vyavadAnam, ayam saMsAraH, idam
   nirvāṇam /	nirvANam /
   ity evam anekadharmaparibhāṣaṇatayā khaṭuṅkāśvasadṛśacittāḥ satvā	iti evam aneka-Darma-pariBAzaNa-tayA KawuFka-aSva-sadRSa-cittAH satvA
   avasthāpyante / tadyathā khaṭuṅko hayo gajo vā yāvan marmavedhena damathaṃ	avasTApyante / tat-yaTA KawuFkaH hayaH gajaH vA yAvat marma-veDena damaTam
   gacchati, evam eveha durdamāḥ khaṭuṅkāḥ satvās te	gacCati, evam eva-iha durdamAH KawuFkAH satvAH te
   sarvaduḥkhaparibhāṣaṇakathābhir damathaṃ gacchanti /	sarva-duHKa-pariBAzaNa-kaTABiH damaTam gacCanti /
   Vkn .9.16 te bodhisatvā āhuḥ: āścaryaṃ bhagavataḥ śākyamuner yatra hi nāma	Vk .9.16 te boDisatvAH AhuH: AScaryam BagavataH SAkya-muneH yatra hi nAma
   pratisaṃhṛtya buddhamāhātmyaṃ daridralūhatayā khaṭuṅkān satvān vinayati /	pratisaMhRtya budDa-mAhAtmyam daridra-lUha-tayA KawuFkAn satvAn vinayati /
   ye 'pi bodhisatvā ihaivaṃ pratikaṣṭe buddhakṣetre prativasanti teṣām apy	ye api boDisatvAH iha-evam pratikazwe budDa-kzetre prativasanti tezAm api-
   acintyā mahākaruṇā /	acintyAH mahA-karuNA /
   vimalakīrtir āha: evam eva satpuruṣāḥ tathaitad yathā vadatha / ye 'pīha	vimala-kIrtiH Aha: evam eva sat-puruzAH taTA-etat yaTA vat-aTa / ye api-iha
   bodhisatvāḥ pratyājātāḥ, dṛḍhā teṣāṃ mahākaruṇā / te bahutaram iha	boDisatvAH pratyAjAtAH, dRXA tezAm mahA-karuNA / te bahutaram iha
   lokadhātāv ekajanmanā kariṣyanti satvārtham / na tv eva tatra	lokaDAtO eka-janmanA karizyanti satva-arTam / na tu eva tatra
   sarvagandhasugandhe lokadhātau kalpasahasreṇa satvārthaḥ /	sarva-ganDa-suganDe lokaDAtO kalpa-sahasreNa satva-arTaH /
   Vkn .9.17 tat kasmād dhetoḥ / iha hi satpuruṣāḥ sahe lokadhātau daśa	Vk .9.17 tat kasmAt DetoH / iha hi sat-puruzAH sahe lokaDAtO daSa
   kuśaloccayā dharmāḥ, ye 'nyeṣu buddhakṣetreṣu na saṃvidyante, yāṃś ca te	kuSala-uccayAH DarmAH, ye anyezu budDa-kzetrezu na saMvidyante, yAn ca te
   parigṛhṇanti / katame daśa / yad idaṃ dānasaṃgraho daridreṣu, śīlasaṃgraho	parigRhNanti / katame daSa / yat idam dAna-saMgrahaH daridra-izu, SIla-saMgrahaH-
   duḥśīleṣu, kṣāntisaṃgrahaḥ pratihateṣu, vīryasaṃgrahaḥ kuśīdeṣu,	duHSIlezu, kzAnti-saMgrahaH pratihata-izu, vIrya-saMgrahaH kuSIdezu,
   dhyānasaṃgraho vikṣiptacitteṣu, prajñāsaṃgraho duḥprajñeṣu,	DyAna-saMgrahaH vikzipta-citta-izu, prajQA-saMgrahaH duHprajQezu,
   aṣṭākṣaṇasamatikramadeśanākṣaṇaprāpteṣu, mahāyānadeśanā prādeśikacaryāsu,	azwa-akzaNa-samatikrama-deSana-akzaNa-prApta-izu, mahAyAna-deSanA prAdeSika-caryAsu,
   kuśalamūlasaṃgraho 'navaropitakuśalamūleṣu, satatasamitaṃ satvaparipākaś	kuSala-mUla-saMgrahaH anavaropita-kuSala-mUla-izu, satata-samitam satva-paripAka-H-
   caturbhiḥ saṃgrahavastubhiḥ / imān daśa kuśaloccayān dharmān pratigṛhṇanti	caturBiH saMgraha-vastuBiH / imAn daSa kuSala-uccayAn DarmAn pratigRhNanti
   ye tadanyeṣu buddhakṣetreṣu na saṃvidyante /	ye tad-anyezu budDa-kzetrezu na saMvidyante /
   Vkn .9.18 te bodhisatvā āhuḥ: katamair dharmaiḥ samanvāgato bodhisatvo	Vk .9.18 te boDisatvAH AhuH: katamEH DarmEH samanvAgataH boDisatvaH-
   'kṣaṭo 'nupahataḥ sahāl lokadhātoś cyutvā pariśuddhaṃ buddhakṣetraṃ	akzawaH anupahataH sahAt lokaDAtoH cyutvA pariSudDam budDa-kzetram
   gacchati /	gacCati /
   vimalakīrtir āha: aṣṭābhiḥ kulaputraḥ dharmaiḥ samanvāgato bodhisatvaḥ	vimala-kIrtiH Aha: azwABiH kula-putraH DarmEH samanvAgataH boDisatvaH
   sahāl lokadhātoś cyutvākṣaṭo 'nupahataḥ pariśuddhaṃ buddhakṣetraṃ gacchati	sahAt lokaDAtoH cyutvA-akzawaH anupahataH pariSudDam budDa-kzetram gacCati
   / katamair aṣṭābhiḥ / yad uta sarvasatvānāṃ mayā hitaṃ kartavyam, na	/ katamEH azwABiH / yat uta sarva-satvAnAm mayA hitam kartavyam, na
   caiṣāṃ sakāśāt kiṃcid dhitaṃ paryeṣitavyam, sarvasatvaduḥkhaṃ	ca-ezAm sakASAt kiMcid Ditam paryezitavyam, sarva-satva-duHKam
   cānenotsoḍhavyaṃ sarvaṃ cānena kuśalamūlaṃ sarvasatvānām utsraṣṭavyam,	ca-anena-utsoXavyam sarvam ca-anena kuSala-mUlam sarva-satvAnAm utsrazwavyam,
   sarvasatveṣv apratighātaḥ, sarvabodhisatveṣu śāstṛprema, aśrutānāṃ ca	sarva-satvezu apratiGAtaH, sarva-boDisatvezu SAstR-prema, aSrutAnAm ca
   dharmāṇāṃ śrutānāṃ ca śravaṇād apratikṣepaḥ, anīrṣukatā paralābheṣu	DarmANAm SrutAnAm ca SravaNAt apratikzepaH, anIrzuka-tA para-lABezu
   svalābhenānabhimananācittanidhyaptiḥ, ātmaskhalitapratyavekṣā	sva-lABena-anaBimananA-citta-niDyaptiH, Atma-sKalita-pratyavekzA
   parasyāpattyacodanatā apramādaratasya ca sarvaguṇasamādanam / ebhir	parasya-Apatti-acodana-tA apramAda-ratasya ca sarva-guNa-samAdanam / eBiH-
   aṣṭābhir dharmaiḥ samanvāgato bodhisatvaḥ sahāl lokadhātoś cyutvākṣaṭo	azwABiH DarmEH samanvAgataH boDisatvaH sahAt lokaDAtoH cyutvA-akzawaH-
   'nupahataḥ pariśuddhaṃ buddhakṣetraṃ gacchati /	anupahataH pariSudDam budDa-kzetram gacCati /
   atha vimalakīrtir licchavir mañjuśrīś ca kumārabhūtas tasyāṃ parṣadi	aTa vimala-kIrtiH licCaviH maQjuSrIH ca kumAra-BUtaH tasyAm parzadi
   saṃnipatitāyāṃ tathā dharmaṃ deśayato yathā paripūrṇasya	saMnipatitAyAm taTA Darmam deSayataH yaTA paripUrNasya
   prāṇisahasrasyānuttarāyāṃ samyaksaṃbodhau cittāny utpannāni, daśānāṃ ca	prANi-sahasrasya-anuttarAyAm samyaksaMboDO cittAni utpannAni, daSAnAm ca
   bodhisatvasahasrāṇām anutpattikadharmakṣāntipratilambho 'bhūt // //	boDisatva-sahasrANAm anutpattika-Darma-kzAnti-pratilamBaH aBUt // //
   nirmitabhojanānayanaparivarto nāma navamaḥ //	nirmita-Bojana-Anayana-parivartaH nAma navamaH //
   Vkn .10.1 tena khalu punaḥ samayena bhagavata āmrapālīvane dharmaṃ	Vk .10.1 tena Kalu punar samayena BagavataH Amra-pAlI-vane Darmam
   deśayataḥ sa maṇḍalamāḍo vipulaś ca vistīrṇaś ca saṃsthito 'bhūt / sā ca	deSayataH sa maNxalamAxaH vipulaH ca vistIrNaH ca saMsTitaH aBUt / sA ca
   parṣat suvarṇavarṇā saṃdṛśyate sma / athāyuṣmān ānando bhagavantam etad	parzad suvarNa-varNA saMdRSyate sma / aTa-AyuzmAn AnandaH Bagavantam etat-
   avocat: kasyedaṃ bhagavan pūrvanimittaṃ yad idam āmrapālīvanam evaṃ	avocat: kasya-idam Bagavan pUrva-nimittam yat idam Amra-pAlI-vanam evam
   vistīrṇaṃ saṃsthitaṃ sarvā ca parṣat suvarṇavarṇā saṃdṛśyate /	vistIrNam saMsTitam sarvA ca parzad suvarNa-varNA saMdRSyate /
   bhagavān āha: eṣa ānanda vimalakīrtir licchavir mañjuśrīś ca kumārabhūto	BagavAn Aha: ezaH Ananda vimala-kIrtiH licCaviH maQjuSrIH ca kumAra-BUtaH-
   mahatyā parṣadā parivṛtau tathāgatasyāntikam upasaṃkramiṣyataḥ /	mahatyA parzadA parivRtO taTAgatasya-antikam upasaMkramizyataH /
   Vkn .10.2 atha vimalakīrtir licchavir mañjuśriyaṃ kumārabhūtam etad	Vk .10.2 aTa vimala-kIrtiH licCaviH maQju-Sriyam kumAra-BUtam etat-
   avocat: gamiṣyāmo vayaṃ mañjuśrīḥ bhagavato 'ntikam / ime ca mahāsatvās	avocat: gamizyAmaH vayam maQjuSrIH BagavataH antikam / ime ca mahAsatva-as
   tathāgataṃ drakṣyanti vandiṣyante ca /	taTAgatam drakzyanti vandizyante ca /
   āha: gacchāma kulaputra yasyedānīṃ kālaṃ manyase /	Aha: gacCAma kula-putra yasya-idAnIm kAlam manyase /
   atha vimalakīrtir licchavis tādṛśam ṛddhyabhisaṃskāram abhisaṃskaroti sma	aTa vimala-kIrtiH licCaviH tAdRSam RdDi-aBisaMskAram aBisaMskaroti sma
   / yathā tāṃ sarvāvatīṃ parṣadaṃ sārdhaṃ taiḥ siṃhāsanair dakṣiṇe pāṇau	/ yaTA tAm sarvAvatIm parzadam sArDam tEH siMhAsanEH dakziNe pANO
   pratiṣṭhāpya yena bhagavāṃs tenopasaṃkrāmat / upasaṃkramya tāṃ parṣadaṃ	pratizWApya yena BagavAn tena-upasaMkrAmat / upasaMkramya tAm parzadam
   dharaṇitale pratiṣṭhāpya bhagavataḥ pādau śirasā vanditvā bhagavantaṃ	DaraNi-tale pratizWApya BagavataH pAdO SirasA vanditvA Bagavantam
   saptakṛtvaḥ pradakṣiṇīkṛtyaikānte 'sthāt /	sapta-kRtvas pradakziNIkRtya-ekAnte asTAt /
   atha ye te bodhisatvā gandhottamakūṭasya tathāgatasya buddhakṣetrād	aTa ye te boDisatvAH ganDottamakUwasya taTAgatasya budDa-kzetrAd
   āgatāḥ, te cānye ca tebhyaḥ siṃhāsanebhyo 'vatīrya bhagavataḥ pādau	AgatAH, te ca-anye ca teByaH siMhAsaneByaH avatIrya BagavataH pAdO
   śirobhir vanditvaikānte pratyatiṣṭhan / evaṃ śakrabrahmalokapālā	SiroBiH vanditvA-ekAnte pratyatizWan / evam Sakra-brahma-lokapAlA
   devaputrāś ca bhagavataḥ pādau śirobhir vanditvaikānte pratyatiṣṭhan /	deva-putrAH ca BagavataH pAdO SiroBiH vanditvA-ekAnte pratyatizWan /
   atha sa bhagavāṃs tān bodhisatvān dharmyayā kathaya pratisaṃmodyaivam āha:	aTa sa BagavAn tAn boDisatvAn DarmyayA kaTaya pratisaMmodya-evam Aha:
   nisīdata kulaputrāḥ sveṣu sveṣu siṃhāsaneṣu /	nisIdata kula-putrAH svezu svezu siMhAsanezu /
   te bhagavatānujñātā nyaṣidan /	te BagavatA-anujQAtAH nyazidan /
   Vkn .10.3 tatra bhagavān āyuṣmantaṃ śāriputram āmantrayate sma: dṛṣṭaṃ te	Vk .10.3 tatra BagavAn Ayuzmantam SAriputram Amantrayate sma: dRzwam te
   śāriputra eṣām agrasatvānāṃ bodhisatvānāṃ vikrīḍitam /	SAriputraH ezAm agra-satvAnAm boDisatvAnAm vikrIxitam /
   āha: dṛṣṭaṃ bhagavan /	Aha: dRzwam Bagavan /
   bhagavān āha: tataḥ kā te saṃjñotpannā /	BagavAn Aha: tatas kA te saMjQA-utpannA /
   āha: acintyā saṃjñā me bhagavan tatrodapadyata yathā cintayituṃ tulayituṃ	Aha: acintyA saMjQA me Bagavan tatra-udapadyata yaTA cintayitum tulayitum
   gaṇayituṃ na śaknomi tādṛśīṃ teṣām acintyāṃ kriyāṃ paśyāmi /	gaNayitum na Saknomi tAdRSIm tezAm acintyAm kriyAm paSyAmi /
   Vkn .10.4 athāyuṣmān ānando bhagavantam etad avocat: anāghrātapūrvaṃ	Vk .10.4 aTa-AyuzmAn AnandaH Bagavantam etat avocat: anAGrAta-pUrvam
   bhagavan gandham ājighrāmi / kasyaiṣa īdṛśo gandhaḥ /	Bagavan ganDam AjiGrAmi / kasya-ezaH IdRSaH ganDaH /
   āha: eṣām eva ānanda bodhisatvānāṃ sarvaromakūpebhyo gandhaḥ kāyāt pravāti	Aha: ezAm eva Ananda boDisatvAnAm sarva-romakUpeByaH ganDaH kAyAt pravAti
   śāriputro 'py āha: asmākam apy āyuṣmann ānanda sarvaromakūpebhya īdṛśo	SAriputraH api Aha: asmAkam api Ayuzman Ananda sarva-romakUpeByaH IdRSaH-
   gandhaḥ pravāti /	ganDaH pravAti /
   āha: kuto 'sya gandhasya prādurbhāvaḥ /	Aha: kutas asya ganDasya prAdurBAvaH /
   āha: vimalakīrtinā licchavinā gandhottamakūṭasya tathāgatasya	Aha: vimala-kIrtinA licCavinA ganDottamakUwasya taTAgatasya
   buddhakṣetrāt sarvagandhasugandhāl lokadhātor bhojanam ānītam / tad	budDa-kzetrAt sarva-ganDa-suganDAt lokaDAtoH Bojanam AnItam / tat-
   yāvadbhir bhuktaṃ sarveṣām īdṛśo gandhaḥ kāyāt pravāti /	yAvadBiH Buktam sarvezAm IdRSaH ganDaH kAyAt pravAti /
   Vkn .10.5 athāyuṣmān ānando vimalakīrtiṃ bodhisatvam evam āha: kiyacciraṃ	Vk .10.5 aTa-AyuzmAn AnandaH vimala-kIrtim boDisatvam evam Aha: kiyat-ciram
   punar eṣa kulaputra gandho 'nuvartiṣyate /	punar eza kula-putra ganDaH anuvartizyate /
   āha: yāvad etad bhojanaṃ na pariṇataṃ bhaviṣyati /	Aha: yAvat etat Bojanam na pariNatam Bavizyati /
   ānanda āha: kiyaccireṇa punar etad bhojanaṃ pariṇaṃsyati /	AnandaH Aha: kiyat-cireNa punar etat Bojanam pariNaMsyati /
   āha: saptabhiḥ saptāhaiḥ pariṇaṃsyati / upari cāsya saptāham ojaḥ	Aha: saptaBiH sapta-ahEH pariNaMsyati / upari ca-asya sapta-aham ojaH
   sphariṣyati / na cājīrṇadoso bhaviṣyati /	sParizyati / na ca-ajIrNa-dosaH Bavizyati /
   Vkn .10.6 yaiś ca bhadantānanda bhikṣubhir anavakrāntaniyāmair etad	Vk .10.6 yEH ca Badanta-Ananda BikzuBiH anavakra-anta-niyAmEH etat-
   bhojanaṃ bhuktaṃ teṣām avakrāntaniyāmānāṃ pariṇaṃsyati / yaiḥ punar	Bojanam Buktam tezAm avakrAnta-niyAmAnAm pariNaMsyati / yEH punar-
   avakrāntaniyāmair bhuktaṃ teṣāṃ nāparimuktacittānāṃ pariṇaṃsyati / yair	avakrAnta-niyAmEH Buktam tezAm na-aparimukta-cittAnAm pariNaMsyati / yEH-
   anutpāditabodhicittaiḥ satvaiḥ paribhuktaṃ teṣām utpāditabodhicittānām	anutpAdita-boDi-cittEH satvEH pariBuktam tezAm utpAdita-boDi-cittAnAm
   pariṇaṃsyati / yair utpāditabodhicittair bhuktaṃ teṣāṃ	pariNaMsyati / yEH utpAdita-boDi-cittEH Buktam tezAm
   nāpratilabdhakṣāntikānāṃ pariṇaṃsyati / yaiḥ punaḥ pratilabdhakṣāntikair	na-apratilabDa-kzAntikAnAm pariNaMsyati / yEH punar pratilabDa-kzAntikEH-
   bhuktaṃ teṣām ekajātipratibaddhānāṃ pariṇaṃsyati /	Buktam tezAm eka-jAti-pratibadDAnAm pariNaMsyati /
   Vkn .10.7 tadyathāpi nāma bhadantānanda svādur nāma bhaiṣajyam, tat tāvat	Vk .10.7 tat-yaTA-api nAma Badanta-Ananda svAduH nAma BEzajyam, tat tAvat-
   kauṣṭhagataṃ na pariṇamati yāvan na sarvagataṃ viṣam apagataṃ bhavati /	kOzWa-gatam na pariNamati yAvat na sarva-gatam vizam apagatam Bavati /
   tataḥ paścāt tad bhaiṣajyaṃ pariṇamati / evam eva bhadantānanda tāvad eva	tatas paScAt tat BEzajyam pariNamati / evam eva Badanta-Ananda tAvat eva
   tad bhojanaṃ na pariṇataṃ bhavati yāvat sarvakleśaviṣaṃ na nirviṣaṃ	tat Bojanam na pariNatam Bavati yAvat sarva-kleSa-vizam na nirvizam
   bhavati / tataḥ paścāt tad bhojanaṃ pariṇamati /	Bavati / tatas paScAt tat Bojanam pariNamati /
   athāyuṣmān ānando bhagavantam etad avocat: buddhakṛtyaṃ bhagavan etad	aTa-AyuzmAn AnandaH Bagavantam etat avocat: budDa-kRtyam Bagavan etat-
   bhojanaṃ karoti /	Bojanam karoti /
   āha: evam etad ānanda evam etad yathā vadasi /	Aha: evam etat Ananda evam etat yaTA vadasi /
   Vkn .10.8 santy ānanda buddhakṣetrāṇi yeṣu bodhisatvā buddhakṛtyaṃ	Vk .10.8 santi Ananda budDa-kzetrANi yezu boDisatvA budDa-kRtyam
   kurvanti / santi buddhakṣetrāṇi yeṣu bodhivṛkṣo buddhakṛtyaṃ karoti /	kurvanti / santi budDa-kzetrANi yezu boDivRkzaH budDa-kRtyam karoti /
   santi buddhakṣetrāṇi yeṣu tathāgatalakṣaṇarūpadarśanaṃ buddhakṛtyaṃ karoti	santi budDa-kzetrANi yezu taTAgata-lakzaNa-rUpa-darSanam budDa-kRtyam karoti
   / evaṃ gaganam antarīkṣaṃ buddhakṛtyaṃ karoti / tādṛśas teṣāṃ satvānāṃ	/ evam gaganam antarIkzam budDa-kRtyam karoti / tAdRSaH tezAm satvAnAm
   vinayo bhavati /	vinayaH Bavati /
   Vkn .10.9 evaṃ	Vk .10.9 evam
   svapnapratibhāsadakacandrapratiśrutkāmāyāmarīcyupamopanyāsākṣaravibhaktinirdeśāḥ	svapna-pratiBAsadaka-candra-pratiSrutkAmAya-amarIci-upama-upanyAsa-akzara-viBakti-nirdeSAH
   satvānāṃ buddhakṛtyaṃ kurvanti / santi buddhakṣetrāṇi yatrākṣaravijñaptir	satvAnAm budDa-kRtyam kurvanti / santi budDa-kzetrANi yatra-akzara-vijQaptiH-
   buddhakṛtyaṃ karoti / santy ānanda buddhakṣetrāṇi tādṛśāni pariśuddhāni	budDa-kRtyam karoti / santi Ananda budDa-kzetrANi tAdRSAni pariSudDAni
   yatrānudāhāratāpravyāhāratānirdeśatānabhilāpyatā teṣāṃ satvānāṃ	yatra-anudAhAra-tA-pravyAhAra-tA-niH-deSatA-anaBilApya-tA tezAm satvAnAm
   buddhakṛtyaṃ karoti /	budDa-kRtyam karoti /
   Vkn .10.10 na kaścid ānanda īryāpatho na kaścid upabhogo yo buddhānāṃ	Vk .10.10 na kaScid Ananda IryA-paTaH na kaScid upaBogaH yaH budDAnAm
   bhagavatāṃ satvavinayāya buddhakṛtyaṃ na karoti / ye cema ānanda catvāro	BagavatAm satva-vinayAya budDa-kRtyam na karoti / ye ca-imaH Ananda catvAraH-
   mārāś caturāśītiś ca kleśamukhaśatasahasrāṇi yaiḥ satvāḥ saṃkliśyante,	mArAH catura-aSItiH ca kleSa-muKa-Sata-sahasrANi yEH satvAH saMkliSyante,
   sarvais tair buddhā bhagavanto buddhakṛtyaṃ kurvanti /	sarvEH tEH budDAH BagavantaH budDa-kRtyam kurvanti /
   Vkn .10.11 idam ānanda sarvabuddhadharmapraveśaṃ nāma dharmamukhaṃ yatra	Vk .10.11 idam Ananda sarvabudDaDarma-praveSam nAma Darma-muKam yatra
   yatra dharmamukhe praviṣṭo bodhisatvaḥ sarvodāravyūhaguṇasamanvāgateṣu	yatra Darma-muKe pravizwaH boDisatvaH sarva-udAra-vyUha-guNa-samanvAgatezu
   buddhakṣetreṣu nāvalīyate nāvanamati / sarvodāravyūhaguṇasamanvāgateṣu ca	budDa-kzetrezu na-avalIyate na-avanam-ati / sarva-udAra-vyUha-guNa-samanvAgatezu ca
   buddhakṣetreṣu na kṛṣyati nonnamati / tathāgatānāṃ ca sakāśe so 'dhimātraṃ	budDa-kzetrezu na kRzyati na-unnamati / taTAgatAnAm ca sakASe saH aDimAtram
   gauravam utpādayati / āścaryam idaṃ buddhānāṃ bhagavatāṃ	gOravam utpAdayati / AScaryam idam budDAnAm BagavatAm
   sarvadharmasamatādhimuktānāṃ satvaparipācanatayā	sarva-Darma-samatA-aDimuktAnAm satva-paripAcana-tayA
   buddhakṣetranānātvadarśanam /	budDa-kzetra-nAnAtva-darSanam /
   Vkn .10.12 tadyathā ānanda bhavati buddhakṣetrāṇām aparāparaguṇanānātvam,	Vk .10.12 tat-yaTA Ananda Bavati budDa-kzetrANAm aparApara-guNa-nAnA-tvam,
   na punaḥ khagapathasaṃchāditasya buddhakṣetrasyākāśanānātvam / evam eva	na punar Kaga-paTa-saMCAditasya budDa-kzetrasya-AkASa-nAnAtvam / evam eva
   ānanda bhavati tathāgatānaṃ rupakāyanānātvam, na punas tathāgatānām	Ananda Bavati taTAgatAnam rupakAya-nAnAtvam, na punar taTAgatAnAm
   asaṅgajñānanānātvam /	asaFga-jQAna-nAnA-tvam /
   Vkn .10.13 samā hy ānanda sarvabuddhā rūpeṇa varṇena tejasā vapuṣā	Vk .10.13 samAH hi Ananda sarva-budDA rUpeNa varNena tejasA vapuzA
   lakṣaṇaiḥ kulamāhātmyena śīlena samādhinā prajñayā vimuktyā	lakzaNEH kula-mAhAtmyena SIlena samADinA prajQayA vimuktyA
   vimuktijñānadarśanena balair vaiśāradyair buddhadharmair mahāmaitryā	vimukti-jQAna-darSanena balEH vESAradyEH budDa-DarmEH mahAmEtryA
   mahākaruṇayā hitaiṣitayeryayā caryayā pratipadāyuḥpramāṇena dharmadeśanayā	mahA-karuNayA hita-ezitayA-IH-yayA caryayA pratipad-A-AyuH-pramANena Darma-deSanayA
   satvaparipākena satvavimuktyā kṣetrapariśuddhyā	satva-paripAkena satva-vimuktyA kzetra-pariSudDyA
   sarvabuddhadharmaparipūrayā / tenocyate samyaksaṃbuddha iti tathāgata iti	sarva-budDa-Darma-paripUrayA / tena-ucyate samyaksaMbudDaH iti taTAgataH iti
   buddha iti /	budDaH iti /
   eṣām ānanda trayāṇāṃ padānāṃ yo 'rthavistarapadavibhaṅgaḥ sa tvayā	ezAm Ananda trayANAm padAnAm yaH arTa-vistara-pada-viBaFgaH sa tvayA
   kalpasthitikenāpi na sukaraḥ paryavāptum / trisāhasraparyāpannā apy ānanda	kalpa-sTitikena-api na sukaraH paryavAptum / tri-sAhasra-paryApannAH api Ananda
   satvās tvatsadṛśā bhaveyur agrā bahuśrutānāṃ smṛtidhāriṇīpratilabdhānām,	satvAH tvad-sadRSAH BaveyuH agrA bahu-SrutAnAm smRti-DAriNI-pratilabDAnAm-,
   te 'pi sarve satvā ānandasadṛśā eṣāṃ trayāṇāṃ padānām arthaviniścayaṃ	te api sarve satvAH Ananda-sadRSAH ezAm trayANAm padAnAm arTa-viniScayam
   śrutasmṛtidhāriṇīlabdhānām arthaviniścayanirdeśaṃ kalpenāpi na śaknuyuḥ	Sruta-smRti-DAriNI-labDAnAm arTa-viniScaya-nirdeSam kalpena-api na SaknuyuH
   paryavāptum, yad idaṃ samyaksaṃbuddha iti tathāgata iti buddha iti / evam	paryavAptum, yat idam samyaksaMbudDaH iti taTAgataH iti budDaH iti / evam
   apramāṇā hy ānanda buddhabodhiḥ, evam acintyaṃ tathāgatānāṃ	apramANAH hi Ananda budDa-boDiH, evam acintyam taTAgatAnAm
   prajñāpratibhānam /	prajQA-pratiBAnam /
   Vkn .10.14 athāyuṣmān ānando bhagavantam etad avocat: adyāgreṇāhaṃ	Vk .10.14 aTa-AyuzmAn AnandaH Bagavantam etat avocat: adya-agreNa-aham
   bhagavan na bhūyo 'gro bahuśrutānām ity ātmānaṃ pratijñāsyāmi /	Bagavat na BUyas agraH bahu-SrutAnAm iti AtmAnam pratijQAsyAmi /
   bhagavān āha: mā tvam ānanda avalīnacittam utpādaya / tat kasmād dhetoḥ /	BagavAn Aha: mA tvam Ananda avalIna-cittam utpAdaya / tat kasmAt DetoH /
