   namo buddhāya |	namaH budDAya |
   vikalpitaṃ rūpaṃ yo rūpasya paratantraḥ (/) svabhāvas tatra hi	vikalpitam rUpam yaH rUpasya paratantraH (/) svaBAvaH tatra hi
   rūpavikalpaḥ kriyate / dharmatārūpaṃ yo rūpasya pariniṣpannaḥ svabhāvaḥ /	rUpa-vikalpaH kriyate / DarmatA-rUpam yaH rUpasya parinizpannaH svaBAvaH /
   yathā rūpam evaṃ vedanādayaḥ skandhāḥ dhātvāyatanādayaś ca yojyāḥ / evan	yaTA rUpam evam vedanA-AdayaH skanDAH DAtu-Ayatana-AdayaH ca yojyAH / evan
   triṣu svabhāveṣu skandhādīnām antarbhāvād daśavidhaṃ kauśalyatatvaṃ	trizu svaBAvezu skanDa-AdInAm antarBAvAt daSaviDam kOSalya-tatvam
   mūlatatva eva draṣṭavyaṃ / uktam idaṃ yathā	mUlatatvaH eva drazwavyam / uktam idam yaTA
   daśavidhātmadarśanapratipakṣeṇa skandhādikauśalyaṃ [/] skandhādyarthas tu	daSaviDa-Atma-darSana-pratipakzeNa skanDa-Adi-kOSalyam [/] skanDa-Adi-arTaH tu
   noktaḥ / sa idānīm ucyate/	na-uktaH / saH idAnIm ucyate/
   (Mvbh 45)	(MvB 45)
   [a. Skandhārtha]	[a. SkanDa-arTa]
   anekatvābhisaṃkṣepaparicchedārtha āditaḥ /	aneka-tva-aBisaMkzepa-paricCeda-arTaH Aditas /
   āditas tāvat skandhās te trividhenārthena veditavyāḥ / anekatvārthena yat	Aditas tAvat skanDAH te triviDena-arTena veditavyAH / anekatva-arTena yat-
   kiñcid rūpam atītānāgatapratyutpannam iti vistaraḥ / abhisaṃkṣepārthena	kiQcid rUpam atIta-anAgata-pratyutpannam iti vistaraH / aBisaMkzepa-arTena
   tat sarvam aikadhyam abhisaṃkṣipyeti / paricchedārthena ca	tat sarvam EkaDyam aBisaMkzipya-iti / paricCeda-arTena ca
   rūpādilakṣaṇasya pṛthaktvavyavasthānāt / rāśyartho hi skandhārtha evaṃ ca	rUpa-Adi-lakzaNasya pRTaktva-vyavasTAnAt / rASi-arTaH hi skanDa-arTaH evam ca
   loke rāśyartho dṛṣṭa iti /	loke rASi-arTaH dRzwaH iti /
   [b. Dhātvartha]	[b. DhAtvarTa]
   grāhakagrāhyatadgrāhabījārthaś cāparo mataḥ // III. 17	grAhaka-grAhya-tad-grAha-bIja-arTaH ca-aparaH mataH // III. 17
   katamo 'paro dhātus tatra grāhakabījārthaḥ cakṣurdhātvādayaḥ [/]	katamaH aparaH DAtuH tatra grAhaka-bIja-arTaH cakzuH-DAtu-AdayaH [/]
   grāhyabījārtho rūpadhātvādayas [/] tadgrāhabījārthaś	grAhya-bIja-arTaH rUpa-DAtu-AdayaH [/] tad-grAha-bIja-arTaH-
   cakṣurvijñānadhātvādayaḥ /	cakzuH-vijQAna-DAtu-AdayaH /
   [c. Āyatanārtha]	[c. Āyatana-arTa]
   veditārthaparicchedabhogāyadvārato 'paraṃ /	vedita-arTa-paricCeda-BogAyat-vArataH aparam /
   kim aparaṃ āyatanaṃ / tatra veditopabhogāyadvārārthena ṣaḍ ādhyātmikāny	kim aparam Ayatanam / tatra vedita-upaBogAya-dvAra-arTena zaw ADyAtmikAni-
   āyatanāni / arthaparicchedopabhogāyadvārārthena ṣaḍ bāhyāni /	AyatanAni / arTa-paricCeda-upaBogAya-dvAra-arTena zaw bAhyAni /
   [d. Pratītyasamutpādārtha]	[d. Prati-iti-asamutpAda-arTa]
   pratītyasamutpādārthaḥ /	pratItyasamutpAda-arTaH /
   punar hetuphalāyāsānāropānapavādataḥII III.18	punar hetu-Pala-AyAsa-anAropAnapavAdataHII III.18
   hetuphalakriyāṇām asamāropānapavādārthaḥ pratītyasamutpādārthaḥ / tatra	hetu-Pala-kriyANAm asamAropa-anapavAda-arTaH pratItyasamutpAda-arTaH / tatra
   hetu sa nāropaḥ saṃskārādīnāṃ viṣamahetukalpanāt / (Mvbh 46) hetvapavādo	hetu sa na-AropaH saMskAra-AdInAm vizama-hetu-kalpanAt / (MvB 46) hetu-apavAdaH-
   nirhetukatvakalpanāt phalasamāropaḥ sātmakānāṃ saṃskārādīnām	nirhetuka-tva-kalpanAt Pala-samAropaH sa-AtmakAnAm saMskAra-AdInAm
   avidyādipratyayapravṛttikalpanāt / phalāpavādo na santy avidyādipratyayāḥ	avidyA-Adi-pratyaya-pravRtti-kalpanAt / Pala-apavAdaH na santi avidyA-Adi-pratyayAH
   saṃskārādaya iti kalpanāt / kriyāsamāropo 'vidyādīnāṃ saṃskārādyutpattau	saMskAra-AdayaH iti kalpanAt / kriyA-samAropaH avidyA-AdInAm saMskAra-Adi-utpattO
   vyāpārakalpanāt kriyāpavādo niḥsāmarthyakalpanāt tadabhāvād	vyApAra-kalpanAt kriyA-apavAdaH niHsAmarTya-kalpanAt tad-aBAvAt-
   asamāropānapavādo veditavyaḥ /	asamAropAnapavAdaH veditavyaH /
   [e. Sthānāsthānārtha]	[e. STAna-AsTAna-arTa]
   aniṣṭeṣṭaviśuddhīnāṃ samotpattyādhipatyayoḥ /	anizwa-izwa-viSudDInAm sama-utpatti-ADipatyayoH /
   saṃprāptisamudācārapāratantryārthato 'paraṃ // III. 19	saMprApti-samudAcAra-pAratantrya-arTataH aparam // III. 19
   sthānāsthānaṃ saptavidhapāratantryārthena veditavyaṃ / tatrāniṣṭe	sTAna-AsTAnam saptaviDa-pAratantrya-arTena veditavyam / tatra-anizwe
   pāratantryaṃ duścaritenānicchato 'pi durgatigamanād iṣṭe pāratantryaṃ	pAratantryam duScaritena-anicCataH api durgati-gamanAt izwe pAratantryam
   sucaritena sugatigamanāt / viśuddhau pāratantryaṃ pañca nivaraṇāny	su-caritena sugati-gamanAt / viSudDO pAratantryam paQca nivaraNAni-
   aprahāya yāvat saptabodhyaṅgāny abhāvayitvā duḥkhasyāntākaraṇāt	aprahAya yAvat sapta-boDi-aFgAni aBAvayitvA duHKasya-antAkaraNAt
   samotpattau pāratantryaṃ dvayor apūrvācaramayos tathāgatayoś cakravartinoś	sama-utpattO pAratantryam dvayoH apUrvAcaramayoH taTAgatayoH cakravartinoH-
   caikasmin lokadhātāv anutpādād ādhipatye pāratantryaṃ striyāś	ca-ekasmin lokaDAtO anutpAdAt ADipatye pAratantryam striyAS
   cakravartitvādyakaraṇāt saṃprāptau pāratantryaṃ striyāḥ	cakravarti-tva-Adya-karaNAt saMprAptO pAratantryam striyAH
   pratyekānuttarabodhyanabhisaṃbodhāt samudācāre pāratantryaṃ	pratyeka-anuttara-boDi-anaBisaMboDAt samudAcAre pAratantryam
   dṛṣṭisaṃpannasya vadhādyupakramāsamudācārāt pṛthagjanasya ca samudācārād	dRzwi-saMpannasya vaDa-Adi-upakrama-asam-udAcArAt pRTagjanasya ca samudAcArAt-
   vistareṇa bahudhātukasūtrānusārād anugantavyaṃ /	vistareNa bahu-DAtuka-sUtra-anusArAt anugantavyam /
   [f. Indriyārtha]	[f. Indriya-arTa]
   indriyaṃ punar dvāviṃśatividhaṃ /	indriyam punar dvAviMSativiDam /
   grahaṇasthānasaṃdhānabhogaśuddhidvayārthataḥ /	grahaNa-sTAna-saMDAna-Boga-SudDi-dvaya-arTataH /
   (Mvbh 47)	(MvB 47)
   grahaṇārthena yāvad viśuddhidvayārthena teṣu tadādhipatyād	grahaNa-arTena yAvat viSudDi-dvaya-arTena tezu tad-ADipatyAt-
   rūpādiviṣayagrahaṇe hi cakṣurādīnāṃ ṣaṇṇām ādhipatyaṃ sthāne	rUpa-Adi-vizaya-grahaNe hi cakzuH-AdInAm zaNNAm ADipatyam sTAne
   jīvitendriyasya tadādhipatyenāmaraṇāt / kulasandhāne strīpuruṣendriyayor	jIvita-indriyasya tad-ADipatyena-amaraNAt / kula-sanDAne strI-puruza-indriyayoH-
   apatyaprasavādhipatyād upabhoge vedanendriyāṇāṃ	apatya-prasava-ADipatyAt upaBoge vedanA-indriyANAm
   kuśalākuśalakarmaphalopabhogāt / laukikaviśuddhau śraddhādīnāṃ /	kuSala-akuSala-karma-Pala-upaBogAt / lOkika-viSudDO SradDA-AdInAm /
   lokottaraviśuddhau anājñātamājñāsyāmīndriyādīnāṃ /	loka-uttara-viSudDO anAjQAtam-AjQA-asyAmi-indriya-AdInAm /
   [g. Adhvārtha]	[g. ADvA-arTa]
   phalahetūpayogārthanopayogāt tathāparaṃ // III.20	Pala-hetu-upayoga-arTana-upayogAt taTA-aparam // III.20
   kim aparam adhvatrayaṃ yathāyogaṃ phalahetūpayogārthenātīto 'dhvā	kim aparam aDva-trayam yaTAyogam Pala-hetu-upayoga-arTena-atItaH aDvA
   phalahetvanupayogārthenānāgato 'dhvā hetūpayogaphalānupayogārthena	Pala-hetu-anupayoga-arTena-anAgataH aDvA hetu-upayoga-Pala-anupayoga-arTena
   pratyutpanno 'dhvā veditavyaḥ /	pratyutpannaH aDvA veditavyaH /
   [h. Catuḥsatyārtha]	[h. CatuHsatya-arTa]
   vedanāsanimittārthatannimittaprapattitaḥ /	vedanAsa-nimitta-arTa-tad-nimitta-prapattitaH /
   tacchamapratipakṣārthayogād aparam iṣyate // III.21	tad-Sama-pratipakza-arTa-yogAt aparam izyate // III.21
   kim aparaṃ satyacatuṣṭayaṃ / tatra duḥkhasatyaṃ vedanāsanimittārthena yat	kim aparam satya-catuzwayam / tatra duHKa-satyam vedanAsa-nimitta-arTena yat-
   kiñcid veditam idam atra duḥkhasyeti kṛtvā vedanānimittaṃ punar	kiQcid veditam idam atra duHKasya-iti kRtvA vedanA-nimittam punar-
   vedanāsthānīyā dharmā veditavyāḥ / tannimittapratipattitaḥ samudayasatyaṃ	vedanA-sTAnIyAH DarmAH veditavyAH / tad-nimitta-pratipattitaH samudaya-satyam
   duḥkhasatyanimittaṃ yā pratipattiḥ / tayoḥ śamārthena nirodhasatyaṃ /	duHKa-satya-nimittam yA pratipattiH / tayoH Sama-arTena niroDa-satyam /
   pratipakṣārthena mārgasatyaṃ /	pratipakza-arTena mArga-satyam /
   [i. Yānatrayārtha]	[i. YAna-traya-arTa]
   guṇadoṣāvikalpena jñānena parataḥ svayaṃ [/]	guNa-doza-avikalpena jQAnena paratas svayam [/]
   niryāṇād aparaṃ jñeyaṃ /	niryANAt aparam jQeyam /
   (Mvbh 48)	(MvB 48)
   yānatrayaṃ yathāyogaṃ / tatra nirvāṇasaṃsārayor guṇadoṣajñānena parataḥ	yAna-trayam yaTAyogam / tatra nirvANa-saMsArayoH guNa-doza-jQAnena paratas-
   (/) śrutvā niryāṇārthena śrāvakayānaṃ / tenaiva svayam aśrutvā parato	(/) SrutvA niryANa-arTena SrAvaka-yAnam / tena-eva svayam aSrutvA paratas-
   niryāṇārthena pratyekabuddhayānaṃ / avikalpena jñānena svayaṃ	niryANa-arTena pratyekabudDa-yAnam / avikalpena jQAnena svayam
   niryāṇārthena mahāyānaṃ veditavyaṃ //	niryANa-arTena mahAyAnam veditavyam //
   [j. Saṃskṛtāsaṃskṛtārtha]	[j. SaMskRta-AsaMskRtArTa]
   saprajñaptisahetukāt /	sa-prajQapti-sa-hetukAt /
   nimittāt praśamāt sārthāt paścimaṃ samudāhṛtaṃ // III.22	nimittAt praSamAt sArTAt paScimam samudAhRtam // III.22
   saṃskṛtāsaṃskṛtaṃ tatra saprajñaptir nāmakāyādayaḥ hetur bījasaṃgṛhītam	saMskRta-asaMskRtam tatra saprajQaptiH nAmakAya-AdayaH hetuH bIja-saMgRhItam
   ālayavijñānaṃ / nimittaṃ pratiṣṭhādehabhogasaṃgṛhītaṃ /	AlayavijQAnam / nimittam pratizWA-deha-Boga-saMgRhItam /
   pravṛttivijñānasaṃgṛhītāś ca manaudgrahavikalpaḥ / etat	pravRtti-vijQAna-saMgRhItAH ca manOdgraha-vikalpaH / etat-
   saprajñaptisahetukaṃ nimittaṃ sasaṃprayogaṃ saṃskṛtaṃ veditavyaṃ / tatra	sa-prajQapti-sa-hetukam nimittam sa-saMprayogam saMskRtam veditavyam / tatra
   mano yan nityaṃ manyanākāraṃ / udgrahaḥ pañcavijñānakāyāḥ vikalpo	manaH yat nityam manyana-AkAram / udgrahaH paQca-vijQAna-kAyAH vikalpaH-
   manovijñānaṃ (/) tasya vikalpakatvād asaṃskṛtaṃ punaḥ praśamaś ca nirodhaḥ	manaH-vijQAnam (/) tasya vikalpaka-tvAt asaMskRtam punar praSamaH ca niroDaH
   / praśamārthaś ca tathatā tatra praśamo nirodho mārgaś ca yaś ca praśamo	/ praSama-arTaH ca taTatA tatra praSamaH niroDaH mArgaH ca yaH ca praSamaH-
   yena ceti kṛtvā praśamārthaḥ tathatā praśamasyārtha iti kṛtvā tathatāyā	yena ca-iti kRtvA praSama-arTaH taTatA praSamasya-arTaH iti kRtvA taTatAyA
   mārgālambanatvāt / mārgasya praśamatvan tena praśamanāt /	mArga-Alambana-tvAt / mArgasya praSama-tvan tena praSamanAt /
   ity etenārthena skandhādiṣu jñānaṃ skandhādikauśalyaṃ veditavyaṃ /	iti etena-arTena skanDa-Adizu jQAnam skanDa-Adi-kOSalyam veditavyam /
   [Tattvapiṇḍārtha]	[Tattva-piNxa-arTa]
   tatvasya piṇḍārthaḥ / samāsato dvividhaṃ tatvaṃ / ādarśatatvaṃ /	tatvasya piNxa-arTaH / samAsatas dviviDam tatvam / AdarSata-tvam /
   dṛśyatatvaṃ ca tatrādarśatatvaṃ mūlatatvaṃ tatra śeṣāṇāṃ darśanāt / (Mvbh	dRSyata-tvam ca tatra-adarSata-tvam mUlata-tvam tatra SezANAm darSanAt / (MvB
   49) dṛśyatatvaṃ navavidhaṃ nirabhimānadṛśyatatvaṃ / aviparyāsadṛśyatatvaṃ	49) dRSyata-tvam navaviDam niraBimAna-dRSyata-tvam / aviparyAsa-dRSyata-tvam
   / śrāvakayānaniryāṇadṛśyatatvaṃ / mahāyānaniryāṇadṛśyatatvaṃ / audārikeṇa	/ SrAvaka-yAna-niryANa-dRSyata-tvam / mahAyAna-niryANa-dRSyata-tvam / OdArikeNa
   paripācanāt / sūkṣmeṇa ca vimocanāt paravādinigrahadṛśyatatvaṃ /	paripAcanAt / sUkzmeNa ca vimocanAt para-vAdi-nigraha-dRSyata-tvam /
   dṛṣṭāntasanniśrayeṇa yuktyā nigrahāt / mahāyānābhidyotanadṛśyatatvaṃ /	dRzwAnta-sanniSrayeNa yuktyA nigrahAt / mahAyAna-aBidyotana-dRSyata-tvam /
   sarvākārajñeyapraveśadṛśyatatvaṃ / avitathatathatābhidyotanadṛśyatatvaṃ /	sarva-AkAra-jQeya-praveSa-dRSyata-tvam / avitaTa-taTatA-aBidyotana-dRSyata-tvam /
   ātmagrāhavastusarvābhisandhipraveśadṛśyatatvaṃ ca // ḥ //	Atma-grAha-vastu-sarva-aBisanDi-praveSa-dRSyata-tvam ca // H //
   madhyāntavibhāgaśāstre tatvaparicchedas tṛtīyaḥ // ḥ //	maDya-anta-viBAga-SAstre tatva-paricCedaH tRtIyaH // H //
   (Mvbh 50)	(MvB 50)
   [CHAPTER IV. PRATIPAKṢABHĀVANĀVASTHĀPHALAPARICCHEDA]	[CHA-aPTER IV. PRATIPAKṢABHĀ-VANĀ-Va-aSTHĀPHALa-aPARICSHEDA]
   [1.Pratipaksabhāvanā]	[1.Prati-paksa-BAvanA]
   pratipakṣabhāvanā bodhipakṣyabhāvanā sedānīṃ vaktavyā /	pratipakza-BAvanA boDi-pakzya-BAvanA sA-idAnIm vaktavyA /
   [a. Catvāri smṛtyupasthānāni]	[a. CatvAri smRti-upasTAnAni]
   tatra tāvad ādau /	tatra tAvat AdO /
   dauṣṭhulyāt tarṣahetutvād vastutvād avimohataḥ /	dOzWulyAt tarza-hetu-tvAt vastu-tvAt avimohataH /
   catuḥsatyāvatārāya smṛtyupasthānabhāvanā // IV.1	catur-satya-avatArAya smRti-upasTAna-BAvanA // IV.1
   kāyena hi dauṣṭhulyaṃ prabhāvyate / tatparīkṣayā duḥkhasatyam avatarati /	kAyena hi dOzWulyam praBAvyate / tad-parIkzayA duHKa-satyam avatarati /
   tasya sadauṣṭhulyasaṃskāralakṣaṇatvāt / dauṣṭhulyaṃ hi saṃskāraduḥkhatā /	tasya sa-dA-ozWulya-saMskAra-lakzaNa-tvAt / dOzWulyam hi saMskAra-duHKa-tA /
   tayā sarvaṃ sāsravaṃ vastv āryā duḥkhataḥ paśyantīti / tṛṣṇāhetur vedanā	tayA sarvam sa-Asravam vastu AryAH duHKataH paSyanti-iti / tRzNA-hetuH vedanA
   tatparīkṣayā samudayasatyam avatarati / ātmābhiniveśavastu cittaṃ	tad-parIkzayA samudaya-satyam avatarati / Atma-aBiniveSa-vastu cittam
   tatparīkṣayā nirodhasatyam avataraty ātmocchedabhayāpagamāt /	tad-parIkzayA niroDa-satyam avatarati Atma-ucCeda-Baya-apagamAt /
   dharmaparīkṣayā sāṃkleśikavaiyavadānikadharmāsaṃmohāt / mārgasatyam	Darma-parIkzayA sAMkleSika-vEyavadAnika-Darma-asaMmohAt / mArga-satyam
   avataraty ataḥ (/) ādau catuḥsatyāvatārāya smṛtyupasthānabhāvanā	avatarati atas (/) AdO catur-satya-avatArAya smRti-upasTAna-BAvanA
   vyavasthāpyate /	vyavasTApyate /
   [b. Catvāri samyakprahāṇāni]	[b. CatvAri samyak-prahANAni]
   tataḥ samyakprahāṇabhāvanā yasmāt /	tatas samyak-prahANa-BAvanA yasmAt /
   parijñāte vipakṣe ca pratipakṣe ca sarvathā /	parijQAte vipakze ca pratipakze ca sarvaTA /
   tadapāyāyavīryaṃ hi caturdhā saṃpravartate // IV.2	tad-apAyAya-vIryam hi caturDA saMpravartate // IV.2
   smṛtyupasthānabhāvanayā vipakṣe pratipakṣe ca sarvaprakāraṃ parijñāte	smRti-upasTAna-BAvanayA vipakze pratipakze ca sarva-prakAram parijQAte
   vipakṣāpagamāya pratipakṣopagamāya ca vīryañ caturdhā saṃpravartate /	vipakza-apagamAya pratipakza-upagamAya ca vIryan caturDA saMpravartate /
   utpannānāṃ pāpakānām akuśalānāṃ dharmāṇāṃ prahāṇāyeti vistaraḥ /	utpannAnAm pApakAnAm akuSalAnAm DarmANAm prahANAya-iti vistaraH /
   (Mvbh 51)	(MvB 51)
   [c. Catvāra ṛddhipādāḥ]	[c. CatvAraH RdDi-pAdAH]
   karmaṇyatā sthites tatra sarvārthānāṃ samṛddhaye /	karmaNya-tA sTiteH tatra sarva-arTAnAm samRdDaye /
   pañcadoṣaprahāṇāṣṭasaṃskārāsevanānvayā // IV.3	paQca-doza-prahANa-azwa-saMskAra-Asevana-anvayA // IV.3
   tasyāṃ tadapāyāyavīryabhāvanāyāṃ cittasthiteḥ (/) karmaṇyatā catvāra	tasyAm tad-apAyAya-vIrya-BAvanAyAm citta-sTiteH (/) karmaNya-tA catvAra
   ṛddhipādāḥ sarvārthasamṛddhihetutvāt sthitir atra cittasthitiḥ samādhir	RdDipAdAH sarva-arTa-samRdDi-hetutvAt sTitiH atra citta-sTitiH samADiH-
   veditavyaḥ / ataḥ samyakprahāṇānantaram ṛddhipādāḥ / sā punaḥ karmaṇyatā	veditavyaH / atas samyak-prahANa-anantaram RdDi-pAdAH / sA punar karmaNya-tA
   pañcadoṣaprahāṇāyāṣṭaprahāṇasaṃskārabhāvanānvayā veditavyā /	paQca-doza-prahANAya-azwa-prahANa-saMskAra-BAvanA-anvayA veditavyA /
   [Paṃca dosāḥ]	[PaMca dosAH]
   katame pañca doṣā ity āha /	katame paQca dozAH iti Aha /
   kausīdyam avavādasya saṃmoṣo laya uddhataḥ /	kOsIdyam avavAdasya saMmozaH layaH udDataH /
   asaṃskāro 'tha saṃskāraḥ pañca doṣā ime matāḥ // IV.4	asaMskAraH aTa saMskAraH paQca dozAH ime matAH // IV.4
   tatra layauddhatyam eko doṣaḥ kriyate / anabhisaṃskāro	tatra laya-OdDatyam ekaH dozaH kriyate / anaBisaMskAraH-
   layauddhatyapraśamanakāle doṣaḥ / abhisaṃskāraḥ praśāntau [/]	laya-OdDatya-praSamana-kAle dozaH / aBisaMskAraH praSAntO [/]
   [Aṣṭa prahāṇasaṃskārāḥ]	[Azwa prahANa-saMskArAH]
   eṣāṃ prahāṇāya katham aṣṭau prahāṇasaṃskārā vyavasthāpyante / catvāraḥ	ezAm prahANAya kaTam azwO prahANa-saMskArAH vyavasTApyante / catvAraH
   kausīdyaprahāṇāya cchandavyāyāmaśraddhāprasrabdhayas te punar yathākramaṃ	kOsIdya-prahANAya cCanda-vyAyAma-SradDA-prasrabDayaH te punar yaTAkramam
   veditavyāḥ /	veditavyAH /
   āśrayo 'thāśritas tasya nimittaṃ phalam eva ca /	ASrayaH aTa-ASritaH tasya nimittam Palam eva ca /
   āśrayaś chando vyāyāmasya / āśrito vyāyāmas tasyāśrayasya cchandasya	ASrayaH CandaH vyAyAmasya / ASritaH vyAyAmaH tasya-ASrayasya cCandasya
   nimittaṃ śraddhā saṃpratyaye (/) saty abhilāṣāt tasyāśritasya vyāyāmasya	nimittam SradDA saMpratyaye (/) sati aBilAzAt tasya-ASritasya vyAyAmasya
   phalaṃ prasrabdhir ārabdhavīryasya samādhiviśeṣādhigamāc (Mvbh 52) cheṣāś	Palam prasrabDiH ArabDa-vIryasya samADi-viSeza-aDigamAt (MvB 52) CezAH-
   catvāraḥ prahāṇasaṃskārāḥ smṛtisaṃprajanyacetanopekṣāś caturṇāṃ doṣāṇāṃ	catvAraH prahANa-saMskArAH smRti-saMprajanya-cetana-upekzAH caturNAm dozANAm
   yathāsaṃkhyaṃ pratipakṣās te punaḥ smṛtyādayo veditavyā yathākramaṃ /	yaTAsaMKyam pratipakzAH te punar smRti-AdayaH veditavyA yaTAkramam /
   ālambane 'saṃmoṣo layauddhatyānubuddhyanā /	Alambane asaMmozaH laya-OdDatya-anubudDi-anAH /
   tadapāyābhisaṃskāraḥ śāntau praśaṭhavāhitā // IV.5	tad-apAya-aBisaMskAraH SAntO praSaWavAhitAH // IV.5
   smṛtir ālambane 'saṃpramoṣaḥ saṃprajanyaṃ smṛtyasaṃpramoṣe sati	smRtiH Alambane asaMpramozaH saMprajanyam smRtya-saMpramoze sati
   layauddhatyānubodhaḥ / anubudhya tadapagamāyābhisaṃskāraś cetanā / tasya	laya-OdDatya-anuboDaH / anubuDya tad-apagamAya-aBisaMskAraH cetanA / tasya
   layauddhatyasyopaśāntau satyāṃ praśaṭhavāhitā cittasyopekṣā [/]	laya-OdDatyasya-upaSAntO satyAm praSaWavAhitA cittasya-upekzAH [/]
   [d. Pañcendriyāṇi]	[d. PaQca-indriyANi]
   ṛddhipādānām anantaraṃ pañcendriyāṇi śraddhādīni teṣāṃ kathaṃ vyavasthānaṃ	RdDi-pAdAnAm anantaram paQca-indriyANi SradDA-AdIni tezAm kaTam vyavasTAnam
   ropite mokṣabhāgīye cchandayogādhipatyataḥ /	ropite mokza-BAgIye cCanda-yoga-ADipatyataH /
   ālambane 'saṃmoṣāvisāravicayasya ca // IV.6	Alambane asaMmozA-visAra-vicayasya ca // IV.6
   ādhipatyata iti vartate / ṛddhipādaiḥ karmaṇyacittasyāropite mokṣabhāgīye	ADipatyate iti vartate / RdDi-pAdEH karmaNi-acittasya-Aropite mokza-BAgIye
   kuśalamūle cchandādhipatyataḥ prayogādhipatyataḥ /	kuSala-mUle cCanda-ADipatyataH prayoga-ADipatyataH /
   ālambanāsaṃpramoṣādhipatyataḥ / avisārādhipatyataḥ / pravicayādhipatyataś	Alambana-asaMpramoza-ADipatyataH / avisAra-ADipatyataH / pravicaya-ADipatyatas-
   ca / yathākramaṃ pañca śraddhādīnīndriyāṇi veditavyāni /	ca / yaTAkramam paQca SradDA-AdIni-indriyANi veditavyAni /
   [e. Pañca balāni]	[e. PaQca balAni]
   tāny eva śraddhādīni balavanti balānīty ucyante / teṣāṃ punar balavatvaṃ	tAni eva SradDA-AdIni balavanti balAni-iti ucyante / tezAm punar balava-tvam
   vipakṣasya hi saṃlekhad /	vipakzasya hi saMleKat /
   (Mvbh 53)	(MvB 53)
   yadā tāny aśraddhādibhir vipakṣair na vyavakīryante / kasmāc chraddhādīnāṃ	yadA tAni aSradDA-AdiBiH vipakzEH na vyavakIryante / kasmAt SradDA-AdInAm
   pūrvottaranirdeśaḥ / yasmāt	pUrva-uttara-nirdeSaH / yasmAt-
   pūrvasya phalam uttaraṃ /	pUrvasya Palam uttaram /
   śraddadhāno hi hetuphalaṃ vīryam ārabhate / ārabdhavīryasya smṛtir	SraddaDAnaH hi hetu-Palam vIryam AraBate / ArabDa-vIryasya smRtiH-
   upatiṣṭhate / upasthitasmṛteś cittaṃ samādhīyate / samāhitacitto	upatizWate / upasTita-smRteH cittam samADIyate / samAhita-cittaH-
   yathābhūtaṃ prajānāti / avaropitamokṣabhāgīyasyendriyāṇy uktāny atha	yaTABUtam prajAnAti / avaropita-mokza-BAgIyasya-indriyANi uktAni aTa
   nirvedhabhāgīyāni kim indriyāvasthāyāṃ veditavyāny āhosvid balāvasthāyāṃ /	nirveDa-BAgIyAni kim indriya-avasTAyAm veditavyAni Ahosvit bala-avasTAyAm /
   dvau dvau nirvedhabhāgīyāv indriyāṇi balāni ca // IV.7	dvO dvO nirveDa-BAgIyO indriyANi balAni ca // IV.7
   uṣmagataṃ mūrdhānaś cendriyāṇi / kṣāntayo laukikāś cāgradharmā balāni /	uzma-gatam mUrDAnaH ca-indriyANi / kzAntayaH lOkikAH ca-agra-DarmA balAni /
   [f. Sapta bodhyaṅgāni]	[f. Sapta boDi-aFgAni]
   balānantaraṃ bodhyaṅgāni teṣāṃ kathaṃ vyavasthānaṃ /	bala-anantaram boDi-aFgAni tezAm kaTam vyavasTAnam /
   āśrayāṅgaṃ svabhāvāṅgaṃ niryāṇāṅgaṃ tṛtīyakaṃ /	ASraya-aFgam svaBAva-aFgam niryANa-aFgam tRtIyakam /
   caturtham anuśaṃsāṅgan niḥkleśāṅgaṃ tridhā mataṃ // IV.8	caturTam anuSaMsA-aFgan niHkleSa-aFgam triDA matam // IV.8
   darśanamārge bodhāv aṅgāni bodhyaṅgāni / tatra bodher āśrayāṅgaṃ smṛtiḥ /	darSana-mArge boDO aFgAni boDi-aFgAni / tatra boDeH ASraya-aFgam smRtiH /
   svabhāvāṅgaṃ dharmavicayaḥ / niryāṇāṅgaṃ vīryaṃ / anuśansāṅgaṃ prītiḥ /	svaBAva-aFgam Darma-vicayaH / niryANa-aFgam vIryam / anuSansA-aFgam prItiH /
   asaṃkleśāṅgaṃ tridhā prasrabdhisamādhyupekṣāḥ / kimarthaṃ punar	asaMkleSa-aFgam triDA prasrabDi-samADi-upekzAH / kimarTam punar-
   asaṃkleśāṅgaṃ tridhā deśitaṃ	asaMkleSa-aFgam triDA deSitam
   (Mvbh 54)	(MvB 54)
   nidānenāśrayeṇeha svabhāvena ca deśitaṃ /	nidAnena-ASrayeNa-iha svaBAvena ca deSitam /
   asaṃkleśasya nidānaṃ prasrabdhir dauṣṭhulyahetutvāt saṃkleśasya / tasyāś	asaMkleSasya nidAnam prasrabDiH dOzWulya-hetu-tvAt saMkleSasya / tasya-AS
   ca tatpratipakṣatvād āśrayaḥ samādhiḥ / svabhāvaupekṣā [/]	ca tad-pratipakza-tvAt ASrayaH samADiH / svaBAva-OpekzAH [/]
   [g. Aṣṭa mārgāṅgāni]	[g. Azwa mArga-aFgAni]
   bodhyaṅgānantaraṃ mārgāṅgāni teṣāṃ kathaṃ vyavasthānaṃ /	boDi-aFga-anantaram mArga-aFgAni tezAm kaTam vyavasTAnam /
   paricchedo 'tha saṃprāptiḥ parasaṃbhāvanā tridhā [//] IV.9	paricCedaH aTa saMprAptiH para-saMBAvanA triDA [//] IV.9
