   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   vakṣyate ca jagaddhātuḥ kathitetyāditaḥ param	vakzyate ca jagadDAtuH kaTitA-iti-Aditas param
   saivaikā saty anekatvaṃ gacchatīti maheśinā // 1.94 //	sA-eva-ekA sati aneka-tvam gacCati-iti maheSinA // 1.94 //
   sa cāyaṃ nirbharānandaviśrāntisvātmasusthitaḥ	sa ca-ayam nirBara-Ananda-viSrAnti-sva-Atma-su-sTitaH
   sodaryaiḥ śabdasaṃdarbhair bhāṣyate bhairavādibhiḥ // 1.95 //	sodaryEH Sabda-saMdarBEH BAzyate BErava-AdiBiH // 1.95 //
   savidhaṃ dūragaṃ vāpi yady apy asya na vastutaḥ	saviDam dUra-gam vA-api yadi api asya na vastutas-
   śabdajātaṃ bhavet kiṃ cid anyad apy atha vā prabhoḥ // 1.96 //	Sabda-jAtam Bavet kim cit anyat api aTa vA praBoH // 1.96 //
   tathā ca bhāsayaty eva deva eṣa tathā tathā	taTA ca BAsayati eva devaH eza taTA taTA
   tatas tadanusāreṇa sarvo 'yaṃ kalpanākramaḥ // 1.97 //	tatas tad-anusAreNa sarvaH ayam kalpanA-kramaH // 1.97 //
   na ca tat kalpanāmātraṃ tathātve 'py atha kā kṣitiḥ	na ca tat kalpanA-mAtram taTAtve api aTa kA kzitiH
   tathā saṃkalpatāṃ devo yad vā kalpayatāṃ tathā // 1.98 //	taTA saMkalpatAm devaH yat vA kalpayatAm taTA // 1.98 //
   evaṃ caiṣa prakāśātmā saptatriṃśātmakāt paraḥ	evam ca-eza prakASa-AtmA saptatriMSa-AtmakAt paraH
   vaicitryabhāsanāṃ kurvan kālaṃ bhāsayati prabhuḥ // 1.99 //	vEcitrya-BAsanAm kurvan kAlam BAsayati praBuH // 1.99 //
   vaicitryabhāsanaiveyaṃ kālaśaktir udāhṛtā	vEcitrya-BAsana-eva-iyam kAla-SaktiH udAhRtA
   tato 'vabhāsamānaitatkālaśaktyanurodhataḥ // 1.100 //	tatas avaBAsamAna-etad-kAla-Sakti-anuroDataH // 1.100 //
   āsmākīnāt tadetyādir uparāgaḥ pravartate	AsmAkInAt tadA-ityAdiH uparAgaH pravartate
   na cāsau tatra nāsty eva tatra yan nāsti tat kutaḥ // 1.101 //	na ca-asO tatra na-asti eva tatra yat na-asti tat kutas // 1.101 //
   anyatra tanyatāṃ nāma tat prakāśavaśaṃ sthitam	anyatra tanyatAm nAma tat prakASa-vaSam sTitam
   nanv evam apare tattvajāle śuddhetarasthitau // 1.102 //	nanu evam apare tattva-jAle SudDa-itara-sTitO // 1.102 //
   śuddhāśuddhapade vāpi vidyādau tattvamaṇḍale	SudDa-aSudDa-pade vA-api vidyA-AdO tattva-maNxale
   śuddhabhairavasadbhāvād aviśeṣo bhaviṣyati // 1.103 //	SudDa-BErava-sadBAvAt aviSezaH Bavizyati // 1.103 //
   narīnṛtyāmahe hanta yatnād vyākhyeyam eva naḥ	narInRtyAmahe hanta yatnAt vyAKyeyam eva naH
   āyuṣmato yad dhṛdaye svayaṃ viparivartate // 1.104 //	AyuzmataH yat DRdaye svayam viparivartate // 1.104 //
   śuddhāśuddhavibhedo hi paramārthakathāsu no	SudDa-aSudDa-viBedaH hi parama-arTa-kaTAsu na-u
   sa tu tatkṛta evāste mūḍhānāṃ dhiyi niścalaḥ // 1.105 //	sa tu tad-kRtaH eva-Aste mUXAnAm Diyi niScalaH // 1.105 //
   nanu śuddhetaratvākhyo yadi bhedo na vāstavaḥ	nanu SudDa-itaratva-AKyaH yadi BedaH na vAstavaH
   vyācikīrṣitam evaitac chāstraṃ vivadate tataḥ // 1.106 //	vyAcikIrzitam eva-etat SAstram vivadate tatas // 1.106 //
   aśuddhatvaṃ hi tattvānāṃ dīkṣayā śodhanaṃ tataḥ	aSudDa-tvam hi tattvAnAm dIkzayA SoDanam tatas-
   ityādi bahudhā bhedapradhānātra yataḥ sthitiḥ // 1.107 //	ityAdi bahuDA Beda-praDAna-atra yatas sTitiH // 1.107 //
   ucyate nādvaye 'muṣmin dvaitaṃ nāsty eva sarvathā	ucyate na-advaye amuzmin dvEtam na-asti eva sarvaTA
   uktaṃ hi bhedavandhye 'pi vibhau bhedāvabhāsanam // 1.108 //	uktam hi Beda-vanDye api viBO Beda-avaBAsanam // 1.108 //
   tad eva khalu saṃsāre māyāvidyādibhiḥ padaiḥ	tat eva Kalu saMsAre mAyA-vidyA-AdiBiH padEH
   bandha ity ucyate tatra rūḍhāḥ saṃsāriṇo matāḥ // 1.109 //	banDaH iti ucyate tatra rUXAH saMsAriNaH matAH // 1.109 //
   taccintānusṛter eṣāṃ śuddhāśuddhādiniścayaḥ	tad-cintA-anusRteH ezAm SudDa-aSudDa-Adi-niScayaH
   kiṃ ca śāstram idaṃ samyag bhagavadyogadeśakam // 1.110 //	kim ca SAstram idam samyak Bagavat-yoga-deSakam // 1.110 //
   bhagavadyogam advaitaṃ nirdvandvaṃ ca pracakṣate	Bagavat-yogam advEtam nirdvandvam ca pracakzate
   tasyopadeśa itthaṃ syād yadi yāvadvibhedavat // 1.111 //	tasya-upadeSaH itTam syAt yadi yAvat-viBeda-vat // 1.111 //
   saṃbhāvyate tan nirbhajya nirbhajyaiva nirūpyate	saMBAvyate tat nirBajya nirBajya-eva nirUpyate
   advaite bhairavavibhau yat praveśopaveśayoḥ // 1.112 //	advEte BErava-viBO yat praveSa-upaveSayoH // 1.112 //
   ābhyāsikī sthitir nāsti tau hi bhedaikajīvitau	AByAsikI sTitiH na-asti tO hi Beda-eka-jIvitO
   ataḥ saṃbhāvyanikhiladvaitaśaṅkāvyapohane // 1.113 //	atas saMBAvya-niKila-dvEta-SaFkA-vyapohane // 1.113 //
   gurūṇāṃ ca śiśūnāṃ ca yatnaḥ sarvo vijṛmbhate	gurUNAm ca SiSUnAm ca yatnaH sarvaH vijRmBate
   ato dvaitam ihāśaṅkyāśaṅkya sarvaṃ pratanyate // 1.114 //	atas dvEtam iha-ASaFkya-ASaFkya sarvam pratanyate // 1.114 //
   tad yāvadgati saṃbhāvya na tu kutrāpy udāsyate	tat yAvat-gati saMBAvya na tu kutra-api udAsyate
   tathā hi yadi nāmṛṣṭaṃ dvaitaṃ tarhy ekam eva sat // 1.115 //	taTA hi yadi na-amRzwam dvEtam tarhi ekam eva sat // 1.115 //
   cidbrahma tad alaṃ tattvasaṃkhyākalpananirṇayaiḥ	cit-brahma tat alam tattva-saMKyA-kalpana-nirNayEH
   pañcatriṃśatitā kasmāt tattvānāṃ tan nirūpyate // 1.116 //	paQcatriMSatitA kasmAt tattvAnAm tat nirUpyate // 1.116 //
   tasmād dvaitasya bhedātmasthiter yāvadgati graham	tasmAt dvEtasya Beda-Atma-sTiteH yAvat-gati graham
   kṛtvā yas tatpratikṣepas tena niḥśaṅkatā bhavet // 1.117 //	kRtvA yaH tad-pratikzepaH tena niHSaFkatA Bavet // 1.117 //
   etad eva ca vijñāne nirbhidyaivopadeśanam	etat eva ca vijQAne nirBidya-eva-upadeSanam
   yathāsaṃbhavi yad vajrapakṣāṇāṃ tad vidāraṇam // 1.118 //	yaTAsaMBavi yat vajra-pakzANAm tat vidAraNam // 1.118 //
   tathā hi śrīmatā stotre bhaṭṭanārāyaṇena tat	taTA hi SrImatA stotre Bawwa-nArAyaNena tat-
   namas te bhavasaṃbhrāntabhrāntim udbhāvya bhindate // 1.119 //	namaH te Bava-saMBrAnta-BrAntim udBAvya Bindate // 1.119 //
   jñānānandaṃ ca nirdvandvaṃ deva vṛtvā vivṛṇvate	jQAna-Anandam ca nirdvandvam deva vRtvA vivRNvate
   nirdvandvam iti nirdvaitaṃ prakaṭīkriyate padam // 1.120 //	nirdvandvam iti nirdvEtam prakawIkriyate padam // 1.120 //
   udbhāvyante bhramāś ceti cakāro 'trādbhutāvahaḥ	udBAvyante BramAH ca-iti cakAraH atra-adButa-Avahar-
   iha cādvaitam eveti purataḥ prataniṣyate // 1.121 //	iha ca-advEtam eva-iti puratas pratanizyate // 1.121 //
   adhvaśuddhyādikaṃ dvaite 'nupapattīti vakṣyate	aDva-SudDi-Adikam dvEte anupapatti-iti vakzyate
   abhedena vinā naitan nanu bhedaṃ vināpi kim // 1.122 //	aBedena vinA na-etat nanu Bedam vinA-api kim // 1.122 //
   satyaṃ kiṃtv advaye tattve bhedo 'pi na na yujyate	satyam kiMtu advaye tattve BedaH api na na yujyate
   idaṃ hi tat parādvaitaṃ bhedatyāgagrahau na yat // 1.123 //	idam hi tat parAdvEtam Beda-tyAga-grahO na yat // 1.123 //
   bhede tu viśvabhāvānāṃ svasvabhāvavyavasthiteḥ	Bede tu viSva-BAvAnAm sva-svaBAva-vyavasTiteH
   abheda iti śabdo 'yaṃ manye bhedayate rasāt // 1.124 //	aBedaH iti SabdaH ayam manye Bedayate rasAt // 1.124 //
   tad alaṃ prakṛtaṃ nirūpyate	tat alam prakRtam nirUpyate
   parameśaḥ kila bhedakalpanām	parameSaH kila Beda-kalpanAm
   prakaṭīkurute yathā tathā	prakawIkurute yaTA taTA
   nanu kālo 'pi vijṛmbhate tathā // 1.125 //	nanu kAlaH api vijRmBate taTA // 1.125 //
   na tathāpi ca yāti bhinnatāṃ	na taTA-api ca yAti Binna-tAm
   paramārthena kadācid eva saḥ	parama-arTena kadAcid eva saH
   yugapat sa hi saṃvidātmakaḥ	yugapad sa hi saMvid-AtmakaH
   nanv ittham ekaghanabhāvavimarśasāre	nanu itTam eka-Gana-BAva-vimarSa-sAre
   saṃvedane yad aham eṣa karomi citraḥ	saMvedane yat aham eza karomi citraH
   jānāmi vā tad apare 'pi na maitracaitra-	jAnAmi vA tat apare api na mEtra-cEtra-
   prāyā vidadhyur athavāpi kathaṃ na vidyuḥ // 1.127 //	prAyAH vidaDyuH aTavA-api kaTam na vidyuH // 1.127 //
   aho māyāgranthir nibiḍatama eṣo 'tra bhavatām	aho mAyAgranTiH nibixatamaH ezaH atra BavatAm
   idaṃ hi prabrūmaḥ svaparam iha nāsty ekam abhidam	idam hi prabrUmaH sva-param iha na-asti ekam aBidam
   ahaṃ vedmīty eṣā ghaṭatanuviśeṣaprakaṭatā	aham vedmi-iti ezA Gawa-tanu-viSeza-prakawa-tA
   prathāś citrākārāḥ paramahasi bhāntīti kathitam // 1.128 //	praTAH citra-AkArAH paramahasi BAnti-iti kaTitam // 1.128 //
   tasmād ghaṭaṃ vedmy aham ity amutra	tasmAt Gawam vedmi aham iti amutra
   bhedo na kaścin nanu me ghaṭo 'yam	BedaH na kaScid nanu me GawaH ayam
   bhātīti bhedapratibhānam asti	BAti-iti Beda-pratiBAnam asti
   naitan na tasyaiṣa śivas tathāyam // 1.129 //	na-etat na tasya-eza SivaH taTA-ayam // 1.129 //
   ata eva dvaipāyanamukhyās teṣu svaśāstradeśeṣu	atas eva dvEpAyana-muKyAH tezu sva-SAstra-deSezu
   mamakāram eva mṛtyuṃ khaṇḍanadāyitvataḥ prāhuḥ // 1.130 //	mamakAram eva mRtyum KaNxana-dAyi-tvataH prAhuH // 1.130 //
   tad evaṃ kālakalanopādhijātoparāgajāḥ	tat evam kAla-kalana-upADi-jAta-uparAga-jAH
   tadetyādi pratāyante paratattve 'pi saṃvidaḥ // 1.131 //	tadA-ityAdi pratAyante para-tattve api saMvidaH // 1.131 //
   tatra pūrṇaikarūpatvāt sarvaṃ sarvatra cāpi tat	tatra pUrNa-eka-rUpa-tvAt sarvam sarvatra ca-api tat-
   anyathā khaṇḍanāyogān na pūrṇā pūrṇatā bhavet // 1.132 //	anyaTA KaNxanA-yogAt na pUrNA pUrNa-tA Bavet // 1.132 //
   tataḥ pūrṇatayā sarvaṃsahabhairavadhāmani	tatas pUrNa-tayA sarvaMsa-haBEH-ava-DAmani
   pañcātmako 'yaṃ śāstrārthaḥ śāmbhavaḥ. śaktyaṇusthitim // 1.133 //	paQca-AtmakaH ayam SAstra-arTaH SAmBavaH. Sakti-aNu-sTitim // 1.133 //
   nyakkṛtyaiṣa parāṃ devīṃ svātmany udrecya vartate	nyakkRtya-eza parAm devIm sva-Atmani udrecya vartate
   itthaṃ sa visisṛkṣuḥ san bhāvān visraṣṭṛtāpadāt // 1.134 //	itTam sa visisRkzuH san BAvAn visrazwRta-ApadAt // 1.134 //
   pūrvam ucchalitānandaghanām abhajata sthitim	pUrvam ucCalita-Ananda-GanAm aBajata sTitim
   visraṣṭṛtāpade tv eṣa visargāveśabhāg api // 1.135 //	visrazwRta-Apade tu eza visarga-AveSa-BAj api // 1.135 //
   riktībhaviṣyann ānandaghanayā pūrṇayā citā	riktIBavizyan Ananda-GanayA pUrNayA citA
   tāvad ānandaśaktyaṃśavisargāveśanirbharaḥ // 1.136 //	tAvat Ananda-Sakti-aMSa-visarga-AveSa-nirBaraH // 1.136 //
   vartamānaḥ svaśaktyoghapūrṇaś cābhūd bhaviṣyati	vartamAnaH sva-Sakti-oGa-pUrNaH ca-aBUt Bavizyati
   riktaśaktir iti tryātmacitrasaṃvedanātmakaḥ // 1.137 //	rikta-SaktiH iti tri-Atma-citra-saMvedana-AtmakaH // 1.137 //
   tadāsau devadevaḥ syād visraṣṭari pade sphuṭam	tadA-asO devadevaH syAt visrazwari pade sPuwam
   nanu kiṃ vartamānāṃśe saṃsto bhūtabhaviṣyatī // 1.138 //	nanu kim vartamAna-aMSe saMstaH BUta-BavizyatI // 1.138 //
   kiṃ nāma bhavatā jñātaṃ te svatantre 'pi ke cana	kim nAma BavatA jQAtam te svatantre api ke cana
   vartamānāvadher bhūtaṃ bhaviṣyac ca vibhajyate // 1.139 //	vartamAna-avaDeH BUtam Bavizyat ca viBajyate // 1.139 //
   yac ca yatra na viśrāntaṃ tad vibhajyeta vai kutaḥ	yat ca yatra na viSrAntam tat viBajyeta vE kutas-
   kathaṃ cāvadhibhāvaḥ syād vartamānasya te prati // 1.140 //	kaTam ca-avaDiBAvaH syAt vartamAnasya te prati // 1.140 //
   tayor avadhimattvaṃ vā tat praty api kathaṃ bhavet	tayoH avaDimat-tvam vA tat prati api kaTam Bavet-
   viśvasya viśvam avadhis tadvad vā jāyate na kim // 1.141 //	viSvasya viSvam avaDiH tadvat vA jAyate na kim // 1.141 //
   tasmād bhūtaṃ bhaviṣyac ca vartamānākhyasaṃvidi	tasmAt BUtam Bavizyat ca vartamAna-AKya-saMvidi
   rūḍham eveti tatraiva yadi viśrāntim āvahet // 1.142 //	rUXam eva-iti tatra-eva yadi viSrAntim Avahet // 1.142 //
   yadi cātraiva nikhilakalpanāraśmimaṇḍalam	yadi ca-atra-eva niKila-kalpanA-raSmi-maNxalam
   avisphārya kṣaṇaṃ tiṣṭhet saṃniruddhanijasthitiḥ // 1.143 //	avisPArya kzaNam tizWet saMnirudDa-nija-sTitiH // 1.143 //
   tan nijāmṛtavisphāracamatkāraikacarvaṇām	tat nija-amRta-visPAra-camatkAra-eka-carvaNAm
   labhate paramānandasudhāsandohavāhinīm // 1.144 //	laBate parama-Ananda-suDA-sandoha-vAhinIm // 1.144 //
   tathā hi sūryaraśmyoghapūrṇaḥ syāc candramā yadā	taTA hi sUrya-raSmi-oGa-pUrNaH syAt candramAH yadA
   tadā sūryakarān bhūyo yāvan na visisṛkṣati // 1.145 //	tadA sUrya-karAn BUyas yAvat na visisRkzati // 1.145 //
   tāvat svamaṇḍalābhoge kṣaṇaṃ viśrāntisusthitaḥ	tAvat sva-maNxala-ABoge kzaNam viSrAnti-susTitaH
   antaḥsthaviśvadevāṃśatarpaṇāpātram ucyate // 1.146 //	antar-sTa-viSvadeva-aMSa-tarpaNA-pAtram ucyate // 1.146 //
   evaṃ bhāvaprakāśārkamarīcinicayāñcite	evam BAva-prakASa-arka-marIci-nicaya-AQcite
   svabodhacandramahasi vartamāne hṛdantare // 1.147 //	sva-boDa-candra-mahasi vartamAne hRd-antare // 1.147 //
   viśrānto 'ntaḥsthitodāracitsudhāsārasundare	viSrAntaH antar-sTita-udAra-cit-suDA-sAra-sundare
   antaḥsthasvāmṛtāpūro vamyate na bahir yataḥ // 1.148 //	antar-sTasva-amRtA-pUraH vamyate na bahis yatas // 1.148 //
   tata evāntar evāsau ghūrṇamānaḥ samucchalan	tatas eva-antar eva-asO GUrNamAnaH samucCalan
   svāntaḥsthadevatācakratarpaṇāhaṃvidātmakaḥ // 1.149 //	sva-antar-sTa-devatA-cakra-tarpaNa-ahaMvid-AtmakaH // 1.149 //
   jāyate yāvad uddāmyet tāvat svakaraṇakramaḥ	jAyate yAvat uddAmyet tAvat sva-karaNa-kramaH
   niruddhe raśmipaṭale vibhavābhāvayogataḥ // 1.150 //	nirudDe raSmi-pawale viBava-aBAva-yogataH // 1.150 //
   na bhūtaṃ na bhaviṣyac ca vartamānād vibhajyate	na BUtam na Bavizyat ca vartamAnAt viBajyate
   avibhāgas tayor yāvat tāvat kā vartamānatā // 1.151 //	aviBAgaH tayoH yAvat tAvat kA vartamAna-tA // 1.151 //
   bhūtabhāvisvabhāvābhyāṃ sā hi yāti vibhāgitām	BUta-BAvi-svaBAvAByAm sA hi yAti viBAgitAm
   tad asmin saṃvidavadhau viśramya tuṭimātrakam // 1.152 //	tat asmin saMvid-avaDO viSramya tuwi-mAtrakam // 1.152 //
   kālagrāsaparo yogī jāyate khecaraḥ kṣaṇāt	kAla-grAsa-paraH yogI jAyate KecaraH kzaNAt-
   uktaṃ hi bhāvābhāso yaḥ kālaḥ sa kalanātmakaḥ // 1.153 //	uktam hi BAva-ABAsaH yaH kAlaH sa kalana-AtmakaH // 1.153 //
   svasaṃvidraśmisaṃsphāro bhāvābhāvaḥ sa nāparaḥ	sva-saMvid-raSmi-saMsPAraH BAva-aBAvaH sa na-aparaH
   tasmāt svaraśmisaṃrodhadvāraruddhādhvamaṇḍalaḥ // 1.154 //	tasmAt sva-raSmi-saMroDa-dvAra-rudDa-aDva-maNxalaH // 1.154 //
   kālagrāsaikarasiko jāyate khecaraḥ svayam	kAla-grAsa-eka-rasikaH jAyate KecaraH svayam
   tad uktaṃ parameśena tantre śrīḍāmarābhidhe // 1.155 //	tat uktam parameSena tantre SrI-xAmara-aBiDe // 1.155 //
   niruddhya raśmicakraṃ svaṃ pītvāmṛtam anuttamam	nirudDya raSmi-cakram svam pItvA-amRtam anuttamam
   kālobhayāparicchinne vartamāne sukhī bhavet // 1.156 //	kAla-uBaya-aparicCinne vartamAne suKI Bavet // 1.156 //
   rodho 'pi nāma naitasmin saṃkocaparivarjite	roDaH api nAma na-etasmin saMkoca-parivarjite
   tadabhāvān na visphāro grāsatṛptī tathātra ke // 1.157 //	tad-aBAvAt na visPAraH grAsa-tRptI taTA-atra ke // 1.157 //
   kiṃ tūktanītyā saṃrodhasphāragrāsādi bhāsate	kim tu-ukta-nItyA saMroDa-sPAra-grAsa-Adi BAsate
   na tathābhāsanāc cānyad vastu viśvatra kiṃ cana // 1.158 //	na taTA-aBAsanAt ca-anyat vastu viSvatra kim cana // 1.158 //
   ity alaṃ khecarīcakragoṣṭhyālāpena bhūyasā	iti alam KecarI-cakra-gozWI-AlApena BUyasA
   ko vābhinavagupte 'smin yogaḥ saṃvedanakrame // 1.159 //	kaH vA-aBinava-gupte asmin yogaH saMvedana-krame // 1.159 //
   prakṛtaṃ brūmahe devīvisṛṣṭāś citrasaṃvidaḥ	prakRtam brUmahe devI-visRzwAH citra-saMvidaH
   yāvat tāvad tad ūrdhvordhvaṃ sroto yad bhedavarjitam // 1.160 //	yAvat tAvat tat UrDva-UrDvam srotaH yat Beda-varjitam // 1.160 //
   saurabhargaśikhādīni tataḥ śāstrāṇi tenire	sOra-Barga-SiKA-AdIni tatas SAstrANi tenire
   uktaṃ bhargaśikhāyāṃ ca devena parameṣṭhinā // 1.161 //	uktam Barga-SiKAyAm ca devena paramezWinA // 1.161 //
   ūrdhvasrotodbhavaṃ jñānam idaṃ tat paramaṃ priye	UrDva-srota-udBavam jQAnam idam tat paramam priye
   paramadhvaninordhvordhvasaṃvidrūpābhidhāyinā // 1.162 //	parama-DvaninA-UrDva-UrDva-saMvid-rUpa-aBiDAyinA // 1.162 //
   īśānavaktraniryātāt siddhāntād bhedam ādiśat	ISAna-vaktra-niryAtAt sidDAntAt Bedam AdiSat-
   atrāpi pūrvabhedāṃśavyāmiśrībhāvacitritāḥ // 1.163 //	atra-api pUrva-Beda-aMSa-vyAmi-SrI-BAva-citritAH // 1.163 //
   vijñānasaṃpadas tāṃs tāṃs tanvate śāstravibhramān	vijQAna-saMpadaH tAn tAn tanvate SAstra-viBramAn
   iha yāvat tu mukhyeyaṃ ṣaḍātmā śāstrasaṃtatiḥ // 1.164 //	iha yAvat tu muKyA-iyam zaz-AtmA SAstra-saMtatiH // 1.164 //
   etatpūrvārdhabhāgīni trikaśāstrāṇi yāni tu	etad-pUrva-arDa-BAgIni trika-SAstrANi yAni tu
   ṣaḍardhasaṃjñayā tāni gurubhir bhāṣitāny alam // 1.165 //	zaz-arDa-saMjQayA tAni guruBiH BAzitAni alam // 1.165 //
   na tu gūḍharahasyatvād evaiṣa vacanakramaḥ	na tu gUXa-rahasya-tvAt eva-eza vacana-kramaH
   evaṃ hi dvādaśārdhārdham ityādy api na kiṃ bhavet // 1.166 //	evam hi dvAdaSa-arDa-arDam ityAdi api na kim Bavet // 1.166 //
   atra śaktitrayaṃ mukhyaṃ saṃpūrṇasthiti kalpate	atra Sakti-trayam muKyam saMpUrNa-sTiti kalpate
   ananyonyoparodhena pūrṇaṃ pūrṇacidātmakam // 1.167 //	ananyonya-uparoDena pUrNam pUrNa-cit-Atmakam // 1.167 //
   tataḥ paraṃ tu tritayaṃ kasyāṃcid guṇitājuṣi	tatas param tu tritayam kasyAMcid guNitA-juzi
   anyasyāṃ guṇatābhāji yāmalaṃ paribhāṣyate // 1.168 //	anyasyAm guNa-tA-BAji yAmalam pariBAzyate // 1.168 //
   paścād visṛṣṭe 'rthaughe tadvaicitryopādhiyogataḥ	paScAt visRzwe arTa-oGe tad-vEcitrya-upADi-yogataH
   pṛthagbhāvaviyogāsu svātmaśaktiṣu pañcasu // 1.169 //	pRTak-BAva-viyogAsu sva-Atma-Saktizu paQcasu // 1.169 //
   citspandecchāvidākarmarūpāsu svaucitīvaśāt	cit-spanda-icCA-vidAkarma-rUpAsu su-a-OcitI-vaSAt-
   pañcabrahmāṅgasubhagāt sphuradbhāvāṃśabodhajam // 1.170 //	paQca-brahma-aFga-suBagAt sPurat-BAva-aMSa-boDa-jam // 1.170 //
   rūpaṃ śāstrātmatāṃ prāptaṃ pañcadhaiva vijṛmbhate	rUpam SAstra-Atma-tAm prAptam paQcaDA-eva vijRmBate
   tathā hi prāg anantāntaḥsthitabhāvaughajṛmbhaṇam // 1.171 //	taTA hi prAk ananta-antar-sTita-BAva-oGa-jRmBaNam // 1.171 //
   yāvat karoti bhagavāṃs tāvad īśamukhasthitiḥ	yAvat karoti BagavAn tAvat ISa-muKa-sTitiH
   antaḥsthāyā abhinnāyāḥ kriyāśakter vijṛmbhaṇe // 1.172 //	antar-sTAyAH aBinnAyAH kriyASakteH vijRmBaNe // 1.172 //
   kramād unmiṣite tāvān eṣa sphāraḥ pratāyate	kramAt unmizite tAvAn eza sPAraH pratAyate
   kriyāśakteḥ sphuṭaḥ sphāro māyātvaṃ pratipatsyate // 1.173 //	kriyASakteH sPuwaH sPAraH mAyA-tvam pratipatsyate // 1.173 //
   māyātattvasvarūpe hi śiveśānīti vakṣyate	mAyA-tattva-svarUpe hi Siva-ISAni-iti vakzyate
   śuddhaśuddhetarāśuddhaviśvanirmāṇakāriṇaḥ // 1.174 //	SudDa-SudDa-itara-aSudDa-viSva-nirmANa-kAriNaH // 1.174 //
   pañcamantratanoḥ śambhor nirmeyāśuddhasaṃgatiḥ	paQca-mantra-tanoH SamBoH nirmeya-aSudDa-saMgatiH
   asty eva pūrvakoṭyāṃ hi sarvam eva vyavasthitam // 1.175 //	asti eva pUrva-kowyAm hi sarvam eva vyavasTitam // 1.175 //
   tathā hi svagṛhāt kvāpi yiyāsoḥ prathamakṣaṇe	taTA hi sva-gRhAt kvApi yiyAsoH praTama-kzaNe
   yāvat kiṃ cana gantavyaṃ yac ca tanmadhyavṛtti tu // 1.176 //	yAvat kim cana gantavyam yat ca tad-maDya-vRtti tu // 1.176 //
   tuṭipāte 'pi sarvajñasarvakartṛtvalabdhṛtā	tuwi-pAte api sarvajQa-sarva-kartR-tva-labDRtA
   tata eva viśeṣāṃśaniṣkampakuśalātmanām // 1.177 //	tatas eva viSeza-aMSa-nizkampa-kuSala-AtmanAm // 1.177 //
   tathā hi jātyakhaḍgāgradhārāsaṃsparśasaṃmitā	taTA hi jAtya-Kaxga-agra-DArA-saMsparSa-saMmitA
   sphurattvasamakālaṃ dhīr viśeṣāṃśān prakarṣati // 1.178 //	sPurattva-sama-kAlam DIH viSeza-aMSAn prakarzati // 1.178 //
   ratnatattvasphuṭaprajño vidyuttatkāladarśitān	ratna-tattva-sPuwa-prajQaH vidyut-tad-kAla-darSitAn
   tāṃs tān viśeṣāṃś cinute ratnānāṃ bhūyasām api // 1.179 //	tAn tAn viSezAn cinute ratnAnAm BUyasAm api // 1.179 //
   anekasvarasaṃbhārasparśalāghavayojite	aneka-svara-saMBAra-sparSa-lAGava-yojite
   vīṇāyām ekavistāre vaicitryaṃ vetti tanmayaḥ // 1.180 //	vINAyAm eka-vistAre vEcitryam vetti tad-mayaH // 1.180 //
   nibiḍābhyāsadhārāgraviśrāntaśravaṇendriyaḥ	nibixa-aByAsa-DArA-agra-viSrAnta-SravaNa-indriyaH
   vetty eva tatsvarāṃśāntaḥśrutyūnādhikatām api // 1.181 //	vetti eva tad-svara-aMSa-antar-SrutyUna-aDika-tAm api // 1.181 //
   āstām abhedavāde 'sminn ayatnenaiva siddhyati	AstAm aBeda-vAde asmin ayatnena-eva sidDyati
   etad yatra vibhāte 'pi bhede vāstavam advayam // 1.182 //	etat yatra viBAte api Bede vAstavam advayam // 1.182 //
   bhedaikajīvite śāstre yāvad etad sthitaṃ sphuṭam	Beda-eka-jIvite SAstre yAvat etat sTitam sPuwam
   tathā hi pātañjalinā pāde vaibhūtanāmani // 1.183 //	taTA hi pAtaQjalinA pAde vEBUta-nAmani // 1.183 //
   nyarūpyata `prātibhād vā sarvam' atra mayāpi ca	nyarUpyate `prAtiBAt vA sarvam-a atra mayA-api ca
   prātibhe prathamonmeṣe saṃvidrūpiṇy akhaṇḍite // 1.184 //	prAtiBe praTama-unmeze saMvid-rUpiNi aKaNxite // 1.184 //
   sthitaḥ sarvasphurattātmā sarvasiddhiphalodayaḥ	sTitaH sarva-sPurat-tA-AtmA sarva-sidDi-Pala-udayaH
   evaṃ jagati nirmeye nirmitsāsvīkṛtaṃ balāt // 1.185 //	evam jagati nirmeye nirmitsA-svIkRtam balAt // 1.185 //
   aśuddham api tadrūpanānāvaicitryayogy api	aSudDam api tad-rUpa-nAnA-vEcitrya-yogI api
   sāmānyākārarūpeṇa dalaṃ bhedātmasundaram // 1.186 //	sAmAnya-AkAra-rUpeNa dalam Beda-Atma-sundaram // 1.186 //
   āste pronmiṣitaṃ saiṣā bhedābhedātmikā sthitiḥ	Aste pronmizitam sA-ezA Beda-aBeda-AtmikA sTitiH
   ata eva hi sādākhye jñānaśaktisvarūpiṇi // 1.187 //	atas eva hi sAdAKye jQAna-Sakti-svarUpiNi // 1.187 //
   aśuddhileśakāluṣyāt parāparatayā sthitiḥ	aSudDi-leSa-kAluzyAt parApara-tayA sTitiH
   teneśabhuktād etasmād apy ūrdhvapadabhāginaḥ // 1.188 //	tena-ISa-BuktAt etasmAt api UrDva-pada-BAginaH // 1.188 //
   māyāprakaṭanautsukyāt tatsaṃskārajuṣas tathā	mAyA-prakawana-OtsukyAt tad-saMskAra-juzaH taTA
