   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   vicakṣate vicakṣaṇāya	vicakzate vicakzaNAya
   jñānāya marīcīnāṃ padaṃ viṣṇum icchantītyekānvayo vā / kavayaḥ	jQAnAya marIcInAm padam vizNum icCanti iti eka anvayaH vA / kavayaH
   'aṇḍakośaṃ'; brahmāṇḍākhyasthānaṃ 'yasya'; viṣṇoḥ 'śuṣmaṃ'; vīryaṃ	aaNxakoSaM a; brahmANxa AKya sTAnam ayasya a; vizNoH aSuzmaM a; vIryam
   tadupādānakamāhuriti śrutyarthaḥ / viriñcivākyasyāsya 'prāṇa ulbaṃ tena	tat upAdAnakam AhuH iti Sruti arTaH / viriQci vAkyasya asya aprANaH ulbam tena
   kḷpto amṛtenāhamasmi'; iti vākyaśeṣaḥ / tasya 'ulbaṃ'; jarāyuḥ 'prāṇaḥ';	k?ptaH amRtena aham asmi a; iti vAkya SezaH / tasya aulbaM a; jarAyuH aprANaH a;
   antaḥprāvaraṇaṃ yena sahaiva jāyate / 'tena'; amṛtena 'ahaṃ'; kḷpto	antar prAvaraNam yena saha eva jAyate / atena a; amRtena aahaM a; k?ptaH 
   'smītyarthastattvapradīpe 'bhihitaḥ / kṣīrasamudrasthatvasya	asmi iti arTaH tattva pradIpe aBihitaH / kzIra samudra sTa tvasya
   viṣṇuliṅgatvaṃ kuta ityata āha   sa hīti / 'saḥ'; viṣṇuḥ hiśabdena	vizNu liFga tvam kutas iti atas Aha  sa hi iti / asaH a; vizNuH hi Sabdena
   lokaprasiddhatvāditi hetu sūcitaḥ /	loka prasidDa tvAt iti hetu sUcitaH /
   BBsBh_1,1.7.3:	BBsBh_1,1.7.3:
   tasya ca vīryamaṇḍakośaḥ /	tasya ca vIrya maNxa koSaH /
   so 'bhidhyāya śarīrātsvātsisṛkṣurvividhāḥ prajāḥ /	saH aBiDyAya SarIrAt svAtsi sRkzuH viviDAH prajAH /
   apa eva sasarjādau tāsu vīryamavāsṛjat /	apaH eva sasarja AdO tAsu vIryam avAsRjat /
   tadaṇaḍamabhavaddhaimaṃ sahasrāṃśusamaprabham /	tat aNaxam aBavat hEmam sahasrAMSu sama praBam /
   yasmin jajñe svayaṃ brahmā sarvalokapitāmahaḥ /	yasmin jajQe svayam brahmA sarva loka pitAmahaH /
   āpo nārā iti proktā āpo vai narasūnavaḥ /	ApaH nArAH iti proktAH ApaH vE nara sUnavaH /
   ayanaṃ tasya tāḥ pūrvaṃ tena nārāyaṇaḥ smṛtaḥ / iti vyāsasmṛteḥ /	ayanam tasya tAH pUrvam tena nArAyaNaH smRtaH / iti vyAsa smRteH /
   BBsBhDīp_1,1.7.3:	BBsBhDIB _1,1.7.3:
   astu viṣṇoḥ kṣīrābdhisthatvaṃ liṅgaṃ prasiddhatvāt, tathāpi	astu vizNoH kzIrAbDi sTa tvam liFgam prasidDa tvAt, taTA api
   pralayārṇavasthatvasya brahmāṇḍavīryatvasya ca kuto	pralaya arNava sTa tvasya brahmANxa vIrya tvasya ca kuto
   viṣṇudharmatvamityatastayorviṣṇudharmatve pramāṇaṃ vaktuṃ pratijānīte  	vizNuDarma tvam iti atas tayoH vizNu Darma tve pramANam vaktum pratijAnIte  
   tasyeti / 'aṇḍakośo'; brahmāṇḍākhyasthānaṃ 'tasya'; viṣṇorvīryamityarthaḥ	tasya iti / aaNxakoSaH a; brahmANxa AKya sTAnam atasya a; vizNoH vIryam iti arTaH
   / caśabdātsaḥ pralayasamudraśāyīti pratijñā sūcyate / tasyaivetyavadhāraṇe	/ caSabdAt saH pralaya samudraSAyI iti pratijQA sUcyate / tasya eva iti avaDAraNe
   vā caśabdaḥ / tathātve pratijñāntaramupalakṣaṇīyam / ata eva	vA caSabdaH / taTA tve pratijQAntaram upalakzaNIyam / atas eva
   pralayābdhiśāyitve 'āpo nārāḥ'; iti paścātpramāṇopanyāsaḥ	pralaya abDi SAyi tve aApaH nArAH a; iti paScAt pramANa upanyAsaH
   śrutāvaṇḍakośaśabdaśravaṇe 'pi pratyayasya svārthikatvāttattyāgenāṇḍakośa	SrutA= aNxa koSa Sabda SravaNe api pratyayasya svArTika tvAt tad tyAgena aNxa koSa
   ityevānūditam / śrutāvapi tathaiva chedo vā / 'saḥ'; vāsudevāt jāto viṣṇuḥ	iti eva anUditam / SrutO= api taTA eva CedaH vA / asaH a; vAsudevAt jAtaH vizNuH
   'svāt'; svakīyāccharīrāt vividhāḥ prajāḥ 'sisṛkṣuḥ'; sraṣṭumicchuḥ	asvAt a; svakIyAt SarIrAt viviDAH prajAH asisRkzuH a; srazwum icCuH
   'abhidhyāya'; vicintya 'ādau'; aṇḍasṛṣṭeḥ pūrvameva 'apaḥ';	aaBiDyAya a; vicintya aAdO a; aNxa sRzweH pUrvam eva aapaH a;
   tadāvaraṇarūpāḥ sasarja / tāsvapsu vīryam 'avāsṛjat'; nyadhāt māyādvāreti	tad AvaraNa rUpAH sasarja / tAsu apsu vIryam aavAsRjat a; nyaDAt mAyA dvAra iti
   śeṣaḥ / 'haimaṃ'; hiraṇyātmakaṃ 'sahasrāṃśusamaprabhaṃ'; sūryasamaprakāśaṃ	SezaH / ahEmaM a; hiraNya Atmakam asahasra aMSu sama praBaM a; sUrya sama prakASam
   'tat'; vīryaṃ brahmāṇḍākhyamabhavat / 'yasmin'; aṇḍe 'sarvalokapitāmaho';	atat a; vIryam brahmANxa AKyam aBavat / ayasmin a; aNxe asarva loka pitAmahaH a;
   brahmā caturmukhaḥ 'svayaṃ'; svatantrāt hareḥ sākṣājjajñe ityarthaḥ /	brahmA caturmuKaH asvayaM a; svatantrAt hareH sAkzAt jajQe iti arTaH /
   yataḥ āpo 'narasūnavaḥ'; narasya viṣṇossūnavaḥ / 'viṣṇurnaro nāśātparo	yatas ApaH anara sUnavaH a; narasya vizNossUnavaH / avizNuH naraH nASAt paraH 
   yataḥ'; iti bhāgavatatātparyokteḥ / ato nārāḥ proktāḥ yena kāraṇena	yataH a; iti BAgavata tAtparya ukteH / atas nArAH proktAH yena kAraNena
   'pūrvaṃ'; pralaye 'tāḥ'; āpaḥ tasya viṣṇoḥ ayanaṃ 'tena saḥ nārāyaṇaḥ	apUrvaM a; pralaye atAH a; ApaH tasya vizNoH ayanam atena saH nArAyaNaH
   smṛtaḥ'; tacchabdavācyatvena smṛtyukta ityarthaḥ / yadyapi  	smRtaH a; tad Sabda vAcya tvena smRti uktaH iti arTaH / yadi api  
   puruṣo 'ṇḍaṃ vinirbhidya yadādau sa vinirgataḥ /	puruzaH aNxam vinirBidya yat AdO sa vinirgataH /
   ātmano 'yanamanvicchannapo 'srākṣīcchuciḥ śucīḥ //	AtmanaH ayanam anvicCan= apaH asrAkzIt SuciH SucIH //
   iti bhāgavate /	iti BAgavate /
   aṇḍaṃ praviṣṭo yo viṣṇuḥ so 'ṇḍaṃ bhittvā prakāśitaḥ /	aNxam pravizwaH yaH vizNuH saH aNxam BittvA prakASitaH /
   so 'po 'sṛjattato nārā .... /	saH apaH asRjat tatas nArAH .... /
   iti bhāgavatatātparye cāṇḍasṛṣṭyanantaram apsṛṣṭirucyate / tathāpi sā	iti BAgavata tAtparye ca aNxa sRzwi anantaram apsRzwiH ucyate / taTA api sA
   bahiḥsṛṣṭeranyāntareti na virodhaḥ / itītyasya 'tasya ca vīryamaṇḍakośaḥ,	bahis sRzweH anyAntara iti na viroDaH / iti iti asya atasya ca vIrya maNxa koSaH,
   sa hi pralayasamudraśāyī yataḥ'; iti pūrveṇānvayaḥ /	sa hi pralaya samudra SAyI yataH a; iti pUrveNa anvayaH /
   BBsBh_1,1.7.4:	BBsBh_1,1.7.4:
   'ahaṃ tattejo raśmīnnārāyaṇaṃ puruṣaṃ jātamagrataḥ /	aaham tat tejaH raSmIn nArAyaNam puruzam jAtam agratas /
   puruṣātprakṛtirjagadaṇḍam'; iti caturvedaśikhāyām // 20 //	puruzAt prakRtiH jagadaNxam a; iti catur veda SiKAyAm // 20 //
   BBsBhDīp_1,1.7.4:	BBsBhDIB _1,1.7.4:
   itaśca brahmāṇḍajanakavīryatvaṃ pralayasthatvaṃ ca tasyaiva jñāyata ityāha	itas ca brahmANxa janaka vIrya tvam pralaya sTa tvam ca tasya eva jQAyate iti Aha
     ahamiti / 'tripuruṣaṃ māyābījamajāyata'; iti vākyaśeṣaḥ / taditi	 aham iti / atri puruzam mAyA bIjam ajAyata a; iti vAkya SezaH / tat iti
   vyāptivacano 'sarvanāmaśabdaḥ / athavā sarvanāmaśabdaḥ, ata eva ṭīkāyāṃ	vyApti vacanaH asarva nAma SabdaH / aTavA sarvanAma SabdaH, atas eva wIkAyAm
   tadaheyamiti vyutkramaḥ kṛtaḥ / tathā ca tatprasiddhaṃ vyāptaṃ vā 'aham';	tat aheyam iti vyutkramaH kRtaH / taTA ca tat prasidDam vyAptam vA aaham a;
   aheyaṃ ratiḥ śaṃ ca mitamasyeti raśmirjīvaḥ tamindayati prerayatīti raśmīt	aheyam ratiH Sam ca mitam asya iti raSmiH jIvaH tam indayati prerayati iti raSmIt 
   jīvaprerakaṃ, inda preraṇe iti dhātoḥ ayaṃ dakārāntaḥ śabdaḥ /	jIva prerakan, inda preraNe iti DAtoH ayam dakAra antar SabdaH /
   anukṛtyadhikaraṇe tu   indhī dīptāviti dhātuvyākhyānāt raśmīt	anukRti aDikaraNe tu  inDI dIptO= iti DAtu vyAKyAnAt raSmIt 
   bhagavadapekṣayā raśmirūpāṇām alpānāṃ sūryāditejasāṃ prakāśakamiti	Bagavat apekzayA raSmi rUpANAm alpAnAm sUrya Adi tejasAm prakASakam iti
   vyākhyātam, tatra dhakārānto 'gnīcchabdavadayaṃ śabdo jñātavyaḥ / 'tejaḥ';	vyAKyAtam, tatra DakAra antaH agnIt Sabda vat ayam SabdaH jQAtavyaH / atejaH a;
   jagatprakāśakaṃ 'puruṣaṃ'; pūrṇaṣaḍguṇaṃ nārāyaṇaṃ tadākhyaṃ brahma teja	jagat prakASakam apuH uzaM a; pUrNa zaxguNam nArAyaNam tadAKyam brahma teja
   iti vā / 'agrataḥ'; pralaye 'jātaṃ'; sthitaṃ tasmānnārāyaṇākhyapuruṣāt	iti vA / aagrataH a; pralaye ajAtaM a; sTitam tasmAt nArAyaNa AKya puruzAt 
   'agrataḥ'; prathamaṃ 'prakṛtiḥ'; cetanā jāyate gacchatīti jagat	aagrataH a; praTamam aprakRtiH a; cetanA jAyate gacCati iti jagat 
   jīvasamudāyaḥ,	jIva samudAyaH,
   jātamityasyobhayatra yathāyogyaṃ sambandhaḥ / janiśca yathā yogyā grāhyā /	jAtam iti asya uBayatra yaTAyogyam sambanDaH / janiH ca yaTA yogyA grAhyA /
   paścāt 'aṇḍaṃ ca'; 'tripuruṣaṃ'; brahmavāyurudrākhyapuruṣatrayayuktaṃ	paScAt aaNxam ca a; atri puruzaM a; brahma vAyu rudra AKya puruzatraya yuktam
   'māyābījaṃ'; prakṛtyupādānakam ajāyateti tattvapradīpadiśā śrutyarthaḥ /	amAyA bIjaM a; prakRti upAdAnakam ajAyata iti tattva pradIpa diSA Sruti arTaH /
   caturvedaśikhāyām ityasya vacanādityadhyāhāreṇa tasyetyanenānvayaḥ /	catur veda SiKAyAm iti asya vacanAt iti aDyAhAreNa tasya iti anena anvayaH /
   BBsBh_1,1.7.5:	BBsBh_1,1.7.5:
   bhedavyapadeśāc cānyaḥ | BBs_1,1.21 |	Beda vyapadeSAt ca anyaH | BBH _1,1.21 |
   'indrasyātmā nihitaḥ pañca hotā'; ... 'vāyorātmānaṃ kavayo nicikyuḥ'; ...	aindrasya AtmA nihitaH paQca hotA a; ... avAyoH AtmAnam kavayaH nicikyuH a; ...
   'antarāditye manasā carantam, devānāṃhṛdayaṃ brahmānvavindat'	aantara Aditye manasA carantam, devAnAMhR dayam brahmA anvavinda t a
   (tai.ā. 3 11.) ityādibhedavyapadeśāt // 21 //	(tE.A. 3 11.) ityAdi Beda vyapadeSAt // 21 //
   BBsBhDīp_1,1.7.5:	BBsBhDIB _1,1.7.5:
   yadyevaṃ samudrasthatvādiliṅgādantasstho viṣṇuḥ, tarhi tenāntassthena	yadi evam samudra sTa tva Adi liFgAt anta ssTaH vizNuH, tarhi tena antassTena
   viṣṇunā indrādīnāmabhedo 'tra vivakṣito 'stu /	vizNunA indra AdInAm aBedaH atra vivakzitaH astu /
   indrādiprāpakakaśrutyāderapi sadbhāvāt / śrutyādeśca svabhāvato liṅgasya	indra Adi prApakaka Sruti AdeH api sadBAvAt / Sruti AdeH ca svaBAvataH liFgasya
   niravakāśatayā balavattvenānyatarabādhenānyatarapakṣanirṇayāyogāt / evaṃ	niravakASa tayA balavat tvena anyatara bADena anyatara pakza nirNaya ayogAt / evam
   ca pūrvottarapakṣadvaye anyonyaṃ bādhyabādhakabhāvaśūnye sati	ca pUrva uttara pakza dvaye anyonyam bADya bADaka BAva SUnye sati
   tadanyathānupapattyā antaḥsthena viṣṇunendrādīnāmabhedaḥ prāpta ityāśaṅkāṃ	tad anyaTA anupapattyA antar sTena vizNunA indra AdInAm aBedaH prAptaH iti ASaFkAm
   pariharatsūtraṃ paṭhitvā vyācaṣṭe   bhedeti / taittirīye   'indrasya';	pariharat sUtram paWitvA vyAcazwe  Beda iti / tEttirIye  aindrasya a;
   ityeko bhedavyapadeśaḥ / 'vāyoḥ'; ityanyaḥ / 'antaḥ'; ityaparaḥ /	iti ekaH Beda vyapadeSaH / avAyoH a; iti anyaH / aantaH a; iti aparaH /
   'devānām'; iti cetaraḥ / ādiśabdena 'amṛtaṃ devānāmāyuḥ prajānāmindraṃ	adevAnAm a; iti ca itaraH / Adi Sabdena aamRtam devAnAm AyuH prajAnAm indram
   rājānaṃ savitāram'; ityādikaṃ gṛhyate / vyapadeśādityasyānya iti	rAjAnam savitAram a; iti Adikam gRhyate / vyapadeSa Adityasya anyaH iti
   sautrapratijñayānvayaḥ / anena sūtre vidheyasamuccayārthakacaśabdasya	sOtra pratijQayA anvayaH / anena sUtre viDeya samuccaya arTa kaca Sabdasya
   bhinnakrameṇa anvayena na kevalamantaśśrūyamāṇo viṣṇuḥ, kintvindrādibhyo	Binna krameNa anvayena na kevalam antar SrUyamANaH vizNuH, kintu indra AdiByaH 
   'nyaśca / kutaḥ? tasyendrādyantaryāmitvadantassthatvakathanena tebhyo	anyaH ca / kutas ? tasya indra Adi antaryAmi tva danta ssTa tva kaTanena teByaH 
   bhedokteriti sūtrārtha ukto bhavati / atra śrutāvindraśabdo 'nyaparaḥ;	Beda ukteH iti sUtra arTaH uktaH Bavati / atra SrutO= indra SabdaH anya paraH;
   ṣaṣṭhīśravaṇāt / 'indro rājā'; ityādau tu indrādiśabdāḥ paramamukhyavṛttyā	zazWI SravaNAt / aindraH rAjA a; ityAdO tu indra Adi SabdAH parama muKya vRttyA
   viṣṇuparā eva, bādhakābhāvāt / tathā ca mano vihāya pañcasu jñānendriyeṣu	vizNu parAH eva, bADaka aBAvAt / taTA ca manaH vihAya paQcasu jQAna indriyezu
   śabdādiviṣayahotā tairviṣayānubhāvakaḥ / indrasyātmā antaryāmī	Sabda Adi vizaya hotA tEH vizaya anuBAvakaH / indrasya AtmA antaryAmI
   ādānādikartā vā / sarvahṛdayeṣu 'nihitaḥ'; sannihitaḥ 'kavayo'; jñāninaḥ	AdAna Adi kartA vA / sarva hRdayezu anihitaH a; sannihitaH akavayaH a; jQAninaH
   'vāyorātmānaṃ nicikyuḥ'; dadṛśuḥ āditye 'ntaḥ 'manasā'; svecchayā	avAyoH AtmAnam nicikyuH a; dadRSuH Aditye antar amanasA a; sva icCayA
   sañcarantaṃ viṣṇuṃ kavayaḥ anvavindan / 'brahmā'; caturmukhaḥ devānāṃ	saQcarantam vizNum kavayaH anvavindan / abrahmA a; caturmuKaH devAnAm
   hṛdyayanāt sthiteḥ pravartanādvā hṛdayaṃ viṣṇum 'anvavindat'; apaśyaditi	hRd yayanAt sTiteH pravartanAt vA hRdayam vizNum aanvavindat a; apaSyat iti
   śrutyarthaḥ /	Sruti arTaH /
   // ityantassthatvādhikaraṇam // 7 //	// iti anta ssTa tva aDikaraNam // 7 //
   // 8. ākāśādhikaraṇam //	// 8. AkASa aDikaraNam //
   BBsBh_1,1.8.1:	BBsBh_1,1.8.1:
   'ko hyevānyātkaḥ prāṇyāt / yadeṣa ākāśa ānando na syāt'	akaH hi eva anyAt kaH prANyAt / yat ezaH AkASaH AnandaH na syAt a
   (tai. 2 7.) iti ākāśasyānandamayatve heturuktaḥ na tu viṣṇoḥ /	(tE. 2 7.) iti AkASasya Ananda maya tve hetuH uktaH na tu vizNoH /
   BBsBhDīp_1,1.8.1:	BBsBhDIB _1,1.8.1:
   atrādhikaraṇe bhagatavi lokato	atra aDikaraNe Bagatavi lokataH 
   'nyatraprasiddhākāśapadopalakṣitādhibhautikāśeṣaśabdasamanvayaḥ kriyate /	anyatra prasidDa AkASa pada upalakzita ADiBOtika aSeza Sabda samanvayaH kriyate /
   phalakathanena pūrvapakṣaḥ sūcito bhavatītyāśayena pūrvapakṣaphalamāha  	Pala kaTanena pUrva pakzaH sUcitaH Bavati iti ASayena pUrva pakza Palam Aha  
   ko hīti // itīti / ityānandamayādhikaraṇodāhṛtavākyenetyarthaḥ /	kaH hi iti // iti iti / iti Ananda maya aDikaraNa udAhRta vAkyena iti arTaH /
   tuśabdasyākāśasya tviti sambandhaḥ / tathā ca	tuSabdasya AkASasya tu iti sambanDaH / taTA ca
   chandogaśrutyuktākāśābhinnākāśasyaivetyarthaḥ / 'ānandamayatve';	CandaH gaSru ti ukta AkASa aBinna AkASasya eva iti arTaH / aAnanda maya tve a;
   pūrṇānandatvena nimittena ānandamayaśabdavācyatve 'hetuḥ';	pUrNa Ananda tvena nimittena Ananda maya Sabda vAcya tve ahetuH a;
   lokaceṣṭakatvarūpaḥ / tuśabdārthaivakāravyāvartyamāha   neti / anena	loka cezwaka tva rUpaH / tuSabda arTa evakAra vyAvartyam Aha  na iti / anena
   viṣṇubhinnabhūtākāśasyaiva chandogaśrutyuktākāśaśabdavācyatvamiti	vizNu Binna BUta AkASasya eva CandaH ga Sru ti ukta AkASa Sabda vAcya tvam iti
   pūrvapakṣe 'ko hi'; iti taittirīyaśrutyukto 'pi sa eveti taduktahetunā	pUrva pakze akaH hi a; iti tEttirIya Sruti uktaH api saH eva iti tad ukta hetunA
   tasyaivānandamayatvaṃ sidhyati, na viṣṇoriti phalamuktaṃ bhavati /	tasya eva Ananda maya tvam siDyati, na vizNoH iti Palam uktam Bavati /
   pūrvasaṅgatistvadhikāśaṅkāṃ kṛtvātra pūrvanyāya evātidiśyata ityātideśikī	pUrva saFgatiH tu aDika ASaFkAm kRtvA atra pUrva nyAyaH eva atidiSyate iti AtideSikI
   draṣṭavyā /	drazwavyA /
   BBsBh_1,1.8.2:	BBsBh_1,1.8.2:
   iti na mantavyam / yataḥ  	iti na mantavyam / yatas  
   ākāśas talliṅgāt | BBs_1,1.22 |	AkASaH tad liFgAt | BBH _1,1.22 |
   'asya lokasya kā gatirityākāśa iti hovāca'; (chā. 1 9.)	aasya lokasya kA gatiH iti AkASaH iti ha uvAca a; (CA. 1 9.)
   ityatra bhūtākāśasya prāptiḥ / na cāsau yujyate, kintu, viṣṇureva /	iti atra BUta AkASasya prAptiH / na ca asO yujyate, kintu, vizNuH eva /
   'sa eṣa parovarīyānudgīthaḥ sa eṣo 'nantaḥ'; (chā. 1 9.)	asaH eza paras varIyAn udgITaH saH ezaH anantaH a; (CA. 1 9.)
   ityāditalliṅgāt /	iti Adi tad liFgAt /
   BBsBhDīp_1,1.8.2:	BBsBhDIB _1,1.8.2:
   siddhāntayati   itīti // kuto na mantavyamityāśaṅkāyāṃ tatra hetutayā	sidDAntayati  iti iti // kutas na mantavyam iti ASaFkAyAm tatra hetu tayA
   sūtramupādatte / yata iti / idaṃ cāvartate / tatrādyasya 'yataścodeti';	sUtram upAdatte / yatas iti / idam ca Avartate / tatra Adyasya ayataH ca udeti a;
   itivat kuta ityarthaḥ / 'yacchabdastu parāmarśe praśnārthe 'pi bhaṇyate';	iti vat kutas iti arTaH / ayat SabdaH tu parAmarSe praSna arTe api BaNyate a;
   iti bhāgavatatātparyokteḥ / dvitīyastu na mantavyamiti pratijñāyāṃ	iti BAgavata tAtparya ukteH / dvitIyaH tu na mantavyam iti pratijQAyAm
   sūtrārthasya hetutvadyotakaḥ / viṣayādeḥ pūrvapakṣaphalakathanena sūcane	sUtra arTasya hetu tvadyotakaH / vizaya AdeH pUrva pakza Pala kaTanena sUcane
   'pi mukhato 'nukteḥ tadanuvādapūrvakaṃ sūtraṃ vyācaṣṭe   asyeti /	api muKataH anukteH tad anuvAda pUrvakam sUtram vyAcazwe  asya iti /
   'ityatra'; vākye pratipādyatvasyeti śeṣaḥ / co 'pyarthaḥ / yadyapi	aiti atra a; vAkye pratipAdya tvasya iti SezaH / caH api arTaH / yadi api
   tathāpītyarthe / 'asau'; ākāśo 'tra vācya iti śeṣaḥ/ sūtre 'nuvṛttasya	taTA api iti arTe / aasO a; AkASaH atra vAcyaH iti SezaH/ sUtre anuvRttasya
   'tattu'; ityasyārtho viṣṇureveti / ityādīti / luptavibhaktiko nirdeśaḥ	atattu a; iti asya arTaH vizNuH eva iti / ityAdi iti / lupta viBaktikaH nirdeSaH
   ādiśabdāt 'sarvāṇi bhūtāni'; ityādijagatkāraṇatvapratipādakaṃ vākyaṃ	Adi SabdAt asarvANi BUtAni a; iti Adi jagat kAraNa tva pratipAdakam vAkyam
   gṛhyate / yathoktaṃ tattvapradīpe   "sarvāṇi bhūtāni'; ityādinā	gRhyate / yaToktam tattva pradIpe  "sarvANi BUtAni a; ityAdinA
   udīryamāṇaṃ jagadutpādakatvādikamādiśabdādupādadīta"iti / liṅgapadaṃ	udIryamANam jagat utpAdaka tva Adi kam Adi SabdAt upAdadIta" iti / liFga padam
   śrutyupalakṣakam / tathā cetthaṃ yojanā yadyapi 'asya lokasya'; iti	Sruti upalakzakam / taTA ca itTam yojana A yadi api aasya lokasya a; iti
   chandogavākye bhūtākāśasya śrutyādibalādasti pratipādyatvasya prāptiḥ /	Candoga vAkye BUta AkASasya Sruti Adi balAt asti pratipAdya tvasya prAptiH /
   tathāpi nāsāvatra vākye ākāśapadena vācyo yujyate, kintu   viṣṇureva /	taTA api na asO= atra vAkye AkASa padena vAcyaH yujyate, kintu  vizNuH eva /
   kutaḥ? 'sa eṣaḥ'; ityādivākye 'talliṅgāt'; tasya	kutas ? asaH ezaH a; ityAdi vAkye atad liFgAt a; tasya
   viṣṇorliṅgamasādhāraṇadharmaḥ parovarīyastavādiḥ / tasya tasminnākāśe	vizNoH liFgam asADAraNa DarmaH paras varIyaH tava AdiH / tasya tasmin= AkASe
   śravaṇāduktatvāt / yata evaṃ talliṅgāt asau	SravaNAt ukta tvAt / yatas evam tad liFgAt asO
   chandogaśrutyuktākāśo viṣṇureva, tata eva 'ko hi'; iti taittirīyavākye	CandaH ga Sruti ukta AkASaH vizNuH eva, tatas eva akaH hi a; iti tEttirIya vAkye
   'pyasāveva pratipādyata iti tasyaivānandamayatve heturukto na tu bhūtasya/	api asO= eva pratipAdyate iti tasya eva Ananda maya tve hetuH uktaH na tu BUtasya/
   ato bhūtākāśasyānandamayatve heturuktaḥ, na tu viṣṇoriti na mantavyamiti /	atas BUtAkASasya Ananda maya tve hetuH uktaH, na tu vizNoH iti na mantavyam iti /
   anena sūtrayojanā darśitā/ asyetyāderayamarthaḥ   'asya';	anena sUtra yojanA darSitA/ asya ityAdeH ayam arTaH  aasya a;
   pratyakṣasiddhasya	pratyakza sidDasya
   pṛthivīlokasya tadabhimāninaścaturmukhasya 'kā gatiḥ'; āśraya iti śilakena	pRTivI lokasya tad aBimAninaH caturmuKasya akA gatiH a; ASrayaH iti Silakena
   pṛṣṭaḥ pravāhaṇo rājā ādīptatvādākāśanāmako viṣṇuriti pratyuvāca /	pRzwaH pravAhaNaH rAjA AdIpta tvAt AkASa nAmakaH vizNuH iti pratyuvAca /
   kathamityākāṅkṣāyāṃ tadupapādanāya tasyākāśasya mahimānamāha   'sarvāṇi	kaTam iti AkAFkzAyAm tad upapAdanAya tasya AkASasya mahimAnam Aha  asarvANi
   havā imāni bhūtānyākāśādeva samutpadyante ākāśaṃ pratyastaṃ yanti ākāśo	havAH imAni BUtAni AkASAt eva samutpadyante AkASam pratyastam yanti AkASaH 
   hyevaibhyo jyāyānākāśaḥ parāyaṇaṃ sa eṣa paro varīyānudgīthaḥ sa eṣo	hi eva eByaH jyAyAn AkASaH parAyaNam saH eza paraH varIyAn udgITaH saH ezaH 
   'nantaḥ'; iti / atra vaiśabdasya prasiddhidyotakasya	anantaH a; iti / atra vESabdasya prasidDi dyotakasya
   sannihitasarvabhūtānvaye vā, 'syurevaṃ tu punarvaivetyavadhāraṇavācakāḥ';	sannihita sarva BUta anvaye vA, asi uH evam tu punar vA eva iti avaDAraNa vAcakAH a;
   ityabhidhānādavadhāraṇārthatvaṃ vā draṣṭavyam / bhūtaśabdo bhūtākāśa	iti aBiDAnAt avaDAraNa arTa tvam vA drazwavyam / BUta SabdaH BUta AkASa
   evātrocyate iti pūrvapakṣe ākāśavyatiriktabhūtaparaḥ / siddhānte tu	eva atra ucyate iti pUrva pakze AkASa vyatirikta BUta paraH / sidDAnte tu
   sarvabhūtaparaḥ / brahmādisarvajagatparo vā / tathā ca 'sarvāṇīmāni';	sarva BUta paraH / brahma Adi sarva jagat paraH vA / taTA ca asarvANi imAni a;
   pramitāni ākāśādibhūtāni brahmādijagadvā ākāśādeva samutpadyante /	pramitAni AkASa Adi BUtAni brahma Adi jagat vA AkASAt eva samutpadyante /
   'havai'; prasiddhaṃ hi /	ahavE a; prasidDam hi /
   ākāśaṃ 'pratyastam'; adarśanaṃ 'yanti'; tatraiva pralaye muktau ca līnāḥ	AkASam apratyastam a; adarSanam ayanti a; tatra eva pralaye muktO ca lInAH
   bhavanti / kutaḥ? 'hi'; yasmādākāśa eva 'ebhyo'; brahmādibhyo 'jyāyān';	Bavanti / kutas ? ahi a; yasmAt AkASaH eva aeByaH a; brahma AdiByaH ajyAyAn a;
   adhikottamaḥ / kuta etat? yata ākāśaḥ 'parāyaṇam'; uttamāśrayaḥ	aDika uttamaH / kutas etat? yatas AkASaH aparAyaNam a; uttama ASrayaH
   naitasmāduttamaṃ vastvāśaṅkyamiti bhāvenāha   sa iti / 'sa eṣaḥ';	na etasmAt uttamam vastu ASaFkyam iti BAvena Aha  saH iti / asaH ezaH a;
   ākāśanāmā bhagavān 'parovarīyān'; atra  	AkASa nAmA BagavAn aparovarIyAn a; atra  
   parasmāduttamaṃ proktaṃ paro iti tataḥ param /	parasmAt uttamam proktam paraH iti tatas param /
   parovaraṃ paraṃ tasmātproktaṃ pārovarīyakam //	paras varam param tasmAt proktam pArovarIyakam //
   iti sāmasaṃhitāvacanānusāreṇādau para iti śabdāntarasya madhye	iti sAma saMhitA vacana anusAreNa AdO paraH iti Sabda antarasya maDye
   varaśabdāntarasya ca āvāpena vṛttivākye subādeśasya sorulopena	vara Sabda antarasya ca AvApena vRtti vAkye subAdeSasya sa uru lopena
   rutvotvaguṇeṣu samāne pare optaśabdadvayasya lope cottamottamottama	rutvA utva guNezu samAne pare opta Sabda dvayasya lope ca uttama uttama uttama
   ityartho jñātavyaḥ / 'udgīthaḥ'; uccatvena gīta ukto vedena / takārasya	iti arTaH jQAtavyaH / audgITaH a; ucca tvena gItaH uktaH vedena / takArasya
   thakāro vyatyayāt / 'sa eṣaḥ'; ākāśaḥ 'ananto'; deśakālaguṇairaparicchanna	TakAraH vyatyayAt / asaH ezaH a; AkASaH aanantaH a; deSa kAla guNEH aparicCanna
