   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   yataḥ pravartate sarvaṃ Stk_13.15a	yatas pravartate sarvam Stc-_13.15a
   yatkṛtaṃ tadvṛthā bhavet Stk_8.29d	yat-kRtam tat-vRTA Bavet Stc-_8.29d
   yattattvaṃ parikīrtitam Stk_19.6b	yat-tattvam parikIrtitam Stc-_19.6b
   yattaddhṛdi sadā padmam Stk_11.15c	yat-tat-hRdi sadA padmam Stc-_11.15c
   yattvayoktaṃ purānagha Stk_8.24d	yat-tvayA-uktam purA-anaGa Stc-_8.24d
   yatra gūḍhaḥ sa tiṣṭhati Stk_13.17b	yatra gUXaH sa tizWati Stc-_13.17b
   yatra yatra sthito jñānī Stk_23.23c	yatra yatra sTitaH jQAnI Stc-_23.23c
   yathāgnijvalane dṛṣṭo Stk_21.18c	yaTA-agni-jvalane dRzwaH Stc-_21.18c
   yathā cādyā tathā vāmā Stk_18.5a	yaTA ca-AdyA taTA vAmA Stc-_18.5a
   yathā tu sakalo devo Stk_13.1c	yaTA tu sakalaH devaH Stc-_13.1c
   yathā tṛṇajalūkā nu Stk_20.6c	yaTA tRNajalUkA nu Stc-_20.6c
   yathā devaḥ prabhāṣate Stk_20.5b	yaTA devaH praBAzate Stc-_20.5b
   yathā deve tathā dehe Stk_2.14c	yaTA deve taTA dehe Stc-_2.14c
   yathāpūrvaṃ tathaiva saḥ Stk_21.8b	yaTApUrvam taTA-eva saH Stc-_21.8b
   yathā bhavati tacchṛṇu Stk_21.11d	yaTA Bavati tat-SRNu Stc-_21.11d
   yathārcane tathāgnau ca Stk_2.14a	yaTA-arcane taTA-agnO ca Stc-_2.14a
   yathāvidhyanupūrvaśaḥ Stk_5.1b	yaTAviDi-anupUrvaSas Stc-_5.1b
   yathāsthāneṣvanukramāt Stk_2.12d	yaTA-sTAnezu-anukramAt Stc-_2.12d
   yadantaṃ parikīrtitam Stk_19.7b	yat-antam parikIrtitam Stc-_19.7b
   yadantaṃ parikīrtitam Stk_19.9b	yat-antam parikIrtitam Stc-_19.9b
   yadasyārohaṇe proktaṃ Stk_21.15a	yat-asya-ArohaNe proktam Stc-_21.15a
   yadā jñātaṃ hi tatpadam Stk_22.18d	yadA jQAtam hi tad-padam Stc-_22.18d
   yadyapyetallayo bhavet Stk_20.3d	yadi-api-etat-layaH Bavet Stc-_20.3d
   yanna kasyacidākhyātaṃ Stk_23.1c	yat-na kasyacid-AKyAtam Stc-_23.1c
   yastu dīkṣāṃ karoti saḥ Stk_22.4b	yaH-tu dIkzAm karoti saH Stc-_22.4b
   yasya yatkarma coddiṣṭaṃ Stk_12.4c	yasya yat-karma ca-uddizwam Stc-_12.4c
   yasya yadbījamuktaṃ tu Stk_8.15a	yasya yat-bIja-m-uktam tu Stc-_8.15a
   yaṃ dhyātvāmṛtamaśnute Stk_22.7d	yam DyAtvA-amRtam-aSnute Stc-_22.7d
   yaṃ buddhvā nābhijāyate Stk_13.16b	yam budDvA na-aBijAyate Stc-_13.16b
   yā kalā rekhinī tatra Stk_13.10a	yA kalA reKinI tatra Stc-_13.10a
   yāgaṃ kṛtvā tu pūrvoktam Stk_9.4a	yAgam kRtvA tu pUrva-uktam Stc-_9.4a
   yāgaṃ kṛtvā tu pūrvoktaṃ Stk_16.8a	yAgam kRtvA tu pUrva-uktam Stc-_16.8a
   yāti dehāntake śivam Stk_23.24b	yAti dehAntake Sivam Stc-_23.24b
   yāmye yāmyo bhāvo nairṛtye nairṛto vinirdiṣṭaḥ Stk_10.26/a	yAmye yAmyaH BAvaH nErRtye nErRtaH vinirdizwaH Stc-_10.26/a
   yāvadavyaktagocaram Stk_8.3d	yAvat-avyakta-gocaram Stc-_8.3d
   yāvadābhūtasamplavam Stk_16.16d	yAvat-ABUtasamplavam Stc-_16.16d
   yāvadūrdhvaṃ sa recayet Stk_11.14d	yAvat-UrDvam sa recayet Stc-_11.14d
   yāvadetairna nirmuktaḥ Stk_17.5c	yAvat-etEH-na nirmuktaH Stc-_17.5c
   yāvaddehe sthito jantor Stk_20.2a	yAvat-dehe sTitaH jantoH Stc-_20.2a
   yāvadvidyeśvarāntikam Stk_8.4b	yAvat-vidyeSvara-antikam Stc-_8.4b
   yāvadvyāptiṃ na vindati Stk_20.5d	yAvat-vyAptim na vindati Stc-_20.5d
   yāṃ yāṃ diśamabhigacchati tadbhāvaṃ nikhilamāyāti Stk_10.27/b	yAm yAm diSam-aBigacCati tad-BAvam niKilam-AyAti Stc-_10.27/b
   ye cānye prāṇino devāḥ Stk_22.6a	ye ca-anye prANinaH devAH Stc-_22.6a
   yena kālaḥ prabudhyate Stk_18.1d	yena kAlaH prabuDyate Stc-_18.1d
   yena mokṣo dhruvaṃ bhavet Stk_8.34d	yena mokzaH Druvam Bavet Stc-_8.34d
   yena vijñātamātreṇa Stk_8.34a	yena vijQAta-mAtreNa Stc-_8.34a
   yena saṃkrāmati hyasau Stk_10.17d	yena saMkrAmati hi-asO Stc-_10.17d
   yena sṛṣṭaṃ carācaram Stk_13.19b	yena sRzwam carAcaram Stc-_13.19b
   ye mantrāḥ parikīrtitāḥ Stk_22.11b	ye mantrAH parikIrtitAH Stc-_22.11b
   yairvyāptamakhilaṃ jagat Stk_8.2b	yEH-vyAptam-aKilam jagat Stc-_8.2b
   yoga ākarṣaṇe smṛtaḥ Stk_16.5b	yogaH AkarzaNe smRtaH Stc-_16.5b
   yogadṛṣṭena mantravit Stk_8.35b	yoga-dRzwena mantra-vid Stc-_8.35b
   yogapīṭhaṃ tadā bhavet Stk_2.6b	yoga-pIWam tadA Bavet Stc-_2.6b
   yogayukto na saṃśayaḥ Stk_15.1d	yoga-yuktaH na saMSayaH Stc-_15.1d
   yogaṃ tu viṣuvaṃ prāpya Stk_8.37a	yogam tu vizuvam prApya Stc-_8.37a
   yojanānāṃ śate sthitam Stk_16.5d	yojanAnAm Sate sTitam Stc-_16.5d
   yojanīyaḥ prayatnataḥ Stk_21.13d	yojanIyaH prayatnataH Stc-_21.13d
   yojayecchāśvate pade Stk_8.36d	yojayet-SASvate pade Stc-_8.36d
   yojyaṃ sarvatra sarvadā Stk_8.23d	yojyam sarvatra sarvadA Stc-_8.23d
   yo dīkṣāṃ kartumicchati Stk_8.5b	yaH dIkzAm kartum-icCati Stc-_8.5b
   yo dīkṣāṃ kurute guruḥ Stk_22.3b	yaH dIkzAm kurute guruH Stc-_22.3b
   yoninyāsādikaṃ karmod- Stk_8.13c	yoni-nyAsa-Adikam karma-ud Stc-_8.13c
   yonibījaṃ tu hṛdaye Stk_8.15c	yoni-bIjam tu hRdaye Stc-_8.15c
   yo 'bhasedīdṛśaṃ martyaḥ Stk_2.9a	yaH aBaset-IdRSam martyaH Stc-_2.9a
   yo vettyevamimāṃ vyāptiṃ Stk_20.4c	yaH vetti-evam-imAm vyAptim Stc-_20.4c
   yo vettyevaṃ sa vedavit Stk_11.8d	yaH vetti-evam sa veda-vid Stc-_11.8d
   raktapittakaphādikam Stk_10.10b	rakta-pitta-kaPa-Adikam Stc-_10.10b
   rasaṃ vai keśave tyajet Stk_17.6b	rasam vE keSave tyajet Stc-_17.6b
   raso gandhaśca pañcakam Stk_17.4d	rasaH ganDaH-ca paQcakam Stc-_17.4d
   rahasyaṃ sarvatantrāṇām Stk_8.13a	rahasyam sarva-tantrANAm Stc-_8.13a
   rātrimekāṃ tathaiva ca Stk_18.3d	rAtrim-ekAm taTA-eva ca Stc-_18.3d
   rūpagandhau tyajedrudre Stk_17.6c	rUpa-ganDO tyajet-rudre Stc-_17.6c
   rekhā yā sampradṛśyate Stk_13.4b	reKA yA sampradRSyate Stc-_13.4b
   rekheyaṃ vyomni nirvāṇā Stk_13.6c	reKeyam vyomni nirvANA Stc-_13.6c
   recakastveṣa vikhyātaḥ Stk_11.15a	recakaH-tu-eza viKyAtaH Stc-_11.15a
   recakena tathā kṣiptaṃ Stk_11.17a	recakena taTA kziptam Stc-_11.17a
   recito gacchati hyūrdhvaṃ Stk_11.18a	recitaH gacCati hi-UrDvam Stc-_11.18a
   rephastasyordhvataḥ sthitaḥ Stk_21.6b	rePaH-tasya-UrDvatas sTitaH Stc-_21.6b
   lakṣayenmantravitsadā Stk_16.1d	lakzayet-mantra-vid-sadA Stc-_16.1d
   lakṣāṇāṃ pañcaviṃśatyā Stk_16.14a	lakzANAm paQcaviMSatyA Stc-_16.14a
   lakṣāṇi japtvā pañcāśad- Stk_16.16a	lakzANi japtvA paQcASad Stc-_16.16a
   laghutvaṃ jāyate yathā Stk_21.15d	laGu-tvam jAyate yaTA Stc-_21.15d
   labījaṃ jīvasaṃviṣṭaṃ Stk_21.14a	labIjam jIva-saMvizwam Stc-_21.14a
   laya oṃkāramūrdhani Stk_13.6b	layaH oMkAra-mUrDani Stc-_13.6b
   lalāṭastho maheśvaraḥ Stk_23.11b	lalAwa-sTaH maheSvaraH Stc-_23.11b
   lalāṭe tvīśvaraṃ dhyāyed Stk_2.13c	lalAwe tu-ISvaram DyAyet Stc-_2.13c
   likhedāvaraṇatrayam Stk_7.4d	liKet-AvaraNa-trayam Stc-_7.4d
   liṅgoddhāravidhāne ca Stk_8.24a	liFga-udDAra-viDAne ca Stc-_8.24a
   lokanātha jagatpate Stk_1.1b	lokanATa jagatpate Stc-_1.1b
   lokapālānprapūjayet Stk_7.9d	lokapAlAn-prapUjayet Stc-_7.9d
   lobhamohāsamanvitāḥ Stk_1.2d	loBa-moha-asamanvitAH Stc-_1.2d
   vaktumarhasi devaiṣāṃ Stk_1.3c	vaktum-arhasi deva-ezAm Stc-_1.3c
   varadaṃ sarvatomukham Stk_2.13d	vara-dam sarvatomuKam Stc-_2.13d
   vargātītaṃ ṣaḍantaṃ ca Stk_19.10c	varga-atItam zaw-antam ca Stc-_19.10c
   varṇe varṇe vyavasthitā Stk_13.3d	varNe varNe vyavasTitA Stc-_13.3d
   varmaṇābhyukṣaṇaṃ tataḥ Stk_6.1d	varmaNA-aByukzaNam tatas Stc-_6.1d
   vaśamāyānti te kṣipram Stk_16.11c	vaSam-AyAnti te kzipram Stc-_16.11c
   vaśo vai maṇḍalī bhavet Stk_16.14d	vaSaH vE maNxalI Bavet Stc-_16.14d
   vaśyoccāṭanamāraṇe Stk_16.3b	vaSya-uccAwana-mAraNe Stc-_16.3b
   vahnimadhyaṃ tataḥ param Stk_21.10b	vahni-maDyam tatas param Stc-_21.10b
   vānaprastho 'tha bhaikṣukaḥ Stk_23.23b	vAnaprasTaH aTa BEkzukaH Stc-_23.23b
   vāmago 'tha paro binduḥ Stk_13.17c	vAma-gaH aTa paraH binduH Stc-_13.17c
   vāmadakṣiṇasaṃsthitam Stk_11.5b	vAma-dakziNa-saMsTitam Stc-_11.5b
   vāmadevo yajuḥ smṛtaḥ Stk_22.13d	vAmadevaH yajuH smRtaH Stc-_22.13d
   vāmo viṣṇuḥ prakīrtitaḥ Stk_22.15b	vAmaH vizNuH prakIrtitaH Stc-_22.15b
   vāmo hyāpaḥ prakīrtitaḥ Stk_22.12b	vAmaH hi-ApaH prakIrtitaH Stc-_22.12b
   vāyunā yāvadīpsitam Stk_11.12b	vAyunA yAvat-Ipsitam Stc-_11.12b
   vāyubindusamanvitam Stk_21.14d	vAyu-bindu-samanvitam Stc-_21.14d
   vāyurākāśameva ca Stk_8.1d	vAyuH-AkASam-eva ca Stc-_8.1d
   vāyustatpuruṣaḥ smṛtaḥ Stk_22.12d	vAyuH-tatpuruzaH smRtaH Stc-_22.12d
   vāyuḥ śāntiḥ prakīrtitaḥ Stk_8.6d	vAyuH SAntiH prakIrtitaH Stc-_8.6d
   vāruṇapatre vāruṇo mārutpatre gato marudbhāvam Stk_10.26/b	vAruNa-patre vAruNaH mArut-patre gataH marut-BAvam Stc-_10.26/b
   vāruṇena tu buddhimat Stk_21.17d	vAruNena tu budDimat Stc-_21.17d
   vāruṇena tu buddhimān Stk_21.21d	vAruNena tu budDimAn Stc-_21.21d
   vāruṇe srotasi sthitam Stk_21.7d	vAruNe srotasi sTitam Stc-_21.7d
   vāhayetpaścimadvāram Stk_7.5a	vAhayet-paScima-dvAram Stc-_7.5a
   vikasatyetadūrdhvaṃ tu Stk_11.16a	vikasati-etat-UrDvam tu Stc-_11.16a
   vighneṣu pāśajāleṣu Stk_3.8c	viGnezu pASa-jAlezu Stc-_3.8c
   vicarettu yathāsukham Stk_23.22d	vicaret-tu yaTAsuKam Stc-_23.22d
   vijñānaṃ kevalaṃ sthitam Stk_2.4d	vijQAnam kevalam sTitam Stc-_2.4d
   vijñāya pūrvamādhāraṃ Stk_17.2a	vijQAya pUrvam-ADAram Stc-_17.2a
   viditvā vyāpinaṃ jīvaṃ Stk_20.6a	viditvA vyApinam jIvam Stc-_20.6a
   vidyātattvamukāraṃ tu Stk_2.7a	vidyA-tattva-mukAram tu Stc-_2.7a
   vidyādukārajaṃ vāmam Stk_22.8c	vidyAt-ukAra-jam vAmam Stc-_22.8c
   vidyādharasamo bhavet Stk_16.16b	vidyADara-samaH Bavet Stc-_16.16b
   vidyā nāma kalā sā tu Stk_13.3c	vidyA nAma kalA sA tu Stc-_13.3c
   vidyāṃ tejo vijānīyād Stk_8.6c	vidyAm tejaH vijAnIyAt Stc-_8.6c
   vidhānaṃ parikīrtitam Stk_7.10b	viDAnam parikIrtitam Stc-_7.10b
   vidhāya mūrdhni kṣiptasya Stk_14.3a	viDAya mUrDni kziptasya Stc-_14.3a
   vidhisnānaṃ tataḥ kuryān Stk_4.2c	viDi-snAnam tatas kuryAt Stc-_4.2c
   vidhihīnāḥ ṣaḍānana Stk_8.22b	viDi-hInAH zaxAnana Stc-_8.22b
   vidhiṃ prāpnoti puṣkalam Stk_8.21d	viDim prApnoti puzkalam Stc-_8.21d
   vinyasedanupūrvaśaḥ Stk_7.6d	vinyaset-anupUrvaSas Stc-_7.6d
   vibhāgaṃ cāsya vakṣyāmi Stk_22.7c	viBAgam ca-asya vakzyAmi Stc-_22.7c
   vibhāgā daśa prāṇasya Stk_11.8c	viBAgAH daSa prANasya Stc-_11.8c
   vibhāgo jāyate yathā Stk_10.15d	viBAgaH jAyate yaTA Stc-_10.15d
   viyuktā nirahaṃkṛtā Stk_8.40d	viyuktA nirahaMkRtA Stc-_8.40d
   viśeṣo 'tra vidhīyate Stk_21.19b	viSezaH atra viDIyate Stc-_21.19b
   viṣayaṃ vaśamānayet Stk_16.14b	vizayam vaSam-Anayet Stc-_16.14b
   viṣayī viṣayāsakto Stk_23.24a	vizayI vizaya-AsaktaH Stc-_23.24a
   viṣasaṃharaṇaṃ caiva Stk_21.2c	viza-saMharaNam ca-eva Stc-_21.2c
   viṣaṃ saṃharati dhruvam Stk_21.18b	vizam saMharati Druvam Stc-_21.18b
   viṣuvatsamprayogeṇa Stk_8.27c	vizuvat-samprayogeNa Stc-_8.27c
   viṣuvatsamprayogeṇa Stk_8.36c	vizuvat-samprayogeNa Stc-_8.36c
   viṣuvadyogasaṃyutam Stk_8.30d	vizuvat-yoga-saMyutam Stc-_8.30d
   viṣṇubījaṃ pratiṣṭhitam Stk_13.12d	vizNu-bIjam pratizWitam Stc-_13.12d
   visargastena cocyate Stk_13.20b	visargaH-tena ca-ucyate Stc-_13.20b
   visargaḥ pūraṇaṃ prati Stk_10.7b	visargaH pUraNam prati Stc-_10.7b
   visargācca bhavetsṛṣṭiḥ Stk_13.22c	visargAt-ca Bavet-sRzwiH Stc-_13.22c
   visargājjāyate sṛṣṭir Stk_13.19c	visargAt-jAyate sRzwiH Stc-_13.19c
   visṛṣṭaṃ yena tadbījaṃ Stk_13.20a	visRzwam yena tat-bIjam Stc-_13.20a
   visṛṣṭo yaḥ sa śambhunā Stk_13.18d	visRzwaH yaH sa SamBunA Stc-_13.18d
   vistaraṃ tyaja deveśa Stk_8.33c	vistaram tyaja deveSa Stc-_8.33c
   vistarādvastusādhanam Stk_1.1d	vistarAt-vastu-sADanam Stc-_1.1d
   vistṛtaṃ tu tadeva tat Stk_22.18b	vistRtam tu tat-eva tat Stc-_22.18b
   visphuliṅgaśikhānvitam Stk_13.8d	visPuliFga-SiKA-anvitam Stc-_13.8d
   vṛkṣasyālabhanaṃ tathā Stk_21.1d	vRkzasya-AlaBanam taTA Stc-_21.1d
   vṛkṣaṃ tu sakalaṃ vidyāc Stk_23.6c	vRkzam tu sakalam vidyAt Stc-_23.6c
   vṛthā pariśramastasya Stk_8.5c	vRTA pariSramaH-tasya Stc-_8.5c
   vairāgyaṃ ca tathaiśvaryam Stk_5.3a	vErAgyam ca taTA-ESvaryam Stc-_5.3a
   vauṣaḍantena nikṣipet Stk_8.42f	vOzaw-antena nikzipet Stc-_8.42f
   vyāno vināmayatyaṅgaṃ Stk_10.12a	vyAnaH vinAmayati-aFgam Stc-_10.12a
   vyāno vyādhiprakopanaḥ Stk_10.12b	vyAnaH vyADi-prakopanaH Stc-_10.12b
   vyāpakaṃ vyāpakasya tu Stk_20.8f	vyApakam vyApakasya tu Stc-_20.8f
   vyāpanādvyāna ucyate Stk_10.12d	vyApanAt-vyAnaH ucyate Stc-_10.12d
   vyāpinaṃ sarvatomukham Stk_1.18d	vyApinam sarvatomuKam Stc-_1.18d
   vyāptaṃ nābheḥ samantataḥ Stk_10.2d	vyAptam nABeH samantataH Stc-_10.2d
   vyāptiścāsya mayā proktā Stk_20.8c	vyAptiH-ca-asya mayA proktA Stc-_20.8c
   vyāptistasya ca kīdṛśī Stk_22.1b	vyAptiH-tasya ca kIdRSI Stc-_22.1b
   vyāvṛtenaiva vaktreṇa Stk_19.8a	vyAvRtena-eva vaktreNa Stc-_19.8a
   vyomavyāpī sadāśivaḥ Stk_22.14d	vyoma-vyApI sadASivaH Stc-_22.14d
   śaktigarbho maheśvaraḥ Stk_13.14d	Sakti-garBaH maheSvaraH Stc-_13.14d
   śakticatuṣṭayapaṅkajamadhye puruṣo 'liriva sa līnaḥ Stk_10.19/b	Sakti-catuzwaya-paFkaja-maDye puruzaH aliH-iva sa lInaH Stc-_10.19/b
   śaktidehaṃ nirañjanam Stk_13.15d	Sakti-deham niraQjanam Stc-_13.15d
   śaktinyāsaṃ tato darbhair Stk_6.2a	Sakti-nyAsam tatas darBEH Stc-_6.2a
   śaktibhiḥ kesaravyūhaṃ Stk_5.3c	SaktiBiH kesara-vyUham Stc-_5.3c
   śaktibhiḥ sampuṭīkṛtya Stk_8.42e	SaktiBiH sampuwIkRtya Stc-_8.42e
   śaktiraśmisamūhena Stk_13.21a	Sakti-raSmi-samUhena Stc-_13.21a
   śaktireva śive pade Stk_8.4d	SaktiH-eva Sive pade Stc-_8.4d
   śaktiṃ yaḥ prerayettu tām Stk_8.35d	Saktim yaH prerayet-tu tAm Stc-_8.35d
   śaktyā tu nīyate jīvas Stk_23.13c	SaktyA tu nIyate jIvaH Stc-_23.13c
   śaṅkhavāditraniḥsvanaiḥ Stk_9.5b	SaFKa-vAditra-niHsvanEH Stc-_9.5b
   śaṅkhinī daśamī smṛtā Stk_10.4d	SaFKinI daSamI smRtA Stc-_10.4d
   śatamaṣṭottaraṃ japtvā Stk_9.3c	Satam-azwa-uttaram japtvA Stc-_9.3c
   śatarudrāvadhistathā Stk_8.3b	SatarudrA-avaDiH-taTA Stc-_8.3b
   śataśo 'tha sahasraśaḥ Stk_13.21b	SataSas aTa sahasraSas Stc-_13.21b
   śataiḥ pañcabhirudghātair Stk_21.19a	SatEH paQcaBiH-udGAtEH Stc-_21.19a
   śataiḥ pañcabhirudghātaiḥ Stk_21.11a	SatEH paQcaBiH-udGAtEH Stc-_21.11a
   śataiḥ saptabhirudghātair Stk_21.7a	SatEH saptaBiH-udGAtEH Stc-_21.7a
   śabdastatra tu jāyate Stk_13.7d	SabdaH-tatra tu jAyate Stc-_13.7d
   śabdaḥ sparśaśca rūpaṃ ca Stk_17.4c	SabdaH sparSaH-ca rUpam ca Stc-_17.4c
   śabdādiguṇavāyubhiḥ Stk_8.37d	Sabda-Adi-guNa-vAyuBiH Stc-_8.37d
   śarīraṃ kīdṛśaṃ tasya Stk_22.1c	SarIram kIdRSam tasya Stc-_22.1c
   śarīraṃ śoṣayedvatsa Stk_3.8a	SarIram Sozayet-vatsa Stc-_3.8a
   śareṇāstreṇa saṃyutāḥ Stk_8.28d	SareNa-astreNa saMyutAH Stc-_8.28d
   śāntirvidyā pratiṣṭhā ca Stk_13.9c	SAntiH-vidyA pratizWA ca Stc-_13.9c
   śāntistadūrdhvamadhvānte Stk_8.4c	SAntiH-tad-UrDvam-aDva-ante Stc-_8.4c
   śāntiṃ vai kavacena tu Stk_8.8d	SAntim vE kavacena tu Stc-_8.8d
   śāntyatītaṃ paraṃ vyoma Stk_8.9a	SAnti-atItam param vyoma Stc-_8.9a
   śāntyatītā bhavedvyoma Stk_8.7a	SAnti-atItA Bavet-vyoma Stc-_8.7a
   śāśvataṃ dhruvamavyayam Stk_13.11d	SASvatam Druvam-avyayam Stc-_13.11d
   śāstradṛṣṭena karmaṇā Stk_7.1d	SAstra-dRzwena karmaNA Stc-_7.1d
   śāstraṃ paramadurlabham Stk_1.4b	SAstram parama-durlaBam Stc-_1.4b
   śikhayā muktidaṃ smṛtam Stk_1.13b	SiKayA mukti-dam smRtam Stc-_1.13b
   śikhāṃ kavacameva ca Stk_2.12b	SiKAm kavacam-eva ca Stc-_2.12b
   śiro 'psu tejasi śikhāṃ Stk_2.2c	SiraH apsu tejasi SiKAm Stc-_2.2c
   śivajaptaṃ tṛtīyakam Stk_3.3d	Siva-japtam tRtIyakam Stc-_3.3d
   śivajaptena tīrthaṃ tu Stk_3.4c	Siva-japtena tIrTam tu Stc-_3.4c
   śivajñānāmṛtaṃ prāpya Stk_23.18a	Siva-jQAna-amRtam prApya Stc-_23.18a
   śivatattvaṃ prakīrtitam Stk_19.3d	Siva-tattvam prakIrtitam Stc-_19.3d
   śivatattvaṃ makārajam Stk_2.7b	Siva-tattvam makAra-jam Stc-_2.7b
   śivabhedo 'ṣṭadhā sthitaḥ Stk_19.1b	Siva-BedaH azwaDA sTitaH Stc-_19.1b
   śivavaktrādviniḥsṛtam Stk_23.19b	Siva-vaktrAt-viniHsRtam Stc-_23.19b
   śivavidyātmakairyathā Stk_13.9b	Siva-vidyA-AtmakEH-yaTA Stc-_13.9b
   śivasāyujyamāpnuyāt Stk_22.4d	Siva-sAyujyam-ApnuyAt Stc-_22.4d
   śivaṃ tattu vijānīyān Stk_1.11c	Sivam tat-tu vijAnIyAn Stc-_1.11c
   śivaṃ tvanādinidhanaṃ Stk_13.16a	Sivam tu-anAdi-niDanam Stc-_13.16a
   śivāṅgāni nyasettataḥ Stk_7.7b	Siva-aFgAni nyaset-tatas Stc-_7.7b
   śivādisarvamantrāṃśca Stk_6.4c	Siva-Adi-sarva-mantrAn=-ca Stc-_6.4c
   śivāmṛtaṃ mayā khyātaṃ Stk_23.22a	Siva-amRtam mayA KyAtam Stc-_23.22a
   śivo vidyāṃ tu śikhayā Stk_8.8c	SivaH vidyAm tu SiKayA Stc-_8.8c
   śukraḥ skando bhṛgustathā Stk_22.5d	SukraH skandaH BRguH-taTA Stc-_22.5d
   śubhanakṣatradivase Stk_9.4c	SuBa-nakzatra-divase Stc-_9.4c
   śūnyamarutsaṃdaṃśakagṛhītakaraṇātmako hyubhayato 'pi Stk_10.20/a	SUnya-marut-saMdaMSaka-gRhIta-karaNa-AtmakaH hi-uBayatas api Stc-_10.20/a
   śūnyaṃ taṃ tu vijānīyād Stk_19.5c	SUnyam tam tu vijAnIyAt Stc-_19.5c
   śūnyaṃ dehāntarasthitam Stk_20.7d	SUnyam deha-antara-sTitam Stc-_20.7d
   śṛṇu ṣaṇmukha tattvataḥ Stk_23.14b	SRNu zaNmuKa tattvataH Stc-_23.14b
   śṛṇu ṣaṇmukha tattvena Stk_8.34c	SRNu zaNmuKa tattvena Stc-_8.34c
   śṛṇu ṣaṇmukha tattvena Stk_23.1a	SRNu zaNmuKa tattvena Stc-_23.1a
   śodhanānukramaṃ deva Stk_8.14a	SoDana-anukramam deva Stc-_8.14a
   śvapacānapi dīkṣayet Stk_8.7d	SvapacAn-api dIkzayet Stc-_8.7d
   śvāsenaikena yogavit Stk_11.14b	SvAsena-ekena yoga-vid Stc-_11.14b
   ṣaṭśatāni tathaiva ca Stk_11.10b	zaz-SatAni taTA-eva ca Stc-_11.10b
   ṣaḍantena samanvitam Stk_19.3b	zaw-antena samanvitam Stc-_19.3b
   ṣaḍvarṇarahitaṃ śivam Stk_19.4d	zaz-varNa-rahitam Sivam Stc-_19.4d
   ṣaṇmāsājjāyate mṛtyur Stk_18.4a	zaz-mAsAt-jAyate mRtyuH Stc-_18.4a
   ṣaṇmāsātprāpnuyātsiddhiṃ Stk_15.1c	zaz-mAsAt-prApnuyAt-sidDim Stc-_15.1c
   ṣaṇmāsātsiddhimāpnuyāt Stk_15.3d	zaz-mAsAt-sidDim-ApnuyAt Stc-_15.3d
   ṣaṇmāsaistu na saṃśayaḥ Stk_15.2d	zaz-mAsEH-tu na saMSayaH Stc-_15.2d
   ṣaṣṭhamasya dvitīyaṃ tu Stk_1.12a	zazWam-asya dvitIyam tu Stc-_1.12a
   ṣaṣṭhaṃ tu yatparaṃ tattvam Stk_22.16c	zazWam tu yat-param tattvam Stc-_22.16c
   ṣaṣṭhaṃ trayodaśāntaṃ ca Stk_1.11a	zazWam trayodaSa-antam ca Stc-_1.11a
   ṣaṣṭhaṃ vai prathamasya tu Stk_19.11b	zazWam vE praTamasya tu Stc-_19.11b
   sakalaṃ niṣkalaṃ śūnyaṃ Stk_19.2a	sakalam nizkalam SUnyam Stc-_19.2a
   sakalaṃ sarvabhūtasthaṃ Stk_19.3c	sakalam sarva-BUta-sTam Stc-_19.3c
   sakalaḥ paripaṭhyate Stk_23.10b	sakalaH paripaWyate Stc-_23.10b
   sakale niṣkalo bhāvaḥ Stk_23.7a	sakale nizkalaH BAvaH Stc-_23.7a
   sakale sakalo bhāvo Stk_23.8a	sakale sakalaH BAvaH Stc-_23.8a
   sakṛjjaptena saṃgṛhya Stk_3.1c	sakRt-japtena saMgRhya Stc-_3.1c
   sakṛjjaptvā tu saṃhitām Stk_3.2b	sakRt-japtvA tu saMhitAm Stc-_3.2b
   sa jīvati punarvṛkṣo Stk_21.8a	sa jIvati punar-vRkzaH Stc-_21.8a
   sa jīvo jīvalokasya Stk_10.16c	sa jIvaH jIva-lokasya Stc-_10.16c
   sa jīvo jīvalokasya Stk_11.1a	sa jIvaH jIva-lokasya Stc-_11.1a
   sa jīvo jīvalokasya Stk_11.19e	sa jIvaH jIva-lokasya Stc-_11.19e
   satyaṃ satyamidaṃ tava Stk_23.22b	satyam satyam-idam tava Stc-_23.22b
   sadā yojyaṃ vicakṣaṇaiḥ Stk_3.8d	sadA yojyam vicakzaNEH Stc-_3.8d
   sadā yo nandati svayam Stk_17.3d	sadA yaH nandati svayam Stc-_17.3d
   sadāśivapadaṃ gatvā Stk_11.19a	sadASiva-padam gatvA Stc-_11.19a
   sadya utkramaṇaṃ katham Stk_8.25d	sadyas utkramaNam kaTam Stc-_8.25d
   sadyastu pṛthivī jñeyo Stk_22.12a	sadyas-tu pRTivI jQeyaH Stc-_22.12a
   sadyaḥ kalāṣṭasaṃyuktam Stk_22.8a	sadyas kalA-azwa-saMyuktam Stc-_22.8a
   sadyaḥprāṇahareṇa tu Stk_11.17b	sadyas-prANa-hareNa tu Stc-_11.17b
   sadyojātastu ṛgvedo Stk_22.13c	sadyojAtaH-tu RgvedaH Stc-_22.13c
   sadyojātastu vai brahmā Stk_22.15a	sadyojAtaH-tu vE brahmA Stc-_22.15a
   saptamasya dvitīyakam Stk_19.10b	saptamasya dvitIyakam Stc-_19.10b
