   Rcūm, 3	RcUm, 3
   ekarātroṣitaṃ tattu piṇḍīkṛtya tataḥ param /	eka-rAtra-uzitam tat-tu piNxIkRtya tatas param /
   svedayet kanduke yantre ghaṭikādvitayaṃ tataḥ // Rcūm_14.227 //	svedayet kanduke yantre GawikA-dvitayam tatas // RcUm_14.227 //
   tāṃ ca piṇḍīṃ dṛḍhe vastre baddhvā niṣpīḍya kāṣṭhataḥ /	tAm ca piNxIm dRXe vastre badDvA nizpIxya kAzWataH /
   adhaḥ pātrasthitaṃ tailaṃ samāhṛtya niyojayet /	aDas pAtra-sTitam tElam samAhRtya niyojayet /
   evaṃ kandukayantreṇa sarvatailānyupāharet // Rcūm_14.228 //	evam kanduka-yantreNa sarva-tElAni-upAharet // RcUm_14.228 //
   Rcūm, 15	RcUm, 15
   rasapāthodhibhiḥ kiṃcinniḥśeṣaṃ na prakāśitam /	rasa-pAToDiBiH kiMcid-niHSezam na prakASitam /
   daśāṣṭabhiḥ kriyāṃ vakṣye rasarājasya sāmpratam // Rcūm_15.1 //	daSa-azwaBiH kriyAm vakzye rasarAjasya sAmpratam // RcUm_15.1 //
   sudhādisarvabhaiṣajyasāraḥ sūte pratiṣṭhitaḥ /	suDAdi-sarva-BEzajya-sAraH sUte pratizWitaH /
   amartyā bhavituṃ martyā niṣevadhvaṃ mitho yutam // Rcūm_15.2 //	amartyAH Bavitum martyAH nizevaDvam miTas yutam // RcUm_15.2 //
   {mercury:: properties}	{mercuH-y:: properties}
   āyurvajraṃ vitarati nṛṇām aṅgavarṇaṃ suvarṇaṃ sattvaṃ vyomno madakaribalaṃ	AyuH-vajram vitarati nRNAm aFga-varNam suvarNam sattvam vyomnaH mada-kari-balam
   tāmram ugrāṃ kṣudhāṃ ca /	tAmram ugrAm kzuDAm ca /
   māyoḥ śāntiṃ rajatamamalaṃ kāntametatsamastaṃ śrīmān sūtaḥ sakalagadahṛd	mAyoH SAntim rajatam-amalam kAntam-etat-samastam SrImAn sUtaH sakala-gada-hRd
   dehalohe tu siddhaḥ // Rcūm_15.3 //	deha-lohe tu sidDaH // RcUm_15.3 //
   {mercury:: myth. origin}	{mercuH-y:: myT. origin}
   kalpādau śivayoḥ prītyā parasparajigīṣayā /	kalpa-AdO SivayoH prItyA paraspara-jigIzayA /
   sampravṛtte tu sambhoge trilokīkṣobhakāriṇi // Rcūm_15.4 //	sampravRtte tu samBoge trilokI-kzoBa-kAriNi // RcUm_15.4 //
   devaiḥ saṃpreṣito vahniḥ surataṃ vinivāritum /	devEH saMprezitaH vahniH suratam vinivAritum /
   kāṅkṣayā tatsutodbhūter nihantuṃ tārakāsuram // Rcūm_15.5 //	kAFkzayA tad-suta-udBUteH nihantum tAraka-asuram // RcUm_15.5 //
   kapotarūpiṇaṃ prāptaṃ himavatkandare'nalam /	kapota-rUpiNam prAptam himavat-kandare-analam /
   apakṣibhāvasaṃkṣubdhaṃ smarasmerāvalokitam // Rcūm_15.6 //	apakzi-BAva-saMkzubDam smara-smera-avalokitam // RcUm_15.6 //
   taṃ vīkṣya lajjitaḥ śambhurviramya suratāttadā /	tam vIkzya lajjitaH SamBuH-viramya suratAt-tadA /
   srutamātmagataṃ tejaḥ so'grahīdekapāṇinā // Rcūm_15.7 //	srutam-Atma-gatam tejaH saH-agrahIt-eka-pANinA // RcUm_15.7 //
   nikṣiptaṃ vadane vahner gaṅgāyām apatacca tat /	nikziptam vadane vahneH gaFgAyAm apatat-ca tat /
   gaṅgayā ca bahiḥkṣiptaṃ nitarāṃ dahyamānayā // Rcūm_15.8 //	gaFgayA ca bahis-kziptam nitarAm dahyamAnayA // RcUm_15.8 //
   ato'dhikaguṇā jātā dhātavo hi sudhāsamāḥ /	atas-aDika-guNAH jAtAH DAtavaH hi suDA-samAH /
   śivahastacyutaṃ yattat samabhūt khalu pāradaḥ // Rcūm_15.9 //	Siva-hasta-cyutam yat-tat samaBUt Kalu pAradaH // RcUm_15.9 //
   amartyā nirjarāstena saṃjātās tridaśottamāḥ /	amartyAH nirjarAH-tena saMjAtAH tridaSa-uttamAH /
   tattanmalena saṃjātā dhātavaścāṣṭasaṃkhyayā // Rcūm_15.10 //	tad-tad-malena saMjAtAH DAtavaH-ca-azwa-saMKyayA // RcUm_15.10 //
   pāvakāsyāccyutaṃ yattu rasastatsamabhūt khalu /	pAvaka-asyAt-cyutam yat-tu rasaH-tat-samaBUt Kalu /
   sevitaḥ sa hi nāgendrair jarāmṛtyujigīṣayā // Rcūm_15.11 //	sevitaH sa hi nAga-indrEH jarA-mRtyu-jigIzayA // RcUm_15.11 //
   pīyamānaṃ tu nāgāsyātpatitaṃ gauraveṇa yat /	pIyamAnam tu nAga-AsyAt-patitam gOraveNa yat /
   śatayojananimne'sau nyapatatkūpake khalu // Rcūm_15.12 //	Sata-yojana-nimne-asO nyapatat-kUpake Kalu // RcUm_15.12 //
   īṣat pītāntaro rūkṣaḥ sa sūto dehalohakṛt /	Izat pIta-antaraH rUkzaH sa sUtaH deha-loha-kRt /
   {Gewinnung von Hg mit nackten Frauen}	{Gewinnunc von Hj mid nackted FrOen}
   snātāmādyarajasvalāṃ hayagatāṃ prāptāṃ jighṛkṣuśca tāṃ so'pyāgacchati	snAtAm-Adya-rajasvalAm haya-gatAm prAptAm jiGRkzuH-ca tAm saH-api-AgacCati
   yojanaṃ hi paritaḥ pratyeti kūpaṃ punaḥ /	yojanam hi paritas pratyeti kUpam punar /
   tanmārge kṛtagarttake ca bahuśaḥ saṃtiṣṭhate sūtarāṭ so'yaṃ tatra	tad-mArge kRta-garttake ca bahuSas saMtizWate sUtarAj saH-ayam tatra
   nivāsibhiḥ khalu janairevaṃ samānīyate // Rcūm_15.13 //	nivAsiBiH Kalu janEH-evam samAnIyate // RcUm_15.13 //
   {mercury:: extraction from earth}	{meH-cuH-y:: extraction from earT}
   nīyamānastu gaṅgāyā vāyunā gauravena yat /	nIyamAnaH-tu gaFgAyAH vAyunA gOravena yat /
   apatad dūradeśe vai sa deśaḥ pāradaḥ smṛtaḥ // Rcūm_15.14 //	apatat dUra-deSe vE sa deSaH pAradaH smRtaH // RcUm_15.14 //
   tattato mṛdgataḥ sūtaḥ pātanāvidhinā khalu /	tat-tatas mRd-gataH sUtaH pAtanA-viDinA Kalu /
   ānīyate sa vijñeyaḥ pārado gadapāradaḥ // Rcūm_15.15 //	AnIyate sa vijQeyaH pAradaH gada-pAradaH // RcUm_15.15 //
   evaṃ caturvidhaṃ jātaṃ śaṃkaraṃ śāṅkaraṃ mahaḥ /	evam caturviDam jAtam SaMkaram SAFkaram mahaH /
   itthaṃ sūtodbhavaṃ jñātvā na rogair bādhyate naraḥ // Rcūm_15.16 //	itTam sUta-udBavam jQAtvA na rogEH bADyate naraH // RcUm_15.16 //
   rasendraśca rasaścaiva syātāṃ siddharasāvubhau /	rasendraH-ca rasaH-ca-eva syAtAm sidDa-rasO=-uBO /
   sādhyāvanyau cirājjātau bhūmyāder deśayogataḥ // Rcūm_15.17 //	sADyO=-anyO cirAt-jAtO BUmi-AdeH deSa-yogataH // RcUm_15.17 //
   {mercury:: nirukti}	{mercuH-y:: nirukti}
   jarāpamṛtyudaurgatyavyādhīnāṃ rasanādrasaḥ /	jarA-apamRtyu-dOrgatya-vyADInAm rasanAt-rasaH /
   rasāsvādana ityasya dhātorarthatayā khalu // Rcūm_15.18 //	rasa-AsvAdanaH iti-asya DAtoH-arTa-tayA Kalu // RcUm_15.18 //
   dehalohamayīṃ siddhiṃ sūte sūtastato mataḥ /	deha-loha-mayIm sidDim sUte sUtaH-tatas mataH /
   rogābdhiṃ pārayedyasmāttasmāt pārada ucyate // Rcūm_15.19 //	roga-abDim pArayet-yasmAt-tasmAt pAradaH ucyate // RcUm_15.19 //
   pātanaiḥ śodhyamānasya yasya pādo'vaśiṣyate /	pAtanEH SoDyamAnasya yasya pAdaH-avaSizyate /
   tripādī ca kṣayaṃ yāti tena pādarasaḥ smṛtaḥ // Rcūm_15.20 //	tripAdI ca kzayam yAti tena pAda-rasaH smRtaH // RcUm_15.20 //
   {mercury:: doṣa:: myth. origin}	{mercuH-y:: doza:: myT. origin}
   itthaṃ bhūtasya sūtasya martyamṛtyugadacchidaḥ /	itTam BUtasya sUtasya martya-mRtyu-gada=-CidaH /
   prabhāvānmānuṣān dṛṣṭvā devatulyabalāyuṣaḥ // Rcūm_15.21 //	praBAvAt-mAnuzAn dRzwvA deva-tulya-bala-AyuzaH // RcUm_15.21 //
   indreṇābhyarthito rudro rasaṃ dvādaśadūṣaṇaiḥ /	indreNa-aByarTitaH rudraH rasam dvAdaSa-dUzaNEH /
   yojayāmāsa taṃ pūrvaṃ vinā śuddhyāpi siddhidam // Rcūm_15.22 //	yojayAmAsa tam pUrvam vinA SudDyA-api sidDi-dam // RcUm_15.22 //
   {pāradadoṣāḥ}	{pArada-dozAH}
   doṣo malo viṣaṃ vahnir mado darpaśca tatphalam /	dozaH malaH vizam vahniH madaH darpaH-ca tad-Palam /
   mūrcchā mṛtyuḥ sadādāho visphoṭaśca śirobhramaḥ // Rcūm_15.23 //	mUrcCA mRtyuH sadAdAhaH visPowaH-ca SiraH-BramaH // RcUm_15.23 //
   {mercury:: kañcukāḥ}	{mercuH-y:: kaQcukAH}
   bhūśailajalatāmrāyonāgavaṅgasamudbhavāḥ /	BU-SEla-jala-tAmra-ayaH-nAga-vaFga-samudBavAH /
   kañcukāḥ sapta sūtasya tābhiḥ sūto viṣopamaḥ // Rcūm_15.24 //	kaQcukAH sapta sUtasya tABiH sUtaH viza-upamaH // RcUm_15.24 //
   kuṣṭhaṃ jāḍyaṃ ca vātārtiṃ dāhaṃ cāvṛtakaṇṭhatām /	kuzWam jAxyam ca vAta-Artim dAham ca-AvRta-kaNWa-tAm /
   unmādaṃ ca mahāśūlaṃ kramātkurvanti kañcukāḥ // Rcūm_15.25 //	unmAdam ca mahA-SUlam kramAt-kurvanti kaQcukAH // RcUm_15.25 //
   etān sūtagatān doṣān pañca sapta ca kañcukāḥ /	etAn sUta-gatAn dozAn paQca sapta ca kaQcukAH /
   anapākṛtya yo dadyāt sa vaidyo brahmahā bhavet // Rcūm_15.26 //	anapAkRtya yaH dadyAt sa vEdyaH brahma-hA Bavet // RcUm_15.26 //
   dvādaśaitān mahādoṣān apanīya rasaṃ dadet /	dvAdaSa-etAn mahA-dozAn apanIya rasam dadet /
   sa labheta mahatpuṇyam agaṇyaṃ ca mahadyaśaḥ // Rcūm_15.27 //	sa laBeta mahat-puNyam agaNyam ca mahat-yaSaH // RcUm_15.27 //
   {18 saṃskāras}	{18 saMskAras}
   sūte 'ṣṭādaśasaṃskriyā nigaditāḥ syuḥ svedanaṃ mardanaṃ	sUte azwAdaSa-saMskriyAH nigaditAH syuH svedanam mardanam
   mūrcchotthāpanapātarodhaniyamāḥ proddīpanaṃ grāsajam /	mUrcCA-utTApana-pAta-roDa-niyamAH proddIpanam grAsa-jam /
   mānaṃ cāraṇagarbhabāhyajanitadrutiśca tajjāraṇā rāgaḥ sāraṇakaṃ	mAnam cAraNa-garBa-bAhya-janita-drutiH-ca tad-jAraNA rAgaH sAraNakam
   parikramavidhir vedhastataḥ sevanam // Rcūm_15.28 //	parikrama-viDiH veDaH-tatas sevanam // RcUm_15.28 //
   atha nandipradiṣṭena vidhānena prakāśyate /	aTa nandi-pradizwena viDAnena prakASyate /
   doṣāṇāṃ kañcukānāṃ ca yathāvatpariśodhanam // Rcūm_15.29 //	dozANAm kaQcukAnAm ca yaTAvat-pariSoDanam // RcUm_15.29 //
   sūtaḥ pañcapalānnyūnaḥ śodhito 'lpaphalo bhavet /	sUtaH paQca-palAn-nyUnaH SoDitaH alpa-PalaH Bavet /
   ūrdhvaṃ daśapalāṃśena śuddhimāpnotyaśeṣataḥ // Rcūm_15.30 //	UrDvam daSa-pala-aMSena SudDim-Apnoti-aSezataH // RcUm_15.30 //
   {mercury:: śodhana}	{meH-cuH-y:: SoDana}
   svedamardanamūrcchābhiḥ saptavārordhvapātanaiḥ /	sveda-mardana-mUrcCABiH sapta-vAra-UrDvapAtanEH /
   sarvadoṣavinirmukto rasarājaḥ prajāyate // Rcūm_15.31 //	sarva-doza-vinirmuktaH rasarAjaH prajAyate // RcUm_15.31 //
   svedanaṃ mardanaṃ tadvatsaptavārān vimūrcchanam /	svedanam mardanam tadvat-sapta-vArAn vimUrcCanam /
   sa hi siddhikaraṃ prāha guṇakāri ca bhāskaraḥ // Rcūm_15.32 //	sa hi sidDi-karam prAha guNa-kAri ca BAskaraH // RcUm_15.32 //
   mardanasvedasaṃnyāsaiḥ śudhyatīti dineśvaraḥ /	mardana-sveda-saMnyAsEH SuDyati-iti dineSvaraH /
   ūrdhvādhaḥpātanābhyāṃ hi viśuddhirbhālukermatā // Rcūm_15.33 //	UrDva-aDas-pAtanAByAm hi viSudDiH-BAlukeH-matA // RcUm_15.33 //
   svedanaṃ mardanaṃ mūrcchā pratyutthānaṃ ca pātanam /	svedanam mardanam mUrcCA pratyutTAnam ca pAtanam /
   nirodho niyamaśceti śuciḥ saptavidhā matā /	niroDaH niyamaH-ca-iti SuciH saptaviDA matA /
   govindabhagavān pūjyaiḥ sūtarājasya niścitā // Rcūm_15.34 //	govinda-BagavAn pUjyEH sUtarAjasya niScitA // RcUm_15.34 //
   atha śrīnandinā proktaprakāreṇa viśodhanam /	aTa SrI-nandinA prokta-prakAreNa viSoDanam /
   rasarājasya niḥśeṣadoṣaghnaṃ parikīrtyate // Rcūm_15.35 //	rasarAjasya niHSeza-doza-Gnam parikIrtyate // RcUm_15.35 //
   {1. svedanasaṃskāra}	{1. svedana-saMskAra}
   mūlakāgnipaṭurājikārdrakaiḥ vyoṣakaiśca rasaṣoḍaśāṃśakaiḥ /	mUlaka-agni-pawu-rAjikA-ArdrakEH vyozakEH-ca rasa-zoxaSa-aMSakEH /
   sveditastridivasaṃ hi dolayā kāñjikena malamuktaye rasaḥ // Rcūm_15.36 //	sveditaH-tri-divasam hi dolayA kAQjikena mala-muktaye rasaH // RcUm_15.36 //
   {2. mardanasaṃskāra}	{2. mardana-saMskAra}
   dagdhorṇāgṛhadhūmābjasarṣapaiḥ saguḍeṣṭakaiḥ /	dagDa-UrNA-gRhaDUma-abja-sarzapEH sa-guxa-izwakEH /
   mardyo rasaḥ ṣoḍaśāṃśais tryahaṃ tadvahniśāntaye // Rcūm_15.37 //	mardyaH rasaH zoxaSa-aMSEH tri-aham tad-vahni-SAntaye // RcUm_15.37 //
   jīrṇe jīrṇe sadāgrāse mardanīyo rasaḥ khalu /	jIrNe jIrNe sadA-grAse mardanIyaH rasaH Kalu /
   etairevauṣadhairyasmādrāgān gṛhṇāti nirmalaḥ // Rcūm_15.38 //	etEH-eva-OzaDEH-yasmAt-rAgAn gRhNAti nirmalaH // RcUm_15.38 //
   {3. mūrchana}	{3. mUrCana}
   vyoṣasaubhāgyasaṃyuktalakucadrāvamardanāt /	vyoza-sOBAgya-saMyukta-lakuca-drAva-mardanAt /
   mūrchitastridinaṃ sūto madaṃ muñcati durdharam // Rcūm_15.39 //	mUrCitaH-tri-dinam sUtaH madam muQcati durDaram // RcUm_15.39 //
   {removal of viṣadoṣa}	{remaH-vat of viza-doza}
   saubhāgyatriphalāśyāmāṭaṅkaṇaiḥ saha kāñjikaiḥ /	sOBAgya-triPalA-SyAmA-waFkaNEH saha kAQjikEH /
   tridinaṃ saṃsthitaḥ sūto viṣaṃ saṃtyajati svakam // Rcūm_15.40 //	tri-dinam saMsTitaH sUtaH vizam saMtyajati svakam // RcUm_15.40 //
   {removal of darpadoṣa}	{remaH-vat of darpa-doza}
   sarpākṣikākamāvyoṣarasair utkvathitotthitaḥ /	sarpAkzikA-kamA-vyoza-rasEH utkvaTita-utTitaH /
   darpaṃ muñcati ca kṣipramiti doṣaviśodhanam // Rcūm_15.41 //	darpam muQcati ca kzipram-iti doza-viSoDanam // RcUm_15.41 //
   kṣārāmlaiḥ soṣṇatoyena nivātasthānasaṃsthitaḥ /	kzAra-amlEH sa-uzNa-toyena nivAta-sTAna-saMsTitaH /
   rasasya kurute vīryaśaityaṃ tadvīryanāśanam // Rcūm_15.42 //	rasasya kurute vIrya-SEtyam tad-vIrya-nASanam // RcUm_15.42 //
   {removal of bhūkañcuka}	{remaH-vat of BU-kaQcuka}
   kāṃkṣīkāsīsaluṅgāmbumarditaḥ pārado dinam /	kAMkzI-kAsIsa-luFga-ambu-marditaH pAradaH dinam /
   kṣālitaḥ kāñjikaiḥ piṣṭastyajati kṣoṇikañcukam // Rcūm_15.43 //	kzAlitaH kAQjikEH pizwaH-tyajati kzoNi-kaQcukam // RcUm_15.43 //
   {adrikañcuka}	{adri-kaQcuka}
   girikarṇyā jayantyāśca svarasairbhāvito rasaḥ /	girikarNyAH jayantyAH-ca svarasEH-BAvitaH rasaH /
   tribhirvāraistyajatyeva girijām ātmakañcukām // Rcūm_15.44 //	triBiH-vArEH-tyajati-eva girijAm Atma-kaQcukAm // RcUm_15.44 //
   {jalakañcuka}	{jala-kaQcuka}
   guḍaguggulunimbānāṃ kvāthena kvathitastryaham /	guxa-guggulu-nimbAnAm kvATena kvaTitaH-tri-aham /
   tyajatyambubhavāṃ sūtaḥ kañcukāṃ bahudoṣadām // Rcūm_15.45 //	tyajati-ambu-BavAm sUtaH kaQcukAm bahu-doza-dAm // RcUm_15.45 //
   {tāmrakañcuka}	{tAmra-kaQcuka}
   sitāsārdrakatakraiśca mardayitvā tathotthitaḥ /	sitA-sa-Ardraka-takrEH-ca mardayitvA taTA-utTitaH /
   dhautaścoṣṇair gavāṃ mūtraistyajettāmrajakañcukam // Rcūm_15.46 //	DOtaH-ca-uzNEH gavAm mUtrEH-tyajet-tAmra-ja-kaQcukam // RcUm_15.46 //
   {ayaḥkañcuka}	{ayaH-kaQcuka}
   kāravellyāśca karkoṭyā rasaiḥ saṃmardito rasaḥ /	kAravellyAH-ca karkowyAH rasEH saMmarditaH rasaH /
   kañcukāmāyasīṃ muñceccapalaḥ sauhṛdaṃ yathā // Rcūm_15.47 //	kaQcukAm-AyasIm muQcet-capalaH sOhRdam yaTA // RcUm_15.47 //
   {nāga-, vaṅgakañcuka}	{nAga-, vaFga-kaQcuka}
   tāmrapiṣṭīkṛtaḥ sūtaḥ pātanāyantrapātitaḥ /	tAmra-pizwIkRtaH sUtaH pAtanAyantra-pAtitaH /
   muñcet kañculikāṃ śīghraṃ nāgavaṅgasamudbhavām // Rcūm_15.48 //	muQcet kaQculikAm SIGram nAga-vaFga-samudBavAm // RcUm_15.48 //
   {vaṅgakañcuka}	{vaFga-kaQcuka}
   sūtaṃ varāgnipaṭuśigrukarājikāñjanaiḥ piṣṭairvilipya	sUtam vara-agni-pawu-Sigruka-rAjikA-aQjanEH pizwEH-vilipya
   paripātanakordhvabhāge /	paripAtanaka-UrDva-BAge /
   bhāṇḍodare bhṛtajale parito vimuñcenmṛdvagninā tyajati kañculikāṃ hi	BANxa-udare BRta-jale paritas vimuQcet-mRdu-agninA tyajati kaQculikAm hi
   vāṅgīm // Rcūm_15.49 //	vAFgIm // RcUm_15.49 //
   itthaṃ nipātitaḥ sūtaś caladvidyullatāprabhaḥ /	itTam nipAtitaH sUtaH calat-vidyut-latA-praBaH /
   nāgavaṅgavinirmuktaḥ tataścaitat prajāyate // Rcūm_15.50 //	nAga-vaFga-vinirmuktaH tatas-ca-etat prajAyate // RcUm_15.50 //
   yadā yadā bhavetsūto grāsājīrṇena bādhitaḥ /	yadA yadA Bavet-sUtaH grAsa-ajIrNena bADitaH /
   anenaiva prakāreṇa pātanīyastadā tadā // Rcūm_15.51 //	anena-eva prakAreNa pAtanIyaH-tadA tadA // RcUm_15.51 //
   {mercury:: āpyāyana}	{mercuH-y:: ApyAyana}
   svedanādyaiḥ pātanānte śodhanaiḥ sa kadarthitaḥ /	svedana-AdyEH pAtana-ante SoDanEH sa kadarTitaH /
   mandavīryo bhavetsūtastasmādāpyāyanaṃ caret // Rcūm_15.52 //	manda-vIryaH Bavet-sUtaH-tasmAt-ApyAyanam caret // RcUm_15.52 //
   sodake saindhave sūtaḥ sthitas tridivasāvadhiḥ /	sa-udake sEnDave sUtaH sTitaH tri-divasa-avaDiH /
   punar āpyāyanaṃ prāpya na syāt ṣaṇḍho bhavedbalī // Rcūm_15.53 //	punar ApyAyanam prApya na syAt zaNXaH Bavet-balI // RcUm_15.53 //
   {svedanavidhi}	{svedana-viDi}
   bhālukiḥ svedasaṃnyāsau diṣṭavānniyamāt param /	BAlukiH sveda-saMnyAsO dizwavAn-niyamAt param /
   bhakṣituṃ sarvalohāni mukhaṃ kartuṃ viniścitam // Rcūm_15.54 //	Bakzitum sarva-lohAni muKam kartum viniScitam // RcUm_15.54 //
   aṅgārasthāpite pātre rasaṃ kṣiptvā prajārayet /	aFgAra-sTApite pAtre rasam kziptvA prajArayet /
   ṣoḍaśāṃśena citrāṃ tu tadatra svedanaṃ matam // Rcūm_15.55 //	zoxaSa-aMSena citrAm tu tat-atra svedanam matam // RcUm_15.55 //
   sarvarogān haredeva śaktiyukto guṇādhikaḥ /	sarva-rogAn haret-eva Sakti-yuktaH guNa-aDikaH /
   vegena phaladāyitvaṃ jāyate nātra saṃśayaḥ // Rcūm_15.56 //	vegena Pala-dAyi-tvam jAyate na-atra saMSayaH // RcUm_15.56 //
   {saṃnyāsavidhi}	{saMnyAsa-viDi}
   kṣārāmlalavaṇaiḥ sārddhaṃ saṃnyāsājjāyate tathā /	kzAra-amla-lavaNEH sArdDam saMnyAsAt-jAyate taTA /
   caturthādhyāyanirdiṣṭaprakāreṇa rase khalu // Rcūm_15.57 //	caturTa-aDyAya-nirdizwa-prakAreNa rase Kalu // RcUm_15.57 //
   bubhukṣā vyāpakatvaṃ ca tīvratā vegakāritā /	buBukzA vyApaka-tvam ca tIvra-tA vega-kAritA /
   sarvavyādhiharatvaṃ ca tyaktadoṣatvameva ca // Rcūm_15.58 //	sarva-vyADi-hara-tvam ca tyakta-doza-tvam-eva ca // RcUm_15.58 //
   {dīpanasaṃskāra}	{dIpana-saMskAra}
   maricābjāsurī caiva śigrubhūkhagaṭaṅkaṇaiḥ /	marica-abja-AsurI ca-eva Sigru-BU-Kaga-waFkaNEH /
   sasaṃdhānais tryahaṃ svedād bhavetsūtasya dīpanam // Rcūm_15.59 //	sa-saMDAnEH tri-aham svedAt Bavet-sUtasya dIpanam // RcUm_15.59 //
   navamādhyāyanirdiṣṭadīpanīyagaṇena ca /	navama-aDyAya-nirdizwa-dIpanIya-gaNena ca /
   rasasya dīpanaṃ kuryāt tad atyantaguṇāvaham // Rcūm_15.60 //	rasasya dIpanam kuryAt tat atyanta-guNa-Avaham // RcUm_15.60 //
   {mukhakaraṇa}	{muKa-karaNa}
   svedito'ṣṭādaśāṃśena hemayukto hi pāradaḥ /	sveditaH-azwAdaSa-aMSena hema-yuktaH hi pAradaH /
   kṣārairamlairadoṣaiśca bhoktumāsyaṃ prajāyate // Rcūm_15.61 //	kzArEH-amlEH-adozEH-ca Boktum-Asyam prajAyate // RcUm_15.61 //
   {rākṣasavaktra}	{rAkzasa-vaktra}
   kalāṃśatāpyasattvena svarṇena dviguṇena ca /	kalA-aMSa-tApya-sattvena svarNena dviguNena ca /
   yuktaṃ yuktaṃ hi cukreṇa cūlikālavaṇena ca // Rcūm_15.62 //	yuktam yuktam hi cukreNa cUlikA-lavaNena ca // RcUm_15.62 //
   caṇakakṣāratoyena rājanimbukavāriṇā /	caNaka-kzAra-toyena rAja-nimbuka-vAriNA /
   mardayet taptakhalvāntarbalena mahatā khalu // Rcūm_15.63 //	mardayet taptaKalva-antar-balena mahatA Kalu // RcUm_15.63 //
   ekaviṃśatyaho yāvadyāmaṃ yāmaṃ dine dine /	ekaviMSati-ahar yAvat-yAmam yAmam dine dine /
   evaṃ rākṣasavaktraḥ syātsarvāśī ca na saṃśayaḥ // Rcūm_15.64 //	evam rAkzasa-vaktraH syAt-sarva-ASI ca na saMSayaH // RcUm_15.64 //
   aṣṭādaśakriyā nṛṇāṃ na sidhyanti rasasya hi /	azwAdaSa-kriyAH nRNAm na siDyanti rasasya hi /
   vinā bhāgyena tapasā prasādeneśvarasya ca // Rcūm_15.65 //	vinA BAgyena tapasA prasAdena-ISvarasya ca // RcUm_15.65 //
   sarvairyuktā vividhavidhibhiḥ saṃskṛtībhiḥ suramyaiḥ sūto	sarvEH-yuktA viviDa-viDiBiH saMskRtIBiH su-ramyEH sUtaH-
   muñcatyakhilavikṛtīn śvitrarogapramāthī /	muQcati-aKila-vikRtIn Svitra-roga-pramATI /
   tāvacchuddhiṃ kṛtabahuguṇāṃ nandinoktāṃ susādhyāṃ pathyāyuktāṃ	tAvat-SudDim kRta-bahu-guNAm nandinA-uktAm su-sADyAm paTyA-yuktAm
   puravarapatiḥ somadevo'bhidhatte // Rcūm_15.66 //	pura-vara-patiH somadevaH-aBiDatte // RcUm_15.66 //
   {removing doṣas}	{remaH-ving doza-s}
   trikṣāraiḥ paṭupañcakāmlasahitaiḥ saṃkhalvasūtastryahaṃ	trikzArEH pawu-paQcaka-amla-sahitEH saMKalva-sUtaH-tri-aham
   bāhlīkāsuriviśvapiṇḍajaṭhare ruddhvātha saṃveśayet /	bAhlIka-Asuri-viSva-piNxa-jaWare rudDvA-aTa saMveSayet /
   sandhāne tridinaṃ hi mandaśikhinā dolākhyayantre paceddoṣonmuktarasaḥ	sanDAne tri-dinam hi manda-SiKinA dolA-AKya-yantre pacet-doza-unmukta-rasaH
   sudhārasasamaḥ pathyair vinā siddhidaḥ // Rcūm_15.67 //	suDA-rasa-samaH paTyEH vinA sidDi-daH // RcUm_15.67 //
   kiṃtvatra rājikā viśvahiṅgūnāṃ mānasaṃsthitiḥ /	kiMtu-atra rAjikA viSva-hiFgUnAm mAna-saMsTitiH /
   gurūpadeśato neyā nānyathā phalavāhinī // Rcūm_15.68 //	guru-upadeSataH neyA na-anyaTA Pala-vAhinI // RcUm_15.68 //
   {nāga, vaṅga:: removal}	{nAga, vaFga:: remaH-val}
   nāgavaṅgau mahādoṣau durjayau śuddhakoṭibhiḥ /	nAga-vaFgO mahA-dozO durjayO SudDa-kowiBiH /
   pātanā śodhayedyasmānmahāśuddharaso mataḥ // Rcūm_15.69 //	pAtanA SoDayet-yasmAt-mahA-SudDa-rasaH mataH // RcUm_15.69 //
   daśabhiḥ pātanābhiśca nāgavaṅgasamudbhavaḥ /	daSaBiH pAtanABiH-ca nAga-vaFga-samudBavaH /
   gandho vināśamāyāti rasaḥ syānnaiva durguṇaḥ // Rcūm_15.70 //	ganDaH vinASam-AyAti rasaH syAt-na-eva durguNaH // RcUm_15.70 //
   daśavārāt paraṃ nārvāk śatavāraṃ ca pātanāḥ /	daSa-vArAt param na-arvAk Sata-vAram ca pAtanAH /
   mahāguṇakarāḥ proktāḥ yathāvidhi kṛtā rase // Rcūm_15.71 //	mahA-guNa-karAH proktAH yaTAviDi kRtAH rase // RcUm_15.71 //
   mahāguṇatvaṃ śikhinaḥ sakhitvaṃ svalpeṣu rogeṣu ca tulyavīryam /	mahA-guNa-tvam SiKinaH saKi-tvam su-alpezu rogezu ca tulya-vIryam /
   rasāyanatvaṃ ca mahāprabhāvo bhavedrasendrasya ca pātanābhiḥ // Rcūm_15.72	rasAyana-tvam ca mahA-praBAvaH Bavet-rasendrasya ca pAtanABiH // RcUm_15.72
   Rcūm, 16	RcUm, 16
   athāto jāraṇā puṇyā rasasiddhividhāyinī /	aTa-atas jAraNA puNyA rasa-sidDi-viDAyinI /
   sukarā sulabhadravyā kṛtapūrvā nigadyate // Rcūm_16.1 //	sukarA sulaBa-dravyA kRta-pUrvA nigadyate // RcUm_16.1 //
   {abhra:: jāraṇā}	{aBra:: jAraNA}
