   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   cakṣurgrāhyatvalābhena tādṛśadharmamātrameveti dhyeyam //	cakzuH grAhya tva lABena tAdRSa Darma mAtram eva iti Dyeyam //
   iti tatsiddhipeṭikāyāṃ sārūpyodāharaṇavicāraḥ //	iti tad sidDi pewikAyAm sArUpya udAharaNa vicAraH //
                (viṣayavākyasaṃgrahaḥ, apaśuśabdanāmatvāsaṃbhave 'pi	            (vizaya vAkya saMgrahaH, apaSu Sabda nAma tva asaMBave api
   niṣedhyaguṇasamarpakatayā pūrvapakṣaḥ) agnicayane pañcadaśaśīrṣopadhāne	nizeDya guNa samarpaka tayA pUrva pakzaH) agni cayane paQcadaSa SIrza upaDAne
   śrutaṃ      "purastāt pratīcīnamaśvasyopadadhāti paścāt	Srutam     "purastAt pratIcInam aSvasya upadaDAti paScAt 
   prācīnamṛṣabhasye"ti gavāśvaśīrṣopadhānavidhivākyaśeṣamudāharati        	prAcInam RzaBasya i"ti gavA SvaSIrza upaDAna viDi vAkya Sezam udAharati        
   apaśava iti //	apaSavaH iti //
   etacca. "ayajño vā eṣa yo 'sāmā" "asatraṃ vā etadyadacchandomaṃ" iti	etat ca. "ayajQaH vE eza yaH asAmA" "a satram vE etat yat acCandoman" iti
   vidhyantaraśeṣāṇāmapyupalakṣaṇam /	viDi antara SezANAm api upalakzaNam /
   tatra gavāśvavyatiriktānāmajādīnāṃ	tatra gavA aSva vyatiriktAnAm aja AdInAm
   paśupadavācyatvādapaśusaṃjñātvānupapatteḥ taittirīye "apaśavo vā anye	paSupada vAcya tvAt apaSu saMjQA tva anupapatteH tEttirIye "apaSavaH vE anye
   goaśvebhyaḥ paśava" iti paśuśabdasāmānādhikaraṇyena śrutasyāpaśuśabdasya	go aSveByaH paSava" iti paSu Sabda sAmAnADikaraNyena Srutasya apaSu Sabdasya
   ghaṭādināmatvasyāpyanupapatteḥ pramāṇāntareṇaiva	Gawa Adi nAma tvasya api anupapatteH pramANa antareNa eva
   siddhatvātsaṃjñākaraṇavaiyarthayāpatteśca nāmatvāśaṅkāyā asaṃbhavena	sidDa tvAt saMjQA karaNa vEyarTayA ApatteH ca nAma tva ASaFkAyAH asaMBavena
   tāmupekṣyānyathānupapatteḥ paśupade paśukāryalakṣaṇāmaṅgīkṛtya	tAm upekzya ani aTA anupapatteH paSupade paSu kArya lakzaNAm aFgIkRtya
   gavāśvavyatiriktājādīnāṃ paryudāsaḥ pratiṣedho vā saṃbhāvanayā śaṅkyeta,	gavASva vyatirikta aja AdInAm paryudAsaH pratizeDaH vA saMBAvanayA SaFkyeta,
   tāmapi nirasyannarthavādatvaṃ smārayati ajādīnāmiti //	tAm api nirasi annarTa vAda tvam smArayati aja AdInAm iti //
   etena       nāmatvāsaṃbhave 'pi guṇavidhitvasaṃbhavāsaṃbhavavicāreṇa	etena      nAma tva asaMBave api guNa viDi tva saMBava asaMBava vicAreNa
   saṃgatiḥ sūcitā /	saMgatiH sUcitA /
   nahi vidheya eva guṇo vicāraviṣaya iti rājājñā; vidhiśabdasya	na hi viDeyaH eva guNaH vicAra vizayaH iti rAjA ajQA; viDi Sabdasya
   niṣedhopalakṣaṇatayā niṣedhyaguṇasamarpakatayāpi tadupapatteriti bhāvaḥ //	nizeDa upalakzaNa tayA nizeDya guNa samarpaka tayA api tat upapatteH iti BAvaH //
   (apaśuśabdasyārthavādatvopapādanam) tatra tatreti //	(a paSu Sabdasya arTa vAda tva upapAdanam) tatra tatra iti //
   "ajo 'gnīṣomīyaḥ" "sārasvatīṃ meṣīmi"tyādau vihitatvādeva	"ajaH agnIzomIyaH" "sArasvatIm mezIm i"ti AdO vihita tvAt eva
   niṣedhānupapatteravihite ca prāptyabhāvādeva tadasaṃbhavāt	nizeDa anupapatteH avihite ca prApti aBAvAt eva tad asaMBavAt
   kalpyaniṣedhānurodhena kḷptavidhīnāṃ pākṣikatvakalpanena vikalpasyāpi	kalpya nizeDa anuroDena k?pta viDInAm pAkzika tva kalpanena vikalpasya api
   satyāṃ gatāvannyāyyatvāt arthavādatvameva gavāśvapraśaṃsārthaṃ	satyAm gatAvat nyAyya tvAt arTavAda tvam eva gavASva praSaMsA arTam
   yuktamityarthaḥ //	yuktam iti arTaH //
   gavāśvavyatiriktānāmapaśukārye paśukārye tanniṣedhasya vā saṃbhave kā	gavA aSva vyatiriktAnAm apaSu kArye paSu kArye tad nizeDasya vA saMBave kA
   gatirityapekṣāyāmāha        apaśuśabdo hīti //	gatiH iti apekzAyAm Aha       apaSu SabdaH hi iti //
   (apaśuśabdasya gavāśvādigataprāśastyābhāvalakṣakatayā praśaṃsāyāḥ	(a paSu Sabdasya gavASvAdi gata prASastya aBAva lakzaka tayA praSaMsAyAH
   vidhyekavākyatayeva phalatvenāpyupapādanaṃ, praśaṃsābhāvaghaṭakatayā	viDi eka vAkyatayA iva Pala tvena api upapAdanan, praSaMsA BAva Gawaka tayA
   gauṇīnimittatvaṃ praśaṃsāyā iti nirūpaṇam) nañsamāsāntamapaśupadaṃ	gONI nimitta tvam praSaMsAyAH iti nirUpaNam) naQsamAsa antam apaSu padam
   ghaṭādivācakaṃ sadgavāśvavidhyekavākyatānurodhāt arthavāde 'pi ca paśavo	Gawa Adi vAcakam sat gava aSva viDi eka vAkyatA anuroDAt arTa vAde api ca paSavaH 
   goaśvā iti sāmānādhikaraṇyāt	goaSvAH iti sAmAnADikaraNyAt 
   ekasaṃbandhijñānenāparasaṃbandhismaraṇavidhayā	eka saMbanDi jQAnena apara saMbanDi smaraNa viDayA
   gavāśvagataprāśastyābhāvasya śakyārthaniṣṭhasyopasthāpakam /	gavA aSvagata prASastya aBAvasya Sakya arTa nizWasya upasTApakam /
   ataśca gavāśvagataprāśastyābhāvarūpaguṇayogenājādiṣu gauṇyā vṛttyopapanna	atas ca gavA aSvagata prASastya aBAva rUpa guNa yogena aja Adizu gONyAH vRttyA upapanna
   iti arthāt nahinindānyāyena vidheyagatāśvagataprāśastyāvagatiḥ sulabhā /	iti arTAt nahinindA nyAyena viDeya gata aSva gata prASastya avagatiH sulaBA /
   yadyapi arthavādasya gavāśvagataprāśastyalakṣaṇayāpyupapatterna	yadi api arTavAdasya gavA aSvagata prASastya lakzaNayA api upapatteH na
   tadgataprāśastyābhāvakathanasyopayogaḥ; tathāpi itaranindayā	tad gata prASastya aBAva kaTanasya upayogaH; taTA api itara nindayA
   vidheyotkarṣāpādakatvena phalībhūtastuteratiśaye upayogo nānupapannaḥ /	viDeya utkarza ApAdaka tvena PalIBUta stuteH atiSaye upayogaH na anupapannaH /
   ataeva paśuśabdasya nimittāntarāsaṃbhavena nimittatvenāśritāyā api	ataeva paSu Sabdasya nimitta antara asaMBavena nimitta tvena ASritAyAH api
   gavāśvagatapraśaṃsāyā vidhyekavākyatayeva phalatvenāpyāśrayaṇānna	gavA aSvagata praSaMsAyAH viDi eka vAkyatayA iva Pala tvena api ASrayaNAt na
   vaiyarthyaśaṅkāpi /	vEyarTya SaFkA api /
   yajamānaśabdetu kāryakaratvasyaiva guṇasya nimittatvāt tasyāḥ	yajamAna Sabdetu kArya kara tvasya eva guNasya nimitta tvAt tasyAH
   phalatvameveti viśeṣaḥ //	Pala tvam eva iti viSezaH //
   evañca praśaṃsābhāvarūpe guṇe vyāvartyamānatayā praśaṃsāyāḥ	evaQca praSaMsA BAva rUpe guNe vyAvartyamAna tayA praSaMsAyAH
   praviṣṭatvamādāyaiva sūtre praśaṃsāyā nimittāntaratvenopādānaṃ draṣṭavyam	pravizwa tvam AdAya eva sUtre praSaMsAyAH nimitta antara tvena upAdAnam drazwavyam
   yathāśrute gavāśvagatapraśaṃsāyāḥ śakyārthaghaṭādiguṇatvasyājādiguṇatvasya	yaTA aSrute gavA aSvagata praSaMsAyAH Sakya arTa Gawa Adi guNa tvasya aja Adi guNa tvasya
   vāsaṃbhavāt pratyuta vidheyagavāśvādipraśaṃsārthamanyeṣāṃ	vA asaMBavAt pratyuta viDeya gavASvAdi praSaMsA arTam anyezAm
   ajādīnāmaprāśastyasyaivāpekṣaṇācca guṇatānupapatteḥ /	aja AdInAm aprASastyasya eva apekzaNAt ca guNa tA anupapatteH /
   ataścāpaśuśabdo viśiṣṭa evātra gauṇaḥ //	atas ca apaSu SabdaH viSizwaH eva atra gONaH //
   (paśupadena praśastatālakṣaṇeti nyāyasudhākāramataṃ,	(paSu padena praSasta tA lakzaNa iti nyAya suDA AkAram ataM,
   tuśabdasūcitatadasvārasyanirūpaṇam) yattu       "gavāśvādigatāṃ	tuSabda sUcita tadasvArasya nirUpaNam) yat tu      "gavASu Adi gatAm
   pūrvamupādāya praśastatāṃ /	pUrvam upAdAya praSasta tAm /
   tadabhāvo 'nyapaśvādau nañsamāsena kathyate" iti vārtikasvārasyena	tad aBAvaH anya paSu AdO naQsamAsena kaTyate" iti vArtika svArasyena
   nyāyasudhākārādibhiḥ nañsamāsāvayavabhūtena paśuśabdena praśastatāṃ	nyAya suDA kAra AdiBiH naQsamAsa avayava BUtena paSu Sabdena praSasta tAm
   lakṣayitvā nañsamāsenānyapaśuṣu tadabhāvaḥ kathyata iti       	lakzayitvA naQsamAsena anya paSuzu tad aBAvaH kaTyate iti       
   pratipāditaṃ, tallakṣaṇayaiva tarhi apaśuśabdasya ghaṭādiṣvivājādiṣu	pratipAditaM, tad lakzaNayA eva tarhi apaSu Sabdasya Gawa Adizu ivAja Adizu
   pravṛttyupapatteḥ gauṇīvṛttyupapādanānupapatterayuktamiti darśitaṃ	pravRtti upapatteH gONI vRtti upapAdana anupapatteH ayuktam iti darSitam
   kaustubhe /	kOstuBe /
   yadyapi "paśavo go aśvā" iti paśutvakathanasya paśutve	yadi api "paSavaH gaH aSvA" iti paSutva kaTanasya paSutve
   satyevānupayogātpraśastatvalakṣaṇayā	sati eva anupayogAt praSasta tva lakzaNayA
   prayuktapaśupadārthavyatirekapraśastatvābhāvarūpa evāpaśuśabdāt pratīyeta;	prayukta paSu padArTa vyatireka praSasta tva aBAva rUpaH eva apaSu SabdAt pratIyeta;
   tathāpi gauṇīvṛttyupapādanāyaiva ekasaṃbandhismaraṇanyāyenaiva	taTA api gONI vRtti upapAdanAya eva eka saMbanDi smaraNa nyAyena eva
   tatpratītiḥ, natu lakṣaṇayā /	tad pratItiH, na tu lakzaNayA /
   tathāca prathamato 'paśuśabdena nañsamāsāntena śaktyaiva	taTA ca praTamatas apaSu Sabdena naQsamAsa antena SaktyA eva
   paśubhinnamarthamabhidhāya tanniṣṭhaguṇayogena paścāt	paSu Binnam arTam aBiDAya tad nizWa guNa yogena paScAt 
   gauṇatvamupapādanīyam /	gONa tvam upapAdanIyam /
   ataeva       apaśuśabdasya ghaṭādivācitvaṃ śāstradīpikoktaṃ saṃgacchate /	ataeva      apaSu Sabdasya Gawa Adi vAci tvam SAstra dIpikA uktam saMgacCate /
   imamevāsvarasaṃ tuśabdena sūcayannyāyasudhākārādidarśitamarthaṃ prācāṃ	imam eva asvarasam tuSabdena sUcayat nyAya suDA AkAra Adi darSitam arTam prAcAm
   matatvena darśayati         prācāṃ mate tviti //	mata tvena darSayati        prAcAm mate tu iti //
   (ayajñāsatnādyudāharaṇāntare praśaṃsāyā	(a yajQA satna Adi udAharaNa antare praSaMsAyA
   gauṇīnimittatvopapādanapūrvakopasaṃhāraḥ) evaṃ "ayajño vā eṣa yo 'sāme"	gONI nimitta tva upapAdana pUrva kopa saMhAraH) evam "a yajQaH vE eza yaH asAme"
   tyādau darśapūrṇamāsaprakaraṇapaṭhite yadyapi na	tyAdO darSa pUrNamAsa prakaraNa paWite yadi api na
   sāmavatkratusāmānādhikaraṇyaṃ, yena tadgataprāśastyamupasthitaṃ bhavet,	sAma vat kratu sAmAnADikaraNyan, yena tad gata prASastyam upasTitam Bavet ,
   tathāpyasāmatāparihārāya sāmasthānīyatayā	taTA api asAma tA parihArAya sAma sTAnIya tayA
   vihitāgneāyāhiityādividhyarthavāde sāmanvantaṃ	vihita AgneAya ahi itya Adi viDi arTa vAde sAmanvantam
   karotītyuktyopasthitasāmavatkratugata prāśastyābhāvarūpaguṇasya	karoti iti uktyA upasTita sAma vat kratu gata  prASastya aBAva rUpa guNasya
   ayajñādipadaśakyaghaṭādiniṣṭhasya yogāt svato yajñarūpeṣvapi	ayajQa Adi pada Sakya Gawa Adi nizWasya yogAt svatas yajQa rUpezu api
   darśapūrṇamāsādiṣu gauṇamayajñapadaṃ jñeyam /	darSa pUrNamAsa Adizu gONam aya jQa padam jQeyam /
   yattu        sāmavatkratuvidhyekavākyatayā tadupasthitirityuktaṃ       	yat tu       sAmavat kratu viDi eka vAkya tayA tad upasTitiH iti uktam       
   kaustubhe, tat darśapūrṇamāsaprakaraṇe paṭhitasyāsya	kOstuBe, tat darSa pUrNamAsa prakaraNe paWitasya asya
   kratvantaraikavākyatvābhāvāt udāharaṇāntaraviṣayaṃ jñeyam /	kratu antara eka vAkya tva aBAvAt udAharaNa antara vizayam jQeyam /
   "asatraṃ vā etadyadacchandoma" mityasyāyamarthaḥ /	"a satram vE etat yadat Candoma" miti asya ayam arTaH /
   caturviṃśobhavatītyanena vihitaḥ caturviṃśatistomako rathantarasāmā ukthya	caturviMSoBavati iti anena vihitaH caturviMSati stomakaH raTantara sAmAH ukTya
   ādyachandomaḥ /	Adya CandomaH /
   catuścatvāriṃśo bhavatī" tyanena vihitaścatuścatvāriṃśatstomako	catuScatvAriMSaH BavatI" tyanena vihitaH catuScatvAriMSat stomakaH 
   bṛhadrathantarasāmā ukthyo dvitīyachandomaḥ /	bRhat raTantara sAmAH ukTyaH dvitIya CandomaH /
   "aṣṭācatvāriṃśo bhavatī" tyanena vihito 'ṣṭācatvāriṃśatstomako bṛhatsāmā	"azwAcatvAriMSaH BavatI" tyanena vihitaH azwAcatvAriMSat stomakaH bRhatsAmA
   ukthyastṛtīyachandomaḥ /	ukTyaH tRtIya CandomaH /
   tataḥ stomagatasaṃkhyāsāmyena gāyatrītriṣṭupjagatīchandobhirmīyante	tatas stoma gata saMKyA sAmyena gAyatrI trizwuB jagatI CandoBiH mIyante
   paricchidyante stomā yatreti vyutpattyā chandomatvaṃ trayāṇāṃ yāgānāmiti	paricCidyante stomAH yatra iti vyutpattyA Candoma tvam trayANAm yAgAnAm iti
   te trayaśchandomā yatra santi tat satraṃ pañcadaśarātrādi praśastam /	te trayaH CandomAH yatra santi tat satram paQcadaSa rAtra Adi praSastam /
   yatratu caturdaśarātre ādye prāyaṇīyaṃ aharmadhye pṛṣṭhyaḥ	yatratu caturdaSa rAtre Adye prAyaNIyam ahar maDye pRzWyaH
   ṣaḍahīyānyānulomavilomatayā dvādaśadinānyete udayanīya ityevaṃ ahaḥ kḷptau	zaz ahIyAnyA anuloma viloma tayA dvAdaSa dinAni ete udayanIyaH iti evam ahar k?ptO
   madhye chandomānāmabhāvāt satrabhūto 'pi caturdaśarātraḥ	maDye CandomAnAm aBAvAt satra BUtaH api caturdaSa rAtraH
   satragatachandomakṛtaprāśastyābhāvādasatraṃ gauṇyā vṛttyā satrapadenocyate	satra gata Candoma kRta prASastya aBAvAt asatram gONyA vRttyA satra padena ucyate
   tena chandomarahitanindayā chandomarūpāvayavastutyā "ya evaṃ vidvāṃsaḥ	tena Candoma rahita nindayA Candoma rUpa avayava stutyAH "yaH evam vidvAMsaH
   pañcadaśarātramāsate" iti vihitapañcadaśarātrarūpāvayavistutiriti	paQcadaSa rAtra m Asate" iti vihita paQcadaSa rAtra rUpa avayavi stutiH iti
   draṣṭavyam /	drazwavyam /
   evaṃ svamate prācāṃ mate vā gavāśvagataprāśastyabodhanaprakārabhede 'pi	evam sva mate prAcAm mate vA gavA aSvagata prASastya boDana prakAra Bede api
   pratiyogividhayā praviṣṭāyāḥ praśaṃsāyā gauṇīnimittatve naiva vivāda	pratiyogi viDayA pravizwAyAH praSaMsAyAH gONI nimitta tve na eva vivAda
   ityabhipretyopasaṃharati          sarvatheti //	iti aBipretya upasaMharati         sarvaTA iti //
   iti tatsiddhipeṭikāyāṃ praśaṃsodāharaṇavicāraḥ //	iti tad sidDi pewikAyAm praSaMsA udAharaNa vicAraH //
                (pūrvodāharaṇena saṃgatinirūpaṇapūrvakaṃ	            (pUrva udAharaNena saMgati nirUpaNa pUrvakam
   sṛṣṭipadārthanirūpaṇapūrvakaṃ ca sṛṣṭiviśiṣṭopadhānavidhānamiti	sRzwi padArTa nirUpaNa pUrvakam ca sRzwi viSizwa upaDAna viDAnam iti
   bhāṣyakāramatopapādanam) pūrvatra vidhyantaraikavākyatvādinār'thavādatve	BAzya kAram ata upa pAdanam) pUrvatra viDi antara eka vAkya tva AdinAr aTavA Ada tve
   siddhe yatra na tattatra vidhitvasyaivānarthakyaparihārāya svīkāra iti	sidDe yatra na tat tatra viDi tvasya eva anarTakya parihArAya svIkAraH iti
   pratyudāharaṇadarśanena saṃgatiṃ pratyudāharaṇarūpāṃ sūcayan vidhāvapi	pratyudAharaNa darSanena saMgatim pratyudAharaNa rUpAm sUcayan viDO= api
   gauṇīvṛttinimittāntarakathanārthatvamadhikaraṇāntarasyeti	gONI vRtti nimitta antara kaTana arTa tvam aDikaraNa antarasya iti
   darśayitumudāharati         sṛṣṭīriti //	darSayitum udAharati        sRzwIH iti //
   yadyapi       atrārthavādatvāsaṃbhavena vidhāyakatve āvaśyake	yadi api      atra arTa vAda tva asaMBavena viDAyaka tve AvaSyake
   satyanupadhīyamānābhiriṣṭakābhiścayanasya kartumaśakyatveneṣṭakābhiragniṃ	sati anupaDIyamAnABiH izwakABiH cayanasya kartum aSakyatvena izwakABiH agnim
   cinuta iti vidhyanyathānupapattyaiva svarūpeṇeṣṭakāsaṃbandhitvena	cinutaH iti viDi anyaTA anupapattyA eva sva rUpeNa izwakA saMbanDi tvena
   copadhānasya prāptau guṇasaṃkrāntavidhiśaktikatayopadhānānuvādena	ca upaDAnasya prAptO guNa saMkrAnta viDi Saktika tayA upaDAna anuvAdena
   sṛṣṭipadārtha eva vidhātuṃ yuktaḥ, so 'pi ca neṣṭakārūpaḥ; iṣṭakānāṃ	sRzwi padArTaH eva viDAtum yuktaH, saH api ca na izwakA rUpaH; izwakAnAm
   sṛṣṭirūpatvānavagamāt, apitu sṛṣṭitanmātropadheyeṣṭakāsu sṛṣṭipadasya	sRzwi rUpa tva anavagamAt, apitu sRzwi tanmAtra upaDeya izwakAsu sRzwi padasya
   sṛṣṭimantraparasya lakṣaṇāmaṅgīkṛtyeṣṭakānāṃ sṛṣṭipadābhidheyatve 'pi	sRzwi mantra parasya lakzaNAm aFgIkRtya izwakAnAm sRzwi pada aBiDeya tve api
   kāsāmiṣṭakānāṃ sṛṣṭimantrairupadhānamiti viśeṣānavagamāt iṣṭakāsāmānyasya	kAsAmizwakAnAm sRzwi mantrEH upaDAnam iti viSezAn avagamAt izwakA sAmAnyasya
   ceṣṭakāvidhinaivopadhānasaṃbandhe prāpte tadviśeṣasya	ca izwakA viDinA eva upaDAna saMbanDe prApte tad viSezasya
   sutarāmupadhānasaṃbandhaprāpteḥ vidhānāyogāt pāriśeṣyāt "tisṛbhirastughata	sutarAm upaDAna saMbanDa prApteH viDAna ayogAt pAriSezyAt "tisRBiH astuGata
   brahmāsṛjyate" tyādisṛjidhātuyuktasṛṣṭiliṅgakamantrarūpa eva /	brahmA asRjyate" tyAdi sRji DAtu yukta sRzwi liFgaka mantra rUpaH eva /
   yattu prācīnaiḥ        "tadvānāsāmupadhāno mantra" iti "iṣṭakāsu luk ca	yat tu prAcInEH       "tadvAn AsAm upaDAnaH mantra" iti "izwakAsu luc ca
   mato" riti smṛtermatuplopena sṛṣṭyabhidhāyimantrairupadheyānāmiṣṭakānāṃ	mato" riti smRteH matu plopena sRzwi aBiDAyi mantrEH upaDeyAnAm izwakAnAm
   sṛṣṭipadavācyatvamupapāditam, tadayuktam; tathātve sanniyogaśiṣṭasya	sRzwi pada vAcya tvam upapAditam, tat ayuktam; taTAtve sanniyoga Sizwasya
   pratyayasya "ṛtavyā upadadhātī" tivanmatuplopena saha prāptyāpatteḥ /	pratyayasya "RtavyA upadaDAtI" tivat matu plopena saha prApti ApatteH /
   naca        eeevaṃ bhavanmate 'pi mantratvavivakṣāyāṃ matup durnivāra iti	na ca       eeevam Bavat mate api mantra tva vivakzAyAm matuB durnivAraH iti
          vācyam; matupprakaraṇena tasya lopāśrayaṇe yatpratyayalopasyāpi	      vAcyam; matupprakaraNena tasya lopa ASrayaNe yat pratyaya lopasya api
   chāndasatvenaivopapādanīyatve lāghavāt matupvidhereva	CAnda satvena eva upapAdanIya tve lAGavAt matupviDeH eva
   dṛṣṭānuvidhiśchandasīti sṛjivacanenānityatākalpanaucityādato lakṣaṇayaiva	dRzwa anuviDiH Candasi iti sRji vacanena anitya tA kalpa nOcityAt atas lakzaNayA eva
   strīliṅgānurodhāt sṛṣṭimantropadheyeṣṭakāparaḥ sṛṣṭiśabda ityevoktaṃ	strI liFga anuroDAt sRzwi mantra upaDeya izwakA paraH sRzwi SabdaH iti eva uktam
   kaustubhe /	kOstuBe /
   yattu atra liṅgaprakaraṇābhyāmevānyamantravadeṣo 'pi prāpta iti	yat tu atra liFga prakaraNAByAm eva anya mantravat ezaH api prAptaH iti
   prāptānyaparisaṅkhyāyāṃ	prAptAni aparisaFKyAyAm
   traidoṣyāpattiritaramantrāmnānavaiyarthyāpattiśceti śāstradīpikāyāmuktam,	trEdozya ApattiH itara mantrAmnAna vEyarTya ApattiH ca iti SAstra dIpikAyAm uktam,
   tanna; liṅgaprakaraṇakalpyaśruteḥ pūrvamevaitadvidhipravṛttyā phalataḥ	tat na; liFga prakaraNa kalpya SruteH pUrvam eva etat viDi pravRttyA PalataH
   parisaṅkhyāyāṃ traidoṣyāprasaktergrahaṇādiśeṣiparisaṅkhyārthatvenāpi	parisaFKyAyAm trEdozyA prasakteH grahaNa Adi Sezi parisaFKyA arTa tvena api
   punarvidhyupapatteścetaramantrāṇāmaikāntikopadhānaliṅgābhāveneṣṭakāgrahaṇādiviṣayatvena	punar viDi upapatteH ca itara mantrANAm EkAntika upaDAna liFga aBAvena izwakA grahaNa Adi vizaya tvena
   sārthakyasaṃbhavācca /	sArTakI asaMBavAt ca /
   ataḥ sṛṣṭimantravidhāyakatvena vidhyupapatterna vidhau	atas sRzwi mantra viDAyaka tvena viDi upapatteH na viDO
   gauṇīlakṣaṇāpādakamasṛṣṭimantraparatvamāśrayaṇīyam; tathāpi        ubhayoḥ	gONI lakzaNa ApAdakam asRzwi mantra para tvam ASrayaNIyam; taTA api       uBayoH
   dhātvarthopapadārthayoḥ saṃbhavatprāptikatve	DAtu arTa upapadArTayoH saMBavat prAptika tve
   bhāvārthādhikaraṇanyāyenākṣepataḥ pūrvaṃ prayojanāntarārthaṃ yuktaṃ	BAva arTa aDikaraNa nyAyena AkzepataH pUrvam prayojana antara arTam yuktam
   dhātvarthasyaiva vidhānaṃ ityabhipretya bhāṣyakārīyaṃ siddhāntamevāha	DAtu arTasya eva viDAnam iti aBipretya BAzya kArIyam sidDAntam eva Aha
            tatra ceti //	        tatra ca iti //
   (upadhānavidhānaprayojananirūpaṇam)	(upaDAna viDAna prayojana nirUpaNam)
   pūrvoktamantravidhipūrvapakṣanirāsasūcaka evakāraḥ /	pUrva ukta mantra viDi pUrva pakza nirAsa sUcakaH eva kAraH /
   arthaprāptasyāpyupadhānasyeṣṭakāsādhyatvena	arTa prAptasya api upaDAnasya izwakA asADya tvena
   tatsaṃskāratvāsaṃbhavāttadarthaṃ punarvidhānamityāha        	tad saMskAra tva asaMBavAt tad arTam punar viDAnam iti Aha        
   iṣṭakāsaṃskārārthatveneti //	izwakA saMskAra arTa tvena iti //
   nanu pradhānabhede 'pi prayogavidhyavagatasāhityanirvāhārthaṃ yathāśakti	nanu praDAna Bede api prayoga viDi avagata sAhiti a nirvAha arTam yaTASakti
   pātrābhimarśanavatsamuditopadhānameva yuktamityāśaṅkya	pAtra aBimarSana vat samudita upaDAnam eva yuktam iti ASaFkya
   tannirāsāyāniṣṭāpādanena prayojanāntaramāha      ārthikatvācceti //	tad nirAsAya anizwa ApAdanena prayojana antaram Aha     ArTika tvAt ca iti //
   tadevāha         satitviti //	tat eva Aha        satitu iti //
   vyūhaviśeṣeṇopasthānarūpopadhānasyārthikatve vihitatvarūpāṅgatvasya	vyUha viSezeNa upasTAna rUpa upaDAnasya arTika tve vihita tva rUpa aFga tvasya
   kṛṣyādivadabhāvāccayane adhvaryukartṛtvena samānakartṛkatvasya	kRzi Adi vat aBAvAt cayane aDvaryu kartR tvena samAna kartRka tvasya
   cānyakṛtenāpi sandhukṣaṇādinā devadatte	ca anya kRtena api sanDukzaNa AdinA devadatte
   pākakartṛtvasyevehāpyavāntaravyāpārarūpopadhānasyānya  kṛtatve 'pi cayane	pAka kartR tvasya iva iha api avAntara vyApAra rUpa upaDAnasya anya kRta tve api cayane
   adhvaryukartṛkatvopapatterniyamenādhvaryukartṛtvāprāpteraṅgatvena	aDvaryu kartRka tva upapatteH niyamena aDvaryu kartR tva aprApteH aFga tvena
   vidhānamāvaśyakam /	viDAnam AvaSyakam /
   tataścāṅga  pradhānayorekakartṛtvāttatsiddhiḥ /	tatas ca aFga praDAnayoH eka kartR tvAt tad sidDiH /
   ataevaprathanādividherivādhvaryavasamākhyāviṣayatāsiddhidvārādhvaryukartṛtvasiddhirapi	ataeva praTana Adi viDeH iva aDvaryavasam AKyA vizayatA sidDi dvAra aDvaryu kartR tva sidDiH api
   naiva prayojanam /	na eva prayojanam /
   cayanasamānakartṛtvādeva tallābhāt, ataścayanasamānakartṛtvasiddhireva	cayana samAna kartR tvAt eva tad lABAt, atas cayana samAna kartR tva sidDiH eva
   prayojanamityarthaḥ //	prayojanam iti arTaH //
   (sṛṣṭipadena sṛṣṭyasṛṣṭimantragrahaṇaprakāranirūpaṇam) sṛṣṭipadaṃ ca	(sRzwi padena sRzwi asRzwi mantra grahaNa prakAra nirUpaNam) sRzwi padam ca
   yadyapi viśeṣyāṃśenoddeśyasamarpakaṃ sṛṣṭimantrāṃśenānuvādakam, te ca	yadi api viSezya aMSena uddeSya samarpakam sRzwi mantra aMSena anuvAdakam, te ca
   mantrāḥ "sṛṣṭīrupadadhātī"tyupakramyai "kayāstuvata prajā adhīyante"	mantrAH "sRzwIH u pada DAtI"ti upakramyE "kayA astuvata prajAH aDIyante"
   tyādinā saptadaśa paṭhitāḥ /	tyAdinA saptadaSa paWitAH /
   tatra "tisṛbhirastuvata brahmāsṛjyata" ityādinā sṛjidhātuyogenāmnātānāṃ	tatra "tisRBiH astuvata brahmA asRjyata" ityAdinA sRjiDA tu yogena AmnAtAnAm
   caturdaśamantrāṇāṃ sṛṣṭiliṅgatvena yathā sannidhānasahakṛtāt	caturdaSa mantrANAm sRzwi liFga tvena yaTA sanniDAna sahakRtAt 
   liṅgādavagatāṅgabhāvānāṃ prāptatvāt anuvādastathaiva	liFgAt avagata aFga BAvAnAm prApta tvAt anuvAdaH taTA eva
   "saprajāpatiradhipatirāsītsaptaviṃśatyāstuvata dyāvāpṛthivyā aitāṃ vasavo	"sa prajApatiH aDipatiH AsIt saptaviMSatyA astuvata dyAvApRTivyAH EtAm vasavaH 
   rudrā ādityā anuvyāyaṃsteṣāmādhipatyamāsīttrayastriṃśatāstuvata	rudrAH AdityAH anuvyAyan= tezAm ADipatyam AsIt trayastriMSatA astuvata
   bhūtānyaśāmyan prajāpatiḥ parameṣṭhyadhipatirāsīt" iti	BUtAni aSAmyan prajApatiH paramezWI aDipatiH AsIt" iti
   trayāṇāmādyasaptadaśamantrāṇāṃ "yatsaptadaśeṣṭakā upadadhātī"ti	trayANAm Adya saptadaSa mantrANAm "yat saptadaSa izwakAH upadaDAtI"ti
