   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   !{826}! KūrmaP: asmābhiḥ sarva evaite gantāro narakān api.	!{826}! KUrma P: asmABiH sarve eva ete gantAraH narakAn api.
   !{827}! KūrmaP: tasmād dhi vedabāhyānāṃ rakṣaṇārthāya pāpinām.	!{827}! KUrma P: tasmAt Di veda bAhyAnAm rakzaNa arTAya pApinAm.
   !{828}! KūrmaP: vimohanāya śāstrāṇi kariṣyāmo vṛṣadhvaja.	!{828}! KUrma P: vimohanAya SAstrANi karizyAmaH vRzaDvaja.
   !{829}! KūrmaP: evaṃ saṃbodhito rudro mādhavena murāriṇā.	!{829}! KUrma P: evam saMboDitaH rudraH mADavena murAriNA.
   !{830}! KūrmaP: kāpālaṃ nākulaṃ vāmaṃ.	!{830}! KUrma P: kApAlam na Akulam vAmaM.
   !{831}! DHN[T] 621 mit KūrmaP: pañcarātraṃ pāśupataṃ.	!{831}! DHN[T] 621 mid KUrmaP: paQca rAtram pASupataM.
   !{832}! Anmerkung in Devanāgarī Text: tad devān   teṣu śāstreṣu	!{832}! AnmeH kunj id Deva nAgarI  Text: tat devAn  tezu SAstrezu
   paratvenoktān devān ity arthaḥ.	paratvena uktAn devAn iti arTaH.
   !{833}! KūrmaP: sṛṣtvā tān āha nirvedāḥ kurvāṇāḥ śāstracoditam.	!{833}! KUrma P: sRztvA tAn Aha nirvedAH kurvANAH SAstra coditam.
   !{834}! DHN[T] 622: nindakās.	!{834}! DHN[T] 622: nindakAs.
   !{835}! DHN[T] 622: smṛ(śśru)tiprokta.	!{835}! DHN[T] 622: smR(SSru)ti prokta.
        [pāñcarātramārgānusāriṇāṃ śrautasmārtabāhyatvam]	[pAQcarAtra mArga anusAriNAm SrOta smArta bAhya tvam]
   [109.1]     bhayaṃ durbalacittānāṃ maraṇe jāyate bhṛśam /	[109.1]     Bayam durbala cittAnAm maraNe jAyate BRSam /
   [109.2]     teṣām evābhirakṣārthaṃ tad ahaṃ tantram uktavān // [SāmbaP]	[109.2]     tezAm eva aBirakzA arTam tat aham tantram uktavAn // [SAmbaP]
   [109.3]     pāñcarātraṃ bhāgavataṃ tantraṃ sāttvatanāmakam /	[109.3]     pAQcarAtram BAgavatam tantram sAttvata nAmakam /
   [109.4]     vedabhraṣṭān samuddiśya kamalāpatir abravīt //*{836}*" iti	[109.4]     veda BrazwAn samuddiSya kamalA patiH abravIt //*{836}*" iti
   [SāmbaP]	[SAmbaP]
   [109.5]     anyatra: "athāṃśoḥ sāttvato nāma viṣṇubhaktaḥ pratāpavān /	[109.5]     anyatra: "aTa aMSoH sAttvataH nAma vizNu BaktaH pratApavAn /
   [109.6]     mahātmā dānanirato dhanurvedavidāṃ varaḥ //	[109.6]     mahAtmA dAna nirataH Danurveda vidAm varaH //
   [109.7]     sa nāradasya vacanād vāsudevārcane rataḥ /	[109.7]     sa nAradasya vacanAt vAsudeva arcane rataH /
   [109.8]     śāstraṃ pravartayāmāsa kuṇḍagolādibhiḥ śritam //	[109.8]     SAstram pravartayAmAsa kuNxa gola AdiBiH Sritam //
   [109.9]     tasya nāmnā tu vikhyātaṃ sāttvataṃ nāma śobhanam /	[109.9]     tasya nAmnA tu viKyAtam sAttvatam nAma SoBanam /
   [109.10]     pravartate mahacchāstraṃ kuṇḍādīnāṃ hitāvaham //" iti	[109.10]     pravartate mahat SAstram kuNxa AdInAm hita Avaham //" iti
   [109.11]     vāsiṣṭhe: "bṛddhaśāvaka nirgandhāḥ pāñcarātravido janāḥ	[109.11]     vAsizWe: "bRdDa SAvaka nirganDAH pAQcarAtra vidaH janAH
   [109.12]     kāpālikāḥ pāśupatāḥ pāṣaṇḍā ye ca tadvidhāḥ // [VāsiṣṭhaDhŚ ]	[109.12]     kApAlikAH pASupatAH pAzaNxAH ye ca tadviDAH // [VAsizWaDhŚ ]
   [109.13]     yasyāśnanti havīṃśy ete durātmānas tu tāmasāḥ /	[109.13]     yasya aSnanti havIMSi ete durAtmAnaH tu tAmasAH /
   [109.14]     na tasya tad bhavec chāstraṃ pretyeha ca na tatphalam //"	[109.14]     na tasya tat Bavet SAstram pretya iha ca na tad Palam //"
   iti. [VāsiṣṭhaDhŚ ]	iti. [VAsizWaDhŚ ]
   [109.15]     laiṅge   navamādhyāye yugadharme	[109.15]     lEFge  navamADyAye yuga Darme
   [109.16]     "aṅkitāś ca bhaviṣyanti devatāyudhalāñchanaiḥ /	[109.16]     "aFkitAH ca Bavizyanti devatA AyuDa lAQCanEH /
   [109.17]     nārāyaṇam aśṛṇvanti yugānte samupasthite // [LiṅgaP]	[109.17]     nArAyaNam aSRNvanti yuga ante samupasTite // [LiFga P]
   [109.18]     anyāni yāni karmāṇi śrautāni munisattama /	[109.18]     anyAni yAni karmANi SrOtAni muni sattamaH /
   [109.19]     smārtāni nācariṣyanti kalau brahman*{838}* narās sadā //	[109.19]     smArtAni na Acarizyanti kalO brahman*{838}* narAH sadA //
   [LiṅgaP]	[LiFga P]
   [109.20]     āmnāyaṃ dharmaśāstrañ ca purāṇaṃ bhārataṃ mune /	[109.20]     AmnA ayam Darma SAstran ca purANam BAratam mune /
   [109.21]     alpamātram iti brahman*{839}* vadiṣyanti kalau yuge //	[109.21]     alpa mAtram iti brahman*{839}* vadizyanti kalO yuge //
   [LiṅgaP]	[LiFga P]
   [109.22]     na kuryuḥ śrautakarmāṇi śraddhayā munisattama /	[109.22]     na kuryuH SrOta karmANi SradDayA muni sattamaH /
   [109.23]     svadharme rucitā nāsti brāhmaṇānāṃ kalau yuge // [LiṅgaP]	[109.23]     svaDarme rucitA na asti brAhmaNAnAm kalO yuge // [LiFga P]
   [109.24]     pāñcarātraṃ praśaṃsanti kecid bhāgavataṃ mune /	[109.24]     pAQcarAtram praSaMsanti kecid BAgavatam mune /
   [109.25]     kecit kāpālam icchanti kecit pāśupataṃ mune // [LiṅgaP]	[109.25]     kecid kApAlam icCanti kecid pASupatam mune // [LiFga P]
   !{836}! DHN[T] 622: uktavān.	!{836}! DHN[T] 622: uktavAn .
   !{837}! DHN[T] 623: buddhaśāpakanirdhandhāḥ nirgandhāḥ pañcarātravido	!{837}! DHN[T] 623: budDa SApaka nirDanDAH nirganDAH paQca rAtra vidaH 
   janāḥ.	janAH.
   !{838}! DHN[T] 623: brahmān.	!{838}! DHN[T] 623: brahmAn.
   !{839}! DHN[T] 624: brahmān.	!{839}! DHN[T] 624: brahmAn.
        [cakrāṅkanasya bhāvanārūpeṇaiva kartavyatā]	[cakra aFkanasya BAvanA rUpeNa eva kartavyatA]
   [110.1]     kecid bauddhaṃ praśaṃsanti kecid daigambaraṃ tathā /	[110.1]     kecid bOdDam praSaMsanti kecid dEgambaram taTA /
   [110.2]     kecil lokāyataṃ brahman*{840}* kecit saumaṃ*{841}* mahāmune //	[110.2]     kecid lokAyatam brahman*{840}* kecid sOmaM*{841}* mahA mune //
   [LiṅgaP]	[LiFga P]
   [110.3]     lākulaṃ kecid icchanti tathā kecit tu bhairavam /	[110.3]     lAkulam kecid icCanti taTA kecid tu BEravam /
   [110.4]     kecid vāmaṃ praśaṃsanti kecic chāktaṃ tathaiva ca // [LiṅgaP]	[110.4]     kecid vAmam praSaMsanti kecid SAktam taTA eva ca // [LiFga P]
   [110.5]     śāmbhavaṃ kecid icchanti yāmalaṃ bhuvi kecana /	[110.5]     SAmBavam kecid icCanti yAmalam Buvi kecana /
   [110.6]     anyāni yāni śāstrāṇi viruddhāni mahāmune // [LiṅgaP]	[110.6]     anyAni yAni SAstrANi virudDAni mahA mune // [LiFga P]
   [110.7]     tīrthavikrayiṇaḥ kecid devavikrayiṇaḥ pare /	[110.7]     tIrTa vikrayiNaH kecid deva vikrayiNaH pare /
   [110.8]     kṣīravikrayiṇaḥ kecid ājyavikrayiṇaḥ pare // [LiṅgaP]	[110.8]     kzIra vikrayiNaH kecid Ajya vikrayiNaH pare // [LiFga P]
   [110.9]     māṃsavikrayiṇaḥ kecit surāvikrayiṇaḥ pare /	[110.9]     mAMsa vikrayiNaH kecid surA vikrayiNaH pare /
   [110.10]     putravikrayiṇaḥ kecid dāravikrayiṇaḥ pare // [LiṅgaP]	[110.10]     putra vikrayiNaH kecid dAra vikrayiNaH pare // [LiFga P]
   [110.11]     bhartṛvikrayiṇaḥ kecid bhaviṣyanti kalau narāḥ //" iti	[110.11]     BartR vikrayiNaH kecid Bavizyanti kalO narAH //" iti
   [LiṅgaP]	[LiFga P]
   [110.12]     ataḥ pāñcarātoktaṃ taptacakradhāraṇaṃ*{842}* sarvasādhāraṇaṃ	[110.12]     atas pAQcarAta uktam tapta cakra DAraNaM*{842}* sarva sADAraNam
   na bhavantīti siddham.*{843}*	na Bavanti iti sidDam .*{843}*
   [110.13 16]     atha yad uktaṃ sarvasādhāraṇaṃ na bhavatīti tan	[110.13 16]     aTa yat uktam sarva sADAraNam na Bavati iti tat 
   nopapadyate   ātharvaṇe "cakraṃ bibharti vapuṣābhitaptaṃ balaṃ	na upapadyate  ATarvaNe "cakram biBarti vapuzA aBitaptam balam
   devānāmamitasya viṣṇoḥ. sa eti nākaṃ duritā vidhūya prayānti yadyatayo	devAnAm amitasya vizNoH. saH eti nAkam duritAH viDUya prayAnti yat yatayaH 
   vītarāgāḥ, "caraṇaṃ pavitraṃ vitataṃ purāṇaṃ"*{844}* ityādi śrutibhiḥ	vIta rAgAH, "caraNam pavitram vitatam purANaM"*{844}* ityAdi SrutiBiH
   sarvasādhāraṇatvena śrūyamāṇatvāt iti cet   na.	sarva sADAraNa tvena SrUyamANa tvAt iti ced  na.
   [110.17 20]     taptacakradhāraṇe prāyaścittavidhānāt. ataḥ	[110.17 20]     tapta cakra DAraNe prAyaScitta viDAnAt. atas 
   yathoktamārgeṇa bhāvanārūpeṇaiva cakrāṅkanaṃ na tu taptarūpeṇa.	yaTA ukta mArgeNa BAvanA rUpeNa eva cakra aFkanam na tu tapta rUpeNa.
   sarvasādhāraṇaśrutis tu vaikhānasetaraviṣayā*{845}*. "yasya me śriyam"	sarva sADAraNa SrutiH tu vEKAnasa itara vizayA*{845}*. "yasya me Sriyam"
   ityādi śrutyavirodhena arthavyavasthāyāḥ kāryatvāt. ataḥ taptacakrāṅkanaṃ	ityAdi Sruti aviroDena arTa vyavasTAyAH kArya tva at. atas tapta cakra aFkanam
   sarvasādhāraṇaṃ na bhavati.	sarva sADAraNam na Bavati.
   [110.21]     kiñ ca: "yatra śāstragatir bhinnā sarvakarmasu bhārata /	[110.21]     kiQ ca: "yatra SAstra gatiH BinnA sarva karmasu BArata /
   [110.22]     udite 'nudite caiva homabhede yathā bhavet /	[110.22]     udite anudite ca eva homa Bede yaTA Bavet /
   [110.23]     sa garīyān mahābāho sarvaśāstroditād api //"	[110.23]     sa garIyAn mahA bAho sarva SAstra uditAt api //"
   [110.24]     iti sumantusmaraṇāc ca vyavasthitavikalpotra vaktavyaḥ.	[110.24]     iti sumantu smaraNAt ca vyavasTita vikalpotra vaktavyaH.
   !{840}! DHN[T] 624: brahmān.	!{840}! DHN[T] 624: brahmAn.
   !{841}! DHN[T] 624: somaṃ.	!{841}! DHN[T] 624: somaM.
   !{842}! DHN[T] 625: pañcarātoktaṃ taptacakrāṅkaṇaṃ.	!{842}! DHN[T] 625: paQca rAta uktam tapta cakra aFkaNaM.
   !{843}! DHN[T] 625 om. siddham.	!{843}! DHN[T] 625 om. sidDam.
   !{844}! DHN[T] 625 om. vitataṃ purāṇaṃ.	!{844}! DHN[T] 625 om. vitatam purANaM.
   !{845}! DHN[T] 626 ins. kutaḥ.	!{845}! DHN[T] 626 ins. kutas .
        [viṣṇor eva saṃhārakartṛtvam]	[vizNoH eva saMhAra kartR tvam]
   [111.1 2]     kiñca brahmarudrādīnām api saṃhārakartā harir eveti śrūyate.	[111.1 2]     kiQca brahma rudra AdInAm api saMhAra kartA hariH eva iti SrUyate.
   yajuṣi   hariṃ harantam anuyanti devāḥ viśvasyeśānaṃ*{846}* vṛṣabhaṃ	yajuzi  harim harantam anuyanti devAH viSvasya ISAnaM*{846}* vRzaBam
   matīnām" iti.ab hier Telugu überprüfen	matI nAm" iti.ap hieH Telu gu übeH prüfet 
        [viṣṇukartṛkarudropāsanasya kāraṇam]	[vizNu kartRka rudra upAsanasya kAraNam]
   [111.3]     brahmapurāṇe: "brahmāṇam indraṃ rudrañ ca yamaṃ varuṇam eva ca	[111.3]     brahma purANe: "brahmANam indram rudran ca yamam varuNam eva ca
   [111.4]     nigṛhyāharate yasmāt tasmād dharir ihocyate // [Brahma.P ]	[111.4]     nigRhya Aharate yasmAt tasmAt DariH iha ucyate // [Brahma.j ]
   [111.5]     brahmā śambhus tathaivārkaś candramāś ca śatakratuḥ /	[111.5]     brahmA SamBuH taTA eva arkaH candramAH ca SatakratuH /
   [111.6]     evam ādyās tathaivānye yuktā vaiṣṇavatejasā // [Brahma.P ]	[111.6]     evam AdyAH taTA eva anye yuktAH vEzNava tejasA // [Brahma.j ]
   [111.7]     jagatkāryāvasāne tu viyujyante ca tejasā /	[111.7]     jagat kArya avasAne tu viyujyante ca tejasA /
   [111.8]     tejasaś caiva te sarve pañcatvam upayānti ca//" iti [BrahmaP ]	[111.8]     tejasaH ca eva te sarve paQcatvam upayAnti ca//" iti [BrahmaP ]
   [111.9 14]     nanu   "hariṃ harantaṃ" iti pūrvopāttayajuṣi	[111.9 14]     nanu  "harim harantaM" iti pUrva upAttaya juzi
   īśānaśabdaśravaṇāt rudra eva saṃhārakarteti śrūyate iti cet   tad asat.	ISAna Sabda SravaNAt rudraH eva saMhAra kartA iti SrUyate iti ced  tat asat.
   tatra "viśvasyeśāna," iti jaganniyāmakatvam ucyate. bis hier telugu noch	tatra "viSvasya ISAna," iti jagat niyAmaka tvam ucyate. biH hieH telugu na uC
   überprüfentathā ca "patiṃ viśrasyātmeśvara," itivat nārāyaṇa eva atra	überprüfet taTA ca "patim viSrasya Atma ISvara," iti vat nArAyaNaH eva atra
   pratipādyaḥ. "asyeśānā jagato viṣṇupatnī" sa hariḥ suvittamaḥ, "perur	pratipAdyaH. "asya ISAnA jagataH vizNu patnI" sa hariH su vittamaH, "peruH 
   indrāya pinvata" "virāḍ asi", "bṛhatī śravasīndrapatnī dharmapatnī", "sa	indrAya pinvata" "virAj asi", "bRhatI Sravasi indra patnI Darma patnI", "sa
   brahmā sa śivas sendraḥ", ityādi śrutayotra vibhāvanīyāḥ.	brahmA sa SivaH sa indraH", ityAdi Srutayotra viBAvanIyAH.
   [111.15]     nanu kaurme aṣṭamādhyāye   rāmāyaṇasaṃkṣepe:	[111.15]     nanu kOrme azwama aDyAye  rAmAyaNa saMkzepe:
   [111.16]     "sa kṛtvā vānaraśataiḥ laṅkādvāraṃ mahodadhau //*{847}*	[111.16]     "sa kRtvA vAnara SatEH laFkA dvAram mahA udaDO //*{847}*
   [KūrmaP 21.44cd]	[KUH maP 21.44cd]
   [111.17]     setuṃ paramadharmātmā rāvaṇaṃ hatavān prabhuḥ //" [KūrmaP	[111.17]     setum parama Darma AtmA rAvaNam hatavAn praBuH //" [KUrmaP
   21.45ab]	21.45ab]
   [111.18]     iti rāvaṇavadhādikaṃ pratipādya:	[111.18]     iti rAvaNa vaDa Adikam pratipAdya:
   [111.19]     "setumadhye mahādevam īśānaṃ kṛttivāsasam // [KūrmaP 21.46cd]	[111.19]     "setu maDye mahAdevam ISAnam kRttivAsasam // [KUH maP 21.46cd]
   [111.20]     sthāpayāmāsa liṅgasthaṃ pūjayāmāsa rāghavaḥ /	[111.20]     sTApayAmAsa liFga sTam pUjayAmAsa rAGavaH /
   [111.21]     tasya devo mahādevaḥ pārvatyā saha śaṅkaraḥ // [KūrmaP 21.47]	[111.21]     tasya devaH mahAdevaH pArvatyA saha SaFkaraH // [KUrmaP 21.47]
   [111.22]     pratyakṣam eva bhagavān dattavān varam uttamam /" [KūrmaP	[111.22]     pratyakzam eva BagavAn dattavAn varam uttamam /" [KUrmaP
   21.48ab]	21.48ab]
   !{846}! DHN[T] 702: viśvasyeśāniṃ.	!{846}! DHN[T] 702: viSvasya ISA niM.
   !{847}! KūrmaP: kṛtvātha vānaraśatair laṅkāmārga mahodadheḥ.	!{847}! KUrma P: kRtvA aTa vAnara SatEH laFkA mArga mahA udaDeH.
        [rudrasya varadātṛtvaṃ viṣṇuprasādalabdham]	[rudrasya vara dAtR tvam vizNu prasAda labDam]
   [112.1 2]     iti bhagavate rudropāsanam ucyate iti cet   satyam. rudrasya	[112.1 2]     iti Bagavate rudra upAsanam ucyate iti ced  satyam. rudrasya
   tad api bhagavadvaraprasādalabdham. evaṃ hi vārāhe prāgitihāse rudragītāsu	tat api Bagavat vara prasAda labDam. evam hi vArAhe prAk itihAse rudragItAsu
   ucyate, yathā  	ucyate, yaTA  
   [112.3]     agastyaṃ prati rudraḥ:	[112.3]     agastyam prati rudraH:
   [112.4]     "brahmaṇāhaṃ purā sṛṣṭaḥ proktaḥ sṛja iti prajāḥ /	[112.4]     "brahmaNA aham purA sRzwaH proktaH sRjaH iti prajAH /
   [112.5]     avijñātāsamartho 'haṃ nimagnassalile dvija //" ity ārabhya	[112.5]     avijQAtA samarTaH aham nimagna H salile dvijaH //" iti AraBya
   [VarāhaP]	[VarAha P]
   [112.6 7]     jalamadhye kālamedhasaṅkāśaḥ atiśobhanaḥ puṇḍarīkākṣaḥ	[112.6 7]     jala maDye kAla meDa saFkASaH ati SoBanaH puNxarIkAkzaH
   kaścit puruṣo rudreṇa dṛṣṭaḥ kastvam iti rudreṇa pṛṣṭasya tasya	kaScid puruzaH rudreNa dRzwaH kaH tvam iti rudreNa pRzwasya tasya
   prativacanam:	prativacanam:
   [112.8]     "ahaṃ nārāyaṇo devo jalaśāyī sanātanaḥ /	[112.8]     "aham nArAyaNaH devaH jalaSAyI sanAtanaH /
   [112.9]     divyaṃ cakṣur bhavatu te tena māṃ paśya yatnataḥ //" iti	[112.9]     divyam cakzuH Bavatu te tena mAm paSya yatnataH //" iti
   pratipādya [VarāhaP]	pratipAdya [VarAha P]
   [112.10]     "evam uktas tadā tena yāvat paśyāmm*{848}* ahaṃ tanum /	[112.10]     "evam uktaH tadA tena yAvat paSyAmm*{848}* aham tanum /
   [112.11]     tāvad aṅguṣṭhamātran tu jvaladbhāskaratejasam // [VarāhaP]	[112.11]     tAvat aFguzWa mAtran tu jvalat BAskara tejasam // [VarAha P]
   [112.12]     tam evāhaṃ prapaśyāmi tasya nābhau tu paṅkajam /	[112.12]     tam eva aham prapaSyAmi tasya nABO tu paFkajam /
   [112.13]     brahmāṇaṃ tatra paśyāmi hy ātmānañ ca tadaṅkataḥ // [VarāhaP]	[112.13]     brahmANam tatra paSyAmi hi AtmAnan ca tad aFkataH // [VarAha P]
   [112.14]     evaṃ dṛṣṭvā mahātmānaṃ tato harṣam upāgataḥ /	[112.14]     evam dRzwvA mahAtmAnam tatas harzam upAgataH /
   [112.15]     taṃ stotuṃ dvijaśārdūla matir me samajāyata //" [VarāhaP]	[112.15]     tam stotum dvija SArdUla matiH me samajAyata //" [VarAha P]
   [112.16 17]     ity upakramya mahatstotram uktvā ante rudreṇa bhagavantaṃ	[112.16 17]     iti upakramya mahat stotram uktvA ante rudreNa Bagavantam
   pratyabhīṣṭanivedanaṃ pratipāditam. yathā:	pratyaBIzwa nivedanam pratipAditam. yaTA:
   [112.18]     "iti stuto me bhagavannanāde juṣasva bhaktasya viśeṣataś ca /	[112.18]     "iti stutaH me Bagavan= anAde juzasva Baktasya viSezataH ca /
   [112.19]     sṛṣṭiṃ sṛjasveti tu coditasya sarvajñatāṃ dehi namo 'stu	[112.19]     sRzwim sRjasva iti tu coditasya sarvajQa tAm dehi namaH astu
   viṣṇo //" iti [VarāhaP]	vizNo //" iti [VarAha P]
   [112.20]     evaṃ stotre parisamāpite	[112.20]     evam stotre parisamApite
   [112.21]     "varaṃ varava bhadraṃ te devadeva umāpate //" [VarāhaP]	[112.21]     "varam varava Badram te devadevaH umApate //" [VarAha P]
   [112.22]     iti bhagavatā niyuktaḥ rudra:	[112.22]     iti BagavatA niyuktaH rudra:
   [112.23]     "brahmaṇā cāham uktas tu prajās sṛja iti prabho /	[112.23]     "brahmaNA ca aham uktaH tu prajAH sRjaH iti praBo /
   [112.24]     tatra jñānaṃ prayacchasva trividhaṃ bhūtabhāvana //" iti	[112.24]     tatra jQAnam prayacCasva triviDam BUta BAvanaH //" iti
   prārthayāmāsa. [VarāhaP]	prArTayAmAsa. [VarAha P]
   !{848}! Lies: paśyāmy.	!{848}! Lies: paSyAmi .
        [viṣṇoḥ śarabharūparudrādisaṃhārakatvam]	[vizNoH SaraBa rUpa rudra Adi saMhAraka tvam]
   [113.1]     tadā śrībhagavān:	[113.1]     tadA SrI BagavAn :
   [113.2]     "sarvajñas tvaṃ na sandeho jñānarāśisanātanaḥ /	[113.2]     "sarvajQaH tvam na sandehaH jQAna rASi sanAtanaH /
   [113.3]     devānāñ ca sadā pūjyaḥ sarvadā tvaṃ bhaviṣyasi // [VarāhaP.]	[113.3]     devAnAn ca sadA pUjyaH sarvadA tvam Bavizyasi // [VarAha P.]
   [113.4]     evam ukte punarvākyam uvācomāpatir mudā /	[113.4]     evam ukte punar vAkyam uvAca umApatiH mudA /
   [113.5]     anyaṃ dehi varaṃ deva prasiddhaṃ sarvajantuṣu // [VarāhaP]	[113.5]     anyam dehi varam deva prasidDam sarva jantuzu // [VarAha P]
   [113.6]     martyo bhūtvā bhavān eva māmārādhaya keśava /	[113.6]     martyaH BUtvA BavAn eva mAm ArADaya keSava /
   [113.7]     māṃ vahasya ca deveśa varaṃ matto gṛhāṇa ca // [VarāhaP.]	[113.7]     mAm vahasya ca deveSa varam mattaH gRhANa ca // [VarAha P.]
   [113.8]     yenāhaṃ sarvadevānāṃ pūjyāt pūjyataro 'bhavat //" iti punaḥ	[113.8]     yena aham sarva devAnAm pUjyAt pUjyataraH aBavat //" iti punar 
   tena prārthitaḥ [VarāhaP]	tena prArTitaH [VarAha P]
   [113.9]     śrībhagavān: "devakāryāvatāreṣu mānuṣyatvam upāgataḥ /	[113.9]     SrI BagavAn: "deva kArya avatArezu mAnuzya tvam upAgataH /
   [113.10]     tvām evārādhayiṣyāmi tvañ ca me varado bhava // [VarāhaP]	[113.10]     tvAm eva ArADayizyAmi tvan ca me vara daH Bava // [VarAha P]
   [113.11]     yattvayoktaṃ vahasveti devadeva umāpate /	[113.11]     yat tvayA uktam vahasva iti devadevaH umApate /
   [113.12]     sa tvāṃ vahāmi deva tvāṃ megho bhūtvā śataṃ samāḥ //" iti	[113.12]     sa tvAm vahAmi deva tvAm meGaH BUtvA Satam samAH //" iti
   varam api dadau.	varam api dadO.
   [113.13]     "evam eva harir devaḥ sarveśas sarvabhāvanaḥ /	[113.13]     "evam eva hariH devaH sarva ISaH sarva BAvanaH /
   [113.14]     varado 'bhūt purā mahyaṃ tenāhaṃ daivatair vṛtaḥ //	[113.14]     vara daH aBUt purA mahyam tena aham dEvatEH vRtaH //
   [VarāhaP.]	[VarAha P.]
   [113.15]     nārāyaṇāt paro devo na bhūto na bhaviṣyati /	[113.15]     nArAyaNAt paraH devaH na BUtaH na Bavizyati /
   [113.16]     etad rahasyaṃ devānāṃ purāṇānāñ ca sattama //" iti [VarāhaP]	[113.16]     etat rahasyam devAnAm purANAnAn ca sattamaH //" iti [VarAha P]
   [113.17]     kiñca	[113.17]     kiQca
   [113.18]     śrīviṣṇupurāṇe: "devatiryaṅmanuṣyeṣu śarīragrahaṇātmikā /	[113.18]     SrI vizNupurANe: "deva tiryak manuzyezu SarIra grahaNa AtmikA /
   [113.19]     līleyaṃ sarvabhūtasya tava ceṣṭopalakṣaṇā // [ViṣṇuP ]	[113.19]     lIlA iyam sarva BUtasya tava cezwA upalakzaNAH // [VizNuB ]
   [113.20]     devatiryaṅmanuṣyākhyā ceṣṭāvanti svalīlayā /	[113.20]     deva tiryak manuzya AKyA cezwAvanti sva lIlayA /
   [113.21]     jagatām upakārāya na sā karmanimittajā //" iti [ViṣṇuP ]	[113.21]     jagatAm upakArAya na sA karma nimitta jAH //" iti [VizNuj ]
   [113.22 23]     evaṃ nṛsiṃharūpiṇā bhagavatā śarabharūpeṇāgatānāṃ	[113.22 23]     evam nRsiMha rUpiNA BagavatA SaraBa rUpeNa AgatAnAm
   brahmarudrādīnām api saṃhārādikaṃ nārasiṃhapurāṇādiṣv avagamyate. yathā:	brahma rudra AdInAm api saMhAra Adikam nArasiMha purANa Adizu avagamyate. yaTA:
        [śarabhanirmāṇādiprakāraḥ]	[SaraBa nirmANa Adi prakAraH]
   [114.1]     hiraṇyakavadhānantaraṃ: tatra saptatriṃśādhyāye	[114.1]     hiraNyaka vaDa anantaran: tatra saptatriMSa aDyAye
   [114.2]     "hiraṇyakaśipos trastān sendrān devān bṛhaspatiḥ /	[114.2]     "hiraNyakaSipoH trastAn sa indrAn devAn bRhaspatiH /
   [114.3]     kṣīrodasyottaraṃ gatvā stūyatāṃ tatra keśavaḥ // [NarasiṃhaP]	[114.3]     kzIrodasya uttaram gatvA stUyatAm tatra keSavaH // [NarasiMha P]
   [114.4]     yuṣmābhis saṃstuto viṣṇuḥ prasanno bhavati kṣaṇāt//" ity	[114.4]     yuzmABiH saMstutaH vizNuH prasannaH Bavati kzaNAt //" iti 
   ārabhya [NarasiṃhaP]	AraBya [NarasiMha P]
   [114.5]     "yuṣmad āgamanaṃ sarvaṃ jānāmy asuramardanāḥ /	[114.5]     "yuzmat Agamanam sarvam jAnAmi asura mardanAH /
   [114.6]     hiraṇyakavināśārthaṃ stuto 'haṃ śaṅkareṇa ca // ity uktvā	[114.6]     hiraNyaka vinASa arTam stutaH aham SaFkareNa ca // iti uktvA
   [NarasiṃhaP]	[NarasiMha P]
   [114.7]     hiraṇyakavadhānantaraṃ	[114.7]     hiraNyaka vaDa anantaram
   [114.8]     "tasya kopābhibhūtasya nṛsiṃhasya jagatpateḥ /	[114.8]     "tasya kopa aBiBUtasya nRsiMhasya jagatpateH /
   [114.9]     dṛṣṭvā bhayānakaṃ rūpaṃ vitresur devadānavāḥ //" [NarasiṃhaP]	[114.9]     dRzwvA BayAnakam rUpam vitresuH deva dAnavAH //" [NarasiMha P]
   [114.10]     ity ārabhyoktastotrānantaraṃ brahmasamīpagamanādikaṃ	[114.10]     iti AraBya ukta stotra anantaram brahma samIpa gamana Adikam
   pratipādya:	pratipAdya:
   [114.11]     "tasmin bhagavati kruddhe nṛsiṃhe paramātmani /	[114.11]     "tasmin Bagavati krudDe nR siMhe paramAtmani /
   [114.12]     pravepitaṃ jagad idaṃ deveśe kupite bhṛśam // [NarasiṃhaP]	[114.12]     pravepitam jagat idam deveSe kupite BRSam // [NarasiMha P]
   [114.13]     tvatto hi nānyaś śaraṇaṃ devānām iha vidyate /	[114.13]     tvattaH hi na anyaH SaraNam devAnAm iha vidyate /
   [114.14]     narasiṃhasamudbhūtaṃ bhayaṃ nāśaya me hare //" [NarasiṃhaP]	[114.14]     narasiMha samudBUtam Bayam nASaya me hare //" [NarasiMha P]
   [114.15]     ityādinā rudraprārthanādikam uktvā	[114.15]     ityAdinA rudra prArTana Adikam uktvA
   [114.16] "hato hiraṇyakaśipuḥ yena daityo mahābalaḥ /	[114.16] "hataH hiraNyakaSipuH yena dEtyaH mahA balaH /
   [114.17]     ko naś śamayitā tasya kopasya harimedhasaḥ // [NarasiṃhaP.]	[114.17]     kaH naH SamayitA tasya kopasya harimeDasaH // [NarasiMha P.]
   [114.18]     tvaṃ me janayitā deva sa te janayitā hariḥ /	[114.18]     tvam me janayitA deva sa te janayitA hariH /
   [114.19]     tasya devasya kaś śakto viṣṇor vai nigrahe bhavet //	[114.19]     tasya devasya kaH SaktaH vizNoH vE nigrahe Bavet //
