   prathamo vilāsaḥ	praTamaH vilAsaH
   parisaraprāraṃbhamaṃbhodharaiḥ // Ckc_7.*62 //	parisara-prAraMBam-aMBoDarEH // Ckd-_7.*62 //
   atra palāyamānamārgeṣu nijapadapaṅktimārjanacikīrṣūṇāṃ	atra palAyamAna-mArgezu nija-pada-paFkti-mArjana-cikIrzUNAm
   nāyakavirodhināmākasmikavarṣeṇa tatsuniṣpannamiti daivikaṃ samāhitam /	nAyaka-viroDinAm-Akasmika-varzeNa tad-su-nizpannam-iti dEvikam samAhitam /
   aḍhaivikaṃ yathā	aXEvikam yaTA
   varṣādiprathamaprabodhasamayācāreṇa padmālayā- dāḍhāsighdanabhekumanaso	varza-Adi-praTama-praboDa-samaya-AcAreNa padma-AlayA dAXA-asiGdana-Beku-manasaH-
   vyājādanidrātyajaḥ /	vyAjAt-anidrAtyajaH /
   daityārerupakārakāraṇatayā jāgarti jāgraddhiyā śrī siṅgasya vibho	dEtya-AreH-upakAra-kAraNa-tayA jAgarti jAgrat-DiyA SrI siFgasya viBo
   rdigantavijayaprasthānabherīdhvaniḥ // Ckc_7.*63 //	rdiganta-vijaya-prasTAna-BerI-DvaniH // Ckd-_7.*63 //
   atra nidrāvyājena lakṣmīgāḍhāliṅganasya śaithilyaṃ cikīrṣatā bhagavatā	atra nidrA-vyAjena lakzmI-gAXa-AliFganasya SETilyam cikIrzatA BagavatA
   lavdhasya padmālayātaṅkahetutayā sahakāriṇo nāyakasannāhanissāṇarāṇasya	lavDasya padma-Alaya-AtaFka-hetu-tayA sahakAriNaH nAyaka-sanna-aha-nissANa-rANasya
   pauruṣeyatayā tadidamadaivikaṃ samāhitam /	pOruzeya-tayA tat-idamadEvikam samAhitam /
   bhrāntirviparyayajñānaṃ saṃskārātsāmyato 'pi vā /	BrAntiH-viparyaya-jQAnam saMskArAt-sAmyataH api vA /
   ālambavatyanālambavatī cetyādi sā dvidhā // Ckc_7.29 //	Alambavati-anAlambavatI ca-ityAdi sA dviDA // Ckd-_7.29 //
   ālambanavatī yathā	AlambanavatI yaTA
   autsukyādanavotasiṅganṛpaterākāramālikhya sā nirvarṇyāyamasau mama priya	OtsukyAt-anavota-siFga-nRpateH-AkAram-AliKya sA nirvarNya-ayam-asO mama priya
   iti premābhiyogabhramāt /	iti prema-aBiyoga-BramAt /
   āśuddhāya tatopasṛtya tarasā kiñcidvivṛttānanā sānūnaṃ sadarasmitaṃ	ASudDAya tata-upasRtya tarasA kiQcid-vivRtta-AnanA sa-anUnam sa-dara-smitam
   sacakitaṃ sākāṅkṣamālokate // Ckc_7.*64 //	sacakitam sa-AkAFkzam-Alokate // Ckd-_7.*64 //
   atra nāyakānuraktāyāḥ kasyāścinnāyakacitre ayaṃ sākṣānnāyaka iti pratīteḥ	atra nAyaka-anuraktAyAH kasyAScid-nAyaka-citre ayam sAkzAt-nAyakaH iti pratIteH
   seyaṃ satatanāyakānudhyānavāsanābalena citrastha nāyakākāramālambya jāyata	sA-iyam satata-nAyaka-anuDyAna-vAsanA-balena citra-sTa nAyaka-AkAram-Alambya jAyata
   iti saṃskārajā sālambā nāmabhrāntiriyam /	iti saMskAra-jA sa-AlambAH nAma-BrAntiH-iyam /
   nirālambā yathā	nirAlambA yaTA
   prācaṇḍyaṃ pratigaṇḍabhairavavibhoralokya yuddhāṅgaṇe dāvanto	prAcaNxyam pratigaNxa-BErava-viBoH-alokya yudDa-aFgaNe dAvantaH-
   girikandarāparisaraṃ pratyarthipṛthvībhujaḥ /	giri-kandarA-parisaram pratyarTi-pRTvIBujaH /
   doruddhūtakarālakhaḍgalatikāvyagraṃ tamevāntike prartyādra pratipādapaṃ	dos-udDUta-karAla-Kaxga-latikA-vyagram tam-eva-antike prarti-Adra pratipAdapam
   pratidiśaṃ paśyanti paryākulāḥ // Ckc_7.*65 //	pratidiSam paSyanti paryAkulAH // Ckd-_7.*65 //
   atra raṇamukhe tādṛśapracaṇḍimānusandhāyakaṃ nāyakaṃ sākṣātkṛtavatāṃ	atra raNa-muKe tAdRSa-pracaNxima-anusanDAyakam nAyakam sAkzAtkRtavatAm
   dviṣatā mavigatena vāsanābalena nāyakasādṛśyālambanaṃ vināpi śailādiṣu yā	dvizatA mavigatena vAsanA-balena nAyaka-sAdRSya-Alambanam vinA-api SEla-Adizu yA
   nayakādipratītiḥ seyaṃ nirālaṃbanā nāma saṃskārato bhrāntiḥ /	nayaka-Adi-pratItiH sA-iyam nirAlaMbanAH nAma saMskArataH BrAntiH /
   dvitīyā ca parijñeyā dviprakārā manīṣibhiḥ /	dvitIyA ca parijQeyAH dvi-prakArAH manIziBiH /
   atattave tattvarūpā ca tattve cātattvarūpiṇī // Ckc_7.30 //	atattave tattva-rUpA ca tattve ca-atattva-rUpiNI // Ckd-_7.30 //
   ādyā yathā	AdyAH yaTA
   nartuṃ vāñchati dhūrjaṭiḥ phaṇadharāstiṣṭhanti paryantataḥ pratyuttiṣṭhati	naRtum vAQCati DUrjawiH PaNaDarAH-tizWanti paryantataH pratyuttizWati
   jāhnavī na sahate mānāgrahaṃ māninī /	jAhnavI na sahate mAna-agraham mAninI /
   serṣyaṃ paśyati pārvatī kamalabhūrāliṅgituṃ ceṣṭate śrī	sa-Irzyam paSyati pArvatI kamala-BUH-AliFgitum cezwate SrI
   siṅgakṣitināthakīrtimahimanyāścaryadhuryodaye // Ckc_7.*66 //	siFga-kziti-nATa-kIrti-mahimanyAH-carya-Durya-udaye // Ckd-_7.*66 //
   atra sadṛśadhāvalyena yatprāleyaśailādirūpe nāyakayaśasi tattadrūpatayā	atra sadRSa-DAvalyena yat-prAleya-SEla-Adi-rUpe nAyaka-yaSasi tad-tad-rUpa-tayA
   pratibhānaṃ seyamatattve tattvarūpā bhrāntiḥ /	pratiBAnam sA-iyam-atattve tattva-rUpA BrAntiH /
   dvitīyā yathā	dvitIyA yaTA
   tṛṣṇākrāntā jalamiti dhiyā saṃplave bhānubhāsāṃ dhāvaṃ dhāvaṃ	tRzNA-AkrAntAH jalam-iti DiyA saMplave BAnu-BAsAm DAvam DAvam
   dhavaladhavalaṃ dhānvinīṣu sthalīṣu /	Davala-Davalam DAnvinIzu sTalIzu /
   kṣāmakṣāmā ripunṛpatayaḥ siṅgabhūpāladhāṭyāṃ satyākārānapi na payasāṃ	kzAma-kzAmAH ripu-nRpatayaH siFga-BUpAla-DAwyAm sati-a-AkArAn-api na payasAm
   viśvasanti sma kūpān // Ckc_7.*67 //	viSvasanti sma kUpAn // Ckd-_7.*67 //
   atra bahuśo mṛgatṛṣṇikāpratāritānāṃ nāyakaparipanthināṃ pāramārthikeṣvapi	atra bahuSas mRgatRzNikA-pratAritAnAm nAyaka-paripanTinAm pAramArTikezu-api
   jaleṣu na jalānīti yā pratipattiḥ seyaṃ tattvepyatattvarūpā bhrāntiḥ	jalezu na jalAni-iti yA pratipattiH sA-iyam tattvepya-tattva-rUpA BrAntiH
   sādaśyajanitā bhrāntiḥ /	sAdaSya-janitA BrAntiH /
   bhrānteḥ paraṃparā bhrānteḥṛ śruṅkhalā ityubhe ime /	BrAnteH paraMparAH BrAnteHR SruFKalAH iti-uBe ime /
   bhrānteḥ pṛthagiti jñānaṃ bhrāntireveti me matam // Ckc_7.31 //	BrAnteH pRTak-iti jQAnam BrAntiH-eva-iti me matam // Ckd-_7.31 //
   atra bhrāntiparamparā yathā	atra BrAnti-paramparA yaTA
   śākhāsu prasavāśayā kṣitiruhāṃ karpūrakhaṃḍāśayā peṭīkāmudareṣu	SAKAsu prasava-ASayA kzitiruhAm karpUra-KaMxa-ASayA pewIkAm-udarezu
   mohanavidherante duklāśayā /	mohana-viDeH-ante duklASayA /
   śrīsiṅgakṣitināyakendra bhavato gṛhṇanti siddhāṅganāḥ	SrI-siFga-kziti-nAyaka-indra BavataH gRhNanti sidDa-aFganAH
   lokālokadarīparīsahabhuvāmākalpakalpaṃ yaśaḥ // Ckc_7.*68 //	lokAloka-darI-parI-saha-BuvAm-Akalpa-kalpam yaSaH // Ckd-_7.*68 //
   atra siddhāṅganānāṃ bahuśo mālākrameṇa nāyakayaśasi jāyamānā	atra sidDa-aFganAnAm bahuSas mAlA-krameNa nAyaka-yaSasi jAyamAnA
   prasavādibhrāntireva brāntiparaṃparetyucyate /	prasava-Adi-BrAntiH-eva brAnti-paraMparA-iti-ucyate /
   bhrāntiśṛṅkhalā yathā	BrAnti-SRFKalA yaTA
   brahmā haṃsadhiyānurajyati nabhogaṅgādhiyā te khagāḥ kṣīrāṃbhodhidhiyā ca	brahmA haMsaDiyA-anurajyati naBaH-gaFgA-DiyA te KagAH kzIra-aMBoDi-DiyA ca
   sā taṭavatī jyotsnādhiyā cāmbudhiḥ /	sA tawavatI jyotsnA-DiyA ca-ambuDiH /
   sā kāntiḥ śaradindumaṇḍaladhiyā tvatkīrtimavyāhatāṃ śrī siṅgakṣitinātha	sA kAntiH Sarad-indu-maNxala-DiyA tvad-kIrtim-avyAhatAm SrI siFga-kziti-nATa
   sādhujanatāsaṃkalpakalpadruma // Ckc_7.*69 //	sADu-janatA-saMkalpa-kalpadruma // Ckd-_7.*69 //
   atra bhrāntīnāmuttarottaraṃ śṛṅkhalānyāyeṃna saṃkalanādiyaṃ bhrāntiḥ	atra BrAntInAm-uttarottaram SRFKalA-anyAyeMna saMkalanAt-iyam BrAntiH
   śṛṅkhalā nāma bhrāntereva bhedaḥ /	SRFKalA nAma BrAnteH-eva BedaH /
   ūhā vitarkaḥ sa dvedhā nirṇayānirṇayāvadhiḥ // Ckc_7.32 //	UhA vitarkaH sa dveDA nirNaya-anirNaya-avaDiH // Ckd-_7.32 //
   atra nirṇayānto yathā	atra nirNaya-antaH yaTA
   asau kiṃ kandarpaḥ kimayamamareśānatanayaḥ kimeṣaḥ śrīrāmaḥ	asO kim kandarpaH kim-ayam-amara-ISAna-tanayaH kim-ezaH SrI-rAmaH
   kimayamalakānāyakasutaḥ /	kim-ayamalakA-nAyaka-sutaH /
   sakhi jñātaṃ so 'yaṃ yuvatinayanotpādakaphalaṃ nidhānaṃ bhāgyānāṃ jayati	saKi jQAtam saH ayam yuvati-nayana-utpAdaka-Palam niDAnam BAgyAnAm jayati
   khalu siṅgakṣitipatiḥ // Ckc_7.*70 //	Kalu siFga-kzitipatiH // Ckd-_7.*70 //
   atra kandarpādivitarkānantaraṃ so 'yaṃ nāyaka iti nirṇayakathanādayaṃ	atra kandarpa-Adi-vitarka-anantaram saH ayam nAyakaH iti nirNaya-kaTana-At-ayam
   tathoktaḥ /	taTA-uktaH /
   anirṇayānto yathā	anirNaya-antaH yaTA
   saṃvartapāvakaśikhā kimi kinnu jihvā mṛtyoriyaṃ kimu yugāntakṛtāntadaṃṣṭrā	saMvarta-pAvaka-SiKA kimi kinnu jihvA mRtyoH-iyam kimu yuga-anta-kRta-anta-daMzwrA
   ityūhyate samarasīmani vairisainyaiḥ śrī siṅgabhūpakarakampitakhaḍgarekhā	iti-Uhyate samara-sImani vEri-sEnyEH SrI siFga-BUpa-kara-kampita-Kaxga-reKA
   // Ckc_7.*71 //	// Ckd-_7.*71 //
   atra kimidaṃ kimidamiti vitarkayatā vimatasainyena seyaṃ	atra kim-idam kim-idam-iti vitarkayatA vimata-sEnyena sA-iyam
   nāyakakhaḍgadhāreti nirṇayākathanādayaṃ tathoktaḥ /	nAyaka-Kaxga-DArA-iti nirNaya-AkaTanAt-ayam taTA-uktaH /
   vastvantareṇa sthaganaṃ vastuno mīlitaṃ matam // Ckc_7.33 //	vastu-antareNa sTaganam vastunaH mIlitam matam // Ckd-_7.33 //
   yathā	yaTA
   nityaṃ śrīanavotasiṅganṛpateraśrāntaviśrāṇana- ślāghāślokakṛtā ca	nityam SrIanavota-siFga-nRpateH-aSrAnta-viSrANana SlAGASloka-kRtA ca
   dānarasike nākaukasāṃ nāyake /	dAna-rasike nAkOkasAm nAyake /
   svardhenorvadane nisarganamanāllajjānatirgopyate mandārasya ca bāṣpa	su-arDenoH-vadane nisarga-nam-anAllajjA-AnatiH-gopyate mandArasya ca bAzpa
   vindupaṭalaṃ ścyotanmadhūlīkaṇaiḥ // Ckc_7.*72 //	vindu-pawalam Scyotat-maDUlI-kaNEH // Ckd-_7.*72 //
   atra nāyakavitaraṇaślāghayāḥ parābhūtayoḥ kāmadhenukalpavṛkṣayor	atra nAyaka-vitaraNa-SlAGayAH parABUtayoH kAmaDenu-kalpavRkzayoH-
   jāyamānalajjānatibāṣpapūrāḥ svabhāvamukhāvanatipuṣparasābhyāṃ sthagitamiti	jAyamAna-lajjA-nati-bAzpa-pUrAH svaBAva-muKO=-anati-puzpa-rasAByAm sTagitam-iti
   mīlitamidam /	mIlitam-idam /
   tadbhedāssāmyapihita tadguṇātadṇāvapi // Ckc_7.34 //	tad-BedAssAmi-apihita tad-guNa-atadNO=-api // Ckd-_7.34 //
   tatra sāmānyaṃ yathā	tatra sAmAnyam yaTA
   raicarlīyakulāvataṃsa nṛpate haṃsāḥ praśaṃsānidhe śliṣṭadravyavivekino	rEcarlIya-kula-avataMsa nRpate haMsAH praSaMsA-niDe Slizwa-dravya-vivekinaH-
   vijahati prāvīṇyagarvaṃ nijam /	vijahati prAvINyagarvam nijam /
   vaktrāntādgalitānmṛṇālakabalān kīlau tava brāhnaṇī	vaktra-antAt-galitAn-mRNAlaka-balAn kIlO tava brAhnaNI
   prāptādvaitakathānmanāgapi paricchettuṃ cirādakṣamāḥ // Ckc_7.*73 //	prApta-advEtakaTAn-manAk-api paricCettum cirAt-akzamAH // Ckd-_7.*73 //
   atra kīrtimṛṇālayorekatvarūpaṃ sāmānyamapi sadṛśena sadṛśasthaganamiti	atra kIrti-mRNAlayoH-eka-tva-rUpam sAmAnyam-api sadRSena sadRSa-sTaganam-iti
   mīritameva /	mIritam-eva /
   pihitaṃ yathā	pihitam yaTA
   kasyāśicitkuca maṇḍale navavayomattebhakumbhadvaye dṛṣṭiṃ rāgataraṅgitāṃ	kasya-aSicid-kuca maNxale nava-vayaH-matta-iBa-kumBa-dvaye dRzwim rAga-taraFgitAm
   vidadhatā śrīsiṅgabhūmībhujā /	vidaDatA SrI-siFga-BUmIBujA /
   dākṣiṇyavratabhaṅgabhīrumanasā devena vāmabhruvā- manyāsāmapi sā tathaiva	dAkziNya-vrata-BaFga-BIru-manasA devena vAma-BruvA manyAsAm-api sA taTA-eva
   kṛtinā netrendriyeṇārpitā // Ckc_7.*74 //	kRtinA netra-indriyeNa-arpitAH // Ckd-_7.*74 //
   atra prakaṭitasnehāṃ preyakīṃ paśyato nāyakasya yadanyāsvapi	atra prakawita-snehAm preyakIm paSyataH nAyakasya yat-anyAsu-api
   tathāvidhakaṭākṣavyāpāriṇa svakīyabhāvaka prakhyākachākavihitaṃ	taTAviDa-kawAkza-vyApAriNa svakIya-BAvaka praKyAka-CAka-vihitam
   [bhāvapracchādanaṃ vihitaṃ (?)] tadidaṃ pihitamiti kecidācakṣate /	[BAva-pracCAdanam vihitam (?)] tat-idam pihitam-iti kecid-Acakzate /
   tadapi sahajānu rāgadṛṣṭivyāpārasya sādhitānurāgadṛṣṭivyāpāreṇa	tat-api sahaja-anu rAga-dRzwi-vyApArasya sADita-anurAga-dRzwi-vyApAreNa
   sthaganamiti mīlitameva /	sTaganam-iti mIlitam-eva /
   tadguṇo yathā	tad-guNaH yaTA
   patraprāyalatāpratāna kṛtā nikuñjaiḥ palaśottare (?) svacchāsu	patra-prAya-latA-pratAna kRtA nikuQjEH palaSa-uttare (?) svacCAsu
   sphaṭikasthalīṣu dhavalakṣoṇīrajolepanāḥ /	sPawika-sTalIzu Dava-lakzoNI-rajaH-lepanAH /
   śoṇagrāvasu gairikendradayujo vidveṣiṇastatkṣaṇāt lakṣyante na hi	SoNa-grAvasu gErika-indra-dayujaH vidveziNaH-tad-kzaNAt lakzyante na hi
   siṅgabhūpaticamūnāsīradhāṭībhaṭaiḥ // Ckc_7.*75 //	siFga-BUpa-ti-camU-nAsIra-DAwI-BawEH // Ckd-_7.*75 //
   atra nāyakadveṣiṇāṃ nikuñjāpuñjādiguṇasamā śrayaṇena sthagitamiti	atra nAyaka-dveziNAm nikuQjA-puQja-Adi-guNa-samA SrayaNena sTagitam-iti
   tadguṇamīlitameva /	tad-guNa-mIlitam-eva /
   siṅgakṣmāpatikīrtibhirdhavalite lokatraye svaprabhoḥ kaṇṭhena	siFga-kzmApati-kIrtiBiH-Davalite lokatraye sva-praBoH kaNWena
   vyatikālakūṭaghaṭanājīrṇena hṛṣṭā gaṇāḥ /	vyatikAla-kUwa-Gawana-ajIrNena hRzwAH gaNAH /
   varṇe 'pi pratikūlatāṃ vijaharī patyuḥ priyā pārvatī pūrṇendor api mudritā	varNe api pratikUla-tAm vijaharI patyuH priyA pArvatI pUrNa-indoH api mudritA
   janatayā rūḍhā kalaṅkaprathā // Ckc_7.*76 //	jana-tayA rUXA kalaFka-praTA // Ckd-_7.*76 //
   atrātadguṇānāmapi kālakaṇṭha.... ....yadvikārā viṣkaraṇaṃ so 'yamatadguṇa	atra-Atad-guNAnAm-api kAlakaNWa.... ....yat-vikArAH vizkaraNam saH ayam-atad-guNa
   iti vyācakṣate /	iti vyAcakzate /
   tadasmin mate 'pi kriyākāraṇānāmasāmarthyādahetvalaṅkāra eva /	tat-asmin mate api kriyA-kAraNAnAma-sAmarTyAt-ahetu-alaFkAraH eva /
   sadṛśādanubhūtārthapratītiḥ smaraṇaṃ matam // Ckc_7.35 //	sadRSAt-anuBUta-arTa-pratItiH smaraNam matam // Ckd-_7.35 //
   yathā	yaTA
   saṃtrāsādupavindhyakānanabilaiḥ paryantaniryanmadhu- srotaskā parilokya	saMtrAsAt-upavinDya-kAnana-bilEH paryanta-niryad-maDu srotaskA parilokya
   gaṇḍadṛṣado vyāmāvakāśaspṛśaḥ /	gaNxa-dRzadaH vyAma-avakASa-spRSaH /
   uddaṇḍapratigaṇjabhairavahṛtāḥ pratyarthibhiḥ pārthivaiḥ smaryante	uddaNxa-pratigaNja-BErava-hRtAH pratyarTiBiH pArTivEH smaryante
   nijagandhabandhuraghaṭāḥ tṛṭyatkaṭagranthayaḥ // Ckc_7.*77 //	nija-ganDa-banDura-GawAH tRwyat-kawa-granTayaH // Ckd-_7.*77 //
   atra gaṇḍaśailadarśanena tatsadṛśānāṃ nāyakāpahṛtānāṃ nijagajendrāṇāṃ yā	atra gaNxa-SEla-darSanena tad-sadRSAnAm nAyaka-apahRtAnAm nija-gaja-indrANAm yA
   smṛtisso 'yaṃ smṛtyalaṅkāraḥ /	smRtissaH ayam smRti-alaFkAraH /
   abhiprāyānukūlyena pravṛttirbhāva īritaḥ // Ckc_7.36 //	aBiprAya-AnukUlyena pravRttiH-BAvaH IritaH // Ckd-_7.36 //
   yathā	yaTA
   śrīsiṅgakṣitināyakena viduṣā tattatkalāpaddhateḥ	SrI-siFga-kziti-nAyakena viduzA tad-tad-kalA-ApadDateH
   lokasyāṅgānyakṛtyasauṣṭhavakalāmaṅgoṣu sandhitsatā /	lokasya-aFgAni-akRtya-sOzWava-kalAm-aFgozu sanDitsatA /
   yadyatsaṃvihitaṃ raho vitanute tattatpratīpakramaṃ, prajñāśītavatī	yat-yat-saMvihitam rahaH vitanute tad-tad-pratIpa-kraman, prajQA-SItavatI
   vivekacaturā kācitkuraṅgekṣaṇā // Ckc_7.*78 //	viveka-caturA kAcid-kuraFga-IkzaNAH // Ckd-_7.*78 //
   atra nāyakasya yo 'yaṃ sauṣṭhavopadeśapravṛttiḥ	atra nAyakasya yaH ayam sOzWava-upadeSa-pravRttiH
   tayorpaṭadvayoranyonyasparśanasukhopameya prāyādityayaṃ bhāvālaṅkāraḥ	tayoH-pawa-dvayoH-anyonya-sparSana-suKa-upameya prAyAt-iti-ayam BAva-alaFkAraH
   yathā ca	yaTA ca
   kalyāṇaśṛṅgapayasā pariṣektukāmā vakṣaḥsthalaṃ navavasantavihārakāle /	kalyANa-SRFga-payasA parizektu-kAmA vakzaH-sTalam nava-vasanta-vihAra-kAle /
   atyānatena śirakecchati siṅgabhūpe tanmāninī na vijarāti jahāti bāṣpam //	atyAnatena SirakA-icCati siFga-BUpe tad-mAninI na vijarAti jahAti bAzpam //
   Ckc_7.*79 //	Ckd-_7.*79 //
   atra vakṣasi salilasekaṃ nāyakaḥ śirasi yatsamīhitavān nāyikayā	atra vakzasi salila-sekam nAyakaH Sirasi yat-samIhitavAn nAyikayA
   tatśṛṅgasalilaṃ na muktam kintu bāṣpamiti yattadatra nāyakasya hṛdaye	tad-SRFga-salilam na muktam kintu bAzpam-iti yat-tat-atra nAyakasya hRdaye
   kācidanyā hṛdayavallabhaā vasatīti bhāvaḥ /	kAcid-anyA hRdaya-vallaBaA vasati-iti BAvaH /
   bhāvapratīpastu parairbhāva eveti darśitaḥ /	BAva-pratIpaH-tu parEH-BAvaH eva-iti darSitaH /
   anyathājñānarūpatvād bhrantireveti me matiḥ // Ckc_7.37 //	anyaTA-ajQAna-rUpa-tvAt BrantiH-eva-iti me matiH // Ckd-_7.37 //
   yathā atraivodāharaṇe yathā nāyakasyāyamabhiprāyaḥ /	yaTA atra-eva-udAharaNe yaTA nAyakasya-ayam-aBiprAyaH /
   mama hṛdaye sthitāṃ tvāmeva tvaṃ kimiti sektumicchasi /	mama hRdaye sTitAm tvAm-eva tvam kim-iti sektum-icCasi /
   yadi priye māṃ sektumicchasi tarhi śirasi siñceti /	yadi priye mAm sektum-icCasi tarhi Sirasi siQcA-iti /
   tadāparasyā sthitiśaṅkayā na sektavyo 'yamiti yo 'yaṃ nāyikāyāḥ	tadA-aparasyA sTiti-SaFkayA na sektavyaH ayam-iti yaH ayam nAyikAyAH
   pratīptotkaṇṭhāṃ bodhayatītyarthāpattiriyam /	pratIpta-utkaNWAm boDayati-iti-arTApattiH-iyam /
   evaṃmitarapramāṇasiddhārthānupapattihetukārthāpattiḥ svayamūhanīyā /	evaMmitara-pramANa-sidDArTa-anupapatti-hetuka-arTApattiH svayam-UhanIyAH /
   iti sarasasāhityacāturīdhurīṇaviśveśvarakavicandrapraṇītāyāṃ śrī	iti sarasa-sAhitya-cAturIDurINa-viSva-ISvarakavi-candra-praNItAyAm SrI
   siṅgabhūpālakīrtisudhāsāraśītalāyāṃ camatkāracandrikāyāmalaṅkāraviveko	siFga-BUpAla-kIrti-suDA-sAra-SItalAyAm camatkAra-candrikAyAm-alaFkAra-vivekaH-
   nāma saptamovilāsaḥ //	nAma saptamaH-vilAsaH //
   aṣṭamo vilāsaḥ	azwamaH vilAsaH
   camatkāracandrikā viśveśvarakavicandraviracitā aṣṭamo vilāsaḥ	camatkAra-candrikA viSveSvaraka-vi-candra-viracitAH azwamaH vilAsaH
   ubhayālaṅkāranirūpaṇam	uBaya-alaFkAra-nirUpaNam
   śabdebhyo ya ivādibhya upamādiḥ pratīyate /	SabdeByaH yaH iva-AdiByaH upamAdiH pratIyate /
   viśiṣṭārthaḥ kavīnāṃ tā ubhayālaṅkṛtayo matāḥ // Ckc_8.1 //	viSizwa-arTaH kavInAm tAH uBaya-alaFkRtayaH matAH // Ckd-_8.1 //
   upamā rūpakaṃ sāmyaṃ saṃśayoktirapahnu nutiḥ /	upamA rUpakam sAmyam saMSaya-uktiH-apahnu nutiH /
   samādhyuktiḥ samāsoktirutprekṣāprastutastutiḥ // Ckc_8.2 //	samADi-uktiH samAsoktiH-utprekzA-prastuta-stutiH // Ckd-_8.2 //
   satulyayogito laśaḥ sasahokti ssamuccayaḥ /	sa-tulya-yogitaH laSaH sa-sahokti ssamuccayaH /
   ākṣepārthāntaranyāsau saviśeṣā pariṣkṛtiḥ // Ckc_8.3 //	Akzepa-arTa-antara-nyA-asO sa-viSezA parizkRtiH // Ckd-_8.3 //
   dīpanakramaparyāyātiśayaśleṣabhāvanāḥ /	dIpana-krama-paryAya-atiSaya-Sleza-BAvanAH /
   saṃsṭaṣṭiriti nirdiṣṭāstāścaturviṃśatirbudhaiḥ // Ckc_8.4 //	saMswazwiH-iti nirdizwAH-tAH-caturviMSatiH-buDEH // Ckd-_8.4 //
   prasiddheranurodhena sādṛśyaṃ yatra dharmataḥ /	prasidDeH-anuroDena sAdRSyam yatra DarmataH /
   pratītaṃ kathitaṃ vā syādarthayorupamā hi sā // Ckc_8.5 //	pratItam kaTitam vA syAt-arTayoH-upamA hi sA // Ckd-_8.5 //
   padavākyaprapañcākhyairbhedaistredhā bhavediyam /	pada-vAkya-prapaQca-AKyEH-BedEH-treDA Bavet-iyam /
   padopamā dvidhā tatra samāsāt pratyayādapi // Ckc_8.6 //	pada-upamA dviDA tatra samAsAt pratyayAt-api // Ckd-_8.6 //
   tatrādyā ca caturbhedā jñeyā sarvasamāsgā /	tatra-AdyA ca catur-BedA jQeyA sarva-samAsgAH /
   antargatadyotakārthā tulyadharmārthagarbhitā // Ckc_8.7 //	antargatadyotaka-arTA tulya-Darma-arTa-garBitAH // Ckd-_8.7 //
   antarbhūtobhayārthā cetyāsāṃ lakṣyaṃ pradarśyate // Ckc_8.8 //	antar-BUta-uBaya-arTA ca-iti-AsAm lakzyam pradarSyate // Ckd-_8.8 //
   āśākāśāvakāśaprasṛmarayaśaso bhāgyasaubhāgyarāśeḥ raicarteyānvayendo	ASA-AkASa-avakASa-prasRmara-ya-SasaH BAgya-sOBAgya-rASeH rEcarteya-anvaya-indo
   raghupatisadṛśaḥ kaumudīkāntakānteḥ /	raGupati-sadRSaH kOmudIkA-anta-kAnteH /
   bāhau śeṣāhidīrghe jalajakaratale bhāti viśvaṃbhareyaṃ	bAhO Seza-ahi-dIrGe jalaja-kara-tale BAti viSvaMBareyam
   krudhyatkālāhidaṃṣṭrāṃ mukhavikaṭamukhīṃ khaḍgarekhāṃ dadhāne // Ckc_8.*1	kruDyat-kAla-ahi-daMzwrAm muKa-vikawa-muKIm Kaxga-reKAm daDAne // Ckd-_8.*1
   atra krudhayadityādipade upamānasyāhidaṃṣṭrāmukhasya tulyadharmasya	atra kruDayat-iti-Adi-pade upamAnasya-ahi-daMzwrA-muKasya tulya-Darmasya
   vikaṭatvasya khaḍgamukhasyopameyasya casvasvaśabdairabhidhānena	vikawa-tvasya Kaxga-muKasya-upameyasya casvasva-SabdEH-aBiDAnena
   dyotakārthasya pratibhānāt sarvamupamānopameyatulyadharmadyotakaṃ samāse	dyotaka-arTasya pratiBAnAt sarvam-upamAna-upameya-tulya-Darma-dyotakam samAse
   saṃbhavatīti sarvasamāsā nāmeyaṃ padopamā /	saMBavati-iti sarva-samAsAH nAma-iyam pada-upamA /
   śeṣāhirivadīrghaḥ śeṣāhidīrgha ityatra dyotakārtha upamānāni	Seza-ahiH-iva-dIrGaH Seza-ahi-dIrGaH iti-atra dyotaka-arTaH upamAnAni
   sāmānyavacanairiti samāsenokta iti seyamantargatadyotakārthā nāma	sAmAnya-vacanEH-iti samAsena-uktaH iti sA-iyam-antargatadyotaka-arTAH nAma
   samāsapadopamā /	samAsapada-upamA /
   jalajamiva tāmraṃ karatalaṃ yasyāyaṃ jalajakaratala	jalajam-iva tAmram kara-talam yasya-ayam jalaja-kara-tala
   ityatrānyapadārthaṃsamāsa evadyotakatulya	iti-atra-anya-padArTaMsa-mAsaH eva-dyotaka-tulya
   dhayorantarmarbhūtatvādiyamantarbhūtobhayārthā nāma samāsapadopamā /	DayoH-antar-marBUta-tvAt-iyam-antarBUta-uBaya-arTAH nAma samAsapada-upamA /
   caturdhā vidyate 'nyāpi pratyayārthaprabhedatā /	caturDA vidyate anyA-api pratyaya-arTa-praBeda-tA /
   pratyayo 'pyupamānopameyadyotakatulyabhāk // Ckc_8.9 //	pratyayaH api-upamAna-upameya-dyotaka-tulya-BAj // Ckd-_8.9 //
   tatropamānārthapratyayā yathā	tatra-upamAna-arTa-pratyayAH yaTA
