   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   e saba ākṛṣṭi hṛde ha-ile udaya /	e sabaH AkRzwi hRde ha-ile udaya /
   nāmete anavadhāna svabhāvataḥ haya // HNC_12.34 //	nAma-ite anavaDAna svaBAvataH haya // HNS_12.34 //
   vikṣepa-tyāgera upāya	vikzepa-tyAgeraH upAya
   krame krame sei saba cintā parihāre /	krame krame sei sa-ba cintA parihAre /
   yatibe saubhāgyavān vaiṣṇava ācāre // HNC_12.35 //	yati-be sOBAgyavAn vEzNavaH AcAre // HNS_12.35 //
   prathamete hari-dine bhoga-cintā tyaji' /	praTamete hari-dine Boga-cintA tyaji-a /
   sādhu saṅge rātra-dina harināma bhaji // HNC_12.36 //	sADu saFge rAtra-dina hari-nAma Baji // HNS_12.36 //
   hari-kṣetre hari dāsa hari śāstre laye /	hari-kzetre hari dAsa hari SAstre laye /
   utsave majibe sukhe parama nirbhaye // HNC_12.37 //	utsave majibe suKe parama nirBaye // HNS_12.37 //
   krame bhakti-kāla mana karibe vardhana /	krame Bakti-kAla mana karibe varDana /
   hari-kathā mahotsave majāiyā mana // HNC_12.38 //	hari--kaTAH mahA-utsave majAiyAH manaH // HNS_12.38 //
   śreṣṭha rasa krame citte ha-ibe udaya /	SrezWa rasa krame citte ha-ibe udaya /
   jaḍera nikṛṣṭa rasa chāḍibe niścaya // HNC_12.39 //	jaxera nikRzwa rasa CAxibe niScaya // HNS_12.39 //
   mahājana mukhe hari-saṅgīta śravaṇe /	mahAjana muKe hari-saFgIta SravaNe /
   mugdha habe manaḥ karṇa rasa āsvādane // HNC_12.40 //	mugDa habe manaH karNa rasaH AsvAdane // HNS_12.40 //
   nikṛṣṭa viṣaya-spṛhā ha-ibe vigata /	nikRzwa vizaya-spRhA ha-ibe vigata /
   nāma gāne citta sthira habe avirata // HNC_12.41 //	nAma gAne citta sTira habe avirata // HNS_12.41 //
   ataeva bahu yatne e pramāda tyaje /	ataeva bahu yatne e pramAda tyaje /
   sthira citte nāma rase cira dina maje // HNC_12.42 //	sTira citte nAma rase cira dina maje // HNS_12.42 //
   āgraha	Agraha
   saṅkalpita nāma saṅkhyā pūrṇa karibāre /	saFkalpita nAma saFKyA pUrNa kari-bAre /
   nā haya ayatna nāme dekhi bāre bāre // HNC_12.43 //	nA haya ayatna nAme deKi bAre bAre // HNS_12.43 //
   satarka ha-iyā kari nāma saṅkīrtana /	sa-tarka ha-iyA kari nAma saFkIrtana /
   pramāda chāḍiyā kari nāmera bhajana // HNC_12.44 //	pramAda CAxiyA kari nAmera BajanaH // HNS_12.44 //
   saṅkhyādhika spṛhā ekāgra-mānase /	saFKyA-aDika spRhA ekAgra-mAnase /
   nirantara kari' nāma tava kṛpā-bale // HNC_12.45 //	nirantara kari-a nAma tava kRpA--bale // HNS_12.45 //
   ei kṛpā kara prabhu nāmete pramāda /	ei kRpA kara praBu nAma-ite pramAda /
   nā bādhe āmāra citte nāma rasāsvāda // HNC_12.46 //	nA bADe AmAra citte nAma rasa-AsvAda // HNS_12.46 //
   prakriyā	prakriyA
   ekāgra mānase nirjanete svalpa kṣaṇa /	ekAgra mAnase nirjanete su-alpa kzaNaH /
   nāma smṛti abhyāsa karibe bhakta jana // HNC_12.47 //	nAma smRti aByAsa karibe Bakta janaH // HNS_12.47 //
   ataeva spaṣṭa nāma bhāva lagna mane /	ataeva spazwa nAma BAva lagna mane /
   sadā haya e prārthanā tomāra caraṇe // HNC_12.48 //	sadA hayaH e prArTanA tomAra caraNe // HNS_12.48 //
   āpana yatnete keha nāhi pāre /	Apana yatnete kA-iha na-ahi pAre /
   tomāra prasāda vinā e bhava-saṃsāre // HNC_12.49 //	tomAra prasAda vinA e Bava--saMsAre // HNS_12.49 //
   yatnāgrahera āvaśyakatā /	yatna-agraheraH AvaSyaka-tA /
   niṣkapaṭa nāma grahaṇe tāhā avaśya thāke, natuvā aparādha	nizkapawa nAma grahaNe tAhAH avaSya TAke, natuvA aparADa
   yatna kari kṛpā māgi vyākula antare /	yatna kari kRpA mAgi vyAkula antare /
   tumi kṛpāmaya kṛpā kara ataḥpare // HNC_12.50 //	tumi kRpA-maya kRpA kara atas-pare // HNS_12.50 //
   tava kṛpā lābhe yadi nā kari yatana /	tava kRpA lABe yadi nA kari yatana /
   tabe āmi bhāgya hīna he śacīnandana // HNC_12.51 //	tabe Ami BAgya hIna he SacI-nandana // HNS_12.51 //
   hari-nāma-cintāmaṇi alaṅkāra yāra /	hari-nAma---cintAmaNi alaFkAra yAraH /
   hari-dāsa-pada-yuga bharasā tāhāra // HNC_12.52 //	hari-dAsa-pada--yuga BarasA tAhAraH // HNS_12.52 //
   trayodaśa pariccheda	trayodaSa paricCeda
   śrute'pi nāma-māhātmye	Srute-api nAma-mAhAtmye
   yaḥ prīti-rahito naraḥ /	yaH prIti--rahitaH naraH /
   ahaṃ-mamādi-paramo	ahaM-mama-Adi-paramaH-
   nāmni so'py aparādha-kṛt // HNC_13.	nAmni saH-api aparADa--kRt // HNS_13.
   gadāi gaurāṅga jaya jāhnavā jīvana /	gadAi gOra-aFga jaya jAhnavAH jIvana /
   sītādvaita jaya jaya gaura-bhakta-jana // HNC_13.1 //	sItA-dvEta jaya jaya gOra-Bakta--janaH // HNS_13.1 //
   preme gada gada haridāsa mahāśaya /	preme gada gada haridAsa mahA-ASayaH /
   śeṣa nāma aparādha prabhu pade kaya // HNC_13.2 //	Seza nAma aparADa praBu pade kayaH // HNS_13.2 //
   śuna prabhu ei aparādha sarvādhama /	Suna praBu ei aparADa sarva-aDama /
   ei doṣe nāma prema nā haya udgama // HNC_13.3 //	ei doze nAma prema nA hayaH udgamaH // HNS_13.3 //
   nāme śaraṇāpattira prayojanīyatā	nAme SaraNa-Apattira prayojanIya-tA
   anya naya aparādha kariyā varjjana /	anyaH naya aparADa kariyA varjjanaH /
   nāmete śaraṇāpanna ha-ibe sajjana // HNC_13.4 //	nAma-ite SaraNa-Apan-na ha-ibe sat-janaH // HNS_13.4 //
   ṣaḍ-vidha śaraṇāgati sarva śāstre kaya /	zaz--viDa SaraNa-Agati sarva SAstre kayaH /
   vistārita balite āmāra sādhya naya // HNC_13.5 //	vistArita balite AmAra sADya naya // HNS_13.5 //
   śaraṇāpattira prakāra	SaraNa-Apattira prakAra
   saṃkṣepe caraṇe tava kari nivedana /	saMkzepe caraNe tava kari nivedana /
   ānukūlye saṅkalpa prātikūlya visarjana // HNC_13.6 //	AnukUlye saFkalpa prAtikUlya visarjane // HNS_13.6 //
   kṛṣṇe rakṣā-kārī buddhi pālaka bhāvana /	kRzNe rakzA--kArI budDi pAlaka BAvanaH /
   nije dīna buddhi āra ātma-nivedana // HNC_13.7 //	nije dIna budDi AraH Atma--nivedana // HNS_13.7 //
   e jīvana nā rahile nā haya bhajana /	e jIvana nA rahile nA haya BajanaH /
   jīvana rakṣāya mātra viṣaya grahaṇa // HNC_13.8 //	jIvana rakzAya mA-atra vizaya grahaNa // HNS_13.8 //
   bhakti anukūla ye viṣaya anukṣaṇa /	Bakti anukUla ye vizaya anukzaNa /
   tāhe rocamāna vṛttye jīvana yāpana // HNC_13.9 //	tAhe rocamAna vRttye jIvana yApane // HNS_13.9 //
   bhakti pratikūla ye viṣaye yabe haya /	Bakti pratikUla ye vizaye yabe haya /
   tāhāte aruci tāhā varjibe niścaya // HNC_13.10 //	tAhAte aruci tAhAH varjibe niScaya // HNS_13.10 //
   kṛṣṇa vinā rakṣā-kartā nāhi keha āra /	kRzNa vinA rakzA-kartA na-ahi kA-ihaH AraH /
   kṛṣṇa se pālaka mātra jānibe āmāra // HNC_13.11 //	kRzNa se pAlaka mA-atra jAnibe AmAraH // HNS_13.11 //
   āmi dīna akiñcana sakalera chāra /	Ami dInaH akiQcana sakalera CAraH /
   adhama durgata kichu nāhika āmāra // HNC_13.12 //	aDama durgata kiCu nAhikaH AmAraH // HNS_13.12 //
   kṛṣṇera saṃsāre āmi āchi cira dāsa /	kRzNera saMsAre Ami ACi cira dAsa /
   kṛṣṇa icchā mata kriyā āmāra prayāsa // HNC_13.13 //	kRzNaH icCA mata kriyA AmAra prayAsa // HNS_13.13 //
   āmi kartā āmi dātā āmi pālayitā /	Ami kartA Ami dAtA Ami pAlayitA /
   āmāra e deha geha santāna vanitā // HNC_13.14 //	AmAraH e deha geha santAna vanitAH // HNS_13.14 //
   āmi vipra āmi śūdra āmi pitā pati /	Ami vipraH Ami SUdraH Ami pitA pati /
   āmi rājā āmi prajā santānera gati // HNC_13.15 //	Ami rAjA Ami prajA santAnera gati // HNS_13.15 //
   ei saba buddhi chāḍi kṛṣṇe kari mati /	ei sa-ba budDi CAxi kRzNe kari mati /
   kṛṣṇa kartā kṛṣṇa icchā mātra balavatī // HNC_13.16 //	kRzNa kartA kRzNaH icCA mA-atra balavatI // HNS_13.16 //
   kṛṣṇera ye haya icchā tāhāi kariba /	kRzNera ye hayaH icCA tAhAi kariba /
   nija icchā anusāre kichu nā cintiba // HNC_13.17 //	nija icCA anusAre kiCu nA cintibaH // HNS_13.17 //
   kṛṣṇa icchā mate haya āmāra saṃsāra /	kRzNaH icCA mate hayaH AmAra saMsAra /
   kṛṣṇa icchā mate āmi ha-i bhava-pāra // HNC_13.18 //	kRzNaH icCA mate Ami ha-i Bava--pAra // HNS_13.18 //
   duḥkhe thāki sukhe thāki āmi kṛṣṇa dāsa /	duHKe TAki suKe TAki Ami kRzNa dAsa /
   kṛṣṇecchāya sarva jīve dayāra prakāśa // HNC_13.19 //	kRzNa-icCAya sarva jIve dayAra prakASa // HNS_13.19 //
   mama bhoga karma-bhoga kṛṣṇa icchā mata /	mama Boga karma--Boga kRzNaH icCA mata /
   āmāra vairāgya kṛṣṇa icchā anugata // HNC_13.20 //	AmAra vErAgya kRzNaH icCA anugataH // HNS_13.20 //
   śaraṇāpatti ha-ile ātma-nivedana haya	SaraNa-apatti ha-ile Atma--nivedana haya
   sarala bhāvete yabe ei bhāva haya /	sarala BAvete yabe ei BAva haya /
   ātma nivedana tāre bali mahāśaya // HNC_13.21 //	Atma nivedana tAre bali mahA-ASayaH // HNS_13.21 //
   śaraṇāpatti vyatīta nāmāśraye yāhā haya	SaraNa-apatti vyatIta nAma-ASraye yAhAH haya
   ṣaḍ-vidha śaraṇāgati nāhika yāhāra /	zaz--viDa SaraNa-Agati nAhika yAhAra /
   se adhama ahaṃ mama buddhi doṣe chāra // HNC_13.22 //	se aDama aham mama budDi doze CAraH // HNS_13.22 //
   se bale āmi ta kartā saṃsāra āmāra /	se bale Ami te kartA saMsAraH AmAraH /
   nija karma phala bhoga sukha duḥkha āra // HNC_13.23 //	nija karma Pala Boga suKa duHKaH AraH // HNS_13.23 //
   āmāra rakṣaka āmi, āmi ta pālaka /	AmAra rakzakaH Ami, Ami te pAlaka /
   āmāra vanitā bhrātā bālikā bālaka // HNC_13.24 //	AmAra vanitA BrAtA bAlikA bAlakaH // HNS_13.24 //
   āmi ta arjana kari āmāra ceṣṭāya /	Ami te arjana kari AmAra cezwAya /
   sarva kāryya siddha haya sarva śobhā pāya // HNC_13.25 //	sarva kAryya sidDa haya sarve SoBA pAyo // HNS_13.25 //
   ahaṃ mama buddhi krame bahirmukha jana /	aham mama budDi krame bahirmuKa janaH /
   nija jñāna bale bahu karaye mānana // HNC_13.26 //	nija jQAna bale bahu karaye mAnanaH // HNS_13.26 //
   sei jñāna bale śilpa vijñāna vistāre /	sei jQAna bale Silpa vijQAna vistAre /
   īśvarera īśitā nā māne duṣṭācāre // HNC_13.27 //	ISvareraH ISitAH nA mAne duzwa-AcAre // HNS_13.27 //
   śrī-nāma-māhātmya śuni viśvāsa nā kare /	SrI-nAma-mAhAtmya Suni viSvAsa nA kare /
   loka vyavahāre kabhu kṛṣṇa-nāmoccāre // HNC_13.28 //	loka vyavahAre kaBu kRzNa-nAma-uccAre // HNS_13.28 //
   kṛṣṇa nāma kare tabu nāhi pāya prīti /	kRzNa nAma kare tabu na-ahi pAya prIti /
   dharma dhvajī śaṭha jana jīvane e rīti // HNC_13.29 //	Darma DvajI SaWa jana jIvane e rIti // HNS_13.29 //
   helāya uccāre nāma kichu puṇya haya /	helAya uccAre nAma kiCu puNya haya /
   prīti phala nāhi phale sarva śāstre kaya // HNC_13.30 //	prIti Pala nAhi Pale sarva SAstre kayaH // HNS_13.30 //
   ihāra mūla ki ?	iha-Ara mUla ki ?
   māyā baddha haite ei aparādha haya /	mAyA badDa ha-ete ei aparADa haya /
   ihāte niṣkṛti lābha kaṭhina niścaya // HNC_13.31 //	iha-ate nizkRti lABa kaWina niScaya // HNS_13.31 //
   śuddha bhakti phale yāṅra virakti ha-ila /	SudDa Bakti Pale yAFra virakti ha-ilaH /
   saṃsāra chāḍiyā sei nāmāśraya nila // HNC_13.32 //	saMsAra CAxiyA sei nAma-ASraya nila // HNS_13.32 //
   ei doṣa tyāgera upāya	ei doza tyAgeraH upAya
   niṣkiñcana bhāve bhaje śrī kṛṣṇa caraṇa /	nizkiQcana BAve Baje SrI kRzNa caraNa /
   viṣaya chāḍiyā kare nāma saṅkīrtana // HNC_13.33 //	vizaya CAxiyA kare nAma saFkIrtana // HNS_13.33 //
   sei sādhu jane anveṣiyā tāṅra saṅga /	sei sADu jane anveziyA tAFra saFga /
   karibe sevibe chāḍi viṣaya taraṅga // HNC_13.34 //	karibe sevibe CAxi vizaya taraFgaH // HNS_13.34 //
   krame krame nāme mati ha-ibe sañcāra /	krame krame nAme mati ha-ibe saQcAra /
   ahaṃtā mamatā yābe māyā habe pāra // HNC_13.35 //	ahaMtA mamatA yAbe mAyA habe pAra // HNS_13.35 //
   nāmera māhātmya śuni ahaṃ mama bhāva /	nAma-ira mAhAtmya Suni aham mama BAvaH /
   chāḍiyā śaraṇātai bhaktera svabhāva // HNC_13.36 //	CAxiyA SaraNAtE Baktera svaBAva // HNS_13.36 //
   nāmera śaraṇāgata yei mahājana /	nAmera SaraNa-Agata yei mahAjana /
   kṛṣṇa nāma kare pāya prema mahā dhana // HNC_13.37 //	kRzNa nAma kare pAya prema mahA DanaH // HNS_13.37 //
   daśāparādha śūnya vyaktira lakṣaṇa	daSa-aparADa SUnya vyaktira lakzaNa
   ataeva sādhu nindā yatane chāḍiyā /	ataeva sADu nindA yatane CAxiyAH /
   para tattva viṣṇu śuddha manete jāniyā // HNC_13.38 //	para tattva vizNu SudDa manete jAniyA // HNS_13.38 //
   nāma guru nāma śāstra sarvottama jāni /	nAma guru nAma SAstra sarva-uttama jAni /
   viśuddha cinmaya nāma hṛdayete māni // HNC_13.39 //	viSudDa cit-maya nAma hRdayete mAni // HNS_13.39 //
   pāpa spṛhā pāpa bīja tyajiyā yatane /	pApa spRhA pApa bIja tyajiyAH yatane /
   pracāriyā śuddha nāma śraddhānvita jane // HNC_13.40 //	pracAriyA SudDa nAma SradDA-anvita jane // HNS_13.40 //
   anya śubha karma haite la-iyā virāma /	anyaH SuBa karma ha-ete la-iyAH virAma /
   smare ye śaraṇāgata apramāde nāma // HNC_13.41 //	smare ye SaraNa-Agata apramAde nAma // HNS_13.41 //
   niraparādhe nāme la-ile alpa dine bhāvodaya haya	niraparADe nAme la-ile alpa dine BAva-udaya haya
   sei dhanya tri-jagate sei bhāgyavān /	sei Danya tri-jagate sei BAgyavAn /
   kṛṣṇa kṛpā yogya sei guṇera nidāna // HNC_13.42 //	kRzNa kRpA yogya sei guNera nidAnaH // HNS_13.42 //
   ati alpa dine tāṅra śrī-nāma-granaṇe /	ati alpa dine tAFra SrI-nAma--gra-naNe /
   bhāvodaya haya āra pāya prema dhane // HNC_13.43 //	BAva-udaya hayaH Ara pAya prema Dane // HNS_13.43 //
   unnati krama	unnati krama
   evambhūta janera sādhana daśā prāya /	evam-BUta janera sADana daSA prAyas /
   ati svalpa dine yāya kṛṣṇera icchāya // HNC_13.44 //	ati su-alpa dine yAya kRzNeraH icCAya // HNS_13.44 //
   bhāva daśā haite haite prema daśā haya /	BAva daSA ha-ete ha-ete prema daSA haya /
   prema daśā sarva siddhi sarva śāstra kaya // HNC_13.45 //	prema daSA sarva sidDi sarva SAstra kayaH // HNS_13.45 //
   tumi baliyācha nāma yei mahājana /	tumi baliyACa nAma yei mahAjana /
   la-ibe niraparādhe pābe prema dhana // HNC_13.46 //	la-ibe niraparADe pAbe prema DanaH // HNS_13.46 //
   vyatireka bhāve ihāra cintā	vyatireka BAve iha-Ara cintA
   aparādha nāhi chāḍi' nāma yadi laya /	aparADa na-ahi CAxi-a nAma yadi layaH /
   sahasra sādhane tāra bhakti nāhi haya // HNC_13.47 //	sahasra sADane tAra Bakti na-ahi haya // HNS_13.47 //
   jñāne mukti karme bhukti jñānī karmī jane /	jQAne mukti karme Bukti jQAnI karmI jane /
   sudurlabhā kṛṣṇa bhakti nirmala sādhane // HNC_13.48 //	su-durlaBA kRzNa Bakti nirmala sADane // HNS_13.48 //
   bhukti mukti bhakti sama bhakti muktā phala /	Bukti mukti Bakti sama Bakti muktA PalaH /
   jīvera mahimā bhaki prāpti sunirmala // HNC_13.49 //	jIvera mahimA Baki prApti su-nirmala // HNS_13.49 //
   sādhane naipuṇya yoge atyalpa sādhane /	sADane nEpuNya yoge ati-alpa sADane /
   bhakti latā prema phala dena bhakta jane // HNC_13.50 //	Bakti latA prema Pala dena Bakta jane // HNS_13.50 //
   bhajana naipuṇya	Bajana nEpuNya
   daśa aparādha chāḍi nāmera grahaṇa /	daSa aparADa CAxi nAmera grahaNa /
   ihāi naipuṇya haya sādhana bhajana // HNC_13.51 //	ihAi nEpuNya haya sADana BajanaH // HNS_13.51 //
   nāmāparādhera gurutā	nAma-aparADera guru-tA
   ataeva bhakti lābhe yadi lobha haya /	ataeva Bakti lABe yadi loBa haya /
   daśa aparādha chāḍi kari nāmāśraya // HNC_13.52 //	daSa aparADa CAxi kari nAma-ASraya // HNS_13.52 //
   eka eka aparādha satarka ha-iyā /	ekaH ekaH aparADa sa-tarka ha-iyAH /
   yatanete chāḍi citte vilāpa kariyā // HNC_13.53 //	yatanete CAxi citte vilApa kariyAH // HNS_13.53 //
   nāmera caraṇe kari dṛḍha nivedana /	nAmera caraNe kari dRXa nivedana /
   nāma kṛpā hale aparādha vidhvaṃsana // HNC_13.54 //	nAma kRpA hale aparADa viDvaMsana // HNS_13.54 //
   anya śubha karme nāma aparādha kṣaya /	anyaH SuBa karme nAma aparADa kzayaH /
   kona prāyaścitta yogekabhu nāhi haya // HNC_13.55 //	kona prAyaScitta yogeka-Bu na-ahi haya // HNS_13.55 //
   nāmāparādha parityāgera upāya	nAma-aparADa parityAgeraH upAya
   aviśrānta nāme nāma aparādha yāya /	aviSrAnta nAme nAma aparADa yAyaH /
   tāhe aparādha kabhu sthāna nāhi pāya // HNC_13.56 //	tAhe aparADa kaBu sTAna nAhi pAyo // HNS_13.56 //
   divārātra nāma laya anutāpa kare /	divArAtra nAma laya anutApa kare /
   tabe aparādha yāya nāma phala dhare // HNC_13.57 //	tabe aparADa yAya nAma Pala Dare // HNS_13.57 //
   aparādha gate śuddha nāmera udaya /	aparADa gate SudDa nAma-iraH udaya /
   śuddha nāma bhāvamaya āra prema maya // HNC_13.58 //	SudDa nAma BAva-mayaH Ara prema mayaH // HNS_13.58 //
   daśa aparādha yena hṛdaye nā paśe /	daSa aparADa yena hRdaye nA paSe /
   kṛpā kara mahāprabhu maji nāma rase // HNC_13.59 //	kRpA kara mahA-praBu maji nAma rase // HNS_13.59 //
   e bhaktivinoda haridāsa kṛpā bale /	e Baktivinoda haridAsa kRpA bale /
   hari-nāma-cintāmaṇi gāya kutūhale // HNC_13.60 //	hari-nAma---cintAmaNi gAya kutUhale // HNS_13.60 //
   caturdaśa pariccheda	caturdaSa paricCeda
   sevāparādha	sevA-aparADa
   jaya gaura-gadādhara jāhnavā jīvana /	jaya gOra-gada-aDara jAhnavAH jIvana /
   jaya sītāpati śrīvāsādi-bhakta-jana // HNC_14.1 //	jaya sItApati SrI-vAsa-Adi--Bakta--janaH // HNS_14.1 //
   nāma-tattve śrī-haridāsa ṭhākurake ācārya baliyā ukti kariyāchen	nAma--tattve SrI--haridAsa WAkurake AcArya baliyAH ukti kariyACen
   mahāprabhu bale śuna bhakta haridāsa /	mahA-praBu bale Suna Bakta haridAsa /
   nāma aparādha tattva karile prakāśa // HNC_14.2 //	nAma aparADa tattva karile prakASa // HNS_14.2 //
   ihāte kalira jīva labhibe maṅgala /	iha-ate kalira jIva laBibe maFgala /
   nāma-tattve tumi hao ācārya prabala // HNC_14.3 //	nAma--tattve tumi hao AcArya prabalaH // HNS_14.3 //
   tava mukhe nāma-tattva karite śravaṇa /	tava muKe nAma--tattva karite SravaNa /
   āmāra ullāsa baḍa śuna mahājana // HNC_14.4 //	AmAraH ullAsa baxa Suna mahAjanaH // HNS_14.4 //
   ācāre ācārya tumi pracāre paṇḍita /	AcAre AcArya tumi pracAre paNxitaH /
   tomāra carita nāma-ratne vibhūṣita // HNC_14.5 //	tomAra carita nAma-ratne viBUzitaH // HNS_14.5 //
   rāmānanda śikhāila more rasa-tattva /	rAma-Ananda SiKAila more rasa--tattva /
   tumi śikhāile more nāmera mahattva // HNC_14.6 //	tumi SiKA-aile more nAmera mahat-tva // HNS_14.6 //
   ebe bala sevā aparādha ki prakāra /	ebe bala sevA aparADa ki prakAra /
   śuniyā ghucibe jīvera citta andhakāra // HNC_14.7 //	SuniyA Gucibe jIvera citta anDakAra // HNS_14.7 //
   haridāsa bale se sevaka jana jāne /	haridAsa bale se sevaka jana jAne /
   āmi nāmāśraye thāki jāniba kemane // HNC_14.8 //	Ami nAma-ASraye TAki jAniba kemane // HNS_14.8 //
   tabu tava ājñā āmi laṅghibāre nāri /	tabu tava AjQA Ami laFGi-bAre nAri /
   yāhā balāibe tāhā baliba vistāri // HNC_14.9 //	yAhAH balAibe tAhAH baliba vistAri // HNS_14.9 //
   sevāparādha saṅkhyā	sevA-aparADa saFKyA
   sevā aparādha haya ananta prakāra /	sevA aparADa haya ananta prakAra /
   śrī-mūrti sambandhe saba śāstrera vicāra // HNC_14.10 //	SrI-mUrti sambanDe saba SAstrera vicAra // HNS_14.10 //
   kona śāstre dvātriṃśat aparādha gaṇi /	kona SAstre dvAtriMSat aparADa gaNi /
   kona śāstre pañcāśat gañe guṇa-maṇi // HNC_14.11 //	kona SAstre paQcASat gaQe guNa-maNi // HNS_14.11 //
   caturvidha	caturviDa
   sei aparādha caturvidhādi prakāre /	sei aparADa caturviDa-Adi prakAre /
   vibhāga karena budha gaṇa śāstre dvāre // HNC_14.12 //	viBAga karena buDa gaNa SAstre dvAre // HNS_14.12 //
   śrī-mūrti-sevaka niṣṭha kataguli tāra /	SrI-mUrti--sevaka nizWa kataguli tAraH /
   śrī mūrti sthāpaka niṣṭha aparādha āra // HNC_14.13 //	SrI mUrti sTApaka nizWa aparADaH AraH // HNS_14.13 //
   śrī-mūrti darśaka niṣṭha āra katipaya /	SrI-mUrti darSaka nizWa Ara katipaya /
   sarva niṣṭha aparādha katividha haya // HNC_14.14 //	sarva nizWa aparADa kativiDa haya // HNS_14.14 //
   sevāparādha dvātriṃśa prakāra	sevA-aparADa dvAtriMSa prakAra
   pādukā sahita yāya īśvara mandire /	pAdukA sahita yAyaH ISvara mandire /
   yāne caḍi' yāya tathā svacchanda śarīre // HNC_14.15 //	yAne caxi-a yAya taTA svacCanda SarIre // HNS_14.15 //
   utsave nā seve āra pragati nā kare /	utsave nA seve Ara pragati nA kare /
   ucchiṣṭha aśauca dehe vandana ācare // HNC_14.16 //	ucCizWa aSOca dehe vandanaH Acare // HNS_14.16 //
   eka haste praṇāma sammukhe pradakṣiṇa /	eka haste praNAma sammuKe pradakziNaH /
   devāgre prasāre pada haya vīrāsīna // HNC_14.17 //	deva-agre prasAre pada haya vIra-AsInaH // HNS_14.17 //
   devāgre śayana āra bhakṣaṇa karaya /	deva-agre SayanaH Ara BakzaNa karayaH /
   mithyā kathā ucca bhāṣā jalpanā nicaya // HNC_14.18 //	miTyA kaTA ucca BAzA jalpanAH nicaya // HNS_14.18 //
   nigrahānugraha yuddha abhakti rodana /	nigraha-anugraha yudDa aBakti rodana /
   krūra bhāṣā para nindā kambalāvaraṇa // HNC_14.19 //	krUra BAzA para nindA kambala-AvaraNaH // HNS_14.19 //
   para stuti, aślīlatā, vāyu-vimokṣaṇa /	para stuti, aSlI-latA, vAyu--vimokzaNa /
   śakti sattve gauṇa upacārera yojana // HNC_14.20 //	Sakti sattve gONaH upacArera yojanaH // HNS_14.20 //
   devānivedita dravya bhakṣaṇe svīkāra /	devAnivedita dravya BakzaNe svIkAra /
   kālodita phalādira anarpaṇa āra // HNC_14.21 //	kAla-udita Pala-Adira anarpaNaH AraH // HNS_14.21 //
   anya bhukta avaśiṣṭa khādya nivedana /	anyaH BuktaH avaSizwa KAdya nivedana /
   deva prati pṛṣṭha kari sammukhe āsana // HNC_14.22 //	deva prati pRzWa kari sammuKe Asana // HNS_14.22 //
   devāgre anyera abhivādana pūjana /	deva-agre anyeraH aBivAdana pUjane /
   guru prati mauna nija stotra ālocana // HNC_14.23 //	guru prati mOna nija stotraH AlocanaH // HNS_14.23 //
   devatā nindana ei dvātriṃśa prakāra /	devatAH nindanaH ei dvAtriMSa prakAra /
   sevā aparādha mahā purāṇe pracāra // HNC_14.24 //	sevA aparADa mahA purANe pracAra // HNS_14.24 //
   anya śāstra mate prakāra varṇana	anye SAstra mate prakAra varNana
   anyatra āchaye aparādha anyatama /	anyatra ACaye aparADa anyatama /
   saṃkṣepe baliba prabhu tava icchā mata // HNC_14.25 //	saMkzepe baliba praBu tava icCA mataH // HNS_14.25 //
   rājānna bhojana āra andhakāra ghare /	rAjAn-na BojanaH Ara anDakAra Gare /
   praveśiyā deva mūrti saṃsparśana kare // HNC_14.26 //	praveSiyAH deva mUrti saMsparSana kare // HNS_14.26 //
   avidhi pūrvaka hari mṛtyu samarpaṇa /	aviDi pUrvaka hari mRtyu samarpaNa /
   vinā vādye mandirera dvāra udghāṭana // HNC_14.27 //	vinA vAdye mandirera dvAraH udGAwanaH // HNS_14.27 //
   sārameya dṛṣṭa khādya deve samarpaṇa /	sArameya dRzwaH KAdya deve samarpaNa /
   arcana samaye mauna bhaṅga akāraṇe // HNC_14.28 //	arcana samaye mOna BaFga akAraNe // HNS_14.28 //
   bahirdeśe gamanādi pūjāra samaye /	bahis-deSe gamana-Adi pUjAra samaye /
   gandha mālya nāhi diyā dhūpana karaye // HNC_14.29 //	ganDa mAlya na-ahi diyA DUpana karaye // HNS_14.29 //
   anarha-puṣpete kṛṣṇa pūjādi karaṇa /	anarha-puzpete kRzNa pUjA-Adi karaNa /
   adhauta vadane kṛṣṇa pūjā ārambhana // HNC_14.30 //	aDOta vadane kRzNa pUjA AramBana // HNS_14.30 //
   strī saṅga kariyā kimbā rajaḥsvalā nārī /	strI saFga kariyA kimbA rajaHsvalA nArI /
   dīpa, śaba sparśiyā, ayogya vastra pari' // HNC_14.31 //	dIpa, Saba sparSiyA, ayogya vastra pari-a // HNS_14.31 //
   śaba heri', adhovāyu kariyā mokṣaṇa /	Saba heri-a, aDas-vAyu kariyA mokzaNa /
   krodha kari' śmaśānete kariyā gamana // HNC_14.32 //	kroDa kari-a SmaSAn-ete kariyA gamana // HNS_14.32 //
   ajīrṇa udare āra kusumbha paināka /	ajIrNaH udare Ara kusumBa pEnAkaH /
   sevana kariyā āra tāmbula guvāka // HNC_14.33 //	sevana kariyA Ara tAmbula guvAkaH // HNS_14.33 //
   taila mākhi kari hari-śrī-mūrti-sparśana /	tEla mAKi kari hari--SrI-mUrti-sparSana /
   eraṇḍa-patrastha puṣpe karaya arcana // HNC_14.34 //	eraNxa-patra-sTa puzpe karaya arcanaH // HNS_14.34 //
