   Pdhs_0.0 praśastapādabhāṣyam./	PDs_0.0 praSasta-pAda-BAzyam./
   yutasiddhyaparijñānāt./.sā.punar.dvayor.anyatarasya.vā.pṛthaggatimattvam.iyantu.nityānām.anityānām.tu.yuteṣv.āśrayeṣu.samavāyo.yutasiddhir.iti./	yuta-sidDi-aparijQAna-at./.sA.-punar.dvayoH-.anyatarasya.vA.-pRTak-gatimat-tvam-.iyantu.-nityAnAm.a-nityAnAm.tu.yutezu-.ASraya-izu.-samavAyaH-.yu
   Pdhs_8.10(152)	PDs_8.10(152)
   tvagindriyaśarīrayoḥ.pṛthaggatimattvam.nāsti.yuteṣv.āśrayeṣu.samavāyostīti.paraspareṇa.samyogaḥ.siddhaḥ./.aṇvākāśayos.tv.āśrayāntarābhāvepy.anyatarasya.pṛthaggatimattvāt.samyogavibhāgau.siddhau./	tvac-indriya-SarIrayoH.pRTak-gatimat-tva-m-.nAsti-.yutezu-.ASraya-izu.-samavAya-ustIti.paraspareNa.-samyogaH.sidDaH./.aNvAkASayos.tv.ASraya-ant
   Pdhs_8.10(152)	PDs_8.10(152)
   tantupaṭayor.anityayor.āśrayāntarābhāvāt.parasparataḥ.samyogavibhāgābhāva.iti./.digādīnām.tu.pṛthaggatimattvābhāvād.iti.paraspareṇa.samyogavibhāgābhāva.iti./	tantu-pawayoH-.a-nityayoH-.ASraya-antara-aBAvAt.-parasparataH.-samyoga-viBAga-aBAva-.iti-./.diS-AdIna-am-.tu.-pRTak-gati-mat-tva-aBAvAt-.iti.paraspareNa.
   Pdhs_8.10(152)	PDs_8.10(152)
   vināśas.tu.sarvasya.vibhāgasya.kṣaṇikatvād.uttarasamyogāvadhisadbhāvād.kṣaṇika.iti./	vinASa-s.tu.-sarvasya.-viBAgasya.kzaNika-tvAt-.uttara-samyoga-avaDi-sadBAvAt-.kzaNika-.iti./
   Pdhs_8.10(152)	PDs_8.10(152)
   na.tu.samyogavidyayor.eva.vibhāgas.tayor.eva.samyogād.vināśo.bhavati.kasmāt.samyuktapratyayavadvibhaktapratyayānuvṛttyabhāvāt.tasmād.uttarasamyogāvadhisadbhāvāt.kṣaṇika.iti./	na.tu.-samyoga-vidyayoH-.eva.-viBAga-s.tayoH-.eva.-samyogAt-.vinASa-u.Bavati.ka-smAt.-samyukta-pratyaya-vat-viBakta-pratyaya-anuvRtti-aBAvAt.tasmA
   Pdhs_8.10(153.3-) kvacic.cāśrayavināśād.eva.vinaśyatīti./.katham./	PDs_8.10(153.3-) kvacic.ca-ASraya-vinASAt-.eva.-vinaSyati-iti./.kaTam-./
   Pdhs_8.10(153)	PDs_8.10(153)
   yadā.dvitantukakāraṇāvayave.aṃśau.karmotpannam.aṃśvantarād.vibhāgām.ārabhate.tadaiva.tantvantare.'pi.karmotpadyate.vibhāgāc.ca.tantvārambhakasamyogavināśaḥ.tantukarmaṇā.tantvantarād.vibhāgaḥ.kriyate.ity.ekaḥ.kālaḥ./	yadA.dvi-tantuka-kAraNa-avayave.aMSO.-karma-utpannam-.aMSvantarAd.-viBAgAm.a-AraBate.tadA-eva.-tantu-antare.-api.karma-utpadyate.-viBAga-ac.ca.tantv
   Pdhs_8.10(153)	PDs_8.10(153)
   tato.yasminn.eva.kāle.vibhāgāt.tantusamyogavināśaḥ.tasminn.eva.kāle.samyogavināśāt.tantuvināśas.tasmin.vinaṣṭe.tadāśritasya.tantvantaravibhāgasya.vināśa.iti./.evam.tarhy.uttaravibhāgānutpattiprasaṅgaḥ./	tatas-.yasmin=-.eva.-kAle.-viBAga-at.-tantu-samyoga-vinASaH.tasmin=-.eva.-kAle.-samyoga-vinASAt.-tantu-vinASa-s.tasmin.-vinazwe.-tad-ASritasya.tant
   Pdhs_8.10(153)	PDs_8.10(153)
   kāraṇavibhāgābhāvāt./.tataḥ.pradeśāntarasamyogavati.samyogābhāva.ity.ato.virodhiguṇāsambhavāt.karmaṇaś.cirakālāvasthāyitvam.nityadravyasamavetasya.ca.nityatvam.iti.doṣaḥ./.katham./	kAraNa-viBAga-aBAva-at./.tataH.-pradeSa-antara-samyogavati.-samyoga-aBAva.iti-.ato.-viroDi-guNa-asamBavAt.-karmaNa-S.cira-kAla-avasTAyitvam-.nitya-drav
   Pdhs_8.10(153)	PDs_8.10(153)
   yadāpyadvyaṇukārambhakaparamāṇau.karmotpannam.aṇvantarād.vibhāgam.karoti.tadaivāṇvantare.'pi.karma.tato.yasminn.eva.kāle.vibhāgād.dravyārambhakasamyogavināśaḥ.tadaivāṇvantarakarmaṇā.dvyaṇukāṇvor.vibhāgaḥ.kriyate.tato.yasminn.eva.kāle.vibhāgāt.dvyuaṇukāṇusamyogasya.vināśaḥ.tasminn.eva.kāle.samyogavināśāt.dvyaṇukasya.vināśaḥ	yadA-api-advyaNuka-AramBaka-paramANO.-karma-utpannam.aNu-antarAd.viBAgam-.karoti.tadA-eva-aNu-antare.-api.karma.tato.yasmin=-.eva.-kAle.-viBAgAt-.dr
   Pdhs_8.10(154)	PDs_8.10(154)
   tasmin.vinaṣṭe.tadāśritasya.dvyaṇukāṇuvibhāgasya.vināśaḥ.tataś.ca.virodhiguṇāsambhavān.nityadravyasamavetakarmaṇo.nityatvam.iti./	tasmin.vinazwe.-tad-ASritasya.dvi-aNu-kANu-viBAgasya.-vinASaH.tata-S.ca.-viroDi-guNa-asamBavAn-.nitya-dravya-samaveta-karmaNaH-.nitya-tvam-.iti./
   Pdhs_8.10(154)	PDs_8.10(154)
   tantvaṃśvantaravibhāgād.vibhāga.ity.adoṣaḥ./.āśrayavināśāt.tantvor.eva.vibhāgo.vinaṣṭo.na.tantvaṃśvantaravibhāga.iti.etasmād.uttaro.vibhāgo.jāyate.aṅgulyākāśavibhāgāc.charīrākāśavibhāgavat.tasminn.eva.kāle.karma.samyogam.kṛtvā.vinaśyatīty.adoṣaḥ./	tantu-aMSu-antara-viBAgAt-.viBAga-.iti-.a-dozaH-./.ASraya-vinASa-at.-tantvoH-.eva.-viBAgaH-.vinazwaH-.na.tantu-aMSu-antara-viBAga-.iti.etasmAt-.uttaraH-
   Pdhs_8.10(154)	PDs_8.10(154)
   athavā.aṃśvantaravibhāgotpattisamakālam.tasminn.eva.tantau.karmotpadyate.tatoṃśvantaravibhāgāt.tantvārambhakasamyogavināśaḥ.tantukarmaṇā.ca.tantvantarād.vibhāgaḥ.kriyate.ity.ekaḥ.kālaḥ./	aTavA-a.aMSu-antara-viBAga-utpatti-sama-kAlam-.tasmin=-.eva.-tantO.-karma-utpadyate.-tatoMSu-antara-viBAga-at.-tantu-AramBaka-samyoga-vinASaH.-tantu-kar
   Pdhs_8.10(154)	PDs_8.10(154)
   tataḥ.samyogavināśāt.tantuvināśaḥ.tadvināśāc.ca.tadāśritayor.vibhāgakarmaṇor.yugapadvināśaḥ./.tantuvīraṇayor.vā.samyoge.sati.dravyānutpattau.pūrvoktena.vidhānenāśrayavināśasamyogābhyām.tantuvīraṇavibhāgavināśa.iti.//	tatas-.-samyoga-vinASAt.-tantu-vinASaH.tad-vinASa-ac.ca.tad-ASritayoH-.viBAga-karmaNA-UH-.-yugapad-vinASaH./.tantu-vIraNayoH-.vA.-samyoge.-sati-.dra
   Pdhs_8.11(164.3)	PDs_8.11(164.3)
   paratvam.aparatvam.ca.parāparābhidhānapratyayanimittam./.tat.tu.dvividham.dikkṛtam.kālakṛtam.ca./.tatra.dikkṛtam.digviśeṣapratyāyakam./	para-tvam-.a-paratvam-.ca.para-apara-aBiDAna-pratyaya-nimittam./.tat.tu.-dviviDam-.dikkRtam.kAla-kRtam.ca./.tatra.diS-kRta-m.dij-viSeza-pratyAya
   Pdhs_8.11(164)	PDs_8.11(164)
   kālakṛtam.ca.vayobhedapratyāyakam./.tatra.dikkṛtasyotpattir.abhidhīyate./.katham./.ekasyām.diśy.avasthitayoḥ.piṇḍayoḥ.samyuktasamyogabahvalpabhāve.saty.ekasya.draṣṭuḥ.sannikṛṣṭam.avadhim.kṛtvā.etasmād.viprakṛṣṭo.'yam.iti.paratvādhāre.'sannikṛṣṭā.buddhir.utpadyate./	kAla-kRtam-.ca.vayaH-Beda-pratyAya-kam./.tatra.diS-kRtasya-utpattiH-.aBiDIyate./.kaTam-./.ekasya-Am-.diSy.avasTita-yoH.-piNxayoH.-samyukta-samyog
   Pdhs_8.11(164)	PDs_8.11(164)
   tatas.tām.apekṣya.pareṇa.dikpradeśena.samyogāt.paratvasyotpattiḥ./.tathā.viprakṛṣṭam.cāvadhim.kṛtvā.etasmāt.sannikṛṣṭoyam.ity.aparatvādhāre.itarasmin.sannikṛṣṭā.buddhir.utpadyate./	tatas.tAm-.apekzya.-pareNa.diS-pradeSena.-samyaH-gAt.paratvasya-utpattiH./.-taTA.-viprakRzwam-.ca-avaDim-.kRtvA-a.etasmAt-.sannikRzwoyam-.iti-.apa
   Pdhs_8.11(164)	PDs_8.11(164)
   tatas.tām.apekṣyāpareṇa.dikpradeśena.samyogād.aparatvasyotpattiḥ./.kālakṛtayor.api.katham./	tatas.tAm-.apekzya-apareNa.diS-pradeSena.-samyogAt-.a-para-tvasya-utpattiH./.kAla-kRtayoH-.api.kaTam./
   Pdhs_8.11(164)	PDs_8.11(164)
   vartamānakālayor.aniyatadigdeśasamyuktayor.yuvasthavirayo.rūḍhaśmaśrukārkaśyabalipalitādisānnidhye.saty.ekasya.draṣṭur.yuvānam.avadhim.kṛtvā.sthivire.viprakṛṣṭā.buddhir.utpadyate./	vartamAna-kAlayoH-.aniyata-diS-deSa-samyuktayoH-.yuvasTa-virayo.rUXa-SmaSru-kArkaSya-bali-palita-Adi-sAnniDye.-sati-.ekasya.drazwuH-.yuvAnam-.ava
   Pdhs_8.11(164)	PDs_8.11(164)
   tatas.tām.apekṣya.pareṇa.kālapradeśena.samyogāt.paratvasyotpattiḥ./.sthaviram.cāvadhim.kṛtvā.yūni.sannikṛṣṭā.buddhir.utpadyate./.tatas.tām.apekṣyāpareṇa.kālapradeśena.samyogād.aparatvasyotpattir.iti./	tatas.tAm-.apekzya.-pareNa.-kAla-pradeSena.-samyaH-gAt.paratvasya-utpattiH./.sTa-viram.ca-avaDim-.kRtvA-A.yUni.sannikRzwA.-budDiH-.utpadyate./.t
   Pdhs_8.11(164)	PDs_8.11(164)
   vināśas.tv.apekṣābuddhisamyogadravyavināśāt./.apekṣābuddhivināśāt.tāvad.utpanne.paratve.yasmin.kāle.sāmānyabuddhir.utpannā.bhavati.tato.'pekṣābuddher.vinaśyattā.sāmānyajñānatatsambandhebhyaḥ.paratvaguṇabuddher.utpadyamānatety.ekaḥ.kālaḥ./	vinASa-s.tv.apekzA-budDi-samyoga-dravya-vinASa-at./-.apekzA-budDi-vinASa-at.tAvat-.utpanne.-paratve.yasmin.kAle.-sAmAnya-budDiH-.utpannA.-Bavati.
   Pdhs_8.11(165.4)	PDs_8.11(165.4)
   tato.'pekṣābuddher.vināśo.guṇabuddheś.cotpattiḥ.tato.'pekṣābuddhivināśād.guṇasya.vinaśyattā.guṇajñānatatsambandhebhyo.dravyabuddher.utpadyamānatety.ekaḥ.kālaḥ./.tato.dravyabuddher.utpattir.guṇasya.vināśa.iti./	tato.-apekzA-budDeH-.vinASa-u.guNa-budDeS.ca-utpattiH.tato.-apekzA-budDi-vinASAt-.guNasya.vinaSyat-tA.-guNa-jQAna-tad-sambanDeByo.-dravya-budDeH-.u
   Pdhs_8.11(165)	PDs_8.11(165)
   samyogavināśād.api.katham./.apekṣābuddhisamakālam.eva.paratvādhāre.karmotpadyate.tena.karmaṇā.dikpiṇḍavibhāgaḥ.kriyate.apekṣābuddhitaḥ.paratvasyotpattir.ity.ekaḥ.kālaḥ./	samyoga-vinASAt-.api.kaTam-./.apekzA-budDi-sama-kAlam-.eva.-paratva-ADAre.-karma-utpadyate.-tena.-karmaNA.diS-piNxa-viBAgaH.-kriyate.apekzA-budDit
   Pdhs_8.11(165)	PDs_8.11(165)
   tataḥ.sāmānyabuddhier.utpattiḥ.dikpiṇḍasamyogasya.ca.vināśaḥ.tato.yasmin.kāle.guṇabuddhir.utpadyate.tasminn.eva.kāle.dikpiṇḍasamyogavināśād.guṇasya.vināśaḥ./.dravyavināśād.api.katham./	tatas-.sAmAnya-budDieH-.utpattiH.dikpiNxa-samyogasya.ca.-vinASa-H.ta-to.yasmin.kAle.guNa-budDiH-.utpadyate.-tasmin=-.eva.-kAle.diS-piNxa-samy
   Pdhs_8.11(165)	PDs_8.11(165)
   paratvādhārāvayave.karmotpannam.yasminn.eva.kāle.'vayavāntarād.vibhāgam.karoti.tasminn.eva.kāle.'pekṣābuddhir.utpadyate.tato.vibhāgād.yasminn.eva.kāle.samyogavināśaḥ.tasminn.eva.kāle.paratvam.utpadyate.tataḥ.samyogavināśād.dravyavināśaḥ.tadvināśāc.ca.tadāśritasya.guṇasya.vināśaḥ./	paratva-ADAra-avayave.-karma-utpannam-.yasmin=-.eva.-kAle.-avayava-antarAd.viBAgam-.karoti.tasmin=-.eva.-kAle.-apekzA-budDiH-.utpadya-te.tato.viBAj-
   Pdhs_8.11(165)	PDs_8.11(165)
   dravyāpekṣābuddhor.yugapadvināśād.api.katham./.yadā.paratvādhārāvayave.karmotpadyate.tadaivāpekṣābuddhir.utpadyate.karmaṇā.cāvayavāntarād.vibhāgaḥ.kriyate.paratvasyotpattir.ity.ekaḥ.kālaḥ./	dravya-apekzA-budDa-Ur.-yugapad-vinASAt-.api.kaTam-./.yadA.paratva-ADAra-avayave.-karma-utpadyate.-tadA-eva-apekzA-budDiH-.utpadyate.-karmaNA-a.ca-avayavAn
   Pdhs_8.11(166.1)	PDs_8.11(166.1)
   tato.yasminn.eva.kāle.'vayavavibhāgād.dravyārambhakasamyogavināśas.tasminn.eva.kāle.sāmānyabuddhir.utpadyate.tadanantaram.samyogavināśād.dravyavināśaḥ.sāmānyabuddheś.cāpekṣābuddhivināśa.ity.ekaḥ.kālaḥ./	tatas-.yasmin=-.eva.-kAle.-avayava-viBAgAt-.dravya-AramBaka-samyoga-vinASa-s.tasmin=-.eva.-kAle.-sAmAnya-budDiH-.utpadyate.-tad-anantaram-.samyogav
   Pdhs_8.11(166)	PDs_8.11(166)
   tato.dravyāpekṣābuddhor.vināśāt.paratvasya.vināśaḥ./.dravyasamyogavināśād.api.katham./	tatas-.dravya-apekzA-budDa-Ur.-vinASAt.-paratvasya.-vinASaH./.dravya-samyoga-vinASAt-.api.kaTam./
   Pdhs_8.11(166)	PDs_8.11(166)
   yadā.paratvādhārāvayave.karmotpannam.avayavāntarād.vibhāgam.karoti.tasminn.eva.kāle.piṇḍakarmāpekṣābuddhor.yugapad.utpattiḥ.tato.yasminn.eva.kāle.paratvasyotpattis.tasminn.eva.kāle.vibhāgād.dravyārambhakasamyogavināśaḥ.piṇḍakarmaṇā.dikpiṇḍasya.ca.vibhāgaḥ.kriyate.ity.ekaḥ.kālaḥ./	yadA-a.paratva-ADAra-avayave.-karma-utpannam-.avayava-antarAd.viBAgam-.karoti.tasmin=-.eva.-kAle.-piNxa-karma-apekzA-budDa-Ur.-yugapad-.utpattiH.tato.y
   Pdhs_8.11(166)	PDs_8.11(166)
   tato.yasminn.eva.kāle.sāmānyabuddhir.utpadyate.tasminn.eva.kāle.dravyārambhakasamyogavināśāt.piṇḍavināśaḥ.piṇḍavināśāc.ca.piṇḍasamyogavināśaḥ.tato.guṇabuddhisamakālam.piṇḍadikpiṇḍasamyogavināśāt.paratvasya.vināśaḥ./	tatas-.yasmin=-.eva.-kAle.-sAmAnya-budDiH-.utpadyate.-tasmin=-.eva.-kAle.dravya-AramBaka-samyoga-vinASa-at.-piNxa-vinASaH.piNxa-vinASa-ac.ca.piNxasa
   Pdhs_8.11(166)	PDs_8.11(166)
   samyogāpekṣābuddhor.yugapadvināśād.api.katham./.yadā.paratvam.utpadyate.tadā.paratvādhāre.karma.tato.yasminn.eva.kāle.paratvasāmānyabuddhir.utpadyate.tasminn.eva.kāle.piṇḍakarmaṇā.dikpiṇḍavibhāgaḥ.kriyate.tataḥ.sāmānyabuddhito.'pekṣābuddhivināśo.vibhāgāc.ca.dikpiṇḍasamyogavināśa.ity.ekaḥ.kālaḥ./	samyoga-apekzA-budDa-Ur.-yugapad-vinASAt-.api.kaTam-./.yadA.paratvam-.utpadyate.tadA-a.paratva-ADAre.-karma.-tato.yasmin=-.eva.-kAle.-paratva-sAmAn
   Pdhs_8.11(166) tataḥ.samyogāpekṣābuddhivināśāt.paratvasya.vināśaḥ./	PDs_8.11(166) tatas-.-samyoga-apekzA-budDi-vinASAt.-paratvasya.-vinASaH./
   Pdhs_8.11(167.1)	PDs_8.11(167.1)
   trayāṇām.samavāyyasamavāyinimittakāraṇānām.yugapad.vināśād.api.katham./.yadāpekṣābuddhir.utpadyate.tadā.piṇḍāvayave.karma.tato.yasminn.eva.kāle.karmaṇāvayavāntarād.vibhāgaḥ.kriyate.'pekṣābuddheḥ.paratvasya.cotpattis.tasminn.eva.kāle.piṇḍe.'pi.karma.tato.'vayavavibhāgāt.piṇḍārambhakasamyogavināśaḥ.piṇḍakarmaṇā.ca.dikpiṇḍavibhāgaḥ.kriyate.sāmānyabuddheś.cotpattir.ity.ekaḥ.kālaḥ./	trayANAm.-samavAyi-asamavAyi-nimitta-kAraNA-nAm.yuga-pad.-vinASAt-.api.kaTam-./.yadApekzA-budDiH-.utpadyate.-tadA.piNxa-avayave.-karma.tato.ya
   Pdhs_8.11(167)	PDs_8.11(167)
   tataḥ.samyogavināśāt.piṇḍavināśaḥ.vibhāgāc.ca.dikpiṇḍasamyogavināśaḥ.sāmānyajñānād.apekṣābuddher.vināśa.ity.etat.sarvam.yugapat.trayāṇām.samavāyyasamavāyinimittakāraṇānām.vināśāt.paratvasya.vināśa.iti.//	tatas-.-samyoga-vinASa-at.-piNxa-vinASaH.viBAga-ac.ca.-diS-piNxa-samyoga-vinASaH.-sAmAnya-jQAnAt-.apekzA-budDeH-.vinASa.-iti-.etat.-sarvam-.yugapat.t-
   Pdhs_8.12(171.16) buddhir.upalabdhir.jñānam.pratyaya.iti.paryāyāḥ.//	PDs_8.12(171.16) budDiH-.upalabDiH-.jQAnam-.pratyaya-.iti.paryAyAH.//
   Pdhs_8.12(172.13) sā.cānekaprakārārthānantyāt.pratyarthaniyatatvāc.ca.//	PDs_8.12(172.13) sA.ca-aneka-prakAra-arTa-AnantyAt.-pratyarTa-niyata-tva-Ac.ca.//
   Pdhs_8.12(172.19)	PDs_8.12(172.19)
   tasyāḥ.saty.apy.anekavidhatve.samāsato.dve.vidhe.vidyā.cāvidyā.ceti./.tatrāvidyā.caturvidhā.saṃśayaviparyayānadhyavasāyasvapnalakṣaṇā.//	tasyAH.sati-.api-.anekaviDa-tve.-samAsa-to.dve.viDe.-vidyA.-ca-avidyA.-ceti./.-tatra-avidyA.-caturviDA.-saMSaya-viparyaya-anaDyavasAya-svapna-lakza
   Pdhs_8.12.1.1(174.20)	PDs_8.12.1.1(174.20)
   saṃśayas.tāvat.prasiddhānekaviśeṣayoḥ.sādṛśyamātradarśanād.ubhayaviśeṣānusmaraṇād.adharmāc.ca.kiṃsvid.ity.ubhayāvalambī.vimarṣaḥ.saṃśayaḥ./	saMSaya-s.tAvat.-prasidDa-aneka-viSezayoH.-sAdRSya-mAtra-darSana-Ad.u-Baya-viSeza-anusmaraNAt-.a-Darma-ac.ca.-kiMsvid-.iti-.uBaya-avalambI.-vimarzaH.-sa
   Pdhs_8.12.1.1(174)	PDs_8.12.1.1(174)
   sa.ca.dvividhaḥ.antar.bahiś.ca./.antas.tāvat.ādeśikasya.samyaṅmithyā..coddiśya.punar.ādiśatas.triṣu.kāleṣu.saṃśayo.bhavati.kin.nu.samyaṅmithyā.veti./	sa.ca.dviviDaH.antar.-bahi-S.ca./.anta-s.tAvat.AdeSikasya.-samyak-miTyA-..ca-uddiSya.-punar.Adi-Sata-s.trizu.-kAla-izu.-saMSayaH-.Bavati.kin.nu.
   Pdhs_8.12.1.1(174) bahir.dvividhaḥ.pratyakṣaviṣaye.cāpratyakṣaviṣaye.ca./	PDs_8.12.1.1(174) bahis-.dviviDaH.-pratyakza-vizaye.-ca-apratyakza-vizaye.-ca./
   Pdhs_8.12.1.1(175.1)	PDs_8.12.1.1(175.1)
   tatrāpratyakṣaviṣaye.tāvat.sādhāraṇaliṅgadarśanād.ubhayaviśeṣānusmaraṇād.adharmāc.ca.saṃśayo.bhavati./.yathā.'ṭavyām.viṣāṇamātradarśanād.gaur.gavayo.veti./	tatra-apratyakza-vizaye.tAvat.-sADAraNa-liFga-darSana-Ad.u-Baya-viSeza-anusmaraNAt-.a-Darma-ac.ca.saMSaya-u.Bavati-./.yaTA.-awavyAm.vizANa-mAtra-darS
   Pdhs_8.12.1.1(175)	PDs_8.12.1.1(175)
   pratyakṣāviṣaye.'pi.sthāṇupuruṣayor.ūrdhvatāmātrasādūśyadarśanāt.vakrādiviśeṣānupalabdhitaḥ.sthāṇutvādisāmānyaviśeṣānabhivyaktāv.ubhayaviśeṣānusmaraṇād.ubhayatrākṛṣyamāṇasyātmanaḥ.pratyayo.dolāyate.kim.nu.khalv.ayam.sthāṇuḥ.syāt.puruṣo.veti.//	pratyakza-avizaye.-api.sTANu-puruzayoH-.UrDva-tA-mAtra-sAdUSya-darSanAt.vakra-Adi-viSeza-anupalabDitaH.-sTANu-tva-Adi-sAmAnya-viSezAnaBivyaktO=-.uBa
   Pdhs_8.12.1.2(177.10) viparyayopi.pratyakṣānumānaviṣaya.eva.bhavati./	PDs_8.12.1.2(177.10) viparyaya-upi.-pratyakza-anumAna-vizaya-.eva.-Bavati./
   Pdhs_8.12.1.2(177)	PDs_8.12.1.2(177)
   pratyakṣaviṣaye.tāvat.prasiddhānekaviśeṣayoḥ.pittakaphānilopahatendriyasyāyathārthālocanāt.asannihitaviṣayajñānajasaṃskārāpekṣād.ātmamanasoḥ.samyogād.adharmāc.cātasmiṃs.tad.iti.pratyayo.viparyayaḥ./	pratyakza-vizaye.-tAvat.-prasidDa-aneka-viSezayoH.pitta-kaPa-anila-upahata-indriyasya-ayaTa-arTa-Alocana-at.a-sat-nihita-vizaya-jQAna-ja-saMskAra-apekzA-d.At
   Pdhs_8.12.1.2(177)	PDs_8.12.1.2(177)
   yathā.gavyevāśva.iti./.asaty.api.pratyakṣe.pratyakṣābhimāno.bhavati.yathā.vyapagataghanapaṭalamacalajalanidhisadūśambaram.aṃjanacūrṇapuṃjaśyāam.śārvaram.tama.iti./	yaTA.gavya-iva-aSva.iti./.asati-.api.pratyakze.-pratyakza-aBimAna-u.Bavati.yaTA-a.vyapagata-Gana-pawalam-acala-jalaniDi-sadUSambaram-.aMjana-cUrNa
   Pdhs_8.12.1.2(177)	PDs_8.12.1.2(177)
   anumānaviṣaye.'pi.bāṣpādibhir.dhūmābhimatair.vahyanumāṇam.gavayaviṣāṇadarśanāc.ca.gaur.iti./	anumAna-vizaye.-api.bAzpa-AdiBiH-.DUma-aBimatEH-.vahya-numANa-m.ga-vaya-vizANa-darSana-Ac.ca.-gOr.iti./
   Pdhs_8.12.1.2(177)	PDs_8.12.1.2(177)
   trayīdarśanaviparīteṣu.śākyādidarśaneṣv.idam.śreya.iti.mithyāpratyayaḥ.viparyayaḥ.śarīrendriyamanas.svātmābhimānaḥ.kṛtakeṣu.nityatvadarśanam.kāraṇavaikalye.kāryotpattijñānam.hitam.upadiśatsv.ahitam.itijñānam.ahitam.upadiśatsu.hitam.itijñānam.//	trayI-darSana-viparIta-izu.-SAkya-Adi-darSanezu-.idam-.Sreya-.iti.miTyA-pratyaya-H.viparyayaH.-SarIra-indriya-manas.sva-Atma-aBimAnaH.kRtakezu.-nitya
   Pdhs_8.12.1.3(182.1)	PDs_8.12.1.3(182.1)
   anadhyavasāyopi.pratyakṣānumānaviṣaya.eva.saṃjāyate./.tatra.pratyakṣaviṣaye.tāvat.prasiddhārtheṣv.aprasiddhāryeṣu.vā.vyāsaṅgād.arhtitvād.vā.kim.ity.ālocanamātram.anadhyavasāyaḥ./	anaDyavasAya-upi.-pratyakza-anumAna-vizaya-.eva.-saMjAyate./.tatra.-pratyakza-vizaye.-tAvat.-prasidDa-arTezu-.aprasidDa-Arya-izu.vA.-vyAsaFga-At-.arht
   Pdhs_8.12.1.3(182)	PDs_8.12.1.3(182)
   yathā.vāhīkasya.panasādiṣv.anadhyavasāyo.bhavati./.tatra.sattādravyatvapṛthvītvavṛkṣatvarūpavattvādiśākhādyapekṣo.'dhyavasāyo.bhavati./	yaTA-a.vAhIka-sya.panasa-Adizu-.anaDya-vasAya-u.Bavati./.tatra.-sattA-dravya-tva-pRTvI-tva-vRkza-tva-rUpavat-tva-Adi-SAKA-Adi-apekzo.-aDyavasAya-u.Bavati.
   Pdhs_8.12.1.3(182)	PDs_8.12.1.3(182)
   panasatvam.api.panaseṣv.anuvṛttam.āṃrādibhyo.vyāvṛttam.pratyakṣam.eva.kevalam.tūpadeśābhāvād.viśeṣasaṃjñāpratipattir.na.bhavati./	panasa-tvam-.api.panasezu-.anuvRtta-m.AMrAdiByaH-.vyAvRttam-.pratyakzam-.eva.-kevala-m.tu-upadeSa-aBAvAt-.viSeza-saMjQA-pratipattiH-.na.Bavati./
   Pdhs_8.12.1.3(182)	PDs_8.12.1.3(182)
   anumānaviṣaye.'pi.nārikeladvīpavāsinaḥ.sāsnāmātradarśanāt.konu.khalv.ayam.prāṇī.syād.ity.anadhyavasāyo.bhavati.//	anumAna-vizaye.-api.nArikela-dvIpa-vAsinaH.-sA-asnA-mAtra-darSa-nAt.konu.Kalv.ayam.prANI.sya-Ad.iti-.anaDyavasAya-u.Bavati.//
   Pdhs_8.12.1.4(183.13)	PDs_8.12.1.4(183.13)
   uparatendriyagrāmasya.pralīnamanaskasyendriyadvāreṇaiva.yad.anubhavanam.mānasam.tat.svapnajñānam./.katham./	uparata-indriya-grAmasya.-pralIna-manaskasya-indriya-dvAreNa-eva.yat-.anuBavanam-.mAnasam-.tat.-svapna-jQAnam-./.kaTam./
   Pdhs_8.12.1.4(183)	PDs_8.12.1.4(183)
   yadā.buddhipūrvād.ātmanaḥ.śarīravyāpārād.ahani.khinnānām.prāṇinām.niśi.viśramārtham.āhārapariṇāmārtham.vādṛṣṭakāritaprayatnāpekṣād.ātmāntahkaraṇasambandhān.manasi.kriyāprabandhād.antarhṛdaye.nirindriye.ātmapradeśe.niścalam.manas.tiṣṭhati.tadā.pralīnamanaska.ity.ākhyāyate	yadA-a.budDi-pUrva-Ad.AtmanaH.-SarIra-vyApArAt-.aha-ni.KinnAnAm.prANi-nAm-.niSi.-viSrama-arTam-.a-AhAra-pariNAma-arTam-.vAdRzwa-kArita-prayatna-apekzAd.
   Pdhs_8.12.1.4(183)	PDs_8.12.1.4(183)
   pralīne.ca.tasminn.uparatendriyagrāmo.bhavati.tasyāmavasthāyām.prabandhena.prāṇāpānasantānapravṛttāv.ātmamanahsamyogaviśeṣāt.svāpākhyāt.saṃskārāc.cendriyadvāreṇaivāsatsu.viṣayeṣu.pratyakṣākāram.svapnajñānam.utpadyate./	pralIne.-ca.tasmin=-.uparata-indriya-grAma-u.Bavati.-tasyAm-avasTAyAm.-prabanDena.-prANa-apAna-santAna-pravRtta-av.Atmamanahsamyoga-viSezAt.svApA
   Pdhs_8.12.1.4(184.1)	PDs_8.12.1.4(184.1)
   tat.tu.trividham./.saṃskārapāṭavāddhātudoṣād.adṛṣṭāc.ca./	tat.tu.-triviDam-./.-saMskAra-pAwavAt-DAtu-dozAt-.adRzwa-Ac.ca./
   Pdhs_8.12.1.4(184)	PDs_8.12.1.4(184)
