   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   kṣetrajñamātmaprabhavaṃ vareṇyaṃ taṃ vāsudevaṃ śaraṇaṃ prapadya //	kzetrajQam Atma praBavam vareNyam tam vAsudevam SaraNam prapadya //
   VamP_58.45 //	VamP_58.45 //
   adṛśyamavyaktamacintyamavyayaṃ maharṣayo brahmayaṃ sanātanam /	adRSyam avyaktam acintyam avyayam mahA RzayaH brahmayam sanAtanam /
   vadanti yaṃ vai puruṣaṃ sanātanaṃ taṃ devaguhyaṃ śaraṇaṃ prapadye //	vadanti yam vE puruzam sanAtanam tam deva guhyam SaraNam prapadye //
   VamP_58.46 //	VamP_58.46 //
   yadakṣaraṃ brahma vadanti sarvagaṃ niśamya yaṃ mṛtyumukhāt pramucyate /	yat akzaram brahma vadanti sarvagam niSamya yam mRtyu muKAt pramucyate /
   tamīśvaraṃ tṛptamanuttamairguṇaiḥ parāyaṇaṃ viṣṇumupaimi sāśvatam //	tam ISvaram tRptam anuttamEH guNEH parAyaNam vizNum upEmi sa aSvatam //
   VamP_58.47 //	VamP_58.47 //
   kāryaṃ kriyā kāraṇamaprameyaṃ hiraṇyabāhuṃ varapadmanābham /	kAryam kriyA kAraNam aprameyam hiraNyabAhum vara padmanABam /
   mahābalaṃ vedanidhiṃ sureśaṃ va3jāmi viṣṇuṃ śaraṇaṃ janārdanam //	mahA balam veda niDim sureSam va3jAmi vizNum SaraNam janArdanam //
   VamP_58.48 //	VamP_58.48 //
   kirīṭakeyūramahārhaniṣkairmaṇyuttamālaṅkṛtasarvagātram /	kirIwa keyUra mahArha nizkEH maNI uttama alaFkRta sarva gAtram /
   pītāmbaraṃ kāñcanabhakticitraṃ mālādharaṃ keśavamabhyupaimi // VamP_58.49	pIta ambaram kAQcana Bakti citram mAlA Daram keSavam aByupEmi // VamP_58.49
   bhavodbhavaṃ vedavidāṃ pariṣṭhaṃ yogātmanāṃ sāṃkhyavidāṃ variṣṭham /	BavodBavam veda vidAm parizWam yoga AtmanAm sAMKya vidAm varizWam /
   ādityarudrāśvivasuprabhāvaṃ prabhuṃ prapadye 'cyutamātmavantam //	Aditya rudra aSvi vasu praBAvam praBum prapadye acyutam Atmavantam //
   VamP_58.50 //	VamP_58.50 //
   śrīvatsāṅkaṃ mahādevaṃ devaguhyamanaupamam /	SrIvatsa aFkam mahAdevam deva guhyam anOpamam /
   prapadye sūkṣmamacalaṃ vareṇyamabhayapradam // VamP_58.51 //	prapadye sUkzmam acalam vareNyam aBaya pradam // VamP_58.51 //
   prabhavaṃ sarvabhūtānāṃ nirguṇaṃ parameśvaram /	praBavam sarva BUtAnAm nirguNam parameSvaram /
   prapadye muktasaṃgānāṃ yatīnāṃ paramāṃ gatim // VamP_58.52 //	prapadye mukta saMgAnAm yatInAm paramAm gatim // VamP_58.52 //
   bhagavantaṃ guṇādhyakṣamakṣaraṃ puṣkarekṣaṇam /	Bagavantam guNa aDyakzam akzaram puzkara IkzaNam /
   śaraṇyaṃ śaraṇaṃ bhaktyā prapadye bhaktavatsalam // VamP_58.53 //	SaraNyam SaraNam BaktyA prapadye Bakta vatsalam // VamP_58.53 //
   trivikramaṃ trilokeśaṃ sarveṣāṃ prapitāmaham /	trivikramam triloka ISam sarvezAm prapitAmaham /
   yogātmānaṃ mahātmānaṃ prapadye 'haṃ janārdanam // VamP_58.54 //	yoga AtmAnam mahAtmAnam prapadye aham janArdanam // VamP_58.54 //
   ādidevamajaṃ śaṃbhuṃ vyaktāvyaktaṃ sanātanam /	Adidevam ajam SaMBum vyakta avyaktam sanAtanam /
   nārāyaṇamaṇīyāṃsaṃ prapadye brāhmaṇapriyam // VamP_58.55 //	nArAyaNam aNIyAMsam prapadye brAhmaNa priyam // VamP_58.55 //
   namo varāya devāya namaḥ sarvasahāya ca /	namaH varAya devAya namaH sarva sahAya ca /
   prapadye devadeveśamaṇīyāṃsamaṇoḥ sadā // VamP_58.56 //	prapadye devadeveSam aNIyAMsa maNoH sadA // VamP_58.56 //
   ekāya lokattvāya parataḥ paramātmane /	ekAya lokattvAya paratas paramAtmane /
   namaḥ sahasraśirase anantāya mahātmane // VamP_58.57 //	namaH sahasra Sirase anantAya mahAtmane // VamP_58.57 //
   tvāmeva paramaṃ devamṛṣayo vedapāragāḥ /	tvAm eva paramam devam RzayaH vedapAragAH /
   kīrtayanti ca yaṃ sarve brahmādīnāṃ parāyaṇam // VamP_58.58 //	kIrtayanti ca yam sarve brahma AdInAm parAyaNam // VamP_58.58 //
   namaste puṇḍarīkākṣa bhaktānāmabhayaprada /	namaH te puNxarIkAkza BaktAnAm aBaya prada /
   subrahmaṇya namaste 'stu trāhi māṃ śaraṇāgatam // VamP_58.59 //	subrahmaNya namaH te astu trAhi mAm SaraNa Agatam // VamP_58.59 //
   pulastya uvāca /	pulastyaH uvAca /
   bhaktiṃ tasyānusaṃcintya nāgasyamoghasaṃbhavaḥ /	Baktim tasya anusaMcintya nAgasi amoGa saMBavaH /
   prītimānabhavad viṣṇuḥ śaṅkhacakragadādharaḥ // VamP_58.60 //	prItimAn aBavat vizNuH SaFKa cakra gadA DaraH // VamP_58.60 //
   sānnidhyaṃ kalpayāmāsa tasmin sarasi keśavaḥ /	sAnniDyam kalpayAmAsa tasmin sarasi keSavaH /
   garuḍastho jagatsvāmī lokādhārastapodhanaḥ // VamP_58.61 //	garuxa sTaH jagatsvAmI loka ADAraH tapoDanaH // VamP_58.61 //
   grāhagrastaṃ gajendraṃ taṃ taṃ ca grāhaṃ jalāśayāt /	grAha grastam gaja indram tam tam ca grAham jalASayAt /
   ujjahārāprameyātmā tarasā madhusūdanaḥ // VamP_58.62 //	ujjahAra aprameya AtmA tarasA maDusUdanaH // VamP_58.62 //
   sthalasthaṃ dārayāmāsa grāhaṃ cakreṇa mādhavaḥ /	sTala sTam dArayAmAsa grAham cakreNa mADavaH /
   mokṣayāmāsa nāgendraṃ pāśebhyaḥ śaraṇāgatam // VamP_58.63 //	mokzayAmAsa nAga indram pASeByaH SaraNa Agatam // VamP_58.63 //
   sa hi devalaśāpena hūhūrgandharvasattamaḥ /	sa hi devala SApena hUhUH ganDarva sattamaH /
   grāhatvamagamat kṛṣṇād vadhaṃ prāpya divaṃ gataḥ // VamP_58.64 //	grAha tvam agamat kRzNAt vaDam prApya divam gataH // VamP_58.64 //
   gajo 'pi viṣṇunā spṛṣṭo jāto divyavapuḥ pumān /	gajaH api vizNunA spRzwaH jAtaH divya vapuH pumAn /
   āpadviktau yugapad gajagandharvasattamau // VamP_58.65 //	Apad viktO yugapad gaja ganDarva sattamO // VamP_58.65 //
   prītīmān puṇḍarīkākṣaḥ śaraṇāgatavatsalaḥ /	prIti imAn puNxarIkAkzaH SaraNa Agata vatsalaH /
   abhavat tvatha deveśastābhyāṃ caiva prapūjitaḥ // VamP_58.66 //	aBavat tu aTa deveSaH tAByAm ca eva prapUjitaH // VamP_58.66 //
   idaṃ ca bhagavān yogī gajendraṃ śaraṇāgatam /	idam ca BagavAn yogI gaja indram SaraNa Agatam /
   provāca muniśārdūla madhuraṃ madhusūdanaḥ // VamP_58. 67 //	provAca muni SArdUla maDuram maDusUdanaH // VamP_58. 67 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   yo māṃ tvāñca saraścaiva grāhasya ca vidāraṇam /	yaH mAm tvAQca saraH ca eva grAhasya ca vidAraNam /
   gulmakīcakareṇūnāṃ rūpaṃ meroḥ sutasya ca / /	gulma kIcakareNUnAm rUpam meroH sutasya ca / /
   58.68 aśvatthaṃ bhāskaraṃ gaṅgaṃ naimiṣāraṇyameva ca /	58.68 aSvatTam BAskaram gaFgam nEmiza araNyam eva ca /
   saṃsmariṣyanti manujāḥ prayatāḥ sthirabuddhayaḥ // VamP_58.69 //	saMsmarizyanti manujAH prayatAH sTira budDayaH // VamP_58.69 //
   kīrtayiṣyanti bhaktyā ca śroṣyanti ca śucivrataḥ /	kIrtayizyanti BaktyA ca Srozyanti ca Suci vrataH /
   duḥsvapno naśyate teṣāṃ susvapnaśca bhaviṣyati // VamP_58.70 //	duHsvapnaH naSyate tezAm su svapnaH ca Bavizyati // VamP_58.70 //
   mātsyaṃ kaurmañca vārāhaṃ vāmanaṃ tārkṣyameva ca /	mAtsyam kOrmaQca vArAham vAmanam tArkzyam eva ca /
   nārasiṃhaṃ ca nāgendraṃ sṛṣṭipralayakārakam // VamP_58.71 //	nArasiMham ca nAga indram sRzwi pralaya kArakam // VamP_58.71 //
   etāni prātarutthāya saṃsmariṣyanati ye narāḥ /	etAni prAtar utTAya saMsmarizyanati ye narAH /
   sarvapāpaiḥ pramucyante puṇyaṃ lokamavāpnuyuḥ // VamP_58.72 //	sarva pApEH pramucyante puNyam lokam avApnuyuH // VamP_58.72 //
   pulastya uvāca /	pulastyaH uvAca /
   evamuktvā hṛṣīkeśo gajendraṃ garuḍadhvajaḥ /	evam uktvA hRzIkeSaH gaja indram garuxaDvajaH /
   sparśayāmāsa hastena gajaṃ gandharvameva ca // VamP_58.73 //	sparSayAmAsa hastena gajam ganDarvam eva ca // VamP_58.73 //
   tato divyavapurbhatvā gajendro madhusūdanam /	tatas divya vapuH BatvA gaja indraH maDusUdanam /
   jagāma śaraṇaṃ vipra nārāyaṇaparāyamaḥ // VamP_58.74 //	jagAma SaraNam vipra nArAyaNa parAyamaH // VamP_58.74 //
   tato nārāyaṇaḥ śrīmān mokṣayitvā gajottamam /	tatas nArAyaNaH SrImAn mokzayitvA gaja uttamam /
   pāpabanadhācca śāpācca grāhaṃ cādbhutakarmakṛt // VamP_58.75 //	pApa banaDAt ca SApAt ca grAham ca adButa karma kRt // VamP_58.75 //
   ṛṣibhiḥ stūyamānaśca devaguhyaparāyaṇaiḥ /	RziBiH stUyamAnaH ca deva guhya parAyaNEH /
   gataḥ sa bhagavān viṣṇurdurvijñeyagatiḥ prabhuḥ // VamP_58.76 //	gataH sa BagavAn vizNuH durvijQeya gatiH praBuH // VamP_58.76 //
   gajendramokṣaṇaṃ dṛṣṭvā devāḥ śakrapurogamāḥ /	gaja indra mokzaNam dRzwvA devAH Sakra purogamAH /
   vavandire mahātmānaṃ prabhuṃ nārāyaṇaṃ harim // VamP_58.77 //	vavandire mahAtmAnam praBum nArAyaNam harim // VamP_58.77 //
   maharṣayaścāraṇāśca dṛṣṭvā gajavimokṣaṇam /	mahA RzayaH cAraNAH ca dRzwvA gaja vimokzaNam /
   vismayotphūllanayanāḥ saṃstuvanti janārdanam // VamP_58.78 //	vismaya utPUlla nayanAH saMstuvanti janArdanam // VamP_58.78 //
   prajāpatipatirbrahmā cakrapāṇiviceṣṭitam /	prajApati patiH brahmA cakra pANi vicezwitam /
   gajendramokṣaṇaṃ dṛṣṭvā idaṃ vacanamabravīt // VamP_58.79 //	gaja indra mokzaNam dRzwvA idam vacanam abravIt // VamP_58.79 //
   ya idaṃ śṛṇuyāntityaṃ prātarutthāya mānavaḥ /	yaH idam SRNuyAntityam prAtar utTAya mAnavaH /
   prāpnuyāt paramāṃ siddhiṃ duḥsvapnastasya naśyati // VamP_58.80 //	prApnuyAt paramAm sidDim duHsvapnaH tasya naSyati // VamP_58.80 //
   gajendra mokṣaṇaṃ puṇyaṃ sarvapāpapraṇāśanam /	gaja indra mokzaNam puNyam sarva pApa praNASanam /
   kathitena smṛtenātha śrutena ca tapodhanaḥ /	kaTitena smRtena aTa Srutena ca tapoDanaH /
   gajendramokṣaṇeneha sadyaḥ pāpāt pramucyate // VamP_58.81 //	gaja indra mokzaNena iha sadyas pApAt pramucyate // VamP_58.81 //
   etatpavitraṃ paramaṃ supuṇyaṃ saṃkīrtanīyaṃ caritaṃ murāreḥ /	etat pavitram paramam su puNyam saMkIrtanIyam caritam murAreH /
   yasmin kilokte bahupāpabandhanāt labhyeta mokṣo dviradena yadvat //	yasmin kila ukte bahu pApa banDanAt laByeta mokzaH dviradena yadvat //
   VamP_58.82 //	VamP_58.82 //
   ajaṃ vareṇyaṃ varapadmanābhaṃ nārāyaṇaṃ brahmanidhiṃ sureśam /	ajam vareNyam vara padmanABam nArAyaNam brahma niDim sureSam /
   taṃ devaguhyaṃ puruṣaṃ purāṇaṃ vandāmyahaṃ lokapatiṃ vareṇyam //	tam deva guhyam puruzam purANam vandAmi aham loka patim vareNyam //
   VamP_58.83 //	VamP_58.83 //
   pulastya uvāca /	pulastyaH uvAca /
   etat tavoktaṃ pravaraṃ stavānāṃ stavaṃ murārervaranāgakīrtanam /	etat tava uktam pravaram stavAnAm stavam murAreH vara nAga kIrtanam /
   yaṃ kīrtya saṃśrutya tathā vicintya pāpāpanodaṃ puruṣo labheta //	yam kIrtya saMSrutya taTA vicintya pApa apanodam puruzaH laBeta //
   VamP_58.84 //	VamP_58.84 //
   iti śrīvāmanapurāṇe aṣṭapañcāśo 'dhyāyaḥ	iti SrI vAmanapurANe azwa paQcASaH aDyAyaH
   pulastya uvāca /	pulastyaH uvAca /
   kaścidāsīd dvijadrogdhā piśunaḥ kṣatriyādhamaḥ /	kaScid AsIt dvijadrogDA piSunaH kzatriya aDamaH /
   parapīḍāruciḥ kṣudraḥ svabhāvādapi nirghṛṇaḥ // VamP_59.1 //	para pIxA aruciH kzudraH svaBAvAt api nirGRNaH // VamP_59.1 //
   paryāsitāḥ dā tena pitṛdevadvijātayaḥ /	paryAsitAH dA tena pitR deva dvijAtayaH /
   sa tvāyuṣi parikṣiṇe jajñe ghoro niśācaraḥ // VamP_59.2 //	sa tu Ayuzi parikziNe jajQe GoraH niSAcaraH // VamP_59.2 //
   tenaiva karmadoṣema svena pāpakṛtāṃ varaḥ /	tena eva karma dozema svena pApa kRtAm varaH /
   kruraiścakre tato vṛttiṃ rākṣasatvād viśeṣataḥ // VamP_59.3 //	krurEH cakre tatas vRttim rAkzasa tvAt viSezataH // VamP_59.3 //
   tasya pāparatasyaivaṃ jagmurvarṣaśatāni tu /	tasya pApa ratasya evam jagmuH varza SatAni tu /
   tenaiva karmadoṣeṇa nānyāṃ vṛttimarocayat // VamP_59.4 //	tena eva karma dozeNa na anyAm vRttim arocayat // VamP_59.4 //
   yaṃ yaṃ paśyati sattvaṃ sa taṃ tamādāya rākṣasaḥ /	yam yam paSyati sattvam sa tam tam AdAya rAkzasaH /
   cakhāda raudrakarmāsau bāhugocaramāgatam // VamP_59.5 //	caKAda rOdra karmA asO bAhu gocaram Agatam // VamP_59.5 //
   evaṃ tasyātiduṣṭasya kurvataḥ prāṇināṃ vadham /	evam tasya ati duzwasya kurvataH prANinAm vaDam /
   jagāma ca mahān kālaḥ pariṇāmaṃ tathā vayaḥ // VamP_59.6 //	jagAma ca mahAn kAlaH pariNAmam taTA vayaH // VamP_59.6 //
   sa kadācit tapasyantaṃ dadarśa sataritastaṭe /	sa kadAcid tapasyantam dadarSa sa taritaH tawe /
   mahābhāgamūrdhvabhujaṃ yathāvatsaṃyatendriyam // VamP_59.7 //	mahABAgam UrDvaBujam yaTAvat saMyata indriyam // VamP_59.7 //
   anayā rakṣayā brahman kṛtarakṣaṃ taponidhim /	anayA rakzayA brahman kRta rakzam tapaH niDim /
   yogācāryaṃ śuciṃ dakṣaṃ vāsudevaparāyaṇam // VamP_59.8 //	yoga AcAryam Sucim dakzam vAsudeva parAyaNam // VamP_59.8 //
   viṣṇuḥ prācyāṃ stitaścakrī viṣaṇurdakṣiṇato gadī /	vizNuH prAcyAm stitaH cakrI vizaNuH dakziNatas gadI /
   pratīcyāṃ śārṅgadhṛgviṣṇurviṣṇuḥ khaḍgī mamottare // VamP_59.9 //	pratIcyAm SArFgaDRk vizNuH vizNuH KaxgI mama uttare // VamP_59.9 //
   hṛṣīkeśo vikoṇeṣu tacchidreṣu janārdanaḥ /	hRzIkeSaH vikoNezu tad Cidrezu janArdanaH /
   kroḍarūpī harirbhūmau nārasiṃho 'mbare mama // VamP_59.10 //	kroxa rUpI hariH BUmO nArasiMhaH ambare mama // VamP_59.10 //
   śrurāntamamalaṃ cakraṃ bhramatyetat sudarśanam /	SrurAntam amalam cakram Bramati etat sudarSanam /
   asyāṃśumālā duṣprekṣyā hantuṃ pretaniśācarān // VamP_59.11 //	asya aMSu mAlAH duzprekzyAH hantum preta niSAcarAn // VamP_59.11 //
   gadā ceyaṃ sahasrārcirudvaman pāvako yathā /	gadA ca iyam sahasrArciH udvaman pAvakaH yaTA /
   rakṣobhūtapiśācānāṃ ḍākinīnāṃ ca śātanī // VamP_59.12 //	rakzaH BUta piSAcAnAm xAkinInAm ca SAtanI // VamP_59.12 //
   śārṅgaṃ visphūrjitaṃ caiva vāsudevasya madripūn /	SArFgam visPUrjitam ca eva vAsudevasya madripUn /
   tiryaṅmanuṣyakūṣmāṇḍapretādīn hantvaśeṣataḥ // VamP_59.13 //	tiryak manuzya kUzmANxa preta AdIn hantu aSezatas // VamP_59.13 //
   khaḍgadhārājvalajjyotsnānirdhūtā ye mamāhitāḥ /	Kaxga DArA jvalat jyotsnA nirDUtAH ye mama ahitAH /
   te yāntu saumyatāṃ sadyo garuḍeneva pannagāḥ // VamP_59.14 //	te yAntu sOmya tAm sadyas garuxena iva pannagAH // VamP_59.14 //
   ye kūṣmāṇḍāstathā yakṣā daityā ye ca niśācarāḥ /	ye kUzmANxAH taTA yakzAH dEtyAH ye ca niSAcarAH /
   pretā vināyakāḥ krūrā manuṣyā jṛmbhakāḥ khagāḥ // VamP_59.15 //	pretAH vinAyakAH krUrAH manuzyAH jRmBakAH KagAH // VamP_59.15 //
   siṃhādayo ye paśavo dandaśūkāśca pannagāḥ /	siMha AdayaH ye paSavaH dandaSUkAH ca pannagAH /
   sarve bhavantu me saumyā viṣṇucakraravāhatāḥ // VamP_59.16 //	sarve Bavantu me sOmyAH vizNu cakra rava AhatAH // VamP_59.16 //
   cittavṛttiharā ye ca ye janāḥ smṛtīhārakāḥ /	citta vRtti harAH ye ca ye janAH smRtI hArakAH /
   balaujasāṃ ca hartāraśchāyāvidhvaṃsakāśca ye // VamP_59.17 //	bala ojasAm ca hartAraH CAyA viDvaMsakAH ca ye // VamP_59.17 //
   ye copabhogahartāro ye ca lakṣaṇanāśakāḥ /	ye ca upaBoga hartAraH ye ca lakzaNa nASakAH /
   kūṣmāṇḍāste praṇaśyantu viṣṇucakraravāhatāḥ // VamP_59.18 //	kUzmANxAH te praNaSyantu vizNu cakra rava AhatAH // VamP_59.18 //
   buddhisvāsthyaṃ manaḥsvāsthyaṃ svāsthamaindriyakaṃ tathā /	budDi svAsTyam manaH svAsTyam svAsTam Endriyakam taTA /
   mamāstu devadevasya vāsudevasya kīrtanāt // VamP_59.19 //	mama astu devadevasya vAsudevasya kIrtanAt // VamP_59.19 //
   pṛṣṭhe purastādatha dakṣiṇottare vikoṇataścāstu najārdano hariḥ /	pRzWe purastAt aTa dakziNa uttare vikoNataH ca astu naja ardanaH hariH /
   tamīḍyamīśānamanantamacyutaṃ janārdanaṃ praṇipatito na sīdati //	tam Ixyam ISAnam anantam acyutam janArdanam praNipatitaH na sIdati //
   VamP_59.20 //	VamP_59.20 //
   yathā paraṃ brahma haristathā paraṃ jagatsvarūpaśca sa eva keśavaḥ /	yaTA param brahma hariH taTA param jagat svarUpaH ca saH eva keSavaH /
   ṛtena tenācyutanāmakīrtanātpraṇāśametu trividhaṃ mamāsubham // VamP_59.21	Rtena tena acyuta nAma kIrtanAt praNASam etu triviDam mama asuBam // VamP_59.21
   ityasāvātmarakṣārthaṃ kṛtvā vai viṣṇupañjaram /	iti asO= Atma rakzA arTam kRtvA vE vizNu paQjaram /
   saṃsthito 'sāvapi balī rākṣasaḥ samupādravat // VamP_59.22 //	saMsTitaH asO= api baliH rAkzasaH samupAdravat // VamP_59.22 //
   tato dvijaniyuktāyāṃ rakṣāyāṃ rajanīcaraḥ /	tatas dvija niyuktAyAm rakzAyAm rajanIcaraH /
   nirdhūtavegaḥ sahasā tasthau māsacatuṣṭayam // VamP_59.23 //	nirDUta vegaH sahasA tasTO mAsa catuzwayam // VamP_59.23 //
   yāvad dvijasya devarṣe samāptirvai samādhitaḥ /	yAvat dvijasya deva Rze samAptiH vE samADitaH /
   jāte japyāvasāne 'sau ta dadarśa niśācaram // VamP_59.24 //	jAte japya avasAne asO te dadarSa niSAcaram // VamP_59.24 //
   dīnaṃ hatabālotsāhaṃ kāndiśīkaṃ hataujasam /	dInam hata bAla utsAham kAndiSIkam hata ojasam /
   taṃ dṛṣṭvā kṛpayāviṣṭaḥ samāśvāsya niśācaram // VamP_59.25 //	tam dRzwvA kRpayA AvizwaH samASvAsya niSAcaram // VamP_59.25 //
   papracchāgamane hetuṃ sa cācaṣṭa yathātatham /	papracCa Agamane hetum sa ca Acazwa yaTAtaTam /
   svabhāvamātmano draṣṭuṃ rakṣayā tejasaḥ kṣitim // VamP_59.26 //	svaBAvam AtmanaH drazwum rakzayA tejasaH kzitim // VamP_59.26 //
   kathayitvā ca tadrakṣaḥ kāraṇaṃ vividhaṃ tataḥ /	kaTayitvA ca tat rakzaH kAraNam viviDam tatas /
   prasīdetyabravīd vipraṃ nirviṇṇāḥ svena karmaṇā // VamP_59.27 //	prasIda iti abravIt vipram nirviNNAH svena karmaNA // VamP_59.27 //
   bahūni pāpāni mokṣamicchāmi tvatprasādataḥ /	bahUni pApAni mokzam icCAmi tvad prasAdataH /
   kṛtāḥ striyo mayā bahvyo vidhavāḥ putravarjitāḥ /	kRtAH striyaH mayA bahvyaH viDavAH putra varjitAH /
   anāgasāṃ ca sattvānāmalpakānāṃ kṣayaḥ kṛtaḥ // VamP_59.28 //	anAgasAm ca sattvAnAm alpakAnAm kzayaH kRtaH // VamP_59.28 //
   tasmāt pāpādahaṃ mokṣamicchami tvatprasādataḥ /	tasmAt pApAt aham mokzam icCami tvad prasAdataH /
   pāpapraśamanāyālaṃ kuru me dharmadeśanam // VamP_59.29 //	pApa praSamanAya alam kuru me Darma deSanam // VamP_59.29 //
   pāpasyāsya kṣayaramupadeśaṃ prayaccha me /	pApasya asya kzayaram upadeSam prayacCa me /
   tasya tad vacanaṃ śrutvā rākṣasasya dvijottamaḥ // VamP_59.30 //	tasya tat vacanam SrutvA rAkzasasya dvijottamaH // VamP_59.30 //
   vacanaṃ prāha dharmātmā hetumacca subhāṣitam /	vacanam prAha Darma AtmA hetumat ca suBAzitam /
   kathaṃ krūrasvabhāvasya satastava niśācara /	kaTam krUra svaBAvasya sataH tava niSAcara /
   sahasaiva samāyātā jijñāsā dharmavartmani // VamP_59.31 //	sahasA eva samAyAtAH jijQAsA Darma vartmani // VamP_59.31 //
   rākṣasa uvāca /	rAkzasaH uvAca /
   tvāṃ vai samāgato 'smyadya kṣipto 'haṃ rakṣayā balāt /	tvAm vE samAgataH asmi adya kziptaH aham rakzayA balAt /
   tava saṃsargato brahman jāto nirveda uttamaḥ // VamP_59.32 //	tava saMsargataH brahman jAtaH nirvedaH uttamaH // VamP_59.32 //
   kā sā rakṣā na tāṃ vedmi vedmi nāsyāḥ parāyaṇam /	kA sA rakzA na tAm vedmi vedmi na asyAH parAyaNam /
   yasyāḥ saṃsargasāsādya nirvedaṃ prāpitaṃ param // VamP_59.33 //	yasyAH saMsarga sAsAdya nirvedam prApitam param // VamP_59.33 //
   tvaṃ kṛpāṃ kuru dharmajña mayyanukrośamāvaha /	tvam kRpAm kuru Darma jQa mayi anukroSam Avaha /
   yathā pāpāpanodo me bhavatyārya tathā kuru // VamP_59.34 //	yaTA pApa apanodaH me Bavati Arya taTA kuru // VamP_59.34 //
   pulastya uvāca/ /	pulastyaH uvAca/ /
   ityevamuktaḥ sa munistadā vai tena rakṣasā /	iti evam uktaH sa muniH tadA vE tena rakzasA /
   pratyuvāca mahābhāgo vimṛśya suciraṃ muniḥ // VamP_59.35 //	pratyuvAca mahABAgaH vimRSya su ciram muniH // VamP_59.35 //
   ṛṣiruvāca/ /	RziH uvAca/ /
   yanmamāhopadeśārthaṃ nirviṇṇāḥ svena karmaṇā /	yat mamAhA upadeSa arTam nirviNNAH svena karmaNA /
   yuktametaddhi pāpānāṃ nivṛttirupakārikā // VamP_59.36 //	yuktam etat hi pApAnAm nivRttiH upakArikAH // VamP_59.36 //
   kariṣye yātudhānānāṃ natvahaṃ dharmadeśanam /	karizye yAtuDAnAnAm na tu aham Darma deSanam /
   tān saṃpṛccha dvijān saumya ye vai pravacane ratāḥ // VamP_59.37 //	tAn saMpRcCa dvijAn sOmya ye vE pravacane ratAH // VamP_59.37 //
   evamuktvā yayau vipraścintāmāpa sa rākṣasaḥ /	evam uktvA yayO vipraH cintAm Apa sa rAkzasaH /
   kathaṃ pāpāpanodaḥ syāditi cintākulendriyaḥ // VamP_59.38 //	kaTam pApa apanodaH syAt iti cintA Akula indriyaH // VamP_59.38 //
   na cakhāda sa sattvāni kṣudhā saṃbādhito 'pi san /	na caKAda sa sattvAni kzuDA saMbADitaH api san /
   ṣaṣṭhe ṣaṣṭhe tadā kāle jantumekamabhakṣayat // VamP_59.39 //	zazWe zazWe tadA kAle jantum ekam aBakzayat // VamP_59.39 //
   sa kadācitkṣudhāviṣṭaḥ paryaṭan vipule vane /	sa kadAcid kzuDA AvizwaH paryawan vipule vane /
   dadarśātha phalāhāramāgataṃ brahmacāriṇam // 59.40 //	dadarSa aTa Pala AhAram Agatam brahmacAriNam // 59.40 //
   gṛhīto rakṣasā tena sa tadā munidārakaḥ /	gRhItaH rakzasA tena sa tadA muni dArakaH /
   nirāśo jīvite prāha sāmapūrvaṃ niśācaram // VamP_59.41 //	nirASaH jIvite prAha sAma pUrvam niSAcaram // VamP_59.41 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   bho bhadra brūhi yat kāryaṃ gṛhīto yena hetunā /	Bo Badra brUhi yat kAryam gRhItaH yena hetunA /
   tadanubrūhi bhadraṃ te ayamasmyanuśādhi mām // VamP_59.42 //	tat anubrUhi Badram te ayam asmi anuSADi mAm // VamP_59.42 //
   rākṣasa uvāca /	rAkzasaH uvAca /
   ṣaṣṭhe kāle tvamāhāraḥ kṣudhitasya samāgataḥ /	zazWe kAle tvam AhAraH kzuDitasya samAgataH /
   niḥśrīkasyātipāpasya nirghṛṇasya dvijadruhaḥ // VamP_59.43 //	niHSrIkasya ati pApasya nirGRNasya dvija druhaH // VamP_59.43 //
   brāhmaṇa uvāca /	brAhmaNaH uvAca /
   yadyavaśyaṃ tvayā cāhaṃ bhakṣitavyo niśācara /	yadi avaSyam tvayA ca aham BakzitavyaH niSAcara /
   āyāsyāmi tavādyaiva nivedya gurave phalam // VamP_59.44 //	AyAsyAmi tava adya eva nivedya gurave Palam // VamP_59.44 //
   gurvarthametadāgatya yatphalagrahaṇaṃ kṛtam /	guru arTam etat Agatya yat Pala grahaNam kRtam /
   mamātra niṣṭhā prāptasya phalāni viniveditum // VamP_59.45 //	mama atra nizWA prAptasya PalAni viniveditum // VamP_59.45 //
   sa tvaṃ muhūrtamātraṃ māmatraivaṃ pratipālaya /	sa tvam muhUrta mAtram mAm atra evam pratipAlaya /
   nivedya gurave yāvadihāgacchāmyahaṃ phalam // VamP_59.46 //	nivedya gurave yAvat iha AgacCAmi aham Palam // VamP_59.46 //
   rākṣasa uvāca/ /	rAkzasaH uvAca/ /
   ṣaṣṭhe kāle na me brahman kaścid grahaṇamāgataḥ /	zazWe kAle na me brahman kaScid grahaNam AgataH /
   pratimucyeta devo 'pi iti me pāpājīvikā // VamP_59.47 //	pratimucyeta devaH api iti me pApa ajIvikAH // VamP_59.47 //
   eka evātra mokṣasya tava hetuḥ śṛṇuṣva tat /	ekaH eva atra mokzasya tava hetuH SRNuzva tat /
   muñcāmyahamasaṃdigdhaṃ yadi tatkurute bhavān // VamP_59.48 //	muQcAmi aham asaMdigDam yadi tat kurute BavAn // VamP_59.48 //
