   Nāṭakacandrikā	NAwaka-candrikA
   athānukta-siddhiḥ -	aTa-anukta--sidDiH -
   prastāvanaiva śeṣārtho yatrānukto'pi buddhyate |	prastAvanA-eva Seza-arTaH yatra-anuktaH-api budDyate |
   anukta-siddhir eṣā syād ity āha bharato muniḥ // RNc_178 //	anukta--sidDiH ezA syAt iti Aha BarataH muniH // RNt-_178 //
   [*NOTE: First reference to Bharata, whom he has not been following very	[*NOTE: FiH-sd reference taH Bharata, whom he has na-ut beet fa-ullowing very
   closely.	closely.
   Nāṭ 16.169 = prastāvenaiva śeṣo'rthaḥ kṛtsno yan na pratīyate | vacanena	NAj 16.169  prastAvena-eva SezaH-arTaH kRtsnaH yat na pratIyate | vacanena
   vinānukta-siddhiḥ sā parikīrtitā ||]	vinA-anukta--sidDiH sA parikIrtitAH ||]
   yathā caturthe - rādhā	yaTA caturTe  rADA
   halā labaṃga-kuḍuṅge āharantī tumaṃ buṃdāaṇa-bāsiṇā matta-kalahindeṇa	halA labaMga-kuxuFge AharantI tumam buMdAaNa--bAsiNA matta-kalahindeNa
   āadua	Aadua
   hattheṇa gahīdahatthāsi saṃbuttā | tado saṃbhamena ghusmantīe tuha haḍheṇa	hatTeNa gahIdahatTA-asi saMbuttA | tadaH saMBamena GusmantIe tuha haXeNa
   oṭṭha-pallaaṃ ḍaṃsanteṇa tinā bāme tthabaasmi phurantatikkhakāmaṅkusaṃ	owWa--pallaam xaMsanteNa tinA bAme tTa-baasmi Puranta-tikKakAm-aFku-saM
   kara-pukkharaṃ | [halā lavaṅga-kuñje āharantī tvaṃ vṛndāvana-vāsinā	kara-pukKaram | [halA lavaFga-kuQje AharantI tvam vRndAvana-vAsinA
   matta-kalabhendreṇa āgatya hastena gṛhīta-hastāsi saṃvṛttā | tataḥ	matta-kalaBa-indreNa Agatya hastena gRhIta-hastA-asi saMvRttAH | tatas-
   sambhramena	samBramena
   ghūrṇantyas tava haṭheṇa oṣṭha-pallavaṃ daṃśatā tena vāme stavake	GUrNantyaH tava haWeNa ozWa--pallavam daMSatA tena vAme stavake
   sphurat-tīkṣṇa-kāmāṅkuśaṃ kara-puṣkaram |] 91	sPurat--tIkzNa--kAma-aFkuSam kara--puzkaram |] 91
   atrānuktasyāpi stane nakharārpaṇasya bodhād anukta-siddhiḥ |	atra-anuktasya-api stane naKara-arpaNasya boDAt anukta--sidDiH |
   atha sārūpyaṃ -	aTa sArUpyam -
   dṛṣṭa-śrutānubhūtārtha-kathanādi-samudbhavam |	dRzwa--Sruta-anuBUta-arTa--kaTana-Adi--samudBavam |
   sādṛśyaṃ yatra saṅkṣobhāt tat sārūpyaṃ nirūpyate // RNc_179 //	sAdRSyam yatra saFkzoBAt tat sArUpyam nirUpyate // RNt-_179 //
   yathā caturthe -	yaTA caturTe -
   jaṭilā - are āhiṇḍiā kīsa mukhaṃ ḍhakesi? jaṃ de bijjā na bikkāidā | [are	jawilA  are AhiNxiA kIsa muKam Xakesi? jam de bijjA na bikkAidA | [are
   āhiṇḍika"	AhiNxika"
   kasmān mukham ācchādayasi? yat te vidyā na vikrītā |] (iti prasahya	kasmAt muKam AcCAdayasi? yat te vidyA na vikrItAH |] (iti prasahya
   sammukhayati) 126	sammuKayati) 126
   abhimanyuḥ - (svagatam) haddhī haddhī bāuliaāe ammāe lajjāpajjāulo kidamhi	aBimanyuH  (svagatam) hadDI hadDI bAuliaAe ammAe lajjA-pad-jAulaH kidamhi
   tā ido abakkamissam | [hā dhik, hā dhik! bātūlikayā ambayā	tAH idaH abakkamissam | [hA Dik, hA Dik! bAtUlikayA ambayA
   lajjā-paryākulaḥ	lajjA-paryAkulaH
   kṛto'smi | tad ito'pakramiṣyāmi |] 127	kRtaH-asmi | tat itas-apakramizyAmi |] 127
   atra sārikā-mukha-śruta-kṛṣṇa-praveśa-saṅkṣobhāj jaṭilāyāḥ sva-putre	atra sArikA--muKa--Sruta--kRzNa--praveSa--saFkzoBAt jawilAyAH sva-putre
   kṛṣṇa-buddhi-kathanāt sārūpyam |	kRzNa--budDi-kaTanAt sArUpyam |
   atha mālā -	aTa mAlA -
   bahūni kāraṇāny eva sā mālety abhidhīyate // RNc_180 //	bahUni kAraNAni eva sA mAlA-iti aBiDIyate // RNt-_180 //
   yathā dvitīye -	yaTA dvitIye -
   rādhā - lalide ppasīda ppasīda suṭhṭhu saṃkaulamhi | [lalite prasīda	rADA  lalide ppasIda ppasIda suWWu saMkOlam-hi | [lalite prasIda
   prasīda	prasIda
   suṣṭhu śaṅkākulāsmi |] (punaḥ saṃskṛtena)	suzWu SaFkA-AkulA-asmi |] (punar saMskRtena)
   gata-prāyaṃ sāyaṃ carita-pariśaṅkī gurujanaḥ	gata--prAyam sAyam carita--pariSaFkI guru-janaH
   parīvādas tuṅgo jagati saralāhaṃ kulavatī |	parIvAdaH tuFgaH jagati saralA-aham kulavatI |
   vayasyas te lolaḥ sakala-paśupālī-suhṛd asau	vayasyaH te lolaH sakala--paSupAlI--suhRd asO
   tadā namraṃ yāce sakhi rahasi saṅcāraya na mām || 2.19	tadA namram yAce saKi rahasi saFcAraya na mAm || 2.19
   atra sāyaṃ gamanādi-bahu-kāraṇānāṃ sveṣṭa-sañcāraṇābhāvāya kathitatvāt	atra sAyam gamana-Adi-bahu-kAraNAnAm sva-izwa--saQcAraNa-aBAvAya kaTita-tvAt-
   mālā |	mAlA |
   atha madhura-bhāṣaṇam -	aTa maDura-BAzaNam -
   yat prasannena manasā pūjyaṃ pūjayitur vacaḥ |	yat prasannena manasA pUjyam pUjayituH vacaH |
   stuti-prakāśanaṃ tat tu jñeyaṃ madhura-bhāṣaṇam // RNc_181 //	stuti--prakASanam tat tu jQeyam maDura-BAzaNam // RNt-_181 //
   yathā pañcame -	yaTA paQcame -
   nṛpau (sapraśrayam) -	nRpO (sapraSrayam) -
   ekasminn iha roma-kūpa-kuhare brahmāṇḍa-bhāṇḍāvalī	ekasmin iha roma-kUpa--kuhare brahmANxa--BANxa-AvalI
   yasya prekṣayate gavākṣa-padavī-ghūrṇat-parāṇūpamā |	yasya prekzayate gavAkza--pada-vI--GUrNat--parANu-upamA |
   keyaṃ tasya samṛddhaye tava vibho rājendratā-grāmaṭī	kA-iyam tasya samRdDaye tava viBo rAja-indra-tA-grAmawI
   śauṭīryeṇa camatkṛtiṃ tad api naḥ kām apy asau puṣyati ||(5.17)	SOwIryeNa camatkRtim tat api naH kAm api asO puzyati ||(5.17)
   atra prakaṭam eva madhu-bhāṣaṇam |	atra prakawam eva maDu-BAzaNam |
   atha pṛcchā -	aTa pRcCA -
   praśna evottare yatra sā pṛcchā parikīrtitā ||	praSnaH eva-uttare yatra sA pRcCA parikIrtitAH ||
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (puro dāḍimīm upetya)	kRzNaH (puras dAximIm upetya)
   kāntiṃ pītāṃśuka-sphītāṃ bibhratī vikṣitā vane |	kAntim pIta-aMSuka-sPItAm biBratI vikzitAH vane |
   mayādya mṛgyamāṇā sā tvayā mṛga-vilocanā || (9.18)	mayA-adya mRgyamANA sA tvayA mRga--vilocanA || (9.18)
   atra he śuka, pītāṃ kāntiṃ bibhratī mayā mṛgyamāṇā sā dṛṣṭeti praścne, he	atra he Suka, pItAm kAntim biBratI mayA mRgyamANA sA dRzwA-iti praScne, he
   pītāṃśuka, tvayā mṛgyamāṇā sā mayā dṛṣṭety uttareṇa pṛcchā |	pIta-aMSuka, tvayA mRgyamANA sA mayA dRzwA-iti uttareNa pRcCA |
   athopadiṣṭam -	aTa-upadizwam -
   śāstrānusāri yad vākyam upadiṣṭaṃ tad ucyate // RNc_182 //	SAstra-anusAri yat vAkyam upadizwam tat ucyate // RNt-_182 //
   yathā ṣaṣṭhe - nāradaḥ -	yaTA zazWe  nAradaH -
   preyasyaḥ paśupālikā viharato yās tatra vṛndāvane	preyasyaH paSupAlikAH viharataH yAH tatra vRndAvane
   lakṣmī-durlabha-citra-keli-kalikā kāntasya kaṃsa-dviṣaḥ |	lakzmI--durlaBa--citra--keli--kalikA kAntasya kaMsa-dvizaH |
   rādhā tatra varīyasīti nagarīṃ tām āśritāyāṃ kṣitau	rADA tatra varIyasi-iti nagarIm tAm ASritAyAm kzitO
   sevāṃ devi samasta-maṅgala-karī yasyās tvam aṅgīkuru || (6.19)	sevAm devi samasta-maFgala--karI yasyAH tvam aFgIkuru || (6.19)
   atra hari-priya-jana-sevā samasta-maṅgala-karīti śāstrānusāritvam |	atra hari-priya--jana--sevA samasta-maFgala-karI-iti SAstra-anusAri-tvam |
   atha dṛṣṭam -	aTa dRzwam -
   jātyādi-varṇanaṃ dhīrair dṛṣṭam ity abhidhīyate // RNc_183 //	jAti-Adi-varNanam DIrEH dRzwam iti aBiDIyate // RNt-_183 //
   yathā dvitīye -	yaTA dvitIye -
   vṛndā (puro dṛṣṭiṃ kṣipantī) -	vRndAH (puraH dRzwim kzipantI) -
   karoti dadhi-manthanaṃ sphuṭa-visarpi-phena-cchaṭā	karoti daDi-manTanam sPuwa--visarpi-Pena-=-CawA
   vicitrita-gṛhāṅgaṇaṃ gahana-gargarī-garjitam |	vicitrita-gRha-aFgaNam gahana-gargarI--garjitam |
   muhur guṇa-vikarṣaṇa-pravaṇatā-kramākuñcita-	muhur guNa--vikarzaNa--pravaNa-tA-krama-AkuQcita-
   prasārita-kara-dvayī-kvaṇita-kaṅkaṇaṃ mālatī || (2.3)	prasArita-kara--dvayI--kvaNita--kaFkaNam mAlatI || (2.3)
   atra dadhi-mathana-kriyā-svabhāva-varṇanaṃ dṛṣṭam ||	atra daDi-maTana--kriyA--svaBAva--varNanam dRzwam ||
   sandhy-antarāṇy anuktvaiva bhūṣaṇaṃ lakṣaṇākhyayā |	sanDy-antarANi anuktvA-eva BUzaNam lakzaNa-AKyayA |
   procyate'nyat traystriṃśat saṅkhyā kaścid vibhūṣaṇam // RNc_184 //	procyate-anyat traystriMSat saFKyA kaScid viBUzaNam // RNt-_184 //
   muner asammattatvena tat tu sarvam upekṣitam |	muneH asammatta-tvena tat tu sarvam upekzitam |
   keṣāñcid atra sandhy-aṅga-guṇālaṅkāra-lakṣmaṇām // RNc_185 //	kezAQcid atra sanDi--aFga-guNa-alaFkAra--lakzmaNAm // RNt-_185 //
   antarbhāve'pi yatnena kartavyatvāya kīrtitam |	antarBAve-api yatnena kartavya-tvAya kIrtitam |
   atha patākā-sthānāni -	aTa patAkA--sTAnAni -
   arthasya tu pradhānasya bhāvyavasthasya sūcakam // RNc_186 //	arTasya tu praDAnasya BAvi-avasTasya sUcakam // RNt-_186 //
   yad-āgantuka-bhāvena patākā-sthānakaṃ hi tat |	yat--Agantuka-BAvena patAkA--sTAnakam hi tat |
   etad dvidhā tulya-saṃvidhānaṃ tulya-viśeṣaṇam // RNc_187 //	etat dviDA tulya--saMviDAnam tulya--viSezaNam // RNt-_187 //
   tatrādyaṃ triprakāraṃ syād dvitīyaṃ tv ekam eva hi |	tatra-Adyam tri-prakAram syAt dvitIyam tu ekam eva hi |
   evaṃ caturvidhaṃ jñeyaṃ patākā-sthānakaṃ budhaiḥ // RNc_188 //	evam caturviDam jQeyam patAkA--sTAnakam buDEH // RNt-_188 //
   tatrādyam -	tatra-Adyam -
   sahasiavārtha-sampattir guṇavaty upacārataḥ |	sahasiava-arTa--sampattiH guNavatI upacArataH |
   patākā-sthānakam idaṃ prathamaṃ parikīrtitam // RNc_189 //	patAkA--sTAnakam idam praTamam parikIrtitam // RNt-_189 //
   yathā lalita-mādhave saptame -	yaTA lalita--mADave saptame -
   rādhikā (parikramya pītottarīyāñcalaṃ gṛhṇantī sakampam) -	rADikA (parikramya pIta-uttarIya-aQcalam gRhNantI sa-kampam) -
   dagdhaṃ hanta dadhānayā vapur idaṃ yasyāvalokāśayā	dagDam hanta daDAnayA vapuH idam yasya-avaloka-ASayA
   soḍhā marma-vipāṭane paṭur iyaṃ pīḍātivṛṣṭir mayā |	soXA marma--vipAwane pawuH iyam pIxA-ati-vRzwiH mayA |
   kālindīya-taṭī-kuṭīra-kuhara-krīḍābhisāra-vratī	kAlindIya--tawI--kuwIra-kuhara--krIxA-aBisAra-vratI
   so'yaṃ jīvita-bandhur indu-vadane bhūyaḥ samāliṅgitaḥ || 7.18 ||	saH-ayam jIvita--banDuH indu-vadane BUyas samAliFgitaH || 7.18 ||
   atra pratibimbe so'yaṃ jīvita-bandhur ity upacāra-prayogeṇa bhāvinaḥ	atra pratibimbe saH-ayam jIvita--banDuH iti upacAra--prayogeNa BAvinaH
   kṛṣṇasya	kRzNasya
   sūcanāt sahasārtha-sampatti-rūpam idaṃ patākā-sthānakam |	sUcanAt sahasA-arTa--sampatti-rUpam idam patAkA--sTAnakam |
   atha dvitīyam -	aTa dvitIyam -
   vacaḥ-sātiśaya-śliṣṭaṃ kāvya-vastu-sāśrayam |	vacaH-sa-atiSaya--Slizwam kAvya--vastu-sa-ASrayam |
   patākā-sthānakam idaṃ dvitīyaṃ parikīrtitam // RNc_190 //	patAkA--sTAnakam idam dvitIyam parikIrtitam // RNt-_190 //
   yathā dvitīye'ṅke - kṛṣṇaḥ -	yaTA dvitIye-aFke  kRzNaH -
   smara-rodhanānubandhī krama-vistārita-kalā-vilāsa-bhavaḥ |	smara--roDana-anubanDI krama--vistAri-ta-kalA--vilAsa--BavaH |
   kṣaṇadā-patir iva dṛṣṭaḥ kṣaṇa-dāyī rādhikā-saṅgaḥ || (2.17)	kzaNadA-patiH iva dRzwaH kzaNa--dAyI rADikA--saFgaH || (2.17)
   (nepathye) durlabhaḥ puṇḍarīkākṣa vṛttas te viprakarṣataḥ | 90	(nepaTye) durlaBaH puNxarIkAkza vRttaH te viprakarzataH | 90
   kṛṣṇaḥ - (savyatham uccaiḥ) bhoḥ ko'yaṃ durlabhaḥ? 91	kRzNaH  (sa-vyaTam uccEs-) BoH kaH-ayam durlaBaH? 91
   (punar nepathye)	(punar nepaTye)
   yatnād anviṣyamāṇo'pi vallavaiḥ paśu-maṇḍalaḥ || (2.18) 92	yatnAt anvizyamANaH-api vallavEH paSu--maNxalaH || (2.18) 92
   atra bhaviṣyato rādhā-saṅgama-durlabhatvasya sūcanād idaṃ śliṣṭaṃ nāma	atra BavizyataH rADA--saFga-ma--durlaBa-tvasya sUcanAt idam Slizwam nAma
   dvitīyaṃ patākā-sthānakam |	dvitIyam patAkA--sTAnakam |
   atha tṛtīyam -	aTa tRtIyam -
   arthopakṣepaṇaṃ yat tu līnaṃ savinayaṃ bhavet |	arTa-upakzepaNam yat tu lInam sa-vinayam Bavet |
   śliṣṭottara-yutaṃ nāma tṛtīyaṃ parikalpitam // RNc_191 //	Slizwa-uttara-yutam nAma tRtIyam parikalpitam // RNt-_191 //
   yathā saptame, kṛṣṇaḥ -	yaTA saptame, kRzNaH -
   (sarvataḥ prekṣya) priya-vayasya! kiyad dūre sā vṛndāṭavī ?	(sarvatas prekzya) priya--vayasya! kiyat dUre sA vRndAwavI ?
   madhumaṅgalaḥ (saṃskṛtena) -	maDu-maFgalaH (saMskRtena) -
   sphuṭac-caṭula-campaka-prakara-rocir ullāsinī	sPuwa-c-cawula--campaka-prakara-rociH ullAsinI
   madottarala-kokilāvali-kala-svarālāpinī |	mada-uttarala-kokila-Avali-kala--svarAlApinI |
   marāla-gati-śālinī kalaya kṛṣṇa-sārādhikā	marAla--gati--SAlinI kalaya kRzNa-sAra-aDikA
   (ity ardhokte)	(iti arDa-ukte)
   kṛṣṇaḥ (sasambhramautsukyam) vatsa kvāsau ?	kRzNaH (sa-samBrama-Otsukyam) vatsa kva-asO ?
   madhumaṅgalaḥ (aṅgulyā darśayan)	maDumaFgalaH (aFgulyAH darSayan)
   puraḥ sphurati vallabhā tava -	puras sPurati vallaBA tava -
   kṛṣṇaḥ (savyagram) vayasya! nāhaṃ paśyāmi | tad āśu darśaya | kva sā me	kRzNaH (savya-gram) vayasya! na-aham paSyAmi | tat ASu darSaya | kva sA me
   rādhikā ?	rADikA ?
   madhumaṅgalaḥ -- ... mukunda vṛndāṭavī || (7.17)	maDumaFgalaH - ... mukunda vRndAwavI || (7.17)
   atra sajjalpitena madhu-maṅgala-vākyena bhāvino rādhā-darśanasya	atra sat-jalpitena maDu--maFgala--vAkyena BAvinaH rADA--darSanasya
   sūcanācchliṣṭottaraṃ nāma tṛtīyaṃ patākā-sthānam |	sUcanAt-Slizwa-uttaram nAma tRtIyam patAkA--sTAnam |
   atha darśanam -	aTa darSanam -
   dvyartho vacana-vinyāsaḥ suśliṣṭaḥ kāvya-yojitaḥ |	dvi-arTaH vacana--vinyAsaH su-SlizwaH kAvya--yojitaH |
   upanyāsena yuktas tu caturthaṃ parikīrtitam // RNc_192 //	upanyAsena yuktaH tu caturTam parikIrtitam // RNt-_192 //
   yathā pañcame suparṇaḥ -	yaTA paQcame suparNaH -
   nabhasi rabhasavadbhiḥ ślāghamānā munīndrair	naBasi raBasavadBiH SlAGamAnA muni-indrEH-
   mahita-kuvalayākṣī kīrti-śubhrāṃśu-vaktrā |	mahita-kuvalayAkzI kIrti-SuBra-aMSu--vaktrA |
   nṛpakulam iha hitvā cedi-rāja-pradhānaṃ	nRpa-kulam iha hitvA cedi--rAja--praDAnam
   muradamana gamiṣyaty utsukāṃ tvāṃ jaya-śrīḥ || (5.28)	murada-mana gamizyati utsukAm tvAm jaya--SrIH || (5.28)
   atra suparṇasya dvyartha-vacanena candrāvalī-prāpti-sūcanāt	atra suparNasya dvi-arTa-vacanena candra-AvalI--prApti--sUcanAt-
   tulya-viśeṣaṇam |	tulya--viSezaNam |
   athārthopakṣepakāḥ -	aTa-arTa-upakzepakAH -
   vastu sarvaṃ dvidhā sūcyam asūcyam iti bhedataḥ |	vastu sarvam dviDA sUcyam asUcyam iti BedataH |
   rasa-hīnaṃ bhaved atra vastu tat sūcyam ucyate // RNc_193 //	rasa--hInam Bavet atra vastu tat sUcyam ucyate // RNt-_193 //
   adarśanīyam aṅke tad avaśyaṃ vācyam eva cet |	adarSanIyam aFke tat avaSyam vAcyam eva ced |
   arthopakṣepakair etat sūcayet suṣṭhu paṇḍitaḥ // RNc_194 //	arTa-upakzepakEH etat sUcayet suzWu paNxitaH // RNt-_194 //
   viṣkambha-cūlikāṅkāsyāṅkāvatāra-praveśakaiḥ |	vizkamBa--cUlikA-aFka-Asya-aFka-avatAra--praveSakEH |
   atha viṣkambhaḥ -	aTa vizkamBaH -
   bhaved viṣkambhako bhūta-bhāvi-vastv aṃśa-sūcakaḥ // RNc_195 //	Bavet vizkamBakaH BUta-BAvi-vastu aMSa--sUcakaH // RNt-_195 //
   amukhya-pātraiḥ saṅkṣepād ādāv aṅkasya darśitaḥ |	amuKya--pAtrEH saFkzepAt AdO aFkasya darSitaH |
   sa śuddho miśra ity u kto miśraḥ syān nīca-madhyamaiḥ // RNc_196 //	sa SudDaH miSraH iti u ktaH miSraH syAt nIca--maDyamEH // RNt-_196 //
   vidagdha-mādhave yadvad dvitīyāṅka-mukhe kṛtaḥ |	vidagDa--mADave yadvat dvitIya-aFka-muKe kRtaH |
   mukharāyuktayā nānīdmukhyāsau miśra-saṃjñakaḥ // RNc_197 //	muKarA-yuktayA nAnIdmuKyA-asO miSra--saMjQakaH // RNt-_197 //
   śuddhaḥ kevala-madhye'yam ekāneka-kṛto bhavet |	SudDaH kevala--maDye-ayam eka-aneka-kRtaH Bavet |
   vinirmito bahutrāyaṃ tasmin lalita-mādhave // RNc_198 //	vinirmitaH bahutra-ayam tasmin lalita--mADave // RNt-_198 //
   atha cūlikā -	aTa cUlikA -
   prājñair yavanikāntaḥsthair adṛśyair yā tu nirmitāḥ |	prAjQEH yavanikA-antaH-sTEH adRSyEH yA tu nirmitAH |
   ādāv aṅkasya madhye vā cūlikā nāma sā bhavet // RNc_199 //	AdO aFkasya maDye vA cUlikA nAma sA Bavet // RNt-_199 //
   spaṣṭaṃ bahutrodāharaṇam |	spazwam bahutra-udAharaNam |
   athāṅkāsyam -	aTa-aFkAsyam -
   yatra syād aṅka ekasminn aṅkānāṃ sūcanākhilā |	yatra syAt aFkaH ekasmin aFkAnAm sUcanA-aKilA |
   tad-aṅkāsyam iti prāhur bījārtha-khyāpakaṃ ca yat // RNc_200 //	tat--aFkA-Asyam iti prAhuH bIja-arTa--KyApakam ca yat // RNt-_200 //
   gārgī-saṃyuktayā paurṇamāsyā lalita-mādhave |	gArgI--saMyuktayA pOrNamAsyAH lalita--mADave |
   prathamāṅke yathā suṣṭhu suhitaṃ nikhilaṃ sphuṭam // RNc_201 //	praTama-aFke yaTA suzWu suhitam niKilam sPuwam // RNt-_201 //
   kecit tu -	kecid tu -
   pūrvāṅkānte sampraviṣṭaiḥ pātrair bhāvy-aṅka-vastunaḥ |	pUrva-aFka-ante sampravizwEH pAtrEH BAvi--aFka-vastunaH |
   sūcanaṃ tad avicchedyair yat tad aṅkāsyam īritam // RNc_202 //	sUcanam tat avicCedyEH yat tat aFka-Asyam Iritam // RNt-_202 //
   iti lakṣayanti |	iti lakzayanti |
   etad-aṅkāvatāreṇa gatārthatvāt tu kecana |	etat--aFka-avatAreNa gata-arTa-tvAt tu kecana |
   prathamoktārtham evedaṃ vadanty aṅka-mukhaṃ budhāḥ // RNc_203 //	praTama-ukta-arTam eva-idam vadanti aFka-muKam buDAH // RNt-_203 //
   athāṅkāvatāraḥ -	aTa-aFka-avatAraH -
   aṅkāvatāraḥ pātrāṇāṃ pūrvāṅkārthānuvartinām |	aFka-avatAraH pAtrANAm pUrva-aFka-arTa-anuvartinAm |
   avibhāgena sarveṣāṃ bhāviny aṅke praveśanam // RNc_204 //	aviBAgena sarvezAm BAvini aFke praveSanam // RNt-_204 //
   spaṣṭam udāharaṇam |	spazwam udAharaNam |
   atha praveśakaḥ -	aTa praveSakaH -
   yan nīcaiḥ kevalaṃ pātrair bhāvibhūtārtha-sūcanam |	yat nIcEs kevalam pAtrEH BAvi-BUta-arTa--sUcanam |
   aṅkayor ubhayor madhye sa vijñeyaḥ praveśakaḥ // RNc_205 //	aFkayoH uBayoH maDye sa vijQeyaH praveSakaH // RNt-_205 //
   yadā syān nīrasaṃ sūcyam āmukhānantaraṃ tadā |	yadA syAt nIrasam sUcyam AmuKa-anantaram tadA |
   viṣkambho'ṅkāsyakaṃ vā syād āmukhākṣipta-pātrakam // RNc_206 //	vizkamBaH-aFka-Asyakam vA syAt AmuKa-Akzipta--pAtrakam // RNt-_206 //
   yadā tu sarasaṃ vastu mūlād eva pravartate |	yadA tu sarasam vastu mUlAt eva pravartate |
   ādāv eva tadāṅkaḥ syād āmukhākṣepa-saṃśrayaḥ // RNc_207 //	AdO eva tadA-aFkaH syAt AmuKa-Akzepa--saMSrayaH // RNt-_207 //
   asūcyaṃ tu śobhodāra-rasa-bhāva-nirantaram |	asUcyam tu SoBA-udAra---rasa-BAva--nirantaram |
   prārambhe yady asūcyaṃ syād aṅkam evātra kalpayet // RNc_208 //	prAramBe yadi asUcyam syAt aFkam eva-atra kalpayet // RNt-_208 //
   asūcyaṃ tu dvidhā dṛśyaṃ śravyaṃ cādyaṃ tu darśayet |	asUcyam tu dviDA dRSyam Sravyam ca-Adyam tu darSayet |
   dvedhā dvitīyaṃ svagataṃ prakāśaṃ ceti bhedataḥ // RNc_209 //	dveDA dvitIyam sva-gatam prakASam ca-iti BedataH // RNt-_209 //
   svagataṃ svaika-vijñeyaṃ prakāśaṃ tad dvidhā bhavet |	sva-gatam sva-eka-vijQeyam prakASam tat dviDA Bavet |
   sarva-prakāśaṃ niyata-prakāśaṃ ceti bhedataḥ // RNc_210 //	sarva--prakASam niyata--prakASam ca-iti BedataH // RNt-_210 //
   sarva-prakāśaṃ sarveṣāṃ sthitānāṃ śravaṇocitam |	sarva--prakASam sarvezAm sTitAnAm SravaNa-ucitam |
   dvidhā vibhajyate tac ca janāntam apavāritam // RNc_211 //	dviDA viBajyate tat ca jana-antam apavAritam // RNt-_211 //
   tripatāka-kareṇānyān apavāryāntarā kathām |	tri-patAka-kareNa-anyAn apavArya-antarA kaTAm |
   yā mithaḥ kriyate dvābhyāṃ taj janāntikam ucyate // RNc_212 //	yA miTas kriyate dvAByAm tat jana-antikam ucyate // RNt-_212 //
   rahasyaṃ kathyate'nyasya parāvṛtyāpavāritam |	rahasyam kaTyate-anyasya parAvRtya-apavAritam |
   athāṅka-svarūpam -	aTa-aFka--svarUpam -
   pratyakṣanetṛ-caritaḥ kṣudra-cūrṇaka-saṃyutaḥ // RNc_213 //	pratyakza-netR--caritaH kzudra--cUrNaka--saMyutaH // RNt-_213 //
   nātīvagūḍha-śabdārtho nātipracura-padyavān |	na-atIva-gUXa--Sabda-arTaH na-ati-pracura-padyavAn |
   ayuto bahubhiḥ kāryair bīja-saṃharaṇena ca // RNc_214 //	ayutaH bahuBiH kAryEH bIja--saMharaNena ca // RNt-_214 //
   aneka-dina-nirvartyakathayā ca vivarjitaḥ |	aneka-dina--nirvartya-kaTayA ca vivarjitaH |
   dinārdha-dinayor yogya-vastunā parikalpitaḥ // RNc_215 //	dina-arDa-dinayoH yogya-vastunA parikalpitaH // RNt-_215 //
   vadhena dūrāhvānena yuddha-rājyādi-viplavaiḥ |	vaDena dUra-AhvA-anena yudDa--rAjya-Adi--viplavEH |
   śāpotsarga-vihārābhyāṃ rata-bhojana-mṛtyubhiḥ // RNc_216 //	SApa-utsarga--vihArAByAm rata-Bojana--mRtyuBiH // RNt-_216 //
   snānānulepa-nidrādyaiś cumbanāliṅganādibhiḥ |	snAna-anulepa--nidrA-AdyEH cumbana-AliFgana-AdiBiH |
   vrīḍā-heturbhir anyaiś ca bībhataiś ca vinā kṛtaḥ // RNc_217 //	vrIxA--heturBiH anyEH ca bIBatEH ca vinA kRtaH // RNt-_217 //
   anta-niṣkrānta-nikhila-pātro'ṅka iti kīrtitaḥ |	anta--nizkra-anta--niKila--pAtraH-aFkaH iti kIrtitaH |
   atha garbhāṅkaḥ	aTa garBa-aFkaH
   aṅka-prasaṅgād garbhāṅka-lakṣaṇaṃ vakṣyate mayā // RNc_218 //	aFka--prasaFgAt garBa-aFka--lakzaNam vakzyate mayA // RNt-_218 //
   aṅkasya madhye yo'ṅkaḥ syād asau garbhāṅka īritaḥ |	aFkasya maDye yaH-aFkaH syAt asO garBa-aFkaH IritaH |
   vastu-sūcaka-nāndīko diṅ-mātra-mukha-saṅgataḥ // RNc_219 //	vastu-sUcaka-nAndIkaH diF--mAtra--muKa--saFgataH // RNt-_219 //
   arthopakṣepakair hīno yutaḥ pātrais tu pañcaṣaiḥ |	arTa-upakzepakEH hInaH yutaH pAtrEH tu paQcazEH |
   anveṣya-vastu-viṣayaḥ svādhārāṅkānta-śobhitaḥ // RNc_220 //	anvezya-vastu--vizayaH sva-ADAra-aFka-anta--SoBitaH // RNt-_220 //
   nātiprapañcetivṛttaḥ prastutārthānubandhakaḥ|	na-ati-prapaQca-iti-vRttaH prastuta-arTa-anubanDakaH|
   prathamāṅke na kartavyaḥ so'yaṃ kāvya-viśāradaiḥ // RNc_221 //	praTama-aFke na kartavyaH saH-ayam kAvya--viSAradEH // RNt-_221 //
   caturthe'ṅke tu garbhāṅko yathā lalita-mādhave |	caturTe-aFke tu garBa-aFkaH yaTA lalita--mADave |
   atha sāmānya-nirṇayaḥ -	aTa sAmAnya-nirNayaH -
   nāṭake'ṅkā na kartavyā pañca-nyūnā daśādhikāḥ // RNc_222 //	nAwake-aFkAH na kartavyA paQca---nyUnAH daSa-aDikAH // RNt-_222 //
   viṣkambhakādyair api no vadho vācyo'dhikāriṇaḥ |	vizkamBaka-AdyEH api naH vaDaH vAcyaH-aDikAriNaH |
