   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   KauśS_13,2{94}.15 ||]	KOSH _13,2{94}.15 ||]
   'divyo gandharvaḥ' ityādi mātṛnāmnā gaṇenājyaṃ juhuyāt | sarvatra	adivyaH ganDarvaH a ityAdi mAtR nAmnA gaNena Ajyam juhuyAt | sarvatra
   śāntyudakaṃ yojayet | sarvatra cātanānyanuyojayet | mātṛnāmāni cānuyojayet	SAntyudakam yojayet | sarvatra cAtanAni anuyojayet | mAtR nAmAni ca anuyojayet 
   | varāṃ dhenuṃ kartre dadyāt | sarvatra kaṃsavasanaṃ gaurdakṣiṇā |	| varAm Denum kartre dadyAt | sarvatra kaMsa vasanam gOH dakziNA |
   brāhmaṇān bhaktenopepsanti | tataḥ pārvaṇādyuttaratantram ||	brAhmaNAn Baktena upepsanti | tatas pArvaNa Adi uttaratantram ||
             varamanaḍvāhaṃ brāhmaṇaḥ kartre dadyāt || KauśS_13,2{94}.16 ||	varam anaxvAham brAhmaNaH kartre dadyAt || KOSH _13,2{94}.16 ||
             sīraṃ vaiśyo'śvaṃ prādeśiko grāmavaraṃ rājā || KauśS_13,2{94}.17	sIram vESyaH aSvam prAdeSikaH grAma varam rAjA || KOSH _13,2{94}.17
             [sā tatra prāyaścittiḥ || KauśS_13,2{94}.18 ||]	[sA tatra prAyaScittiH || KOSH _13,2{94}.18 ||]
   dhenvādīni sarvatra kāṃsyādīni ca dakṣiṇā vā | ghṛtavarṣe | māṃsavarṣe |	Denu AdIni sarvatra kAMsya AdIni ca dakziNA vA | GRta varze | mAMsa varze |
   madhuvarṣe | hiraṇyavarṣe | pāṃsuvarṣe | sarpamatsyapakṣiṇo	maDu varze | hiraNya varze | pAMsu varze | sarpa matsya pakziNaH 
   yadābhyavarṣanti | asthīni rudhiraṃ vasā majjā pāṣāṇāstrairvā (?) kīṭāni	yadA aByavarzanti | asTIni ruDiram vasA majjA pAzANa astrEH vA (?) kIwAni
   anyāścānyaṃ ca ghoraṃ varṣaṇaṃ dadhi payo tailaṃ ca pakvānnavikārāśca |	anyAH ca anyam ca Goram varzaNam daDi payaH tElam ca pakva anna vikArAH ca |
   anyeṣāṃ ghorāṇāṃ varṣaṇe idaṃ karma kuryāt | samāptā	anyezAm GorANAm varzaNe idam karma kuryAt | samAptA
   vikṛtavarṣādbhūtaśāntiḥ || dvitīyā	vikRta varzAt BUta SAntiH || dvitIyA
   kaṇḍikā || KKp_94 ||	kaNxikA || KKB _94 ||
        atha yakṣādbhutaśāntirucyate 	aTa yakza adButa SAntiH ucyate 
             [atha yatraitāni yakṣāṇi dṛśyante tadyathaitanmarkaṭaḥ śvāpado	[aTa yatra etAni yakzANi dRSyante tat yaTA etat markawaH SvApadaH 
   vāyasaḥ puruṣarūpamiti tadevamāśaṅkyameva bhavati || KauśS_13,3{95}.1 ||	vAyasaH puruza rUpam iti tat evam ASaFkyam eva Bavati || KOSH _13,3{95}.1 ||
             tatra juhuyāt || KauśS_13,3{95}.2 ||	tatra juhuyAt || KOSH _13,3{95}.2 ||
             yanmarkaṭaḥ śvāpado vāyaso yadīdaṃ rāṣṭraṃ jātavedaḥ patāti |	yat markawaH SvApadaH vAyasaH yadi idam rAzwram jAtavedaH patAti |
   puruṣarakṣasamiṣiraṃ yatpatāti dviṣantamete anu yantu sarve parāñco yantu	puruza rakza samiziram yat patAti dvizantam ete anu yantu sarve parAQcaH yantu
   nivartamānāḥ || agnaye svāhā iti hutvā || KauśS_13,3{95}.3 ||	nivartamAnAH || agnaye svAhA iti hutvA || KOSH _13,3{95}.3 ||
             divyo gandharvaḥ (2.2) iti mātṛnāmabhirjuhuyāt ||	divyaH ganDarvaH (2.2) iti mAtR nAm aBiH juhuyAt ||
   KauśS_13,3{95}.4 ||	KOSH _13,3{95}.4 ||
             sā tatra prāyaścittiḥ || KauśS_13,3{95}.5 ||]	sA tatra prAyaScittiH || KOSH _13,3{95}.5 ||]
   śāntyudakaṃ kṛtvā kārayitācamanaṃ prokṣaṇaṃ kṛtvājyabhāgāntaṃ kṛtvā	SAntyudakam kRtvA kArayitA Acamanam prokzaNam kRtvA Ajya BAga antam kRtvA
   'yanmarkaṭaḥ śvāpadaḥ' ityṛcājyaṃ juhuyāt | mātṛnāmagaṇenājyaṃ juhuyāt |	ayat markawaH SvApadaH a iti RcA Ajyam juhuyAt | mAtR nAma gaNena Ajyam juhuyAt |
   pārvaṇādyuttaratantram | yakṣaśabdena sarpaśvāpadau vāyasaḥ puruṣarūpā ete	pArvaNa Adi uttaratantram | yakza Sabdena sarpa SvApadO vAyasaH puruza rUpAH ete
   dṛśyante | rakṣo vā hastino vā sūkaro vā kūpe ghaṭe vāraṇye vā gṛhe vā	dRSyante | rakzaH vA hastinaH vA sUkaraH vA kUpe Gawe vA araNye vA gRhe vA
   rakṣorūpaṃ dṛṣṭvā vapustatkṣaṇādeva na dṛśyate | tatsarvaṃ yakṣa ityucyate	rakzaH rUpam dRzwvA vapuH tad kzaNAt eva na dRSyate | tat sarvam yakzaH iti ucyate
   | samāptā yakṣādbhutaśāntiḥ || tṛtīyā kaṇḍikā || KKp_95 ||	| samAptA yakza adButa SAntiH || tRtIyA kaNxikA || KKB _95 ||
        atha gomāyuvadane śāntirucyate 	aTa gomAyu vadane SAntiH ucyate 
             [atha ha gomāyū nāma maṇḍūkau yatra vadatastadyanmanyante 'māṃ	[aTa ha gomAyU nAma maNxUkO yatra vadataH tat yat manyante amAm
   prati vadato māṃ prati vadataḥ' iti tadevamāśaṅkyameva bhavati ||	prati vadataH mAm prati vadataH a iti tat evam ASaFkyam eva Bavati ||
   KauśS_13,4{96}.1 ||	KOSH _13,4{96}.1 ||
             tatra juhuyāt || KauśS_13,4{96}.2 ||	tatra juhuyAt || KOSH _13,4{96}.2 ||
             yad gomāyū vadato jātavedo'nyayā vācābhi jañjabhātaḥ |	yat gomAyU vadataH jAtavedaH anyayA vAcA aBi jaQjaBAtaH |
   rathantaraṃ bṛhacca sāmaitad dviṣantametāvabhi nānadaitām || rathantareṇa	raTantaram bRhat ca sAma etat dvizantam etO= aBi nAnadA etAm || raTantareNa
   tvā bṛhacchamayāmi bṛhatā tvā rathantaraṃ śamayāmi | indrāgnī tvā brahmaṇā	tvA bRhat SamayAmi bRhatA tvA raTantaram SamayAmi | indra agnI tvA brahmaNA
   vāvṛdhānāvāyuṣmantāvuttamaṃ tvā karāthaḥ || indrāgnibhyāṃ svāhā iti hutvā	vAvRDAnO= AyuzmantO= uttamam tvA karATaH || indra agniByAm svAhA iti hutvA
   || KauśS_13,4{96}.3 ||	|| KOSH _13,4{96}.3 ||
             divyo gandharvaḥ (2.2) iti mātṛnāmabhirjuhuyāt ||	divyaH ganDarvaH (2.2) iti mAtR nAm aBiH juhuyAt ||
   KauśS_13,4{96}.4 ||	KOSH _13,4{96}.4 ||
             sā tatra prāyaścittiḥ || KauśS_13,4{96}.5 ||]	sA tatra prAyaScittiH || KOSH _13,4{96}.5 ||]
   śāntyudakaṃ kṛtvā tata ājyabhāgāntaṃ kṛtvā 'yad gomāyū' iti dvayaṃ	SAntyudakam kRtvA tatas Ajya BAga antam kRtvA ayat gomAyU a iti dvayam
   mātṛnāmagaṇena cājyaṃ juhuyāt | pārvaṇādyuttaratantram | maṇḍukadvayaṃ vā	mAtR nAma gaNena ca Ajyam juhuyAt | pArvaNa Adi uttaratantram | maNxuka dvayam vA
   | sate gṛhe vā bahirvā abhimukhaḥ gomāyuḥ | adbhutaśāntiḥ samāptā ||	| sate gRhe vA bahis vA aBimuKaH gomAyuH | adButa SAntiH samAptAH ||
   caturthī kaṇḍikā || KKp_96 ||	caturTI kaNxikA || KKB _96 ||
        atha kulakalahe adbhutaśāntirucyate 	aTa kula kalahe adButa SAntiH ucyate 
             [atha yatraitat kulaṃ kalahi bhavati tannirṛtigṛhītamityācakṣate	[aTa yatra etat kulam kalahi Bavati tat nirRti gRhItam iti Acakzate
   || KauśS_13,5{97}.1 ||	|| KOSH _13,5{97}.1 ||
             tatra juhuyāt || KauśS_13,5{97}.2 ||	tatra juhuyAt || KOSH _13,5{97}.2 ||
             ārādarātim (8.2.12 13) iti dve || KauśS_13,5{97}.3 ||	ArAdarAtim (8.2.12 13) iti dve || KOSH _13,5{97}.3 ||
             ayāścāgne'syanabhiśastiśca satyamittvamayā asi | ayāsā manasā	ayAH ca agne asyanaBiSastiH ca satyam ittu amayAH asi | ayAsA manasA
   kṛto'yāsyaṃ havyamūhiṣe | ayā no dhehi bheṣajaṃ svāhā ityagnau hutvā ||	kRtaH ayAsyam havya mUhize | ayAH naH Dehi Bezajam svAhA iti agnO hutvA ||
   KauśS_13,5{97}.4 ||	KOSH _13,5{97}.4 ||
             tatraivaitān homāñjuhuyāt || KauśS_13,5{97}.5 ||	tatra eva etAn homAn juhuyAt || KOSH _13,5{97}.5 ||
             ārādagniṃ kravyāde nirūhañjīvātave te paridhiṃ dadhāmi |	ArAt agnim kravyAde nirUhaQjI vAtave te pariDim daDAmi |
   indrāgnī tvā brāhmaṇā vāvṛdhānāvāyuṣmantāvuttamaṃ tvā karāthaḥ ||	indra agnI tvA brAhmaNAH vAvRDAnO= AyuzmantO= uttamam tvA karATaH ||
   indrāgnibhyāṃ svāhā iti hutvā || KauśS_13,5{97}.6 ||	indra agniByAm svAhA iti hutvA || KOSH _13,5{97}.6 ||
             apeta etu nirṛtiḥ ityetena sūktena juhuyāt || KauśS_13,5{97}.7	apeta etu nirRtiH iti etena sUktena juhuyAt || KOSH _13,5{97}.7
             apeta etu nirṛtirnehāsyā api kiñcana | apāsyāḥ satvanaḥ pāśān	apeta etu nirRtiH na iha asyAH api kiQcana | apAsyAH satvanaH pASAn
   mṛtyūnekaśataṃ nude || ye te pāśā ekaśataṃ mṛtyo martyāya hantave | tāṃste	mRtyUn eka Satam nude || ye te pASAH eka Satam mRtyaH martyAya hantave | tAn= te
   yajñasya māyayā sarvā;m apa yajāmasi || nirito yantu nairṛtyā mṛtyava	yajQasya mAyayA sarvA;m apa yajAmasi || niritaH yantu nErRtyA mRtyava
   ekaśataṃ paraḥ | sedhāmaiṣāṃ yattamaḥ prāṇaṃ jyotiśca dadhmahe || ye te	eka Satam paraH | seDAmA ezAm yattamaH prANam jyotiH ca daDmahe || ye te
   śataṃ varuṇa ye sahasraṃ yajñiyāḥ pāśā vitatā mahāntaḥ | tebhyo asmān	Satam varuNa ye sahasram yajQiyAH pASAH vitatAH mahAntaH | teByaH asmAn
   varuṇaḥ soma indro viśve muñcantu marutaḥ svarkāḥ || brahma	varuNaH somaH indraH viSve muQcantu marutaH su arkAH || brahma
   bhrājadudagādantarikṣaṃ divaṃ ca brahmāvādhūṣṭāmṛtena mṛtyum |	BrAjat udagAt antarikzam divam ca brahmO= ADUzwa amRtena mRtyum |
   brahmopadraṣṭā sukṛtasya sākṣād brahmāsmadapa hantu śamalaṃ tamaśca ||	brahma upadrazwA sukRtasya sAkzAt brahma asmad apa hantu Samalam tamaH ca ||
   KauśS_13,5{97}.8 ||	KOSH _13,5{97}.8 ||
             varamanaḍvāhamiti samānam || KauśS_13,5{97}.9 ||]	varam anaxvAham iti samAnam || KOSH _13,5{97}.9 ||]
   śāntyudakaṃ cātanamātṛnāmānyanuyojitaṃ kṛtvā ācamanādi ājyabhāgāntaṃ kṛtvā	SAntyudakam cAtana mAtR nAmAni anuyojitam kRtvA Acamana Adi Ajya BAga antam kRtvA
   'ārādarātim' iti dve, 'ayāścāgne' ityṛcā, 'ārādagnim' iti dve, 'apeta etu'	aArAda rAtim a iti dve, aayAH ca agne a iti RcA, aArAt agnim a iti dve, aapeta etu a
   iti sūktenājyaṃ juhuyāt | tata uttaratantram | kulayuddhe	iti sUktena Ajyam juhuyAt | tatas uttaratantram | kula yudDe
   rājakulagrāmayuddhe jātibrāhmaṇakṣatriyavaiśyaśūdrādiyuddhe strīṇāṃ yuddhe	rAja kula grAma yudDe jAti brAhmaNa kzatriya vESya SUdra Adi yudDe strINAm yudDe
   kalahe ca puruṣāṇāṃ yuddhe kalahe ca svakule cāparasya yuddhe kalahe ca |	kalahe ca puruzANAm yudDe kalahe ca sva kule ca aparasya yudDe kalahe ca |
   kalahādbhutaśāntiḥ || pañcamī kaṇḍikā || KKp_97 ||	kalaha adButa SAntiH || paQcamI kaNxikA || KKB _97 ||
        atha bhūmicalane śāntirucyate 	aTa BUmicalane SAntiH ucyate 
             [atha yatraitadbhūmicalo bhavati tatra juhuyāt ||	[aTa yatra etat BUmicalaH Bavati tatra juhuyAt ||
   KauśS_13,6{98}.1 ||	KOSH _13,6{98}.1 ||
             acyutā dyauracyutamantarikṣamacyutā bhūmirdiśo acyutā imāḥ |	acyutAH dyOH acyutam antarikzam acyutAH BUmiH diSaH acyutAH imAH |
   acyuto'yaṃ rodhāvarodhād dhruvo rāṣṭre prati tiṣṭhāti jiṣṇuḥ | yathā sūryo	acyutaH ayam roDa avaroDAt DruvaH rAzwre prati tizWAti jizNuH | yaTA sUryaH 
   divi rocate yathāntarikṣaṃ mātariśvābhivaste | yathāgniḥ pṛthivīmā	divi rocate yaTA antarikzam mAtariSva aBivaste | yaTA agniH pRTivI imA
   viveśaivāyaṃ dhruvo acyuto astu jiṣṇuḥ | yathā devo divi stanayan vi	viveSa eva ayam DruvaH acyutaH astu jizNuH | yaTA devaH divi stanayan vi
   rājati yathā varṣaṃ varṣakāmāya varṣati | yathāpaḥ pṛthivīmā viviśurevāyaṃ	rAjati yaTA varzam varza kAmAya varzati | yaTA apaH pRTivI imA viviSuH eva ayam
   dhruvo acyuto astu jiṣṇuḥ | yathā purīṣaṃ nadyaḥ samudramahorātre	DruvaH acyutaH astu jizNuH | yaTA purIzam nadyaH samudram ahorAtre
   apramādaṃ kṣaranti | evā viśaḥ sammanaso havaṃ me'pramādamihopā yantu	apramAdam kzaranti | evA viSaH sammanasaH havam me apramAdam iha upA yantu
   sarvāḥ | dṛṃhatāṃ devī saha devatābhirdhruvā dṛḍhācyutā me astu bhūmiḥ |	sarvAH | dRMha tAm devI saha devatABiH DruvA dRXa acyutA me astu BUmiH |
   sarvapāpmānamapanudyāsmadamitrānme dviṣato'nu vidhyatu | pṛthivyai svāhā	sarva pApmAnam apanudya asmat amitrAt me dvizataH anu viDyatu | pRTivyE svAhA
   iti hutvā || KauśS_13,6{98}.2 ||	iti hutvA || KOSH _13,6{98}.2 ||
             ā tvāhārṣam (6.87) dhruvā dyauḥ (6.88) satyaṃ bṛhat (12.1)	A tu A ahArzam (6.87) DruvA dyOH (6.88) satyam bRhat (12.1)
   ityetenānuvākena juhuyāt || KauśS_13,6{98}.3 ||	iti etena anuvAkena juhuyAt || KOSH _13,6{98}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,6{98}.4 ||]	sA tatra prAyaScittiH || KOSH _13,6{98}.4 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'acyutā dyauḥ' iti sūktenājyaṃ juhuyāt |	SAntyudaka Adi Ajya BAga antam kRtvA aacyutAH dyOH a iti sUktena Ajyam juhuyAt |
   'ā tvāhārṣam', 'dhruvā dyauḥ', 'satyaṃ bṛhat' ityetenānuvākena juhuyāt |	aA tu AhArzam a, aDruvA dyOH a, asatyam bRhata iti etena anuvAkena juhuyAt |
   pārvaṇādyuttaratantram | bhūmicalane śāntiḥ samāptā || ṣaṣṭhī kaṇḍikā ||	pArvaNa Adi uttaratantram | BUmicalane SAntiH samAptA || zazWI kaNxikAH ||
   KKp_98 ||	KKB _98 ||
        athādityagrahe śāntirucyate 	aTa Aditya grahe SAntiH ucyate 
             [atha yatraitadādityaṃ tamo gṛhṇāti tatra juhuyāt ||	[aTa yatra etat Adityam tamaH gRhNAti tatra juhuyAt ||
   KauśS_13,7{99}.1 ||	KOSH _13,7{99}.1 ||
             divyaṃ citramṛtūyā kalpayantamṛtūnāmagraṃ bhramayannudeti |	divyam citramRtUyA kalpayantam RtUnAm agram Bramayan= udeti |
   tadādityaḥ pratarannetu sarvata āpa imāllokānanusañcaranti | oṣadhībhiḥ	tad A AdityaH prataran= etu sarvatas ApaH imAn lokAn anusaQcaranti | ozaDIBiH
   saṃvidāvindrāgnī tvābhi rakṣatām | ṛtena satyavākena tena sarvaṃ tamo jahi	saMvidO= indra agnI tvA aBi rakzatAm | Rtena satya vAkena tena sarvam tamaH jahi
   || ādityāya svāhā iti hutvā || KauśS_13,7{99}.2 ||	|| AdityAya svAhA iti hutvA || KOSH _13,7{99}.2 ||
             viṣāsahiṃ sahamānam (17.1) ityetena sūktena juhuyāta ||	vizAsahim sahamAnam (17.1) iti etena sUktena juhuyAta ||
   KauśS_13,7{99}.3 ||	KOSH _13,7{99}.3 ||
             rohitairupatiṣṭhate || KauśS_13,7{99}.4 ||	rohitEH upatizWate || KOSH _13,7{99}.4 ||
             sā tatra prāyaścittiḥ || KauśS_13,7{99}.5 ||]	sA tatra prAyaScittiH || KOSH _13,7{99}.5 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'divyaṃ citram' iti dvābhyāmājyaṃ juhuyāt	SAntyudaka Adi Ajya BAga antam kRtvA adivyam citram a iti dvAByAm Ajyam juhuyAt 
   | 'viṣāsahim' ityanuvākena vā | rohitairupatiṣṭhate | tataḥ	| avizAsahim a iti anuvAkena vA | rohitEH upatizWate | tatas 
   pārvaṇādyuttaratantram | ityādigrahaṇe śāntiḥ samāptā || saptamī kaṇḍikā	pArvaNa Adi uttaratantram | ityAdi grahaNe SAntiH samAptA || saptamI kaNxikA
   || KKp_99 ||	|| KKB _99 ||
        atha somagrahaṇe śāntirucyate 	aTa soma grahaNe SAntiH ucyate 
             [atha yatraitaccandramasamupaplavati tatra juhuyāt ||	[aTa yatra etat candramasam upaplavati tatra juhuyAt ||
   KauśS_13,8{100}.1 ||	KOSH _13,8{100}.1 ||
             rāhū rājānaṃ tsarati svarantamainamiha hanti pūrvaḥ |	rAhuH rAjAnam tsarati svarantam A enam iha hanti pUrvaH |
   sahasramasya tanva iha nāśyāḥ śataṃ tanvo vi naśyantu || candrāya svāhā	sahasram asya tanvaH iha nASyAH Satam tanvaH vi naSyantu || candrAya svAhA
   iti hutvā || KauśS_13,8{100}.2 ||	iti hutvA || KOSH _13,8{100}.2 ||
             śakadhūmaṃ nakṣatrāṇi (6.128) ityetena sūktena juhuyāt ||	Saka DUmam nakzatrANi (6.128) iti etena sUktena juhuyAt ||
   KauśS_13,8{100}.3 ||	KOSH _13,8{100}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,8{100}.4 ||]	sA tatra prAyaScittiH || KOSH _13,8{100}.4 ||]
   śāntyudakaṃ kṛtvā tata ājyabhāgāntaṃ kṛtvā 'rāhū rājānam' ityṛcā,	SAntyudakam kRtvA tatas Ajya BAga antam kRtvA arAhuH rAjAnam a iti RcA,
   'śakadhūmam' iti sūktena cājyaṃ juhuyāt | 'viṣāsahiṃ sahamānam' iti	aSaka DUmam a iti sUktena ca Ajyam juhuyAt | avizAsahim sahamAnam a iti
   sūktena vā rohitairupatiṣṭhate | pārvaṇādyuttaratantram | samāptā	sUktena vA rohitEH upatizWate | pArvaNa Adi uttaratantram | samAptA
   somagrahaṇe śāntiḥ || aṣṭamī kaṇḍikā || KKp_100 ||	soma grahaNe SAntiH || azwamI kaNxikA || KKB _100 ||
        atha auṣasī na bhavati tatra śāntirucyate 	aTa OzasI na Bavati tatra SAntiH ucyate 
             [atha yatraitadauṣasī nodeti tatra juhuyāt || KauśS_13,9{101}.1	[aTa yatra etat OzasI na udeti tatra juhuyAt || KOSH _13,9{101}.1
             udetu śrīruṣasaḥ kalpayantī pūlyān kṛtvā palita etu cāraḥ | ṛtūn	udetu SrIH uzasaH kalpayantI pUlyAn kRtvA palitaH etu cAraH | RtUn
   bibhratī bahudhā virūpān mahyaṃ bhavyaṃ viduṣī kalpayāti || auṣasyai svāhā	biBratI bahuDA virUpAt mahyam Bavyam viduzI kalpayAti || OzasyE svAhA
   iti hutvā || KauśS_13,9{101}.2 ||	iti hutvA || KOSH _13,9{101}.2 ||
             divyo gandharvaḥ (2.2) iti mātṛnāmabhirjuhuyāt ||	divyaH ganDarvaH (2.2) iti mAtR nAm aBiH juhuyAt ||
   KauśS_13,9{101}.3 ||	KOSH _13,9{101}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,9{101}.4 ||]	sA tatra prAyaScittiH || KOSH _13,9{101}.4 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'udetu śrīruṣasaḥ' ityṛcā	SAntyudaka Adi Ajya BAga antam kRtvA audetu SrI H uzasaHa iti RcA
   mātṛnāmagaṇenājyaṃ juhuyāt | pārvaṇādyuttaratantram | auṣasī dīptirna	mAtR nAma gaNena Ajyam juhuyAt | pArvaNa Adi uttaratantram | OzasI dIptiH na
   dṛśyate tadā eṣā śāntiḥ || navamī kaṇḍikā || KKp_101 ||	dRSyate tadA ezA SAntiH || navamI kaNxikA || KKB _101 ||
        atha saṃvatsare dāruṇe śāntirucyate 	aTa saMvatsare dAruNe SAntiH ucyate 
             [atha yatraitat samā dāruṇā bhavati tatra juhuyāt ||	[aTa yatra etat samA dAruNA Bavati tatra juhuyAt ||
   KauśS_13,10{102}.1 ||	KOSH _13,10{102}.1 ||
             yā samā ruśatyeti prājāpatyān vi dhūnute | tṛptiṃ yāṃ devatā	yA samA ruSatyeti prAjApatyAn vi DUnute | tRptim yAm devatA
   vidustāṃ tvā saṃ kalpayāmasi || vyādhakasya mātaraṃ hiraṇyakukṣīṃ hariṇīm	viduH tAm tvA sam kalpayAmasi || vyADakasya mAtaram hiraNya kukzIm hariNIm
   | tāṃ tvā saṃ kalpayāmasi || yatte ghoraṃ yatte viṣaṃ tad dviṣatsu ni	| tAm tvA sam kalpayAmasi || yat te Goram yat te vizam tat dvizatsu ni
   dadhmasyamuṣmin iti brūyāt || KauśS_13,10{102}.2 ||	daDmasi amuzmin iti brUyAt || KOSH _13,10{102}.2 ||
             śivenāsmākaṃ same śāntyā sahāyuṣā samāyai svāhā iti hutvā ||	Sivena asmAkam same SAntyA saha AyuzA samAyE svAhA iti hutvA ||
   KauśS_13,10{102}.3 ||	KOSH _13,10{102}.3 ||
             samāstvāgne (2.6) ityetena sūktena juhuyāt || KauśS_13,10{102}.4	samAH tva agne (2.6) iti etena sUktena juhuyAt || KOSH _13,10{102}.4
             sā tatra prāyaścittiḥ || KauśS_13,10{102}.5 ||]	sA tatra prAyaScittiH || KOSH _13,10{102}.5 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'yā samā ruśatī' iti tisṛbhiḥ	SAntyudaka Adi Ajya BAga antam kRtvA ayA samA ruSatI a iti tisRBiH
   'samāstvāgne' iti sūktenājyaṃ juhuyāt | pārvaṇādyuttaratantram |	asamAH tvAgne a iti sUktena Ajyam juhuyAt | pArvaNa Adi uttaratantram |
   saṃvatsara ugra makare samprāpte roge vā samutpanne pararāṣṭrabhaye	saMvatsaraH ugra makare samprApte roge vA samutpanne para rAzwra Baye
   sastene caurabhaye dāruṇe saṃvatsare śāntiḥ samāptā || daśamī kaṇḍikā ||	saH tene cOra Baye dAruNe saMvatsare SAntiH samAptA || daSamI kaNxikA ||
   KKp_102 ||	KKB _102 ||
        athopatārakaśāntirucyate 	aTa upatAraka SAntiH ucyate 
             [atha yatraitadupatārakāḥ śaṅkante tatra juhuyāt ||	[aTa yatra etat upatArakAH SaFkante tatra juhuyAt ||
   KauśS_13,11{103}.1 ||	KOSH _13,11{103}.1 ||
             revatīḥ śubhrā iṣirā madantīstvaco dhūmamanu tāḥ saṃ viśantu |	revatIH SuBrAH izirAH mad antIH tvacaH DUmam anu tAH sam viSantu |
   pareṇāpaḥ pṛthivīṃ saṃ viśantvāpa imāllokānanusañcarantu || adbhyaḥ svāhā	pareNa apaH pRTivIm sam viSantvA apaH imAn lokAn anusaQcarantu || adByaH svAhA
   iti hutvā || KauśS_13,11{103}.2 ||	iti hutvA || KOSH _13,11{103}.2 ||
             samutpatantu (4.15) pra nabhasva (7.18) iti varṣīrjuhuyāt ||	samutpatantu (4.15) pra naBasvaH (7.18) iti varzIH ju huyAt ||
   KauśS_13,11{103}.3 ||	KOSH _13,11{103}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,11{103}.4 ||]	sA tatra prAyaScittiH || KOSH _13,11{103}.4 ||]
   śāntyudakādi ājyabhāgāntaṃ kṛtvā 'revatīḥ śubhrāḥ' ityṛcā, 'samutpatantu'	SAntyudaka Adi Ajya BAga antam kRtvA arevatIH SuBrAH a iti RcA, asamutpatantu a
   'pra nabhasva' iti sūktābhyāṃ cājyaṃ juhuyāt | pārvaṇādyuttaratantram |	apra naBasva a iti sUktAByAm ca Ajyam juhuyAt | pArvaNa Adi uttaratantram |
   avarṣaṇe grahanakṣatrāṇāṃ samāpe (?) kṣetre ca darśane ca śāntiḥ samāptā	avarzaNe graha nakzatrANAm samApe (?) kzetre ca darSane ca SAntiH samAptA
   || ekādaśī kaṇḍikā || KKp_103 ||	|| ekAdaSI kaNxikA || KKB _103 ||
        brāhmaṇa āyudhagrahaṇe śāntirucyate 	brAhmaNa  AyuDa grahaNe SAntiH ucyate 
             [atha yatraitad brāhmaṇā āyudhino bhavanti tatra juhuyāt ||	[aTa yatra etat brAhmaNAH AyuDinaH Bavanti tatra juhuyAt ||
   KauśS_13,12{104}.1 ||	KOSH _13,12{104}.1 ||
             ya āsurā manuṣyā āttadhanvaḥ puruṣamukhāścarāniha | devā vayaṃ	yaH AsurAH manuzyAH Atta DanvaH puruza muKAH carAn iha | devAH vayam
   manuṣyāste devāḥ pra viśāmasi || indro no astu purogavaḥ sa no rakṣatu	manuzyAH te devAH pra viSAm asi || indraH naH astu purogavaH sa naH rakzatu
   sarvataḥ | indrāya svāhā iti hutvā || KauśS_13,12{104}.2 ||	sarvatas | indrAya svAhA iti hutvA || KOSH _13,12{104}.2 ||
             mā no vidan (1.19) namo devavadhebhyaḥ (6.13) ityetābhyāṃ	mA naH vidan (1.19) namaH deva vaDeByaH (6.13) iti etAByAm
   sūktābhyāṃ juhuyāt || KauśS_13,12{104}.3 ||	sUktAByAm juhuyAt || KOSH _13,12{104}.3 ||
             sā tatra prāyaścittiḥ || KauśS_13,12{104}.4 ||]	sA tatra prAyaScittiH || KOSH _13,12{104}.4 ||]
   śāntyudakaṃ kṛtvā mātṛnāmānuyojanaṃ kṛtvā tataḥ vedyādi ājyabhāgāntaṃ	SAntyudakam kRtvA mAtR nAma anuyojanam kRtvA tatas vedya Adi Ajya BAga antam
   kṛtvā 'ya āsurāḥ' iti dvābhyāṃ 'mā no vidan' 'namo devavadhebhyaḥ' iti	kRtvA ayaH AsurAH a iti dvAByAm amA naH vidan a anamaH deva vaDeByaH a iti
   dvābhyāṃ cājyaṃ juhuyāt | pārvaṇādyuttaratantram | brāhmaṇaśastragrahaṇe	dvAByAm ca Ajyam juhuyAt | pArvaNa Adi uttaratantram | brAhmaNa Sastra grahaNe
   śāntiḥ samāptā || dvādaśī kaṇḍikā || KKp_104 ||	SAntiH samAptA || dvAdaSI kaNxikA || KKB _104 ||
        devatādbhutaśāntirucyate 	devatA adButa SAntiH ucyate 
             [atha yatraitad daivatāni nṛtyanti cyotanti hasanti gāyanti	[aTa yatra etat dEvatAni nRtyanti cyotanti hasanti gAyanti
   vānyāni vā rūpāṇi kurvanti ya āsurā manuṣyāḥ, mā no vidan (1.19) namo	vA anyAni vA rUpANi kurvanti ye AsurAH manuzyAH, mA naH vidan (1.19) namaH 
   devavadhebhyaḥ (6.13) ityabhayairjuhuyāt || KauśS_13,13{105}.1 ||	deva vaDeByaH (6.13) iti aBayEH juhuyAt || KOSH _13,13{105}.1 ||
