   Dharmakīrti: Hetubindu	Dharma kIrti: Hetu bindu
   tadvayatiriktāśeṣavyavaccedena vyāptisādhanādeva prakārāntarasyābhāvaḥ	tadvayati rikta aSeza vyavat cedena vyApti sADanAt eva prakAra antarasya aBAvaH
   sidhyati / tasya tadanyatayā vyāptyabhāve tena tadarthāvyavaccedātpunarapi	siDyati / tasya tad anyatayA vyApti aBAve tena tad arTa avyavat cedAt punar api
   bhāvasyāpariccedaprasaṅgāt /	BAvasya apariccedaprasaFgAt /
   (4.12) tasmātkvacitpramāṇaṃ pravṛttaṃ tat pariccinatti, tadanyad	(4.12) tasmAt kvacid pramANam pravRttam tat pariccinatti, tat anyat 
   vyavaccināti, tṛtīyaprakārābhāvaṃ ca sūcayati iti ekapramāṇavyāpāra eṣaḥ /	vyavaccinAti, tRtIya prakAra aBAvam ca sUcayati iti eka pramANa vyApAraH ezaH /
   tathāhi kvacitpramāṇaṃ pravṛtaṃ tadeva tadanyasmād vyavaccinattī, tasyaiva	taTA hi kvacid pramANam pravRtam tat eva tat anyasmAt vyavaccinattI, tasya eva
   pariccedāt / tadanyadeva ca tasmād vyavaccinatti anyasya tatra apariccedāt	pariccedAt / tat anyat eva ca tasmAt vyavaccinatti anyasya tatra apariccedAt 
   / atastadeva pramāṇaṃ prakārāntabhāvaṃ sādhayati, tasmin dṛṣṭatadanyatvena	/ atas tat eva pramANam prakAra anta BAvam sADayati, tasmin dRzwa tad anya tvena
   sarvasyaiva vyasthāpanāt, atadanyasyaiva ca tattvena vyavasthāpanāt /	sarvasya eva vyasTApanAt, atad anyasya eva ca tattvena vyavasTApanAt /
   etena kramākramādayo 'pyanyonyavyavaccedarūpā vyākhytāḥ /	etena kramAkrama AdayaH api anyonya vyavat ceda rUpAH vyAKytAH /
   tadevamekasyopalambhāttasya tadanyātmano vyavaccedaḥ / na taddeśakālayoḥ	tat evam ekasya upalamBAt tasya tad anya AtmanaH vyavaccedaH / na tad deSa kAlayoH
   sarvasyānyasya bhāvasya vyavaccedaḥ / tasmādatadatmā ca	sarvasya anyasya BAvasya vyavat cedaH / tasmAt atad atmA ca
   syāttaddeśakālaśca, rasarūpādivat / tasmādyathoktādevānupalambhātkvacit	syAt tad deSa kAlaH ca, rasa rUpa Adi vat / tasmAt yaTA uktAt eva anupalamBAt kvacid 
   kadācitkasyacidabhāvasiddhiḥ /	kadAcid kasyacid aBAva sidDiH /
   (4.13) anyabhāvaviṣayasyopalabdhirapi tadabhāvasya sādhikeṣṭaiva na tu	(4.13) anya BAva vizayasya upalabDiH api tad aBAvasya sADikezwA eva na tu
   liṅgatvena / tatrāpyabhāvasya pṛthak sādhyatve sambandhābhāvasya tulyatvāt	liFga tvena / tatra api aBAvasya pRTak sADya tve sambanDa aBAvasya tulya tvAt 
   / liṅgāvirbhāvakāla eva tadabhāvasiddheśca / na hi anyasya bhāvaṃ	/ liFga AvirBAva kAle eva tad aBAva sidDeH ca / na hi anyasya BAvam
   pratipadya tatpratipatteḥ anvayavyatirekau prasādhya tadabhāvaṃ	pratipadya tat pratipatteH anvaya vyatirekO prasADya tad aBAvam
   pratipadyate / kiṃ tarhi? tadanyaṃ pratipadyamāna eva tadabhāvaṃ	pratipadyate / kim tarhi? tad anyam pratipadyamAnaH eva tad aBAvam
   pratipadyate / darśanānantaram idamasti idaṃ tu nāsti iti vyavasthāpanāt /	pratipadyate / darSana anantaram idam asti idam tu na asti iti vyavasTApanAt /
   tacca tasya liṅgaṃ bhavati yasyānvayi vyatireko ca / dṛṣṭāntāsiddheḥ / na	tat ca tasya liFgam Bavati yasya anvayi vyatirekaH ca / dRzwAnta asidDeH / na
   hi evaṃ śakyaṃ darśayituṃ yatra anyabhāvopalabdhistatra tadabhāvaḥ iti /	hi evam Sakyam darSayitum yatra anya BAva upalabDiH tatra tad aBAvaH iti /
   tadekopalabdheḥ kvacidapyabhāvāt / sāmānyena pradarśane dṛṣṭānte 'pi	tad eka upalabDeH kvacid api aBAvAt / sAmAnyena pradarSane dRzwAnte api
   pramāṇāntaraṃ nāsti, kiṃtu saiva tadanyabhāvopalabdhiḥ sādhyadharmasya	pramANa antaram nAsti, kiMtu sA eva tad anya BAva upalabDiH sADya Darmasya
   sādhiketi anavasthā dṛṣṭāntānāmityapratipattiḥ / tasmāt naiva	sADikA iti anavasTA dRzwAntAnAm iti apratipattiH / tasmAt na eva
   kutaścilliṅgāt tadabhāvasiddhiḥ / so 'nyabhāvaḥ	kutaScid liFgAt tad aBAva sidDiH / saH anya BAvaH
   pratyakṣalakṣaṇenānupalambhena siddhaḥ san	pratyakza lakzaNena anupalamBena sidDaH san
   mūḍhapratipattāvabhāvavyavahāraṃ sādhayed iti alaṃ prasaṅgena /	mUXa pratipattO= aBAva vyavahAram sADayet iti alam prasaFgena /
   (4.14) seyamanupalabdhistridhā / siddhe kāryakāraṇabhāve siddhābhāvasya	(4.14) sA iyam anupalabDiH triDA / sidDe kArya kAraNa BAve sidDABAvasya
   kāraṇasyānupalabdhiḥ, vyāpyavyāpakabhāvasiddhau siddhābhāvasya	kAraNasya anupalabDiH, vyApya vyApaka BAva sidDO sidDa aBAvasya
   vyāpakasyānupalabdhiḥ svabhāvānupalabdhiśca / tatra kāraṇavyāpakayorapi	vyApakasya anupalabDiH svaBAva anupalabDiH ca / tatra kAraNa vyApakayoH api
   abhāvavyavahāraḥ tadanyabhāvasiddhayaiva sidhyati / sa tathā siddhaḥ san	aBAva vyavahAraH tad anya BAva sidDayA eva siDyati / sa taTA sidDaH san
   kāryavyāpyayorabhāvam abhāvavyavahāraṃ vā sādhayati / svabhāvānupalabdhau	kArya vyApyayoH aBAvam aBAva vyavahAram vA sADayati / svaBAva anupalabDO
   tu anupalabdhyā liṅgabhūtayā abhāvavyavahāra eva sādhyate /	tu anupalabDyA liFga BUtayA aBAva vyavahAraH eva sADyate /
   (4.15) yadi kāraṇavyāpakau tadanyabhāvasiddhayānupalabdhyā siddhāsad	(4.15) yadi kAraNa vyApakO tad anya BAva sidDayA anupalabDyA sidDAsat 
   vyavahārāvanyasyābhāvamabhāvavyavahāṃra ca sādhayataḥ / sā ca	vyavahArO= anyasya aBAvam aBAva vyavahAMra ca sADayataH / sA ca
   tayorupalabdhilakṣaṇaprāptāvevāsadvyavahārasya sādhiketi kathaṃ tayoḥ	tayoH upalabDi lakzaNa prAptO= eva asat vyavahArasya sADikA iti kaTam tayoH
   parokṣe 'rtheprayogaḥ? naiva prayogaḥ pramāṇatayā, liṇgasyāniścayāt /	parokze arTeprayogaH? na eva prayogaH pramANa tayA, liNgasya aniScayAt /
   kevalaṃ kāraṇavyāpakayorhi siddhasambandhayoryadyabhāvaḥ parasyāpi	kevalam kAraNa vyApakayoH hi sidDa sambanDayoH yadya BAvaH parasya api
   avaśyamabhāvaḥ iti etasya darśanārthamete prayujyete iti / eṣa eva	avaSyam aBAvaH iti etasya darSana arTam ete prayujyete iti / ezaH eva
   pakṣadharmo 'nvayavyatirekavān iti tadaṃśena vyāptaḥ trilakṣaṇa eva	pakza DarmaH anvaya vyatirekavAn iti tad aMSena vyAptaH tri lakzaNaH eva
   trividha eva heturgamakaḥ svaśādhyadharmāvyabhicārāt /	triviDaH eva hetuH gamakaH sva SADya Darma avyaBicArAt /
   (5.1) ṣaḍliṅgo heturityapare / trīṇi caitāni abādhitaviṣayatvaṃ	(5.1) zaw liFgaH hetuH iti apare / trINi ca etAni abADita vizaya tvam
   vivakṣitaikasaṃkhyatvaṃ jñātatvaṃ ceti / tatrābādhitaviṣayatvaṃ tāvat	vivakzita eka saMKya tvam jQAta tvam ca iti / tatra AbADita vizaya tvam tAvat 
   pṛthag lakṣaṇaṃ na bhavati, bādhāvinābhāvayorvirodhāt / avinābhāvo hi	pRTak lakzaNam na Bavati, bADAvinA BAvayoH viroDAt / avinA aBAvaH hi
   satyeva sādhyadharme bhāvo hetoḥ / sa hetustallakṣaṇaḥ dharmiṇi syād atra	sati eva sADya Darme BAvaH hetoH / sa hetuH tad lakzaNaH DarmiNi syAt atra
   ca sādhyadharmaḥ kathaṃ na bhavet? pratyakṣānumāne hi sādhyadharmaṃ	ca sADya DarmaH kaTam na Bavet? pratyakza anumAne hi sADya Darmam
   bādhamāne taṃ dharmiṇo niṣkāsayataḥ tasmiṃśca satyeva heturbhavan taṃ	bADamAne tam DarmiNaH nizkAsayataH tasmin= ca sati eva hetuH Bavan tam
   tatraivāvasthāpayatīti paraṃ bata bhāvānāmasvāsthyam /	tatra eva avasTApayati iti param bata BAvAnAm asvAsTyam /
   anyatra sādhyadharmeṇāvinābhāvī heturna punaḥ sādhyadharmiṇeveti cet / tat	anyatra sADya DarmeNa avinABAvI hetuH na punar sADya DarmiNA iva iti ced / tat 
   kimayaṃ tapasvī śaṇḍhamudvāhya putraṃ mṛgayate? yasya dharmiṇyasatyapi	kim ayam tapasvI SaNXam udvAhya putram mRgayate? yasya DarmiNI asati api
   sādhyadharme bhāvaḥ, tamupadarśya kathaṃ sa dharmī	sADya Darme BAvaH, tam upadarSya kaTam sa DarmI
   sādhyadharmavānityucyate?	sADya DarmavAn iti ucyate?
   (5.2) ata eva bādhābhāva uktaḥ / syādetad, yata eva heturanyathāpi	(5.2) atas eva bADA BAvaH uktaH / syAt etat , yatas eva hetuH anyaTA api
   bhavedata eva pramāṇābhyāmabādhitadharmā dharmītyucyata iti /	Bavet atas eva pramANAByAm abADita DarmAH DarmI iti ucyate iti /
   tatkimidānīṃ hetoḥ sāmarthyam? abādhayaiva sādhyasiddhervyartho hetuḥ /	tat kim idAnIm hetoH sAmarTyam? abADayA eva sADya sidDeH vyarTaH hetuH /
   bādhāyāmapi sādhyābhāvasya tena sādhanāt kutaḥ sādhanasya sāmarthyam /	bADAyAm api sADya aBAvasya tena sADanAt kutas sADanasya sAmarTyam /
   aniyame bādhakapramāṇavṛttau sādhyābhāvasya, bādhakapramāṇasyābhāvaḥ	aniyame bADaka pramANa vRttO sADya aBAvasya, bADaka pramANasya aBAvaH
   sādhyābhāvasya ca saṃbhavaḥ syāditi na sāmarthyamabādhāyāḥ /	sADya aBAvasya ca saMBavaH syAt iti na sAmarTyam abADAyAH /
   (5.3) na bādhāyā abhāvo 'bādhā / kiṃ tarhi? bādhāyā anupalabdhiḥ sā ca	(5.3) na bADAyAH aBAvaH abADA / kim tarhi? bADAyAH anupalabDiH sA ca
   puruṣasya kvacid bādhāyāḥ saṃbhave 'pi syāditi sa hetuprayogasya viṣayaḥ /	puruzasya kvacid bADAyAH saMBave api syAt iti sa hetu prayogasya vizayaH /
   kiṃ nu vai heturbādhopalabdherbibheti na punarbādhāyā yena bādhāmanādṛtya	kim nu vE hetuH bADa upalabDeH biBeti na punar bADAyAH yena bADAm anAdRtya
   tadanupalabdhau prayoktavya iṣṭaḥ? sa tarhi paramārthena  'bādhā kimasti	tad anupalabDO prayoktavyaH izwaH? sa tarhi parama arTena abADA kim asti
   nāsti' ityanapekṣya bādhāyā anupalabdhau prayoktavyaḥ? kimarthaṃ	na asti a iti anapekzya bADAyAH anupalabDO prayoktavyaH? kim arTam
   prayujyate? sādhyasiddhayartham / sa kiṃ kvacit satyāmapi bādhāyāṃ sādhyaṃ	prayujyate? sADya sidDayarTam / sa kim kvacid satyAm api bADAyAm sADyam
   sādhayed yenāsyā abhāvaniścayaṃ prati yatno na kriyate hetuśca pratyujyate	sADayet yena asyAH aBAva niScayam prati yatnaH na kriyate hetuH ca pratyujyate
   / evaṃ ca sati abādhitaviṣayatvaṃ hetulakṣaṇaṃ na bhavati / bādhāyāmapi	/ evam ca sati abADita vizaya tvam hetu lakzaNam na Bavati / bADAyAm api
   satyāmasya sāmarthyāt / tathā ca saṃśayitasya pravṛttirna yujyate / yathā	satyAm asya sAmarTyAt / taTA ca saMSayitasya pravRttiH na yujyate / yaTA
   ca bādhānupalabdhau tāmabhyupagamya prayujyate tathā tadupalabdhāvapi	ca bADa anupalabDO tAm aByupagamya prayujyate taTA tad upalabDO= api
   prayujyatām, abhyupagame viśeṣābhāvāt /	prayujyatAm, aByupagame viSeza aBAvAt /
   (5.4) na bādhāyāṃ satyāṃ hetoḥ sāmarthyamiti cet / yadyevam,	(5.4) na bADAyAm satyAm hetoH sAmarTyam iti ced / yadi evam,
   anirṇītabādhāsambhavo hetuḥ prayogaṃ hārhati, mā bhūt bādhāyāḥ	anirNIta bADA samBavaH hetuH prayogam ha arhati, mA BUt bADAyAH
   saṃbhavapakṣe prayuktasyāpyasāmarthyamiti /	saMBava pakze prayuktasya api asAmarTyam iti /
   bādhānupalambhe sati sāmarthyamiti cet / kimupalambho bādhāṃ vyāpnoti,	bADa anupalamBe sati sAmarTyam iti ced / kim upalamBaH bADAm vyApnoti,
   yato hetorbādhāsambhavakṛtam asāmarthyaṃ na sambhavet? atha tannivṛttau	yatas hetoH bADA samBava kRtam asAmarTyam na samBavet? aTa tad nivRttO
   bādhā nivartate / tathāpi bādhānupalambhādeva sādhyāsiddhervyartho hetuḥ /	bADA nivartate / taTA api bADa anupalamBAt eva sADya asidDeH vyarTaH hetuH /
   anupalambhe bādhāyā asambhavāt / upalambhasya nivṛttāvapi bādhāyā	anupalamBe bADAyAH asamBavAt / upalamBasya nivRttO= api bADAyA
   anivṛttau tadavasthaṃ hetorasāmarthyamityaprayogaḥ / tasmāt	anivRttO tad avasTam hetoH asAmarTyam iti aprayogaH / tasmAt 
   svasādhyabhāvābhāvādhyāmanyathāpi bhavanhetuḥ dharmiṇi na kiñcidbhāvayati	svasADya BAva aBAva aDyAmanI aTA api Bavan hetuH DarmiNi na kiQcid BAvayati
   na vibhāvayati iti tadupakṣepo na samarthaḥ / iti	na viBAvayati iti tat upakzepaH na samarTaH / iti
   bādhāvinābhāvayorvirodhaḥ / tatrābādhā rūpāntaram /	bADAvinA BAvayoH viroDaH / tatra AbADA rUpa antaram /
   (5.5) tatrāma tasmād viśeṣaṇāntaraṃ bhavet lakṣaṇāntaratvena	(5.5) tatrAma tasmAt viSezaNa antaram Bavet lakzaNa antara tvena
   copādānamarhati yasya bhāve 'pi yasya aparasyābhāvaḥ syāt / tadyathā	ca upAdAnam arhati yasya BAve api yasya aparasya aBAvaH syAt / tat yaTA
   pakṣadharmatvaṃ sapakṣe ca bhāva iti / n acaitad abādhāyā avinābhāve sati	pakza Darma tvam sa pakze ca BAvaH iti / n aca etat abADAyAH avinA aBAve sati
   sambhavati iti na sādhyaviparyayāvinābhāvinorhetuviruddhayorviṣaye bādhā	samBavati iti na sADya viparyaya avinABA vinoH hetu virudDayoH vizaye bADA
   saṃbhavati iti na tadabhāvaḥ pṛthaganayorlakṣaṇāntaratvena vācyaḥ / tasmād	saMBavati iti na tad aBAvaH pRTak anayoH lakzaNa antara tvena vAcyaH / tasmAt 
   hetoḥ prayoge pratijñādoṣāṇāṃ saṃbhavo nāsti / nāpi kevalā pratijñaiva	hetoH prayoge pratijQA dozANAm saMBavaH na asti / na api kevalA pratijQA eva
   prayujyate / tataśca na pratijñādoṣā vācyāḥ /	prayujyate / tatas ca na pratijQA dozAH vAcyAH /
   (5.6) etena ekasaṃkhyāvivakṣāpi pratyuktā /	(5.6) etena eka saMKyA vivakzA api pratyuktAH /
   katham? eko hi hetuḥ svasādhyabhāva eva bhavediti tatrāvyabhicārī tatraiva	kaTam? ekaH hi hetuH sva sADya BAvaH eva Bavet iti tatra avyaBicArI tatra eva
   tasmādanyo 'pi kathaṃ heturbhavati? ekasya yat sādhyaṃ tadabādhakasya	tasmAt anyaH api kaTam hetuH Bavati? ekasya yat sADyam tat abADakasya
   dharmasya bhāva eva bhāvāditi bādhayā samānam /	Darmasya BAvaH eva BAvAt iti bADayA samAnam /
   (5.7) api ca / kiṃ yo vastuto 'sambhavatpratihetuḥ sa samyagjñānasya	(5.7) api ca / kim yaH vastutas asamBavat pratihetuH sa samyak jQAnasya
   viparyayasya vā heturiṣṭa āhosvidapradarśitapratihetuḥ? kiṃ cātaḥ?	viparyayasya vA hetuH izwaH Ahosvit apradarSita pratihetuH? kim ca atas ?
   yadyasambhavatpratihetuḥ aśakyaniścayatvādalakṣaṇametad hetvabhāvo vā / na	yadi asamBavat pratihetuH aSakya niScaya tvAt alakzaNam etat hetu aBAvaH vA / na
   hi aniścitātmanaḥ pratipādakadharmasya tallakṣaṇatvaṃ yathā sandigdhasya	hi aniScita AtmanaH pratipAdaka Darmasya tad lakzaNa tvam yaTA sandigDasya
   pakṣadharmatvasya / nāpi sandigdhalakṣaṇo heturbhavediti na kaścid	pakza Darma tvasya / na api sandigDa lakzaNaH hetuH Bavet iti na kaScid 
   heturbhavet / tulye lakṣaṇe di dṛṣṭaḥ pratiyoginaḥ saṃbhavo	hetuH Bavet / tulye lakzaNe di dRzwaH pratiyoginaH saMBavaH 
   'dṛṣṭapratiyogiṣu api śaṃkāmutpādayati viśeṣābhāvāt / sati vā viśeṣe sa	adRzwa pratiyogizu api SaMkAm utpAdayati viSeza aBAvAt / sati vA viSeze sa
   viśeṣo hetorlakṣaṇam / yatastadviśeṣād heturekāntena nirastapratipakṣaḥ	viSezaH hetoH lakzaNam / yatas tad viSezAt hetuH ekAntena nirasta pratipakzaH
   svasādhyaṃ niścāyayatīti atallakṣaṇo na hetuḥ syāt tathā ca vyarthā	sva sADyam niScAyayati iti atad lakzaNaH na hetuH syAt taTA ca vyarTA
   ekasaṃkhyāvivakṣā / ato viruddhāvyabhicāriṇo lakṣaṇaṃ hīyeta	eka saMKyA vivakzA / atas virudDa avyaBicAriNaH lakzaNam hIyeta
   svalakṣaṇayuktayorhetvorekatra dharmiṇi virodhenopanipāte sati	sva lakzaNa yuktayoH hetvoH ekatra DarmiNi viroDena upanipAte sati
   viruddhāvyabhicārī iti /	virudDa avyaBicArI iti /
   (5.8) na ca tasya viśeṣasya svarūpaṃ nirdiṣṭaṃ, yadrūpaṃ pratītya	(5.8) na ca tasya viSezasya svarUpam nirdizwan, yat rUpam pratItya
   pratiyoginaḥ sambhavāsambhavāvutpaśyāmaḥ / tasmātrāstyevaṃ viśeṣa iti	pratiyoginaH samBava asamBavO= utpaSyAmaH / tasma atra asti evam viSezaH iti
   sarvatra śaṅkayā bhavitavyam /	sarvatra SaFkayA Bavitavyam /
   dṛṣṭapratihetorapi hetoḥ prāgitareṇa na kaścidviśeṣo lakṣyate / na ca	dRzwa pratihetoH api hetoH prAgitareNa na kaScid viSezaH lakzyate / na ca
   saṃbhavatpratihetūnāmapi sarvadā tasyopalabdhiḥ / atiśayavatī tu prajñā	saMBavat pratihetUnAm api sarvadA tasya upalabDiH / atiSayavatI tu prajQA
   pratihetūtprekṣiṇī dṛṣṭā / tenāniścayaḥ pratiyoginaḥ	pratihetu utprekziNI dRzwAH / tena aniScayaH pratiyoginaH
   saṃbhavāsaṃbhavayoriti vastuto / sambhavatpratihetutvalakṣaṇasya	saMBava asaMBavayoH iti vastutas / samBavat pratihetutva lakzaNasya
   aniścitatvātra kaścid hetuḥ syāt /	aniScita tva atra kaScid hetuH syAt /
   (5.9) athāpradarśitapratihetuḥ yathāha, "yadā tarhi śabdatvaṃ	(5.9) aTa apradarSita pratihetuH yaTA aha, "yadA tarhi Sabda tvam
   nityamabhyupagaccati tadāyaṃ hetureva syād yadyatra anityatvahetuṃ	nityam aByupagaccati tadA ayam hetuH eva syAt yadi atra anitya tva hetum
   kṛtakatvādi kaścitra darśayed " iti / idamidānīṃ sumahad vyasanamāyātaṃ	kRtaka tva Adi kaH citra darSayet " iti / idam idAnIm su mahat vyasanam AyAtam
   gurubhirabhihitatvādaprakāśyaṃ, nyāyamanupālayadbhirasaṃvaraṇīyamiti	guruBiH aBihita tvAt aprakASyaM, nyAyam anupAlayadBiH asaMvaraNIyam iti
   kaṣṭataraṃ vyasanaṃ kathaṃ nirvoḍhuṃ śakyeta? sa tāvadayaṃ hetuḥ vastūni	kazwataram vyasanam kaTam nirvoXum Sakyeta? sa tAvat ayam hetuH vastUni
   svasādhyaprakṛtīni kṛtvā tatpramāṇakān puruṣān abhyudayaniḥ śreyasābhyāṃ	sva sADya prakRtIni kRtvA tad pramANakAn puruzAn aByudayaniH SreyasAByAm
   yojayitvā punaśca pratibhāvatā puruṣeṇa hetvantaranidarśanena	yojayitvA punar ca pratiBAvatA puruzeNa hetu antara nidarSanena
   utkīlitasādhanasāmarthyaḥ tāni vastūni tadbhāvasampadastāṃśca puruṣān	utkIlita sADana sAmarTyaH tAni vastUni tad BAva sampadaH tAn= ca puruzAn
   abhyudayaniḥ śreyasasampadaḥ pracyāvya bhraṣṭarājya iva rājā tapovanaṃ	aByudayaniH Sreyasa sampadaH pracyAvya Brazwa rAjyaH iva rAjA tapaH vanam
   gaccatīti kimatra brūmaḥ /	gaccati iti kim atra brUmaH /
   (5.10) puruṣapratibhākṛtaṃ hi yadi sādhanatvaṃ syāt tadā na kiñcit	(5.10) puruza pratiBA akRtam hi yadi sADana tvam syAt tadA na kiQcid 
   sādhanamasādhanaṃ vā / sa ca heturyadi svabhāvatastaddharmabhāvī tadā	sADanam asADanam vA / sa ca hetuH yadi svaBAvataH tad Darma BAvI tadA
   kathamanyathā kriyeta? vastusvabhāvānyathābhāvasyābhāvāt / ekasya ca	kaTam anyaTA kriyeta? vastu svaBAvAnyaTA BAvasya aBAvAt / ekasya ca
   viruddhobhayasvabhāvasyābhāvāt / ataddharmabhāvī ca kathamanyadāpi	virudDa uBaya svaBAvasya aBAvAt / atad Darma BAvI ca kaTam anyadA api
   sādhanaṃ kasyacit / tasmāt svabhāvataḥ	sADanam kasyacid / tasmAt svaBAvataH
   svasvasādhyāvinābhāvinoryathoktalakṣaṇayoḥ kāryasvabhāvahetvoḥ	svasvasADyAvinABA vinoH yaTA ukta lakzaNayoH kArya svaBAva hetvoH
   tallakṣaṇasya pratihetorasaṃbhavādalakṣaṇamekasaṃkhyāvivakṣā,	tad lakzaNasya pratihetoH asaMBavAt alakzaNam eka saMKyA vivakzA,
   vyavaccedyābhāvāt /	vyavaccedya aBAvAt /
   (5.11) jñānaṃ punarna liṅgasyātmarūpamiti kathaṃ liṅgalakṣaṇaṃ bhaviṣyati	(5.11) jQAnam punar na liFgasya Atma rUpam iti kaTam liFga lakzaNam Bavizyati
   / kiṃrūpād hetoranumeyo 'rtho jñātavya iti cintāyāṃ	/ kiMrUpAt hetoH anumeyaH arTaH jQAtavyaH iti cintAyAm
   pratipatturavisaṃvādakalingasvarūpamabhidhīyate yasya darśanād ayaṃ	pratipattuH avisaMvAda kalinga svarUpam aBiDIyate yasya darSanAt ayam
   pravibhāgena sādhanaṃ vyavasthāpya tasyeṣṭārthasaṃnidhānasaṃpratyayāt	praviBAgena sADanam vyavasTApya tasya izwa arTa saMniDAna saMpratyayAt
   pravṛttimavalambate / tathā yadasyātmarūpaṃ tallakṣaṇaṃ na tu pararūpam /	pravRttim avalambate / taTA yat asya Atma rUpam tad lakzaNam na tu para rUpam /
   pratipattijanmani upayogamātrāt tallakṣaṇatve prameyapuruṣādīnāmapi	pratipatti janmani upayoga mAtrAt tad lakzaNa tve prameya puruza AdInAm api
   tallakṣaṇatvaṃ bhavet / na hi teṣvapi asatsu liṅgini jñānaṃ bhavati /	tad lakzaNa tvam Bavet / na hi tezu api asatsu liFgini jQAnam Bavati /
   (5.12) niścitagrahaṇaṃ tarhi na kartavyam / na, tasyānyārthatvāt /	(5.12) niScita grahaNam tarhi na kartavyam / na, tasya anya arTa tvAt /
   sapakṣavipakṣayordarśanādarśanamātrato gamakaṃ hetumiccatāṃ naiva samartho	sa pakza vipakzayoH darSana adarSana mAtrataH gamakam hetum iccatAm na eva samarTaH 
   heturbhavati satorapi darśanādarśanayoragamakatvadarśanāt / tena	hetuH Bavati satoH api darSana adarSanayoH agamaka tva darSanAt / tena
   bhāvābhāvābhyāmeva gamako heturiti jñāpanārtha niścitagrahaṇam / tena	BAva aBAvAByAm eva gamakaH hetuH iti jQApana arTa niScita grahaNam / tena
   pararūpaṃ liṅgasya lakṣaṇaṃ na bhavati, tena liṅgasya rūpaviśeṣānamidhānāt	para rUpam liFgasya lakzaNam na Bavati, tena liFgasya rUpa viSezAn amiDAnAt 
   / tau hi bhāvābhāvau tadbhāvasādhakapramāṇavṛttyā boddhavyau,	/ tO hi BAva aBAvO tad BAva sADaka pramANa vRttyA bodDavyO,
   upāyāntarābhāvāt /	upAya antara aBAvAt /
   (5.13) yadyapi bhāvābhāvavacanamātreṇa tatsādhanapramāṇavṛttiḥ ākṣipyate,	(5.13) yadi api BAva aBAva vacana mAtreNa tad sADana pramANa vRttiH Akzipyate,
   anyathā tayoreva sattā prasiddheḥ,	anyaTA tayoH eva sattA prasidDeH,
   jñānasattānibandhanatvājjñeyasattāvyavasthāyāḥ iti sarvatra	jQAna sattA nibanDana tvAt jQeya sattA vyavasTAyAH iti sarvatra
   jñeyasattāvyavasthaiva tatsādhanaṃ pramāṇamākarṣatiḥ parārthatvācca	jQeya sattA vyavasTA eva tad sADanam pramANam AkarzatiH para arTa tvAt ca
   śāstrapraṇayanasyaḥ trirūpaṃ liṅgaṃ saṃvādakamiti tadrūpamapratipattṛṇāṃ	SAstra praNaya nasyaH trirUpam liFgam saMvAdakam iti tad rUpam apratipad tRNAm
   tataḥ pravṛttirna bhavatīti paropalakṣaṇātvādeva pravartake jñānaṃ	tatas pravRttiH na Bavati iti para upalakzaNA tvAt eva pravartake jQAnam
   siddhamḥ tathāpi tāveva viśiṣṭau bhāvābhāvau kecid darśanādarśanamātreṇa	sidDamH taTA api tO= eva viSizwO BAva aBAvO kecid darSana adarSana mAtreNa
   vyavasthāpayantīti teṣāṃ niṣedhārtho 'yaṃ niścitaśabdaḥ prayuktaḥ /	vyavasTApayanti iti tezAm nizeDa arTaH ayam niScita SabdaH prayuktaH /
   satorapi bhāvābhāvadarśanayoḥ anvayavyatirekayoḥ saṃśayāt / tasmāt	satoH api BAva aBAva darSanayoH anvaya vyatirekayoH saMSayAt / tasmAt 
   pratibandhasādhakapramāṇavṛttyaiva bhāvābhāvau sidhyata iti	pratibanDa sADaka pramANa vRttyA eva BAva aBAvO siDyate iti
   vipratipattinirāsārthamasmābhirniścitagrahaṇaṃ kṛtam /	vipratipatti nirAsa arTam asmABiH niScita grahaNam kRtam /
   yato 'pi trairūpyavacanamātreṇa tatsādhanapramāṇākṣepasiddhiḥ, na jñānaṃ	yatas api trErUpya vacana mAtreNa tad sADana pramANa Akzepa sidDiH, na jQAnam
   pṛthagato rūpāntaraṃ bhavati, tenaivāvagatatvād, upalayārthavat	pRTak ataH rUpa antaram Bavati, tena eva avagata tvAd, upalaya arTavat 
   pakṣadharmatvāt /	pakza Darma tvAt /
   (5.14) anvayavyatirekayorapi tarhi na pṛthakatvam, ekasya	(5.14) anvaya vyatirekayoH api tarhi na pRTaka tvam, ekasya
   prayogādubhayagateriti cet / na / hetoḥ sapakṣāsapakṣayorbhāvābhāvau na	prayogAt uBaya gateH iti ced / na / hetoH sa pakza Asa pakzayoH BAva aBAvO na
   parasparamākṣipataḥ / ekaṃ vākyamubhayaṃ gamayatītyucyate naiko 'rthaḥ	parasparam AkzipataH / ekam vAkyam uBayam gamayati iti ucyate na ekaH arTaH
   svabhāvo dvitīyasyeti / nanu tatraiva bhāva ityatra tadarthatayā tadabhāve	svaBAvaH dvitIyasya iti / nanu tatra eva BAvaH iti atra tad arTa tayA tad aBAve
   'bhāvo gamyate, atadbhāve 'vaśyamabhāva ityatra ca tadbhāve bhāva iti	aBAvaH gamyate, atadBAve avaSyam aBAvaH iti atra ca tad BAve BAvaH iti
   parasparākṣepa iti cet / vacanametat sāmarthyādubhayamākṣipati ekasyāpi	paraspara AkzepaH iti ced / vacanam etat sAmarTyAt uBayam Akzipati ekasya api
