   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   vittair mānyā yathākramam Yj_1.116b	vittEH mAnyAH yaTAkramam Yt-_1.116b
   vidaśya nimbapatrāṇi Yj_3.12c	vidaSya nimba-patrANi Yt-_3.12c
   viduṣāṃ varṣmaṇo jalam Yj_3.33b	viduzAm varzmaNaH jalam Yt-_3.33b
   vidyate nāntarātmanaḥ Yj_3.125b	vidyate na-antarAtmanaH Yt-_3.125b
   vidyayā labdham eva ca Yj_2.119d	vidyayA labDam eva ca Yt-_2.119d
   vidyākarmavayobandhu- Yj_1.116a	vidyA-karma-vayaH-banDu Yt-_1.116a
   vidyātapobhyāṃ hīnena Yj_1.202a	vidyA-tapoByAm hInena Yt-_1.202a
   vidyādibhir ahaṃkṛtaḥ Yj_3.151b	vidyA-AdiBiH ahaMkRtaH Yt-_3.151b
   vidyārthī prāpnuyād vidyāṃ Yj_3.330a	vidyA-arTI prApnuyAt vidyAm Yt-_3.330a
   vidyāṃ cādhyātmikīṃ japet Yj_1.101d	vidyAm ca-ADyAtmikIm japet Yt-_1.101d
   vidyutstanitasaṃplave Yj_1.149b	vidyut-stanita-saMplave Yt-_1.149b
   vidyopaniṣadas tathā Yj_3.189b	vidyA-upanizadaH taTA Yt-_3.189b
   vidvadbhir brāhmaṇaiḥ saha Yj_2.1b	vidvadBiH brAhmaNEH saha Yt-_2.1b
   vidvān aśeṣam ādadyāt Yj_2.34c	vidvAn aSezam AdadyAt Yt-_2.34c
   vidhivad bhūridakṣiṇān Yj_1.314d	viDivat BUri-dakziNAn Yt-_1.314d
   vidhiṃ bhakṣaṇavarjane Yj_1.178d	viDim BakzaNa-varjane Yt-_1.178d
   vidhiḥ strīṇāṃ prakīrtitaḥ Yj_3.296b	viDiH strINAm prakIrtitaH Yt-_3.296b
   vinaṣṭadravyavikrayāḥ Yj_2.268d	vinazwa-dravya-vikrayAH Yt-_2.268d
   vinā daivaṃ na sidhyati Yj_1.351d	vinA dEvam na siDyati Yt-_1.351d
   vinā dhāraṇakād vāpi Yj_2.63c	vinA DAraNakAt vA-api Yt-_2.63c
   vināpi śīrṣakāt kuryān Yj_2.96c	vinA-api SIrzakAt kuryAn Yd-_2.96c
   vināpi sākṣibhir lekhyaṃ Yj_2.89a	vinA-api sAkziBiH leKyam Yt-_2.89a
   vinā pūrvakramāgatāt Yj_2.27b	vinA pUrva-krama-AgatAt Yt-_2.27b
   vināyakasya jananīm Yj_1.290a	vinAyakasya jananIm Yt-_1.290a
   vināyakaḥ karmavighna- Yj_1.271a	vinAyakaH karma-viGna Yt-_1.271a
   vināśe vācike damaḥ Yj_2.208b	vinASe vAcike damaH Yt-_2.208b
   vinītas tv atha vārtāyāṃ Yj_1.311c	vinItaH tu aTa vArtAyAm Yt-_1.311c
   vinītaḥ sattvasaṃpannaḥ Yj_1.309c	vinItaH sattva-saMpannaH Yt-_1.309c
   vinīya sthāpayet pathi Yj_1.361d	vinIya sTApayet paTi Yt-_1.361d
   vinnāsv eṣa vidhiḥ smṛtaḥ Yj_1.92d	vinnAsu eza viDiH smRtaH Yt-_1.92d
   viparītamatiḥ sadā Yj_3.153d	viparIta-matiH sadA Yt-_3.153d
   viparītam ato 'nyathā Yj_2.8b	viparItam atas anyaTA Yt-_2.8b
   viparītāṃś ca ghātayet Yj_1.338d	viparItAn ca GAtayet Yt-_1.338d
   vipākaḥ karmaṇāṃ pretya Yj_3.133a	vipAkaH karmaNAm pretya Yt-_3.133a
   vipākāt triprakārāṇāṃ Yj_3.181c	vipAkAt tri-prakArANAm Yt-_3.181c
   vipāke govṛṣāṇāṃ tu Yj_3.283Ac	vipAke go-vRzANAm tu Yt-_3.283Ac
   vipratvena ca śūdrasya Yj_2.304c	vipra-tvena ca SUdrasya Yt-_2.304c
   vipradaṇḍodyame kṛcchras tv Yj_3.292a	vipradaNxa-udyame kRcCraH tu Yt-_3.292a
   vipraduṣṭāṃ striyaṃ caiva Yj_2.278a	vipraduzwAm striyam ca-eva Yt-_2.278a
   viprapīḍākaraṃ chedyam Yj_2.215a	vipra-pIxA-akaram Cedyam Yt-_2.215a
   vipraṃ nirjitya vādataḥ Yj_3.291b	vipram nirjitya vAdataH Yt-_3.291b
   viprān mūrdhāvasikto hi Yj_1.91a	viprAn mUrDAvasiktaH hi Yt-_1.91a
   viprāhikṣatriyātmāno Yj_1.153a	vipra-ahi-kzatriya-AtmAnaH Yt-_1.153a
   vipruṣo makṣikāḥ sparśe Yj_1.193c	vipruzaH makzikAH sparSe Yt-_1.193c
   vipreṇātha tataḥ svayam Yj_1.312d	vipreNa-aTa tatas svayam Yt-_1.312d
   viprebhyo dīyate dravyaṃ Yj_1.323c	vipreByaH dIyate dravyam Yt-_1.323c
   vipraiś cokta idaṃ japet Yj_1.245d	viprEH ca-uktaH idam japet Yt-_1.245d
   viplutaḥ siddham ātmānam Yj_3.152c	viplutaH sidDam AtmAnam Yt-_3.152c
   vibhaktāḥ paramāṇavaḥ Yj_3.104b	viBaktAH paramANavaH Yt-_3.104b
   vibhakte yat tu dṛśyate Yj_2.126b	viBakte yat tu dRSyate Yt-_2.126b
   vibhakteṣu suto jātaḥ Yj_2.122a	viBaktezu sutaH jAtaH Yt-_2.122a
   vibhajerann iti sthitiḥ Yj_2.126d	viBajeran iti sTitiH Yt-_2.126d
   vibhajeran sutāḥ pitror Yj_2.117a	viBajeran sutAH pitroH Yt-_2.117a
   vibhāganihnave jñāti- Yj_2.149a	viBAga-nihnave jQAti Yt-_2.149a
   vibhāgabhāvanā jñeyā Yj_2.149c	viBAga-BAvanA jQeyA Yt-_2.149c
   vibhāgas tu samaḥ smṛtaḥ Yj_2.120b	viBAgaH tu samaH smRtaH Yt-_2.120b
   vibhāgaṃ cet pitā kuryād Yj_2.114a	viBAgam ced pitA kuryAt Yt-_2.114a
   vibhāvayen na cel liṅgais Yj_2.33c	viBAvayet na ced liFgEH Yt-_2.33c
   vimanā viphalārambhaḥ Yj_1.274c	vimanAH viPala-AramBaH Yt-_1.274c
   vimāṃsasya ca vikrayī Yj_2.297b	vimAMsasya ca vikrayI Yt-_2.297b
   virājaḥ so 'nnarūpeṇa Yj_3.120c	virAjaH saH anna-rUpeNa Yt-_3.120c
   viruddhaṃ bahu bhāṣite Yj_2.14b	virudDam bahu BAzite Yt-_2.14b
   viruddhaṃ varjayet karma Yj_1.139a	virudDam varjayet karma Yd-_1.139a
   viliptaśirasas tathā Yj_1.278b	vilipta-SirasaH taTA Yt-_1.278b
   vivādayet sadya eva Yj_2.12c	vivAdayet sadyas eva Yt-_2.12c
   vivādaṃ varjayitvā tu Yj_1.158c	vivAdam varjayitvA tu Yt-_1.158c
   vivādād dviguṇaṃ daṇḍaṃ Yj_2.81c	vivAdAt dviguNam daNxam Yt-_2.81c
   vivādād dviguṇaṃ damam Yj_2.4d	vivAdAt dviguNam damam Yt-_2.4d
   vivādād dviguṇaṃ damam Yj_2.305d	vivAdAt dviguNam damam Yt-_2.305d
   vivādeṣūpadarśitaḥ Yj_2.8d	vivAdezu-upadarSitaH Yt-_2.8d
   vivāsyo brāhmaṇaḥ smṛtaḥ Yj_2.81d	vivAsyaH brAhmaNaH smRtaH Yt-_2.81d
   vivāhas tu samantrakaḥ Yj_1.13d	vivAhaH tu sa-mantrakaH Yt-_1.13d
   vivītakhaladāhakāḥ Yj_2.282b	vivIta-Kala-dAhakAH Yt-_2.282b
   vivītabhartus tu pathi Yj_2.271c	vivIta-BartuH tu paTi Yt-_2.271c
   viśaḥ pañcadaśaiva tu Yj_3.22b	viSaH paQcadaSa-eva tu Yt-_3.22b
   viśām eke yathākulam Yj_1.14d	viSAm eke yaTAkulam Yt-_1.14d
   viśāṃ vāpy āpadi dvijaḥ Yj_3.35b	viSAm vA-api Apadi dvijaH Yt-_3.35b
   viśuddhiḥ paramā matā Yj_3.34d	viSudDiH paramA matAH Yt-_3.34d
   viśuddhe śukraśoṇite Yj_3.72b	viSudDe Sukra-SoNite Yt-_3.72b
   viśeṣapatanīyāni Yj_3.297c	viSeza-patanIyAni Yt-_3.297c
   viśvarūpaḥ prajāpatiḥ Yj_3.120b	viSva-rUpaH prajApatiH Yt-_3.120b
   viśve devāś ca prīyantāṃ Yj_1.245c	viSve devAH ca prIyantAm Yt-_1.245c
   viśve devāsa ity ṛcā Yj_1.229d	viSve devAsaH iti RcA Yt-_1.229d
   viṣayendriyasaṃrodhas Yj_3.158a	vizaya-indriya-saMroDaH Yt-_3.158a
   viṣāgnidāṃ patiguru- Yj_2.279a	viza-agni-dAm pati-guru Yt-_2.279a
   viṣuvat sūryasaṃkramaḥ Yj_1.217d	vizuvat sUrya-saMkramaH Yt-_1.217d
   viṣṭarārthaṃ kuśān api Yj_1.229b	vizwara-arTam kuSAn api Yt-_1.229b
   vistāro 'yam udāhṛtaḥ Yj_3.95d	vistAraH ayam udAhRtaH Yt-_3.95d
   vihitasyānanuṣṭhānān Yj_3.219a	vihitasya-ananuzWAnAn Yd-_3.219a
   vihitā brahmagītikā Yj_3.114b	vihitA brahmagItikA Yt-_3.114b
   viṃśatiṃ tad vyayaṃ tathā Yj_2.223d	viMSatim tat vyayam taTA Yt-_2.223d
   viṃśater dviguṇo damaḥ Yj_2.227d	viMSateH dviguNaH damaH Yt-_2.227d
   vīṇāvādanatattvajñaḥ Yj_3.115a	vINA-vAdana-tattva-jQaH Yt-_3.115a
   vīrasūṃ priyavādinīm Yj_1.76b	vIrasUm priya-vAdinIm Yt-_1.76b
   vṛkṣagulmalatāvīru- Yj_3.276a	vRkza-gulma-latA-vIru Yt-_3.276a
   vṛkṣāvāso mitāśanaḥ Yj_3.54b	vRkzAvAsaH mita-aSanaH Yt-_3.54b
   vṛṇuyād eva ca rtvijaḥ Yj_1.314b	vRNuyAt eva ca rtvijaH Yt-_1.314b
   vṛthākṛsarasamyāva- Yj_1.173c	vRTA-kRsara-samyAva Yt-_1.173c
   vṛthādānaṃ tathaiveha Yj_2.47c	vRTA-dAnam taTA-eva-iha Yt-_2.47c
   vṛddhabālāturācārya- Yj_1.157c	vRdDa-bAla-Atura-AcArya Yt-_1.157c
   vṛddhabhārinṛpasnāta- Yj_1.117a	vRdDa-BAri-nRpa-snAta Yt-_1.117a
   vṛddhaṃ pātreṣu nikṣipet Yj_1.317d	vRdDam pAtrezu nikzipet Yt-_1.317d
   vṛddhau nāndīmukhān pitṝn Yj_1.250b	vRdDO nAndImuKAn pitLn Yt-_1.250b
   vṛddhau hānau ca kalpitam Yj_2.244d	vRdDO hAnO ca kalpitam Yt-_2.244d
   vṛṣakṣudrapaśūnāṃ ca Yj_2.236a	vRza-kzudra-paSUnAm ca Yt-_2.236a
   vṛṣabhaikādaśās tu gāḥ Yj_3.264d	vRzaBa-ekAdaSAH tu gAH Yt-_3.264d
   vṛṣṭyāyuḥpuṣṭikāmo vā Yj_1.295c	vRzwi-AyuH-puzwi-kAmaH vE Yt-_1.295c
   vego nadyāś ca śuddhikṛt Yj_3.32b	vegaH nadyAH ca SudDi-kRt Yt-_3.32b
   veṇumān sakamaṇḍaluḥ Yj_1.133b	veNumAn sa-kamaNxaluH Yt-_1.133b
   vetti sarvagatāṃ kasmāt Yj_3.130c	vetti sarva-gatAm kasmAt Yd-_3.130c
   veda eva dvijātīnāṃ Yj_1.40c	vedaH eva dvijAtInAm Yt-_1.40c
   vedanindā suhṛdvadhaḥ Yj_3.228b	veda-nindA suhRd-vaDaH Yt-_3.228b
   vedane tv agrajanmanaḥ Yj_1.62d	vedane tu agrajanmanaH Yt-_1.62d
   vedaplāvī yavāśy abdaṃ Yj_3.288c	veda-plAvI yavASI abdam Yt-_3.288c
   vedam adhyāpayed enaṃ Yj_1.15c	vedam aDyApayet enam Yt-_1.15c
   vedam asmai prayacchati Yj_1.34b	vedam asmE prayacCati Yt-_1.34b
   vedaṃ vratāni vā pāraṃ Yj_1.51c	vedam vratAni vA pAram Yt-_1.51c
   vedātharvapurāṇāni Yj_1.101a	veda-aTarva-purANAni Yd-_1.101a
   vedānuvacanaṃ yajño Yj_3.190a	veda-anuvacanam yajQaH Yt-_3.190a
   vedābhyāsarataṃ kṣāntaṃ Yj_3.310a	veda-aByAsa-ratam kzAntam Yt-_3.310a
   vedārthavij jyeṣṭhasāmā Yj_1.219c	veda-arTa-vid jyezWasAmA Yt-_1.219c
   vedārthān adhigacchec ca Yj_1.99c	veda-arTAn aDigacCet ca Yt-_1.99c
   vedāḥ saṃtatir eva ca Yj_1.246b	vedAH saMtatiH eva ca Yt-_1.246b
   vedāḥ sthānāni vidyānāṃ Yj_1.3c	vedAH sTAnAni vidyAnAm Yt-_1.3c
   vedaiḥ śāstraiḥ savijñānair Yj_3.170a	vedEH SAstrEH sa-vijQAnEH Yd-_3.170a
   velāhīne ca taskaraḥ Yj_2.168d	velA-hIne ca taskaraH Yt-_2.168d
   veṣṭāv oṣṭhau kakundare Yj_3.96d	vezwO ozWO kakundare Yt-_3.96d
   vaiṇābhiśastavārdhuṣya- Yj_1.161c	vENa-aBiSastavArDuzya Yt-_1.161c
   vaitānāupāsanāḥ kāryāḥ Yj_3.17c	vEtAnAu-pAsanAH kAryAH Yd-_3.17c
   vaidyasaṃśritabāndhavaiḥ Yj_1.157d	vEdya-saMSrita-bAnDavEH Yt-_1.157d
   vairūpyaṃ maraṇaṃ vāpi Yj_3.79c	vErUpyam maraNam vA-api Yt-_3.79c
   vaiśyavṛttyāpi jīvan no Yj_3.39a	vESya-vRttyA-api jIvan naH Yt-_3.39a
   vaiśyaś ca dhānyadhanavān Yj_3.332c	vESyaH ca DAnya-DanavAn Yt-_3.332c
   vaiśyasya kṣatriyasya ca Yj_1.118b	vESyasya kzatriyasya ca Yt-_1.118b
   vaiśyahābdaṃ cared etad Yj_3.267a	vESya-hA-abdam caret etat Yt-_3.267a
   vaiśyāt tu karaṇaḥ śūdryāṃ Yj_1.92c	vESyAt tu karaNaH SUdryAm Yt-_1.92c
   vaiśyād vaidehakas tathā Yj_1.93b	vESyAt vEdehakaH taTA Yt-_1.93b
   vaiśyā pratodam ādadyād Yj_1.62c	vESyA pratodam AdadyAt Yt-_1.62c
   vaiśyāśūdryos tu rājanyān Yj_1.92a	vESyA-SUdryoH tu rAjanyAn Yt-_1.92a
   vyatīpāto gajacchāyā Yj_1.218a	vyatIpAtaH gajacCAyA Yt-_1.218a
   vyatyaye karmaṇāṃ sāmyaṃ Yj_1.96c	vyatyaye karmaNAm sAmyam Yt-_1.96c
   vyapetamadamatsaraḥ Yj_1.268d	vyapeta-mada-matsaraH Yt-_1.268d
   vyabhicārād ṛtau śuddhir Yj_1.72a	vyaBicArAt RtO SudDiH Yt-_1.72a
   vyayakarmasu codyatān Yj_1.322d	vyaya-karmasu ca-udyatAn Yj_1.322d
   vyayaṃ dadyāc ca sodayam Yj_2.146b	vyayam dadyAt ca sa-udayam Yt-_2.146b
   vyayaṃ paṇyasamudbhavam Yj_2.253b	vyayam paNya-samudBavam Yt-_2.253b
   vyavahārapadaṃ hi tat Yj_2.5d	vyavahAra-padam hi tat Yt-_2.5d
   vyavahāravidhau nṛṇām Yj_2.30d	vyavahAra-viDO nRNAm Yt-_2.30d
   vyavahāraḥ kulasthitiḥ Yj_1.343b	vyavahAraH kula-sTitiH Yt-_1.343b
   vyavahārān nayen nṛpaḥ Yj_2.19b	vyavahArAn nayet nRpaH Yt-_2.19b
   vyavahārān nivartayet Yj_2.31b	vyavahArAn nivartayet Yt-_2.31b
   vyavahārān nṛpaḥ paśyed Yj_2.1a	vyavahArAn nRpaH paSyet Yt-_2.1a
   vyavahārān nṛpeṇa tu Yj_2.3b	vyavahArAn nRpeNa tu Yt-_2.3b
   vyavahārān nṛpeṇa tu Yj_2.305b	vyavahArAn nRpeNa tu Yt-_2.305b
   vyavahārān svayaṃ paśyet Yj_1.360c	vyavahArAn svayam paSyet Yt-_1.360c
   vyavahārāṃs tato dṛṣṭvā Yj_1.327c	vyavahArAn tatas dRzwvA Yt-_1.327c
   vyavahāro na sidhyati Yj_2.32d	vyavahAraH na siDyati Yt-_2.32d
   vyasanaṃ jāyate ghoraṃ sa Yj_2.113c	vyasanam jAyate Goram saH Yt-_2.113c
   vyasanāny ātmavikrayaḥ Yj_3.240d	vyasanAni Atma-vikrayaH Yt-_3.240d
   vyasanābhiplute 'pi vā Yj_2.50b	vyasana-aBiplute api vE Yt-_2.50b
   vyādhitair vā na saṃviśet Yj_1.138d	vyADitEH vA na saMviSet Yt-_1.138d
   vyādhau saṃpratirodhake Yj_2.147b	vyADO saMpratiroDake Yt-_2.147b
   vyāsiddhaṃ rājayogyaṃ ca Yj_2.261c	vyAsidDam rAja-yogyam ca Yt-_2.261c
   vyūhanaṃ raukṣyam eva ca Yj_3.76d	vyUhanam rOkzyam eva ca Yt-_3.76d
   vrajann api tathātmānaṃ Yj_1.274a	vrajan api taTA-AtmAnam Yt-_1.274a
   vrātyastomād ṛte kratoḥ Yj_1.38d	vrAtyastomAt Rte kratoH Yt-_1.38d
   śakārdrauṣadhipiṇyāka- Yj_3.38c	Saka-Ardra-ozaDi-piNyAka Yt-_3.38c
   śaktasyānīhamānasya Yj_2.116a	Saktasya-anIhamAnasya Yd-_2.116a
   śaktāptajñānavittadāḥ Yj_1.28d	Sakta-Apta-jQAna-vitta-dAH Yt-_1.28d
   śaktito vā yathālābhaṃ Yj_1.305c	Saktitas vA yaTAlABam Yt-_1.305c
   śakto 'py amokṣayan svāmī Yj_2.300a	SaktaH api amokzayan svAmI Yd-_2.300a
   śaktyapekṣam athāpi vā Yj_2.26d	Sakti-apekzam aTa-api vA Yt-_2.26d
   śaktyā ca yajñakṛn mokṣe Yj_3.57c	SaktyA ca yajQa-kRt mokze Yt-_3.57c
   śaktyādhīte hi yo 'nvaham Yj_1.45d	SaktyA-aDIte hi yaH anvaham Yt-_1.45d
   śaktyā vāpi tapaś caret Yj_3.52d	SaktyA vA-api tapaH caret Yt-_3.52d
   śakrapāte tathocchraye Yj_1.147d	Sakra-pAte taTA-ucCraye Yt-_1.147d
   śaṭ tvaco dhārayanti ca Yj_3.84b	Saw tvacaH DArayanti ca Yt-_3.84b
   śatamānaṃ tu daśabhir Yj_1.365a	SatamAnam tu daSaBiH Yt-_1.365a
   śataṃ strīdūṣaṇe dadyād Yj_2.289a	Satam strI-dUzaNe dadyAt Yt-_2.289a
   śate daśapalā vṛddhir Yj_2.179a	Sate daSa-palA vRdDiH Yt-_2.179a
   śanair dāpyo yathodayam Yj_2.43d	SanEs dApyaH yaTA-udayam Yt-_2.43d
   śapantaṃ dāpayed rājā Yj_2.205c	Sapantam dApayet rAjA Yt-_2.205c
   śabdaṃ śrotraṃ balādikam Yj_3.76b	Sabdam Srotram bala-Adikam Yt-_3.76b
   śabdaḥ sparśaś ca rūpaṃ ca Yj_3.180a	SabdaH sparSaH ca rUpam ca Yt-_3.180a
   śabdādiviṣayodyogaṃ Yj_3.151c	Sabda-Adi-vizaya-udyogam Yt-_3.151c
   śabdāś ca viṣayāḥ smṛtāḥ Yj_3.91b	SabdAH ca vizayAH smRtAH Yt-_3.91b
   śaraṇāgatabālastrī- Yj_3.298a	SaraNa-Agata-bAla-strI Yt-_3.298a
   śarīracintāṃ nirvartya Yj_1.98a	SarIra-cintAm nirvartya Yt-_1.98a
   śarīraparisaṃkhyānaṃ Yj_3.158c	SarIra-parisaMKyAnam Yt-_3.158c
   śarīrasaṃkṣaye yasya Yj_3.161a	SarIra-saMkzaye yasya Yd-_3.161a
   śarīreṇa ca nātmāyaṃ Yj_3.164c	SarIreNa ca na-AtmA-ayam Yt-_3.164c
   śarīreṣu śarīriṇām Yj_3.132b	SarIrezu SarIriNAm Yt-_3.132b
   śaśaś ca matsyeṣv api hi Yj_1.177c	SaSaH ca matsyezu api hi Yt-_1.177c
   śaṣkulī karṇapatrakau Yj_3.96b	SazkulI karNa-patrakO Yt-_3.96b
   śastravikrayikarmāra- Yj_1.163c	Sastra-vikrayi-karma-Ara Yt-_1.163c
   śastrāvapāte garbhasya Yj_2.277a	Sastra-avapAte garBasya Yd-_2.277a
   śastrāsavamadhūcchiṣṭaṃ Yj_3.37a	Sastra-Asava-maDUcCizwam Yt-_3.37a
   śastreṇa tu hatā ye vai Yj_1.264c	SastreNa tu hatAH ye vE Yj_1.264c
   śastre madhyamasāhasaḥ Yj_2.216d	Sastre maDyama-sAhasaH Yt-_2.216d
   śaṃ no devīs tathā kāṇḍāt Yj_1.301c	Sam naH devIH taTA kANxAt Yt-_1.301c
   śaṃ no devyā payaḥ kṣiptvā Yj_1.230c	Sam naH devyA payaH kziptvA Yt-_1.230c
   śākarajjumūlaphala- Yj_1.182c	SAka-rajju-mUla-Pala Yt-_1.182c
   śākunacchāgapārṣataiḥ Yj_1.258d	SAkuna=-CAga-pArzatEH Yt-_1.258d
   śākhāṅgacchedane tathā Yj_2.225b	SAKA-aFga=-Cedane taTA Yt-_2.225b
   śātātapo vasiṣṭhaś ca Yj_1.5c	SAtAtapaH vasizWaH ca Yt-_1.5c
   śāvam āśaucam iṣyate Yj_3.18b	SAvam ASOcam izyate Yt-_3.18b
   śāśair māṃsair yathākramam Yj_1.259b	SASEH mAMsEH yaTAkramam Yt-_1.259b
   śāsanaṃ kārayet sthiram Yj_1.320d	SAsanam kArayet sTiram Yt-_1.320d
   śāstrāṇi cintayed buddhyā Yj_1.331c	SAstrANi cintayet budDyA Yt-_1.331c
   śāstrāṇi vividhāni ca Yj_1.99d	SAstrANi viviDAni ca Yt-_1.99d
   śāstrārtheṣu vivekitā Yj_3.156b	SAstra-arTezu viveki-tA Yt-_3.156b
   śiraso dyaur ajāyata Yj_3.127b	SirasaH dyOH ajAyata Yt-_3.127b
   śiraḥkapālī dhvajavān Yj_3.243a	SiraH-kapAlI DvajavAn Yd-_3.243a
   śirā dhamanisaṃjñitāḥ Yj_3.101d	SirAH Damani-saMjQitAH Yt-_3.101d
   śirāḥ śatāni saptaiva Yj_3.100a	SirAH SatAni sapta-eva Yt-_3.100a
   śilāṃ baddhvā praveśayet Yj_2.278d	SilAm badDvA praveSayet Yt-_2.278d
   śilpair vā vividhair jīved Yj_1.120c	SilpEH vA viviDEH jIvet Yt-_1.120c
   śiṣṭe ca gṛham āgate Yj_1.150d	Sizwe ca gRham Agate Yt-_1.150d
   śiṣṭair iṣṭaiś ca bandhubhiḥ Yj_1.113d	SizwEH izwEH ca banDuBiH Yt-_1.113d
   śiṣyartviggurubandhuṣu Yj_1.144b	Sizya-Rtvij-guru-banDuzu Yt-_1.144b
   śiṣyasabrahmacāriṇaḥ Yj_2.135d	Sizya-sabrahmacAriNaH Yj_2.135d
   śiṣyasaṃbandhibāndhavāḥ Yj_1.220d	Sizya-saMbanDi-bAnDavAH Yt-_1.220d
   śīrṣakasthe 'bhiyoktari Yj_2.95d	SIrzaka-sTe aBiyoktari Yt-_2.95d
   śukapratudaṭiṭṭibhān Yj_1.172b	Suka-pratuda-wiwwiBAn Yt-_1.172b
   śuke vatso dvihāyanaḥ Yj_3.271b	Suke vatsaH dvi-hAyanaH Yt-_3.271b
   śuktastrīprāṇihiṃsanam Yj_1.33b	Sukta-strI-prANi-hiMsanam Yt-_1.33b
   śuktaṃ paryuṣitocchiṣṭaṃ Yj_1.167c	Suktam paryuzita-ucCizwam Yt-_1.167c
   śukratvam adhigacchati Yj_3.71d	Sukra-tvam aDigacCati Yt-_3.71d
   śukraḥ śanaiścaro rāhuḥ Yj_1.296c	SukraH SanEScaraH rAhuH Yt-_1.296c
   śukriyāraṇyakajapo Yj_3.308a	Sukriya-AraNyaka-japaH Yd-_3.308a
   śuklamālyānulepanaḥ Yj_1.292b	Sukla-mAlya-anulepanaH Yt-_1.292b
   śuklāmbaradharo nīca- Yj_1.131a	Sukla-ambara-DaraH nIca Yt-_1.131a
   śukle śikhyaṇḍasammitān Yj_3.323b	Sukle SiKi-aNxa-sammitAn Yt-_3.323b
   śucikalyānasūyakāḥ Yj_1.28b	Suci-kalya-anasUyakAH Yt-_1.28b
   śuci gotṛptikṛt toyaṃ Yj_1.192a	Suci go-tRpti-kRt toyam Yt-_1.192a
   śuddhaś ced gamayordhvaṃ māṃ Yj_2.102c	SudDaH ced gamaya-UrDvam mAm Yt-_2.102c
   śuddhaḥ syān na saṃśayaḥ Yj_2.113d	SudDaH syAt na saMSayaH Yt-_2.113d
   śuddhir gandhādikarṣaṇāt Yj_1.191b	SudDiH ganDa-Adi-karzaNAt Yt-_1.191b
   śuddhir niḥspṛhatā śamaḥ Yj_3.159b	SudDiH niHspRhatA SamaH Yt-_3.159b
   śuddhiś cāndrāyaṇena ca Yj_3.326b	SudDiH cAndrAyaNena ca Yt-_3.326b
   śuddhiḥ plāvo dravasya ca Yj_1.190d	SudDiH plAvaH dravasya ca Yt-_1.190d
   śuddhyai vānyat tu kārayet Yj_2.94b	SudDyE vA-anyat tu kArayet Yt-_2.94b
   śudhyate 'satpratigrahāt Yj_3.289d	SuDyate asat-pratigrahAt Yt-_3.289d
   śudhyaty āvikakauśikam Yj_1.186b	SuDyati Avika-kOSikam Yt-_1.186b
   śudhyeta vā mitāśitvāt Yj_3.249c	SuDyeta vA mita-ASi-tvAt Yt-_3.249c
   śudhyed brahmavadhād ṛte Yj_3.311d	SuDyet brahma-vaDAt Rte Yt-_3.311d
   śudhyeran strī ca śūdraś ca Yj_1.21c	SuDyeran strI ca SUdraH ca Yt-_1.21c
   śubhānāṃ caiva karmaṇām Yj_1.40b	SuBAnAm ca-eva karmaNAm Yt-_1.40b
   śulkasthānād apāsaran Yj_2.262b	Sulka-sTAnAt apAsaran Yt-_2.262b
   śuṣkabhinnamukhasvarāḥ Yj_2.267d	Suzka-Binna-muKa-svarAH Yt-_2.267d
   śūdrapravrajitānāṃ ca Yj_2.235a	SUdra-pravrajitAnAm ca Yt-_2.235a
   śūdrapreṣyaṃ hīnasakhyaṃ Yj_3.241a	SUdra-prezyam hIna-saKyam Yt-_3.241a
   śūdrayoṣāḥ pramāpya tu Yj_3.268b	SUdra-yozAH pramApya tu Yt-_3.268b
   śūdras tathāntya eva syād Yj_2.294c	SUdraH taTA-antyaH eva syAt Yt-_2.294c
   śūdrasya dvijaśuśrūṣā Yj_1.120a	SUdrasya dvija-SuSrUzA Yt-_1.120a
   śūdrahatyāvrataṃ caret Yj_3.269b	SUdra-hatyA-vratam caret Yt-_3.269b
   śūdrāj jātas tu caṇḍālaḥ Yj_1.93c	SUdrAt jAtaH tu caNxAlaH Yt-_1.93c
   śūdrād āyogavaṃ vaiśyā Yj_1.94c	SUdrAt Ayogavam vESyAH Yt-_1.94c
   śūdrād dāropasaṃgrahaḥ Yj_1.56b	SUdrAt dAra-upasaMgrahaH Yt-_1.56b
   śūdreṣu dāsagopāla- Yj_1.166a	SUdrezu dAsa-gopAla Yt-_1.166a
   śūdro 'dhikārahīnopi Yj_3.262c	SUdraH aDikAra-hInA-upi Yt-_3.262c
   śūlān āropayen narān Yj_2.273d	SUlAn Aropayet narAn Yt-_2.273d
   śeṣaṃ caivānumānya ca Yj_1.241b	Sezam ca-eva-anumAnya ca Yt-_1.241b
   śeṣaṃ pūrvavad ācaret Yj_1.254b	Sezam pUrvavat Acaret Yt-_1.254b
   śeṣāhobhir viśudhyati Yj_3.20b	Seza-ahoBiH viSuDyati Yt-_3.20b
   śokatāṃ paramāṃ gatim Yj_1.266d	Soka-tAm paramAm gatim Yt-_1.266d
   śoṇitaṃ śaṅkhakau tathā Yj_3.93b	SoNitam SaFKakO taTA Yt-_3.93b
   śoṇitena vinā duḥkhaṃ Yj_2.218a	SoNitena vinA duHKam Yt-_2.218a
   śodhyasya mṛc ca toyaṃ ca Yj_3.32c	SoDyasya mRd ca toyam ca Yt-_3.32c
