   Bhss_1.1:	BhsH-_1.1:
   godhūma-cūrṇodbhava-laḍḍukāni	goDUma--cUrNa-udBava--laxxukAni
   manoharākhyāni manorame! tvaṃ	manohara-AKyAni manorame! tvam
   tvaṃ mauktikākhyāni ca ratnamāle!	tvam mOktika-AKyAni ca ratna-mAle!
   (Govinda-līlāmṛtam 3.49)	(Govinda--lIlA-amRtam 3.49)
   Bhss_2.320:	BhsH-_2.320:
   subhṛṣṭa-nistuṣa-tilair	su-BRzwa--nistuza--tilEH-
   modakān kuru mādhavi!	modakAn kuru mADavi!
   tathā tila-kadambākhyāḥ	taTA tila-kadamba-AKyAH
   satilāḥ khaṇḍa-pa ikāḥ	sa-tilAH KaNxa-paH ikAH
   (Govinda-līlāmṛtam 3.50)	(Govinda--lIlA-amRtam 3.50)
   Bhss_2.321:	BhsH-_2.321:
   lājān dhānāṃś ca saṃbhṛṣṭān	lAjAn DAnAn ca saMBRzwAn
   pṛthukān ghṛta-bharjitān	pRTukAn GRta-BarjitAn
   kṛtvā vindhye! sitā-kvāthaiḥ	kRtvA vinDye! sitA--kvATEH
   samudgān kuru modakān	samudgAn kuru modakAn
   (Govinda-līlāmṛtam 3.51)	(Govinda--lIlA-amRtam 3.51)
   Bhss_2.322:	BhsH-_2.322:
   rambhe! karambhaṃ kuru śātakumbha-	ramBe! karamBam kuru SAtakumBa-
   kuṇḍyāṃ surambhā-phala-śarkarādyaiḥ	kuNxyAm suramBA--Pala--SarkarA-AdyEH
   niṣpīḍya pakvāmra-rasaṃ manojñe!	nizpIxya pakva-Amra--rasam manojQe!
   sitā-ghana-kṣīra-yutaṃ vidhehi	sitA-Gana--kzIra--yutam viDehi
   (Govinda-līlāmṛtam 3.52)	(Govinda--lIlA-amRtam 3.52)
   Bhss_2.323:	BhsH-_2.323:
   utthāpitaṃ yat tu mayā mathitvā	utTApitam yat tu mayA maTitvA
   prātaḥ sugandhā-payaso dadhīni	prAtar suganDA--payasaH daDIni
   tad iṣṭa-gandhaṃ navanīta-piṇḍaṃ	tat izwa-ganDam navanIta--piNxam
   haiyaṅgavīnaṃ kuru bhoḥ kilimbe	hEyaFgavInam kuru BoH kilimbe
   (Govinda-līlāmṛtam 3.53)	(Govinda--lIlA-amRtam 3.53)
   Bhss_2.324:	BhsH-_2.324:
   svayaṃ dugdhvā vrajendreṇa	svayam dugDvA vraja-indreNa
   prahitaṃ dhavalā-payaḥ	prahitam Davala-a--payaH
   pānārtham ambike mandaṃ	pAna-arTam ambike mandam
   tvaṃ śṛtaṃ kuru vatsayoḥ	tvam SRtam kuru vatsayoH
   (Govinda-līlāmṛtam 3.54)	(Govinda--lIlA-amRtam 3.54)
   Bhss_2.325:	BhsH-_2.325:
   ṛjīṣa-darvī-nivahaiḥ parītāṃ	RjIza--darvI--nivahEH parItAm
   mṛd-dāru-kuṇḍy-ādika-bhājanaiś ca	mRd-dAru--kuNxy-a-Adika-BAjanEH ca
   cullī-cayāḍhyāṃ mama sikta-liptāṃ	cullI--caya-AXyAm mama sikta-liptAm
   tad-dugdha-śālāṃ vrajatāśu bālāḥ	tad--dugDa--SAlAm vrajata-ASu bAlAH
   (Govinda-līlāmṛtam 3.55)	(Govinda--lIlA-amRtam 3.55)
   Bhss_2.326:	BhsH-_2.326:
   nānopakaraṇāni tvaṃ	nAnA-upakaraNAni tvam
   tāni tāni dhaniṣṭhike!	tAni tAni DanizWike!
   niṣkāsya tat-tad-bhāṇḍebhyaḥ	nizkAsya tat--tad--BANxeByaH
   pātreṣv ādhāya dāpaya	pAtrezu ADAya dApaya
   (Govinda-līlāmṛtam 3.56)	(Govinda--lIlA-amRtam 3.56)
   Bhss_2.327:	BhsH-_2.327:
   tat-tat-padārthāṃs tvaritaṃ tulasyā	tat-tat--padArTAn tvaritam tulasyA
   sahānayā raṅgaṇamālike tvam	saha-anayA raFgaNa-mAlike tvam
   ānīya koṣālayato 'smadīyād	AnIya kozAlayataH asmadIyAt-
   dāsī-gaṇair dāpaya tatra tatra	dAsI--gaNEH dApaya tatra tatra
   (Govinda-līlāmṛtam 3.57)	(Govinda--lIlA-amRtam 3.57)
   Bhss_2.328-329:	BhsH-_2.328-329:
   āmrātakāmra-phalapūra-karīra-dhātrī-	AmrAtaka-Amra--Pala-pUra-karIra-DAtrI-
   limpāka-koli-rucakādi-phalāni kāmam	limpA-ka-koli--rucaka-Adi--PalAni kAmam
   taile ciraṃ salavaṇe kila sandhitāni	tEle ciram sa-lavaNe kila sanDitAni
   mūlāny athārdraka-mukhāni ca rocakāni	mUlAni aTa-Ardraka-muKAni ca rocakAni
   matsyaṇḍikā-rasa-ciroṣita-pakva-ciñcā-	matsyaNxikA--rasa--cira-uzita--pakva--ciQcA-
   dhātrī-rasāla-badarī-śakalāni tadvat	DAtrI---rasAla--badarI-SakalAni tadvat-
   niṣkāsya bhos tvam iha manthanikā-kulebhyaḥ	nizkAsya BoH tvam iha manTanikA--kuleByaH
   kṛtvānayendumukhi! kāñcana-bhājaneṣu	kRtvA-Anaya-indu-muKi! kAQcana--BAjanezu
   (Govinda-līlāmṛtam 3.58-59)	(Govinda--lIlA-amRtam 3.58-59)
   Bhss_2.330:	BhsH-_2.330:
   śande śubhe bharaṇi pīvari miṣṭa-haste	Sande SuBe BaraNi pIvari mizwa-haste
   cullīcayopari-dhṛtātula-manthanīṣu	cullI-caya-upari--DRta-atula--manTanIzu
   dugdhāni bhārika-gaṇopahṛtāni goṣṭhād	dugDAni BArika--gaNa-upahRtAni gozWAd
   vatsāḥ! śanaiḥ śrapayatāśu nidhāya yūyam	vatsAH! SanEs Srapayata-ASu niDAya yUyam
   (Govinda-līlāmṛtam 3.60)	(Govinda--lIlA-amRtam 3.60)
   Bhss_2.331-332:	BhsH-_2.331-332:
   kānta-bhuktāvaśiṣṭaṃ saṃ-	kAnta--Bukta-avaSizwam saM-
   bhujya tu jāta-śarmikām	Bujya tu jAta-SarmikAm
   āyātāṃ sva-samīpe tāṃ	AyAtAm sva--samIpe tAm
   rādhām āha salālanam	rADAm Aha sa-lAlanam
   sarasija-mukhi! kīrtidaikakīrte!	sarasija--muKi! kIrti-dEka-kIrte!
   pacana-kalā-caturā kṛtāsi dhātrā	pacana-kalA--caturA kRtA-asi DAtrA
   tad ayi rasavatīṃ praviśya pākaṃ	tat ayi rasavatIm praviSya pAkam
   kuru lalitādi-sakhī-kṛteti kṛtyam	kuru lalita-Adi-saKI-kRtA-iti kRtyam
   (Kṛṣṇa-bhāvanāmṛtam 5.56)	(KRzNa--BAvanA-amRtam 5.56)
   Bhss_2.333:	BhsH-_2.333:
   śaśi-mukhi! śaradāṃ śataṃ jayaivaṃ	SaSi-muKi! SaradAm Satam jaya-evam
   sukhaya manonayane mamety uditvā	suKaya manaH-nayane mama-iti uditvA
   anayata sumanoharās tad-ālīḥ	anayata su-manoharAH tad--AlIH
   śam atula-vatsalatā-latā natāḥ sā	Sam atula--vatsalatA-a-latA natAH sA
   Bhss_2.334:	BhsH-_2.334:
   goṣṭheśvarīṃ samabhivādya viśeṣa-namrā	gozWeSvarIm samaBivAdya viSeza-namrA
   tat-pāṇi-padma-dhṛta-pāṇir atīva kamrā	tat-pANi--padma--DRta--pANiH atIva kamrA
   āsādya rāma-jananīṃ praṇanāma yātām	AsAdya rAma--jananIm praNanAma yAtAm
   adhyakṣatāṃ pacana-karmaṇi sābhijātā	aDyakzatAm pacana-karmaNi sa-aBijAtA
   (Kṛṣṇāhnika-kaumudī 2.84)	(KRzNA-Ahnika-kOmudI 2.84)
   Bhss_2.335:	BhsH-_2.335:
   kailāsa-śailaka-nibhaṃ dadhatī sva-kāntyā	kElAsa--SEla-ka-niBam daDatI sva-kAntyA
   nīlāṃśukā praṇayinī hi sadātra rādhā	nIla-aMSukA praNayinI hi sadA-atra rADA
   ehīti doḥ-prasaraṇena muhur vadantī	ehi-iti doH--prasaraNena muhur vadantI
   śiśleṣa tāṃ samukha-cumbam asau hasantī	SiSleza tAm samuKa--cumbam asO hasantI
   Bhss_2.336:	BhsH-_2.336:
   tābhyāṃ mahānasam upetya ca pāka-śālā-	tAByAm mahAnasam upetya ca pAka-SAlA-
   pālīḥ smitena mṛdunā vacasā ca bālā	pAlIH smitena mRdunA vacasA ca bAlA
   sammānya mānya-caritā mumude mitāni	sammAnya mAnya--caritAH mumude mitAni
   pāka-kriyopakaraṇāni vilokya tāni	pAka-kriyA-upakaraNAni vilokya tAni
   (Kṛṣṇāhnika-kaumudī 2.85)	(KRzNA-Ahnika-kOmudI 2.85)
   Bhss_2.337-338:	BhsH-_2.337-338:
   kuṣmāṇḍakālu-kacu-mānaka-kanda-tumbī-	kuzmANxa-kAlu-ka-cu-mAnaka-kanda-tumbI-
   vārttāku-mūlaka-paṭola-phalāni śimbī	vArttA-ku-mUla-ka-pawola--PalAni SimbI
   ḍiṇḍīśa-vāraṇa-buṣāma-phalāny anīcā-	xiNxI-Sa--vAraNa--buzA-m-a--PalAni anIcA-
   rambhā-viśeṣa-nava-garbha-navīna-mocāḥ	ramBA--viSeza-nava--garBa-navIna---mocAH
   vāstūka-māriṣa-paṭola-śikhāḥ kalāya-	vAstUka-mAriza--pawola--SiKAH kalAya-
   vallī-śikhāś caṇakāgra-śikhāḥ pradhāya	vallI--SiKAH caNaka-agra--SiKAH praDAya
   tumbī-śikhāś ca mṛdulāḥ saha-podikāgrāṇy	tumbI--SiKAH ca mRdulAH saha-podikA-agrANi-
   ālokya saikṣata sakhīḥ sarasāḥ samagrāḥ	Alokya sA-Ekzata saKIH sarasAH samagrAH
   (Kṛṣṇāhnika-kaumudī 2.86-87)	(KRzNA-Ahnika-kOmudI 2.86-87)
   Bhss_2.339:	BhsH-_2.339:
   yad yena yena vidhinā ruciratvam etya	yat yena yena viDinA rucira-tvam etya
   yad vyañjane yad upayujyata ity avetya	yat vyaQjane yat upayujyate iti avetya
   tābhir mahānasa-carībhir amūni tāni	tABiH mahAnasa-carIBiH amUni tAni
   tat-tat-prakāram atha kuṭṭita-karttitāni	tat-tat--prakAram aTa kuwwita-karttitAni
   (Kṛṣṇāhnika-kaumudī 2.88)	(KRzNA-Ahnika-kOmudI 2.88)
   Bhss_2.340:	BhsH-_2.340:
   elā-lavaṅga-maricārdraka-jāty-ajājī-	elA-a-lavaFga--marica-Ardraka-jAti--ajAjI-
   jātīphala-tvaca-sulāṅgali-sasya-rājīḥ	jAtIPala---tvaca--su-lAFgali--sasya-rAjIH
   siddhārtha-taṇḍula-niśā dalitāṃś ca māṣān	sidDArTa--taNxula-niSAH dalitAn ca mAzAn
   kecij janāḥ pipiṣur abja-dṛśām aśeṣān	kecid janAH pipizuH ap-ja--dRSAm aSezAn
   (Kṛṣṇāhnika-kaumudī 2.89)	(KRzNA-Ahnika-kOmudI 2.89)
   Bhss_2.341:	BhsH-_2.341:
   piṣṭvā suvarṇa-puṭikāsu śubha-prabhāvair	pizwvA suvarNa-puwikAsu SuBa--praBAvEH-
   ācchāditāsv anucarī-ghaṭayā śarāvaiḥ	AcCAditAsu anucarI--GawayA SarAvEH
   susthāpitāni vasanopari pāka-līlā-	su-sTApitAni vasana-upari pAka-lIlA-
   rambhe cakāra hṛdayaṃ niravadya-śīlā	ramBe cakAra hRdayam niravadya--SIlA
   (Kṛṣṇāhnika-kaumudī 2.90)	(KRzNA-Ahnika-kOmudI 2.90)
   Bhss_2.342:	BhsH-_2.342:
   āvaśyakābharaṇa-veśa-lasat-pratīkā	AvaSyaka-ABaraNa-veSa--lasat-pratIkA
   dhautāṅghri-pāṇi-kamalā saha-rohiṇīkā	DOta-aFGri-pANi-kamalA saha-rohiNIkA
   babhrāja sā vara-mahānasa-vedikāyāṃ	baBrAja sA vara-mahAnasa-vedikAyAm
   śraddhāya kautukavatī pacana-kriyāyām	SradDAya kOtukavatI pacana--kriyAyAm
   (Kṛṣṇāhnika-kaumudī 2.91)	(KRzNA-Ahnika-kOmudI 2.91)
   Bhss_2.343:	BhsH-_2.343:
   dīptāsu rāma-jananīṅgitato 'nalena	dIptAsu rAma-jananI-iFgitataH analena
   cullīṣu cārutara-dāru-samujjvalena	cullIzu cArutara-dAru--samujjvalena
   ārūruhann akhila-locana-citta-jaitrīs	ArUruhan aKila--locana--citta--jEtrI-s
   tās tāmra-rīti-rajatācita-pāka-pātrīḥ	tAH tAmra--rIti-rajata-Acita--pAka--pAtrIH
   (Kṛṣṇāhnika-kaumudī 2.92)	(KRzNA-Ahnika-kOmudI 2.92)
   Bhss_2.344:	BhsH-_2.344:
   jajjvāla sa svayam aphut-kṛti-vīta-dhūmam	jat-jvAla sa svayam aPut--kRti-vIta--DUmam
   agniḥ svayaṃ jalam abhūd anabhūma-bhūma	agniH svayam jalam aBUt anaBUma-BUma
   yad yatra yatra lavaṇaṃ ca tathā pramāṇaṃ	yat yatra yatra lavaNam ca taTA pramANam
   tat tatra tat kara-tale'kuruta pramāṇam	tat tatra tat kara-tale-akuruta pramANam
   (Kṛṣṇāhnika-kaumudī 2.93)	(KRzNA-Ahnika-kOmudI 2.93)
   Bhss_2.345:	BhsH-_2.345:
   aguru-sarala-devadāru-dāru-	aguru--sarala--devadAru-dAru-
   jvalana-pariśrita-cullikā-cayāgre	jvalana-pariSrita--cullikA-a-caya-agre
   nihita-vividha-pātra-rāji-rājad-	nihita--viviDa--pAtra-rAji--rAja-d-
   bahuvidha-temana-sādhu-sādhanārtham	bahuviDa-temana--sADu--sADana-arTam
   Bhss_2.Kṛṣṇa-bhāvanāmṛtam 5.63:	BhsH-_2.KRzNa--BAvanA-amRtam 5.63:
   Bhss_2.346-347:	BhsH-_2.346-347:
   jvalana-kalana-pātra-dhāraṇonna-	jvalana-kalana--pAtra--DAraNa-unna-
   ty-avanati-mūrchana-darvi-cālanādyaiḥ	ty-avanati--mUrCana--darvi-cAlana-AdyEH
   trivali-kuca-bhujāṃsa-kampa-celoc-	tri-vali--kuca--Buja-aMsa--kampa--celoc-
   calana-vaśād udapādi yas tadā'syāḥ	calana--vaSAt udapAdi yaH tadA-asyAH
   madhurima-bharam acyutaḥ svasaudha-	maDuri-ma-Baram acyutaH sva-sODa-
   sphurita-gavākṣa-dhṛtekṣaṇaḥ pibaṃs tam	sPurita--gavAkza--DRta-IkzaNaH piban tam
   madana-madam udañcitaṃ vivṛṇvan	madana-madam udaQcitam vivRNvan
   kim api jagāda paṭur baṭuṃ miṣeṇa	kim api jagAda pawuH bawum mizeNa
   (Kṛṣṇa-bhāvanāmṛtam 5.64-65)	(KRzNa--BAvanA-amRtam 5.64-65)
   Bhss_2.348:	BhsH-_2.348:
   prahitya taṃ sātha mahānasaṃ gatā	prahitya tam sA-aTa mahAnasam gatA
   kiṃ kiṃ tvayā sādhitam etayā saha	kim kim tvayA sADitam etayA saha
   sarvaṃ tad etan mama temanādikaṃ	sarvam tat etat mama temana-Adikam
   saṃdarśayety āha balasya mātaram	saMdarSaya-iti Aha balasya mAtaram
   (Govinda-līlāmṛtam 3.84)	(Govinda--lIlA-amRtam 3.84)
   Bhss_2.349:	BhsH-_2.349:
   tām āha sammārjita-vedikāntare	tAm Aha sammArjita-vedikA-antare
   navīna-mṛd-bhājana-paṅkti sambhṛtam	navIna--mRd-BAjana--paFkti samBRtam
   sā darśayantī kṛta-temanādikaṃ	sA darSayantI kRta-temana-Adikam
   rādhāṃ praśaṃsanty atha tāṃ ca rohiṇī	rADAm praSaMsanti aTa tAm ca rohiNI
   (Govinda-līlāmṛtam 3.85)	(Govinda--lIlA-amRtam 3.85)
   Bhss_2.350:	BhsH-_2.350:
   sumadhuraṃ śaśito 'pi susaṃskṛtaṃ	su-maDuram SaSitaH api susaMskRtam
   nipuṇayā pacane mṛdu rādhayā	nipuNayA pacane mRdu rADayA
   pravara-manthanikāsu susambhṛtaṃ	pravara--manTanikAsu su-samBRtam
   sumukhi! paśya puraḥ sakhi! pāyasam	sumuKi! paSya puras saKi! pAyasam
   (Govinda-līlāmṛtam 3.86)	(Govinda--lIlA-amRtam 3.86)
   Bhss_2.351:	BhsH-_2.351:
   bala-puṣṭi-karaṃ hṛdyaṃ	bala--puzwi-karam hRdyam
   madhuraṃ mṛdulaṃ sati!	maDuram mRdulam sati!
   manthanī-sambhṛtaṃ paśya	manTanI--samBRtam paSya
   saṃyāvam anayā kṛtam	saMyAvam anayA kRtam
   (Govinda-līlāmṛtam 3.87)	(Govinda--lIlA-amRtam 3.87)
   Bhss_2.352:	BhsH-_2.352:
   rambhā-sīrī-kṣīrasāraiḥ	ramBA--sIrI--kzIra-sArEH
   śaṣkulīr vividhāḥ sakhi!	SazkulIH viviDAH saKi!
   paśya piṣṭa-vikāraṃś ca	paSya pizwa--vikAran ca
   nānā-bhedān susaṃskṛtān	nAnA--BedAn su-saMskRtAn
   (Govinda-līlāmṛtam 3.88)	(Govinda--lIlA-amRtam 3.88)
   Bhss_2.353:	BhsH-_2.353:
   pīyūṣagranthi-karpūra-	pIyUza-granTi--karpUra-
   kelikāmṛtakelikāḥ	kelikA-amRta-kelikAH
   anayā saṃskṛtāḥ paśya	anayA saMskRtAH paSya
   yad vidhir me na gocaraḥ	yat viDiH me na gocaraH
   (Govinda-līlāmṛtam 3.89)	(Govinda--lIlA-amRtam 3.89)
   Bhss_2.354:	BhsH-_2.354:
   kevalo mathita-klinno	kevalaH maTita--klinnaH-
   maudgo 'yaṃ vaṭako dvidhā	mOdgaH ayam vawakaH dviDA
   sitā-lavaṇa-saṃyogān	sitA--lavaNa--saMyogAn
   māṣasyāpi catur-vidhaḥ	mAzasya-api catur-viDaH
   (Govinda-līlāmṛtam 3.90)	(Govinda--lIlA-amRtam 3.90)
   Bhss_2.355:	BhsH-_2.355:
   ciñcāmrātaka-cukrāmrais	ciQcA-AmrAtaka--cukra-AmrEH-
   tat tad dravyādi-yogataḥ	tat tat dravya-Adi--yogataH
   īṣan-madhura-gāḍhādi-	Izan--maDura--gAXa-Adi-
   bhedād amlo dviṣaḍ-vidhaḥ	BedAt amlaH dvi-zaz--viDaH
   (Govinda-līlāmṛtam 3.91)	(Govinda--lIlA-amRtam 3.91)
   Bhss_2.356-357:	BhsH-_2.356-357:
   baddha-rambhā-navya-garbha-	badDa-ramBA-navya-garBa-
   tan-navya-mukulāṃśayoḥ	tan-navya--mukula-aMSayoH
   māna-kandāmbu-kacvīnāṃ	mAna--kanda-ambu--kacvInAm
   mukhāṃśasyālukasya ca	muKa-aMSasya-Alukasya ca
   kuṣmāṇḍa-ḍiṇḍiśāṇāṃ ca	kuzmANxa--xiNxiSANAm ca
   cakrābha-khaṇḍa-jālakam	cakra-ABa-KaNxa--jAlakam
   caṇaka-kṣoda-paṅkāktaṃ	caNaka--kzoda--paFka-aktam
   ghṛta-bhṛṣṭaṃ pṛthak pṛthak	GRta-BRzwam pRTak pRTak-
   (Govinda-līlāmṛtam 3.92-93)	(Govinda--lIlA-amRtam 3.92-93)
   Bhss_2.358:	BhsH-_2.358:
   caṇaka-kṣoda-va akān-	caNaka--kzoda-va akAn-
   yājya-bhṛṣṭāni kevalam	yAjya--BRzwAni kevalam
   aparāny amla-sat-takra-	aparAni amla-sat-takra-
   kvātha-klinnāni lokaya	kvATa--klinnAni lokaya
   (Govinda-līlāmṛtam 3.94)	(Govinda--lIlA-amRtam 3.94)
   Bhss_2.359:	BhsH-_2.359:
   caṇaka-kṣoda-piṇḍānāṃ	caNaka--kzoda--piNxAnAm
   svinnānāṃ kvathitāmbhasi	svinnAnAm kvaTita-amBasi
   khaṇḍāni dravya-pākādi-	KaNxAni dravya-pAka-Adi-
   bhedān nānā-vidhāni ca	BedAt nAnA-viDAni ca
   (Govinda-līlāmṛtam 3.95)	(Govinda--lIlA-amRtam 3.95)
   Bhss_2.360:	BhsH-_2.360:
   vaṭikā phala-mūlānāṃ	vawikA Pala--mUlAnAm
   pṛthak saṃyoga-bhedataḥ	pRTak saMyoga-BedataH
   trijāta-maricādyais tu	trijAta--marica-AdyEH tu
   prakārān bahudhā-kṛtān	prakArAn bahu-DA-kRtAn
   (Govinda-līlāmṛtam 3.96)	(Govinda--lIlA-amRtam 3.96)
   Bhss_2.361:	BhsH-_2.361:
   karkāru-jyotsnikālābu-	karkAru-jyA-utsnikA-alAbu-
   phalāny āli pṛthak pṛthak	PalAni Ali pRTak pRTak-
   rājikā-dadhi-yogena	rAjikA-daDi--yogena
   saṃskṛtāny anayā śubhe	saMskRtAni anayA SuBe
   (Govinda-līlāmṛtam 3.97)	(Govinda--lIlA-amRtam 3.97)
   Bhss_2.362:	BhsH-_2.362:
   vatsepsita-prasūnāni	vatsa-Ipsita--prasUnAni
   ghṛta-bhṛṣṭāni kevalam	GRta-BRzwAni kevalam
   ghṛta-bhṛṣṭā dadhi-klinnāḥ	GRta-BRzwAH daDi-klinnAH
   kalikāḥ kovidārajāḥ	kalikAH kovidAra-jAH
   (Govinda-līlāmṛtam 3.98)	(Govinda--lIlA-amRtam 3.98)
   Bhss_2.363:	BhsH-_2.363:
   ghṛta-bhṛṣṭā dadhi-klinnāḥ	GRta-BRzwAH daDi-klinnAH
   prasūna-vaṭikā dvidhā	prasUna-vawikA dviDA
   paṭolasya phalāny ājya-	pawolasya PalAni Ajya-
   bhṛṣṭāni ruci-dāny alam	BRzwAni ruci-dAni alam
   (Govinda-līlāmṛtam 3.99)	(Govinda--lIlA-amRtam 3.99)
   Bhss_2.364:	BhsH-_2.364:
   vṛddha-kuṣmāṇḍa-vaṭikāḥ	vRdDa--kuzmANxa-vawikAH
   kacvī-mānālu-kandakaiḥ	kacvI-mAnAlu--kandakEH
   tikta-lālita-cūrṇāḍhyāś	tikta--lAlita--cUrNa-AXyAS
   cavikāḍhyāḥ parāḥ kṛtāḥ	cavikA-AXyAH parAH kRtAH
   (Govinda-līlāmṛtam 3.100)	(Govinda--lIlA-amRtam 3.100)
   Bhss_2.365:	BhsH-_2.365:
   sitailā-maricair yogād	sitElA--maricEH yogAt-
   dugdha-tumbī-kṛtānayā	dugDa-tumbI-kRta-anayA
   tad-yogād aparaṃ miṣṭaṃ	tad--yogAt aparam mizwam
   kṣīra-kuṣmāṇḍa-nāmakam	kzIra-kuzmANxa--nAmakam
   (Govinda-līlāmṛtam 3.101)	(Govinda--lIlA-amRtam 3.101)
   Bhss_2.366:	BhsH-_2.366:
   dadhi-śūraṇakaṃ miṣṭaṃ	daDi-SUraNakam mizwam
   dhātrī-śūraṇakaṃ param	DAtrI--SUraNakam param
   dadhnaikaṃ bharjitaṃ cānyaṃ	daDna-ekam Barjitam ca-anyam
   kāravilva-phalaṃ dvidhā	kAra-vilva--Palam dviDA
   (Govinda-līlāmṛtam 3.102)	(Govinda--lIlA-amRtam 3.102)
   Bhss_2.367:	BhsH-_2.367:
   mṛdu-rambhā-garbha-khaṇḍa-	mRdu-ramBA-garBa--KaNxa-
   vṛddha-kuṣmāṇḍa-khaṇḍayoḥ	vRdDa--kuzmANxa--KaNxayoH
   sitā-dadhi-yutaḥ pāko	sitA-daDi--yutaH pAko
   madhurāmlaḥ suśītalaḥ	maDura-amlaH su-SItalaH
   (Govinda-līlāmṛtam 3.103)	(Govinda--lIlA-amRtam 3.103)
   Bhss_2.368:	BhsH-_2.368:
   nālīta-methī-śatapuṣpikā-miśī-	nAlIta--meTI--SatapuzpikA-miSI-
   paṭola-vāstūka-vitunna-māriṣāḥ	pawola--vAstUka-vitunna-mArizAH
   prakāra-saṃyoga-vibhedato 'nayā	prakAra--saMyoga--viBedataH anayA
   śākāḥ sudhā-garva-hṛtaḥ susaṃskṛtāḥ	SAkAH suDA-garva--hRtaH su-saMskRtAH
   (Govinda-līlāmṛtam 3.104)	(Govinda--lIlA-amRtam 3.104)
   Bhss_2.369:	BhsH-_2.369:
   kalambī pakva-ciñcāyā	kalambI pakva-ciQcAyAH-
   rasa-pakvā ruci-pradā	rasa-pakvA ruci--pradA
   kṛṣṇa-nālīta-śāko 'yam	kRzNa-nAlI-ta-SAkaH ayam
   āmāmra-phala-yuk śubhaḥ	Ama-Amra--Pala---yuj SuBaH
   (Govinda-līlāmṛtam 3.105)	(Govinda--lIlA-amRtam 3.105)
   Bhss_2.370:	BhsH-_2.370:
   mayuṣṭhakasya mudgasya	mayuzWakasya mudgasya
   māṣasyāpy adhunā mayā	mAzasya-api aDunA mayA
   trividho 'yaṃ sudhākūpa-	triviDaH ayam suDA-kUpa-
   nibhaḥ sūpo vipācyate	niBaH sUpaH vipAcyate
   (Govinda-līlāmṛtam 3.106)	(Govinda--lIlA-amRtam 3.106)
   Bhss_2.371:	BhsH-_2.371:
   paṅkaiḥ sumana-cūrṇānāṃ	paFkEH sumana--cUrNAnAm
   dāsībhir bhṛśa-marditaiḥ	dAsIBiH BRSa--marditEH
   pūrṇendu-maṇḍalākārāḥ	pUrNa-indu--maNxala-AkArAH
   kriyante ro ikā mayā	kriyante raH ikA mayA
   (Govinda-līlāmṛtam 3.107)	(Govinda--lIlA-amRtam 3.107)
   Bhss_2.372:	BhsH-_2.372:
   kṛtāni kriyamāṇāni	kRtAni kriyamANAni
   kartavyāni tu kānicit	kartavyAni tu kAnicid-
   ity anna-vyañjanāni tvaṃ	iti anna--vyaQjanAni tvam
   saṃsiddhāni pratīhi nau	saMsidDAni pratIhi nO
   (Govinda-līlāmṛtam 3.109)	(Govinda--lIlA-amRtam 3.109)
   Bhss_2.373-374:	BhsH-_2.373-374:
   saurabhya-sadvarṇa-manoharaṃ tat	sOraBya--sat-varNa--manoharam tat-
   sā vīkṣya sarvaṃ muditā babhūva	sA vIkzya sarvam muditAH baBUva
   jijñāsamānām atha tad-vidhānaṃ	jijQAsamAnAm aTa tat--viDAnam
   tāṃ rohiṇī vismaya-pūrvam āha	tAm rohiNI vismaya--pUrvam Aha
   sāmagrī saiva sāmānyā	sAmagrI sA-eva sAmAnyA
   pākasya prakriyāpy asau	pAkasya prakriyA-api asO
   kintv apūrva-guṇe hetur	kintu apUrva--guNe hetuH-
   gāndharvā-hasta-sauṣṭhavam	gAnDarvA--hasta--sOzWavam
   (Govinda-līlāmṛtam 3.110-111)	(Govinda--lIlA-amRtam 3.110-111)
   Bhss_2.375:	BhsH-_2.375:
   sā tāṃ rādhām anna-saṃskāra-saktāṃ	sA tAm rADAm anna--saMskAra--saktAm
   prasvidyantīṃ lajjayā namra-vaktrām	prasvidyantIm lajjayA namra--vaktrAm
   dṛṣṭvā rājñī sneha-viklinna-cittā	dRzwvA rAjQI sneha--viklinna--cittA
   dāsīm asyā vījanāyādideśa	dAsIm asyAH vIjanAya-AdideSa
   (Govinda-līlāmṛtam 3.112)	(Govinda--lIlA-amRtam 3.112)
   Bhss_2.376-377:	BhsH-_2.376-377:
   atha tasyāḥ pariveśana-kauśalam āha-	aTa tasyAH pariveSana--kOSalam Aha-
   vyāptāyāṃ vasanena bhojana-bhuvi śrī-ratna-pīṭhāgratas	vyAptAyAm vasanena Bojana--Buvi SrI--ratna--pIWa-agratas
   tat-tad-vyañjana-ratna-ratna-puṭikā-paṅktiḥ krameṇābhitaḥ	tat--tad--vyaQjana--ratna--ratna--puwikA--paFktiH krameNa-aBitas-
   miṣṭābhīṣṭa-supiṣṭakaugha-puṭikā-paṅktis tu tāsāṃ bahiḥ	mizwa-aBIzwa-su-pizwaka-oGa--puwikA--paFktiH tu tAsAm bahis-
   samyag bhavya-sugavya-hema-puṭikā-paṅktiś ca tāsāṃ bahiḥ	samyak Bavya--sugavya--hema--puwikA--paFktiH ca tAsAm bahis-
   ity evaṃ kramato 'rdha-maṇḍalatayā paṅkti-krameṇādbhute	iti evam kramatas arDa--maNxala-tayA paFkti-krameNa-adBute
   svālībhiḥ puru-cāru-citra-racanād vaividhya āpādite	svAlIBiH puru-cAru--citra--racanAt vEviDyaH ApAdite
