   Tarkabhāṣā	Tarka BAzA
   nyāyaparameśvaraḥ   'śabdenāvyāpṛtākṣasya buddhāvapratibhāsanāt /	nyAya parameSvaraH  aSabdena avyApRta akzasya budDO= apratiBAsanAt /
   arthasya dṛṣṭāviva' iti //	arTasya dRzwO= iva a iti //
   kiñca svalakṣaṇātmani vastuni vācye sarvātmanā pratipatteḥ	kiQca sva lakzaNa Atmani vastuni vAcye sarva AtmanA pratipatteH
   vidhiniṣedhayorayogaḥ / tasya hi sadbhāve astīti vyartham,	viDi nizeDayoH ayogaH / tasya hi sadBAve asti iti vyarTam,
   nāstītyasamartham / asadbhāve tu nāstīti vyartham,astitya samartham / asti	na asti iti asamarTam / asadBAve tu na asti iti vyarTam ,astitya samarTam / asti
   cāstyādipadaprayogaḥ / tasmāt paramārthato na svalakṣaṇaṃ	ca asti Adi pada prayogaH / tasmAt paramArTataH na sva lakzaNam
   śabdairabhidhīyata iti sthitam //	SabdEH aBiDIyate iti sTitam //
   nanu yathā pratyakṣeṇa ghaṭasvarūpe gṛhīte 'paścāttatraiva	nanu yaTA pratyakzeNa Gawa svarUpe gRhIte apaScAt tatra eva
   kṣaṇikatvādiniścayārtha pramāṇāntaraṃ pravartate, tathā vṛkṣaśabdena	kzaNika tva Adi niScaya arTa pramANa antaram pravartate, taTA vRkza Sabdena
   vṛkṣatvāṃśe pratipādite satvāṃśaniścayārthameva sadādipadaprayogo	vRkza tva aMSe pratipAdite satva aMSa niScaya arTam eva sat Adi pada prayogaH 
   bhaviṣyatīti cet, na / pratyakṣasyāniśyātmakatvādanabhyastasvarūpaviṣaye	Bavizyati iti cet, na / pratyakzasya aniSya Atmaka tvAt anaByasta svarUpa vizaye
   pramāṇāntaraṃ vartata iti yuktam / vikalpasya tu svayaṃ niśyātmakatvāt,	pramANa antaram vartate iti yuktam / vikalpasya tu svayam niSi Atmaka tvAt,
   gṛhīte svarūpe kiṃ pramāṇāntareṇa paraṃ grahītavyamiti //	gRhIte svarUpe kim pramANa antareNa param grahItavyam iti //
   paraparikalpitasāmānyanirasanam	para parikalpita sAmAnya nirasanam
   yādṛśaṃ sāmānyaṃ paraiḥ parikalpyate, anekavyaktisamavetaṃ dṛśyamekaṃ	yAdRSam sAmAnyam parEH parikalpyate, aneka vyakti samavetam dRSyam ekam
   nityaṃ tādṛśasya sattāsādhakaṃ na kiñcitpramāṇāmupalabhāmahe / tataḥ	nityam tAdRSasya sattA sADakam na kiQcid pramANAm upalaBAmahe / tatas 
   saditi vyavasthāpayituṃ tanna yuktam / tathā hi   gavādivyaktyanubhavakāle	sat iti vyavasTApayitum tat na yuktam / taTA hi  gavA Adi vyakti anuBava kAle
   varṇāsaṃsthānādyātmakaṃ vyaktisvarūpamapahāya nānyat kiñcidekamanuyāyi	varNa asaMsTAna Adi Atmakam vyakti svarUpam apahAya na anyat kiQcid ekam anuyAyi
   pratyakṣe bhāsate / tādṛśasyānubhavābhāvāt / nāpi	pratyakze BAsate / tAdRSasya anuBava aBAvAt / na api
   svalakṣaṇānubhānantaramekākāraparāmarśapratyayāt anyathānupapattyā	sva lakzaNa anuBA anantaram eka AkAra parAmarSa pratyayAt anyaTA anupapattyA
   sāmānyaparikalpanaṃ yuktisaṅgatam / vyaktibhya eva svahetudattaśaktibhyo	sAmAnya parikalpanam yukti saFgatam / vyaktiByaH eva sva hetu datta SaktiByaH 
   'sya pratyayasya paramparayotpatteḥ / bhede 'pi kāścideva vyaktayo 'sya	asya pratyayasya paramparayA utpatteH / Bede api kAScid eva vyaktayaH asya
   jananāya samarthāḥ, na sarvāḥ, ityatra kāryakāraṇabhāvasya	jananAya samarTAH, na sarvAH, iti atra kArya kAraNa BAvasya
   pratyakṣānupalambhābhyāṃ dṛṣṭasyātivartayitumaśakyatvāt / dṛṣṭaṃ cedaṃ	pratyakza anupalamBAByAm dRzwasya ativartayitum aSakya tvAt / dRzwam ca idam
   sāmarthyaṃ bhedāviśeṣe 'pi kāsāñcideva vyaktīnām / yathā jvarādipraśamane	sAmarTyam Beda aviSeze api kA sAQcid eva vyaktInAm / yaTA jvara Adi praSamane
   guḍūcīnimbādīnām / yathoktam   'ekapratyavamarśārthajñānādyekārthasādhane	guxUcI nimba AdInAm / yaToktam  aeka pratyavamarSa arTa jQAna Adi eka arTa sADane
   bhede 'pi niyatāḥ kecitsvabhāvenendriyādivat' // iti //	Bede api niyatAH kecid svaBAvena indriya Adi vat a // iti //
   kiñca sarvagate vijātīyād vyāvṛtte satyapi sāmānye kiṃ bhedāviśeṣe 'pi	kiQca sarva gate vijAtIyAt vyAvRtte sati api sAmAnye kim Beda aviSeze api
   govyaktiṣveva samavetaṃ tat sāmānyaṃ tatraiva caikākārāṃ buddhiṃ	go vyaktizu eva samavetam tat sAmAnyam tatra eva ca eka AkArAm budDim
   janayatīti praśne svabhāvenaivetyuttaraṃ parasya / tacca pramāṇāsaṅgatam /	janayati iti praSne svaBAvena eva iti uttaram parasya / tat ca pramANa asaFgatam /
   asmākaṃ tu svabhāvenottaraṃ pramāṇāsiddhatvāt yuktisaṅgatameva //	asmAkam tu svaBAvena uttaram pramANa asidDa tvAt yukti saFgatam eva //
   tathedamaparaṃ jātisādhanāya sādhanaṃ parasya / yad viśiṣṭaṃ jñānaṃ tad	taTA idam aparam jAti sADanAya sADanam parasya / yat viSizwam jQAnam tat 
   viśeṣaṇagrahaṇanāntarīyakam, yathā daṇḍijñānam / viśiṣṭajñānaṃ cedaṃ	viSezaNa grahaNana AntarIyakam, yaTA daNxi jQAnam / viSizwa jQAnam ca idam
   gaurayamityarthataḥ kāryahetuḥ / atrocyate  	gOH ayam iti arTataH kArya hetuH / atra ucyate  
   viśiṣṭabuddherbhinnaviśeṣaṇagrahaṇanāntarīyakatvaṃ sādhyaṃ,	viSizwa budDeH Binna viSezaNa grahaNana antarIyaka tvam sADyaM,
   viśeṣaṇamātrānubhavanāntarīyakatvaṃ vā / prathamapakṣe pratyakṣabādhā /	viSezaNa mAtra anuBavana antarIyaka tvam vA / praTama pakze pratyakza bADAH /
   vastugrāhiṇi pratyakṣe ubhayapratibhāsābhāvāt / viśiṣṭabuddhitvaṃ ca	vastu grAhiNi pratyakze uBaya pratiBAsA BAvAt / viSizwa budDi tvam ca
   sāmānyamityanaikāntiko hetuḥ syāt,bhinnaviśeṣaṇagrahaṇamantareṇāpi tasya	sAmAnyam iti anEkAntikaH hetuH syAt, Binna viSezaNa grahaNam antareNa api tasya
   darśanāt / yathā svarūpavānayaṃ ghaṭaḥ, gotvasāmānyamiti vā / dvitīyapakṣe	darSanAt / yaTA svarUpavAn ayam GawaH, go tva sAmAnyam iti vA / dvitIya pakze
   tu siddhasādhanam, svarūpavān ghaṭa ityādivat gotvādijātimān piṇḍa iti	tu sidDa sADanam, sva rUpavAn GawaH ityAdi vat go tva Adi jAtimAn piNxe iti
   parikalpitabhedamupādāya viśeṣaṇaviśeṣya bhāvasyeṣṭatvāt /	parikalpita Bedam upAdAya viSezaNa viSezya BAvasya izwa tvAt /
   agovyāvṛttyanubhavabhāvitvāt gaurayamiti vyavahārasya / tadevaṃ ato 'pi	ago vyAvRtti anuBava BAvi tvAt gOrayam iti vyavahArasya / tat evam atas api
   sādhanānna sāmānyasiddhiriti / tadevaṃ paraparikalpitasāmānyasya	sADanAt na sAmAnya sidDiH iti / tat evam para parikalpita sAmAnyasya
   vicārāsahatvāt, atadrūpaparāvṛttavastumātrameva sāmānyamapohaśabdavācyaṃ	vicAra asaha tvAt, atad rUpa parAvRtta vastu mAtram eva sAmAnyam apoha Sabda vAcyam
   vyavahārāṅgaṃ yathādhyavasāyamanavadyamiti sthitam /	vyavahAra aFgam yaTA aDyavasAyam anavadyam iti sTitam /
   sāmānyasya niṣedhāya prayogaḥ punarevaṃ kartavyaḥ  	sAmAnyasya nizeDAya prayogaH punar evam kartavyaH  
   yadyatropalabdhilakṣaṇaprāptaṃ sannopalabhyate tattatra	yadyatra upalabDi lakzaNa prAptam sanna upalaByate tat tatra
   asadvyavahāraviṣayaḥ,yathā turaṅgamottamāṃge śṛṅgaṃ, nopalabhyate	asat vyavahAra vizayaH,yaTA turaFgama uttama aMge SRFgaM, na upalaByate
   copalabdhilakṣaṇaprāptaṃ sāmānyaṃ paridṛśyamānāsu vyaktiṣviti	ca upalabDi lakzaNa prAptam sAmAnyam paridRSyamAnAsu vyaktizu iti
   svabhāvānupalabdhiḥ / na cāsiddhasambhāvanā / varṇasaṃsthānalakṣaṇaṃ	svaBAva anupalabDiH / na ca asidDa samBA vanA / varNa saMsTAna lakzaNam
   vyaktisvarūpamapahāya dvitīyasyānuyāyino rūpasya nipuṇamapi nirūpyamāṇasya	vyakti svarUpam apahAya dvitIyasya anuyAyinaH rUpasya nipuNam api nirUpyamANasya
   sarvathā darśanābhāvāt, nāpi jñānavaddarśanābhāve 'pi	sarvaTA darSana aBAvAt, na api jQAna vat darSana aBAve api
   pratyakṣasiddhatvamasyābhidhātumucitam / jñānaṃ hi	pratyakza sidDa tvam asya aBiDAtum ucitam / jQAnam hi
   svasaṃvedanapramāṇasiddham, na tu cakṣurvijñānagrāhyam / idaṃ [tu	sva saMvedana pramANa sidDam, na tu cakzuH vijQAna grAhyam / idam [tu
   sāmānyaṃ] cakṣurvijñānagrāhyamarthadharmatvāt / pratyakṣaṃ ca	sAmAnyaM] cakzuH vijQAna grAhyam arTa Darma tvAt / pratyakzam ca
   parairiṣṭamiti / tadevaṃ paraparikalpitasāmānyasya vicārāsahatvāt,	parEH izwam iti / tat evam para parikalpita sAmAnyasya vicAra asaha tvAt,
   atadrūpaparāvṛttavastumātrameva sāmānyamuktam / tasmāt sarvaṃ saṃskṛtaṃ	atad rUpa parAvRtta vastu mAtram eva sAmAnyam uktam / tasmAt sarvam saMskRtam
   vastu paraparikalpitasāmānyena śūnyamiti sthitam //	vastu para parikalpita sAmAnyena SUnyam iti sTitam //
   īśvarasādhananirasanam	ISvara sADana nirasanam
   nāpi kenacidbuddhimatoparacittamityapi vijñeyam /	na api kenacid budDimatA upara cittam iti api vijQeyam /
   tathā hi   asya jagataḥ karttā bhavan nityo vā bhavedanityo vā / tatra na	taTA hi  asya jagataH karttA Bavat nityaH vA Bavet anityaH vA / tatra na
   tāvannityo yuktaḥ, nitye karttari samarthe sati sargasthitipralayānāṃ	tAvat nityaH yuktaH, nitye karttari samarTe sati sarga sTiti pralayAnAm
   niyamena yaugapadyaprasaṅgāt / yena hi svarūpeṇa sthitipralayayoḥ sa	niyamena yOgapadya prasaFgAt / yena hi svarUpeNa sTiti pralayayoH sa
   karttā tadasya svarūpaṃ sargakāle 'pi sannihitamiti tadaiva sthitipralayau	karttA tat asya svarUpam sarga kAle api sannihitam iti tadA eva sTiti pralayO
   kuryāt / sahakārivirahānna karotīti cet, tadasat / na hi nityena	kuryAt / sahakAri virahAt na karoti iti cet, tat asat / na hi nityena
   sahakāriṇā kadācidapyayaṃ virahitaḥ sadā sannihitatvāt / nāpyanityena	sahakAriNA kadAcid api ayam virahitaH sadA sannihita tvAt / na api anityena
   sahakāriṇā virahitaḥ, anityasahakāriṇo 'pi tadāyattajanmatvāt / tata ekadā	sahakAriNA virahitaH, anitya sahakAriNaH api tad Ayatta janma tvAt / tatas ekadA
   sarvakaraṇādiprasaṅgaḥ //	sarva karaNa Adi prasaFgaH //
   nanu buddhimattvādīśvarasya naiṣa doṣaḥ / buddhiśūnyo hi	nanu budDimat tvAt ISvarasya na eza dozaH / budDi SUnyaH hi
   svasattāmātrajanyaṃ kāryamakrameṇaiva kuryāt / buddhimāṃstu karttumīśāno	sva sattA mAtra janyam kAryam akrameNa eva kuryAt / budDimAn= tu karttum ISAnaH 
   'pi anicchanna karotīti kastasyopālambhaḥ? ucyate   tā apīcchāḥ	api anicCat na karoti iti kaH tasya upAlamBaH? ucyate  tAH api icCAH
   svasattāmātranibandhanāḥ kiṃ na karotīti sa evāsyopālambhaḥ / atha	sva sattA mAtra nibanDanAH kim na karoti iti saH eva asya upAlamBaH / aTa
   svarūpeṇa sāmarthye satyapi eṣa eva tasya svabhāvaḥ,	svarUpeNa sAmarTye sati api ezaH eva tasya svaBAvaH,
   yatsahakārilakṣaṇayāgantukaśaktyā vinā na karotīti cet, tarhi mātāpi sati	yad sahakAri lakzaNayA Agantuka SaktyA vinA na karoti iti cet, tarhi mAtA api sati
   vandhyā sā prakṛtyaivaitadapi vaktavyaṃ bhavedbhavatāmiti yatkiñcidetat //	vanDyA sA prakRtyA eva etat api vaktavyam Bavet BavatAm iti yat kiQcid etat //
   nanveṣa eva kāryasvabhāvaḥ, kevalāt samarthādapi nodeti,	nanu ezaH eva kArya svaBAvaH, kevalAt samarTAt api na udeti,
   sahakāriṇamapekṣyaiva paścādbhavati [nāsyopālambha iti] tanna yuktam /	sahakAriNam apekzya eva paScAt Bavati [nAsya upAlamBaH iti] tat na yuktam /
   samartho hi sahakāryapekṣāmanādṛtya balādeva kāryaṃ kuryāt / anyathā	samarTaH hi sahakAri apekzAm anAdRtya balAt eva kAryam kuryAt / anyaTA
   [hyasya] asamarthatvaprasaṅgāt / nityasya kramakāritvaniṣedhanam nāpi	[hi asya] asamarTa tva prasaFgAt / nityasya krama kAri tva nizeDanam na api
   nityaḥ krameṇa kāryakārīti yuktam, nirapekṣatvāt / yadāha	nityaH krameNa kArya kArI iti yuktam, nirapekza tvAt / yat Aha
   diṅmaṇḍalavikhyātakīrtirdharmakīrtiḥ  	diS maNxala viKyAta kIrtiH Darma kIrtiH  
   nityasya nirapekṣatvāt kramotpattirna yujyate /	nityasya nirapekza tvAt krama utpattiH na yujyate /
   kriyāyāmakriyāyāṃ ca kālayoḥ sadṛśātmanaḥ // iti //	kriyA AyAm akriyAyAm ca kAlayoH sadRSa AtmanaH // iti //
   etena ātmādīnāmakṣaṇikānāṃ ghaṭādīnāṃ kṣaṇikānāṃ ca krameṇa kāryakaraṇaṃ	etena Atma AdInAm akzaNikAnAm Gawa AdInAm kzaNikAnAm ca krameNa kArya karaNam
   pratyuktam / na cātra pratyakṣavirodhaḥ, pratyakṣeṇākṣaṇikasya	pratyuktam / na ca atra pratyakza viroDaH, pratyakzeNa akzaNikasya
   grahaṇāyogāt / na hi kṣaṇikaṃ pratyakṣamakṣaṇikamīkṣituṃ kṣamate /	grahaNa ayogAt / na hi kzaNikam pratyakza m akzaNikam Ikzitum kzamate /
   anikakṣaṇavyāpāro hyakṣaṇikaḥ / sa kathamekakṣaṇabhāvinādhyakṣeṇa grahītuṃ	anikakzaNa vyApAraH hi akzaNikaH / sa kaTam eka kzaNa BAvinA aDyakzeNa grahItum
   śakyaḥ / na hi prāgūrdhvaṃ cāvasthānamadhunā prakāśate /	SakyaH / na hi prAk UrDvam ca avasTAnam aDunA prakASate /
   tasyāpyadhunātanatāprasaṅgāt / janmavināśāvadhipratibhāsaprasaṅgāditi	tasya api aDunAtanatA prasaFgAt / janma vinASa avaDi pratiBAsa prasaFgAt iti
   nedaṃ pratyakṣaṃ pūrvāparakālavyāptamarthaṃ kañcidapi grahītumalam /	na idam pratyakzam pUrva apara kAla vyAptam arTam kaQcid api grahI tum alam /
   pratyabhijñānasya pratyakṣatvaṃ nirasanam	pratyaBijQAnasya pratyakza tvam nirasanam
   etena pratyabhijñānasyāpratyakṣatvamākhyātam / sākṣātkāri hi jñānaṃ	etena pratyaBijQAnasya apratyakza tvam AKyAtam / sAkzAtkAri hi jQAnam
   pratyakṣam / na ca prāgavasthamadhunā sākṣātkartavyam, api tu smartavyam /	pratyakzam / na ca prAc avasTam aDunA sAkzAt kartavyam, api tu smartavyam /
   na ca smaraṇasvarūpam pratyakṣam / atha mataṃ bhavedidaṃ smaraṇaṃ	na ca smaraNa svarUpam pratyakzam / aTa matam Bavet idam smaraNam
   yadidānīntanamavasthānaṃ na sākṣātkuryāt, tatsākṣātkaraṇapravaṇaṃ	yadi dAni intanam avasTAnam na sAkzAt kuryAt, tad sAkzAt karaNa pravaNam
   kathamidaṃ smaraṇaṃ nāma? yadāha bhaṭṭaḥ  	kaTam idam smaraNam nAma? yat Aha BawwaH  
   `pūrvapramitamātre hi jāyate sa iti smṛtiḥ /	`pUrva pramita mAtre hi jAyate saH iti smRtiH /
   sa evāyamitīyaṃ tu pratyabhijñātirekiṇi' // iti //	saH eva ayam iti iyam tu pratyaBijQAti rekiNi a // iti //
   smaraṇagrahaṇasvarūpaṃ tarhi pratyabhijñānaṃ syāt, na tu	smaraNa grahaNa svarUpam tarhi pratyaBijQAnam syAt, na tu
   grahaṇasvarūpameva / smaryamāṇe grahaṇāyogāt, gṛhyamāṇe ca smaraṇāyogāt /	grahaNa svarUpam eva / smaryamANe grahaNa ayogAt, gRhyamANe ca smaraNa ayogAt /
   na caikasya smaraṇagrahaṇe sambhavataḥ, parasparavirodhāt / yena hi	na ca ekasya smaraNa grahaNe samBavataH, paraspara viroDAt / yena hi
   svarūpeṇa smaraṇaṃ na tena svarūpeṇa grahaṇamityanunmattena śakyate vaktum	sva rUpeNa smaraNam na tena svarUpeNa grahaNam iti anunmattena Sakyate vaktum
   / rūpāntareṇa caikasya smaraṇagrahaṇe na syātām / bhāve 'pi	/ rUpa antareNa ca ekasya smaraNa grahaNe na syAtAm / BAve api
   pratyakṣāpratyakṣe syātām / na tu smaryamāṇe pratyakṣameva, pratyakṣāyogāt	pratyakza apratyakze syAtAm / na tu smaryamANe pratyakzam eva, pratyakza ayogAt
   / tasmāt pratyabhijñāpratyayo bhrānta eva, nirviṣayatvāt /	/ tasmAt pratyaBijQA pratyayaH BrAntaH eva, nirvizaya tvAt /
   prayogaścaivam   yaḥ pratyabhijñāpratyayaḥ sa tattvato naikālambanaḥ,	prayogaH ca evam  yaH pratyaBijQA pratyayaH sa tattvataH na eka AlambanaH,
   yathā lūnapunarjātatṛṇādiṣu / pratyabhijñā pratyayaścāyaṃ tadevedaṃ	yaTA lUna punar jAta tRNa Adizu / pratyaBijQA pratyayaH ca ayam tat eva idam
   nīlādīti pratyaya iti viruddhavyāptopalabdhiḥ / ekatvānekatvayoḥ	nIla Adi iti pratyayaH iti virudDa vyApta upalabDiH / ekatva aneka tvayoH
   parasparavirodhāt tadviṣayakasaṃvedanayorapi virodhaḥ tenaikālambanatvena	paraspara viroDAt tad vizayaka saMvedanayoH api viroDaH tena eka Alambana tvena
   anekālambanatvaviruddhena anekālambanatvena pūrvoktyā nītyā	aneka Alambana tva virudDena aneka Alambana tvena pUrvoktyA nItyA
   pratyabhijñāpratyayo vyāpta iti na pratyabhijñānaṃ kṣaṇikānumānabādhakam /	pratyaBijQA pratyayaH vyAptaH iti na pratyaBijQAnam kzaNika anumAna bADakam /
   na ca keśādiṣvapi sāmānyālambanatayā ekālambanatvam keśādivyaktereva	na ca keSa Adizu api sAmAnya Alambana tayA eka Alambana tvam keSa Adi vyakteH eva
   pratyabhijñāyamānatvāt / sāmānye pratyabhijñāyamāne tadevedaṃ keśādīti	pratyaBijQAyamAna tvAt / sAmAnye pratyaBijQAyamAne tat eva idam keSa Adi iti
   syāt, na tadevedaṃ keśādīti / ata evaikālambanatve pratyabhijñāpratyayasya	syAt, na tat eva idam keSa Adi iti / atas eva eka Alambana tve pratyaBijQA pratyayasya
   krametarābhyāmutpattivirodhāt, viruddhānaikāntikatve nāśaṅkanīye / na ca	krama itarAByAm utpatti viroDAt, virudDa anEkAntika tve na aSaFkanIye / na ca
   pratyabhijñānameva tadavasthāpakam, yasyaiva vicāryamāṇatvāt / tasmāt	pratyaBijQAnam eva tad avasTApakam, yasya eva vicAryamANa tvAt / tasmAt 
   sthitametat nityaḥ kartā nāstīti / yadi nityaḥ kartā jagato na kāraṇaṃ,	sTitam etat nityaH kartA na asti iti / yadi nityaH kartA jagataH na kAraNaM,
   kimasya tarhi kāraṇam?	kim asya tarhi kAraNam?
   sattvānāṃ śubhakarmaṇaḥ jagataḥ kāraṇatvasamarthanam	sattvAnAm SuBa karmaNaH jagataH kAraNa tva samarTanam
   sattvānāṃ śubhāśubhākhyaṃ karma / yathoktam  	sattvAnAm SuBa aSuBa AKyam karma / yaToktam  
   sattvalokamatha bhājanalokaṃ cittameva racayatyaticitram /	sattva lokam aTa BAjana lokam cittam eva racayati ati citram /
   karmajaṃ hi jagaduktamaśeṣaṃ karma cittamavadhūya na cāsti // iti //	karma jam hi jagat uktam aSezam karma cittam avaDUya na ca asti // iti //
   vaibhāṣikamāśritya punarbhagavatā sarvajñena coktam  	vEBAzikam ASritya punar BagavatA sarvajQena ca uktam  
   `ākāśaṃ dvau nirodhau ca nityaṃ trayamasaṃskṛtam /	`a AkASam dvO niroDO ca nityam trayam asaMskRtam /
   saṃskṛtaṃ kṣaṇikaṃ sarvamātmaśūnyamakartṛkam' // iti //	saMskRtam kzaNikam sarvam Atma SUnyam akartRkam a // iti //
   sarvajñasamarthanam bhavaparamparāsamarthanaṃ ca	sarvajQa samarTanam Bava paramparA samarTanam ca
   nanu sarvajñasiddhau hi tadvacanaṃ nidarśanīkartumucitam /	nanu sarvajQa sidDO hi tat vacanam nidarSanIkartum ucitam /
   sarvajñasiddhaye kiṃ pramāṇamiti cet? ucyate / yo yaḥ	sarvajQa sidDaye kim pramANam iti cet? ucyate / yaH yaH
   sādaranirantaradīrghakālābhyāsakalitacetoguṇaḥ sa sarvaḥ	sa Adara nirantara dIrGa kAla aByAsa kalita cetaH guNaH sa sarvaH
   sphuṭībhāvayogyaḥ, yathā yuvatyākāraḥ kāminaḥ puruṣasya /	sPuwIBAva yogyaH, yaTA yuvati AkAraH kAminaH puruzasya /
   yathoktābhyāsakalitacetoguṇāścāmī caturāryasatyaviṣayākārā iti	yaTA ukta aByAsa kalita cetaH guNAH ca amI catur Arya satya vizaya AkArAH iti
   svabhāvahetuḥ /	svaBAva hetuH /
   na tāvadāśrayadvāreṇa hetudvāreṇa vāsiddhasambhāvanā / saṅkalparuḍhānāṃ	na tAvat ASraya dvAreNa hetu dvAreNa vA asidDa samBA vanA / saFkalpa ruXAnAm
   caturāryasatyaviṣayākārāṇāṃ dharmiṇāṃ cetoguṇamātrasya ca hetoḥ	catur Arya satya vizaya AkArANAm DarmiNAm cetaH guNa mAtrasya ca hetoH
   pratyātmavedyatvāt / na caiṣa viruddhaḥ, sapakṣe kāminyākāre sambhavāt /	pratyAtma vedya tvAt / na ca eza virudDaH, sa pakze kAminI AkAre samBavAt /
   na cānaikāntikaḥ, abhyāsena sahitacetoguṇasphuṭapratibhāsayoḥ	na ca anEkAntikaH, aByAsena sahita cetaH guNa sPuwa pratiBAsayoH
   kāraṇakāryayoḥ kumbhakāraghaṭayoriva sarvopasaṃhāreṇa	kAraNa kAryayoH kumBakAra GawayoH iva sarva upasaMhAreNa
   pratyakṣānupalambhataḥ kāryakāraṇabhāvasiddhau abhyāsasahitacetoguṇatvasya	pratyakza anupalamBataH kArya kAraNa BAva sidDO aByAsa sahita cetaH guNa tvasya
   sādhanasya sphuṭapratibhāsakāraṇayogyatayā vyāptisiddheḥ / tathā hi  	sADanasya sPuwa pratiBAsa kAraNa yogya tayA vyApti sidDeH / taTA hi  
   vyāptyadhikaraṇe kāmāturavartini yuvatyākāre	vyApti aDikaraNe kAma Atura vartini yuvati AkAre
   sādaranirantaradīrghakālābhyāsasahitacetoguṇāt pūrvamanupalabdhiḥ	sa Adara nirantara dIrGa kAla aByAsa sahita cetaH guNAt pUrvam anupalabDiH
   sphuṭābhatvasya paścādabhyāsasaṃvedanaṃ,sphuṭābhasaṃvedanamiti	sPuwa ABa tvasya paScAt aByAsa saMvedanaM, sPuwa ABa saMvedanam iti
   trividhapratyakṣānupalambhasādhyaḥ kāryakāraṇabhāvaḥ	triviDa pratyakza anupalamBa sADyaH kArya kAraNa BAvaH
   sphuṭapratibhāsābhyāsa sahitacittākārayorityupapannā sarvopasaṃhāravatī	sPuwa pratiBAsA aByAsa sahita citta AkArayoH iti upapannA sarva upasaMhAravatI
   vyāptiḥ / ato 'naikāntikatvābhāvāt anavadyo hetuḥ //	vyAptiH / atas anEkAntika tva aBAvAt anavadyaH hetuH //
   nanvanena sādhanena caturāryasatyākārāṇāṃ sākṣātkaraṇāt	nanu anena sADanena catur Arya satya AkArANAm sAkzAtkaraNAt 
   caturāryasatyākārasākṣatkārī vivakṣitassarvajñaḥ sidhyati, na tvaviśeṣeṇa	catur Arya satya AkAra sAkzatkArI vivakzitassarvajQaH siDyati, na tu aviSezeNa
   sarvadharmasākṣatkārī, tatastatsiddhaye sādhanāntaramabhidheyam /	sarva Darma sAkzatkArI, tatas tad sidDaye sADana antaram aBiDeyam /
   ucyate   yatpramāṇasaṃvādi niścitārthaṃ vacanaṃ, tat sākṣāt pāramparyeṇa	ucyate  yad pramANa saMvAdi niScita arTam vacanan, tat sAkzAt pAramparyeNa
   vā tadarthasākṣatkārijñānapūrvakaṃ, yathā dahano dāhaka iti vacanam,	vA tad arTa sAkzat kAri jQAna pUrva kaM, yaTA dahanaH dAhakaH iti vacanam,
   pramāṇasaṃvādi niścitārtha cedaṃ vacanaṃ, kṣaṇikāḥ sarvasaṃskārā iti	pramANa saMvAdi niScita arTa ca idam vacanaM, kzaNikAH sarva saMskArAH iti
   arthataḥ kāryahetuḥ / nāsyāsiddhiḥ, sarvadharmakṣaṇabhaṅgaprasādhanādasya	arTataH kArya hetuH / na asya asidDiH, sarva Darma kzaNa BaFga prasADa nAt asya
   vacanasya satyārthatvāt / nāpi viruddhaḥ, sapekṣe bhāvāt / na	vacanasya satya arTa tvAt / na api virudDaH, sapekze BAvAt / na
   cānaikāntikatā, vacanamātrasya saṃśayaviparyāsapūrvakatve 'pi pramāṇa	ca anEkAntika tA, vacana mAtrasya saMSaya viparyAsa pUrvaka tve api pramANa 
   saṃvādi] niścitārthasya [vacanasya] sākṣāt pāramparyeṇa vā	saMvAdi] niScita arTasya [vacanasya] sAkzAt pAramparyeNa vA
   tadarthasākṣātkārijñānapūrvakatvena pratyakṣānupalambhābhyāmupalambhāt /	tad arTa sAkzAt kAri jQAna pUrvaka tvena pratyakza anupalamBAByAm upalamBAt /
   anyathā dhūmādāvapi hetutyāgaprasaṅgādaśeṣakāryahetūcchedaprasaṅgaḥ //	anyaTA DUma AdO= api hetu tyAga prasaFgAt aSeza kArya hetu ucCeda prasaFgaH //
   bhavaparamparānirūpaṇam	Bava paramparA nirUpaNam
   syādetat / anekabhavaparamparālakṣaṇena dīrghakālena bhāvyasya	syAt etat / aneka Bava paramparA lakzaNena dIrGa kAlena BAvyasya
   saṅkalpāruḍhasya sphuṭābhatvaṃ sambhāvyate / bhavaparamparāsiddhaye tu kiṃ	saFkalpAruXasya sPuwa ABa tvam samBAvyate / Bava paramparA sidDaye tu kim
   pramāṇam? ucyate / yaccittaṃ tat cittāntaraṃ pratisandhatte,	pramANam? ucyate / yat cittam tat citta antaram pratisanDatte,
   yathedānīntanaṃ cittam / cittaṃ ca maraṇakālabhāvīti svabhāvahetuḥ / na	yaTA idAni intanam cittam / cittam ca maraNa kAla BAvi iti svaBAva hetuH / na
   cārhaccaramacittena vyabhicāraḥ / tasyāgamamātrapratītatvāt niḥ	ca arhat carama cittena vyaBicAraH / tasya Agama mAtra pratIta tvAt niH
   kleśacittāntarajananādvā / hetoḥ kleśe sati / viśeṣāpekṣaṇādi	kleSa citta antara jananAt vA / hetoH kleSe sati / viSeza apekzaNa Adi
   tyanāgatabhavasiddhiḥ / iha pūrvajanmābhyāsāt tapodānādhyayanādau	tyanAgata Bava sidDiH / iha pUrva janma aByAsAt tapaH dAna aDyayana AdO
   sarvasattvānāmabhyāse pravṛttiriti pravādaḥ / tatastatsiddhaye	sarva sattvAnAm aByAse pravRttiH iti pravAdaH / tatas tad sidDaye
