   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
        paricayo vāraṃ vāraṃ darśanam /	paricayaH vAram vAram darSanam /
        yāsu ceṣṭāsu āśaṃsāyāmicchāyāṃ parikalpitāsvapi antaḥ karaṇasya	yAsu cezwAsu ASaMsAyAm i= CAyAm parikalpitAsu api antar karaNasya
   ānandena sāndro vyāpto layaḥ līnatā kṣaṇādbhavati /	Anandena sAndraH vyAptaH layaH lIna tA kzaNAt Bavati /
        antaḥ karaṇamānandavyāptaṃ bhavatītyarthaḥ /	antar karaNam Ananda vyAptam Bavati iti arTaH /
        layaḥ kīdṛśaḥ   bāhyakaraṇasya vyāpārasya rodhī pratibandhakaḥ /	layaH kIdRSaH    bAhya karaNasya vyApArasya roDI pratibanDakaH /
        atra dṛkceṣṭā'śaṃsādvārā mālatyāmevābhilāṣaḥ /	atra dRS cezwA aSaMsA dvArAH mAlatyAm eva aBilAzaH /
        Locanā:	LocanA:
        (lo, ṛ) premārdrā iti   darśanādigato bhāvavyañjakaḥ kaścana	(lo, R) prema ArdrAH iti   darSana Adi gataH BAva vyaQjakaH kaScana
   cittavṛttiviśeṣaḥ prema tatpūrvako vaśīkāraḥ praṇayaḥ /	citta vRtti viSezaH prema tad pUrvakaH vaSIkAraH praNayaH /
        rahasyasamvedanam paricayaḥ /	rahasya samvedanam paricayaH /
        layaḥ tanmayatvameva /	layaH tad maya tvam eva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra mālatīsākṣāddarśanaprarūḍharāgasya mādhavasyābhilāṣaḥ /	atra mAlatI sAkzAt darSana prarUXa rAgasya mADavasya aBilAzaH /
   "kathamīkṣe kuraṅgākṣīṃ sākṣāllakṣmīṃ manobhuvaḥ /	"kaTam Ikze kuraFga akzIm sAkzAt lakzmIm manoBuvaH /
   iti cintākulaḥ kānto nidrāṃ naiti niśīthinīm" //	iti cintA AkulaH kAntaH nidrAm na eti niSITinIm" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṇa) kathamīkṣe ityādikaṃ spaṣṭam /	(vi, Na) kaTam Ikze iti Adikam spazwam /
        niśīthinīṃ vyāpya naiti prāpnoti /	niSITinIm vyApya na eti prApnoti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra kasyāścinnāyikāyā indrajāladarśanaprarūḍharāgasya nāyakasya cintā /	atra kasyAScid nAyikAyAH indrajAla darSana prarUXa rAgasya nAyakasya cintA /
   idaṃ mama /	idam mama /
   "mayi sakapaṭam'  ityādau nāyakasya smṛtiḥ /	"mayi sa kapawam a  iti AdO nAyakasya smRtiH /
   netre khañjanagañjane'  ityādau guṇakathanam /	netre KaQjana gaQjane a  iti AdO guNa kaTanam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) netre ityādau saundaryameva guṇaḥ /	(vi, ta) netre ityAdO sOndaryam eva guNaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "śvāsānmuñcati'  ityādau udvegaḥ /	"SvAsAt muQcati a  iti AdO udvegaH /
   "tribhāgaśeṣāsu niśāsu ca kṣamaṃ nimīlya netre sahasā vyabudhyana /	"tri BAga SezAsu niSAsu ca kzamam nimIlya netre sahasA vyabuDyana /
   kvaḥ nīlakaṇṭha ! vrajasītyalakṣyavāgasatyakaṇṭhārpitabāhubandhanā" //	kvaH nIlakaNWa ! vrajasi iti alakzya vAc a satya kaNWa arpita bAhu banDanA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) tribhāgaśeṣāsu iti /	(vi, Ta) tri BAga SezAsu iti /
        pārvatīsakhyā vijayāyā jaṭilaveśapracchannaṃ maheśa prati uktiriyam /	pArvatI saKyA vijayAyAH jawila veSa pracCannam maheSa prati uktiH iyam /
        bhāgatraye jāgaritatvāt śeṣāvaśiṣṭāsu niśāsu netre nimīlya mīlayitvā	BAga traye jAgarita tvAt Seza avaSizwAsu niSAsu netre nimIlya mIlayitvA
   iyaṃ sahasā vyabudhyata /	iyam sahasA vyabuDyata /
        kīdṛśī asatye harasya kaṇṭhe 'rpitabāhubandhanā satī he nīlakaṇṭha !	kIdRSI asatye harasya kaNWe arpita bAhu banDanA satI he nIlakaNWa !
   kva vrajasi ityevam alakṣyavāk anāśrayavāk /	kva vrajasi iti evam alakzya vAc anASraya vAc /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra pralāpaḥ /	atra pralApaH /
   "bhrātardvirepha'  ityādau unmādaḥ /	"BrAtar dvirePa a  iti AdO unmAdaH /
   "pāṇḍu kṣāmaṃ vadanaṃ hṛdayaṃ sarasaṃ tavālasaṃ ca vapuḥ /	"pANxu kzAmam vadanam hRdayam sarasam tava alasam ca vapuH /
   āvedayati nitāntaṃ kṣetriyarogaṃ sakhi ! hṛdantaḥ" //	Avedayati nitAntam kzetriya rogam saKi ! hRd antaH" //
   Locanā:	LocanA:
   (lo, ṝ) pāṇiḍvati   parakṣetre na chedanīyo rogaḥ kṣetriyarogaḥ /	(lo, L) pANixvati   para kzetre na CedanIyaH rogaH kzetriya rogaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra vyādhiḥ /	atra vyADiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) pāṇḍukṣāmāmiti   mālatyāṃ tadvirahāvasthāṃ pṛcchantyā	(vi, da) pANxu kzAma amiti   mAlatyAm tad viraha avasTAm pRcCantyA
   lavaṅgikāyā uktiriyam /	lavaFgikAyAH uktiH iyam /
        he sakhi ! tava hṛdantaḥ kṣetriyarogam asmin kṣetre śarīre acikitsyaṃ	he saKi ! tava hRdantaH kzetriya rogam asmin kzetre SarIre acikitsyam
   rogaṃ pāṇḍukṣāmavadanādikaṃ karttṛ āvedayatītyanvayaḥ /	rogam pANxu kzAma vadana Adikam karttR Avedayati iti anvayaH /
        kṣāmaṃ kṣīṇam /	kzAmam kzINam /
        sarasaṃ strahārdram /	sarasam straha Ardram /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "bhisaṇīalasaaṇīe nihiaṃ savvaṃ suṇiccalaṃ aṅgaṃ /	"BisaNIala saaNIe nihiam savvam suNiccalam aFgam /
   dīho ṇīsāsaharo eso sāhei jīaitti paraṃ" //	dIhaH NIsAsa haraH esaH sAhei jIEtti paran" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) bhisiṇīti   "bisinīdalaśayanīye nihitaṃ sarvamapi	(vi, Da) BisiNI iti   "bisinI dala SayanIye nihitam sarvam api
   niścalamaṅgam /	niScalam aFgam /
        dīrgho niḥ śvāsabhara eṣa sādhayati jīvatīti param /	dIrGaH niH SvAsa BaraH eza sADayati jIvati iti param /
        '; iti saṃskṛtam /	a; iti saMskRtam /
        sarvamapyaṅgaṃ niścalam /	sarvam api aFgam niScalam /
        ato dīrghaniśvāsa eva iyaṃ jīvati sādhayati ityarthaḥ /	atas dIrGa niSvAsaH eva iyam jIvati sADayati iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atra jaḍatā /	atra jaxa tA /
   idaṃ mama /	idam mama /
   rasavicchedahetutvānmaraṇaṃ naiva varṇyate // VisSd_3.193 //	rasa vicCeda hetu tvAt maraNam na eva varNyate // VisSd _3.193 //
   jātaprāyaṃ tu tadvācyaṃ cetasākāṅkṣitaṃ tathā /	jAta prAyam tu tat vAcyam cetasA AkAFkzitam taTA /
   varṇyate 'pi yadi pratyuñjīvanaṃ syādaḍhūrataḥ // VisSd_3.194 //	varNyate api yadi pratyuQjIvanam syAt aXUrataH // VisSd _3.194 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) cetasākāṅkṣitamiti   maraṇākāṅkṣā eva varṇanīyā na	(vi, na) cetasA AkAFkzitam iti   maraNa AkAFkzAH eva varNanIyAH na
   maraṇamityarthaḥ /	maraNam iti arTaH /
        varṇyate 'pīti /	varNyate api iti /
        punaravyavahite jīvane sati maraṇamapi varṇanīyamityarthaḥ /	punar avyavahite jIvane sati maraNam api varNanIyam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatrādyaṃ yathā  	tatra Adyam yaTA  
   "śephālikāṃ vidalitāmavalokya tanvī prāṇān kathaṃcidapi dhārayituṃ	"SePAlikAm vidalitAm avalokya tanvI prANAn kaTaMcid api DArayitum
   prabhūtā /	praBUtAH /
   ākarṇya saṃprati rutaṃ caraṇāyudhānāṃ kiṃ vā bhaviṣyati na vedmi tapasvinī	AkarNya saMprati rutam caraNa AyuDAnAm kim vA Bavizyati na vedmi tapasvinI
   sā" //	sA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) śephālikāmiti   vidalitāṃ patitakusumāṃ kiñcidavaśiṣṭāyāṃ	(vi, pa) SePAlikAm iti   vidalitAm patita kusumAm kiQcid avaSizwAyAm
   rātrau tadvidalanāt, kadācittadānīmapi nāyakāgamanasaṃbhāvanayā	rAtrO tad vidalana at, kadAcid tadAnIm api nAyaka Agamana saMBAvanayA
   prāṇadhāraṇam /	prANa DAraNam /
        cāraṇāyudhānāṃ kukkuṭānāṃ rutam /	cAraNa AyuDAnAm kukkuwAnAm rutam /
        prātaḥ kāla eveti tatra maraṇasaṃbhāvanayā sakhyā viṣādoktiriyam /	prAtar kAlaH eva iti tatra maraNa saMBAvanayA saKyA vizAda uktiH iyam /
        tapasvinī duḥ khitā /	tapasvinI duH KitAH /
        Locanā:	LocanA:
        (lo, ḷ) śephālikāmiti   śephālikāvidalanena niśīthakālaḥ sūcitaḥ	(lo, ?) SePAlikA miti   SePAlikA vidalanena niSITa kAlaH sUcitaH
   tapasvinī śocyā /	tapasvinI SocyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dvitīyaṃ yathā  	dvitIyam yaTA  
   "rolambāḥ paripūrayantu harito jhaṃkārakolāhalair mandaṃ mandamupaitu	"rolambAH paripUrayantu haritaH JaMkAra kolAhalEH mandam mandam upEtu
   candanavanījāto nabhasvānapi /	candana vanI jAtaH naBasvAn api /
   mādyantaḥ kalayantu cūtaśikhare kelīpikāḥ pañcamaṃ prāṇāḥ	mAdyantaH kalayantu cUta SiKare kelIpikAH paQcamam prANAH
   satvaramaśmasārakaṭhinā gacchantu gacchantvamī" //	sa tvaram aSmasAra kaWinAH gacCantu gacCantu amI" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) rolambā iti /	(vi, Pa) rolambAH iti /
        aprāptanāyakadarśanāyā nāyikāyā uktiriyam /	aprApta nAyaka darSanAyAH nAyikAyAH uktiH iyam /
        paripūrayantu ityasya haritaḥ iti karmma /	paripUrayantu iti asya haritaH iti karmma /
        harito diśaḥ /	haritaH diSaH /
        nabhasvān pavanaḥ /	naBasvAn pavanaH /
        kelīpikāḥ /	kelIpikAH /
        pālitakokilāḥ /	pAlita kokilAH /
        bhramarajhaṅkārādayaḥ tāvaduddīpakāḥ santu /	Bramara JaFkAra AdayaH tAvat uddIpakAH santu /
        kaṭhināḥ prāṇā api yāntu ityarthaḥ /	kaWinAH prANAH api yAntu iti arTaH /
        kalayantu gāyantu /	kalayantu gAyantu /
        Locanā:	LocanA:
        (lo, e) rolambāḥ bhramarāḥ /	(lo, e) rolambAH BramarAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   mamaitau /	mama etO /
   tṛtīyaṃ yathā  	tRtIyam yaTA  
   kādambaryāṃ mahaśvetāpuṇḍarīkavṛttānte /	kAdambaryAm maha SvetA puNxarIka vRttAnte /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) tṛtīyamiti   tṛtīyaṃ maraṇottaraṃ jīvanam /	(vi, ba) tRtIyam iti   tRtIyam maraNa uttaram jIvanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   eṣa ca prakāraḥ karuṇaḥ vipralambhaviṣaya iti vakṣyāmaḥ /	eza ca prakAraH karuNaH vipralamBa vizayaH iti vakzyAmaH /
   Locanā:	LocanA:
   (lo, ai) mahāśvetāpuṇḍarīkavṛttānte puṇḍarīkastyaktaprāṇaḥ punarjovanamala	(lo, E) mahA SvetA puNxarIka vRttAnte puNxarIkaH tyakta prANaH punar jovana mala
   bhata /	Bata /
   karuṇavipralambhasya viṣayaḥ, natu pūrvarāgapravāsayoḥ /	karuNa vipralamBasya vizayaH, na tu pUrva rAga pravAsayoH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kecittu  	kecid tu  
   "nayanaprītiḥ prathamaṃ cittāsaṅgastato 'tha saṃkalpaḥ /	"nayana prItiH praTamam citta AsaFgaH tatas aTa saMkalpaH /
   nidrācchedastanutā viṣayanivṛttistrapānāśaḥ //	nidrA AcCedaH tanu tA vizaya nivRttiH tra pAnASaH //
   unmādo mūrcchā mṛtirityetāḥ smaradaśā daśaiva syu" /	unmAdaH mUrcCA mRtiH iti etAH smara daSA daSa eva syu" /
   ityāhuḥ /	iti AhuH /
   tatra ca  	tatra ca  
   ādau vācyaḥ striyā rāgaḥ puṃsaḥ paścāttadiṅgitaiḥ /	AdO vAcyaH striyAH rAgaH puMsaH paScAt tad iFgitEH /
   Locanā:	LocanA:
   (lo, o) ādāviti   tadiṅgitaiḥ tadiṅgitāni dṛṣṭvā ityarthaḥ /	(lo, o) AdO= iti    tad iFgitEH tad iFgitAni dRzwvA iti arTaH /
   iṅgitāni anurāgaceṣṭitāni /	iFgitAni anurAga cezwitAni /
   aktānyatraiva"dṛṣṭā darśayati vrīḍām"ityādinā /	aktAni atra eva" dRzwA darSayati vrIxAm"itya AdinA /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iṅgitānyuktani /	iFgitAni uktani /
   yathā ratnāvavalyāṃ sāgarikāvatsarājayoḥ /	yaTA ratnAvavalyAm sAgarikA vatsara AjayoH /
   ādau puruṣānuroge saṃbhavatyapyevamadhikaṃ hṛdayaṅgamaṃ bhavati /	AdO puruza anuroge saMBavati api evam aDikam hRdayaFgamam Bavati /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) iṅgitānyuktānīti  anurāgakathanameva taduktiḥ /	(vi, Ba) iFgitAni uktAni iti  anurAga kaTanam eva tat uktiH /
        ādau stryanurāgaṃ darśayati   ratnāvalyāmiti  atra sāgarikāyāḥ	AdO strI anurAgam darSayati    ratna AvalyAm iti  atra sAgarikAyAH
   praganurāgaḥ /	praganu rAgaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nīlī kusumbhaṃ mañjiṣṭhā pūrvarāgo 'pi ca tridhā // VisSd_3.195 //	nIlI kusumBam maQjizWA pUrva rAgaH api ca triDA // VisSd _3.195 //
   Locanā:	LocanA:
   (lo, au) nīlī nīlirāgaḥ "kusumbharāgaḥ'; mañjiṣṭārāgaścetyarthaḥ /	(lo, O) nIlI nIli rAgaH "kusumBa rAgaH a; maQjizwA rAgaH ca iti arTaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra  	tatra  
   na cātiśobhate yannāpaiti prema manogatam /	na ca ati SoBate yat na apEti prema manogatam /
   tannīlīrāgamākhyātaṃ yathā śrīrāmasītayoḥ // VisSd_3.196 //	tad nIlI rAgam AKyAtam yaTA SrI rAmasItayoH // VisSd _3.196 //
   kusumbharāgaṃ tatprāhuryadapaiti ca śobhate /	kusumBa rAgam tat prAhuH yat apEti ca SoBate /
   mañjiṣṭhārāgamāhustad yannāpaityatiśobhate // VisSd_3.197 //	maQjizWA rAgam AhuH tat yat na apEti ati SoBate // VisSd _3.197 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) na cātiśobhate iti   avispaṣṭatvāt na cātiśobhate ityarthaḥ	(vi, ma) na ca ati SoBate iti   a vispazwa tvAt na ca ati SoBate iti arTaH
        śrīrāmasītayoriti   śrīrāmasya dhīrodāttatvāt purūvasa	SrI rAmasItayoH iti   SrI rAmasya DIra udAtta tvAt purUvasa
   ivātyantapralāpābhāvena nātiśobhate ityarthaḥ /	iva atyanta pralApa aBAvena na ati SoBate iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha mānaḥ  	aTa mAnaH  
   mānaḥ kopaḥ sa tu dvedhā praṇayerṣyāsamudbhavaḥ /	mAnaH kopaH sa tu dveDA praNaya IrzyA samudBavaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) pūrvarāgānantaraṃ mānamāha  atheti   praṇayerṣyeti /	(vi, ya) pUrva rAga anantaram mAnam Aha  aTa iti    praNaya IrzyA iti /
        praṇayena īrṣyayā vā samudbhavo yasya tādṛśa ityarthaḥ /	praNayena IrzyayA vA samudBavaH yasya tAdRSaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dvayoḥ praṇayamānaḥ syāt pramode sumahatyapi // VisSd_3.198 //	dvayoH praNayamAnaH syAt pramode su mahati api // VisSd _3.198 //
   premṇaḥ kuṭilagāmitvāt kopo yaḥ kāraṇaṃ vinā /	premNaH kuwila gAmi tvAt kopaH yaH kAraNam vinA /
   dvayoriti nāyakasya nāyikāyāśca ubhayośca praṇayamāno varṇanīyaḥ /	dvayoH iti nAyakasya nAyikAyAH ca uBayoH ca praNayamAnaH varNanIyaH /
   udāharaṇam /	udAharaNam /
   tatra nāyakasya yathā  	tatra nAyakasya yaTA  
   "aliapasuttaa ṇimiliaccha desu suhaa majjha oāsaṃ /	"aliapa suttaa NimiliacCa desu suhaa majJaH oAsam /
   gaṇḍapariumbaṇāpulaiaṅga ! ṇa puṇo cirāissaṃ" //	gaNxa pariumbaNa ApulEaFgaH ! Na puNaH cirAi ssaM" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) alīapasuttaa iti /	(vi, ra) alIapa suttaaH iti /
        alīkaprasupta vinimīlatākṣa te subhaga mamāvakāśaḥ /	alIka prasupta vinimIlata akza te suBaga mama avakASaH /
        gaṇḍaparicumbanāt pulakitamaṅgaṃ na punaścirayiṣyāmi //	gaNxa paricumbanAt pulakitam aFgam na punar cirayizyAmi //
        iti saṃskṛtam /	iti saMskRtam /
        praṇayamānena alīkaprasuptaṃ nāyakaṃ cumbitvā tenāślādhitāyā	praNayamAnena alIka prasuptam nAyakam cumbitvA tena aSlADitAyA
   nāyikāyāstaṃ pratyuktiriyam /	nAyikAyAH tam pratyuktiH iyam /
        he alīkaprasupta ! he vinimīlitākṣa ! he subhaga ! mayā te tava	he alIka prasupta ! he vinimIlita akzaH ! he suBaga ! mayA te tava
   gaṇḍaparicumbanayā pulakitamarthāt tavāṅgameva mamāvakāśo mama	gaNxa paricumbanayA pulakitam arTAt tava aFgam eva mama avakASaH mama
   sthityavakāśaḥ /	sTiti avakASaH /
        idānīmapi unmīlanābhāvena tadabhāvaniścayāt /	idAnIm api unmIlana aBAvena tad aBAva niScayAt /
        ato na cirayiṣyāmītyarthaḥ /	atas na cirayizyAmi iti arTaH /
        atra ca"prāgāmantritamasakṛdi"ti sūtreṇa te ityasya asambhavo	atra ca" prAgAmantritam asakRt i"ti sUtreNa te iti asya asamBavaH 
   nāśaṅkanīyaḥ /	na aSaFkanIyaH /
        avyavahitapūrvasya āmantraṇapadasyaivāsattāyāstadarthatvāt /	avyavahita pUrvasya AmantraNa padasya eva asattAyAH tad arTa tvAt /
        upapūrvāmantraṇapadottaraṃ tu bhavatyeva te ityādeśaḥ /	upapUrvA mantraNa pada uttaram tu Bavati eva te iti AdeSaH /
        Locanā:	LocanA:
        (lo, a) mānaḥ uddeśakamaprāpta ityarthaḥ /	(lo, a) mAnaH uddeSa kama prAptaH iti arTaH /
        praṇayaḥ prema /	praNayaH prema /
        alia iti /	aliaH iti /
        alīkaprasuta ! nimīlatākṣa ! dehi subhaga ! mahyavakāśam /	alIka prasuta ! nimIlatA akzaH ! dehi suBaga ! mahi avakASam /
        gaṇḍapiracumbanātpulakitāṅga ! na punāścirāyiṣye //	gaNxa pira cumbanAt pulakita aFgaH ! na punAH cirAyizye //
        etaccirāyitāyāṃ nāyikāyāṃ sakalāmapi śayyāmāvṛtya mithyāprasuptasya	etat cirAyitAyAm nAyikAyAm sakalAm api SayyAm AvRtya miTyA prasuptasya
   nāyakasya gaṇḍaṃ paricumbya tasyā vacanam /	nAyakasya gaNxam paricumbya tasyAH vacanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nāyikāyā yathā kumārasaṃbhave saṃdhyāvarṇanāvasare /	nAyikAyAH yaTA kumAra saMBave saMDyA AvarNana avasare /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) kumārasaṃbhava iti /	(vi, la) kumAra saMBavaH iti /
        atra pārvatīṃ tyaktvā sandhyāvandanāya gate maheśe pārvatyā māne	atra pArvatIm tyaktvA sanDyA vandanAya gate maheSe pArvatyAH mAne
   tasya tadbhaṅgapravṛttau tatra hi "sandhyayā kamalayonikanyayā yā tanuḥ	tasya tad BaFga pravRttO tatra hi "sanDyayA kamala yoni kanyayA yA tanuH
   sutanu ! pūrvamujjhitā /	su tanu ! pUrvam ujJitA /
        seyamastamudayañca sevate tena mānini ! mamātra gauravam //	sA iyam astam udayaQca sevate tena mAnini ! mama atra gOravam //
        '; ityādi maheśoktau /	a; ityAdi maheSa uktO /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ubhayoryathā  	uBayoH yaTA  
   "paṇaakuviāṇaṃ deṇha viṃ aliasuttāṇāṃ māṇaillāṇaṃ /	"paNaa kuviANam deNha vim alia suttANAm mANEllANam /
   ṇiccalaṇiruddhaṇīsāsadiṇṇaaṇṇāṇaṃ ko mallo" //	Nit calaNiH udDaNI sA sadiNNaaNNANam kaH mallo" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va)	(vi, va)
   paṇaakuvideti   "praṇayakupitayordvayorapyalīkaprasuptayormānavijñayoḥ /	paNaa kuvideti    " praNaya kupitayoH dvayoH api alIka prasuptayoH mAna vijQayoH /
        niścalaniruddhaniḥ śvāsadattakarṇayoḥ ko mallaḥ //	niScala nirudDa niH SvAsa datta karNayoH kaH mallaH //
        "iti saṃskṛtam ko mallaḥ ko mānarakṣaṇasamarthaḥ /	"iti saMskRtam kaH mallaH kaH mAna rakzaNa samarTaH /
        Locanā:	LocanA:
        (lo, ā) paṇatra iti   	(lo, A) paNatraH iti   
        "praṇayakupitayordvayorapyalīkaprasuptayormānavatoḥ /	"praNaya kupitayoH dvayoH api alIka prasuptayoH mAnavatoH /
        niścalaniruddhaniḥ śvāsadattakarṇayoḥ ko mallaḥ" //	niScala nirudDa niH SvAsa datta karNayoH kaH mallaH" //
        atra ko mallaḥ kaściraṃ soḍhuṃ samarthaḥ na jñāyate iti bhāvaḥ /	atra kaH mallaH kaH ciram soXum samarTaH na jQAyate iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   anunayaparyantāsahatve tvasya na vipralambhabhedatā, kintu	anunaya paryanta asaha tve tu asya na vipralamBa Beda tA, kintu
   saṃbhogasañcāryākhyabhāvatvam /	saMBoga saQcArya AKya BAva tvam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) na vipralambhabhedatā na vipralambhaprabhedatā /	(vi, Sa) na vipralamBa Beda tA na vipralamBa praBedatA /
        bhrūbhaṅge iti mānarakṣaṇāsamarthāyā nāyikāyāḥ sakhyāmuktiriyam /	BrU BaFge iti mAna rakzaNa asamarTAyAH nAyikAyAH saKyAm uktiH iyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "bhrūbhaṅge racite 'pi dṛṣṭiradhikaṃ sotkaṇṭhamudvīkṣate ruddhāyāmapi vāci	"BrU BaFge racite api dRzwiH aDikam sa utkaNWam udvIkzate rudDAyAm api vAci
   sammitamidaṃ dagdhānanaṃ jāyate /	sammitam idam dagDa Ananam jAyate /
   kārkaśyaṃ gamite 'pi cetasi tanū romāñcamālambate dṛṣṭe nirvahaṇaṃ	kArkaSyam gamite api cetasi tanuH romAQcam Alambate dRzwe nirvahaNam
   bhaviṣyati kathaṃ mānasya tasmiñjane" //	Bavizyati kaTam mAnasya tasmin jane" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) mayā bhrūbhaṅge racite 'pi mama dṛṣṭistaṃ priyaṃ	(vi, za) mayA BrU BaFge racite api mama dRzwiH tam priyam
   sotkaṇṭhamudvīkṣate /	sa utkaNWam udvIkzate /
        ityādirītyā tasmin jane priyatame dṛṣṭe sati kathaṃ mānasya	iti AdirItyA tasmin jane priyatame dRzwe sati kaTam mAnasya
   nirvahaṇaṃ nirvāho bhaviṣyatītyanvayaḥ /	nirvahaNam nirvAhaH Bavizyati iti anvayaH /
        dagdhānanaṃ garhitaṃ mamānanam /	dagDa Ananam garhitam mama Ananam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā vā  	yaTA vA  
   "ekasmiñśayane parāṅmukhatayā vītottaraṃ tāmyator anyonyasya hṛdi sthite	"ekasmin Sayane parAFmuKa tayA vIta uttaram tAmyatoH anyonyasya hRdi sTite
   'pyanunaye saṃrakṣatorgauravam /	api anunaye saMrakzatoH gOravam /
   daṃpatyoḥ śanakairapāṅgabalanānmiśrībhavaccakṣuṣor bhagno mānakaliḥ	daMpatyoH SanakEs apAFga balanAt miSrIBavat cakzuzoH BagnaH mAnakaliH
   sahāsarabhasavyāsaktakaṇṭhagrahaḥ" //	sahAsa raBasa vyAsakta kaNWa grahaH" //
   pratyuranyapriyāsaṅge dṛṣṭe 'thānumite śrute // VisSd_3.199 //	pratyuranya priya AsaFge dRzwe aTa anumite Srute // VisSd _3.199 //
   īrṣyā māno bhavetstrīṇāṃ tatra tvanumitistridhā /	IrzyA mAnaH Bavet strINAm tatra tu anumitiH triDA /
   utsvaṣnāyitabhogāṅkagotraskhalanasaṃmbhavā // VisSd_3.200 //	utsvaznAyita Boga aFka gotra sKalana saMmBavAH // VisSd _3.200 //
   Locanā:	LocanA:
   (lo, i) īrṣyeti   īrṣyākhyabhāvatvaṃ saṃcārilakṣaṇayogāt /	(lo, i) IrzyA iti    IrzyA AKya BAva tvam saMcAri lakzaNa yogAt /
   utsvanpāyitamiti   utsvaprāyitaṃ svapre ceṣṭā /	utsvan pAyitam iti   utsu aprAyitam svapre cezwA /
   svaprasyodramanakāla eva tatkathanāya utthānam /	sva prasya udramana kAle eva tad kaTanAya utTAnam /
   gotraskhalanaṃ saṃbodhane tannāmagrahaṇam /	gotra sKalanam saMboDane tad nAma grahaNam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra dṛṣṭe yathā  	tatra dRzwe yaTA  
