   Bhaiṣajyavastu	BhEzajya vastu
   mahābhūtasannipāto bhaviṣyati mā kaścid asyojo ghaṭṭayiṣyatīti / sa	mahABUta sannipAtaH Bavizyati mA kaScid asi ojaH Gawwayizyati iti / sa
   mandākinyāḥ puṣkariṇyās tīre kaineyasya ṛṣer ārakṣakaṃ sthāpayitvā	mandAkinyAH puzkariNyAH tIre kEneyasya RzeH Arakzakam sTApayitvA
   śayanāsanaprajñaptiṃ kartum (Bhaiṣ v(Ch/W) 120) ārabdhaḥ / tatra	Sayana Asana prajQaptim kartum (BhEz v(Sh/W) 120) ArabDaH / tatra
   mahājanakāyasya kolāhalaśabdo jātaḥ / tataḥ kaineya ṛṣiḥ	mahA jana kAyasya kolAhala SabdaH jAtaH / tatas kEneyaH RziH
   kolāhalaśabdenotthitaḥ tam ārakṣakaṃ pṛcchati / kim eṣa kolāhalaśabda iti	kolAhala Sabdena utTitaH tam Arakzakam pRcCati / kim eza kolAhala SabdaH iti
   | sa kathayati / śayanāsanaprajñaptiḥ kriyate | kiṃ mamārthāya / na	| sa kaTayati / Sayana Asana prajQaptiH kriyate | kim mama arTAya / na
   tavārthāya / api tu buddhasya bhagavataḥ / tvam atra kiṃ tiṣṭhasi |	tava arTAya / api tu budDasya BagavataH / tvam atra kim tizWasi |
   tavaivārakṣakaḥ / kimartham* / mahābhūtasamāgamo 'tra bhaviṣyati / mā	tava eva ArakzakaH / kimarTam* / mahABUta samAgamaH atra Bavizyati / mA
   kaścid ojo ghaṭṭayiṣyatīti | sa kathayati / tasya śramaṇasya gautamasya ko	kaScid ojaH Gawwayizyati iti | sa kaTayati / tasya SramaNasya gOtamasya kaH 
   rakṣāṃ karotīti | sa kathayati / kas tasya bhagavato rakṣāṃ karoti / sa	rakzAm karoti iti | sa kaTayati / kaH tasya BagavataH rakzAm karoti / sa
   eva bhagavāṃ sadevakasya lokasya rakṣāṃ karotīti śrutvā kaineya ṛṣis	eva BagavAm sa devakasya lokasya rakzAm karoti iti SrutvA kEneyaH Rzi s
   tūṣṇīm* /	tUzNIm* /
   tato bhagavān pūrvāhṇe nivāsya pātracīvaram ādāya ādumāṃ piṇḍāya prāviśat*	tatas BagavAn pUrvAhNe nivAsya pAtra cIvaram AdAya AdumAm piNxAya prAviSat *
   / ādumāṃ piṇḍāya caritvā kṛtabhaktakṛtyaḥ paścādbhaktapiṇḍapātaṃ	/ AdumAm piNxAya caritvA kRta Bakta kRtyaH paScAt Bakta piNxapAtam
   pratikrāntaḥ tadrūpaṃ samādhiṃ samāpanno yathā samāhite citte ādumāyām	pratikrAntaH tad rUpam samADim samApannaH yaTA samAhite citte AdumAyAm
   antarhito mandākinyāḥ puṣkariṇyās tīre (MSV I 257) pratyaṣṭhāt sārdhaṃ	antarhitaH mandAkinyAH puzkariNyAH tIre (MSV I 257) pratyazWAt sArDam
   bhikṣusaṃghena | atha bhagavān purastād bhikṣusaṃghasya prajñapta evāsane	Bikzu saMGena | aTa BagavAn purastAt Bikzu saMGasya prajQapte eva Asane
   niṣaṇṇaḥ /	nizaNNaH /
   tato dhṛtarāṣṭro mahārājo 'nekagandharvaparivāro	tatas DRtarAzwraH mahA rAjaH aneka ganDarva parivAraH 
   'nekagandharvaśataparivāro 'nekagandharvasahasraparivāro	aneka ganDarva Sata parivAraH aneka ganDarva sahasra parivAraH 
   'nekagandharvaśatasahasraparivāro divyānāṃ maṇīnām utsaṃgaṃ pūrayitvā yena	aneka ganDarva Sata sahasra parivAraH divyAnAm maNInAm utsaMgam pUrayitvA yena
   bhagavāṃs tenopasaṃkrāntaḥ / upasaṃkramya bhagavantaṃ divyābhir maṇibhir	BagavAn tena upasaMkrAntaH / upasaMkramya Bagavantam divyABiH maNiBiH 
   ākīrya bhagavataḥ pādau śirasā vanditvā pūrvāṃ diśaṃ niśṛtya niṣaṇṇo	AkIrya BagavataH pAdO SirasA vanditvA pUrvAm diSam niSRtya nizaNNaH 
   bhagavantaṃ saṃpuraskṛtya bhikṣusaṃghaṃ ca //	Bagavantam saMpuraskRtya Bikzu saMGam ca //
   virūḍhako 'pi mahārājo 'nekakumbhāṇḍaparivāro 'nekakumbhāṇḍaśataparivāro	virUXakaH api mahA rAjaH aneka kumBANxa parivAraH aneka kumBa aNxa Sata parivAraH 
   'nekakumbhāṇḍasahasraparivāro 'nekakumbhāṇḍaśatasahasraparivāro divyānāṃ	aneka kumBa aNxa sahasra parivAraH aneka kumBa aNxa Sata sahasra parivAraH divyAnAm
   muktānām utsaṃgaṃ pūrayitvā yena bhagavāṃs tenopasaṃkrāntaḥ (fol. 232v1 =	muktAnAm utsaMgam pUrayitvA yena BagavAn tena upasaMkrAntaH (fol. 232v1 =
   GBM 6.777) / upasaṃkramya bhagavantaṃ divyābhir muktābhir ākīrya	GBm 6.777) / upasaMkramya Bagavantam divyABiH muktABiH AkIrya
   bhagavataḥ pādau śirasā vanditvā dakṣiṇāṃ diśaṃ niśṛtya niṣaṇṇo	BagavataH pAdO SirasA vanditvA dakziNAm diSam niSRtya nizaNNaH 
   bhagavantaṃ saṃpuraskṛtya bhikṣusaṃghaṃ ca |	Bagavantam saMpuraskRtya Bikzu saMGam ca |
   virūpākṣo 'pi mahārājo 'nekanāgaparivāro 'nekanāgaśataparivāro	virUpAkzaH api mahA rAjaH aneka nAga parivAraH aneka nAga Sata parivAraH 
   'nekanāgasahasraparivāro 'nekanāgaśatasahasraparivāro divyānām	aneka nAga sahasra parivAraH aneka nAga Sata sahasra parivAraH divyAnAm
   utpalapadmakumudapuṇḍarīkamandārakāṇāṃ puṣpāṇām utsaṃgaṃ pūrayitvā yena	utpala padma kumuda puNxarIka mandArakANAm puzpANAm utsaMgam pUrayitvA yena
   bhagavāṃs tenopasaṃkrāntaḥ / upasaṃkramya bhagavantaṃ divyair	BagavAn tena upasaMkrAntaH / upasaMkramya Bagavantam divyEH 
   utpalapadmakumudapuṇḍarīkamandārakaiḥ puṣpair avakīrya bhagavataḥ pādau	utpala padma kumuda puNxarIka mandArakEH puzpEH avakIrya BagavataH pAdO
   śirasā vanditvā paścimāṃ diśaṃ niśṛtya niṣaṇṇo bhagavantaṃ saṃpuraskṛtya	SirasA vanditvA paScimAm diSam niSRtya nizaNNaH Bagavantam saMpuraskRtya
   bhikṣusaṃghaṃ ca //	Bikzu saMGam ca //
   vaiśravaṇo 'pi mahārājo 'nekayakṣaparivāro 'nekayakṣaśataparivāro	vESravaNaH api mahA rAjaH aneka yakza parivAraH aneka yakza Sata parivAraH 
   'nekayakṣasahasraparivāro 'nekayakṣaśatasahasraparivāro divyasya	aneka yakza sahasra parivAraH aneka yakza Sata sahasra parivAraH divyasya
   hiraṇyasya suvarṇasyotsaṃgaṃ pūrayitvā yena bhagavāṃs tenopasaṃkrāntaḥ /	hiraNyasya suvarNasya utsaMgam pUrayitvA yena BagavAn tena upasaMkrAntaH /
   upasaṃkramya bhagavantaṃ divyena hiraṇyasuvarṇenākīrya (Bhaiṣ v(Ch/W) 121)	upasaMkramya Bagavantam divyena hiraNya suvarNena AkIrya (BhEz v(Sh/W) 121)
   bhagavataḥ pādau (MSV I 258) śirasā vanditvā uttarāṃ diśaṃ niśṛtya niṣaṇṇo	BagavataH pAdO (MSV I 258) SirasA vanditvA uttarAm diSam niSRtya nizaNNaH 
   bhagavantaṃ saṃpuraskṛtya bhikṣusaṃghaṃ ca |	Bagavantam saMpuraskRtya Bikzu saMGam ca |
   tatra dvāv āryajātīyau dhṛtarāṣṭro virūḍhakaś ca / dvau dasyujātīyau	tatra dvO Arya jAtIyO DRtarAzwraH virUXakaH ca / dvO dasyu jAtIyO
   virūpākṣo vaiśravaṇaś ca | atha bhagavata etad abhavat* / saced aham	virUpAkzaH vESravaNaH ca | aTa BagavataH etat aBavat* / saced aham
   āryayā vācā dharmaṃ deśayeyaṃ dvau cājñāsyataḥ dvau nājñāsyataḥ / saced	AryayA vAcA Darmam deSayeyam dvO ca AjQAsyataH dvO na AjQAsyataH / saced 
   dasyuvācā deśayeyam evam api dvau ājñāsyataḥ dvau nājñāsyataḥ / yanv ahaṃ	dasyuvAcAH deSayeyam evam api dvO AjQAsyataH dvO na AjQAsyataH / yanu aham
   dvayor āryayā vācā dharmaṃ deśayeyaṃ / dvayor api dasyuvāceti viditvā	dvayoH AryayA vAcA Darmam deSayeyam / dvayoH api dasyu vAca iti viditvA
   dhṛtarāṣṭraṃ mahārājam āmantrayate / iti hi mahārājabhinnaḥ kāyo vedanā	DRtarAzwram mahA rAjam Amantrayate / iti hi mahA rAja BinnaH kAyaH vedanA
   śītībhūtā saṃjñā niruddhā saṃskārā vyupaśāntā vijñānaṃ cāstaṃgataṃ : eṣa	SItIBUtA saMjQA nirudDA saMskArAH vyupaSAntA vijQAnam ca astaMgatam : eza
   evānto duḥkhasyeti / asmin khalu dharmaparyāye bhāṣyamāṇe dhṛtarāṣṭrasya	eva antaH duHKasya iti / asmin Kalu Darma paryAye BAzyamANe DRtarAzwrasya
   mahārājasya virajo vigatamalaṃ dharmeṣu dharmacakṣur utpannam anekeṣāṃ ca	mahA rAjasya virajaH vigata malam Darmezu Darma cakzuH utpannam anekezAm ca
   tatsabhāgānāṃ gandharvaśatasahasrāṇāṃ //	tad sa BAgAnAm ganDarva Sata sahasrANAm //
   tatra bhagavān virūḍhakaṃ mahārājam āmantrayate / iti hi mahārāja atra te	tatra BagavAn virUXakam mahA rAjam Amantrayate / iti hi mahA rAja atra te
   dṛṣṭe dṛṣṭamātraṃ bhavatu śrute mate vijñāte vijñātamātraṃ / asmiṃ khalu	dRzwe dRzwa mAtram Bavatu Srute mate vijQAte vijQAta mAtram / asmim Kalu
   dharmaparyāye bhāṣyamāṇe virūḍhakasya mahārājasya virajo vigatamalaṃ	Darma paryAye BAzyamANe virUXakasya mahA rAjasya virajaH vigata m alam
   dharmeṣu dharmacakṣur utpannam anekeṣāṃ ca tatsabhāgānāṃ	Darmezu Darma cakzuH utpannam anekezAm ca tad saBAgAnAm
   kumbhāṇḍaśatasahasrāṇāṃ //	kumBANxa Sata sahasrANAm //
   (MSV I 259)	(MSV I 259)
   tatra bhagavāṃ virūpākṣaṃ mahārājam āmantrayate / iti hi mahārāja ine mene	tatra BagavAm virUpAkzam mahA rAjam Amantrayate / iti hi mahA rAja ine mene
   dapphe daḍapphe eṣa evānto duḥkhasyeti / asmiṃ khalu dharmaparyāye	dapPe daxa pPe ezaH eva antaH duHKasya iti / asmim Kalu Darma paryAye
   bhāṣyamāṇe virūpākṣasya mahārājasya virajo vigatamalaṃ dharmeṣu	BAzyamANe virUpAkzasya mahA rAjasya virajaH vigata malam Darmezu
   dharmacakṣur utpannam anekeṣāṃ ca tatsabhāgānāṃ nāgaśatasahasrāṇāṃ /	Darma cakzuH utpannam anekezAm ca tad sa BAgAnAm nAga Sata sahasrANAm /
   tatra bhagavān vaiśravaṇaṃ mahārājam āmantrayate | atra te mahārāja māśā	tatra BagavAn vESravaNam mahA rAjam Amantrayate | atra te mahA rAja mASA
   tuṣā saṃśāmā (Bhaiṣ v(Ch/W) 122) sarvatra virāḍi eṣa evānto duḥkhasyeti /	tuzA saMSAmAH (BhEz v(Sh/W) 122) sarvatra virAxi ezaH eva antaH duHKasya iti /
   asmiṃ khalu dharmaparyāye bhāṣyamāṇe vaiśravaṇasya mahārājasya virajo	asmim Kalu Darma paryAye BAzyamANe vESravaNasya mahA rAjasya virajaH 
   vigatamalaṃ dharmeṣu dharmacakṣur utpannam anekeṣāṃ (fol. 233r1 = GBM	vigata malam Darmezu Darma cakzuH utpannam anekezAm (fol. 233r1  GBm
   6.778) ca tatsabhāgānāṃ yakṣaśatasahasrāṇāṃ /	6.778) ca tad sa BAgAnAm yakza Sata sahasrANAm /
   bhagavān saṃlakṣayati / etarhi me parinirvāṇakālasamayaḥ pratyupasthitaḥ /	BagavAn saMlakzayati / etarhi me parinirvANa kAla samayaH pratyupasTitaH /
   kasyopanyasya śāsanaṃ parinirvāsyāmi / saced devānāṃ devāḥ pramattā	kasya upanyasya SAsanam parinirvAsyAmi / saced devAnAm devAH pramattA
   ratibahulā na cirasthitikaṃ bhaviṣyati / atha manuṣyāṇām alpāyuṣo manuṣyāḥ	rati bahulA na cira sTitikam Bavizyati / aTa manuzyANAm alpa AyuzaH manuzyAH
   evam eva na cirasthitikam eva / yanv ahaṃ devānāṃ ca manuṣyāṇāṃ ca	evam eva na cira sTitikam eva / yanu aham devAnAm ca manuzyANAm ca
   kāśyapasya ca bhikṣoḥ śāsanam upanyasya parinirvāyeyam iti viditvā	kASyapasya ca BikzoH SAsanam upanyasya parinirvAya iyam iti viditvA
   dhṛtarāṣṭraṃ mahārājam āmantrayate | mama te mahārāja parinirvṛtasya	DRtarAzwram mahA rAjam Amantrayate | mama te mahA rAja parinirvRtasya
   pūrvasyāṃ diśi śāsane ārakṣā karaṇīyeti / virūḍhakaṃ mahārājam āmantrayate	pUrvasyAm diSi SAsane ArakzA karaNIyA iti / virUXakam mahA rAjam Amantrayate
   / tvayāpi mahārāja dakṣiṇasyāṃ diśi ārakṣā karaṇīyeti / virūpākṣaṃ	/ tvayA api mahA rAja dakziNasyAm diSi ArakzA karaNIyA iti / virUpAkzam
   mahārājam āmantrayate | tvayāpi mahārāja paścimasyāṃ diśi ārakṣā	mahA rAjam Amantrayate | tvayA api mahA rAja paScimasyAm diSi ArakzA
   karaṇīyeti / (MSV I 260) vaiśravaṇaṃ mahārājam āmantrayate / tvayāpi	karaNIyA iti / (MSV I 260) vESravaNam mahA rAjam Amantrayate / tvayA api
   mahārāja uttarasyāṃ diśi ārakṣā karaṇīyeti // tataś catvāro mahārājānaḥ	mahA rAja uttarasyAm diSi ArakzA karaNIyA iti // tatas catvAraH mahA rAjAnaH
   pramuditamanaso bhagavantam idam avocan* / evaṃ bhavatu bhagavan	pramudita manasaH Bagavantam idam avocan* / evam Bavatu Bagavan
   yathājñāpayati bhagavan* / vayam ārakṣāṃ kariṣyāma iti viditvā bhagavataḥ	yaTA AjQApayati Bagavan* / vayam ArakzAm karizyAmaH iti viditvA BagavataH
   pādau śirasā vanditvā dṛṣṭasatyā bhagavato 'ntikāt prakrāntāḥ / bhagavatā	pAdO SirasA vanditvA dRzwa satyAH BagavataH antikAt prakrAntAH / BagavatA
   āyuṣmate mahākāśyapāya kṛtsnaṃ śāsanam upanyastaṃ / āyuṣmāṃś cānando	Ayuzmate mahAkASyapAya kRtsnam SAsanam upanyastam / AyuzmAn ca AnandaH 
   'bhihitaḥ / tvayāpy ānanda śāsanakāryakaraṇe autsukyam āpattavyam iti | //	aBihitaH / tvayA api Ananda SAsana kArya karaNe Otsukyam Apattavyam iti | //
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya jAtAH sarva saMSaya= CettAram budDam Bagavantam
   papracchuḥ / kiṃ bhadanta caturbhir mahārājaiḥ karma kṛtaṃ yasya karmaṇo	papracCuH / kim Badanta caturBiH mahA rAjEH karma kRtam yasya karmaNaH 
   vipākena catvāro mahārājāḥ saṃvṛttāḥ / bhagavataś cāntike satyadarśanaṃ	vipAkena catvAraH mahA rAjAH saMvRttAH / BagavataH ca antike satya darSanam
   kṛtam iti | bhagavān āha | ebhir eva bhikṣavaḥ pūrvam anyāsu jātiṣu	kRtam iti | BagavAn Aha | eBiH eva BikzavaH pUrvam anyAsu jAtizu
   karmāṇi kṛtāny upacitāni labdhasaṃbhārāṇi pūrvavat phalanti khalu dehinām*	karmANi kRtAni upacitAni labDa saMBArANi pUrvavat Palanti Kalu dehinAm*
   bhūtapūrvaṃ bhikṣavo 'sminn eva bhadrake kalpe viṃśativarṣasahasrāyuṣi	BUta pUrvam BikzavaH asmin eva Badrake kalpe viMSati varza sahasra Ayuzi
   prajāyāṃ kāśyapo nāma śāstā loka udapādi | pūrvavad yāvac chāstā	prajAyAm kASyapaH nAma SAstA loke udapAdi | pUrvavat yAvat SAstA
   devamanuṣyāṇāṃ buddho bhagavān* / tena khalu samayena mahāsamudre dvau	deva manuzyANAm budDaH BagavAn* / tena Kalu samayena mahA samudre dvO
   nāgau prativasataḥ śvāso mahāśvāsaś ca | kūṭaśālmalyām api dvau suparṇināv	nAgO prativasataH SvAsaH mahA ASvAsaH ca | kUwa SAlmalyAm api dvO suparNinOv
   aṭṭeśvaraś cūḍeśvaraś ca | yadā śvāsamahāśvāsau tābhyām abhidrūyete tadā	awweSvaraH cUxeSvaraH ca | yadA SvAsa mahA SvAsO tAByAm aBidrUyete tadA
   pātālaṃ praviśato / yāvad apareṇa samayena śvāsamahāśvāsābhyāṃ kāśyapasya	pAtAlam praviSataH / yAvat apareNa samayena SvAsa mahA SvAsAByAm kASyapasya
   samyaksaṃbuddhasyāntikāc charaṇagamanaśikṣāpadāni gṛhītāni / tau ca	samyaksaMbudDasya antikAt SaraNa gamana SikzA padAni gRhItAni / tO ca
   suparṇināv (MSV I 261) abhidravitum ārabdhau na śaknuvataḥ /	suparNinO (MSV I 261) aBidravitum ArabDO na SaknuvataH /
   sumerupratyāhatam iva pavanasalilavegau pratinivṛtya kathayato / bhavantau	sumeru pratyAhatam iva pavana salila vegO pratinivRtya kaTayataH / BavantO
   pūrvam asmābhir yuvām abhidrutau (Bhaiṣ v(Ch/W 123) pātālaṃ praviśata /	pUrvam asmABiH yuvAm aBidrutO (BhEz v(Sh/W 123) pAtAlam praviSata /
   idānīṃ ko hetur yena vayaṃ sumerupratyāhatāv iva pavanasalilavegau yuvām	idAnIm kaH hetuH yena vayam sumeru pratyAhatO iva pavana salila vegO yuvAm
   āsādya pratinivṛttāv iti | śvāsamahāśvāsau kathayato / (fol. 233v1 = GBM	AsAdya pratinivRttO iti | SvAsa mahA SvAsO kaTayataH / (fol. 233v1  GBm
   6.779) 'smābhiḥ kāśyapasya samyaksaṃbuddhasyāntikāc	6.779) asmABiH kASyapasya samyaksaMbudDasya antikAc
   charaṇagamanaśikṣāpadāni gṛhītānīti / tau kathayato / yady evaṃ vayam api	CaraNa gamana SikzA padAni gRhItAni iti / tO kaTayataH / yadi evam vayam api
   grahīṣyāma iti / tau tābhyāṃ sārdhaṃ kāśyapasya samyaksaṃbuddhasyāntike	grahIzyAmaH iti / tO tAByAm sArDam kASyapasya samyaksaMbudDasya antike
   saṃprasthitau / tau ca saṃprāptau / catvāraś ca lokapālāḥ kāśyapasya	saMprasTitO / tO ca saMprAptO / catvAraH ca lokapAlAH kASyapasya
   samyaksaṃbuddhasyāntikād dharmaṃ śrutvā saṃprasthitāḥ / te tābhyāṃ dṛṣṭās	samyaksaMbudDasya antikAt Darmam SrutvA saMprasTitAH / te tAByAm dRzwA as
   / tau suparṇinau śvāsamahāśvāsau nāgau pṛcchataḥ / ka ete gacchantīti |	/ tO suparNinO SvAsa mahA SvAsO nAgO pRcCataH / kaH ete gacCanti iti |
   tābhyāṃ vistareṇa kathitam* / suparṇinau kathayataḥ / yady evaṃ vayam api	tAByAm vistareNa kaTitam* / suparNinO kaTayataH / yadi evam vayam api
   kāśyapasya samyaksaṃbuddhasyāntikāc charaṇagamanaśikṣāpadāni saṃgṛhītvā	kASyapasya samyaksaMbudDasya antikAt SaraNa gamana SikzA padAni saMgRhItvA
   praṇidhānaṃ kurma iti / tābhyāṃ kāśyapasya samyaksaṃbuddhasyāntikāc	praNiDAnam kurmaH iti / tAByAm kASyapasya samyaksaMbudDasya antikAc
   charaṇagamanaśikṣāpadāni gṛhītāni / śvāsamahāśvāsābhyāṃ pūrvam eva	CaraNa gamana SikzA padAni gRhItAni / SvAsa mahA SvAsAByAm pUrvam eva
   gṛhītāni / tataḥ saṃbhūya kāśyapasya samyaksaṃbuddhasya pādayor nipatya	gRhItAni / tatas saMBUya kASyapasya samyaksaMbudDasya pAdayoH nipatya
   praṇidhānaṃ kartum ārabdhāḥ / yathaite catvāro lokapālāḥ kāśyapasya	praNiDAnam kartum ArabDAH / yaTA ete catvAraH lokapAlAH kASyapasya
   samyaksaṃbuddhasyāntikād dharmaṃ śrutvā dṛṣṭasatyāḥ svabhavanaṃ	samyaksaMbudDasya antikAt Darmam SrutvA dRzwa satyAH sva Bavanam
   saṃprasthitāḥ : evaṃ vayam apy anena kuśalamūlena catvāro lokapālāḥ syāma	saMprasTitAH : evam vayam api anena kuSala mUlena catvAraH lokapAlAH syAma
   : yaś cāsau bhagavatā kāśyapena samyaksaṃbuddhena uttaro māṇavo vyākṛtaḥ	: yaH ca asO BagavatA kASyapena samyaksaMbudDena uttaraH mANavaH vyAkRtaH
   bhaviṣyasi tvaṃ māṇava varṣaśatāyuṣi prajāyāṃ śākyamunir nāma	Bavizyasi tvam mANava varza Sata Ayuzi prajAyAm SAkyamuniH nAma
   samyaksaṃbuddha iti | (MSV I 262) so 'py asmākaṃ bhagavān eva mandākinyāḥ	samyaksaMbudDaH iti | (MSV I 262) saH api asmAkam BagavAn eva mandAkinyAH
   puṣkariṇyās tīre dharmaṃ deśayed / vayaṃ ca taṃ dharmaṃ śrutvā dṛṣṭasatyā	puzkariNyAH tIre Darmam deSayet / vayam ca tam Darmam SrutvA dRzwa satyA
   evam eva svabhavanaṃ gacchāma iti |	evam eva sva Bavanam gacCAmaH iti |
   kiṃ manyadhve bhikṣavo ye te catvāro nāgasuparṇinaḥ eta eva te catvāro	kim manyaDve BikzavaH ye te catvAraH nAga suparNinaH ete eva te catvAraH 
   lokapālāḥ / yo 'sau śvāsa eṣa evāsau dhṛṭarāṣṭras tena kālena tena	lokapAlAH / yaH asO SvAsaH ezaH eva asO DRwarAzwraH tena kAlena tena
   samayena / mahāśvāso virūḍhakaḥ aṭṭeśvaro 'sau virūpākṣaḥ cūḍeśvaro 'sau	samayena / mahA ASvAsaH virUXakaH awweSvaraH asO virUpAkzaH cUxeSvaraH asO
   vaiśravaṇaḥ tena kālena tena samayena | yad ebhiḥ kāśyapasya	vESravaNaH tena kAlena tena samayena | yat eBiH kASyapasya
   samyaksaṃbuddhasyāntikāc charaṇagamanaśikṣāpadāni pratigṛhya praṇidhānaṃ	samyaksaMbudDasya antikAt SaraNa gamana SikzA padAni pratigRhya praNiDAnam
   kṛtaṃ tasya karmaṇo vipākena catvāro lokapālā jātā mamāntike satyadarśanaṃ	kRtam tasya karmaNaH vipAkena catvAraH lokapAlAH jAtA mama antike satya darSanam
   kṛtvā svabhavanaṃ gatāḥ /	kRtvA sva Bavanam gatAH /
   tāṃ ca dharmadeśanāṃ śrutvā kaineya ṛṣiḥ paraṃ vismayam upagato bhagavati	tAm ca Darma deSanAm SrutvA kEneyaH RziH param vismayam upagataH Bagavati
   cābhiprasannaḥ / tato 'sya bhagavatā āśayānuśayaṃ dhātuṃ prakṛtiṃ ca	ca aBiprasannaH / tatas asya BagavatA ASaya anuSayam DAtum prakRtim ca
   jñātvā tādṛśī caturāryasatyasaṃprativedhikī dharmadeśanā kṛtā / yāṃ śrutvā	jQAtvA tAdRSI catur Arya satya saMprativeDikI Darma deSanA kRtA / yAm SrutvA
   kaineyarṣiṇā sahasatyābhisamayād anāgāmiphalaṃ sākṣātkṛtaṃ / tato 'sāv	kEneya RziNA saha satyA aBisamayAt anAgAmi Palam sAkzAtkRtam / tatas asO= 
   avetyaprasādasamanvāgato 'ṣṭau pānāny ādāya cocapānaṃ mocapānaṃ kolapānam	avetya prasAda samanvAgataH azwO pAnAni AdAya coca pAnam moca pAnam kola pAnam
   aśvatthapānam udumbarapānaṃ paruṣakapānaṃ kharjūrapānaṃ mṛdvīkāpānaṃ ca	aSvatTa pAnam udumbara pAnam paruzaka pAnam KarjUra pAnam mRdvIkA pAnam ca
   yena bhagavāṃs tenopasaṃkrānta / upasaṃkramya bhagavatam idam avocat* /	yena BagavAn tena upasaMkrAnta / upasaMkramya Bagavatam idam avocat* /
   imāni bhadanta aṣṭau pānāni pūrvakair ṛṣibhiḥ stutāni varṇitāni / tāni	imAni Badanta azwO pAnAni pUrvakEH RziBiH stutAni varNitAni / tAni
   bhagavān pratigṛhṇātv (Bhaiṣ v(Ch/W) 124) anukampām upādāya | pratigṛhṇāti	BagavAn pratigRhNAtu (BhEz v(Sh/W) 124) anukampAm upAdAya | pratigRhNAti
   bhagavān kaineyasya ṛṣer antikād aṣṭau pānāni anukampām upādāya /	BagavAn kEneyasya RzeH antikAt azwO pAnAni anukampAm upAdAya /
   pratigṛhya bhikṣūn āmantrayate sma / itīmāni bhikṣavo 'ṣṭau pānāni kāle	pratigRhya BikzUn Amantrayate sma / iti imAni BikzavaH azwO pAnAni kAle
   (fol. 234r1 = GBM 6.780) pratigrāhitāni akāle marditāni (MSV I 263) akāle	(fol. 234r1  GBm 6.780) pratigrAhitAni akAle marditAni (MSV I 263) akAle
   parisrutāni akāle 'dhiṣṭhitāni paścādbhaktena paribhoktavyāni // itīmāni	parisrutAni akAle aDizWitAni paScAt Baktena pariBoktavyAni // iti imAni
   aṣṭau pānāni kāle pratigrāhitāni kāle marditāni // kāle parisrutāni akāle	azwO pAnAni kAle pratigrAhitAni kAle marditAni // kAle parisrutAni akAle
   adhiṣṭhitāni na paribhoktavyāni | // itīmāni aṣṭau pānāni kāle	aDizWitAni na pariBoktavyAni | // iti imAni azwO pAnAni kAle
   pratigrāhitāni kāle marditāni kāle parisrutāni akāle adhiṣṭhitāni na	pratigrAhitAni kAle marditAni kAle parisrutAni akAle aDizWitAni na
   paribhoktavyāni // itīmāni aṣṭau pānāni akāle marditāni akāle parisrutāni	pariBoktavyAni // iti imAni azwO pAnAni akAle marditAni akAle parisrutAni
   paścādbhaktena paribhoktavyāni / rātryāś ca prathame yāmātikrāntā na	paScAt Baktena pariBoktavyAni / rAtryAH ca praTame yAma atikrAntA na
   paribhoktavyāni // {Dutt: As the Tibetan translation does not agree with	pariBoktavyAni // {Dutt: As Te Tibetan tran slation doeH na ut agree wiT
   the Sanskrit textr, we reconstruct here the Sanskrit from Tibetant:	Te Sanskrit textr, we reca unstrucd here Te Sanskrit from Tibetant:
   itīmāni bhikṣavo 'ṣṭau pānāni kāle pratigrāhitāni kāle marditāni kāle	iti imAni BikzavaH azwO pAnAni kAle pratigrAhitAni kAle marditAni kAle
   adhiṣṭhitāni kāle paribhoktavyāni / akāle na paribhoktavyāni / rātryāś ca	aDizWitAni kAle pariBoktavyAni / akAle na pariBoktavyAni / rAtryAH ca
   prathame yāme 'tikrānte na paribhoktavyāni / itīmāni aṣṭau pānāni kāle	praTame yAme atikrAnte na pariBoktavyAni / iti imAni azwO pAnAni kAle
   pratigrāhitāni akāle marditāni akāle parisrutāni akāle adhiṣṭhitāni na	pratigrAhitAni akAle marditAni akAle parisrutAni akAle aDizWitAni na
   paribhoktavyāni / itīmāni aṣṭau pānāni kāle pratigrāhitāni kāle marditāni	pariBoktavyAni / iti imAni azwO pAnAni kAle pratigrAhitAni kAle marditAni
   akāle parisrutāni akāle adhiṣṭhitāni na paribhoktavyāni / itīmāni aṣṭau	akAle parisrutAni akAle aDizWitAni na pariBoktavyAni / iti imAni azwO
   pānāni akāle pratigrāhitāni akāle marditāni akāle parisrutāni	pAnAni akAle pratigrAhitAni akAle marditAni akAle parisrutAni
   paścādbhaktena na paribhoktavyāni / rātryāś ca yāme 'tikrānte na	paScAt Baktena na pariBoktavyAni / rAtryAH ca yAme atikrAnte na
   paribhoktavyāni /}	pariBoktavyAni /}
   atha kaineya ṛṣir utthāyāsanād ekāṃsam uttarāsaṃgaṃ kṛtvā yena bhagavāṃs	aTa kEneyaH RziH utTAya AsanAt eka aMsam uttarAsaMgam kRtvA yena BagavAn= 
   tenāṃjaliṃ praṇamayya bhagavantam idam avocat* / adhivāsayatu me bhagavān*	tena aMjalim praNamayya Bagavantam idam avocat* / aDivAsayatu me BagavAn *
