   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.06.036/1 nāhaṃ na yūyaṃ yadṛtāṃ gatiṃ vidur na vāmadevaḥ kim	Bhu-_02.06.036/1 na-aham na yUyam yat-RtAm gatim viduH na vAmadevaH kim
   utāpare surāḥ	uta-apare surAH
   BhP_02.06.036/3 tanmāyayā mohitabuddhayastvidaṃ vinirmitaṃ cātmasamaṃ	Bhu-_02.06.036/3 tad-mAyayA mohita-budDayaH-tu-idam vinirmitam ca-Atma-samam
   vicakṣmahe	vicakzmahe
   BhP_02.06.037/1 yasyāvatārakarmāṇi gāyanti hyasmadādayaḥ	Bhu-_02.06.037/1 yasya-avatAra-karmANi gAyanti hi-asmad-AdayaH
   BhP_02.06.037/3 na yaṃ vidanti tattvena tasmai bhagavate namaḥ	Bhu-_02.06.037/3 na yam vidanti tattvena tasmE Bagavate namaH
   BhP_02.06.038/1 sa eṣa ādyaḥ puruṣaḥ kalpe kalpe sṛjatyajaḥ	Bhu-_02.06.038/1 saH ezaH AdyaH puruzaH kalpe kalpe sRjati-ajaH
   BhP_02.06.038/3 ātmātmanyātmanātmānaṃ sa saṃyacchati pāti ca	Bhu-_02.06.038/3 Atma-Atmani-AtmanA-AtmAnam sa saMyacCati pAti ca
   BhP_02.06.039/1 viśuddhaṃ kevalaṃ jñānaṃ pratyak samyag avasthitam	Bhu-_02.06.039/1 viSudDam kevalam jQAnam pratyak samyak avasTitam
   BhP_02.06.039/3 satyaṃ pūrṇam anādyantaṃ nirguṇaṃ nityam advayam	Bhu-_02.06.039/3 satyam pUrNam anAdyantam nirguNam nityam advayam
   BhP_02.06.040/1 ṛṣe vidanti munayaḥ praśāntātmendriyāśayāḥ	Bhu-_02.06.040/1 Rze vidanti munayaH praSAnta-Atma-indriya-ASayAH
   BhP_02.06.040/3 yadā tadevāsattarkaistirodhīyeta viplutam	Bhu-_02.06.040/3 yadA tat-eva-asat-tarkEH-tiroDIyeta viplutam
   BhP_02.06.041/1 ādyo 'vatāraḥ puruṣaḥ parasya kālaḥ svabhāvaḥ	Bhu-_02.06.041/1 AdyaH avatAraH puruzaH parasya kAlaH svaBAvaH
   sadasanmanaśca	sat-asat-manaH-ca
   BhP_02.06.041/3 dravyaṃ vikāro guṇa indriyāṇi virāṭ svarāṭ sthāsnu cariṣṇu	Bhu-_02.06.041/3 dravyam vikAraH guNaH indriyANi virAj svarAj sTAsnu carizNu
   bhūmnaḥ	BUmnaH
   BhP_02.06.042/1 ahaṃ bhavo yajña ime prajeśā dakṣādayo ye bhavadādayaśca	Bhu-_02.06.042/1 aham BavaH yajQaH ime prajA-ISAH dakza-AdayaH ye Bavat-AdayaH-ca
   BhP_02.06.042/3 svarlokapālāḥ khagalokapālā nṛlokapālāstalalokapālāḥ	Bhu-_02.06.042/3 svar-lokapAlAH Kaga-lokapAlAH nR-lokapAlAH-tala-lokapAlAH
   BhP_02.06.043/1 gandharvavidyādharacāraṇeśā ye yakṣarakṣoraganāganāthāḥ	Bhu-_02.06.043/1 ganDarva-vidyADara-cAraNa-ISAH ye yakza-rakza-uraga-nAga-nATAH
   BhP_02.06.043/3 ye vā ṛṣīṇām ṛṣabhāḥ pitṇāṃ	Bhu-_02.06.043/3 ye vE RzINAm RzaBAH pitNAm
   daityendrasiddheśvaradānavendrāḥ	dEtya-indra-sidDa-ISvara-dAnava-indrAH
   BhP_02.06.043/5 anye ca ye pretapiśācabhūta kūṣmāṇḍayādomṛgapakṣyadhīśāḥ	Bhu-_02.06.043/5 anye ca ye preta-piSAca-BUta kUzmANxayAdaH-mRga-pakzi-aDISAH
   BhP_02.06.044/1 yat kiñca loke bhagavan mahasvad ojaḥsahasvadbalavat	BhP_02.06.044/1 yat kiQca loke Bagavat mahasvat ojaH-saha-svat-balavat-
   kṣamāvat	kzamA-vat-
   BhP_02.06.044/3 śrīhrīvibhūtyātmavadadbhutārṇaṃ tattvaṃ paraṃ	Bhu-_02.06.044/3 SrI-hrI-viBUti-Atma-vat-adButa-arNam tattvam param
   rūpavadasvarūpam	rUpa-vat-asvarUpam
   BhP_02.06.045/1 prādhānyato yān ṛṣa āmananti līlāvatārān puruṣasya bhūmnaḥ	Bhu-_02.06.045/1 prADAnyataH yAn RzaH Amananti lIlAvatArAn puruzasya BUmnaH
   BhP_02.06.045/3 āpīyatāṃ karṇakaṣāyaśoṣān anukramiṣye ta imān supeśān	Bhu-_02.06.045/3 ApIyatAm karNa-kazAya-SozAn anukramizye te imAn supeSAn
   BhP_02.07.001/0 brahmovāca	Bhu-_02.07.001/0 brahmA-uvAca
   BhP_02.07.001/1 yatrodyataḥ kṣititaloddharaṇāya bibhrat	Bhu-_02.07.001/1 yatra-udyataH kziti-tala-udDaraNAya biBrat-
   BhP_02.07.001/2 krauḍīṃ tanuṃ sakalayajñamayīm anantaḥ	Bhu-_02.07.001/2 krOxIm tanum sakala-yajQa-mayIm anantaH
   BhP_02.07.001/3 antarmahārṇava upāgatam ādidaityaṃ	Bhu-_02.07.001/3 antar-mahA-arNavaH upAgatam AdidEtyam
   BhP_02.07.001/4 taṃ daṃṣṭrayādrim iva vajradharo dadāra	Bhu-_02.07.001/4 tam daMzwrayA-adrim iva vajraDaraH dadAra
   BhP_02.07.002/1 jāto rucerajanayat suyamān suyajña	Bhu-_02.07.002/1 jAtaH ruceH-ajanayat suyamAn su-yajQa
   BhP_02.07.002/2 ākūtisūnuramarān atha dakṣiṇāyām	Bhu-_02.07.002/2 AkUti-sUnuH-amarAn aTa dakziNAyAm
   BhP_02.07.002/3 lokatrayasya mahatīm aharadyadārtiṃ	Bhu-_02.07.002/3 lokatrayasya mahatIm aharat-yadA-Artim
   BhP_02.07.002/4 svāyambhuvena manunā harirityanūktaḥ	Bhu-_02.07.002/4 svAyamBuvena manunA hariH-iti-anUktaH
   BhP_02.07.003/1 jajñe ca kardamagṛhe dvija devahūtyāṃ	Bhu-_02.07.003/1 jajQe ca kardama-gRhe dvija deva-hUtyAm
   BhP_02.07.003/2 strībhiḥ samaṃ navabhirātmagatiṃ svamātre	Bhu-_02.07.003/2 strIBiH samam navaBiH-Atma-gatim sva-mAtre
   BhP_02.07.003/3 ūce yayātmaśamalaṃ guṇasaṅgapaṅkam	Bhu-_02.07.003/3 Uce yayA-Atma-Samalam guNa-saFga-paFkam
   BhP_02.07.003/4 asmin vidhūya kapilasya gatiṃ prapede	Bhu-_02.07.003/4 asmin viDUya kapilasya gatim prapede
   BhP_02.07.004/1 atrerapatyam abhikāṅkṣata āha tuṣṭo	Bhu-_02.07.004/1 atreH-apatyam aBikAFkzate Aha tuzwaH-
   BhP_02.07.004/2 datto mayāham iti yadbhagavān sa dattaḥ	Bhu-_02.07.004/2 dattaH mayA-aham iti yat-BagavAn sa dattaH
   BhP_02.07.004/3 yatpādapaṅkajaparāgapavitradehā	Bhu-_02.07.004/3 yad-pAda-paFkaja-parAga-pavitra-dehA
   BhP_02.07.004/4 yogarddhim āpurubhayīṃ yaduhaihayādyāḥ	Bhu-_02.07.004/4 yoga-RdDim ApuH-uBayIm yadu-hEhaya-AdyAH
   BhP_02.07.005/1 taptaṃ tapo vividhalokasisṛkṣayā me	Bhu-_02.07.005/1 taptam tapaH viviDa-loka-sisRkzayA me
   BhP_02.07.005/2 ādau sanāt svatapasaḥ sa catuḥsano 'bhūt	Bhu-_02.07.005/2 AdO sanAt sva-tapasaH sa catuHsanaH aBUt-
   BhP_02.07.005/3 prākkalpasamplavavinaṣṭam ihātmatattvaṃ	Bhu-_02.07.005/3 prAkkalpa-samplava-vinazwam iha-Atma-tattvam
   BhP_02.07.005/4 samyag jagāda munayo yadacakṣatātman	Bhu-_02.07.005/4 samyak jagAda munayaH yat-acakzata-Atman
   BhP_02.07.006/1 dharmasya dakṣaduhitaryajaniṣṭa mūrtyāṃ	Bhu-_02.07.006/1 Darmasya dakza-duhitari-ajanizwa mUrtyAm
   BhP_02.07.006/2 nārāyaṇo nara iti svatapaḥprabhāvaḥ	Bhu-_02.07.006/2 nArAyaNaH naraH iti sva-tapaH-praBAvaH
   BhP_02.07.006/3 dṛṣṭvātmano bhagavato niyamāvalopaṃ	Bhu-_02.07.006/3 dRzwvA-AtmanaH BagavataH niyama-avalopam
   BhP_02.07.006/4 devyastvanaṅgapṛtanā ghaṭituṃ na śekuḥ	Bhu-_02.07.006/4 devyaH-tu-anaFga-pRtanAH Gawitum na SekuH
   BhP_02.07.007/1 kāmaṃ dahanti kṛtino nanu roṣadṛṣṭyā	Bhu-_02.07.007/1 kAmam dahanti kRtinaH nanu roza-dRzwyA
   BhP_02.07.007/2 roṣaṃ dahantam uta te na dahantyasahyam	Bhu-_02.07.007/2 rozam dahantam uta te na dahanti-asahyam
   BhP_02.07.007/3 so 'yaṃ yadantaram alaṃ praviśan bibheti	Bhu-_02.07.007/3 saH ayam yat-antaram alam praviSan biBeti
   BhP_02.07.007/4 kāmaḥ kathaṃ nu punarasya manaḥ śrayeta	Bhu-_02.07.007/4 kAmaH kaTam nu punar-asya manaH Srayeta
   BhP_02.07.008/1 viddhaḥ sapatnyuditapatribhiranti rājño	Bhu-_02.07.008/1 vidDaH sapatnI-udita-patriBiH-anti rAjQaH-
   BhP_02.07.008/2 bālo 'pi sann upagatastapase vanāni	Bhu-_02.07.008/2 bAlaH api san upagataH-tapase vanAni
   BhP_02.07.008/3 tasmā adāddhruvagatiṃ gṛṇate prasanno	Bhu-_02.07.008/3 tasmE adAt-Druva-gatim gRNate prasannaH-
   BhP_02.07.008/4 divyāḥ stuvanti munayo yaduparyadhastāt	Bhu-_02.07.008/4 divyAH stuvanti munayaH yad-upari-aDastAt-
   BhP_02.07.009/1 yadvenam utpathagataṃ dvijavākyavajra	Bhu-_02.07.009/1 yat-venam utpaTa-gatam dvija-vAkya-vajra
   BhP_02.07.009/2 niṣpluṣṭapauruṣabhagaṃ niraye patantam	Bhu-_02.07.009/2 nizpluzwa-pOruza-Bagam niraye patantam
   BhP_02.07.009/3 trātvārthito jagati putrapadaṃ ca lebhe	Bhu-_02.07.009/3 trAtvA-arTitaH jagati putra-padam ca leBe
   BhP_02.07.009/4 dugdhā vasūni vasudhā sakalāni yena	Bhu-_02.07.009/4 dugDA vasUni vasuDA sakalAni yena
   BhP_02.07.010/1 nābherasāvṛṣabha āsa sudevisūnur	Bhu-_02.07.010/1 nABeH-asO=-RzaBaH Asa su-devi-sUnuH-
   BhP_02.07.010/2 yo vai cacāra samadṛg jaḍayogacaryām	Bhu-_02.07.010/2 yaH vE cacAra samadRS jaxa-yoga-caryAm
   BhP_02.07.010/3 yat pāramahaṃsyam ṛṣayaḥ padam āmananti	BhP-_02.07.010/3 yat pAramahaMsyam RzayaH padam Amananti
   BhP_02.07.010/4 svasthaḥ praśāntakaraṇaḥ parimuktasaṅgaḥ	Bhu-_02.07.010/4 svasTaH praSAnta-karaNaH parimukta-saFgaH
   BhP_02.07.011/1 satre mamāsa bhagavān hayaśīraṣātho	Bhu-_02.07.011/1 satre mama-Asa BagavAn haya-SIrazATaH-
   BhP_02.07.011/2 sākṣāt sa yajñapuruṣastapanīyavarṇaḥ	Bhu-_02.07.011/2 sAkzAt sa yajQapuruzaH-tapanIya-varNaH
   BhP_02.07.011/3 chandomayo makhamayo 'khiladevatātmā	Bhu-_02.07.011/3 CandaH-mayaH maKa-mayaH aKila-devatA-AtmA
   BhP_02.07.011/4 vāco babhūvuruśatīḥ śvasato 'sya nastaḥ	Bhu-_02.07.011/4 vAcaH baBUvuH-uSatIH SvasataH asya nastas-
   BhP_02.07.012/1 matsyo yugāntasamaye manunopalabdhaḥ	Bhu-_02.07.012/1 matsyaH yugAnta-samaye manunA-upalabDaH
   BhP_02.07.012/2 kṣoṇīmayo nikhilajīvanikāyaketaḥ	Bhu-_02.07.012/2 kzoNI-mayaH niKila-jIva-nikAyaketaH
   BhP_02.07.012/3 visraṃsitān urubhaye salile mukhān me	Bhu-_02.07.012/3 visraMsitAn uru-Baye salile muKAt me
   BhP_02.07.012/4 ādāya tatra vijahāra ha vedamārgān	Bhu-_02.07.012/4 AdAya tatra vijahAra ha veda-mArgAn
   BhP_02.07.013/1 kṣīrodadhāvamaradānavayūthapānām	Bhu-_02.07.013/1 kzIrodaDO=-amara-dAnava-yUTapAnAm
   BhP_02.07.013/2 unmathnatām amṛtalabdhaya ādidevaḥ	Bhu-_02.07.013/2 unmaTnatAm amRta-labDaye AdidevaH
   BhP_02.07.013/3 pṛṣṭhena kacchapavapurvidadhāra gotraṃ	Bhu-_02.07.013/3 pRzWena kacCapa-vapuH-vidaDAra gotram
   BhP_02.07.013/4 nidrākṣaṇo 'driparivartakaṣāṇakaṇḍūḥ	Bhu-_02.07.013/4 nidrA-akzaNaH adri-parivarta-kazANa-kaNxUH
   BhP_02.07.014/1 traipiṣṭaporubhayahā sa nṛsiṃharūpaṃ	Bhu-_02.07.014/1 trEpizwapa-uru-Baya-hA sa nRsiMha-rUpam
   BhP_02.07.014/2 kṛtvā bhramadbhrukuṭidaṃṣṭrakarālavaktram	Bhu-_02.07.014/2 kRtvA Bramat-Brukuwi-daMzwra-karAla-vaktram
   BhP_02.07.014/3 daityendram āśu gadayābhipatantam ārād	Bhu-_02.07.014/3 dEtya-indram ASu gadayA-aBipatantam ArAd
   BhP_02.07.014/4 ūrau nipātya vidadāra nakhaiḥ sphurantam	Bhu-_02.07.014/4 UrO nipAtya vidadAra naKEH sPurantam
   BhP_02.07.015/1 antaḥsarasyurubalena pade gṛhīto	Bhu-_02.07.015/1 antaHsarasi-uru-balena pade gRhItaH-
   BhP_02.07.015/2 grāheṇa yūthapatirambujahasta ārtaḥ	Bhu-_02.07.015/2 grAheNa yUTa-patiH-ambuja-hastaH ArtaH
   BhP_02.07.015/3 āhedam ādipuruṣākhilalokanātha	Bhu-_02.07.015/3 Aha-idam Adipuruza-aKila-loka-nATa
   BhP_02.07.015/4 tīrthaśravaḥ śravaṇamaṅgalanāmadheya	Bhu-_02.07.015/4 tIrTa-SravaH SravaNa-maFgala-nAmaDeya
   BhP_02.07.016/1 śrutvā haristam araṇārthinam aprameyaś	Bhu-_02.07.016/1 SrutvA hariH-tam araNa-arTinam aprameyaS
   BhP_02.07.016/2 cakrāyudhaḥ patagarājabhujādhirūḍhaḥ	Bhu-_02.07.016/2 cakrAyuDaH pataga-rAja-Buja-aDirUXaH
   BhP_02.07.016/3 cakreṇa nakravadanaṃ vinipāṭya tasmād	Bhu-_02.07.016/3 cakreNa nakra-vadanam vinipAwya tasmAt-
   BhP_02.07.016/4 dhaste pragṛhya bhagavān kṛpayojjahāra	Bhu-_02.07.016/4 Daste pragRhya BagavAn kRpayA-ujjahAra
   BhP_02.07.017/1 jyāyān guṇairavarajo 'pyaditeḥ sutānāṃ	Bhu-_02.07.017/1 jyAyAn guNEH-avarajaH api-aditeH sutAnAm
   BhP_02.07.017/2 lokān vicakrama imān yadathādhiyajñaḥ	Bhu-_02.07.017/2 lokAn vicakrame imAn yat-aTa-aDiyajQaH
   BhP_02.07.017/3 kṣmāṃ vāmanena jagṛhe tripadacchalena	Bhu-_02.07.017/3 kzmAm vAmanena jagRhe tri-pada=-Calena
   BhP_02.07.017/4 yācñām ṛte pathi caran prabhubhirna cālyaḥ	Bhu-_02.07.017/4 yAcQAm Rte paTi caran praBuBiH-na cAlyaH
   BhP_02.07.018/1 nārtho balerayam urukramapādaśaucam	Bhu-_02.07.018/1 na-arTaH baleH-ayam urukrama-pAda-SOcam
   BhP_02.07.018/2 āpaḥ śikhādhṛtavato vibudhādhipatyam	Bhu-_02.07.018/2 ApaH SiKA-DRtavataH vibuDa-ADipatyam
   BhP_02.07.018/3 yo vai pratiśrutam ṛte na cikīrṣadanyad	Bhu-_02.07.018/3 yaH vE pratiSrutam Rte na cikIrzat-anyat-
   BhP_02.07.018/4 ātmānam aṅga manasā haraye 'bhimene	Bhu-_02.07.018/4 AtmAnam aFga manasA haraye aBimene
   BhP_02.07.019/1 tubhyaṃ ca nārada bhṛśaṃ bhagavān vivṛddha	Bhu-_02.07.019/1 tuByam ca nArada BRSam BagavAn vivRdDa
   BhP_02.07.019/2 bhāvena sādhu parituṣṭa uvāca yogam	Bhu-_02.07.019/2 BAvena sADu parituzwaH uvAca yogam
   BhP_02.07.019/3 jñānaṃ ca bhāgavatam ātmasatattvadīpaṃ	Bhu-_02.07.019/3 jQAnam ca BAgavatam Atma-sa-tattva-dIpam
   BhP_02.07.019/4 yadvāsudevaśaraṇā vidurañjasaiva	Bhu-_02.07.019/4 yat-vAsudeva-SaraNAH viduH-aQjasA-eva
   BhP_02.07.020/1 cakraṃ ca dikṣvavihataṃ daśasu svatejo	Bhu-_02.07.020/1 cakram ca dikzu-avihatam daSasu sva-tejaH-
   BhP_02.07.020/2 manvantareṣu manuvaṃśadharo bibharti	Bhu-_02.07.020/2 manvantarezu manu-vaMSa-DaraH biBarti
   BhP_02.07.020/3 duṣṭeṣu rājasu damaṃ vyadadhāt svakīrtiṃ	Bhu-_02.07.020/3 duzwezu rAjasu damam vyadaDAt sva-kIrtim
   BhP_02.07.020/4 satye tripṛṣṭha uśatīṃ prathayaṃścaritraiḥ	Bhu-_02.07.020/4 satye tri-pRzWaH uSatIm praTayan=-caritrEH
   BhP_02.07.021/1 dhanvantariśca bhagavān svayam eva kīrtir	Bhu-_02.07.021/1 DanvantariH-ca BagavAn svayam eva kIrtiH-
   BhP_02.07.021/2 nāmnā nṛṇāṃ pururujāṃ ruja āśu hanti	Bhu-_02.07.021/2 nAmnA nRNAm puru-rujAm rujaH ASu hanti
   BhP_02.07.021/3 yajñe ca bhāgam amṛtāyuravāvarundha	Bhu-_02.07.021/3 yajQe ca BAgam amRta-AyuH-avAvarunDa
   BhP_02.07.021/4 āyuṣyavedam anuśāstyavatīrya loke	Bhu-_02.07.021/4 Ayuzya-vedam anuSAsti-avatIrya loke
   BhP_02.07.022/1 kṣatraṃ kṣayāya vidhinopabhṛtaṃ mahātmā	Bhu-_02.07.022/1 kzatram kzayAya viDinA-upaBRtam mahAtmA
   BhP_02.07.022/2 brahmadhrug ujjhitapathaṃ narakārtilipsu	Bhu-_02.07.022/2 brahma-Druj ujJita-paTam naraka-Arti-lipsu
   BhP_02.07.022/3 uddhantyasāvavanikaṇṭakam ugravīryas	Bhu-_02.07.022/3 udDanti-asO=-avanikaNwakam ugra-vIrya-s
   BhP_02.07.022/4 triḥsaptakṛtva urudhāraparaśvadhena	Bhu-_02.07.022/4 tris-sapta-kRtvas uru-DAra-paraSvaDena
   BhP_02.07.023/1 asmatprasādasumukhaḥ kalayā kaleśa	Bhu-_02.07.023/1 asmad-prasAda-su-muKaH kalayA kaleSa
   BhP_02.07.023/2 ikṣvākuvaṃśa avatīrya gurornideśe	Bhu-_02.07.023/2 ikzvAku-vaMSa avatIrya guroH-nideSe
   BhP_02.07.023/3 tiṣṭhan vanaṃ sadayitānuja āviveśa	Bhu-_02.07.023/3 tizWan vanam sa-dayita-anujaH AviveSa
   BhP_02.07.023/4 yasmin virudhya daśakandhara ārtim ārcchat	Bhu-_02.07.023/4 yasmin viruDya daSa-kanDaraH Artim ArcCat-
   BhP_02.07.024/1 yasmā adādudadhirūḍhabhayāṅgavepo	Bhu-_02.07.024/1 yasmE adAt-udaDi-rUXa-Baya-aFga-vepaH-
   BhP_02.07.024/2 mārgaṃ sapadyaripuraṃ haravaddidhakṣoḥ	Bhu-_02.07.024/2 mArgam sapadi-ari-puram hara-vat-diDakzoH
   BhP_02.07.024/3 dūre suhṛnmathitaroṣasuśoṇadṛṣṭyā	Bhu-_02.07.024/3 dUre suhRd-maTita-roza-su-SoNa-dRzwyA
   BhP_02.07.024/4 tātapyamānamakaroraganakracakraḥ	Bhu-_02.07.024/4 tAtapyamAna-makara-uraga-nakra-cakraH
   BhP_02.07.025/1 vakṣaḥsthalasparśarugnamahendravāha	Bhu-_02.07.025/1 vakzaH-sTala-sparSa-rugna-mahA-indravAha
   BhP_02.07.025/2 dantairviḍambitakakubjuṣa ūḍhahāsam	Bhu-_02.07.025/2 dantEH-vixambita-kakubjuzaH UXa-hAsam
   BhP_02.07.025/3 sadyo 'subhiḥ saha vineṣyati dārahartur	Bhu-_02.07.025/3 sadyas asuBiH saha vinezyati dAra-hartuH-
   BhP_02.07.025/4 visphūrjitairdhanuṣa uccarato 'dhisainye	Bhu-_02.07.025/4 visPUrjitEH-DanuzaH uccarataH aDi-sEnye
   BhP_02.07.026/1 bhūmeḥ suretaravarūthavimarditāyāḥ	Bhu-_02.07.026/1 BUmeH suretara-varUTa-vimarditAyAH
   BhP_02.07.026/2 kleśavyayāya kalayā sitakṛṣṇakeśaḥ	Bhu-_02.07.026/2 kleSa-vyayAya kalayA sita-kRzNa-keSaH
   BhP_02.07.026/3 jātaḥ kariṣyati janānupalakṣyamārgaḥ	Bhu-_02.07.026/3 jAtaH karizyati janAn-upalakzya-mArgaH
   BhP_02.07.026/4 karmāṇi cātmamahimopanibandhanāni	BhP_02.07.026/4 karmANi ca-Atma-mahima-upanibanDanAni
   BhP_02.07.027/1 tokena jīvaharaṇaṃ yadulūkikāyās	Bhu-_02.07.027/1 tokena jIva-haraNam yat-ulUkikAyAH-H-
   BhP_02.07.027/2 traimāsikasya ca padā śakaṭo 'pavṛttaḥ	Bhu-_02.07.027/2 trEmAsikasya ca padA SakawaH apavRttaH
   BhP_02.07.027/3 yadriṅgatāntaragatena divispṛśorvā	Bhu-_02.07.027/3 yat-riFgata-antara-gatena divispRSoH-vA
   BhP_02.07.027/4 unmūlanaṃ tvitarathārjunayorna bhāvyam	Bhu-_02.07.027/4 unmUlanam tu-itaraTa-arjunayoH-na BAvyam
   BhP_02.07.028/1 yadvai vraje vrajapaśūn viṣatoyapītān	Bhu-_02.07.028/1 yat-vE vraje vraja-paSUn viza-toya-pItAn
   BhP_02.07.028/2 pālāṃstvajīvayadanugrahadṛṣṭivṛṣṭyā	Bhu-_02.07.028/2 pAlAn=-tu-ajIvayat-anugraha-dRzwi-vRzwyA
   BhP_02.07.028/3 tacchuddhaye 'tiviṣavīryavilolajihvam	Bhu-_02.07.028/3 tat-SudDaye ativiza-vIrya-vilola-jihvam
   BhP_02.07.028/4 uccāṭayiṣyaduragaṃ viharan hradinyām	Bhu-_02.07.028/4 uccAwayizyat-uragam viharan hradinyAm
   BhP_02.07.029/1 tat karma divyam iva yan niśi niḥśayānaṃ	Bhu-_02.07.029/1 tat karma divyam iva yat niSi niHSayAnam
   BhP_02.07.029/2 dāvāgninā śucivane paridahyamāne	Bhu-_02.07.029/2 dAva-agninA Suci-vane paridahyamAne
   BhP_02.07.029/3 unneṣyati vrajam ato 'vasitāntakālaṃ	Bhu-_02.07.029/3 unnezyati vrajam atas avasita-anta-kAlam
   BhP_02.07.029/4 netre pidhāpya sabalo 'nadhigamyavīryaḥ	Bhu-_02.07.029/4 netre piDApya sa-balaH anaDigamya-vIryaH
   BhP_02.07.030/1 gṛhṇīta yadyadupabandham amuṣya mātā	Bhu-_02.07.030/1 gRhNIta yat-yat-upabanDam amuzya mAtA
   BhP_02.07.030/2 śulbaṃ sutasya na tu tat tadamuṣya māti	Bhu-_02.07.030/2 Sulbam sutasya na tu tat tat-amuzya mAti
   BhP_02.07.030/3 yaj jṛmbhato 'sya vadane bhuvanāni gopī	Bhu-_02.07.030/3 yat jRmBataH asya vadane BuvanAni gopI
   BhP_02.07.030/4 saṃvīkṣya śaṅkitamanāḥ pratibodhitāsīt	Bhu-_02.07.030/4 saMvIkzya SaFkita-manAH pratiboDitA-AsIt-
   BhP_02.07.031/1 nandaṃ ca mokṣyati bhayādvaruṇasya pāśād	Bhu-_02.07.031/1 nandam ca mokzyati BayAt-varuNasya pASAd
   BhP_02.07.031/2 gopān bileṣu pihitān mayasūnunā ca	Bhu-_02.07.031/2 gopAn bilezu pihitAn maya-sUnunA ca
   BhP_02.07.031/3 ahnyāpṛtaṃ niśi śayānam atiśrameṇa	Bhu-_02.07.031/3 ahni-ApRtam niSi SayAnam atiSrameNa
   BhP_02.07.031/4 lokaṃ vikuṇṭham upaneṣyati gokulaṃ sma	Bhu-_02.07.031/4 lokam vikuNWam upanezyati gokulam sma
   BhP_02.07.032/1 gopairmakhe pratihate vrajaviplavāya	Bhu-_02.07.032/1 gopEH-maKe pratihate vraja-viplavAya
   BhP_02.07.032/2 deve 'bhivarṣati paśūn kṛpayā rirakṣuḥ	Bhu-_02.07.032/2 deve aBivarzati paSUn kRpayA rirakzuH
   BhP_02.07.032/3 dhartocchilīndhram iva saptadināni sapta	Bhu-_02.07.032/3 Darta-ucCilInDram iva sapta-dinAni sapta
   BhP_02.07.032/4 varṣo mahīdhram anaghaikakare salīlam	Bhu-_02.07.032/4 varzaH mahIDram anaGA-eka-kare sa-lIlam
   BhP_02.07.033/1 krīḍan vane niśi niśākararaśmigauryāṃ	Bhu-_02.07.033/1 krIxan vane niSi niSAkara-raSmi-gOryAm
   BhP_02.07.033/2 rāsonmukhaḥ kalapadāyatamūrcchitena	Bhu-_02.07.033/2 rAsa-unmuKaH kala-pada-Ayata-mUrcCitena
   BhP_02.07.033/3 uddīpitasmararujāṃ vrajabhṛdvadhūnāṃ	Bhu-_02.07.033/3 uddIpita-smara-rujAm vraja-BRt-vaDUnAm
   BhP_02.07.033/4 harturhariṣyati śiro dhanadānugasya	Bhu-_02.07.033/4 hartuH-harizyati SiraH Danada-anugasya
   BhP_02.07.034/1 ye ca pralambakharadardurakeśyariṣṭa	Bhu-_02.07.034/1 ye ca pralamba-Kara-dardurakeSi-arizwa
   BhP_02.07.034/2 mallebhakaṃsayavanāḥ kapipauṇḍrakādyāḥ	Bhu-_02.07.034/2 malla-iBa-kaMsa-yavanAH kapi-pONxraka-AdyAH
   BhP_02.07.034/3 anye ca śālvakujabalvaladantavakra	Bhu-_02.07.034/3 anye ca SAlva-kuja-balvala-danta-vakra
   BhP_02.07.034/4 saptokṣaśambaravidūratharukmimukhyāḥ	Bhu-_02.07.034/4 sapta-ukza-Sambara-vidUraTa-rukmi-muKyAH
   BhP_02.07.035/1 ye vā mṛdhe samitiśālina āttacāpāḥ	Bhu-_02.07.035/1 ye vA mRDe samiti-SAlinaH Atta-cApAH
   BhP_02.07.035/2 kāmbojamatsyakurusṛñjayakaikayādyāḥ	Bhu-_02.07.035/2 kAmboja-matsya-kuru-sRQjaya-kEkaya-AdyAH
   BhP_02.07.035/3 yāsyantyadarśanam alaṃ balapārthabhīma	Bhu-_02.07.035/3 yAsyanti-adarSanam alam bala-pArTa-BIma
   BhP_02.07.035/4 vyājāhvayena hariṇā nilayaṃ tadīyam	Bhu-_02.07.035/4 vyAja-Ahvayena hariNA nilayam tadIyam
   BhP_02.07.036/1 kālena mīlitadhiyām avamṛśya nṇāṃ	BhP_02.07.036/1 kAlena mIlita-DiyAm avamRSya nNAm
   BhP_02.07.036/2 stokāyuṣāṃ svanigamo bata dūrapāraḥ	Bhu-_02.07.036/2 stoka-AyuzAm sva-nigamaH bata dUra-pAraH
   BhP_02.07.036/3 āvirhitastvanuyugaṃ sa hi satyavatyāṃ	Bhu-_02.07.036/3 AvirhitaH-tu-anuyugam sa hi satyavatyAm
   BhP_02.07.036/4 vedadrumaṃ viṭapaśo vibhajiṣyati sma	Bhu-_02.07.036/4 veda-drumam viwapaSas viBajizyati sma
   BhP_02.07.037/1 devadviṣāṃ nigamavartmani niṣṭhitānāṃ	Bhu-_02.07.037/1 deva-dvizAm nigama-vartmani nizWitAnAm
   BhP_02.07.037/2 pūrbhirmayena vihitābhiradṛśyatūrbhiḥ	Bhu-_02.07.037/2 pUrBiH-mayena vihitABiH-adRSyatUrBiH
