   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   ravighṛṣṭaṃ tu taṃ devi Ras_12.45c	ravi-GRzwam tu tam devi RaH-_12.45c
   raśminā mṛdunā dravet Ras_11.207b	raSminA mRdunA dravet RaH-_11.207b
   rasakarma ca kīdṛśam Ras_10.1b	rasakarma ca kIdRSam RaH-_10.1b
   rasakarmaṇi yogyatve Ras_6.1c	rasakarmaNi yogya-tve RaH-_6.1c
   rasakarmaṇi saṃcaret Ras_2.103b	rasakarmaNi saMcaret RaH-_2.103b
   rasakarma samācaret Ras_9.19b	rasakarma samAcaret RaH-_9.19b
   rasakarmāṇi kārayet Ras_2.26d	rasakarmANi kArayet RaH-_2.26d
   rasakarmopakārakam Ras_3.1d	rasakarma-upakArakam RaH-_3.1d
   rasakalkena lepayet Ras_12.92f	rasa-kalkena lepayet RaH-_12.92f
   rasakasya ca bhāgāṃs trīn Ras_11.183a	rasakasya ca BAgAn trIn RaH-_11.183a
   rasakaṃ cāṣṭakaṃ guṇam Ras_11.110d	rasakam ca-azwakam guNam RaH-_11.110d
   rasakaṃ cūrṇayitvā tu Ras_7.33a	rasakam cUrNayitvA tu RaH-_7.33a
   rasakaṃ dviguṇaṃ dattvā Ras_8.46a	rasakam dviguNam dattvA RaH-_8.46a
   rasakaṃ vāpitaṃ śaśvac- Ras_8.58e	rasakam vApitam SaSvac RaH-_8.58e
   rasakaṃ saptavārataḥ Ras_12.50:1b	rasakam sapta-vArataH RaH-_12.50:1b
   rasakaṃ samabhāgikam Ras_8.70b	rasakam sama-BAgikam RaH-_8.70b
   rasakābhraṃ kāntatāmre Ras_8.65a	rasaka-aBram kAnta-tAmre RaH-_8.65a
   rasakena ca rañjayet Ras_8.49d	rasakena ca raQjayet RaH-_8.49d
   rasakena tu rañjayet Ras_12.51b	rasakena tu raQjayet RaH-_12.51b
   rasake saptasāhasraṃ Ras_8.6a	rasake sapta-sAhasram RaH-_8.6a
   rasako rañjako rūkṣo Ras_7.38a	rasakaH raQjakaH rUkzaH RaH-_7.38a
   rasakṣobhaṃ na kārayet Ras_2.123d	rasa-kzoBam na kArayet RaH-_2.123d
   rasagandhakasambhavam Ras_7.51b	rasa-ganDaka-samBavam RaH-_7.51b
   rasagandhāśmarasakaṃ Ras_12.271a	rasa-ganDASma-rasakam RaH-_12.271a
   rasagarbheṇa jārayet Ras_11.48d	rasa-garBeNa jArayet RaH-_11.48d
   rasagarbhe dravet kṛṣṇaṃ Ras_8.22c	rasa-garBe dravet kRzNam RaH-_8.22c
   rasagarbhe prakāśante Ras_8.6c	rasa-garBe prakASante RaH-_8.6c
   rasagrāsaṃ tato dattvā Ras_12.61c	rasa-grAsam tatas dattvA RaH-_12.61c
   rasajaṃ kṣetrajaṃ caiva Ras_7.99a	rasa-jam kzetrajam ca-eva RaH-_7.99a
   rasajāraṇaśodhane Ras_10.61b	rasa-jAraNa-SoDane RaH-_10.61b
   rasajñamapare 'dhamāḥ Ras_1.26d	rasa-jQam-apare aDamAH RaH-_1.26d
   rasajñānaṃ sudurlabham Ras_1.24d	rasa-jQAnam su-durlaBam RaH-_1.24d
   rasaṭaṅkaṇasaṃyutam Ras_8.29d	rasa-waFkaNa-saMyutam RaH-_8.29d
   rasatālakatutthāni Ras_12.115a	rasa-tAlaka-tutTAni RaH-_12.115a
   rasatālakaśaṅkhābhra- Ras_8.60a	rasa-tAlaka-SaFKa-aBra RaH-_8.60a
   rasatulyaṃ yathā bījaṃ Ras_8.86a	rasa-tulyam yaTA bIjam RaH-_8.86a
   rasadīkṣāvidhānajño Ras_2.4c	rasa-dIkzA-viDAna-jQaH RaH-_2.4c
   rasadīkṣāvidhānaṃ tu Ras_2.37c	rasa-dIkzA-viDAnam tu RaH-_2.37c
   rasadīkṣāvihīnā ye Ras_2.14a	rasa-dIkzA-vihInAH ye RaH-_2.14a
   rasadīkṣāṃ tu pṛcchāmi Ras_2.36c	rasa-dIkzAm tu pRcCAmi RaH-_2.36c
   rasanindākarī yā ca Ras_2.15e	rasa-nindA-karI yA ca RaH-_2.15e
   rasanirjīvakārikāḥ Ras_5.13f	rasa-nirjIva-kArikAH RaH-_5.13f
   rasapiṣṭikṣamaṃ bhavet Ras_8.20f	rasa-pizwi-kzamam Bavet RaH-_8.20f
   rasaprayogajātaṃ tu Ras_2.91c	rasa-prayoga-jAtam tu RaH-_2.91c
   rasaphalarasasiddhaṃ lohajīrṇaṃ mṛtaṃ ca Ras_12.364d	rasaPala-rasa-sidDam loha-jIrNam mRtam ca RaH-_12.364d
   rasabandhakarāḥ priye Ras_5.20f	rasa-banDa-karAH priye RaH-_5.20f
   rasabandhakarāḥ śīghraṃ Ras_6.71c	rasa-banDa-karAH SIGram RaH-_6.71c
   rasabandhakarīṃ priye Ras_12.112b	rasa-banDa-karIm priye RaH-_12.112b
   rasabandhakarīṃ priye Ras_12.149b	rasa-banDa-karIm priye RaH-_12.149b
   rasabandhanamīśvari Ras_12.84b	rasa-banDanam-ISvari RaH-_12.84b
   rasabandhaṃ rasāyanam Ras_2.39b	rasa-banDam rasAyanam RaH-_2.39b
   rasabandhaṃ sudurlabham Ras_12.27b	rasa-banDam su-durlaBam RaH-_12.27b
   rasabandhaṃ sudurlabham Ras_12.36b	rasa-banDam su-durlaBam RaH-_12.36b
   rasabandhaṃ sudurlabham Ras_12.52b	rasa-banDam su-durlaBam RaH-_12.52b
   rasabandhaṃ sudurlabham Ras_12.58b	rasa-banDam su-durlaBam RaH-_12.58b
   rasabandhaṃ sudurlabham Ras_12.65b	rasa-banDam su-durlaBam RaH-_12.65b
   rasabandhe kṛte sati Ras_2.123b	rasa-banDe kRte sati RaH-_2.123b
   rasabandhe praśasyate Ras_6.43d	rasa-banDe praSasyate RaH-_6.43d
   rasabandho bhaviṣyati Ras_12.170d	rasa-banDaH Bavizyati RaH-_12.170d
   rasabhasmarasāyanam Ras_12.358b	rasa-Basma-rasAyanam RaH-_12.358b
   rasabhedā nirūpitāḥ Ras_10.10b	rasa-BedAH nirUpitAH RaH-_10.10b
   rasabhairavasaṃgame Ras_5.29f	rasaBErava-saMgame RaH-_5.29f
   rasamaṇḍapakovidaḥ Ras_2.4b	rasa-maNxapa-kovidaH RaH-_2.4b
   rasamadhye tu ḍhālayet Ras_7.106d	rasa-maDye tu XAlayet RaH-_7.106d
   rasamadhye vinikṣipet Ras_12.101b	rasa-maDye vinikzipet RaH-_12.101b
   rasamūrchākarī śubhā Ras_12.1b	rasa-mUrCA-karI SuBA RaH-_12.1b
   rasayuktāni kiṃ punaḥ Ras_7.151d	rasa-yuktAni kim punar RaH-_7.151d
   rasayogasya dūṣakāḥ Ras_1.45b	rasa-yogasya dUzakAH RaH-_1.45b
   rasayogādavāpyate Ras_1.21d	rasa-yogAt-avApyate RaH-_1.21d
   rasayoḥ saptadhā pṛthak Ras_7.75b	rasayoH saptaDA pRTak RaH-_7.75b
   rasarājaśca vedhyate Ras_12.88b	rasarAjaH-ca veDyate RaH-_12.88b
   rasarājasya ca dravet Ras_8.23f	rasarAjasya ca dravet RaH-_8.23f
   rasarājasya rañjanam Ras_8.42d	rasarAjasya raQjanam RaH-_8.42d
   rasarājasya rañjane Ras_4.20b	rasarAjasya raQjane RaH-_4.20b
   rasarājasya rañjane Ras_8.79d	rasarAjasya raQjane RaH-_8.79d
   rasarājaḥ sureśvari Ras_12.111b	rasarAjaH sureSvari RaH-_12.111b
   rasarāje yadā jīrṇaṃ Ras_11.74a	rasarAje yadA jIrNam RaH-_11.74a
   rasarājo na hīyate Ras_10.24d	rasarAjaH na hIyate RaH-_10.24d
   rasarūpaṃ prajāyate Ras_7.125d	rasa-rUpam prajAyate RaH-_7.125d
   rasarūpaḥ svarūpataḥ Ras_7.72b	rasa-rUpaH svarUpataH RaH-_7.72b
   rasarūpā mahāghorā Ras_12.207c	rasa-rUpA mahA-GorAH RaH-_12.207c
   rasaliṅgaṃ nyasettatra Ras_2.52a	rasaliFgam nyaset-tatra RaH-_2.52a
   rasaliṅgārcanādbhavet Ras_1.43d	rasaliFga-arcanAt-Bavet RaH-_1.43d
   rasaliṅge varānane Ras_12.23b	rasaliFge varAnane RaH-_12.23b
   rasavādo mahottamaḥ Ras_1.44d	rasavAdaH mahA-uttamaH RaH-_1.44d
   rasavidyā parā vidyā Ras_1.46a	rasa-vidyA parA vidyA RaH-_1.46a
   rasavidyopakārakam Ras_7.1d	rasa-vidyA-upakArakam RaH-_7.1d
   rasavīryavipāke ca Ras_1.53a	rasa-vIrya-vipAke ca RaH-_1.53a
   rasaśāntirvidhātavyā Ras_2.123c	rasa-SAntiH-viDAtavyAH RaH-_2.123c
   rasaśodhanajāraṇe Ras_5.28f	rasa-SoDana-jAraNe RaH-_5.28f
   rasaśca pavanaśceti Ras_1.18c	rasaH-ca pavanaH-ca-iti RaH-_1.18c
   rasasahitasubhāvyaṃ taṇḍulairdivyamukhyaiḥ Ras_12.365b	rasa-sahita-su-BAvyam taNxulEH-divya-muKyEH RaH-_12.365b
   rasastenāyamucyate Ras_1.36d	rasaH-tena-ayam-ucyate RaH-_1.36d
   rasasthāne niyojayet Ras_3.28b	rasasTAne niyojayet RaH-_3.28b
   rasasya bandhanārthāya Ras_7.65a	rasasya banDana-arTAya RaH-_7.65a
   rasasya bandhane śastam Ras_5.29a	rasasya banDane Sastam RaH-_5.29a
   rasasya rasakasya ca Ras_12.50:2d	rasasya rasakasya ca RaH-_12.50:2d
   rasasya lakṣaṇaṃ kiṃvā Ras_10.1a	rasasya lakzaNam kiMvA RaH-_10.1a
   rasasya sarvadoṣāstu Ras_11.73a	rasasya sarva-dozAH-tu RaH-_11.73a
   rasasyārdhakṣayo bhavet Ras_4.26b	rasasya-arDa-kzayaH Bavet RaH-_4.26b
   rasasvedo 'gnigocare Ras_2.107b	rasa-svedaH agni-gocare RaH-_2.107b
   rasaṃ tatra pradāpayet Ras_11.57b	rasam tatra pradApayet RaH-_11.57b
   rasaṃ tatra pradāpayet Ras_11.58b	rasam tatra pradApayet RaH-_11.58b
   rasaṃ tanmadhyagaṃ kṛtvā Ras_12.103c	rasam tad-maDya-gam kRtvA RaH-_12.103c
   rasaṃ dattvā vipācayet Ras_10.20d	rasam dattvA vipAcayet RaH-_10.20d
   rasaṃ na darśayeddevi Ras_2.124a	rasam na darSayet-devi RaH-_2.124a
   rasaṃ niyāmake dadyāt Ras_10.59a	rasam niyAmake dadyAt RaH-_10.59a
   rasaṃ mūrchāpayet tena Ras_12.159c	rasam mUrCApayet tena RaH-_12.159c
   rasaṃ raktasnuhīkṣīraṃ Ras_12.119:2a	rasam rakta-snuhI-kzIram RaH-_12.119:2a
   rasaṃ viśodhayettena Ras_4.63a	rasam viSoDayet-tena RaH-_4.63a
   rasaṃ saṃkocayedbudhaḥ Ras_12.21d	rasam saMkocayet-buDaH RaH-_12.21d
   rasaṃ saṃmardya tenaiva Ras_12.5a	rasam saMmardya tena-eva RaH-_12.5a
   rasaṃ siddharasaṃ vidyāt Ras_10.5a	rasam sidDa-rasam vidyAt RaH-_10.5a
   rasaṃ sūtreṇa lambitam Ras_4.7d	rasam sUtreNa lambitam RaH-_4.7d
   rasaṃ hema ca mardayet Ras_12.197b	rasam hema ca mardayet RaH-_12.197b
   rasaḥ svedanamardanāt Ras_5.21d	rasaH svedana-mardanAt RaH-_5.21d
   rasākṛṣṭiriti smṛtam Ras_8.57b	rasa-AkRzwiH-iti smRtam RaH-_8.57b
   rasāṅkuśaṃ mahāmantraṃ Ras_3.29a	rasAFkuSam mahA-mantram RaH-_3.29a
   rasāṅkuśīṃ mahādevīṃ Ras_2.71c	rasAFkuSIm mahAdevIm RaH-_2.71c
   rasāṅkuśena gṛhṇīyāt Ras_5.29c	rasAFkuSena gRhNIyAt RaH-_5.29c
   rasāṅkuśena jñānena Ras_3.32a	rasAFkuSena jQAnena RaH-_3.32a
   rasāṅkuśena mantreṇa Ras_2.109e	rasAFkuSena mantreNa RaH-_2.109e
   rasānuparasān dattvā Ras_11.126c	rasAn-uparasAn dattvA RaH-_11.126c
   rasānuṣṭhānatatparaḥ Ras_2.1d	rasa-anuzWAna-tatparaH RaH-_2.1d
   rasāyane tu yogyaḥ syād Ras_7.44c	rasAyane tu yogyaH syAt RaH-_7.44c
   rasāyane bhaved vipro hy Ras_6.75a	rasAyane Bavet vipraH hi RaH-_6.75a
   rasārṇavaṃ mahātantram Ras_1.57c	rasArNavam mahA-tantram RaH-_1.57c
   rasāliṅgita āhāraḥ Ras_10.26a	rasa-AliFgitaH AhAraH RaH-_10.26a
   rasībhavanti lohāni Ras_7.151a	rasIBavanti lohAni RaH-_7.151a
   rase kalpenmahārāgān Ras_11.134c	rase kalpet-mahA-rAgAn RaH-_11.134c
   rase grāsaṃ tu dāpayet Ras_11.101d	rase grAsam tu dApayet RaH-_11.101d
   rase ca bhṛṅgarājasya Ras_7.73a	rase ca BRFgarAjasya RaH-_7.73a
   rasena kṛtagolakam Ras_12.380b	rasena kRta-golakam RaH-_12.380b
   rasena lavaṇāni tu Ras_12.191b	rasena lavaNAni tu RaH-_12.191b
   rasena saha deveśi Ras_11.36a	rasena saha deveSi RaH-_11.36a
   rasena saha saṃyutam Ras_11.38d	rasena saha saMyutam RaH-_11.38d
   rasenaiva tu kāle tu Ras_12.382c	rasena-eva tu kAle tu RaH-_12.382c
   rasenottaravāruṇyāḥ Ras_7.136a	rasena-uttaravAruNyAH RaH-_7.136a
   rasendramadhunā śṛṇu Ras_10.6b	rasendramaDunA SRNu RaH-_10.6b
   rasendrastatra tiṣṭhati Ras_3.8d	rasendraH-tatra tizWati RaH-_3.8d
   rasendrasya maheśvari Ras_1.41d	rasendrasya maheSvari RaH-_1.41d
   rasendrasya samāhitaḥ Ras_2.93f	rasendrasya samAhitaH RaH-_2.93f
   rasendrasya same samam Ras_12.340d	rasendrasya same samam RaH-_12.340d
   rasendraṃ dāpayedgrāsaṃ Ras_12.41c	rasendram dApayet-grAsam RaH-_12.41c
   rasendraṃ nātra saṃśayaḥ Ras_11.142d	rasendram na-atra saMSayaH RaH-_11.142d
   rasendraṃ prāpya sīdati Ras_2.90d	rasendram prApya sIdati RaH-_2.90d
   rasendraṃ mardayettena Ras_12.12a	rasendram mardayet-tena RaH-_12.12a
   rasendraṃ sā ca baddhayet Ras_12.67b	rasendram sA ca badDayet RaH-_12.67b
   rasendraḥ suravandite Ras_12.69b	rasendraH suravandite RaH-_12.69b
   rasendre bhāvitātmavān Ras_2.104b	rasendre BAvita-AtmavAn RaH-_2.104b
   rasendro dṛśyate devi Ras_11.137c	rasendraH dRSyate devi RaH-_11.137c
   rasendro bhasmatāṃ vrajet Ras_4.19d	rasendraH Basma-tAm vrajet RaH-_4.19d
   rasendro mūrchito bhavet Ras_12.80b	rasendraH mUrCitaH Bavet RaH-_12.80b
   rasendro yatra tiṣṭhati Ras_3.12d	rasendraH yatra tizWati RaH-_3.12d
   rasendro liṅgamucyate Ras_11.4b	rasendraH liFgam-ucyate RaH-_11.4b
   rasendro harati vyādhīn Ras_11.218c	rasendraH harati vyADIn RaH-_11.218c
   rase rasāyane caiva Ras_6.8a	rase rasAyane ca-eva RaH-_6.8a
   rase rasāyane caiva Ras_6.48c	rase rasAyane ca-eva RaH-_6.48c
   rase rasāyane caiva Ras_12.379c	rase rasAyane ca-eva RaH-_12.379c
   raseśvarasya mantraṃ ca Ras_2.67a	raseSvarasya mantram ca RaH-_2.67a
   raseṣūparaseṣu vā Ras_11.82d	rasezu-uparasezu vE RaH-_11.82d
   rasairdhātryāstu bhāvayet Ras_12.16d	rasEH-DAtryAH-tu BAvayet RaH-_12.16d
   rasaiścaiva rasāyanaiḥ Ras_1.11b	rasEH-ca-eva rasAyanEH RaH-_1.11b
   rasaistaistālakādibhiḥ Ras_8.56b	rasEH-tEH-tAlaka-AdiBiH RaH-_8.56b
   rasaiḥ pattraiśca bhāvayet Ras_7.34b	rasEH pattrEH-ca BAvayet RaH-_7.34b
   rasaiḥ pittaiśca bhāvayet Ras_7.78d	rasEH pittEH-ca BAvayet RaH-_7.78d
   raso garbho vidhīyate Ras_1.27b	rasaH garBaH viDIyate RaH-_1.27b
   rasocchiṣṭāni kārayet Ras_11.99b	rasa-ucCizwAni kArayet RaH-_11.99b
   rasotsavaṃ prakurvīta Ras_2.127e	rasa-utsavam prakurvIta RaH-_2.127e
   raso divyauṣadhībalāt Ras_12.115d	rasaH divyOzaDI-balAt RaH-_12.115d
   rasonakarasaṃ bhadre Ras_4.10a	rasonaka-rasam Badre RaH-_4.10a
   rasopadeśadātā ca Ras_2.1a	rasa-upadeSa-dAtA ca RaH-_2.1a
   rasoparasalohānāṃ Ras_8.19a	rasa-uparasa-lohAnAm RaH-_8.19a
   rasoparasalohāni Ras_4.2a	rasa-uparasa-lohAni RaH-_4.2a
   rasoparasalohāni Ras_8.40a	rasa-uparasa-lohAni RaH-_8.40a
   raso 'pi sarvado bhavet Ras_12.142b	rasaH api sarva-daH Bavet RaH-_12.142b
   raso bhavati cottamaḥ Ras_12.4d	rasaH Bavati ca-uttamaH RaH-_12.4d
   raso rasendraḥ sūtaśca Ras_10.4a	rasaH rasendraH sUtaH-ca RaH-_10.4a
   raso vahnau na tiṣṭhati Ras_2.118b	rasaH vahnO na tizWati RaH-_2.118b
   raso vāyuśca bhairavi Ras_1.19d	rasaH vAyuH-ca BEravi RaH-_1.19d
   rahasyaṃ rasabandhanam Ras_12.2b	rahasyam rasa-banDanam RaH-_12.2b
   rāgajīrṇastu deveśi Ras_11.102c	rAga-jIrNaH-tu deveSi RaH-_11.102c
   rāgasaṃkhyāṃ tathā bīja- Ras_8.1c	rAga-saMKyAm taTA bIja RaH-_8.1c
   rāgasaṃkhyāṃ na jānāti Ras_8.14a	rAga-saMKyAm na jAnAti RaH-_8.14a
   rāgasaṃkhyāṃ prakalpayet Ras_8.15d	rAga-saMKyAm prakalpayet RaH-_8.15d
   rāgasaṃkhyāṃ bījakalāṃ Ras_2.5a	rAga-saMKyAm bIja-kalAm RaH-_2.5a
   rāgaṃ mahārasādīnāṃ Ras_7.154a	rAgam mahArasa-AdInAm RaH-_7.154a
   rāgaṃ lakṣadvayaṃ viduḥ Ras_8.12d	rAgam lakza-dvayam viduH RaH-_8.12d
   rāgāṇāṃ śatapañcāśat Ras_8.8a	rAgANAm SatapaQcASat RaH-_8.8a
   rāgān gṛhṇāti nirmalaḥ Ras_11.68d	rAgAn gRhNAti nirmalaH RaH-_11.68d
   rāgā lakṣatrayodaśa Ras_8.10b	rAgAH lakza-trayodaSaH RaH-_8.10b
   rāgāḥ ṣaṣṭisahasrāṇi Ras_8.9a	rAgAH zazwi-sahasrANi RaH-_8.9a
   rājakośātakītoyaiḥ Ras_7.82c	rAjakoSAtakI-toyEH RaH-_7.82c
   rājāvartaśca kaṅkuṣṭham Ras_7.56c	rAjAvartaH-ca kaFkuzWam RaH-_7.56c
   rājāvartaśca mākṣikaḥ Ras_8.3b	rAjAvartaH-ca mAkzikaH RaH-_8.3b
   rājāvartaṃ tataḥ sūte Ras_12.351a	rAjAvartam tatas sUte RaH-_12.351a
   rājāvarto dvidhā devi Ras_7.85a	rAjAvartaH dviDA devi RaH-_7.85a
   rājikākāñjike nyaset Ras_3.25b	rAjikA-kAQjike nyaset RaH-_3.25b
   rājikāṭaṅkaṇayutair Ras_10.60c	rAjikA-waFkaNa-yutEH RaH-_10.60c
   rājikāpaṭucitrakaiḥ Ras_10.57b	rAjikA-pawu-citrakEH RaH-_10.57b
   rājikāvyoṣayuktena Ras_11.26e	rAjikA-vyoza-yuktena RaH-_11.26e
   rājikāṃ saindhavaṃ nyasya Ras_3.20a	rAjikAm sEnDavam nyasya RaH-_3.20a
   rājīsaindhavadhūmajaiḥ Ras_11.67b	rAjI-sEnDava-DUma-jEH RaH-_11.67b
   rāsabho lakṣajanmāni Ras_1.50e	rAsaBaH lakza-janmAni RaH-_1.50e
   rāhugraste divākare Ras_12.180b	rAhu-graste divAkare RaH-_12.180b
   rītikṛttāmrarañjakaḥ Ras_7.37d	rIti-kRt-tAmra-raQjakaH RaH-_7.37d
   rudantī brahmacāriṇī Ras_5.10b	rudantI brahmacAriNI RaH-_5.10b
   rudantī raktacitrakaḥ Ras_5.17b	rudantI raktacitrakaH RaH-_5.17b
   rudantyā rasasaṃyuktaṃ Ras_12.174c	rudantyAH rasa-saMyuktam RaH-_12.174c
   rudratulyo mahābalaḥ Ras_12.357b	rudra-tulyaH mahA-balaH RaH-_12.357b
   ruruṇā dānavendreṇa Ras_11.158a	ruruNA dAnava-indreNa RaH-_11.158a
   rūpaṃ kena pravartate Ras_2.29d	rUpam kena pravartate RaH-_2.29d
   rekhābinduvivarjitāḥ Ras_6.69d	reKA-bindu-vivarjitAH RaH-_6.69d
   rekhābindusamāyuktāḥ Ras_6.70a	reKA-bindu-samAyuktAH RaH-_6.70a
   rogamṛtyujarā hanti Ras_12.351e	roga-mRtyu-jarA hanti RaH-_12.351e
   rogān doṣatrayodbhavān Ras_1.40d	rogAn dozatraya-udBavAn RaH-_1.40d
   romakāntañca pañcamam Ras_6.40d	romakAn-taQca paQcamam RaH-_6.40d
   romāṇi tadanantaram Ras_11.168b	romANi tad-anantaram RaH-_11.168b
   rohaṇaṃ kāntalohaṃ ca Ras_11.162c	rohaNam kAntaloham ca RaH-_11.162c
   rohaṇaṃ vājaraṃ caiva Ras_7.107a	rohaNam vAjaram ca-eva RaH-_7.107a
   lakṣajanmāni vāyasaḥ Ras_1.50f	lakza-janmAni vAyasaH RaH-_1.50f
   lakṣaṇatritayaṃ kutra Ras_2.30a	lakzaNa-tritayam kutra RaH-_2.30a
   lakṣaṇaṃ dṛśyate yasya Ras_11.199c	lakzaNam dRSyate yasya RaH-_11.199c
   lakṣaṇaṃ nātra vidyate Ras_2.28d	lakzaNam na-atra vidyate RaH-_2.28d
   lakṣaṇaṃ vidyate yatra Ras_2.29a	lakzaNam vidyate yatra RaH-_2.29a
   lakṣaṇaṃ śodhanaṃ caiva Ras_11.1a	lakzaNam SoDanam ca-eva RaH-_11.1a
   lakṣamantraṃ japedyā tu Ras_2.33a	lakza-mantram japet-yA tu RaH-_2.33a
   lakṣamāmalake punaḥ Ras_12.377d	lakzam-Amalake punar RaH-_12.377d
   lakṣamekaṃ japettasya Ras_3.7a	lakzam-ekam japet-tasya RaH-_3.7a
   lakṣamekaṃ japetpriye Ras_2.85b	lakzam-ekam japet-priye RaH-_2.85b
   lakṣayojanato devi Ras_12.124e	lakza-yojanataH devi RaH-_12.124e
   lakṣavarṣasahasrāṇi Ras_12.89a	lakza-varza-sahasrANi RaH-_12.89a
   lakṣavedhamavāpnuyāt Ras_11.147b	lakza-veDam-avApnuyAt RaH-_11.147b
   lakṣavedhi nṛsiṃhasya Ras_12.287e	lakza-veDi nRsiMhasya RaH-_12.287e
   lakṣavedhī na saṃśayaḥ Ras_12.379d	lakza-veDI na saMSayaH RaH-_12.379d
   lakṣavedhī mahārasaḥ Ras_12.108b	lakza-veDI mahArasaH RaH-_12.108b
   lakṣavedhī rasaḥ sākṣād Ras_12.30c	lakza-veDI rasaH sAkzAt RaH-_12.30c
   lakṣāyurjāyate naraḥ Ras_12.333d	lakza-AyuH-jAyate naraH RaH-_12.333d
   lakṣāṃśena varānane Ras_12.116b	lakza-aMSena varAnane RaH-_12.116b
   lakṣmīḥ śākhoṭakaścaiva Ras_5.11a	lakzmIH SAKowakaH-ca-eva RaH-_5.11a
   lagne saumyagrahekṣite Ras_2.48b	lagne sOmya-graha-Ikzite RaH-_2.48b
   laghukandaraso mleccho Ras_7.50a	laGu-kanda-rasaH mlecCaH RaH-_7.50a
   laghuparṇī śatāvarī Ras_10.40d	laGuparNI SatAvarI RaH-_10.40d
   laṅghayedyadi sāgaram Ras_7.25b	laFGayet-yadi sAgaram RaH-_7.25b
   latāchuchundarīmāṃsaṃ Ras_8.34a	latA-CuCundarI-mAMsam RaH-_8.34a
   labdhaprāyo bhavedrasaḥ Ras_10.58b	labDa-prAyaH Bavet-rasaH RaH-_10.58b
   labdhaṃ syāt phalasiddhaye Ras_1.58b	labDam syAt Pala-sidDaye RaH-_1.58b
   labdhvā cājñāṃ rasāṅkuśīm Ras_1.59b	labDvA ca-AjQAm rasAFkuSIm RaH-_1.59b
   labdhvātra rasakarmāṇi Ras_1.58c	labDvA-atra rasakarmANi RaH-_1.58c
   lalāṭaśirasormadhye Ras_2.112c	lalAwa-SirasoH-maDye RaH-_2.112c
   lavaṇaṃ śaṅkhaśuktikā Ras_9.18b	lavaNam SaFKaSuktikA RaH-_9.18b
   lavaṇāni ca ṣaṭ tathā Ras_9.14b	lavaNAni ca zaw taTA RaH-_9.14b
   lavaṇāmlaṃ ca jāyate Ras_12.215d	lavaNa-amlam ca jAyate RaH-_12.215d
   lavaṇāḥ pañca kīrtitāḥ Ras_5.32d	lavaNAH paQca kIrtitAH RaH-_5.32d
   lavaṇaiśca viḍaṃ tataḥ Ras_4.29b	lavaNEH-ca vixam tatas RaH-_4.29b
   lākṣā ca lavaṇaṃ guḍaḥ Ras_7.75d	lAkzA ca lavaNam guxaH RaH-_7.75d
   lākṣāṭaṅkaṇasaṃyutam Ras_6.134d	lAkzA-waFkaNa-saMyutam RaH-_6.134d
   lākṣābhaṃ nirmalaṃ rasam Ras_8.45d	lAkzA-ABam nirmalam rasam RaH-_8.45d
   lākṣāyāḥ paṭalaṃ kramāt Ras_11.169b	lAkzAyAH pawalam kramAt RaH-_11.169b
   lākṣālavaṇasaubhāgya- Ras_7.91a	lAkzA-lavaNa-sOBAgya RaH-_7.91a
   lāṅgalīkandamādāya Ras_12.103a	lAFgalI-kandam-AdAya RaH-_12.103a
   lāṅgalīkandasambhavam Ras_7.131b	lAFgalI-kanda-samBavam RaH-_7.131b
   lāṅgalī gṛhadhūmaṃ ca Ras_12.223:1a	lAFgalI gRhaDUmam ca RaH-_12.223:1a
   lāṅgalī cāmarīkeśaṃ Ras_8.32a	lAFgalI ca-amarI-keSam RaH-_8.32a
   lāṅgalī bālamocakā Ras_5.8d	lAFgalI bAla-mocakAH RaH-_5.8d
   liṅgākāro bhavedrasaḥ Ras_11.102d	liFga-AkAraH Bavet-rasaH RaH-_11.102d
   liṅgāśrayaṃ yathā rūpaṃ Ras_3.4a	liFga-ASrayam yaTA rUpam RaH-_3.4a
   liṅgimāyā tu liṅginī Ras_3.4b	liFgi-mAyA tu liFginI RaH-_3.4b
   liptāyāṃ maricena tu Ras_11.185b	liptAyAm maricena tu RaH-_11.185b
   liptāyāṃ śilayā rasam Ras_11.172b	liptAyAm SilayA rasam RaH-_11.172b
   lihati śayanakāle vāmanetrāvasevī Ras_12.366a	lihati Sayana-kAle vAmanetra-avasevI RaH-_12.366a
   lihyānmadhusamopetaṃ Ras_12.297a	lihyAt-maDu-samopetam RaH-_12.297a
   luṅgāmlacaṇakāmlakam Ras_5.31b	luFga-amla-caNaka-amlakam RaH-_5.31b
   luṅgāmlena dinatrayam Ras_12.92d	luFga-amlena dina-trayam RaH-_12.92d
   luṅgāmlena vipācitā Ras_7.78b	luFga-amlena vipAcitA RaH-_7.78b
   lepanārthaṃ varānane Ras_3.14d	lepana-arTam varAnane RaH-_3.14d
   lepamātreṇa tenaiva Ras_12.12c	lepa-mAtreNa tena-eva RaH-_12.12c
   lepamātreṇa tenaiva Ras_12.14c	lepa-mAtreNa tena-eva RaH-_12.14c
   lepayet tārapattrāṇi Ras_12.178c	lepayet tAra-pattrANi RaH-_12.178c
   lepayettena kalkena Ras_6.38c	lepayet-tena kalkena RaH-_6.38c
   lepayedbhūmimaṇḍalam Ras_3.15d	lepayet-BUmi-maNxalam RaH-_3.15d
