   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   hṛṣṭaḥ prātaḥ sameṣyāmītyuktvā prāyātsahānugaiḥ // KNarm_2.116 //	hRzwaH prAtar samezyAmi-iti-uktvA prAyAt-saha-anugEH // KNarm_2.116 //
   %% guruḥ /	%% guruH /
   śvaśuro yāgasambhāre yatnāhūto niyoginā /	SvaSuraH yAga-samBAre yatna-AhUtaH niyoginA /
   *pāpī dharmādhikaraṇadiviro 'tha samāyayau // KNarm_2.117 //	*pApI Darma-aDikaraNa-diviraH aTa samAyayO // KNarm_2.117 //
   tasmai namo 'stu nagarācāryavaryāya bhogine /	tasmE namaH astu nagara-AcArya-varyAya Bogine /
   yasya haste sthitā bhūmiḥ saśailavanakānanā // KNarm_2.118 //	yasya haste sTitA BUmiH sa-SEla-vana-kAnanA // KNarm_2.118 //
   karoti praśrayaṃ vakti madhuraṃ diviraḥ puraḥ /	karoti praSrayam vakti maDuram diviraH puras /
   jaracchagalaśṛṅgābhāṃ na ca tyajati vakratām // KNarm_2.119 //	jarat-Cagala-SRFga-ABAm na ca tyajati vakra-tAm // KNarm_2.119 //
   kalamāṅkitakarṇena bhūrjapatrakapāṇinā /	kalama-aFkita-karNena BUrja-patraka-pANinA /
   āsthānadivireṇeyaṃ grastā bhagavatī mahī // KNarm_2.120 //	AsTAna-divireNa-iyam grastA BagavatI mahI // KNarm_2.120 //
   mithyā mahāvarāheṇa daityeṣvāḍambaraḥ kṛtaḥ /	miTyA mahAvarAheNa dEtyezu-AxambaraH kRtaH /
   āsthānadivirairgrastā yadiyaṃ noddhṛtā kṣitiḥ // KNarm_2.121 //	AsTAna-divirEH-grastA yat-iyam na-udDRtA kzitiH // KNarm_2.121 //
   utthāya veśyāśayanātprabhāte madyaghūrṇitaḥ /	utTAya veSyA-SayanAt-praBAte madya-GUrNitaH /
   dhanārthī diviraḥ śastamukhaṃ draṣṭuṃ pratīkṣate // KNarm_2.122 //	Dana-arTI diviraH Sasta-muKam drazwum pratIkzate // KNarm_2.122 //
   nūnaṃ niśi bhagāpānaṃ karoti diviraḥ sadā /	nUnam niSi Baga-apAnam karoti diviraH sadA /
   prātaḥ prātarmṛdā vaktraṃ kṣālayatyanyathā katham // KNarm_2.123 //	prAtar prAtar-mRdA vaktram kzAlayati-anyaTA kaTam // KNarm_2.123 //
   snāto mṛddarbhatilabhṛtkaroti suciraṃ japam /	snAtaH mRd-darBa-tila-BRt-karoti su-ciram japam /
   diviraḥ kūṭasaṃketapaṭīpātrāṇi cintayan // KNarm_2.124 //	diviraH kUwa-saMketa-pawI-pAtrANi cintayan // KNarm_2.124 //
   vipraṃ puraḥ samāyāntaṃ thūtkṛtya tvaritaḥ punaḥ /	vipram puras samAyAntam TUtkRtya tvaritaH punar /
   praviśya gehaṃ niryāti śaṅkamānaḥ parābhavam // KNarm_2.125 //	praviSya geham niryAti SaFkamAnaH parABavam // KNarm_2.125 //
   śrīkāmo gomayabhrāntyā vandate śvaśakṛtpathi /	SrI-kAmaH gomaya-BrAntyA vandate Sva-SakRt-paTi /
   puraścāptāṃ siddhikāmaścaṇḍālīṃ sakaraṇḍakām // KNarm_2.126 //	puras-ca-AptAm sidDi-kAmaH-caNxAlIm sa-karaNxakAm // KNarm_2.126 //
   suprabhātatarāyātaiḥ sakaṣṭaśaṭilairvṛtaḥ /	su-praBAtatara-AyAtEH sa-kazwa-SawilEH-vRtaH /
   āsthānaṃ yāti kalayanbhṛṣṭamāṃsaṃ sapānakam // KNarm_2.127 //	AsTAnam yAti kalayan-BRzwa-mAMsam sa-pAnakam // KNarm_2.127 //
   bhūrja*peṭalaḍatklinnamaṣī subhṛtabhājanaḥ /	BUrja*-pewa-laxat-klinna-mazI su-BRta-BAjanaH /
   kathayanniva gandhena bhāvinīṃ narakasthitim // KNarm_2.128 //	kaTayan=-iva ganDena BAvinIm naraka-sTitim // KNarm_2.128 //
   maṣīviṣārdrayā nighnansādhūnkalamadaṃṣṭrayā /	mazI-viza-ArdrayA niGnan-sADUn-kalama-daMzwrayA /
   āsthānajaladherantardiviro makarāyate // KNarm_2.129 //	AsTAna-jalaDeH-antar-diviraH makarAyate // KNarm_2.129 //
   tanmaṣīvipruṣastasya dṛśyante kalamacyutāḥ /	tad-mazI-vipruzaH-tasya dRSyante kalama-cyutAH /
   bhuvo viluṇṭhyamānāyāḥ sāñjanāśrukaṇā iva // KNarm_2.130 //	BuvaH viluNWyamAnAyAH sa-aQjana-aSru-kaNAH iva // KNarm_2.130 //
   adhomukhā vimānebhyaḥ patanto divi rodanam /	aDomuKAH vimAneByaH patantaH divi rodanam /
   kurvanti pitarastasya yo bhuṅkte divirodanam // KNarm_2.131 //	kurvanti pitaraH-tasya yaH BuFkte divirodanam // KNarm_2.131 //
   jāmātuḥ śrīmato dṛṣṭvā sa gṛhaṃ harṣanirbharaḥ /	jAmAtuH SrImataH dRzwvA sa gRham harza-nirBaraH /
   acintayatkadāsyāpi ṣaṭirdaivādbhavediti // KNarm_2.132 //	acintayat-kadA-asya-api zawiH-dEvAt-Bavet-iti // KNarm_2.132 //
   %% āsthānadiviraḥ /	%% AsTAna-diviraH /
   tatsaṅgatyāpyadṛśyanta bhūrjabhaṭṭā bhayaṅkarāḥ /	tad-saFgatyA-api-adRSyanta BUrja-BawwAH BayaFkarAH /
   tadgṛhe kalayanto 'ntastasya sthāvaraviplavam // KNarm_2.133 //	tad-gRhe kalayantaH antar-tasya sTAvara-viplavam // KNarm_2.133 //
   saṃharanti sadā lokānye sasthāvarajaṅgamān /	saMharanti sadA lokAn-ye sa-sTAvara-jaFgamAn /
   tebhyaḥ pralayakāribhyo bhaṭṭebhyo 'stu namo namaḥ // KNarm_2.134 //	teByaH pralaya-kAriByaH BawweByaH astu namaH namaH // KNarm_2.134 //
   ṣaṭīpāśasamākṛṣṭaḥ prāpto 'dhikaraṇaṃ bhayāt /	zawI-pASa-samAkRzwaH prAptaH aDikaraNam BayAt /
   sādhurnigīryate bhaṭṭairmatsyairiva jale baliḥ // KNarm_2.135 //	sADuH-nigIryate BawwEH-matsyEH-iva jale baliH // KNarm_2.135 //
   bhaṭṭairbhaṭṭaiḥ sadiviraiḥ śaṭīnipatito janaḥ /	BawwEH-BawwEH sa-divirEH SawI-nipatitaH janaH /
   mucyate nāsthiśeṣo 'pi raktakṣībairiva śvabhiḥ // KNarm_2.136 //	mucyate na-asTi-SezaH api rakta-kzIbEH-iva SvaBiH // KNarm_2.136 //
   brāhmaṇyādye hatā naiva rāmeṇa brahmarākṣasāḥ /	brAhmaNI-Adye hatAH na-eva rAmeNa brahmarAkzasAH /
   āsthānabhaṭṭāste manye sadā khādanti mānuṣān // KNarm_2.137 //	AsTAna-BawwAH-te manye sadA KAdanti mAnuzAn // KNarm_2.137 //
   kṛtaḥ parājito jetā jayī yaiśca parājitaḥ /	kRtaH parAjitaH jetA jayI yEH-ca parAjitaH /
   teṣāṃ svatantravacasāṃ vacasā kena jīvyate // KNarm_2.138 //	tezAm svatantra-vacasAm vacasA kena jIvyate // KNarm_2.138 //
   ante narakapālairye vṛtā vetālatāṃ gatāḥ /	ante nara-kapAlEH-ye vRtAH vetAla-tAm gatAH /
   ṣaṭyantaḥkṛtahṛdghaṇṭā bhaṭṭāste kasya nāntakāḥ // KNarm_2.139 //	zawI-antar-kRta-hRd-GaNwAH BawwAH-te kasya na-antakAH // KNarm_2.139 //
   paśyannandho vadanmūkaḥ śṛṇvaṃśca badhiro 'dhamaḥ /	paSyan=-anDaH vadan-mUkaH SRNvan=-ca baDiraH aDamaH /
   utkocena vinā bhaṭṭaściraṃ nidrāyate śaṭhaḥ // KNarm_2.140 //	utkocena vinA BawwaH-ciram nidrAyate SaWaH // KNarm_2.140 //
   utkocabhakṣaṇaṃ chidraśikṣaṇaṃ sādhutakṣaṇam /	utkoca-BakzaNam Cidra-SikzaNam sADu-takzaNam /
   ṣaṭisandhukṣaṇaṃ kūṭarakṣaṇaṃ bhaṭṭalakṣaṇam // KNarm_2.141 //	zawi-sanDukzaNam kUwa-rakzaNam Bawwa-lakzaNam // KNarm_2.141 //
   carmakṛnnartakībhrātā saṅgatyā nartako 'bhavat /	carmakRt-nartakI-BrAtA saFgatyA nartakaH aBavat /
   so 'tha gāruḍakalpajñaḥ prayātaḥ sasyapālatām // KNarm_2.142 //	saH aTa gAruxa-kalpa-jQaH prayAtaH sasya-pAla-tAm // KNarm_2.142 //
   so 'pi grāmagaṇeśasya prāptaḥ prāsādapālatām /	saH api grAma-gaNeSasya prAptaH prAsAda-pAla-tAm /
   sandhivigrahakāyasthacākrikāsevako 'dhamaḥ // KNarm_2.143 //	sanDi-vigraha-kAyasTa-cAkrikA-sevakaH aDamaH // KNarm_2.143 //
   bhaṭṭatvamāptavāndūto *draṅgadeśagatāgatāt /	Bawwa-tvam-AptavAn-dUtaH *draFga-deSa-gata-AgatAt /
   tasya putrāśca pautrāśca sarve 'dhikaraṇadvijāḥ // KNarm_2.144 //	tasya putrAH-ca pOtrAH-ca sarve aDikaraNa-dvijAH // KNarm_2.144 //
   kuto 'nyathā bhavatyeṣāṃ vacaścarmakṛtāmiva /	kutas anyaTA Bavati-ezAm vacaH-carmakRtAm-iva /
   kakṣe sumahatī bhastrā śaṭidīnārabhājanam // KNarm_2.145 //	kakze su-mahatI BastrA Sawi-dInAra-BAjanam // KNarm_2.145 //
   iti adhikaraṇabhaṭṭāḥ sātikā vā /	iti aDikaraNa-BawwAH sAtikAH vA /
   iti narmamālāyāṃ dvitīyaḥ parihāsaḥ //	iti narma-mAlAyAm dvitIyaH parihAsaH //
   tṛtīyaḥ parihāsaḥ	tRtIyaH parihAsaH
   atha yāgotsave tasminsarve divirabāndhavāḥ /	aTa yAga-utsave tasmin-sarve divira-bAnDavAH /
   alaṅkṛtāśca lalanā niyogigṛhamāyayuḥ // KNarm_3.1 //	alaFkRtAH-ca lalanA niyogi-gRham-AyayuH // KNarm_3.1 //
   khaṭikā karaṇī haimī pārato ratnamūṭikā /	KawikA karaNI hEmI pAratas ratnamUwikA /
   sindūrādyā rajobhedāḥ pañcaraṅgakasūtrakam // KNarm_3.2 //	sindUra-AdyAH rajaH-BedAH paQca-raFgaka-sUtrakam // KNarm_3.2 //
   śālicūrṇaṃ sitacchatraṃ śvetavastraṃ vitānakam /	SAli-cUrNam sita=-Catram Sveta-vastram vitAnakam /
   nārācāḥ kṣurikā sūtraṃ darpaṇaṃ vīrakartarī // KNarm_3.3 //	nArAcAH kzurikA sUtram darpaNam vIrakartarI // KNarm_3.3 //
   patākā vyajanaṃ kūrcaḥ puṣpalakṣāṇi ṣoḍaśa /	patAkAH vyajanam kUrcaH puzpa-lakzANi zoxaSa /
   vārdhanīkalaśau tāmrau tilāstailaṃ mṛgājinam // KNarm_3.4 //	vArDanI-kalaSO tAmrO tilAH-tElam mRga-ajinam // KNarm_3.4 //
   sruksruvau samidho darbhā lājāḥ siddhārtakā ghṛtam /	sruc-sruvO samiDaH darBAH lAjAH sidDArtakAH GRtam /
   bilvapūgaphalākṣoṭajātīphalayavākṣatam // KNarm_3.5 //	bilva-pUga-Pala-akzowa-jAtIPala-yava-akzatam // KNarm_3.5 //
   dhūpakuṅkumakarpūrakautukauṣadhicandanam /	DUpa-kuFkuma-karpUra-kOtuka-ozaDi-candanam /
   pādukāpīṭhaparyaṅkaghaṇṭikāghaṭakuṇḍakam // KNarm_3.6 //	pAdukA-pIWa-paryaFka-GaNwikA-Gawa-kuNxakam // KNarm_3.6 //
   madyamāṃsasurāpūpapalāṇḍuśapharaudanam /	madya-mAMsa-surA-pUpa-palANxu-SaPara-odanam /
   piṣṭabhṛṣṭarasasvacchabhakṣyarocakamodakam // KNarm_3.7 //	pizwa-BRzwa-rasa-su-acCa-Bakzya-rocaka-modakam // KNarm_3.7 //
   caṭakāpūrṇapātrāṇi kṣīriṇī kṛsarā dadhi /	cawakA-pUrNa-pAtrANi kzIriNI kRsarA daDi /
   daśa kṛṣṇā daśa śvetāśchāgā meṣāścaturdaśa // KNarm_3.8 //	daSa kRzNAH daSa SvetAH-CAgAH mezAH-caturdaSa // KNarm_3.8 //
   bhastrā cetyādisambhāraścīrikālikhitaṃ kṣaṇāt /	BastrA ca-iti-Adi-samBAraH-cIrikA-liKitam kzaNAt /
   sajjīkṛtaṃ śrīsacivairbhogamitrairniyoginaḥ (?) // KNarm_3.9 //	sajjIkRtam SrI-sacivEH-Boga-mitrEH-niyoginaH (?) // KNarm_3.9 //
   tato nityāvadhānena bhagaliṅgavibhūṣitam /	tatas nitya-avaDAnena Baga-liFga-viBUzitam /
   cakāra maṇḍalaṃ śiṣyaḥ sindūrāntaritāntaram // KNarm_3.10 //	cakAra maNxalam SizyaH sindUra-antarita-antaram // KNarm_3.10 //
   athātmārāmatādambhamīlitāghūrṇitekṣaṇaḥ /	aTa-Atma-ArAma-tA-damBa-mIlita-AGUrNita-IkzaNaH /
   gururgṛhītaḥ śiṣyābhyāṃ savyadakṣiṇahastayoḥ // KNarm_3.11 //	guruH-gRhItaH SizyAByAm savya-dakziNa-hastayoH // KNarm_3.11 //
   śatamātreṇānuyātaḥ śiṣyāṇāmāyayau śanaiḥ /	Sata-mAtreNa-anuyAtaH SizyANAm-AyayO SanEs /
   luṇṭhiṃ kartumivātyugro nagarādhipatiḥ svayam // KNarm_3.12 //	luNWim kartum-iva-ati-ugraH nagara-aDipatiH svayam // KNarm_3.12 //
   carmakṛtsaunikaścakrī dhīvaro haṭṭatāpasaḥ /	carmakRt-sOnikaH-cakrI DIvaraH hawwa-tApasaH /
   vṛddhaveśyā kalyapālo madyabhaṭṭo jaradviṭaḥ // KNarm_3.13 //	vRdDaveSyA kalyapAlaH madya-BawwaH jarat-viwaH // KNarm_3.13 //
   pañca nāraṅgakā rugṇāstriṭāṅkāro 'tha pācakaḥ /	paQca nAraFgakAH rugNAH-triwAFkAraH aTa pAcakaH /
   gobhakṣo bhairavācāryaḥ kulācāryo 'tha vāyakaḥ // KNarm_3.14 //	go-BakzaH BErava-AcAryaH kula-AcAryaH aTa vAyakaH // KNarm_3.14 //
   cūlikākṛtarudrākṣo ghaṭilaśchinnanāsikaḥ /	cUlikA-kRta-rudrAkzaH GawilaH-Cinna-nAsikaH /
   mahāvratī bhagamukhaḥ śaivācāryastrighaṇṭikaḥ // KNarm_3.15 //	mahAvratI Baga-muKaH SEva-AcAryaH-tri-GaNwikaH // KNarm_3.15 //
   nagno velāvratī maunī stotrakṛjjānughaṇṭikaḥ /	nagnaH velAvratI mOnI stotra-kRt-jAnu-GaNwikaH /
   dvitrāśconmattavanitāḥ śvabhiḥ parivṛtāstathā // KNarm_3.16 //	dvitrAH-ca-unmatta-vanitAH SvaBiH parivRtAH-taTA // KNarm_3.16 //
   gūthaliptastathonmatto mantravādī rasāyanī /	gUTa-liptaH-taTA-unmattaH mantra-vAdI rasAyanI /
   indrajālī latāveśī vijñānī kāmatāttvikaḥ // KNarm_3.17 //	indrajAlI latA-veSI vijQAnI kAma-tAttvikaH // KNarm_3.17 //
   bhaṭṭāścānye gurordhūrtāḥ pānabhojanasevakāḥ /	BawwAH-ca-anye guroH-DUrtAH pAna-Bojana-sevakAH /
   viviśuḥ svinnanaivedyāmodavaktrodakākulāḥ // KNarm_3.18 //	viviSuH svinna-nEvedya-Amoda-vaktra-udaka-AkulAH // KNarm_3.18 //
   athāmapakvasaṃhārakāriṇaḥ sarvahāriṇaḥ /	aTa-Ama-pakva-saMhAra-kAriNaH sarva-hAriNaH /
   mattā gurubhaṭṭāścakrustiladhūpaghṛtakṣayam // KNarm_3.19 //	mattAH guru-BawwAH-cakruH-tila-DUpa-GRta-kzayam // KNarm_3.19 //
   eko dvau bahavaḥ paścānninyuste bhastrayā tathā /	ekaH dvO bahavaH paScAt-ninyuH-te BastrayA taTA /
   śālicūrṇayavākṣoṭabilvārghaghṛtacandanam // KNarm_3.20 //	SAli-cUrNa-yava-akzowa-bilva-arGa-GRta-candanam // KNarm_3.20 //
   %% iti gurubhaṭṭāḥ	%% iti guru-BawwAH
   tataḥ svabhaginī raṇḍā bālaiva vrataśālinī /	tatas sva-BaginI raNxA bAlA-eva vrata-SAlinI /
   dhṛtā niyoginā yāgaparicaryāvidhau guroḥ // KNarm_3.21 //	DRtA niyoginA yAga-paricaryA-viDO guroH // KNarm_3.21 //
   jayatyakhaṇḍaśītāṃśumaṇḍaladyutitaskarī /	jayati-aKaNxa-SItAMSu-maNxala-dyuti-taskarI /
   puṇḍarīkamukhī raṇḍā navayauvanamaṇḍitā // KNarm_3.22 //	puNxarIka-muKI raNxA nava-yOvana-maNxitAH // KNarm_3.22 //
   madaśauṇḍaṃ samuddaṇḍacaṇḍaṃ sukhakaraṇḍakam /	mada-SONxam samuddaNxa-caNxam suKa-karaNxakam /
   vinā caṇḍaratodghṛṣṭaṃ raṇḍā khaṇḍitamānasā // KNarm_3.23 //	vinA caNxa-rata-udGRzwam raNxA KaNxita-mAnasA // KNarm_3.23 //
   vistīrṇaśroṇipulinā pīvarorukucasthalī /	vistIrNa-SroNi-pulinA pIvara-Uru-kuca-sTalI /
   hariṇīhārinayanā raṇḍā netrarasāyanam // KNarm_3.24 //	hariNI-hAri-nayanAH raNxA netra-rasAyanam // KNarm_3.24 //
   raṇḍā skandhadvayāsaktamuktakeśī virājate /	raNxA skanDa-dvaya-Asakta-mukta-keSI virAjate /
   netrotpalamukhāmbhojabhṛṅgavyāpteva padminī // KNarm_3.25 //	netra-utpala-muKa-amBoja-BRFga-vyAptA-iva padminI // KNarm_3.25 //
   niḥsūtraruciraḥ kaṇṭhaḥ suvarṇasubhago bhagaḥ /	niHsUtra-ruciraH kaNWaH suvarNa-suBagaH BagaH /
   raṇḍāyāḥ karṇapāśau ca nirābharaṇasundarau // KNarm_3.26 //	raNxAyAH karNa-pASO ca nirABaraNa-sundarO // KNarm_3.26 //
   puṣpatāmbūlarahitā raṇḍā santyaktabhūṣaṇā /	puzpa-tAmbUla-rahitA raNxA santi-akta-BUzaNAH /
   lāvaṇyenātimātreṇa saṃvibhakteva vedhasā // KNarm_3.27 //	lAvaNyena-atimAtreNa saMviBaktA-iva veDasA // KNarm_3.27 //
   hāreṇa kiṃ sumadhyāyāḥ sukeśyāḥ kusumena kim /	hAreNa kim su-maDyAyAH sukeSyAH kusumena kim /
   kimañjanenāyatākṣyā raṇḍāyā maṇḍanena kim // KNarm_3.28 //	kim-aQjanena-Ayata-akzyAH raNxAyAH maNxanena kim // KNarm_3.28 //
   kiṃ dharmo yatra no raṇḍā dhiksukhaṃ raṇḍayā vinā /	kim DarmaH yatra naH raNxA Dik-suKam raNxayA vinA /
   raṇḍāhīno 'stu mā mokṣaḥ prauḍhairityuditaṃ viṭaiḥ // KNarm_3.29 //	raNxA-hInaH astu mA mokzaH prOXEH-iti-uditam viwEH // KNarm_3.29 //
   raṇḍā vilokya taruṇaṃ karoti bhrukuṭiṃ mṛṣā /	raNxA vilokya taruNam karoti Brukuwim mRzA /
   kaṇṭhagrahaṃ cintayantī manasā tu prahṛṣyati // KNarm_3.30 //	kaNWa-graham cintayantI manasA tu prahRzyati // KNarm_3.30 //
   saṃsmarantī ratisukhaṃ pīvarorukucasthalī /	saMsmarantI rati-suKam pIvara-Uru-kuca-sTalI /
   raṇḍā bhagasthalīṃ rātrau mṛdnātyucchvāsinī sadā // KNarm_3.31 //	raNxA Baga-sTalIm rAtrO mRdnAti-ucCvAsinI sadA // KNarm_3.31 //
   vīkṣate taruṇaṃ tiryakkāntaṃ subhagamānatā /	vIkzate taruNam tiryak-kAntam suBaga-m-AnatA /
   sravantī nirbharaṃ reto raṇḍā dhenuḥ payo yathā // KNarm_3.32 //	sravantI nirBaram retaH raNxA DenuH payaH yaTA // KNarm_3.32 //
   gauraḥ supīvaro dhatte raṇḍāyā muṇḍito bhagaḥ /	gOraH su-pIvaraH Datte raNxAyAH muNxitaH BagaH /
   merorarkahayollīḍhaśaṣpahemataṭabhramam // KNarm_3.33 //	meroH-arka-haya-ullIXa-Sazpa-hema-tawa-Bramam // KNarm_3.33 //
   turagādyācitānītastabdhadīrghadhvajo naraḥ /	turagAt-yAcita-AnIta-stabDa-dIrGa-DvajaH naraH /
   yadi nāma rate śakto raṇḍāṃ toṣayituṃ na vā // KNarm_3.34 //	yadi nAma rate SaktaH raNxAm tozayitum na vA // KNarm_3.34 //
   śrāddheṣu mugdhaviprāṇāṃ jaṭināṃ ca tapasvinām /	SrAdDezu mugDa-viprANAm jawinAm ca tapasvinAm /
   vaśe patati dhanyānāṃ raṇḍā rasataraṅgiṇī // KNarm_3.35 //	vaSe patati DanyAnAm raNxA rasa-taraFgiNI // KNarm_3.35 //
   cūlikānyastakusumaḥ karṇe kṛtapavitrakaḥ /	cUlikA-nyasta-kusumaH karNe kRta-pavitrakaH /
   yuvā raṇḍāpriyo vipraḥ kandarpeṇopamīyate // KNarm_3.36 //	yuvA raNxA-priyaH vipraH kandarpeNa-upamIyate // KNarm_3.36 //
   udañcadgurudaṇḍasya caṇḍasya brahmacāriṇaḥ /	udaQcat-guru-daNxasya caNxasya brahmacAriNaH /
   raṇḍā dadāti satataṃ śraddhayā mṛtabhojanam // KNarm_3.37 //	raNxA dadAti satatam SradDayA mRta-Bojanam // KNarm_3.37 //
   tameva tīrthayātrāsu paścānnayati sarvadā /	tam-eva tIrTa-yAtrAsu paScAt-nayati sarvadA /
   vahantī khaḍgapātreṇa balidhūpasamudgikām // KNarm_3.38 //	vahantI Kaxga-pAtreNa bali-DUpa-samudgikAm // KNarm_3.38 //
   parasparaprārthanayā sumuṇḍitabhagadhvajau /	paraspara-prArTanayA su-muNxita-Baga-DvajO /
   bhūkampakāriṇau rātrau tau raṇḍābrahmacāriṇau // KNarm_3.39 //	BUkampa-kAriNO rAtrO tO raNxA-brahmacAriNO // KNarm_3.39 //
   divā dambhanidhānāya namastīrthopasevine /	divA damBa-niDAnAya namaH-tIrTa-upasevine /
   rātrau raṇḍābhagāpānakṣībāya brahmacāriṇe // KNarm_3.40 //	rAtrO raNxA-Baga-apAna-kzIbAya brahmacAriNe // KNarm_3.40 //
   raṇḍā jaṭābhṛtāṃ bhītyā gauḍalāṭatapasvinām /	raNxA jawABRtAm BItyA gOxa-lAwa-tapasvinAm /
   dadāti .. rjitāṃ prītyā talliptoru .. vāsakṛt // KNarm_3.41 //	dadAti .. rjitAm prItyA tad-lipta-uru .. vA-asakRt // KNarm_3.41 //
   gatvā gurugṛhaṃ raṇḍā patyuḥ parvadine satī /	gatvA guru-gRham raNxA patyuH parva-dine satI /
   kaṣantī kaṭimā .. bhī raṇḍā nirdayamohanaiḥ // KNarm_3.42 //	kazantI kawimA .. BiH raNxA nirdaya-mohanEH // KNarm_3.42 //
   raṇḍā tattanmṛtoddhāradīkṣādivratakāriṇī /	raNxA tad-tad-mRtodDAra-dIkzA-Adi-vrata-kAriNI /
   dadāti niśi niḥśaṅkā kāmasattraṃ tapasvinām // KNarm_3.43 //	dadAti niSi niHSaFkA kAma-sattram tapasvinAm // KNarm_3.43 //
   liṅgārcanāpadeśena dattvā veśmani tālakam /	liFga-arcana-apadeSena dattvA veSmani tAlakam /
   karoti carmaliṅgena raṇḍā kaṇḍūvikhaṇḍanam // KNarm_3.44 //	karoti carma-liFgena raNxA kaNxU-viKaNxanam // KNarm_3.44 //
   tayopacaryamāṇo 'tha mṛgākṣyā gururākulaḥ /	tayA-upacaryamANaH aTa mRga-akzyAH guruH-AkulaH /
   śiṣyāśca tāṃ papurnetraiḥ kṣudhārtāḥ kṣīriṇīmiva // KNarm_3.45 //	SizyAH-ca tAm papuH-netrEH kzuDA-ArtAH kzIriNIm-iva // KNarm_3.45 //
   %% [iti] raṇḍā /	%% [iti] raNxA /
   tataḥ praviviśuste te dīkṣāsamayino narāḥ /	tatas praviviSuH-te te dIkzA-samayinaH narAH /
   baddhanetrapaṭā mithyāmohenevāndhakāritāḥ // KNarm_3.46 //	badDa-netra-pawAH miTyA-mohena-iva-anDa-kAritAH // KNarm_3.46 //
   atha vyajijñapadbhūminyastajānuḥ kṛtāñjaliḥ /	aTa vyajijQapat-BUmi-nyasta-jAnuH kRtAQjaliH /
   guruṃ niyoginaḥ {śraddhāśuddhāntaṃ} haṭṭatāpasaḥ // KNarm_3.47 //	gurum niyoginaH {SradDA-SudDa-antaM} hawwa-tApasaH // KNarm_3.47 //
   ihaiva suciraṃ nātha yāgavyagre tvayi sthite /	iha-eva su-ciram nATa yAga-vyagre tvayi sTite /
   pratīkṣante pare śiṣyā yāgotsavasamutsukāḥ // KNarm_3.48 //	pratIkzante pare SizyAH yAga-utsava-samutsukAH // KNarm_3.48 //
   ya eṣa prathito loke gṛhakṛtye mahattamaḥ /	yaH eza praTitaH loke gRha-kRtye mahattamaH /
   kṛtayāgasamārambhaḥ sa bhavantamudīkṣate // KNarm_3.49 //	kRta-yAga-samAramBaH sa Bavantam-udIkzate // KNarm_3.49 //
   brahmahatyādi pāpaṃ yanniḥsaṃkhyaṃ tasya vidyate /	brahmahatyA-Adi pApam yat-niHsaMKyam tasya vidyate /
   ekaghaṇṭāṭanatkāramātreṇa bhavatā hṛtam // KNarm_3.50 //	eka-GaNwA-awanatkAra-mAtreNa BavatA hRtam // KNarm_3.50 //
   manyate sa tṛṇaṃ sarvaṃ sarvasaṃhārapātakam /	manyate sa tRNam sarvam sarva-saMhAra-pAtakam /
   yato mūrdhni tvayā hastastasya pañcaphaṇo dhṛtaḥ // KNarm_3.51 //	yatas mUrDni tvayA hastaH-tasya paQca-PaNaH DRtaH // KNarm_3.51 //
   tvatprasādātsamuttīrṇāṃ sa kāmapi daśāṃ śritaḥ /	tvad-prasAdAt-samuttIrNAm sa kAm-api daSAm SritaH /
   śaṅkarāyatanebhyo 'pi śaivaḥ sarvaṃ jahāra yat // KNarm_3.52 //	SaFkara-AyataneByaH api SEvaH sarvam jahAra yat // KNarm_3.52 //
   sarvasvaharaṇaṃ dharmasatkāryaṃ brāhmaṇakṣayaḥ /	sarva-sva-haraNam Darma-sat-kAryam brAhmaNa-kzayaH /
   yattasya nirvikalpasya tattavaiva vijṛmbhitam // KNarm_3.53 //	yat-tasya nirvikalpasya tat-tava-eva vijRmBitam // KNarm_3.53 //
   [iti] *gṛhakṛtyamahattamaḥ svakaṣaṇakāmikāro vā /	[iti] *gRha-kRtya-mahattamaH sva-kazaNa-kAmikAraH vA /
   tvāmiyaṃ nātha gaṇikā nimantrayitumāgatā /	tvAm-iyam nATa gaNikA nimantrayitum-AgatA /
   ghaṭīpratiṣṭhā gehe 'syāḥ kriyatāṃ śiṣyavatsala // KNarm_3.54 //	GawI-pratizWA gehe asyAH kriyatAm Sizya-vatsala // KNarm_3.54 //
   vitīrṇairbhavatā nityaṃ vaśīkaraṇacūrṇakaiḥ /	vitIrNEH-BavatA nityam vaSIkaraNa-cUrNakEH /
   asthiśeṣāḥ kṛtāste te yayā dhanikakāmukāḥ // KNarm_3.55 //	asTi-SezAH kRtAH-te te yayA Danika-kAmukAH // KNarm_3.55 //
   śmaśānakośaśapathaiḥ kṣīṇajihvākarādharā /	SmaSAna-koSa-SapaTEH kzINa-jihvA-kara-aDarA /
   tvadrakṣārakṣitaivaiṣā kāmukacchadmacāriṇī // KNarm_3.56 //	tvad-rakzA-rakzitA-eva-ezA kAmuka=-Cadma-cAriNI // KNarm_3.56 //
   tailonmṛṣṭe manāksneho vadane na tu cakṣuṣi /	tEla-unmRzwe manAk-snehaH vadane na tu cakzuzi /
   veśyāyāḥ kṣīṇavitteṣu saṃkoco nāntyajātiṣu // KNarm_3.57 //	veSyAyAH kzINa-vittezu saMkocaH na-antya-jAtizu // KNarm_3.57 //
