   aitareyopaniṣad	Etareya-upanizad-
   svarūpamadarśaṃ dṛṣṭavānasmi, aho iti,ṝ.1.3.12vicāraṇārthā plutiḥ pūrvam	sva-rUpam-adarSam dRzwavAn-asmi, aho iti-,L.1.3.12vicAraNa-arTA plutiH pUrvam
   START 1,3.14	START 1,3.14
   yasmādidamityeva yatsākṣādaparokṣādbrahma sarvāntaramapaśyat parokṣeṇa -	yasmAt-idam-iti-eva yat-sAkzAt-aparokzAt-brahma sarva-antaram-apaSyat parokzeNa -
   tasmād idandro nāma |	tasmAt idandraH nAma |
   idandro ha vai nāma |	idandraH ha vE nAma |
   tam idandraṃ santam indra ity ācakṣate parokṣeṇa |	tam idandram santam indraH iti Acakzate parokzeNa |
   parokṣapriyā iva hi devāḥ parokṣapriyā iva hi devāḥ || AitUp_1,3.14 ||	parokza-priyAH iva hi devAH parokza-priyAH iva hi devAH || AitUB-_1,3.14 ||
   AitUpBh_1,3.14	Aitu-upBh_1,3.14
   tasmādidaṃ paśyatītīdandro nāma paramātmā /	tasmAt-idam paSyati-itIdandraH nAma paramAtmA /
   idandro ha vai nāma prasiddho loka īśvaraḥ /	idandraH ha vE nAma prasidDaH lokaH ISvaraH /
   tamevamidandraṃ santamindra iti parokṣeṇa parokṣābhidhānenācakṣate	tam-evam-idandram santam-indraH iti parokzeNa parokza-aBiDAnena-Acakzate
   brahmavidaḥ saṃvyavahārārtham -	brahma-vidaH saMvyavahAra-arTam -
   pūjyatamatvātpratyakṣanāmagrahaṇabhayāt /	pUjyatama-tvAt-pratyakza-nAma-grahaNa-BayAt /
   tathā hi parokṣāpriyāḥ parokṣanāmagrahaṇapriyā iva eva hi yasmāddevāḥ,	taTA hi parokza-apriyAH parokza-nAma-grahaNa-priyAH iva eva hi yasmAt-devAH,
   kimuta sarvadevānāmapi devo maheśvaraḥ /	kim-uta sarva-devAnAm-api devaH maheSvaraH /
   dvivacanaṃ prakṛtādhyāyaparisamāptyartham //14//	dvivacanam prakRta-aDyAya-parisamApti-arTam //14//
   iti prathamādhyāye tṛtīyaḥ khaṇḍaḥ samāptaḥ //3//	iti praTama-aDyAye tRtIyaH KaNxaH samAptaH //3//
   dvitīya adhyāya	dvitIya aDyAya
   prathama khaṇḍa	praTama KaNxa
   asmiṃścaturthe 'dhyāya eṣa vākyārthaḥ -	asmin=-caturTe aDyAyaH eza vAkya-arTaH -
   jagadutpattisthitipralayakṛdasaṃsārī sarvajñaḥ sarvaśaktiḥ	jagat-utpatti-sTiti-pralaya-kRt-asaMsArI sarvajQaH sarva-SaktiH
   sarvavitsarvamidaṃ jagatsvato 'nyadvastvantaramanupādāyaiva ākāśādikrameṇa	sarva-vid-sarvam-idam jagatsvatas anya-t-vastu-antaram-anupAdAya-eva AkASa-Adi-krameNa
   sṛṣṭvā svātmaprabodhanārthaṃ sarvāṇi ca prāṇādimaccharīrāṇi svayaṃ	sRzwvA sva-Atma-praboDana-arTam sarvANi ca prANa-Adimad-SarIrANi svayam
   praviveśa /	praviveSa /
   praviśya ca svamātmānaṃ yathāmṛtamidaṃ brahmāsmīti sākṣātpratyabudhyata /	praviSya ca svam-AtmAnam yaTA-amRtam-idam brahma-asmi-iti sAkzAt-pratyabuDyata /
   tasmātsa eva sarvaśarīreṣveka evātmā nānya iti /	tasmAt-saH eva sarva-SarIrezu-ekaH eva-AtmA na-anyaH iti /
   anyo 'pi"sama ātmā brahmāsmītyevaṃ vidyāt"iti /	anyaH api"samaH AtmA brahma-asmi-iti-evam vidyAt"iti /
   "ātmā vā idameka evāgra āsīt"(1 / 1 / 1) iti"brahma tatamam"(1 / 3 / 13)	"a-AtmA vE idam-ekaH eva-agre AsIt-"(1 / 1 / 1) iti"brahma tatamam"(1 / 3 / 13)
   iti coktam /	iti ca-uktam /
   anyatra ca /	anyatra ca /
   sarvagatasya sarvātmano bālāgramātramapyapraviṣṭaṃ nāstīti kathaṃ sīmānaṃ	sarva-gatasya sarva-AtmanaH bAla-agra-mAtram-api-apravizwam na-asti-iti kaTam sImAnam
   vidārya prāpadyata pipīlikeva suṣiram /	vidArya prApadyata pipIlikA-iva suziram /
   nanvatyalpamidaṃ codyaṃ bahu cātra codayitavyam /	nanu-atyalpam-idam ca-udyam bahu ca-atra codayitavyam /
   akaraṇaḥ sannīkṣata /	akaraNaH sannIkzata /
   anupādāya kiñcillokānasṛjata /	anupAdAya kiQcid-lokAn-asRjata /
   adbhyaḥ puruṣaṃ samuddhṛtyāmūrchayat /	adByaH puruzam samudDRtya-amUrCayat /
   tasmābhidhyānānmukhādi nirbhinnaṃ mukhādibhyaścāgnyādayo lokapālāsteṣāṃ	tasma-aBiDyAnAt-muKa-Adi nirBinnam muKa-AdiByaH-ca-agni-AdayaH lokapAlAH-tezAm
   cāśanāyāpipāsādisaṃyojanaṃ tadāyatanaprārthanaṃ tadarthaṃ	ca-aSanAya-apipAsA-Adi-saMyojanam tad-Ayatana-prArTanam tad-arTam
   gavādipradarśanaṃ teṣāṃ yathāyatanapraveśanaṃ sṛṣṭasyānnasya palāyanaṃ	gavA-Adi-pradarSanam tezAm yaTA-Ayatana-praveSanam sRzwasya-annasya palAyanam
   vāgādibhistajjighṛkṣāḥ, etatsarvaṃ sīmāvidāraṇapraveśasamameva /	vAc-AdiBiH-tad-jiGRkzAH, etat-sarvam sImA-vidAraNa-praveSa-samam-eva /
   astu tarhi sarvamevedamanupapannam /	astu tarhi sarvam-eva-idam-anupapannam /
   na, atrātmāvabodhamātrasya vivakṣitatvātsarvo 'yamarthavāda ityadoṣaḥ /	na, atra-Atma-avaboDa-mAtrasya vivakzita-tvAt-sarvaH ayam-arTa-vAdaH iti-adozaH /
   māyāvivadvā mahāmāyāvī devaḥ sarvajñaḥ sarvaśaktiḥ sarvametaccakāra /	mAyA-avivat-vA mahAmAyAvI devaH sarvajQaH sarva-SaktiH sarvam-etat-cakAra /
   sukhāvabodhanapratipattyarthaṃ lokavadākhyāyikādiprapañca iti yuktataraḥ	suKa-avaboDana-pratipatti-arTam loka-vat-AKyAyikA-Adi-prapaQcaH iti yuktataraH
   pakṣaḥ /	pakzaH /
   na hi sṛṣṭyākhyāyikādiparijñānātkiñcitphalamiṣyate /	na hi sRzwi-AKyAyikA-Adi-parijQAnAt-kiQcit-Palam-izyate /
   aikātmyasvarūpaparijñānāttu amṛtatvaṃ phalaṃ sarvopaniṣatprasiddham /	EkAtmya-svarUpa-parijQAnAt-tu amRta-tvam Palam sarva-upanizad-prasidDam /
   smṛtiṣu ca gītādyāsu"samaṃsarveṣu bhūteṣu tiṣṭhantaṃ parameśvaram"(gītā 13	smRtizu ca gIta-AdyAsu"-samaMsarvezu BUtezu tizWantam parameSvaram"(gItAH 13
   / 27) ityādinā /	/ 27) ityAdinA /
   nanu traya ātmānaḥ /	nanu trayaH AtmAnaH /
   bhoktā kartā saṃsārī jīva ekaḥ sarvalokaśāstraprasiddhaḥ /	BoktA kartA saMsArI jIvaH ekaH sarva-loka-SAstra-prasidDaH /
   anekaprāṇikarmaphalopabhogayogyānekādhiṣṭhānavallokadehanirmāṇena liṅgena	aneka-prANi-karma-Pala-upaBoga-yogyA-an-eka-aDizWAna-vat-loka-deha-nirmANena liFgena
   yathāśāstrapradarśitena puraprāsādādinirmāṇaliṅgena	yaTASAstra-pradarSitena pura-prAsAda-Adi-nirmANa-liFgena
   tadviṣayakauśalajñānavāṃstatkartā takṣādiriveśvaraḥ sarvajño jagataḥ kartā	tad-vizaya-kOSala-jQAnavAn=-tad-kartA takza-AdiH-iva-ISvaraH sarvajQaH jagataH kartA
   dvitīyaścetana ātmā avagamyate /	dvitIyaH-cetanaH AtmA avagamyate /
   "yato vāco nivartante"(tai.u.2 / 4 / 1) "neti neti"(bṛ.u.3 / 9 / 23)	"yataH vAcaH nivartante"(tE.u.2 / 4 / 1) "na-iti na-iti-"(bR.u.3 / 9 / 23)
   ityādiśāstraprasiddha aupaniṣadaḥ puruṣastṛtīyaḥ evamete traya	iti-Adi-SAstra-prasidDaH OpanizadaH puruzaH-tRtIyaH evam-ete traya
   ātmānānyonyavilakṣaṇāḥ tatra kathameka eva ātmā advitīyaḥ asaṃsārīti	AtmAnAnyonya-vilakzaNAH tatra kaTam-ekaH eva AtmA advitIyaH asaMsArI-iti
   jñātuṃ śakyate?	jQAtum Sakyate?
   tatra jīva eva tāvatkathaṃ jñāyate?	tatra jIvaH eva tAvat-kaTam jQAyate?
   nanvevaṃ jñāyate śrotā mantā draṣṭā ādeṣṭā āghoṣṭā vijñātā prajñāteti /	nanu-evam jQAyate SrotA mantA drazwA AdezwA AGozwA vijQAtA prajQAtA-iti /
   nanu vipratiṣiddhaṃ jñāyate yaḥ śravaṇādikartṛtvenāmato mantāvijñāto	nanu vipratizidDam jQAyate yaH SravaNa-Adi-kartR-tvena-Amatas mantA-vijQAtaH-
   vijñāteti ca /	vijQAtA-iti ca /
   tathā"na matermantāraṃ manvīthā na vijñātevijñātāraṃ vijānīyāḥ"(bṛ.u.3 / 4	taTA"na mateH-mantAram manvITAH na vijQAtevijQAtAram vijAnIyAH"(bR.u.3 / 4
   / 2) ityādi ca /	/ 2) ityAdi ca /
   satyaṃ vipratiṣiddham, yadi pratyakṣeṇa jñāyeta sukhādivat /	satyam vipratizidDam, yadi pratyakzeNa jQAyeta suKa-Adi-vat /
   pratyakṣajñānaṃ ca nivāryate"na matermantāraṃ manvīthāḥ"(bṛ.u.3 / 3 / 2)	pratyakza-jQAnam ca nivAryate"na mateH-mantAram manvITAH"(bR.u.3 / 3 / 2)
   ityādinā /	ityAdinA /
   jñāyate tu śravaṇādiliṅgena, tatra kuto vipratiṣedhaḥ /	jQAyate tu SravaNa-Adi-liFgena, tatra kutas vipratizeDaH /
   nanu śravaṇādiliṅgenāpi kathaṃ jñāyate? yāvatā yadā śṛṇotyātmā śrotavyaṃ	nanu SravaNa-Adi-liFgena-api kaTam jQAyate? yAvatA yadA SRNoti-AtmA Srotavyam
   śabdaṃ tadā tasya śravaṇakriyayaiva vartamānatvānmananavijñānakriye na	Sabdam tadA tasya SravaNa-kriyayA-eva vartamAna-tvAt-manana-vijQAna-kriye na
   saṃbhavataḥ ātmani paratra vā /	saMBavataH Atmani paratra vA /
   tathānyatrāpi mananādikriyāsu /	taTA-anyatra-api mananA-Adi-kriyAsu /
   śravaṇādikriyāśca svaviṣayeṣveva /	SravaNa-Adi-kriyAH-ca sva-vizayezu-eva /
   na hi mantavyādanyatra manturmananakriyā saṃbhavati /	na hi mantavyAt-anyatra mantuH-manana-kriyA saMBavati /
   nanu manasā sarvameva mantavyam /	nanu manasA sarvam-eva mantavyam /
   satyamevaṃ tathāpi sarvamapi mantavyaṃ mantāramantareṇa na mantuṃ śakyam /	satyam-evam taTA-api sarvam-api mantavyam mantAram-antareNa na mantum Sakyam /
   yadyevaṃ kiṃ syāt?	yadi-evam kim syAt-?
   idamatra syāt, sarvasya yo 'yaṃ mantā sa mantaiveti na sa mantavyaḥ syāt /	idam-atra syAt, sarvasya yaH ayam mantA sa mantA-eva-iti na sa mantavyaH syAt /
   na ca dvitīyo manturmantāsti /	na ca dvitIyaH mantuH-mantA-asti /
   yadā sa ātmanaiva mantavyastadā yena ca mantavyaḥ ātmā ātmanā yaśca	yadA saH AtmanA-eva mantavyaH-tadA yena ca mantavyaH AtmA AtmanA yaH-ca
   mantavya ātmā tau dvau prasajyeyātām /	mantavyaH AtmA tO dvO prasajyeyAtAm /
   eka evātmā dvidhā mantṛmantavyatvena dviśakalībhavedvaṃśādivat	ekaH eva-AtmA dviDA mantR-mantavya-tvena dvi-SakalIBavet-vaMSa-Adi-vat-
   ubhayathāpyanupapattireva /	uBayaTA-api-anupapattiH-eva /
   yathā pradīpayoḥ prakāśyaprakāśakatvānupapattiḥ samatvāttadvat /	yaTA pradIpayoH prakASya-prakASaka-tva-anupapattiH samatvAt-tadvat /
   na ca manturmantavye mananavyāpāraśūnyaḥ kālo 'styātmamananāya /	na ca mantuH-mantavye manana-vyApAra-SUnyaH kAlaH asti-Atma-m-ananAya /
   yadāpi liṅgenātmānaṃ manute mantāḥ, tadāpi pūrvavadeva liṅgena mantavya	yadA-api liFgena-AtmAnam manute mantAH, tadA-api pUrvavat-eva liFgena mantavya
   ātmā yaśca tasya mantā tau dvau prasajyeyātām /	AtmA yaH-ca tasya mantA tO dvO prasajyeyAtAm /
   eka eva vā dvidheti pūrvoktadoṣaḥ /	ekaH eva vA dviDA-iti pUrva-ukta-dozaH /
   na pratyakṣeṇa nāpyanumānena jñāyate cet kathamucyate"sa ma ātmeti	na pratyakzeNa na-api-anumAnena jQAyate ced kaTam-ucyate"-sa me AtmA-iti
   vidyāt"(kauṣī.3 / 9) iti? kathaṃ vā śrotā mantetyādi?	vidyAt-"(kOzI.3 / 9) iti? kaTam vA SrotA mantA-ityAdi?
   nanu śrotṛtvādidharmavānātmā aśrotṛtvādi ca prasiddhamātmanaḥ /	nanu SrotR-tva-Adi-DarmavAn-AtmA aSrotR-tva-Adi ca prasidDam-AtmanaH /
   kimatra viṣamaṃ paśyasi?	kim-atra vizamam paSyasi?
   yadyapi tava na viṣamaṃ tathāpi mama tu viṣamaṃ pratibhāti /	yadi-api tava na vizamam taTA-api mama tu vizamam pratiBAti /
   katham? yadāsau śrotā tadā na mantā yadā mantā tadā na śrotā /	kaTam? yadA-asO SrotA tadA na mantA yadA mantA tadA na SrotA /
   tatraivaṃ sati pakṣe śrotā mantā pakṣe na śrotā nāpi mantā /	tatra-evam sati pakze SrotA mantA pakze na SrotA na-api mantA /
   tathānyatrāpi ca /	taTA-anyatra-api ca /
   yadaivaṃ tadā śrotṛtvādidharmavānātmā aśrotṛtvādidharmavānveti	yadA-evam tadA SrotR-tva-Adi-DarmavAn-AtmA aSrotR-tva-Adi-DarmavAn-veti
   saṃśayasthāne kathaṃ tava na vaiṣamyam /	saMSaya-sTAne kaTam tava na vEzamyam /
   yadā devadatto gacchati tadā na sthātā gantaiva /	yadA devadattaH gacCati tadA na sTAtA gantA-eva /
   yadā tiṣṭhati tadā na gantā sthātaiva /	yadA tizWati tadA na gantA sTAtA-eva /
   tadā asya pakṣa eva gantṛtvaṃ sthātṛtvaṃ ca /	tadA asya pakzaH eva gantR-tvam sTAtR-tvam ca /
   na nityaṃ gantṛtvaṃ sthātṛtvaṃ vā /	na nityam gantR-tvam sTAtR-tvam vA /
   tadvat /	tadvat /
   tathaivātra kāṇādādayaḥ paśyanti /	taTA-eva-atra kANAt-a-AdayaH paSyanti /
   pakṣaprāptenaiva śrotṛtvādinā ātmocyate śrotā mantetyādivacanāt /	pakza-prAptena-eva SrotR-tva-AdinA AtmA-ucyate SrotA mantA-ityAdi-vacanAt /
   saṃyogajatvamayaugapadyaṃ ca jñānasya hyācakṣate /	saMyoga-ja-tvam-ayOgapadyam ca jQAnasya hi-Acakzate /
   darśayanti cānyatramanā /	darSayanti ca-anyatramanAH /
   abhūvaṃ nādarśamityādi yugapajjñānānupattirmanaso liṅgamiti ca nyāyyam /	aBUvam na-AdarSam-ityAdi yugapad-jQAna-anupattiH-manasaH liFgam-iti ca nyAyyam /
   bhavatvevam kiṃ tava naṣṭaṃ yadyevaṃ syāt?	Bavatu-evam kim tava nazwam yadi-evam syAt-?
   astvevaṃ taveṣṭaṃ cet /	astu-evam tava-izwam ced /
   śrutyarthastu na saṃbhavati /	Sruti-arTaH-tu na saMBavati /
   kiṃ na śrotā mantetyādiśrutyathaḥ	kim na SrotA mantA-iti-Adi-Sruti-aTaH
   na, na śrotā na mantetyādivacanāt /	na, na SrotA na mantA-ityAdi-vacanAt /
   nanu pākṣikatvena pratyuktaṃ tvayā /	nanu pAkzika-tvena pratyuktam tvayA /
   na, nityameva śrotṛtvādyabhyupagamāt /	na, nityam-eva SrotR-tva-Adi-aByupagamAt /
   "na hi śrotuḥ śruterviparilopo vidyate"(bṛ.u.4 / 3 / 27) ityādiśruteḥ /	"na hi SrotuH SruteH-viparilopaH vidyate"(bR.u.4 / 3 / 27) iti-Adi-SruteH /
   evaṃ tarhi nityameva śrotṛtvādyabhyupagame pratyakṣaviruddhā	evam tarhi nityam-eva SrotR-tva-Adi-aByupagame pratyakza-virudDA
   yugapajjñānotpattirajñānābhāvāvaścātmanaḥ kalpitaḥ syāt /	yugapad-jQAna-utpattiH-ajQAna-aBAva-avaH-ca-AtmanaH kalpitaH syAt /
   taccāniṣṭamiti /	tat-ca-anizwam-iti /
   nobhayadoṣopapattiḥ /	na-uBaya-doza-upapattiH /
   ātmanaḥ śrutyādiśrotṛtvādidharmavattvaśruteḥ /	AtmanaH Sruti-Adi-SrotR-tva-Adi-Darmavat-tva-SruteH /
   anityānāṃ mūrtānāṃ ca cakṣurādīnāṃ dṛṣṭyādyanityameva	anityAnAm mUrtAnAm ca cakzuH-AdInAm dRzwi-Adi-anityam-eva
   saṃyogaviyogadharmiṇām, yathāgnerjvalanaṃ tṛṇādisaṃyogajatvāttadvat /	saMyoga-viyoga-DarmiNAm, yaTA-agneH-jvalanam tRNa-Adi-saMyoga-ja-tvAt-tadvat /
   na tu nityasyāmūrtasyāsaṃyogaviyogadharmiṇaḥ	na tu nityasya-amUrtasya-asaMyoga-viyoga-DarmiNaH
   saṃyogajadṛṣṭyādyanityadharmavattvaṃ saṃbhavati /	saMyoga-ja-dRzwi-Adi-anitya-Darmavat-tvam saMBavati /
   tathā ca śrutiḥ"na hi draṣṭurdṛṣṭerviparilopo vidyate"(bṛ.u.4 / 3 / 23)	taTA ca SrutiH"na hi drazwuH-dRzweH-viparilopaH vidyate"(bR.u.4 / 3 / 23)
   ityādyā /	ityAdyAH /
   evaṃ tarhi dve dṛṣṭī cakṣuṣo 'nityādṛṣṭirnityā cātmanaḥ /	evam tarhi dve dRzwI cakzuzaH anitya-adRzwiH-nityA ca-AtmanaH /
   tathā ca dve śrutī śrotrasyānityā nityā cātmasvarūpasya /	taTA ca dve SrutI Srotrasya-anityAH nityA ca-Atma-svarUpasya /
   tathā dve matī vijñātī bāhyābāhye evaṃ hyeva /	taTA dve matI vijQAtI bAhyA-bAhye evam hi-eva /
   tathā ceyaṃ śrutirupapannā bhavati"dṛṣṭerdraṣṭā śruteḥ śrotā"ityādyā /	taTA ca-iyam SrutiH-upapannA Bavati"dRzweH-drazwA SruteH SrotA"-iti-AdyAH /
   loko 'pi prasiddhaṃ cakṣuṣastimirāgamāpāyayornaṣṭā dṛṣṭirjātā dṛṣṭiriti	lokaH api prasidDam cakzuzaH-timira-Agama-apAyayoH-nazwA dRzwiH-jAtA dRzwiH-iti
   cakṣurdṛṣṭeranityatvam tathā ca śrutimatyādīnāmātmadṛṣṭyādīnāṃ ca	cakzuH-dRzweH-anitya-tvam taTA ca SrutimatI-AdInAm-Atma-dRzwi-AdInAm ca
   nityatvaṃ prasiddhameva loke /	nitya-tvam prasidDam-eva loke /
   vadati hi uddhṛtacakṣuḥ svapne 'dyamayā bhrātā dṛṣṭa iti /	vadati hi udDRta-cakzuH svapne adyamayA BrAtA dRzwaH iti /
   tathāvagatabādhiryaḥ svapneśruto mantro 'dyetyādi /	taTA-avagata-bADiryaH svapna-ISrutaH mantraH adya-ityAdi /
   yadi cakṣuḥsaṃyogajaivātmano nityā dṛṣṭistannāśo naśyet /	yadi cakzuH-saMyoga-jEva-AtmanaH nityA dRzwiH-tad-nASaH naSyet /
   tadoddhṛtacakṣuḥ svapne nīlapītādi na paśyet /	tadA-udDRta-cakzuH svapne nIla-pIta-Adi na paSyet /
   "na hi draṣṭurdṛṣṭeḥ"(bṛ.u.4 / 3 / 23) ityādyā ca śrutiranupapannā syāt /	"na hi drazwuH-dRzweH"(bR.u.4 / 3 / 23) ityAdyA ca SrutiH-anupapannA syAt /
   "taccakṣuḥ puruṣo yena svapne paśyati"ityādyā ca śrutiḥ /	"tat-cakzuH puruzaH yena svapne paSyati"ityAdyA ca SrutiH /
   nityā ātmano dṛṣṭirbāhyānityadṛṣṭergrāhikā /	nityAH AtmanaH dRzwiH-bAhya-aniti-adRzweH-grAhikAH /
   bāhyadṛṣṭeścopajanāpāyādyānityadharmavattvāttadgrāhikāyā	bAhya-dRzweH-ca-upajana-apAya-Adya-aniti-aDarmavat-tvAt-tad-grAhikAyA
   ātmadṛṣṭestadvadavabhāsatvamanityatvādi bhrāntinimittaṃ lokasyeti yuktam /	Atma-dRzweH-tadvat-avaBAsa-tvam-anitya-tva-Adi BrAnti-nimittam lokasya-iti yuktam /
   yathā bhramaṇādidharmavadalātādivastuviṣayadṛṣṭirapi bhramatīva tadvat /	yaTA BramaNa-Adi-Darma-vat-alAta-Adi-vastu-vizaya-dRzwiH-api Bramati-iva tadvat /
   tathā ca śrutiḥ"dhyāyatīva lelāyatīva"(bṛ.u.4 / 3 / 7) iti /	taTA ca SrutiH"DyAyati-iva lelAyati-iva-"(bR.u.4 / 3 / 7) iti /
   tasmādātmadṛṣṭernityatvānna yaugapadyamayaugapadyaṃ vāsti /	tasmAt-Atma-dRzweH-nitya-tvAt-na yOgapadyamayOgapadyam vA-asti /
   bāhyānityadṛṣṭyupādhivaśāttu lokasya tārkikāṇāṃ	bAhya-aniti-adRzwi-upADi-vaSAt-tu lokasya tArkikANAm
   cāgamasaṃpradāyavarjitatvād anityā ātmano dṛṣṭiriti bhrāntirupapannaiva /	ca-Agama-saMpradAya-varjita-tvAt anityAH AtmanaH dRzwiH-iti BrAntiH-upapannA-eva /
   jīveśvaraparamātmabhedakalpanā caitannimittaiva /	jIveSvara-paramAtma-Beda-kalpanA ca-etad-nimitta-eva /
   tathā ca asti nāstītyādyāśca yāvanto vāṅmanasayorbhedā yatraikaṃ bhavanti,	taTA ca asti na-asti-ityAdyAH-ca yAvantaH vAc-manasayoH-BedAH yatra-ekam Bavanti,
   tadviṣayāyā nityāyā dṛṣṭernirviśeṣāyāḥ asti nāsti, ekaṃ nānā,	tad-vizayAyAH nityAyAH dRzweH-nirviSezAyAH asti nAsti, ekam nAnA,
   guṇavadaguṇam, jānāti na jānāti, kriyāvadakriyam phalavadaphalam, sabījaṃ	guNavat-aguNam, jAnAti na jAnAti, kriyAvat-akriyam Palavat-aPalam, sa-bIjam
   nirbījam, sukhaṃ duḥkham, madhyamamadhyam, śūnyamaśūnyam, paro 'hamanya	nirbIjam, suKam duHKam, maDyama-maDyam, SUnyam-aSUn-yam, paraH aham-anya
   iti vā saravavākpratyayāgocare svarūpe yo vikalpayitumicchati, sa nūnaṃ	iti vA sarava-vAc-pratyaya-agocare svarUpe yaH vikalpayitum-icCati, sa nUnam
   khamati carmavadveṣṭayitumicchati, sopānamiva ca padbhyāmāroḍhum jale khe	Kamati carma-vat-vezwayitum-icCati, sopAnam-iva ca padByAm-AroXum jale Ke
   ca mīnānāṃ vayasāṃ ca padaṃ didṛkṣate /	ca mInAnAm vayasAm ca padam didRkzate /
   "neti neti"(bṛ.u.3 / 9 / 23) "yato vāco nivartante"(tai.u.2 / 4 / 1)	"nA-iti na-iti-"(bR.u.3 / 9 / 23) "yataH vAcaH nivartante"(tE.u.2 / 4 / 1)
   ityādiśrutibhyaḥ /	ityAdi-SrutiByaH /
   "ko addhā veda"(ṛ.saṃ.1 / 3 / 6) ityādimantravarṇāt /	"kaH adDA veda"(R.saM.1 / 3 / 6) ityAdi-mantra-varNAt /
   kathaṃ tarhi tasya sa ma ātmeti vedanam /	kaTam tarhi tasya sa me AtmA-iti vedanam /
   brūhi kena prakāreṇa tamahaṃ sa ma ātmeti vidyām /	brUhi kena prakAreNa tam-aham sa me AtmA-iti vidyAm /
   atrākhyāyikāmācakṣate - kaścitkila manuṣyo mugdhaḥ kaiściduktaḥ	atra-AKyAyikAm-Acakzate  kaScid-kila manuzyaH mugDaH kEScid-uktaH
   kasmiṃścidaparādhe sati dhiktvāṃ nāsi manuṣya iti /	kasmiMScid-aparADe sati Dik-tvAm na-asi manuzyaH iti /
   sa mugdhatayā ātmano manuṣyatvaṃ pratyāyayituṃ kañcidupetyāha bravītu	sa mugDa-tayA AtmanaH manuzya-tvam pratyAyayitum kaQcid-upetya-Aha bravItu
   bhavānko 'hamasmīti /	BavAn-kaH aham-asmi-iti /
   sa tasya mugdhatāṃ jñātvāha /	sa tasya mugDa-tAm jQAtvA-Aha /
   krameṇa bodhayiṣyāmīti /	krameNa boDayizyAmi-iti /
   sthāvarādyātmabhāvamapohya na tvamamanuṣya ityuktvopararāma /	sTAvara-Adi-Atma-BAvam-apohya na tvam-amanuzyaH iti-uktvA-upararAma /
   sa taṃ mugdhaḥ pratyāha bhavānmāṃ bodhayituṃ pravṛttastūṣṇīṃ babhūva /	sa tam mugDaH pratyAha BavAn-mAm boDayitum pravRttaH-tUzNIm baBUva /
   kiṃ na bodhayatīti? tādṛgeva tadbhavito vacanam /	kim na boDayati-iti? tAdRS-eva tad-BavitaH vacanam /
   nāsyamanuṣya ityukte 'pi manuṣyatvamātmano na pratipadyate yaḥ sa kathaṃ	na-Asya-manuzyaH iti-ukte api manuzya-tvam-AtmanaH na pratipadyate yaH sa kaTam
   manuṣyo 'sītyukto 'pi manuṣyatvamātmanaḥ pratipadyeta	manuzyaH asi-iti-uktaH api manuzya-tvam-AtmanaH pratipadyeta
   tasmādyathāśāstropadeśa evātmāvabodhavidhirnānyaḥ /	tasmAt-yaTASAstra-upadeSaH eva-Atma-avaboDa-viDiH-na-anyaH /
   na hyagnerdāhyaṃ tṛṇādyanyena kenaciddgdhuṃ śakyam /	na hi-agneH-dAhyam tRNa-Adi-anyena kenacid-dgDum Sakyam /
   ata eva śāstramātmasvarūpaṃ bodhayituṃ pravṛttaṃ	atas eva SAstram-Atma-svarUpam boDayitum pravRttam
   sadamanuṣyatvapratiṣedheneva"neti neti"	sat-amanuzya-tva-pratizeDena-iva"-na-iti na-iti"
   (bṛ.u.3 / 9 / 23) ityuktvopararāma /	(bR.u.3 / 9 / 23) iti-uktvA-upararAma /
   tathā"ananta ramabāhyam"(bṛ.u.2 / 5 / 19, 3 / 8 / 8) "ayamātmā brahma	taTA-a"ananta rama-bAhyam"(bR.u.2 / 5 / 19, 3 / 8 / 8) "ayam-AtmA brahma
   sarvānubhūḥ"(bṛ.u.2 / 5 -19) ityanuśāsanam /	sarva-anuBUH-"(bR.u.2 / 5 -19) iti-anuSAsanam /
   "tattvamasi"(chā.u.3 / 8 / 16) "yatra tvasya sarvamātmaivābhūttatkena kaṃ	"tattvam-asi"(-CA.u.3 / 8 / 16) "yatra tu-asya sarvam-AtmA-eva-aBUt-tat-kena kam
   paśyet"(bṛ.u.2 / 4 / 14, 4 / 5 / 15) ityevamādyapi ca /	paSyet-"(bR.u.2 / 4 / 14, 4 / 5 / 15) iti-evamAdi-api ca /
   yāvadayamevaṃ yathoktamimamātmānaṃ na vetti tāvadayaṃ	yAvat-ayam-evam yaToktam-imam-AtmAnam na vetti tAvat-ayam
   bāhyānityadṛṣṭilakṣaṇamupādhimātmatvenopetya avidyayā upādhidharmānātmano	bAhya-aniti-a-dRzwi-lakzaNam-upADim-Atma-tvena-upetya avidyayA upADi-DarmAn-AtmanaH-
   manyamāno brahmādistambaparyanteṣu devatiryaṅnarasthāneṣu punaḥ	manyamAnaH brahma-Adi-stamba-paryantezu deva-tiryak-nara-sTAnezu punar-
   punarāvartamāno 'vidyākāmakarmavaśātsaṃsarati /	punar-AvartamAnaH avidyA-kAma-karma-vaSAt-saMsarati /
   sa evaṃ punarevameva nadīsrotovajjanmamaraṇaprabandhāvicchedena vartamānaḥ	saH evam punar-evam-eva nadI-srotaH-vat-janma-maraNa-prabanDa-avicCedena vartamAnaH
   kābhiravasthābhirvartata ityetamarthaṃ darśayantyāha śrutirvairāgyahetoḥ -	kABiH-avasTABiH-vartate iti-etam-arTam darSayanti-Aha SrutiH-vErAgya-hetoH -
