   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   prāsādādyā mahāvidyā ToT_3.31a	prAsAda-AdyAH mahAvidyA ToT_3.31a
   priye randhrasahasrakam ToT_7.12b	priye ranDra-sahasrakam ToT_7.12b
   prītisaṃrakṣaṇīṃ tathā ToT_4.28b	prIti-saMrakzaNIm taTA ToT_4.28b
   plavantī cārdhamātrayā ToT_6.48b	plavantI ca-arDa-mAtrayA ToT_6.48b
   phaṭkāreṇa vinikṣipet ToT_3.49b	PawkAreNa vinikzipet ToT_3.49b
   phaladā nāsti yogini ToT_6.25b	Pala-dA na-asti yogini ToT_6.25b
   baddhayoniṃ mahāmudrāṃ ToT_3.1c	badDayonim mahAmudrAm ToT_3.1c
   baddhayoniṃ samāsataḥ ToT_3.2b	badDa-yonim samAsatas ToT_3.2b
   balabhadrastu bhairavī ToT_10.10d	balaBadraH-tu BEravI ToT_10.10d
   balidānaṃ tato homaṃ ToT_3.67c	bali-dAnam tatas homam ToT_3.67c
   balidānaṃ maheśāni ToT_6.38c	bali-dAnam maheSAni ToT_6.38c
   baliṃ dadyādvicakṣaṇaḥ ToT_4.36d	balim dadyAt-vicakzaNaH ToT_4.36d
   bahu kiṃ kathyate devi ToT_2.23a	bahu kim kaTyate devi ToT_2.23a
   bahu kiṃ kathyate devi ToT_2.23c	bahu kim kaTyate devi ToT_2.23c
   bahu kiṃ kathyate devi ToT_5.45c	bahu kim kaTyate devi ToT_5.45c
   bahucāmaraghaṇṭādi- ToT_4.19a	bahu-cAmara-GaNwA-Adi ToT_4.19a
   bahuyonyuktavidhinā ToT_10.3c	bahuyoni-ukta-viDinA ToT_10.3c
   bahuyonyuktavidhinā ToT_10.5c	bahuyoni-ukta-viDinA ToT_10.5c
   bāṇasaṃkhyajalāntakāḥ ToT_8.7d	bANa-saMKya-jala-antakAH ToT_8.7d
   bāhyamālā prakīrtitā ToT_9.32b	bAhya-mAlA prakIrtitAH ToT_9.32b
   bāhye tu mātṛkāṃ nyaset ToT_3.61b	bAhye tu mAtRkAm nyaset ToT_3.61b
   binducakrāmṛtā devi ToT_6.48a	bindu-cakra-amRtA devi ToT_6.48a
   bindunādakalāyuktaṃ ToT_5.3a	bindu-nAda-kalA-yuktam ToT_5.3a
   bindunirvāṇadaṃ nādaṃ ToT_6.9c	bindu-nirvANa-dam nAdam ToT_6.9c
   bindumadhye paraṃ jyotir ToT_4.15a	bindu-maDye param jyotiH ToT_4.15a
   bindumadhye maṇidvīpaṃ ToT_4.14c	bindu-maDye maNidvIpam ToT_4.14c
   bindumastakabhālaṃ tu ToT_6.5c	bindu-mastaka-BAlam tu ToT_6.5c
   bindumastakamīritam ToT_6.30b	bindu-mastakam-Iritam ToT_6.30b
   bindumānaṃ mahādeva ToT_8.10a	bindu-mAnam mahAdeva ToT_8.10a
   bindurūpaṃ paraṃ śivam ToT_6.26b	bindu-rUpam param Sivam ToT_6.26b
   bindurūpaṃ paraṃ śivam ToT_8.12b	bindu-rUpam param Sivam ToT_8.12b
   binduśaktiṃ niyojayet ToT_8.22b	bindu-Saktim niyojayet ToT_8.22b
   binduśaktiṃ samutthāpya ToT_8.22c	bindu-Saktim samutTApya ToT_8.22c
   binduśabdena śūnyaṃ syāt ToT_6.47c	bindu-Sabdena SUnyam syAt ToT_6.47c
   binduṃ cāvyayasaṃjñakam ToT_6.47b	bindum ca-avyaya-saMjQakam ToT_6.47b
   bījakośe śivālaye ToT_9.15b	bIja-koSe Siva-Alaye ToT_9.15b
   bījanyāsaṃ tato devi ToT_3.63c	bIjanyAsam tatas devi ToT_3.63c
   bījabhūṣitakartṛkām ToT_4.13b	bIja-BUzita-kartRkAm ToT_4.13b
   bījaṃ tu kālikārūpaṃ ToT_6.4c	bIjam tu kAlikA-rUpam ToT_6.4c
   bījaikaṃ parameśvari ToT_3.15b	bIja-ekam parameSvari ToT_3.15b
   budbudākāramaṇḍalam ToT_4.15b	budbuda-AkAra-maNxalam ToT_4.15b
   bṛhadbrahmāṇḍaṃ yadrūpaṃ ToT_2.2c	bRhat-brahmANxam yat-rUpam ToT_2.2c
   brahmanāḍī ca tanmadhye ToT_8.5c	brahmanAxI ca tad-maDye ToT_8.5c
   brahmarūpaṃ kakāraṃ ca ToT_6.7c	brahma-rUpam kakAram ca ToT_6.7c
   brahmalokaṃ pareśāni ToT_8.13a	brahma-lokam pareSAni ToT_8.13a
   brahmavidyāsvarūpeyaṃ ToT_6.42c	brahma-vidyA-svarUpA-iyam ToT_6.42c
   brahmaviṣṇuśivaḥ sākṣāt ToT_6.13a	brahma-vizNu-SivaH sAkzAt ToT_6.13a
   brahmaviṣṇuśivātmakam ToT_6.54b	brahma-vizNu-Siva-Atmakam ToT_6.54b
   brahmaśāpaṃ śukraśāpaṃ ToT_4.27a	brahma-SApam Sukra-SApam ToT_4.27a
   brahmahatyā bhaviṣyati ToT_5.37d	brahmahatyA Bavizyati ToT_5.37d
   brahmāṇḍe yāni tīrthāni ToT_2.2a	brahmANxe yAni tIrTAni ToT_2.2a
   brahmāṇḍe vartate tīrthaṃ ToT_2.3a	brahmANxe vartate tIrTam ToT_2.3a
   brahmāṇḍo dahyate yataḥ ToT_8.21b	brahmANxaH dahyate yatas ToT_8.21b
   brāhmaṇaḥ sādhakottamaḥ ToT_5.21d	brAhmaNaH sADaka-uttamaH ToT_5.21d
   brāhmaṇe vedapārage ToT_6.37b	brAhmaNe vedapArage ToT_6.37b
   brāhmyādīnasitāṅgādīn ToT_3.66c	brAhmI-AdIn-asita-aFga-AdIn ToT_3.66c
   brāhmyādīṃścāṣṭabhairavān ToT_3.75d	brAhmI-AdIn=-ca-azwa-BEravAn ToT_3.75d
   brūhi me jagatāṃ guro ToT_10.7d	brUhi me jagatAm guro ToT_10.7d
   brūhi me jagatāṃ nātha ToT_1.1a	brUhi me jagatAm nATa ToT_1.1a
   brūhi me jagatāṃnātha ToT_9.6c	brUhi me jagatAMnATa ToT_9.6c
   brūhi me devadeveśa ToT_7.2a	brUhi me devadeveSa ToT_7.2a
   bhavatyeva na saṃśayaḥ ToT_9.34d	Bavati-eva na saMSayaH ToT_9.34d
   bhavābdhau na nimajjati ToT_3.22d	Bava-abDO na nimajjati ToT_3.22d
   bhavet svargasya bhājanam ToT_9.30b	Bavet svargasya BAjanam ToT_9.30b
   bhavedṛṣisahasrakam ToT_7.14b	Bavet-Rzi-sahasrakam ToT_7.14b
   bhaved bhūtalavāsinaḥ ToT_7.11d	Bavet BU-tala-vAsinaH ToT_7.11d
   bhasma kuryād vicakṣaṇaḥ ToT_4.9d	Basma kuryAt vicakzaNaH ToT_4.9d
   bhasmanā saha recayet ToT_4.10b	BasmanA saha recayet ToT_4.10b
   bhāgaṃ cānyena vidyate ToT_9.34b	BAgam ca-anyena vidyate ToT_9.34b
   bhāgaṃ binduṃ sudurlabham ToT_4.14b	BAgam bindum su-durlaBam ToT_4.14b
   bhāgaṃ binduṃ suvistaram ToT_8.11b	BAgam bindum su-vistaram ToT_8.11b
   bhāvayet sarvamantrāṇāṃ ToT_6.28c	BAvayet sarva-mantrANAm ToT_6.28c
   bhāvayet sādhakottamaḥ ToT_6.32d	BAvayet sADaka-uttamaH ToT_6.32d
   bhāvayet siddhihetave ToT_9.42b	BAvayet sidDi-hetave ToT_9.42b
   bhāvayogo na labhyate ToT_9.5d	BAva-yogaH na laByate ToT_9.5d
   bhujagākārarūpiṇī ToT_2.5b	Bujaga-AkAra-rUpiNI ToT_2.5b
   bhujacatuṣṭayaṃ dehaṃ ToT_6.31a	Buja-catuzwayam deham ToT_6.31a
   bhujyate yakṣarākṣasaiḥ ToT_5.44d	Bujyate yakza-rAkzasEH ToT_5.44d
   bhuvaneśvarī vāmanaḥ ToT_10.10a	BuvaneSvarI vAmanaH ToT_10.10a
   bhūtakātyāyanī devī ToT_9.38a	BUtakAtyAyanI devI ToT_9.38a
   bhūtakātyāyanīṃ śṛṇu ToT_9.36b	BUtakAtyAyanIm SRNu ToT_9.36b
   bhūtapūrvāṃ prayatnataḥ ToT_9.25d	BUta-pUrvAm prayatnataH ToT_9.25d
   bhūtaśuddhim athācaret ToT_3.60b	BUtaSudDim aTa-Acaret ToT_3.60b
   bhūtaśuddhiṃ pravakṣyāmi ToT_4.7a	BUtaSudDim pravakzyAmi ToT_4.7a
   bhūtāpasaraṇaṃ tataḥ ToT_3.58d	BUta-apasaraNam tatas ToT_3.58d
   bhūpatir jāyate 'cirāt ToT_9.3b	BUpatiH jAyate acirAt ToT_9.3b
   bhūmikāmī japen mantraṃ ToT_9.29a	BUmi-kAmI japet mantram ToT_9.29a
   bhūmibījajapādeva ToT_9.3a	BUmi-bIja-japAt-eva ToT_9.3a
   bhūmiś candraḥ śivo māyā ToT_9.2a	BUmiH candraH SivaH mAyA ToT_9.2a
   bhūmyāsanaṃ ca saṃśodhya ToT_4.4c	BUmi-Asanam ca saMSoDya ToT_4.4c
   bhūyaḥ kiṃ śrotumicchasi ToT_5.45d	BUyas kim Srotum-icCasi ToT_5.45d
   bhūrlokaṃ ca bhuvarlokaṃ ToT_2.6c	BUrlokam ca Buvarlokam ToT_2.6c
   bhedayitvā svapucchena ToT_9.18a	BedayitvA sva-pucCena ToT_9.18a
   bhedo nāsti sureśvari ToT_6.49d	BedaH na-asti sureSvari ToT_6.49d
   bhedo nāsti sureśvari ToT_6.56d	BedaH na-asti sureSvari ToT_6.56d
   bhairavyā dakṣiṇe bhāge ToT_1.11c	BEravyAH dakziNe BAge ToT_1.11c
   bhogamokṣaphalapradā ToT_6.42d	Boga-mokza-Pala-pradA ToT_6.42d
   bhogārthī nahi labhyate ToT_9.24d	Boga-arTI nahi laByate ToT_9.24d
   bhogo yogāyate dhruvam ToT_9.27d	BogaH yogAyate Druvam ToT_9.27d
   makāraṃ mokṣadāyakam ToT_6.15d	makAram mokza-dAyakam ToT_6.15d
   makāraṃ viṣṇurūpakam ToT_6.12b	makAram vizNu-rUpakam ToT_6.12b
   makāreṇa tu deveśi ToT_6.31c	makAreNa tu deveSi ToT_6.31c
   maṇidvīpaṃ tu tanmadhye ToT_4.16c	maNidvIpam tu tad-maDye ToT_4.16c
   maṇipūre japādeva ToT_9.30a	maNipUre japAt-eva ToT_9.30a
   maṇipūre sureśvari ToT_7.28b	maNipUre sureSvari ToT_7.28b
   mataṃgaṃ pūjayecchivam ToT_1.15b	mataMgam pUjayet-Sivam ToT_1.15b
   madyapūrṇasvarṇapātrāṃ ToT_9.41a	madya-pUrNa-svarNa-pAtrAm ToT_9.41a
   madhye kalpadrumaṃ dhyāyed ToT_4.17c	maDye kalpadrumam DyAyet ToT_4.17c
   manuṣyasya priyaṃvade ToT_7.22d	manuzyasya priyaMvade ToT_7.22d
   manusvaravibhūṣitam ToT_5.2d	manu-svara-viBUzitam ToT_5.2d
   manuḥ saptākṣaraḥ paraḥ ToT_9.37b	manuH sapta-akzaraH paraH ToT_9.37b
   mantracaitanyakāraṇam ToT_2.23d	mantra-cEtanya-kAraNam ToT_2.23d
   mantradhyānaṃ samācaret ToT_4.37b	mantra-DyAnam samAcaret ToT_4.37b
   mantramārgeṇa deveśa ToT_3.8c	mantra-mArgeNa deveSa ToT_3.8c
   mantramārgeṇa pārvati ToT_7.18d	mantra-mArgeNa pArvati ToT_7.18d
   mantrarājadvitīyakam ToT_3.25d	mantrarAja-dvitIyakam ToT_3.25d
   mantrarājamimaṃ priye ToT_3.24b	mantrarAjam-imam priye ToT_3.24b
   mantraṃ gṛhṇāti pārvati ToT_6.44d	mantram gRhNAti pArvati ToT_6.44d
   mantraṃ jñānena saṃjapet ToT_2.16b	mantram jQAnena saMjapet ToT_2.16b
   mantraṃ tu prajapet sudhīḥ ToT_3.6b	mantram tu prajapet suDIH ToT_3.6b
   mantraṃ paramagopanam ToT_3.21d	mantram parama-gopanam ToT_3.21d
   mantraṃ paramagopanam ToT_5.6d	mantram parama-gopanam ToT_5.6d
   mantraṃ paramagopanam ToT_6.1b	mantram parama-gopanam ToT_6.1b
   mantrāḥ siddhā bhavanti hi ToT_6.2d	mantrAH sidDAH Bavanti hi ToT_6.2d
   mantreṇācamanaṃ kāryaṃ ToT_3.57c	mantreNa-Acamanam kAryam ToT_3.57c
   mantreṇācamanaṃ kṛtvā ToT_4.2c	mantreNa-Acamanam kRtvA ToT_4.2c
   mantreṇācamanaṃ kṛtvā ToT_4.3c	mantreNa-Acamanam kRtvA ToT_4.3c
   mandavāyusamāyuktaṃ ToT_4.19c	manda-vAyu-samAyuktam ToT_4.19c
   mama hatyāṃ karoti saḥ ToT_5.9d	mama hatyAm karoti saH ToT_5.9d
   mayā vaktuṃ na śakyate ToT_8.8b	mayA vaktum na Sakyate ToT_8.8b
   mahākālaṃ dakṣiṇāyā ToT_1.3c	mahAkAlam dakziNAyAH ToT_1.3c
   mahākālaṃ pūjayitvā ToT_3.76a	mahAkAlam pUjayitvA ToT_3.76a
   mahākālaṃ prapūjayet ToT_3.66d	mahAkAlam prapUjayet ToT_3.66d
   mahākālīti cāṣṭadhā ToT_3.19d	mahAkAlI-iti ca-azwaDA ToT_3.19d
   mahākālena vai sārdhaṃ ToT_1.4a	mahAkAlena vE sArDam ToT_1.4a
   mahākuṇḍalinī tatra ToT_7.30c	mahA-kuNxalinI tatra ToT_7.30c
   mahākṣobham avāpnuyuḥ ToT_1.5d	mahA-kzoBam avApnuyuH ToT_1.5d
   mahātalaṃ ca pātālaṃ ToT_2.8c	mahAtalam ca pAtAlam ToT_2.8c
   mahātripurasundaryā ToT_1.7c	mahA-tripurasundaryAH ToT_1.7c
   mahādeva iti kramāt ToT_5.33d	mahAdevaH iti kramAt ToT_5.33d
   mahādevasamo bhavet ToT_10.12d	mahAdeva-samaH Bavet ToT_10.12d
   mahādevaṃ ca īśānaṃ ToT_5.24a	mahAdevam ca ISAnam ToT_5.24a
   mahādhīrā ca muktidā ToT_2.4d	mahADIrA ca mukti-dA ToT_2.4d
   mahādhīrā ca muktidā ToT_2.9d	mahADIrA ca mukti-dA ToT_2.9d
   mahādhīrā pratiṣṭhitā ToT_2.9b	mahADIrA pratizWitA ToT_2.9b
   mahānīlasarasvatī ToT_3.28b	mahAnIla-sarasvatI ToT_3.28b
   mahāpūrvāṃś ca kālyādīn ToT_4.36a	mahA-pUrvAn ca kAlI-AdIn ToT_4.36a
   mahāmāyāṃ tataḥ param ToT_9.36d	mahAmAyAm tatas param ToT_9.36d
   mahāmokṣapradaṃ devaṃ ToT_1.17c	mahAmokza-pradam devam ToT_1.17c
   mahāmokṣapradaṃ sadā ToT_6.9d	mahAmokza-pradam sadA ToT_6.9d
   mahāmokṣapradā devī ToT_6.11c	mahAmokza-pradA devI ToT_6.11c
   mahāmokṣapradāyinī ToT_2.24b	mahAmokza-pradAyinI ToT_2.24b
   mahāmokṣapradāyinī ToT_3.27d	mahAmokza-pradAyinI ToT_3.27d
   mahāyogamayī devī ToT_7.1a	mahA-yoga-mayI devI ToT_7.1a
   mahārudreti vikhyātaṃ ToT_1.14c	mahArudrA-iti viKyAtam ToT_1.14c
   mahālakṣmīr bhavet buddho ToT_10.11a	mahAlakzmIH Bavet budDaH ToT_10.11a
   mahāvidyāsu sarvāsu ToT_1.1c	mahAvidyAsu sarvAsu ToT_1.1c
   mahāvyādhivināśanam ToT_2.23b	mahA-vyADi-vinASanam ToT_2.23b
   mahāsaundaryamāpnuyāt ToT_9.3d	mahAsOndaryam-ApnuyAt ToT_9.3d
   mahendro jāyate'cirāt ToT_9.29d	mahendraH jAyate-acirAt ToT_9.29d
   maheśvarāya namaskāraṃ ToT_5.15a	maheSvarAya namaskAram ToT_5.15a
   mahogrāyai tato vadet ToT_3.55b	mahA-ugrAyE tatas vadet ToT_3.55b
   mātaṃgīdakṣiṇāṃśe ca ToT_1.15a	mAtaMgI-dakziNa-aMSe ca ToT_1.15a
   mātṛkādhyānam uccārya ToT_3.61a	mAtRkA-DyAnam uccArya ToT_3.61a
   mātṛkāyāḥ ṣaḍaṅgaṃ ca ToT_3.60c	mAtRkAyAH zaxaFgam ca ToT_3.60c
   mātrāyāṃ vyāna eva ca ToT_6.4b	mAtrAyAm vyAnaH eva ca ToT_6.4b
   mānasaṃ tattvavarjitam ToT_4.44d	mAnasam tattva-varjitam ToT_4.44d
   mānasaiḥ pūjanaṃ caret ToT_3.64b	mAnasEH pUjanam caret ToT_3.64b
   mānasaiḥ pūjanaṃ caret ToT_5.18b	mAnasEH pUjanam caret ToT_5.18b
   mānaṃ rudrasahasrakam ToT_7.15d	mAnam rudra-sahasrakam ToT_7.15d
   mānaṃ viṃśasahasrakam ToT_7.13b	mAnam viMSa-sahasrakam ToT_7.13b
   māyayā saṃdahet pāpaṃ ToT_4.9a	mAyayA saMdahet pApam ToT_4.9a
   māyādyā paramā vidyā ToT_3.29c	mAyA-AdyA paramA vidyA ToT_3.29c
   māyādvaṃdvaṃ ca ṭhadvayam ToT_3.13b	mAyA-dvaMdvam ca Wa-dvayam ToT_3.13b
   māyā pañcākṣarī parā ToT_6.50b	mAyA paQcAkzarI parA ToT_6.50b
   māyāyuktaṃ yadā devi ToT_6.14a	mAyA-yuktam yadA devi ToT_6.14a
   māyāvatī mukhavṛtte ToT_7.33c	mAyAvatI muKa-vRtte ToT_7.33c
   māyāśaktirnigadyate ToT_6.14d	mAyA-SaktiH-nigadyate ToT_6.14d
   mārutaṃ kathaya prabho ToT_7.4d	mArutam kaTaya praBo ToT_7.4d
   mārutaṃ parikīrtitam ToT_7.9b	mArutam parikIrtitam ToT_7.9b
   mārtaṇḍasthitimānaṃ tu ToT_7.9c	mArtaNxa-sTiti-mAnam tu ToT_7.9c
   mālākāreṇa talliṅgaṃ ToT_9.16c	mAlAkAreNa tat-liFgam ToT_9.16c
   mālāmantraṃ ṣoḍaśīṃ vā ToT_9.23a	mAlAmantram zoxaSIm vA ToT_9.23a
   mālāmantraṃ samabhyaset ToT_9.9d	mAlAmantram samaByaset ToT_9.9d
   mālārūpā kathaṃ deva ToT_9.14c	mAlA-rUpA kaTam deva ToT_9.14c
   mālāṣaṭke sureśvari ToT_9.12b	mAlA-zawke sureSvari ToT_9.12b
   māhātmyaṃ kathitaṃ mayā ToT_10.6b	mAhAtmyam kaTitam mayA ToT_10.6b
   māhātmyaṃ caiva pūjāyāṃ ToT_6.49c	mAhAtmyam ca-eva pUjAyAm ToT_6.49c
   māhātmyaṃ tasya deveśi ToT_9.33a	mAhAtmyam tasya deveSi ToT_9.33a
   māhātmyaṃ devadeveśi ToT_6.16c	mAhAtmyam devadeveSi ToT_6.16c
   māhātmyaṃ dhyānapūjāyāṃ ToT_6.56c	mAhAtmyam DyAna-pUjAyAm ToT_6.56c
   māṃsaṃ mīnaṃ śodhayitvā ToT_4.30c	mAMsam mInam SoDayitvA ToT_4.30c
   muktaḥ koṭijanaiḥ saha ToT_4.39b	muktaH kowi-janEH saha ToT_4.39b
   muktidā siddhidā sadā ToT_3.32b	mukti-dA sidDi-dA sadA ToT_3.32b
   mukhavādyaṃ tataḥ kṛtvā ToT_5.29c	muKavAdyam tatas kRtvA ToT_5.29c
   mukhavādyaṃ tataḥ param ToT_5.34d	muKavAdyam tatas param ToT_5.34d
   mukhenācchādya saṃsthitā ToT_8.21d	muKena-AcCAdya saMsTitAH ToT_8.21d
   mucyate sarvapātakaiḥ ToT_3.46d	mucyate sarva-pAtakEH ToT_3.46d
   mudrayā kumbhasaṃjñayā ToT_3.40d	mudrayA kumBa-saMjQayA ToT_3.40d
   mudrācatuṣṭayaṃ devi ToT_3.38a	mudrA-catuzwayam devi ToT_3.38a
   mudrā caitanyatantre ca ToT_10.6a	mudrA cEtanya-tantre ca ToT_10.6a
   mudrādidarśanaṃ kāryam ToT_3.65a	mudrA-Adi-darSanam kAryam ToT_3.65a
   mudrāśodhanamācaret ToT_4.30d	mudrA-SoDanam-Acaret ToT_4.30d
   mūrtayo'ṣṭau śivasyaitāḥ ToT_5.26c	mUrtayaH-azwO Sivasya-etAH ToT_5.26c
   mūrdhādipādaparyantaṃ ToT_6.34c	mUrDa-Adi-pAda-paryantam ToT_6.34c
   mūrdhni saṃdhārayed yadi ToT_5.41b	mUrDni saMDArayet yadi ToT_5.41b
   mūlacakrācchiro'ntā ca ToT_9.13c	mUla-cakrAt-SiraH-antA ca ToT_9.13c
   mūlamantraṃ trir japtvā tu ToT_3.40c	mUlamantram tris japtvA tu ToT_3.40c
   mūlamantraṃ samuccārya ToT_3.39c	mUlamantram samuccArya ToT_3.39c
   mūlamantraṃ samuccārya ToT_3.46a	mUlamantram samuccArya ToT_3.46a
   mūlādhārācca deveśi ToT_7.37a	mUlADArAt-ca deveSi ToT_7.37a
   mūlādhārāt śataṃ caiva ToT_7.35a	mUlADArAt Satam ca-eva ToT_7.35a
   mūlādhārādadhobhāge ToT_7.31c	mUlADArAt-aDoBAge ToT_7.31c
   mūlādhārādiliṅgāntaṃ ToT_7.13c	mUlADAra-Adi-liFga-antam ToT_7.13c
   mūlādhāre kāmarūpaṃ ToT_7.32a	mUlADAre kAmarUpam ToT_7.32a
   mūlādhāre catuṣṭaye ToT_9.29b	mUlADAre catuzwaye ToT_9.29b
   mūlādhāre tu jantavaḥ ToT_7.8d	mUlADAre tu jantavaH ToT_7.8d
   mūlādhāre tu sundari ToT_7.27b	mUlADAre tu sundari ToT_7.27b
   mūlādhāre padmamadhye ToT_8.8c	mUlADAre padma-maDye ToT_8.8c
   mūlādhāre punaḥ sudhīḥ ToT_2.16d	mUlADAre punar suDIH ToT_2.16d
   mūlādhāre mahīcakre ToT_7.3c	mUlADAre mahI-cakre ToT_7.3c
   mūlādhāre mahīcakre ToT_7.25a	mUlADAre mahI-cakre ToT_7.25a
   mūlādhāre varānane ToT_2.22b	mUlADAre varAnane ToT_2.22b
   mūlādhāre sthitā devi ToT_7.5a	mUlADAre sTitA devi ToT_7.5a
   mūlena darbhayā bhūmau ToT_3.43a	mUlena darBayA BUmO ToT_3.43a
   mūlena saptadhā dhyānaṃ ToT_3.64a	mUlena saptaDA DyAnam ToT_3.64a
   mṛtadehaṃ mahādeva ToT_1.24c	mRta-deham mahAdeva ToT_1.24c
   mṛtadehaḥ sadāśivaḥ ToT_1.24b	mRta-dehaH sadASivaH ToT_1.24b
   mṛte śūkaratāṃ vrajet ToT_5.12b	mRte SUkara-tAm vrajet ToT_5.12b
   mṛttikāmāharet sudhīḥ ToT_5.14d	mRttikAm-Aharet suDIH ToT_5.14d
   merutulyasuvarṇaṃ tu ToT_6.37a	meru-tulya-suvarNam tu ToT_6.37a
   merumadhyasthitā nāḍī ToT_2.9c	meru-maDya-sTitA nAxI ToT_2.9c
   yajamānaṃ tathā somaṃ ToT_5.25a	yajamAnam taTA somam ToT_5.25a
   yajet kātyāyanīṃ devīṃ ToT_9.25c	yajet kAtyAyanIm devIm ToT_9.25c
   yajettāṃ bahuyatnena ToT_9.44a	yajet-tAm bahu-yatnena ToT_9.44a
   yajedvairocanādikān ToT_4.36b	yajet-vErocanA-AdikAn ToT_4.36b
   yato nirakṣaraṃ vastu ToT_6.42a	yatas nirakzaram vastu ToT_6.42a
   yato mṛtyuṃjayo bhavet ToT_9.21d	yatas mRtyuMjayaH Bavet ToT_9.21d
   yat kiṃcid upacāraṃ hi ToT_5.39c	yat kiMcid upacAram hi ToT_5.39c
   yat kiṃcid vāyuyogena ToT_8.21a	yat kiMcid vAyu-yogena ToT_8.21a
   yattvayā kathitaṃ nātha ToT_9.5a	yat-tvayA kaTitam nATa ToT_9.5a
   yathā pañcākṣarī vidyā ToT_6.55a	yaTA paQcAkzarI vidyA ToT_6.55a
   yathā vegavatī nadī ToT_10.6d	yaTA vegavatI nadI ToT_10.6d
   yathā ṣaḍakṣarī vidyā ToT_3.16c	yaTA zaz-akzarI vidyA ToT_3.16c
   yathā hemagirirdevi ToT_10.6c	yaTA hemagiriH-devi ToT_10.6c
   yatheyaṃ vaikharī vidyā ToT_6.49a	yaTA-iyam vEKarI vidyA ToT_6.49a
   yathaiva budbude devi ToT_4.15c	yaTA-eva budbude devi ToT_4.15c
   yathoktadhyānayogataḥ ToT_4.21d	yaTA-ukta-DyAna-yogataH ToT_4.21d
   yadā vyaktasvarūpiṇī ToT_1.22d	yadA vyakta-svarUpiNI ToT_1.22d
   yadi unmattam icchati ToT_5.8b	yadi unmattam icCati ToT_5.8b
   yadi kuryāt puraskriyām ToT_5.12d	yadi kuryAt puraskriyAm ToT_5.12d
   yadi cānyat prapūjayet ToT_5.43b	yadi ca-anyat prapUjayet ToT_5.43b
   yadi cāṣṭaśataṃ japet ToT_9.33d	yadi ca-azwaSatam japet ToT_9.33d
   yadi caikākṣaraṃ bhavet ToT_5.37b	yadi ca-eka-akzaram Bavet ToT_5.37b
   yadi caikāṅgulaṃ hrasvaṃ ToT_7.19a	yadi ca-eka-aFgulam hrasvam ToT_7.19a
   yadi dīkṣāparo bhavet ToT_5.31b	yadi dIkzA-paraH Bavet ToT_5.31b
   yadi pūjādikaṃ caret ToT_5.36b	yadi pUjA-Adikam caret ToT_5.36b
   yadi pūjāparo bhavet ToT_5.11d	yadi pUjA-paraH Bavet ToT_5.11d
   yadi vāyuḥ samo bhavet ToT_7.21d	yadi vAyuH samaH Bavet ToT_7.21d
   yadi siddhirna jāyate ToT_9.46b	yadi sidDiH-na jAyate ToT_9.46b
   yadi sneho'sti māṃ prati ToT_3.23b	yadi snehaH-asti mAm prati ToT_3.23b
   yadi sneho'sti māṃ prati ToT_7.24d	yadi snehaH-asti mAm prati ToT_7.24d
   yadīcchedātmano mṛtyuṃ ToT_5.8a	yadi-icCet-AtmanaH mRtyum ToT_5.8a
   yaduktaṃ śāstravedibhiḥ ToT_6.39b	yat-uktam SAstra-vediBiH ToT_6.39b
   yadaiva brahmamārgeṇa ToT_8.17a	yadA-eva brahmamArgeNa ToT_8.17a
   yadrūpā mānavādayaḥ ToT_7.8b	yad-rUpAH mAnava-AdayaH ToT_7.8b
   yantraṃ kṛtvā sādhakendraḥ ToT_4.5c	yantram kRtvA sADaka-indraH ToT_4.5c
   yanmālā parameśāni ToT_9.32a	yat-mAlA parameSAni ToT_9.32a
   yanmālāyāṃ japenaiva ToT_9.28a	yat-mAlAyAm japena-eva ToT_9.28a
   yanmālāyāṃ japenmantram ToT_9.35a	yat-mAlAyAm japet-mantram ToT_9.35a
   yanmāṃ tvaṃ paripṛcchasi ToT_5.2b	yat-mAm tvam paripRcCasi ToT_5.2b
   yamuneti tataḥ paścād ToT_3.36a	yamunA-iti tatas paScAt ToT_3.36a
   yasmin vyaktā mahākālī ToT_1.25a	yasmin vyaktA mahAkAlI ToT_1.25a
   yasyāḥ prasaṅgamātreṇa ToT_3.9c	yasyAH prasaFga-mAtreNa ToT_3.9c
   yasyāḥ prasaṅgamātreṇa ToT_3.22c	yasyAH prasaFga-mAtreNa ToT_3.22c
   yasyāḥ prasaṅgamātreṇa ToT_4.1c	yasyAH prasaFga-mAtreNa ToT_4.1c
   yasyāḥ śravaṇamātreṇa ToT_6.2c	yasyAH SravaNa-mAtreNa ToT_6.2c
   yā cādyā paramā vidyā ToT_1.20c	yA ca-AdyA paramA vidyA ToT_1.20c
   yā cādyā paramā vidyā ToT_6.46c	yA ca-AdyA paramA vidyA ToT_6.46c
   yā cādyā parameśāni ToT_1.21a	yA ca-AdyA parameSAni ToT_1.21a
   yā cādyā bhuvaneśvarī ToT_1.10b	yA ca-AdyA BuvaneSvarI ToT_1.10b
   yā yā śaktiḥ sthitā sadā ToT_7.24b	yA yA SaktiH sTitA sadA ToT_7.24b
   yāvat kāmādi saṃdīpyo ToT_9.5c	yAvat kAma-Adi saMdIpyaH ToT_9.5c
