   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   rūpāvidyāyā nivṛtteḥ | etad uktaṃ bhavati | yasmāt svayam īśvaras tat tad 	rUpa avidyAyAH nivRtteH | etat uktam Bavati | yasmAt svayam ISvaraH tat tat  
   arthaṃ tat tat sādhakatvena dṛśyamānānāṃ buddhyādīn sṛṣṭavān tasmāt tat 	arTam tat tat  sADaka tvena dRSyamAnAnAm budDi AdIn sRzwavAn tasmAt tat 
   tat sampādana śakti nidhāna yogyatayā teṣu kṛtavān iti labhyate | tatra	tat  sampAdana  Sakti niDAna  yogya tayA tezu kRtavAn iti laByate | tatra
   trivarga sampādikāḥ śaktayaḥ kalpanātmikā māyā vṛtty avidyā śakter aṃśāḥ	trivarga  sampAdikAH SaktayaH kalpana AtmikA mAyA vRtti  avidyA  SakteH aMSAH
   bahirmukha karmātmakatvāt svarūpānyathā bhāva saṃsāritva hetutvāc ca |	bahirmuKa  karma Atmaka tvAt svarUpAni aTa a BAva  saMsAri tva  hetu tvAt ca |
   evaṃ ca yāvaj jīvānāṃ bhagavad bahirmukhatā tāvat kevalaṃ	evam ca yAvaj jIvAnAm Bagavat  bahirmuKa tA tAvat kevalam
   kalpanātmikānām avidyā śaktīnāṃ prakāśāt tat pradhānā buddhy ādayaḥ	kalpanA AtmikAnAm avidyA  SaktInAm prakASAt tat  praDAnAH budDi  AdayaH
   sa guṇā eveti nirguṇaṃ sāksān na kurvata ity evaṃ satyam eva | yadā tu	sa guNAH eva iti nirguNam sAksAt na kurvataH iti evam satyam eva | yadA tu
   tad 	tat  
   antarmukhatā tadā teṣu cic chakteḥ prādurbhāvāt taṃ sākṣāt kurvata eva iti	antarmuKa tA tadA tezu cic  SakteH prAdurBAvAt tam sAkzAt kurvataH eva iti
   sthitam | buddhyādimayatvād vacaso'pi tathā vyavahāraḥ sidhyati | tad	sTitam | budDi Adi maya tvAt vacasaH api taTA vyavahAraH siDyati | tat 
   atraivābhedena siddhāntitam ante |	atra eva aBedena sidDAntitam ante |
   tad etad varṇitaṃ rājan	tat etat varNitam rAjan
   yo naḥ praśnaḥ kṛtas tvayā |	yaH naH praSnaH kRtaH tvayA |
   yathā brahmaṇya nirdeśye	yaTA brahmaNi a nirdeSye
   nariguṇye'pi manaś caret || ity atra mana iti |	nari guNye api manaH caret || iti atra manaH iti |
   tatra buddhy ādau cic chaktis tadīyāprākṛta paramānanda svarūpa tādṛśa 	tatra budDi  AdO cic  SaktiH tadIyA prAkRta parama Ananda  svarUpa tAdRSa 
   guṇādau svayaṃ prakāśamayī vacasi ca tattan nirdeśa mayīti jñeyā |	guNa AdO svayam prakASa mayI vacasi ca tat tan  nirdeSa mayI iti jQeyA |
   ato'prākṛta tādṛśa svarūpādyālambanena śrutayaś carantīti siddhānta 	atas aprAkRta tAdRSa  svarUpa Adi Alambanena SrutayaH caranti iti sidDAnta 
   siddhaye | tad evaṃ pauruṣasyāpi vacaso bhagavac caritraṃ siddham |	sidDaye | tat evam pOruzasya api vacasaH Bagavac  caritram sidDam |
   yathoktam  yasmin prati ślokam abaddhavaty [BhP 1.5.11] apīti | tathā ca	yaToktam  yasmin prati Slokam abadDavatI [Bhu 1.5.11] api iti | taTA ca
   sati	sati
   tathāvidha vaca ādīnām ekāśrayasya sākṣād bhagavan 	taTAviDa  vaca AdInAm eka ASrayasya sAkzAt  Bagavan 
   niśvāsāvirbhāvino'pauruṣeyasya tac cāritvaṃ kim uta | tasmāt sākṣāt	niSvAsa AvirBAvinaH apOruzeyasya tat  cAri tvam kim uta | tasmAt sAkzAt 
   caranty	caranti 
   eva śrutayaḥ | vakṣyate ca   kvacid ajayātmanā ca carato'nucaren	eva SrutayaH | vakzyate ca  kvacid ajaya AtmanA ca carataH anucaret 
   nigama[*ENDNOTE #36] iti | tathā ca praṇavam uddiśyoktaṃ dvādaśe   	nigama[*ENDNOTEH #36] iti | taTA ca praNavam uddiSya uktam dvAdaSe   
   svadhāmno brahmaṇaḥ sākṣād	sva DAmnaH brahmaNaH sAkzAt 
   vācakaḥ paramātmanaḥ |	vAcakaH paramAtmanaH |
   sa sarva mantropaniṣad	sa  sarva mantra upanizad 
   veda bījaṃ sanātanam || [BhP 12.6.41] iti |	veda bIjam sanAtanam || [Bhj 12.6.41] iti |
   śrutau ca   om ity etad brahmaṇo nediṣṭhaṃ nāmeti nediṣṭhaṃ lakṣaṇādi 	SrutO ca  om iti etat brahmaNaH nedizWam nAma iti nedizWam lakzaNa Adi 
   vyavadhānaṃ vinety arthaḥ | ataeva kena ca prakaṭiṇa sākṣāc caranti sa	vyavaDAnam vinA iti arTaH | ataeva kena ca prakawiNa sAkzAt caranti sa
   kathyatām ity evaṃ rājābhiprāyaḥ | atra śabdo nirdeśyatve doṣas tv agre	kaTyatAm iti evam rAja aBiprAyaH | atra SabdaH nirdeSya tve dozaH tu agre
   dyupataya ity [BhP 10.87.41] atra parihāryaḥ |	dyupatayaH iti [Bhj 10.87.41] atra parihAryaH |
   atha śrutiṣv api yāḥ kāścit trivarga paratvena bahirmukhāḥ pratīyante	aTa Srutizu api yAH kAScid trivarga  paratvena bahirmuKAH pratIyante
   tāsām	tAsAm
   apy antarmukhatāyām eva paryavasānam | tathā hi parameśvarasya satata 	api antarmuKa tAyAm eva paryavasAnam | taTA hi parameSvarasya satata 
   paramārtha bahirmukhatā parāhata jīva nikāya viṣaya kṛpā vilāsa 	parama arTa bahirmuKa tA  parAhata jIva nikAya  vizaya kRpA vilAsa 
   paryavasāyi niḥśvāsa rūpāḥ śrutayaḥ prathamataḥ sva viṣayakaṃ viśvāsaṃ	paryavasAyi  niHSvAsa  rUpAH SrutayaH praTamatas sva vizayakam viSvAsam
   janayitum adṛṣṭavastvanabhijñānasatatadṛṣṭam aihikam evārtham	janayitum adRzwa vastu anaBijQAna satata dRzwam Ehikam eva arTam
   īhamānāṃs tān prati tat sampādakaṃ putreṣṭyādikaṃ vidadhati | tataś ca	IhamAnAn tAn prati tat  sampAdakam putra izwi Adikam vidaDati | tatas ca
   tena	tena
   jāta viśvāsānaihikasyātyantam asthiratve pradarśya divyānanda camatkāra 	jAta  viSvAsA nEhikasya atyantam asTira tve pradarSya divya Ananda camatkAra 
   vicitrasya pāralaukika svargādi lakṣaṇa tat tat kāmasya janake'gniṣṭomādau	vicitrasya pAralOkika svarga Adi  lakzaNa tat tat kAmasya janake agnizwoma AdO
   pravartayanti | tatas teṣāṃ nirantara tad abhyāsād dharma eva ruciṃ	pravartayanti | tatas tezAm nirantara tad  aByAsAt DarmaH eva rucim
   janayanti	janayanti
   atha labdha dharma rucīnāṃ śuddhāntaḥ karaṇānāṃ tad artaha vicāra 	aTa labDa  Darma rucInAm SudDa antaH karaNAnAm tad  arta ha  vicAra 
   parāṇāṃ jagad apy anityam iti jñānavatāṃ saṃsāra bhaya dīnānāṃ	parANAm jagat api anityam iti jQAnavatAm saMsAra  Baya dInAnAm
   nirvāṇānandābhilāṣaṃ sampādayanti | nirvāṇānandaś ca para 	nirvANa Ananda aBilAzam sampAdayanti | nirvANa AnandaH ca para 
   tattvāvirbhāva rūpa eveti |	tattva AvirBAva  rUpaH eva iti |
   tad uktam śrī sūtena   	tat uktam SrI  sUtena   
   dharmasya hy āpavargyasya	Darmasya hi Apavargyasya
   nārtho 'rthāyopakalpate |	na arTaH arTAya upakalpate |
   nārthasya dharmaikāntasya	na arTasya Darma ekAntasya
   kāmo lābhāya hi smṛtaḥ || [BhP 1.2.9]	kAmaH lABAya hi smRtaH || [Bhj 1.2.9]
   kāmasya nendriya prītir	kAmasya na indriya  prItiH 
   lābho jīveta yāvatā |	lABaH jIveta yAvatA |
   jīvasya tattva jijñāsā	jIvasya tattva  jijQAsA
   nārtho yaś ceha karmabhiḥ || [BhP 1.2.10] iti |	na arTaH yaH ca iha karmaBiH || [Bhj 1.2.10] iti |
   tataś ca yathā buddhyādayo'ntarmukhatā tāratamyena cic chaktyāvirbhāvāt	tatas ca yaTA budDi AdayaH antar muKa tA  tAratamyena cic  Sakti AvirBAvAt
   pare tattve tāratamyena caranti, tathā śruti lakṣaṇaṃ vacanam api	pare tattve tAratamyena caranti, taTA Sruti lakzaNam vacanam api
   cic chakti 	cic Sakti 
   prakāśānukrameṇa traiguṇya viṣayatvam atikramya kevala nairguṇya 	prakASa anukrameNa trEguNya vizaya tvam atikramya kevala  nErguNya 
   viṣayam eva sat tasmin nirguṇe tattve samyag eva carituṃ śaknoti | aguṇa 	vizayam eva sat tasmin nirguNe tattve samyak eva caritum Saknoti | aguNa 
   vṛttitvena yogyatvāt | tad uktaṃ dvādaśe praṇavam upalakṣya  	vRtti tvena yogya tvAt | tat uktam dvAdaSe praNavam upalakzya  
   tato'bhūt trivṛd oṅkāro	tatas aBUt trivRt oFkAraH 
   yo'vyakta prabhavaḥ svarāṭ |	yaH avyakta  praBavaH svarAj |
   yat tal liṅgaṃ bhagavato	yat tat liFgam BagavataH 
   brahmaṇaḥ paramātmanaḥ || [BhP 12.6.39] iti ||	brahmaNaH paramAtmanaH || [Bhj 12.6.39] iti ||
   tatra tat tattvaṃ dvidhā sphurati bhagavad rūpeṇa brahma rūpeṇa ceti |	tatra tat tattvam dviDA sPurati Bagavat  rUpeNa brahma rUpeNa ca iti |
   cic 	cic 
   chaktir api dvidhā tadīya svayaṃ prakāśādi maya bhakti rūpeṇa tan maya 	CaktiH api dviDA tadIya  svayaM prakASa Adi maya  Bakti  rUpeNa tan  maya 
   jñāna rūpeṇa ca | tato bhakti maya śrutayo bhagavati caranti jñāna maya 	jQAna  rUpeNa ca | tatas Bakti maya  SrutayaH Bagavati caranti jQAna  maya 
   śrutayo brahmaṇīti sāmānyataḥ siddhāntitam |	SrutayaH brahmaNi iti sAmAnyatas sidDAntitam |
   atha tatra viśeṣaṃ vaktuṃ tadīya evetihāsa upakṣipyate |	aTa tatra viSezam vaktum tadIyaH eva itihAsaH upakzipyate |
   śrī sanandana uvāca  	SrI  sanandanaH uvAca  
   sva sṛṣṭam idam āpīya	sva  sRzwam idam ApIya
   śayānaṃ saha śaktibhiḥ |	SayAnam saha SaktiBiH |
   tad ante bodhayāñcakrus	tat ante boDayAQcakruH 
   tal liṅgaiḥ śrutayaḥ param || [BhP 10.87.12]	tal  liFgEH SrutayaH param || [Bhj 10.87.12]
   svayaṃ nirmitam idaṃ viśvaṃ laya samaye āpīya saṃhṛtya śaktibhiḥ saha	svayam nirmitam idam viSvam laya  samaye ApIya saMhRtya SaktiBiH saha
   śayānaṃ prakṛtiṃ puruṣaṃ tad aṃśāṃśaś cātma sātkṛtya tat kāryaṃ prati	SayAnam prakRtim puruzam tat  aMSa aMSaH ca Atma sAtkRtya tat kAryam prati
   nimīlitākṣaṃ paraṃ bhagavantaṃ tad ante pralaya kālāvasāna prāye	nimIlita akzam param Bagavantam tat  ante pralaya  kAla avasAna  prAye
   tal liṅgais	tal  liFgEH 
   tat pratipādakair vākyaiḥ śrutayaḥ prabodhayāñcakruḥ prātaḥ prabodhanaḥ	tat  pratipAdakEH vAkyEH SrutayaH praboDayAQcakruH prAtar praboDanaH
   stuti bhaṅgyā tuṣṭuvur ity arthaḥ | asya bhagavattvam eva gamyate na tu	stuti  BaFgyA tuzwuvuH iti arTaH | asya Bagavat tvam eva gamyate na tu
   puruṣa	puruza
   tvaṃ bhagavān eka āsedam	tvam BagavAn ekaH Asedam
   agra ātmātmatāṃ vibhuḥ |	agre Atma Atma tAm viBuH |
   ātmecchānugatāvātmo	Atma icCA anugatO= Atmo
   nānām aty upalakṣaṇaḥ || [BhP 3.5.23]	nAnAm ati upalakzaNaH || [Bhj 3.5.23]
   iti tṛtīya skandha prakaraṇe tadānīṃ puruṣasya tad antarbhāva śravaṇāt |	iti tRtIya  skanDa  prakaraNe tadAnIm puruzasya tad  antar BAva  SravaNAt |
   pūrva padyārthe dṛṣṭāntaḥ |	pUrva  padya arTe dRzwAntaH |
   yathā śayānaṃ samrājaṃ	yaTA SayAnam samrAjam
   vandinas tat parākramaiḥ |	vandinaH tat  parAkramEH |
   pratyūṣe'bhyetya suślokair	pratyUze aByetya su SlokEH 
   badhiyanty anujīvinaḥ || [BhP 10.87.13]	baDiyanti anujIvinaH || [Bhj 10.87.13]
   tasya samrājaḥ parākramo ya etair na tu nirviśeṣatva vyañjakaiḥ śobhanaiḥ	tasya samrAjaH parAkramaH yaH etEH na tu nirviSeza tva  vyaQjakEH SoBanEH
   ślokaiḥ | yathā śayānaṃ samrājam ity asyāyam abhiprāyaḥ | yathā rātrau	SlokEH | yaTA SayAnam samrAjam iti asya ayam aBiprAyaH | yaTA rAtrO
   samrāṭ mahiṣibhiḥ krīḍann api bahiḥkāryaṃ parityajyāntargṛhādau	samrAj mahiziBiH krIxan api bahis kAryam parityajya antar gRha AdO
   sthitatvāt taj janaiḥ śayāna evocyate | vandibhiś ca	sTita tvAt taj janEH SayAnaH eva ucyate | vandiBiH ca
   tat prabhāvamaya śloka 	tat  praBAvam aya Sloka 
   kṛta prabodhana bhaṅgyā stūyate tathāyaṃ bhagavān tadānīṃ jagat 	kRta  praboDana BaFgyA stUyate taTA ayam BagavAn tadAnIm jagat 
   kāryākṛta dṛṣṭir nigūḍhaṃ nija dhāmni nija parikaraiḥ krīḍann apīti |	kArya akRta dRzwiH nigUXam nija  DAmni nija  parikarEH krIxan api iti |
   anujīvina ity anena te yathā tan marmajñās tathā na apīti sūcitam |	anujIvinaH iti anena te yaTA tan  marma jQAH taTA na api iti sUcitam |
   tatra prathamato jñānādi guṇa sevitena samyag darśana kāraṇena bhakti 	tatra praTamatas jQAna Adi  guNa  sevitena samyak  darSana  kAraNena Bakti 
   yogenānubhūyamānaṃ bhagavad ākāram akhaṇḍam eva tattvaṃ sva 	yogena anuBUyamAnam Bagavat  AkAram aKaNxam eva tattvam sva  
   pratipādyatvena darśayantyo brahma svarūpam api tathātvena	pratipAdya tvena darSayantyaH brahma  svarUpam api taTA tvena
   kroḍīkurvantyaḥ śrutayaḥ ūcuḥ |	kroxIkurvantyaH SrutayaH UcuH |
   jaya jaya jahy ajām ajita doṣa gṛbhīta guṇāṃ	jaya jaya jahi ajAm ajita doza gRBIta guNAm
   tvam asi yad ātmanā samavaruddha samasta bhagaḥ |	tvam asi yat AtmanA samavarudDa  samasta BagaH |
   aga jagad okasām akhila śakty avabodhaka te	aga jagat  okasAm aKila  Sakti  avaboDaka te
   kvacid ajayātmanā ca carato 'nucaren nigamaḥ || [BhP 10.87.14]	kvacid ajaya AtmanA ca carataH anucaret nigamaH || [Bhj 10.87.14]
   boh ajita jaya jaya nijotkarṣam āviṣkuru | ādare vīpsā | atrājiteti	boh ajita jaya jaya nija utkarzam Avizkuru | Adare vIpsA | atra ajitA iti
   sambodhanenedaṃ labhyate | nāma vyāharaṇaṃ viṣṇor yatas tad viṣayā matir	samboDanena idam laByate | nAma  vyAharaNam vizNoH yatas tad  vizayA matiH 
   iti [BhP 6.2.10] nyāyena nāmnā bhagavān asau sākṣād abhimukhīkriyata iti	iti [Bhj 6.2.10] nyAyena nAmnA BagavAn asO sAkzAt aBimuKIkriyate iti
   liṅgād eva tac chrī vigrahavat tad api tat svarūpa bhūtam eva bhavati |	liFgAt eva tac SrI vigraha vat tat api tat  svarUpa BUtam eva Bavati |
   tad	tat 
   vijānīye tad abhimukhī karaṇārhatvāt | ataeva bhaya dveṣādau śrī mūrteḥ	vijAnIye tad  aBimuKI  karaNa arha tvAt | ataeva Baya dveza AdO SrI mUrteH
   sphūrter iva sāṅgety ādāv apy asya prabhāvaḥ śrūyate | viśeṣataś cātra	sPUrteH iva sa aFga iti  AdO api asya praBAvaH SrUyate | viSezataH ca atra
   śruti 	Sruti 
   vidvad0anubhaāv api pūrvam eva pramāṇīkṛtau | tasmāt yat tvaṃ śrī 	vidvat 0anuBaO api pUrvam eva pramANIkRtO | tasmAt yat tvam SrI 
   vigraha rūpeṇa cakṣur ādāv udayate tad eva nāma rūpeṇa vāg ādāv iti	vigraha  rUpeNa cakzuH AdO udayate tat eva nAma  rUpeNa vAc  AdO iti
   sthitam | tasmān nāma nāminoḥ svarūpābhedena tat sākṣāt kāre tat sākṣāt 	sTitam | tasmAt nAma  nAminoH svarUpa aBedena tat sA akzAt kAre tat sA akzAt 
   kāra evety ataḥ kiṃ vaktavyam anyatrānyavad bhagavati śrutayo'pi jātyādi 	kAraH eva iti atas kim vaktavyam anyatra anya vat Bagavati SrutayaH api jAti Adi 
   kṛta saṃjñā saṃjñi saṅketādi rītyā rūḍhyādi vṛttibhiś carantīti | yāsāṃ	kRta  saMjQA  saMjQi  saFketa Adi  rItyAH rUXyAdi  vRttiBiH caranti iti | yAsAm
   śruty 	Sruty 
   abhidhānāṃ vallīnāṃ sākṣāt tathābhūtāni nāmāny eva phalānīti |	aBiDAnAm vallInAm sAkzAt taTABUtAni nAmAni eva PalAni iti |
   utkarṣam āviṣkurv ity anena itthaṃ sarvotkṛṣṭatā guṇa yogena mukhyayaiva	utkarzam Avizkuru iti anena itTam sarva utkRzwa tA guNa  yogena muKyayA eva
   vṛttyā śrutayas tasmiṃś carantīti darśitam | śrutayaś ca na te mahi tvām	vRttyA SrutayaH tasmin caranti iti darSitam | SrutayaH ca na te mahi tvAm
   anv	anv
   aśnuvanti [?], na tat samaś cābhyadhikaś ca dṛśyate [ŚvetU 6.8] ity ādyāḥ	aSnuvanti [?], na tat samaH ca aByaDikaH ca dRSyate [ŚvetU 6.8] iti AdyAH
   atra śrutayo jaya jayeti sva bhaktyāviṣkārāt bhaktim eva tat prakāśe hetuṃ	atra SrutayaH jaya jaya iti sva BaktyAvizkArAt Baktim eva tat  prakASe hetum
   gamayanti | kena vyāpāreṇotkarṣam āviṣkara vāṇīty āśaṅkya māyā 	gamayanti | kena vyApAreNa utkarzam Avizkara vANI iti ASaFkya mAyA 
   nirasana dvārā sva bhakti dānenety āhuḥ |	nirasana dvArA sva Bakti dAnena iti AhuH |
   ajāṃ māyāṃ jahi | nanu māyā nāma vidyāvidyā vṛttikā śaktiḥ | tarhi tad 	ajAm mAyAm jahi | nanu mAyA nAma vidyA avidyA vRttikA SaktiH | tarhi tat  
   dhanane vidyāyā api hatiḥ syād ity atra āha doṣa gṛbhīta guṇāṃ jīvānām	Danane vidyAyAH api hatiH syAt iti atra Aha doza gRBIta guNAm jIvAnAm
   ātma vismṛti hetāv avidyā lakṣaṇe doṣe eva gṛbhīto gṛhītas tat smṛti hetor	Atma vismRti hetO avidyA  lakzaNe doze eva gRBItaH gRhItaH tat  smRti  hetoH 
   vidyā lakṣaṇo guṇo yayā tām | svayam eva svāveśenāvidyā lakṣaṇaṃ doṣam	vidyA  lakzaNaH guNaH yayA tAm | svayam eva sva AveSena avidyA  lakzaNam dozam
   utpādya kvacid eva kadācid eva kathañcid eva kañcid eva jīvaṃ tyajatīti	utpAdya kvacid eva kadAcid eva kaTaQcid eva kaQcid eva jIvam tyajati iti
   tasyās	tasya as
   tyāgātmaka vidyākhya guṇe'pi doṣa eva | tasmāt tāṃ nirmūlāṃ vidhāya	tyAga Atmaka vidyA AKya guNe api dozaH eva | tasmAt tAm nirmUlAm viDAya
   jīvebhyo nija caraṇāravinda viṣayāṃ bhaktim eva diśeti tātparyam |	jIveByaH nija  caraNa aravinda  vizayAm Baktim eva diSA iti tAtparyam |
   ato māyā ghātaka yogya śaktitvena tad atītatvaṃ vyapadiśya sac cid ānanda 	atas mAyA GAta ka yogya  Sakti tvena tat  atIta tvam vyapadiSya sac cit  a Ananda 
   ghanatvaṃ bhagavato vyañjayantyo'tan nirasana mukhena tātparya vṛttyā	Gana tvam BagavataH vyaQjayantyaH atan  nirasana muKena tAtparya vRttyA
   śrutayaś carantīti vyañjitam | śrutayaś ca   māyāṃ tu prakṛtiṃ vidyān	SrutayaH caranti iti vyaQjitam | SrutayaH ca  mAyAm tu prakRtim vidyAn
   mayinaṃ tu maheśvaram [Śvet 4.10][*ENDNOTE #37] iti |	mayinam tu maheSvaram [Śvet 4.10][*ENDNOTEH #37] iti |
   ajām ekām iti | sarvasyādhipatiḥ sarvasyeśānaḥ [BAU 4.4.22] sa vā eṣa neti	ajAm ekAm iti | sarvasya aDipatiH sarvasya ISAnaH [BAU 4.4.22] sa vE eza na iti
   netīty[*ENDNOTE #38] ādyāḥ |	na iti iti [*ENDNOTEH #38] AdyAH |
   nanu māyā nāśaṃ samprārthya mama tad upādhikam aiśvaryādikam api	nanu mAyA nASam samprArTya mama tad  upADikam ESvarya Adikam api
   nāśayitum icchathety atra samādhatte tvam iti | yad yasmāt tvam ātmanā	nASayitum icCaTA iti atra samADatte tvam iti | yat yasmAt tvam AtmanA
   svarūpeṇaiva samavaruddha samasta bhaga prāpta tripād vibhūty ākhya 	sva rUpeNa eva samavarudDa  samasta Baga  prApta tripAd  viBUti  AKya 
   sarvaiśvaryādir asi | tasmāt tava tucchayā tad upādhikaiśvaryādibhir vā	sarva ESvarya AdiH asi | tasmAt tava tucCayA tad  upADi ka ESvarya AdiBiH vA
   kim	kim
   ity arthaḥ |	iti arTaH |
   tathā ca sa yad ajayā tv ajām ity atra padye ṭīkā   nahi	taTA ca sa yat ajayA tu ajAm iti atra padye wIkA  na hi
   nirantarāhlādi saṃvit 	nirantara ahlAdi  saMvit 
   kāma dhenu vṛnda pater ajayā kṛtyam iti | tathā na hy anyeṣām iva deśa 	kAm a Denu  vRnda  pateH ajayA kRtyam iti | taTA na hi anyezAm iva deSa 
   kālādi paricchinnaṃ tavāṣṭa guṇitam aiśvaryam api tu paripūrṇa 	kAla Adi paricCinnam tava azwa  guNitam ESvaryam api tu paripUrNa 
   svarūpānubandhitvād aparimitam ity arthaḥ | ity eṣā |	svarUpa anubanDi tvAt aparimitam iti arTaH | iti ezA |
   atrātma śabdena svarūpa mātra vācakena tathā bhaga śabdena svarūpa 	atra Atma  Sabdena svarUpa  mAtra  vAcakena taTA Baga  Sabdena svarUpa 
   bhūta guṇa vācakenedaṃ dhvanyate | svarūpādi śabdā īśvarādi śabdāś ca	BUta  guNa  vAcakena idam Dvanyate | sva rUpa Adi  SabdAH ISvara Adi SabdAH ca
   svarūpa mātrāvalambanayā svarūpa bhūta guṇāvalambanayāpi rūḍhyā	svarUpa  mAtra avalambanayA svarUpa BUta guNa avalambanayA api rUXyA
   nirdeṣṭuṃ śaknuvantīti | śrutayaś ca   yad ātmako bhagavān tad ātmikā	nirdezwum Saknuvanti iti | SrutayaH ca  yat  AtmakaH BagavAn tad  AtmikA
   vyaktiḥ ity [?] ādyāḥ parāsya śaktir vividhaiva śr”yate ity [ŚvetU 6.8]	vyaktiH iti [?] AdyAH parA asya SaktiH viviDA eva Sr”yate iti [ŚvetU 6.8]
   ādikāś	AdikAS
   ca |	ca |
   sā ca svarūpa śaktiḥ sarvair evāvagamyata ity āhuḥ agāni sthāvarāṇi	sA ca svarUpa SaktiH sarvEH eva avagamyate iti AhuH agAni sTAvarANi
   jaganti	jaganti
   jaṅgamāni okāṃsi śarīrāṇi yeṣāṃ teṣāṃ sarveṣām eva jīvānāṃ yā akhilāḥ	jaFgamAni okAMsi SarIrANi yezAm tezAm sarvezAm eva jIvAnAm yAH aKilAH
   śaktayas tāsām avadhaketi sambodhanam | teṣu	SaktayaH tAsAm avaDaka iti samboDanam | tezu
   vicitra śakti laharī ratnākara	vicitra  Sakti laharI  ratna Akara
   ity anumīyata ity arthaḥ |	iti anumIyate iti arTaH |
   yad vā | nanu māyā hananena tad upādher jīvasya tu śakti hāniḥ syāt	yat vA | nanu mAyA hananena tad  upADeH jIvasya tu Sakti hAniH syAt 
   tatrāhuḥ ageti | atha pūrvavad eva | tataḥ svarūpa śaktyaiva pratyuta	tatra AhuH aga iti | aTa pUrvavat eva | tatas svarUpa SaktyA eva pratyuta
   teṣāṃ	tezAm
   sukhaika pradā pūrṇā śaktir bhaviṣyatīti bhāvaḥ | atretthaṃ taṭastha 	suKa eka pradA pUrNA SaktiH Bavizyati iti BAvaH | atra itTam tawa sTa 
   lakṣaṇena śrutayaś carantīty uktam | śrutayaś ca ko hy evānyād [Taitti	lakzaNena SrutayaH caranti iti uktam | SrutayaH ca kaH hi eva anyAt [TEtti
   ity ādikāḥ prāṇasya prāṇam ity ādikāḥ | tam eva bhāntam [KaṭhaU 2.2.15]	iti AdikAH prANasya prANam iti AdikAH | tam eva BAntam [KaWaU 2.2.15]
   ity ādikāḥ | dehānte devas tārakaṃ brahma vyācaṣṭe [NTU	iti AdikAH | dehAnte devaH tArakam brahma vyAcazwe [NTU
   1.7][*ENDNOTE #39] iti | yasya deve parā bhaktir [ŚvetU 6.23] ity ādyāś ca	1.7][*ENDNOTEH #39] iti | yasya deve parA BaktiH [ŚvetU 6.23] iti AdyAH ca
   nanu viśeṣato bhavatyaḥ kathaṃ jānanti yad ajayā mama kṛtyaṃ nāsti tathā	nanu viSezataH BavatyaH kaTam jAnanti yat ajayA mama kRtyam na asti taTA
   sac cid ānanda ghana eva svarūpa śaktyā samavaruddha samasta bhaga iti	sac cit  A Ananda GanaH eva svarUpa  SaktyA samavarudDa  samasta BagaH iti
   tatrāhuḥ kvacid iti | kvacit kadācit sṛṣṭyādi samaye puruṣa rūpeṇa ajayā	tatra AhuH kvacid iti | kvacid kadAcid sRzwi Adi samaye puruza  rUpeNa ajayA
   māyayā carataḥ krīḍataḥ nityaṃ ca svarūpa śaktyāviṣkṛta svarūpa bhūta 	mAyayA carataH krIxataH nityam ca svarUpa  Sakti AvizkRta  svarUpa BUta  
   bhagena satya jñānānandaika rasenātmanā caratas tavāsmal lakṣaṇo nigamaḥ	Bagena satya  jQAna Ananda eka  rasena AtmanA carataH tava asmal  lakzaNaH nigamaH
   śabda rūpeṇa devatā rūpeṇa ca anucaret sevate | tasmād vayaṃ sat sarvaṃ	Sabda  rUpeNa devatA  rUpeNa ca anucaret sevate | tasmAt vayam sat sarvam
   jānīma ity arthaḥ | karmaṇi ṣaṣṭhī |	jAnImaH iti arTaH | karmaNi zazWI |
   etad uktaṃ bhavati | atra dvividho vedas traiguṇya viṣayo	etat uktam Bavati | atra dviviDaH vedaH trEguNya vizayaH 
   nistraiguṇya viṣayaś	nistrEguNya  vizaya S
   ca | tatra traiguṇya viṣayas trividhaḥ | prathama prakāras tāvat tad 	ca | tatra trEguNya vizayaH triviDaH | praTama  prakAraH tAvat tat  
   avalambana tāṭasthyena tal lakṣakaḥ | yathā yato vā imāni bhūtānīty ādiḥ	avalambana tAwasTyena tal  lakzakaH | yaTA yatas vE imAni BUtAni iti AdiH
   | dvitīya prakāraś ca triguṇamaya tad īśitavyādi varṇanādi dvārā tan 	| dvitIya  prakAraH ca triguNa m aya tad  ISita vyAdi  varNanAdi  dvArA tan 
   mahimādi darśakaḥ | yathā indro yato'vasitasya rājety ādiḥ |	mahima Adi darSakaH | yaTA indraH yatas avasitasya rAjA iti AdiH |
   tṛtīya prakāraś	tRtIya  prakAraH 
   ca traiguṇya nirāsena parama vastūddeśakaḥ | so'py ayaṃ dvividhaḥ |	ca trEguNya  nirAsena parama  vastu uddeSakaH | saH api ayam dviviDaH |
   niṣedha 	nizeDa 
   dvārā sāmānādhikaraṇya dvārā ca | tatra pūrva dvārā asthūlam anaṇu neti	dvArA sAmAnADikaraNya  dvArA ca | tatra pUrva dvArAH asTUlam anaNu na iti
   netīty [BAU 3.7.8] ādiḥ | uttara dvārā sarvaṃ khalv idaṃ brahma tattvam	na iti iti [BAU 3.7.8] AdiH | uttara  dvArA sarvam Kalu idam brahma tattvam
   asīty	asi iti 
   ādiḥ | pūrva vākye | taj jātatvād iti hetoḥ sarvasyaiva brahmatvaṃ	AdiH | pUrva  vAkye | taj jAta tvAt iti hetoH sarvasya eva brahma tvam
   nirdiśya	nirdiSya
