   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   cakraśaṅkhagadāpadmahastaḥ sa tu caturbhujaḥ /	cakra-SaFKa-gadA-padma-hastaH sa tu catur-BujaH /
   kirīṭakuṇḍalalasan nūpurāṅgadabhūṣaṇaḥ // PS_2,3.26 //	kirIwa-kuNxalalasan nUpura-aFgada-BUzaNaH // PS_2,3.26 //
   hāraśrīvatsakaṇṭhastha kaustubhādairalaṅkṛtaḥ /	hAra-SrIvatsa-kaNWa-sTa kOstuBa-AdEH-alaFkRtaH /
   ratnāṅgulīyakaṭakakaṭisūtrādi satkṛtaḥ // PS_2,3.27 //	ratna-aFgulIya-kawaka-kawi-sUtra-Adi satkRtaH // PS_2,3.27 //
   pitāmbaroti sarvāṅgasaundaryasubhagocitaḥ /	pitA-ambaroti sarva-aFga-sOndarya-suBaga-ucitaH /
   sa viśvatomukhopyekamukhavadbhāti nīladṛk // PS_2,3.28 //	sa viSvatomuKa-upi-eka-muKa-vat-BAti nIla-dRS // PS_2,3.28 //
   sthāneśa mūleśayuktaḥ samupāsyo niraṃśakaiḥ /	sTAna-ISa mUla-ISa-yuktaH samupAsyaH niraMSakEH /
   maṇṭapādhaḥ pradeśasthaśaktirādhārarūpiṇī // PS_2,3.29 //	maNwa-pADas pradeSa-sTa-SaktiH-ADAra-rUpiNI // PS_2,3.29 //
   kūrmaśeṣaśca bhūḥ kṣauravārdhipādvīparūpiṇī /	kUrma-SezaH-ca BUH kzOrava-arDi-pAdvIpa-rUpiNI /
   śvetāṃ ramāṃ saṃvicintya niraṃśairityacintayat // PS_2,3.30 //	SvetAm ramAm saMvicintya niraMSEH-iti-acintayat // PS_2,3.30 //
   urustālvorbhruvormadhye śirasyūrdhvamukhāni ca /	uruH-tAlva-UrBruvoH-maDye Sirasi-UrDva-muKAni ca /
   kañjāni śvetavarṇāni dviṣaḍvyaṣṭadalaistathā // PS_2,3.31 //	kaQjAni Sveta-varNAni dvi-zax-vyazwa-dalEH-taTA // PS_2,3.31 //
   dvābhyāṃ sahasradalakairyuktāni daladevatāḥ /	dvAByAm sahasradalakEH-yuktAni dala-devatAH /
   ādityāḥ prathame padme indrādyāstatradevatāḥ // PS_2,3.32 //	AdityAH praTame padme indra-AdyAH-tatra-devatAH // PS_2,3.32 //
   devatāstu trṛtīyebje bhāratī ca sarasvatī /	devatAH-tu trRtIya-ibje BAratI ca sarasvatI /
   mūrdhnaiko bahurūpeṇa vāyuḥ sarvadalādhipaḥ // PS_2,3.33 //	mUrDnA-ekaH bahu-rUpeNa vAyuH sarva-dala-aDipaH // PS_2,3.33 //
   nārāyaṇo hariḥ kṛṣṇo vāsudevastadīśvaraḥ /	nArAyaNaH hariH kRzNaH vAsudevaH-tad-ISvaraH /
   kṛkalo devadattākhyaḥ sūtranāmā marutpatiḥ // PS_2,3.34 //	kRkalaH devadatta-AKyaH sUtra-nAmA marutpatiH // PS_2,3.34 //
   marutaḥ saptasaptāpi pañcasvapi hadāriṣu /	marutaH sapta-saptA-api paQcasu-api hadArizu /
   suṣumnā nālajātāni padmānyetāni sapta ca // PS_2,3.35 //	suzumnA nAla-jAtAni padmAni-etAni sapta ca // PS_2,3.35 //
   guṇatrayātmikānāḍī suṣumnā vedapāragaiḥ /	guNatraya-AtmikA-nAxI suzumnA vedapAragEH /
   syaikā śākhādi rahitā garbhechidrānvatāpi ca // PS_2,3.36 //	syA-ekA SAKA-Adi rahitA garBeCidra-anvatA-api ca // PS_2,3.36 //
   sarasvatī tadantargā nadī vārisvarūpiṇī /	sarasvatI tad-antargA nadI vAri-svarUpiNI /
   hairaṇmayī vaidhyutīti vajrikā bhāsvatīti sā // PS_2,3.37 //	hEraNmayI vEDyutI-iti vajrikA BAsvatI-iti sA // PH-_2,3.37 //
   nāmabhiḥ saṃyutālokāḥ bhūrādyāḥ tatrasaṃsthitāḥ /	nAmaBiH saMyuta-AlokAH BUH-AdyAH tatra-saMsTitAH /
   bhūrbhuvasvargalokeśā maharādīśvaraḥ(ścarāḥ) kramāt // PS_2,3.38 //	BUrBuva-svarga-loka-ISAH mahA-rAdi-ISvaraH(H-carAH) kramAt // PS_2,3.38 //
   bhūvighneśendrāniruddhakāmaśeṣābjajā matāḥ /	BU-viGna-ISa-indra-anirudDakAm-aSeza-abja-jAH matAH /
   kaṭyūrudvitaye jānujaṅghagulpo bhayāṅghriṣu // PS_2,3.39 //	kawI-Uru-dvitaye jAnu-jaFGa-gulpaH Baya-aFGrizu // PS_2,3.39 //
   atalādyāśritādevā dehe deveśa sevakāḥ /	atala-Adya-ASritA-devAH dehe deveSa sevakAH /
   mitrāgnyastrapavārīśamayamandayamāḥ kramāt // PS_2,3.40 //	mitra-agni-astra-pavArISa-maya-manda-yamAH kramAt // PS_2,3.40 //
   dehepyevaṃ virāḍdehadhāriṇaṃ tanmitovati /	dehepi-evam virAj-deha-DAriNam tat-mitovati /
   suṣumnā mūladeśotthe gaṅgāyāmunavārdhare // PS_2,3.41 //	suzumnA mUla-deSa-utTe gaFgA-yAmuna-vArDare // PS_2,3.41 //
   piṅgalele raktanīlavarṇe savyāpasavyage /	piFgalele rakta-nIla-varNe savya-apasavya-ge /
   garbhachidrānvite ṣaṭtriṃśatsahasraprabhedinī // PS_2,3.42 //	garBa-Cidra-anvite zawtriMSat-sahasra-praBedinI // PS_2,3.42 //
   pṛthak pṛthak savyanāḍyo mahattatvātmikā matāḥ /	pRTak pRTak savyanAxyaH mahattatva-AtmikAH matAH /
   tridhā vibhaktāḥ pādāntaṃ dviṣaṭsāhasrasaṃmitāḥ // PS_2,3.43 //	triDA viBaktAH pAda-antam dvi-zaz-sAhasra-saMmitAH // PS_2,3.43 //
   dakṣiṇe dakṣapādāntaṃ nāḍyastāvanmitāḥ kramāt /	dakziNe dakza-pAda-antam nAxyaH-tAvat-mitAH kramAt /
   piṅgalā ūrdhvadeheṣu vyāptāstāvanmitāḥ śubhāḥ // PS_2,3.44 //	piFgalAH UrDva-dehezu vyAptAH-tAvat-mitAH SuBAH // PS_2,3.44 //
   adhomadhyordhvagāstāstu saptāsya pathamāśritāḥ /	aDas-maDya-UrDva-gAH-tAH-tu sapta-asya paTam-ASritAH /
   saptasantyeva vivarāḥ ghrāṇāsya śruti netragāḥ // PS_2,3.45 //	saptasanti-eva vivarAH GrANa-asya Sruti netra-gAH // PS_2,3.45 //
   saptāsyapathanāmāno golakāḥ saptakīrtitāḥ /	sapta-Asya-paTa-nAmAnaH golakAH sapta-kIrtitAH /
   saptordhvanāḍyo hṛtkañjādhasthalādvāmapārśvagāḥ // PS_2,3.46 //	sapta-UrDva-nAxyaH hRd-kaQja-aDasTalAt-vAma-pArSva-gAH // PS_2,3.46 //
   punarhṛtkaṃ cordhvadeśāt savyamāvṛtya piṅgalāḥ /	punar-hRtkam ca-UrDva-deSAt savyam-AvRtya piFgalAH /
   saptāsya pathagāḥ tatra(sūryo) vahnyādyā vatsareśvarāḥ // PS_2,3.47 //	sapta-asya paTagAH tatra(-sUryo) vahni-AdyAH vatsara-ISvarAH // PS_2,3.47 //
   uttarāyaṇamāseśāḥ dineśāḥ śuklapakṣapāḥ /	uttarAyaNa-mAsa-ISAH dineSAH Sukla-pakzapAH /
   paraśuklatrayaṃ hyasmin hyeta evābhimāninaḥ // PS_2,3.48 //	para-Sukla-trayam hi-asmin hi-ete eva-aBimAninaH // PS_2,3.48 //
   sūryādi sarvadevānāṃ nāmavācyāstu piṅgalāḥ /	sUrya-Adi sarva-devAnAm nAma-vAcyAH-tu piFgalAH /
   tasyāṃ brahmābhimānī gī ṛjavastvaparokṣiṇaḥ // PS_2,3.49 //	tasyAm brahma-aBimAnI gI RjavaH-tu-aparokziNaH // PS_2,3.49 //
   prāṇāpānā vilāyāṃ ca piṅgalāyāṃ ca vartataḥ /	prANa-apAnAH vilAyAm ca piFgalAyAm ca vartataH /
   rūpaiḥ ṣaḍviṃśatsahasraistāsu tau bhāratīyutau // PS_2,3.50 //	rUpEH zaxviMSat-sahasrEH-tAsu tO BAratI-yutO // PS_2,3.50 //
   tathāniruddhapradyumnau dakṣiṇe puṃ svarūpataḥ /	taTA-anirudDa-pradyumnO dakziNe pum svarUpataH /
   strīsvarūpeṇa vāme tu tāvadrūpaiśca tāsvalam // PS_2,3.51 //	strI-svarUpeNa vAme tu tAvat-rUpEH-ca tAsu-alam // PS_2,3.51 //
   tādṛkpāṇasvarūpasthau brahmarudrādyupāsitau /	tAdRS-pANa-svarUpa-sTO brahma-rudra-Adi-upAsitO /
   dakṣiṇāyanamāseśāḥ rātrīśāścaiva devatāḥ // PS_2,3.52 //	dakziNAyanam-Asa-ISAH rAtrISAH-ca-eva devatAH // PS_2,3.52 //
   kṛṣṇapakṣeśvarārudravipaśeṣāḥ sabhāryakāḥ /	kRzNa-pakza-ISvarA-rudra-vipaSezAH sa-BAryakAH /
   ahaṅkārātmakelāyāṃ devāḥ sarvebhimāninaḥ // PS_2,3.53 //	ahaFkAra-Atma-kelAyAm devAH sarva-iBimAninaH // PS_2,3.53 //
   ānandavijñānamayau piṅgalelādhipau kramāt /	Ananda-vijQAna-mayO piFga-lela-aDipO kramAt /
   vyānātmā sarvasandhisthaḥ udānobrahmanāḍigaḥ // PS_2,3.54 //	vyAna-AtmA sarva-sanDi-sTaH udAnaH-brahma-nAxigaH // PS_2,3.54 //
   suṣumnā brahmanāḍīti samānaḥsarvadehagaḥ /	suzumnA brahmanAxI-iti samAnaH-sarva-deha-gaH /
   adho madhyordhvagāḥ saptasaptelānāḍikā kramāt // PS_2,3.55 //	aDas maDya-UrDva-gAH sapta-saptelA-nAxikA kramAt // PS_2,3.55 //
   saptāśvamārgapathagāḥ ūrdhvelāḥ piṅgalā yathā /	sapta-aSva-mArga-paTa-gAH UrDvelAH piFgalAH yaTA /
   hṛtkañjādhobhāgatastāḥ savyaṃ prāpya tadūrdhvataḥ // PS_2,3.56 //	hRd-kaQja-aDas-BA-gataH-tAH savyam prApya tad-UrDvatas // PS_2,3.56 //
   apasavyaṃ punaḥ prāpyasaptāśvapathagāḥ kramāt /	apasavyam punar prApya-sapta-aSva-paTa-gAH kramAt /
   bhūmyā(dhūmā)di devatāśabdairilāvācyāsamastaśaḥ // PS_2,3.57 //	BUmyA(-DUmA)di devatA-SabdEH-ilAvAcyA-samastaSas // PS_2,3.57 //
   ṛgvedasūktabhāgeṣu bṛhatīḥṛksahasrayuk /	Rgveda-sUkta-BAgezu bRhatIHRc-sahasra-yuj /
   sūtradvyaṣṭādaśaikonaiḥ pūrṇaruk prabhaviṣyati // PS_2,3.58 //	sUtra-dvi-azwAdaSa-eka-UnEH pUrNa-ruj praBavizyati // PS_2,3.58 //
   pādastu navavarṇātmā tādṛkpādacatuṣṭayaiḥ /	pAdaH-tu nava-varNa-AtmA tAdRS-pAda-catuzwayEH /
   ruktatsaṃyuktākṣaretāvarṇādvāsaptatīritāḥ // PS_2,3.59 //	ruj-tad-saMyukta-akzaretA-varNAt-vAsapta-ti-IritAH // PS_2,3.59 //
   dvāsaptatisahasrāṇi varṇāḥ sarvarugāśritāḥ /	dvAsaptati-sahasrANi varNAH sarva-ruj-a-ASritAH /
   dvāsaptatisahasreṣu piṅgalelāhvayāsu ca // PS_2,3.60 //	dvAsaptati-sahasrezu piFgalelA-AhvayAsu ca // PS_2,3.60 //
   nāḍīṣu tattadvargeṣu vācyarūpāṇyacintayet /	nAxIzu tad-tad-vargezu vAcya-rUpANi-acintayet /
   suṣumnāyāścaturdikṣu hṛtkañjādhaḥ samāśritam // PS_2,3.61 //	suzumnAyAH-catur-dikzu hRd-kaQja-aDas samASritam // PS_2,3.61 //
   manobuddhirahaṅkāraścittañceti caturvidham /	manaH-budDiH-ahaFkAraH-cittaQcA-iti caturviDam /
   tatrendrakāmau bhāryau tau tadviśeṣābhimāninau // PS_2,3.62 //	tatra-indra-kAmO BAryO tO tad-viSeza-aBimAninO // PS_2,3.62 //
   śrotre digdevatāścandrastvakcāhaṃ prāṇanāmakaḥ /	Srotre digdevatAH-candraH-tvac-ca-aham prANa-nAmakaH /
   netrayorbhāskaro jihvāmānī varuṇar iritaḥ // PS_2,3.63 //	netrayoH-BAskaraH jihvA-mAnI varuNar iritaH // PS_2,3.63 //
   daśrau ghrāṇāśritāvete tadviśeṣābhimāninaḥ /	daSrO GrANa-ASritO=-ete tad-viSeza-aBimAninaH /
   vaktre(vāci) vahniḥ karedakṣo jayantaḥ pādayordhvayoḥ // PS_2,3.64 //	vaktre(-vAci) vahniH karet-akzaH jayantaH pAdaya-UrDvayoH // PS_2,3.64 //
   mitraḥ svāyaṃbhuvau pāyūpasthayorabhimāninau /	mitraH svAyaMBuvO pAyu-upasTayoH-aBimAninO /
   ghrā(prā)ṇo marucchabdamānītvapānaḥ sparśagastataḥ // PS_2,3.65 //	GrA(prA)NaH marut-Sabda-m-AnI-tva-pAnaH sparSa-gaH-tatas // PS_2,3.65 //
   vyānorūpaḥ rasamānī hyudāno gandhasaṃsthitaḥ /	vyAnaH-rUpaH rasa-mAnI hi-udAnaH ganDa-saMsTitaH /
   samāna ete mātrāsu viśeṣādabhimāninaḥ // PS_2,3.66 //	samAnaH ete mAtrAsu viSezAt-aBimAninaH // PS_2,3.66 //
   bhūdevī māninī pṛthvīḥ abātmā varuṇaḥ smṛtaḥ /	BU-devI mAninI pRTvIH abAtmA varuNaH smRtaH /
   agnistejomayo vāyau pravahaḥ prabhurīśvaraḥ // PS_2,3.67 //	agniH-tejaH-mayaH vAyO pravahaH praBuH-ISvaraH // PS_2,3.67 //
   ākāśamānī vighneśaḥ bhūteṣvete viśeṣapāḥ /	AkASa-mAnI viGneSaH BUtezu-ete viSezapAH /
   keśāli(sthi)tvaṅmāṃsanakharūpā bhūrdehagā matāḥ // PS_2,3.68 //	keSAli(sTi)tvac-mAMsa-naKa-rUpAH BUH-deha-gAH matAH // PS_2,3.68 //
   vāriraktātmakaṃ deha jaṭharāgnistu taijasam /	vAri-rakta-Atmakam deha jaWara-agniH-tu tEjasam /
   vāyuḥ śvāsātmakaḥ kāye hyavakāśo nabhastanau // PS_2,3.69 //	vAyuH SvAsa-AtmakaH kAye hi-avakASaH naBa-stanO // PS_2,3.69 //
   pratyakṣasiddhasarveṣāṃ satvaṃ bā(bo)dhyaṃ na hi kvacit /	pratyakza-sidDa-sarvezAm satvam bA(bo)Dyam na hi kvacid /
   sudurgandhau ghrāṇavedyau dehe jihvendriyapriyaḥ // PS_2,3.70 //	su-durganDO GrANa-vedyO dehe jihvA-indriya-priyaH // PS_2,3.70 //
   śubhāśubharaso rūpaṃ cakṣurvedyaṃ kalevare /	SuBa-aSuBa-rasaH rUpam cakzuH-vedyam kalevare /
   śītoṣṇādiḥ tvacāvedyaḥ sparśaḥ śabde(bdaḥ) śrutipriye(yaḥ) // PS_2,3.71 //	SIta-uzNa-AdiH tvacA-vedyaH sparSaH Sabda-i(bdaH) Sruti-priye(yaH) // PS_2,3.71 //
   mātrādhṛṣīkaviṣayāḥ satyābādhyāna hīritāḥ /	mAtrA-DRzIka-vizayAH satya-AbADyAna hIritAH /
   vacanādānagamanotsargabhogādisādhanam // PS_2,3.72 //	vacana-AdAna-gamana-utsarga-Boga-Adi-sADanam // PS_2,3.72 //
   karmendriyapañcacārthakriyākāreti(riṇa) (bā)badhyate /	karmendriya-paQcaca-arTa-kriyA-AkAra-iti(riNa) (bA)baDyate /
   satyaṃ śṛṇotispṛśatipaśyatyatti ca jighrati // PS_2,3.73 //	satyam SRNotispRSatipaSyati-atti ca jiGrati // PS_2,3.73 //
   śretratvaṅnetrarasanāghrāṇastatvāni tānyataḥ /	Sretra-tvac-netra-rasanAGrANaH-tatvAni tAni-atas /
   arthakriyākarāṇyeva vibodhyānīhavedagam // PS_2,3.74 //	arTa-kriyA-karANi-eva viboDya-AnIha-veda-gam // PS_2,3.74 //
   manaśca śrutihetutvāt saptaṃ(tyaṃ) ca śarīragāḥ /	manaH-ca Sruti-hetu-tvAt saptaM(ti-aM) ca SarIra-gAH /
   ahaṅkārāpādakatvāt piṅgalā mamatāspadā // PS_2,3.75 //	ahaFkAra-ApAdaka-tvAt piFgalA mamatA-AspadA // PS_2,3.75 //
   nāḍyo daurbalyasamaye bhāntisavyāpasavyayoḥ /	nAxyaH dOrbalya-samaye BAnti-savya-apasavyayoH /
   puṃsāṃstrīṇāmāyādivyañjakāḥ prabhavanti hi // PS_2,3.76 //	puMsAn=-trINAmAya-Adi-vyaQjakAH praBavanti hi // PS_2,3.76 //
   ataḥ satyācca(śca) bahuṣu jñānājñānapravartakāḥ /	atas satyAt-ca(H-ca) bahuzu jQAna-ajQAna-pravartakAH /
   guṇāḥ satvādi dehasthāḥ satyāstadabhimāninaḥ // PS_2,3.77 //	guNAH satva-Adi deha-sTAH satyAH-tad-aBimAninaH // PS_2,3.77 //
   devāḥ satyāḥ kevalasya jaḍasyasthityayogataḥ /	devAH satyAH kevalasya jaxasya-sTiti-ayogataH /
   dehānāṃ ca sadehānāṃ dehabandhamatikṛtām // PS_2,3.78 //	dehAnAm ca sa-dehAnAm deha-banDam-ati-kRtAm // PS_2,3.78 //
   duḥkhāsvadatvāddehāptikāraṇaṃ satyameva hi /	duHKa-Asvada-tvAt-deha-Apti-kAraNam satyam-eva hi /
   karmāṇi dvividhaṃ vedeṣūktānukramasaccasat // PS_2,3.79 //	karmANi dviviDam vedezu-ukta-anukrama-sat-casat // PS_2,3.79 //
   sukhaduḥkhapradaṃ tena satyāvedāḥsamastaśaḥ /	suKa-duHKa-pradam tena satya-AvedAH-samastaSas /
   deśe kāle kṛtaṅkarma phaladattvena tau vṛtau // PS_2,3.80 //	deSe kAle kRtaFkarma Pala-dattvena tO vRtO // PS_2,3.80 //
   tatkarmaphalabhoktāro jīvāḥ satyāḥ saliṅgakāḥ /	tad-karma-Pala-BoktAraH jIvAH satyAH sa-liFgakAH /
   bhagnaliṅgā vimuktāśca śrutyuktāśca kṛtāḥ smṛtāḥ // PS_2,3.81 //	Bagna-liFgAH vimuktAH-ca Sruti-uktAH-ca kRtAH smRtAH // PS_2,3.81 //
   ihānyatrālpa bahulajñānājñānādi yogibhiḥ /	iha-anyatra-alpa bahula-jQAna-ajQAna-Adi yogiBiH /
   sadasattāratamyaṃ ca sapta(tya)mete svatantrakāḥ // PS_2,3.82 //	sat-asat-tAratamyam ca sapta(ti-a)m-ete svatantrakAH // PS_2,3.82 //
   ciccetyarūpā eteṣāṃ dehayogavivarjitāḥ /	cit-ca-iti-a-rUpAH etezAm deha-yoga-vivarjitAH /
   niyantā puruṣaśreṣṭhaḥ na ca etat prayujyate // PS_2,3.83 //	niyantA puruza-SrezWaH na ca etat prayujyate // PS_2,3.83 //
   tasmāllakṣmīpatirvyāptaḥ svatantraḥ śruticoditaḥ /	tasmAt-lakzmIpatiH-vyAptaH svatantraH Sruti-coditaH /
   nirdeṣo nityasuguṇaḥ sadā nārāyaṇo hariḥ // PS_2,3.84 //	nirdezaH nitya-su-guNaH sadA nArAyaNaH hariH // PS_2,3.84 //
   evamādhyātmikaṃ satyam(ptam) adhibhūtaṃ bahisthitam /	evam-ADyAtmikam satyam-(ptam) aDiBUtam bahi-sTitam /
   sarvāṅkurotpādakatvāt bhūḥsatvā(tyā)khilakāraṇāt // PS_2,3.85 //	sarva-aFkura-utpAdaka-tvAt BUH-satva-A(tyA)Kila-kAraNAt // PS_2,3.85 //
   abhasmaranādi yogyatvāt pālakaddāhādi sādhanam /	aBasmara-na-Adi yogya-tvAt pAlakaddAha-Adi sADanam /
   vahniśca śoṣako vāyuravakāśapradāniyat // PS_2,3.86 //	vahniH-ca SozakaH vAyuH-avakASa-pradAniyat // PS_2,3.86 //
   tatkāraṇāni mātrāśca tadgatānīndriyāṇi ca /	tad-kAraNAni mAtrAH-ca tad-gatAni-indriyANi ca /
   satyā(ptā)nyevaṃ samastāni saṃsṛṣṭānyaṇḍagāni ca // PS_2,3.87 //	satya-a(ptA)ni-evam samastAni saMsRzwAni-aNxa-gAni ca // PS_2,3.87 //
   etanmūlānyasaṃsṛṣṭānyapi satyāni sarvaśaḥ /	etad-mUlAni-asaMsRzwAni-api satyAni sarvaSas /
   saṅgṛhyetadvinirmāyā yāti satyaḥ sahatyajaḥ // PS_2,3.88 //	saFgRhyetat-vinirmAyAH yAti satyaH sahatyajaH // PS_2,3.88 //
   kecinniraṅgā nirdehā jñānādi guṇavarjitāḥ /	kecid-niraFgAH nirdehAH jQAna-Adi guNa-varjitAH /
   niraṃśo khaṇḍarūpaśca sarvādṛśyonirūpitāḥ // PS_2,3.89 //	niraMSaH KaNxa-rUpaH-ca sarva-adRSyonirUpitAH // PS_2,3.89 //
   anāmarūpo phaladastvanupāsyo vicāritaḥ /	anAma-rUpaH Pala-daH-tu-anupAsyaH vicAritaH /
   brahmaikantu jaḍaṃ sarve brahmaṇyāropitaṃ mṛṣā // PS_2,3.90 //	brahma-ekantu jaxam sarve brahmaNi-Aropitam mRzA // PS_2,3.90 //
   śuktau rajatavadrajjau sarpavatpratibhāti ca /	SuktO rajata-vat-rajjO sarpa-vat-pratiBAti ca /
   ajñānaṃ kalpitaṃ taddhi śuktijñānāddhi bādhyate // PS_2,3.91 //	ajQAnam kalpitam tat-hi Sukti-jQAnAt-hi bADyate // PS_2,3.91 //
   vicārite sati hi sā śuktirnarajataṃ bhavet /	vicArite sati hi sA SuktiH-na-rajatam Bavet /
   ato bodhyaṃ mṛṣābhūtaṃ mithyā tadrajataṃ yathā // PS_2,3.92 //	atas boDyam mRzABUtam miTyA tat-rajatam yaTA // PS_2,3.92 //
   vastusvarūpaṃ jñānena kalpitatvāccatattathā /	vastu-svarUpam jQAnena kalpita-tvAt-catat-taTA /
   ajñānakalpitaṃ brahmaṇyetadviśvaṃ prakalpitam // PS_2,3.93 //	ajQAna-kalpitam brahmaNi-etat-viSvam prakalpitam // PS_2,3.93 //
   brahmaṇyāropakṛjjīvo brahmānyo naiva vartate /	brahmaNyAra-upakRt-jIvaH brahmA-anyaH na-eva vartate /
   niraṃśamapi tadbrahmatvajñānāvṛtamañjasā // PS_2,3.94 //	niraMSam-api tat-brahma-tva-jQAna-AvRtam-aQjasA // PS_2,3.94 //
   anantarūpakaṃ bhuṅkte nānāyonisamudbhavam /	ananta-rUpakam BuFkte nAnA-yoni-samudBavam /
   tasyajñānamupādhyutthaṃ satyopādhirna vidyate // PS_2,3.95 //	tasya-jQAnam-upADi-utTam satya-upADiH-na vidyate // PS_2,3.95 //
   mithyā sājñānajatatvānnājñānaṃ satya(tva)mucyate /	miTyA sa-ajQAna-jata-tvAt-na-ajQAnam satya(tva)mucyate /
   tadājñānena jīvasthaṃ jīvasyābhāvataḥ svataḥ // PS_2,3.96 //	tadA-ajQAnena jIva-sTam jIvasya-aBAvataH svatas // PS_2,3.96 //
   nirviśeṣabrahmaṇi tu jñānājñānena vartataḥ /	nirviSeza-brahmaNi tu jQAna-ajQAnena vartataH /
   ato na brahmaniṣṭaṃ tattajñānatadupādhijam // PS_2,3.97 //	atas na brahma-nizwam tad-tajQAna-tad-upADi-jam // PS_2,3.97 //
   evaṃ mithyābhūtakālakarmadeśāgamādibhiḥ /	evam miTyA-BUta-kAla-karma-deSa-Agama-AdiBiH /
   bhramadbrahma ca kalpānte brahmamūla svarūpakam // PS_2,3.98 //	Bramat-brahma ca kalpa-ante brahma-mUla svarUpakam // PS_2,3.98 //
   jñātvā tatraikyamāpanno na punarjāyate bhuvi /	jQAtvA tatra-Ekyam-ApannaH na punar-jAyate Buvi /
   muktasyāpi na cājñānaṃ nendriyāṇi na kvacit // PS_2,3.99 //	muktasya-api na ca-ajQAnam na-indriyANi na kvacid // PS_2,3.99 //
   nirviśeṣe parebrahmaṇyaikyametādṛśaṃ khalu /	nirviSeze parebrahmaNi-Ekyam-etAdRSam Kalu /
   tadajñānaṃ na sannāsatsadasanna ca tarhikam // PS_2,3.100 //	tat-ajQAnam na sanna-asat-sat-asat-na ca tarhikam // PS_2,3.100 //
   anirvācyaṃ tannivṛttirmuktirityabhidhīyate /	anirvAcyam tad-nivRttiH-muktiH-iti-aBiDIyate /
   pūrvāpareṣu kāleṣu sṛṣṭinmetyapi te jaguḥ // PS_2,3.101 //	pUrva-aparezu kAlezu sRzwinmA-iti-api te jaguH // PS_2,3.101 //
   etaddhi durmataṃ santo nāṅgīkurvantitātvikāḥ // PS_2,3.102 //	etat-hi durmatam santaH na-aFgIkurvanti-tAtvikAH // PS_2,3.102 //
   iti śrī prakāśasaṃhitāyāṃ dvitīyaparicchede tṛtīyodhyāyaḥ	iti SrI prakASa-saMhitAyAm dvitIya-paricCede tRtIyoDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   sāṅgajñānātmakatanumanantaguṇapūritam /	sa-aFga-jQAna-Atmaka-tanum-ananta-guNa-pUritam /
   sāṅgāsadbhīṣayantvīśaṃ vedyaiḥ śāstrairnirūpitam // PS_2,4.1 //	sa-aFga-asat-BIzayantu-ISam vedyEH SAstrEH-nirUpitam // PS_2,4.1 //
   anantanāmarūpāḍhyaṃ sva sva yogyaphalapradam /	ananta-nAma-rUpa-AXyam sva sva yogya-Pala-pradam /
   vicāritamupāsyaṃ ca ramā brahmādibhiḥ sadā // PS_2,4.2 //	vicAritam-upAsyam ca ramA brahma-AdiBiH sadA // PS_2,4.2 //
   svabhinnasvāvarānantamuktāmuktāṇujīvakaiḥ /	sva-Binna-svAvara-ananta-muktA-muktA-aNu-jIvakEH /
   sevitaṃ śrīpatiṃ vyāptaṃ cetanācetanasya tu // PS_2,4.3 //	sevitam SrIpatim vyAptam cetana-acetanasya tu // PS_2,4.3 //
   satyasya sṛṣṭikartāraṃ hariṃ duḥkhādi bhoginam /	satyasya sRzwi-kartAram harim duHKa-Adi Boginam /
   jānanti tasya cājñānaṃ kvacit kvāpi na yujyate // PS_2,4.4 //	jAnanti tasya ca-ajQAnam kvacid kvApi na yujyate // PS_2,4.4 //
   mithyābhūtājñānamastītyatra mānaṃ na vidyate /	miTyA-BUta-ajQAnam-asti-iti-atra mAnam na vidyate /
   ajñānā bhavitāstaṣṭhopādhirnivaha yujyate // PS_2,4.5 //	ajQAnAH BavitAH-tazWa-upADiH-nivaha yujyate // PS_2,4.5 //
   siddhau jñāne tu tajjopādhiḥ siddhai tadanvaye /	sidDO jQAne tu tad-ja-upADiH sidDEH tad-anvaye /
   sarvasyājñānayogastadabhāvāttadevana // PS_2,4.6 //	sarvasya-ajQAna-yogaH-tad-aBAvAt-tat-evanaH // PS_2,4.6 //
   ajñānābhāvatojñāsī adhikādhi na vidyate /	ajQAna-aBAva-tojQAsI aDika-aDi na vidyate /
   ajñānābhāvatastannivṛttirūpaṃ na hi kvacit // PS_2,4.7 //	ajQAna-aBAvataH-tad-nivRtti-rUpam na hi kvacid // PS_2,4.7 //
   ajñānakalpitaṃ śāstraṃ naivājñānanikṛntanam /	ajQAna-kalpitam SAstram na-eva-ajQAna-nikRntanam /
   iti heyaṃ tanmataṃ hi baddhasyeśo vimuktidaḥ // PS_2,4.8 //	iti heyam tat-matam hi badDasya-ISaH vimukti-daH // PS_2,4.8 //
   viśvaṃ satyaṃ naiva mithyā na bādhyaṃ satyakāraṇam /	viSvam satyam na-eva miTyA na bADyam satya-kAraNam /
   pratyakṣādipramāṇyaistu siddhaṃ nāropitaṃ jagat // PS_2,4.9 //	pratyakza-Adi-pramANyEH-tu sidDam na-Aropitam jagat // PS_2,4.9 //
   nārthakriyākāri śuktau pratītaṃ rajataṃ jagat /	na-arTa-kriyA-kAri SuktO pratItam rajatam jagat /
   arthakriyākāri tena taddṛṣṭānto na yujyate // PS_2,4.10 //	arTa-kriyA-kAri tena tat-dRzwAntaH na yujyate // PS_2,4.10 //
