   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   mādayasvetyagnītprayojyayājyāmantrasyārthaḥ /	mAdayasva-iti-agnIt-prayojya-yAjyA-mantrasya-arTaH /
   aibhirityatra ā ebhiriti padacchedena ā ityupasargasya yāhītyanena	EBiH-iti-atra A eBiH-iti pada=-Cedena A iti-upasargasya yAhi-iti-anena
   vyavahitena anvayaḥ /	vyavahitena anvayaH /
   tataśca yathaivādhvaryavamantraiḥ viśeṣyatayā upādānāttasyaiva devatātvam,	tatas-ca yaTA-eva-aDvaryavamantrEH viSezya-tayA upAdAnAt-tasya-eva devatA-tvam,
   na tvaṣṭuḥ, tathaiveha agnivatrayastriṃśaddevatānāṃ	na tvazwuH, taTA-eva-iha agnivatrayastriMSat-devatAnAm
   sāmānādhikaraṇyādviśeṣyatvapratītestvaṣṭṛvailakṣaṇyāt devatātvasaṃbhavena	sAmAnADikaraNyAt-viSezya-tva-pratIteH-tu-azwR-vElakzaNyAt devatA-tva-saMBavena
   pūrvapakṣaḥ /	pUrva-pakzaH /
   tatra yadyapi tattanmantre ubhayorapi nairapekṣyeṇa	tatra yadi-api tad-tad-mantre uBayoH-api nErapekzyeNa
   patnīvacchabdasāmānādhikaraṇyāvagamānnairapekṣyeṇaiva	patnI-vat-Sabda-sAmAnADikaraNyA-avagama-annEH-apekzyeNa-eva
   viśeṣyatvāvagamastathāpi	viSezya-tva-avagamaH-taTA-api
   vidhāvubhayostātparyagrāhakasahakṛtapatnīvacchabdena	viDO=-uBayoH-tAtparya-grAhaka-saha-kRta-patnI-vat-Sabdena
   yugapadabhidhānādupādeyasāhityasya vivakṣitatvādubhayoḥ samuccayopapattiḥ	yugapad-aBiDAnAt-upAdeya-sAhityasya vivakzita-tvAt-uBayoH samuccaya-upapattiH
   athavā ------ yājyāmantre agneḥ patnīvatpadasāmānādhikaraṇyābhāve	aTavA ----- yAjyA-mantre agneH patnI-vat-pada-sAmAnA-aDikaraNya-aBAve
   viśeṣyamātrasyāgneḥ śravaṇādekavākyopādānena trayastriṃśaddevaiḥ saha	viSezya-mAtrasya-agneH SravaNAt-eka-vAkya-upAdAnena trayastriMSat-devEH saha
   samuccayopapattiḥ /	samuccaya-upapattiH /
   yadyapi yājyāmantrotarārdharce trayastriṃśaddevatānāmeva	yadi-api yAjyA-mantra-utara-arDaRce trayastriMSat-devatAnAm-eva
   āvāhanapūrvasomadravyasaṃbandho 'vagamyate, agnestu pūrvārdharce	AvAhana-pUrva-soma-dravya-saMbanDaH avagamyate, agneH-tu pUrva-arDaRce
   āvāhanamādanakartṛtvena pariveṣṭṛtvamātrāvagaterna haviḥsaṃbandhaḥ;	AvAhanamAdana-kartR-tvena parivezwR-tva-mAtra-avagateH-na haviH-saMbanDaH;
   tathāpi ādhvaryavamantre tasyāpi tatsaṃbandhāvagamāt pākṣikamagnerapi	taTA-api ADvaryavamantre tasya-api tad-saMbanDa-avagamAt pAkzikam-agneH-api
   viśeṣyatvamastu natvetāvatā trayastriṃśaddevānāṃ viśeṣyatve vivādaḥ, teṣāṃ	viSezya-tvam-astu na-tu-etAvatA trayastriMSat-devAnAm viSezya-tve vivAdaH, tezAm
   yājyāmantre nityameva haviḥsaṃbandhāvagamādityarthaḥ /	yAjyA-mantre nityam-eva haviH-saMbanDa-avagamAt-iti-arTaH /
   trayastṛṃśitāṃ devatānāmiti //	trayaH-tRMSitAm devatAnAm-iti //
   te cāṣṭau vasavaḥ ekādaśa rudrāḥ dvādaśādityāḥ indraḥ prajāpatiśceti	te ca-azwO vasavaH ekAdaSa rudrAH dvAdaSa-AdityAH indraH prajApatiH-ca-iti
   havirbhujo devā jñeyāḥ //	havirBujaH devAH jQeyAH //
   agneḥ mādayitṛtvaśravaṇādeva mantravarṇe agneḥ devatātvam, anyathā	agneH mAdayitR-tva-SravaNAt-eva mantra-varNe agneH devatA-tvam, anyaTA
   yajamānadravyasyānīśenāgninānyeṣāmādānāsaṃbhavāt /	yajamAna-dravyasya-anISena-agninA-ani-ezAm-AdAna-asaMBavAt /
   ato yajamāno 'gnaye dadyāt sa cānyān mādayatītyarthenāgnistutyarthatvena	atas yajamAnaH agnaye dadyAt sa ca-anyAn mAdayati-iti-arTena-agniH-tuti-arTa-tvena
   mādayitṛtvakathanopapatterna teṣāṃ devatātvamityabhipretya	mAdayitR-tva-kaTana-upapatteH-na tezAm devatA-tvam-iti-aBipretya
   siddhāntamāha------ agneriti //	sidDAntam-Aha----- agneH-iti //
   siddhāntamupasaṃharati -------- ata iti //	sidDAntam-upasaMharati ------- atas iti //
   atraca pūrvapakṣe ūhasattve 'pi	atra-ca pUrva-pakze Uha-sattve api
   patnīvadagnipatnīvattriṃśaddevapītasyetyevaṃprayogo natu	patnI-vat-agni-patnI-vattriMSat-deva-pItasya-iti-evaMprayogaH na-tu
   nyāyasudhoktarītyāgnitrayastriṃśaddevapatnīvatpītasyeti;	nyAya-suDA-ukta-rItyA-agni-trayaH-triMSat-deva-patnI-vat-pItasya-iti;
   patnīvacchabdagataviśeṣyākāṅkṣayā paścāt	patnI-vat-Sabda-gata-viSezyA-kAFkzayA paScAt-
   kalpyamānadevatātvādagnyādyarthānāṃ viśeṣyabhūtatvena paścādeva	kalpyamAna-devatA-tvAt-agni-Adi-arTAnAm viSezya-BUta-tvena paScAt-eva
   padaprayojanasya yuktatvāt /	pada-prayojanasya yukta-tvAt /
   yadyapi cāgnā iti mantre viśeṣyasyāgneḥ pūrvaṃ prayogāt tadanurodhenehāpi	yadi-api ca-agnA iti mantre viSezyasya-agneH pUrvam prayogAt tad-anuroDena-iha-api
   tasya pūrvaṃ sa āpādyeta; tathāpi trayastriṃśaddevānāṃ tadabhāvādayuktaṃ	tasya pUrvam saH ApAdyeta; taTA-api trayastriMSat-devAnAm tad-aBAvAt-ayuktam
   teṣāṃ pūrvamabhidhānam //	tezAm pUrvam-aBiDAnam //
   vastutastu ------- utpattigatadevatāsamarpakapatnīvatpadākāṅkṣayāgneḥ	vastutas-tu ------ utpatti-gata-devatA-samarpaka-patnI-vat-pada-AkAFkzayA-agneH
   paścādeva tatkalpanāt avagatadevatātvānurodhenaiva yuktaḥ prayogaḥ /	paScAt-eva tad-kalpanAt avagata-devatA-Atva-anuroDena-eva yuktaH prayogaH /
   ataeva ------- agnaye patnīvata idamiti yājñikānāṃ tyāgānuṣṭhānamapi	ataeva ------ agnaye patnIvataH idam-iti yAjQikAnAm tyAga-anuzWAnam-api
   ------ nirastam /	----- nirastam /
   evañca ------- patnīvatpītasyetyevaṃ siddhāntāviśeṣeṇaiva pūrvapakṣe	evaQcaH ------ patnI-vat-pItasya-iti-evam sidDAnta-aviSezeNa-eva pUrva-pakze
   prayogopapādanaṃ somanāthenoktaṃ ------- apāstam; satyapyutpattivākye	prayoga-upapAdanam somanATena-uktam ------ apAstam; sati-api-utpatti-vAkye
   patnīvattvena devatātve pūrvoktarītyā uddeśāṃśasya	patnIvat-tvena devatA-tve pUrva-ukta-rItyA uddeSa-aMSasya
   viśeṣyavācakapadaprayogaṃ vinā nirākāṅkṣatvābhāvāt yāgakāle	viSezya-vAcaka-pada-prayogam vinA nirAkAFkzatva-aBAvAt yAga-kAle
   avaśyoccāraṇīyasya patnīvadagnaya iti prayogasyevehāpi	avaSya-uccAraNIyasya patnI-vat-agnayaH iti prayogasya-iva-iha-api
   patnīvadagnipītasyetyevaṃvidhaprayogasyaivāpatteḥ /	patnI-vat-agni-pItasya-iti-evaMviDa-prayogasya-eva-ApatteH /
   ataeva patnīvabhdya idaṃ na mameti prayogaviśeṣasya pūrvapakṣe siddhānte	ataeva patnI-ivaBdyaH idam na mama-iti prayoga-viSezasya pUrva-pakze sidDAnte
   ca patnīvata idaṃ na mameti prayogaviśeṣasyaca prayojanatvoktirapi tadīyā	ca patnIvataH idam na mama-iti prayoga-viSezasya-ca prayojana-tva-uktiH-api tadIyA
   parāsteti nirāsasūcanapūrvakaṃ kṛtvācintāsthāyivicārayoḥ svābhimataṃ	parAH-tA-iti nirAsa-sUcana-pUrvakam kRtvA-cintA-sTAyi-vicArayoH sva-aBimatam
   prayojanaṃ te iti bahuvacanaprayogeṇa tanniṣedhena ca sūcitam //	prayojanam te iti bahuvacana-prayogeNa tad-nizeDena ca sUcitam //
   iti pañcadaśaṃ trayastriṃśaddevāpatnīvattvādhikaraṇam //	iti paQcadaSam trayastriMSat-deva-apatnI-vat-tva-aDikaraNam //
   (triṃśadadhikaraṇam) - - - - - - - <B1> (16 adhikaraṇam / ) (a.3 pā.2	(triMSat-aDikaraNam)        <B1> (16 aDikaraNam / ) (a.3 pA.2
   adhi.16) vaṣaṭkāraśca //	aDi.16) vazawkAraH-ca //
   anuvaṣaṭkārayāgadevatāyā agnerdevatātvasya niḥsandigdhatvādupalakṣaṇam /	anuvazawkAra-yAga-devatAyAH agneH-devatA-tvasya niHsandigDa-tvAt-upalakzaNam /
   prakṛtau tvasau vidyamānāpi nopalakṣitā; anuvaṣaṭkārayāgasya	prakRtO tu-asO vidyamAnA-api na-upalakzitA; anuvazawkAra-yAgasya
   somayāgātkarmāntararūpasya pūrvayāgīyasomapratipattibhūtasya	soma-yAgAt-karma-antara-rUpasya pUrva-yAgIya-soma-pratipatti-BUtasya
   kṛtsnavidhānatvenātideśākalpanāt, upadeśena kathañcidbhakṣaṇaprāptāvapi	kRtsna-viDAna-tvena-atideSa-akalpanAt, upadeSena kaTaQcid-BakzaNa-prAptO=-api
   vrīhīṇāṃ medha iti vadaindramantrasya prāptyanupapatteśca /	vrIhINAm meDaH iti vat-a-Endra-mantrasya prApti-anupapatteH-ca /
   ataśca vikṛtāvapi pradhānadevataiva tatkāryāpannopalakṣaṇīyā	atas-ca vikRtO=-api praDAna-devatA-eva tad-kArya-Apanna-upalakzaNIyA
   nānuvaṣaṭkāradevatā // 16 // 30 // iti	na-anuvazawkAra-devatA // 16 // 30 // iti
   ṣoḍaśamanuvaṣaṭkāradevatānupalakṣaṇādhikaraṇam //	zoxaSam-anu-vazawkAra-devatA-anupalakzaNa-aDikaraNam //
   <B2> anuvaṣaṭkārayāgo hi "agnaye anuyajatī"ti vacanena tantrasāradhṛtena	<B2> anuvazawkAra-yAgaH hi "agnaye anuyajati-i"ti vacanena tantra-sAra-DRtena
   jyotiṣṭomayāgābhyāsarūpavaṣaṭkārayāge agnidevatāyā	jyotizwaH-mayAga-aByAsa-rUpa-vazawkAra-yAge agni-devatAyAH-
   anuśabdoktataduttaratvasyaca vidhāne vākyabhedāpatteḥ guṇāt karmāntarūpo	anuSabda-ukta-tad-uttara-tvasya-ca viDAne vAkya-Beda-ApatteH guNAt karmAnta-rUpaH-
   vihitaḥ /	vihitaH /
   tatra "somasyāgne vīhītyanuyajatī"ti vacanāntareṇa mantravidhinā	tatra "somasya-agne vIhi-iti-anuyajati-i"ti vacana-antareNa mantra-viDinA
   māntravarṇikasomadravye samarpite dharmāntarākāṅkṣāyāṃ prakaraṇāt	mAntra-varNika-soma-dravye samarpite Darma-antara-AkAFkzAyAm prakaraNAt-
   jyotiṣṭomāṅgabhūte 'pi asmin vaimṛdhavat somadravyakatvasādṛśyāt	jyotizwoma-aFga-BUte api asmin vEmRDa-vat soma-dravyaka-tva-sAdRSyAt-
   tadīyavidhyantaprāpteratideśena somabhakṣaṇe tanmantreca prāpte vicāra	tadIya-viDi-anta-prApteH-ati-deSena soma-BakzaNe tad-mantreca prApte vicAra
   ityabhipretyāha -------- anuvaṣaṭkārayāgeti //	iti-aBipretya-Aha ------- anuvazawkAra-yAga-iti //
   atraca bhakṣaṇamantrasya aṅgatvānaṅgatvavicārāt ūhavicārācca	atra-ca BakzaNa-mantrasya aFgatva-anaFga-tva-vicArAt Uha-vicArAt-ca
   pādādhyāyaprakaraṇasaṅgatayaḥ spaṣṭāḥ /	pAda-aDyAya-prakaraNa-saFgatayaH spazwAH /
   anantarātu māntravarṇikadevatāyā niḥsandigdhatvāt	anantarAtu mAntra-varNika-devatAyAH niHsandigDa-tvAt-
   pūrvādhikaraṇavyutpāditādevatātvarūpānupalakṣaṇanyāya-	pUrva-aDikaraNa-vyutpAditA-devatA-tva-rUpa-anupalakzaNa-nyAya-
   pratyudāharaṇarūpeṇātra pūrvapakṣotthānāt pratyudāharaṇasaṅgatiriti	pratyudAharaNa-rUpeNa-atra pUrva-pakza-utTAnAt pratyudAharaNa-saFgatiH-iti
   nyāyasudhākāraḥ //	nyAya-suDA-kAraH //
   yattu ------ pūrvanyāyātyayena yatra pūrvasādhyābhāvaḥ siddhāntatayocyate	yat-tu ----- pUrva-nyAya-atyayena yatra pUrva-sADya-aBAvaH sidDAntatayA-ucyate
   tatraiva pratyudāharaṇasaṅgatiḥ; yatratu pūrvanyāyātyayena	tatra-eva pratyudAharaNa-saFgatiH; yatratu pUrva-nyAya-atyayena
   pūrvapakṣamātraṃ pūrvasādhyameva ca siddhāntaḥ tatrātideśikīti vyavasthāṃ	pUrva-pakza-mAtram pUrva-sADyam-eva ca sidDAntaH tatra-atideSikI-iti vyavasTAm
   tanmatadūṣaṇapūrvakaṃ mahatā prayatnena prasādhya	tad-mata-dUzaNa-pUrvakam mahatA prayatnena prasADya
   pūrvasādhyasyaivasiddhāntitatvāt ātideśikīṃ saṅgatiṃ prakāśakārā āhuḥ, tat	pUrva-sADyasya-eva-sidDAntita-tvAt AtideSikIm saFgatim prakASa-kArAH AhuH, tat-
   svayameva tatprakhyatadvyapadeśādhikaraṇādiṣu pūrvapakṣotthānamātreṇa	svayam-eva tad-praKya-tad-vyapadeSa-aDikaraNa-Adizu pUrva-pakza-utTAna-mAtreNa
   sādhyaikye 'pi pratyudāharaṇasaṅgaterabhidhānena pūrvoktavyavasthāyāḥ	sADyEkye api pratyudAharaNa-saFgateH-aBiDAnena pUrva-ukta-vyavasTAyAH
   pūrvāparaviruddhatvādetādṛśe viṣaye saṅgatidvayasāṅkarye 'pi bādhakābhāvāt	pUrva-apara-virudDa-tvAt-etAdRSe vizaye saFgati-dvaya-sAFkarye api bADaka-aBAvAt
   vedāntādhikaraṇeṣvapyetādṛśavidhayā pratyudāharaṇasaṅgatyabhidhānameva yat	vedAnta-aDikaraNezu-api-etAdRSaviDayA pratyudAharaNa-saFgati-aBiDAnam-eva yat-
   kaustubhe, tatsiddhāntamādāyāpi saṅgatisaṃbhavābhiprāyeṇa jñeyam //	kOstuBe, tad-sidDAntam-AdAya-api saFgati-saMBava-aBiprAyeNa jQeyam //
   niḥsandigdhatvādityanena trayastriṃśaddevānāṃ	niHsandigDa-tvAt-iti-anena trayastriMSat-devAnAm
   devatātvasyāspaṣṭatvānnopalakṣaṇatvamiti pūrvanyāyavailakṣaṇyaṃ sūcitam /	devatA-tvasya-aspazwa-tvAt-na-upalakzaNa-tvam-iti pUrva-nyAya-vElakzaNyam sUcitam /
   upalakṣaṇamityasyānantaraṃ manyata ityadhyāhāraḥ /	upalakzaNam-iti-asya-anantaram manyate iti-aDyAhAraH /
   evañca sati yadyapyetasyānuvaṣaṭkārayāgasya karmāntaratve 'pi	evaQca sati yadi-api-etasya-anuvazawkAra-yAgasya karma-antara-tve api
   pṛthaksomagrahaṇavidhyabhāvāt kathañcidatideśena tatprāptisaṃbhave 'pi vā	pRTak-soma-grahaNa-viDi-aBAvAt kaTaQcid-ati-deSena tad-prApti-saMBave api vA
   "yaddhavirvahati tena śeṣeṇa saṃyojayati devatā" mityarthavādena	"yat-havirvahati tena SezeNa saMyojayati devatA" miti-arTa-vAdena
   vaṣaṭkāradevatāyai yaddhaviḥ vahati taccheṣeṇānuvaṣaṭkāre devatāṃ	vazawkAradevatAyE yat-haviH vahati tad-SezeNa-anuvazawkAre devatAm
   saṃyojayatītyarthakeṇa vaṣaṭkārayāgīyasomaśeṣadravyatvapratīteḥ tayā	saMyojayati-iti-arTakeNa vazawkArayAgIyasom-aSeza-dravya-tva-pratIteH tayA
   cottamādivat pratipattilakṣaṇasattvenānuvaṣaṭkārayāgasya	ca-uttama-Adi-vat pratipatti-lakzaNa-sattvena-anuvazawkAra-yAgasya
   pratipattitvāvasāyāt "yadvāvasomasyāgnevīhītyanuvaṣaṭkaroti tenaiṣa	pratipatti-tva-avasAyAt "ya-dvAvasomasya-agnevIhi-iti-anuvazawkaroti tena-eza
   saṃsthitān somān bhakṣayanti sa eva somasya sviṣṭakṛdi"ti	saMsTitAn somAn Bakzayanti saH eva somasya su-izwakRdi"ti
   dravyapratipattyarthasviṣṭakṛdyāgarūpatvasaṃstavādapi ca tanniścayācca	dravya-pratipatti-arTa-svizwakRt-yAga-rUpa-tva-saMstavAt-api ca tad-niScayAt-ca
   pratipattikarmatvaṃ nirvivādam /	pratipatti-karma-tvam nirvivAdam /
   ataeva saṃkarṣe anuvaṣaṭkārayāgasya sviṣṭakṛdvattantreṇānuṣṭhānaṃ	ataeva saMkarze anuvazawkAra-yAgasya su-izwakRt-vattantreNa-anuzWAnam
   pūrvapakṣayitvā vaṣaṭkārayāgānantaryarūpakramapṛthaktvāt	pUrva-pakzayitvA vazawkAra-yAga-Anantarya-rUpa-krama-pRTaktvAt-
   dvidevatyeṣvanuvaṣaṭkāraniṣedharūpaliṅgācca siddhāntatvena sādhitāyā	dvi-devatyezu-anuvazawkAra-nizeDa-rUpa-liFgAt-ca sidDAnta-tvena sADitAyAH-
   āvṛtteḥ pratipattikarmatva evopapattiḥ, anyathā arthakarmatve	AvRtteH pratipatti-karma-tvaH eva-upapattiH, anyaTA arTa-karma-tve
   tantrānuṣṭhānāpattestadasaṃbhavāt /	tantra-anuzWAna-ApatteH-tad-asaMBavAt /
   ataśca pratipattikarmabhūte 'smin yāge nārthakarmabhūtasomayāgātideśaḥ	atas-ca pratipatti-karma-BUte asmin yAge na-arTa-karma-BUta-soma-yAga-ati-deSaH
   saṃbhavati; tathāpi niṣkāsāvabhṛthavājinayāganyāyenetikartavyatākāṅkṣāyāṃ	saMBavati; taTA-api nizkAsa-avaBRTa-vAjina-yAga-nyAyena-iti-kartavyatA-kAFkzAyAm
   somajanyayāgatvasāmānyāt atideśopapattyā	soma-janya-yAga-tva-sAmAnyAt atideSa-upapattyA
   vaṣaṭkārānuvaṣaṭkārayāgāṅgabhūtayoḥ somabhakṣaṇayoḥ tantreṇānuṣṭhāne 'pi	vazawkAra-anuvazawkAra-yAga-aFga-BUtayoH soma-BakzaNayoH tantreNa-anuzWAne api
   tatraiva devatādvayopalakṣaṇaṃ kartavyamityarthaḥ //	tatra-eva devatA-dvaya-upalakzaNam kartavyam-iti-arTaH //
   aindrapradānānāṃ prakṛtitvamanaindrapradānānāṃ vikṛtitvamiti pakṣe	Endra-pradAnAnAm prakRti-tvam-anEndra-pradAnAnAm vikRti-tvam-iti pakze
   anaindrapradāneṣvatideśena prāptasyāpyanuvaṣaṭkārayāgasya	anEndra-pradAnezu-atideSena prAptasya-api-anuvazawkAra-yAgasya
   tāvadyognirdevatā sā na prakṛtibhūtaindrapradānasaṃbandhīndrasthānāpannā,	tAvat-yogniH-devatA sA na prakRti-BUta-Endra-pradAna-saMbanDi-indra-sTAna-ApannA,
   yena tatsthānāpannatvena mantraprāptyā tasyāpyupalakṣaṇaṃ syāt /	yena tad-sTAna-Apanna-tvena mantra-prAptyA tasya-api-upalakzaNam syAt /
   prakṛtau aindrapradāne hotṛkacamaseṣu "madhyataḥ kāriṇāṃ camasādhvaryavo	prakRtO Endra-pradAne hotRkacamasezu "maDyatas kAriNAm camasa-aDvaryavaH-
   vaṣaṭkṛte anuvaṣaṭkṛte juhuta hotṛkāṇāṃ camasādhvaryavaḥ sakṛddhutvā	vazawkRte anuvazawkRte juhuta hotRkANAm camasADvaryavaH sakRt-hutvA
   śukrasyābhyunnīyopāvartadhvami" tyadhvaryukartṛkapraiṣasakṛddhomāmnānena	Sukrasya-aByunnIya-upAvarta-Dvami" tyaDvaryu-kartRka-prEzasa-kRt-homa-AmnA-anena
   anuvaṣaṭkārasyaivābhāvāt madhyataḥ kāricamaseṣu tatsattve 'pi	anuvazawkArasya-eva-aBAvAt maDyatas kAricamasezu tad-sattve api
   tadaṅgabhūtānuvaṣaṭkārayāgasya prayājādivat	tad-aFga-BUta-anuvazawkAra-yAgasya prayAja-Adi-vat-
   kṛtsnavidhānatvenetikartavyatānapekṣaṇādatideśānupapatterbhakṣaṇasya	kRtsna-viDAna-tvena-iti-kartavyatA-anapekzaNAt-atideSa-anupapatteH-BakzaNasya
   tanmantrasya cāprāptau nopalakṣaṇasaṃbhāvanāpītyabhipretya siddhāntamāha	tad-mantrasya ca-aprAptO na-upalakzaNa-saMBAvanA-api-iti-aBipretya sidDAntam-Aha
   --------- prakṛtautviti //	-------- prakRta-Otu-iti //
   nanu ------- prakṛtau somaṃ bhakṣayatīti bhakṣaṇasya	nanu ------ prakRtO somam Bakzayati-iti BakzaNasya
   vedibarhinyāyenāṅgapradhānasādhāraṇasomoddeśena vidhānādupadeśenaiva	vedi-barhi-nyAyena-aFga-praDAna-sADAraNa-soma-uddeSena viDAnAt-upadeSena-eva
   bhakṣaṇaprāptestanmantraprāptirityata āha ------- upadeśeneti //	BakzaNa-prApteH-tad-mantra-prAptiH-iti-atas Aha ------ upadeSena-iti //
   yavaprayoge "vrīhīṇāṃ medha" iti mantrasyāsāmarthyena prakṛtāvūhābhāvena	yava-prayoge "vrIhINAm meDa" iti mantrasya-asAmarTyena prakRtOvUhA-BAvena
   ca lopavadihāpi tasya lopasyaiva prāpterityarthaḥ /	ca lopa-vat-iha-api tasya lopasya-eva prApteH-iti-arTaH /
   ataeva upadeśena bhakṣaprāptāvindrapītādhikaraṇasiddhānte	ataeva upadeSena Bakza-prAptO=-indra-pIta-aDikaraNa-sidDAnte
   savanasaṃbandhitvāviśeṣāt mantraviniyoge 'pi na	savana-saMbanDi-tva-aviSezAt mantra-viniyoge api na
   tadīyadevatopalakṣaṇaprasaktiḥ /	tadIya-devatA-upalakzaNa-prasaktiH /
   siddhāntamupasaṃharati --------- ataśceti //	sidDAntam-upasaMharati -------- atas-ca-iti //
   svayāgāṅgabhūtadravyapātṛtvasattve 'pi tatrātideśābhāvena	svayAgAFga-BUta-dravya-pAtR-tva-sattve api tatra-atideSa-aBAvena
   prākṛtadevatākāryāpattyabhāvāt yathā adhvaryuṇā pāne kriyamāṇe tataḥ	prAkRta-devatA-kArya-apatti-aBAvAt yaTA aDvaryuNA pAne kriyamANe tatas-
   pūrvaṃ hotrā pītopi na hotṛpītasyetyevamupalakṣayet,	pUrvam hotrA pItopi na hotR-pItasya-iti-evam-upalakzayet,
   tathaivānuvaṣaṭkāradevatā nopalakṣaṇīyetyarthaḥ /	taTA-eva-anuvazawkAradevatA na-upalakzaNIyA-iti-arTaH /
   sūtre vaṣaṭkāraśabdena vaṣaṭkārasaṃbaddhānuvaṣaṭkārasaṃbandhāt	sUtre vazawkAra-Sabdena vazawkAra-saMbadDa-anuvazawkAra-saMbanDAt
   lakṣitalakṣaṇayānuvaṣaṭkārayāgīyadevatocyate iti jñeyam /	lakzita-lakzaNayA-anuvazawkAra-yAgIya-devatA-ucyate iti jQeyam /
   atra nyāyasudhākṛtā anuvaṣaṭkārayāgasya pratipattikarmatvaṃ sādhitam,	atra nyAya-suDA-kRtAH anuvazawkAra-yAgasya pratipatti-karma-tvam sADitam,
   taddūṣaṇena arthakarmatvaṃ prakāśakārairuktamapi kaustubhe nirasya	tad-dUzaNena arTa-karma-tvam prakASa-kArEH-uktam-api kOstuBe nirasya
   pratipattikarmatvameva aṅgīkṛtamitīhāpi tadeva pratipattibhūtasyetyanena	pratipatti-karma-tvam-eva aFgIkRtam-iti-iha-api tat-eva pratipatti-BUtasya-iti-anena
   darśitamiti //	darSitam-iti //
   iti ṣoḍaśamanuvaṣaṭkārādhikaraṇam //	iti zoxaSam-anuvazawkAra-aDikaraNam //
   (anuvaṣaṭkāradevatānupalakṣaṇādhikaraṇam) - - - - - - <B1> (17 adhikaraṇam	(anuvazawkAra-devatA-anupalakzaNa-aDikaraNam)       <B1> (17 aDikaraNam
   / ) (a.3 pā.2 adhi.17) chandaḥ //	/ ) (a.3 pA.2 aDi.17) CandaH //
   evamūhaṃ vicāryādhunā'dyapūrvapakṣavādī punastaṃ dūṣayati /	evam-Uham vicArya-aDunA-adya-pUrva-pakza-vAdI punar-tam dUzayati /
   nohaḥ; karmaṇa ekatvāt, abhyāsānāmapi phalacamasavadasamānavidhānatve	na-UhaH; karmaNaH eka-tva-at, aByAsAnAm-api Pala-camasa-vat-asamAna-viDAna-tve
   pramāṇābhāvācca /	pramANa-aBAvAt-ca /
   nahi mānagrahaṇamantrānurodhena taduddeśyānāṃ saṅkoco yuktaḥ,	na-hi mAna-grahaNa-mantra-anuroDena tad-uddeSyAnAm saFkocaH yuktaH,
   agnividyayostu svasvavidhiprayuktatvena kratuvidhiprayuktatvābhāvādyuktaḥ	agni-vidyayoH-tu sva-sva-viDi-prayukta-tvena kratu-viDi-prayukta-tva-aBAva-Adi-uktaH
   paraprayuktāgnividyopajīvakatayā kratvadhikārasaṅkocaḥ /	para-prayukta-agni-vidyA-upajIvaka-tayA kratu-aDikAra-saFkocaH /
   ato mānagrahaṇamantrāveva kāmaṃ aindramātrapradānaviṣayau bhavetāṃ na tu	atas mAna-grahaNa-mantrO=-eva kAmam Endra-mAtra-pradAna-vizayO BavetAm na tu
   mānādyapi /	mAna-Adi-api /
   vastutastu vasumata ityanena devatāntarasyāpyabhidhānāttayorapi	vastutas-tu vasumataH iti-anena devatA-antarasya-api-aBiDAnAt-tayoH-api
   sarvārthatvameva /	sarva-arTa-tvam-eva /
   ato bhakṣamantrasyaivaindrapradānaviṣayatvādanaindrāṇāmamantrakaṃ	atas Bakza-mantrasya-eva-Endra-pradAna-vizaya-tvAt-anEndrANAm-amantrakam
   bhakṣaṇam // 17 // 31 //	BakzaNam // 17 // 31 //
   iti saptadaśaṃ anaindrāṇāmamantrakabhakṣaṇādhikaraṇam //	iti saptadaSam anEndrANAm-amantraka-BakzaNa-aDikaraNam //
   <B2> evamindrapītādhikaraṇadvitīyohapūrvapakṣamupajīvya pañca kṛtvācintāḥ	<B2> evam-indra-pIta-aDikaraNa-dvitIyoha-pUrva-pakzam-upajIvya paQca kRtvA-cintAH
   pradarśyādhunā vartiṣyamāṇakṛtvācintādvayārthaṃ	pradarSya-aDunA vartizyamANa-kRtvA-cintA-dvaya-arTam
   dvitīyapūrvapakṣopapāditohaniṣedhamukhenendrapītādhikaraṇaprathamapūrvapakṣavādī	dvitIya-pUrva-pakza-upapAdi-toha-nizeDa-muKena-indra-pIta-aDikaraNa-praTama-pUrva-pakza-vAdI
   svaprayojanasādhanāya pratyavatiṣṭhata ityāha ---------- evamiti //	sva-prayojana-sADanAya pratyavatizWate iti-Aha --------- evam-iti //
   dūṣaṇaprakāramevāha --------- noha iti //	dUzaNa-prakAram-eva-Aha -------- na-Uha iti //
   yāgākhyakarmaṇaḥ phalavattvāt prādhānyācca somādyaṅgagrāhitvasaṃbhave 'pi	yAga-AKya-karmaNaH Palavat-tvAt prADAnyAt-ca soma-Adi-aFga-grAhi-tva-saMBave api
   pradānānāmabhyāsarūpatvenāphalavattvāt guṇatvācca "guṇānāṃ ca	pradAnAnAm-aByAsa-rUpa-tvena-aPalavat-tvAt guNa-tvAt-ca "guNAnAm ca
   parārthatvādi" ti nyāyenāṅgagrāhitvānupapattervikṛtitvāsaṃbhavāt yāgasyaca	para-arTa-tva-Adi" ti nyAyena-aFga-grAhitvA-anupapatteH-vikRti-tva-asaMBavAt yAgasya-ca
   pratyabhyāsamapyekatvāt svasmin svato 'bhyāsānupapatteḥ nohena samantrakaṃ	pratyaByAsam-api-eka-tvAt svasmin svatas aByAsa-anupapatteH na-Uhena sa-mantrakam
