   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   tripāde govṛṣaṃ dadyāc Par_9.15c	tri-pAde go-vRzam dadyAt Par_9.15c
   tripāde tu śikhā varjaṃ Par_9.14c	tri-pAde tu SiKA varjam Par_9.14c
   tribhir varṣair viśudhyati Par_7.9b	triBiH varzEH viSuDyati Par_7.9b
   triyugaṃ ca caturyugam Par_12.54(53)b	tri-yugam ca caturyugam Par_12.54(53)b
   trirātram aśucir bhavet Par_3.16/1d	tri-rAtram aSuciH Bavet Par_3.16/1d
   trirātram aśucir bhavet Par_3.45d	tri-rAtram aSuciH Bavet Par_3.45d
   trirātram ā vratādeśād Par_3.17c	tri-rAtram A vrata-AdeSAt Par_3.17c
   trirātram upavāsayet Par_6.23b	tri-rAtram upavAsayet Par_6.23b
   trirātram upavāsitvā Par_10.5c	tri-rAtram upavAsitvA Par_10.5c
   trirātram upavāsitvā tv Par_10.19c	tri-rAtram upavAsitvA tu Par_10.19c
   trirātram upavāsī syād Par_11.55a	tri-rAtram upavAsI syAt Par_11.55a
   trirātram upavāsena Par_11.10c	tri-rAtram upavAsena Par_11.10c
   trirātraṃ kṣitipātane Par_11.53d	tri-rAtram kzitipAtane Par_11.53d
   trirātraṃ prathame pakṣe Par_4.11a	tri-rAtram praTame pakze Par_4.11a
   trirātrāc chuddhim āpnuyāt Par_6.26d	tri-rAtrAt SudDim ApnuyAt Par_6.26d
   trirātreṇaiva śudhyati Par_7.12b	tri-rAtreNa-eva SuDyati Par_7.12b
   trirātre tu tataḥ pūrṇe Par_3.46a	tri-rAtre tu tatas pUrNe Par_3.46a
   trisahasreṇa kṣatriye Par_11.17d	tri-sahasreNa kzatriye Par_11.17d
   trisaṃdhyam avagāhanam Par_6.12d	trisaMDyam avagAhanam Par_6.12d
   trisaṃdhyam avagāhanam Par_6.36d	trisaMDyam avagAhanam Par_6.36d
   trisaṃdhyam avagāhanam Par_8.31b	trisaMDyam avagAhanam Par_8.31b
   trisaṃdhyaṃ snānam ity uktaṃ Par_9.57c	trisaMDyam snAnam iti uktam Par_9.57c
   triṃśataṃ govṛṣaṃ caikaṃ Par_6.41c	triMSatam go-vRzam ca-ekam Par_6.41c
   triṃśad goś caiva dakṣiṇām Par_6.18d	triMSat goH ca-eva dakziNAm Par_6.18d
   trīṇi kṛcchrāṇi saṃcaret Par_10.9d	trINi kRcCrANi saMcaret Par_10.9d
   trīn pādāṃs tu samācaret Par_9.38d	trIn pAdAn tu samAcaret Par_9.38d
   tretāyāṃ gautamāḥ smṛtāḥ Par_1.24b	tretAyAm gOtamAH smRtAH Par_1.24b
   tretāyāṃ grāmam utsṛjet Par_1.25b	tretAyAm grAmam utsRjet Par_1.25b
   tretāyāṃ jñānam ucyate Par_1.23b	tretAyAm jQAnam ucyate Par_1.23b
   tretāyāṃ daśabhir dinaiḥ Par_1.27b	tretAyAm daSaBiH dinEH Par_1.27b
   tretāyāṃ dvāpare yuge Par_1.22b	tretAyAm dvApare yuge Par_1.22b
   tretāyāṃ māṃsam āśritāḥ Par_1.32b	tretAyAm mAMsam ASritAH Par_1.32b
   tretāyāṃ sparśanena ca Par_1.26b	tretAyAm sparSanena ca Par_1.26b
   tretāsv āhūya dīyate Par_1.28b	tretAsu AhUya dIyate Par_1.28b
   trailokyaṃ tārayanty ete Par_8.21c	trElokyam tArayanti ete Par_8.21c
   tryaham uṣṇaṃ payaḥ pibet Par_4.7b	tri-aham uzNam payaH pibet Par_4.7b
   tryaham uṣṇaṃ pibet sarpir Par_4.7c	tri-aham uzNam pibet sarpiH Par_4.7c
   tryaham uṣṇaṃ pibed vāri Par_4.7a	tri-aham uzNam pibet vAri Par_4.7a
   tryahaṃ kṣīreṇa bhuñjīta Par_6.37c	tri-aham kzIreNa BuQjIta Par_6.37c
   tryahaṃ bhuñjīta dadhnā ca Par_6.37a	tri-aham BuQjIta daDnA ca Par_6.37a
   tryahaṃ bhuñjīta sarpiṣā Par_6.37b	tri-aham BuQjIta sarpizA Par_6.37b
   tryahaṃ snātvā ca pītvā ca Par_6.49c	tri-aham snAtvA ca pItvA ca Par_6.49c
   tryahāt kevalavedas tu Par_3.5c	tri-ahAt kevala-vedaH tu Par_3.5c
   tvaramāṇāḥ pradhāvanti Par_3.35c	tvaramANAH praDAvanti Par_3.35c
   tvaṃkāraṃ ca garīyasaḥ Par_11.51d	tvaMkAram ca garIyasaH Par_11.51d
   dakṣād aṅgirasas tathā Par_1.13d	dakzAt aFgirasaH taTA Par_1.13d
   dakṣiṇaṃ śravaṇaṃ spṛśet Par_12.19d	dakziNam SravaNam spRSet Par_12.19d
   dakṣiṇārtham tu yo vipraḥ Par_12.39(38)a	dakziNA-arTam tu yaH vipraH Par_12.39(38)a
   dagdhadeśe mṛtā gāvaḥ Par_9.5c	dagDa-deSe mRtAH gAvaH Par_9.5c
   dagdhāsthīni punar gṛhya Par_5.12c	dagDa-asTIni punar gRhya Par_5.12c
   daṇḍa ity abhidhīyate Par_9.10d	daNxaH iti aBiDIyate Par_9.10d
   daṇḍād ūrdhvaṃ yad anyena Par_9.2a	daNxAt UrDvam yat anyena Par_9.2a
   daṇḍenābhihitaḥ sa tu Par_9.11b	daNxena-aBihitaH sa tu Par_9.11b
   daṇḍair hanyād athopalaiḥ Par_9.9b	daNxEH hanyAt aTa-upalEH Par_9.9b
   dattaḥ kṛtrimakaḥ sutaḥ Par_4.24b	dattaH kRtrimakaH sutaH Par_4.24b
   dadāti parivarjitaḥ Par_11.49d	dadAti parivarjitaH Par_11.49d
   dadyāc ca bhikṣātritayaṃ Par_1.52a	dadyAt ca BikzA-tritayam Par_1.52a
   dadyāt tat pratirūpakam Par_9.26b	dadyAt tat pratirUpakam Par_9.26b
   dadyāt putro 'thavā bhrātāpy Par_5.23a	dadyAt putraH aTavA BrAtA-api Par_5.23a
   dadyād aṣṭau vṛṣaṇayoḥ Par_5.17c	dadyAt azwO vRzaNayoH Par_5.17c
   dadyād ity abravīn manuḥ Par_9.26d	dadyAt iti abravIt manuH Par_9.26d
   dadyād gomithunadvayam Par_10.7d	dadyAt go-miTuna-dvayam Par_10.7d
   dadyād viprādyanukramāt Par_11.3d	dadyAt vipra-Adi-anukramAt Par_11.3d
   dadyād vipreṣu dakṣiṇām Par_6.41d	dadyAt viprezu dakziNAm Par_6.41d
   dadyād vipreṣu dakṣiṇām Par_10.4d	dadyAt viprezu dakziNAm Par_10.4d
   dadyād vipreṣu dakṣiṇām Par_12.76(75)b	dadyAt viprezu dakziNAm Par_12.76(75)b
   dadyād veśmani pāvakam Par_6.40d	dadyAt veSmani pAvakam Par_6.40d
   dadyān mātā pitā vāpi Par_4.24c	dadyAt mAtA pitA vA-api Par_4.24c
   dadyur viprāya dakṣiṇām Par_4.6d	dadyuH viprAya dakziNAm Par_4.6d
   dadhikrāvṇas tathā dadhi Par_11.32d	daDikrAvNaH taTA daDi Par_11.32d
   dadhikṣīrasya tripalaṃ Par_6.38c	daDi-kzIrasya tri-palam Par_6.38c
   dadhitakraṃ ghṛtaṃ payaḥ Par_1.65b	daDi-takram GRtam payaH Par_1.65b
   dadhi tripalam ucyate Par_11.31b	daDi tri-palam ucyate Par_11.31b
   dadhi sarpiḥ kuśodakam Par_10.27d	daDi sarpiH kuSa-udakam Par_10.27d
   dadhi sarpiḥ kuśodakam Par_11.28b	daDi sarpiH kuSa-udakam Par_11.28b
   dadhnā kṣīreṇa sarpiṣā Par_6.49b	daDnA kzIreNa sarpizA Par_6.49b
   dadhnā ca sarpiṣā caiva Par_6.36a	daDnA ca sarpizA ca-eva Par_6.36a
   dadhni vāyuḥ samuddiṣṭaḥ Par_11.39c	daDni vAyuH samuddizwaH Par_11.39c
   dantajāte 'nujāte ca Par_3.16/1a	danta-jAte anujAte ca Par_3.16/1a
   dantam asthi tathā bhṛṅgaṃ Par_7.26a	dantam asTi taTA BRFgam Par_7.26a
   dantocchiṣṭe tathānṛte Par_12.19b	danta-ucCizwe taTA-anRte Par_12.19b
   daridraṃ vyādhitaṃ mūrkhaṃ Par_4.16a	daridram vyADitam mUrKam Par_4.16a
   daśakṛtvo hy anāturaḥ Par_7.19d	daSa-kRtvas hi anAturaH Par_7.19d
   daśa gomithunaṃ dadyāc Par_10.11c	daSa go-miTunam dadyAt Par_10.11c
   daśajanmāni sūkaraḥ Par_12.38(37)b	daSa-janmAni sUkaraH Par_12.38(37)b
   daśame tu dine prāpte Par_10.32c	daSame tu dine prApte Par_10.32c
   daśayojanavistīrṇaṃ Par_12.70(69)a	daSa-yojana-vistIrNam Par_12.70(69)a
   daśarātram ataḥ param Par_3.17d	daSa-rAtram atas param Par_3.17d
   daśarātreṇa śudhyati Par_6.32d	daSa-rAtreNa SuDyati Par_6.32d
   daśa varṣāṇi pañca ca Par_1.45d	daSa varzANi paQca ca Par_1.45d
   daśavarṣā bhavet kanyā Par_7.5a	daSa-varzA Bavet kanyA Par_7.5a
   daśasāhasram abhyastā Par_11.56a	daSa-sAhasram aByastA Par_11.56a
   daśāhaṃ na tyajen nārīṃ Par_10.33a	daSa-aham na tyajet nArIm Par_10.33a
   daśāhaṃ niyamasthasya Par_6.33c	daSa-aham niyama-sTasya Par_6.33c
   daśāhaṃ sūtakaṃ bhavet Par_3.16d	daSa-aham sUtakam Bavet Par_3.16d
   daśāhaṃ sūtakī bhavet Par_3.6d	daSa-aham sUtakI Bavet Par_3.6d
   daśāhāc chudhyate mātā tv Par_3.23c	daSa-ahAt SuDyate mAtA tu Par_3.23c
   daṣṭo yas tu dvijottamaḥ Par_5.1b	dazwaH yaH tu dvijottamaH Par_5.1b
   dahanti ye dvijās taṃ tu Par_5.24c	dahanti ye dvijAH tam tu Par_5.24c
   dahānāt tu vipadyate Par_9.30a	dahAnAt tu vipadyate Par_9.30a
   dahet taṃ brāhmaṇaṃ vipro Par_5.11a	dahet tam brAhmaNam vipraH Par_5.11a
   dātā pratigrahītā ca Par_11.47a	dAtA pratigrahItA ca Par_11.47a
   dātuś cāsya kutaḥ phalam Par_11.46d	dAtuH ca-asya kutas Palam Par_11.46d
   dātṛyājakapañcamāḥ Par_4.25d	dAtR-yAjaka-paQcamAH Par_4.25d
   dānam eva kalau yuge Par_1.23d	dAnam eva kalO yuge Par_1.23d
   dānaṃ puṇyam akṛtvā tu Par_12.58(57)c	dAnam puNyam akRtvA tu Par_12.58(57)c
   dāyād vicchedam āpnoti Par_3.8c	dAyAt vicCedam Apnoti Par_3.8c
   dāravāṇāṃ pātrāṇāṃ Par_7.1c	dAravANAm pAtrANAm Par_7.1c
   dārāgnihotrasamyoge Par_4.28c	dAra-agnihotra-samyoge Par_4.28c
   dāvāgnigrāmaghāteṣu Par_9.44c	dAva-agni-grAma-GAtezu Par_9.44c
   dāsanāpitagopāla- Par_11.21a	dAsa-nApita-gopAla Par_11.21a
   dāsīdāsāś ca nāpitāḥ Par_3.20b	dAsI-dAsAH ca nApitAH Par_3.20b
   dinatrayam ayācī syāt Par_8.39c	dina-trayam ayAcI syAt Par_8.39c
   dinatrayeṇa śudhyanti Par_3.1c	dina-trayeNa SuDyanti Par_3.1c
   dinadvayam ayācī syād Par_8.38c	dina-dvayam ayAcI syAt Par_8.38c
   dinadvayaṃ caikabhakto Par_8.38a	dina-dvayam ca-eka-BaktaH Par_8.38a
   dinam ekam abhojanam Par_12.60(59)d	dinam ekam aBojanam Par_12.60(59)d
   dinavat snānam ācaret Par_12.27(26)d	dina-vat snAnam Acaret Par_12.27(26)d
   dinaṃ tāvat tu sūtakam Par_3.15d	dinam tAvat tu sUtakam Par_3.15d
   divā gāś cāpy anuvrajet Par_8.31d	divA gAH ca-api anuvrajet Par_8.31d
   divā snānaṃ praśasyāte Par_12.22(21)b	divA snAnam praSasya-ate Par_12.22(21)b
   divjasaṃbhāṣaṇaṃ kuryāt Par_6.22c	divja-saMBAzaNam kuryAt Par_6.22c
   divyena teṣām upalabhya hantā Par_9.48c	divyena tezAm upalaBya hantA Par_9.48c
   dīpto 'gniḥ sarvabhakṣakaḥ Par_8.22b	dIptaH agniH sarva-BakzakaH Par_8.22b
   dīyamānaṃ na duṣyati Par_3.27d	dIyamAnam na duzyati Par_3.27d
   dīrghakhāte tathaiva ca Par_9.40b	dIrGa-KAte taTA-eva ca Par_9.40b
   durācārasya viprasya Par_12.60(59)a	durAcArasya viprasya Par_12.60(59)a
   durgapreraṇayoktraṃ ca Par_9.31c	durga-preraNa-yoktram ca Par_9.31c
   durge vāpy asamasthale Par_9.4d	durge vA-api asama-sTale Par_9.4d
   durbale 'nugrahaḥ proktas Par_6.55c	durbale anugrahaH proktaH Par_6.55c
   durbhikṣe ḍāmare tathā Par_6.53d	durBikze xAmare taTA Par_6.53d
   durbhikṣe vā janakṣaye Par_10.16b	durBikze vA jana-kzaye Par_10.16b
   durvṛttaṃ kurute tu yā Par_4.19b	durvRttam kurute tu yA Par_4.19b
   duhec chīlavatīṃ kharīm Par_8.25d	duhet SIlavatIm KarIm Par_8.25d
   duḥśīlo 'pi dvijaḥ pūjyo Par_8.25a	duHSIlaH api dvijaH pUjyaH Par_8.25a
   duḥsvapnaṃ yadi paśyet tu Par_12.1a	duHsvapnam yadi paSyet tu Par_12.1a
   dūrādhvopagataṃ śrāntaṃ Par_1.41a	dUra-aDva-upagatam SrAntam Par_1.41a
   dūṣiteṣu kathaṃcana Par_7.3d	dUzitezu kaTaMcana Par_7.3d
   dṛśyate vā sacetanaḥ Par_9.16b	dRSyate vA sa-cetanaH Par_9.16b
   dṛṣṭamātrāḥ punanty ete Par_12.47(46)c	dRzwa-mAtrAH punanti ete Par_12.47(46)c
   dṛṣṭvā kanyāṃ rajasvalām Par_7.7b	dRzwvA kanyAm rajasvalAm Par_7.7b
   dṛṣṭvā sadyaḥ śucir bhavet Par_5.7d	dRzwvA sadyas SuciH Bavet Par_5.7d
   devakanyās tu taṃ vīraṃ Par_3.34c	deva-kanyAH tu tam vIram Par_3.34c
   devatātithipūjakaḥ Par_1.38b	devatA-atiTi-pUjakaH Par_1.38b
   devatātithipūjanam Par_1.39b	devatA-atiTi-pUjanam Par_1.39b
   devatābhir adhiṣṭhitam Par_11.38d	devatABiH aDizWitam Par_11.38d
   devatāyatanāgrataḥ Par_8.30b	devatAyatana-agratas Par_8.30b
   devatāyatanāvṛtam Par_1.7b	devatAyatana-AvRtam Par_1.7b
   devadāruvanālaye Par_1.1b	devadAru-vana-Alaye Par_1.1b
   devasya tvā kuśodakam Par_11.33b	devasya tvA kuSa-udakam Par_11.33b
   devasvakavakāni ca Par_11.9d	deva-sva-kavakAni ca Par_11.9d
   devāṅganāsahasrāṇi Par_3.35a	deva-aFganA-sahasrANi Par_3.35a
   devānāṃ caikaviṃśakam Par_2.12d	devAnAm ca-ekaviMSakam Par_2.12d
   devān viprāṃś ca pūjayet Par_2.13d	devAn viprAn ca pUjayet Par_2.13d
   devāḥ pitṛgaṇaiḥ saha Par_12.12b	devAH pitR-gaNEH saha Par_12.12b
   deśabhaṅge pravāse vā Par_7.36a	deSa-BaFge pravAse vA Par_7.36a
   deśāntaragato vipraḥ Par_3.12a	deSa-antara-gataH vipraH Par_3.12a
   deśāntaramṛtaḥ kaścit Par_3.11a	deSa-antara-mRtaH kaScid Par_3.11a
   deśāntaramṛte tathā Par_3.10b	deSa-antaram-Rte taTA Par_3.10b
   dehanāśam anuprāptas Par_3.12c	deha-nASam anuprAptaH Par_3.12c
   dehanāśam anuprāptas Par_5.14a	deha-nASam anuprAptaH Par_5.14a
   dehasparśo vidhīyate Par_3.3d	deha-sparSaH viDIyate Par_3.3d
   dehe tiṣṭhati dehinām Par_11.37d	dehe tizWati dehinAm Par_11.37d
   daivapitryādi karma ca Par_7.16b	dEva-pitrya-Adi karma ca Par_7.16b
   daivād vyāpāditā yadi Par_9.49b	dEvAt vyApAditA yadi Par_9.49b
   drupadāṃ vā japec chatam Par_11.20d	drupadAm vA japet Satam Par_11.20d
   droṇānnaṃ na parityajet Par_6.69d	droNa-annam na parityajet Par_6.69d
   dvādaśāham athāpi vā Par_4.9d	dvAdaSa-aham aTa-api vA Par_4.9d
   dvādaśāhena bhūmipaḥ Par_3.4b	dvAdaSa-ahena BUmipaH Par_3.4b
   dvāpare kulam ekaṃ tu Par_1.25c	dvApare kulam ekam tu Par_1.25c
   dvāpare caikamāsena Par_1.27c	dvApare ca-eka-mAsena Par_1.27c
   dvāpare tv annam ādāya Par_1.26c	dvApare tu annam AdAya Par_1.26c
   dvāpare yajñam evāhuḥ Par_1.23c	dvApare yajQam eva-AhuH Par_1.23c
   dvāpare yācamānāya Par_1.28c	dvApare yAcamAnAya Par_1.28c
   dvāpare rudhiraṃ caiva Par_1.32c	dvApare ruDiram ca-eva Par_1.32c
   dvāpare śāṅkhalikhitāḥ Par_1.24c	dvApare SAFKa-liKitAH Par_1.24c
   dvāre kṛtvā tu dhānyāni Par_6.40c	dvAre kRtvA tu DAnyAni Par_6.40c
   dvāv imau puruṣau loke Par_3.30a	dvO imO puruzO loke Par_3.30a
   dviguṇaṃ garbhapātane Par_4.20b	dviguNam garBa-pAtane Par_4.20b
   dviguṇaṃ govadhe caret Par_9.2d	dviguNam go-vaDe caret Par_9.2d
   dviguṇaṃ govrataṃ caret Par_9.16d	dviguNam go-vratam caret Par_9.16d
   dviguṇaṃ vratam ācaret Par_9.52d	dviguNam vratam Acaret Par_9.52d
   dviguṇā dakṣiṇā bhavet Par_9.53b	dviguNA dakziNA Bavet Par_9.53b
   dviguṇe vrata ādiṣṭe Par_9.53a	dviguNe vrataH Adizwe Par_9.53a
   dvijaśuśrūṣaṇaratān Par_11.15a	dvija-SuSrUzaNa-ratAn Par_11.15a
   dvijaśuśrūṣayojjhitāḥ Par_2.14d	dvija-SuSrUzayA-ujJitAH Par_2.14d
   dvijaś cāndrāyaṇaṃ caret Par_11.46b	dvijaH cAndrAyaNam caret Par_11.46b
   dvijasaṃpāditāni vai Par_6.54b	dvija-saMpAditAni vE Par_6.54b
   dvijasaṃpāditair iha Par_6.55b	dvija-saMpAditEH iha Par_6.55b
   dvijaḥ śūdrānnabhojanaḥ Par_12.37(36)b	dvijaH SUdra-anna-BojanaH Par_12.37(36)b
   dvijātīnāṃ tu niṣkṛtiḥ Par_6.31b	dvijAtInAm tu nizkRtiH Par_6.31b
   dvijānāṃ yajñayājinām Par_8.13b	dvijAnAm yajQa-yAjinAm Par_8.13b
   dvijāḥ kurvanty anugraham Par_6.34d	dvijAH kurvanti anugraham Par_6.34d
   dvijais tadānugantavyā Par_3.47c	dvijEH tadA-anugantavyA Par_3.47c
   dvitīye kṛcchram ācaret Par_4.11b	dvitIye kRcCram Acaret Par_4.11b
   dvitīye brahmaghātinī Par_7.18d	dvitIye brahma-GAtinI Par_7.18d
   dvidinaṃ caikabhojanaḥ Par_8.38b	dvi-dinam ca-eka-BojanaH Par_8.38b
   dvidinaṃ mārutāśanaḥ Par_8.38d	dvi-dinam mArutASanaH Par_8.38d
   dvinavatyā samāyuktaṃ Par_12.[81(80)]e	dvinavatyA samAyuktam Par_12.[81(80)]e
   dvipāde kāṃsyabhājanam Par_9.15b	dvi-pAde kAMsya-BAjanam Par_9.15b
   dvipāde śmaśruṇo 'pi ca Par_9.14b	dvi-pAde SmaSruNaH api ca Par_9.14b
   dviyojane tīrthayātrā Par_12.64(63)a	dvi-yojane tIrTa-yAtrA Par_12.64(63)a
   dviśataṃ jānujaṅghayoḥ Par_5.18b	dvi-Satam jAnu-jaFGayoH Par_5.18b
   dviśataṃ tūdare tathā Par_5.17b	dvi-Satam tu-udare taTA Par_5.17b
   dvihīno daśabhir dinaiḥ Par_3.5d	dvi-hInaH daSaBiH dinEH Par_3.5d
   dve sahasre tu dāpayet Par_11.18b	dve sahasre tu dApayet Par_11.18b
   dvau kṛcchrau parivittes tu Par_4.26a	dvO kRcCrO parivitteH tu Par_4.26a
   dvau pādāv asthibhañjane Par_9.18b	dvO pAdO asTi-BaQjane Par_9.18b
   dvau pādau garbhasaṃmite Par_9.13b	dvO pAdO garBa-saMmite Par_9.13b
   dvau pādau netraghātane Par_9.17d	dvO pAdO netra-GAtane Par_9.17d
   dvau pādau bandhane caret Par_9.3d	dvO pAdO banDane caret Par_9.3d
   dvau pādau vāhane caret Par_9.29b	dvO pAdO vAhane caret Par_9.29b
   dvau smṛtau kuṇḍagolakau Par_4.23b	dvO smRtO kuNxa-golakO Par_4.23b
   dharmajñāḥ pāpasaṃkarāt Par_6.35d	Darma-jQAH pApa-saMkarAt Par_6.35d
   dharmatattvārthakāṅkṣiṇaḥ Par_1.5b	Darma-tattva-arTa-kAFkziNaH Par_1.5b
   dharmam evānucintayet Par_12.45(44)b	Darmam eva-anucintayet Par_12.45(44)b
   dharmaśāstram idaṃ tathā Par_12.[82](81)b	Darma-SAstram idam taTA Par_12.[82](81)b
   dharmaśāstrarathārūḍhā Par_8.26a	Darma-SAstra-raTa-ArUXA Par_8.26a
   dharmaśāstrasya saṃgrahaḥ Par_12.[81(80)]f	Darma-SAstrasya saMgrahaH Par_12.[81(80)]f
   dharmaśāstraṃ vijānatām Par_8.2b	Darma-SAstram vijAnatAm Par_8.2b
   dharmaśāstrānupālakaiḥ Par_6.70b	Darma-SAstra-anupAlakEH Par_6.70b
   dharmasaṃsthāpanāya ca Par_1.36d	Darma-saMsTApanAya ca Par_1.36d
   dharmasya nirṇayaṃ prāha Par_1.19a	Darmasya nirNayam prAha Par_1.19a
   dharmaṃ kathaya me tāta Par_1.12a	Darmam kaTaya me tAta Par_1.12a
   dharmaṃ sādhāraṇaṃ śaktyā Par_2.1c	Darmam sADAraNam SaktyA Par_2.1c
   dhānyānāṃ mārjanād api Par_7.27d	DAnyAnAm mArjanAt api Par_7.27d
   dhānyaiś ca svayamarjitaiḥ Par_2.6b	DAnyEH ca svayam-arjitEH Par_2.6b
   na kaścid vedakartā ca Par_1.21a	na kaScid veda-kartA ca Par_1.21a
   na kāryam āvasathyena Par_4.21a	na kAryam AvasaTyena Par_4.21a
   na kuryāt saṃkaraṃ yadi Par_3.23b	na kuryAt saMkaram yadi Par_3.23b
   na kurvītātmanas trāṇaṃ Par_8.32c	na kurvIta-AtmanaH trANam Par_8.32c
   nakhair vilikhitasya ca Par_5.6b	naKEH viliKitasya ca Par_5.6b
   na ca goṣṭhe vased rātrau Par_9.56a	na ca gozWe vaset rAtrO Par_9.56a
   na cāhaṃ sarvatattvajñaḥ Par_1.4a	na ca-aham sarva-tattva-jQaH Par_1.4a
   na jñāyate yasya hato 'bhighātāt Par_9.48b	na jQAyate yasya hataH aBiGAtAt Par_9.48b
   na tadvacanam anyathā Par_6.63b	na tat-vacanam anyaTA Par_6.63b
   na tasyāgamanaṃ punaḥ Par_10.30b	na tasya-Agamanam punar Par_10.30b
   na tān śūdrān tyajed dvijaḥ Par_11.15d	na tAn SUdrAn tyajet dvijaH Par_11.15d
   na tāṃ saṃbhāṣayet kvacit Par_4.19d	na tAm saMBAzayet kvacid Par_4.19d
   na tu śūdro jitendriyaḥ Par_8.25b	na tu SUdraH jita-indriyaH Par_8.25b
   na teṣām agnisaṃskāro Par_3.14c	na tezAm agni-saMskAraH Par_3.14c
   na teṣām aśubhaṃ kiṃcit Par_3.40a	na tezAm aSuBam kiMcid Par_3.40a
   na teṣāṃ sūtakaṃ bhavet Par_3.18d	na tezAm sUtakam Bavet Par_3.18d
   na tyajet tu kadācana Par_6.47b	na tyajet tu kadAcana Par_6.47b
   na trirātram ahorātraṃ Par_3.11c	na tri-rAtram ahorAtram Par_3.11c
   na divā gā anuvrajet Par_9.56b	na divA gAH anuvrajet Par_9.56b
   nadīparvatasaṃcāre Par_9.28c	nadI-parvata-saMcAre Par_9.28c
   nadīprasravaṇeṣu vā Par_12.69(68)b	nadI-prasravaNezu vA Par_12.69(68)b
   nadīprasravaṇopetaṃ Par_1.6c	nadI-prasravaNa-upetam Par_1.6c
   nadībandhe prapāsu ca Par_9.39b	nadI-banDe prapAsu ca Par_9.39b
   nadī vegena śudhyeta Par_7.3a	nadI vegena SuDyeta Par_7.3a
   nadīṣu saṃgame caiva Par_9.56c	nadIzu saMgame ca-eva Par_9.56c
   nadīṣv atha samudreṣu tv Par_9.5a	nadIzu aTa samudrezu tu Par_9.5a
   nadīṃ gatvā samudragām Par_3.46b	nadIm gatvA samudra-gAm Par_3.46b
   nadīṃ gatvā samudragām Par_12.75(74)b	nadIm gatvA samudra-gAm Par_12.75(74)b
   na duṣyanti kadācana Par_7.35d	na duzyanti kadAcana Par_7.35d
   na duṣyec chūdrajātīnāṃ Par_1.65c	na duzyet SUdra-jAtInAm Par_1.65c
   na duṣyed rodhabandhayoḥ Par_9.1b	na duzyet roDa-banDayoH Par_9.1b
   na duṣyed rodhabandhayoḥ Par_9.27d	na duzyet roDa-banDayoH Par_9.27d
   na dūre śayanāśanam Par_9.55d	na dUre Sayana-aSanam Par_9.55d
   na dṛśyeta kadācana Par_5.8b	na dRSyeta kadAcana Par_5.8b
   na devās tṛptim āyānti Par_12.43(42)c	na devAH tRptim AyAnti Par_12.43(42)c
   na doṣaḥ parivedane Par_4.27d	na dozaH parivedane Par_4.27d
   na doṣaḥ parivedane Par_4.28d	na dozaH parivedane Par_4.28d
   na dharmo na ca śudhyati Par_10.3d	na DarmaH na ca SuDyati Par_10.3d
   na nārikelair na ca śāṇavālaiḥ Par_9.33a	na nArikelEH na ca SANa-vAlEH Par_9.33a
   na pṛcched gotracaraṇe Par_1.48a	na pRcCet gotra-caraNe Par_1.48a
   na praduṣyanti darbhāś ca Par_10.41c	na praduzyanti darBAH ca Par_10.41c
   na pretaṃ naiva sūtakam Par_3.19d	na pretam na-eva sUtakam Par_3.19d
   na bījī bhāgam arhati Par_4.22d	na bIjI BAgam arhati Par_4.22d
   namaskṛtvā visarjayet Par_9.21d	namaskRtvA visarjayet Par_9.21d
   na yathāṅgārakārakaḥ Par_1.62d	na yaTA-aFgAra-kArakaH Par_1.62d
   narakaṃ pratipadyate Par_4.2d	narakam pratipadyate Par_4.2d
   nalasaṃcayasaṃcitam Par_12.70(69)d	nala-saMcaya-saMcitam Par_12.70(69)d
   navavarṣā tu rohiṇī Par_7.4d	nava-varzA tu rohiNI Par_7.4d
   na vāpi mauñjair na ca valkaśṛṅkhalaiḥ Par_9.33b	na vA-api mOQjEH na ca valka-SRFKalEH Par_9.33b
   navāham atikṛcchrī syāt Par_11.54c	nava-aham ati-kRcCrI syAt Par_11.54c
   naṣṭe mṛte pravrajite Par_4.30a	nazwe mRte pravrajite Par_4.30a
   na sa puṇyena yujyate Par_6.60b	na sa puNyena yujyate Par_6.60b
   na striyāḥ keśavapanaṃ Par_9.55c	na striyAH keSa-vapanam Par_9.55c
   na strīṇām ajinaṃ vāso Par_9.57a	na strINAm ajinam vAsaH Par_9.57a
   na svasthasya kadācana Par_6.58b	na svasTasya kadAcana Par_6.58b
   na svādhyāyaṃ śrutaṃ tathā Par_1.48b	na svADyAyam Srutam taTA Par_1.48b
   na hi bhikṣukṛtān doṣān Par_1.55c	na hi Bikzu-kRtAn dozAn Par_1.55c
   nāgnihotreṇa vā punaḥ Par_4.21b	na-agnihotreNa vA punar Par_4.21b
   nātithiḥ pūrvam āgataḥ Par_1.41d	na-atiTiH pUrvam AgataH Par_1.41d
   nānāpuṣpalatākīrṇaṃ Par_1.6a	nAnA-puzpa-latA-AkIrNam Par_1.6a
   nānyatraiva vidhīyate Par_12.25(24)d	na-anyatra-eva viDIyate Par_12.25(24)d
   nānyathā vadham arhati Par_12.79(78)b	na-anyaTA vaDam arhati Par_12.79(78)b
   nānyo doṣo 'sti vai dvije Par_3.26b	na-anyaH dozaH asti vE dvije Par_3.26b
