   [I. dānapāramitā]	[I. dAna pAramitA]
   kvacid gacchati | pe | vivartamāne khalu punar loke samantād dvātriṃśat	kvacid gacCati | pe | vivartamAne Kalu punar loke samantAt dvAtriMSat 
   paṭalā abhraghanāḥ saṃtiṣṭhante saṃsthāya sarvāvantaḥ |	pawalAH aBra GanAH saMtizWante saMsTAya sarvO= antaH |
   trisāhasramahāsāhasraṃ lokadhātuṃ chādayanti | yataḥ pañcāntarakalpān	tri sAhasra mahA sAhasram lokaDAtum CAdayanti | yatas paQca antara kalpAn
   īṣādhāro devo varṣati | evaṃ pañca gajaprameho devo varṣati |	IzA ADAraH devaH varzati | evam paQca gaja pramehaH devaH varzati |
   pañcācchinnadhāraḥ |pañca sthūlabindukaḥ | tata iyaṃ mahāpṛthivī yāvad	paQca At Cinna DAraH |paQca sTUla bindukaH | tatas iyam mahA pRTivI yAvat 
   brahmalokād udakena sphuṭā bhavati | sa mahārāja tāvan mahān abdhātur	brahma lokAt udakena sPuwA Bavati | sa mahA rAja tAvat mahAn abDAtuH 
   utpadyamāno na kutaścid āgacchati | bhavati mahārāja sa samayo yad ayaṃ	utpadyamAnaH na kutaScid AgacCati | Bavati mahA rAja sa samayaH yat ayam
   lokaḥ saṃvartate | saṃvartamāne khalu punar loke dvitīyasya sūryasya	lokaH saMvartate | saMvartamAne Kalu punar loke dvitIyasya sUryasya
   prādurbhāvo bhavati | dvitīyasya sūryasa loke prādurbhāvād utsāḥ sarāṃsi	prAdurBAvaH Bavati | dvitIyasya sUrya sa loke prAdurBAvAt utsAH sarAMsi
   kunadyaś ca śuṣyanti | evaṃ tṛtīyasya mahotsā mahānadyaḥ |	kunadyaH ca Suzyanti | evam tRtIyasya mahA utsAH mahA nadyaH |
   caturthasyānnavataptaṃ mahāsaraḥ sarveṇa sarvam ucchuṣyati | caturthasya	caturTasya at navataptam mahA asaraH sarveNa sarvam ucCuzyati | caturTasya
   sūryasya prādurbhāvān mahāsamudrasya yojanikam apy udakaṃ parikṣayaṃ	sUryasya prAdurBAvAt mahA samudrasya yojanikam api udakam parikzayam
   paryādānaṃ gacchati | dviyojanikam api	paryAdAnam gacCati | dvi yojanikam api
   tricatuḥpañcadaśaviṃśatitriṃśaccatvāriṃśatpañcāśadyojanikam api yāvac	tri catur paQcadaSa viMSati triMSat catvAriMSat paQcASat yojanikam api yA avat 
   catvāriṃśadyojanasahasram udakam avaśiṣṭaṃ bhavati | yāvad dvitālamātraṃ	catvAriMSat yojana sahasram udakam avaSizwam Bavati | yAvat dvi tAla mAtram
   |yāvat kaṇṭhamātraṃ | yāvad goṣpadamātram udakam avaśiṣṭaṃ bhavati |	|yAvat kaNWa mAtram | yAvat gozpada mAtram udakam avaSizwam Bavati |
   bhavati mahārāja sa samayo yan mahāsamudre pṛthitapṛthitāny avaśiṣṭāni	Bavati mahA rAja sa samayaH yat mahA samudre pRTita pRTitAni avaSizwAni
   bhavanti | pe ||	Bavanti | pe ||
   bhavati mahārāja sa samayo yan mahāsamudre 'ṅgulisnehamātram apy udakaṃ	Bavati mahA rAja sa samayaH yat mahA samudre aFguli sneha mAtram api udakam
   nāvaśiṣṭaṃ bhavati | sa mahārāja tāvān abdhātur nirudhyamāno na kvacid	na avaSizwam Bavati | sa mahA rAja tAvAn abDAtuH niruDyamAnaH na kvacid 
   gacchati | pe | tasya khalu punar mahārājābdhātor utpādo 'pi śūnyaḥ |	gacCati | pe | tasya Kalu punar mahA rAja ap DAtoH utpAdaH api SUnyaH |
   vyayo 'pi śūnyaḥ tiṣṭhann api so 'bdhātuḥ svabhāvaśūnya iti hi	vyayaH api SUnyaH tizWan api saH ap DAtuH svaBAva SUnyaH iti hi
   mahārājābdhātur abdhātutvenopalabhyate 'nyatra vyavahāramātrāt | so 'pi	mahA rAja ap DAtuH abDAtu tvena upalaByate anyatra vyavahAra mAtrAt | saH api
   vyavahāro na strī na puruṣaḥ pūrvavat ||	vyavahAraH na strI na puruzaH pUrvavat ||
   ādhyātmikas tejodhātuḥ katamaḥ ||	ADyAtmikaH tejaH DAtuH katamaH ||
   yat kiñcid asmin kāye tejas tejogatam ūṣmagatam upagatam upāttaṃ | tat	yat kiQcid asmin kAye tejaH tejaH gatam Uzma gatam upagatam upAttam | tat 
   punaḥ katamat | yenāyaṃ kāya ātapyate saṃtapyate | yena	punar katamat | yena ayam kAyaH Atapyate saMtapyate | yena
   vāsyāsitapītakhāditāni samyaksukhena paripākaṃ gacchati | yasya	vA asya asita pIta KAditAni samyak suKena paripAkam gacCati | yasya
   cotsadatvāj jvarito jvarita iti saṃkhyāṃ gacchati || pe ||	ca utsada tvAt jvaritaH jvaritaH iti saMKyAm gacCati || pe ||
   bāhyas tejodhātuḥ katamaḥ | yad bāhyaṃ tejas tejogatam ūṣmagatam upagatam	bAhyaH tejaH DAtuH katamaH | yat bAhyam tejaH tejaH gatam Uzma gatam upagatam
   upāttaṃ | tat punaḥ katamat | yan manuṣyā araṇīsahagatebhyo	upAttam | tat punar katamat | yat manuzyAH araNI sahagateByaH 
   garbhalasahagatebhyo vā gomayacūrṇena vā kārpāsapicunāvāsam anveṣante yad	garBala saha gateByaH vA gomaya cUrNena vA kArpAsa picunA AvAsam anvezante yat 
   utpannaṃ grāmam api dahati grāmapradeśam api dahati yāvad dvīpaṃ vā kakṣaṃ	utpannam grAmam api dahati grAma pradeSam api dahati yAvat dvIpam vA kakzam
   tṛṇānāṃ vā dāvaṃ vā kāṣṭhaṃ vā yāvad dahan paraitīty ādi |tatra	tRNAnAm vA dAvam vA kAzWam vA yAvat dahan parEti iti Adi |tatra
   mahārājādhyātmikas tejodhātur utpadyate na kutaścid āgacchati nirudhyamāno	mahA rAja ADyAtmikaH tejaH DAtuH utpadyate na kutaScid AgacCati niruDyamAnaH 
   na kvacit saṃnicayaṃ gacchati | iti hy abhūtvā bhavati bhūtvā ca	na kvacid saMnicayam gacCati | iti hi aBUtvA Bavati BUtvA ca
   prativigacchati svabhāvarahitatvāt ||	prativigacCati svaBAva rahita tvAt ||
   evaṃ yat kiñcid asmin kāye vāyur vāyugataṃ laghutvaṃ samudīraṇatvaṃ | tat	evam yat kiQcid asmin kAye vAyuH vAyu gatam laGu tvam samudIraNa tvam | tat 
   punaḥ katamat | tad yathā ūrdhvagamā vāyavo 'dhogamāḥ pārśvāśrayāḥ	punar katamat | tat yaTA UrDva gamAH vAyavaH aDas gamAH pArSva ASrayAH
   pṛṣṭhāśrayāḥ kukṣigamāḥ śastrakāḥ kṣurakāḥ sūcakāḥ pippalakā vātāṣṭhīlā	pRzWa ASrayAH kukzi gamAH SastrakAH kzurakAH sUcakAH pippalakA vAtAzWIlA
   vātagulmā āśvāsapraśvāsā aṅgānusāriṇo vāyava ity ādi | santi bahirdhā	vAta gulmAH ASvAsa praSvAsAH aFga anusAriNaH vAyavaH iti Adi | santi bahirDA
   pūrve vāyavo dakṣiṇāḥ paścimā uttarā vāyavaḥ sarajasaḥ arajasaḥ parīttā	pUrve vAyavaH dakziNAH paScimA uttarA vAyavaH sa rajasaH arajasaH parIttA
   mahadgatā vāyava iti | bhavati mahārāja sa samayo yan mahāvāyuskandhaḥ	mahat gatAH vAyavaH iti | Bavati mahA rAja sa samayaH yat mahA vAyu skanDaH
   samudāgataḥ | vṛkṣāgrān api pātayati | kuḍyān api parvatāgrān api pātayati	samudAgataH | vRkza agrAn api pAtayati | kuxyAn api parvata agrAn api pAtayati
   | pātayitvā nirupādāno vigacchati | yaṃ satvāś cīvarakarṇikena vā	| pAtayitvA nirupAdAnaH vigacCati | yam satvAH cIvarakarNikena vA
   vidhamanakena vātānuvṛttena vā paryeṣyante | yāvad ayam ucyate bāhyo	viDamanakena vAta anuvRttena vA paryezyante | yAvat ayam ucyate bAhyaH 
   vāyudhātuḥ | tasyāpy utpattiḥ pūrvavat ||	vAyuDAtuH | tasya api utpattiH pUrvavat ||
   ādhyātmika ākāśadhātuḥ katamaḥ | yat kiñcid asmin kāye 'dhyātmaṃ	ADyAtmikaH AkASa DAtuH katamaH | yat kiQcid asmin kAye aDyAtmam
   pratyātmam upagatam upāttam ākāśagatam ihābhyantarasaṃkhyābhūtaṃ |	pratyAtmam upagatam upAttam AkASa gatam iha aByantara saMKyA BUtam |
   asphuṭam aspharaṇīyaṃ tvaṅmānsaśoṇitena | tat punaḥ katamat | yad asmin	asPuwam asParaNIyam tvac mAnsa SoNitena | tat punar katamat | yat asmin
   kāye cakṣuḥ suṣiram iti vā yāvan mukhaṃ vā mukhadvāraṃ vā kaṇṭhaṃ vā	kAye cakzuH suziram iti vA yAvat muKam vA muKa dvAram vA kaNWam vA
   kaṇṭhanāḍyā vā yena cābhyavaharati yatra cāvatiṣṭhate | yena	kaNWa nAxyAH vA yena ca aByavaharati yatra ca avatizWate | yena
   cāsyāśitapītakhāditāsvāditam adhastāt pragharati | ayam ucyatae ādhyātmika	ca asya aSita pIta KAdita AsvAditam aDastAt praGarati | ayam ucyatae ADyAtmika
   ākāśadhātuḥ | evaṃ bāhye 'pi yad asphuṭam aspharaṇīyaṃ	AkASa DAtuH | evam bAhye api yat asPuwam asParaNIyam
   rūpagatenāpaliguddhaṃ suṣirabhāvaś chidraṃ | ayam ucyate bāhyaḥ	rUpa gatena apali gudDam suzira BAvaH Cidram | ayam ucyate bAhyaH
   ākāśadhātuḥ ||	AkASa DAtuH ||
   bhavati mahārāja sa samayo yat karmapratyayād āyatanāni prādurbhavanti	Bavati mahA rAja sa samayaH yat karma pratyayAt AyatanAni prAdurBavanti
   tāny ākāśadhātuṃ paricārayanti | tatra saṃkhyā bhavaty ādhyātmika	tAni AkASa DAtum paricArayanti | tatra saMKyA Bavati ADyAtmika
   ākāśadhātur iti | sa na kutaścid āgacchati | bhavati samayo yad rūpaṃ	AkASa DAtuH iti | sa na kutaScid AgacCati | Bavati samayaH yat rUpam
   bibharti sarvam ākāśībhavati | tat kasya hetoḥ | akṣayo hy ākāśadhātuḥ	biBarti sarvam AkASIBavati | tat kasya hetoH | akzayaH hi AkASa DAtuH
   sthiro 'calaḥ | tad yathā mahārājāsaṃskṛto nirvāṇadhātuḥ | evam	sTiraH acalaH | tat yaTA mahA rAja asaMskRtaH nirvANa DAtuH | evam
   evākāśadhātuḥ sarvatrānugato draṣṭavyaḥ | tad yathāpi nāma mahārāja puruṣa	eva AkASa DAtuH sarvatra anugataH drazwavyaH | tat yaTA api nAma mahA rAja puruza
   utthale deśe udapānaṃ vā kuṭakaṃ vā kūpaṃ vā puṣkariṇīṃ vā khānayet | tat	utTale deSe udapAnam vA kuwakam vA kUpam vA puzkariNIm vA KAnayet | tat 
   kiṃ manyase mahārāja yat tatrākāśaḥ kutas tad āgatam iti | āha | na	kim manyase mahA rAja yat tatra AkASaH kutas tat Agatam iti | Aha | na
   kutaścid bhagavan | bhagavān āha | tad yathāpi nāma mahārāja sa puruṣaḥ	kutaScid Bagavan | BagavAn Aha | tat yaTA api nAma mahA rAja sa puruzaH
   punar eva tad udapānaṃ vā yāvat puṣkariṇīṃ vā pūrayet | tat kiṃ manyase	punar eva tat udapAnam vA yAvat puzkariNIm vA pUrayet | tat kim manyase
   mahārāja yat tad ākāśaṃ kvacid gatam iti | āha | na kvacid gataṃ bhagavan	mahA rAja yat tat AkASam kvacid gatam iti | Aha | na kvacid gatam Bagavan
   | tat kasya hetoḥ | na hy ākāśadhātur gamane vā āgamane vā pratyupasthitaḥ	| tat kasya hetoH | na hi AkASa DAtuH gamane vA Agamane vA pratyupasTitaH
   | na strībhāvena na puruṣabhāvena pratyupasthitaḥ | bhagavān āha | iti hi	| na strI BAvena na puruza BAvena pratyupasTitaH | BagavAn Aha | iti hi
   mahārāja bāhyākāśadhātur acalaḥ |avikāraḥ |tat kasya hetoḥ | śūnyo hy	mahA rAja bAhya AkASa DAtuH acalaH |avikAraH |tat kasya hetoH | SUnyaH hi 
   ākāśadhātur ākāśadhātutvena | virahita ākāśadhātur ākāśadhātutvena | na	AkASa DAtuH AkASa DAtu tvena | virahitaH AkASa DAtuH AkASa DAtu tvena | na
   puruṣabhāvena na strībhāvena pratyupasthitaḥ | evam eva yathābhūtaṃ	puruza BAvena na strI BAvena pratyupasTitaH | evam eva yaTABUtam
   samyakprajñayā draṣṭavyaṃ ||	samyak prajQayA drazwavyam ||
   tatra katamo vijñānadhātur yā cakṣurindriyādhipateyā |	tatra katamaH vijQAna DAtuH yA cakzuH indriya aDipateyAH |
   rūpārambaṇaprativijñaptiḥ | yāvad iti hi mahārāja yā kācid	rUpa ArambaNa prativijQaptiH | yAvat iti hi mahA rAja yA kAcid 
   varṇasaṃsthānaprativijñaptir ayam ucyate cakṣurvijñānadhātuḥ | pe | iti hi	varNa saMsTAna prativijQaptiH ayam ucyate cakzuH vijQAna DAtuH | pe | iti hi
   yā ṣaḍindriyādhipateyā ṣaḍviṣayārambaṇā viṣayavijñaptir ayam ucyate	yA zaz indriya aDipateyA zaz vizaya ArambaNA vizaya vijQaptiH ayam ucyate
   vijñānadhātuḥ | sa khalu punar ayaṃ mahārāja vijñānadhātur nendriyaniśrito	vijQAna DAtuH | sa Kalu punar ayam mahA rAja vijQAna DAtuH na indriya niSritaH 
   na viṣayebhya āgato na madhye 'ntarasthāyī sa nādhyātma bahirdhā nobhayam	na vizayeByaH AgataH na maDye antara sTAyI sa na aDyAtma bahirDA na uBayam
   antareṇa | sa khalu punar ayaṃ mahārāja vijñānadhātur vastu prativijñapya	antareNa | sa Kalu punar ayam mahA rAja vijQAna DAtuH vastu prativijQapya
   niruddhaḥ | sa utpadyamāno na kutaścid āgacchati nirudhyamāno na kvacid	nirudDaH | saH utpadyamAnaH na kutaScid AgacCati niruDyamAnaH na kvacid 
   gacchati | tasya khalu punar vijñānadhātor utpādo 'pi śūnyaḥ | vyayo 'pi	gacCati | tasya Kalu punar vijQAna DAtoH utpAdaH api SUnyaH | vyayaH api
   śūnyaḥ | utpanno 'pi vijñānadhātuḥ svabhāvaśūnyaḥ | iti mahārāja	SUnyaH | utpannaH api vijQAna DAtuH svaBAva SUnyaH | iti mahA rAja
   vijñānadhātur vijñānadhātutvena śūnyo nopalabhyate 'nyatra vyavahārāt | so	vijQAna DAtuH vijQAna DAtu tvena SUnyaH na upalaByate anyatra vyavahArAt | saH 
   'pi vyavahāro na strī na puruṣaḥ | evam etad yathābhūtaṃ samyakprajñayā	api vyavahAraH na strI na puruzaH | evam etat yaTABUtam samyak prajQayA
   draṣṭavyaṃ ||	drazwavyam ||
   tatra mahārāja katamac cakṣurāyatanaṃ | yac caturṇāṃ mahābhūtānāṃ prasādaḥ	tatra mahA rAja katamat cakzuH Ayatanam | yat caturNAm mahABUtAnAm prasAdaH
   | tad yathā pṛthivīdhātor abdhātos tejodhātor vāyudhātor yāvat | tatra	| tat yaTA pRTivI DAtoH ap DAtoH tejaH DAtoH vAyu DAtoH yAvat | tatra
   pṛthivīdhātuprasādaś cakṣurāyatanaṃ nābdhātuprasādo na tejodhātuprasādo na	pRTivI DAtu prasAdaH cakzuH Ayatanam na abDAtu prasAdaH na tejaH DAtu prasAdaH na
   vāyudhātuprasādaś cakṣurāyatanaṃ | tat kasya hetoḥ | na hi	vAyu DAtu prasAdaH cakzuH Ayatanam | tat kasya hetoH | na hi
   pṛthivīdhātuprasādaḥ kasyacid dharmāyatanaṃ vā āyatanapratilambhena vā	pRTivI DAtu prasAdaH kasyacid Darma Ayatanam vA Ayatana pratilamBena vA
   pratyupasthitaḥ | evaṃ yāvan na vāyudhātuprasādaḥ kasyacid	pratyupasTitaH | evam yAvat na vAyu DAtu prasAdaH kasyacid 
   dharmasyāyatanaṃ vā āyatanapratilambhena vā pratyupasthitaḥ | tat kasya	Darmasya Ayatanam vA Ayatana pratilamBena vA pratyupasTitaH | tat kasya
   hetoḥ | niśceṣṭā hy ete dharmā niṣṭhāpārā nirvāṇasamā | iti hi mahārāja	hetoH | niScezwAH hi ete DarmAH nizWA pArAH nirvANa samAH | iti hi mahA rAja
   ekaikato dharmān mṛgyamāṇān cakṣurāyatanaṃ nopalabhate 'nyatra vyavahārāt	ekEkataH DarmAn mRgyamANAn cakzuH Ayatanam na upalaBate anyatra vyavahArAt 
   | tat kasya hetoḥ | śūnyo hi pṛthivīdhātuprasādaḥ pṛthivīdhātuprasādena |	| tat kasya hetoH | SUnyaH hi pRTivI DAtu prasAdaH pRTivI DAtu prasAdena |
   yāvac chūnyo vāyudhātuprasādo vāyudhātuprasādena | ye ca dharmāḥ	yAvat SUnyaH vAyu DAtu prasAdaH vAyu DAtu prasAdena | ye ca DarmAH
   svabhāvena śūnyāḥ kas teṣāṃ prasādo vā kṣobho vā | yeṣāṃ na prasādo na	svaBAvena SUnyAH kaH tezAm prasAdaH vA kzoBaH vA | yezAm na prasAdaH na
   kṣobha upalabhyate | kathaṃ te rūpaṃ drakṣyanti | iti hy atyantatayā	kzoBaH upalaByate | kaTam te rUpam drakzyanti | iti hi atyanta tayA
   cakṣurāyatanaṃ śūnyaṃ cakṣurāyatanasvabhāvena tat pūrvāntato nopalabhyate	cakzuH Ayatanam SUnyam cakzuH Ayatana svaBAvena tat pUrva antataH na upalaByate
   aparāntato 'pi nopalabhyate | annāgamanatāṃ gamanatāṃ copādāya sthānam apy	apara antataH api na upalaByate | anna Agamana tAm gamana tAm ca upAdAya sTAnam api 
   asya nopalabhyate svabhāvavirahitatvāt | yac ca svabhāvena na saṃvidyate |	asya na upalaByate svaBAva virahita tvAt | yat ca svaBAvena na saMvidyate |
   na tat strī na puruṣaḥ | tena kā manyanā | manyanā ca nāma mahārāja	na tat strI na puruzaH | tena kA manyanA | manyanA ca nAma mahA rAja
   māragocaraḥ | amanyanā buddhagocaraḥ | tat kasya hetoḥ | manyanāpagatā hi	mAra gocaraH | amanyanAH budDa gocaraH | tat kasya hetoH | manyana apagatA hi
   sarvadharmāḥ | pe | tatra mahārāja katamac chrotrāyatanaṃ | yac caturṇāṃ	sarva DarmAH | pe | tatra mahA rAja katamat Srotra Ayatanam | yat caturNAm
   mahābhūtānāṃ prasādo | yāvad iti hi mahārāja sarvadharmā vimokṣābhimukhā	mahABUtAnAm prasAdaH | yAvat iti hi mahA rAja sarva DarmA vimokza aBimuKA
   dharmadhātuniyatā ākāśadhātuparyavasānā aprāptikā avyavahārā annabhilāpyā	DarmaDAtu niyatAH AkASa DAtu paryavasAnA aprAptikAH avyavahArA annaBilApyA
   annabhilapanīyāḥ | yatra mahārāja indriyāṇi pratihanyante te viṣayā ity	anna BilapanIyAH | yatra mahA rAja indriyANi pratihanyante te vizayAH iti 
   ucyante | cakṣur hi rūpe pratihanyate tasmād rūpāṇi cakṣurviṣayā ity	ucyante | cakzuH hi rUpe pratihanyate tasmAt rUpANi cakzuH vizayAH iti 
   ucyante | evaṃ śrotraṃ śabdeṣv ity ādi | tatra cakṣū rūpe pratihanyata iti	ucyante | evam Srotram Sabdezu iti Adi | tatra cakzuH rUpe pratihanyate iti
   nipātaḥ | pratihanyanā teṣāṃ nirdiṣṭā | tathā hi cakṣū rūpeṣu trividhaṃ	nipAtaH | pratihanyanA tezAm nirdizwA | taTA hi cakzuH rUpezu triviDam
   nipatatīti | anukūleṣu śubhasaṃjñayā | pratikūleṣu pratighasaṃjñayā |	nipatati iti | anukUlezu SuBa saMjQayA | pratikUlezu pratiGa saMjQayA |
   naivānukūleṣu na pratikūleṣūpekṣayā | evaṃ mano dharmeṣv ity ādi | tae ime	na eva anukUlezu na pratikUlezu upekzayA | evam manaH Darmezu iti Adi | tae ime
   viṣayā manogocarā ity ucyante | atra hi manaś carati | upavicarati |	vizayAH manaH gocarAH iti ucyante | atra hi manaH carati | upavicarati |
   tasmān manogocarā ity ucyante | yad etan mahārāja mano 'pratikūleṣu rūpeṣv	tasmAt manaH gocarAH iti ucyante | yat etat mahA rAja manaH apratikUlezu rUpezu 
   anunītaṃ carati | tenāsya rāga utpadyate | pratikūleṣu rūpeṣu pratihataṃ	anunItam carati | tena asya rAgaH utpadyate | pratikUlezu rUpezu pratihatam
   carati tenāsya dveṣa utpadyate | naivānukūleṣu na pratikūleṣu saṃmūḍhaṃ	carati tena asya dvezaH utpadyate | na eva anukUlezu na pratikUlezu saMmUXam
   carati | tenāsya moha utpadyate | evaṃ śabdādiṣv api trividham ārambaṇam	carati | tena asya mohaH utpadyate | evam Sabda Adizu api triviDam ArambaNam
   anubhavati pūrvavat ||	anuBavati pUrvavat ||
   tatra mahārāja māyopamānīndriyāṇi | svapnopamā viṣayāḥ | tad yathāpi nāma	tatra mahA rAja mAyA upamAni indriyANi | svapna upamAH vizayAH | tat yaTA api nAma
   mahārāja puruṣaḥ suptaḥ svapnāntare janapadakalyāṇyā striyā sārdhaṃ	mahA rAja puruzaH suptaH svapna antare janapada kalyANyA striyA sArDam
   paricaret | sa śayitavibuddho janapadakalyāṇīṃ striyam anusmaret | tat kiṃ	paricaret | sa Sayita vibudDaH janapada kalyANIm striyam anusmaret | tat kim
   manyase mahārāja saṃvidyate svapnāntare janapadakalyāṇī strī | āha | no	manyase mahA rAja saMvidyate svapna antare janapada kalyANI strI | Aha | no
   hīdaṃ bhagavan | bhagavān āha | tat kiṃ manyase mahārājāpi nu sa puruṣaḥ	hi idam Bagavan | BagavAn Aha | tat kim manyase mahA rAjA api nu sa puruzaH
   paṇḍitajātīyo bhavet | yaḥ svapnāntare janapadakalyāṇīṃ striyam anusmaret	paNxita jAtIyaH Bavet | yaH svapna antare janapada kalyANIm striyam anusmaret 
   | tayā vā sārdhaṃ krīḍitam abhiniveśet | āha | no hīdaṃ bhagavan | tat	| tayA vA sArDam krIxitam aBiniveSet | Aha | no hi idam Bagavan | tat 
   kasya hetoḥ | atyantatayā hi bhagavan svapnāntare janapadakalyāṇī na	kasya hetoH | atyanta tayA hi Bagavan svapna antare janapada kalyANI na
   saṃvidyate nopalabhyate | kutaḥ punar anayā sārdhaṃ paricaraṇā | anyatra	saMvidyate na upalaByate | kutas punar anayA sArDam paricaraNAH | anyatra
   yāvad eva sa puruṣo vighātasya klamathasya bhāgī syāt | yas tām	yAvat eva sa puruzaH viGAtasya klamaTasya BAgI syAt | yaH tAm
   abhiniviśet ||	aBiniviSet ||
   bhagavān āha | evam eva mahārāja bālo 'śrutavān pṛthagjanaś cakṣuṣā rūpāṇi	BagavAn Aha | evam eva mahA rAja bAlaH aSrutavAn pRTagjanaH cakzuzA rUpANi
   dṛṣṭvā saumanasyasthānīyāny abhiniviśet | so 'bhiniviṣṭaḥ sann anunīyate	dRzwvA sOmanasya sTAnIyAni aBiniviSet | saH aBinivizwaH san anunIyate
   'nunītaḥ saṃrajyate | saṃrakto rāgajaṃ karmābhisaṃskaroti | trividhaṃ	anunItaH saMrajyate | saMraktaH rAga jam karma aBisaMskaroti | triviDam
   kāyena caturvidhaṃ vācā trividhaṃ manasā | tac ca karmābhisaṃskṛtam ādita	kAyena caturviDam vAcA triviDam manasA | tat ca karma aBisaMskRtam Adita
   eva kṣīṇaṃ niruddhaṃ vigataṃ vipariṇataṃ na pūrvāṃ diśaṃ niśritya tiṣṭhati	eva kzINam nirudDam vigatam vipariNatam na pUrvAm diSam niSritya tizWati
   | na dakṣiṇāṃ na paścimāṃ nottarāṃ nordhvaṃ nādho nānuvidiśaṃ | neha na	| na dakziNAm na paScimAm na uttarAm na UrDvam na aDas na anuvidiSam | na iha na
   tiryak | na ubhayam antarā | tat punaḥ kālāntareṇa maraṇakālasamaye	tiryak | naH uBayam antarA | tat punar kAla antareNa maraNa kAla samaye
   pratyupasthite | jīvitendriyanirodhe āyuṣaḥ parikṣayāt tatsabhāgasya	pratyupasTite | jIvita indriya niroDe AyuzaH parikzayAt tad saBAgasya
   karmaṇaḥ kṣīṇatvāc caramavijñānasya nirudhyamānasya manasa ārambaṇībhavati	karmaNaH kzINa tvAt carama vijQAnasya niruDyamAnasya manasaH ArambaNIBavati
   | tad yathāpi nāma śayitavibuddhasya janapadakalyāṇīti manasa ārambaṇaṃ	| tat yaTA api nAma Sayita vibudDasya janapada kalyANi iti manasaH ArambaNam
   bhavati | iti hi mahārāja caramavijñānenādhipatinā tena ca karmaṇā	Bavati | iti hi mahA rAja carama vijQAnena aDipatinA tena ca karmaNA
   ārambaṇenaupapattyaṃśikadvayapratyayaṃ prathamavijñānam utpadyate | yadi	ArambaNena Opapatti aMSika dvaya pratyayam praTama vijQAnam utpadyate | yadi
   vā narakeṣu yadi vā tiryagyonau yadi vā yamaloke yadi vā āsure kāye yadi	vA narakezu yadi vA tiryagyonO yadi vA yama loke yadi vA Asure kAye yadi
   vā manuṣyeṣu yadi vā deveṣu | tasya ca prathamavijñānasya	vA manuzyezu yadi vA devezu | tasya ca praTama vijQAnasya
   aupapattyaṃśikasya samanantaraniruddhasyānnantarasabhāgā cittasaṃtatiḥ	Opapatti aMSikasya samanantara nirudDasya annanta rasa BAgA citta saMtatiH
   pravartate | yatra vipākasya pratisaṃvedanā prajñāyate | tatra yaś	pravartate | yatra vipAkasya pratisaMvedanA prajQAyate | tatra yaH 
   caramavijñānasya nirodhas tatra cyutir iti saṃkhyāṃ gacchati | yaḥ	carama vijQAnasya niroDaH tatra cyutiH iti saMKyAm gacCati | yaH
   prathamavijñānasya prādurbhāvas tatropapattiḥ | iti hi mahārāja na kaścid	praTama vijQAnasya prAdurBAvaH tatra upapattiH | iti hi mahA rAja na kaScid 
   dharmo 'smāl lokāt paraṃ lokaṃ gacchati | cyutyupapattī ca prajāyete |	DarmaH asmAt lokAt param lokam gacCati | cyuti upapattI ca prajAyete |
   tatra mahārāja caramavijñānam utpadyamānaṃ na kutaścid āgacchati ||	tatra mahA rAja caram a vijQAnam utpadyamAnam na kutaScid AgacCati ||
   nirudhyamānaṃ na kvacid gacchati | karmāpy utpadyamānaṃ na kutaścid	niruDyamAnam na kvacid gacCati | karma api utpadyamAnam na kutaScid 
   āgacchati | nirudhyamānaṃ na kvacid gacchati | prathamavijñānam apy	AgacCati | niruDyamAnam na kvacid gacCati | praTama vijQAnam api 
   utpadyamānaṃ na kutaścid āgacchati | nirudhyamānaṃ ca na kvacid gacchati |	utpadyamAnam na kutaScid AgacCati | niruDyamAnam ca na kvacid gacCati |
   tat kasya hetoḥ | svabhāvavirahitatvāt | caramavijñānaṃ caramavijñānena	tat kasya hetoH | svaBAva virahita tvAt | caram a vijQAnam carama vijQAnena
   śūnyaṃ | karma karmaṇā śūnyaṃ | prathamavijñānaṃ prathamavijñānena śūnyaṃ	SUnyam | karma karmaNA SUnyam | praTama vijQAnam praTama vijQAnena SUnyam
   | cyutiś cyutyā śūnyā | upapattir upapattyā śūnyā | karmaṇāṃ cābandhyatā	| cyutiH cyutyA SUnyA | upapattiH upapattyA SUnyA | karmaNAm ca abanDyatA
   prajāyate vipākasya ca pratisaṃvedanā na cātra kaścit kartā na	prajAyate vipAkasya ca pratisaMvedanA na ca atra kaScid kartA na
   bhoktānyatra nāmasaṃketāt | tad yathāpi nāma mahārāja puruṣaḥ suptaḥ	BoktA anyatra nAma saMketAt | tat yaTA api nAma mahA rAja puruzaH suptaH
   svapnāntare śatruṇā sārdhaṃ saṃgrāmayet | sa śayitavibuddhaḥ | tam	svapna antare SatruNA sArDam saMgrAmayet | sa Sayita vibudDaH | tam
   evānusmaret | tat kiṃ manyase mahārāja saṃvidyate svapnāntare śatruḥ |	eva anusmaret | tat kim manyase mahA rAja saMvidyate svapna antare SatruH |
   śatruṇā vā sārdhaṃ saṃgrāma iti | āha | no hīdaṃ bhagavan | bhagavān āha |	SatruNA vA sArDam saMgrAmaH iti | Aha | no hi idam Bagavan | BagavAn Aha |
