   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   maṇaikaṃ rasakasyātha Rsdhy_244*[143]a	maNa-ekam rasakasya-aTa RsDi-_244*[143]a
   maṇḍūkaparṇī pāṭhālī Rsdhy_99c	maNxUkaparNI pAWAlI RsDi-_99c
   mattādunmattatā bhavet Rsdhy_22d	mattAt-unmatta-tA Bavet RsDi-_22d
   matsyākṣī mṛgabhojanī Rsdhy_92d	matsyAkzI mRga-BojanI RsDi-_92d
   matsyākṣī śaṅkhapuṣpikā Rsdhy_97d	matsyAkzI SaFKapuzpikAH RsDi-_97d
   madhukaṃsārive tiktā Rsdhy_94a	maDu-kaMsArive tiktAH RsDi-_94a
   madhyaphāḍyāśca cūrṇena Rsdhy_231*[130]a	maDya-PAxyAH-ca cUrNena RsDi-_231*[130]a
   madhyād ekaṃ ca hīrakam Rsdhy_171*[70]b	maDyAt ekam ca hIrakam RsDi-_171*[70]b
   madhye niyāmakaṃ rasam Rsdhy_89d	maDye niyAmakam rasam RsDi-_89d
   madhye vahniṃ kṣipettataḥ Rsdhy_279*[178]d	maDye vahnim kzipet-tatas RsDi-_279*[178]d
   mandaṃ mandaṃ triyāmakam Rsdhy_60d	mandam mandam tri-yAmakam RsDi-_60d
   mama drohī maheśvari Rsdhy_177*[76]f	mama drohI maheSvari RsDi-_177*[76]f
   mayūramūlakāsurī Rsdhy_80b	mayUra-mUlaka-AsurI RsDi-_80b
   maricāsurīsiddhārtha- Rsdhy_124a	marica-AsurI-sidDArTa RsDi-_124a
   maricaiḥ sumukhena ca Rsdhy_122d	maricEH su-muKena ca RsDi-_122d
   mardanamūrchanapātaiḥ kadarthito bhavati mandavīryastu Rsdhy_112*1	mardana-mUrCana-pAtEH kadarTitaH Bavati manda-vIryaH-tu RsDi-_112*1
   mardayec ca dinatrayam Rsdhy_56b	mardayet ca dina-trayam RsDi-_56b
   mardayec ca dinatrayam Rsdhy_114d	mardayet ca dina-trayam RsDi-_114d
   mardayet prativāsaram Rsdhy_140b	mardayet prativAsaram RsDi-_140b
   mardayed yāmamātrataḥ Rsdhy_33b	mardayet yAma-mAtrataH RsDi-_33b
   marditāni dinatrayam Rsdhy_138d	marditAni dina-trayam RsDi-_138d
   mardito nirmalībhūtaḥ Rsdhy_33c	marditaH nirmalIBUtaH RsDi-_33c
   mardyaṃ jambīrajairdravaiḥ Rsdhy_191*[90]b	mardyam jambIra-jEH-dravEH RsDi-_191*[90]b
   maladoṣo bhavedeko Rsdhy_17a	mala-dozaH Bavet-ekaH RsDi-_17a
   malanīguṇabhāvitam Rsdhy_145b	malanI-guNa-BAvitam RsDi-_145b
   malaṃ kāpotakokilam Rsdhy_101d	malam kApota-kokilam RsDi-_101d
   malaḥ pāradasambhavaḥ Rsdhy_21d	malaH pArada-samBavaH RsDi-_21d
   malā grāhyāḥ samagrakāḥ Rsdhy_289*[188]b	malAH grAhyAH samagrakAH RsDi-_289*[188]b
   mahīyān iha loke syāt Rsdhy_24c	mahIyAn iha loke syAt RsDi-_24c
   mahoḍākasya mūlānāṃ Rsdhy_198*[97]a	mahoxAkasya mUlAnAm RsDi-_198*[97]a
   mākṣakī madhyamā smṛtā Rsdhy_232*[131]b	mAkzakI maDyamA smRtA RsDi-_232*[131]b
   mākṣikaṃ ca catuḥpalam Rsdhy_239*[138]d	mAkzikam ca catur-palam RsDi-_239*[138]d
   mācīkotpalaciñcikam Rsdhy_98d	mAcIka-utpala-ciQcikam RsDi-_98d
   mātuliṅgakanakasyāpi Rsdhy_139a	mAtuliFga-kanakasya-api RsDi-_139a
   māraṇaṃ parikīrtitam Rsdhy_106d	mAraNam parikIrtitam RsDi-_106d
   māraṇe mūrchane bandhe Rsdhy_105a	mAraNe mUrCane banDe RsDi-_105a
   māraṇo manusaṃkhyaḥ syāt Rsdhy_29c	mAraNaH manu-saMKyaH syAt RsDi-_29c
   māritaṃ mṛtanāgena Rsdhy_217*[116]a	mAritam mRta-nAgena RsDi-_217*[116]a
   māhiṣeṇaiva dugdhena Rsdhy_123a	mAhizeNa-eva dugDena RsDi-_123a
   milite syāccatuṣṭayam Rsdhy_221*[120]b	milite syAt-catuzwayam RsDi-_221*[120]b
   muktaṃ dvādaśabhirdoṣair Rsdhy_24a	muktam dvAdaSaBiH-dozEH RsDi-_24a
   muktaḥ śuddho bhaved rasaḥ Rsdhy_41d	muktaH SudDaH Bavet rasaH RsDi-_41d
   muktvā kaṭāhabundhe tāṃ Rsdhy_52c	muktvA kawAha-bunDe tAm RsDi-_52c
   muktvā mṛlliptakumpakam Rsdhy_253*[152]b	muktvA mRd-lipta-kumpakam RsDi-_253*[152]b
   mukhe koḍīyakaṃ dadyāt Rsdhy_118a	muKe koxIyakam dadyAt RsDi-_118a
   mukhe koḍīyakaṃ dadyād Rsdhy_159*[58]a	muKe koxIyakam dadyAt RsDi-_159*[58]a
   mukhe koḍīyakaṃ dadyād Rsdhy_165*[64]a	muKe koxIyakam dadyAt RsDi-_165*[64]a
   mudhā tāmyanti bāliśāḥ Rsdhy_4d	muDA tAmyanti bAliSAH RsDi-_4d
   muṣarimāṣapīṭhikā Rsdhy_286*[185]d	muzari-mAza-pIWikA RsDi-_286*[185]d
   muhuḥ koḍīyakaṃ tathā Rsdhy_160*[59]b	muhur koxIyakam taTA RsDi-_160*[59]b
   muhuḥ patati pārade Rsdhy_200*[99]d	muhur patati pArade RsDi-_200*[99]d
   mūrchanotthāpanas turyaḥ Rsdhy_27a	mUrCana-utTApanaH turyaH RsDi-_27a
   mūrchitotthāpanaṃ sūte Rsdhy_46a	mUrCita-utTApanam sUte RsDi-_46a
   mūrchitotthitapātane Rsdhy_55d	mUrCita-utTita-pAtane RsDi-_55d
   mūrchitotthitapāradaḥ Rsdhy_46d	mUrCita-utTita-pAradaH RsDi-_46d
   mūrchitotthitasūtasya Rsdhy_50c	mUrCita-utTita-sUtasya RsDi-_50c
   mūrdhaṃ caturdaśāṅgulam Rsdhy_247*[146]b	mUrDam caturdaSa-aFgulam RsDi-_247*[146]b
   mūlakānāṃ dravair dinam Rsdhy_190*[89]b	mUlakAnAm dravEH dinam RsDi-_190*[89]b
   mūlikā lavaṇaṃ gandham Rsdhy_185*[84]a	mUlikA lavaNam ganDam RsDi-_185*[84]a
   mūṣāmadhyād dhṛtaṃ yāvat Rsdhy_250*[149]c	mUzA-maDyAt DRtam yAvat RsDi-_250*[149]c
   mūṣāyāṃ gomayaṃ sārdraṃ Rsdhy_182*[81]a	mUzAyAm gomayam sArdram RsDi-_182*[81]a
   mūṣāyāḥ patati dhruvam Rsdhy_134d	mUzAyAH patati Druvam RsDi-_134d
   mūṣāṃ cūrṇasya vartatām Rsdhy_246*[145]d	mUzAm cUrNasya vartatAm RsDi-_246*[145]d
   mṛgadūrvā harītakī Rsdhy_100d	mRgadUrvA harItakI RsDi-_100d
   mṛgasyākṛṣṇanetre ca Rsdhy_204*[103]a	mRgasya-akRzNa-netre ca RsDi-_204*[103]a
   mṛṇmayāt kañcukāt kuṣṭhaṃ Rsdhy_18c	mRNmayAt kaQcukAt kuzWam RsDi-_18c
   mṛtasaṃjīvano nāma Rsdhy_207*[106]c	mRtasaMjIvanaH nAma RsDi-_207*[106]c
   mṛto jīvati tatkṣaṇāt Rsdhy_206*[105]d	mRtaH jIvati tad-kzaNAt RsDi-_206*[105]d
   mṛdupattrāṇi vartayet Rsdhy_293*[192]b	mRdu-pattrANi vartayet RsDi-_293*[192]b
   mṛdvagnir jvālayedadhaḥ Rsdhy_73d	mRdu-agniH jvAlayet-aDas RsDi-_73d
   mṛdvagnir jvālayed adhaḥ Rsdhy_152b	mRdu-agniH jvAlayet aDas RsDi-_152b
   mṛdvagniṃ jvālayedadhaḥ Rsdhy_148b	mRdu-agnim jvAlayet-aDas RsDi-_148b
   mṛdvagniṃ jvālayedadhaḥ Rsdhy_155*[54]b	mRdu-agnim jvAlayet-aDas RsDi-_155*[54]b
   mṛdvagniṃ jvālayed adhaḥ Rsdhy_169*[68]b	mRdu-agnim jvAlayet aDas RsDi-_169*[68]b
   mṛdvagniṃ jvālayedadhaḥ Rsdhy_172*[71]d	mRdu-agnim jvAlayet-aDas RsDi-_172*[71]d
   mṛnmayaṃ chidraraṃ budhne Rsdhy_247*[146]c	mRd-mayam Cidraram buDne RsDi-_247*[146]c
   mṛnmayaḥ kañcukaścaiko Rsdhy_14a	mRd-mayaH kaQcukaH-ca-ekaH RsDi-_14a
   mriyate na viṣeṇāpi Rsdhy_206*[105]a	mriyate na vizeNa-api RsDi-_206*[105]a
   yakṣasaṃsthas tu sāraṇaḥ Rsdhy_29b	yakza-saMsTaH tu sAraNaH RsDi-_29b
   yatkiṃciddīyate tasya Rsdhy_174*[73]c	yat-kiMcid-dIyate tasya RsDi-_174*[73]c
   yatpratisāraṇe kṣipyam Rsdhy_217*[116]c	yad-pratisAraNe kzipyam RsDi-_217*[116]c
   yatra kutrāpi labhyate Rsdhy_255*[154]b	yatra kutra-api laByate RsDi-_255*[154]b
   yatra kutrāpi vīkṣya ca Rsdhy_4b	yatra kutra-api vIkzya ca RsDi-_4b
   yatredaṃ dolayantrakam Rsdhy_78d	yatra-idam dolayantrakam RsDi-_78d
   yathā cauro 'ticañcalaḥ Rsdhy_143d	yaTA cOraH ati-caQcalaH RsDi-_143d
   yathā tāmravidhiḥ proktaḥ Rsdhy_272*[171]c	yaTA tAmra-viDiH proktaH RsDi-_272*[171]c
   yathā devo maheśvaraḥ Rsdhy_175*[74]b	yaTA devaH maheSvaraH RsDi-_175*[74]b
   yathā nopakṣayaṃ vrajet Rsdhy_79d	yaTA na-upakzayam vrajet RsDi-_79d
   yathā pūrvoditaṃ kramāt Rsdhy_106b	yaTA pUrva-uditam kramAt RsDi-_106b
   yathālābhaṃ prakalpayet Rsdhy_96b	yaTAlABam prakalpayet RsDi-_96b
   yathā syātkāñcanī drutiḥ Rsdhy_261*[160]b	yaTA syAt-kAQcanI drutiH RsDi-_261*[160]b
   yadi gṛhṇāti cetsukham Rsdhy_143b	yadi gRhNAti ced-suKam RsDi-_143b
   yantras tumbīnalīnāṃ vai Rsdhy_248*[147]c	yantraH tumbInalInAm vE RsDi-_248*[147]c
   yantro ḍamarukākhyo'sau Rsdhy_67a	yantraH xamaruka-AKyaH-asO RsDi-_67a
   yantro 'yaṃ bhūdharo mataḥ Rsdhy_157*[56]d	yantraH ayam BUDaraH mataH RsDi-_157*[56]d
   yannāttaṃ śilayāmṛtam Rsdhy_226*[125]b	yat-nAttam SilayA-amRtam RsDi-_226*[125]b
   yavaviccikatoyena Rsdhy_123c	yava-vid-cika-toyena RsDi-_123c
   yavaviccikatoyena Rsdhy_127a	yava-vid-cika-toyena RsDi-_127a
   yavākhyākadalīśigru- Rsdhy_141a	yava-AKyA-kadalI-Sigru RsDi-_141a
   yastu dadyāttu pāradam Rsdhy_23b	yaH-tu dadyAt-tu pAradam RsDi-_23b
   yasmāttasmādapi śrutvā Rsdhy_4a	yasmAt-tasmAt-api SrutvA RsDi-_4a
   yaḥ prakāśāttaduttamā Rsdhy_232*[131]d	yaH prakASAt-tad-uttamAH RsDi-_232*[131]d
   yādṛśā ca tarā dugdhe Rsdhy_15c	yAdRSA ca tarA dugDe RsDi-_15c
   yā bhūmyā mardakī tasyā Rsdhy_293*[192]a	yA BUmyA mardakI tasyAH RsDi-_293*[192]a
   yāmaṃ dugdhena pācayet Rsdhy_244*[143]d	yAmam dugDena pAcayet RsDi-_244*[143]d
   yāmaṃ dvādaśakaṃ maṇe Rsdhy_253*[152]d	yAmam dvAdaSakam maNe RsDi-_253*[152]d
   yāmaṃ mṛdvagninā pacet Rsdhy_68b	yAmam mRdu-agninA pacet RsDi-_68b
   yāmārdhaṃ jvālayedyathā Rsdhy_54b	yAma-arDam jvAlayet-yaTA RsDi-_54b
   yāvacchulvasya bhāgaikaṃ Rsdhy_241*[140]a	yAvat-Sulvasya BAga-ekam RsDi-_241*[140]a
   yāvatastāmrabhāgasya Rsdhy_236*[135]a	yAvataH-tAmra-BAgasya RsDi-_236*[135]a
   yāvat tad gilate sphuṭam Rsdhy_140d	yAvat tat gilate sPuwam RsDi-_140d
   yāvan na dṛśyate dvistrir Rsdhy_3c	yAvat na dRSyate dvis-tris RsDi-_3c
   yuktaṃ dvādaśabhir doṣair Rsdhy_23a	yuktam dvAdaSaBiH dozEH RsDi-_23a
   yuktibhiḥ śṛṅkhalārasaḥ Rsdhy_12d	yuktiBiH SRFKalA-rasaH RsDi-_12d
   yuktyānayā saptavāraṃ Rsdhy_302*[201]a	yuktyA-anayA sapta-vAram RsDi-_302*[201]a
   yuktyaivaṃ navadhā kāryaṃ Rsdhy_287*[186]c	yuktyA-evam navaDA kAryam RsDi-_287*[186]c
   yena sūtena saṃjīrṇaṃ Rsdhy_171*[70]c	yena sUtena saMjIrNam RsDi-_171*[70]c
   yeṣvekā na bhavedrekhā Rsdhy_298*[197]a	yezu-ekA na Bavet-reKAH RsDi-_298*[197]a
   yogāḥ sidhyantyasaṃśayam Rsdhy_5d	yogAH siDyanti-asaMSayam RsDi-_5d
   yo jānāti na vakti saḥ Rsdhy_7b	yaH jAnAti na vakti saH RsDi-_7b
   raktatā jāyate dhruvam Rsdhy_156*[55]b	rakta-tA jAyate Druvam RsDi-_156*[55]b
   raktatāpādanārthaṃ ca Rsdhy_153c	rakta-tA-ApAdana-arTam ca RsDi-_153c
   raktaṣoṭasya yāvanto Rsdhy_212*[111]a	rakta-zowasya yAvantaH RsDi-_212*[111]a
   raktaṣoṭaṃ ca tadgarbhe Rsdhy_213*[112]c	rakta-zowam ca tad-garBe RsDi-_213*[112]c
   raktaṣoṭo bhavatyevaṃ Rsdhy_209*[108]c	rakta-zowaH Bavati-evam RsDi-_209*[108]c
   raktasaindhavakhoṭakaḥ Rsdhy_83b	rakta-sEnDava-KowakaH RsDi-_83b
   rajate hāṭake tathā Rsdhy_211*[110]d	rajate hAwake taTA RsDi-_211*[110]d
   ratimātraṃ kṣipet kuryān Rsdhy_218*[117]c	rati-mAtram kzipet kuryAt RsDi-_218*[117]c
   randhraṃ kuryādvicakṣaṇaḥ Rsdhy_284*[183]b	ranDram kuryAt-vicakzaNaH RsDi-_284*[183]b
   randhraṃ kṛtvātha hīrakam Rsdhy_286*[185]b	ranDram kRtvA-aTa hIrakam RsDi-_286*[185]b
   rasakarmaṇi śambhunā Rsdhy_95d	rasakarmaNi SamBunA RsDi-_95d
   rasaguṭyañjanābhijñaḥ Rsdhy_8a	rasa-guwI-aQjana-aBijQaH RsDi-_8a
   rasatattvaṃ niveditam Rsdhy_8d	rasa-tattvam niveditam RsDi-_8d
   rasanāṃ lelihānaśca Rsdhy_91c	rasanAm lelihAnaH-ca RsDi-_91c
   rasabandhaḥ prakīrtitaḥ Rsdhy_207*[106]d	rasa-banDaH prakIrtitaH RsDi-_207*[106]d
   rasabandhe tu nityaśaḥ Rsdhy_126b	rasa-banDe tu nityaSas RsDi-_126b
   rasasya svedane vidhiḥ Rsdhy_75d	rasasya svedane viDiH RsDi-_75d
   rasasyāṣṭamabhāgataḥ Rsdhy_132b	rasasya-azwama-BAgataH RsDi-_132b
   rasasyaitā niyojayet Rsdhy_105b	rasasya-etAH niyojayet RsDi-_105b
   rasasyotthāpanaṃ ṣaṣṭhaḥ Rsdhy_27c	rasasya-utTApanam zazWaH RsDi-_27c
   rasaṃ nimbukasambhavam Rsdhy_72b	rasam nimbuka-samBavam RsDi-_72b
   rasaṃ prakṣipya dātavyas Rsdhy_84c	rasam prakzipya dAtavyaH RsDi-_84c
   rasādhyāyaṃ nibaddhavān Rsdhy_9d	rasa-aDyAyam nibadDavAn RsDi-_9d
   rasānāṃ phalamutpattiṃ Rsdhy_13c	rasAnAm Palam-utpattim RsDi-_13c
   rasābhyakte tayoḥ pīḍā Rsdhy_204*[103]c	rasa-aByakte tayoH pIxA RsDi-_204*[103]c
   rase jārayate sudhīḥ Rsdhy_288*[187]d	rase jArayate suDIH RsDi-_288*[187]d
   rasenābhyañjya gālayet Rsdhy_162*[61]b	rasena-aByaQjya gAlayet RsDi-_162*[61]b
   rasenāsannadūdhilyās Rsdhy_43c	rasena-Asanna-dUDilyAH RsDi-_43c
   rasaiḥ pūrvoditair bhūyo Rsdhy_140c	rasEH pUrva-uditEH BUyas RsDi-_140c
   rasaiḥ saṃsvedanīyaṃ ca Rsdhy_82c	rasEH saMsvedanIyam ca RsDi-_82c
   raso jāto bubhukṣitaḥ Rsdhy_76b	rasaH jAtaH buBukzitaH RsDi-_76b
   rasoparasavātakaḥ Rsdhy_174*[73]d	rasa-uparasa-vAtakaH RsDi-_174*[73]d
   raso vaktre sthito yasya Rsdhy_205*[104]c	rasaH vaktre sTitaH yasya RsDi-_205*[104]c
   rājikālavaṇavahnimūlakai Rsdhy_77a	rAjikA-lavaNa-vahni-mUlakEH RsDi-_77a
   rājirmākṣīkajā matā Rsdhy_240*[139]d	rAjiH-mAkzIka-jAH matAH RsDi-_240*[139]d
   rājiścāyaḥprakāśikā Rsdhy_152d	rAjiH-ca-ayaH-prakASikAH RsDi-_152d
   rājyabhyucchritalohānāṃ Rsdhy_243*[142]a	rAji-aByucCrita-lohAnAm RsDi-_243*[142]a
   rudrasaṃkhyo hi jāraṇaḥ Rsdhy_28d	rudra-saMKyaH hi jAraNaH RsDi-_28d
   rūpyagadyāṇakayāco hy Rsdhy_137a	rUpya-gadyANakayAcaH hi RsDi-_137a
   rūpyaṃ ca tilamākṣīkaṃ Rsdhy_272*[171]a	rUpyam ca tilamAkzIkam RsDi-_272*[171]a
   rūpyaṃ tāmraṃ tathā lohaṃ Rsdhy_161*[60]c	rUpyam tAmram taTA loham RsDi-_161*[60]c
   rūṣaṇā ikayutaiḥ kalāśakaiḥ Rsdhy_77b	rUzaNA ika-yutEH kalASakEH RsDi-_77b
   raudrasaṃhārakārakaḥ Rsdhy_174*[73]b	rOdra-saMhAra-kArakaH RsDi-_174*[73]b
   lāṅgalī samabhāgataḥ Rsdhy_144d	lAFgalI sama-BAgataH RsDi-_144d
   liptaṃ pattraṃ ca tanmadhye Rsdhy_228*[127]a	liptam pattram ca tad-maDye RsDi-_228*[127]a
   limped vastramṛdā mukham Rsdhy_117d	limpet vastramRdA muKam RsDi-_117d
   limped vastramṛdā mukhe Rsdhy_66d	limpet vastramRdA muKe RsDi-_66d
   limped vastraṃ mṛdā tathā Rsdhy_53d	limpet vastram mRdA taTA RsDi-_53d
   līlakaṃ hastayoḥ kṣiptvā Rsdhy_297*[196]a	lIlakam hastayoH kziptvA RsDi-_297*[196]a
   līlayāpi tadā sarve Rsdhy_5c	lIlayA-api tadA sarve RsDi-_5c
   luṇaṃ dvātriṃśadaṃśakam Rsdhy_71b	luNam dvAtriMSat-aMSakam RsDi-_71b
   lūnaṃ dvātriṃśadaṃśakam Rsdhy_51d	lUnam dvAtriMSat-aMSakam RsDi-_51d
   loṣṭagartaḥ sudhāliptaś Rsdhy_157*[56]a	lozwa-gartaH suDA-liptaH RsDi-_157*[56]a
   lohakhalvacatuṣpāde Rsdhy_154*[53]a	loha-Kalva-catuzpAde RsDi-_154*[53]a
   lohakhalve catuṣpade Rsdhy_168*[67]b	loha-Kalve catuzpade RsDi-_168*[67]b
   lohakhalve catuṣpāde Rsdhy_146a	loha-Kalve catuzpAde RsDi-_146a
   lohakhalve catuṣpāde Rsdhy_151a	loha-Kalve catuzpAde RsDi-_151a
   lohāgre bhramatho śāla- Rsdhy_127c	loha-agre BramaTo SAla RsDi-_127c
   vakti yo na sa jānāti Rsdhy_7a	vakti yaH na sa jAnAti RsDi-_7a
   vakṣyante tāni dhātuṣu Rsdhy_264*[163]d	vakzyante tAni DAtuzu RsDi-_264*[163]d
   vaṅganāgakapālike Rsdhy_19d	vaFga-nAga-kapAlike RsDi-_19d
   vaṅganāgādikāḥ sarvā Rsdhy_31c	vaFga-nAga-AdikAH sarvAH RsDi-_31c
   vaṅgaṃ nāgaṃ ca pittalam Rsdhy_161*[60]d	vaFgam nAgam ca pittalam RsDi-_161*[60]d
   vaṅge nāge tathaiva ca Rsdhy_261*[160]d	vaFge nAge taTA-eva ca RsDi-_261*[160]d
   vajrakandarasenaiva Rsdhy_36c	vajrakanda-rasena-eva RsDi-_36c
   vajrakandādikarṇikā Rsdhy_99b	vajrakanda-Adi-karNikA RsDi-_99b
   vajravastrī punarnavā Rsdhy_93b	vajra-vastrI punarnavA RsDi-_93b
   vajrīkṣīreṇa sampiṣṭāt Rsdhy_34a	vajrI-kzIreNa sampizwAt RsDi-_34a
   vadāmi vyañjito yatra Rsdhy_12c	vadAmi vyaQjitaH yatra RsDi-_12c
   vande pratyūhaśāntaye Rsdhy_10d	vande pratyUha-SAntaye RsDi-_10d
   varṣābhūtundalīyena Rsdhy_122c	varzABUtundalIyena RsDi-_122c
   varṣābhūḥ kañcukī mūrvā Rsdhy_98c	varzABUH kaQcukI mUrvA RsDi-_98c
   vallaṃ ca prakṣipet punaḥ Rsdhy_267*[166]d	vallam ca prakzipet punar RsDi-_267*[166]d
   vallaḥ kṣepyo vicakṣaṇaiḥ Rsdhy_259*[158]d	vallaH kzepyaH vicakzaNEH RsDi-_259*[158]d
   vastramṛttikayā limpet Rsdhy_159*[58]c	vastramRttikayA limpet RsDi-_159*[58]c
   vastramṛttikayā limpet Rsdhy_165*[64]c	vastramRttikayA limpet RsDi-_165*[64]c
   vastramṛttikayā limpet Rsdhy_252*[151]c	vastramRttikayA limpet RsDi-_252*[151]c
   vastramṛdātha nīrandhra- Rsdhy_285*[184]a	vastramRdA-aTa nIranDra RsDi-_285*[184]a
   vastramṛdbhirnavīnābhir Rsdhy_291*[190]c	vastramRdBiH-navInABiH RsDi-_291*[190]c
   vastraṃ catuṣpuṭaṃ kṛtvā Rsdhy_79a	vastram catuzpuwam kRtvA RsDi-_79a
   vastrāntāni mṛdā limpej Rsdhy_52e	vastra-antAni mRdA limpet RsDi-_52e
   vastrān niḥśeṣanirgate Rsdhy_195*[94]b	vastrAt niHSeza-nirgate RsDi-_195*[94]b
   vastrānniḥsarate punaḥ Rsdhy_196*[95]b	vastrAt-niHsarate punar RsDi-_196*[95]b
   vastreṇa gālite sati Rsdhy_194*[93]b	vastreNa gAlite sati RsDi-_194*[93]b
   vastre tiṣṭhati cet sarvam Rsdhy_194*[93]c	vastre tizWati ced sarvam RsDi-_194*[93]c
   vastre tiṣṭhanti vikriyāḥ Rsdhy_31d	vastre tizWanti vikriyAH RsDi-_31d
   vastre prākkṛtakulhaḍīm Rsdhy_72d	vastre prAk-kRta-kulha-xIm RsDi-_72d
   vahniṃ saṃjvālya tadgrāhyaṃ Rsdhy_86a	vahnim saMjvAlya tat-grAhyam RsDi-_86a
   vātastomaś ca vārijāt Rsdhy_19b	vAta-stomaH ca vArijAt RsDi-_19b
   vāraṃ vāraṃ śrutimalaiḥ Rsdhy_291*[190]a	vAram vAram Sruti-malEH RsDi-_291*[190]a
   vāriṇā vartayedyathā Rsdhy_70b	vAriNA vartayet-yaTA RsDi-_70b
   vārkatoyena mardayet Rsdhy_139b	vArka-toyena mardayet RsDi-_139b
   vāsasā gālite sūte Rsdhy_31a	vAsasA gAlite sUte RsDi-_31a
   viñcikāmbujamārkavaiḥ Rsdhy_111b	viQcikA-ambuja-mArkavEH RsDi-_111b
   viḍam atra pravakṣyāmi Rsdhy_186*[85]c	vixam atra pravakzyAmi RsDi-_186*[85]c
   viḍayogena jārayet Rsdhy_186*[85]b	vixa-yogena jArayet RsDi-_186*[85]b
   viḍaṃ dadyāc ca vidhivaj Rsdhy_132c	vixam dadyAt ca viDivat RsDi-_132c
   viḍo 'yaṃ vaḍabānalaḥ Rsdhy_191*[90]d	vixaH ayam vaxabAnalaH RsDi-_191*[90]d
   vidhinā tripatho jātyo Rsdhy_288*[187]a	viDinA tri-paTaH jAtyaH RsDi-_288*[187]a
   vidhinā hi ca tenaivaṃ Rsdhy_230*[129]a	viDinA hi ca tena-evam RsDi-_230*[129]a
   vidhiprokto nirodhakaḥ Rsdhy_91b	viDi-proktaH niroDakaH RsDi-_91b
   vidhīyante sukhenaiva Rsdhy_292*[191]c	viDIyante suKena-eva RsDi-_292*[191]c
   vidheyo loṣṭajīkakaḥ Rsdhy_32b	viDeyaH lozwajIkakaH RsDi-_32b
   vinyasettāmadhomukhīm Rsdhy_247*[146]d	vinyaset-tAm-aDomuKIm RsDi-_247*[146]d
   vipruṣo naiva muñcati Rsdhy_129b	vipruzaH na-eva muQcati RsDi-_129b
   viṣacūrṇaiśca sūtakam Rsdhy_124b	viza-cUrNEH-ca sUtakam RsDi-_124b
   viṣadoṣastṛtīyastu Rsdhy_17c	viza-dozaH-tRtIyaH-tu RsDi-_17c
   viṣadoṣaḥ praśāmyati Rsdhy_39d	viza-dozaH praSAmyati RsDi-_39d
   viṣaśigrusamāṃśakaiḥ Rsdhy_58d	viza-Sigru-sama-aMSakEH RsDi-_58d
   viṣaṃ ghūrmaṃ karoti ca Rsdhy_22b	vizam GUrmam karoti ca RsDi-_22b
   viṣṇukrāntā somavallī Rsdhy_102c	vizNukrAntA somavallI RsDi-_102c
   vistīrṇakācakūpyāṃ tad Rsdhy_213*[112]a	vistIrNa-kAca-kUpyAm tat RsDi-_213*[112]a
   vihāyaghanacāpalan Rsdhy_47b	vihAya-Gana-cApalan RsDi-_47b
   vṛścikālī kutumbakam Rsdhy_103b	vRScikAlI kutumbakam RsDi-_103b
   vedhaḥ saptadaśīkakaḥ Rsdhy_30b	veDaH saptadaSIkakaH RsDi-_30b
   veṣṭayitvā puṭaṃ deyaṃ Rsdhy_290*[189]c	vezwayitvA puwam deyam RsDi-_290*[189]c
   veṣṭayitvā puṭo deyo Rsdhy_294*[193]c	vezwayitvA puwaH deyaH RsDi-_294*[193]c
   veṣṭayedvastramṛtsnayā Rsdhy_278*[177]b	vezwayet-vastramRtsnayA RsDi-_278*[177]b
   vyāghrapādī haṃsapādī Rsdhy_103a	vyAGrapAdI haMsapAdI RsDi-_103a
   vyāttavaktro grasatyeva Rsdhy_110c	vyAtta-vaktraH grasati-eva RsDi-_110c
   vyāpako jāyate svacchaḥ Rsdhy_69c	vyApakaH jAyate svacCaH RsDi-_69c
   vyāptāsya kācakumpyataḥ Rsdhy_117a	vyAptA-asya kAca-kumpyataH RsDi-_117a
   vyomajīrṇasya lakṣaṇam Rsdhy_129d	vyoma-jIrNasya lakzaNam RsDi-_129d
   vyoṣarājirbhavejjīrṇe Rsdhy_238*[137]c	vyoza-rAjiH-Bavet-jIrNe RsDi-_238*[137]c
   vyoṣārdraśigrukandaśca Rsdhy_80a	vyoza-Ardra-Sigru-kandaH-ca RsDi-_80a
   vrajatyevaṃ kṣayaṃ malaḥ Rsdhy_38d	vrajati-evam kzayam malaH RsDi-_38d
   śaṅkhacūrṇaṃ ravikṣīrair Rsdhy_187*[86]a	SaFKa-cUrNam ravi-kzIrEH RsDi-_187*[86]a
   śaṅkhavedhī bhavedrasaḥ Rsdhy_176*[75]d	SaFKa-veDI Bavet-rasaH RsDi-_176*[75]d
   śatamūlai rasairabhraṃ Rsdhy_141c	SatamUlEH rasEH-aBram RsDi-_141c
   śatāvarī ca dvilatā Rsdhy_99a	SatAvarI ca dvi-latA RsDi-_99a
   śanairāvartayetpṛthak Rsdhy_241*[140]b	SanEs-Avartayet-pRTak RsDi-_241*[140]b
   śanaiścāvartayet sudhīḥ Rsdhy_235*[134]d	SanEs-ca-Avartayet suDIH RsDi-_235*[134]d
   śarāvasampuṭasyāntas Rsdhy_275*[174]a	SarAva-sampuwasya-antar RsDi-_275*[174]a
