   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   mānuṣāsthimayaṃ kīlaṃ VT_277a	mAnuza-asTi-mayam kIlam VT_277a
   māyayācchādayitvā tu VT_84c	mAyayA-AcCAdayitvA tu VT_84c
   māyayācchādayitvā tu VT_303a	mAyayA-AcCAdayitvA tu VT_303a
   māyayācchādayet paścāt VT_202c	mAyayA-AcCAdayet paScAt VT_202c
   māyayācchādayet paścād VT_42a	mAyayA-AcCAdayet paScAt VT_42a
   māyākamalanālena VT_203a	mAyA-kamala-nAlena VT_203a
   māyāṅkuśanirodhās te VT_346c	mAyA-aFkuSa-niroDAH te VT_346c
   māyātattvaślathīkṛtam VT_203d	mAyA-tattva-SlaTIkRtam VT_203d
   māyātantvabhiveṣṭitau VT_176d	mAyA-tantu-aBivezwitO VT_176d
   māyāpāśena veṣṭitam VT_161b	mAyA-pASena vezwitam VT_161b
   māyāveṣtitaṃ tan mantrī VT_205a	mAyA-veztitam tat mantrI VT_205a
   māyā hy eṣā samuddiṣṭā VT_131a	mAyA hi ezA samuddizwAH VT_131a
   māraṇe kṛṣṇavarṇaṃ tu VT_350a	mAraNe kRzNa-varNam tu VT_350a
   māraṇe tu prayoktavyaṃ VT_299a	mAraNe tu prayoktavyam VT_299a
   māraṇe pratilomais tu VT_228a	mAraNe pratilomEH tu VT_228a
   māraṇe pratilomais tu VT_229a	mAraNe pratilomEH tu VT_229a
   māraṇe pratihomayet VT_231b	mAraNe pratihomayet VT_231b
   māraṇe samprayojayet VT_292d	mAraNe samprayojayet VT_292d
   māraṇoccāṭanādīni VT_148c	mAraNa-uccAwana-AdIni VT_148c
   mārgitavyaṃ yad iṣtaṃ tu VT_192a	mArgitavyam yat iztam tu VT_192a
   mukuṭena vicitreṇa VT_98a	mukuwena vicitreNa VT_98a
   muktikāmaṇibhūṣitām VT_107b	muktikA-maNi-BUzitAm VT_107b
   muktidā siddhidā hy evaṃ VT_116c	mukti-dA sidDi-dAH hi evam VT_116c
   mukhaṃ prakṣālya sādhakaḥ VT_24b	muKam prakzAlya sADakaH VT_24b
   mucyate ca sadā rogair VT_92c	mucyate ca sadA rogEH VT_92c
   mucyate nātra saṃdeho VT_93c	mucyate na-atra saMdehaH VT_93c
   mucyate nātra saṃśayaḥ VT_91d	mucyate na-atra saMSayaH VT_91d
   mudrāyuktaṃ sadā yajet VT_382d	mudrA-yuktam sadA yajet VT_382d
   mudreyam aṭkuśasya tu VT_87b	mudrA-iyam awkuSasya tu VT_87b
   mumukṣor api tasyāstraṃ VT_182c	mumukzoH api tasya-astram VT_182c
   mūrcchitaṃ bhuvi vihvalam VT_210d	mUrcCitam Buvi vihvalam VT_210d
   mūlamantreṣu kārayet VT_150b	mUlamantrezu kArayet VT_150b
   mṛgapakṣisarīsṛpān VT_340d	mRga-pakzi-sarIsRpAn VT_340d
   mṛṇālatantusaṃnibhā VT_251d	mRNAla-tantu-saMniBAH VT_251d
   mṛtyur āntima ? kampayet VT_214d	mRtyuH Antima ? kampayet VT_214d
   mṛtyurūpair durāsadaiḥ VT_92d	mRtyu-rUpEH durAsadEH VT_92d
   mṛtyūccāṭana piṅgalā VT_147b	mRtyu-uccAwana piFgalA VT_147b
   mṛdā pratimayīkṛtā VT_274d	mRdA pratimayIkRtAH VT_274d
   meḍhranābhyantare devi VT_140a	meXra-nAByantare devi VT_140a
   meṣalocanamūlaṃ tu VT_283c	meza-locana-mUlam tu VT_283c
   meṣasūtreṇa vai nāsāṃ VT_290a	meza-sUtreNa vE na-AsAm VT_290a
   mokṣamārgam idaṃ devi VT_257a	mokza-mArgam idam devi VT_257a
   mriyate cāvikalpataḥ VT_180d	mriyate ca-avikalpataH VT_180d
   yakārajatharodare VT_300d	yakAra-jaTara-udare VT_300d
   yac ca jñānaṃ śivodbhavam VT_325d	yat ca jQAnam Siva-udBavam VT_325d
   yac ca devena bhāṣitam VT_313b	yat ca devena BAzitam VT_313b
   yajanakāle samprāpte VT_376a	yajana-kAle samprApte VT_376a
   yajanaṃ yājanaṃ caiva VT_360c	yajanam yAjanam ca-eva VT_360c
   yajanaṃ sampravakṣyāmi VT_67c	yajanam sampravakzyAmi VT_67c
   yaj jñātvā tu sukhenaiva VT_238c	yat jQAtvA tu suKena-eva VT_238c
   yato nityaṃ cared devaḥ VT_261a	yatas nityam caret devaH VT_261a
   yatra sabhrātṛkā devyaḥ VT_311a	yatra sa-BrAtRkAH devyaH VT_311a
   yatra siddhir dhruvaṃ sthitā VT_326b	yatra sidDiH Druvam sTitA VT_326b
   yatrāsavāṃsvaraparam? VT_45b	yatra-AsavAMsvara-param? VT_45b
   yathākālāntaraiḥ śubhaiḥ VT_33b	yaTA-kAla-antarEH SuBEH VT_33b
   yathā tāragaṇaṃ sarvaṃ VT_248c	yaTA tAra-gaNam sarvam VT_248c
   yathā tu abhyāsamātreṇa VT_119c	yaTA tu aByAsa-mAtreNa VT_119c
   yathātmani tathā sādhye VT_174a	yaTA-Atmani taTA sADye VT_174a
   yathārthatvaṃ nibodhata VT_380d	yaTArTa-tvam niboData VT_380d
   yathāvad bījapañcakaṃ VT_6d	yaTAvat bIja-paQcakam VT_6d
   yathāvad vidhipūrvakam VT_26b	yaTAvat viDi-pUrvakam VT_26b
   yathā saṃharate śakraṃ VT_207c	yaTA saMharate Sakram VT_207c
   yathā saṃharate śakraṃ VT_215c	yaTA saMharate Sakram VT_215c
   yathepsasi tathā kuru VT_359b	yaTA-Ipsasi taTA kuru VT_359b
   yadā karma na kurvati VT_369d	yadA karma na kurvati VT_369d
   yadākarma na kurvati VT_390b	yadA-akarma na kurvati VT_390b
   yadā vāruṇamārgastha VT_254c	yadA vAruNa-mArga-sTa VT_254c
   yadi kālaṃ vijānate VT_264d	yadi kAlam vijAnate VT_264d
   yadi cāsti maheśvara VT_120d	yadi ca-asti maheSvaraH VT_120d
   yadi śakrasamo bhavet VT_173d	yadi Sakra-samaH Bavet VT_173d
   yad iṣṭaṃ tad avāpnuyāt VT_190b	yat izwam tat avApnuyAt VT_190b
   yadi syād urvaśīsamā VT_196b	yadi syAt urvaSI-samA VT_196b
   yadīcchet siddhim ātmanaḥ VT_360b	yadi-icCet sidDim AtmanaH VT_360b
   yadīcched dīrgham ātmani VT_347b	yadi-icCet dIrGam Atmani VT_347b
   yad viditvā maheśāni VT_200a	yat viditvA maheSAni VT_200a
   yan na kasyacid ākhyātaṃ VT_8a	yat na kasyacid AKyAtam VT_8a
   yan mayā kathitaṃ pūrvaṃ VT_330c	yat mayA kaTitam pUrvam VT_330c
   yan mayā gaditaṃ purā VT_348d	yat mayA gaditam purA VT_348d
   yaśavargān nyased devi VT_55c	yaSa-vargAn nyaset devi VT_55c
   yaścātrordhvaṃ bhaved devi VT_336a	yaH-ca-atra-UrDvam Bavet devi VT_336a
   yas tv idaṃ dhyāyate nityaṃ VT_395c	yaH tu idam DyAyate nityam VT_395c
   yasya taṃ darśayet karam VT_168d	yasya tam darSayet karam VT_168d
   yasya nāma vidarbhitam VT_181b	yasya nAma vidarBitam VT_181b
   yasya nāmnā tu sādhakaḥ VT_198d	yasya nAmnA tu sADakaH VT_198d
   yasya yasya ca veśmani VT_179b	yasya yasya ca veSmani VT_179b
   yasyā dadāti tadvad āste VT_195c	yasyAH dadAti tadvat Aste VT_195c
   yaṃ yaṃ vijñāpayet kāmaṃ VT_291a	yam yam vijQApayet kAmam VT_291a
   yaṃ yaṃ spṛśati hastena VT_169c	yam yam spRSati hastena VT_169c
   yaṃ spṛśed darśayed yaṃ tu VT_170c	yam spRSet darSayet yam tu VT_170c
   yaṃ spṛśed bhasmanā tena VT_173a	yam spRSet BasmanA tena VT_173a
   yā kalā cordhvagāminī VT_142b	yA kalA ca-UrDva-gAminI VT_142b
   yāgabhūmau svaśiṣyāṃs tu VT_23a	yAga-BUmO sva-SizyAn tu VT_23a
   yāgam ādau pravakṣyāmi VT_12a	yAgam AdO pravakzyAmi VT_12a
   yāgam evaṃ ca kṛtvānte VT_223a	yAgam evam ca kRtvA-ante VT_223a
   yāgasādhyāni vai punaḥ VT_5b	yAga-sADyAni vE punar VT_5b
   yāgaṃ kṛtvā parigraham VT_14b	yAgam kRtvA parigraham VT_14b
   yāgaṃ kṛtvā yathoditam VT_280b	yAgam kRtvA yaTA-uditam VT_280b
   yāgaṃ kṛtvā vidhānavit VT_225b	yAgam kRtvA viDAna-vid VT_225b
   yāni kāni ca karmāṇi VT_129a	yAni kAni ca karmANi VT_129a
   yāvac cittaṃ na khidyate VT_379b	yAvat cittam na Kidyate VT_379b
   yāvatī māyā mantrāṇāṃ VT_375a	yAvatI mAyA mantrANAm VT_375a
   yāvad aṣṭaśataṃ bhavet VT_269b	yAvat azwa-Satam Bavet VT_269b
   yāvad uttiṣthate pretaḥ VT_191c	yAvat uttizTate pretaH VT_191c
   yā strī dvādaśayojanāt VT_154b	yA strI dvAdaSa-yojanAt VT_154b
   yuktam ekādaśena tu VT_125b	yuktam ekAdaSena tu VT_125b
   yuktam ekādaśena tu VT_126b	yuktam ekAdaSena tu VT_126b
   yuktam ekonaviṃśati VT_124b	yuktam ekonaviMSati VT_124b
   yuktaṃ vai ṣoḍaśena tu VT_129d	yuktam vE zoxaSena tu VT_129d
   yugāntānalasaprabham VT_71b	yugAnta-anala-sapraBam VT_71b
   yena kālaṃ ca vai jñātaṃ VT_233c	yena kAlam ca vE jQAtam VT_233c
   yena vā tuṣyate guruḥ VT_50d	yena vA tuzyate guruH VT_50d
   yena saṃsmṛtamātreṇa VT_333a	yena saMsmRta-mAtreNa VT_333a
   ye 'pi hantuṃ samudyatāḥ VT_169b	ye api hantum samudyatAH VT_169b
   yoginībhiḥ sadā bhraṣṭāḥ VT_321a	yoginIBiH sadA BrazwAH VT_321a
   yogibhir niṣkalā parā VT_354d	yogiBiH nizkalA parA VT_354d
   yojanānāṃ śatasyāpi VT_196c	yojanAnAm Satasya-api VT_196c
   yo jānātīha sādhakaḥ VT_13b	yaH jAnAti-iha sADakaH VT_13b
   yojyam ālabhanādike VT_134d	yojyam AlaBana-Adike VT_134d
   yonimudrā prakīrtitā VT_89d	yonimudrA prakIrtitAH VT_89d
   yonimudrāṃ tato baddhvā VT_85a	yonimudrAm tatas badDvA VT_85a
   yoniṃ baddhvā tataḥ paścāt VT_303c	yonim badDvA tatas paScAt VT_303c
   yo 'pi syāt pātakī naraḥ VT_93d	yaH api syAt pAtakI naraH VT_93d
   yo mantranāyakaḥ smṛtaḥ VT_337d	yaH mantra-nAyakaH smRtaH VT_337d
   yo 'sāv uktas tvayā prabho VT_237b	yaH asO uktaH tvayA praBo VT_237b
   rakāreṇa tu dīpakam VT_386b	rakAreNa tu dIpakam VT_386b
   raktacandanalepitam VT_287d	raktacandana-lepitam VT_287d
   raktapuṣpaiḥ samabhyarcya VT_288a	rakta-puzpEH samaByarcya VT_288a
   raktavarṇaṃ vicintayet VT_148b	rakta-varNam vicintayet VT_148b
   raktavarṇaṃ vicintayet VT_160b	rakta-varNam vicintayet VT_160b
   raktavarṇaṃ vicintayet VT_217b	rakta-varNam vicintayet VT_217b
   raktavāsoparicchadam VT_284d	rakta-vAsa-uparicCadam VT_284d
   raktāmbarātapatreṇa VT_104a	rakta-ambara-AtapatreNa VT_104a
   rakṣaṇīyaṃ tvayā bhadre VT_361c	rakzaNIyam tvayA Badre VT_361c
   rakṣaṇīyaṃ prayatnataḥ VT_313d	rakzaNIyam prayatnataH VT_313d
   rakṣāṃ sadā śatair bījaiḥ VT_23c	rakzAm sadA SatEH bIjEH VT_23c
   raso gandhas tathaiva ca VT_242d	rasaH ganDaH taTA-eva ca VT_242d
   rahasyam idam adbhutam VT_199d	rahasyam idam adButam VT_199d
   rahasyaṃ paramaṃ padam VT_121d	rahasyam paramam padam VT_121d
   rājānaṃ rājapatnīṃ vā VT_161c	rAjAnam rAja-patnIm vA VT_161c
   rājikālavaṇaṃ caiva VT_273c	rAjikA-lavaNam ca-eva VT_273c
   rājikālavaṇena tu VT_272b	rAjikA-lavaNena tu VT_272b
   rājikāviṣaraktāktaṃ VT_155c	rAjikA-viza-rakta-aktam VT_155c
   rātrau kāṣṭhais tadudbhavaiḥ VT_284b	rAtrO kAzWEH tad-udBavEH VT_284b
   rātrau kuryād vicakṣaṇaḥ VT_156d	rAtrO kuryAt vicakzaNaH VT_156d
   rephadvayasamāyutam VT_74d	rePa-dvaya-samAyutam VT_74d
   rogī rogād vimucyate VT_184d	rogI rogAt vimucyate VT_184d
   rocanā nāgakeśaram VT_279b	rocanA nAgakeSaram VT_279b
   raudrakarmaṇi yojayet VT_256b	rOdra-karmaNi yojayet VT_256b
   raudre raudrāṇi kārayet VT_265b	rOdre rOdrANi kArayet VT_265b
   lakṣatrayeṇa pṛthvīśo VT_188a	lakza-trayeNa pRTvI-ISaH VT_188a
   lakṣamātrahutenāśu VT_190a	lakza-mAtra-hutena-ASu VT_190a
   lakṣeṇaikena deveśi VT_189a	lakzeNa-ekena deveSi VT_189a
   lakṣaikena mahāvitto VT_187c	lakza-ekena mahA-vittaH VT_187c
   labhanīyaṃ yaśasvini VT_192b	laBanIyam yaSasvini VT_192b
   lalātaṃ ca vicakṣaṇaḥ VT_271b	lalAtam ca vicakzaNaH VT_271b
   lākṣārasasamaprabhau VT_175b	lAkzA-rasa-sama-praBO VT_175b
   lāñchitāni tu pūrvavat VT_136b	lAQCitAni tu pUrvavat VT_136b
   lāntīsagatilitena ? tu VT_365b	lAntI-sagatilitena ? tu VT_365b
   likhitvā maṇḍalaṃ śubham VT_94d	liKitvA maNxalam SuBam VT_94d
   likhitvā maṇḍalaṃ śubham VT_116b	liKitvA maNxalam SuBam VT_116b
   likhitvā hṛdaye kuryād VT_273a	liKitvA hRdaye kuryAt VT_273a
   likhec ca susamāhitaḥ VT_220d	liKet ca su-samAhitaH VT_220d
   likhen nāmākṣaraṃ tatra VT_152a	liKet nAma-akzaram tatra VT_152a
   liṅgaṃ vā kīlayet tataḥ VT_277d	liFgam vA kIlayet tatas VT_277d
   vakāramadhyagā caiva VT_296c	vakAra-maDya-gA ca-eva VT_296c
   vaktum arhasi śaṅkara VT_139d	vaktum arhasi SaFkaraH VT_139d
   vakṣyamāṇena cānena VT_68c	vakzyamANena ca-anena VT_68c
   vajravat syāṅkuśopamaḥ VT_285b	vajra-vat sya-aFkuSa-upamaH VT_285b
   vajropalamahāvarṣaṃ VT_92a	vajra-upala-mahA-varzam VT_92a
   varadānodyatakaram VT_96d	vara-dAna-udyata-karam VT_96d
   varam iṣtaṃ prayacchanti VT_306c	varam iztam prayacCanti VT_306c
   vargātītasya garbhe tu VT_221a	varga-atItasya garBe tu VT_221a
   vargāntanirguṇākrāntaṃ VT_307c	varga-anta-nirguNa-AkrAntam VT_307c
   vargāntanirguṇākhyasya VT_310a	varga-anta-nirguNa-AKyasya VT_310a
   vargāntanirguṇākhyasya VT_324a	varga-anta-nirguNa-AKyasya VT_324a
   vargāntarayutasya ca VT_218b	varga-antara-yutasya ca VT_218b
   varṇayāgakrameṇaiva VT_315a	varNa-yAga-krameNa-eva VT_315a
   varṇānām udare yāgaṃ VT_292a	varNAnAm udare yAgam VT_292a
   varṇāntayāgam ekānte VT_218c	varNa-anta-yAgam ekAnte VT_218c
   varṇaikādaśasaṃyuktaṃ VT_127a	varNa-ekAdaSa-saMyuktam VT_127a
   vaśam ānayate kṣipraṃ VT_177c	vaSam Anayate kzipram VT_177c
   vaśam ānayate kṣipraṃ VT_374c	vaSam Anayate kzipram VT_374c
   vaśīkaraṇakarmaṇi VT_296d	vaSIkaraNa-karmaNi VT_296d
   vaśyakāmo japaṃ kuryād VT_226c	vaSya-kAmaH japam kuryAt VT_226c
   vaśyākarṣaṇakarmaṇi VT_349d	vaSya-AkarzaNa-karmaNi VT_349d
   vaśyākarṣaṇakarmasu VT_229d	vaSya-AkarzaNa-karmasu VT_229d
   vaśyākarṣaṇakarmāṇi VT_358a	vaSya-AkarzaNa-karmANi VT_358a
   vaśyākarṣaṇakaṃ kuryād VT_264c	vaSya-AkarzaNakam kuryAt VT_264c
   vaśyākarṣaṇakāryeṣu VT_87c	vaSya-AkarzaNa-kAryezu VT_87c
   vaśyākarṣas tathā nāśaṃ VT_316c	vaSya-AkarzaH taTA nASam VT_316c
   vaśye jātiṃ tu homayet VT_231d	vaSye jAtim tu homayet VT_231d
   vaṣatkṛtaṃ japiṣyati VT_394b	vazat-kRtam japizyati VT_394b
   vahate dehamadhyataḥ VT_144d	vahate deha-maDyatas VT_144d
   vahninā saṃnirodhitam VT_369b	vahninA saMniroDitam VT_369b
   vahnim ādāya tenaiva VT_40c	vahnim AdAya tena-eva VT_40c
   vahniṃ prajvālya copari VT_273b	vahnim prajvAlya ca-upari VT_273b
   vahner eva yathākramam VT_41b	vahneH eva yaTAkramam VT_41b
   vāgīśam api mūkayet VT_293d	vAgISam api mUkayet VT_293d
   vācayā sa kariṣyati VT_358b	vAcayA sa karizyati VT_358b
   vāmanāsikaraktena VT_272c	vAma-nAsika-raktena VT_272c
   vāmapādena cākramet VT_153d	vAma-pAdena ca-Akramet VT_153d
   vāmabhāge vicakṣaṇaḥ VT_151d	vAma-BAge vicakzaNaH VT_151d
   vāmahastatale candraṃ VT_168a	vAma-hasta-tale candram VT_168a
   vāmahastākṣasūtradhṛk VT_225d	vAma-hasta-akza-sUtra-DRk VT_225d
   vāmāṅgojjvalaraktena VT_152c	vAma-aFga-ujjvala-raktena VT_152c
   vāme trīṇi samākramya VT_88c	vAme trINi samAkramya VT_88c
   vāyur ākāśam eva ca VT_242b	vAyuH AkASam eva ca VT_242b
   vāyuvāhanam ārūḍhaṃ VT_144a	vAyu-vAhanam ArUXam VT_144a
   vāram ekaṃ kuru vyaktaṃ VT_331c	vAram ekam kuru vyaktam VT_331c
   vāriṇāplāvayet tataḥ VT_72b	vAriNA-AplAvayet tatas VT_72b
   vārimārutasaṃkīrṇaṃ VT_143c	vAri-mAruta-saMkIrNam VT_143c
   vāruṇāmṛtasaṃyuktaṃ VT_74a	vAruNa-amRta-saMyuktam VT_74a
   vāruṇī tu tathāpare VT_381d	vAruNI tu taTA-apare VT_381d
   vālāgraśatabhāgakam VT_143d	vAla-agra-Sata-BAgakam VT_143d
   vālāgraśatabhāgākhyā- VT_356a	vAla-agra-Sata-BAga-AKyA VT_356a
   vālmīkamṛttikāṃ gṛhya VT_286c	vAlmIka-mRttikAm gRhya VT_286c
   vāsasā sakalīkṛtān VT_37b	vAsasA sakalIkRtAn VT_37b
   vighnoccāṭanam eva ca VT_78b	viGna-uccAwanam eva ca VT_78b
   vicareta mahīṃ kṛtsnāṃ VT_281c	vicareta mahIm kRtsnAm VT_281c
   vijayāṃ dakṣiṇe dale VT_31b	vijayAm dakziNe dale VT_31b
   vijayāṃ siddhidāṃ smaret VT_104b	vijayAm sidDi-dAm smaret VT_104b
   vijñeyaḥ śucikarmaṇi VT_255b	vijQeyaH Suci-karmaNi VT_255b
   vijñeyā sādhakottamaiḥ VT_62b	vijQeyA sADaka-uttamEH VT_62b
   vidarbhya pādau guhyaṃ ca VT_271a	vidarBya pAdO guhyam ca VT_271a
   vidigdikṣaṃsthakoṣṭheṣu VT_55a	vidiS-dikzaMsTa-kozWezu VT_55a
   vidyākhyaṃ catustriṃśakam VT_60b	vidyA-AKyam catustriMSakam VT_60b
   vidyātattvaṃ tu madhyataḥ VT_82b	vidyA-tattvam tu maDyatas VT_82b
   vidyātattvaṃ dvitīyake VT_81b	vidyA-tattvam dvitIyake VT_81b
   vidyādehaṃ vicintayet VT_73b	vidyA-deham vicintayet VT_73b
   vidviṣṭaḥ sarvalokānāṃ VT_173c	vidvizwaH sarva-lokAnAm VT_173c
   vidviṣṭāḥ suhṛdāny api VT_170d	vidvizwAH suhRdAni api VT_170d
   vidviṣto dṛśyate loke VT_199a	vidviztaH dRSyate loke VT_199a
   vidveṣaṃ tu prayacchanti VT_299c	vidvezam tu prayacCanti VT_299c
   vidveṣe 'pi vilomais tu VT_228c	vidveze api vilomEH tu VT_228c
   vidveṣe vāmarūpakam VT_350b	vidveze vAma-rUpakam VT_350b
   vidveṣe śleṣa śigruṃ ca VT_232a	vidveze Sleza Sigrum ca VT_232a
   vidveṣoccāṭanaṃ tathā VT_264b	vidveza-uccAwanam taTA VT_264b
   vidveṣoccāṭanaṃ tathā VT_316b	vidveza-uccAwanam taTA VT_316b
   vidveṣoccāṭanādīni VT_217c	vidveza-uccAwana-AdIni VT_217c
   vidhānaṃ śakranāśaṃ ca VT_193a	viDAnam Sakra-nASam ca VT_193a
   vidhinānena yoṣitām VT_363b	viDinA-anena yozitAm VT_363b
   vidhinānena sādhakaḥ VT_363d	viDinA-anena sADakaH VT_363d
   vidhir atra krame cāyaṃ VT_375c	viDiH atra krame ca-ayam VT_375c
   vidhir eṣa prakīrtitaḥ VT_78d	viDiH eza prakIrtitaH VT_78d
   vidhivat kārayed budhaḥ VT_43b	viDivat kArayet buDaH VT_43b
   vinyaset tu varānane VT_83d	vinyaset tu varAnane VT_83d
   vinyased ravimaṇḍalam VT_170b	vinyaset ravi-maNxalam VT_170b
   vinyasya karaṇān sākṣān VT_301c	vinyasya karaNAn sAkzAn VT_301c
   vinyasya pūjāṃ kurvīta VT_32c	vinyasya pUjAm kurvIta VT_32c
   vilomair bījapañcakaiḥ VT_172d	vilomEH bIja-paQcakEH VT_172d
   vivikte śalyavarjite VT_25d	vivikte Salya-varjite VT_25d
   viśeṣam aparaṃ śṛṇu VT_226b	viSezam aparam SRNu VT_226b
   viśeṣaḥ ko 'paraḥ prabho VT_119b	viSezaH kaH aparaH praBo VT_119b
   viśvaṃ manata ? saṃśayaḥ VT_374d	viSvam manataH ? saMSayaH VT_374d
   viṣuvaṃ samudāhṛtam VT_145d	vizuvam samudAhRtam VT_145d
   viṣṇor upari dīptena VT_340a	vizNoH upari dIptena VT_340a
   visphuliṅgārkasaṃnibham VT_143b	visPuliFga-arka-saMniBam VT_143b
   visphuliṭgasamaprabham VT_84b	visPuliwga-sama-praBam VT_84b
   vihvalaṃ ca sammūrchitam VT_160d	vihvalam ca sammUrCitam VT_160d
   viṃśakena samanvitam VT_130d	viMSakena samanvitam VT_130d
   viṃśakena svareṇaiva VT_338c	viMSakena svareNa-eva VT_338c
   viṃśatyakṣarayojitam VT_344b	viMSati-akzara-yojitam VT_344b
   vīṇādhārasusaṃsthitam VT_11b	vINA-DAra-su-saMsTitam VT_11b
   vīṇādhārāsusaṃsthitā VT_356b	vINA-ADArA-su-saMsTitA VT_356b
   vīṇāśikhāyāḥ sarvasvaṃ VT_358c	vINA-SiKAyAH sarva-svam VT_358c
   vīṇāsadbhāvam uttamam VT_323b	vINA-sadBAvam uttamam VT_323b
   vṛthā bhavati sādhake VT_265d	vRTA Bavati sADake VT_265d
   vedhayet pūrvavac chuciḥ VT_290b	veDayet pUrvavat SuciH VT_290b
   vyāghrayajñopavītinīm VT_100b	vyAGra-yajQa-upavItinIm VT_100b
   vyādhighātasamidbhis tu VT_183c	vyADi-GAta-samidBiH tu VT_183c
   vyādhinātyantapīḍitaḥ VT_183d	vyADinA-atyanta-pIxitaH VT_183d
   vratayogādisaṃsiddhiṃ VT_150a	vrata-yoga-Adi-saMsidDim VT_150a
   vratasādhanavarjitam VT_314b	vrata-sADana-varjitam VT_314b
   vratasādhyāni caitāni VT_5a	vrata-sADyAni ca-etAni VT_5a
   vratahomād ṛte cāsmin VT_13c	vrata-homAt Rte ca-asmin VT_13c
   śaktir binduvinirbhinnā VT_251a	SaktiH bindu-vinirBinnAH VT_251a
   śaktīnāṃ tu priyaṃ devaṃ VT_98c	SaktInAm tu priyam devam VT_98c
   śatajapto jalenāpi VT_183a	Sata-japtaH jalena-api VT_183a
   śatam āvartayed drutam VT_182b	Satam Avartayet drutam VT_182b
   śatābhimantritāṃ budhaḥ VT_268d	Sata-aBimantritAm buDaH VT_268d
   śatārdhārdhāsanāsīnaṃ VT_54a	Sata-arDa-arDa-Asana-AsInam VT_54a
   śatenāṣṭottareṇa tu VT_159b	Satena-azwa-uttareNa tu VT_159b
   śatrukulocchādaṃ kuryāt VT_300a	Satru-kula-ucCAdam kuryAt VT_300a
   śabalāṃ deśikottamaḥ VT_29b	SabalAm deSika-uttamaH VT_29b
   śabdaḥ sparśaś ca rūpaṃ ca VT_242c	SabdaH sparSaH ca rUpam ca VT_242c
   śabdātītam anāmayam VT_144b	Sabda-atItam anAmayam VT_144b
   śambhusthaṃ pañcaviṃśakam VT_127b	SamBu-sTam paQcaviMSakam VT_127b
   śarīraṃ tattvarājānaṃ VT_335a	SarIram tattva-rAjAnam VT_335a
   śarīraṃ triguṇaṃ caiva VT_247c	SarIram triguNam ca-eva VT_247c
   śarīre tu yathā devi VT_240a	SarIre tu yaTA devi VT_240a
   śarīre tu vidur budhāḥ VT_243d	SarIre tu viduH buDAH VT_243d
   śarīre vinyased devi VT_302c	SarIre vinyaset devi VT_302c
   śarvarītimiraprabhām VT_106d	SarvarI-timira-praBAm VT_106d
   śaśāṅkadhṛtaśekharam VT_98b	SaSAFka-DRta-SeKaram VT_98b
   śāntikapauṣtikaṃ karma VT_391c	SAntika-pOztikam karma VT_391c
   śāntikaṃ pauṣtikaṃ cāpi VT_264a	SAntikam pOztikam ca-api VT_264a
   śāntikaṃ pauṣtikaṃ caiva VT_316a	SAntikam pOztikam ca-eva VT_316a
   śāntipuṣṭivaśākarṣaṃ VT_149c	SAnti-puzwi-vaSa-Akarzam VT_149c
   śāntipuṣṭiś ca jāyate VT_182d	SAnti-puzwiH ca jAyate VT_182d
   śālicūrṇena sūjjvalam VT_27b	SAli-cUrNena sUjjvalam VT_27b
   śālīnāṃ piṣṭakena ca VT_219d	SAlInAm pizwakena ca VT_219d
   śikhayā bhinnamastakam VT_75d	SiKayA Binna-mastakam VT_75d
   śikhābinduṃ vinirdhārya VT_377a	SiKAbindum vinirDArya VT_377a
   śikhāmadhyagataṃ dhyātvā VT_370a	SiKA-maDya-gatam DyAtvA VT_370a
   śikhāyāṃ saṃsthito devo VT_335c	SiKAyAm saMsTitaH devaH VT_335c
   śikhāyogena iṣyante VT_11c	SiKA-yogena izyante VT_11c
   śikhāsambhinnamūrdhāntaṃ VT_54c	SiKA-samBinna-mUrDa-antam VT_54c
   śigrukāṣṭhena sādhayet VT_198b	Sigru-kAzWena sADayet VT_198b
   śiraśchedaṃ ca deveśa VT_4c	SiraH-Cedam ca deveSa VT_4c
   śirasā bindubhinnena VT_342a	SirasA bindu-Binnena VT_342a
   śirasi samavasthitam VT_368b	Sirasi samavasTitam VT_368b
   śivatattvaṃ tu deveśi VT_60c	Siva-tattvam tu deveSi VT_60c
   śivatattvaṃ nyasen mūrdhni VT_82c	Siva-tattvam nyaset mUrDni VT_82c
   śivaloke mahīyate VT_18b	Siva-loke mahIyate VT_18b
   śivavaktrād viniḥsṛtam VT_395b	Siva-vaktrAt viniHsRtam VT_395b
   śivasāyujyatāṃ vrajet VT_362d	Siva-sAyujya-tAm vrajet VT_362d
   śivasya paramātmanaḥ VT_322d	Sivasya paramAtmanaH VT_322d
   śivasyānantarūpiṇī VT_131b	Sivasya-ananta-rUpiNI VT_131b
   śivaṃ dadyāt tṛtīyeṣu VT_81c	Sivam dadyAt tRtIyezu VT_81c
   śivīkurvīta bindusthaṃ VT_372c	SivIkurvIta bindu-sTam VT_372c
   śivībhūtas tu mantro vai VT_367c	SivIBUtaH tu mantraH vE VT_367c
   śivenādhiṣthitaṃ jñātvā VT_250a	Sivena-ADizTitam jQAtvA VT_250a
   śiṣyāṇām adhivāsanam VT_19d	SizyANAm aDivAsanam VT_19d
   śiṣyāṇām āditaḥ kuryād VT_14a	SizyANAm Aditas kuryAt VT_14a
