   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   vyathake 'smin vacasi kṣataujasām BhKir_2.4b	vyaTake asmin vacasi kzata-ojasAm BhKiH-_2.4b
   vyathayan prāṇabhṛtaḥ kapidhvajeṣu BhKir_13.25d	vyaTayan prANaBRtaH kapiDvajezu BhKiH-_13.25d
   vyathitam api bhṛśaṃ mano harantī BhKir_10.22a	vyaTitam api BRSam manaH harantI BhKiH-_10.22a
   vyathitasindhum anīraśanaiḥ śanair BhKir_5.11a	vyaTita-sinDum anIraSanEs SanEs BhKiH-_5.11a
   vyadhatta yasmin puram uccagopuraṃ BhKir_5.35a	vyaDatta yasmin puram ucca-gopuram BhKiH-_5.35a
   vyapagatamadarāgasyānusasmāra lakṣmīm BhKir_4.38c	vyapagata-mada-rAgasya-anusasmAra lakzmIm BhKiH-_4.38c
   vyapoḍhapārśvair apavartitatrikā BhKir_4.15c	vyapoXa-pArSvEH apavartita-trikAH BhKiH-_4.15c
   vyapohituṃ locanato mukhānilair BhKir_8.19a	vyapohitum locanataH muKa-anilEH BhKiH-_8.19a
   vyavahitarativigrahair vitene BhKir_10.19c	vyavahita-rati-vigrahEH vitene BhKiH-_10.19c
   vyastaśukanibhaśilākusumaḥ BhKir_12.50c	vyasta-Suka-niBa-SilA-kusumaH BhKiH-_12.50c
   vyaṃśukasphuṭamukhīm atijihmāṃ BhKir_9.24c	vyaMSuka-sPuwa-muKIm ati-jihmAm BhKiH-_9.24c
   vyākuryāt kaḥ priyaṃ vākyaṃ BhKir_11.41c	vyAkuryAt kaH priyam vAkyam BhKiH-_11.41c
   vyājahāreti bhāratīm BhKir_11.9d	vyAjahAra-iti BAratIm BhKiH-_11.9d
   vyānaśe madhu rasātiśayena BhKir_9.58d	vyAnaSe maDu rasa-atiSayena BhKiH-_9.58d
   vyānaśe śaśadhareṇa vimuktaḥ BhKir_9.17a	vyAnaSe SaSaDareNa vimuktaH BhKiH-_9.17a
   vyāpa nagapatir iva sthiratāṃ BhKir_12.3c	vyApa nagapatiH iva sTira-tAm BhKiH-_12.3c
   vyāpi prabhājālam ivāntakasya BhKir_16.6b	vyApi praBA-jAlam iva-antakasya BhKiH-_16.6b
   vyāmṛṣṭapattratilakeṣu vilāsinīnāṃ BhKir_9.77c	vyAmRzwa-pattra-tilakezu vilAsinInAm BhKiH-_9.77c
   vyāvartanair ahipater ayam āhitāṅkaḥ BhKir_5.30c	vyAvartanEH ahipateH ayam Ahita-aFkaH BhKiH-_5.30c
   vyāhṛtya marutāṃ patyāv BhKir_11.37a	vyAhRtya marutAm patyO BhKiH-_11.37a
   vyūḍhair urobhiś ca vinudyamānaṃ BhKir_16.45c	vyUXEH uroBiH ca vinudyamAnam BhKiH-_16.45c
   vyomnaḥ pariṣvaṅgam ivāgrapakṣaiḥ BhKir_18.19d	vyomnaH parizvaFgam iva-agra-pakzEH BhKiH-_18.19d
   vraja jaya ripulokaṃ pādapadmānataḥ san BhKir_18.48a	vraja jaya ripu-lokam pAda-padma-AnataH san BhKiH-_18.48a
   vrajati purā hi parāsutāṃ tvadarthe BhKir_10.50b	vrajati purA hi parAsu-tAm tvad-arTe BhKiH-_10.50b
   vrajati śuci padaṃ tv ati prītimān BhKir_18.26a	vrajati Suci padam tu ati prItimAn BhKiH-_18.26a
   vrajato 'sya bṛhat patattrajanmā BhKir_13.21a	vrajataH asya bRhat patattra-janmA BhKiH-_13.21a
   vrajaty aphalatām eva BhKir_11.43c	vrajati aPala-tAm eva BhKiH-_11.43c
   vrajadbhir ārdrendhanavat parikṣayaṃ BhKir_16.57c	vrajadBiH Ardra-inDana-vat parikzayam BhKiH-_16.57c
   vrajanti te mūḍhadhiyaḥ parābhavaṃ BhKir_1.30a	vrajanti te mUXaDiyaH parABavam BhKiH-_1.30a
   vrajanti śatrūn avadhūya niḥspṛhāḥ BhKir_1.42c	vrajanti SatrUn avaDUya niHspRhAH BhKiH-_1.42c
   vrajājireṣv ambudanādaśaṅkinīḥ BhKir_4.16a	vraja-ajirezu ambuda-nAda-SaFkinIH BhKiH-_4.16a
   vrajopakaṇṭhaṃ tanayair upeyuṣī BhKir_4.32b	vraja-upakaNWam tanayEH upeyuzI BhKiH-_4.32b
   vraṇamukhacyutaśoṇitaśīkara- BhKir_18.4a	vraNa-muKa-cyuta-SoNita-SIkara BhKiH-_18.4a
   vratābhirakṣā hi satām alaṃkriyā BhKir_14.14d	vrata-aBirakzAH hi satAm alaMkriyA BhKiH-_14.14d
   vrasaṃrakṣaṇam anyathā na kartum BhKir_13.13d	vrasaMrakzaNam anyaTA na kartum BhKiH-_13.13d
   vrīḍayanti caritāni māninam BhKir_13.47d	vrIxayanti caritAni mAninam BhKiH-_13.47d
   vrīḍayā navavadhūm iva lokaḥ BhKir_9.24d	vrIxayA nava-vaDUm iva lokaH BhKiH-_9.24d
   vrīḍayā viphalayā vanitānāṃ BhKir_9.66c	vrIxayA viPalayA vanitAnAm BhKiH-_9.66c
   vrīḍayā saha vinīvi nitambād BhKir_9.47c	vrIxayA saha vinIvi nitambAt BhKiH-_9.47c
   vrīḍānatair āptajanopanītaḥ BhKir_3.42a	vrIxA-natEH Apta-jana-upanItaH BhKiH-_3.42a
   vrīḍitavyam api te sacetasaḥ BhKir_13.46d	vrIxitavyam api te sacetasaH BhKiH-_13.46d
   vrīḍitasya lalitaṃ yuvatīnāṃ BhKir_9.67c	vrIxitasya lalitam yuvatInAm BhKiH-_9.67c
   śakunimṛgayūthaniḥsvanaiḥ BhKir_12.45b	Sakuni-mRga-yUTa-niHsvanEH BhKiH-_12.45b
   śaktir arthapatiṣu svayaṃgrahaṃ BhKir_13.61a	SaktiH arTapatizu svayaMgraham BhKiH-_13.61a
   śaktir mamāvasyati hīnayuddhe BhKir_16.17c	SaktiH mama-avasyati hIna-yudDe BhKiH-_16.17c
   śaktivaikalyanamrasya BhKir_11.59a	Sakti-vEkalya-namrasya BhKiH-_11.59a
   śaktiḥ śarāṇāṃ śitikaṇṭhakāye BhKir_17.11d	SaktiH SarANAm SitikaNWa-kAye BhKiH-_17.11d
   śaṅkitāya kṛtabāṣpanipātām BhKir_9.46a	SaFkitAya kRta-bAzpa-nipAtAm BhKiH-_9.46a
   śaṅke 'śaṃ kena śāmyati BhKir_15.10d	SaFke aSam kena SAmyati BhKiH-_15.10d
   śaṭha viṣayās tava vallabhā na muktiḥ BhKir_10.55b	SaWa vizayAH tava vallaBA na muktiH BhKiH-_10.55b
   śatayajvano vanacarā vasatim BhKir_6.29d	SatayajvanaH vana-carAH vasatim BhKiH-_6.29d
   śataśo viśikhān avadyate BhKir_15.48a	SataSas viSiKAn avadyate BhKiH-_15.48a
   śanair apūrṇapratikārapelave BhKir_14.36c	SanEs apUrNa-pratikAra-pelave BhKiH-_14.36c
   śanaiḥ pratasthe surabhiḥ samīraṇaḥ BhKir_14.28d	SanEs pratasTe suraBiH samIraNaH BhKiH-_14.28d
   śanaiḥ śanaiḥ śāntarayeṇa vāriṇā BhKir_4.6b	SanEs SanEs SAnta-rayeNa vAriNA BhKiH-_4.6b
   śapharīparisphuritacārudṛśaḥ BhKir_6.16b	SaParI-parisPurita-cAru-dRSaH BhKiH-_6.16b
   śabdeṣu bhāvārtham ivāśaśaṃse BhKir_17.6d	Sabdezu BAva-arTam iva-ASaSaMse BhKiH-_17.6d
   śamanirato 'pi durāsadaḥ prakṛtyā BhKir_10.14b	Sama-nirataH api durAsadaH prakRtyA BhKiH-_10.14b
   śamayan dhṛtendriyaśamaikasukhaḥ BhKir_6.20a	Samayan DRta-indriya-Sama-eka-suKaH BhKiH-_6.20a
   śamitaruci jiṣṇujanmanā BhKir_12.13b	Samita-ruci jizNu-janmanA BhKiH-_12.13b
   śamitāyāma ivātiraṃhasā saḥ BhKir_13.27b	Samita-AyAmaH iva-ati-raMhasA saH BhKiH-_13.27b
   śamino 'pi tasya navasaṃgamane BhKir_6.35c	SaminaH api tasya nava-saMgamane BhKiH-_6.35c
   śamītaruṃ śuṣkam ivāgnir ucchikhaḥ BhKir_1.32d	SamItarum Suzkam iva-agniH ucCiKaH BhKiH-_1.32d
   śamena siddhiṃ munayo na bhūbhṛtaḥ BhKir_1.42d	Samena sidDim munayaH na BUBRtaH BhKiH-_1.42d
   śamaikavṛtter bhavataś chalena BhKir_3.16b	Sama-eka-vRtteH BavataH Calena BhKiH-_3.16b
   śambhuneva karicarma cakāse BhKir_9.20d	SamBunA-iva kari-carma cakAse BhKiH-_9.20d
   śambhum upahatadṛśaḥ sahasā BhKir_12.18c	SamBum upahata-dRSaH sahasA BhKiH-_12.18c
   śambhuṃ bibhitsur dhanuṣā jaghāna BhKir_17.51c	SamBum biBitsuH DanuzA jaGAna BhKiH-_17.51c
   śambho dhanurmaṇḍalataḥ pravṛttaṃ BhKir_15.49a	SamBo DanuH-maNxalataH pravRttam BhKiH-_15.49a
   śayanīyatām upayatīṃ vasudhām BhKir_6.26d	SayanIya-tAm upayatIm vasuDAm BhKiH-_6.26d
   śayyā navāni haricandanapallavāni BhKir_5.28b	SayyA navAni haricandana-pallavAni BhKiH-_5.28b
   śayyānte kulamalināṃ kṣaṇaṃ vilīnaṃ BhKir_7.31c	SayyA-ante kula-malinAm kzaNam vilInam BhKiH-_7.31c
   śaraṇaṃ bhavantam atikāruṇikaṃ BhKir_18.22a	SaraNam Bavantam atikAruNikam BhKiH-_18.22a
   śaraṇaṃ yayuḥ śivam atho maharṣayaḥ BhKir_12.17d	SaraNam yayuH Sivam aTo mahA-RzayaH BhKiH-_12.17d
   śarat prasannāmbur anambuvāridā BhKir_4.21d	Sarad prasanna-ambuH anambu-vAri-dA BhKiH-_4.21d
   śaradabhracalāś calendriyair BhKir_2.39c	Sarad-aBra-calAH cala-indriyEH BhKiH-_2.39c
   śaradabhravibhramam apāṃ paṭalam BhKir_6.15d	Sarad-aBra-viBramam apAm pawalam BhKiH-_6.15d
   śaradamalatale sarojapāṇau BhKir_10.24c	Sarad-amala-tale saroja-pANO BhKiH-_10.24c
   śaradambudharacchāyā BhKir_11.12a	Sarad-ambuDara=-CAyA BhKiH-_11.12a
   śaradaṃ loka ivādhitiṣṭhati BhKir_2.31d	Saradam lokaH iva-aDitizWati BhKiH-_2.31d
   śaradguṇālokanalolacakṣuṣam BhKir_4.20b	Sarad-guNa-Alokana-lola-cakzuzam BhKiH-_4.20b
   śaradghanākīrṇa ivādir ahnaḥ BhKir_3.45d	Sarad-Gana-AkIrNaH iva-AdiH ahnaH BhKiH-_3.45d
   śarannadīnāṃ pulinaiḥ kutūhalaṃ BhKir_4.12c	Sarad-nadInAm pulinEH kutUhalam BhKiH-_4.12c
   śaravṛṣṭiṃ vidhūyorvīm BhKir_15.41a	Sara-vRzwim viDUya-urvIm BhKiH-_15.41a
   śarān avadyann anavadyakarmā BhKir_17.56a	SarAn avadyan anavadya-karmA BhKiH-_17.56a
   śarā muneḥ prītikarā babhūvuḥ BhKir_17.33d	SarAH muneH prIti-karAH baBUvuH BhKiH-_17.33d
   śarārtham eṣyaty atha lapsyate gatiṃ BhKir_14.25c	Sara-arTam ezyati aTa lapsyate gatim BhKiH-_14.25c
   śarāsanajyātalavāraṇadhvaniḥ BhKir_14.29b	SarAsana-jyA-tala-vAraNa-DvaniH BhKiH-_14.29b
   śarāsanaṃ bibhrati sajyasāyakaṃ BhKir_14.16c	SarAsanam biBrati sajya-sAyakam BhKiH-_14.16c
   śarāsane dhairya ivānapāyini BhKir_14.37b	SarAsane DEryaH iva-anapAyini BhKiH-_14.37b
   śarāḥ śarīrād iti te 'bhimenire BhKir_14.53d	SarAH SarIrAt iti te aBimenire BhKiH-_14.53d
   śarīrajebhyaś cyutayūthapaṅktayaḥ BhKir_4.31b	SarIrajeByaH cyuta-yUTa-paFktayaH BhKiH-_4.31b
   śarebhyas tatra tatrasuḥ BhKir_15.1b	SareByaH tatra tatrasuH BhKiH-_15.1b
   śarair upāyair iva pāṇḍunandanaḥ BhKir_14.52d	SarEH upAyEH iva pANxu-nandanaH BhKiH-_14.52d
   śaraugham utsāham ivāsya vidviṣaḥ BhKir_14.57d	Sara-oGam utsAham iva-asya vidvizaH BhKiH-_14.57d
   śaśadhara iva locanābhirāmair BhKir_10.11a	SaSaDaraH iva locana-aBirAmEH BhKiH-_10.11a
   śaśāṅkakhaṇḍākṛtipāṇḍureṇa BhKir_17.51b	SaSAFka-KaNxa-AkRti-pANxureNa BhKiH-_17.51b
   śaśāṅkasyeva lāñchanam BhKir_11.75b	SaSAFkasya-iva lAQCanam BhKiH-_11.75b
   śaśikalābharaṇasya bhujadvayam BhKir_18.7d	SaSi-kalA-ABaraNasya Buja-dvayam BhKiH-_18.7d
   śaśiraśmisaṃgamayujā nabhaḥ śriyā BhKir_12.12d	SaSi-raSmi-saMgama-yujA naBaH SriyA BhKiH-_12.12d
   śaśīva doṣāvṛtalocanānāṃ BhKir_17.21c	SaSI-iva doza-AvRta-locanAnAm BhKiH-_17.21c
   śaśīśaśiśuśīḥ śaśan BhKir_15.5d	SaSI-SaSiSuSIH SaSan BhKiH-_15.5d
   śastrāṇi bhūyaḥ pratipedire te BhKir_16.34b	SastrANi BUyas pratipedire te BhKiH-_16.34b
   śastrābhighātais tam ajasram īśas BhKir_17.48c	Sastra-aBiGAtEH tam ajasram ISaH BhKiH-_17.48c
   śaṃkaraṃ tatra śaṃkaram BhKir_15.31d	SaMkaram tatra SaMkaram BhKiH-_15.31d
   śaṃsati sma ghanaromavibhedaḥ BhKir_9.46d	SaMsati sma Gana-roma-viBedaH BhKiH-_9.46d
   śaṃsanty asmin surataviśeṣaṃ śayyāḥ BhKir_5.23d	SaMsanti asmin surata-viSezam SayyAH BhKiH-_5.23d
   śākhābhṛtāṃ pariṇamanti na pallavāni BhKir_5.37d	SAKABRtAm pariNamanti na pallavAni BhKiH-_5.37d
   śāntatā vinayayogi mānasaṃ BhKir_13.37a	SAnta-tA vinaya-yogi mAnasam BhKiH-_13.37a
   śāntaṃ cittam ṛṣer iva BhKir_11.40d	SAntam cittam RzeH iva BhKiH-_11.40d
   śāntārciṣaṃ dīpam iva prakāśaḥ BhKir_17.16d	SAnta-arcizam dIpam iva prakASaH BhKiH-_17.16d
   śāratāṃ gamitayā śaśipādaiś BhKir_9.29a	SAra-tAm gamitayA SaSi-pAdEH BhKiH-_9.29a
   śāsanaṃ kusumacāpavidviṣaḥ BhKir_13.35d	SAsanam kusuma-cApa-vidvizaH BhKiH-_13.35d
   śāsituṃ yena māṃ dharmaṃ BhKir_11.42c	SAsitum yena mAm Darmam BhKiH-_11.42c
   śikṣayā raṇaśikṣayā BhKir_15.37d	SikzayA raNa-SikzayA BhKiH-_15.37d
   śikṣālāghavalīlayā BhKir_15.36b	SikzA-lAGava-lIlayA BhKiH-_15.36b
   śikhaṇḍinām unmadayatsu yoṣitaḥ BhKir_4.16b	SiKaNxinAm unmadayatsu yozitaH BhKiH-_4.16b
   śikharanicayam ekasānusadmā BhKir_10.11c	SiKara-nicayam eka-sAnu-sadmAH BhKiH-_10.11c
   śikhādharajavāsasaḥ BhKir_15.42d	SiKA-aDara-ja-vAsasaH BhKiH-_15.42d
   śikhāḥ piśaṅgīḥ kalamasya bibhratī BhKir_4.36b	SiKAH piSaFgIH kalamasya biBratI BhKiH-_4.36b
   śikhine 'nekaśikhāya te namaḥ BhKir_18.38d	SiKine aneka-SiKAya te namaH BhKiH-_18.38d
   śikhipicchalāñchitakapolabhittinā BhKir_12.41d	SiKi-picCa-lAQCita-kapola-BittinA BhKiH-_12.41d
   śitanistriṃśayujau maheṣudhī BhKir_3.57d	Sita-nistriMSa-yujO mahA-izuDI BhKiH-_3.57d
   śitinā galena vilasanmarīcinā BhKir_12.23d	SitinA galena vilasat-marIcinA BhKiH-_12.23d
   śithilabalam agādhe magnam āpatpayodhau BhKir_1.46b	SiTila-balam agADe magnam Apad-payoDO BhKiH-_1.46b
   śithilaṃ kūlam ivāpagārayaḥ BhKir_2.53d	SiTilam kUlam iva-ApagA-arayaH BhKiH-_2.53d
   śithilīkṛte 'dhikṛtakṛtyavidhau BhKir_6.30b	SiTilIkRte aDikRta-kRtya-viDO BhKiH-_6.30b
   śirasā visāri śaśidhāma bibhratam BhKir_12.24d	SirasA visAri SaSi-DAma biBratam BhKiH-_12.24d
   śirasā harinmaṇinibhaḥ sa vahan BhKir_6.23a	SirasA harinmaNi-niBaH sa vahan BhKiH-_6.23a
   śirasijasaṃyamanākulaikapāṇiḥ BhKir_10.52b	Sirasija-saMyamana-Akula-eka-pANiH BhKiH-_10.52b
   śirasi bhuvanātivartinā BhKir_12.21b	Sirasi Buvana-ativartinA BhKiH-_12.21b
   śirasi virājitam indulekhayā BhKir_18.15b	Sirasi virAjitam indu-leKayA BhKiH-_18.15b
   śirodharāyā rahitaprayāsaḥ BhKir_16.21b	SiroDarAyAH rahita-prayAsaH BhKiH-_16.21b
   śiromaṇiṃ dṛṣṭiviṣāj jighṛkṣataḥ BhKir_14.25d	SiromaNim dRzwi-vizAt jiGRkzataH BhKiH-_14.25d
   śiroruhāṇāṃ śithilaḥ kalāpaḥ BhKir_16.15b	SiroruhANAm SiTilaH kalApaH BhKiH-_16.15b
   śiroruhāḥ svin natapakṣmasantater BhKir_8.35c	SiroruhAH svid nata-pakzma-santateH BhKiH-_8.35c
   śilāghanair nākasadām uraḥsthalair BhKir_8.32a	SilA-GanEH nAkasadAm uraH-sTalEH BhKiH-_8.32a
   śilāmukhāḥ khāṇḍavam attum icchatā BhKir_14.10b	SilA-muKAH KANxavam attum icCatA BhKiH-_14.10b
   śilīmukhacchāyavṛtāṃ dharitrīm BhKir_15.49d	SilImuKa=-CAya-vRtAm DaritrIm BhKiH-_15.49d
   śilīmukhā na vyathayāṃbabhūvuḥ BhKir_17.12b	SilImuKAH na vyaTayAMbaBUvuH BhKiH-_17.12b
   śiloccayaṃ cāruśiloccayaṃ tam BhKir_3.29c	Siloccayam cAru-SilA-uccayam tam BhKiH-_3.29c
   śiloccaye tasya vimārgaṇaṃ nayaḥ BhKir_14.9b	Siloccaye tasya vimArgaNam nayaH BhKiH-_14.9b
   śiva tasmai pavanātane namas te BhKir_18.37d	Siva tasmE pavanAtane namaH te BhKiH-_18.37d
   śivadhvajinyaḥ pratiyodham agrataḥ BhKir_14.58a	Siva-DvajinyaH pratiyoDam agratas BhKiH-_14.58a
   śivapraṇunnena śilīmukhena BhKir_17.58a	Siva-praNunnena SilImuKena BhKiH-_17.58a
   śivabalaiḥ parimaṇḍalatā dadhe BhKir_14.64d	Siva-balEH parimaNxala-tA daDe BhKiH-_14.64d
   śivabhujāhatibhinnapṛthukṣatīḥ BhKir_18.3a	Siva-Buja-Ahati-Binna-pRTu-kzatIH BhKiH-_18.3a
   śivam agātmajayā ca kṛterṣyayā BhKir_5.13c	Sivam aga-AtmajayA ca kRta-IrzyayA BhKiH-_5.13c
   śivam ivānugataṃ gajacarmaṇā BhKir_5.2d	Sivam iva-anugatam gaja-carmaNA BhKiH-_5.2d
   śivam urvīdharavartma samprayān BhKir_3.59b	Sivam urvIDara-vartma samprayAn BhKiH-_3.59b
   śivam aupayikaṃ garīyasīṃ BhKir_2.35a	Sivam Opayikam garIyasIm BhKiH-_2.35a
   śivaṃ nabhovartma sarojavāyubhiḥ BhKir_4.29d	Sivam naBaH-vartma saroja-vAyuBiH BhKiH-_4.29d
   śivaḥ prahlādayāmāsa BhKir_15.30c	SivaH prahlAdayAmAsa BhKiH-_15.30c
   śīdhupānavidhurāsu nigṛhṇan BhKir_9.42a	SIDu-pAna-viDurAsu nigRhNan BhKiH-_9.42a
   śīdhupānavidhureṣu vadhūnāṃ BhKir_9.73a	SIDu-pAna-viDurezu vaDUnAm BhKiH-_9.73a
   śīlayanti yatayaḥ suśīlatām BhKir_13.43d	SIlayanti yatayaH su-SIla-tAm BhKiH-_13.43d
   śukāvalir vyaktaśirīṣakomalā BhKir_4.36c	Suka-AvaliH vyakta-SirIza-komalA BhKiH-_4.36c
   śuklair mayūkhanicayaiḥ parivītamūrtir BhKir_5.42a	SuklEH mayUKa-nicayEH parivIta-mUrtiH BhKiH-_5.42a
   śucibhir guṇair aghamayaṃ sa tamaḥ BhKir_6.20b	SuciBiH guNEH aGa-mayam sa tamaH BhKiH-_6.20b
   śuci bhūṣayati śrutaṃ vapuḥ BhKir_2.32a	Suci BUzayati Srutam vapuH BhKiH-_2.32a
   śucim āsasāda sa vanāntabhuvam BhKir_6.17d	Sucim AsasAda sa vanAnta-Buvam BhKiH-_6.17d
   śucir apsu vidrumalatāviṭapas BhKir_6.13a	SuciH apsu vidruma-latA-viwapaH BhKiH-_6.13a
   śucivalkavītatanur anyatamas BhKir_6.31a	Suci-valka-vIta-tanuH anyatamaH BhKiH-_6.31a
   śucisikatāsv atimānuṣāṇi tābhiḥ BhKir_10.7b	Suci-sikatAsu atimAnuzANi tABiH BhKiH-_10.7b
   śubhānanāḥ sāmburuheṣu bhīravo BhKir_8.42a	SuBa-AnanAH sa-amburuhezu BIravaH BhKiH-_8.42a
   śuṣke 'śanir ivāmarṣo BhKir_11.65c	Suzke aSaniH iva-amarzaH BhKiH-_11.65c
   śūnyam ākīrṇatām eti BhKir_11.27a	SUnyam AkIrNa-tAm eti BhKiH-_11.27a
   śūlaparaśuśaracāpabhṛtair BhKir_12.43c	SUla-paraSu-Sara-cApa-BRtEH BhKiH-_12.43c
   śṛṅgāṇy amuṣya bhajate gaṇabhartur ukṣā BhKir_5.42c	SRFgANi amuzya Bajate gaNa-BartuH ukzA BhKiH-_5.42c
   śṛṅgāt sumeror iva tigmaraśmiḥ BhKir_2.57d	SRFgAt sumeroH iva tigmaraSmiH BhKiH-_2.57d
   śṛṇāti yas tān prasabhena tasya te BhKir_14.13b	SRNAti yaH tAn prasaBena tasya te BhKiH-_14.13b
   śeṣam iva surasaritpayasāṃ BhKir_12.24c	Sezam iva surasarit-payasAm BhKiH-_12.24c
   śailapatir iva mahendradhanuḥ- BhKir_12.9c	SEla-patiH iva mahA-indraDanuH BhKiH-_12.9c
   śailaruddhavapuṣaḥ sitaraśmeḥ BhKir_9.19b	SEla-rudDa-vapuzaH sitaraSmeH BhKiH-_9.19b
   śailavāsam anunīya lambhitaḥ BhKir_13.67d	SEla-vAsam anunIya lamBitaH BhKiH-_13.67d
   śocanti santo hy upakāripakṣam BhKir_17.40d	Socanti santaH hi upakAri-pakzam BhKiH-_17.40d
   śobhāṃ babandha vadaneṣu madāvaśeṣaḥ BhKir_9.77d	SoBAm babanDa vadanezu mada-avaSezaH BhKiH-_9.77d
   ścyotannidāghasalilāṅgulinā kareṇa BhKir_5.29d	Scyotat-nidAGa-salila-aFgulinA kareNa BhKiH-_5.29d
   ścyotanmayūkhe 'pi himadyutau me BhKir_3.8a	Scyotat-mayUKe api hima-dyutO me BhKiH-_3.8a
   śyāmībhavanty anudinaṃ nalinīvanāni BhKir_5.37b	SyAmIBavanti anudinam nalinI-vanAni BhKiH-_5.37b
   śraddheyā vipralabdhāraḥ BhKir_11.35a	SradDeyAH vipralabDAraH BhKiH-_11.35a
   śramam ādadhāv asukaraṃ na tapaḥ BhKir_6.19c	Sramam AdaDO asukaram na tapaH BhKiH-_6.19c
   śramātiriktair jaghanāni gauravaiḥ BhKir_8.23d	Srama-atiriktEH jaGanAni gOravEH BhKiH-_8.23d
   śramo nu tāsāṃ madano nu paprathe BhKir_8.53d	SramaH nu tAsAm madanaH nu papraTe BhKiH-_8.53d
   śravaṇaniyamitena taṃ nidadhya BhKir_10.57c	SravaNa-niyamitena tam nidaDya BhKiH-_10.57c
   śriyam atiśayinīṃ sametya jagmur BhKir_10.25c	Sriyam atiSayinIm sametya jagmuH BhKiH-_10.25c
   śriyam adhikaviśuddhāṃ vahnidāhād iva dyauḥ BhKir_16.62d	Sriyam aDika-viSudDAm vahni-dAhAt iva dyOH BhKiH-_16.62d
   śriyaṃ vikarṣaty apahanty aghāni BhKir_3.7a	Sriyam vikarzati apahanti aGAni BhKiH-_3.7a
   śriyaṃ sapatnīvadanād ivādade BhKir_8.50d	Sriyam sapatnI-vadanAt iva-Adade BhKiH-_8.50d
   śriyaḥ kurūṇām adhipasya pālanīṃ BhKir_1.1a	SriyaH kurUNAm aDipasya pAlanIm BhKiH-_1.1a
   śriyā hasadbhiḥ kalamāni sasmitair BhKir_8.44a	SriyA hasadBiH kalamAni sa-smitEH BhKiH-_8.44a
   śrīmattāṃ harisakhavāhinīniveśaḥ BhKir_7.27b	SrImat-tAm hari-saKa-vAhinI-niveSaH BhKiH-_7.27b
   śrīmadbhir niyamitakandharāparāntaiḥ BhKir_7.37a	SrImadBiH niyamita-kanDarA-para-antEH BhKiH-_7.37a
   śrīmadbhiḥ sarathagajaiḥ surāṅganānāṃ BhKir_7.1a	SrImadBiH sa-raTa-gajEH sura-aFganAnAm BhKiH-_7.1a
   śrīmallatābhavanam oṣadhayaḥ pradīpāḥ BhKir_5.28a	SrI-mat-latA-Bavanam ozaDayaH pradIpAH BhKiH-_5.28a
   śrīmān kṣarallohitadigdhadehaḥ BhKir_17.50b	SrImAn kzarat-lohita-digDa-dehaH BhKiH-_17.50b
   śrutam apy adhigamya ye ripūn BhKir_2.41a	Srutam api aDigamya ye ripUn BhKiH-_2.41a
   śrutisukham upavīṇitaṃ sahāyair BhKir_10.38a	Sruti-suKam upavINitam sahAyEH BhKiH-_10.38a
   śrutiḥ śrayaty unmadahaṃsaniḥsvanaṃ BhKir_4.25c	SrutiH Srayati unmada-haMsa-niHsvanam BhKiH-_4.25c
   śreyasīṃ tava samprāptā BhKir_11.11a	SreyasIm tava samprAptA BhKiH-_11.11a
   śreyaso 'py asya te tāta BhKir_11.44a	SreyasaH api asya te tAta BhKiH-_11.44a
   śreyaḥ parisnauti tanoti kīrtim BhKir_3.7b	SreyaH parisnOti tanoti kIrtim BhKiH-_3.7b
   śreyāṃsi labdhum asukhāni vināntarāyaiḥ BhKir_5.49d	SreyAMsi labDum asuKAni vinA-antarAyEH BhKiH-_5.49d
   śliṣyataḥ priyavadhūr upakaṇṭhaṃ BhKir_9.27a	SlizyataH priya-vaDUH upakaNWam BhKiH-_9.27a
   śvasanacalitapallavādharoṣṭhe BhKir_10.34a	Svasana-calita-pallava-aDara-uzWe BhKiH-_10.34a
   śvas tvayā sukhasaṃvittiḥ BhKir_11.34a	Svas tvayA suKa-saMvittiH BhKiH-_11.34a
   sa eṣa kailāsa upāntasarpiṇaḥ BhKir_5.35c	saH eza kElAsaH upAnta-sarpiNaH BhKiH-_5.35c
   sakalabhuvanābhitāpinaḥ BhKir_12.34b	sakala-Buvana-aBitApinaH BhKiH-_12.34b
   sakalam ivāpi dadhan mahīdharasya BhKir_10.11d	sakalam iva-api daDan mahIDarasya BhKiH-_10.11d
   sakalam ivāsakalena locanena BhKir_10.57d	sakalam iva-asakalena locanena BhKiH-_10.57d
   sakalahaṃsagaṇaṃ śuci mānasam BhKir_5.13b	sa-kala-haMsa-gaNam Suci mAnasam BhKiH-_5.13b
   sakalahaṃ sagaṇaṃ śucimānasam BhKir_5.13d	sa-kalaham sa-gaNam Suci-mAnasam BhKiH-_5.13d
   sakalaṃ kampayatīva śailarājam BhKir_13.8d	sakalam kampayati-iva SElarAjam BhKiH-_13.8d
   sakalaḥ saṃśayam āruroha śailaḥ BhKir_13.16d	sakalaH saMSayam Aruroha SElaH BhKiH-_13.16d
   sakalā hanti sa śaktisampadaḥ BhKir_2.37d	sakalAH hanti sa Sakti-sampadaH BhKiH-_2.37d
   sa kāraṇānām api kāraṇena BhKir_17.14d	sa kAraNAnAm api kAraNena BhKiH-_17.14d
