   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   bhaiṣajyasenācetanāḥ sattvā jāyante / acetanā niruddhyante / asmākamapi	BEzajya-sena-acetanAH sattvAH jAyante / acetanAH nirudDi-ante / asmAkam-api
   bhaiṣajyasena śarīramacetanabhūtaṃ manyitavyaṃ / āha / katame bhagavan	BEzajyasena SarIram-acetana-BUtam manyitavyam / Aha / katame Bagavan
   sattvā ye daharāḥ katame vṛddhāḥ bhagavān āha - santi bhaiṣajyasena	sattvAH ye daharAH katame vRdDAH BagavAn Aha  santi BEzajyasena
   daharāḥ sattvā santi vṛddhāḥ āha / katame bhagavan daharā katame vṛddhāḥ	daharAH sattvAH santi vRdDAH Aha / katame Bagavan daharA katame vRdDAH
   āha / ye te sāmprataṃvikīrṇā te vṛddhāḥ ye te vṛkṣebhyo nirjātāste daharā	Aha / ye te sAmprataMvikIrNA te vRdDAH ye te vRkzeByaH nirjAtAH-te daharA
   / āha / icchāmi bhagavan daharāṇi sattvāni draṣṭum	/ Aha / icCAmi Bagavan daharANi sattvAni drazwum
   [SaSū 225] atha khalu sa bhagavāṃścandrāvatikṣetrastathāgato dakṣiṇaṃ	[SaSU 225] aTa Kalu sa BagavAn=-candrO=-atikzetraH-taTAgataH dakziNam
   pāṇitalaṃ prasārayati / atha daśabhyo digbhyaḥ koṭīśatasahasraṃ	pANitalam prasArayati / aTa daSaByaH digByaH kowI-Sata-sahasram
   janakāyānāṃ āgacchanti / adhastādūrdhvāyān diśi paṃcāśat koṭī	jana-kAyAnAm AgacCanti / aDastAt-UrDvAyAn diSi paMcASat kowI
   janakāyasyāgacchanti / āgatvā ca te janakāyā bhagavataḥ pādau	jana-kAyasya-AgacCanti / AgatvA ca te janakAyAH BagavataH pAdO
   śirasābhivandya na ca tathāgatamālapanti na saṃlapanti	SirasA-aBivandya na ca taTAgatam-Alapanti na saMlapanti
   tūṣṇīṃbhāvenādhivāsayanti sma /	tUzNIMBAvena-aDivAsayanti sma /
   [SaSū 226] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	[SaSU 226] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - kimete bhagavan sattvāstathāgataṃ nālapanti na	Bagavantam-etat-avocat  kim-ete Bagavan sattvAH-taTAgatam na-alapanti na
   saṃlapanti tūṣṇīṃbhāvenādhivāsayanti / bhagavān āha - na jānāsi	saMlapanti tUzNIMBAvena-aDivAsayanti / BagavAn Aha  na jAnAsi
   bhaiṣajyasena acetanaḥ pṛthivīpradeśo nālapanti na saṃlapanti / (na)	BEzajyasena acetanaH pRTivI-pradeSaH na-alapanti na saMlapanti / (na)
   dharmaskandhaṃ prajānāti / tatkasya hetoḥ ihaikatyā bhaiṣajyasena daharā	Darma-skanDam prajAnAti / tat-kasya hetoH iha-ekatyA BEzajyasena daharA
   sattvāḥ notpādaṃ jānanti na nirodhaṃ jānanti / dṛṣṭvā ca na jarā na	sattvAH na-utpAdam jAnanti na niroDam jAnanti / dRzwvA ca na jarA na
   vyādhirna śoko na paridevaḥ na priyaviprayogo nāpriyasaṃprayogaḥ na	vyADiH-na SokaH na paridevaH na priya-viprayogaH na-apriya-saMprayogaH na
   priyādvinābhāvaḥ na maraṇaṃ nākālamṛtyu / nāpi tāni sarvakaṭukāni duḥkhāṇi	priyAt-vinABAvaH na maraNam na-akAla-mRtyu / na-api tAni sarva-kawukAni duHKANi
   dṛṣṭvā udyogamāpadyante kutaste jñāsyanti / punaḥ punaste bhaiṣajyasena	dRzwvA udyogam-Apadyante kutas-te jQAsyanti / punar punar-te BEzajyasena
   śikṣayitavyāni /	SikzayitavyAni /
   [SaSū 227] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	[SaSU 227] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - kuto bhagavan daharā sattvā āgacchanti /	Bagavantam-etat-avocat  kutas Bagavan daharA sattvAH AgacCanti /
   kutaścyavanti / kutropapadyante / ye dharmaṃ na jānanti (na buddhyanti) /	kutas-cyavanti / kutra-upapadyante / ye Darmam na jAnanti (na budDi-anti) /
   bhagavān āha - śṛṇu bhaiṣajyasena yan mānuṣyakamātmabhāvaṃ pratigṛhṇanti /	BagavAn Aha  SRNu BEzajyasena yat mAnuzyakam-Atma-BAvam pratigRhNanti /
   tanna rupyakāreṇa kṛtaṃ / na cīmarakāreṇa kṛtaṃ / na kāṣṭhakāreṇa kṛtaṃ /	tat-na rupya-kAreNa kRtam / na ci-imarakAreNa kRtam / na kAzWakAreNa kRtam /
   na kulālena kṛtaṃ / na rājabhayenotpadyate / strīpuruṣasaṃyogāt pāpena	na kulAlena kRtam / na rAja-Bayena-utpadyate / strI-puruza-saMyogAt pApena
   karmaṇā saṃyuktaṃ saṃbhavati / punaḥ punaśca teṣāṃ sattvānāṃ śilpāni	karmaNA saMyuktam saMBavati / punar punar-ca tezAm sattvAnAm SilpAni
   śikṣāpayanti / anantaṃ ca teṣāṃ kaṭukaṃ duḥkhaṃ saṃbhavati / kaṭukā	SikzApayanti / anantam ca tezAm kawukam duHKam saMBavati / kawukA
   vedanāḥ tatra teṣāṃ pūrvakṛtānāṃ pāpakānāṃ karmaṇāṃ vipākamanubhavanti /	vedanAH tatra tezAm pUrva-kRtAnAm pApakAnAm karmaNAm vipAkam-anuBavanti /
   ihaiva te bhaiṣajyasena daharāḥ sattvā āgatā ya ete (nālapanti na	iha-eva te BEzajyasena daharAH sattvAH AgatAH ye ete (nAlapanti na
   saṃlapanti) nottiṣṭhanti ya īdṛśān duḥkhāṃ vedanāmanubhavanti / anena	saMlapanti) na-uttizWanti ye IdRSAn duHKAm vedanAm-anuBavanti / anena
   kāraṇena bhaiṣajyasena nālapanti na saṃlapanti / evaṃ te bhaiṣajyasena	kAraNena BEzajyasena na-alapanti na saMlapanti / evam te BEzajyasena
   daharāḥ sattvāḥ kuśalamajānānāḥ notpādaṃ jānanti na nirodhaṃ jānanti / na	daharAH sattvAH kuSalam-ajAnAnAH na-utpAdam jAnanti na niroDam jAnanti / na
   ca te mānuṣyakamātmabhāvaṃ pratilapsyante / ime ucyante bhaiṣajyasena	ca te mAnuzyakam-Atma-BAvam pratilapsyante / ime ucyante BEzajyasena
   daharāḥ sattvā /	daharAH sattvAH /
   [SaSū 228] āha / kathaṃ bhagavan daharāḥ sattvā utpadyante kathaṃ	[SaSU 228] Aha / kaTam Bagavan daharAH sattvAH utpadyante kaTam
   nirudhyante / bhagavān āha - tadyathāpi nāma bhaiṣajyasena kaścideva	niruDyante / BagavAn Aha  tat-yaTA-api nAma BEzajyasena kaScid-eva
   puruṣa agniṃ kāṣṭhena parimārjayetta tasyānupūrveṇa taṃ kāṣṭhamagninā	puruza agnim kAzWena parimArjayet-ta tasya-AnupUrveNa tam kAzWam-agninA
   pradīpyeta / evameva bhaiṣajyasena mānuṣyātmabhāvaṃ prathamaṃ saṃjāyate /	pradIpyeta / evam-eva BEzajyasena mAnuzya-Atma-BAvam praTamam saMjAyate /
   jātaṃ ca san vedanāṃ vedayati / āha / ko trābhijāto jātaḥ kaḥ parinirvṛtaḥ	jAtam ca san vedanAm vedayati / Aha / kaH tra-aBijAtaH jAtaH kaH parinirvRtaH
   bhagavān āha - buddha eva bhaiṣajyasenābhijāto jātaḥ tathāgata eva	BagavAn Aha  budDaH eva BEzajya-sena-aBijAtaH jAtaH taTAgataH eva
   parinirvṛtaḥ	parinirvRtaH
   [SaSū 229] tadyathāpi nāma bhaiṣajyasena kasmiṃcidandhakāragṛhe timirāgāre	[SaSU 229] tat-yaTA-api nAma BEzajyasena kasmiMcid-anDakAra-gRhe timira-AgAre
   rājñā puruṣo bandhanāvarodhaḥ kṛtaḥ syāt tatra sa puruṣo 'ndhakāragṛhe	rAjQA puruzaH banDana-avaroDaH kRtaH syAt tatra sa puruzaH anDakAra-gRhe
   praviṣṭaḥ antargṛhe timiraṃ timirāgāraṃ paśyet athānyaḥ ka kaścit puruṣaḥ	pravizwaH antargRhe timiram timira-AgAram paSyet aTa-anyaH kaH kaScid puruzaH
   pūrvaduḥkhavedanābhirdṛṣṭaścintayennaṣṭa eṣa puruṣaḥ anabhyasitaḥ duḥkho	pUrva-duHKa-vedanABiH-dRzwaH-cintayet-nazwaH eza puruzaH anaByasitaH duHKaH-
   jīvite vināśaṃ yāsyati / sa tatrāgnimānayitvā tatrābhyantargṛhe	jIvite vinASam yAsyati / sa tatra-agnim-AnayitvA tatra-aByantar-gRhe
   sukṣmamagnim cchorayet sa ca puruṣaścārakāvaruddhastamagniraśmiṃ	sukzmam-agnim cCorayet sa ca puruzaH-cAraka-avarudDaH-tam-agni-raSmim
   paśyeddṛṣṭvā cāśvasto bhaved utsāhaṃ ca vardhayet sa cāgniḥ kenacideva	paSyet-dRzwvA ca-ASvastaH Bavet utsAham ca varDayet sa ca-agniH kenacid-eva
   hetunā prajvaleta; tena cāgninjvālena tadgṛhaṃ samantataḥ prajvalet sa ca	hetunA prajvaleta; tena ca-agnin-jvAlena tad-gRham samantataH prajvalet sa ca
   puruṣastatraiva dahyet taṃ ca dagdhaṃ rājā śrutvā cintāyāsamāpadyeta /	puruzaH-tatra-eva dahyet tam ca dagDam rAjA SrutvA cintA-AyAsam-Apadyeta /
   tasyaivaṃ bhavenna bhūyo 'haṃ svaviṣaye kaṃcit sattvaṃ cārakāvarodhaṃ	tasya-evam Bavet-na BUyas aham sva-vizaye kaMcid sattvam cAraka-avaroDam
   kariṣyāmi / atha sa rājā teṣāṃ svaviṣayanivāsināṃ sattvānāmevaṃ	karizyAmi / aTa sa rAjA tezAm sva-vizaya-nivAsinAm sattvAnAm-evam
   samāśvāsayet mā yūyaṃ bhavantaḥ sattvā bhāyatha mā utrasatha; abhayaṃ	samASvAsayet mA yUyam BavantaH sattvAH BAyaTa mA utrasaTa; aBayam
   yuṣmākaṃ bhavatuḥ na mama viṣaye bhūyo daṇḍopacāraṃ (vā) bandhanāvarodhaṃ	yuzmAkam BavatuH na mama vizaye BUyas daNxa-upacAram (vA) banDana-avaroDam
   vā bhaviṣyati / na ca kasyacit sattvasya jīvitavināśaṃ kariṣyāmi /	vA Bavizyati / na ca kasyacid sattvasya jIvita-vinASam karizyAmi /
   nirbhayā bhavantaḥ sattvā yūyaṃ bhavatha /	nirBayAH BavantaH sattvAH yUyam BavaTa /
   [SaSū 230] evameva bhaiṣajyasena tathāgataḥ sarvakleśadagdhaḥ	[SaSU 230] evam-eva BEzajyasena taTAgataH sarva-kleSa-dagDaH
   sarvavyādhipraśāntaḥ yathā sa puruṣo gṛhadāhāt svakāyaṃ dahati /	sarva-vyADi-praSAntaH yaTA sa puruzaH gRha-dAhAt sva-kAyam dahati /
   (sarva)sattvānāmarthāya hitāya sukhāya (ca) pratipanno bhavati / sattvān	(sarva)-sattvAnAm-arTAya hitAya suKAya (ca) pratipannaH Bavati / sattvAn
   vadhabandhanāvarodheṣu parimocayedevameva tathāgato	vaDa-banDana-avaroDezu parimocayet-evam-eva taTAgataH-
   rāgadveṣamohamalaprahīṇaḥ sarvasattvānān dīpa iva loka utpannaḥ sattvān	rAga-dveza-moha-mala-prahINaH sarva-sattvAnAn dIpaH iva loke utpannaH sattvAn
   mocayati narakatiryakpretāsurakāyebhyaḥ daharāṃśca (sattvāṃ) vṛddhāṃśca	mocayati naraka-tiryak-preta-asura-kAyeByaH daharAn=-ca (sattvAM) vRdDAn=-ca
   sattvān mocayati /	sattvAt mocayati /
   [SaSū 231] atha tāvadevoparyantarīkṣādimā gāthā niścacārā; //	[SaSU 231] aTa tAvat-eva-upari-antarIkzAt-imA gATAH niScacArA; //
   (76) aho kṣetraṃ jinakṣetraṃ sukṣtremabhisaṃskṛtaṃ /	(76) aho kzetram jina-kzetram sukztrem-aBisaMskRtam /
   vuptāni yatra bījāni na vināśaṃ brajanti hi /	vuptAni yatra bIjAni na vinASam brajanti hi /
   (77) buddhakṣetraṃ jinakṣetraṃ praśastaṃ jinaśāsanaṃ /	(77) budDa-kzetram jina-kzetram praSastam jina-SAsanam /
   śāstā karotyupāyaṃ hi sarvasattvaparigrahe /	SAstA karoti-upAyam hi sarva-sattva-parigrahe /
   (78) sthito nirvānadhātau san dṛśyate dharaṇītale /	(78) sTitaH nirvAna-DAtO san dRSyate DaraNI-tale /
   śāntaṃ kṛtvā sarvalokaṃ buddhaḥ śodheti dakṣiṇāṃ /	SAntam kRtvA sarva-lokam budDaH SoDA-iti dakziNAm /
   (79) moceti navakān sattvān moceti ca purāṇakān	(79) mocA-iti navakAn sattvAt mocA-iti ca purANakAn
   mocayitvānupūrveṇa sarvasattvāstridhātukāt	mocayitvA-AnupUrveNa sarva-sattvAH-triDAtukAt
   (80) baddhā hi narakadvārastiryakpretā vimocitāḥ	(80) badDAH hi naraka-dvAraH-tiryak-pretAH vimocitAH
   śāntiḥ kṛtā hi lokesmin paraloke sukhaṃ kṛtaṃ //	SAntiH kRtA hi lokesmin para-loke suKam kRtam //
   [SaSū 232] atha khalu bhagavāṃstasyāṃ velāyāṃ smitaṃ prāduṣcakāra / āha ca	[SaSU 232] aTa Kalu BagavAn=-tasyAm velAyAm smitam prAduzcakAraH / Aha ca
   (81) sādhu darśanu sādhūnāṃ buddhānām sādhu darśanaṃ /	(81) sADu darSanu sADUnAm budDAnAm sADu darSanam /
   sādhu dharmaguṇaḥ kṣetraṃ saṃghasāmagridarśanam	sADu Darma-guNaH kzetram saMGa-sAmagri-darSanam
   (82) sādhu saṃghātanirdeśaṃ sarvapāpavināśanaṃ	(82) sADu saMGAta-nirdeSam sarva-pApa-vinASanam
   ye śroṣyanti idaṃ sūtraṃ padaṃ prāpsyantyanuttaraṃ	ye Srozyanti idam sUtram padam prApsyanti-anuttaram
   [SaSū 233] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo yena	[SaSU 233] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH yena
   bhagavāṃstenāṃjaliṃ praṇamayya bhagavantametadavocat - ko bhagavan hetuḥ	BagavAn=-tena-aMjalim praNamayya Bagavantam-etat-avocat  kaH Bagavan hetuH
   kaḥ pratyayaḥ smitasya prāduṣkaraṇāya / bhagavān āha - paśyasi tvaṃ	kaH pratyayaH smitasya prAduzkaraNAya / BagavAn Aha  paSyasi tvam
   kulaputraitāni daharāṇi sattvāni / āha / paśyāmi bhagavan paśyāmi sugata;	kula-putra-etAni daharANi sattvAni / Aha / paSyAmi Bagavan paSyAmi sugata;
   bhagavān āha - sarva ete bhaiṣajyasenādyaiva daśabhūmipratiṣṭhitā	BagavAn Aha  sarve ete BEzajya-sena-adya-eva daSa-BUmi-pratizWitA
   bodhisattvā bhaviṣyanti //	boDisattvAH Bavizyanti //
   [SaSū 234] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo	[SaSU 234] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH-
   'śītiryojanasahasrāṇyūrdhavamuparyantarīkṣe	aSItiH-yojana-sahasrANi-UrDavam-upari-antarIkze
   sthādathāśītirdevaputrakoṭīsahasrāṇi bhagavata upari puṣpavarṣaṃ	sTAt-aTa-aSItiH-deva-putra-kowI-sahasrANi BagavataH upari puzpa-varzam
   pravarṣanti te ca daharāḥ sattvā dṛṣṭvā sarve 'ñjalayaḥ kṛtvā	pravarzanti te ca daharAH sattvAH dRzwvA sarve aQjalayaH kRtvA
   namaskurvanti /	namaskurvanti /
   [SaSū 235] atha khalu bhaiṣajyaseno bodhisattvo mahāsattvo antarīkṣastha	[SaSU 235] aTa Kalu BEzajyasenaH boDisattvaH mahAsattvaH antarIkza-sTa
   evaṃ vāg bhāṣate / yena trisāhasramahāsāhasro lokadhātuḥ śabdenāpūrayati /	evam vAc BAzate / yena tri-sAhasra-mahA-sAhasraH lokaDAtuH Sabdena-ApUrayati /
   dvātriṃśan mahānarakopapannāḥ sattvāstaṃ śabdaṃ śṛṇvanti / dvātriṃśacca	dvAtriMSat mahA-naraka-upa-pannAH sattvAH-tam Sabdam SRNvanti / dvAtriMSat-ca
   devanikāyāstaṃ śabdaṃ śṛṇvanti / trisāhasramahāsāhasraśca lokadhātuḥ	deva-nikAyAH-tam Sabdam SRNvanti / tri-sAhasra-mahA-sAhasraH-ca lokaDAtuH
   ṣaḍvikāraṃ prakampitaḥ caturaśītiśca nāgarājasahasrāṇi mahāsamudre	zaz-vikAram prakampitaH caturaSItiH-ca nAga-rAja-sahasrANi mahA-samudre
   saṃkṣubdāni / triṃśat koṭīsahasrāṇi rākṣasānām imaṃ jaṃbūdvīpamāgatāni /	saMkzubdAni / triMSat kowI-sahasrANi rAkzasAnAm imam jaMbUdvIpam-AgatAni /
   paṃcaviṃśat koṭīsahasrāṇi pretānāṃ yakṣānāṃ rākṣasānāmaḍakavatyāṃ	paMcaviMSat kowI-sahasrANi pretAnAm yakzAnAm rAkzasAnAmaxakavatyAm
   rājadhānyāmāgatāni bhagavataḥ purato mahāsannipātaḥ saṃsthitaḥ //	rAjaDAnyAm-AgatAni BagavataH puratas mahAsannipAtaH saMsTitaH //
   [SaSū 236] atha khalu bhagavāṃsteṣān daharāṇāṃ sattvānān dharman deśayati	[SaSU 236] aTa Kalu BagavAn=-tezAn daharANAm sattvAnAn Darman deSayati
   / daśasu dikṣu lokadhātukoṭīniyutaśatasahasreṣu bodhisattvā mahāsattvāḥ	/ daSasu dikzu lokaDAtu-kowI-niyuta-Sata-sahasrezu boDisattvAH mahAsattvAH
   svakasvakābhyo ṛddhibhirāgatāni / atha khalu bhaiṣajyaseno bodhisattvo	svaka-svakAByaH RdDiBiH-AgatAni / aTa Kalu BEzajyasenaH boDisattvaH-
   mahāsattvo yena bhagavāṃstenāṃjaliṃ praṇamayya bhagavantametadavocat -	mahAsattvaH yena BagavAn=-tena-aMjalim praNamayya Bagavantam-etat-avocat -
   bahavo bhagavan bahavo sugata bodhisattvāḥ sannipatitāḥ sanniṣaṇṇāḥ bahūni	bahavaH Bagavan bahavaH sugata boDisattvAH sannipatitAH sannizaNNAH bahUni
   ca bhagavan devanāgāni sannipatitāni sanniṣaṇṇāni / punaścānekāni	ca Bagavan deva-nAgAni sannipatitAni sannizaNNAni / punar-ca-anekAni
   rākṣasapretānyaḍakavatyāṃ rājadhānyamāgatya sannipatitāni	rAkzasa-pretAn-i-axakavatyAm rAjaDAnyam-Agatya sannipatitAni
   sanniṣaṇṇānyabhūvan dharmaśravaṇāya //	sannizaNNAni-aBUvan Darma-SravaNAya //
   [SaSū 237] tatra khalu bhagavān bhaiṣajyasenaṃ bodhisattvaṃ	[SaSU 237] tatra Kalu BagavAn BEzajya-senam boDisattvam
   mahāsattvamāmantrayati / āgaccha kulaputra; atha khalu bhaiṣajyaseno	mahAsattvam-Amantrayati / AgacCa kula-putra; aTa Kalu BEzajya-senaH-
   bodhisattvo mahāsattvo ṛddhibalenordhvādavatīrya yena bhagavāṃstenāṃjaliṃ	boDisattvaH mahAsattvaH RdDi-balena-UrDvAt-avatIrya yena BagavAn=-tena-aMjalim
   praṇamayya bhagavantametadavocat - dharmaskandho (bhagavan) dharmaskandha	praNamayya Bagavantam-etat-avocat  Darma-skanDaH (Baga-van) Darma-skanDa
   iti / bhagavannucyate kiyatā bhagavan dharmaskandha ityucyate / bhagavān	iti / Bagavan=-ucyate kiyatA Bagavan Darma-skanDaH iti-ucyate / BagavAn
   āha - dharmaskandha iti kulaputrocyate / yo brahmacaryaṃ paryeṣate	Aha  Darma-skanDaH iti kula-putra-ucyate / yaH brahmacaryam paryezate
   brahmacaryaṃ paryeṣya sarvapāpādviramati / paśyasi tvaṃ kulaputrāmī daharā	brahmacaryam paryezya sarva-pApAt-viramati / paSyasi tvam kula-putrA-amI daharA
   sattvā abrahmacaryād viramanti / āha paśyāmi bhagavan paśyāmi sugata; āha	sattvAH abrahmacaryAt viramanti / Aha paSyAmi Bagavan paSyAmi sugata; Aha
   / te nūnan dhāraṇīpratilabdhā bhaviṣyanti / sarvadharmasamanvāgatāśca	/ te nUnan DAraNI-pratilabDAH Bavizyanti / sarva-Darma-samanvAgatAH-ca
   bhaviṣyanti / āha / kenopāyena bhagavan bahūni sattvāni sannipatitāni /	Bavizyanti / Aha / kena-upAyena Bagavan bahUni sattvAni sannipatitAni /
   dharmaskandhaṃ śrotum	Darma-skanDam Srotum
   [SaSū 238] atha khalu bhagavāṃ bhaiṣajyasenaṃ bodhisattvaṃ	[SaSU 238] aTa Kalu BagavAm BEzajya-senam boDisattvam
   mahāsattvamāmantrayati / bahavo bhaiṣajyasena sattvāḥ santi / ye jātireva	mahAsattvam-Amantrayati / bahavaH BEzajyasena sattvAH santi / ye jAtiH-eva
   duḥkhaṃ na śṛṇvanti / jarā eva duḥkhaṃ na śṛṇvanti / vyādhireva duḥkhaṃ na	duHKam na SRNvanti / jarAH eva duHKam na SRNvanti / vyADiH-eva duHKam na
   śṛṇvanti / śokaduḥkhaṃ paridevaduḥkhaṃ	SRNvanti / Soka-duHKam parideva-duHKam
   priyaviprayogaduḥkhamapriyasaṃprayogaduḥkhaṃ maraṇaṃ tu sarvaduḥkhaṃ	priya-viprayoga-duHKam-apriya-saMprayoga-duHKam maraNam tu sarva-duHKam
   harate / kāyajīvitamidamucyate bhaiṣajyasena sarvaduḥkham	harate / kAya-jIvitam-idam-ucyate BEzajyasena sarva-duHKam
   [SaSū 239] atha khalu te daharāḥ sattvā imannirdeśaṃ śrutvā yena	[SaSU 239] aTa Kalu te daharAH sattvAH imat-nirdeSam SrutvA yena
   bhagavāṃstenāṃjalayaḥ praṇamayya bhagavantametadavocan asmākamapi bhagavan	BagavAn=-tena-aMjalayaH praNamayya Bagavantam-etat-avocan asmAkam-api Bagavan
   marttavyaṃ / bhagavān āha - yuṣmābhirapi kulaputrāḥ sarvasattvaiśca	marttavyam / BagavAn Aha  yuzmABiH-api kula-putrAH sarva-sattvEH-ca
   martavyamiti / āha / kathaṃ bhagavan maraṇakālamākramati / bhagavān āha -	martavyam-iti / Aha / kaTam Bagavat maraNa-kAlam-Akramati / BagavAn Aha -
   maraṇakāle kulaputrāścarimavijñāne vijñānanirodho nāma vātaḥ	maraNa-kAle kula-putrAH-carima-vijQAne vijQAnaniroDaH nAma vAtaH
   vijñānavibhramo nāma vātaḥ vijñānasaṃkṣobhasaṃyukto nāma vātaḥ ime trayaḥ	vijQAnaviBramaH nAma vAtaH vijQAna-saMkzoBa-saMyuktaH nAma vAtaH ime trayaH
   kulaputrā vātā maraṇakālasamaye carimavijñāne saṃluḍanti (saṃkṣubhanti)	kula-putrAH vAtAH maraNa-kAla-samaye carima-vijQAne saMluxanti (saMkzuBanti)
   saṃkṣobhamutpādayanti / ta āhu / katamāni bhagavan trīṇi maraṇakālasamaye	saMkzoBam-utpAdayanti / te Ahu / katamAni Bagavan trINi maraNa-kAla-samaye
   vijñānanirodhe vartamāne śarīraṃ nirghātayanti / bhagavān āha -	vijQAna-niroDe vartamAne SarIram nirGAtayanti / BagavAn Aha -
   śastrakaśca nāma mārṣāḥ sūcakaśca nāma mārṣāḥ ṣṭhīlakaśca nāma; ye śarīraṃ	SastrakaH-ca nAma mArzAH sUcakaH-ca nAma mArzAH zWIlakaH-ca nAma; ye SarIram
   nirghātayaṃti / āha / kimetadbhagavaṃccharīraṇ nāma; bhagavān āha -	nirGAtayaMti / Aha / kim-etat-Bagavan=-SarIraN nAma; BagavAn Aha -
   ādīptakaśca nāma mārṣā dahanavāsakaśca nāma; meḍikaśca nāma; śṛṃgārikaśca	AdIptakaH-ca nAma mArzAH dahanavAsakaH-ca nAma; mexikaH-ca nAma; SRMgArikaH-ca
   nāma / śmaśānikaśca nāma; durbuddhikaśca nāma / bhāragurukaśca nāma;	nAma / SmaSAnikaH-ca nAma; durbudDikaH-ca nAma / BAra-gurukaH-ca nAma;
   jātiparipīḍitaśca nāma; jātisaṃkṣubhitaśca nāma; jīvitaparibhāvikaśca	jAti-paripIxitaH-ca nAma; jAti-saMkzuBitaH-ca nAma; jIvita-pariBAvikaH-ca
   nāma; maraṇapriyaviprayogakaśca nāma; ime mārṣā ucyante śarīranāmānaḥ	nAma; maraNa-priya-viprayogakaH-ca nAma; ime mArzAH ucyante SarIra-nAmAnaH
   [SaSū 240] ta āhu / kathaṃ bhagavan mṛyate kathaṃ jīvati / bhagavān āha -	[SaSU 240] te Ahu / kaTam Bagavat mRyate kaTam jIvati / BagavAn Aha -
   vijñānaṃ nāmāyuṣmanto mriyate / puṇyaṃ nāmāyuṣmanto jīvati / śarīraṃ nāma	vijQAnam nAma-AyuzmantaH mriyate / puNyam nAma-AyuzmantaH jIvati / SarIram nAma
   mārṣā mṛyate snāyukoṭībhirbaddham caturaśītibhiḥ sirākūrvasahasrai	mArzAH mRyate snAyu-kowIBiH-badDam caturaSItiBiH sirA-kUrva-sahasrE
   romakūpairbaddham dvādaśabhiḥ sahasrairaṃgānāṃ baddhaṃ /	romakUpEH-badDam dvAdaSaBiH sahasrEH-aMgAnAm badDam /
   ṣaṣṭyuttaraistribhiḥ śatairasthīnāṃ baddham caturaśītiḥ	zazwi-uttarEH-triBiH SatEH-asTInAm badDam caturaSItiH
   kṛmikulaśatānyabhyantare vasanti teṣāṃ sarveṣāṃ praṇakānāṃ maraṇaṃ	kRmi-kula-SatAni-aByantare vasanti tezAm sarvezAm praNakAnAm maraNam
   saṃvidyate / maraṇanirodhaṃ ca saṃvidyate tatra sarve te prāṇakā nirāśā	saMvidyate / maraNa-niroDam ca saMvidyate tatra sarve te prANakAH nirASA
   bhavanti / yadā sa puruṣo mṛyate tadā sarvaprāṇakānāṃ vātasaṃkṣobhaḥ	Bavanti / yadA sa puruzaH mRyate tadA sarva-prANakAnAm vAta-saMkzoBaH
   saṃluḍati anyonyaparibhākṣanārthāya tadā te duḥkhāṃ vedanāṃ vedayanti /	saMluxati anyonya-pariBa-akzana-arTAya tadA te duHKAm vedanAm vedayanti /
   anye punaḥ putraśokaṃ kurvanti / anye duhitṛśokaṃ jñātṛśokaṃ sarve eva te	anye punar putra-Sokam kurvanti / anye duhitR-Sokam jQAtR-Sokam sarve eva te
   śokaśalyaviddhāḥ anyonyabhakṣaṇamārabhante / sarve te anupūrveṇa	Soka-Salya-vidDAH anyonya-BakzaNam-AraBante / sarve te anupUrveNa
   parasparaṃ bhakṣayanta; dvau prāṇakāvavatiṣṭhante / tau	parasparam Bakzayanta; dvO prANakO=-avatizWante / tO
   saptāhamabhiyudhyataḥ yāva saptāhe 'tikrānte tata ekaḥ prāṇako nirmathyate	sapta-aham-aBiyuDyataH yAva sapta-ahe atikrAnte tatas ekaH prANakaH nirmaTyate
   / eko mucyate / tat katama āyuṣmanta ucyate dharmaḥ tatkiṃ manyadhve yathā	/ ekaH mucyate / tat katamaH AyuzmantaH ucyate DarmaH tat-kim manyaDve yaTA
   sarvaprāṇakānāṃ anyonyanirodhena maraṇaṃ /	sarva-prANakAnAm anyonya-niroDena maraNam /
   [SaSū 241] evameva bālapṛthagjanā sattvā anyonyaviradhamāpdyante / te	[SaSU 241] evam-eva bAla-pRTagjanA sattvAH anyonya-viraDam-Apdyante / te
   jātyā na bibhyanti / vyādhibhyo na bibhyanti / maraṇā na bibhyanti yathā	jAtyAH na biByanti / vyADiByaH na biByanti / maraNAH na biByanti yaTA
   (tau) dvau prāṇakau yudhyataḥ evameva bālapṛthagjanāḥ parasparaṃ yudhyante	(tO) dvO prANakO yuDyataH evam-eva bAla-pRTagjanAH parasparam yuDyante
   / atha maraṇakālasamaye ucyate sādhu puruṣaiḥ kiṃ tvaṃ bho puruṣa	/ aTa maraNa-kAla-samaye ucyate sADu puruzEH kim tvam Bo puruza
